/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月15日 17時52分 ～ 2024年11月16日 04時11分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、お部屋は用意できたよ。   (2024/11/15 17:52:38)
エロガキ♂14C ◆> シンデレラおねーさんは……銀狼おねーさんが呼んできて17Lにーさんは14Lにーさんが……キャラチェンジ目まぐるしい（おめめぐるぐる）   (2024/11/15 20:39:41)

エロガキ♂14C ◆> （言って昨日僕も煽られてぷっつんした結果17になったんだけどさ）   (2024/11/15 20:40:08)

澪> 私は今日来たばかりなのでほかの方をよんでくる意味がないんですよね……もっと大きな人もいると言えばいるんですが   (2024/11/15 20:40:37)

エロガキ♂17L ◆> (アイマスクをしれっと14Cに勝手に装着)   (2024/11/15 20:40:47)

エロガキ♂14C ◆> そんなにころころ変わる必要もないと思うし、澪おねーさんは澪おねーさんのままでもいいと思うよ！   (2024/11/15 20:41:19)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/15 20:41:31)

エロガキ♂14C ◆> （アイマスク装着。ナニモミエナイ。）   (2024/11/15 20:41:31)

澪> ありがとうございます。   (2024/11/15 20:41:39)

エロガキ♂12Ω ◆> ういっすー。   (2024/11/15 20:41:41)

澪> おや、はじめまして、こんばんは   (2024/11/15 20:41:47)

シンデレラ> 変わりすぎると追い付かなくなることもあるからあまりおすすめはしないは   (2024/11/15 20:41:57)

エロガキ♂14C ◆> こんばんはー。   (2024/11/15 20:42:03)

エロガキ♂14C ◆> シンデレラおねーさんの場合は手持ちがかなり多いもんね……   (2024/11/15 20:42:20)

シンデレラ> そうかしら？   (2024/11/15 20:42:29)

エロガキ♂12Ω ◆> お、何か珍しい？顔ぶれで   (2024/11/15 20:42:41)

エロガキ♂14C ◆> ←珍しくない顔   (2024/11/15 20:43:05)

澪> 初めましての顔なので珍しさは保証しますよ   (2024/11/15 20:43:20)

エロガキ♂12Ω ◆> 年齢可変式なのは知ってる(14C)   (2024/11/15 20:43:42)

エロガキ♂17L ◆> ←同じく珍しくもない人   (2024/11/15 20:44:06)

エロガキ♂12Ω ◆> ん、澪姉ちゃんバナーでよく出てくるゲームの奴なのは知ってる。   (2024/11/15 20:44:09)

エロガキ♂14C ◆> 本来は自分だと明かさずに出すつもりだったんだよ！！！<可変   (2024/11/15 20:44:10)

シンデレラ> 少し出掛けてくるわね....   (2024/11/15 20:44:30)

おしらせ> シンデレラさんが退室しました。  (2024/11/15 20:44:33)

エロガキ♂12Ω ◆> 何か昨日怒りのランボーしてたとか？   (2024/11/15 20:44:35)

エロガキ♂14C ◆> いってらっしゃーい   (2024/11/15 20:44:36)

澪> あら、私を知ってるんですね。えぇ、最近は色々な格好をさせてもらってますよ   (2024/11/15 20:44:41)

エロガキ♂17L ◆> 行ってらっしゃい〜   (2024/11/15 20:44:43)

エロガキ♂12Ω ◆> うい、いってらー。   (2024/11/15 20:44:46)

澪> いってらっしゃいませ   (2024/11/15 20:44:48)

エロガキ♂14C ◆> 怒りのランボー（5-4でギリ勝ち）   (2024/11/15 20:45:14)

エロガキ♂12Ω ◆> 個人的には水着の奴エロいよなーとか思ったり。19b兄ちゃん好きそう。   (2024/11/15 20:45:27)

エロガキ♂12Ω ◆> スーパー野菜人覚醒的な勝ちフラグかと思ったら泥臭くて草   (2024/11/15 20:46:15)

澪> あぁ……少しだけはずかしいですね。ありがとうございます   (2024/11/15 20:46:22)

エロガキ♂14C ◆> （水着気になる）   (2024/11/15 20:46:48)

澪> あれはどこでみれるんでしょうね……えっと   (2024/11/15 20:47:39)

エロガキ♂14C ◆> 運ゲーに覚醒も何もないよ。……あ、でも立ち振る舞い次第では動揺誘うみたいなのは出来るんじゃない？知らんけど。   (2024/11/15 20:47:47)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/11/15 20:49:16)

エロガキ♂14C ◆> およ？   (2024/11/15 20:49:22)

澪> あら？   (2024/11/15 20:49:27)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/11/15 20:50:09)

エロガキ♂14C ◆> もしかして:誤操作   (2024/11/15 20:50:29)

澪> 探したけれど見つからない……ほしい時に見つからないというのはなんとも難しい話です   (2024/11/15 20:50:44)

エロガキ♂17L ◆> 焦った...会話が更新されなくてバグったかと思ったわ   (2024/11/15 20:50:46)

澪> あ、おかえりなさいませ   (2024/11/15 20:50:50)

エロガキ♂12Ω ◆> 澪姉ちゃんの水着はゲーム遊んでみれば見れるぜ   (2024/11/15 20:51:12)

澪> あぁ、やはりゲーム限定なんですね。あれ   (2024/11/15 20:51:25)

エロガキ♂12Ω ◆> 課金して無くても見れるし、一度ご賞味あれ   (2024/11/15 20:51:46)

澪> さくっと見せられないのは少し残念です   (2024/11/15 20:52:15)

エロガキ♂14C ◆> ……ソシャゲ疲れしてる僕にはハードルクソ高いやつだ。   (2024/11/15 20:52:18)

エロガキ♂12Ω ◆> 単純に別窓から検索してブラウザ開けば良いだけだぞ   (2024/11/15 20:52:46)

エロガキ♂12Ω ◆> インストール不必要、Googleとかのブラウザで出来るお手軽ゲーム   (2024/11/15 20:53:11)

エロガキ♂17L ◆> 荒業過ぎないか？そのやり方...   (2024/11/15 20:53:16)

澪> ｇ１２３ですから   (2024/11/15 20:53:36)

エロガキ♂12Ω ◆> そうかね？ビビッとなんちゃらと同じ類いのアレよ   (2024/11/15 20:53:54)

エロガキ♂14C ◆> G123はしゅーきょーじょーの理由で忌避してる……ごめんよー   (2024/11/15 20:54:04)

エロガキ♂12Ω ◆> 宗教ならしゃあなし。   (2024/11/15 20:54:33)

澪> そうですね。それならしかたないです   (2024/11/15 20:54:40)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/15 20:54:46)

エロガキ♂15R ◆> こんばんは〜っ！   (2024/11/15 20:54:53)

エロガキ♂17L ◆> こんばんは   (2024/11/15 20:54:59)

澪> こんばんは   (2024/11/15 20:55:02)

エロガキ♂14C ◆> こんばんはー、気がつけばエロガキの溜まり場に……！   (2024/11/15 20:55:16)

澪> くっ。やはり巴の水着がでてくるだけ……ここでも立ちはだかりますか……   (2024/11/15 20:55:53)

エロガキ♂12Ω ◆> おーっす。   (2024/11/15 20:56:28)

エロガキ♂17L ◆> ん〜、溺れないうちに帰るわ(元々そこまで口数多い方じゃない人)   (2024/11/15 20:57:05)

澪> ……ここにくる子は巨乳すきがおおいんですね？？？   (2024/11/15 20:57:08)

澪> あ、お疲れさまでした   (2024/11/15 20:57:12)

エロガキ♂12Ω ◆> ん、お疲れー。   (2024/11/15 20:57:39)

エロガキ♂17L ◆> 俺は、巨乳とかあんまり気にしてないとだけ言っておく...   (2024/11/15 20:57:42)

エロガキ♂17L ◆> んじゃ、またな〜   (2024/11/15 20:57:56)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/11/15 20:57:58)

エロガキ♂14C ◆> お疲れ様ー。   (2024/11/15 20:58:02)

エロガキ♂12Ω ◆> 恋愛的な意味だと貴賤はないけど性的な意味なら断然巨乳派。(きりっ)   (2024/11/15 20:58:17)

澪> そこまでスパッといわれると気持ちいですね   (2024/11/15 20:58:31)

エロガキ♂14C ◆> とりあえず全体像は見えなかったけど、なんとくは掴めたからよしとしとこっと（雑）   (2024/11/15 20:58:37)

エロガキ♂15R ◆> ぼくはおっきいのもちっさいのもどっちも好き〜っ！   (2024/11/15 20:59:07)

エロガキ♂12Ω ◆> 彼女に何かしら求めるのは失礼じゃん？   (2024/11/15 20:59:18)

エロガキ♂14C ◆> 僕は好きな行為がどうしても大きいおっぱいの方がいいものばかりだからなぁ。けど、だからと言って小さいのが嫌いな訳じゃないかな？   (2024/11/15 20:59:26)

エロガキ♂12Ω ◆> でも性的嗜好とか個人的な性癖なら好きを出してけって話ですよ。   (2024/11/15 20:59:53)

澪> １５Rさんはおっぱいそのものが好きなんですね。なるほど   (2024/11/15 21:00:03)

澪> それは確かに……性癖を出していった方が得ですよね   (2024/11/15 21:00:49)

エロガキ♂14C ◆> ……んあ、そろそろ再待機行こうかと思ったら既に19bにーさんが待機してら。   (2024/11/15 21:00:53)

エロガキ♂12Ω ◆> あ、でも爆乳までは良いけど奇形とか明らかにデカすぎるのもな。   (2024/11/15 21:01:19)

澪> ……私のは爆……いえ、巨って感じですねたぶん   (2024/11/15 21:01:44)

エロガキ♂15R ◆> そうだよ〜っ！そして〜おっぱいよりも好きな物があるっ…！   (2024/11/15 21:02:01)

エロガキ♂15R ◆> (何とは言わないっ)   (2024/11/15 21:02:13)

エロガキ♂14C ◆> 僕一旦お風呂行きたいから一旦抜けるよー。澪おねーさんとはタイミング会えばよろしくねっ、それじゃー。   (2024/11/15 21:02:23)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/15 21:02:32)

エロガキ♂12Ω ◆> 姉ちゃんがギリ爆寄りの巨乳かね。(ふむ)   (2024/11/15 21:02:35)

澪> えぇ、ゆっくり磨いてきてください   (2024/11/15 21:02:37)

エロガキ♂15R ◆> お疲れ様ですっ   (2024/11/15 21:02:41)

エロガキ♂12Ω ◆> うい、お疲れー。   (2024/11/15 21:02:52)

澪> あら、そうなんですか！人によっては爆と巨でいけんがわかれそうと……！（ちょっとうれしそうに）   (2024/11/15 21:03:13)

エロガキ♂12Ω ◆> 巴姉ちゃんには負けるけど澪姉ちゃんもご立派ですよ。   (2024/11/15 21:04:29)

エロガキ♂15R ◆> (澪さんは〜…ぼく判定ではギリギリ巨っ！)   (2024/11/15 21:04:43)

エロガキ♂12Ω ◆> 普通に美人だし普通に性癖です。(むくむく)   (2024/11/15 21:05:04)

澪> っっっっよ、よく見てください！巴にどこが負けてますかっ！ちょ、ちょっと待ってください（もぞもぞと着物の中で手を動かして布を引き抜き）ど、どうですか、お、大きいですよね！（引き抜かれたブラを地面に置いて大きさをアピールするように）  
(2024/11/15 21:06:13)

エロガキ♂12Ω ◆> えー？着物って身体のライン隠せられるしよく分かんないにゃあ。(すっとぼけ。)大きいには大きいと思うけど巴姉ちゃんより大きいかと言われると…。(谷間見つつちゃっかりブラ回収)   (2024/11/15 21:07:56)

エロガキ♂15R ◆> えっ///…ちょ、ちょっとそれはここじゃだめーっ！…あぁ…遅かった…うんっ…大きいですねっ！早く着てくださいっ！   (2024/11/15 21:08:34)

エロガキ♂15R ◆> (回収ーっ！？)   (2024/11/15 21:08:57)

エロガキ♂12Ω ◆> (へへへ、思わぬお宝ゲットだぜ。(こんなサ◯シは嫌だ)   (2024/11/15 21:09:33)

澪> くっっっ。ここでこれ以上は……（いつでもどこでも勝負下着。レースの多いゴスロリとセットになっていそうなブラは匂いにもこだわっており華の香水が使われており）……た、谷間までなら（すこーしだけ着崩して谷間を見せ）   (2024/11/15
21:09:42)

エロガキ♂12Ω ◆> おほほ、えぇ眺めですなぁ。眼福眼福。(黒を基調とした大人びた浴衣から溢れる谷間を存分にガン見、鼻の下伸ばしてデレデレ)   (2024/11/15 21:11:11)

エロガキ♂15R ◆> だめだめだめーっ！そういう事するのはあっちでっ！(勝負部屋指差し)   (2024/11/15 21:11:21)

澪> えぇい、止めないでください。よくよく考えればここに巴がいたとして露出度は今の私と変わらないどころか巴の方が多いはずなのですっ！も、もう少しぐらい脱いでも罰は当たらないはず！（ぎりぎりまで着物を着崩して谷間だけとりあえず大きく開放しておく）  
(2024/11/15 21:12:35)

エロガキ♂12Ω ◆> はいはい。澪姉ちゃんストーップ。美人なの分からせたいならいつでも勝負は受け入れるんでお乳、じゃなかった。落ち着け姉ちゃん。(膝上ぴょんと飛び乗り露出された谷間枕にぽよん頭置いて)   (2024/11/15 21:14:09)

エロガキ♂15R ◆> (12Ω君で隠されたっ…！…セーフっ…？)   (2024/11/15 21:15:05)

澪> ふ、ふぅ……それは、ま、まぁ、そうですね……少しだけ落ち着きましょう（ぽよんぽよんの谷間に頭を収めさせる。ふわふわとブラと同じ香水の香りをさせながら）   (2024/11/15 21:15:37)

エロガキ♂12Ω ◆> (ギリR17.9って所か)   (2024/11/15 21:16:20)

澪> こう、花魁バージョンといっておけばもう少し……（悩みながらも頭をなでて行動には移さず）   (2024/11/15 21:17:32)

エロガキ♂12Ω ◆> ん、この柔らかさはやはり爆寄りの巨乳。嬉しい大きさですな。(ぱふぱふと後頭部当たる弾力堪能)……でも色んな意味でのボリュームは巴姉ちゃんの勝ちかな。(ぼそっ)   (2024/11/15 21:17:59)

澪> そ、そうですよね！やはりそうですよね！よくわかっているこどもです！ふふ、どうですか巴！子供心をつかめる胸！若様の隣にはゆくゆくはこうした能力を持つ存在が必要なんです！（谷間にうずめる勢いで抱きしめようと）   (2024/11/15 21:19:49)

エロガキ♂12Ω ◆> (でも子供産むのに適してそうなの巴姉ちゃんなんだよなぁ…。おっぱいだけじゃなくてケツもタッパでデカい女だし。)そうだなー、澪姉ちゃんは良いお嫁さんなるでよ。(素直に抱かれつつ腕を肩から前に抱き締めさせシートベルト代わり)  
(2024/11/15 21:22:09)

澪> そうでしょうそうでしょう。そうでしょうとも！（上機嫌で抱きしめて）そういえば、勝負部屋が使われている時はどうするのが通例なんでしょうか？   (2024/11/15 21:23:34)

エロガキ♂12Ω ◆> どうしたもんかねー？(足パタパタ)   (2024/11/15 21:24:56)

エロガキ♂15R ◆> (参戦…？)   (2024/11/15 21:25:01)

澪> なるほど、決まっていない感じなんですね   (2024/11/15 21:25:54)

エロガキ♂12Ω ◆> どっちも始まってるなー。   (2024/11/15 21:28:46)

澪> 大盛況ですね？？？   (2024/11/15 21:29:19)

エロガキ♂12Ω ◆> 流石華金   (2024/11/15 21:29:39)

エロガキ♂15R ◆> お二人で参戦してきては如何ですか〜っ？   (2024/11/15 21:29:59)

澪> どうします？というより参戦してもいいものなんですか？   (2024/11/15 21:30:16)

エロガキ♂15R ◆> 良いと思いますよ〜っ！   (2024/11/15 21:30:40)

エロガキ♂15R ◆> 見るにまだ中盤差し掛かってる辺りですし？   (2024/11/15 21:31:14)

エロガキ♂15R ◆> 思ったより展開がはやいっ！   (2024/11/15 21:32:23)

澪> どんどん進んでいきますね   (2024/11/15 21:32:43)

エロガキ♂12Ω ◆> つまり早漏？   (2024/11/15 21:33:15)

エロガキ♂15R ◆> もう決着しちゃいました…   (2024/11/15 21:33:29)

澪> スピード勝負というやつなんでしょうか   (2024/11/15 21:33:42)

エロガキ♂12Ω ◆> どっちも竿側の勝ちー   (2024/11/15 21:33:56)

エロガキ♂15R ◆> 単に慣れてて展開早いだけかもっ   (2024/11/15 21:34:20)

澪> 欲の勝利ってやつですかね。あぁ、それはありそうですね   (2024/11/15 21:34:30)

エロガキ♂12Ω ◆> ふむ、暇だなー。(ぱふぱふ)   (2024/11/15 21:35:46)

エロガキ♂15R ◆> …女性側にも欲はあると思いますよっ？今回はエロガキ側の欲が勝っていたっ！多分っ！   (2024/11/15 21:36:27)

澪> なるほど……はやりエロスはつよい（ぽよぽよのおっぱいは触ると少しずつ着物がずれていく）   (2024/11/15 21:37:21)

澪> 私も初めてですけれど参戦してみましょうか   (2024/11/15 21:37:37)

エロガキ♂15R ◆> おっぱい零れちゃう前に…っ！   (2024/11/15 21:39:01)

澪> 丁度良く勝負部屋も空きそうですし   (2024/11/15 21:39:31)

エロガキ♂12Ω ◆> ん、んじゃ移動するかー。   (2024/11/15 21:39:45)

澪> それではいちど、失礼しますね（そーっとどかしてから）   (2024/11/15 21:40:28)

おしらせ> 澪さんが退室しました。  (2024/11/15 21:40:32)

エロガキ♂12Ω ◆> いってくるー。   (2024/11/15 21:40:52)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/15 21:40:56)

エロガキ♂15R ◆> 行ってらっしゃいませ〜っ！ぼくはお留守番っ   (2024/11/15 21:41:13)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/15 21:43:08)

エロガキ♂17C ◆> ……タイミングを逃したってやつ、か。やれやれ、昨夜の焼き直しのような気分だ。   (2024/11/15 21:43:32)

エロガキ♂15R ◆> こんばんはっ！…！？！？…あ、あれっ？に、似てる気が…っ…！   (2024/11/15 21:44:39)

エロガキ♂17C ◆> 別に雑談部屋なんだからそこまで気遣う事もないって。単に14でいるにはモチベーションが保てなかった、それだけ。こっちの方が気楽なんだよ。   (2024/11/15 21:46:03)

エロガキ♂15R ◆> 了解です！よし、切り替えっ！…お気持ち分かりますっ！…やれる範囲で無理せずですよ〜   (2024/11/15 21:48:24)

エロガキ♂17C ◆> 流石に今あれに乱入しようって気にはなれないしね。ま、女性陣が増えたらその時はその時で。（適当な椅子に腰掛けつつ、缶コーヒーのプルタブ起こして口元へ。）   (2024/11/15 21:49:15)

エロガキ♂15R ◆> そうですね〜…これから人も増える…？でしょうし…その時を狙うと良いかもっ、ですね   (2024/11/15 21:50:58)

エロガキ♂15R ◆> ぼくはシンプルにあれです。今やってるテレビが面白くてですね…   (2024/11/15 21:51:49)

エロガキ♂17C ◆> それだと良いんだけど。昨夜は思った以上にこれからの時間は静かだったように思うしね。期待しない程度にいるくらいがちょうどいいんだ。   (2024/11/15 21:52:20)

エロガキ♂17C ◆> テレビか……見ないんだよな、壊れてから買い換える気にもならなくて。   (2024/11/15 21:52:37)

エロガキ♂15R ◆> 昨日まで次の日が平日でしたからっ！今日は〜っ！そうっ！華金っ！期待出来そうですっ！   (2024/11/15 21:54:18)

エロガキ♂17C ◆> ……大人のお姉さんたちは飲んでそうなワードだな。華金。   (2024/11/15 21:55:47)

エロガキ♂15R ◆> 見ようと思えば配信サイトでも見れますからね〜。実際金曜ロードショー位しかぼくも見ませんし？   (2024/11/15 21:56:16)

エロガキ♂15R ◆> ……た、確かに？   (2024/11/15 21:57:21)

エロガキ♂17C ◆> 何かこう、割と昔からテレビがすぐそばにある環境じゃないっていうのがあって、テレビにあまり執着がないんだよね。寮生活とかそういうので。   (2024/11/15 21:57:52)

エロガキ♂17C ◆> ま、気が乗れば部屋が空いた頃を見計らって適当に待機でもしてみようかなとは思うよ。空振りしたら……それもその時かな。   (2024/11/15 21:59:09)

エロガキ♂17C ◆> ……ストレート勝ち、と。初心者相手にえげつないね、これまた。   (2024/11/15 22:01:41)

エロガキ♂15R ◆> なるほどです〜。テレビに限らず元々無ければ特段欲しいとはなりませんしね〜妙に納得しましたっ   (2024/11/15 22:02:11)

エロガキ♂15R ◆> ま、まあ…運っ、ですし…？   (2024/11/15 22:03:21)

エロガキ♂17C ◆> それじゃ1番えげつないのは勝利の女神様、ってところかな。せいぜい、肝心要のタイミングで酷い出目にならないように毎朝毎晩お祈りでもしてみようか。   (2024/11/15 22:04:43)

エロガキ♂17C ◆> ……出張るか悩んだ矢先に。あの人も仕事早いな。   (2024/11/15 22:08:48)

エロガキ♂15R ◆> そうかな…？…そうかもっ！ぼくも勝利の女神様にお祈りしとこっ…！   (2024/11/15 22:09:18)

おしらせ> エロガキ♂13M ◆za77rifW.Yさんが入室しました♪  (2024/11/15 22:09:48)

エロガキ♂13M ◆> こんばんはっ♪いや〜、満足いく勝負だった♡   (2024/11/15 22:10:19)

エロガキ♂17C ◆> オレは……そうだな、出目よりも何よりタイミング逃さない程度に時の女神様にでもお祈りかな。何拝めばいいか知らないけど、時計でもいいのかな。   (2024/11/15 22:10:27)

エロガキ♂15R ◆> …迷惑掛けないようにしないとだ…   (2024/11/15 22:10:28)

エロガキ♂15R ◆> こんばんはっ！お疲れ様でございま〜す！   (2024/11/15 22:10:53)

エロガキ♂17C ◆> ん、こんばんは。それはなにより。こちとら空振りからのタイミング逃してシケてたとこだよ。   (2024/11/15 22:10:57)

エロガキ♂13M ◆> ありゃま、それは残念だったね…。華金だし、まだCHANCEはあるよ！たぶん！(ポジティブシンキング☆)   (2024/11/15 22:12:17)

エロガキ♂15R ◆> タイミングすっごい大事ですもんね〜…ぼくは女性いる所に後入りしない様にしてるので…尚更っ！   (2024/11/15 22:12:51)

エロガキ♂17C ◆> そのテンション保てるモチベーションはうらやまし……いや、やっぱいいや。なんか余計な事口滑らせてて酷い目に遭いそうだし。   (2024/11/15 22:13:24)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/15 22:15:29)

エロガキ♂13M ◆> ボクに理性なんて言葉ないからね！テンションぶるんぶるん！お口つるつる滑り放題だよ！華金だからテンション更に高めだぜ！   (2024/11/15 22:15:31)

エロガキ♂17C ◆> お友達が乗り移ってない？理性ないって……。   (2024/11/15 22:16:20)

エロガキ♂19b ◆> デリャァァァァ！！(押し入ればん！！)勝ったぜぇ！！！ヒャッハァァァァァ！！   (2024/11/15 22:16:23)

おしらせ> エロガキ♂10sxさんが入室しました♪  (2024/11/15 22:16:24)

エロガキ♂15R ◆> (個人的に気になって調べたんですけど、時の女神様ってヴィーナスだそうですっ)   (2024/11/15 22:16:28)

エロガキ♂17C ◆> うるせえ（蹴飛ばし）   (2024/11/15 22:16:31)

エロガキ♂10sx> 皆さんこんばんは～   (2024/11/15 22:16:38)

エロガキ♂13M ◆> ケツバット！   (2024/11/15 22:16:45)

エロガキ♂19b ◆> ガハァッ(壁に4回バウンドして着地)   (2024/11/15 22:17:07)

エロガキ♂13M ◆> お尻を真っ二つしちゃうよ〜……すでに真っ二つだね   (2024/11/15 22:17:27)

エロガキ♂10sx> 昔あった笑ってはいけない○○みたいな目に…………   (2024/11/15 22:17:39)

エロガキ♂15R ◆> こんばんはっ！…急に大世帯だぁ   (2024/11/15 22:17:39)

エロガキ♂13M ◆> 改めてこんばんにゃ〜   (2024/11/15 22:17:45)

エロガキ♂17C ◆> ……またエロガキの溜まり場に。改めてこんばんは。   (2024/11/15 22:17:57)

エロガキ♂10sx> エロガキだらけだけどね   (2024/11/15 22:17:59)

エロガキ♂19b ◆> やっぱね、、ロリ体型は最高なんすは！こんばんは   (2024/11/15 22:18:14)

エロガキ♂15R ◆> 第2回、カラフルエロガキの会っ！   (2024/11/15 22:18:24)

エロガキ♂13M ◆> どんどんぱふぱふ〜♡   (2024/11/15 22:18:43)

エロガキ♂17C ◆> ……一抜けしてゲーム部屋行くかな……（モノクロエロガキ）   (2024/11/15 22:19:20)

エロガキ♂10sx> ぶっちゃけお姉さん達がいないだけだからね   (2024/11/15 22:19:41)

エロガキ♂13M ◆> 今ならどこも空いてるしいいかもね〜♪   (2024/11/15 22:20:09)

エロガキ♂17C ◆> とはいえ、今出ると罰部屋の2人の尻叩くことになりかねないからもう少し待つんだけどさ。……いや、女性はともかくエロガキの尻は叩きたくない。（冷静）   (2024/11/15 22:21:03)

エロガキ♂13M ◆> 可愛い男の娘ならココにいるよ(いえーい☆ダブルピース)   (2024/11/15 22:21:16)

エロガキ♂19b ◆> 華やかにするためにもこの女の子になる薬をまた誰かに飲ませて....(ぶつぶつ)   (2024/11/15 22:21:46)

エロガキ♂10sx> それとタイミングだよね～(結構外れてるとき多い)   (2024/11/15 22:21:52)

エロガキ♂19b ◆> 空振りなんて日常茶飯事だからねぇ、気にしない気にしない～   (2024/11/15 22:22:24)

エロガキ♂17C ◆> 手前で飲んでおけよ、それ。大好きなロリっ子になれてWin-Winだぞ。   (2024/11/15 22:22:34)

エロガキ♂10sx> いや、それはそれでどうなのよ？19b さん(呆れ目～)   (2024/11/15 22:22:35)

エロガキ♂13M ◆> ……見事にスルーされた   (2024/11/15 22:22:44)

エロガキ♂17C ◆> いや、男の娘にも興味はないし……（冷血）   (2024/11/15 22:23:08)

エロガキ♂10sx> 男の娘？知らない子ですね(男認識)   (2024/11/15 22:23:35)

エロガキ♂13M ◆> ぐはっ…！？(クリティカルHIT！！)   (2024/11/15 22:23:43)

エロガキ♂19b ◆> 男の子って２度美味しいんだよね～(ケラケラ)   (2024/11/15 22:24:10)

エロガキ♂15R ◆> ノーコメントっ！   (2024/11/15 22:24:22)

エロガキ♂17C ◆> 13Mのライフはもう0だよ、っと。   (2024/11/15 22:24:44)

エロガキ♂10sx> 19bさんにとっては獲物らしい→男の娘13Mさん   (2024/11/15 22:25:15)

エロガキ♂13M ◆> くぅぅ……拗ねて対戦部屋行ってやる〜！   (2024/11/15 22:25:25)

エロガキ♂17C ◆> ま、万が一にも後が詰まりそうなら多目的にでも行くかな。んじゃ、行ってくる。   (2024/11/15 22:25:37)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/15 22:25:48)

エロガキ♂10sx> いってらっしゃ～い   (2024/11/15 22:26:02)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (2024/11/15 22:26:03)

エロガキ♂13M ◆> あ、いってらっしゃーい   (2024/11/15 22:26:04)

エロガキ♂15R ◆> いってらっしゃーいっ   (2024/11/15 22:26:18)

エロガキ♂19b ◆> あ、年齢戻った   (2024/11/15 22:26:30)

エロガキ♂13M ◆> ボクもアナザーに行こっ♪   (2024/11/15 22:26:52)

エロガキ♂13M ◆> みんなバイバ〜イ☆   (2024/11/15 22:27:20)

エロガキ♂19b ◆> 俺は新大陸へ！！   (2024/11/15 22:27:22)

おしらせ> エロガキ♂13M ◆za77rifW.Yさんが退室しました。  (2024/11/15 22:27:24)

エロガキ♂15R ◆> 行ってらっしゃいませ〜   (2024/11/15 22:27:39)

エロガキ♂10sx> 2人ともいってらっしゃ～い   (2024/11/15 22:27:42)

エロガキ♂19b ◆> たぶんというか100%帰ってくるけどね～   (2024/11/15 22:27:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/15 22:27:53)

エロガキ♂10sx> そういえば15Rさんもプロフィール見る限りだと13M (男の娘)さん獲物なの？→雑食   (2024/11/15 22:30:18)

エロガキ♂15R ◆> う〜ん……ノーコメントっ   (2024/11/15 22:33:30)

エロガキ♂10sx> わかりました   (2024/11/15 22:35:44)

エロガキ♂15R ◆> 気を使わせちゃうかもだからね〜…ここでは答えられないやっ   (2024/11/15 22:44:49)

エロガキ♂10sx> 気遣いありがとうございます。僕もちょっとふらついてきますね、それでは   (2024/11/15 22:45:25)

おしらせ> エロガキ♂10sxさんが退室しました。  (2024/11/15 22:45:29)

エロガキ♂15R ◆> お疲れ様さまですっ！   (2024/11/15 22:45:47)

エロガキ♂15R ◆> 夢中でテレビみてたっ…！…うんっ…ぼくも出ておこうっ   (2024/11/15 22:48:38)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/15 22:48:39)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/15 22:55:09)

エロガキ♂19b ◆> いい装飾品が落ちない！！(憤慨)...って、さっきまでいたカラフル君たちが消えている！？   (2024/11/15 22:55:40)

エロガキ♂19b ◆> 仕方ない...誰かくるのをここで待とう！(ストン)   (2024/11/15 22:57:08)

エロガキ♂19b ◆> どこもかしこも静かだ....遊びに行ってみるか～   (2024/11/15 23:10:24)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/15 23:13:39)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/15 23:33:17)

エロガキ♂15R ◆> 帰還っ！   (2024/11/15 23:33:23)

