/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月14日 03時40分 ～ 2024年10月14日 13時04分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> ……そしてどうしよう。4時になるよ？   (2024/10/14 03:40:59)
栞葉るり> と、ごめんなさい。委員長を置き去りにしてしまいました。…頼んだぜ！俺のゴーレムタイガー！(決めポーズ)   (2024/10/14 10:39:02)

雪花ラミィ> 死にてぇやつだけ、かかってこぉい！！！（クソデカ大声）   (2024/10/14 10:39:24)

月ノ美兎> あ、そうそう。わたくしのほうはソシャゲの類はあまり嗜まなくて（旧Twitter）のリポスト（旧リツイート）で回ってくるえっちなファンアートでしかここに来られる方を把握してなかったりするので…何か失礼があったらご容赦を〜   (2024/10/14
10:39:55)

栞葉るり> え？叶さんが？それってスキャンダルじゃ…(きっと吸血鬼な相方相手ではベッドで主導権握ってるかと…ふへへえへぇ♡良からぬ妄想)   (2024/10/14 10:40:08)

サトノダイヤモンド ◆> つまり私とキタちゃんの情報はゼロなのでは……？（ゼロのはずだ！えっちなファンアートなんて！）   (2024/10/14 10:40:29)

キタサンブラック> あ、あるぇ！？（ダイヤちゃんの言うアタシへの好きが、明らかにアタシの言ってるVさんへの好きと何か違うっていうか、だ、ダイヤちゃんの視線が……絡みつくのが、こ、怖いような。気持ちいいようなぁ♡）   (2024/10/14 10:40:51)

栞葉るり> 桐生さん、その口上気に入ってますよね、絶対…。(なに？え？どういうことだ？のイメージも強いですが)   (2024/10/14 10:41:15)

エロガキ♂17L ◆> (そういやその2人の作品は二次創作禁止だったけか……と首傾げながら)   (2024/10/14 10:41:35)

雪花ラミィ> このあいまい発言でよく分かったな……。エロガキの知識底なし沼。この警察の犬、BL派閥だぞ！！（イイぞもっとやれ！）   (2024/10/14 10:41:49)

サトノダイヤモンド ◆> 気にしなくていいよ、キタちゃん。キタちゃんがどれだけえっちな子でも、誰とえっちなことしても……最後はサトノブラックだからね。（？）   (2024/10/14 10:41:54)

キタサンブラック> 二次創作はOKです。センシティブコンテンツ、R指定コンテンツなのがダメ―ってやつですね。   (2024/10/14 10:42:14)

月ノ美兎> おウマさんの方々はここで初めて検索して出会った方も多いですね〜   (2024/10/14 10:42:24)

サトノダイヤモンド ◆> まあこの場にいる私たちのどの口が言うんだ感はありますが。（視線を逸らした。）   (2024/10/14 10:42:35)

キタサンブラック> な、なので……ここにいるアタシとダイヤちゃんも正直グレーですね。   (2024/10/14 10:42:35)

栞葉るり> ……ウマのアレなイラストは海外で作られたりこれはAIが勝手に(ウマを学習させながら)って、わたくしたちの見えないところでひっそりと作られて入るらしいですが、版権元の意見なので警察は取り締まれないのです…。   (2024/10/14
10:43:09)

月ノ美兎> そのへんは……察しろ！！はい！この話ヤメヤメ！（ウルトラマン）   (2024/10/14 10:43:12)

キタサンブラック> シュワっ！……へアッ（何か察した声   (2024/10/14 10:43:41)

エロガキ♂17L ◆> なるほど……(知識欲に貪欲なガキ)   (2024/10/14 10:43:50)

サトノダイヤモンド ◆> 最初期も最初期の話をしますと、Vの方々もえっちなのは自粛しようみたいな派閥もありましたね……。まあ、欲望には勝てないようでしたが。   (2024/10/14 10:43:57)

雪花ラミィ> キタサトはユニーリア王国（ラミィが王政を敷いてる国）のSPがお守りしますね。はい撤収！！オススメの同人音声の話しよう！！（逸らした方向もカス）   (2024/10/14 10:44:01)

栞葉るり> はい、わたくしもエロガキ雌犬にでもなったほうが良かったでしょうか(誤解を生む表記)   (2024/10/14 10:44:09)

月ノ美兎> 最近流行りの不審者お姉さんがカスの嘘知識を教えてくれる音声があってぇ…（カスのインターネット住民）   (2024/10/14 10:44:46)

エロガキ♂17L ◆> (本家の方に巴さんまで来てる……V率高いな！？)   (2024/10/14 10:45:33)

栞葉るり> おすすめではないんですけど、お゛っ♡とかん、ぉ゛おお♡とかにオホ声って名前つけた人、天才だと思うんですよ。あの声ってガチで感じてないと出ない声なんで…(ぼそぼそ。オホ声研究犬)   (2024/10/14 10:45:43)

サトノダイヤモンド ◆> 私が囁いて、途中でキタちゃんに交代する系のASMRはどうでしょう？（声量の差と聞く者の鼓膜には頓着しないものとする。）   (2024/10/14 10:46:06)

雪花ラミィ> ねぇ…知ってる？（お決まりの前口上）いや〜、これマジでね、このワンちゃん分かってる。ジャンル確立させたの栄誉賞モンだよ（清楚で売ってます）   (2024/10/14 10:46:59)

エロガキ♂17L ◆> ダメだこりゃ……収集つかん(隅の方に待避)   (2024/10/14 10:47:03)

キタサンブラック> オホ声っていうか、あれですよね……お腹がぐっと圧迫されて、こぉ肺の空気がグリュゥってなる感じで、あの時にしか出ない声っていうか   (2024/10/14 10:47:11)

栞葉るり> …まぁ、エロを自粛するのは無理ですねぇ。そっち方面はシノギ(稼ぎ)がデカいので、裏社会の方々が直々にオタクグッズを作って販売する〜なんて、893も居たり…。   (2024/10/14 10:47:20)

エロガキ♂17L ◆> ゑ？それまじの話？＞るり穣   (2024/10/14 10:48:00)

キタサンブラック> ダ、ダイヤちゃんのウィスパーボイスの後にアタシの声って……そ、それはちょっと落差ない、かな？（ダイヤちゃんの声、色っぽいからなぁ）   (2024/10/14 10:48:07)

雪花ラミィ> そのASMR、10分89,700YENまでなら出します（ガチの値段交渉）   (2024/10/14 10:49:11)

サトノダイヤモンド ◆> 落差なんてないよ。だって私の一番好きな声だもん……♥（今日はちょっとブレーキが壊れ気味。困ったらいつでも制止してね…？）   (2024/10/14 10:49:31)

キタサンブラック> えっと、一応……エロに関してその……人間の欲望的な部分でもあるので、完全封鎖はまず難しいのと、逆に言えばそういう案件ってある程度の組織だって統制を取らないと社会的にまずいことになるって方が普通なので……何かしらの大きな後ろ盾がないと～っていうのは割とよくいわれるかな～って
  (2024/10/14 10:49:38)

キタサンブラック> ダイヤちゃん！？……あ、あの、好き嫌いとかじゃなくて……あの、え、えっと、ありがと、ね♡う、うれしい、よ？   (2024/10/14 10:50:14)

栞葉るり> 正直な話、893と一般市民の区別なんて特殊詐欺したかしてないかくらいでしかないので…暴対法がガッチガチの今、そういう安全なシノギに走る方々も居るってことです。まぁ、それで犯罪が減るならばんばんざいじゃないでしょうか？特殊詐欺なんかするよりも、エロ絵描いて販売したほうがみんな幸せですし(ゲスな幸せ)
  (2024/10/14 10:50:49)

サトノダイヤモンド ◆> 私も、キタちゃんがASMR出してくれるならいくらでも（いくらでも）出します。（真剣な顔をした。サイ○ームスさん、どうですか！？）   (2024/10/14 10:50:59)

エロガキ♂17L ◆> なるほどな……(両手打ち合わせてポン)   (2024/10/14 10:51:40)

キタサンブラック> ダイヤちゃん！？それ、おじいちゃんたちが怒りかねないから！？（スカーレットさんのところとか、ガチで力注いできそうだけど！？）   (2024/10/14 10:51:50)

栞葉るり> そういえばホロの方のASMR、何人かFC2送りになったって聞いてお茶吹き出したんですけど、マジなんです？ラミィさん   (2024/10/14 10:51:55)

キタサンブラック> そして、委員長さ～ん、大丈夫ですか～   (2024/10/14 10:52:45)

栞葉るり> ああ…おいたわしや、委員長…。わたくしがぶっちぎってしまったせいで、こんなにも小さく…。でも任せてください、にじさんじの未来は明るいです。わたくしのような後輩が出てきてるんですから(悪い意味で)   (2024/10/14 10:53:09)

エロガキ♂17L ◆> 委員長確かにさっきから黙りこくってるけど大丈夫か？   (2024/10/14 10:53:13)

サトノダイヤモンド ◆> （真面目に語ったキタちゃんが私のしたことで戸惑った顔を見せてくれるのがたまらない快感なんです、ごめんなさい皆さん。ごめんなさいキタちゃん。私はやめません……。ダイヤは、ダイヤは悪い子になりました…！ぞく、ぞくっ……。）  
(2024/10/14 10:53:17)

月ノ美兎> あ！いますいます！お茶取ってきたりしてました！   (2024/10/14 10:53:28)

キタサンブラック> あ、あれぇ？……な、何だろうこの状況。（いえ、真面目なことを語ってたりなんですけど、合間合間にダイヤちゃんからぞくっとするものを感じる。か、感じる♡）   (2024/10/14 10:54:25)

エロガキ♂17L ◆> あ、居た居た、ムカデ人間でも出たかと思ったわ(おいコラ)   (2024/10/14 10:54:26)

月ノ美兎> （実際の委員長はカフェインダメなんで想像の茶ですけどね〜）   (2024/10/14 10:54:41)

雪花ラミィ> ヤクザ（警察）と準エキドナ様（知識面）と委員長（スケベ）と、キタサト（尊い）と酒呑み（酒呑み）って…たまげたメンツだなあ…。あ、はいガチです。握力50kgのゴリラと、ドスケベバニー（語弊）がFC2送りになりましたね。   (2024/10/14
10:54:57)

キタサンブラック> そして、ラミィさんもちょっと止まり気味かな？……ダイヤちゃんとでちょっと挟んだ方が良いかな？（ダイヤちゃん、ラミィさんの顔をこぉ胸で）   (2024/10/14 10:55:00)

キタサンブラック> あ、ラミィさん動き出した。（やる前に動いてしまわれたので計画中止）   (2024/10/14 10:55:21)

雪花ラミィ> 今から止まります。（貪欲）   (2024/10/14 10:55:37)

エロガキ♂17L ◆> (そんな委員長にノンカフェイン飲料)   (2024/10/14 10:55:47)

サトノダイヤモンド ◆> キタちゃんがえっちなお店みたいなこと提案してる……！（やります。）   (2024/10/14 10:55:49)

キタサンブラック> 止まったらやめるということで？（逆に動かしにかかって、それじゃ、ラミィさんの左右から？って、ダイヤちゃんに目配せ   (2024/10/14 10:56:23)

エロガキ♂17L ◆> エキドナみたいに色んなこと知ってる訳では無いよ！？(クソデカ大声)   (2024/10/14 10:56:45)

栞葉るり> はよ開けんかいコラァ！！(大阪府警)FC2って我々の業界ではコスプレ女装レズセックスを配信する場所なので…もう底辺も底辺なんですよ。その二人のASMRってもうセックスしてませんか？(真顔で高速詠唱)   (2024/10/14 10:56:58)

月ノ美兎> ラミィさんの貪欲さすげぇ〜〜、っぱホロって魔境だわ…（息をするように敵を作る）   (2024/10/14 10:57:03)

サトノダイヤモンド ◆> はーい、元気出してくーださい♥（目配せ受けて頷き。じゃあ私は右から……むにっと、お顔に失礼しますね。）   (2024/10/14 10:57:37)

サトノダイヤモンド ◆> （思ったよりちょっと恥ずかしい、顔に赤が差しました。）   (2024/10/14 10:58:22)

キタサンブラック> ……（衣装とかの点だけで行ったら、にじさんの方が……ニュイさんとか夜見さんの水着がすごすぎて、目を疑ったアタシが）   (2024/10/14 10:58:25)

月ノ美兎> 敗北したエロガキさんたちによるFC2コスプレ女装レズセックス…わたくし、気になります（千反田みと）   (2024/10/14 10:58:28)

エロガキ♂17L ◆> はぁ……こんだけツッコミ入れてんの何時ぶりだよ……(チーン)   (2024/10/14 10:58:54)

雪花ラミィ> はぁい、キタサトの胸に挟まるラミィ、遺書は今日中に提出しときまーす（主に鼻血による失血とファンからの熱いファンレターで）ひんにゅー同士、情けなくもより愛の深まったドスケベ（自主規制）をしてることでしょうね。   (2024/10/14
10:58:55)

キタサンブラック> はーい、アピールしてくださ～い♡（何か違うこと言いつつ、左から、むにぅ♡とお顔に）   (2024/10/14 10:59:02)

栞葉るり> あー、ごめんなさい、委員長。この辺のエロガキはホモセ…じゃない、女装レズセックスNGなんで〜   (2024/10/14 10:59:28)

雪花ラミィ> これ、これここでやっていいんですか？もう、もうこれお触りなんか？おさわりなん？あーーんもう幸せ♥うーん♥（急に我に戻り散らかしエルフ）   (2024/10/14 11:00:06)

キタサンブラック> あ、るりさん……別に皆さんがみなさんNG……でもない、ですよ？（ぁ   (2024/10/14 11:00:14)

栞葉るり> ですよねですよね、男の娘居ますもんね！！(食い気味)   (2024/10/14 11:00:45)

キタサンブラック> とりあえず、確か胡桃さん曰く……お洋服の上から揉む程度はセーフ、けど、おっぱじめるな！だそうです   (2024/10/14 11:00:59)

エロガキ♂17L ◆> ……(ツッコミ放棄諦めた人)   (2024/10/14 11:01:15)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/14 11:01:28)

月ノ美兎> マジか〜〜、ド変態同人AVの供給不足をこの部屋で補うのはNGってことですね（そんなことしようとしてたのか？）   (2024/10/14 11:01:34)

サトノダイヤモンド ◆> ………、………。（なんでだろう、思ったより恥ずかしくてすっとやめてちょこんと座るダイヤでした。おかしい、おかしい……。）   (2024/10/14 11:01:36)

キタサンブラック> 男の娘……えへぇ♡（ブリジットさんとか、アストルフォさんとか、木下さんとか～……クリムさん、マーレさん、それからそれから～♡   (2024/10/14 11:01:44)

胡桃 ◆> (お触りだよ！ってご満悦な堂主でした、)   (2024/10/14 11:01:57)

キタサンブラック> はい、おわりさです（アナグラム）   (2024/10/14 11:02:27)

栞葉るり> このキタサン、ショタコンだ〜(でも、本人も未成年なのでわっぱ(手錠)をかけられない栞葉なのでした)   (2024/10/14 11:02:34)

雪花ラミィ> なんと、ここにはね、ドスケベコヨーテと、ドスケベ羊と、警察と15連敗中の悪魔さんがいますよ。あとは一生ここで酒呑んでるラミィね。（委員長も飲みまっか？これアカン誘いか？（））   (2024/10/14 11:02:41)

栞葉るり> (じろ。国家権力の目)   (2024/10/14 11:03:05)

キタサンブラック> あ、あれ？ダイヤちゃん？……大丈夫？（とりあえず、アタシも一旦離れておこう、かな？）   (2024/10/14 11:03:40)

サトノダイヤモンド ◆> （実はまだそこまでこの辺りの部屋経験がないサトノ令嬢、キタちゃん・ド・エッチ・ブラックのレベルに追い付くにはまだまだ修行が足りないようです……。）   (2024/10/14 11:04:08)

栞葉るり> (なんならここのキタサン、割と輪姦されるのが気持ちいいみたいな…興奮してましたからね。欲張りさんですよっ)   (2024/10/14 11:04:52)

雪花ラミィ> 堂主さまありがとーございます…！まあ……ラミィも、ここで獺祭の180mLをがぶ飲みしてガチ酔いして、連れ込まれるなんて事例がありましたからな…（もはや恥ずかしい通り越して勲章）これ…これはギリ、百合に挟まるラミィじゃないよな……？  
(2024/10/14 11:05:11)

サトノダイヤモンド ◆> ……羞恥心に駆られてタイミングを逃しましたが胡桃さん、こんにちは…！   (2024/10/14 11:05:18)

キタサンブラック> ……？（ぽふぽふっと頭撫でつつ……あ、あれ？心の中でアタシの方がドエロッテ思われてる！？ダ、大体合ってるけど……実際、昨日だけでも、ここにいる3人と絡んでるわけだし）   (2024/10/14 11:05:23)

月ノ美兎> えへ〜想像の酒なら…（視線を察知）と、取り締まりが厳しい〜！雑談の治安は国家権力と大空警察によって安泰ですね〜！   (2024/10/14 11:05:30)

キタサンブラック> あ、どうもこんにちは（アタシも挨拶すっかり忘れてた。   (2024/10/14 11:05:53)

サトノダイヤモンド ◆> すぐに追いつくからね…。（キタちゃんにすり、と密着しながら……こっそり、尻尾ハグ。くるりん。）   (2024/10/14 11:06:18)

栞葉るり> 堂主の霊圧が…消えた？！(消すな)   (2024/10/14 11:06:18)

キタサンブラック> 想像の～というか、あれですね。あお●りに伝わる、人間用のガソリン？   (2024/10/14 11:06:23)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/14 11:06:24)

エロガキ♂17L ◆> (あ、胡堂主ども)(直接脳内に)   (2024/10/14 11:06:37)

月ノ美兎> 部屋主さんこんにちは〜。こういうときにわたくしの挨拶、絶妙に使いにくくないですか？   (2024/10/14 11:06:40)

エロガキ♂14C ◆> （ビダァンッ！ってオノマトペと共に車○落ち）   (2024/10/14 11:06:51)

サトノダイヤモンド ◆> （○って何が入るんですか…？検ですか…？）   (2024/10/14 11:07:14)

エロガキ♂17L ◆> あ〜、あれか「起立、気をつけ〜」の挨拶か   (2024/10/14 11:07:21)

胡桃 ◆> 皆こんちには！(百合を観察する堂主。だって目の保養になるから。)生きてるよ！？   (2024/10/14 11:07:29)

キタサンブラック> あ〇ぎり高校かな？   (2024/10/14 11:07:34)

栞葉るり> 大空警察には何人かギャンブル中毒者いるので、ザルですからね(ケンカを売るスタイル)   (2024/10/14 11:07:55)

雪花ラミィ> ラミィが口に含んで、そのまま口噛み酒すれば映らないし大丈夫っすよ多分。でもね、このスナックゆきはなの雑談部屋。ここから出ればもう無法地帯、そういう国家権力の犬さんから喰われる（意味深）んですよ。   (2024/10/14 11:08:01)

栞葉るり> あわもりかと思いました(穴の位置ズレてます)   (2024/10/14 11:08:17)

雪花ラミィ> おーよしよし、おつかれ。ナイスファイト。   (2024/10/14 11:08:41)

月ノ美兎> あおぎり高校のやべーやつ（該当多数）   (2024/10/14 11:09:16)

キタサンブラック> ……あ、あはは（ここ、最初はどうかと思ったけど、何気にメスガキ15kbの需要あるんだな～って   (2024/10/14 11:09:21)

栞葉るり> チャドだって生きてましたから！何回霊圧消えるんですあの人！(ミームになって一生消えてる人)   (2024/10/14 11:09:23)

胡桃 ◆> いっそ美兎さんの挨拶で皆がその通り動いたら面白いまであると思うんだ(こくこく。)   (2024/10/14 11:09:37)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/14 11:09:41)

サトノダイヤモンド ◆> それにしてもお酒、ですか……。（見回し……耳ぴょこん！その時、ふと閃いた！このアイディアは、罰ゲームに活かせるかもしれない！）   (2024/10/14 11:09:44)

キタサンブラック> 大代さんがいろいろ凄すぎて……（あれだけ体張れるのは凄い）　あと、小丸さんとか……   (2024/10/14 11:10:04)

エロガキ♂14C ◆> （○の中身は田が正解でした。聖闘士○矢とか。）とりあえず12人Maxの面子はお疲れ様でした、&お初の方ははじめましてー……あと堂主もおはよう（すかすかっ）   (2024/10/14 11:10:11)

栞葉るり> はーりあっぷ…！(ダイヤに拳銃突きつけ。未成年飲酒ダメ、ぜったい)   (2024/10/14 11:10:21)

エロガキ♂17L ◆> 未成年飲酒になることはやめようぜ……(遠い目)   (2024/10/14 11:10:31)

キタサンブラック> ……（ヘルシェイカー矢野？   (2024/10/14 11:10:46)

エロガキ♂13HL ◆> おはようございます♪(ぺこり)   (2024/10/14 11:11:00)

栞葉るり> あおぎりの超美麗モデルいいですよね、こまりさんのおっぱいにはお世話になってます(意味深)   (2024/10/14 11:11:08)

月ノ美兎> さすがにわたくしも浣〇して配信は…あればっかは敵わないと思いましたね〜   (2024/10/14 11:11:09)

雪花ラミィ> あの高校だと、流石にラミィ麗女さんがエロいですねー（エロい云々の話はしてない）。衣装がスケベすぎる。   (2024/10/14 11:11:24)

キタサンブラック> きたかたはこんにちわ～　そろそろ会話がもう読めなくなってきたキタちゃんです   (2024/10/14 11:11:33)

雪花ラミィ> おっ、執事君、こんらみぃ〜⭐︎   (2024/10/14 11:11:36)

栞葉るり> いらっらしゃいませ、エロガキの皆さま方〜♡   (2024/10/14 11:12:07)

サトノダイヤモンド ◆> 栞葉さん、それより先にゲームの罰として人権を無視したレベルの淫行が行われている事実を取り締まってください……！（私はキタちゃんの泥酔が見られるなら堂々と札束を握らせますよ……！）   (2024/10/14 11:12:10)

エロガキ♂14C ◆> とりあえずラミィおねーさんはお膝貸してー。さっき負けたんだからさー、とか寝言言いつつ。なんかログ見たらカチコミやってたり雑談部屋もカオスで笑うしかなかった。   (2024/10/14 11:12:12)

エロガキ♂13HL ◆> ラミィお姉ちゃんこんらみ♪今日もお酒飲むんですか〜？(にこっ)   (2024/10/14 11:12:22)

エロガキ♂17L ◆> お疲れ様、14C……(気配を極限まで消してる人)   (2024/10/14 11:12:28)

キタサンブラック> 麗女さん、なかなかにどこまで冗談でどこから本当か……下着を普段からつけない話とかあいろいろありましたよね。（カッコいいんですけど   (2024/10/14 11:12:29)

エロガキ♂13HL ◆> 初めましての方は初めまして♪勝手に執事服着て執事もどきなことしてるショタ？です〜よろしくお願いします♪(ぺこり)   (2024/10/14 11:12:55)

月ノ美兎> こんにちはショタの皆さん♪あおぎりのハーモニカ咥えて触られるのを我慢する動画、非常にオススメです（ショタに何勧めてる？）   (2024/10/14 11:13:36)

キタサンブラック> 〇腸しての……ゲーム配信でしたっけ、あれは何やってましたかね。あとは、スリザリオ……でしたっけ、ワンデッドごとに飲んだりしておむつ配信とかありましたね   (2024/10/14 11:14:01)

栞葉るり> 人権…？ウマにそんなものが適応されるとでも…？もちろん、わたくし、犬にもそんなものはありませんッ！負けたら全てを失う覚悟です…！(キリッ。膝がくがく、ぶるぶる。負けたらどんな恥辱に塗れるのか…最悪警察なのに未成年淫行でタイーホされるリスクまで背負ってます、とキメ顔)
  (2024/10/14 11:14:04)

エロガキ♂17L ◆> ……(気配消しやめて)そろそろ抜けるわ、みんなお疲れ様〜   (2024/10/14 11:14:29)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/14 11:14:32)

栞葉るり> お疲れ様でした～   (2024/10/14 11:14:42)

胡桃 ◆> 17L君お疲れ様〜   (2024/10/14 11:15:03)

雪花ラミィ> 今酒くせぇけど大丈夫なんか？囁きASMRのフリして酒臭嗅がせるぞ（？）ああ、もう呑んでんで、しっぽりと。ん〜〜、ラミィももっかいあそぼかなー、と思うつつ、明らか楽しい雰囲気のこっちに人吸われて来なそうやな…。   (2024/10/14
11:15:04)

月ノ美兎> お疲れ様です〜   (2024/10/14 11:15:08)

キタサンブラック> ケモミミの良いところは……獣の耳があることで、人権に配慮しなくていいところだよ……という大空警察でも屈指の爆弾でしたね   (2024/10/14 11:15:12)

エロガキ♂14C ◆> 17Lおにーさんおつかれさまぁ……そしていいんちょの調べたら見事に年齢制限付きなのね、このおねーさんさらっと恐ろしき。   (2024/10/14 11:15:22)

キタサンブラック> あ、17さんお疲れ様です   (2024/10/14 11:15:26)

雪花ラミィ> おつらみぃ〜んぃ〜   (2024/10/14 11:15:27)

エロガキ♂13HL ◆> 17さんお疲れ様です♪   (2024/10/14 11:15:44)

キタサンブラック> でも、逆にアタシとかダイヤちゃんは、飲酒の概念からも離れる？   (2024/10/14 11:15:52)

栞葉るり> 大空さんが言ってましたからね(偏向報道)ケモミミはヒトじゃないと…！   (2024/10/14 11:16:08)

サトノダイヤモンド ◆> ウマ娘にはありますよっ！？栞葉さんにもあると思うので自棄にならないでください……！（というわけで慈愛の目で突き付けられる拳銃を下ろしてもらって。そして人権がないならないで飲酒の法に縛られる謂れもないので……。）  
(2024/10/14 11:16:46)

月ノ美兎> 確かに！？キタさんにお酒を飲ませても……合法！？（別の法律に抵触しそう）   (2024/10/14 11:16:50)

エロガキ♂14C
◆> ……耳でお酒の匂いってわかるもんなのかな？でも耳と鼻って通じてるし……うーん。（頭抱え。）ラミィおねーさんが遊びに出るなら付いてくよー。どーせ誰かおねーさんが現れれば雪崩れてたくさん来るから。さっきみたいに。あ、あと次やるなら僕はハンドリング役はパスね……（げっそり）
  (2024/10/14 11:17:15)

キタサンブラック> 麦のガソリン事案がここにおこる？   (2024/10/14 11:17:18)

エロガキ♂14C ◆> なんか第二次居酒屋事案が起こりそうな予感……！   (2024/10/14 11:17:55)

キタサンブラック> ……（そういえば、お酒って下から入れると大変なことになる～って聞くんですけど……今度ラミィさんに勝てたら、やってみるのも？）   (2024/10/14 11:18:00)

雪花ラミィ> うわぁ……。獣には人権ない、コレ、場合によっては萌えますね〜〜〜（傍から飛び出し。エルフは人権適応ですよね。）   (2024/10/14 11:18:04)

栞葉るり> ……でしたら、2つに一つです。淫行と飲酒を見逃すか、どっちも拒むか…です！(つまり人を取るか人を捨てるかの究極の二択)   (2024/10/14 11:18:16)

サトノダイヤモンド ◆> ならやっぱり……最初から銃を突きつけるのはお門違い、ですよね？（にこっと、悲しい方を選ぶのでした。）   (2024/10/14 11:19:20)

栞葉るり> エルフは……どうなんでしょう？車検とか受ける羽目になるかもしれませんね…(ELF)   (2024/10/14 11:19:29)

胡桃 ◆> ラミィさんと私が肩を並べたら地主と居酒屋の店長さんが揃い踏みじゃない！？(もう公認。土地価格はお安くしておくねっ。)   (2024/10/14 11:19:36)

月ノ美兎> お尻から酒を入れられるラミィさんの薄い本、2万までなら出します。（明晰夢を見る怪しい機械と同じくらいの価格）   (2024/10/14 11:19:44)

雪花ラミィ> 耳に口近づけたと思ったら、ゼロ距離で鼻に狙撃するから…（離れ業）ラミィ、仕切ったりとかハンドリングすんの好きやし、一人目になったら多分することになるだろうし、それはええんやけどね〜。スナックホロとスナックにじさんじがせめぎ合ってるんだわ。  
(2024/10/14 11:19:49)

エロガキ♂14C ◆> （キタちゃんのそれは血中アルコール濃度爆上げでガチのアル中になるから色んな意味で手をつけられなくなるのよ。もしくは例の泥酔からの多目的室公開プレイコース。）   (2024/10/14 11:20:17)

サトノダイヤモンド ◆> あ、と…そうだ、キタちゃん。（こそこそ、ヒトより高い位置での耳打ち。私は百合がイケるわけじゃなくて、キタちゃんだからイケるだけだからねー……？って。こそこそ。）   (2024/10/14 11:20:33)

栞葉るり> …わかりました、悲しいことですが、仕方ないですね。ヒトじゃないから関与できません……です(すっと銃口降ろし。悲しい事件でした)   (2024/10/14 11:20:57)

雪花ラミィ> なんかね、腸は水分をギュッてしてくれる役割があって、そこからお酒吸うとマジでとんでもない事になるらしいね。ラミィは入らないんで。酒吸うの口だけだからな！！……あとギリ鼻（？）   (2024/10/14 11:21:01)

エロガキ♂14C ◆> （エルフの車検がツボってのたうちまわってる）   (2024/10/14 11:21:24)

キタサンブラック> は、はへ？え。え？！……あ、あ、はぃ♡（ダイヤちゃんの声が耳に心地いい……っていうか、ダイヤちゃん、百合だめか～そうか～……しょぼん）   (2024/10/14 11:21:44)

栞葉るり> にじさんじではお酒は提供していませんが、愛情を込めた鉛玉をプレゼントしてまーす♡(最悪の箱)   (2024/10/14 11:21:55)

月ノ美兎> マジな話、肝臓でアルコールが分解されないまま腸に突っ込まれると絶対ヤバいですよね〜   (2024/10/14 11:22:01)

サトノダイヤモンド ◆> 多分、ゲームに参加する人はみんな見えないところで人権捨てる旨の誓約書か何か書かされてるんでしょうね。（誰に？堂主に？飛び火。）   (2024/10/14 11:22:46)

栞葉るり> さて、皆々様の脳裏ににじさんじを刻み込みましたのでわたくしはこれで…。ここはホロのシマではないので好き勝手しましょう！(一番好き勝手やってたやつ)それでは〜♡   (2024/10/14 11:23:36)

雪花ラミィ> ラミィ、結婚するならトラックの運ちゃんがイイ♥じゃあねんだワ。ラミィガチ酔いしたら手付けらんねえぞ？ええんか？（）   (2024/10/14 11:23:43)

エロガキ♂14C ◆> ラミィおねーさんはハーフエルフ特権で人間辞めたレベルの技振るいまくるのはチートだと思う。チート。……まあ、抗争が終わるまで待つけどさ。いつからこのお部屋は神○町並の治安になったの……？   (2024/10/14 11:24:05)

栞葉るり> ばぁん♡(崩壊スターレイルのカフカのアレでエルフを威嚇しつつ……)   (2024/10/14 11:24:21)

サトノダイヤモンド ◆> キタちゃん限定…♥（仮面付けててもいいからね…なんて。うん、照れくさい。視線逸らして、尻尾だけ絡めておくね。）   (2024/10/14 11:24:21)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/14 11:24:24)

胡桃 ◆> にじホロの熱い戦いが(そのうち)始まる…！(？)お疲れ様〜！   (2024/10/14 11:24:28)

エロガキ♂14C ◆> るりおねーさんおつかれさまー。あまり話せなかったけどエルフの車検面白かったからまたお話ししたいなー。（てふりふり）   (2024/10/14 11:24:33)

サトノダイヤモンド ◆> あ、お疲れ様です、栞葉さん。今度配信見てみますね～…。（手ひらひら。）   (2024/10/14 11:24:51)

キタサンブラック> そして、そろそろお昼の準備もあるので……アタシ、そろそろ一旦…（撤退かな？）　あ、うん、了解。ありが、とう？（まぁ、他の人とだめでもいろいろアタシはできるってOKもらった、ってこと、だよね？た、たぶん！）   (2024/10/14
11:25:14)

胡桃 ◆> 大丈夫！ゲーム参加者全員、もれなく罰で逝く事になってもその時のアフターケアは私に任せてね？(ここぞってばかりに本業発揮。違うい味のアフターは私の得意分野だよ！)   (2024/10/14 11:25:31)
