/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月15日 13時14分 ～ 2024年10月15日 21時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

雪花ラミィ> おやつ食べ終わったら遊ぶ？遊ぶかい？（）   (2024/10/15 13:14:41)
エロガキ♂19b ◆> 次は10分を目指します   (2024/10/15 15:13:53)

キタサンブラック> 帰宅はゆっくり、自己ベストが事故ベストにならないように気を付けてくださいね？   (2024/10/15 15:13:56)

エロガキ♂14C ◆> あ、キタちゃんキタちゃん。ほんの一瞬だけ幽体貸してもらえる？（ちょいちょい）   (2024/10/15 15:14:21)

エロガキ♂19b ◆> 自転車で走ってると気持ちよくなって速度だしすぎちゃうんだよねぇ   (2024/10/15 15:14:29)

キタサンブラック> はい？幽体？   (2024/10/15 15:14:37)

エロガキ♂14C ◆> ほんの数分だけお話したい事があるから待ち合わせにお部屋作るんで来て欲しい！   (2024/10/15 15:15:18)

シラベドンナ> おかえり！そして私もそろそろ電車が着く頃合いだ   (2024/10/15 15:15:30)

キタサンブラック> あぁ、はい、大丈夫デスよ、では、ちょっとだけ席を外しますね。   (2024/10/15 15:15:44)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/15 15:15:48)

エロガキ♂19b ◆> 了解！！シラベドンナちゃんはまたこんどゆっくりはなそうね～   (2024/10/15 15:16:24)

エロガキ♂14C ◆> シラベドンナさんもお疲れ様です！またお話してくださいー！   (2024/10/15 15:17:07)

エキドナ ◆> ギリギリ、かな   (2024/10/15 15:17:10)

エキドナ ◆> 戻ったよ   (2024/10/15 15:17:40)

エロガキ♂19b ◆> ほんとギリギリ、お帰りなさいー！   (2024/10/15 15:18:02)

シラベドンナ> おかえり！そして失礼するよ！どうもありがとう！   (2024/10/15 15:19:39)

おしらせ> シラベドンナさんが退室しました。  (2024/10/15 15:19:46)

エキドナ ◆> 色々と出入りがあるみたいだね、、離席していたから今把握させてもらったが、こんにちは、とお疲れ様と言っておこうかな   (2024/10/15 15:19:55)

エロガキ♂19b ◆> 今は2人ほど幽体離脱中で俺しかいないんだけどね～、シラベドンナちゃんお疲れさま～！   (2024/10/15 15:20:06)

エキドナ ◆> 皆忙しいのだろうね、、   (2024/10/15 15:21:14)

エロガキ♂19b ◆> んま、静かな雰囲気も好きだからいいけどね～   (2024/10/15 15:21:35)

エキドナ ◆> お祭りは見てるだけで満足なボクにはいつもの、かな   (2024/10/15 15:22:34)

エロガキ♂19b ◆> あはは！エキドナちゃんらいつもここでお茶してるもんねぇ、乱戦も楽しいけど...ぐだるからな   (2024/10/15 15:23:29)

エキドナ ◆> ボクと戦いたいのなら人の少ない時間の方が狙い目かもね、、？(くす、)   (2024/10/15 15:24:41)

エロガキ♂19b ◆> お昼の時みたいにね、、あれは楽しかったよ   (2024/10/15 15:25:38)

エキドナ ◆> キミは少しばかり意地が悪い、、   (2024/10/15 15:26:04)

エロガキ♂19b ◆> ふふ、褒め言葉として受け取っておくよ～..次は生足見せて貰おうかな～   (2024/10/15 15:26:52)

エキドナ ◆> 足を見たいのなら焦らない事だね、、あまりに早いと嫌われてしまうだろう？(くす、)   (2024/10/15 15:28:02)

エロガキ♂19b ◆> 勝ったときに見せて貰うことにするよ、嫌われるのは嫌だしね～...ふふ、、逆バニーコスを着せるのも悪くないかも(ぶつぶつ)   (2024/10/15 15:29:09)

エキドナ ◆> そうだね、楽しみは後の方が効果も大きい、、と言ってもキミはまた別の企みがあるみたいだけれどね   (2024/10/15 15:30:59)

エロガキ♂19b ◆> あは！そうだね、、次やるときまでエキドナちゃんの生足は我慢、その可愛らしいきれいな顔を眺めるにとどめておくよ！   (2024/10/15 15:32:12)

エキドナ ◆> ん、あまり見詰められても恥ずかしいんだけどね、、   (2024/10/15 15:33:36)

エロガキ♂19b ◆> いいじゃないか～、減るもんじゃないしな、、それにほんとはそのきれいな顔撫でたいって思ってたりしてね～、必至に押さえてるけどさ   (2024/10/15 15:35:05)

エキドナ ◆> キミはボクを口説いてどうするつもりだい、、？からかって遊ぶのならベティを呼ぼうか？   (2024/10/15 15:37:33)

エロガキ♂19b ◆> 彼女は俺のことをガチで殺しにくるからなぁ...   (2024/10/15 15:38:21)

エキドナ ◆> 失礼な事を言うからだろうね、、彼女ももうレディだからね   (2024/10/15 15:39:35)

エロガキ♂19b ◆> 小さいこはついついからかいたくなるのさ！！あと600年もしたら大きくなるとかいってたけどほんとに大きくなるかぁ？   (2024/10/15 15:40:38)

エキドナ ◆> その気持ちは分からなくも無いよ。ただベティには命をかけて遊ばないとね？(くす、)さぁ？彼女がそう言ったのならそうなのかもね？   (2024/10/15 15:42:07)

エロガキ♂14C ◆> 幽体離脱してたけど色々やるからこのまま落ちるー！   (2024/10/15 15:42:44)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/15 15:42:46)

エキドナ ◆> お疲れ様だね   (2024/10/15 15:42:57)

エロガキ♂19b ◆> あはは、さすがに首飛ばされたら死ぬからね..あの子は近づいたら平然とやってくるだろうし、、なんとか近づければいいんだがねぇ...あ、14C君お疲れさま～   (2024/10/15 15:43:27)

エキドナ ◆> 0は1に在らずだよ。一足飛びに仲良くなんてそうなれるものじゃないさ   (2024/10/15 15:45:26)

エロガキ♂19b ◆> 確かにそうかもねぇ、、まぁいつかは仲良くなれるだろう精神でいるとするよ、今は無理でも明日にはってやつだな   (2024/10/15 15:46:32)

エキドナ ◆> 元よりあの子は寂しがりだからね、そばに居るだけでも何らかはあると思うよ？   (2024/10/15 15:47:32)

エキドナ ◆> (ボクが手を出さないようにと言い含めれば簡単だけどそれじゃあ面白くもないからね、、)   (2024/10/15 15:48:38)

エロガキ♂19b ◆> そうだなぁ、、んま、見かけたら積極的にあいにいくさ..名前が呼びづらいのが唯一の欠点だけどさ...なんか、略して呼べないのかなぁ..   (2024/10/15 15:49:44)

エキドナ ◆> ベアトリス。もしくは大精霊とでも呼んであげれば機嫌を良くするんじゃないかな？(くす、)   (2024/10/15 15:51:26)

エロガキ♂19b ◆> なら大精霊ちゃんと呼ぶことにしようかな、、次合うときが少し楽しみになってきたな   (2024/10/15 15:52:41)

エキドナ ◆> まだそれなら何も、、多分何も言わないさ、、   (2024/10/15 15:53:24)

エロガキ♂19b ◆> おっと、、ちょっと怖いけどいいや、大精霊ちゃんと仲良くするためにも頑張ってみますかねぇ   (2024/10/15 15:54:59)

エキドナ ◆> そうだね、、ボクからはこれ以上は言わないでおこうかな。あの子の為にも、、   (2024/10/15 15:55:57)

エキドナ ◆> すまないがボクもそろそろ1度離れる頃合だよ   (2024/10/15 15:56:47)

エロガキ♂19b ◆> ゆっくりと仲良くなるさ...ゆっくりとね、、おっと了解、長い間付き合ってくれてありがとね～   (2024/10/15 15:57:06)

エキドナ ◆> 飛び飛びになってしまって申し訳ないね。またゆっくりと話そうか、またどこかで、、   (2024/10/15 15:57:36)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/15 15:57:38)

エロガキ♂19b ◆> エキドナちゃんお疲れさま   (2024/10/15 15:58:29)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/10/15 16:23:34)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/15 17:38:28)

パンドラ ◆> こちらでしたね、、   (2024/10/15 17:38:33)

パンドラ ◆> こんばんは   (2024/10/15 17:38:52)

パンドラ ◆> 少しだけ、そう本当に少しだけお邪魔しますね？   (2024/10/15 17:42:09)

パンドラ ◆> また後ほど、、。   (2024/10/15 18:02:17)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/15 18:02:19)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/15 18:37:32)

エロガキ♂13HL ◆> こんばんは♪   (2024/10/15 18:38:47)

エロガキ♂13HL ◆> 誰か来るか分からないけど待ってみようかな〜   (2024/10/15 18:39:04)

エロガキ♂13HL ◆> さーさー物好きなお姉ちゃんもしくはお兄さんがた誰が1番に来るだろうか…(にこにこ)   (2024/10/15 18:44:34)

エロガキ♂13HL ◆> みんなちょうどご飯時かなー？   (2024/10/15 19:31:08)

エロガキ♂13HL ◆> んぁ…やっぱり三連休明けだとこうなるね〜…。もうちょっと待ってれば少しは賑わいそうな気もしないこともない   (2024/10/15 20:03:02)

エロガキ♂13HL ◆> 天井裏の人は増えてるのになー…まぁよく分からないガキと2人きりで話すのは…っていう気持ちは分かるけど…。   (2024/10/15 20:25:10)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/15 20:25:41)

エロガキ♂13HL ◆> 他の人と仲良くなりたい気持ちは本当なのでいつでもきてくださーい！   (2024/10/15 20:26:06)

胡桃 ◆> 私は色々してるからいたりいなかったり〜♪寝落ちの罪を懺悔してきた胡桃だよ！   (2024/10/15 20:26:18)

エロガキ♂13HL ◆> って…胡桃ちゃんだー！なんだろこの安心感…   (2024/10/15 20:26:37)

胡桃 ◆> それから私から一つだけいいかな〜…？   (2024/10/15 20:26:42)

エロガキ♂13HL ◆> はーい！   (2024/10/15 20:28:42)

胡桃 ◆> 長時間1人で居座ってて人が来ない時は1回抜けた方がいいかもって。ダメ！とまではまだ言わないけど、一応ね？   (2024/10/15 20:30:24)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/15 20:31:39)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/15 20:31:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/15 20:31:56)

エロガキ♂13HL ◆> あっ…そうですよね！これから気をつけます。   (2024/10/15 20:31:56)

パンドラ ◆> 追いかけっこがお望みとの事でしたので、つい、、♪   (2024/10/15 20:32:04)

胡桃 ◆> あ、私に話のある人とその他セット！(酷い言い方)   (2024/10/15 20:32:09)

パンドラ ◆> こんばんは、   (2024/10/15 20:32:12)

エロガキ♂19b ◆> やること終わって顔だしに、、こんばんはー。その他セットですー   (2024/10/15 20:32:19)

胡桃 ◆> こんばんは〜！   (2024/10/15 20:32:22)

エロガキ♂18D ◆> こんばんは～、よろしくお願い致します……どうも、おまけでございますおまけでございます   (2024/10/15 20:32:26)

パンドラ ◆> お話は後で、暇な時で構いませんので、、何せ急ぐ用事でもありませんから、、   (2024/10/15 20:32:40)

エロガキ♂18D ◆> って、いつ来たんだ……知らなかった…   (2024/10/15 20:32:41)

パンドラ ◆> 私はいつでも居ますけれど、いつ居るかは分かりません。なんてどうでしょう？(くす、)   (2024/10/15 20:33:23)

エロガキ♂13HL ◆> やっぱりすごいなー胡桃ちゃんは…。こんなに大勢の人たちを引き連れてきちゃうんですから…！   (2024/10/15 20:33:33)

胡桃 ◆> 皆お疲れさま、今日はもうゆっくりできるのかな？あまり働き詰めは体に毒だから、気をつけないとね。私のお世話になるにはまだまだ早いよ〜♪お客様ならいつでも、歓迎だけどね！   (2024/10/15 20:33:41)

エロガキ♂18D ◆> (一番休んで欲しいのは貴女なんですけどね……働き詰めなのは貴女…と怪訝な顔をしながら)   (2024/10/15 20:34:37)

エロガキ♂13HL ◆> こんばんは〜みなさん、色々とお疲れ様です…！そして僕は反省も加味して1度落ちますね…！長時間1人で居座ってしまって申し訳ないです！お邪魔しました！   (2024/10/15 20:34:42)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/15 20:34:49)

胡桃 ◆> たまたまそういうタイミングなんじゃないかな。そろそろいい時間だし？一勝負前ってことかもしれないし。   (2024/10/15 20:34:54)

エロガキ♂18D ◆> 自分はたまたま見かけたら入ったので……13さんはお疲れ様でした。   (2024/10/15 20:34:58)

エロガキ♂19b ◆> 長時間の居座りは俺もだから反省っと   (2024/10/15 20:35:04)

パンドラ ◆> なら少しはこちらで歓談されてからではどうですか？私は主のあなたの、本当に暇な時間で構いませんので、、ただの確認ですから   (2024/10/15 20:35:22)

胡桃 ◆> あぁ…うん、お疲れさま。私の変な気遣いかもしれないから、あまり深く思い詰めないでね！   (2024/10/15 20:35:31)

エロガキ♂18D ◆> 大抵19Bさんは居る印象がありますねぇ……   (2024/10/15 20:35:46)

パンドラ ◆> お疲れ様です。きっと今頃晩御飯でも食べていることでしょう   (2024/10/15 20:36:00)

エロガキ♂19b ◆> おいそのいい方だと俺が暇人みたいじゃないか！！、そうだけど   (2024/10/15 20:36:27)

胡桃 ◆> (時間があるのはいいことだよ。19c君の肩ぽんぽん、)   (2024/10/15 20:36:53)

胡桃 ◆> bだよ！   (2024/10/15 20:37:04)

エロガキ♂18D ◆> おや、そんなつもりで言ったわけじゃないですが……自覚があるとでも？ …………お願いだから胡桃さんは寝て……心配になるので……   (2024/10/15 20:37:21)

胡桃 ◆> お話も私が戻ってくればできるわけだし…別に今でもいいよ？パンドラさんの都合で私は大丈夫！   (2024/10/15 20:37:37)

パンドラ ◆> 昨晩何時間お休みになられましたか？   (2024/10/15 20:37:39)

エロガキ♂19b ◆> ふふふ、、授業中もここにこれるぐらいには時間は沢山あるからねぇ   (2024/10/15 20:37:41)

エロガキ♂18D ◆> (流石ここの主だ……面構えが違う！！)   (2024/10/15 20:38:04)

胡桃 ◆> 私寝てない人だと思われてない！？ちゃんと寝てるから！(健康的なお顔。目の隈1つないよ！)   (2024/10/15 20:38:40)

パンドラ ◆> 私の都合としてはそうですね、、あなたの眠る前、いつに寝られるのかは分かりませんが朝までは起きてますので、どこかのタイミングで、、   (2024/10/15 20:38:52)

パンドラ ◆> 何時間、、寝られましたか？   (2024/10/15 20:39:16)

胡桃 ◆> (今新兵を育てる教官さんいなかった…？)   (2024/10/15 20:39:19)

エロガキ♂18D ◆> 確かに肌綺麗なんですよねぇ……胡桃さん……どこで休んでるのか……んで、何時間寝られたんですか？   (2024/10/15 20:39:29)

胡桃 ◆> 19b君？授業中って聞こえたのは気のせいかな？(頬抓り。聞き間違えかなって。)   (2024/10/15 20:40:23)

パンドラ ◆> 張り合うものでは無いですが、最低でも3時間は寝て頂かないと、、   (2024/10/15 20:40:23)

エロガキ♂18D ◆> (恐らく毎日誰かを待ち続けている者だ、面構えが違う)   (2024/10/15 20:40:31)

胡桃 ◆> わ、私に対する睡眠時間の尋問が強すぎない…？圧迫面接みたいだよ！   (2024/10/15 20:41:42)

パンドラ ◆> そうですか、、？何時間寝られたんでしょうか？   (2024/10/15 20:42:08)

エロガキ♂19b ◆> いや、、パソコン弄って課題やってるだけだから...痛い！！痛いです！！   (2024/10/15 20:42:44)

エロガキ♂18D ◆> では私から一つ。貴女は毎日働き詰めているとこの書類から推察されますが……何時間睡眠時間を取られているのでしょうか？(ゲ○ドウポーズ)   (2024/10/15 20:42:47)

エロガキ♂19b ◆> 俺も胡桃ちゃんが何時間寝てるか気になるな～   (2024/10/15 20:43:28)

パンドラ ◆> 大人しく白状していただけませんか？   (2024/10/15 20:43:44)

胡桃 ◆> (どうしよう、皆が珍しく怖いんだけど。あ、旅人！ちょっと助け……え？自分でなんとかして？酷い！)   (2024/10/15 20:44:21)

胡桃 ◆> ではここで問題だよ！(唐突！堂主クイズのお時間！)   (2024/10/15 20:44:55)

エロガキ♂18D ◆> 確か前に4時くらいに居ませんでしたかね？？どこだったか忘れましたが……んで、いつ白状してくれるんですか？   (2024/10/15 20:45:52)

胡桃 ◆> 私は何時間寝たでしょうか。A.8時間B.6時間C.5時間未満D.あまり覚えてない   (2024/10/15 20:46:09)

パンドラ ◆> クイズですか？楽しみですね   (2024/10/15 20:46:12)

エロガキ♂18D ◆> C   (2024/10/15 20:46:24)

パンドラ ◆> E。あなたは3時間ほど眠れたかどうか。   (2024/10/15 20:47:20)

エロガキ♂19b ◆> C   (2024/10/15 20:48:02)

胡桃 ◆> クイズにならない答えが飛んできたね…   (2024/10/15 20:48:05)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/15 20:48:41)

エロガキ♂17L ◆> Dと答えておこうかな、こんばんは   (2024/10/15 20:49:10)

胡桃 ◆> 正解は〜…♪……CMの後で！   (2024/10/15 20:49:11)

胡桃 ◆> はーい、こんばんは！   (2024/10/15 20:49:20)

エロガキ♂19b ◆> いわないのかよ！？   (2024/10/15 20:49:31)

エロガキ♂18D ◆> ここにCMの概念はないのですぐ答えて貰いましょうか？   (2024/10/15 20:49:39)

胡桃 ◆> あ、あー……私ちょっと反応遅くなるよ？   (2024/10/15 20:50:25)

パンドラ ◆> ではすぽんさーは全て倒産しました、、   (2024/10/15 20:50:40)

パンドラ ◆> はい、お仕事ですね。行ってらっしゃい   (2024/10/15 20:51:25)

エロガキ♂18D ◆> 往生際が悪いですね、往生堂の堂主だけに……   (2024/10/15 20:51:32)

エロガキ♂18D ◆> あ、行ってらっしゃいませ   (2024/10/15 20:51:44)

エロガキ♂17L ◆> いってらっしゃい   (2024/10/15 20:51:55)

エロガキ♂17L ◆> 勝負部屋に人がいるようだし支援に行ってこようかな……戻ってくるかどうかはわからん、てことでサラダバー   (2024/10/15 20:55:41)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/15 20:55:47)

パンドラ ◆> 行ってらっしゃい   (2024/10/15 20:56:06)

エロガキ♂18D ◆> 此方も行ってきましょうか……   (2024/10/15 20:56:16)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/15 20:56:18)

エロガキ♂19b ◆> 行ってらっしゃい～   (2024/10/15 20:56:25)

胡桃 ◆> あ！！   (2024/10/15 20:56:33)

胡桃 ◆> お、お仕事してくるねー……   (2024/10/15 20:56:44)

パンドラ ◆> 逃げましたね   (2024/10/15 20:57:54)

胡桃 ◆> いやー…監視されてるの意味がわかった気がしてさ。ちゃんと直してきただけだよ   (2024/10/15 20:58:20)

パンドラ ◆> また後ほどお聞きさせてくださいね？   (2024/10/15 20:58:26)

パンドラ ◆> どういうことでしょう？   (2024/10/15 20:58:44)

パンドラ ◆> お話しづらい内容でしたら構いません、、   (2024/10/15 20:59:34)

胡桃 ◆> わかる人にはわかるかもしれないし、当人はそういうつもりで言ったつもりじゃないかもしれないけど。私としてはちょっと助かっちゃったな〜って   (2024/10/15 20:59:43)

胡桃 ◆> ……個室の方から版権の文字消してきたの！   (2024/10/15 21:00:01)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/15 21:00:17)

胡桃 ◆> あ、こんばんは！   (2024/10/15 21:00:42)

エロガキ♂19b ◆> こんばんはー   (2024/10/15 21:00:55)

パンドラ ◆> そういう事でしたか、、   (2024/10/15 21:01:18)

栞葉るり> そう、御名答。わたくしが言いたかったのはそれのことですね。文字が入ってるとタグで検索した際にまとめて引っかかるので…おや？と思い、ああいう書き置き？をしたわけですね   (2024/10/15 21:01:25)

パンドラ ◆> あら、改めてこんばんは   (2024/10/15 21:01:42)

栞葉るり> ご機嫌麗しゅう、にじさんじの犬です♪   (2024/10/15 21:01:52)

パンドラ ◆> 貴女のお気遣いに感謝を、、   (2024/10/15 21:02:31)

胡桃
◆> やっぱり〜？気づくのに遅れたけど、意味がわかったからすぐ直させてもらったの。いやー…本当にありがと！せっかくタグとか付けてないのにあれじゃ引っ掛かっちゃうもんね。なるべく版権さんの検索結果に私の建てた部屋ばかり写るの申し訳なかったし、書き置きありがとね
  (2024/10/15 21:03:07)

栞葉るり> わたくしも検索に引っかからない部屋というのを作ったことがあるのでその辺には敏感なんです。こう、人の目はどうしても気になる…けど、二人じゃなくって仲良しな人何人かと時間を過ごしたい…そういう場合のお部屋ですねー   (2024/10/15
21:03:15)

胡桃 ◆> そうなんだよね〜…だから私も、本当は説明とか全部端折って、この部屋のリンクからでしか基本的にはわからないくらいの少人数部屋にしたかったつもりではあったり…。(家主は色々あるよね、うん。)   (2024/10/15 21:05:05)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/15 21:05:43)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/15 21:05:54)

エロガキ♂18D ◆> 暇潰しに勝負したら負けました、はい   (2024/10/15 21:06:00)

胡桃 ◆> 某所で言うところの検索避けとかね、本当は取り入れたいけど……多分、わかんない人とかの方が多いかもしれないしそれは諦めたり。   (2024/10/15 21:06:01)

エロガキ♂17L ◆> おなじく   (2024/10/15 21:06:07)

胡桃 ◆> 2人はおかえりなさい、楽しめた？   (2024/10/15 21:06:10)

エロガキ♂19b ◆> お帰り～   (2024/10/15 21:06:18)

パンドラ ◆> おかえりなさい   (2024/10/15 21:06:19)

胡桃 ◆> ……えー、情けないんだけど！   (2024/10/15 21:06:20)

栞葉るり> 他人の目に触れれば余計な人を招く恐れもありますからね。利用者を余計とか言っちゃ悪いんですけど、わたくしは管理者ではないのでそういう言葉を選ばせてもらいます！必ずしも、余計というのは悪い意味ではなくって、不必要の滞在を防ぐという意味での言葉なので！わたくしをそんな目で見ないでください！！
  (2024/10/15 21:06:35)

栞葉るり> おかえりなさい♪   (2024/10/15 21:06:43)

エロガキ♂17L ◆> ダイス振れるだけで楽しいから俺としては勝ち負けあんま気にしてないけどね〜、支援の時は   (2024/10/15 21:06:50)

エロガキ♂18D ◆> 力及ばずでございました、お二人が強かった……！あ、この前委員長さんと一緒にバトルした方ですね、改めまして初めまして。よろしくお願い致します   (2024/10/15 21:07:07)

栞葉るり> この世で最も簡単な検索避け、それは文字化けした漢字を1文字だけ使って部屋の説明も消す！以上！これで99.9％はシャットアウトできます。もちろん、これでも検索には引っかかるので…絶対に知ってる人しか入れない部屋っていうのは無理があったり…。  
(2024/10/15 21:08:29)

パンドラ ◆> そろそろ、やめておきましょうか   (2024/10/15 21:09:01)

栞葉るり> はぁい、よろしくお願いします。また時間があれば誰かの後ろから撃つハメになるかもしれませんね〜(にこ)   (2024/10/15 21:09:02)

パンドラ ◆> と、私が言ってみます♪   (2024/10/15 21:09:58)

栞葉るり> そうですね、こういう話こそここでするべきではないとわたくしも思います。なので、色々知ってるつもりではありますから、何か聞きたければ呼び出すなりなんなりしてもらえたら役に立つ犬かもしれません♪   (2024/10/15 21:10:21)

胡桃 ◆> 私は興味あるから、今度るりさんとは2人で話してみたいかな。でも確かに、今ここで長々とする話でもないし…また今度2人の時にるりさんのお話し聞かせて〜？(にひひ、)   (2024/10/15 21:10:25)

栞葉るり> ネットに強い犬！！(自称)   (2024/10/15 21:10:35)

エロガキ♂18D ◆> うーーん、狂人(本当にこの人は国家権力持たせて大丈夫なのか？？) 狙撃手はどこから狙っているかわからない……！   (2024/10/15 21:10:40)

エロガキ♂18D ◆> (それ言うとオモチャにされる末路しか見えない……)   (2024/10/15 21:10:59)

栞葉るり> スナイパーの方はですね、基本常に狙ってます。許可さえ降りればバン！なので…。まぁ、アンドロイドの立て籠もりでさえわたくしの前では無力でしたがね(積み上がる動かなくなったコナーくんの山)   (2024/10/15 21:12:19)

エロガキ♂17L ◆> ……これじゃ､どでかい鉄の闇夜のカラスは撃ち落とせんよ｡ (某赤〇秀一ボイス)   (2024/10/15 21:13:13)

栞葉るり> あ、ちなみにわたくしは会社の偉い人に…お前が秩序になれって言われたので国家権力より上の存在です。わたくしの隣には法以外建てませんのでご了承ください♪   (2024/10/15 21:13:48)

おしらせ> エロガキ♂19Q ◆jwzTa4PnO.さんが入室しました♪  (2024/10/15 21:13:54)

エロガキ♂19Q ◆> こんばんは   (2024/10/15 21:14:01)

パンドラ ◆> こんばんは   (2024/10/15 21:14:08)

エロガキ♂17L ◆> ん、こんばんは〜   (2024/10/15 21:14:10)

エロガキ♂19b ◆> こんばんは～   (2024/10/15 21:14:13)

エロガキ♂18D ◆> まぁそこまで失礼なこと言うつもりは無いので…(本当に敵に回したらアカンけどこの人もサイコロ振るんだよなぁ……うーわ、より質の悪いタイプですよこれ)   (2024/10/15 21:14:20)

エロガキ♂18D ◆> こんばんは、お疲れ様です   (2024/10/15 21:14:27)

エロガキ♂19b ◆> あかん挨拶BOTになり始めてる...まあいいや   (2024/10/15 21:14:34)

栞葉るり> でも胡桃さんは忙しそうですし、ほんとうにどうしようもなく暇で暇で死んでしまいそうな時はお呼びください♪まずは自分の身体を大事に、ですよ？(間違ってもお酒なんか決めちゃいけません。と、某スナックに牽制しつつ)   (2024/10/15
21:14:53)

エロガキ♂19Q ◆> みんななんの話してるん？   (2024/10/15 21:15:34)

胡桃 ◆> 19Qさんこんばんは〜   (2024/10/15 21:15:37)

栞葉るり> ご機嫌麗しゅう〜   (2024/10/15 21:15:39)

パンドラ ◆> さぁ？私には分かりませんから   (2024/10/15 21:15:46)

エロガキ♂17L ◆> ん〜、まぁ色々？   (2024/10/15 21:15:48)

エロガキ♂18D ◆> (この人、ひょっとして某氏を取り締まれる稀有な存在なのでは……？)   (2024/10/15 21:15:53)

栞葉るり> なんの話ですか…直近だとわたくししか喋ってませんね、これ！   (2024/10/15 21:16:03)

エロガキ♂18D ◆> 本当に四方山話ってヤツですね…   (2024/10/15 21:16:10)

栞葉るり> ほらほらもっと盛り上げて…！！   (2024/10/15 21:16:17)

胡桃 ◆> 私暇すぎて死ぬことはないと思うけど、今はちょっと画面と睨めっこしてるくらい？(呼び出したら出てこれるの？召喚獣みたいなんて言ったら怒られそうだからお口チャック。)   (2024/10/15 21:17:11)

エロガキ♂19Q ◆> 盛りあげるって、どうしたらいいんだ？   (2024/10/15 21:17:12)

エロガキ♂17L ◆> 俺から提供出来るほど話題の引き出しは大して多くないからな〜なんかある？19b(無茶ぶり)   (2024/10/15 21:17:21)

エロガキ♂19b ◆> ！？   (2024/10/15 21:17:32)

パンドラ ◆> 楽しそうですね(くす、)   (2024/10/15 21:17:33)

エロガキ♂19Q ◆> 19bなら、たくさんあるだろ   (2024/10/15 21:17:51)

胡桃 ◆> 19b君が頼りだよ！(無茶ぶりの上掛け)   (2024/10/15 21:17:54)

エロガキ♂18D ◆> 確かに、普段ねぇ……部屋に居たりするくらいですから、たくさんありますよね？19bさん？   (2024/10/15 21:18:02)

エロガキ♂19b ◆> 好きなタイプをいいなさい。拒否する場合は自分の黒歴史を1ついうこと(強制)   (2024/10/15 21:19:05)

エロガキ♂17L ◆> タイプか〜キャラ名で例えても可？   (2024/10/15 21:19:38)

栞葉るり> んー、場合によりますよねぇ…。わたくしも国家の犬でもありますので、職務とか色々…。なので、夜中のが都合が付きやすいかも知れません。まだ画面から飛び出すような事が出来るのは貞子とぶりぶり左衛門くらいですからそこまでちょっと…！(画面にかじりついてたら頭突きできるくらいの技術があればいいんですが。こらー！！歩きスマホやめなさい！！とか)
  (2024/10/15 21:19:51)

パンドラ ◆> その話題、、あら？聞き覚えがありますね？(ふふ、)   (2024/10/15 21:19:51)

胡桃 ◆> 私は昨日寝落ちしました……(目逸らし、)   (2024/10/15 21:19:58)

エロガキ♂18D ◆> 今朝言ったんでログ見てください(ありがとうエキドナさん……！)   (2024/10/15 21:20:02)

エロガキ♂19b ◆> ダメだ！もう一度いうんだ！   (2024/10/15 21:20:13)

エロガキ♂19Q ◆> 好きなタイプかぁ..   (2024/10/15 21:20:32)

エロガキ♂19b ◆> キャラで例えてもいいよ～、んま言い出しっぺの俺からいうよ   (2024/10/15 21:20:36)

