/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月21日 21時07分 ～ 2024年10月22日 12時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18Z> (ぬるん)こんばんは〜   (2024/10/21 21:07:43)
エロガキ♂14C ◆> 18Dにーさんこんばんは。……なんでそんなテンションたかいの……？   (2024/10/21 23:55:35)

雪花ラミィ> ラミィが酒注いでる間に犬が通り過ぎてったんだが…？きぃみぃ〜のなをうたぁぁうため〜〜にぃぃ…いいぃ〜…ぃぃ〜（余韻）   (2024/10/21 23:55:59)

エロガキ♂18D ◆> ……たまには違うことをしてみようと思っただけなんです……うわ、店長いる！！   (2024/10/21 23:56:15)

エロガキ♂19b ◆> 18D君こんばんは！   (2024/10/21 23:56:32)

雪花ラミィ> ラミィが寝てる間にイカれたん？この子は。   (2024/10/21 23:56:35)

エロガキ♂18D ◆> お疲れ様です重役……いえ、これは出来心です……はい   (2024/10/21 23:57:08)

エロガキ♂14C ◆> （とりあえず酔っ払いハーフエルフの耳元で囁いてみましょう、おーあーおーあーい）   (2024/10/21 23:57:21)

エロガキ♂18D ◆> (なるほど……ハーフエルフの耳元に近付いて…)いぇぇえぇえぇぇぇ～～～～～い！！(某サンシャインの真似)   (2024/10/21 23:58:10)

雪花ラミィ> 店長復帰したよ。いやもう直ぐなんか寝込みそうだけど寒いから…！シバくぞ…病人はボケは振りまけても回収することは出来ねぇんだよコラ！！（どこからともなく取り出したメガホンで二人の頭をバコーン）   (2024/10/21 23:59:53)

エロガキ♂18D ◆> あー、確かに一気に寒くなりましたもんね……それで体調崩した感じでしょうか……いったぁ……！！(あ、このネタ分かる人だ)   (2024/10/22 00:01:00)

エロガキ♂14C ◆> 病人の癖に酒くびぐびしてんじゃないよぉ！（しばかれた頭抱えつつぎぃ、と睨みつけ）   (2024/10/22 00:01:27)

エロガキ♂19b ◆> 俺も便乗して叫んだ方がいい？   (2024/10/22 00:01:56)

エロガキ♂18D ◆> (この人酒は百薬の長って言いながらぐびぐび飲みそう……つまり、手遅れです)   (2024/10/22 00:02:16)

エロガキ♂14C ◆> ……しばかれる覚悟あるなら？ただ、その前にちょいこの呑兵衛に個人的に言いたい事があるんだけど……少しの間借りても？（モノ扱い）   (2024/10/22 00:02:52)

雪花ラミィ> 酒はラミィの漢方薬でしょうが！！万物に効くんだぞゴラ！！（）叫んでもいーよっ。しばいたげるからね⭐︎（ぶぅん！ぶぅん！って音が立つぐらいのメガホンの素振り）   (2024/10/22 00:02:56)

雪花ラミィ> はい。ラミィ借りられます。   (2024/10/22 00:03:33)

エロガキ♂19b ◆> んま、、叫ぶとしても外に向かって叫ぶからいいんだけどさ   (2024/10/22 00:03:34)

エロガキ♂14C ◆> 外に叫ぶ方が迷惑じゃ……？   (2024/10/22 00:03:54)

エロガキ♂18D ◆> 万物に効いたらガンも心臓病も肺炎も治るんですよ……！無理だろうて……！(あーでもやっぱ実家のような安心感ありますわ～)   (2024/10/22 00:04:09)

エロガキ♂19b ◆> 昨日既にやったから...1回やったら2回も3回も同じだね   (2024/10/22 00:04:41)

エロガキ♂14C ◆> えぇ……まあいいや、待ち合わせに部屋用意したんで少しだけ借ります。すぐ返します。   (2024/10/22 00:05:08)

雪花ラミィ> アイアイ（お猿さんじゃねえぞ）じゃあまあ一旦。いやそのまま寝るやも知らん。やみやがりや。   (2024/10/22 00:06:24)

雪花ラミィ> やがり？アガリだろヴォケ！！おつらみぃ！！   (2024/10/22 00:06:41)

おしらせ> 雪花ラミィさんが退室しました。  (2024/10/22 00:06:43)

エロガキ♂18D ◆> 行ってらっしゃいませ店長。元気そうで何よりです。   (2024/10/22 00:06:45)

エロガキ♂14C ◆> ではしばし。   (2024/10/22 00:07:23)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/22 00:07:27)

エロガキ♂18D ◆> さて、店長にご挨拶できて……よか、った……で(フラァ……)   (2024/10/22 00:07:28)

エロガキ♂18D ◆> ……寝ます…………お休みなさいませ…………また、です……   (2024/10/22 00:08:20)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/22 00:08:23)

エロガキ♂19b ◆> お休みなさい！   (2024/10/22 00:09:27)

エロガキ♂19b ◆> この時間に1人になるとすごい静かだよねぇ   (2024/10/22 00:15:25)

おしらせ> エロガキ♀13εさんが入室しました♪  (2024/10/22 00:21:53)

エロガキ♂19b ◆> こんばんは！   (2024/10/22 00:22:16)

エロガキ♀13ε> さっきぶり……   (2024/10/22 00:22:57)

エロガキ♀13ε> こん……   (2024/10/22 00:23:08)

エロガキ♂19b ◆> さっきぶりだね～、、添い寝相手でも探しに来たのかな？   (2024/10/22 00:23:32)

エロガキ♀13ε> 少しずつ近付いて来る電話……掛けようか…？   (2024/10/22 00:24:00)

エロガキ♂19b ◆> メリーさんかな？   (2024/10/22 00:24:16)

エロガキ♀13ε> 添い寝……うん、帰ったら、熱出て、少し寝てた……   (2024/10/22 00:24:31)

エロガキ♀13ε> 今あなたの後ろに……いるの、って、オナニーの最中に……かける…（嫌がらせ）   (2024/10/22 00:25:15)

エロガキ♂19b ◆> マジ？大丈夫なんー？どこぞのエルフじゃないけど熱でてるなら無理するなよー？   (2024/10/22 00:25:31)

エロガキ♂19b ◆> 怖いよ！？   (2024/10/22 00:25:40)

エロガキ♀13ε> うん、また…寝るけど、１９はまだ寝ないんでしょ…？   (2024/10/22 00:26:04)

エロガキ♂19b ◆> まだだね～   (2024/10/22 00:26:20)

エロガキ♀13ε> あ゛あ゛あ゛あ゛あ゛あ゛あ゛あ゛（かやこの真似）   (2024/10/22 00:26:25)

エロガキ♂19b ◆> ！？   (2024/10/22 00:26:33)

エロガキ♀13ε> じゃあ、添い寝…無理だね……   (2024/10/22 00:26:39)

エロガキ♂19b ◆> して欲しいなら付き合うぞ？   (2024/10/22 00:26:48)

エロガキ♀13ε> うーん……寝るまで…？   (2024/10/22 00:26:59)

エロガキ♂19b ◆> 勿論   (2024/10/22 00:27:13)

エロガキ♀13ε> ここで寝る……？   (2024/10/22 00:27:26)

エロガキ♂19b ◆> どこでも？   (2024/10/22 00:29:09)

エロガキ♀13ε> 人……来ちゃう…かな…ここ。いいなら…ここで…寝る……膝枕、プリーズ……   (2024/10/22 00:30:02)

エロガキ♂19b ◆> 一応、待ち合わせに部屋は置いといたけど好きな方でいいよ   (2024/10/22 00:30:21)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/22 00:31:10)

エロガキ♀13ε> うぃ……入った…ありがとう……   (2024/10/22 00:31:24)

胡桃 ◆> おやすみ〜！(見送りに降ってきた。どやぁ。)   (2024/10/22 00:31:28)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/22 00:31:35)

エロガキ♀13ε> こんばんは……おやすみ……有難う……   (2024/10/22 00:31:44)

エロガキ♂19b ◆> とがめられると思った！！   (2024/10/22 00:31:44)

エロガキ♀13ε> こんばんは…   (2024/10/22 00:31:55)

エロガキ♂17L ◆> 見送りに来ましたよ、おやすみなさい   (2024/10/22 00:31:57)

エロガキ♀13ε> １７も見送り……ありです……   (2024/10/22 00:32:16)

エロガキ♂19b ◆> それじゃあ、、行ってきます！   (2024/10/22 00:32:22)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/22 00:32:25)

胡桃 ◆> 17Lさんこんばんは。2人は行ってらっしゃい！   (2024/10/22 00:32:38)

エロガキ♀13ε> それじゃ、お騒がさせしました……お休みします…   (2024/10/22 00:32:45)

おしらせ> エロガキ♀13εさんが退室しました。  (2024/10/22 00:33:00)

エロガキ♂17L ◆> 胡堂主はこんばんは、13はご自愛くださいな   (2024/10/22 00:33:25)

胡桃 ◆> 17Lさんも見送りに来たみたいだけど、合間の時間なの？   (2024/10/22 00:34:10)

エロガキ♂17L ◆> まぁ、休憩中なので   (2024/10/22 00:34:31)

胡桃 ◆> 大変だねー…お疲れさま。私も長居はしない予定だけど、休憩終わるまでくらいならお話する？   (2024/10/22 00:35:08)

エロガキ♂17L ◆> 1:08までは時間があるとは言っておきます、そうですね……話しましょうか   (2024/10/22 00:35:35)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 00:35:59)

胡桃 ◆> そ、そんな具体的な時間伝えなくてもいいからね？   (2024/10/22 00:36:06)

ミミ ◆> こんばんは！   (2024/10/22 00:36:11)

胡桃 ◆> こんばんはー！   (2024/10/22 00:36:12)

エロガキ♂17L ◆> こんばんは   (2024/10/22 00:36:21)

ミミ ◆> ミミ挨拶ちゃんとするよー？もっと元気にー！こんばんは！   (2024/10/22 00:36:36)

エロガキ♂17L ◆> 僕に言ってるのだとしたら失礼、こんばんは〜！   (2024/10/22 00:37:29)

ミミ ◆> おー、元気元気〜！(きゃっきゃっ、)   (2024/10/22 00:37:54)

ミミ ◆> 次にミミ来る時寝てると思うから先におやすみしとくね！   (2024/10/22 00:38:40)

エロガキ♂17L ◆> 元気なのは良いですね……(遠い目)   (2024/10/22 00:38:41)

ミミ ◆> ちゃんと休むんだよー？2人！   (2024/10/22 00:39:15)

エロガキ♂17L ◆> あ〜、なるほど、では先におやすみなさいと言っておきましょうか   (2024/10/22 00:39:20)

胡桃 ◆> うーん？私は休んでるよ、結構まったりしてるしー。   (2024/10/22 00:39:56)

ミミ ◆> ミミはまだまだお仕事あるからまたねー！   (2024/10/22 00:40:00)

エロガキ♂17L ◆> えぇ、お疲れ様です   (2024/10/22 00:40:15)

ミミ ◆> じゃーねー！   (2024/10/22 00:40:24)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 00:40:26)

胡桃 ◆> 行ってらっしゃい、気をつけていくんだよ？背後には気をつけてね〜？   (2024/10/22 00:40:26)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 00:40:46)

ミミ ◆> なにそれこわ！   (2024/10/22 00:40:56)

ミミ ◆> じゃあ帽子被っとく！(猫耳フード、)   (2024/10/22 00:41:41)

ミミ ◆> それじゃ！またねー！   (2024/10/22 00:41:46)

エロガキ♂17L ◆> (リアルで吹きかけた人←)   (2024/10/22 00:41:51)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 00:42:02)

胡桃 ◆> いってらっしゃーい！   (2024/10/22 00:42:05)

エロガキ♂17L ◆> (あれ、爆発切った？の顔)   (2024/10/22 00:43:36)

胡桃 ◆> ないない！そんな見送り方はしないよ？されたい人にはするけど。   (2024/10/22 00:44:11)

エロガキ♂17L ◆>  ですよね〜   (2024/10/22 00:45:49)

胡桃 ◆> じゃあ17Lさんが出る時は是非元素爆発で…   (2024/10/22 00:48:55)

エロガキ♂17L ◆> やめて！？   (2024/10/22 00:49:15)

胡桃 ◆> 大丈夫！最大限火力を下げてあげるから。お尻を狙ってあげるから！   (2024/10/22 00:49:50)

エロガキ♂17L ◆> それなら安心……できるか！？   (2024/10/22 00:50:19)

胡桃 ◆> 痛いは痛いと思うけど、ちょっとした罰ゲームみたいだよね。普通に長柄でお尻ぱしってやった方がいいかな？   (2024/10/22 00:51:16)

エロガキ♂17L ◆> なんで痛めつける前提なのか疑問だけど……護摩の杖って杖なのか槍なのか形が曖昧だよな……   (2024/10/22 00:52:24)

胡桃 ◆> …殴れば倒せる！(アタッカー理論。)   (2024/10/22 00:53:40)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/22 00:54:24)

胡桃 ◆> 17Lさんの見送り方考えないと…(どうしよ、悪戯したいよね。)   (2024/10/22 00:54:37)

エロガキ♂17L ◆> それならこれかな……(飛雷の鳴弦持ってきた人)   (2024/10/22 00:54:47)

胡桃 ◆> こんばんは〜！さっきはごたごた忙しくてごめんね！   (2024/10/22 00:54:56)

栞葉るり> (ちんちん太さ15cmもあったら護摩とか振る前に堂主が異界送りになるのでは…？)   (2024/10/22 00:55:11)

胡桃 ◆> (え、なんで弓？私は使えないじゃん…これ持って殴りかかったらいいかな？)   (2024/10/22 00:55:58)

栞葉るり> あ、わたくしまだやることあるので…！また後できます！   (2024/10/22 00:56:02)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/22 00:56:07)

エロガキ♂17L ◆> (弊ワットで弓アタッカー使ってるから弓扱える人)   (2024/10/22 00:56:56)

エロガキ♂17L ◆> お疲れ様です……？   (2024/10/22 00:57:31)

胡桃 ◆> あれ？私変な方法で冥界送りにされそうになってない…？るりも忙しないね〜…行ってらっしゃい！   (2024/10/22 00:57:52)

エロガキ♂17L ◆> いや、そもそもの胡桃に無理させるわけないし(勝負で勝ったとしてもの話)やるとしたら……マッサージかな(マッサージ大好きな人)   (2024/10/22 00:59:37)

胡桃 ◆> マッサージ？そうやって私を変な気分にさせて解してから食べようってことね？私にはわかるよ…！(酷い誤解を起こしてる。)   (2024/10/22 01:00:23)

エロガキ♂17L ◆> いやいや、普通のマッサージだからね！？(誤解の仕方に驚きつつ)   (2024/10/22 01:01:25)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/22 01:01:35)

エロガキ♂17L ◆> こんばんは、19b   (2024/10/22 01:01:52)

胡桃 ◆> あれ？おかえりなさい、どうしたの？   (2024/10/22 01:02:00)

エロガキ♂19b ◆> 任務完了！！(シュタッ！！！)   (2024/10/22 01:02:01)

胡桃 ◆> なーんだ。てっきり添い寝相手   (2024/10/22 01:02:16)

胡桃 ◆> が寝相悪くて蹴り飛ばされてきたのかと思ったよ？   (2024/10/22 01:02:28)

エロガキ♂19b ◆> 13εちゃんを寝かしつけてきたの～。   (2024/10/22 01:02:45)

エロガキ♂17L ◆> 蹴り飛ばされてここまで飛んでくるってどんな脚力……？   (2024/10/22 01:02:52)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 01:02:57)

胡桃 ◆> あ、ミミちゃんだ。   (2024/10/22 01:03:06)

エロガキ♂17L ◆> あれ、ミミおかえり   (2024/10/22 01:03:14)

ミミ ◆> わー！(扉ばーん、)   (2024/10/22 01:03:25)

ミミ ◆> なんか増えてるー！？   (2024/10/22 01:03:34)

エロガキ♂19b ◆> これは、、ロリッ子！？   (2024/10/22 01:04:00)

胡桃 ◆> (また19bさんが反応してる…！)   (2024/10/22 01:04:15)

ミミ ◆> 19のおにーさんも寝なよー？寝れないならミミが寝かしつけてあげよっか？   (2024/10/22 01:04:28)

エロガキ♂19b ◆> マジで？いいの？   (2024/10/22 01:04:43)

エロガキ♂17L ◆> (ロリコンか……って目でジトー)   (2024/10/22 01:04:54)

ミミ ◆> ミミが暇になったらね！   (2024/10/22 01:05:00)

胡桃 ◆> 流れるような寝かしつけ…私じゃなければ見逃しちゃってたね。   (2024/10/22 01:05:12)

エロガキ♂19b ◆> それまでおきていよう、、そうしよう。そして挨拶が遅れたね、ミミちゃんこんばんは   (2024/10/22 01:05:34)

ミミ ◆> ミミは頑張り屋さんだからね！(にーっ、)   (2024/10/22 01:05:36)

ミミ ◆> こんばんは！おにーさんもっと元気に！こんばんは！   (2024/10/22 01:06:05)

ミミ ◆> て言うか寝な！ミミまだ忙しいから寝なー！   (2024/10/22 01:06:31)

エロガキ♂19b ◆> スゥゥゥッ....こーんばーんはぁーーーーーー！！！！！   (2024/10/22 01:06:34)

ミミ ◆> うるさ！おにーさんめっちゃ元気！(きゃっきゃっ、)   (2024/10/22 01:07:07)

エロガキ♂17L ◆> (冷静にイヤホン装着)   (2024/10/22 01:07:18)

ミミ ◆> なにこれー！(イヤホン窃盗、)   (2024/10/22 01:07:35)

エロガキ♂19b ◆> ロリッ子の要望は1部を除いて叶えてあげないとな！   (2024/10/22 01:07:48)

胡桃 ◆> あれだねー、季節的な問題なのか最近添い寝とか人肌欲しいって人増えたね。(まぁ確かに寒いけど。)   (2024/10/22 01:07:59)

エロガキ♂17L ◆> 音楽聴けるものだよ、そっちの言葉で言うならミーティアかな   (2024/10/22 01:08:05)

ミミ ◆> ろりっことかよく分かんないけどなんか元気ー！   (2024/10/22 01:08:08)

ミミ ◆> ミーティアー？これがー？高いー？   (2024/10/22 01:08:28)

エロガキ♂17L ◆> ものによっては高いね……(高いものだとザラに1万超える)   (2024/10/22 01:08:56)

胡桃 ◆> あれ、17Lさんそろそろ時間かな？   (2024/10/22 01:08:56)

エロガキ♂17L ◆> うん、戻るよ   (2024/10/22 01:09:09)

エロガキ♂19b ◆> イヤホンここに数週間で3セットなくしてるんだよなぁ...   (2024/10/22 01:09:24)

ミミ ◆> 壊す前に返しとこ(イヤホンお返し、)   (2024/10/22 01:09:33)

胡桃 ◆> お疲れさま、行ってらっしゃい！(護摩杖構えて…頭を普通に撫でとこう。)   (2024/10/22 01:09:44)

エロガキ♂19b ◆> ッは！護摩の杖！   (2024/10/22 01:10:06)

エロガキ♂17L ◆> ありがとう、じゃあ、戻るね(頭撫で受けて立ち去ってく人)   (2024/10/22 01:10:10)

ミミ ◆> 行くのー？行ってらっしゃーい！(手振りぶんぶん、)   (2024/10/22 01:10:10)

エロガキ♂19b ◆> いってらっしゃいー！   (2024/10/22 01:10:17)

エロガキ♂17L ◆> お疲れ様、みんな   (2024/10/22 01:10:19)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/22 01:10:21)

胡桃 ◆> これはあげないよ！！   (2024/10/22 01:10:26)

エロガキ♂19b ◆> ッグ..   (2024/10/22 01:10:46)

ミミ ◆> えー？くれないのー？(じーっ、)   (2024/10/22 01:10:49)

胡桃 ◆> だーめー！これがないと私が困っちゃうんだよ？(大切そうに閉まっとこ。)   (2024/10/22 01:11:40)

ミミ ◆> 死んだらもらったげるね！(←)   (2024/10/22 01:12:03)

エロガキ♂19b ◆> そのときは是非、往生堂を！   (2024/10/22 01:12:56)

胡桃 ◆> その時は形見になっちゃうね〜…私の番が来るのはまだ先だと思うけど、その前にはあげてもいいよ。(くす)   (2024/10/22 01:13:26)

ミミ ◆> くれるのー？やたー！(よくわかってないけど、)   (2024/10/22 01:14:16)

ミミ ◆> あ、ミミ行くねー！   (2024/10/22 01:14:55)

ミミ ◆> またねー！   (2024/10/22 01:14:57)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 01:14:59)

胡桃 ◆> うん   (2024/10/22 01:15:03)

胡桃 ◆> 行ってらっしゃい！   (2024/10/22 01:15:07)

エロガキ♂19b ◆> おーう！いってらっしゃいー！！   (2024/10/22 01:15:10)

エロガキ♂19b ◆> というか多分胡桃ちゃんは俺と同じぐらいの年齢よな...やはり復刻で当てるしかないか...   (2024/10/22 01:15:43)

胡桃 ◆> 年齢はメタ的な要素だからねー…13以上ではあるけど、19まで行くのかな？(うーん？って首傾げて。)大丈夫大丈夫、ちゃんと当たるって。…出るまで引けばいいんだから。   (2024/10/22 01:17:43)

エロガキ♂19b ◆> まだ2倍を使ってないから...ここで！って言いたいけど胡桃ちゃん自体も愛でるようで欲しいんだよなぁ...   (2024/10/22 01:18:33)

胡桃 ◆> 私は最低限一凸すると使用感変わるっていうもんね。私生活に影響出ない程度でにしておかないと、本当に私のお世話になっちゃうよ？   (2024/10/22 01:19:40)

エロガキ♂19b ◆> 最悪の場合は召使ちゃんを胡桃ちゃんと言い張ろう...うん、、そうしよう！！まだお世話にはなりたくないからね！！   (2024/10/22 01:21:14)

胡桃 ◆> それ私に対する遠回しな…(スタイル差を考えて。あー、どうしよう。元素爆発しちゃおうかな、しちゃおうか。)   (2024/10/22 01:22:01)

エロガキ♂19b ◆> まぁ、、確かに胸回りに差はあるけど....胡桃ちゃんは可愛い女の子！召使ちゃんはカッコいいお姉さん！って、感じで明確な違いがあるからさ！！ね！   (2024/10/22 01:23:07)

胡桃 ◆> …でも今、胡桃だって言い張ろうって言ってなかった？(満面の笑み。大丈夫、怖くないよ。ちょっと護摩に元素力纏ってるだけ。)   (2024/10/22 01:24:29)

エロガキ♂19b ◆> ほら、、同じ通常攻撃使うじゃん？(重激含めて！)属性も同じで、、自傷するところもあるし(召使は草むらの燃焼による自傷)うん、、元素爆発も強力！これはもう胡桃ちゃんといってもおかしくないね！！   (2024/10/22
01:26:31)

胡桃 ◆> はぁー…まぁいいけど。(しれっと護摩を消して。)私もそろそろ落ちようかなと思ったけど、19bさんはまだ起きてるの？   (2024/10/22 01:28:36)

エロガキ♂19b ◆> 起きてるよー！！まだ眠くないからね！しばらく待って誰も来なさそうならスットいなくなるから安心して～   (2024/10/22 01:29:24)

胡桃 ◆> 何に安心したらいいのかわかんないけど、あなたも大概不安要素あるんだし気を付けてよ？主に体調とかね。(私が知らないとでも？)一応おやすみなさい！   (2024/10/22 01:30:47)

エロガキ♂19b ◆> な、なんのことかな～(汗)、、お休み！！   (2024/10/22 01:31:20)

胡桃 ◆> (ちゃんと眠れるといいねって。頭をぽんぽんしながら微笑んで。)またねー！   (2024/10/22 01:32:18)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/22 01:32:25)

エロガキ♂19b ◆> 不意に見せるそういうところがズルくて可愛いんだよな...   (2024/10/22 01:33:06)

エロガキ♂19b ◆> さすがに皆寝ちゃったみたいだねぇ   (2024/10/22 01:47:00)

エロガキ♂19b ◆> お邪魔しました！！   (2024/10/22 02:02:23)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/22 02:02:25)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/22 02:21:42)

栞葉るり> 深夜の見回りでーす…。今日は居ないようなのでこちらで何か食べましょうかね！   (2024/10/22 02:22:14)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 02:24:35)

ミミ ◆> こんばんはー！   (2024/10/22 02:24:45)

ミミ ◆> 呼ばれたけど要らないってー！   (2024/10/22 02:24:57)

栞葉るり> ふんふん。いらっしゃいませー？   (2024/10/22 02:25:04)

栞葉るり> え？要らないとは？！   (2024/10/22 02:25:13)

ミミ ◆> おねーさん何食べるのー？   (2024/10/22 02:25:17)

ミミ ◆> もう弟たちがお片付けしてたー！   (2024/10/22 02:25:37)

栞葉るり> んとですね……来る前に買ったスーパーの半額のお弁当を…(生々しい)   (2024/10/22 02:25:52)

ミミ ◆> なにそれー！これ食べるー？(籠の中に19枚のクッキー！)   (2024/10/22 02:26:36)

栞葉るり> …あー。それは…さっき堂主が悪巧みしてたやつ…。   (2024/10/22 02:27:37)

栞葉るり> 1d19 → (4) = 4  (2024/10/22 02:28:04)

ミミ ◆> おねーさんから貰ったー！   (2024/10/22 02:28:13)

栞葉るり> (ばりばりもしゃもしゃ。セーフでした…！)   (2024/10/22 02:28:20)

ミミ ◆> 1d19 → (4) = 4  (2024/10/22 02:28:25)

ミミ ◆> (間違えた！)   (2024/10/22 02:28:31)

ミミ ◆> 1d18 → (7) = 7  (2024/10/22 02:28:42)

ミミ ◆> (遠慮なくミミも食べるー！もぐ、←)   (2024/10/22 02:29:16)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/22 02:29:30)

栞葉るり> ふふ、なんともないですねぇ…！   (2024/10/22 02:29:39)

エロガキ♂19b ◆> 案の定眠れませんでした！！畜生！こんばんは～   (2024/10/22 02:29:49)

ミミ ◆> あ！おにーさんもどぞー！(クッキー籠差し出して)   (2024/10/22 02:30:11)

栞葉るり> いらっしゃいませー(むしゃあ)   (2024/10/22 02:30:21)

エロガキ♂19b ◆> ん、、ありがと   (2024/10/22 02:31:05)

ミミ ◆> (食べるなら1d17!)   (2024/10/22 02:31:17)

エロガキ♂19b ◆> 1d17 → (10) = 10  (2024/10/22 02:31:23)

ミミ ◆> (せーふ！)   (2024/10/22 02:31:32)

ミミ ◆> じゃあミミもー！   (2024/10/22 02:31:39)

ミミ ◆> 1d16 → (3) = 3  (2024/10/22 02:31:44)

エロガキ♂19b ◆> うん、、うまいな(ムシャムシャ)   (2024/10/22 02:31:55)

栞葉るり> めっちゃ食うじゃないですか！   (2024/10/22 02:32:04)

栞葉るり> 1d15 → (13) = 13  (2024/10/22 02:32:17)

栞葉るり> 1d14 → (10) = 10  (2024/10/22 02:32:23)

栞葉るり> 1d13 → (10) = 10  (2024/10/22 02:32:30)

栞葉るり> (もさもさ。三枚食い)   (2024/10/22 02:32:42)

ミミ ◆> (とらぶるー！)   (2024/10/22 02:32:45)

エロガキ♂19b ◆> 3枚食べよった！？   (2024/10/22 02:32:48)

エロガキ♂19b ◆> 1d12 → (6) = 6  (2024/10/22 02:33:05)

エロガキ♂19b ◆> セーフ(むしゃむしゃ)   (2024/10/22 02:33:35)

栞葉るり> ミミちゃんはどうするんですか〜？(ほれほれ)   (2024/10/22 02:33:59)

エロガキ♂19b ◆> 1d11 → (7) = 7  (2024/10/22 02:35:57)

エロガキ♂19b ◆> だんだん外れが近づいてくるのがたまんねぇな(むしゃむしゃ)   (2024/10/22 02:36:24)

栞葉るり> まぁまだいけますよ   (2024/10/22 02:36:39)

栞葉るり> 1d10 → (9) = 9  (2024/10/22 02:36:43)

栞葉るり> 1d9 → (6) = 6  (2024/10/22 02:36:47)

栞葉るり> 1d8 → (7) = 7  (2024/10/22 02:36:51)

エロガキ♂19b ◆> ...ほんと、とんでもねえな   (2024/10/22 02:37:11)

栞葉るり> ぉぼほほ、ふ(くっちゃくっちゃ)   (2024/10/22 02:37:16)

エロガキ♂19b ◆> 1d7 → (3) = 3  (2024/10/22 02:37:24)

エロガキ♂19b ◆> 1d6 → (3) = 3  (2024/10/22 02:37:30)

エロガキ♂19b ◆> 1d5 → (5) = 5  (2024/10/22 02:37:36)

ミミ ◆> わー！ミミいるじゃーん！   (2024/10/22 02:37:48)

ミミ ◆> 行ってくるー！   (2024/10/22 02:37:52)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 02:37:55)

エロガキ♂19b ◆> ふぅ～(むしゃむしゃむしゃむしゃ！)   (2024/10/22 02:37:56)

栞葉るり> (ごっくん)いってらっしゃいませー   (2024/10/22 02:38:49)

エロガキ♂19b ◆> いってらっしゃいー！   (2024/10/22 02:38:57)

栞葉るり> ふう、こっからそろそろやばいですよ   (2024/10/22 02:39:47)

栞葉るり> 1d4 → (4) = 4  (2024/10/22 02:39:57)

栞葉るり> 1d3 → (2) = 2  (2024/10/22 02:40:01)

栞葉るり> ふふん   (2024/10/22 02:40:05)

エロガキ♂19b ◆> あれ、俺追い詰められた？   (2024/10/22 02:40:14)

栞葉るり> ラスト1枚になったら堂主へ押し付けたらいいです！   (2024/10/22 02:40:38)

エロガキ♂19b ◆> 1d2 → (1) = 1  (2024/10/22 02:40:41)

エロガキ♂19b ◆> あ....   (2024/10/22 02:40:49)

栞葉るり> 数字がデカけりゃいいってもんじゃないんですよ！あっはっはっは！！！   (2024/10/22 02:41:24)

エロガキ♂19b ◆> いただきます....(むしゃむしゃ)っんんんん！！！辛い！！んん！！んん！！辛いッ！！！   (2024/10/22 02:42:13)

エロガキ♂19b ◆> んん、、はぁはぁ...ほんとこういうとき、、引くんだよな...水...(グビグビ)   (2024/10/22 02:44:04)

