/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年03月11日 06時46分 ～ 2025年03月15日 03時43分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

常闇トワ ◆> 少しだけ待ってみよかな   (3/11 06:46:21)
獅白ぼたん> お酒もいいね。あたしはほどほどにしか、いや、微量しか（ラミちゃん基準なら）飲めないからほどほどにいい飲み口のを教えてもらえたらうれしいね♪　そして、急ぎでやってみたけど、これはこれでっていうお揃い服になっちゃったね   (3/13
23:24:27)

エロガキ♂13Al> あとはラミィちゃんがその気になればししろんのあはーんうふーんはすぐそこ……！（表現が下手）　おっとーこんばんはー。   (3/13 23:25:00)

獅白ぼたん> そっちの君はいらっしゃい。初めまして～（足組して、手をひらひら振りつつ。　姿はアタシの右の者を確認してね。）   (3/13 23:25:07)

エロガキ♂13HL ◆> 初めまして〜っ(別に大好きなホロメンの方がいたから気づいたら入室しちゃったとかじゃないですからね！)   (3/13 23:25:42)

エロガキ♂19b ◆> こんばんはー！ずいぶんと久しぶりだねぇ～！！   (3/13 23:26:02)

獅白ぼたん> あ～……もしかしてだけど、ここの人数字とアルファベットだけで見分けてる感じ？   (3/13 23:26:36)

エロガキ♂13HL ◆> 19bお兄さんおひさしぶり〜(手ひらひら)色々忙しくて離れてた〜   (3/13 23:27:24)

エロガキ♂19b ◆> そういうこと！！   (3/13 23:27:40)

雪花ラミィ> 別にラミィ軸で考えたりせんわ！！（）あ、こんらみぃ〜。結構前にいてくれたよね。雰囲気でなんとなく覚えてるからラミィは…！   (3/13 23:27:49)

エロガキ♂13HL ◆> ラミィちゃんは…多分いつもお酒めちゃめちゃ飲んでて場の雰囲気めっちゃ考えてくれてて優しかったラミィちゃん…？(多分お話とか結構前に…)   (3/13 23:28:45)

エロガキ♂13HL ◆> みんな多分数字とアルファベットと個性的なところで覚えてもらってる感じかなと…。   (3/13 23:29:50)

エロガキ♂19b ◆> 俺はほぼ毎日いるからそういう変な人って覚えられてそう(小並感)   (3/13 23:30:43)

エロガキ♂13Al> どのエロガキがどんなエロガキなのかは見分けるの大変だから最初はフィーリングで……   (3/13 23:31:01)

エロガキ♂19b ◆> 俺は女の子もエロガキも皆覚えるようにはしてる...いつもいるからね！！   (3/13 23:32:28)

エロガキ♂13HL ◆> 19bお兄さんあれからもずっといたんだ…凄い…ぱちぱち   (3/13 23:33:31)

エロガキ♂13HL ◆> ちなみに一応HLはホロライブからとってんだよね〜。(ぼそっ)   (3/13 23:34:16)

エロガキ♂19b ◆> 暇人を舐めない方がいいっ！(吐血)   (3/13 23:34:28)

エロガキ♂13Al> お、おー……ちなみにゲーム部屋にエロガキが。（双眼鏡覗き）   (3/13 23:37:06)

エロガキ♂19b ◆> ふむ..ちょっと長いかな....   (3/13 23:37:39)

エロガキ♂13HL ◆> ラミィちゃんとぼたんたちゃんは添い寝しちゃったかな〜？(お布団かける用意…)   (3/13 23:38:31)

獅白ぼたん> あ、ごめんごめん、うまく画像出せないかちょっと頑張っちゃってて   (3/13 23:39:31)

エロガキ♂19b ◆> なら簀巻きにしようぜ！！...2人まとめてすれば手間も省けるし！   (3/13 23:39:38)

エロガキ♂13HL ◆> あっ…大丈夫ですよ〜！   (3/13 23:39:42)

雪花ラミィ> やべゃ、くしょねむい   (3/13 23:39:57)

エロガキ♂13HL ◆> 間に挟まりたくなっちゃうのでやめとこっかな？   (3/13 23:40:02)

エロガキ♂13HL ◆> ラミィちゃん無理しないようにね〜？   (3/13 23:40:12)

エロガキ♂13Al> 寝なー   (3/13 23:40:13)

獅白ぼたん> ラミちゃん、無理しちゃだめだよ。結構寝落ち多いっぽいし？   (3/13 23:40:17)

エロガキ♂19b ◆> 2人とも起きてた～...ラミィちゃんは寝なさい！結局昼間で起きてたんだから...(溜め息)   (3/13 23:40:53)

獅白ぼたん> アタシは、右のをブラッシュアップで、両方がグラス持ってて、ラミちゃんの衣装を調整できないか、試してたんだけど、むりっぽい   (3/13 23:40:56)

エロガキ♂13HL ◆> ぼたんちゃんの凄っ…今見てきたけど   (3/13 23:41:12)

エロガキ♂13Al> ラミィよりししろんがデカい……これは……遠近法！！！（目が曇っている）   (3/13 23:41:53)

エロガキ♂19b ◆> でかーーい！説明不要！！   (3/13 23:42:38)

エロガキ♂13HL ◆> ぼたんちゃんの末っ子感好きなんだよね〜…。多少でかくてもぼたんちゃんは似合う…   (3/13 23:43:11)

獅白ぼたん> 大きい胸と、とても大きい胸にしてもそうだけど、水色のパーカーってしても衣装が出なかったり特徴が入れ替わったりで安定しないんよね   (3/13 23:43:14)

エロガキ♂13HL ◆> もしかして今作ってるんですかー？   (3/13 23:43:45)

獅白ぼたん> AIのだから、アタシはワード並べてるだけだけどね。　最近のはすごく再現率高いって教わって、少しあそんでみてるんだよね   (3/13 23:44:31)

エロガキ♂13HL ◆> AIしようとしたけど上手くいかなくて諦めたから…凄いって素直に思います！(尊敬の眼差し)   (3/13 23:45:15)

エロガキ♂19b ◆> AIはイラストはやらないけど...めんどいプログラムを任せたりはたま～にするかも...でもAIでエチエチイラストを書こうと思うと調教が大変らしい？   (3/13 23:45:40)

獅白ぼたん> エッチなの？結構簡単だよ？　レズとか、男の人の特徴まで細かくって言われると厳しいけどね   (3/13 23:46:28)

エロガキ♂13HL ◆> ちなみに…ぼたんちゃんがひとりでしてるところーとかソロの方だったら簡単な方なんですかー？   (3/13 23:47:26)

獅白ぼたん> ～？……どゆこと？あたし読解力ちょっと微妙だから、ふわっとした言い方だとうまく理解できないことあるから、ズバッとお願い。   (3/13 23:48:40)

エロガキ♂13HL ◆> …ぼたんちゃんのオナニーっていえば分かるかな〜？   (3/13 23:49:44)

エロガキ♂13HL ◆> ズバッとと言われてちゃんと言葉にするとなんか恥ずかしいね〜。   (3/13 23:50:27)

獅白ぼたん> あぁ、そっちのソロね。まだやったことないなぁ。ただ男性をNGにして「女性単独、自慰」を入れればたぶん簡単じゃないかな？複雑な体位とか、他人が絡むわけじゃないなら、難しくないと思うよ？   (3/13 23:51:06)

エロガキ♂13HL ◆> あーなるほど…ふむふむ…   (3/13 23:51:50)

エロガキ♂19b ◆> ほえー、ならさ！今のぼたんちゃんとラミィちゃんが飲んでるやつをオナニーしてるのに書き換えたりとかも簡単にできたり？   (3/13 23:52:11)

エロガキ♂13Al> ふむむー……ラミィちゃんが寝てしまったら看取り……じゃなかった、寝取り…でもなくて、寝るところをみとどけなければ……（使命感）   (3/13 23:53:33)

獅白ぼたん> 女性二人って時点で安定しないから（単純に書き換えられる範囲）   (3/13 23:55:47)

エロガキ♂19b ◆> なーるほど、やっぱ変えるなら単体...   (3/13 23:56:28)

エロガキ♂13HL ◆> ちなみに話は変わるんですけどぼたんちゃんはラミィちゃんがお休みしたら寝る感じですか〜？それとも遊ぶ感じかな〜？   (3/13 23:57:10)

獅白ぼたん> 今日は顔見世～ってだけだね。とりあえず、飲酒カット忘れたから、ちょっと表情がアレだし、ほんと書き換えさっくりとだけ   (3/13 23:58:22)

エロガキ♂19b ◆> 酒飲みオナニー！？最高か？   (3/13 23:58:58)

エロガキ♂13HL ◆> えっちだ…   (3/13 23:59:03)

エロガキ♂13HL ◆> 顔みせなんですねー残念…遊びたいなーって思ってたのでまた次の機会にですね〜。   (3/13 23:59:27)

エロガキ♂13Al> 酒飲みながらやるちょっと危ない人みたいになってる……！　えー遊んでいかないのー（ウザガキ）   (3/13 23:59:29)

獅白ぼたん> やることがないから寝る時間まで～でいただけだしね。（ラミちゃんもダメっぽいし）   (3/14 00:00:58)

エロガキ♂19b ◆> ラミィちゃんは完全に寝たね、、うん...平常運転～(簀巻きにしておくね)   (3/14 00:01:40)

エロガキ♂13HL ◆> 無理にお誘いするのもあれだもんね〜   (3/14 00:01:56)

エロガキ♂13HL ◆> ラミィちゃんはゆっくり休んでくださいねー   (3/14 00:02:10)

エロガキ♂13Al> 仕方ない……ラミィちゃんが飲んだら眠くなるってことを覚えてくれるように願って……（そっと布団を掛ける）   (3/14 00:02:33)

獅白ぼたん> さて、日付も変わったしそろそろ、ラミちゃんだけ介抱したら、アタシも落ちるよ   (3/14 00:03:36)

エロガキ♂13HL ◆> 2人ともお疲れ様です〜   (3/14 00:04:37)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (3/14 00:04:58)

エロガキ♂19b ◆> ラミィちゃんおやすみ～！...   (3/14 00:05:20)

獅白ぼたん> ラミちゃんお疲れ～よかったらいっしょしようねー   (3/14 00:05:24)

獅白ぼたん> さ、アタシも帰るよ。エロガキだけど悪ガキじゃないやつはそろそろ寝なよ？   (3/14 00:05:48)

エロガキ♂13Al> 看取った（違）から俺もそろそろ行こう！　おやすみー！   (3/14 00:06:38)

エロガキ♂19b ◆> ぼたんちゃんもおやすみ！！次はしょうぶできるといいなー！   (3/14 00:06:42)

エロガキ♂13HL ◆> お疲れ様です♪   (3/14 00:06:48)

獅白ぼたん> ん～……ま、気が向いたら～ね   (3/14 00:07:32)

獅白ぼたん> じゃ、おやすみ～   (3/14 00:07:37)

おしらせ> 獅白ぼたんさんが退室しました。  (3/14 00:07:42)

おしらせ> エロガキ♂13Alさんが退室しました。  (3/14 00:08:31)

エロガキ♂13HL ◆> さてとどうしようかなーと   (3/14 00:09:37)

エロガキ♂19b ◆> 皆おやすみー！俺は...遊びに行くのもありかもしれない！   (3/14 00:09:52)

エロガキ♂13HL ◆> 遊びにかー…人来るなら遊びたいよね〜   (3/14 00:11:03)

エロガキ♂19b ◆> そこばっかりは運が絡む！！...   (3/14 00:12:41)

エロガキ♂13HL ◆> 確かに流石にいきなり二人待機してたら入りにくいだろうし様子見しとこうかなー   (3/14 00:14:15)

エロガキ♂19b ◆> あ、俺が行くとしてももう少し後だから行っててもいいよー？...いまからすこーしやることもあるしね！   (3/14 00:15:17)

エロガキ♂13HL ◆> なるほど〜？じゃあ少しだけ待機チャレンジしてくるか〜   (3/14 00:16:25)

エロガキ♂13HL ◆> いてくる   (3/14 00:16:29)

エロガキ♂13HL ◆> ！   (3/14 00:16:39)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (3/14 00:16:46)

エロガキ♂19b ◆> 行ってらっしゃ～い！！きっと会えるさ！   (3/14 00:17:16)

エロガキ♂19b ◆> さーてと！！...どうしよう、？...特になにも思い付かない！   (3/14 00:34:27)

エロガキ♂19b ◆> 俺も行こっと！！まったねー！   (3/14 00:45:55)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/14 00:45:58)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (3/14 00:50:41)

エロガキ♂18D ◆> 少しの間ですが、お邪魔いたします。ここに来るのも、久しぶり…でしょうか。   (3/14 00:51:06)

エロガキ♂18D ◆> そこそこ前に来た気はしますが…19さん以外の人は、元気にしてるのでしょうか…   (3/14 00:56:54)

エロガキ♂18D ◆> 短いですが、この辺で。お部屋ありがとうございました。   (3/14 00:59:20)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (3/14 00:59:24)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/14 07:19:23)

エロガキ♂19b ◆> おはようー！！金曜日だぁぁ！！...週末！一番元気でるよね～   (3/14 07:20:07)

エロガキ♂19b ◆> 今日はホワイトデーだよね～、、とりあいずここに星ちゃん用の金のゴミをおいておこう！！   (3/14 07:34:23)

エロガキ♂19b ◆> さてさて、今日も遊びに行ってみようかな！朝はんー、、難しいかもしれんけど！   (3/14 07:51:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/14 07:51:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/14 16:35:04)

エロガキ♂19b ◆> よっと！こんにちは～！！..今日はそんなに寒くない？というか段々と寒さが引いてきて過ごしやすくなってきたかなー？...こんどはすぐ暑くなりそうだけど！！   (3/14 16:36:30)

エロガキ♂19b ◆> さてさて...以外とやることがないんだよね～..最近はタイミングも悪くて女の子ともなかなか遊べないし？まぁ...それに関しては時間が合わないだけだから仕方ないけど！   (3/14 16:51:47)

エロガキ♂19b ◆> ...な～んでゆっくりしてるときに限って用事がができるかねぇ...また来るねー！！   (3/14 17:07:12)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/14 17:07:14)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/14 22:57:56)

エロガキ♂19b ◆> こんばんはー！！さてさて誰かいるかなー？...   (3/14 22:58:13)

エロガキ♂19b ◆> 週末の夜...あっちは対戦が早速成立してたみたいだね～...   (3/14 23:15:10)

エロガキ♂19b ◆> せっかくだし遊びに行きたいところだけど...最近は中々機会に恵まれないっ！...でも行かないことには何もないし突撃用意はしておこっと！！   (3/14 23:24:01)

エロガキ♂19b ◆> そろそろ行こっと！...あんまりのんびりしてて機会を逃したらあれだしね！   (3/14 23:36:15)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/14 23:36:17)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (3/15 01:42:51)

エロガキ♂18D ◆> ふぅ…負けてしまいましたね…彼には申し訳ないことをしてしまいました…   (3/15 01:43:19)

エロガキ♂18D ◆> 何で寝ないのかって？…寝れないんですよねぇ…と言うわけで、少々此方にて、休憩を…誰か来るか、分からないのですけどもね…   (3/15 01:44:15)

エロガキ♂18D ◆> …5人も、居る…？正直想定、してなかったんですけどね…   (3/15 01:47:30)

エロガキ♂18D ◆> …しかし、入ったはいいものの…そんなに話すことは無いんですよね…眠くない、寝れない、というだけで…   (3/15 01:50:45)

おしらせ> 雪花ラミィさんが入室しました♪  (3/15 01:51:59)

雪花ラミィ> ゆ〜〜き〜〜は〜〜な〜〜♪   (3/15 01:52:10)

エロガキ♂18D ◆> …多分、お久しぶりです？お元気そうで…今日のお酒は、何を？   (3/15 01:52:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/15 01:52:59)

エロガキ♂18D ◆> 一気に来ましたね…こんばんは。   (3/15 01:53:27)

エロガキ♂19b ◆> ...バカな！！この俺が勝負の気配を察知できなかった、、グラビモス万歳してたからかなぁ！！...こんばんは！！！   (3/15 01:53:49)

エロガキ♂18D ◆> あぁ、驚天動地の狩りが…本当に人気なんですねぇ。そちらも改めて、お元気そうで。   (3/15 01:54:43)

雪花ラミィ> んょ、ひさしぶりー。元気しとったー？最近は足跡見れてたからアレだったけどお話できてなかったからさー。ラミィはここに来る時七割雪夜月やから……いや、今はウイスキーだけど（なんで言った？）   (3/15 01:55:03)

エロガキ♂19b ◆> 溶岩地帯にいって水冷弾を打ち込むだけの簡単なバイト～...1分で数万以上稼げます！！(怪しい広告かな？)   (3/15 01:56:02)

エロガキ♂18D ◆> 確かに、最後に会ったのは…もう覚えてないですね。少々野暮用や行事やライフワークで忘れかけていたのがありまして…おぉ、今は違うのを飲んでるのに自作商品は宣伝するような鮮やかな手法…(要するに、ステマ…？)   (3/15
01:57:38)

エロガキ♂18D ◆> グラビモスってそれで完封できるんですね…どうしても近接武器相手には分が悪かった記憶が…   (3/15 01:58:26)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (3/15 01:59:23)

エロガキ♂17L ◆> こんばんはっと寝起きの俺ですよっと(寝巻きにコート姿)   (3/15 02:00:41)

雪花ラミィ> ラミィは銀レウスにボコボコにされて萎えてるよ（ワイルズに乗り切れなかったエルフの末路）もうホントに3~4ヶ月とか経っとるんと違うー？お疲れ様、また顔が見れて嬉しいよ。オメーお前ステマとかそういうの厳しいんだから軽々しく言うのやめんかい！！でもこれはすごくおいしくって（続行）
  (3/15 02:01:03)

雪花ラミィ> こんらみぃー。ラミィも実はさっき起き。   (3/15 02:01:51)

エロガキ♂19b
◆> 金金金！って感じで稼げるよ！...っとただ突撃しにきただけというか遊ぶまえに覗いたらいたというか...あれだ！！まえに18D君が俺以外を元気にしてるかを気にかけていたことを半分怒りに来たのだ！俺の心配もしろ！元気すぎてヤバイぐらいだけど！   (3/15
02:02:41)

エロガキ♂18D ◆> 銀レウスはパターンにハメれば楽しいもんですよ、もっとパターンにハメれば楽しいのは居るんですけどね、イビルジョーとかアルバ(ry)確かに、冬場は全く来なかったと言うか…店長は風邪を引いていた記憶が。 …でも続けるんですね、その雪夜月のry
  (3/15 02:03:42)

エロガキ♂17L ◆> お〜、仲間やね、正直最近は勝負とかこっちより別ゲーにで永遠に周回してたから少し疲れ気味な俺氏   (3/15 02:04:49)

エロガキ♂18D ◆> 17さんはこんばんは。お元気そうで…と言うか、ちょくちょく見てはいたんですけどね。 19さんは…ほら、ほっといても常にいるでしょうというある種の信頼があるので。心配よりも、信頼の方がいいと自分は思いますが   (3/15
02:04:53)

雪花ラミィ> キミが元気じゃなくなったらもうこの世の終わりだよ（小並感）マジでレウス一生飛んでてクソウザいんよ……スネ夫とかミラボレアスとかはまだ良いんだけどさー…。ラミィの冬風邪はしっぽり直しといたよ、ご心配おかけしてすまそ（まともに謝る気ゼロ）  
(3/15 02:06:19)

エロガキ♂17L ◆> そういえばこの3人揃うのも結構久々か……こんな夜中じゃ流石に勝負相手来なさそうな気もするけど……(衣装チェンジ黒コートから白衣して)   (3/15 02:07:11)

エロガキ♂19b
◆> ...ふむ、信頼してくれているとそれなら許そう(ちょろい)...んじゃ、俺は有り余る性欲をぶつけるために深夜待機を...レウスで困ってるなら、閃光でもぶつけておきなぁ！マスターなら3回までだっけ？...その後はまぁ、ネルギガンテを使うんだ！(サンブレイクにはいません)んじゃあーねー！！多分高確率、いや！超高確率で帰ってくるよ！！
  (3/15 02:08:23)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (3/15 02:08:26)

エロガキ♂18D ◆> 多分このスナックゆきはなも閉店でしょう、彼が元気じゃなくなった時は。
そういう時は閃光玉でハエのように打ち落としてやるのが得策…(最近のは全く手を付けてないから分からないけど、ワイルズ、気になっている人の図)しっぽり治ってて良かったです、咳喘息に発展する可能性もありますから…   (3/15 02:08:47)

エロガキ♂18D ◆> どうやらまだレウスに閃光玉効くみたいですね、良かった。お疲れさまでした。三人揃うのは中々…というか、もう誰が残ってて誰がいないのか…   (3/15 02:09:37)

エロガキ♂17L ◆> ……どうやら有利部屋に待機してるみたいだな行ってこようかな？(一旦様子見の構え)   (3/15 02:09:47)

エロガキ♂18D ◆> 始めての方らしいですが…物騒すぎませんか？チェーンソーぶん回してますよ？   (3/15 02:10:38)

エロガキ♂17L ◆> それもそう……とゆうか多分久しぶりの人じゃないか？なんか覚えがある気がする……   (3/15 02:11:25)

エロガキ♂18D ◆> おや、そうですか…？自分は多分、記憶から抜けているような……   (3/15 02:12:05)

エロガキ♂17L ◆> 多分抜けてるだけでしょ   (3/15 02:12:19)

エロガキ♂18D ◆> ですね、店長が言っていた通り…もう何ヵ月、抜けてたか…ですから   (3/15 02:12:57)

エロガキ♂17L ◆> だね〜、まぁ久しぶりの再開だしゆっくりしたいけど相手がいるなら話しは別、誰も来なさそうだし行ってくるよ   (3/15 02:14:08)

雪花ラミィ> スナックゆきはなは今のところ週末は開けとるからね。酒飲んでだべってれば人来てくれるんよ。モンハンライズ/サンブレイクだったら、狩猟笛で空中を飛び回れるから叩き落としてGGなんだけどさ〜…。ラミィが逝くなら絶対酒瓶と一緒に逝くから（）  
(3/15 02:14:16)

エロガキ♂17L ◆> っと、抜けちゃったか   (3/15 02:14:38)

雪花ラミィ> 徐福ちゃん、おせんべい食べてるところ可愛いんよなあ。   (3/15 02:16:04)

エロガキ♂18D ◆> なるほどです、つまり可愛いハーフエルフに釣られて人が来てくれると…(言い方)狩猟笛で…空を、飛ぶ？？自分の知らない世界な気がする…今そんな感じなんですか？？？うん、店長は流石と言うか、逝く姿は酒瓶敷き詰めて、墓も酒瓶になりそう()  
(3/15 02:16:40)

エロガキ♂17L ◆> FGOは見た目しかわからんキャラの方が多いんだよな……やってないから   (3/15 02:16:40)

エロガキ♂18D ◆> おや、抜けられましたか…ここに来たら、面白そうでは、あるのですが…()   (3/15 02:17:13)

エロガキ♂17L ◆> まぁ、それもそうではある   (3/15 02:17:46)

エロガキ♂18D ◆> まぁ、気付くかどうかと言われたら、首を捻るところではありますが…   (3/15 02:18:49)

エロガキ♂17L ◆> 気づかない方に1票   (3/15 02:20:40)

エロガキ♂18D ◆> 自分も気づかない方に1票ですかね   (3/15 02:21:00)

雪花ラミィ> きゅるりんめちゃかわハーフエルフたんだぞっ♥（崩壊）うん、空を3秒飛び回ってはたき落としたり、ゴリッゴリ削りながら笛吹いたり、使いこなせたらめっちゃ楽しいよー。おう、ちゃんと焼却もアルコールと一緒に飛ばしてくれよな（）   (3/15
02:21:07)

雪花ラミィ> 初めましての人ともお話ししたいんやけどなあ。酒が一緒に飲めねえのが残念や（）   (3/15 02:23:09)

エロガキ♂18D ◆> うわきつ(自己検閲貫通) 空を3秒も飛べるんですか！？そんなアクロバティックな動きをするようになったなんて…そんな事出来るように…凄… 自分いやですよラミィさんを消却する際にフランベすんの()   (3/15 02:23:32)

エロガキ♂18D ◆> 彼女は酒を飲めるのかどうか…いや、飲まさない方がいい気がする、初手からチェーンソーぶん回してたんですもの   (3/15 02:24:01)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (3/15 02:24:07)

エロガキ♂17L ◆> あら？この時間にとは珍しいね   (3/15 02:24:23)

エロガキ♂14C ◆> 寝付けなくて覗いてみたらなんか居酒屋開店してた。こんばんは。   (3/15 02:24:24)

エロガキ♂18D ◆> おっと、いらっしゃいませ…お久しぶりです、お元気そうで。   (3/15 02:24:28)

雪花ラミィ> ハイ、この世界を滅ぼします（デレを潰されたエルフの怒り）追い酒してもしなくても、多分体から滲み出るアルコール分で勝手に火出るぞ（）   (3/15 02:25:29)

エロガキ♂14C ◆> お久しぶりの人はお久しぶり、そうでないのは……まあいいや。最近すっかり夜更かしとは無縁な生活だったのに、時々急に寝付けないデーが来るからびっくりだよ。   (3/15 02:25:47)

雪花ラミィ> こんらみー。チビすけがこんな時間に珍しい（言い方）   (3/15 02:25:49)

エロガキ♂14C ◆> 寝落ちキングに言われたくない（撃ち返し）   (3/15 02:26:21)

エロガキ♂17L ◆> キングというより……クイーンでは？   (3/15 02:26:46)

エロガキ♂18D ◆> 突然のカタストロフィ、そんな森を焼かれたエルフみたいな… 雪花という、真逆な見た目と名前なのに火が出てくるとは一体…   (3/15 02:27:04)

エロガキ♂18D ◆> なるほどです、寝付けないデーはよくある…もっとも、自分も夕方当たりにブラックコーヒー三杯くらいキメた上に、三時間くらいガチ寝してたからなんですけども…   (3/15 02:28:21)

エロガキ♂14C ◆> コーヒー飲んでからの短時間睡眠は間違いなくその後眠気がさようならしちゃうパターンだと思うなあ、よほど疲れてるとかじゃあないなら。   (3/15 02:29:25)

雪花ラミィ> なんもキツくないよなぁ、なぁキミたち。いや分かるーー、寝れないデーあるよね。寝落ちするけど。そんな日は大抵マッサージというか…柔軟体操？180度開脚してストレッチする的なアレしてほぐしてる。寝落ちするけど（二回目）   (3/15
02:29:32)

エロガキ♂17L ◆> 寝付けない時か……諦めてゲームしてるな俺は   (3/15 02:30:35)

エロガキ♂14C ◆> キングだろうとクイーンだろうと寝落ち率堂々の1位の座は揺るがないからね、そこの呑兵衛エルフ。いっつも妙なタイミングで寝ちゃうし。マッサージかあ……身体固いしやった方がいいんだろうなあ。   (3/15 02:30:45)

エロガキ♂18D ◆> おかげさまで現在進行形で眠気がさようならしているんですよね、だからここに居るのですが。 えぇ、とてもキツくないと思いますよ(掌ドリル)ストレッチですか…ここに来ない時に一回体験しましたが…まぁ、効きますよ。後サウナも寝れる  
(3/15 02:31:46)

エロガキ♂14C ◆> （キツいかキツくないかで言われれば後者ではあるけどなんかコレジャナイ感はすごい）   (3/15 02:33:12)

雪花ラミィ> 何故なら収まったわけではなく、今日も今日とて記録を伸ばし続けているからさ。寝落ちクイーンあざす。（嬉しくない）そうなんよ、早く動くと早く血が回るように、高まっていくと寝落ちるんよ！！！   (3/15 02:35:50)

エロガキ♂18D ◆> それは誇っていい記録じゃ無いですよ、マジで。早く寝る方法今思い付きました、血糖値スパイクで強引に眠らせるしかない()   (3/15 02:37:45)

エロガキ♂14C
◆> すごい、微塵も褒めてないのにこの反応……（溜息）血流良くすると寝付きやすくなれる、のかなあ？でも多分僕らの場合は立場が立場なだけに、なあ。……って、その理屈だと多分ラミィおねーちゃんは照れたり恥ずかしがったりすれば余計に眠気が促進されるやつでは。  
(3/15 02:37:56)

雪花ラミィ> 割とマジで反省してます。イチャイチャしてると頭に昇ってくるアルコールに耐性がついてないんですたしゅけて（すがるようなこえ）サウナはねーー、熱いからあんまり長く入れないんよねちいちゃいころからー。はい、照れさすと寝落ちる。   (3/15
02:39:58)

エロガキ♂18D ◆> つまりイチャイチャしたらこの人即寝付けさせることが出来るのでは…？あら、そうだったんですか…外気浴の時点で寝れるんで、いいと思ったんですけどね…雪降ってる外でガチ寝してましたし() 照れさせると寝落ちるそうですよ14さん   (3/15
02:42:11)

エロガキ♂17L ◆> さてと……俺はゲームの周回でもしてくるか……厳選作業に終わりは無いからな   (3/15 02:43:09)

エロガキ♂14C
◆> ……意図せずなんかラミィおねーちゃんの何かを暴いてしまった気がしなくもない。と言うわけで照れさせるならシラフの時にしようね、みんな。あとお酒飲んじゃうから助けられないよ、ごめんね。（しれっ）照れて寝られると大体何もかも半端になるから寝ること前提なんだよ、それ。
  (3/15 02:43:38)

エロガキ♂14C ◆> いってらっしゃーい。……聖遺物厳選かな（遠い目）   (3/15 02:43:55)

エロガキ♂17L ◆> では、サラダバー……なぜわかった   (3/15 02:44:17)

エロガキ♂18D ◆> かしこまりました、周回頑張って下さい。何処の世界でも、苦行なんですよ、あれ。   (3/15 02:44:20)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (3/15 02:44:30)

エロガキ♂14C ◆> まあなんて言うかある種のお約束ではあるよね、厳選という名の苦行。   (3/15 02:47:45)

雪花ラミィ> 寝付けさせるならイチャイチャすることやけど、大体飲んでる時ここおるし、おでけけにサイコロ振り行くと寝落ちはよくないし…（ジレンマ）   (3/15 02:48:27)

エロガキ♂18D ◆> ですね、厳選は別の事しながらやるのが常ですから…ラジオ、映画、通話…それでしれっと出たら、ビビり散らかすんですよ   (3/15 02:49:11)

エロガキ♂18D ◆> ジレンマなんですよね…サイコロ以外に連れ出すのはご法度だと思いますし…中々ムズい…   (3/15 02:50:04)

エロガキ♂14C ◆> ……困ったおねーちゃんだよね、ホント。初動から飲まずに様子見て飲めばいいのに。勝っても負けてもおねんね確定って前提ならまあ、いいんじゃないのかな。ゲーム中に寝落ちたら知らない。   (3/15 02:50:30)

エロガキ♂18D ◆> 介護っすよ、介護。可愛いからいいですけど。初動からアクセルぶっぱなすからすぐ自爆エンストして終了なんですけどね…ゲーム中に寝落ちは一番やっちゃいけないやつ。   (3/15 02:53:37)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (3/15 02:55:00)

エロガキ♂19b ◆> ダメだった！！(当然である)   (3/15 02:55:09)

