/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月19日 16時06分 ～ 2024年11月21日 03時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> おはようエロガキ君。このテープは自動的に爆発する！   (2024/11/19 16:06:21)
エロガキ♂14C ◆> あ、シャーロットおねーさんだ！久しぶりー！（手ふりふり）   (2024/11/20 12:40:03)

エロガキ♂19b ◆> およ、、この時間に来るなんて。こんにちは～   (2024/11/20 12:40:44)

シャーロット・レイス ◆> こんにちは。   (2024/11/20 12:40:44)

エロガキ♂14C ◆> この時間に来てるの、珍しいね？寒くて温まりに来た？なんてねっ。   (2024/11/20 12:41:58)

シャーロット・レイス ◆> 温まりたいのとは思ってるわね。   (2024/11/20 12:42:49)

エロガキ♂14C ◆> 寒いからねー。湯たんぽがわりにしてくれてもいいよ？   (2024/11/20 12:43:53)

シャーロット・レイス ◆> 急に寒くなるの困るわね。   (2024/11/20 12:45:00)

エロガキ♂14C ◆> 安定のスルー！さておき、ホント急に冷えてきたよねー。身体動かさないとすぐに寒くなっちゃう。   (2024/11/20 12:45:42)

エロガキ♂19b ◆> でも、布団からは出たくないんだよね...   (2024/11/20 12:47:39)

エロガキ♂14C ◆> 朝起きるのが辛くなる……。   (2024/11/20 12:48:46)

シャーロット・レイス ◆> まあ、それはわかるわね   (2024/11/20 12:49:10)

エロガキ♂14C ◆> あったかいとホントに起きられないから、ホントに起きたい時間より前に目覚ましセットするんだよねー。そうしないと起きられない…！   (2024/11/20 12:50:56)

エロガキ♂19b ◆> だけどそこから二度寝なんだよね...   (2024/11/20 12:53:11)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/11/20 12:53:57)

エロガキ♂14C ◆> 大体意識がそこで半覚醒になってくれるから、それでやっと起きられる様になるんだよね。（トオイメ）   (2024/11/20 12:54:05)

エロガキ♂11T> こんにちは～   (2024/11/20 12:54:06)

エロガキ♂14C ◆> こんにちはー。   (2024/11/20 12:54:14)

エロガキ♂11T> 確かに寒いですね～　だからわざと暖房つけずに無理やり起きてますよ   (2024/11/20 12:54:42)

シャーロット・レイス ◆> こんにちは   (2024/11/20 12:55:06)

エロガキ♂14C ◆> 暖房は喉やられるから使ってないなあ。   (2024/11/20 12:55:20)

エロガキ♂11T> シャーロットお姉ちゃん、久しぶりだね～   (2024/11/20 12:55:23)

エロガキ♂11T> 寒いから､シャーロットお姉ちゃんで暖まろうかな～   (2024/11/20 12:55:54)

シャーロット・レイス ◆> 二度寝ねは良くしてしまうね。皆久しぶりだよね。(手を振って)   (2024/11/20 12:56:00)

エロガキ♂11T> 二度寝したシャーロットお姉ちゃんの寝顔を見つめちゃおうかな～   (2024/11/20 12:56:33)

エロガキ♂14C ◆> 添い寝だったら二度寝以前に起きずにずっとくっついてる自信がある（ぐっ）   (2024/11/20 12:57:03)

エロガキ♂11T> 暖房は確かにのどやられる…   (2024/11/20 12:57:05)

エロガキ♂11T> だから電気毛布にしたいんだよね～   (2024/11/20 12:57:56)

エロガキ♂14C ◆> さて、こんな時間かあ。ダメ元で少しゲーム部屋行こうかな。   (2024/11/20 12:58:36)

エロガキ♂11T> シャーロットお姉ちゃん…忙しかったの？…(シャーロットお姉ちゃんをじぃーと見つめて)   (2024/11/20 12:58:42)

エロガキ♂11T> 14くん、いってらっしゃ～い   (2024/11/20 12:59:44)

エロガキ♂14C ◆> って事でいってきまーす   (2024/11/20 12:59:46)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/20 12:59:52)

シャーロット・レイス ◆> 添い寝くらいならしてもいいかもだけど。(見つめる11T見て)まあ、そこそこ忙しかったわね。   (2024/11/20 13:00:19)

エロガキ♂19b ◆> いってらっしゃい～   (2024/11/20 13:00:37)

シャーロット・レイス ◆> いってらっしゃ～い   (2024/11/20 13:01:53)

エロガキ♂11T> そうなんだね～忙しいの頑張って､シャーロットお姉ちゃんえらいね…(頭なでなで～)   (2024/11/20 13:02:53)

エロガキ♂11T> 添い寝ならしていいのか～(ニヤニヤ)   (2024/11/20 13:03:22)

シャーロット・レイス ◆> あら、まさか頭を撫でられるとは思わなかったわね。(少し顔を赤くして)   (2024/11/20 13:04:45)

エロガキ♂11T> 頑張ったら誉めて欲しいじゃん…誰だって～(顔赤いシャーロットお姉ちゃんかわいいな～と見つめて)   (2024/11/20 13:05:34)

エロガキ♂19b ◆> 目の前でイチャイチャタイムが始まったねぇ～...昨日やったことだからな～んもいえんけど。(少し距離をとって2人を眺めて)   (2024/11/20 13:06:24)

エロガキ♂11T> 【といっても、自分は時間なんで離脱しますね～】   (2024/11/20 13:08:49)

エロガキ♂11T> 【シャーロットお姉ちゃん…またね～(手をおおきく振って)】   (2024/11/20 13:09:10)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/11/20 13:09:12)

シャーロット・レイス ◆> 【あら、またね。】   (2024/11/20 13:10:00)

エロガキ♂19b ◆> 【あいぇぇ...お疲れさま！】   (2024/11/20 13:10:36)

シャーロット・レイス ◆> どうしようかな   (2024/11/20 13:11:20)

エロガキ♂19b ◆> 勝負行く？あそこで寂しそうにしてる子がいるけど   (2024/11/20 13:11:45)

シャーロット・レイス ◆> そうね。勝負しにいこうからし   (2024/11/20 13:12:50)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/11/20 13:13:02)

エロガキ♂19b ◆> 手伝いに行こうか～   (2024/11/20 13:13:21)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/20 13:13:23)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/20 14:22:38)

エロガキ♂19b ◆> きかんー！！   (2024/11/20 14:24:03)

エロガキ♂19b ◆> 今日は中々勝率が高い！！....このままの勢いが続くといいんだけど...   (2024/11/20 14:30:18)

エロガキ♂19b ◆> 少し休憩したらもう一回遊んでみようかな...よし様子見しながら見てよっと   (2024/11/20 14:36:08)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/20 14:36:09)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/20 18:12:59)

エロガキ♂17C ◆> ……最近添い寝率が高い気がする。需要あるのか？こんばんは。   (2024/11/20 18:13:30)

エロガキ♂17C ◆> 確かに寒くなってきたし、尚更人肌恋しい季節なのに違いはないか。オレ自身もそうだしな。   (2024/11/20 18:14:45)

エロガキ♂17C ◆> 多目的使って混浴温泉シチュで対戦はやってみてーんだよなあ。週末、人集まるなら企画してみるのもアリか。   (2024/11/20 18:20:08)

エロガキ♂17C ◆> っとと、ぼんやりし過ぎたな。人と話すにはまだまだ早い時間か。   (2024/11/20 18:29:23)

エロガキ♂17C ◆> ……ちょいと運試し、っと。   (2024/11/20 18:32:08)

エロガキ♂17C ◆> 【駆けつけ一杯ラインナップ （任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）5:コーヒー（激苦）6:青汁   (2024/11/20 18:32:24)

エロガキ♂17C ◆> 1d6 → (6) = 6  (2024/11/20 18:32:29)

エロガキ♂17C ◆> どうやら今日はツイてるらしい。……ツイてるのに、青汁ってのもどうかとは思うけどさ。（一気飲み）   (2024/11/20 18:33:21)

エロガキ♂17C ◆> それじゃ、また人に会えそうな頃合いにでも来ようかな。   (2024/11/20 18:35:00)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/20 18:35:08)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/20 18:37:46)

エロガキ♂19b ◆> はっ...若干の差があったか....んまいいや、、ご飯までのんびりとさせて貰おうか～   (2024/11/20 18:38:37)

エロガキ♂19b ◆> 勝負部屋に行ってもいいけどこの時間だとなぁ...   (2024/11/20 18:50:26)

エロガキ♂19b ◆> もう少し遅い時間の方が...   (2024/11/20 19:02:17)

エロガキ♂19b ◆> いったん帰ろう～！   (2024/11/20 19:06:40)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/20 19:06:41)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/11/20 19:54:47)

エロガキ♀15kb> どうも、こんばんは～。   (2024/11/20 19:54:56)

エロガキ♀15kb> 動画を見ながらいつも思うことが在るのですが……鳥山先生は偉大だな～と常々思うアタシがいるわけです。（ちょこんと座って）   (2024/11/20 19:55:39)

エロガキ♀15kb> リアルタイムでそれを知ることが出来ないということを嘆く一方で、今になって見ても全然古さを感じさせない画風……そして、話の内容も結果を知っていて見ているにしてもワクワクする展開……   (2024/11/20 19:57:18)

エロガキ♀15kb> 何より抜群に絵がお上手であることと共に……見ていると絵がかきたくなってくるあの躍動感とか……すごいんですよね。躍動感というか、質感……なのでしょうか。   (2024/11/20 19:58:02)

エロガキ♀15kb> と、人の気配もまばらですしシャワーでも浴びてきましょうかね   (2024/11/20 20:14:26)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/11/20 20:14:31)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/20 23:01:30)

エロガキ♂19b ◆> こんばんは～...今日は普段よりもだいぶ静かですねぇ...   (2024/11/20 23:01:53)

エロガキ♂19b ◆> やっぱり静かだぞ！？...こういう日もあるか   (2024/11/20 23:13:39)

エロガキ♂19b ◆> あんまり静かだと寝ちゃいそうよねぇ...まったく、、   (2024/11/20 23:29:21)

エロガキ♂19b ◆> もう少ししたらまた行ってみようかな...でも今日はもう厳しそうかも？   (2024/11/20 23:42:11)

エロガキ♂19b ◆> やっぱだれもいなさげ？、、いきますかねぇ   (2024/11/20 23:51:19)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/20 23:51:21)

おしらせ> 栞葉るりさんが入室しました♪  (2024/11/21 01:48:50)

栞葉るり> そういう時は誰かに一回聞いてもらうのがいいと思いますよ…？と、独り言です(にこ)   (2024/11/21 01:49:48)

栞葉るり> しかし本当に静かになりましたね。悪いことでは無いですけども…落ち着いた時間はやっぱり必要だと思いますし、ね   (2024/11/21 02:08:46)

栞葉るり> さて、誰かを持つわけでもないのでそろそろ…。おやすみなさいませ〜   (2024/11/21 02:12:16)

おしらせ> 栞葉るりさんが退室しました。  (2024/11/21 02:12:19)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/21 02:13:01)

胡桃 ◆> こっちまで鍵かけてあれこれしても仕方ないからね〜…一応オープンのままだけど幾つか小言を置いて帰るよ。   (2024/11/21 02:13:39)

胡桃 ◆> 自覚があるならいちいち「自分のこと」とか言ったりしに来なくていいから…   (2024/11/21 02:15:27)

胡桃 ◆> ……これ、最後に言うべきだったかな？   (2024/11/21 02:15:44)

胡桃 ◆> こほん！えーっと…唾つけみたいなことは程々にね。自覚あるのかとか、本人が覚えてるのかはさておき…意中の相手なのかは知らないけどさー…わざわざ部屋まで建てて〜っていうのは相手が求めてないならしない方がいいと思うよ。   (2024/11/21
02:20:52)

おしらせ> 栞葉るりさんが入室しました♪  (2024/11/21 02:22:39)

栞葉るり> (帽子をべろべろべろべろ、バター犬)   (2024/11/21 02:22:53)

おしらせ> 栞葉るりさんが退室しました。  (2024/11/21 02:22:54)

胡桃 ◆> (まぁ今のは流しておくとして…)   (2024/11/21 02:23:34)

胡桃 ◆> もうひとつは時々話題にはなってたけど、最近あまり聞かなくなってきた「エロガキらしさ」について   (2024/11/21 02:24:46)

胡桃
◆> 仕方ないって言ったら仕方ないとは思うんだけど！なんかこう…年齢に対して発言内容とか、言葉遣いとか口調とか…その年齢で…？って子もちらほらいると私は思ってる。これを言ったらそのキャラに対する否定になるんだろうなぁって思いはしてるけど、それでもやっぱりあまりにもその年齢から乖離してるような雰囲気の子に関しては趣旨に合わないんじゃないかなって思うこともある。これは結構前から思ってたことなんだけど…言うに言い難い内容だったから伏せてたんだけどさ
  (2024/11/21 02:28:08)

胡桃 ◆> メタなことを言っちゃえばPLさんの年齢的に厳しいっていうのはあると思う！！思うんだよ？でも、そこを何とかやりくりするのがロールプレイっていうね   (2024/11/21 02:28:58)

胡桃 ◆> (途中…！)   (2024/11/21 02:29:07)

胡桃 ◆> …っていうか、なりきりなんじゃないかなーって。だから私は版権にはなるべく版権らしく。10代前半の子供ならもう少しそれらしい振る舞いっていうのも   (2024/11/21 02:30:17)

胡桃 ◆> …もう少し考えて欲しいかもって！(無理矢理繋げた)   (2024/11/21 02:30:47)

胡桃 ◆> じゃなくて！   (2024/11/21 02:30:52)

胡桃 ◆> 絶対ダメってわけじゃないんだけど、もう少し子供らしい演技がなんなのかっていうのを少し突き詰めて…っていうのはきっと傲慢かもね。せめて設定してる年齢を上げるとか…？   (2024/11/21 02:34:33)

おしらせ> エロガキ♂12dさんが入室しました♪  (2024/11/21 02:36:02)

胡桃 ◆> いらっしゃーい！…とは言っても、今はあまり歓迎してあげられる空気じゃないんだけどね   (2024/11/21 02:38:17)

エロガキ♂12d> こんばんはー、ふーたおさんなりのこだわり…？こーしてほしいっておはなしの最中にごめんなさい   (2024/11/21 02:38:53)

おしらせ> 栞葉るりさんが入室しました♪  (2024/11/21 02:39:16)

胡桃 ◆> 拘りっていうより単純に違和感って言った方が正しいかな〜。   (2024/11/21 02:39:25)

栞葉るり> 拘り、というより低年齢で中身を出されると…こう、おっさんみたいなエロガキですね、ってなるんですよね。こんばんは   (2024/11/21 02:39:51)

胡桃 ◆> 私がオブラートに包んだのに！！   (2024/11/21 02:40:08)

栞葉るり> ヤるだけならそれでいいんですけど、妙に達観されたエロガキとか…こう、母性をミリも感じないといいますが(オブラートの上から鈍器でガンガン)   (2024/11/21 02:40:42)

エロガキ♂12d> あー…ぐさぐさ刺さる人が多そうな…   (2024/11/21 02:40:54)

栞葉るり> なんか、そんな感じです！   (2024/11/21 02:41:03)

胡桃 ◆> せっかく色々気を使って言葉を選んだのに全部台無しにしてくれちゃって〜…   (2024/11/21 02:41:21)

エロガキ♂12d> でも大体そんな感じなんだよね…？   (2024/11/21 02:41:39)

胡桃 ◆> そういう風に見える人も少なくないってこと。   (2024/11/21 02:42:00)

栞葉るり> 正直、その辺はハッキリした方が良いかと。うやむやにするとエロガキ風の成人男性の溜まり場になりかねませんからね   (2024/11/21 02:42:38)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/21 02:42:56)

エロガキ♂12d> ぼくたち側ももう少し考えて！メタ的に言うならしっかり設定練ってきて！ってこと…？   (2024/11/21 02:42:58)

エロガキ♂19b ◆> キャラ設定が迷子な19b君ですよ～。こんばんは～   (2024/11/21 02:43:13)

エロガキ♂12d> 19bさんこんばんはー   (2024/11/21 02:43:34)

胡桃 ◆> 例えばの話だけど…12d君がロールの中でその歳のまま年齢に沿わないようなおじさん臭い発言とかが多かったらどう思うかな。子供っぽさがない12歳って矛盾してるでしょ？   (2024/11/21 02:44:45)

栞葉るり> 設定をねって出てきたのがあなた達なんでしょうから、そこは大丈夫です。その先ですね、本体の意見を押し殺してエロガキのままでいてください。少し気に入られたからとズルズルと中身が出てきたらそういう設定と現実の乖離を味わわされるハメになるんですよねー  
(2024/11/21 02:44:50)

栞葉るり> ご機嫌麗しゅう〜。まぁ19は成人してますし、ある程度おっさんでも大丈夫ですよー   (2024/11/21 02:45:19)

エロガキ♂12d> たしかに12歳に見えなくてむじゅんしてるかも…   (2024/11/21 02:46:08)

胡桃 ◆> その辺りは版権と創作で結構差が出るのかも。造物主の感情が混じりやすいんだろうし…創作に慣れてる人とかでもない限りは中身がでやすいのかもね。   (2024/11/21 02:46:09)

栞葉るり> それはありますね。自分で好き勝手いじれる分、キャラ崩壊だなんだと決めるのは本人だけ…なんですから。でも年齢を忘れないで欲しいですねぇ   (2024/11/21 02:47:16)

エロガキ♂12d> 設定と現実の乖離…むずかしいなぁ   (2024/11/21 02:47:20)

胡桃 ◆> 19bさんを犠牲にさせてもらうけどいいかな？   (2024/11/21 02:47:59)

栞葉るり> まぁ、ここでわたくしの散々張ってきた伏線が回収されるんですよね。自我を出すな、と！   (2024/11/21 02:48:09)

エロガキ♂19b ◆> 唐突に矛先を向けられたけど今日の俺は無敵だからいいよ   (2024/11/21 02:48:15)

エロガキ♂12d> 自我出しちゃだめ！わかりやすい！   (2024/11/21 02:48:32)

エロガキ♂19b ◆> この24時間だけ無敵モードなので何をいわれても大丈夫であります！(ビシッ)   (2024/11/21 02:48:45)

胡桃 ◆> たとえば私が「10歳くらいの男の子がいい！」って言ったとして…その年齢に合わせただけで今の19bさんがそのまま乗り込んできたら多分萎えると思う！   (2024/11/21 02:49:06)

栞葉るり> エロガキはエロガキのままでいなさい、とそこの人にも散々言いましたからねぇ…   (2024/11/21 02:49:13)

エロガキ♂12d> 外見と中身がかみあわないから…？   (2024/11/21 02:50:01)

エロガキ♂19b ◆> この言動で10歳は無理があるからな...   (2024/11/21 02:50:16)

胡桃 ◆> 実際その通りだよ。人によって解像度は違うかもしれないけど、「ガキ」つまり子供らしさが抜けてる人はただの変態さんか、中身さんなんなの。   (2024/11/21 02:50:18)

エロガキ♂19b ◆> ちなみに聞きたいんだけど俺に子供らしさってある？....(不安)   (2024/11/21 02:51:54)

胡桃 ◆> 19bさんは19歳だからなぁ…   (2024/11/21 02:52:21)

栞葉るり> …エロガキ側は原作がない分、そのへんの境目が曖昧でうやむやにされがちなのも悪い風習ですよね。たしかにエロガキの分類にマセガキなんてのもありますけども…そこは、一旦置いておきましょうか   (2024/11/21 02:52:26)

エロガキ♂12d> 19歳って大人じゃ…？   (2024/11/21 02:52:31)

栞葉るり> エロガキって名前の成人男性です   (2024/11/21 02:52:37)

エロガキ♂19b ◆> そっかぁ...ならいいや   (2024/11/21 02:52:46)

栞葉るり> 恥ずかしくないんですか？(バックスタブ)   (2024/11/21 02:52:47)

胡桃 ◆> 実際私も年齢を17まで下げようかと思ったんだよ？でもそれをしたら成人年齢改定前の人たちが皆さ…   (2024/11/21 02:53:37)

エロガキ♂12d> つまりこのお話しはどっちかと言うとぼくが悩まなきゃなお話しなわけだね…(せいざして)   (2024/11/21 02:54:10)

胡桃 ◆> 君が悩む必要まではないよ、どんな子か知らないしさ。   (2024/11/21 02:54:34)

栞葉るり> 今は自我も本人も引っ込んでるようなので…？反省する必要はないかと…？   (2024/11/21 02:54:41)

栞葉るり> 問題はエロガキというガワをかぶって中身を出して好き勝手やってる人がのさばってることなので   (2024/11/21 02:55:36)

胡桃 ◆> 多分そういうのが出てくる頃合っていうのがさっき言った唾つけの問題。お気に入りの人ができたりすると自制心とか緩くなったりして中の人だったり自我が出やすくなるんだと思う。(そうじゃない人もいる)   (2024/11/21 02:56:00)

胡桃 ◆> どうしよう！るりが容赦無さすぎて私が控えてる意味全部なくなってる！！   (2024/11/21 02:56:33)

エロガキ♂12d> これからもそういうのしないようにマジックペンで手のひらに書いとくね！   (2024/11/21 02:56:43)

栞葉るり> 堂主にはめっちゃ唾(物理)つけてますけども、この程度ですませろって話ですね。部屋出たら唾液は消えますし、臭わないので！   (2024/11/21 02:56:54)

エロガキ♂19b ◆> んまぁ、こういうのはズバッというのが一番てっとり早いからねぇ   (2024/11/21 02:57:09)

胡桃 ◆> (犬の唾液なんだけどって顔、)   (2024/11/21 02:57:15)

栞葉るり> …飽くまでわたくしの意見であって堂主が言ったわけじゃないですからね？悪しからず…   (2024/11/21 02:57:34)

エロガキ♂12d> 言わなきゃ伝わらないってマンガで読んだことあるしいいと思う！   (2024/11/21 02:57:43)

胡桃 ◆> 言って伝わればいいんだけどね…(遠い目)   (2024/11/21 02:58:05)

栞葉るり> 堂主が言ったら言ったで角が立つので…それも堂主を悩ませてる一つかと   (2024/11/21 02:58:23)

エロガキ♂12d> ここまでしっかりぐさぐさされてるのに伝わらないの…？   (2024/11/21 02:58:35)

エロガキ♂19b ◆> そういうやつが多いんやで   (2024/11/21 02:58:51)

栞葉るり> わたくしの場合は角どころか凹むまで削るので(ガガガガ)   (2024/11/21 02:59:00)

エロガキ♂12d> どうぬしさんも大変だね…   (2024/11/21 02:59:11)

胡桃 ◆> まぁ私から最低限言っておくべきことは言えたし、これで終わりかなぁ。   (2024/11/21 02:59:50)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/11/21 03:00:37)

エロガキ♂12d> ふーたおさんお疲れさま、ありがとう…でいいのかなぁ？   (2024/11/21 03:00:47)

栞葉るり> エロガキって響きでショタコンだったり小さい子が好きな人も釣られて来てるのに、この有様だったらもう来なくなりますよね、ってお話でした   (2024/11/21 03:00:55)

胡桃 ◆> (本当にそれ！)   (2024/11/21 03:01:18)

エロガキ♂12d> たしかに…というかそういうお姉さんたちの方が多いよね…？   (2024/11/21 03:01:33)

胡桃 ◆> いらっしゃーい！   (2024/11/21 03:01:39)

エロガキ♂13Al> ゲームをするって立て付けだと断るタイミングもないし、逆に言えばゲームの範囲内でやることやったらそれ以上は付き合う義理はないってことでもあるから、自分がどうかと迷ったら強く求めすぎないように……気を……つけ……たい……（語尾が弱くなる）  
(2024/11/21 03:01:50)

栞葉るり> では堂主の脳内を読むのはやめるのでわたくしはこれで。お疲れさまでした〜   (2024/11/21 03:02:04)

おしらせ> 栞葉るりさんが退室しました。  (2024/11/21 03:02:07)

エロガキ♂12d> 13さんいらっしゃいー   (2024/11/21 03:02:09)

胡桃 ◆> 君はまだ勝負もしてないでしょ〜？名前把握してるよ。   (2024/11/21 03:02:30)

エロガキ♂12d> るりさん、おつかれさまですー   (2024/11/21 03:02:38)

エロガキ♂19b ◆> お疲れさま～！   (2024/11/21 03:02:39)

胡桃 ◆> 相変わらず狂犬っぷりだったよ…いろいろ台無しにしてくれたけど、まぁ今回はむしろそれでいっかって思えるし。またね。   (2024/11/21 03:03:13)

エロガキ♂13Al> 見られている……！？　俺のこと好きなのか……（違う）　ってー、俺もあんまり長く入られないけどお疲れ様！　すっごい深夜！！   (2024/11/21 03:03:34)

エロガキ♂12d> ぼくは極々たまに遊んでもらってるー   (2024/11/21 03:04:05)

胡桃 ◆> こうやって人が来ないと思ってわざわざこの時間を選んだんだけどー…？   (2024/11/21 03:04:09)

エロガキ♂12d> 途中で入っちゃってごめんなさい…   (2024/11/21 03:04:39)

エロガキ♂19b ◆> この時間は一番パーティーしやすい時間だよ？寝落ちしてることが多いけど....( ;´･ω･`)   (2024/11/21 03:04:57)

胡桃 ◆> ううん、大丈夫だよ〜？ただこんなに来るとは思わなかっただけだから。   (2024/11/21 03:05:24)

エロガキ♂13Al> べ、別に人に構ってほしくて入ってきたわけじゃないし……！   (2024/11/21 03:06:07)

エロガキ♂12d> ふーたおさんのお話しちゃんと覚えて変にならないように気をつけるね！   (2024/11/21 03:06:17)

エロガキ♂19b ◆> 俺はいったんこのままでええかな...下手に変えて自我がでてきても困るし(右手抑えて)   (2024/11/21 03:07:04)

エロガキ♂12d> 男の子のツンデレってお姉さんたち的にはありなのかな   (2024/11/21 03:07:23)

胡桃 ◆> 思い悩みすぎない程度でね、楽しむために悩むならいいけど、楽しめなくなるような深い悩みは発生させなくていいから！   (2024/11/21 03:07:40)

エロガキ♂12d> 19bさんちゅーにびょーみたい   (2024/11/21 03:08:01)

胡桃 ◆> ありなんじゃないかな？少なくともそういう子が好きって人も中にはいると思うよ。   (2024/11/21 03:08:08)

エロガキ♂12d> ふーたおさんめちゃくちゃ優しいけどお姉さんたちも楽しめるようにするには気をつけないとだねっておもった！   (2024/11/21 03:09:06)

エロガキ♂13Al> 相手を楽しませるのも大事だけど自分が楽しむのも大事……そういう……感じ！　あとデレてないから。   (2024/11/21 03:09:17)

エロガキ♂12d> よかったね、13さん！   (2024/11/21 03:10:07)

胡桃 ◆> どっちも欠けたら成り立たないからね。相手がいてこそだから、そこは版権側もしっかりしてもらわないと。   (2024/11/21 03:10:47)

エロガキ♂12d> 見てることの方が多いけどお姉さん側はみんなちゃんとしてるよね？   (2024/11/21 03:11:53)

エロガキ♂13Al> ゲームを始めちゃったら終わるまでは付き合うことになっちゃうかなーと思うから、こう、ゲームの間は逆に遊びだと割り切ってやるっていうのも逆に身を守るのに必要かなーって。   (2024/11/21 03:11:57)

胡桃 ◆> 皆かどうかはわからないけどね。私も全員を把握してるってわけじゃないからさ。   (2024/11/21 03:13:38)

胡桃 ◆> 割り切るのは大事なんだけど、それができないっていうか…そもそも中身が出てきてる人がいるって言うか…？   (2024/11/21 03:14:13)

エロガキ♂19b ◆> 何人か年齢にあってないかもって人はみてるけどねぇ...言えないよねぇ....   (2024/11/21 03:14:37)

エロガキ♂13Al> むむむー……まあー、どうしても合わないなら断る勇気も必要……。だんだんノリが合わせられない人は相手されなくなっていくだろうし……って言いたいけど、そうなると入ってくる人自体もだんだん減ってくるっていう、ねー   (2024/11/21
03:15:28)

エロガキ♂12d> ぼくたち側はそういうのあるから気をつけよー！ってことだよね   (2024/11/21 03:15:36)

胡桃 ◆> 遊びは遊びだけど、その中で仲良くなったりして親密になること自体をダメとは言わないんだけどさ。そういうのが問題の種にもなるからある程度自己責任、場合によっては私から小言があるかもしれないし。   (2024/11/21 03:16:24)

胡桃 ◆> 何人かっていうか…そこそこ居たんじゃない？   (2024/11/21 03:16:57)

胡桃 ◆> 実際問題ここにいる3人は年齢の上限上がったらどうするの？   (2024/11/21 03:17:50)

エロガキ♂19b ◆> 忘れた！！女の子のこと覚えるので精一杯でこっち側のを把握するのは難しいのだ...   (2024/11/21 03:18:10)

胡桃 ◆> 私は把握してるから振る舞いには気をつけないと〜…？   (2024/11/21 03:18:43)

エロガキ♂19b ◆> 俺はこのままだと思うよ～。   (2024/11/21 03:18:44)

エロガキ♂12d> 上限が上がってもこのままかなぁ   (2024/11/21 03:19:02)

エロガキ♂13Al> 俺は別に……何も……（女の子に構ってもらえるの嬉しくてのめり込んでハァハァパンパンしたいからこういう年齢設定になってるとか言うわけにもいかないし……）   (2024/11/21 03:19:18)

エロガキ♂19b ◆> (心の声が！！)   (2024/11/21 03:19:56)

胡桃 ◆> 1人だけ欲望に素直で参考にもならないベストアンサーかもしれない…   (2024/11/21 03:20:02)

エロガキ♂19b ◆> というか俺はなーんでこの年齢で自然と受け入れられてるのかが不思議なんだよな...やっぱガキじゃないやん？やっぱ断りずらかったりするのかなぁと不安になったりならなかったり！   (2024/11/21 03:21:21)

エロガキ♂13Al> （くっ……こいつら俺の声が聞こえてやがるのか……！　聞こえてるんだろう、分かってるぜ……俺が精神防壁《マインドプロテクト》を習得していることには気付いてないみたいだがな……！）   (2024/11/21 03:21:35)

エロガキ♂19b ◆> (デコピンしておくね)   (2024/11/21 03:22:19)

胡桃 ◆> それについてはわからないけど…版権側だって、別にショタのみじゃないとって訳でもないんじゃないかな。ただ、それが部屋名と合わないからおかしいよねーって話しはしたけどさ。   (2024/11/21 03:22:32)

エロガキ♂12d> 最初の部屋の時にそういう話ししてたの見た気がするー   (2024/11/21 03:23:10)

胡桃 ◆> (この子面白いね〜…そのうち夜の森にでも連れて行ってあげたいくらい、)   (2024/11/21 03:23:12)

エロガキ♂19b ◆> 今は無き幻の部屋があったとき？   (2024/11/21 03:23:35)

