/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月01日 11時59分 ～ 2024年12月04日 23時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ナリタトップロード> 地獄じゃないじゃないですか！   (2024/12/1 11:59:26)
初音ミク> へー…エロガキの種類で図鑑疲れそうじゃん、作んないけど。どっちなのそれ？まあどっちでもいいんだけど…えっちなしで寝るだけなら付き合えないこともないかな。穴使いたいってなら勝手にどーぞってなるけど   (2024/12/3 00:02:06)

エロガキ♂19b ◆> お、いいじゃんー！いってきたら？添い寝だし穴が使われることはないと思うよ～...そもそもあの子はあんまり使わないしね、おっぱいで楽しんでることが多いよ   (2024/12/3 00:04:03)

エロガキ♂19b ◆> それにこんなところでお兄さんとお話ししてるよりもあそこにいる若い子と添い寝した方がいいのかもしれない....ちょうどミクちゃんも寝る前みたいですし？んま、お兄さんも充分若いんだけどね～   (2024/12/3 00:05:33)

初音ミク> 下手な誘導しなくたっていいでしょ、気を使って来てあげたーとかクソつまんなくない？私は客が楽しむ演技とかフツーにするけど…どんな理由で萎えるかとかよくわかんないし   (2024/12/3 00:08:55)

エロガキ♂19b
◆> 確かにつまんないかも...誘導してるつもりはなかったけど、たぶん自然とそうなったか...よーし、、なら高みの見物してよっとあと5分...この間に相手は現れるのか、、誰も来ずに1人で寝ることになるのか...お兄さんは1人で寝る方に花京院の魂をかけよう！  
(2024/12/3 00:11:08)

初音ミク> いってきたら？って言ったくせに誘導してないってマジ…？眠くて誤字多い私より頭回ってなさそうだけど平気？誰の魂かわかんないケド…どうせ賭けるならもっと面白いものにしないの？   (2024/12/3 00:13:13)

エロガキ♂19b ◆> これは癖だね。無駄な気遣いってやつだよ。いつもこんな感じだから大丈夫よ～....生憎といまかけれるものがこれしかなくてな...他には、、明日の朝ご飯ぐらいしか！！   (2024/12/3 00:15:23)

エロガキ♂19b ◆> 残念、相手は見つからなかったみたいだね...日も変わったし寝てても仕方ない...何てったって平日だからな！！明日早い人も多いのだ...   (2024/12/3 00:17:10)

初音ミク> 自分で言ってちゃホントに無駄じゃん？言うことに芯を通した方がまだいいと思うよ、自信持ちなって〜。朝ごはんいいじゃん、私は必要ないけどせっかくだし何食べるのかくらい聞かせてよ。あー…？ホントだ、いつの間にかこんな時間…私もそろそろ寝るかな、スリープモード的な
  (2024/12/3 00:19:48)

エロガキ♂19b
◆> 俺は自分に自信なんて持たないからね～...明日の朝は～、、白米だね...訳あって60キロ位お米があって食べてかないといけないから...でも白米だと味気ないから炒飯とかにしてもいいかもしれない、、朝から炒飯は重いかもしれないけどね～...無理せず寝なー？ここで寝ちゃったらお兄さんに好き放題触られる未来が待ってるけど
  (2024/12/3 00:23:08)

初音ミク> だっせ！まあ私の知ったことじゃないか、ごめんごめん。60キロって相当量ない？まあ最悪1回炊いてから冷凍保存ってのも手でしょ。無駄になんなきゃマシってやつ。なにー？私の体触りたいなら一緒に寝る？あ…でも反応なきゃつまんないかな？  
(2024/12/3 00:26:08)

エロガキ♂19b ◆> 冷凍保存してるやつ除いてなんだよね...おっとー、お兄さんと添い寝してくれるの？でも今回は遠慮しておこうかな～。反応なくても楽しめるけど...どうせならそういうのは勝ってからしたいからね   (2024/12/3 00:28:14)

初音ミク> そー？じゃ私はそろそろ行くよ。遊んでからってなると時間もかかるし乗り気じゃない相手誘うほど私もバカじゃないからさ。それじゃおやすみ、お兄さん   (2024/12/3 00:31:09)

おしらせ> 初音ミクさんが退室しました。  (2024/12/3 00:31:16)

エロガキ♂19b ◆> はーい、おやすみ～！！しっかり休むんだよ～？   (2024/12/3 00:32:17)

エロガキ♂19b ◆> さてさて、、これ以上の悪い子はもういないかな？   (2024/12/3 00:48:28)

エロガキ♂19b ◆> よーし、、待機しよっと！！   (2024/12/3 01:03:35)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/3 01:03:39)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/3 07:54:48)

エロガキ♂19b ◆> おはよう～...っていっても誰もいないけどね   (2024/12/3 07:55:30)

エロガキ♂19b ◆> 背後が忙しく...行かなきゃ！！   (2024/12/3 08:05:26)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/3 08:05:31)

おしらせ> キャットさんが入室しました♪  (2024/12/3 14:20:18)

キャット> アーバロン、アーバロン、うるわしの〜（ぴょいん）   (2024/12/3 14:20:33)

キャット> 先に言っとくと対戦するほど余裕ないからそのつもりでね！   (2024/12/3 14:23:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/3 14:30:36)

エロガキ♂19b ◆> こんにちはー！！今回は誰かいる....だと！？   (2024/12/3 14:31:13)

エロガキ♂19b ◆> へいへい～固まってるのかぁ？(ペチペチ)   (2024/12/3 14:34:44)

キャット> やあーこんにちはー。たまのお肌にむやみに触れちゃいけないよー。   (2024/12/3 14:36:31)

エロガキ♂19b ◆> かわいい子の肌には触りたくなるのだ！！今殴られても後悔はない！   (2024/12/3 14:37:15)

キャット> あたしが叩かなくてもそのうち報いを受けるでしょ。ここが暴力飛び交う場所になるのもなんだしね。   (2024/12/3 14:38:46)

エロガキ♂19b ◆> その時は骨は拾ってね...ここにいる子達力強いからさ～...   (2024/12/3 14:39:36)

キャット> 嫌だけど…。なんかするなら罰部屋できっちりやられてきてね！   (2024/12/3 14:42:43)

エロガキ♂19b ◆> 断られちゃったぜ！！...罰部屋では運動させられたりご飯作ったりとかそんなんばっかだからね、そろそろエグいのがきそうで怖い...というかキャットちゃんとは始めましてかなー？...うん、多分始めまして！！   (2024/12/3
14:44:18)

キャット> そうかな、そうかも。泥棒のキャットだよ。お見知り置きを。お姉さん側は勝った時何するかどれぐらい考えてるんだろうね。案外困っちゃいそうだね。   (2024/12/3 14:46:45)

エロガキ♂19b ◆> どうだろうねー、こっちが勝ったときはやることは大体甘えるか苛めるかのどっちかだけど、お姉さん側はなかなか難しいんじゃない～？逆に攻めるような人もいるけどね～...   (2024/12/3 14:49:19)

キャット> 勝負がしたいだけでそのあとのこと考えてなかった、ってこと結構ありそうだよね。時間も短いし頭使うね。   (2024/12/3 14:53:53)

エロガキ♂19b
◆> あんまり勝ったときのことを考えてないのかも？...来てくれるってことはそういうことしたいって人もいるだろうし、あくまでも勝ったから罰を考えてくれるんだよねー、、ありがたいことなのかも。頭を使うのはたしかにそう...どっちにしろ短いんだよね...  
(2024/12/3 14:57:03)

キャット> そういう時のためにランダムな罰があるんだろうけどね。せっかくなら流れや設定に沿った粋な罰を受けて欲しいよね。短い時間でも無駄にしちゃったらもったいないし。   (2024/12/3 14:59:49)

エロガキ♂19b ◆> めっちゃわかる...無駄にしたらホントに勿体無い、どうせやるなら楽しまないとあれだし...キャットちゃんは罰考えてたりする～？   (2024/12/3 15:01:11)

エロガキ♂19b ◆> っと、、すこーしりせき！   (2024/12/3 15:01:31)

キャット> あたしは頭の回転に任せて何か考えるけど。ふふん。あとは気乗りしない時には入っていかないし。   (2024/12/3 15:03:24)

おしらせ> エロガキ♂18hさんが入室しました♪  (2024/12/3 15:08:59)

エロガキ♂18h> こんにちは～はじめまして   (2024/12/3 15:09:10)

キャット> はろー、こんばんは。   (2024/12/3 15:09:34)

エロガキ♂18h> 女性側が勝つと、最悪雑談に終わることがあります   (2024/12/3 15:09:48)

キャット> ほぉー。でもそうかもねー。勝った時の準備をしてないこともあるだろうさ。   (2024/12/3 15:11:42)

エロガキ♂18h> もちろん勝って女性側が男性側を…って考えてたら、容赦ないでしょうけど   (2024/12/3 15:12:28)

キャット> いじめられたい時は罰としていじめさせるってこともあるのかもね。時間は短いけど…。   (2024/12/3 15:13:24)

エロガキ♂18h> まーそれが罰なのかどうかは判断分かれますね   (2024/12/3 15:13:58)

キャット> あははー。シンプルに叩いたり蹴ったりされるよりはマシなんじゃない。どうしてもできない時には断るのも仕方ないかもねー。お互いラインの見極めは必要になる時がある…かも？   (2024/12/3 15:18:12)

エロガキ♂18h> そう考えると、深いなぁと思うわけです   (2024/12/3 15:18:41)

エロガキ♂18h> 相手に強制させるかつ拒否権なしなら、罰になりうるとは思いますが   (2024/12/3 15:19:28)

エロガキ♂19b ◆> たで～まー   (2024/12/3 15:22:02)

エロガキ♂18h> おかえりなさい   (2024/12/3 15:22:44)

キャット> お互いに信頼と思いやりが必要な訳だね。嫌がることを無理やりやらせるだけならカンタンだけど、究極的には嫌になったら無言落ちしたっていいわけだし。   (2024/12/3 15:22:50)

エロガキ♂19b ◆> っと、こんにちは18H君～   (2024/12/3 15:22:59)

エロガキ♂18h> お互いに楽しめなきゃですからね   (2024/12/3 15:23:39)

エロガキ♂18h> はじめましてです！   (2024/12/3 15:23:48)

エロガキ♂19b
◆> 始めましてだったか！！なら二人ともゆっくりとお話しを...といいたいところ何だけどちょっといくところがあるんだよねぇ～...ごめんね！！お兄さんよくここにいるから見かけたらまたお話ししましょー、帰ってきたばかりでごめんけど...お兄さんはこれで！！  
(2024/12/3 15:25:14)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/3 15:25:17)

エロガキ♂18h> はい、お疲れ様です！   (2024/12/3 15:25:40)

キャット> 忙しそうだねー。無理しないでちゃんとやることやるんだよー。   (2024/12/3 15:25:59)

エロガキ♂18h> ヤルコト…   (2024/12/3 15:26:23)

キャット> 最後までやれるかどうかは罰部屋の時間設定だと難しいね。（なんの話？）   (2024/12/3 15:30:35)

エロガキ♂18h> 確かに…合意の上なら、さらに移動はありなんでしょうか   (2024/12/3 15:31:24)

エロガキ♂18h> アフター部屋があるみたいですね   (2024/12/3 15:34:10)

キャット> アフター用の部屋があるからそこでしてるんじゃない？　ログ見ると大体してるよーな。（双眼鏡構えてチェック）   (2024/12/3 15:34:18)

エロガキ♂18h> かなり激しかったり…（一緒になってチェック）   (2024/12/3 15:35:12)

エロガキ♂18h> お姉さんも遊んでるじゃないですか   (2024/12/3 15:38:53)

キャット> そうかもね！ログが見えちゃうものは仕方ない。羨ましくなったかな〜？   (2024/12/3 15:39:34)

エロガキ♂18h> ちょっとうらやましいな～   (2024/12/3 15:39:55)

エロガキ♂18h> あんまり見るとあれだから、見るのはやめよ（笑）   (2024/12/3 15:41:10)

キャット> 見えちゃうものは見ちゃっていいと思うけどね。でもログを元にあんまり他の人をからかうのはいけないからね！嫌がられたらやめよう。   (2024/12/3 15:42:35)

エロガキ♂18h> それは信用失いますね…   (2024/12/3 15:43:03)

キャット> 羨ましければ恐れずに待機に行くことだねー。あたしは今はできないけどね。   (2024/12/3 15:45:44)

エロガキ♂18h> ですよねー   (2024/12/3 15:47:10)

キャット> 精進したまえよー。ふふふ。   (2024/12/3 15:51:17)

エロガキ♂18h> はーい   (2024/12/3 15:51:52)

エロガキ♂18h> いつかお相手してくださいねーってことで、ぼちぼち   (2024/12/3 15:52:30)

キャット> もう夕方だー。あたしも行くかあ。   (2024/12/3 15:52:49)

エロガキ♂18h> じゃあまたー。お話ありがとうございましたー   (2024/12/3 15:53:35)

おしらせ> エロガキ♂18hさんが退室しました。  (2024/12/3 15:53:39)

おしらせ> キャットさんが退室しました。  (2024/12/3 15:53:53)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/3 23:01:17)

エロガキ♂14C ◆> 気が付けばもうこんな時間、かあ。さっきはホント申し訳ないことしたなあと思いつつこんばんはー。   (2024/12/3 23:01:45)

エロガキ♂14C ◆> それにしても昼間割と暖かかったのに、なんか今すごく寒いんだけど…！？せめて暖かいなら朝晩もあったかくして欲しいなあ…！   (2024/12/3 23:05:35)

エロガキ♂14C ◆> 最近全然遊べてないから遊びたくもありつつ、今から外へ出てもお相手現れるかは謎…   (2024/12/3 23:10:42)

エロガキ♂14C ◆> サクッと遊びたいと思ってもお相手いなきゃ始まらない遊びだからねー……（遠い目）   (2024/12/3 23:12:19)

エロガキ♂14C ◆> 遊ぶのはまた明日にしよっかな、なんて思ってても多分明日の夜もなんだかんだいない気がする…！と思いつつ今夜はたいさーん！おやすみなさーい！   (2024/12/3 23:17:06)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/3 23:17:17)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/4 00:09:33)

エロガキ♂19b ◆> こんばんは～！こんな時間に起きてる悪い子はいるかなー？いうて、まだ0時だから遅くはない、、かも？   (2024/12/4 00:10:09)

エロガキ♂19b ◆> みーんな寝てるっぽいねぇ..   (2024/12/4 00:21:26)

エロガキ♂19b ◆> やることやってこよっと～！   (2024/12/4 00:40:34)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/4 00:40:35)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/12/4 07:45:24)

シャーロット・レイス ◆> おはようございます   (2024/12/4 07:45:31)

シャーロット・レイス ◆> あまりこのお時間は、どれと来ないのかな   (2024/12/4 07:54:50)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/12/4 07:54:59)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/4 12:39:20)

エロガキ♂19b ◆> こんにちは～！   (2024/12/4 12:39:27)

エロガキ♂19b ◆> お昼時～、、そして同時にお昼寝がしたくなるよねー   (2024/12/4 12:46:32)

エロガキ♂19b ◆> んんー、、お昼寝してこよっと   (2024/12/4 13:05:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/4 13:05:22)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/4 14:22:07)

エロガキ♂14C ◆> なんとなくこんな昼間に来てみた。こんにちはー。……サボりとかいわないでね！？   (2024/12/4 14:22:35)

エロガキ♂14C ◆> 最近夜にいないんだから、顔出すのがこーいう時くらいしかないんだよねー。と言いつつ今日も夜は多分来ないんだけどさっ。   (2024/12/4 14:25:03)

エロガキ♂14C ◆> とはいうものの、平日昼の時間って全体的に人少ないもんねー。お昼休憩の時間ですらないし。   (2024/12/4 14:29:29)

エロガキ♂14C ◆> それにしても夜にちゃんと寝ててもお昼に眠たくなる現象ってなんだろーね？   (2024/12/4 14:36:35)

エロガキ♂14C ◆> それはさておきもう12月かあ、罰ゲームでお着替えさせるのにミニスカサンタはありふれ過ぎてて、もう少し尖らせたい欲もある…！   (2024/12/4 14:41:02)

エロガキ♂14C ◆> あ、でもおっきいリボンを全身に巻いてってやつはえっちだなあと思った。参考画像？探してね！   (2024/12/4 14:44:34)

エロガキ♂14C ◆> そんな訳でクリスマスプレゼントにはおっぱいおっきいおねーさんをリボンに包んでプレゼント希望！……エロガキは悪い子だからプレゼントなし、なんて言わないで欲しいな？   (2024/12/4 14:48:29)

エロガキ♂14C ◆> さて、それじゃまた空いてる時にでも来よっかなー？またねー。   (2024/12/4 14:54:04)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/4 14:54:13)

おしらせ> カリオストロさんが入室しました♪  (2024/12/4 18:46:24)

カリオストロ> ちょこっと失礼♡   (2024/12/4 18:46:41)

カリオストロ> １４Ｃちゃんにあーし指名されちゃってるぅ？   (2024/12/4 18:47:24)

カリオストロ> https://prtimes.jp/i/14827/3680/resize/d14827-3680-119026-3.png
[/JumpUrl2/?url=https%3A%2F%2Fprtimes.jp%2Fi%2F14827%2F3680%2Fresize%2Fd14827-3680-119026-3.png]   (2024/12/4 18:47:46)

カリオストロ> こういうことよねー？   (2024/12/4 18:47:59)

カリオストロ> もう、14Cちゃんったら情熱的ね♡   (2024/12/4 18:48:16)

カリオストロ> よっし、ご飯食べて来ましょう―っと♡   (2024/12/4 18:48:34)

おしらせ> カリオストロさんが退室しました。  (2024/12/4 18:48:43)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/4 20:11:43)

エロガキ♂17C ◆> 少しばかり時間が出来たと思って覗いてみれば勝負が始まってた。となれば、参加したくなるのは仕方ないよね。という訳でこんばんは。   (2024/12/4 20:12:32)

エロガキ♂17C ◆> ……いや、真面目に意図してなかったというかご指名のつもりもなかったのにちゃんとドンピシャな衣装来た人いるんだな。思わず2度目してしまったんだが。   (2024/12/4 20:13:22)

エロガキ♂17C ◆> それより、だ。いい加減17Cの時はトラップ外すか。流石に色々とこう、残念な雰囲気が漂って仕方がない。（溜息）   (2024/12/4 20:14:33)

エロガキ♂17C ◆> トラップ→トリップ いい加減予測変換のポンコツ具合はなんとかならないものか……   (2024/12/4 20:15:18)

エロガキ♂17C ◆> しかし、やっぱり全体的な人数は多くはなさそうだ。今度は改めて最初からもう一戦、と行きたいところだったが厳しい気がするな。   (2024/12/4 20:20:13)

エロガキ♂17C ◆> って言ってたらゲーム部屋に人がまた入ってるな。しばらく様子を眺めているとしようか。   (2024/12/4 20:24:21)

エロガキ♂17C ◆> 様子見るためだけにここにいるのも、ね。一度出るとしよう。お邪魔しました。   (2024/12/4 20:30:00)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/4 20:30:07)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/4 22:29:15)

エロガキ♂19b ◆> こんばんはー！！っと今日も今日とて誰もいないですけどね～...   (2024/12/4 22:29:52)

エロガキ♂19b ◆> 今回は運良く勝てたけど次もこの運が続くといいなー、何て思ってたりねぇ...いやもうほんとずっと強くあってくれぇ...   (2024/12/4 22:32:48)

おしらせ> エロガキ♂18hさんが入室しました♪  (2024/12/4 22:34:35)

エロガキ♂18h> こんばんは～先ほどはどーも！   (2024/12/4 22:34:48)

エロガキ♂19b ◆> こんばんは～！   (2024/12/4 22:35:35)

エロガキ♂18h> お陰で一勝目をあげられました（笑）   (2024/12/4 22:36:01)

エロガキ♂19b ◆> 俺はそんなに高い目はだしてないけどね～、初勝利かな？   (2024/12/4 22:36:28)

エロガキ♂18h> 初勝利ですね   (2024/12/4 22:37:01)

エロガキ♂19b ◆> おめでとうございます、かな。初勝利を送れて良かったです～...この調子で頑張ってくださいねー！！   (2024/12/4 22:37:52)

エロガキ♂18h> ありがとうございます～   (2024/12/4 22:38:13)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/12/4 22:39:48)

エロガキ♂19b ◆> 18hさんのこれからの活躍に期待、かな？先輩である私からの適当な激励をおくろうー！   (2024/12/4 22:39:52)

シャーロット・レイス ◆> こんばんは   (2024/12/4 22:40:06)

エロガキ♂19b ◆> やっほー！レイスちゃん！   (2024/12/4 22:40:26)

エロガキ♂18h> こんばんは～   (2024/12/4 22:40:26)

エロガキ♂18h> 適当（笑）   (2024/12/4 22:40:35)

エロガキ♂18h> はじめまして！   (2024/12/4 22:40:44)

シャーロット・レイス ◆> はじめまして。18hさん   (2024/12/4 22:41:03)

エロガキ♂19b ◆> 朝居たのは見たけど入れなかったんだよなぁ...超後悔～   (2024/12/4 22:41:24)

シャーロット・レイス ◆> 今日は朝にいましたね。   (2024/12/4 22:41:42)

エロガキ♂18h> お知り合いなんですね   (2024/12/4 22:41:47)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/4 22:42:32)

シャーロット・レイス ◆> こちらの方はほぼ毎日いますから   (2024/12/4 22:42:33)

エロガキ♂19b ◆> おっと、俺が一方的に知ってるだけかもよ～？レイスちゃんからしたら俺はしがないガキの1人かも知れないしね。毎日いてごめんねー...暇すぎて、、暇すぎて！！   (2024/12/4 22:42:53)

エロガキ♂18h> こんばんは～はじめまして   (2024/12/4 22:42:55)

エロガキ♂14C ◆> 予定が潰れたー！！と思って覗いてみたら知った顔が。こんばんはー！   (2024/12/4 22:43:09)

シャーロット・レイス ◆> それは残念ですね。   (2024/12/4 22:43:33)

エロガキ♂19b ◆> やっほー！こんばんは～   (2024/12/4 22:43:55)

エロガキ♂14C ◆> あ、18hにーさんはこの姿では初めまして、だね？さっき支援に行った17Cと同じ人物だよ、てへ。   (2024/12/4 22:43:55)

エロガキ♂18h> あ、そうでしたか   (2024/12/4 22:44:23)

エロガキ♂18h> 先ほどは助かりました！   (2024/12/4 22:44:44)

エロガキ♂14C ◆> その時の気分でおっきくなったりちっさくなったりしてるんだー。楽しめたなら何よりだよー、僕はその後負けたけど！！   (2024/12/4 22:45:30)

エロガキ♂18h> あらら   (2024/12/4 22:45:38)

エロガキ♂14C ◆> そしてシャーロットおねーさんはこの前の添い寝ぶりだねー？ちゃーんと堪能して貰えたなら良かったけどー？（にっこり）   (2024/12/4 22:46:53)

エロガキ♂18h> 添い寝？！   (2024/12/4 22:47:20)

エロガキ♂19b ◆> 特技添い寝だもんね～...違う？それは失礼失礼   (2024/12/4 22:48:02)

エロガキ♂14C ◆> （19bにーさんに座布団投擲）   (2024/12/4 22:48:18)

シャーロット・レイス ◆> して欲しいと言われたから   (2024/12/4 22:48:34)

エロガキ♂18h> 横綱が負けたときみたい   (2024/12/4 22:49:15)

エロガキ♂14C ◆> 添い寝ってあったかくていいなー？と思うんだけど、僕変なこと言ってるかなー？   (2024/12/4 22:49:31)

エロガキ♂19b ◆> グハッ！！...事実...か...(パタリ)   (2024/12/4 22:49:37)

エロガキ♂18h> 添い寝してくれるおね～さん欲しい（ぼそっ）   (2024/12/4 22:49:49)

エロガキ♂14C ◆> （添い寝って言っても大半おねーさん側が先に寝落ちする添い寝だよ）   (2024/12/4 22:51:24)

シャーロット・レイス ◆> ちゃんと寝れるたならいいのだけどいきなりはしないからね。(18hさんを見て)   (2024/12/4 22:51:36)

エロガキ♂18h> あぁね（察し）   (2024/12/4 22:51:49)

エロガキ♂18h> ま－いきなりは、ね（苦笑）   (2024/12/4 22:52:06)

エロガキ♂14C ◆> 添い寝、って一言で言ってもホントに添い寝だけで終わらない人もいると思うしねー？   (2024/12/4 22:52:49)

エロガキ♂18h> そだねぇ   (2024/12/4 22:53:23)

エロガキ♂14C ◆> （倒れてる19bにーさんの顔に座布団5枚くらい積んどこ）   (2024/12/4 22:53:28)

エロガキ♂19b ◆> ねー、添い寝だけで終わったら勿体ないよ～...というか俺が添い寝なんて普通にないな...やっぱりそういうのはショタとかがするにかぎるって、なんで乗っけるかなぁ！？   (2024/12/4 22:53:54)

シャーロット・レイス ◆> (それに座ろうか迷ったけど)添い寝だけで終わってくれるとわかってるから逝くのだけどね。   (2024/12/4 22:54:48)

エロガキ♂18h> あはは…   (2024/12/4 22:55:15)

エロガキ♂14C ◆> そう言う意味では僕の添い寝はほんとーに添い寝だけだからねっ。シャーロットおねーさんが証人だよっ。（ふんす）   (2024/12/4 22:55:26)

シャーロット・レイス ◆> 【変換間違えた】   (2024/12/4 22:55:27)

エロガキ♂14C ◆> （逝ったらダメ…！）   (2024/12/4 22:55:42)

エロガキ♂14C ◆> 良かったじゃん、座布団を顔に乗せといたら気が向いたおねーさん方の誰かが座ってくれるかもよ？ドン引きされそーだけど。   (2024/12/4 22:57:01)

エロガキ♂19b ◆> それも悪くはないけどだとしてもそんなにも座布団をのせる必要はないと思います！(ムクリ)   (2024/12/4 22:57:41)

エロガキ♂14C ◆> え、枚数重ねとかないと顔の感触とか伝わってきそうで気持ち悪いじゃん…（ぼそっ）   (2024/12/4 22:58:50)

シャーロット・レイス ◆> 私は、勝負いくのは勝っても負けても楽しめるならいいかなと、思ってはいるから   (2024/12/4 22:59:11)

エロガキ♂18h> うんうん、楽しめないとね   (2024/12/4 22:59:47)

エロガキ♂14C ◆> そーいう意味では今夜は勝負しに行くつもりなのかなー？と聞いてみるっ。   (2024/12/4 22:59:59)

シャーロット・レイス ◆> 今は裏で色々とポチポチしてるからね。   (2024/12/4 23:00:37)

エロガキ♂14C ◆> それだと確かに勝負は難しいよねー、仕方ないっ。   (2024/12/4 23:01:13)

エロガキ♂18h> ぼくは…勝てるようにがんばろー   (2024/12/4 23:01:19)

エロガキ♂14C ◆> でも、遊ぶなら楽しめる相手と遊びたいってのはそーだよねー？罰ゲーム込みな遊びな分、そこの相性は大切だと思うしっ。   (2024/12/4 23:01:58)

エロガキ♂18h> わかります、それ   (2024/12/4 23:02:54)

エロガキ♂18h> ぼくはお相手さんが楽しめるように、してるつもりなんだけど…   (2024/12/4 23:03:19)

エロガキ♂14C ◆> その辺僕はどーだろーなー？ベース甘えただから、がっつり攻めが好きなおねーさんたちにしてみれば物足りないと思うんだよねー、てへへ。   (2024/12/4 23:04:34)

エロガキ♂19b ◆> 楽しめてなかったらアフターまでいかないと思うよ...だから！！18h君は自信を持ちなぁ！！   (2024/12/4 23:04:56)

エロガキ♂18h> あ～相手がなにを求めてるかとか、把握できたら一番だよね   (2024/12/4 23:05:13)

エロガキ♂18h> あはは、ありがとうございます！   (2024/12/4 23:05:24)

シャーロット・レイス ◆> 何を求めてるのかはいきなりはわからないからね。   (2024/12/4 23:06:00)

エロガキ♂14C ◆> さくっと終わらせられるのも醍醐味ではあるから、アフターも見極めが大事だよねー。僕の求めてるものはちゃーんとプロフに書いてあるから、そーいう意味では大丈夫…だと信じたい！   (2024/12/4 23:06:51)

エロガキ♂18h> ですね～   (2024/12/4 23:07:03)

シャーロット・レイス ◆> 私は、流れに任してしまうときはありますね。   (2024/12/4 23:07:47)

エロガキ♂18h> なるほど…   (2024/12/4 23:08:13)

シャーロット・レイス ◆> 寝落ちだけは気を付けてはいますけど   (2024/12/4 23:08:50)

エロガキ♂14C ◆> 寝落ちは、ね……。寝落ち前提にしてるようなのならともかく、そうじゃないとやっぱりガッカリしちゃうもんね。   (2024/12/4 23:09:28)

エロガキ♂19b ◆> それを気を付けれるだけ偉いと思うよ～(目そらし)   (2024/12/4 23:09:33)

シャーロット・レイス ◆> 添い寝のときは落ちるまでが前提ではありますけど   (2024/12/4 23:11:37)

エロガキ♂14C ◆> そーそー、添い寝なら寝ることが前提だもん！……まあ、ホントに添い寝だけの時なら、ねー……（遠い目）   (2024/12/4 23:12:46)

シャーロット・レイス ◆> まあ、添い寝と言われて落ちてしまってから一度だけ、個室で犯されてたときはありましたけど。   (2024/12/4 23:14:31)

エロガキ♂19b ◆> そのままハメることもあると(メモメモ)   (2024/12/4 23:14:37)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (2024/12/4 23:14:43)

エロガキ♂18h> こんばんは～はじめまして   (2024/12/4 23:14:59)

エロガキ♂14C ◆> あ、咲夜おねーさんだー。こんばんはー。   (2024/12/4 23:15:00)

エロガキ♂19b ◆> 咲夜ちゃんやっほー！   (2024/12/4 23:15:06)

シャーロット・レイス ◆> 咲夜さんお久しぶりです。   (2024/12/4 23:15:16)

エロガキ♂18h> いろいろ勉強になるなー   (2024/12/4 23:15:16)

十六夜咲夜 ◆> こんばんは。お久しぶりかしらね？   (2024/12/4 23:15:23)

エロガキ♂14C ◆> 僕は寝てるおねーさん相手に勝手にえっちはしませーん！……おねーさん側がして欲しそうにするならするけどね？   (2024/12/4 23:15:53)

エロガキ♂14C ◆> あ、でもイタズラはしちゃうかな。てへへ。   (2024/12/4 23:16:22)

