/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月13日 10時19分 ～ 2024年11月13日 22時03分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ソフィナ・ブリビア> 悪いことしそうだから＞１５   (2024/11/13 10:19:00)
星 ◆> 考えても見てよ19b、私がアイドルなんてやったら調和セレモニーなんて比じゃないほど銀河の人気者になっちゃうよ？（私は数いるアイドルの夢を奪いたくない……、）   (2024/11/13 11:50:09)

ヒシミラクル> プールトレーニングは、ご、ご勘弁いただけると〜〜…せめて温泉でまったりするトレーニングとかにしませんかー…？   (2024/11/13 11:50:20)

星 ◆> それってトレーニングになるの……？（ならない、）   (2024/11/13 11:51:12)

人造人間21号> と、すみません。私も一旦食事ですね。（あー、お菓子食べたい   (2024/11/13 11:51:34)

エロガキ♂15R ◆> 温泉でトレーニング…なるほど…？   (2024/11/13 11:51:35)

エロガキ♂19b ◆> そっかぁ～。まぁそうだね...うん。   (2024/11/13 11:51:38)

星 ◆> いってらっしゃい、21号。   (2024/11/13 11:51:53)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (2024/11/13 11:51:58)

人造人間21号> またお会いしましょう。   (2024/11/13 11:52:03)

おしらせ> 人造人間21号さんが退室しました。  (2024/11/13 11:52:09)

ヒシミラクル> えらい人はいいました。きちんと休養をとることもトレーニングの一環であると！！   (2024/11/13 11:52:11)

エロガキ♂15R ◆> いってらっしゃいませ〜っ   (2024/11/13 11:52:12)

星 ◆> 今日のお昼何にしようかな……、   (2024/11/13 11:52:17)

ヒシミラクル> いってらっしゃいませぇ〜   (2024/11/13 11:52:27)

星 ◆> 確かに……。じゃあ契約先の社長さんと七泊八日の温泉旅行に行って来ていいよ！（良からぬ導入、）   (2024/11/13 11:53:13)

エロガキ♂19b ◆> お昼は寝坊したけどしっかり作っておいた弁当がある～   (2024/11/13 11:53:13)

エロガキ♂15R ◆> お昼…悩ましい…っ   (2024/11/13 11:53:22)

ヒシミラクル> 最近食欲ないし、家系ラーメン大盛りのりチャーシューほうれん草ましまし3杯くらいに抑えておこうかな…   (2024/11/13 11:53:38)

エロガキ♂15R ◆> ライス付けないんですかっ！？   (2024/11/13 11:54:03)

星 ◆> （スケジュール表にプールトレーニングを書き込んでおこうね、）   (2024/11/13 11:54:06)

ヒシミラクル> どこの社長さん！？私、愛人枠にされちゃうの！？   (2024/11/13 11:54:21)

ヒシミラクル> (墓穴掘ったかお)   (2024/11/13 11:54:54)

星 ◆> でもミラクルには鉄壁のガイドラインシールドが付いてるから……！   (2024/11/13 11:55:19)

ヒシミラクル> お昼の話すると急にお腹すくの加速するから不思議だね…不思議そう   (2024/11/13 11:55:20)

星 ◆> 不思議ばな、（語尾、）   (2024/11/13 11:55:37)

ヒシミラクル> 大人の事情とかいう最強の盾ね   (2024/11/13 11:55:50)

エロガキ♂19b ◆> 誰にも突破できない！   (2024/11/13 11:55:55)

星 ◆> あろうことかバナ語尾が本編であるとは思うまい、崩壊：スターレイルというゲーム。   (2024/11/13 11:56:14)

ヒシミラクル> ソーラービームって出るの遅いよね。私の末脚くらい出るの遅いよ   (2024/11/13 11:56:39)

エロガキ♂15R ◆> お歌までセット…   (2024/11/13 11:56:48)

ヒシミラクル> (そうなんだ   (2024/11/13 11:56:53)

エロガキ♂19b ◆> バナ！！バナナ！バナ！！   (2024/11/13 11:56:54)

ヒシミラクル> 知らなかった…)   (2024/11/13 11:56:58)

ヒシミラクル> 粉バナナバナ！！みたいにうろたえるのかな   (2024/11/13 11:57:13)

星 ◆> バナナナナナ、バナナ、バナナナナナナナナ～   (2024/11/13 11:57:22)

星 ◆> みたいに。   (2024/11/13 11:57:26)

星 ◆> これ語尾どころじゃない部分だな……、   (2024/11/13 11:57:48)

エロガキ♂15R ◆> (癖になる美声)   (2024/11/13 11:57:53)

ヒシミラクル> 私には脳の処理が追いつかなそう。翻訳こんにゃくが必要かもしれない   (2024/11/13 11:57:59)

エロガキ♂19b ◆> やりすぎるとほんとにバナナに侵食されるからやめましょうね～(ペシッ)   (2024/11/13 11:58:24)

星 ◆> 私が刃とか雲璃だったらカウンター出てたよ、＞19b   (2024/11/13 11:58:45)

ヒシミラクル> でもわたし、バナナくわえるの好きだよ〜(食べる、って言え)   (2024/11/13 11:59:06)

星 ◆> ………………ソウダネ、（判断に悩んだ顔、）   (2024/11/13 11:59:30)

ヒシミラクル> ぐああー！？12:00になっちゃうー   (2024/11/13 11:59:37)

エロガキ♂19b ◆> 刃ちゃんは5回までは許してくれるから～雲璃は....必ず！！   (2024/11/13 11:59:56)

エロガキ♂15R ◆> お昼の時間だぁ～っ！   (2024/11/13 11:59:57)

星 ◆> さてと……じゃあ私もお昼食べて来るね。（何かパスタ系にしよう、）   (2024/11/13 12:00:14)

エロガキ♂15R ◆> (くっ！3秒早かったっ！)   (2024/11/13 12:00:31)

ヒシミラクル> お前一般通過を謳っておいて、停滞前線みたいにいつまで留まってんねんみたいな視線向けられるの怖いので、わたしそろそろお昼食べてきますね   (2024/11/13 12:00:33)

エロガキ♂19b ◆> 俺はあと40分は食べれない～   (2024/11/13 12:00:39)

ヒシミラクル> いってきまーす、お邪魔しましたー   (2024/11/13 12:00:48)

星 ◆> ミラクルはそういうの気にせず、いつでも来てね。   (2024/11/13 12:00:49)

ヒシミラクル> 星さん、ありがとうー   (2024/11/13 12:01:01)

星 ◆> じゃ、お疲れ様。（手ひら、）   (2024/11/13 12:01:03)

おしらせ> ヒシミラクルさんが退室しました。  (2024/11/13 12:01:05)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/13 12:01:07)

エロガキ♂19b ◆> 皆おつかれー！！   (2024/11/13 12:01:16)

エロガキ♂15R ◆> お二人共お疲れ様でしたっ！   (2024/11/13 12:01:20)

エロガキ♂15R ◆> (チャーハン作るよっ！カチャカチャ)   (2024/11/13 12:01:50)

エロガキ♂19b ◆> (3分で作ろうね！)   (2024/11/13 12:02:06)

エロガキ♂15R ◆> (チンッ♪)   (2024/11/13 12:02:41)

エロガキ♂19b ◆> (レンチンかよぉ！！)   (2024/11/13 12:02:57)

エロガキ♂15R ◆> (ロー◯ンの一人前チャーハン便利…そんなに高く無いし…)   (2024/11/13 12:04:03)

エロガキ♂19b ◆> (スーパーに売ってる大容量レンチンチャーハンが好き)   (2024/11/13 12:04:49)

エロガキ♂15R ◆> (ぼくも好きっ！でも一度に食べられないから保存に困っちゃうっ！)   (2024/11/13 12:05:38)

エロガキ♂19b ◆> (一回で食べちゃいます！)   (2024/11/13 12:06:02)

おしらせ> ラブ・キュートさんが入室しました♪  (2024/11/13 12:06:37)

エロガキ♂15R ◆> (良く食べられますねぇ…大食いだぁ！)   (2024/11/13 12:06:40)

エロガキ♂15R ◆> こんにちはっ！   (2024/11/13 12:06:49)

ラブ・キュート> しゃた、こんにちは、お邪魔します   (2024/11/13 12:06:51)

エロガキ♂19b ◆> こんにちは～！   (2024/11/13 12:07:15)

ラブ・キュート> ねぇー、私のこと好き？   (2024/11/13 12:07:32)

エロガキ♂19b ◆> 女の子は皆好き～   (2024/11/13 12:08:19)

エロガキ♂15R ◆> ぼくも〜   (2024/11/13 12:08:33)

ラブ・キュート> うれしいー、   (2024/11/13 12:09:08)

エロガキ♂19b ◆> そして可愛い子はハメるのが俺の流儀～(適当)   (2024/11/13 12:10:33)

エロガキ♂15R ◆> 発言力っ…！   (2024/11/13 12:12:00)

ラブ・キュート> 変態さんなのー   (2024/11/13 12:12:03)

エロガキ♂15R ◆> 誰でも食べちゃうんですけどねっ！ぼくもっ！   (2024/11/13 12:14:18)

エロガキ♂15R ◆> (完食っ！お片付けっ)   (2024/11/13 12:15:05)

エロガキ♂19b ◆> まーじで早く飯食いたい～   (2024/11/13 12:16:52)

ラブ・キュート> すごいなのー   (2024/11/13 12:17:07)

エロガキ♂15R ◆> ズバリっ！お昼ご飯は〜っ？   (2024/11/13 12:17:59)

ラブ・キュート> そろそろ出るなのー   (2024/11/13 12:18:18)

ラブ・キュート> ありがとうなのー   (2024/11/13 12:18:23)

おしらせ> ラブ・キュートさんが退室しました。  (2024/11/13 12:18:26)

エロガキ♂19b ◆> 私はお弁当～   (2024/11/13 12:18:26)

エロガキ♂19b ◆> お疲れさま～！！   (2024/11/13 12:18:30)

エロガキ♂15R ◆> お疲れ様でしたっ！   (2024/11/13 12:18:39)

エロガキ♂15R ◆> なるほど…？完成待ちですか〜   (2024/11/13 12:19:06)

おしらせ> 蛍 ◆0n4DA.KYIlkEさんが入室しました♪  (2024/11/13 12:19:11)

エロガキ♂15R ◆> こんにちはっ！   (2024/11/13 12:19:23)

蛍 ◆> こんにちは、元気な子だね。   (2024/11/13 12:19:32)

エロガキ♂19b ◆> 蛍ちゃんだー！やっほ～   (2024/11/13 12:19:48)

エロガキ♂15R ◆> 元気いっぱい、ですっ！始めましての方がいっぱい押し寄せてきますっ！   (2024/11/13 12:20:50)

蛍 ◆> 私は買い出しとか、ちょっと依頼をこなしにすぐ出ちゃうけど…。はじめまして、私はテイワットにその名を轟かせる旅人。とってもスゴイ冒険者だよっ！   (2024/11/13 12:23:36)

エロガキ♂19b ◆> この、足の股らへんをすこし露出させてるエッチなお姉さんだよ(15Rの耳元でひそひそ)   (2024/11/13 12:24:46)

エロガキ♂15R ◆> 冒険者っ！…か、カッコいい…っ！   (2024/11/13 12:24:56)

蛍 ◆> そこ、何をこそこそ話してるの？(じっ)   (2024/11/13 12:25:53)

エロガキ♂19b ◆> 蛍ちゃんの装備がエチエチだよね！って話をしてたんだよー   (2024/11/13 12:26:33)

エロガキ♂15R ◆> …そ、そうなんですねっ…(ごくりっ)   (2024/11/13 12:26:40)

蛍 ◆> 岩元素で埋められても文句は無いかな…？   (2024/11/13 12:27:15)

エロガキ♂15R ◆> えっ…！？言っちゃうのっ！？   (2024/11/13 12:27:37)

エロガキ♂19b ◆> 言っちゃいます！！、、えーっと...もしかして今岩元素で？   (2024/11/13 12:28:40)

蛍 ◆> 私はいつだって元素力を変えられるから。岩元素で生き埋めにしてから水責めとか…？   (2024/11/13 12:29:27)

エロガキ♂15R ◆> …そ、そんなにぼくは邪な目で見て…見てませんよっ！(言われると意識しちゃうっ！足チラッ、顔チラッ)   (2024/11/13 12:29:44)

蛍 ◆> 相棒がお腹空かせて騒ぎ始めてるから、そろそろいくね。(ちら見してるのバレバレだよって、人差し指と人差し指交差させて「めっ」)   (2024/11/13 12:30:31)

エロガキ♂19b ◆> 怖い！！避難する準備はしとこっ！   (2024/11/13 12:30:32)

おしらせ> 蛍 ◆0n4DA.KYIlkEさんが退室しました。  (2024/11/13 12:30:35)

エロガキ♂19b ◆> バイバーイ！！   (2024/11/13 12:30:46)

エロガキ♂15R ◆> お疲れ様でしたっ！…ば、バレてたっ   (2024/11/13 12:31:02)

エロガキ♂19b ◆> あとすこしで...ご飯を食べれる！、   (2024/11/13 12:32:19)

エロガキ♂15R ◆> もう少しの辛抱だっ…！   (2024/11/13 12:32:43)

エロガキ♂15R ◆> ぼくはもう少ししたらデザート(意味深)食べに行こうかなっ！   (2024/11/13 12:33:54)

エロガキ♂19b ◆> 女の子を食べに行くんですね、わかります   (2024/11/13 12:34:14)

エロガキ♂15R ◆> (歯磨き歯磨きっ)   (2024/11/13 12:34:25)

エロガキ♂15R ◆> (親指)   (2024/11/13 12:35:14)

エロガキ♂19b ◆> 15R君にいい出会いがあることをお祈りしておこうー   (2024/11/13 12:36:22)

エロガキ♂15R ◆> ありがとうございますっ！どんなスイーツに出会えるかっ！   (2024/11/13 12:37:43)

エロガキ♂19b ◆> よし、できた～食べてくるねー！！   (2024/11/13 12:39:01)

エロガキ♂15R ◆> 出来ましたかっ…！ごゆっくりっ！   (2024/11/13 12:39:30)

エロガキ♂15R ◆> ぼくは行って来ますっ！   (2024/11/13 12:40:07)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/13 12:40:09)

エロガキ♂19b ◆> 抜けれてなかった！！まぁいいや   (2024/11/13 12:52:42)

エロガキ♂19b ◆> いったんかーえろ！   (2024/11/13 12:53:12)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/13 12:53:14)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/13 13:43:07)

エロガキ♂15R ◆> く゛や゛し゛い゛っ゛   (2024/11/13 13:43:58)

エロガキ♂15R ◆> (濁点手動めんどくさいっ)   (2024/11/13 13:44:36)

エロガキ♂15R ◆> 気合…気合が足りなかったっ…！   (2024/11/13 13:46:07)

エロガキ♂15R ◆> そして始めてのしっかりした罰を与えられるぼくであった…   (2024/11/13 13:47:40)

エロガキ♂15R ◆> すこーし休憩してリベンジしてみましょうっ！   (2024/11/13 13:51:43)

エロガキ♂15R ◆> (おやつぱかー)   (2024/11/13 13:54:20)

エロガキ♂15R ◆> (森永さんのチョコチップクッキー美味しいっ！)   (2024/11/13 13:56:51)

エロガキ♂15R ◆> 休憩終わりっ…！第二陣っ、発進っ！   (2024/11/13 13:59:43)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/13 13:59:45)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/13 14:26:14)

星 ◆> （間違えた、）   (2024/11/13 14:26:55)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/13 14:27:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/13 15:59:33)

エロガキ♂19b ◆> 撤退したけど暇なのも確か～...お話し相手募集してみるか～   (2024/11/13 16:00:00)

エロガキ♂19b ◆> まぁいいや、、とりあいずだれが来ても言いように準備だけはしっかりと～(こそこそ)   (2024/11/13 16:04:52)

エロガキ♂19b ◆> 誰も～いないー！！( ;´･ω･`)   (2024/11/13 16:13:10)

エロガキ♂19b ◆> よし...新大陸へ行こう....突撃ぃ！！   (2024/11/13 16:19:26)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/13 16:19:27)

おしらせ> フリーナさんが入室しました♪  (2024/11/13 18:09:48)

フリーナ> 僕の登場だよ！！   (2024/11/13 18:10:07)

フリーナ> って...僕を迎えてくれるひとは誰もいないのかい？   (2024/11/13 18:14:37)

フリーナ> このままだと眠ってしまいそうだよ...zzz   (2024/11/13 18:26:34)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/11/13 18:27:34)

エロガキ♂11T> こんばんは   (2024/11/13 18:27:45)

エロガキ♂11T> フリーナお姉さんとは、はじめましてですね～   (2024/11/13 18:28:20)

エロガキ♂11T> (寝ちゃったかな…フリーナお姉さんにお布団を…)   (2024/11/13 18:28:54)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/11/13 18:32:21)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/13 18:41:41)

エロガキ♂15R ◆> こんばんはっ！   (2024/11/13 18:41:52)

エロガキ♂15R ◆> (某ソシャゲ撤退でフリーになったぼく)   (2024/11/13 18:42:28)

エロガキ♂15R ◆> 始めましてっ！…っとお休みみたいですねっ   (2024/11/13 18:43:50)

エロガキ♂15R ◆> (見送ったら出るとしましょうっ)   (2024/11/13 18:48:35)

おしらせ> 無言時間が25分を超えたため、フリーナさんが自動退室しました。  (2024/11/13 18:51:36)

エロガキ♂15R ◆> おやすみなさ〜いっ！   (2024/11/13 18:51:55)

エロガキ♂15R ◆> 撤退っ！(一人おいておく訳にはいきませんからね…)   (2024/11/13 18:53:13)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/13 18:53:15)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/13 19:40:21)

エロガキ♂15R ◆> (がちゃっ)   (2024/11/13 19:40:36)

エロガキ♂15R ◆> 暇潰しにアーケードゲームの配信を見ていますが…見ているとやりたくなってきちゃいます   (2024/11/13 19:43:21)

エロガキ♂15R ◆> やはり平日っ！静かっ   (2024/11/13 19:51:45)

エロガキ♂15R ◆> 日課が終わって暇なのであるっ   (2024/11/13 19:53:46)

エロガキ♂15R ◆> だ、誰も現れないっ！   (2024/11/13 19:57:42)

エロガキ♂15R ◆> おや、勝負部屋に人がっ…   (2024/11/13 20:03:07)

エロガキ♂15R ◆> 居なくなったっ！   (2024/11/13 20:10:51)

エロガキ♂15R ◆> よしっ！撤収っ撤収ーっ！   (2024/11/13 20:11:25)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが退室しました。  (2024/11/13 20:11:27)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/13 20:32:56)

星 ◆> 用事を済ませようかと思ったけど、気が乗らないから切り上げちゃった。（もう夜だしいいよね、ってぐーっと伸びしつつ入室。）   (2024/11/13 20:33:34)

星 ◆> ……そういえばエキドナ、アベンチュリン引けたかな。   (2024/11/13 20:33:51)

星 ◆> （ふる、）夜はちょっと冷えるね……。今日は姫子かなのかのベッドに潜ろう、   (2024/11/13 20:38:00)

星 ◆> （用事を放り投げた結果、暇を持て余す開拓者。）   (2024/11/13 20:45:13)

星 ◆> ゲームは……ちょっと今はタイミング悪いかな、   (2024/11/13 20:45:33)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/11/13 20:49:34)

星 ◆> あ、いた。   (2024/11/13 20:50:08)

エキドナ ◆> こんばんは、、呼ばれた気がしたから来たのだけど、お呼ばれしていたのは間違いなさそうだね、   (2024/11/13 20:51:08)

星 ◆> なんだか久しぶりだねエキドナ、おいで！（バッと両腕広げた、）   (2024/11/13 20:51:40)

エキドナ ◆> そうだね、少し事情が重なっていて離れていたからかなり間を空けてしまったかな、、(彼女の腕に収まって、緩く腕巻いて、背中撫でて)キミの方が甘えたがりな印象だったのだけど、、少し変わったかな、？   (2024/11/13 20:54:38)

エキドナ ◆> そう、先に言っておこうかな、、無事アベンチュリンと黄泉の2人は確保させてもらったよ、。ただ重ねるのは足りなかったけどね、？   (2024/11/13 20:55:03)

星 ◆> うん？私はどっちもするタイプ。（そっかそっか、引けてよかった、ってぎゅーって抱きしめてから綺麗な髪ごと頭を抱えるように撫でてあげよう、）   (2024/11/13 20:55:38)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/13 20:56:38)

エロガキ♂19b ◆> こんばん....おっと～、これはこれは...俺にはお構い無く存分にいちゃついてくださいな～   (2024/11/13 20:57:33)

星 ◆> ちちち、甘いね。これはいちゃついてるんじゃなく、愛でてる！（迫真顔、）   (2024/11/13 20:58:01)

エロガキ♂19b ◆> くっ...違ったかぁ～   (2024/11/13 20:58:33)

星 ◆> 寒いから誰かを抱きしめてないと凍えちゃうよね、   (2024/11/13 21:01:34)

エキドナ
◆> そうなのかい、？覚えておくよ、、(彼女の方が背が高いお陰で簡単に頭から抱かれて、別の人の気配感じても大人しく撫でられてて)なんと言うか、、普段こう、、なる事の無いからかな、、かなり落ち着くと言うか、あまり慣れないが、決して嫌なものでは無いね、、(耳から彼女に当てて鼓動聞くみたいに少しだけ密着してみて)
  (2024/11/13 21:01:55)

エキドナ ◆> こんばんは、キミにも少し聞きたい事があったけど、また今度にしておくよ、、＞19bさん   (2024/11/13 21:02:34)

エロガキ♂19b ◆> う....と、尊い！！(グハァッ)...俺はいつでもいるかし時間は誰よりもある自信があるからいつでも聞いてくれたまえ！   (2024/11/13 21:03:32)

星
◆> ふふん、でしょ？私の腕の中の寝心地は銀河一だともっぱらの噂だよ。（今からそんな噂を自分で流して行こうと思う。忙しかったのかな？それとも精神的に何かあって離れてた？どっちにしろ、久しぶりに会えて嬉しいよ、って抱きしめたまま背中とんとん。とく、とく……って静かな鼓動聞かせて、）
  (2024/11/13 21:04:39)

星 ◆> 尊いんだ……？   (2024/11/13 21:05:04)

エキドナ ◆> キミが居る時間も大体は理解しているつもりだからまた今度にでも聞かせてもらうよ、＞19bさん   (2024/11/13 21:05:21)

エロガキ♂19b ◆> 尊いね...うん、めっちゃいい光景～、、ずっと眺めてれる気がするよ   (2024/11/13 21:06:46)

エロガキ♂19b ◆> 何を聞かれるか一抹の不安と期待を込めながら待ってるねー！＞エキドナちゃん   (2024/11/13 21:07:35)

星 ◆> （まあ美少女同士絡んでるのは尊いか……と納得した、）   (2024/11/13 21:08:38)

エキドナ ◆> 銀河と言うものは興味があるが、、今はいいかな、。(色々だよ、、なんて唇の前で人差し指立てて見せて、。ゆっくり彼女の腕の中で思考止めて少しだけ寄りかかって)キミにも世話になりっぱなしだね、(苦笑い少ししてから目線上げて少しだけ見上げて)＞星さん
  (2024/11/13 21:11:58)

エキドナ ◆> 不安になるようなことじゃないさ、。強いて言うなら少し催促だろうか、、？＞19bさん   (2024/11/13 21:13:25)

星 ◆> うん、せっかく久しぶりに来たんだしあれこれ考えないで甘えていいよ。（秘密にしたいなら深くは聞かないでおいて。見上げてくるエキドナに視線を返しながら、『お節介は開拓者とヒーローの特権だからね、』って笑っておこう、）   (2024/11/13
21:13:42)

エロガキ♂19b ◆> さ、催促だと？リゼロをみろ！！ってやつ？1期はみたけど聖域編とプリステラ編はまだなんです！   (2024/11/13 21:14:43)

エキドナ
◆> もう少しすれば1度離れるからそれまでは、、少しゆっくりさせてもらおうかな、、(彼女の主張聞いて少しだけ笑ってから大人しく彼女の鼓動聞いて頭預けてて)キミにも聞きたいことはあるのだけど、抜け落ちてしまったから思い出した時にでも聞くとするよ、、＞星さん  
(2024/11/13 21:17:52)

エキドナ ◆> それは見るも見ないもキミの自由だよ、。今である必要も無いからね、またゆっくりできそうな時にでも聞くとするよ、、本当に嫌な話では無いと思うから構えないでくれると助かるよ、＞19bさん   (2024/11/13 21:19:27)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/13 21:20:21)

エキドナ ◆> おや、こんばんは、。   (2024/11/13 21:20:36)

エロガキ♂19b ◆> んま、そろそろみるんですけどね～。リゼロは好きですしおすし、まとまった時間ができたら一気見しますよ～。身構えずにのんびり待ってるねー！   (2024/11/13 21:20:48)

エロガキ♂14C ◆> こんばんは、っと。一勝負終えて見てみたら久々な顔が。   (2024/11/13 21:20:58)

エロガキ♂19b ◆> こんばんは～   (2024/11/13 21:21:14)

エキドナ ◆> (久々と言われるほど離れていたつもりは無いのだけど)   (2024/11/13 21:22:01)

エキドナ ◆> (誤爆失礼したね、、)   (2024/11/13 21:22:16)

星
◆> いいよ、のんびりしていって。（今はエキドナ専用の開拓者ハグ。やっぱりエキドナは笑ってる方が可愛いよ、なんて耳打ちして。）私に聞きたいことか……、幸い今はマネージャーを通さなくても大丈夫な期間だからね、思い出したらいつでもどうぞ。マネージャーいたことないけど、
  (2024/11/13 21:23:15)

エキドナ ◆> (久々と言われるほど離れていたつもりは無いのだけど、、ボクの事かな、？なんて目で問いかけてみて)＞14cさん   (2024/11/13 21:23:29)

星 ◆> 14Cはお疲れさま、いい勝負してたね。   (2024/11/13 21:23:35)

エロガキ♂14C ◆> 今日の僕はいつもと生活リズムが少しズレてるから省エネモードですよ、と。……なんかあっかそーにしてるね、女性陣。   (2024/11/13 21:23:54)

エロガキ♂14C ◆> （こくこく、あくまで僕の感覚で久しぶり、と感じただけで世間一般レベルとはズレてると思う。）>エキドナおねーさん   (2024/11/13 21:24:47)

星 ◆> （いいでしょ、って視線送ったけど私もエキドナも“““巨”””ってほどじゃないから14Cのお眼鏡にはかなわないかもしれない、）   (2024/11/13 21:25:11)

星 ◆> （銀河一の美少女なんだが……？）   (2024/11/13 21:25:37)

エロガキ♂14C ◆> いつだったかの連敗続きの暗黒時代と比べたらやっとスランプ脱した感じかなー。（それはそうと巨じゃなくても貧じゃないよね、間違いなく。だから不躾な視線は向けておくね。）   (2024/11/13 21:26:29)

星 ◆> 今度また10連敗くらいしてたら慰めるために姫子呼んであげるね……、   (2024/11/13 21:26:58)

星 ◆> （デッカいから、）   (2024/11/13 21:27:14)

エロガキ♂19b ◆> そこまで負けることなんてあるんかな？...負けてる人いたなそういえば   (2024/11/13 21:27:46)

エロガキ♂14C ◆> 今度と言わずすぐ呼んでくれていいよ！！！（ボソッ、まあ気が向けばでいいんだけどね。）   (2024/11/13 21:27:52)

エロガキ♂14C ◆> 15連敗に勝てる気はしない。……連敗数に勝ち負けってなんか変な感じ   (2024/11/13 21:28:28)

エキドナ
◆> ン、っ、、のんびりはさせてもらうとしても、、擽ったいから、、あまり、、(耳に温かい吐息感じて、少しだけ肩が跳ねて耳朶庇って手で包んでからじっと見上げて、)また思い出したら聞かせてもらうさ、、キミもこの時期は体調を崩しやすいからあまり身体は冷やさない方がいいよ、＞星さん
  (2024/11/13 21:28:43)

星 ◆> ゴールデン・ラズベリー賞みたいなものかな……、＞連敗数の勝ち   (2024/11/13 21:29:10)

エキドナ ◆> (ボクで合ってるなら大丈夫だよ、)久しぶりだね、キミは甘えたがりな気質は変わってないみたいで何よりだよ、(くす、)＞14cさん   (2024/11/13 21:30:10)

エロガキ♂14C ◆> （最低を競い合うって……最低は最低なりのプライドがある……？）   (2024/11/13 21:30:47)

星 ◆> あれ、エキドナ耳弱かったりする？（なんて言えば口を離す……直前に、ふぅ、と吐息を吹き掛ける悪戯、手でガードされちゃった。）大丈夫、子供は風の子！犬は喜び庭駆け回るってね！エキドナも、この時期の鉄柵は舐めない方がいいよ、   (2024/11/13
21:31:09)

エロガキ♂14C ◆> 僕はブレな……いや、若干ブレてる時もあるけど。甘えん坊な事に違いはないよっ。おっぱい大好きなのも！（ふんすっ）>エキドナおねーさん   (2024/11/13 21:31:44)

星 ◆> ま、14Cは負けが込んだ先にも良いことがあるかもって楽しみにできるでしょ？（姫子の話。まあ勝つに越したことはないだろうけどね、）   (2024/11/13 21:32:51)

エロガキ♂14C ◆> （──閃いた。19bにーさんが今度やらかしたらボトムズ（最低野郎）の称号をあげよう。）   (2024/11/13 21:33:13)

星 ◆> （14Cは相変わらず19bに甘えてるなぁ、とにこやかに見ておいた。）   (2024/11/13 21:34:02)

エロガキ♂19b ◆> 元々だが？(憤慨)   (2024/11/13 21:34:03)

エキドナ ◆> 擽ったいだろう、、？分かると思っていたのだけど、、(手で庇ったままで、キミは違うのかい、、？って聞くみたいに見上げてて)柵は元から舐める物じゃないだろう、、いっその事舐める事を想定した柵でも作ってみるかい、？＞星さん   (2024/11/13
21:34:23)

エロガキ♂14C
◆> 星おねーさんがロシアンドリンクに姫子おねーさんのコーヒーをすかさず入れてくるせいで、お手柔らかな罰ゲームに見せかけてたっぷりコーヒー（当社比）を出されるのを想像しちゃうんだけど。（罰ゲームでイイコト？最近酷い目にあっあから微塵も期待してないよ）>星おねーさん
  (2024/11/13 21:35:01)

エロガキ♂14C ◆> 憤慨するところそこじゃないよね……？   (2024/11/13 21:35:27)

エキドナ ◆> そうだね、、キミは好きな人間だったね、、また不貞腐れそうな時は甘えても構わないよ、？(くす、)＞14cさん   (2024/11/13 21:35:39)

