/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月18日 01時35分 ～ 2024年10月18日 07時33分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、私のお仕事は済ませたよ〜(レスポンス鈍い…。)   (2024/10/18 01:35:32)
栞葉るり> い、いらんいらん！！飲むなら直で飲まないと臭うので…！！(今日の豆知識)   (2024/10/18 05:15:33)

胡桃 ◆> (そして私は、しれっとゆんゆんさんのお膝をゲットしに行くよ。)   (2024/10/18 05:15:44)

エロガキ♂14C ◆> （あ、ずるい）   (2024/10/18 05:15:51)

胡桃 ◆> あの！私が勧めたけどそれ言うのやめよう！(恥ずかしい。)   (2024/10/18 05:16:05)

胡桃 ◆> だって眠くて…寝起きだし。   (2024/10/18 05:16:23)

エロガキ♂16r> へぇ、新しい知識が増えた   (2024/10/18 05:16:28)

栞葉るり> …直はダメなんですか？へぇ…♡   (2024/10/18 05:16:42)

胡桃 ◆> ここではダメだよね！(？)   (2024/10/18 05:17:03)

エロガキ♂14C ◆> （その言い回しはフラグでは）   (2024/10/18 05:17:21)

栞葉るり> 裏ではいいみたいですよ！！(宣伝)   (2024/10/18 05:17:34)

胡桃 ◆> でも実際表でする人は居なくない？   (2024/10/18 05:17:39)

エロガキ♂16r> (18行為…なのか？)   (2024/10/18 05:17:40)

胡桃 ◆> (先にフラグ立ててる！？)   (2024/10/18 05:17:48)

胡桃 ◆> 思いっきりアウトライン！   (2024/10/18 05:18:18)

エロガキ♂16r> それはそう   (2024/10/18 05:18:21)

エロガキ♂14C ◆> ゆんゆんおねーさんが先におねんねした説ある？（つんつん）   (2024/10/18 05:18:30)

栞葉るり> まあ、ヒトを選びますからね、当然ながら……。   (2024/10/18 05:18:58)

胡桃 ◆> かもねー。それか朝から変な性癖晒してる子に引いちゃったとか？   (2024/10/18 05:19:02)

ゆんゆん> お…起きてる起きてるっ！ちゃんと聞いてるよ！   (2024/10/18 05:19:13)

胡桃 ◆> (聞いてたんだ〜…)   (2024/10/18 05:19:24)

栞葉るり> わたくしを変な性癖みたいに言うのはやめろぉ！？   (2024/10/18 05:19:36)

エロガキ♂14C ◆> え、違うんですか？   (2024/10/18 05:19:46)

エロガキ♂16r> え、さすがに飲尿は…   (2024/10/18 05:20:06)

胡桃 ◆> ふふ、あまり意地悪しても可哀想だからゆんゆんちゃんは虐めないであげるね   (2024/10/18 05:20:11)

エロガキ♂14C ◆> いじめるならゲーム部屋でいじめなくちゃ（？）   (2024/10/18 05:20:37)

エロガキ♂16r> (美人なお姉さんが追い詰められてる？の興奮する)   (2024/10/18 05:20:52)

胡桃 ◆> 朝から元気だね〜…   (2024/10/18 05:21:07)

エロガキ♂16r> 起きさえすればそこまで変わらんかねぇ   (2024/10/18 05:21:55)

栞葉るり> おっと…来ましたね、やっこさんが(？)   (2024/10/18 05:21:55)

栞葉るり> ではわたくしはお仕事に！   (2024/10/18 05:22:12)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/18 05:22:15)

エロガキ♂16r> いてらさーい   (2024/10/18 05:22:25)

エロガキ♂14C ◆> いってらっしゃーい（てふりふり）   (2024/10/18 05:22:26)

胡桃 ◆> るりさん行ってらっしゃい、また話そうね〜！   (2024/10/18 05:22:30)

胡桃 ◆> さてと…私はどうしようかなー。ゆんゆんさんが男の子二人でも平気なら落ちちゃうけど。(眠めの眼、髪の毛ちょっと乱れてたり。)   (2024/10/18 05:23:59)

ゆんゆん> お…お疲れ様っ   (2024/10/18 05:24:00)

エロガキ♂14C ◆> めっちゃ眠そうというか寝るべきでは？   (2024/10/18 05:24:25)

ゆんゆん> そ…それなら、わたしももう一度寝ようかな…？   (2024/10/18 05:24:30)

胡桃 ◆> 私が来たことで台風みたいになっちゃったかな〜…？ごめんねー、騒がしくて(悪気はないの。)   (2024/10/18 05:25:28)

エロガキ♂14C ◆> 起きたら人おるなーくらいのノリで来たから、寝るならお布団くらいは敷くよ？（ここで寝かせるな）   (2024/10/18 05:26:16)

ゆんゆん> う、ううん…全然、大丈夫っ！お話してくれてありがとう…！   (2024/10/18 05:26:41)

胡桃 ◆> (私は個室の方で寝落ちしたけどね…)   (2024/10/18 05:26:52)

エロガキ♂14C ◆> （ちゃんとお布団で寝ようね？？？（圧））   (2024/10/18 05:27:16)

胡桃 ◆> ほんと？じゃあじゃあ、また今度お話しよっか〜(にへへ、)   (2024/10/18 05:27:26)

エロガキ♂14C ◆> ゆんゆんおねーさんともまた遊べると嬉しいなー。って訳で僕も諸々やりに一旦落ちよーっと。じゃあねー。   (2024/10/18 05:27:52)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/18 05:27:59)

ゆんゆん> お…お疲れ様…っ！   (2024/10/18 05:28:17)

胡桃 ◆> 14C君お疲れ様〜！適度に休むんだよ？   (2024/10/18 05:28:20)

ゆんゆん> じゃあ…わ…わたしも一度落ちるね。また後でくるから…！   (2024/10/18 05:29:12)

おしらせ> ゆんゆんさんが退室しました。  (2024/10/18 05:29:15)

胡桃 ◆> はーい！ゆっくり休んでね！   (2024/10/18 05:29:33)

胡桃 ◆> 私も書置きだけして済ませてこよっと。   (2024/10/18 05:30:16)

胡桃 ◆> 16r君またねー！   (2024/10/18 05:30:26)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/18 05:30:33)

エロガキ♂16r> おや、俺以外いなくなってた   (2024/10/18 05:31:41)

エロガキ♂16r> では俺も   (2024/10/18 05:31:59)

おしらせ> エロガキ♂16rさんが退室しました。  (2024/10/18 05:32:01)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/18 06:07:21)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/18 06:07:26)

星 ◆> おはｙ……ん？（入り口座標で重なったな……。）   (2024/10/18 06:07:52)

エロガキ♂18Z> びっくりした…！？おはようございます〜   (2024/10/18 06:07:53)

星 ◆> おはよう。……ああ、重なりやすそう。（お腹を触った。セクハラです、）   (2024/10/18 06:08:40)

エロガキ♂18Z> 2回もほぼ被りましたね(びっくり顔)   (2024/10/18 06:08:49)

星 ◆> （でも私の方が早いな……と、なんか満足げな顔した。）   (2024/10/18 06:09:21)

エロガキ♂18Z> いやん…。いきなりそんな…(ぼよんと柔らかな弾力)   (2024/10/18 06:09:22)

星 ◆> なんだか……全発言タイミング近いんだけど……。   (2024/10/18 06:10:03)

エロガキ♂18Z> 何故だ…。ちょっと時間を空けて発言しよう…。   (2024/10/18 06:10:49)

星 ◆> ……よし。ルアンの餅の子達みたいでいいね。（ぼよぼよ、たぷたぷ。）   (2024/10/18 06:11:17)

エロガキ♂18Z> (以心伝心してるのかなと思いつつ)あ〜、あの子達ね。あの子達程可愛くはありませんけど、弾力だけは負けてないはず？(ビクピクと震え)   (2024/10/18 06:12:48)

星 ◆> ……でも、あんたをこの時間に見かけるのって初めてな気がする。   (2024/10/18 06:14:05)

エロガキ♂18Z> あー、普段からもうちょい早めに起きてますけど、やる事が済んだので来た次第？   (2024/10/18 06:15:01)

エロガキ♂18Z> (ゲームの素材が尽きてやる事が無くなって暇だった様子)   (2024/10/18 06:16:51)

星 ◆> そうなんだ。……あんたも食べる？うまいスティック。（朝ご飯。味は……。焼肉、蜂蜜、キャンディーフレーバー。）   (2024/10/18 06:17:17)

星 ◆> 1d3 → (3) = 3  (2024/10/18 06:17:19)

星 ◆> （キャンディー……キャンディー味ってなんだろうね。差し出しつつ。まあ、甘いよ。）   (2024/10/18 06:17:39)

エロガキ♂18Z> あわよくば誰かと対戦も出来たら良いな〜なんて思ってもいたり。あ、頂きます〜(朝に摂取する糖分って最高よね。受け取ると口に含んで噛まずに舐めていき)   (2024/10/18 06:19:31)

星 ◆> 朝からえっち？元気だね……。（って、男の人はそういうものだってここ最近で何度も聞いてるな…。って、うまいスティックバリッボリッしながら。）   (2024/10/18 06:20:52)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/18 06:23:49)

エロガキ♂18Z> ゲームで完全に頭が冴えてるから出来るだけだから…。元気なのかな？星さんもバトルしてみたいな〜とは思っていましたけどまさか出会うとは思わなかったかな〜(首を傾げながらボリッと噛み砕いて咀嚼)   (2024/10/18 06:24:00)

エロガキ♂18Z> おはようございます〜   (2024/10/18 06:24:05)

栞葉るり> 朝から…？妙、でもないな？(星さんの顔を見つつ)   (2024/10/18 06:24:16)

栞葉るり> おはようございます〜♪   (2024/10/18 06:24:24)

星 ◆> あ、るりだ。おはよ。（手ひら、）   (2024/10/18 06:24:38)

星 ◆> 私と？うーん……ダイスじゃなくてバットでいい…？（警察の前で事件現場になるけど…。）   (2024/10/18 06:25:07)

エロガキ♂18Z> 愛武器だから不思議じゃないけど、開拓者に殴られたら頭が凹むから…(震え)   (2024/10/18 06:26:20)

栞葉るり> 朝から野球…メジャーリーグですね。今日もドジャース対メッツのリーグチャンピオンシップ第4回戦がありますね。銀河打者級の大谷さんに果たして星さんは勝てるのでしょうか！   (2024/10/18 06:27:13)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/18 06:27:54)

エロガキ♂18Z> メジャーリーグ〜。うちのバァバが大ファンでずっと見ているなぁ…   (2024/10/18 06:28:12)

エロガキ♂18Z> おはようございます〜   (2024/10/18 06:28:17)

星 ◆> 野球……。（選択肢三つくらい出てるな、えーと……。）ルールはよく知らないけど、当然だよ。私は銀河打者だからね！   (2024/10/18 06:28:23)

エロガキ♂18Z> (新鮮なゴミ箱を置いておこう)   (2024/10/18 06:28:53)

星 ◆> おはよう。人が増えてきたね。   (2024/10/18 06:29:05)

エロガキ♂18D ◆> おはよう……ございます……(ガチ寝起き)お邪魔致します…最早星さんとるりさんはこの時間帯がデフォルトになってきましたね…18Zさんは一回話したきりでしょうか…   (2024/10/18 06:29:13)

栞葉るり> わたくしはこう、タイムラインが流れてきたのをチラチラと…(ミーハー犬)   (2024/10/18 06:29:31)

エロガキ♂18D ◆> ちょっと頭、働かせてきますね……すいません   (2024/10/18 06:29:46)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/18 06:29:48)

エロガキ♂18Z> ですね〜。以前に1回話した時以来ですね〜   (2024/10/18 06:29:52)

栞葉るり> おはようございますー。まぁわたくしはこれから帰宅   (2024/10/18 06:29:56)

星 ◆> （何しに来たんだ……。）   (2024/10/18 06:30:03)

栞葉るり> あ、いってしまいました…！   (2024/10/18 06:30:04)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/18 06:30:10)

エロガキ♂18Z> これから帰宅か…。お疲れ様ですぞ…   (2024/10/18 06:30:31)

栞葉るり> (挨拶回りでしょう。ニンジャの基本は挨拶です。ドーモ。星＝サン。なんちゃらスレイヤーです)   (2024/10/18 06:31:11)

星 ◆> ちなみに私は寝てないよ！昨日一緒に寝ようって言ってた子を運んだはずがいつの間にか消えてたから怖くてちびっちゃった！（びびり、）   (2024/10/18 06:31:16)

栞葉るり> おや…先に夢から目覚めたのでしょう(ホテルピノコニー)   (2024/10/18 06:31:36)

エロガキ♂18Z> (ニンジャ死すべしさんだと…！アイエエエ！？(悪ノリ))   (2024/10/18 06:32:18)

星 ◆> 現実にいたはずなのに……！（でもそれならちびったのも夢か。良かった、丹恒に呆れつつも温かい目で見られる私はいなかったんだね！）   (2024/10/18 06:32:41)

エロガキ♂18Z> 星さんはとりあえずパム人形を抱きながらしっかり寝ようね(バリボリ)   (2024/10/18 06:33:15)

栞葉るり> 懐かしいですね、にんじゃすれいやー…   (2024/10/18 06:33:23)

星 ◆> 最近は夢獏がマイブーム……。   (2024/10/18 06:33:28)

エロガキ♂18Z> ニンジャスレイヤーよく見てた…   (2024/10/18 06:33:46)

栞葉るり> いつから、一体いつから現実だと錯覚していた…？(鏡花水月)   (2024/10/18 06:33:50)

星 ◆> ニンジャスレイヤー、よく知らないけど多分今度実装されるよ。（てきとー、）   (2024/10/18 06:34:11)

エロガキ♂18Z> 夢と現実が分からなくなった…   (2024/10/18 06:34:23)

エロガキ♂18Z> スタレにニンジャスレイヤーが来たらまずい(迫真)   (2024/10/18 06:34:41)

星 ◆> 具体的には23日に……。   (2024/10/18 06:35:14)

エロガキ♂18Z> (刃とか黄泉とか辺りと殺し合いになっちゃう)   (2024/10/18 06:35:19)

栞葉るり> あれはスレイヤーされる方では…。(しかもおバカニンジャ)   (2024/10/18 06:35:34)

栞葉るり> でも必殺の演出がまんまヴァロランt…(これ以上は不味い)   (2024/10/18 06:36:05)

星 ◆> でもるり、必殺技名聞いた？『忍道・極・愛死天流』だよ……？   (2024/10/18 06:36:14)

エロガキ♂18Z> (シー)   (2024/10/18 06:36:18)

星 ◆> （カッケェ……を噛み締めてる顔、）   (2024/10/18 06:36:22)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/18 06:36:54)

エロガキ♂18Z> (スタレ神引きしてるとか言わないでおこう。うん)   (2024/10/18 06:36:57)

エロガキ♂18Z> おはようございます〜   (2024/10/18 06:37:08)

エロガキ♂16r> おはようございます   (2024/10/18 06:37:10)

星 ◆> おはよう、入れ代わり立ち代わりだね。   (2024/10/18 06:37:38)

栞葉るり> あいしてる…   (2024/10/18 06:38:10)

栞葉るり> おはようございます！   (2024/10/18 06:38:17)

エロガキ♂16r> 基本的にガチャは敗北してる(前の将軍はゴリ押したけど)   (2024/10/18 06:38:33)

エロガキ♂18Z> 星さんもシルクハットを被ってダンスするのはかっこよいからなぁ   (2024/10/18 06:38:39)

星 ◆> るり、愛死天流ぜ……。（キメ顔、）   (2024/10/18 06:38:42)

星 ◆> ガチャとか神引きとかよくわからないけど私は私という存在な時点で神引きじゃない？   (2024/10/18 06:39:09)

エロガキ♂18Z> (無料の石でモチーフ含めて二凸したな…)   (2024/10/18 06:39:18)

エロガキ♂16r> 確かに？   (2024/10/18 06:39:35)

エロガキ♂16r> 何それやばい   (2024/10/18 06:39:41)

エロガキ♂18Z> まあ、確かに。星さん初見でカフカに星核を入れられるシーンがめちゃくちゃ良かったな〜   (2024/10/18 06:40:28)

星 ◆> （ありがとうスタレ、ありがとうミホヨ。見てみてトリップmihoyoっぽいのに変えたの、）   (2024/10/18 06:40:51)

エロガキ♂18Z> (わりと無料でよく出てるから有難いッス)   (2024/10/18 06:41:27)

エロガキ♂16r> いーなー   (2024/10/18 06:41:46)

エロガキ♂18Z> 星ちゃん(自分の)に愛されてるお陰だぜ…   (2024/10/18 06:42:27)

星 ◆> （18Zのお腹を思い切り平手でパァンした、）   (2024/10/18 06:42:29)

星 ◆> ガチャ自慢が長い！！！（銀狼がやれって、）   (2024/10/18 06:42:46)

栞葉るり> あ、ごめんなさい、何か言いました？(よそ見なう)   (2024/10/18 06:42:48)

エロガキ♂18Z> ああん…！？(ぐふぅ)   (2024/10/18 06:43:02)

栞葉るり> ふふん。わたくしのアカウントはホタルと銀狼とトパーズ完凸です(どやや)   (2024/10/18 06:43:24)

エロガキ♂18Z> 銀狼さんなら仕方ない(推しだからね)   (2024/10/18 06:43:30)

星 ◆> ちなみに銀狼が此処に来ることはないよ！   (2024/10/18 06:43:47)

星 ◆> ゲームで負けられないからね！！！   (2024/10/18 06:43:57)

エロガキ♂18Z> 自分も黄泉とホタルとアベンチュリンが完凸かな〜。   (2024/10/18 06:44:09)

エロガキ♂16r> ファ？！   (2024/10/18 06:44:10)

エロガキ♂18Z> ダイスバトルで負けたら銀狼さん悔しさが凄い感じそうだしね〜   (2024/10/18 06:45:10)

星 ◆> （しめしめ、そのお金は全て回りまわって私の懐に入ることも知らずに……。システムはよく知らないけど主人公だし、きっとその内入ってくるでしょ。）   (2024/10/18 06:45:25)

エロガキ♂16r> みんな凄いなぁ、☆5完凸組居ないわ   (2024/10/18 06:45:37)

エロガキ♂18Z> 星さんに入るのは新しい衣装だよ(ドヤ顔してよう。なんとなく)   (2024/10/18 06:46:03)

星 ◆> 16r……私がいるだろ？（顎クイ、私だけを見てろよ。）   (2024/10/18 06:46:17)

エロガキ♂16r> そして新しい武器の形   (2024/10/18 06:46:24)

栞葉るり> (じゃあその資金でピノコニーで豪遊しましょう)   (2024/10/18 06:46:24)

エロガキ♂18Z> 栞葉さんについて行って奢られようかな   (2024/10/18 06:46:54)

エロガキ♂16r> あ、本当だ、純粋に忘れてた。まだ調和の星ちゃん完凸できてないけど   (2024/10/18 06:46:58)

星 ◆> （掴んでた顎をぺいってした、）   (2024/10/18 06:47:20)

エロガキ♂18Z> 調和は完凸おすすめだから是非〜   (2024/10/18 06:47:24)

エロガキ♂16r> ピノコニーは俺見送るー   (2024/10/18 06:47:24)

星 ◆> 集めてきてよ！！   (2024/10/18 06:47:32)

エロガキ♂16r> 仕方ないじゃん、始めてまだ3ヶ月ぐらいなんだから！   (2024/10/18 06:47:39)

栞葉るり> 調和主の完凸クッッッソだるかったんで、もうちょっと簡単になりませんか？(げっそり)   (2024/10/18 06:48:12)

星 ◆> なりません、なって（懇願、）   (2024/10/18 06:48:27)

エロガキ♂18Z> つまり、ヤリーロで鉄を舐めた星さん見たな…？(あれ可愛いかった)   (2024/10/18 06:48:34)

栞葉るり> あなたもしてないじゃないですか！   (2024/10/18 06:48:45)

星 ◆> これもすべてクロックボーイって奴とサンデーって奴が悪いんだ……。   (2024/10/18 06:48:51)

栞葉るり> おのれサンデー！！毎日日曜日にしなさい！早く！   (2024/10/18 06:49:22)

エロガキ♂16r> ちなみにピノコニーは星の説明聞いた時点でなにこれ気持ち悪 ってなってて大変楽しかった   (2024/10/18 06:49:28)

エロガキ♂18Z> でも育成できていたら簡単な感じのイメージがある調和完凸   (2024/10/18 06:49:34)

星 ◆> スタレ知ってる人になら罰でクロックトリックしてもいいかも……？   (2024/10/18 06:49:34)

エロガキ♂18Z> ありかも？   (2024/10/18 06:49:50)

エロガキ♂16r> なるほど？合法的にヒャッハー！していいと   (2024/10/18 06:50:15)

星 ◆> できる？できるでしょ、やって。（足元の見えないクロックボーイと会話中、）   (2024/10/18 06:50:53)

栞葉るり> というよりギミック解除と探索がだるかったので……   (2024/10/18 06:51:02)

エロガキ♂18Z> まあ、負ける気ないからクロックトリックなんてされませんけどね！(フラグ)   (2024/10/18 06:51:05)

エロガキ♂18Z> (あぁ、ギミックと探索か…)   (2024/10/18 06:51:22)

星 ◆> （私はパズル系好きだから……、）   (2024/10/18 06:51:33)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/18 06:51:37)

栞葉るり> ぁ、ちょっと後始末をしてきます   (2024/10/18 06:51:39)

エロガキ♂16r> ところでこっちでクロックトリックしたらどこまでやっていいの？w   (2024/10/18 06:51:43)

エロガキ♂16r> おはようございます   (2024/10/18 06:51:48)

エロガキ♂18Z> おはようございます〜と行ってらっしゃい〜   (2024/10/18 06:51:55)

栞葉るり> (ぽい、と星にルービックキューブなげ)   (2024/10/18 06:51:55)

星 ◆> 私以外にできないでしょ、クロックトリック。（真顔、）   (2024/10/18 06:52:08)

エロガキ♂14C ◆> クロックボーイは終盤になるほどしんどかったのよ。出戻りおはようございます。   (2024/10/18 06:52:11)

エロガキ♂18Z> (知恵の輪も渡していよう)   (2024/10/18 06:52:17)

エロガキ♂16r> それはそう   (2024/10/18 06:52:20)

エロガキ♂14C ◆> そしてるりさんはいってらっしゃいです。   (2024/10/18 06:52:23)

星 ◆> わーい！（ルービックキューブ高速でかしゃかしゃかしゃかしゃ、ダンッ！テーブルに置いた。綺麗に揃って……1.る。2~10わけない。）   (2024/10/18 06:53:10)

エロガキ♂14C ◆> ちなみにそんな僕はちゃんと調和打者は完凸させてます。ずっとホタルとイチャつかせてる（同PT的な意味で）   (2024/10/18 06:53:12)

星 ◆> 1d10 → (10) = 10  (2024/10/18 06:53:12)

星 ◆> （揃ってないにもほどがあった。）   (2024/10/18 06:53:20)

エロガキ♂16r> 1d10 → (4) = 4  (2024/10/18 06:53:33)

エロガキ♂14C ◆> （ここで最高値引くの最高に星ねーさんだわ）   (2024/10/18 06:53:38)

エロガキ♂18Z> 1d10 → (1) = 1  (2024/10/18 06:53:43)

エロガキ♂18Z> (ドヤ顔)   (2024/10/18 06:53:50)

エロガキ♂14C ◆> 1d10 → (4) = 4  (2024/10/18 06:53:52)

星 ◆> （ドヤ顔）   (2024/10/18 06:53:57)

エロガキ♂14C ◆> （ぽいっ）   (2024/10/18 06:54:05)

エロガキ♂18Z> こんな時だけ引き運が強いぜ…(ドヤ顔しつつ)   (2024/10/18 06:54:52)

エロガキ♂16r> 幸運値が下がる呪いー   (2024/10/18 06:55:29)

星 ◆> でも実際地道な努力で完凸は確定してるから、みんなしてね。私の完凸。（ルービックキューブ、全部バラして組み立て直し中……。）   (2024/10/18 06:55:40)

エロガキ♂14C ◆> 地道な努力の方向間違えてない？？？   (2024/10/18 06:56:04)

エロガキ♂18Z> いやぁぁぁ！下げないでぇぇぇぇ！！？   (2024/10/18 06:56:05)

エロガキ♂18Z> もう既に完凸してる…   (2024/10/18 06:56:27)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/18 06:56:28)

エロガキ♂18Z> おはようございます〜   (2024/10/18 06:56:39)

エロガキ♂16r> 時間がある時にちまちましてるよ   (2024/10/18 06:56:51)

星 ◆> おはよう、ここはエロガキ密集区。   (2024/10/18 06:56:54)

エロガキ♂14C ◆> 幸運値デバフってゲーム的には（効果量にやるかもだけど）然程影響ない気もしてくるけど、リアルラックにやられると泣くの   (2024/10/18 06:56:58)

エロガキ♂19b ◆> おはよう～...朝から賑やかすぎないか～？   (2024/10/18 06:57:01)

エロガキ♂14C ◆> おはようぽんこつにーさん   (2024/10/18 06:57:05)

エロガキ♂18Z> そりゃ泣く…。   (2024/10/18 06:57:25)

星 ◆> 絶対にるりを置いて出られないという使命感に駆られている銀河打者だよ。近付くな！   (2024/10/18 06:57:26)

エロガキ♂18Z> 星さんが身を差し出したら守れますぞ(ぇ)   (2024/10/18 06:57:58)

エロガキ♂16r> 会心が出ない程度だから   (2024/10/18 06:57:59)

星 ◆> 乱暴されたってホタルとカフカに泣きつくしかないか……。   (2024/10/18 06:58:30)

エロガキ♂14C ◆> エロガキ密集区だけどその中で1番ある意味エロガキムーブ（諸説あり）してるのって星ねーさんでは。   (2024/10/18 06:58:33)

星 ◆> 私！？   (2024/10/18 06:58:43)

星 ◆> 風評被害もいいところだよ14C、クロックトリックでえっちな感情にするぞ。   (2024/10/18 06:59:12)

エロガキ♂19b ◆> クロックトリックはそこまではできないぞ！？   (2024/10/18 06:59:30)

エロガキ♂14C ◆> されたらその勢いでゲーム部屋へ凸って散るのがオチだね！   (2024/10/18 06:59:39)

エロガキ♂16r> こっちなら出来るかもしれない(出来たら面白いので容認派)   (2024/10/18 06:59:58)

エロガキ♂18Z> 出来たら今頃ピノコニーがヤリ星になりそうだ   (2024/10/18 06:59:59)

エロガキ♂16r> どっちにしろ監獄に戻るな()   (2024/10/18 07:00:14)

エロガキ♂14C ◆> エロの惑星（とは）   (2024/10/18 07:00:48)

星 ◆> 私はクロックボーイに課金したからできるよ。（ドヤ顔、）   (2024/10/18 07:00:49)

星 ◆> 二次創作あるあるで私はふたなりにもなるしクロックトリックの悪用もできる……。   (2024/10/18 07:01:13)

エロガキ♂16r> なるほど？今度やってるところ見てよ()   (2024/10/18 07:01:14)

エロガキ♂19b ◆> クロックマネーをいくらつぎ込んだんだ...   (2024/10/18 07:01:30)

エロガキ♂14C ◆> その課金パワーでカフカをガチのママにすればいいのでは？   (2024/10/18 07:02:00)

星 ◆> あー……でも、あれか。クロックトリックの罰は楽しそうだけど……。   (2024/10/18 07:02:05)

エロガキ♂18Z> (ホタルにクロックトリックしてふたなりでやってたな…)   (2024/10/18 07:02:10)

星 ◆> 私がゲーム部屋に行かないといけないのか……。   (2024/10/18 07:02:15)

エロガキ♂18Z> だねぇ   (2024/10/18 07:02:22)

星 ◆> 諸刃……。   (2024/10/18 07:02:23)

エロガキ♂14C ◆> そりゃそうでしょ。   (2024/10/18 07:02:26)

エロガキ♂16r> 生やしたの?!   (2024/10/18 07:02:38)

エロガキ♂18Z> 二次イラストだったけどね(たまたま見かけた)   (2024/10/18 07:03:11)

星 ◆> 助けてアベンチュリン！私の代わりにダイス振って！（10.10.9.10.9！）   (2024/10/18 07:03:35)

エロガキ♂19b ◆> たしか星ちゃんは生やす奇物持ってたよね？   (2024/10/18 07:03:53)

エロガキ♂16r> あぁ、2次(そこの人がしたのかと)   (2024/10/18 07:04:06)

星 ◆> 奇物とかクロックトリックとか、罰には事欠かないね。   (2024/10/18 07:04:15)

栞葉るり> クロックボーイが見えるのはスラーダのキメすぎ説もあるので…(他の人には見えない…見えたとか言ったらやばい扱いされるやつ)   (2024/10/18 07:04:25)

エロガキ♂14C ◆> あ、おかえりなさい。   (2024/10/18 07:04:33)

星 ◆> あ、るりが生き返った。   (2024/10/18 07:04:37)

栞葉るり> ただいま戻りましたー。ふう、本日もおつとめご苦労さまでした   (2024/10/18 07:04:45)

エロガキ♂18Z> おかえりー。   (2024/10/18 07:04:47)

エロガキ♂16r> おかえり   (2024/10/18 07:04:49)

エロガキ♂19b ◆> おかえりー   (2024/10/18 07:05:13)

エロガキ♂18Z> つまり、ミーシャもスラーダをキメすぎて…   (2024/10/18 07:05:18)

エロガキ♂14C ◆> （スラーダを合法なんとかみたいな扱いするのは……）   (2024/10/18 07:05:24)

星 ◆> エロガキに囲まれる美少女二人、これは間違いなく同人誌の導入。   (2024/10/18 07:05:36)

エロガキ♂18Z> (なお星さんに集中するものとする)   (2024/10/18 07:06:01)

星 ◆> るりもこんなに可愛いでしょ！ぶっ飛ばすぞ！！！   (2024/10/18 07:06:31)

栞葉るり> わたくしはゲームにあんまり参加できてない(してない)ので、未知数なんでしょうねぇ。ふふふふ♡   (2024/10/18 07:07:12)

エロガキ♂14C ◆> どっちにしてもここじゃおてつきしないんですけどね。   (2024/10/18 07:07:22)

星 ◆> 安心してるり、私も一回も参加してない。   (2024/10/18 07:07:29)

栞葉るり> 反面星さん(の他の人)は色んな人に目をつけられてるので…(ちら)   (2024/10/18 07:07:44)

エロガキ♂18Z> 栞葉さんともバトルはしたいけどね(熱い視線)   (2024/10/18 07:08:19)

星 ◆> ホタルとなのかとナタと雲璃と霊砂とトパーズとアスターとセーバル……。（指折り数えた、）   (2024/10/18 07:09:26)

栞葉るり> まぁ、この時間ですからねぇ…眠気が来る方が早いでしょう。星さんも、そうじゃないんですか？徹夜の悪い子さん♡(ふー)   (2024/10/18 07:09:41)

星 ◆> ひょえ。（ぞぞわ、）   (2024/10/18 07:10:08)

栞葉るり> 仲間をほぼ全員売ってるじゃないですか(呆れ)   (2024/10/18 07:10:12)

エロガキ♂19b ◆> わーお、、半分ぐらいヤったのか...   (2024/10/18 07:10:16)

エロガキ♂14C ◆> 演った、なんだろうけどね（お世話になりました）   (2024/10/18 07:10:50)

星 ◆> 列車に来たお客様をそのままここに流してるよ！（？）   (2024/10/18 07:11:27)

エロガキ♂18Z> 眠気には誰も勝てないしね〜   (2024/10/18 07:12:01)

