/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月27日 20時51分 ～ 2024年10月28日 13時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18D ◆> (理解～～～！！お疲れ様です……)   (2024/10/27 20:51:52)
エロガキ♀15kb> （ここでスケベな手を使えないのだけは悔やまれますが……今は、今は少しお地蔵さんの気持ちで）   (2024/10/27 23:57:15)

十六夜咲夜 ◆> (そうねえ…って、さらっと何か言ってるような…)   (2024/10/27 23:57:43)

篠澤広 ◆> ゴミ箱の中も楽しそうだね。そこに入っていれば、みんなからゴミを見るような目で見てもらえる♡   (2024/10/27 23:57:47)

エロガキ♀15kb> （咲夜さんがエロ可愛いってことです。）   (2024/10/27 23:58:24)

エロガキ♂19b ◆> よし！手鞠ちゃんはよく言えたね！後でとんかつをおごってあげよう！！そしてこの話はここで終わりにしよう、、いいよね広ちゃん！   (2024/10/27 23:59:37)

十六夜咲夜 ◆> (…もうっ…)   (2024/10/27 23:59:44)

エロガキ♀15kb> （ほら可愛い♪）   (2024/10/28 00:00:29)

エロガキ♂17A ◆> まあ実際ゴミ箱の中に入ってますし……それはともかく、意外と狭い場所は落ち着くんですよね〜   (2024/10/28 00:00:34)

篠澤広 ◆> ………。（正直聞きたいけれど良心も働いていて何も言えなくなって）やっぱり、辛かったんだ。要らないから捨てたっていうのは強がり？（でも口は止められず、煽っているのか心配しているのかわからない言い方をして）   (2024/10/28
00:01:46)

十六夜咲夜 ◆> (…そう言っても何もないわよ…っ)   (2024/10/28 00:02:03)

エロガキ♀15kb> （ハイ、何かを求めるものではないのと、そ、そろそろ話しに入れないし引き際かな～なので）   (2024/10/28 00:02:39)

篠澤広 ◆> うん、わかった。生足の人の奢りでみんなでとんかつが食べられるし、それで良しだね。   (2024/10/28 00:02:47)

月村手毬> ふん、覚悟もないのにそんなこと言うのが悪いんだから。じゃ私は戻るから。じゃあね(ひらひら)   (2024/10/28 00:02:57)

おしらせ> 月村手毬さんが退室しました。  (2024/10/28 00:03:00)

エロガキ♂19b ◆> なんで皆に奢るはめに....あ、お疲れ様です   (2024/10/28 00:03:19)

十六夜咲夜 ◆> あら、お疲れ様   (2024/10/28 00:03:41)

篠澤広 ◆> 怒らせちゃった。なんだろう、こういうのは辛くてもあんまり楽しくないね…。うん…またね、手毬。   (2024/10/28 00:04:27)

エロガキ♂19b ◆> まぁいいや...最悪咲夜ちゃんに作ってもらおっと   (2024/10/28 00:04:34)

エロガキ♂17A ◆> お疲れ様でしたー   (2024/10/28 00:05:03)

十六夜咲夜 ◆> (とんかつですか。出来なくはないかしらね)   (2024/10/28 00:08:45)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/28 00:08:51)

エロガキ♂14C ◆> 少しだけ立ち寄ってみたよ。こんばんは。   (2024/10/28 00:09:10)

エロガキ♂19b ◆> あ、、債権回収しにきた   (2024/10/28 00:09:11)

十六夜咲夜 ◆> あら、こんばんは。   (2024/10/28 00:09:22)

篠澤広 ◆> こんばんは、おっぱいの人。   (2024/10/28 00:09:46)

エロガキ♂14C ◆> ……人をキリトリ役みたいに言うのはどーかと思うよ？（じろり）   (2024/10/28 00:09:53)

エロガキ♂14C ◆> 初めてなのにおっぱいの人呼ばわりされてる……！？誰だよ、僕のこと言いふらしたやつ！   (2024/10/28 00:10:20)

エロガキ♂19b ◆> ソーリーソーリー、、14C君来るなら何か用意しておけばよかったな...今あるのはロープとカラーボール、、あとはくそ！手持ちの爆薬はさっき使っちゃった！！   (2024/10/28 00:10:57)

十六夜咲夜 ◆> 少なくとも私ではないわね…   (2024/10/28 00:11:00)

エロガキ♂17A ◆> こんばんは〜   (2024/10/28 00:11:20)

十六夜咲夜 ◆> (まあ寝落ち2回の債務がねぇ…また増えるかもしれませんが…)   (2024/10/28 00:11:55)

篠澤広 ◆> わたしでもないよ？（？）   (2024/10/28 00:12:01)

エロガキ♀15kb> （すっと咲夜さんから離れつつ……手をひらひら）【ごめんなさい、完全に話の流れをつかめないので、退きますね】   (2024/10/28 00:12:16)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/10/28 00:12:41)

エロガキ♂14C ◆> 17Aおにーさんはこんばんは。……あと、そんなもの引っかかるのはバかせだけでしょ。（冷たい視線）……って15kbねーちゃんはお疲れ、様……？   (2024/10/28 00:12:46)

エロガキ♂19b ◆> でも、おっぱい君なのは結構広まってるから知られててもおかしくないかも？   (2024/10/28 00:13:08)

エロガキ♂17A ◆> さて、今回は足跡程度のつもりだったので、自分もそろそろ落ちますね。皆様ありがとうございました〜   (2024/10/28 00:13:21)

おしらせ> エロガキ♂17A ◆AVb0X.89Wsさんが退室しました。  (2024/10/28 00:13:24)

十六夜咲夜 ◆> 15ちゃんお疲れ様ー。いっぱい甘えて元気なったかしらぁ   (2024/10/28 00:13:32)

エロガキ♂19b ◆> 2人ともお疲れ様です～   (2024/10/28 00:13:35)

十六夜咲夜 ◆> (まあトリップ見ればねぇ…)   (2024/10/28 00:13:46)

エロガキ♂14C ◆> そして咲夜おねーさんには債権回収に来たと思われてるのか……別に僕も強引に誘ったりするつもりはないもん。   (2024/10/28 00:14:25)

篠澤広 ◆> 二人ともおつかれさま。わたしもそろそろ行こうかな…。話してくれてありがとう。   (2024/10/28 00:14:35)

おしらせ> 篠澤広 ◆CmCK1tn9X.さんが退室しました。  (2024/10/28 00:14:44)

十六夜咲夜 ◆> いえ、そういうつもりではないわよ。こっちも寝落ち続いてるの気にしてたから   (2024/10/28 00:14:58)

エロガキ♂19b ◆> 広ちゃんもおつかれさまー！   (2024/10/28 00:15:23)

エロガキ♂14C ◆> おつかれさまー。なんかおっぱいくん呼ばわりだけされてお話できずにさようならって……なんなんだこの感覚……！   (2024/10/28 00:15:41)

エロガキ♂19b ◆> ということは、気にしていたのは俺だけか.....すまない！(14Cの目の前で全力の土下座)許してくれたまえ....   (2024/10/28 00:15:57)

十六夜咲夜 ◆> (これでまた寝落ちとか言ったらどうなることやら)   (2024/10/28 00:16:05)

エロガキ♂14C ◆> 許すも何も怒ったりも何もしてないよー？バカにはするけど。（土下座してるバかせの頭をつんつん）   (2024/10/28 00:16:58)

エロガキ♂14C ◆> （なんとかの顔も三度まで、って言うよね（にっこり））   (2024/10/28 00:17:14)

エロガキ♂19b ◆> ほなら、問題ないか(スッと顔を上げてスマホをポチポチ)   (2024/10/28 00:17:30)

十六夜咲夜 ◆> (あ、最悪寝落ちの自己破産？申請しておくかしら…あはは…これまずいやつだー…)   (2024/10/28 00:18:26)

エロガキ♂14C ◆> バカにされるのはいいの……？（真顔）それはそうと今日は3回ゲーム部屋顔出して3回とも空振り……少しだけショックだったよ。   (2024/10/28 00:19:02)

十六夜咲夜 ◆> 日曜夜ですからねぇ…明日は平日…   (2024/10/28 00:19:24)

エロガキ♂14C ◆> まあ人それぞれの都合もあるから仕方ないけどねー。一時期より賑わいは落ち着いちゃったかな、って感じ。時にはVのおねーさんたちの箱になったりしたこともあったくらいだったのに（トオイメ   (2024/10/28 00:20:43)

エロガキ♂19b
◆> よく皆からバカにされてるからそれぐらいは問題ない！！...さて、、そろそろ俺も睡眠チャレンジをしないといけないから落ちさせてもらうよ！(窓の外へ呼びだしたよく落ちると噂の会社のヘリに飛びのり)では諸君また会おう！！はっはっはっはっは！！！(十分に離れたところでドッカーン！！！と安定の爆発、彼は星になったのだ.....)
  (2024/10/28 00:21:35)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/28 00:21:38)

エロガキ♂14C ◆> ……なんでわざわざ爆発したんだろ。お疲れ様。   (2024/10/28 00:22:06)

十六夜咲夜 ◆> …えーと、爆発オチなんてサイテー…とでも言えばいいのかしら…   (2024/10/28 00:22:11)

エロガキ♂14C ◆> 一時期のお話とは言え、咲夜おねーさんあのおにーさんにすきほーだいされてたわけだよね……？（少し憐れむような視線ちらり）   (2024/10/28 00:23:16)

エロガキ♂14C ◆> （皆そんなにキャラ立たせたいんだろーか、とモブCの僕はふんわり考えた。考えただけ。）   (2024/10/28 00:25:36)

十六夜咲夜 ◆> そうね、必ずトドメ刺されてましたし、流れでもいっぱいされたり…14くんの発案で仕込まれたりとか…(じとー)   (2024/10/28 00:25:46)

エロガキ♂14C ◆> ……あの時は咲夜おねーさんもノリノリだったじゃないかなー？罰ゲームだし仕方ないよねー？（視線晒し口笛吹いて）   (2024/10/28 00:26:39)

十六夜咲夜 ◆> まあ、それは確かにね…予想してなかったから驚いたわよ…   (2024/10/28 00:27:12)

エロガキ♂14C ◆> 僕だって甘えてばかりも面白みないかなー？と思って色々考えるんだよー。……その結果、最近あまり甘えてない気もするけどね？   (2024/10/28 00:28:27)

十六夜咲夜 ◆> とりあえず今日はどうするかしら？2人になりましたが   (2024/10/28 00:29:11)

エロガキ♂14C ◆> んー、僕はノープランかなぁ。元々少し顔出しするだけのつもりだったし。……甘えて欲しいの？（じー）   (2024/10/28 00:30:45)

十六夜咲夜 ◆> そうね…いいわよ。   (2024/10/28 00:31:12)

エロガキ♂14C ◆> ……これ、ナンパって言われちゃうのかなあ。とりあえずお部屋用意したよ。   (2024/10/28 00:32:55)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (2024/10/28 00:33:18)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (2024/10/28 00:34:13)

十六夜咲夜 ◆> 私非公開入れないのよね…   (2024/10/28 00:34:26)

エロガキ♂14C ◆> ありゃ？ごめんごめん。   (2024/10/28 00:34:33)

十六夜咲夜 ◆> 改めて行くわよ   (2024/10/28 00:34:49)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (2024/10/28 00:34:52)

エロガキ♂14C ◆> うん。僕もこれで。皆おやすみなさーい。   (2024/10/28 00:35:01)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/28 00:35:05)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/28 00:52:29)

エロガキ♂19b ◆> よし..誰もいないな！演出とはいえ爆破をそのまま食らうのは結構痛かった....   (2024/10/28 00:53:20)

エロガキ♂19b ◆> さすがにこの時間には寝れんからな...いや本来はねるべきなんだけどさ！   (2024/10/28 01:02:41)

エロガキ♂19b ◆> この時間はやっぱり静か～..   (2024/10/28 01:13:12)

エロガキ♂19b ◆> やっぱいなさげだね、お部屋ありがとうございますー、   (2024/10/28 01:18:52)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/28 01:18:53)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/28 03:17:34)

エキドナ ◆> お邪魔させてもらうよ、？   (2024/10/28 03:18:22)

エキドナ ◆> 気圧が下がっているせいかな、、少し良くないね、、   (2024/10/28 03:18:56)

エキドナ ◆> あと少し、頑張ろうか、、   (2024/10/28 03:20:40)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/28 03:28:03)

エロガキ♂19b ◆> こんばんは。いつもの人ですよ～   (2024/10/28 03:28:21)

エキドナ ◆> キミか、こんばんは。と言っておくけどキミは寝るべきだろう？   (2024/10/28 03:28:49)

エロガキ♂19b ◆> 寝落ちでしか寝れなくなってねぇ...ここ数日間はここで寝落ちしてる気が..あれ？やばくね   (2024/10/28 03:29:40)

エキドナ ◆> ボクも人の事は言えないと思っていたけど、やはり重症だね、、   (2024/10/28 03:30:37)

エロガキ♂19b ◆> 眠れない連盟でも結成するか...というかエキドナちゃんもちょっとばかし調子が悪そう？   (2024/10/28 03:31:37)

エキドナ ◆> それには少なくともあと一人は居ると思っているけどね、。気圧の問題だから大丈夫だよ。   (2024/10/28 03:34:53)

エロガキ♂19b ◆> 簡単に予想がつくのが面白いね～、本人は否定しそうだけどさ！そっか、ならよかったよ。体調は崩さないようにね～、、あ、先にいっとくけどこれでも俺は体調管理は睡眠以外はバッチリだからね！   (2024/10/28 03:36:27)

エキドナ ◆> 睡眠がバッチリと言えない時点で管理出来ているとは言わないよ、   (2024/10/28 03:37:29)

エロガキ♂19b ◆> そんなぁ....( ;´･ω･`)   (2024/10/28 03:38:20)

エロガキ♂19b ◆> まぁ、、睡眠が取れてないことの弊害もだんだん出てきてるから、頑張ってはいるんだけどね、、今日はマジで無理！ほんとだめ！   (2024/10/28 03:39:20)

エキドナ ◆> お互い困ったね、、と言ってもボクは最近は眠れているのだけどね、？   (2024/10/28 03:41:48)

エロガキ♂19b ◆> う、裏切り者～！っていいたいけど...そのまましっかり眠れるようになってね...俺を置いて先に行け！ってやつだね   (2024/10/28 03:42:57)

エキドナ ◆> まだ少し、だけどね、、。キミもキミで前も言ったが手は打つべきだよ。遊びも楽しいだろう、勉強も忙しいだろう、ただ本当に今必要かを考えるのも大事だとボクは思ったかな、？   (2024/10/28 03:44:51)

エキドナ ◆> 口が過ぎたね。忘れてくれて構わないよ、少しボクもやる事を残しているから済ませて来ようと思うよ、   (2024/10/28 03:49:21)

エキドナ ◆> 眠れているのならそれが一番だけど、、どうだろうか、、？   (2024/10/28 03:50:18)

エキドナ ◆> 寝ているかな、、ゆっくり休むといいよ、。   (2024/10/28 03:57:38)

エキドナ ◆> 少し移動しておこうか、、   (2024/10/28 03:58:00)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/28 03:58:25)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/10/28 04:11:22)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/28 05:23:18)

エキドナ ◆> さて、、改めてお邪魔するよ、   (2024/10/28 05:23:55)

エキドナ ◆> 後は寝るだけとは言え、、簡単に眠れたら苦労はしないのは今更だね、   (2024/10/28 05:25:01)

エキドナ ◆> 本部屋で遊ぶ程の気力も無いからね、、少しこのまま居座っておこうかな、。   (2024/10/28 05:27:58)

エキドナ ◆> そう言えばだけども今日は皆の嫌いな月曜日じゃないか、、(くす、)   (2024/10/28 05:30:13)

エキドナ ◆> 今日は何時頃に寝られそうかな、、少し期待したいけどあまり期待をすると後がしんどいからね、、   (2024/10/28 05:34:37)

おしらせ> 花海佑芽さんが入室しました♪  (2024/10/28 05:36:57)

エキドナ ◆> 6時頃には眠れると良い方だろうね、、とあまり呟いていても面白くないだろうから、、とおはよう、かな、？   (2024/10/28 05:37:20)

花海佑芽> おはようございます！   (2024/10/28 05:37:54)

エキドナ ◆> ゆっくり眠れたかな、？   (2024/10/28 05:38:15)

花海佑芽> はい、うちの事務所はみんな早起きです！   (2024/10/28 05:39:26)

エキドナ ◆> そうかい、、いい事だね。ボクは今から寝るから遅寝になるのかな、、どうでもいいね、。さて、初めましてだと思うのだが、、ここも初めてかな、？   (2024/10/28 05:40:35)

花海佑芽> はい、友達（広ちゃん）の気配がしたので！【下のほうに名前が見えたので思わず入ってしまいました】   (2024/10/28 05:41:43)

エキドナ ◆> そうかい。なら少しだけの説明、、は不要かな？見ての通りただの雑談部屋だからね。遊びたくなったら本部屋へ行くと良いよ、すぐに楽しい人達が群がってくるかも知れないからその際は気をつけることだね、。   (2024/10/28 05:43:34)

花海佑芽> む、群がってこられるのは怖い気がするので、またにします！【実際にお部屋が動いてるの見てからにしようと思います】   (2024/10/28 05:45:57)

エキドナ ◆> そうだね、そうするといいよ。ボクもあまり群がられるのは得意じゃないのもあるからここに居る事が多いかな、、まぁ、群がる人も居ないのだけどね、。   (2024/10/28 05:47:49)

花海佑芽> 月曜日の朝だからでしょうか、おやすみ前ならホットミルクとか持ってきましょうか？   (2024/10/28 05:53:24)

エキドナ ◆> あぁ、違うよ。単純にボクの内面的な性格の悪さが知れてるからボクには来ないと言っているだけだよ。ホットミルクは、、幼い頃以降飲んだ試しも無いね、けれど気にしなくていいよ、。   (2024/10/28 05:56:24)

花海佑芽> （持ってきましょうかと聞きながら答えを聞く前に持ってきていて）じゃあ、いただきます！（ごくごくごく…）   (2024/10/28 05:58:22)

エキドナ ◆> (目の前でホットミルクを飲むのを見せられてどうしようか、、)美味しいかな、、？   (2024/10/28 05:59:19)

花海佑芽> はい美味しいです！　いれ直してきますか？   (2024/10/28 05:59:59)

エキドナ ◆> いや、いいよ。ボクはこっちがあるからね、、(椅子に腰掛けて、テーブルの上にティーセットを2つ用意してから斜め向かいの椅子の前に1つ置いてから彼女へと目を向けて促して、)   (2024/10/28 06:01:48)

花海佑芽> わっ、カップもきれいですね！（目を輝かせながら、さすがに一気飲みはせずに行儀よく、こくこくこく…）   (2024/10/28 06:03:16)

エキドナ ◆> ボクも気に入っている物だからね、、(1口紅茶啜ってからソーサーに戻して)けれどこの中身はボクの体液さ、   (2024/10/28 06:04:16)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/28 06:05:31)

花海佑芽> たいえき？（きょとん、意味が伝わってない様子）   (2024/10/28 06:06:12)

エロガキ♂18D ◆> おはようございます。時間通りの起床、ですね。初めましての方もいらっしゃるようで。これからよろしくお願いしますね？   (2024/10/28 06:06:29)

花海佑芽> おはようございます！【なんてお呼びすればいいですか？＞エロガキ♂18Dさん】   (2024/10/28 06:07:39)

エロガキ♂18D ◆> 【まさか呼び方を指定されるとは思わず……18Dさんとかが基本ですが…好きに読んで貰って構いません】   (2024/10/28 06:09:32)

エロガキ♂18D ◆> (……店長から不名誉すぎるあだ名貰ってたのは黙っとこ……)   (2024/10/28 06:11:54)

エキドナ ◆> そう。体液、唾液や血液、その類と一緒だと思ってくれればいいよ。(伝わってなさそうだから説明しておこうかな、)   (2024/10/28 06:12:12)

エキドナ ◆> おはよう、よく眠れたかな、？   (2024/10/28 06:12:34)

花海佑芽> 18Dさんはここに詳しいんですか？（本部屋にも行くといいよ、と言われたので気になっている様子）   (2024/10/28 06:13:03)

エロガキ♂18D ◆> めっちゃ寝ました……ミミさんと別れた後本当に即寝てましたので…むしろ寝すぎだったかもしれませんね。   (2024/10/28 06:13:41)

エキドナ ◆> そうかい。ならよかったよ、。   (2024/10/28 06:14:00)

エロガキ♂18D ◆> ある程度は詳しい方ではないかと思います。ちょくちょく遊びに来ていますので…ここも、ゲーム部屋も…   (2024/10/28 06:14:35)

花海佑芽> えっと…お姉ちゃんのペースト完全食みたいな？（豪快に斜め上の伝わり方をしたようです！）   (2024/10/28 06:14:39)

エキドナ ◆> ぺえすとは分からないけど完全にボクから生み出されたものだよ、。   (2024/10/28 06:15:28)

エロガキ♂18D ◆> やはり少し食べすぎたみたいで…お陰さまで8時間？9時間？ぐっすりでございます。また成長したら嬉しいですね   (2024/10/28 06:15:36)

エキドナ ◆> 成長に睡眠は必須だからね、、   (2024/10/28 06:16:44)

花海佑芽> 一人で入ると、後からたくさん来てくれたときに大変って聞いたので、よければ18Dさんと一緒に（本部屋へ）行ってみたいです！   (2024/10/28 06:17:19)

エロガキ♂18D ◆> 強引に眠るのなら、少々食べすぎた方がいいと、自分は学びましたね。生活リズムが崩れる可能性がありますが……   (2024/10/28 06:17:51)

花海佑芽> 料理できるのはすごいです！（やっぱり伝わり方が斜め上）＞エキドナさん   (2024/10/28 06:18:35)

エロガキ♂18D ◆> おや、これは思わぬ展開……自分でよければ、一緒に行きましょうか？色々説明とか……聞きたいことあればお答えいたしますよ？今から参りますか？   (2024/10/28 06:18:41)

花海佑芽> はい、お願いします！＞18Dさん   (2024/10/28 06:19:17)

エロガキ♂18D ◆> では、参りましょうか。エキドナさん、少々席を外しますね？(佑芽さんをエスコートしようと自分の手を差し出し)   (2024/10/28 06:20:37)

エロガキ♂18D ◆> 一度失礼いたします。また。   (2024/10/28 06:20:58)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/28 06:21:01)

花海佑芽> いってきます、ごちそうさまでした！＞エキドナさん   (2024/10/28 06:21:41)

おしらせ> 花海佑芽さんが退室しました。  (2024/10/28 06:21:45)

エキドナ ◆> 行ってらっしゃい。ボクはまったり眺めておくよ   (2024/10/28 06:25:04)

おしらせ> 無言時間が25分を超えたため、エキドナ ◆r8To80Q7JEさんが自動退室しました。  (2024/10/28 06:50:07)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/28 06:58:31)

星 ◆> ふぁ……あふ、おはよう……。（大あくび、週始めのデイリーぽちぽち、）   (2024/10/28 06:59:01)

星 ◆> 最近の流行りはアイドルかな……。   (2024/10/28 07:11:01)

星 ◆> （ぐ、と伸びして……一通り片付いたデイリーを表示する画面ににっこり。部屋を後にしよう。）   (2024/10/28 07:15:05)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/10/28 07:15:09)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/28 07:29:00)

エロガキ♂19b ◆> おはよう...やっぱり寝落ちしちゃったよ！！...   (2024/10/28 07:29:44)

エロガキ♂19b ◆> んん..朝はいないねぇ   (2024/10/28 07:55:34)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/28 07:59:19)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/28 09:15:31)

エロガキ♂19b ◆> 今日は時間に余裕がある～   (2024/10/28 09:15:48)

エロガキ♂19b ◆> しかし誰もいなかった...(ゴミ箱の中に飛び込み)   (2024/10/28 09:30:58)

エロガキ♂19b ◆> 撤退撤退ー！   (2024/10/28 09:35:57)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/28 09:35:59)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/28 10:54:12)

星 ◆> 疲れた……。（どしゃあ、ソファに突っ伏す開拓者。なんか最近このソファばっかり使ってるな……。）   (2024/10/28 10:54:32)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/28 11:01:53)

エロガキ♂19b ◆> うわぁぁぁぁ！！(ベシ！！....天井から突如落下してくる19bであった....)あぅ、、星ちゃんこんにちは   (2024/10/28 11:02:46)

星 ◆> うわ……。（もういっそまともに登場した方がキャラ立つんじゃないかなって最近のエロガキに思いがち、）   (2024/10/28 11:06:01)

エロガキ♂19b ◆> あはは、、今回は俺も想定外...対戦相手待ってたら床が相手落ちてきちゃった！   (2024/10/28 11:07:29)

エロガキ♂19b ◆> んん？床開いて落ちた、だな。最近誤字がほんとにひどいー   (2024/10/28 11:08:51)

星 ◆> どういうことなの……。（まあ意味が分からないのはいつものことか、ってソファに座り直し。）平日のこの時間に相手なんているの？   (2024/10/28 11:09:03)

エロガキ♂19b ◆> いない...ダメ元待機してた   (2024/10/28 11:09:51)

星 ◆> だろうね……。でも待機しないことには始まらないのも道理かな。   (2024/10/28 11:11:01)

エロガキ♂19b ◆> そういうこと～、んま、星ちゃんもここにいるし星ちゃんとお話ししよ～！！   (2024/10/28 11:12:49)

星 ◆> お話ね……。私と楽しく話すにはかなりのユーモアセンスが求められるよ！（ふふん、ドヤ顔で脚組み。）   (2024/10/28 11:15:00)

エロガキ♂19b ◆> ユーモアセンスか....星ちゃんの怖がってる姿をシーンの観賞会でもしながら、、逐一どういう心情だったか説明してもらおうかな？写真の出所はピンク髪のあの娘だよー！   (2024/10/28 11:17:09)

星 ◆> それがあんたのユーモアなの？（はーやれやれポーズ、第一あの場になのがいるなら怖くないし！）   (2024/10/28 11:18:44)

エロガキ♂19b ◆> んまぁ、、残念ながら俺は頭のおかしいことと性欲に従うことしかできないからね...ユーモアを求める相手を間違えているかもしれない！！ちなみに1枚目はこの封鎖部分に入ったときの星ちゃんの表情だったり～   (2024/10/28
11:22:02)

星 ◆> ふーん……じゃあ仕方ない。私がユーモアに溢れる雑談の始め方のお手本を見せてあげるよ！（バッと立ち上がった。今は特に何も思いついてないけど、この明晰な頭を回転させればすぐに……。）……今日はいい天気だね！！！   (2024/10/28
11:24:45)

エロガキ♂19b ◆> ふふ...そうだね！外は満点の青空だよマイフレンド！(外をちらっと見て晴れていることを確認し)   (2024/10/28 11:26:54)

星 ◆> …………。（よし、楽しく話せたな！満足げに頷いて再び腰を下ろした。ぱーふぇくとこみゅにけーしょん、）   (2024/10/28 11:29:34)

エロガキ♂19b ◆> んま、無理に話を広げる必要もないか...(星ちゃんの反対側に座り)ところで星ちゃんは今日の開拓の旅は休憩かい？末日も階差も更新されて忙しくなるホヨバの月曜日な訳だけど   (2024/10/28 11:32:50)

星 ◆> そういえば末日はやってないな……最近はちょっと忙しくて。（何とか『セックスしないと出られない模擬宇宙』とか作って知り合いを放り込めないかヘルタとルアン、スクリューガムに相談してるから……。って真剣な顔して語った。ちなみに全員に塩対応されてる、）  
(2024/10/28 11:36:40)

エロガキ♂19b ◆> 繁殖の実験って言えばルアンは手伝ってくれそう...模擬宇宙のひとつのエリアに男女を閉じ込めて経過観察、本体は培養液にでもいれておけばなんとかなるだろうし...その路線でルアンに相談してみたらどう？勿論最初は星ちゃんがテストしてね！  
(2024/10/28 11:40:02)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/28 11:41:17)

星 ◆> ルアンは今更人同士の交尾に興味示してくれるかな……。（うーん。ルアンにその方向で持ちかけると知り合いが異種生物と掛け合わされそうで不安になる開拓者。友達なくすよ。）   (2024/10/28 11:41:19)

エロガキ♂18D ◆> こんにちは。少しの間ですがお邪魔いたします。(何も知らずに普通に入室して)   (2024/10/28 11:41:56)

エロガキ♂19b ◆> やっほー、こんにちは～   (2024/10/28 11:42:18)

星 ◆> あ、18Dだ。（すっとバット（ケツバット用のやわこいの、）を取り出した。）   (2024/10/28 11:42:38)

エロガキ♂18D ◆> うーん、実家のような安心感ですね……何です？笑ってはいけない的なヤツですかそれは……ケツシバき隊的なヤツです？(星さんの取り出したものに警戒して)   (2024/10/28 11:43:34)

エロガキ♂19b ◆> ...(何かを察してスッ！と押入れに飛び込み隙間から様子見)   (2024/10/28 11:43:55)

星 ◆> 尻を出せぃ、星だけに……。（ぶんっ、ぶんっ、素振り、）   (2024/10/28 11:44:15)

エロガキ♂18D ◆> ですって、19bさん……確か女性に責められるのが好みだったとお聞きしておりましたが……？(他人事)   (2024/10/28 11:45:07)

エロガキ♂19b ◆> 俺は女の子の足が好きなんです～！！そこんとこ間違えないでよね！   (2024/10/28 11:46:51)

エロガキ♂18D ◆> あ、出てきましたよ星さん、今です(音の方向を指差して、18Dは耳がいい)   (2024/10/28 11:47:34)

星 ◆> 19bを叩く理由は……ないっ！（まあ18Dも可哀想なのでバットはしまってあげた。再びソファにちょこん、）   (2024/10/28 11:49:01)

エロガキ♂18D ◆> 自分星さんに何か粗相をした記憶はありませんが……はっ、あれですか？あの部屋のスラーダ飲んだ上で一本ちょろまかした事ですか……！？   (2024/10/28 11:49:54)

星 ◆> （二人のプロフィール並べて見てると18Dは62センチあるみたいに見えるな……って真剣な顔してる。）   (2024/10/28 11:50:09)

エロガキ♂19b ◆> スラーダの窃盗は許されることではない....   (2024/10/28 11:50:26)

星 ◆> あれはほぼ18Dにあげるものだからいいよ。   (2024/10/28 11:50:31)

星 ◆> あ、でも飲み過ぎると大変なことになるからね！   (2024/10/28 11:51:02)

