/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月15日 16時15分 ～ 2024年12月18日 02時45分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> それでは！   (2024/12/15 16:15:15)
廣井きくり> お、おー？なになにそんな私のこと褒めたってお酒しかでないよ〜…(でろんでろん。)   (2024/12/17 00:38:01)

エロガキ♂19b ◆> いいよいいよー、、遊んでくれるのが理想だけど...ほーれ、もう一杯どうぞ...みんなには秘密ね、(お酒をおいて)   (2024/12/17 00:38:57)

廣井きくり> はぁ〜……お酒〜…うまぁ…。(水のように一気した、けぷ。)   (2024/12/17 00:40:05)

廣井きくり> しょーがないなぁ…   (2024/12/17 00:40:13)

エロガキ♂19b ◆> すごい飲むねぇ...もしかして、、あそんでくれる？   (2024/12/17 00:40:40)

廣井きくり> 私とサイコロ振って君の目が大きかったら遊んであげる。ど〜？負けたらここ奢りね！   (2024/12/17 00:40:52)

エロガキ♂19b ◆> 乗ったぁ！！...お金ならいくらでもあるからね！   (2024/12/17 00:42:09)

廣井きくり> おっしゃあ！(壁ばんばん)じゃあ振るよ〜…   (2024/12/17 00:42:30)

廣井きくり> 1d6 → (5) = 5  (2024/12/17 00:42:33)

エロガキ♂19b ◆> 1d6 → (5) = 5  (2024/12/17 00:42:42)

エロガキ♂19b ◆> ふっ...負けたかと思ったぜ   (2024/12/17 00:42:51)

廣井きくり> おー…やんねぇ！   (2024/12/17 00:42:53)

廣井きくり> 1d6 → (3) = 3  (2024/12/17 00:42:58)

エロガキ♂19b ◆> 1d6 → (4) = 4  (2024/12/17 00:43:01)

エロガキ♂19b ◆> 僕の勝ちだ！！(ゲス顔)   (2024/12/17 00:43:11)

廣井きくり> うぇ…しゃーないなぁ。んじゃ、遊びに行くかー！梯子だ梯子〜！   (2024/12/17 00:43:27)

エロガキ♂19b ◆> しゃあっ！！いくぞー！！   (2024/12/17 00:43:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/17 00:43:55)

おしらせ> 廣井きくりさんが退室しました。  (2024/12/17 00:43:59)

おしらせ> キタサンブラックさんが入室しました♪  (2024/12/17 01:53:07)

キタサンブラック> …どうも～、こんばんは～やる気がどこかにお出かけ中。キタサンです（ぺこりっ   (2024/12/17 01:53:40)

キタサンブラック> 今日は久しぶりに複数戦もあったようで、すっかり出遅れ感が否めないですが、師走なんてこんなもんですよね。   (2024/12/17 01:56:44)

キタサンブラック> まぁ、夕方寝ちゃっててこんな時間にもそもそ起き出す様では、良縁にはなかなか巡り合えるものでもないでしょうし……気にしても仕方なく。年末の休みになって少し賑わいが戻ってくるのを期待しながら   (2024/12/17 02:09:47)

キタサンブラック> 時々メスガキムーブでも取って、人に会えるように頑張ってみるとかですかね。（クラリスさんとも、胡桃さんやラミィさんたちともまたご一緒したいものです。と、お茶を入れてずずぅ～と啜りつつ）   (2024/12/17 02:10:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/17 02:17:45)

エロガキ♂19b ◆> やっほー！！いつものお兄さんですよー！！...こんばんは！！   (2024/12/17 02:18:20)

キタサンブラック> おや、どうもいらっしゃいませ（お茶ずずぅ～しながら）   (2024/12/17 02:18:54)

エロガキ♂19b ◆> はい！いらっしゃいましたよ～...(キタちゃんの対面に座って)こんな時間に起きてるなんて...夕方にねちゃうとへんなかんじになるよね、、すごく分かるよ～   (2024/12/17 02:21:18)

キタサンブラック> いえ、わかっちゃ本来だめだと思いますけどね（不健全ですよ？）   (2024/12/17 02:21:54)

おしらせ> トウコさんが入室しました♪  (2024/12/17 02:24:04)

トウコ> こんばんは   (2024/12/17 02:24:11)

エロガキ♂19b
◆> ダメだよ、、でもね～...寝ちゃうんだよね、、夕方に...洗濯物とかしまい終ってやること全部終った！！少しだけ...そう！少しだけって思って起きたら1時や2時...そのまま寝れなくなるいまのキタちゃんみたいなコースがよくあったりするんです！！  
(2024/12/17 02:24:19)

エロガキ♂19b ◆> あーら、トウコちゃんこんばんはー！   (2024/12/17 02:24:34)

キタサンブラック> おや、そちらの方もいらっしゃいませ（年下くらいの子、ですかね。割とスポーティな感じのお姿でしょうかね）   (2024/12/17 02:24:45)

キタサンブラック> はぁ……そうですか。まぁ不規則な生活なんてしてると体壊しますから……ちゃんと生活リズム整えないとだめですよ？（そんな力説されても～な話題なので、あんまり引っ張るものでもないと思いますよ？）   (2024/12/17 02:25:53)

トウコ> あれ、キタさんは小さい時から徹夜組してませんでしたか？寝ようとしても寝てないときはありますよね。(昼過ぎまで寝れなかったたときはありましたね)   (2024/12/17 02:27:52)

エロガキ♂19b ◆> うっす...その言葉をしっかりと受け止めたいとおもいます！...ちなみにトウコちゃんは自分のポケモンにセクハラされたりするエッチなトレーナーだったりするのだ......それまじ？   (2024/12/17 02:28:20)

キタサンブラック> へ？小さい時……え？（どういうこと？！アタシの幼少期を知る少女さん！？がびんっ）　い、いえ、不規則な生活環境にあるのは否定できませんけど～   (2024/12/17 02:29:44)

キタサンブラック> ……（あと、どなたとは言いませんが、無言で10分とか20分、部屋に居座るのは非常に後の人が入りにくいと思うので控えた方が良いと思いますよ。と　念しておきましょう）   (2024/12/17 02:31:34)

トウコ> 何を言ってるのですか。そんなことは得るわけないじゃ無いですか?(相棒が発情したときは身体を使って発散はさせてますけど)   (2024/12/17 02:33:09)

エロガキ♂19b ◆> 俺の勘違いだったか～？...この前俺に技をぶつけたあとにセクハラしてたような、、おかしくなってたのかなぁ....   (2024/12/17 02:34:35)

キタサンブラック> 因子継承で体を使うことは在っても、別に誰かれ構わず何かされてうれしいってものでもありませんしね。（まぁ、彼女の場合は相棒なので、誰かれ構わずとはまた違いますでしょうかね。）   (2024/12/17 02:34:59)

エロガキ♂19b ◆> 相棒...相棒ねぇ、、懐かしい思い出がよみがえるようなそんなこともないような...戦い続けたポケモンを思い出した気がするぜ(遠くを見つめて)   (2024/12/17 02:37:18)

トウコ> そうですよ。そんなことを…するなんて変態なトレーナーいるなんて恥ずかしいですよ。(流石に話を流そうとしたが何故かぶり返す)   (2024/12/17 02:39:29)

キタサンブラック> 変態というか、そういう性癖の人がいるのはいいとは思うんですけどね……一般的ではないかな～というだけで？（おや？）   (2024/12/17 02:40:53)

エロガキ♂19b ◆> んま、、どんなとれーなーでもいいさっ！！面白ければ俺はそれでいいしねー...   (2024/12/17 02:44:43)

トウコ> よくいいますよね。面白ければではなく、嵌められたらいいのでは。   (2024/12/17 02:45:42)

キタサンブラック> そういえば、トレーナーさん……とトレーニングされる側という位置関係ですね。（ふと思えば）   (2024/12/17 02:45:44)

エロガキ♂19b ◆> (口笛)   (2024/12/17 02:46:04)

エロガキ♂19b ◆> ここに、キタちゃんの新しいトレーナーとしてトウコちゃんと契約を？   (2024/12/17 02:46:45)

キタサンブラック> 穴が在ったら入りたいならぬ、穴が在ったらハメてたい？……まぁ、ここに来るのってエロが大前提みたいな人ばかりですからね。（ガキ、と言われるとアタシより年上多めですが）   (2024/12/17 02:46:56)

エロガキ♂19b ◆> ...ハメたいのは事実、、性欲だけはいっちょまえのマジでガキとは呼べないお兄さんですよっと   (2024/12/17 02:50:18)

トウコ> まあ、ほぼ同年代ですからね。いるのは   (2024/12/17 02:54:25)

キタサンブラック> あ、同い年くらい、何ですね（ここでは一応アタシは15ということにしてはいますが……pkmnの方って実際何歳くらいかよく知らない）   (2024/12/17 02:55:37)

エロガキ♂19b ◆> 中学生の可愛いお嬢さんたち...いい加減俺を捕まえにくる警察が来そうなものだよ...逃げれるように準備だけはしとかなきゃ！！   (2024/12/17 02:57:17)

キタサンブラック> えっと   (2024/12/17 02:58:37)

キタサンブラック> 警察以前に、アタシがその気に成ったらヒト耳さんがどうにか逃げのびられるんでしょうかね？（ほけ～）   (2024/12/17 02:58:59)

トウコ> 力でも勝てないような気がしますけど   (2024/12/17 03:00:19)

エロガキ♂19b ◆> ....うーん...無理かも、、その時は諦めます、はい。捕まえるにしても優しくしてねー？   (2024/12/17 03:00:25)

キタサンブラック> キタサン　メガトンパンチだ！　こうか　は　ばつぐん　だ。ですかね   (2024/12/17 03:01:16)

エロガキ♂19b ◆> 下手したら帰ってこれなくなるよ！？   (2024/12/17 03:02:30)

トウコ> そこは拘束移動だでわ   (2024/12/17 03:08:22)

キタサンブラック> 拘束移動……束縛するのか移動するのか……という突込みは入れるべきですかね？いえ、突っ込むモノは何も持ってませんが   (2024/12/17 03:09:21)

トウコ> うーん🤔高速移動でしょうと返して欲しかった。普通に   (2024/12/17 03:10:44)

キタサンブラック> 普通を求められちぇいた！？（くっ！）   (2024/12/17 03:11:54)

トウコ> 流石に眠くなってきてしまったので今日はこのあたりで   (2024/12/17 03:15:31)

キタサンブラック> はーい、お疲れ様です。アタシもぼちぼち横になりましょうかね   (2024/12/17 03:15:53)

トウコ> お疲れさまです。キタさんおやすみなさい。それとエンブオー…19にフレアドライブ   (2024/12/17 03:17:13)

キタサンブラック> この反応のなさは寝落ちの可能性もあるので、まぁとりあえず布団でくるんでその辺に転がしておきましょう   (2024/12/17 03:17:59)

トウコ> そのようですね。またお話しましょうね。キタさん   (2024/12/17 03:19:25)

エロガキ♂19b ◆> 残念！！ちゃんと起きてるぞッ！！ってそれは駄目だぁ！！(壁に激突して)   (2024/12/17 03:20:02)

キタサンブラック> はい、お話でもいいですしエロガキ側に居ることもあるので、よかったらサイコロ勝負もぜひぜひ♪   (2024/12/17 03:20:27)

トウコ> その時はお手柔らかにお願いいたしますよ。   (2024/12/17 03:20:57)

キタサンブラック> いえ、残念なのは会話に参加しない19さんの所業で合って、アタシたちではないと思いますよ？   (2024/12/17 03:21:01)

キタサンブラック> ふふ♪その時は、アタシのあれこれな実験台になってください♪   (2024/12/17 03:21:25)

トウコ> 楽しみにしていますね。   (2024/12/17 03:21:56)

キタサンブラック> はい、ではまたいずれ♪   (2024/12/17 03:22:16)

エロガキ♂19b ◆> なーんもいえない！！しいていうなら、、女の子2人の会話にうまく溶け込めなかったというべきだな...精進しま～す。2人とももうすぐ日が昇りそうな時間になってきたけど、、しっかり寝るんだぞー   (2024/12/17 03:22:21)

トウコ> おやすみなさい   (2024/12/17 03:22:49)

おしらせ> トウコさんが退室しました。  (2024/12/17 03:22:53)

エロガキ♂19b ◆> おやすみ～！！   (2024/12/17 03:23:13)

キタサンブラック> おやすみなさい。さて、アタシの眠れなくても横になっておきますね。（ぺこりっ   (2024/12/17 03:23:39)

おしらせ> キタサンブラックさんが退室しました。  (2024/12/17 03:24:03)

エロガキ♂19b ◆> 俺も寝落ちする前に横になろっと...キタちゃんもお休み！！またね～！   (2024/12/17 03:24:39)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/17 03:24:45)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/17 07:44:03)

エロガキ♂13Al> おはようございます！　早く寝たので早起きできて、えらい！   (2024/12/17 07:44:15)

エロガキ♂13Al> 自分で自分を褒めることで自尊心が高まりそのうち何かすごいことに。なる？なる！   (2024/12/17 07:48:43)

エロガキ♂13Al> （乾燥してお手々が痒くなるのでハンドクリームを塗ったりしている）   (2024/12/17 07:54:54)

おしらせ> 椎名唯華さんが入室しました♪  (2024/12/17 08:03:06)

椎名唯華> おはしいな〜   (2024/12/17 08:03:13)

エロガキ♂13Al> おはよおうございまーす。あったまりたい……（ぷるぷる）   (2024/12/17 08:03:57)

椎名唯華> なんや、寒いんか？目の前にPCの箱あるやろ？両手で触ってみ…？(にや)   (2024/12/17 08:07:05)

エロガキ♂13Al> そんな室温に影響与えるほどヒートしてないよ！　環境によって成立したりしなかったりするから人の環境に頼ったボケやフリは危険……！　そして目の前にいるのは美少女だけかもしれない。両手で触るしか……！   (2024/12/17
08:09:49)

椎名唯華> せやね。けど、それ言ったら…目の前にいる美少女の周りに100人のおっさんがいる満員電車状態かも知れんよ？   (2024/12/17 08:11:59)

エロガキ♂13Al> この空間ってそんな不確定性に満ちてるんだ。いや、ここがどこであろうとも触りたい……がっ、殺気立つ満員電車で痴漢発生なんか起きたらどんな目に遭うか分からない……（ぷるぷる）   (2024/12/17 08:13:04)

椎名唯華> おっさんかき分けられる筋力がまずあるのか怪しいし、そもそもその歳で痴漢で捕まることある…？聞いたことないんやけど…   (2024/12/17 08:13:59)

エロガキ♂13Al> えっ、じゃあ触っても黙っててくれるということ……？（どきどき）痴漢プレイのお誘いなんて……（ぽっ）   (2024/12/17 08:15:36)

椎名唯華> まぁ、そうなるか…おっさんのお尻とかキンタマ触ってても内緒にしといてあげる♡(しー)   (2024/12/17 08:16:24)

エロガキ♂13Al> なんというぜったい安全領域……！　お尻を撫でられるおっさんの反応を楽しもうと言うのか……っ！？   (2024/12/17 08:20:23)

椎名唯華> だから言ったろ〜？おっさんかき分けられる筋力なさそうって…。言うてあたしもどのおっさんが痴漢されてるとか知らんし、反応気にするより足の踏み場なさそうでそんな余裕ないかも知れんわ   (2024/12/17 08:22:13)

エロガキ♂13Al> じゃあ満員電車乗るの辞めよう！　誰も幸せにならない！　暖かい部屋にいるのがいちばん……。   (2024/12/17 08:23:34)

椎名唯華> けど、乗らないと仕事行けんしなぁ…それ言えんのガキの頃だけやで？毎朝暇そーにしてるけど、不登校なん？中学の勉強サボると割と人生終わるで…！   (2024/12/17 08:25:05)

エロガキ♂13Al> せ、説教されてる……！　毎朝じゃないし、そのへんはあまりツッコんだらややこしくなるから心の防壁を展開していきたい。……不登校ではない、ですはい。大丈夫。（大丈夫？）   (2024/12/17 08:27:29)

椎名唯華> 最近のガキはマセてるんやなぁ…学校でATフィールドとか習うん？実は年齢サバ読んどるんとちゃうんか〜？(にやぁ)　世間はクリスマス前だってのにこんなとこでエロガキのままクリスマスとか寂しくないん？   (2024/12/17 08:32:35)

エロガキ♂13Al> 年齢のさば読みについてそっちからいじられるのはかなり心外な気持ちになってます！（手を上げて意見）すごい煽られてる……！　くすん。そりゃまあ、寂しいのは寂しい……（弱い）   (2024/12/17 08:34:23)

椎名唯華> ふふん、あたしらはいーの。自分はアドバンス知ってて年齢上なのに知らない人とか居る事務所やし、今更過ぎんで？時空のねじれか何かが起きてんのよ、きっと。　まー、ここでクリスマスパーティとかする場所じゃないと思うしなぁ…傷舐めんのも難しいと思うわ！舐め合えるような連中は居そうやけども
  (2024/12/17 08:38:55)

エロガキ♂13Al> エロガキも時空のねじれの中で生きる儚い存在ということでひとつ、納得してもらいたい。（手もみ）エロガキを見下されている……！　ぐむむ。あんまり言い返せない。いいもん、勝負に勝ったときはあんなところやこんなところをナメさせてもらうし……（ダメそう）
  (2024/12/17 08:42:55)

椎名唯華> 納得できんなぁ、そういう年齢設定は守ってもらわな…そういうシチュエーション期待してきた人萎えて帰るで？マジで(けらけら)　ええよ。ポケポケ最近ハマってん。あたしと勝負して勝てたらなんでもしたるよ？その代わり本気でぶちのめしにいくかんな…？(腕まくり)
  (2024/12/17 08:45:25)

エロガキ♂13Al> 突っつかれなきゃ表層はなんとかするんですけど……！（ぶーぶー）　……ここの勝負だとサイコロになるけど！　今なんでもするって言ったこと忘れないでくださいね！（お約束）   (2024/12/17 08:49:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/17 08:52:14)

エロガキ♂19b ◆> ユニバーーーース！！！！...2人ともおはよう！！朝から元気な俺だよ！！   (2024/12/17 08:53:02)

椎名唯華> あまいあまい、突かれても揺らいだらいかんよ。そんなメンタルだと炎上するから(チッチッ)　その勝負するんならさ、そっちの部屋いくやろ？ここならそれを強制出来んからな〜、残念だったね…！忘れるわけないやん、あたしから売った喧嘩やし！  
(2024/12/17 08:53:08)

椎名唯華> おはしいな〜。おー、グリッドマンか〜   (2024/12/17 08:53:32)

エロガキ♂13Al> それも全部跳ね返って……いや、そういうのを乗り越えて今があるのか。すごいなー。（尊敬）もちろんそっちの部屋でそっちの勝負をしますよ……！ってケンカ売っといて強制できないバリアで防ぐ……だと！？　こやつ無敵か！？   (2024/12/17
08:55:13)

エロガキ♂13Al> おはよーございまーす。   (2024/12/17 08:55:20)

エロガキ♂19b ◆> 唯華ちゃんとは初めまして～...よくいる人ですよー。   (2024/12/17 08:55:44)

椎名唯華> バリア貼っとらんし！ほれほれ、こっちですよ〜(ボケボケへ誘導)こっちはガラ空きよ〜   (2024/12/17 08:56:49)

椎名唯華> 知ってる、毎日居るよね。こっちのエヴァ知ってる13歳と一緒で毎日見るわ！   (2024/12/17 08:57:32)

エロガキ♂13Al> アプリ入れるところからはじめないといけないし、別の部屋や形式への移行は……やめとこう！   (2024/12/17 08:59:15)

エロガキ♂19b ◆> おやおや～...知られてたようですねぇ、、なら色んな子をパクパク食べてるのも知ってたり？...ちなみにエヴァは綾波が好きです！！...従順な子っていいよね。調教したい...   (2024/12/17 08:59:35)

椎名唯華> ふふん、ゲーム部屋への移行も同じことじゃん？何のためにここに来たん？ってなりかねんよ。そのつもりならここにはおらんて   (2024/12/17 09:01:43)

椎名唯華> あー、知ってる知ってる。我が子を喰らうサトゥルヌスみたいに頭からぱっくりいってるよね、マジ怖いわ〜。ここのエロガキって頭おかしいのしかおらんの…？   (2024/12/17 09:03:01)

エロガキ♂19b ◆> そこまでいっちゃう？...食べるといっても性的なんだけどさ...頭がおかしいのは否定しない、、ここにいるときは基本エッチなことかゲームのことしか考えてないからね！   (2024/12/17 09:05:00)

エロガキ♂13Al> 少なくともアプリの遊び相手を探すために来たわけではない……かな！　厳密なルールは分からないけど、分からない時は自分の判断で決めることにするね！　なので、ポケポケの勝負は受けられません。他の人が受けて遊びに行く分には見送るよ。  
(2024/12/17 09:06:18)

椎名唯華> あ、そうなん？カニバリズムキメてんのかと思ったわ。クールー病には気をつけないといかんよ。それはそれでいいんでない？んで、おすすめのゲームとかあるの？   (2024/12/17 09:06:32)

エロガキ♂19b ◆> カニバリズムなんてするかぁ！！...俺の好物は女の子の恥ずかしがる顔！あと赤面～...苛めたくなっちゃうよねー！...おすすめのゲーム？、、ホヨバのゲーム全般に、モンハン...ガンダムに、カカロット...ELDEN
RINGにダークソウルシリーズにetc....ちなみに来年出るメカブレイクもおすすめだよ！！東京ゲームショウでさわってきたけどカスタムしてるだけでも超楽しかった！   (2024/12/17 09:09:23)

椎名唯華> あたしもそんな相手探しに来たわけじゃないし、おちょくっただけやで。でも、謝らないよ！！   (2024/12/17 09:09:33)

椎名唯華> なるほど…イジメたくなる…。足先からちょっとずつ食べてくとか…？いやぁ、凌遅刑やん…。ふぅん…この部屋にあれだけ来ててもゲームする暇あるんやね。むしろ、何もしとらんと思ってたわ！まー、そのへんのメジャータイトルはさ…あたしもチェック済みだし、もっとマイナーなやつないん？インディーズとか同人とか
  (2024/12/17 09:11:57)

エロガキ♂13Al> そっかぁ……。うーんでも闘争心はちょっと火がついたので、本部屋行ってこよう！　それじゃあまたっ！   (2024/12/17 09:13:05)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/17 09:13:07)

椎名唯華> いってらー   (2024/12/17 09:13:22)

エロガキ♂19b ◆> 闘争心？...アーマード・コアかな？、、マイナーなやつだとね～...お兄さんが絶賛作ってるゲームとかかなぁー、、これでも東京ゲームショウに出展手前まではいったのだ...(出展できてないんかい！！)来年こそは！！  
(2024/12/17 09:14:17)

エロガキ♂19b ◆> 13AIくんはいってらっしゃいー！   (2024/12/17 09:15:27)

椎名唯華> それ売ってないやつじゃん？買えるやつがいいのよ！遊べなきゃ意味ないし！   (2024/12/17 09:16:31)

エロガキ♂19b ◆> そうだね～、、なっとくいかなかったから消して新しいの作ってるし...マジでマイナーだと...そうだなぁ、、昔のゲーム。大手ではあるけど埋もれてしまったゲーム、、エクストルーパーズは知ってるかい？   (2024/12/17
09:17:53)

椎名唯華> あー、聞いたことあるなぁ…DSか。オンラインサービス終わったからソフト探さないとダメな奴か…！中古ソフト見つかってもロム壊れててエラー吐くの怖いんよなぁ…妖怪ウォッチとかマジでないもん   (2024/12/17 09:19:58)

エロガキ♂19b ◆> 3DSだねぇ～、、まじのマジで神ゲーだよ！妖怪ウォッチは全部あそんだなぁ...255レベとかメッチャな懐かしい～   (2024/12/17 09:22:15)

椎名唯華> DSってそういうソフト多いよなぁ、下手に2画面にしたせいで移植とかだるそうだし。最近は何遊んだん？   (2024/12/17 09:26:18)

エロガキ♂19b ◆> 最近はマイナーなのは遊んでないんだよね...ギルティギアとか、、それこそスターレイルとかその辺ばっか。新しいゲームを買いたいけどやりたいのが多すぎてなにから手をだせばいいのかって状態～   (2024/12/17 09:28:34)

椎名唯華> 積みゲーするよりマシだよ。あたしとか買ってやらないやつけっこーあるし。やる時間とかクリアまでの時間とか考えたら億劫になるってのもあるんだけど。丸々2日くらいやってクリアとかくらいのボリュームでおなしゃす…！   (2024/12/17
09:31:01)

エロガキ♂19b ◆> 丸々2日...コードヴェインとか？さすがにしたことあるかな？   (2024/12/17 09:32:17)

椎名唯華> 知ってる知ってる。マスク取れないから買わなかったやつだ…！Steam版でMOD入れないとダメらしくてなー   (2024/12/17 09:34:02)

エロガキ♂19b ◆> 拠点にいるときはマスクとれるから...死にゲーだけど、初心者でもやりやすいゲームだからおすすめだよ～、、同行者がほんとに強い！！   (2024/12/17 09:35:09)

椎名唯華> 戦闘中外させろー！設定を忠実に守ってるのだけは分かってたよ。さてと、あたしもそろそろ戻ろっかな。んじゃまたね〜   (2024/12/17 09:38:36)

おしらせ> 椎名唯華さんが退室しました。  (2024/12/17 09:38:44)

エロガキ♂19b ◆> 外したら堕ちちゃうから！...っと、、またね～！！   (2024/12/17 09:39:05)

エロガキ♂19b ◆> そして1人のお時間っと...平日の朝、、お仕事や学校とみんな忙しいよねぇ。この時間だとなおさら、、遊んでくれる女の子がいると嬉しいけどこの時間に求めるのは強欲かな？   (2024/12/17 09:43:26)

エロガキ♂19b ◆> でもどうせなら遊びたいよくはある...あとで突撃しよっと、、でも...さすがにここで燻ってるのもあれだし、、もう少しだけのんびりしたらいこうかな   (2024/12/17 09:51:05)

エロガキ♂19b ◆> さて、、ではではお邪魔しましたってやつかな！！またくるねー！！   (2024/12/17 10:04:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/17 10:04:21)

おしらせ> フォフォさんが入室しました♪  (2024/12/17 12:23:50)

フォフォ> こんにち...は...久しぶり...に来てみた....よ...   (2024/12/17 12:24:56)

フォフォ> あんまり皆...いないのかな...休み時間に来てみたけど...また時間があるときに...くるね...   (2024/12/17 12:42:00)

おしらせ> フォフォさんが退室しました。  (2024/12/17 12:42:06)

おしらせ> 花海佑芽さんが入室しました♪  (2024/12/17 12:42:37)

花海佑芽> こんにちは！　と思ったら入れ違いでした（しょぼん）   (2024/12/17 12:43:29)

おしらせ> エロガキ♂18hxさんが入室しました♪  (2024/12/17 12:48:27)

エロガキ♂18hx> こんにちは～   (2024/12/17 12:48:40)

花海佑芽> こんにちは！   (2024/12/17 12:49:40)

エロガキ♂18hx> はじめまして！   (2024/12/17 12:50:01)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/17 12:50:18)

エロガキ♂18hx> こんにちは～   (2024/12/17 12:50:33)

エロガキ♂13Al> 泣かないで！　キミには笑顔が似合うよ！　でも泣いてる顔も興奮するよね（台無し）   (2024/12/17 12:50:33)

エロガキ♂18hx> 確かに、台無し(笑)   (2024/12/17 12:51:16)

花海佑芽> ご丁寧にありがとうございます！　休み時間があとちょっとなので入れ替わり気味になりますが、よろしくお願いします！   (2024/12/17 12:51:42)

エロガキ♂18hx> お昼休みですからねー（ｽﾞﾙｽﾞﾙ）   (2024/12/17 12:52:13)

エロガキ♂13Al> 会ったばかりなのにお別れなんて運命に引き裂かれるタイプのやつ……！   (2024/12/17 12:53:10)

花海佑芽> 返事を考えてるうちに時間が……余裕のある時にまた来ます！（どたばた）   (2024/12/17 12:55:44)

おしらせ> 花海佑芽さんが退室しました。  (2024/12/17 12:55:48)

エロガキ♂18hx> はーい、お疲れさまです～   (2024/12/17 12:56:02)

エロガキ♂13Al> 困らせちゃった。ごめんねー……忙しいことであるなあ。   (2024/12/17 12:56:14)

エロガキ♂18hx> しゃーないって   (2024/12/17 12:56:35)

エロガキ♂13Al> 仕方ない……（ふにゃふｈにゃ）（食後の眠気）   (2024/12/17 12:58:00)

エロガキ♂18hx> 食べたら眠くなる…わかるわ～   (2024/12/17 12:59:30)

エロガキ♂13Al> なぜ眠くなるのか、なんのために眠くなるのか、私たちはどこに行くのか……   (2024/12/17 13:03:02)

エロガキ♂18hx> なんか、悟りだしたぞ…まぁ、血糖値が関係してると聞いたことがある   (2024/12/17 13:04:00)

エロガキ♂18hx> ふぅ、ごちそうさまでした   (2024/12/17 13:06:22)

エロガキ♂13Al> 血管の中でも何かが起きている！（わかってない）昼になると時間がゆっくり流れるようになる……   (2024/12/17 13:06:54)

エロガキ♂18hx> まぁそんなもんじゃない～？（ﾉﾋﾞｰ）   (2024/12/17 13:07:21)

エロガキ♂18hx> さて、食後の運動ー   (2024/12/17 13:15:26)

エロガキ♂18hx> またきますー   (2024/12/17 13:15:29)

おしらせ> エロガキ♂18hxさんが退室しました。  (2024/12/17 13:15:32)

エロガキ♂13Al> いってらっしゃいー   (2024/12/17 13:15:37)

エロガキ♂13Al> 特に話すことはないけど物寂しいこの感じ……   (2024/12/17 13:19:47)

エロガキ♂13Al> 出まーす。さらば！   (2024/12/17 13:41:10)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/17 13:41:11)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/17 21:09:31)

エロガキ♂14C ◆> こんばんはーっ。いろんな人が来てた形跡はあるけど、見事に僕がタイミング合わないんだと思わされる…！ぐぬぬ。   (2024/12/17 21:10:08)

エロガキ♂14C ◆> 流石に今日2回空振りしちゃってるし、誰かに誘われない限りは流石にゲーム部屋に行く気になれないかなー。   (2024/12/17 21:16:47)

エロガキ♂14C ◆> お話はしたいけど独り言のトークデッキなんてそんなにないんだよねー、むぅ。   (2024/12/17 21:23:52)

エロガキ♂14C ◆> 長々居座っても仕方ないしね、またねー。   (2024/12/17 21:31:41)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/17 21:31:52)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/18 00:57:31)

エロガキ♂13Al> 【仮】の部屋の待機ルールが変わってるんだなーって思いました！（25分ルールから文言が変わってたんだなーっていま気付いたのだった）   (2024/12/18 00:58:25)

エロガキ♂13Al> もう一回入ろうかと思ったんだけど連続待機やめようね的なことが書いてあったのでこっちにやってきたのだった。べ、別に寂しいわけじゃないし……（ごにょごにょ）   (2024/12/18 01:02:55)

エロガキ♂13Al> 1時過ぎてた！　寝ます！   (2024/12/18 01:25:25)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/18 01:25:25)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/18 01:36:48)

エロガキ♂19b ◆> こんばんはー！！...誰もいなさげかなー？(ちらり)   (2024/12/18 01:37:09)

おしらせ> エロガキ♂12dさんが入室しました♪  (2024/12/18 01:41:05)

エロガキ♂12d> こんばんはー   (2024/12/18 01:41:17)

