/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月13日 22時03分 ～ 2024年11月14日 21時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/13 22:03:22)
胡桃 ◆> (敢えて何も知らない顔しといた。下手な口笛吹いてそっぽ向いたり、長い髪の毛くるくる指先で弄んでみたり、)   (2024/11/14 19:34:44)

ヒシミラクル> (もふもふしたり、むちむちクッションとして使う分にはちょうどいい塩梅かもしれないミラ子)   (2024/11/14 19:35:49)

エロガキ♂14C ◆> （露骨すぎるっ！！！）それはさておき、前にも少しあった前提シチュエーシャンありなゲームとかだとやっぱり多目的のほーがやりやすいんだろーなー。   (2024/11/14 19:35:58)

胡桃 ◆> つまり…ヒシミラクルさんはこれがデフォルト？なら余計に私のお世話(葬儀)は必要なさそうだね。仕方ないけど、いざって時は私を頼っていいよ〜♪プールで溺れようと、勢い余って何かに激突して…！とかでも、私は全然いいからね！(酷い接客スタイルを晒した、)
  (2024/11/14 19:36:22)

シンデレラ> シチュエーションはそこの彼女がとてもうまかったわよ...(胡桃さんを指差して)   (2024/11/14 19:36:42)

胡桃 ◆> うん？私？(なんの事？って流石に首傾げた、)   (2024/11/14 19:37:04)

エロガキ♂14C ◆> どんなシチュエーションでやったんだろ？（首傾げ）   (2024/11/14 19:37:30)

シンデレラ> セフレ？というものかしら...役になりきっていたと思ってるは♡....とても...えぇ、、とても美しかったは♡   (2024/11/14 19:38:27)

エロガキ♂14C ◆> せふれ……へぇ……？   (2024/11/14 19:38:59)

胡桃 ◆> (そんな事もあったなぁ、って顔)でも14C君が言ってるのはそういう話じゃなくて、ロケーションってことだと思うよ。例えば温泉、ホテルとかとかそういうことじゃない？   (2024/11/14 19:39:27)

エロガキ♂14C ◆> （むちむちクッション向きならきっとヒシミラクルおねーさんはソフレ。）   (2024/11/14 19:39:39)

シンデレラ> あら....そうなのね....   (2024/11/14 19:39:47)

ヒシミラクル> そうそう、逃げきれずに結局プールに蹴落とされたりするのがわたしの日常〜…色々碌な目に遭うけど、次の日はケロっとしてるから。ズブくて無駄に丈夫なのは唯一の取り柄で〜す…   (2024/11/14 19:40:10)

胡桃 ◆> 14C君の言ってるのはロケーションで、シンデレラさんの言ってるのがシチュエーションだと私は思うよ。(場所と演じる内容の差、的なね)   (2024/11/14 19:40:43)

胡桃 ◆> (まぁロケーションでシチュエーションが変わるとも言えるけど…。)   (2024/11/14 19:41:05)

ヒシミラクル> (入浴剤?(すっとぼけ)   (2024/11/14 19:41:11)

エロガキ♂14C ◆> ……ホテルじゃなくて旅館って書かれたら枕投げしたくなるとこだった！（罰ゲーム）その認識であってるー。<ロケーション的な   (2024/11/14 19:41:21)

ヒシミラクル> 旅館といえば、浴衣着崩しながら卓球で熱いバトルするやつ！……だめ？   (2024/11/14 19:42:23)

エロガキ♂14C ◆> （本当にソフレって入浴剤あったんだ……）   (2024/11/14 19:42:29)

胡桃 ◆> そんな唯一の取り柄を持ったミラクルさん！(急に距離感近くなるタイプの子、)大丈夫？お祓いでもしておく？私は無理だけど…あ、悪い子が憑いてる場合は私が何とかしてあげるから〜♪   (2024/11/14 19:42:49)

胡桃 ◆> 温泉！卓球！！大いに、あり！   (2024/11/14 19:43:07)

エロガキ♂14C ◆> （その内飛び交うのが白い球じゃなくて……やめとこ！）   (2024/11/14 19:44:24)

シンデレラ> (疲れたあとに....汗だくでするのね...素敵よ)   (2024/11/14 19:45:07)

胡桃 ◆> っと、脱線しそうだったけど。ロケーション的なものに拘りたいなら同席する人達の賛同を得ないとかな。私が管理してる方の部屋で、そういうのを指定する分にはNGとも書いてないしさ。あくまで、その場の人達が同意してくれるのを前提にね。  
(2024/11/14 19:45:12)

ヒシミラクル> 大丈夫、大丈夫。わたしは体が丈夫で、勇者並みに自動回復も早いから…桜の木の下に埋められたとしても、次の日にしれっと教室に現れるよ、きっと   (2024/11/14 19:45:46)

胡桃 ◆> さて！誰よりも後に来たくせに私はもう行くよ。相変わらず長居しないことがごめんね〜！   (2024/11/14 19:46:10)

エロガキ♂14C ◆> 同席者の賛同はごもっともだねー。やるならちゃーんと皆が楽しめる事前提でやりたいし。気が向いたら誘い合わせでやるとかかなー？   (2024/11/14 19:46:17)

エロガキ♂14C ◆> おつかれさまー（てふりふり）   (2024/11/14 19:46:28)

ヒシミラクル> うん、いつもお疲れ様です…またねー   (2024/11/14 19:46:43)

シンデレラ> お疲れさま...また会いましょう♡   (2024/11/14 19:46:48)

エロガキ♂14C ◆> （汗だくなところで更に汁だくになっちゃうのいいよね……）   (2024/11/14 19:47:12)

ヒシミラクル> (激アツバトルをした後っていうのが更にいいよね…)   (2024/11/14 19:47:40)

胡桃 ◆> さよなら〜♪(お化け引っ捕まえてミラクルさんに放り投げた！しかし、通り抜けるだけだから痛くも痒くもない。悪戯しないと気が済む無い堂主でした、てへ、)   (2024/11/14 19:47:48)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/14 19:47:50)

エロガキ♂14C ◆> （まさに第二ラウンド……！）   (2024/11/14 19:48:13)

ヒシミラクル> 堂主さんに会えたのはメチャスゴらっきー、やっぱり朝の占いなんて信じちゃだめね…   (2024/11/14 19:48:36)

シンデレラ> 私もお風呂に入ろうかしら....貴方たちとはまた会えそうな気がするは...♡   (2024/11/14 19:49:33)

ヒシミラクル> (第2ラウンドはボールじゃない方でスマッシュするのね…)   (2024/11/14 19:49:42)

エロガキ♂14C ◆> いってらっしゃーい。お風呂かぁ、お風呂……（もんもん）   (2024/11/14 19:50:02)

ヒシミラクル> ゆっくりまったり入ってきてね〜…   (2024/11/14 19:50:03)

シンデレラ> 覗いたら....ふふっ、、さようなら♡   (2024/11/14 19:50:25)

おしらせ> シンデレラさんが退室しました。  (2024/11/14 19:50:27)

ヒシミラクル> 覗いたら…どうなる？   (2024/11/14 19:51:00)

エロガキ♂14C ◆> 蜂の巣。   (2024/11/14 19:51:12)

ヒシミラクル> 知らんのか   (2024/11/14 19:51:25)

ヒシミラクル> (意識がいつのまにか無くなってて気づいた頃にいつの間にか)夜が明ける   (2024/11/14 19:52:04)

ヒシミラクル> 蜂の巣じゃ夜が明けるどころか！永遠に夜だよ…！   (2024/11/14 19:52:24)

エロガキ♂14C ◆> シーンスキップされてる……！   (2024/11/14 19:52:25)

ヒシミラクル> ストーリーでジュエルだけゲットしたくて、軽々しくスキップボタンを押すかの如く…   (2024/11/14 19:53:31)

ヒシミラクル> 時を消し飛ばされるわけです   (2024/11/14 19:53:51)

エロガキ♂14C ◆> 残酷だよ……残酷すぎるよ……！でも石は欲しい（ぽちぽち）   (2024/11/14 19:54:05)

ヒシミラクル> ちゃんと後で見てあげてね……時間ある時でいいから……   (2024/11/14 19:54:38)

エロガキ♂14C ◆> ウマってあの辺ちゃんと見てこそだと思うし……でもね、大体気がつけば溜まってるんだよね……   (2024/11/14 19:55:20)

ヒシミラクル> うんうん、そのとーり……石は結構積極的にくれるよねー…(ガチャは……考えることをやめた)   (2024/11/14 19:56:36)

エロガキ♂14C ◆> ところでヒシミラクルおねーさんは雑談オンリー？ゲーム部屋は行く予定あったり？お誘いではなくて単に興味が！   (2024/11/14 19:57:51)

ヒシミラクル> わたし？うーん、どうだろ……？多分喋りに来てるだけだと思うけど、支援みたいのはしてみたいなー…なんて思ってたりするかな…   (2024/11/14 19:59:52)

エロガキ♂14C ◆> ふんふん、なるほどねー？ま、お喋りも楽しいしそれはそれでいいと思うんだー。……面子の半分、僕らエロガキだけどね！（トオイメ）   (2024/11/14 20:01:38)

ヒシミラクル> 半分はエロガキちゃんたちのためのお部屋なんだからいいんじゃないかなー。はぁ……喘ぎさえうまければ…(何の悩みだ)   (2024/11/14 20:03:36)

エロガキ♂14C ◆> ……悩みがすっっっごくそれはそれで切実な悩みではあるんだけど……！？（えっちなことするならきっと乗り越えないといけない壁）   (2024/11/14 20:04:51)

ヒシミラクル> うおー！とか、ぐおー！とか、ぎょえー！とか言っちゃいそうで……(目からハイライト消失)   (2024/11/14 20:05:35)

エロガキ♂14C ◆> なんか想像するとすごくシュールなんだけど。どんなタイミングでそんな声に……！？（生きて？頭ぽんぽん）   (2024/11/14 20:07:25)

おしらせ> 古賀小春 ◆vp1gp540pWaYさんが入室しました♪  (2024/11/14 20:08:41)

ヒシミラクル> ぬわーー！！とか言っちゃった日には、それってもうただのパパスさんだよね。何？お前、イク時にメラゾーマでも喰らったの？とかツッコまれそうで……多分その域に達していないんだろうね(ぽふぽふされた)   (2024/11/14 20:08:52)

ヒシミラクル> おこんばんわ〜…   (2024/11/14 20:09:32)

エロガキ♂14C ◆> こんばんはー、ってぬわー！？   (2024/11/14 20:09:55)

古賀小春 ◆> こんばんは〜（グリーンイグアナを抱えた女の子が入ってきました）   (2024/11/14 20:10:25)

ヒシミラクル> 突っ込まれながら、ツッコまれる…？え、ちょっと面白い……誰も付き合わなそうだけど！   (2024/11/14 20:10:54)

ヒシミラクル> ひょえええっ！？   (2024/11/14 20:11:06)

エロガキ♂14C ◆> 初めましてー、だけどはじめましてじゃない！（ややこしい）しかもペット同伴とか初パターン？   (2024/11/14 20:11:29)

古賀小春 ◆> ヒョウくんは噛んだりしませんから大丈夫ですよ〜（よしよし）   (2024/11/14 20:11:57)

エロガキ♂14C ◆> （ヒシミラクルおねーさんのそれ、もはやえっちというよりえっちなコメディレベルだよ……）   (2024/11/14 20:12:15)

ヒシミラクル> ペットか〜……それなら安心だねっ   (2024/11/14 20:12:28)

ヒシミラクル> (そういうのが好きな人なら合いそうだね〜)   (2024/11/14 20:13:15)

ヒシミラクル> (うん！いないね！)   (2024/11/14 20:13:33)

エロガキ♂14C ◆> 噛まれても痛くない、のかな……？（じー）   (2024/11/14 20:13:53)

ヒシミラクル> (そーっとイグアナちゃんに指を近づける)   (2024/11/14 20:14:16)

古賀小春 ◆> （ぺろぺろ）≫ヒシミラクルさん   (2024/11/14 20:15:09)

ヒシミラクル> ほわ〜…♡(瞬時に広がるキラキラ背景✨)   (2024/11/14 20:15:48)

エロガキ♂14C ◆> なんだかすごく癒し空間になってる……！   (2024/11/14 20:16:15)

古賀小春 ◆> ヒョウくん、お姉さんには懐いてますね〜 でもお兄さんはちょっと警戒してるみたいです〜   (2024/11/14 20:16:34)

エロガキ♂14C ◆> 僕まだ何もしてないのに……（ずーん）   (2024/11/14 20:17:05)

ヒシミラクル> 見た目がちょっと怖くても、愛嬌のあるところを見せてくれると可愛くみえるものなんだね〜   (2024/11/14 20:17:09)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/14 20:17:43)

エロガキ♂14C ◆> （仕方ないから代わりにヒシミラクルおねーさんに指先そーっと近付けてみるね。）   (2024/11/14 20:18:05)

古賀小春 ◆> 【ちなみにイグアナは(半)公式でドスケベ認定されてる強者です】   (2024/11/14 20:18:05)

ヒシミラクル> 第一印象から変えてみるとか…   (2024/11/14 20:18:10)

エロガキ♂19b ◆> こんばんはー！(床下からこんにちは！！)   (2024/11/14 20:18:16)

エロガキ♂14C ◆> （床板しっかり踏み込み）   (2024/11/14 20:18:32)

古賀小春 ◆> わあっ（目をぱっちり）びっくりしました〜   (2024/11/14 20:18:48)

エロガキ♂14C ◆> 【ドスケベイグアナ……】   (2024/11/14 20:19:04)

ヒシミラクル> (指を伸ばし、指先と指先をくっつけて)ET……！   (2024/11/14 20:19:08)

エロガキ♂19b ◆> ｸﾞﾊｯ!...酷いじゃないか！！(ｼｬｧｧｧｧ‼)   (2024/11/14 20:19:24)

ヒシミラクル> …こんばんわ、ワニワニパニックの真似？   (2024/11/14 20:19:30)

古賀小春 ◆> 【14Cくんのせいじゃなくて基本的に男はお呼びじゃないんですこのイグアナ】   (2024/11/14 20:19:41)

エロガキ♂14C ◆> （ヒシミラクルおねーさんの反応半分予想してたのにヒットしてお腹抱えて笑ってる）   (2024/11/14 20:19:49)

ヒシミラクル> 【ドスケベなんだ…イグアナとイク穴って確かに響きが似てるかもね(意味不明)】   (2024/11/14 20:20:18)

ヒシミラクル> 【女好きさんなんだー】   (2024/11/14 20:20:51)

エロガキ♂14C ◆> 【たまーにいろんな作品にいるよね、女の子にだけ懐く生き物しりーず。そこ代われ、的なやつ。僕が代わりにおねーさんのおっぱいに抱かれたいんだ！！！みたいな。】   (2024/11/14 20:20:56)

古賀小春 ◆> つ【座布団】≫ヒシミラクルさん   (2024/11/14 20:21:11)

ヒシミラクル> (ぴこぴこハンマーでぴこぴこ叩けばいいんだね！？)   (2024/11/14 20:21:32)

エロガキ♂14C ◆> あ。ゲーム部屋ににっくきあんちくしょーがいる（？）   (2024/11/14 20:22:03)

ヒシミラクル> (ワニワニというかもぐら叩きだったね、最近見ないねー)   (2024/11/14 20:22:16)

ヒシミラクル> わーい♪(座布団げっとー、下に敷いて座っちゃお)   (2024/11/14 20:23:14)

古賀小春 ◆> えっと、あぶなくなりそうなときは中で休んでるように言われてるので、お姉さんを呼んできますね〜   (2024/11/14 20:24:15)

おしらせ> 古賀小春 ◆vp1gp540pWaYさんが退室しました。  (2024/11/14 20:24:27)

ヒシミラクル> お姉さんがいらっしゃるのね〜   (2024/11/14 20:24:47)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/14 20:25:04)

エロガキ♂19b ◆> 危なくなる...のか？   (2024/11/14 20:25:05)

エロガキ♂14C ◆> 改めてクラリスおねーさんこんばんはー（てふりふり）   (2024/11/14 20:25:22)

ヒシミラクル> こんばんわ〜、お姉さん〜   (2024/11/14 20:25:29)

クラリス ◆> こんばんは〜   (2024/11/14 20:25:38)

エロガキ♂19b ◆> やっほー、こんばんは～   (2024/11/14 20:25:40)

エロガキ♂14C ◆> そーいや古戦場終わりだったっけ、お疲れ様だねー   (2024/11/14 20:26:25)

クラリス ◆> いざとなったら秒で駆けつけられるようにですね！（雑談部屋が危ないという意味ではない）   (2024/11/14 20:26:36)

ヒシミラクル> 危険な匂いがするほどお近づきになりたくなるのは何故だらう…(ただしプール、テメーはダメだ)   (2024/11/14 20:26:39)

エロガキ♂14C ◆> （空き缶からから）   (2024/11/14 20:26:54)

ヒシミラクル> やめてーーーー！！？   (2024/11/14 20:27:02)

エロガキ♂19b ◆> なるほど、、勝負...行きたいけど！！そろそろ飯が！ぐｯ....   (2024/11/14 20:27:23)

クラリス ◆> 昨日はさすがに精魂尽きてましたね…≫古戦場終わり   (2024/11/14 20:27:28)

エロガキ♂14C ◆> 人がちょこちょこ来てるけど、ゲーム部屋で寂しそうにしてる天使がいるから構いに行ってくるね！   (2024/11/14 20:27:51)

ヒシミラクル> 腹が減っては戦はできぬ、だね   (2024/11/14 20:27:54)

ヒシミラクル> いってらっしゃーい♪   (2024/11/14 20:28:11)

エロガキ♂14C ◆> いってきまーすっ   (2024/11/14 20:28:13)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/14 20:28:16)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (2024/11/14 20:28:21)

クラリス ◆> いってらっしゃいませ〜   (2024/11/14 20:28:37)

エロガキ♂19b ◆> 今からあと何人来ると思う？   (2024/11/14 20:29:34)

クラリス ◆> 最終的に3対3くらいになるかな？   (2024/11/14 20:30:34)

ヒシミラクル> この時間帯って結構人来るの…？   (2024/11/14 20:30:45)

エロガキ♂19b ◆> いがいと？ご飯食べ終わった子がきたりこなかったり   (2024/11/14 20:31:10)

クラリス ◆> 夜は盛りますね〜（いろんな意味で）   (2024/11/14 20:31:18)

ヒシミラクル> 確かにおゆはんを食べたいい頃合いかも〜   (2024/11/14 20:31:35)

ヒシミラクル> 2:3に2000マニー、だ！   (2024/11/14 20:33:14)

クラリス ◆> ヒシミラクルさんも駆けつけ準備しておいたほうがいいかもです！   (2024/11/14 20:33:21)

ヒシミラクル> ふぇ？えっ…？わたし？   (2024/11/14 20:33:38)

クラリス ◆> （支援のみという手もあるので）   (2024/11/14 20:33:58)

エロガキ♂19b ◆> お、こっちが増えたぞ！   (2024/11/14 20:34:03)

ヒシミラクル> (あ、それならいいかも♪)   (2024/11/14 20:34:10)

クラリス ◆> とりあえず私は行ってきます！   (2024/11/14 20:34:33)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/14 20:34:39)

エロガキ♂19b ◆> 行ってらっしゃ～い！   (2024/11/14 20:34:50)

ヒシミラクル> ぐっどらっくー！   (2024/11/14 20:34:57)

エロガキ♂19b ◆> これで2対2～   (2024/11/14 20:35:28)

ヒシミラクル> 人数アドバンテージに開きが出たら行った方がいいかな…？   (2024/11/14 20:35:32)

エロガキ♂19b ◆> それか、ミラクルちゃんが開きに行くのもありかも？   (2024/11/14 20:35:56)

ヒシミラクル> なるほど〜……でもフェアな状況を崩すのもアレだし、迷っちゃうね…   (2024/11/14 20:37:37)

エロガキ♂19b ◆> でも、ここでじっとしてるのもあれだしお兄さんは行くだけ行くんですねー！   (2024/11/14 20:37:56)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/14 20:37:59)

ヒシミラクル> わーお……   (2024/11/14 20:38:13)

ヒシミラクル> わかりました！いきますよー！！   (2024/11/14 20:38:28)

おしらせ> ヒシミラクルさんが退室しました。  (2024/11/14 20:38:31)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/14 20:45:57)

エロガキ♂15R ◆> (がちゃり)   (2024/11/14 20:46:04)

エロガキ♂15R ◆> こんばんは〜っ乗り遅れちゃったっ！   (2024/11/14 20:47:05)

エロガキ♂15R ◆> 観戦してよ〜とっ！   (2024/11/14 20:47:59)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/14 20:49:06)

おしらせ> ヒシミラクルさんが入室しました♪  (2024/11/14 20:49:42)

エロガキ♂15R ◆> (一瞬良い考えが浮かんだ…けど、まだ機ではないっ！)   (2024/11/14 20:49:46)

エロガキ♂19b ◆> お兄さん分は弁えてるんです。というわけで帰還ー！   (2024/11/14 20:50:05)

エロガキ♂15R ◆> お二人共こんばんは〜っ！19bさんおかえり〜っ   (2024/11/14 20:50:49)

ヒシミラクル> (出遅れて向こう正面に行ったところでいい感じで始まったので踵を返して帰ってきた感じのミラ子)帰還その2です   (2024/11/14 20:50:52)

ヒシミラクル> こんばんみゃ〜……   (2024/11/14 20:51:42)

エロガキ♂15R ◆> ヒシミラクルさんおかえりなさいませ〜っ   (2024/11/14 20:52:13)

エロガキ♂19b ◆> 全てを理解し部屋を後にしたけど...お兄さんの判断は正しかった！！いいバトルしてる～   (2024/11/14 20:52:34)

エロガキ♂15R ◆> い〜い勝負してますねぇ！   (2024/11/14 20:52:44)

ヒシミラクル> あ、復帰した…   (2024/11/14 20:53:00)

エロガキ♂19b ◆> いけ！15R君が突撃する番だ！(無茶振り)   (2024/11/14 20:53:14)

ヒシミラクル> 支援するチャンス！   (2024/11/14 20:53:25)

エロガキ♂19b ◆> ここにきてダブルリーチ！ここで颯爽と現れたらかっこいいぞ！   (2024/11/14 20:54:13)

エロガキ♂15R ◆> ここから参加するのはやめとくっ！   (2024/11/14 20:54:30)

エロガキ♂19b ◆> いやお前ら負けるんかいーーーー！！！   (2024/11/14 20:54:56)

ヒシミラクル> 流れ早すぎてズブいわたしにはタイミングが見出せない〜…   (2024/11/14 20:55:00)

エロガキ♂15R ◆> きっと行っても間に合わなかったよっ！   (2024/11/14 20:55:43)

ヒシミラクル> でもいい勝負だったねぇ   (2024/11/14 20:55:55)

エロガキ♂19b ◆> 判断が遅い！(叩くわけにもいかないので机ペチペチ)   (2024/11/14 20:56:37)

エロガキ♂15R ◆> あの内容で負けても悔いは無いよ…きっとっ   (2024/11/14 20:57:52)

ヒシミラクル> 参加するっ！って心の中で思ったならッ!その時スデに行動は終わっているんだッ!……ってやつかな？   (2024/11/14 20:58:20)

エロガキ♂19b ◆> 決めた瞬間に動かないとね！！一瞬でも迷えば終わりなのだ....さながら、勝ったときに誰を食べるか迷うとき、、スッと決めれるか否かで変わるのと同じように、、   (2024/11/14 20:59:32)

ヒシミラクル> 決断する事に至っても、エンジンのかかりがひじょーに遅いわたしはどうすればいいですか！   (2024/11/14 21:01:06)

エロガキ♂19b ◆> プールに連れていきます(無慈悲)   (2024/11/14 21:01:44)

ヒシミラクル> Σそんな殺生な！？   (2024/11/14 21:02:08)

エロガキ♂15R ◆> (恒例のフリーズぼく)   (2024/11/14 21:02:28)

エロガキ♂19b ◆> そしてお菓子もスイーツもとりあげます！！   (2024/11/14 21:02:40)

ヒシミラクル> ペナルティエグくないですか！？わたし、そんなことされたらヒシミラクルじゃなくてヒンシミラクルになっちゃうよ！？   (2024/11/14 21:03:48)

エロガキ♂19b ◆> なんなら目の前で食べちゃうのもありかも...それが嫌ならさっさと決める！！OK？   (2024/11/14 21:04:36)

エロガキ♂15R ◆> 鬼畜お兄さん…   (2024/11/14 21:04:59)

ヒシミラクル> わたしなんて食べても美味しくないよ〜……お、おーけーおーけーのおーけー牧場です   (2024/11/14 21:06:11)

エロガキ♂19b ◆> わかってなさそう...よし今すぐプールに連れていこう！！この時間でもやってる温水プールを知ってるんだ！！   (2024/11/14 21:06:58)

エロガキ♂19b ◆> それと、俺は鬼畜じゃないぞ～！   (2024/11/14 21:07:15)

ヒシミラクル> Σな、何でそーなるんですっ！？温水プールじゃなくてせめてもうちょっと水温あげて温泉とかにしませんか！？   (2024/11/14 21:08:07)

エロガキ♂19b ◆> ついでにスタミナトレーニングもしましょうね～...食べてばかりだと無駄な贅肉増えちゃうぞ？(ケラケラ)   (2024/11/14 21:08:59)

エロガキ♂15R ◆> 鬼…   (2024/11/14 21:09:42)

ヒシミラクル> そこは大丈夫！わたしってプールサボってように見えるでしょ？トレーナーさんから逃げるために学園中走り回ってるから、ちゃんとトレーニングとして成立してるんだよ！！   (2024/11/14 21:10:25)

ヒシミラクル> …ってことにしておかない？   (2024/11/14 21:10:31)

エロガキ♂19b ◆> ほほう...んじゃ、今日はいくつスイーツ食べたのかな？正直にいってごらんお兄さん怒らないから(ニコニコ)   (2024/11/14 21:11:18)

ヒシミラクル> うーん、ハンバーガーが…4個分くらいかな？(両手広げて)   (2024/11/14 21:11:51)

エロガキ♂19b ◆> ほんとうに？   (2024/11/14 21:12:21)

ヒシミラクル> あとはあの…バケツサイズのプリンを、小盛程度に…   (2024/11/14 21:13:11)

エロガキ♂19b ◆> そっかぁ.....いこっか？(にっこり)   (2024/11/14 21:13:32)

ヒシミラクル> 待って待って！ウマ娘にとってそのくらいは普通なんだよぅ！！スペちゃんとかオグリちゃんのとか見た事ない！？わたしの比じゃないよ！？   (2024/11/14 21:14:16)

エロガキ♂15R ◆> た、食べ過ぎっ！？そ、そういうお姉さんなのかなっ…？   (2024/11/14 21:14:51)

エロガキ♂19b ◆> あの子達はそういう定めだからいいんだよ...15R君！判決をお願いします！   (2024/11/14 21:14:56)

ヒシミラクル> す、すいーつは別腹…だよね？   (2024/11/14 21:15:08)

エロガキ♂15R ◆> 別腹っ！！！   (2024/11/14 21:15:26)

ヒシミラクル> ぐえぇ〜！この裁判は本当に公正なんですか！？弁護士さんを呼んでください！   (2024/11/14 21:15:43)

エロガキ♂19b ◆> わかった！呼んできたよ！！　弁護士「異論はございません」   (2024/11/14 21:16:43)

ヒシミラクル> うわーー！やる気ない〜！！絶対に国選弁護士でしょ、その人ーー！！   (2024/11/14 21:17:23)

エロガキ♂19b ◆> というわけで....そろそろ判決の方を....有罪か無罪か、15R君！頼んだ！！   (2024/11/14 21:18:29)

ヒシミラクル> この場に、異議あり！！の一声を突きつける勇者はおらんのかー！   (2024/11/14 21:19:02)

エロガキ♂15R ◆> ん〜、こ〜れは有罪ですね〜   (2024/11/14 21:19:16)

ヒシミラクル> エロガキちゃん忖度マシマシ茶番判決じゃないですかーー！やだーー！！   (2024/11/14 21:19:55)

エロガキ♂19b ◆> 判決はでた！！さぁ！地獄のプール合宿へいこうじゃないか！！   (2024/11/14 21:20:34)

ヒシミラクル> いやだいやだぁ〜！(じたばたじたばた！ちなみにイヤダイヤダって名前の子本当にいるけど、わたしじゃないよ！)   (2024/11/14 21:21:45)

エロガキ♂19b ◆> んま、冗談なんですけどね～。ミラ子ちゃんはからかいがいがあって面白いねぇ～(ケラケラ)   (2024/11/14 21:22:55)

ヒシミラクル> 本当に連れ込まれたら、次の日どこかのガンダムの主人公みたいにプールの水面にうつ伏せでぷかぷか浮いて失神してる流れになりますよねっ！うん！冗談で助かりました！   (2024/11/14 21:23:55)

エロガキ♂15R ◆> (つづく)   (2024/11/14 21:24:22)

エロガキ♂19b ◆> あ、でも学校の方にはお便りおくっておいたから...明日からは覚悟しといてねー！んじゃ、お兄さんはご飯食べてくるね～   (2024/11/14 21:24:38)

ヒシミラクル> (しずむ)   (2024/11/14 21:24:41)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/14 21:24:42)

ヒシミラクル> 結局一つの結末に収束するあとらくたふぃーるどやつですか！？そんなバカな…ぁ……いってらっしゃいませぇ〜…   (2024/11/14 21:25:45)

エロガキ♂15R ◆> 行ってらっしゃいませ〜っ   (2024/11/14 21:26:08)

ヒシミラクル> 冷や汗かきまくったので、わたし、ちょっとご入浴してきますね〜…   (2024/11/14 21:26:54)

エロガキ♂15R ◆> は〜いっ！ごゆっくり〜っ   (2024/11/14 21:27:33)

ヒシミラクル> いってきまーすぅ〜   (2024/11/14 21:27:52)

おしらせ> ヒシミラクルさんが退室しました。  (2024/11/14 21:27:56)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/14 21:30:19)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/14 21:30:41)

エロガキ♂15M ◆> こんばんは〜♪そういえば14のCくんに呼ばれてたの思い出した！   (2024/11/14 21:30:49)

エロガキ♂14C ◆> 負けた負けたー！やってらんねー！（オレンジジュース（果汁100%）紙パックからごくごく）   (2024/11/14 21:31:23)

エロガキ♂15R ◆> お二人共お疲れ様でございま〜すっ   (2024/11/14 21:31:41)

エロガキ♂15M ◆> 自棄酒…じゃなくてジュースだね   (2024/11/14 21:31:49)

エロガキ♂15M ◆> おつかれさま〜15Rくん♫   (2024/11/14 21:32:05)

エロガキ♂14C ◆> というわけでこんばんは15Rくん。そして15Mくんは呼び出したけどもうどうでもいいからとりあえずカルピスの紙パック投げつけとくね。   (2024/11/14 21:32:46)

エロガキ♂15M ◆> なんとなくそんな気はしてた〜、さんきゅ〜☆(もらったカルピスパックをストローでﾁｭｳﾁｭｳ…)   (2024/11/14 21:34:01)

おしらせ> 古賀小春 ◆vp1gp540pWaYさんが入室しました♪  (2024/11/14 21:34:15)

エロガキ♂14C ◆> おっぱいに埋もれたい人生だったっ（座布団に顔ぼふん）   (2024/11/14 21:34:43)

古賀小春 ◆> こんばんは〜（さっきと同じくグリーンイグアナ抱えて）   (2024/11/14 21:34:49)

エロガキ♂14C ◆> こんばんはぁ……あ、でもイグアナくんは僕に近づかないでね。保護色だって気付いたから（？）   (2024/11/14 21:35:32)

