/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月11日 18時19分 ～ 2024年10月12日 01時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂r16> 今週に限れば人のこと言えないがきちんと寝ろよ？   (2024/10/11 18:19:06)
エキドナ ◆> 彼自身怪異の類じゃないのかな、、   (2024/10/11 20:59:31)

エロガキ♂19u> なんで！？   (2024/10/11 20:59:36)

エロガキ♂19u> 誰が怪異ですって？   (2024/10/11 20:59:50)

エロガキ♂16r> だって俺とエキドナ様怖い話あるのに19はないし()   (2024/10/11 21:00:44)

エロガキ♂19u> あぁ、そういうこと。それなら確かに僕自身が怖い話かもしれないね。   (2024/10/11 21:01:07)

エロガキ♂16r> そしてエキドナ様の怖い話すごい純粋に興味あるの俺だけ？   (2024/10/11 21:02:06)

エキドナ ◆> ボク自身のかい？   (2024/10/11 21:02:35)

エロガキ♂16r> そうそう   (2024/10/11 21:03:13)

エキドナ ◆> そうだね、、ならこんなのはどうだろう、ボクは幼い頃に同じ交差点で3度事故に合っているよ、ボクか悪いのもあるけど偶然と言うには回数がね、、と言う馬鹿な話でもしてみようか   (2024/10/11 21:05:04)

エロガキ♂16r> ほうほう   (2024/10/11 21:05:25)

エロガキ♂16r> 確かに2回目までならまだ有り得るかもだけど3回目は怪しいな   (2024/10/11 21:05:52)

エキドナ ◆> 何かの因果がありそうじゃないかい？以降避けているけれどね   (2024/10/11 21:06:24)

エロガキ♂16r> ありそうで困る   (2024/10/11 21:07:41)

エロガキ♂16r> もし今度いったらまた事故会うかもね   (2024/10/11 21:07:56)

エキドナ ◆> 今度は命かも知れないから寄り付くつもりは無いよ   (2024/10/11 21:08:26)

エロガキ♂16r> 無事？である保証無いもんな   (2024/10/11 21:08:56)

エキドナ ◆> 不思議で怖い話だと思うよ、ボクはね   (2024/10/11 21:09:29)

エロガキ♂19u> 輪廻転生前にそこで、とかも有り得るんですかねー。あんま詳しくないですけど。   (2024/10/11 21:10:01)

エキドナ ◆> 冗談だよ、気にしないでくれたまえ(くす、)   (2024/10/11 21:10:36)

エロガキ♂19u> あー……すみません…(目逸らし)   (2024/10/11 21:11:13)

エキドナ ◆> どうして謝るのかな？   (2024/10/11 21:12:12)

エキドナ ◆> また入りづらい話題になっているね、、   (2024/10/11 21:13:13)

エロガキ♂19u> いやぁ、しれっと闇深な発言したなと。   (2024/10/11 21:13:21)

エロガキ♂19u> じゃあ次は16r君のターン！   (2024/10/11 21:13:35)

エキドナ ◆> キミが妄想癖の酷い事はとっくに分かっているよ   (2024/10/11 21:13:48)

エロガキ♂19u> それ貶されてません？   (2024/10/11 21:14:03)

エロガキ♂16r> まぁ、振られたしやろうか   (2024/10/11 21:14:33)

エキドナ ◆> まさか、想像力は武器だよ、、(紅茶啜り、)   (2024/10/11 21:14:37)

エロガキ♂19u> エキドナさんの顔を見て吐く人が居るなら僕の思考を覗いた人も吐きそう(←)   (2024/10/11 21:14:47)

エロガキ♂19u> うへへ……(ちょろい。)   (2024/10/11 21:14:55)

エロガキ♂16r> 19は多分さっきの話的に6版のcocある程度は知ってるね。細かいところじゃなく触りが分かればいい   (2024/10/11 21:15:54)

エキドナ ◆> 異質な物の認知の拒絶反応で吐くんだと思うけれどね   (2024/10/11 21:16:27)

エロガキ♂16r> エキドナ様は動画見てるって言ってるし6版coc見てるかな？   (2024/10/11 21:16:55)

エキドナ ◆> 6版とかその辺りの単語は聞いたことはある程度かな、、   (2024/10/11 21:18:09)

エロガキ♂19u> あぁ〜…なんだっけ、それ系の話何か聞いた気がするんだけどな…。自分の理解の外にあるものを畏怖する、的なだったかな。＞エキドナさん   (2024/10/11 21:18:17)

エロガキ♂16r> あぁ、多分そこまで分かってたら多分大丈夫。今からするの判定の話だから   (2024/10/11 21:18:38)

エロガキ♂19u> てか僕しれっと知ってることになってて凄い。(なんも知らない顔)   (2024/10/11 21:18:41)

エキドナ ◆> 理解出来ないものを理解しようとした拒絶反応と言えば分かりやすいんじゃないかい？   (2024/10/11 21:18:56)

エロガキ♂16r> ふむ。では簡単に事前情報を言う前にcocって打つのめんどいからクトって表記するわ   (2024/10/11 21:19:25)

エロガキ♂16r> クトっていわゆる自由に頭の良さで自由に振れるポイントが出てくるんだけどそれを使って技能の成功率をあげるのさ   (2024/10/11 21:20:16)

エロガキ♂16r> で、その技能には技能ごとに初期成功率みたいなものが設定されてて初期成功率+自由に振ったポイントの合計で成功率が決まるんだ   (2024/10/11 21:21:46)

エロガキ♂16r> で、細かい話を省略するが合計成功率は大体7割から八割の間で組むってのをおぼいておいて欲しい。今から言う話に必要だから   (2024/10/11 21:22:55)

エロガキ♂16r> 本題に入るとして、ものを探したり出てきた本の内容が理解できるかってのは1d100で合計技能値以下の数値がでれば基本的に成功の扱いになる。何らかの理由で引かれたり足されたりするが関係ないので割愛   (2024/10/11 21:24:43)

エロガキ♂16r> 当然ものを探したりして生き延びる方法を探すからダイスは振る訳だ。失敗、そりゃ確率3割で失敗するなら失敗はそこそこする。で、次の何かを見つけるためにサイコロを振る、また失敗。…まぁ、ない訳では無いがかなり確率が低い   (2024/10/11
21:26:30)

エロガキ♂16r> またダイスを振る、失敗   (2024/10/11 21:26:59)

エロガキ♂16r> またダイスを振る、成功   (2024/10/11 21:27:10)

エロガキ♂16r> と、まぁ本来なら7割八割で成功するはずのものが基本的に失敗する   (2024/10/11 21:27:33)

エロガキ♂16r> あまりにも失敗しすぎてGMにお情けを貰うレベル   (2024/10/11 21:28:09)

エロガキ♂16r> 他の人のおかげで生き延びることは出来た。   (2024/10/11 21:28:24)

エロガキ♂16r> けどあまりにも失敗が目立ったから6割以上の成功率のダイスの判定の数を数えてあくまで成功率として出してみたんだ   (2024/10/11 21:29:11)

エロガキ♂16r> 成功回数/判定回数 ってね   (2024/10/11 21:29:30)

エロガキ♂16r> 6割も混ぜたからそりゃある程度低めにはなる。数え忘れとかもあって多少狂ってるだろう。けどね   (2024/10/11 21:30:19)

エロガキ♂16r> 32.4%しか成功しないってどういうことだい？   (2024/10/11 21:30:41)

エキドナ ◆> 、、、   (2024/10/11 21:31:13)

エロガキ♂16r> ってお話   (2024/10/11 21:31:17)

エキドナ ◆> 良いかな？   (2024/10/11 21:31:27)

エロガキ♂16r> どーぞ   (2024/10/11 21:31:40)

エキドナ ◆> それは単純な話で、ハズレ、は減らない事に因果関係があると思うのだけれど、、   (2024/10/11 21:31:59)

エキドナ ◆> 1回ごとに100の中の60を引ければそれで良し、ハズレを引けばハズレの確率は落ちる、、これは分かるかな？   (2024/10/11 21:32:40)

エロガキ♂16r> 大丈夫   (2024/10/11 21:32:55)

エキドナ ◆> 99の中、ハズレが39になるから確率の落ちたハズレよりは当たりになる確率が高まる。が今回は違うだろう。   (2024/10/11 21:33:29)

エキドナ ◆> またハズレを戻してくじ引きをしているのと一緒でどれだけ引こうと60パーセントは変わらないんだ   (2024/10/11 21:34:05)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/11 21:34:31)

エキドナ ◆> 多少の上下はあってもそのくらいじゃないかな、、確率としては   (2024/10/11 21:34:34)

エロガキ♂19u> (自分が阿呆過ぎて何も分からず、部屋の隅で体育座りしてる。)こんばんはー。   (2024/10/11 21:34:50)

エロガキ♂12Ω ◆> やっほほーい。明日から三連休だー   (2024/10/11 21:34:52)

エロガキ♂12Ω ◆> んー、TRGPの話してんのー？   (2024/10/11 21:35:13)

エロガキ♂12Ω ◆> おっと、TRPGだった   (2024/10/11 21:35:44)

エロガキ♂16r> では、参考程度に1d100の期待値を言おう。多少ブレもあるが50程度だよ？   (2024/10/11 21:35:54)

エキドナ ◆> だと思っていたけど、どちらかと言えばソシャゲのガチャの理屈だったよ   (2024/10/11 21:36:12)

エロガキ♂16r> こんばんは、12   (2024/10/11 21:36:46)

エロガキ♂12Ω ◆> やっふい16兄ちゃん   (2024/10/11 21:37:04)

エロガキ♂12Ω ◆> 技能値60%は実質4割って聞くぞー   (2024/10/11 21:37:41)

エロガキ♂16r> 60ならね   (2024/10/11 21:37:49)

エロガキ♂12Ω ◆> 80でまぁ良いとこ5割？   (2024/10/11 21:38:19)

エロガキ♂16r> まぁ、あと   (2024/10/11 21:38:56)

エロガキ♂16r> 1d100で20以上の出せばいい判定２回して2回とも20未満だったこととかざらにあるね   (2024/10/11 21:39:35)

エロガキ♂12Ω ◆> 20%とか引く時は引くしそんなもんよ   (2024/10/11 21:40:30)

エロガキ♂16r> 実質理論は言い出したらその人の体感になるのでなんとも()   (2024/10/11 21:40:42)

エロガキ♂12Ω ◆> だからここのサイコロゲームの上振れ下振れと同じ様に考えりゃ良いよ   (2024/10/11 21:41:37)

エロガキ♂16r> あと実質理論は平均基準に絶対値にした時に同じこと言えるの？となるので()   (2024/10/11 21:41:44)

エロガキ♂16r> それはそう。したいのは私がダイス極端に弱いって話だったから   (2024/10/11 21:42:07)

エロガキ♂16r> さっきの話の1回じゃないからね、あんなの   (2024/10/11 21:42:31)

エロガキ♂12Ω ◆> うむ、そんなのたまによくあること   (2024/10/11 21:42:47)

エロガキ♂16r> あと10が極端に出る話する？1d10で   (2024/10/11 21:43:23)

エキドナ ◆> すまないね、少し外すよ   (2024/10/11 21:44:06)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/11 21:44:09)

エロガキ♂12Ω ◆> 出目高くて良かったじゃん   (2024/10/11 21:44:18)

エロガキ♂16r> 10出さなきゃいいのに10が3回に1回ぐらい出てたって話なんだけど   (2024/10/11 21:44:23)

エロガキ♂19u> (ここは理解者に託して僕はこっそり、窓から出ていくよ。(お手てふりふり、窓ﾋﾟｼｬｯ!))   (2024/10/11 21:44:38)

エロガキ♂12Ω ◆> おっと、エキドナ姉ちゃんいってらー   (2024/10/11 21:44:38)

おしらせ> エロガキ♂19uさんが退室しました。  (2024/10/11 21:44:41)

エロガキ♂12Ω ◆> 19兄ちゃんもおつおつー   (2024/10/11 21:44:53)

エロガキ♂16r> さて、これ以上しても仕方ないし終わるか。この話()   (2024/10/11 21:45:14)

エロガキ♂16r> 2人ともお疲れ様   (2024/10/11 21:45:26)

エロガキ♂12Ω ◆> ん、16兄ちゃんはフラグに愛されてるって事で   (2024/10/11 21:45:34)

エロガキ♂16r> 要らないんだよなぁ、やってるシステム的に   (2024/10/11 21:45:45)

エロガキ♂12Ω ◆> 展開的に映えるから   (2024/10/11 21:46:19)

エロガキ♂16r> タコの鷲掴みされて拷問された結果ニャルっぽいやつに救われたことあるからな()   (2024/10/11 21:46:51)

エロガキ♂12Ω ◆> それ単純に眷属化しただけじゃないん？   (2024/10/11 21:47:33)

エロガキ♂12Ω ◆> どっちもタコじゃん   (2024/10/11 21:47:47)

エロガキ♂16r> 不定形をタコと言いたくないなぁ()   (2024/10/11 21:48:19)

エロガキ♂16r> あ、ちなみにニャルっぽいと言った理由だけど、美形の褐色肌、赤目だった   (2024/10/11 21:48:49)

エロガキ♂12Ω ◆> あー、APPカンストしてたか   (2024/10/11 21:49:32)

エロガキ♂16r> 褐色赤目だけならセーフだったけど18ですって言われた時は絶望したよ()   (2024/10/11 21:50:04)

エロガキ♂12Ω ◆> 一目惚れで脳焼かれてて草   (2024/10/11 21:50:40)

エロガキ♂16r> ちなみに見た目シスターナイア()   (2024/10/11 21:51:01)

エロガキ♂12Ω ◆> 後ろ三文字でもう混沌としてるなー   (2024/10/11 21:51:58)

エロガキ♂16r> でしょ。けど見た目だけのミスリードも有り得たから   (2024/10/11 21:54:03)

エロガキ♂16r> 見た目シスターナイアだからって邪険にする理由もないし   (2024/10/11 21:55:06)

エロガキ♂12Ω ◆> いやそのAPPでミスリードは無理無理   (2024/10/11 21:55:14)

エロガキ♂12Ω ◆> 野良で沸かれても逆に扱いこまんない？   (2024/10/11 21:56:26)

エロガキ♂16r> 困るよ   (2024/10/11 21:56:35)

エロガキ♂16r> けど助けてもらったから雑に扱えんの()   (2024/10/11 21:56:52)

エロガキ♂12Ω ◆> タコより好感度高いの啓蒙拗らせた臭いんだけどｗ   (2024/10/11 21:57:30)

エロガキ♂16r> キャラは純粋な人として見てるから(助けたのも人がおらん時に普通にだから)   (2024/10/11 21:58:13)

エロガキ♂12Ω ◆> えー、タコが他端末的なポジでニャル様のマッチポンプ説あるんだけど   (2024/10/11 21:59:10)

エロガキ♂16r> なんとも言えんなぁ   (2024/10/11 21:59:46)

エロガキ♂12Ω ◆> 拷問で発狂して不貞の狂気出てない？精神分析(物理)行っとく？   (2024/10/11 22:00:25)

エロガキ♂16r> いらんいらん   (2024/10/11 22:00:38)

エロガキ♂16r> しかも拳で死にかけてる体力だからやめろw   (2024/10/11 22:00:54)

エロガキ♂12Ω ◆> おっけ、クリ出る様に乱数の女神様にお願いしとく   (2024/10/11 22:01:33)

エロガキ♂16r> やめろw   (2024/10/11 22:02:14)

エロガキ♂16r> と、ここらで辞めるか。クトの話   (2024/10/11 22:02:28)

エロガキ♂12Ω ◆> あーい   (2024/10/11 22:02:40)

エロガキ♂12Ω ◆> んじゃちょっとどっか遊び行ってくるー。何もなさそうだったら帰ってくるなー   (2024/10/11 22:03:45)

エロガキ♂16r> はいよー   (2024/10/11 22:03:51)

エロガキ♂12Ω ◆> ばーい   (2024/10/11 22:04:04)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/11 22:04:06)

おしらせ> 無言時間が25分を超えたため、エロガキ♂16rさんが自動退室しました。  (2024/10/11 22:29:02)

おしらせ> サトノダイヤモンド ◆6bEJgFcMrAさんが入室しました♪  (2024/10/11 22:35:18)

サトノダイヤモンド ◆> （確かに、罰と言うからにはあれくらいハードなものを与えた方がいいのかもしれない。そう思う覗き見サトノのご令嬢なのでした。その時、ふと閃いた！このアイディアは、キタちゃんとのトレーニングに活かせるかもしれない！ダメですか。）  
(2024/10/11 22:35:26)

おしらせ> サトノダイヤモンド ◆6bEJgFcMrAさんが退室しました。  (2024/10/11 22:35:33)

おしらせ> フォカロルス ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/11 22:50:12)

フォカロルス ◆> やれやれ…本当は控えたいんだけど、こればかりは致し方ないということにしようか。   (2024/10/11 22:50:33)

フォカロルス ◆> あぁ、初めに伝えておくよ。僕は今回水を差しに来たよ、自分で何をしてるのかとも思うけど今後の為にもね。   (2024/10/11 22:51:28)

フォカロルス
◆> 1つ。一部の人で盛り上がることしか出来なさそうな話題を続けるのなら、話の噛み合う人同士で移動するのが懸命かもしれないね。雑談部屋と称しておきながら、これだと不公平、或いは本末転倒じゃないか？なんて言葉はご最もだよ。けど、僕は可能な限り多人数が楽しんでいる所を見ていたいのさ。
  (2024/10/11 22:53:45)

フォカロルス ◆> 2つ。とはいえ…それについては僕の方から何も注記していなかったし、君たちの良心に任せたいという身勝手な理由もあったからね。それについては僕の過ちだ。ごめんよ、こちらの配慮不足だった。   (2024/10/11 22:56:03)

フォカロルス ◆> 3つ目は無いよ。ただ、今日は色々しなきゃいけないだろうと思っていたからね。僕に何か意見がある人、反論のある人は是非伝えて欲しい。可能な限りにはなるけど、僕達の方で改善していく努力はしていくよ。   (2024/10/11 22:57:29)

フォカロルス ◆> うん、この位かな？僕の役目はこれで終わりさ。後は…そうだね、画面との睨めっこは継続しておくよ。(くす)   (2024/10/11 22:58:50)

フォカロルス ◆> さてと…それじゃあ僕は裏方に戻ろうかな。今日は遊びに行くかもわからないけど。   (2024/10/11 23:00:37)

おしらせ> フォカロルス ◆Qe8wlfS40Uさんが退室しました。  (2024/10/11 23:00:40)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/11 23:04:53)

エロガキ♂13HL ◆> こんばんは…。部屋主さんいつも快適なお部屋にするために色々考えて下さりありがとうございます。おかげで楽しく遊ばせていただくことが出来てます……。(ぺこり)   (2024/10/11 23:05:58)

エロガキ♂13HL ◆> さてとちょーっと暗くはなりたくないけど自分のダメなところ沢山見えてちょっとやばかったですね…。ほんと皆さん気にさせてしまって申し訳ないです…。(まぁ気にしてないならむしろそちらの方がありがたいまでありますけど…)  
(2024/10/11 23:07:33)

エロガキ♂13HL ◆> ということで少しのんびりと過ごさせてもらいます♪   (2024/10/11 23:07:55)

おしらせ> エロガキ♂D18 ◆v/8rmrVKkEさんが入室しました♪  (2024/10/11 23:09:00)

エロガキ♂13HL ◆> あら、こんばんはですよ〜。対戦部屋行かなくても良かったんですか〜？(ちらり)   (2024/10/11 23:10:10)

エロガキ♂D18
◆> こんばんは…と言っても、部屋主さんに謝りたくて来たのですけども…確かに最近自分もハメを外しすぎていたなと感じてはおりました…一部の盛り上がりに配慮できず、自分だけ盛り上がってしまったのは申し訳なく思っております。快適なお部屋にするため、少々自分も色々改善していこうかなと考えておりますので、何卒…
  (2024/10/11 23:11:25)

エロガキ♂D18 ◆> 13さん、実をいうと自分はこれを言いに来たのが8割ではあるんですよね…それと、ゲームをする気持ちではなくてですねぇ…ゆったり、できたらな、と。   (2024/10/11 23:12:18)

エロガキ♂D18 ◆> …あぁ、なるほど…いえ、これは流石に…いえ、ゲームする気分じゃないのは本当なんですよね…残念ではあるのですが…   (2024/10/11 23:14:04)

エロガキ♂13HL ◆> そうでしたか〜。まぁしてしまったものはどうしようも取り消すことできませんし…次からこうしようって思えてるならいいんじゃないですかね…。なんて歳下が言うております……。(無視してくださーい)   (2024/10/11
23:14:05)

エロガキ♂13HL ◆> ……ゆっくりして行ってくださいね♪   (2024/10/11 23:14:27)

エロガキ♂D18 ◆> いえいえ、人のふり見て我がふり直せって言葉があるくらいですから…此方も気をつけて、身を引き絞めて、楽しむつもりですので。 ええ、まぁ…これが女性なら、話も弾むのですが…   (2024/10/11 23:15:30)

エロガキ♂13HL ◆> あっすみません…男の子です。ごめんなさい。   (2024/10/11 23:17:24)

エロガキ♂D18 ◆> いえ、むしろ13さんに対して申し訳ないと言ったつもりだったんです…！言葉足らずですいません！！本当に申し訳ない…！   (2024/10/11 23:18:35)

おしらせ> フォカロルス ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/11 23:20:35)

エロガキ♂13HL ◆> いや大丈夫ですよ。危うく落ちた方がいいのかなとは一瞬思いましたけどー   (2024/10/11 23:21:09)

フォカロルス ◆> そう肩肘を張って過ごす物じゃないよ。とはいえ…僕がまいた種ではあるけどね。   (2024/10/11 23:21:17)

エロガキ♂D18 ◆> 13さんだって女性と話したいだろうに、女性を待っているだろうに、って意味でした…！   (2024/10/11 23:21:18)

エロガキ♂13HL ◆> フォカロルスさんこんばんは〜   (2024/10/11 23:21:20)

フォカロルス ◆> D18、君は少し落ち着いた方がいい。(くす)   (2024/10/11 23:22:05)

エロガキ♂13HL ◆> 全然きにしないでくださいねー   (2024/10/11 23:22:08)

エロガキ♂D18 ◆> あ、フォカロルスさん…こんばんはです。言え、無自覚でやらかしていたと、言われて自覚したもので…誠に申し訳なく…！   (2024/10/11 23:22:12)

エロガキ♂13HL ◆> フォカロルスさんって…胡桃さんになるのかな？多分…(メタいことごめんなさい…)もしそうなら少しだけお話いいかな……？   (2024/10/11 23:22:43)

エロガキ♂D18 ◆> どうもこうなると、冷静さを失ってしまう…気を付けます   (2024/10/11 23:22:44)

フォカロルス ◆> あぁ、こんばんは。あまりこの姿で話す気はなかったんだけども…まぁ、少しくらいなら良いと思ってね。   (2024/10/11 23:22:49)

フォカロルス ◆> おや？僕のトリップと部屋主のトリップ、同じ物だよ(くす)   (2024/10/11 23:23:07)

エロガキ♂D18 ◆> なるほどです…いえいえ、では…他愛の無い、ご歓談をいたしましょうか…   (2024/10/11 23:24:17)

エロガキ♂13HL ◆> ですよね、一応間違ってたらどうしようかなと…艶事のお誘いでは無いのですが少し話したいことがあるので一瞬連れ去りよろしいですか……？   (2024/10/11 23:24:46)

フォカロルス ◆> 僕からD18の君にひとつだけ助言をするなら…もう少し普段から冷静さを身につけた方がいいかもしれないね。   (2024/10/11 23:24:55)

フォカロルス ◆> あぁ、構わないよ。僕から話しをする為に連れて行くこともあるのだから。   (2024/10/11 23:25:33)

エロガキ♂13HL ◆> じゃあ少しだけ……お部屋お作りしますね〜   (2024/10/11 23:26:06)

フォカロルス ◆> 誰を連れて行ったらいいかな？君の好みに…とは言っても、僕を含めて3人しか居ないけれどね。   (2024/10/11 23:26:18)

エロガキ♂13HL ◆> お作りしました〜お任せしますよ♪まぁ……胡桃さんかフォカロルスさんしかまだ知りませんけど〜   (2024/10/11 23:27:19)

エロガキ♂13HL ◆> 確認しましたのでこちら1度落ちさせていただきます(ぺこり)   (2024/10/11 23:28:00)

フォカロルス ◆> そうかい？それなら…うん、もう入れたからこちらは失礼するよ。   (2024/10/11 23:28:02)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/11 23:28:04)

おしらせ> フォカロルス ◆Qe8wlfS40Uさんが退室しました。  (2024/10/11 23:28:06)

エロガキ♂D18 ◆> かしこまりました。そのように気を付けさせていただきます……助言、有難うございます。ではまた。   (2024/10/11 23:28:10)

おしらせ> エロガキ♂D18 ◆v/8rmrVKkEさんが退室しました。  (2024/10/11 23:28:11)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/11 23:49:21)

エキドナ ◆> 落ち着いたから来たけれど、、こちらにも来ていたんだね。頭が下がる思いだね、流してしまうのも申し訳ないから少しこのままで居ようかな、、   (2024/10/11 23:55:13)

エキドナ ◆> 開始前の人数次第で支援だけなら行けるかな、、   (2024/10/11 23:59:06)

おしらせ> エロガキ♂17Kさんが入室しました♪  (2024/10/12 00:04:09)

おしらせ> フリーナ ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/12 00:04:15)

エキドナ ◆> これは支援に行くと罰まで引き込まれるね、、   (2024/10/12 00:04:18)

エロガキ♂17K> す。……なんかお疲れ？   (2024/10/12 00:04:24)

エキドナ ◆> おや、こんばんは   (2024/10/12 00:04:26)

エキドナ ◆> 調子が悪いだけだから気にしなくていいよ   (2024/10/12 00:04:45)

フリーナ ◆> ふっふん！こんばんはだね、僕はまだお茶会には参加出来ないけど(くす)   (2024/10/12 00:04:50)

エロガキ♂17K> と、同時。こんばんは、と。   (2024/10/12 00:04:55)

エロガキ♂17K> 女の子の調子が悪そうだと男は気にかけてやらないといけないって法律で決まってんだわ。嘘だけど。   (2024/10/12 00:05:35)

エキドナ ◆> そうかい、でも今日はお茶会そのものがお休みだから気にしなくていいよ   (2024/10/12 00:05:44)

フリーナ ◆> ログは流してもらって構わないさ。あれはほんの気持ちだからね、後は僕の方で…その、えーっと……お部屋の色々をしてくるから問題ないよ。   (2024/10/12 00:06:06)

エキドナ ◆> そんな法律あったらすごく楽だろうけれど、男の子側としては不条理じゃないかな？   (2024/10/12 00:06:22)

フリーナ ◆> それじゃ、2人ともまたそのうちにね。   (2024/10/12 00:07:01)

おしらせ> フリーナ ◆Qe8wlfS40Uさんが退室しました。  (2024/10/12 00:07:04)

エキドナ ◆> また気を使わせてしまってるかな、、すまないね。誰か来るまで置いておこうくらいの気持ちだったからそこまで深くは考えてないよ   (2024/10/12 00:07:05)

エロガキ♂17K> まあ女の子の調子が悪そうだと殴る側も気ぃ遣うじゃん？   (2024/10/12 00:07:19)

エロガキ♂17K> ああ、あれも管理側か。お疲れさん、いつもどーも。……トリップとかIPとか覚えないからなぁ…。   (2024/10/12 00:07:51)

エキドナ ◆> キミは変わらず傍若無人なのか自分に素直なのか、、少し面白く見えてきたよ   (2024/10/12 00:07:57)

エキドナ ◆> 支援は諦めておこうかな、、   (2024/10/12 00:08:24)

エロガキ♂17K> いやいや、ただの優しいお兄さんだよ。ちょっと男尊女卑主義なだけ♡   (2024/10/12 00:08:44)

エキドナ ◆> なら男の子には優しくしてあげることだね。それと主義についてはボクからは言葉を控えておくよ、ただの自論しか持ち合わせが無いからね、、   (2024/10/12 00:11:00)

エキドナ ◆> おや、、人数差が大変なことになるね、、   (2024/10/12 00:12:04)

エロガキ♂17K> してるって、いじめる理由もないし。生意気だったらアレだけど。はは、いーんだけどな自論でも。二人きりだよ、適当なこと話して気ぃ紛れるなら何でもどーぞ。   (2024/10/12 00:12:42)

エロガキ♂17K> ん？あー…応援行くなら急いだほうがいんじゃない？   (2024/10/12 00:13:10)

エキドナ ◆> ここで話す事でも無いから控えておくよ。また話す機会があれば言うこともあるかも知れないね。   (2024/10/12 00:13:19)

エキドナ ◆> いや、ぬか喜びさせる方が酷だろう、、ボクは人数が釣り合ったら支援に行こうと思ってるからそれまでは動くつもりはないよ   (2024/10/12 00:13:59)

エロガキ♂17K> ……案外アレな、エキドナちゃんって気遣い屋だな。   (2024/10/12 00:14:21)

エキドナ ◆> 褒めても今は本当に何も出せそうにないよ   (2024/10/12 00:14:57)

エロガキ♂17K> 別に全く褒めてるわけではないけども、苦労するなって思っただけ。   (2024/10/12 00:15:38)

エキドナ ◆> 皮肉だったのかい？すまないね、今は思ったより調子が悪いのかも知れない、、ボクが疲れる分にはボクで終わるから良いんだよ   (2024/10/12 00:17:06)

エキドナ ◆> 主の子が行ったかな、、あの子も大変だろうに、、   (2024/10/12 00:17:46)

エロガキ♂17K> 休んどけよ……。どーもここは無理する女の子が多いみたいで。   (2024/10/12 00:18:11)

エキドナ ◆> まだ大丈夫だよ。本当にダメならボクは言うさ   (2024/10/12 00:18:49)

エロガキ♂17K> 俺、いつかエキドナちゃんに勝負で勝ったらちゃんと雌として扱えるか不安になってきたな…。   (2024/10/12 00:19:53)

エキドナ ◆> おや、随分と気弱になったね。まず勝ってから言ってもらおうか？それとボクに気遣いは無用だよ。正直にボクはキミの思ってるほど弱くないと思うからね   (2024/10/12 00:21:18)

エロガキ♂17K> その調子悪いの治してから言えな。   (2024/10/12 00:21:46)

エキドナ ◆> 治せるのならすぐに治すよ   (2024/10/12 00:21:59)

エキドナ ◆> すまないね、言い方に棘があったかもしれない   (2024/10/12 00:22:50)

エロガキ♂17K> いや、そっちの方が俺は好き。   (2024/10/12 00:23:09)

エロガキ♂17K> どういう調子の悪さかは知らないけど布団包まって寝ときゃ大抵なんとかなんの。   (2024/10/12 00:23:19)

エキドナ ◆> 今本当に包まって丸まって何とかだよ、、本当に効きが悪いのは困るね、、   (2024/10/12 00:24:12)

エロガキ♂17K> 重病人じゃん……魔女って病気とかあんのな。   (2024/10/12 00:24:40)

エキドナ ◆> 病気ではないよ、魔女である前に乙女だからね、、   (2024/10/12 00:25:08)

エロガキ♂17K> ……んまあ、いいや。調子早く良くなるといいよな、俺のためにも。   (2024/10/12 00:27:24)

エキドナ ◆> 無理をするなと言うのなら先に主の子だけれどね、、ボクから言うなら、、   (2024/10/12 00:27:29)

エロガキ♂17K> それはそう。   (2024/10/12 00:27:38)

エキドナ ◆> こればかりは一生物だと思っているから諦めているけれどね、、   (2024/10/12 00:28:03)

エロガキ♂17K> ……まあでもエキドナちゃんのビジュアルで病弱系は似合うな…。   (2024/10/12 00:29:24)

エキドナ ◆> ボクは公式で腕立て出来ないからね、、   (2024/10/12 00:29:41)

エロガキ♂17K> 運動しろよ……。   (2024/10/12 00:30:03)

エキドナ ◆> 知識と魔法があれば大抵のことは何とかなるさ   (2024/10/12 00:30:35)

