/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月04日 10時49分 ～ 2024年11月04日 19時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

花海佑芽> おはようございます！（眠そうなのに挨拶がうるさい）   (2024/11/4 10:49:11)

エロガキ♂19b ◆> 今日は出目が弱い～。こんにちは～   (2024/11/4 15:20:25)

クラリス ◆> 負け組仲間の19bさんこんにちは！（もうちょっと言い方を考えてください）   (2024/11/4 15:21:13)

ロイヤルフォーチュン> こんにちはー！ 昨日から今日は調子良くない感じ？＞19くん   (2024/11/4 15:21:15)

エロガキ♂19b ◆> 調子悪目だよー、、そして我がモデルのクラリスちゃんではないか～！   (2024/11/4 15:22:08)

ロイヤルフォーチュン> いやーもーなんか私がいるほうが負けるじゃないかと思ってきちゃったわ。出目もぜんぜん振るわないしぃ！ もーっ！（ぷんすこ   (2024/11/4 15:22:22)

クラリス ◆> せっかくだし着替えてきますっ（しゅたたたたっと、白ベースに赤刺繍のワンピースに早着替え！）   (2024/11/4 15:23:38)

澁谷かのん> っはは、私は援護のふたりに助けられたよ〜   (2024/11/4 15:23:49)

ロイヤルフォーチュン> いっぱい汗ながしちゃったもんねー、いってらっしゃーい！＞クラリスさん　　こっちもそうなんだけどね。相手の援護がクリティカルしちゃったわー（たはー、って顔。援護ヴィルさんも1点取ったからすごいんだけど）＞かのんさん  
(2024/11/4 15:25:14)

クラリス ◆> たぶん今の連敗期を脱したら連勝ゾーンに入るやつですそれ≫フォーさん（戻ってきた！）   (2024/11/4 15:25:40)

エロガキ♂19b ◆> クラリスちゃん可愛い～ちゃんと着こなせてるよ～！！(キャーキャー！)   (2024/11/4 15:25:54)

ロイヤルフォーチュン> おかえり！　そうだったらいいんだけど！＜連敗ゾーン脱出っ   (2024/11/4 15:26:11)

クラリス ◆> わーいわーい、ありがとうございまーす！（喜び方が幼い17歳児）   (2024/11/4 15:26:33)

澁谷かのん> 私もまだ経験が浅いから分からないけど…できれば連勝したいよね〜   (2024/11/4 15:27:08)

エロガキ♂19b ◆> 負けるときと勝てるときの出目の差が結構酷いんだよなぁ...   (2024/11/4 15:28:25)

ロイヤルフォーチュン> したいよねー…… もーだいたい女の子が負けたらガキ共の餌食！って感じだしー（ｿﾚﾊ ｿﾚﾃﾞ 悪ｸﾅｲ ｹﾄﾞ（小声）   (2024/11/4 15:28:25)

クラリス ◆> でもせっかく本部屋が空いたので、リベンジ挑戦してきます！（めらめら）   (2024/11/4 15:29:13)

ロイヤルフォーチュン> まーダイスゲームってそーゆーもんだよね。と、バトルジャンキー！いってらっしゃいっ＞クラリスさん   (2024/11/4 15:29:38)

クラリス ◆> （もういっかい戦闘服に着替え直して、ダッシュ！）   (2024/11/4 15:29:50)

澁谷かのん> いやぁ、、私は何回やっても負けたくはないよ…   (2024/11/4 15:29:51)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/4 15:29:56)

エロガキ♂19b ◆> いこうと思ったけど、先客居るし女の子増えるならいこうかなー   (2024/11/4 15:30:13)

澁谷かのん> 止めるまもなく行っちゃったけど、大丈夫かなぁ、、   (2024/11/4 15:31:04)

ロイヤルフォーチュン> 勝ち続けたいけど勝つってなんだろう……ってなってる私……（まけいぬふぉーちゅん   (2024/11/4 15:31:19)

エロガキ♂19b ◆> 止まるんじゃねえぞ....   (2024/11/4 15:31:23)

澁谷かのん> 一度勝てばわかると思うけど…   (2024/11/4 15:31:57)

澁谷かのん> 前の部屋で負けたこともあるけど、歳下に〇されるとか…ほんっと屈辱の思い出…私は負ける気では入らないよ！   (2024/11/4 15:33:16)

ロイヤルフォーチュン> くー！ 勝負強さって天性のものあるからなー……　あ、やっぱ気迫が違うのかなぁ。負けてもいいやーって入るのと、勝つしかない！って入るのとじゃ、ぜんぜん違うっていうか   (2024/11/4 15:34:00)

エロガキ♂19b ◆> つまり年上に○されるのはいいってことぉ！？   (2024/11/4 15:34:28)

澁谷かのん> そういうわけじゃないよね、うん(暗い笑顔)   (2024/11/4 15:35:26)

ロイヤルフォーチュン> はははは♪　いやまー、相性とか、そのときの気持ち次第もあるのかも。   (2024/11/4 15:36:18)

ロイヤルフォーチュン> んー…… よし。クラリスちゃん援護に入るかな！ またねっ！   (2024/11/4 15:37:13)

エロガキ♂19b ◆> おっと、、失礼失礼！！かのんちゃんもロイヤルフォーチュンちゃんも可愛いからちょっとからかいたくなるんだよね～   (2024/11/4 15:37:16)

おしらせ> ロイヤルフォーチュンさんが退室しました。  (2024/11/4 15:37:17)

エロガキ♂19b ◆> いってらっしゃい～   (2024/11/4 15:37:48)

エロガキ♂19b ◆> お、、人数的に俺もいけそう！！いってくるね～！   (2024/11/4 15:38:24)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/4 15:38:27)

澁谷かのん> みんな行っちゃったかー、どうしよっかな   (2024/11/4 15:38:42)

おしらせ> 澁谷かのんさんが退室しました。  (2024/11/4 15:38:45)

おしらせ> 篠澤広 ◆CmCK1tn9X.さんが入室しました♪  (2024/11/4 15:42:08)

篠澤広 ◆> みんな戦いが一つ終わったらまた次の戦いに参加するんだ。ふふふ……思う存分戦えて、休日っていいね…♡   (2024/11/4 15:44:18)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/4 15:46:45)

胡桃 ◆> やっほー！皆元気そうでなによりだね〜…うんうん、元気なのはいいこと！   (2024/11/4 15:47:16)

篠澤広 ◆> 胡桃だ。こんにちは…♪   (2024/11/4 15:47:22)

篠澤広 ◆> 元気って言うか…お盛ん？……胡桃は元気だった？   (2024/11/4 15:47:57)

胡桃 ◆> あー…確かにそっちの方が正しいのかな？元気でお盛ん…つまり、持て余してるってことだね！私が元気だったかって？見ての通り！私は今日も元気いっぱいな堂主だよ！   (2024/11/4 15:49:44)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/11/4 15:50:00)

エキドナ ◆> わぁ、！(突然に彼女の後ろに現れて耳元で少し大きめの声を出してみて、)＞胡桃さん   (2024/11/4 15:50:03)

エキドナ ◆> こんにちは、、少しだけどお邪魔させてもらうよ、？   (2024/11/4 15:50:51)

篠澤広 ◆> うん、持て余せるのはいいこと。胡桃も元気ならよかった♪……わたしは久々にゲームに参加したけど、罰を与える側でも結構疲れるね…（ふらぁ…）   (2024/11/4 15:52:01)

胡桃 ◆> 私にその手は通用しないよ〜…？(澄まし顔。半眼を後ろに現れた魔女に向ければ嘲笑うようにお手を自分の気持ち口元に添えて、)   (2024/11/4 15:52:41)

エキドナ ◆> 次は魔石でも爆発させてみるよ、(苦々しい顔一瞬して、短い息吐いてから少し笑って、)＞胡桃さん   (2024/11/4 15:54:07)

胡桃 ◆> 広ちゃんは大丈夫〜？その様子だと…なんだか私の本業でお世話されちゃいそうじゃない？…やば、私今週ゲームに参加してない気がする！(ほんの出来心で広ちゃんの肩ちょん、ちょんちょん。)   (2024/11/4 15:54:15)

篠澤広 ◆> ……！（びくっ、大声に胡桃以上に反応して白目を剥きそうに）……こ…こんにちは…。ふふ…開幕から楽しませてくれる人…だね…♪（意識がトビそうになってた事に寧ろ恍惚とした顔をして）   (2024/11/4 15:54:58)

胡桃 ◆> 危ないから！私は怪我しても大丈夫だけど、そこの子とか…声だけで白目剥きそうになってるよ？(お顔の情緒が不安定…小さく欠伸漏らしながらこっちの魔女さんには頬をちょんちょん。)   (2024/11/4 15:56:19)

篠澤広 ◆> ふふふ……手しか動かしてないのに、全身の筋肉が痛くて…不思議…♡そうなんだ…結構よく参加してるイメージだった…。やっぱり忙しいんだね、堂主って。……んっ…んっ♡（罰を与えたばかりなのもあって敏感になってる体は肩を触られただけでも軽く声が出て）  
(2024/11/4 15:58:29)

エキドナ ◆> キミは、、いつかの時にここで妖しい雰囲気させていた子、、だね、？(記憶巻き戻して思い出してから表情見てちょっと考えて、)あまり激しい悪戯はしたいようにしているからご期待には応えられない、かも知れないね、？   (2024/11/4
15:58:44)

エキドナ ◆> ＞篠澤広さん   (2024/11/4 15:58:59)

篠澤広 ◆> うん、わたしは篠澤広。よろしく。……つまり、わたしの期待を裏切ってがっかりさせるんだ？……それはそれで鬼畜だね…♡（こうなったらもう無敵。何をされても快感に変えそうな勢いで）   (2024/11/4 16:01:21)

エキドナ ◆> またキミ1人の時にでもやるとするよ、(ほっぺ突かれてお返しで首筋に作った氷でも当てておいて、)＞胡桃さん   (2024/11/4 16:02:00)

胡桃
◆> 相変わらずな体質でむしろ謎に安心感あるよね…今度私の持ってる長柄(槍みたいなもの)を持たせてみる？ものの数分でバテそうだけど…。忙しいって程でもないから、そのうちバッタリ出会うかもよ〜？…どうしよう！突っついただけで反応が面白い…(今度罰部屋とかで同席したら合法的に咬み付いたりしても許されるかなって、ちょっと好奇心駆られてる。でも堪えた、ぐっっっと！！堪えた！)
  (2024/11/4 16:03:53)

胡桃 ◆> 冷たっ！？私になにか恨みでもあるの？(流石に体びくってした。この時期のそれはもう裁かれても仕方ないくらい非道な行い、抗議するような視線をエキドナさんに。)   (2024/11/4 16:04:59)

エキドナ ◆> キミが少し恐ろしく感じてきたけど、、生憎とボクはサディストじゃないからね、ただ強欲なだけの魔女だよ、、よろしくね、？今はエキドナの方が通りが良いのかな、、？(一呼吸置いてから気を取り直して、)＞篠澤広さん   (2024/11/4
16:05:23)

篠澤広
◆> そんな重そうな物、わたしの体が保つわけない…♡一振りで……ううん、振る前に倒れるに決まってる♡鬼っ♡……そっか。今日は興が乗ったから入ったけど、わたしもあんまりゲームに参加しないタイプだから…会えた時はよろしくね？（何かに耐えてる様子を見てきょとんと首を傾げながら）
  (2024/11/4 16:08:06)

胡桃 ◆> 間に合わせるつもりだけど、少し反応遅れたりしたらごめんね〜？   (2024/11/4 16:08:23)

エキドナ ◆> 恨み、、心当たり無いのかい、？最近ボクを驚かせては去っていく人にボクは非常に心当たりがあるのだけど、、(講義の眼差し受けて口元が三日月に歪んで動脈に氷這わせて、)ボクはお返しはしないと気が済まない質でね、、＞胡桃さん   (2024/11/4
16:08:52)

エキドナ ◆> 気にしないで構わないよ、ただボクももうすぐ離れるんだ、、   (2024/11/4 16:10:25)

篠澤広 ◆> うん、エキドナさんだね。ちゃんと覚えたよ。……強欲な魔女。魔法が使えたら欲しいものなんて全部手に入りそうだけど、それでも欲望ってあるものなんだ？（ふんふんって興味深そうに話を聞きながら）   (2024/11/4 16:11:28)

篠澤広 ◆> わかった。焦らずに…ゆっくりでいいと思う。   (2024/11/4 16:12:40)

胡桃
◆> もう渡した瞬間に即倒れそう…大丈夫！もし倒れても一応医者の知り合いがいるから！(にっこり、)広ちゃんも…確かにこっちで名前見る方が多い…かも？うん、私もゲーム部屋で一緒になった時は楽しみにしてるからね〜(首傾げる少女見て、手をわきわき、わきわき…悪戯したくて仕方ないけど、目を瞑って我慢。でもちょっと、ぎゅーってしたらどうなるんだろうって凄い興味がある堂主、)
  (2024/11/4 16:13:38)

エキドナ
◆> 欲望は尽きないよ、それこそが強欲の本懐だよ、。魔法は一通り全て扱えるがそれでも人間は興味深く、未来は不確かな可能性に満ち溢れている。ボクはその全てが知りたい、指先一つ、人一人の存在で未来は幾つも分岐していく、その成った未来、成らなかった未来、その全てを知りたい、そして興味が出てしまえばその興味が、好奇心が無尽蔵な程に溢れて止まらなくなる、！そうなるともう止まらない！ボクは何事に替えてもボクはその好奇心を、知識欲を満たしたい、、！(高速詠唱、、)＞篠澤広
  (2024/11/4 16:15:30)

エキドナ ◆> さん、だね、、失礼したよ、   (2024/11/4 16:15:43)

胡桃 ◆> そ、そんな人がいるの〜？私、知らないよ？何も知らなーい！(流石に冷たいし、氷なら元素力的に溶かせるけど護摩振り回すのも忍びないから妖しく笑み浮かべると不意に姿消して。エキドナさんから数歩離れた距離に再び現れて…と、これが私特有の回避行動だったり。)
  (2024/11/4 16:16:25)

篠澤広
◆> そっか、わたしはお医者さんのお世話になった後で胡桃のお世話になるんだね…ふふふ…♡……うん、わたしの性的趣向のせいで…普段はなかなか入れないけど…。……？それ、手の運動？……こうかな…。（わきわき動く手の動きを見て、真似をして同じ様に動かしてみて）  
(2024/11/4 16:18:53)

エキドナ ◆> そうかい、、良いさ、少し驚いた顔も見れた事だし満足しておくよ、(くす、)＞胡桃さん   (2024/11/4 16:20:47)

エキドナ ◆> 少し出るよ、また会える事を願っておくかな、、   (2024/11/4 16:21:40)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/11/4 16:21:43)

篠澤広 ◆> それは果てしないね。でも知りたい、もっとやりたいって気持ち…よくわかるかも知れない…。全部を知るのは不可能かもしれないけど、だからこそいくらでも知り続けられるね。決してたどり着けない目標…羨ましい…♡……ううん、広でいいよ？  
(2024/11/4 16:22:07)

篠澤広 ◆> 行ってらっしゃい。またね？（細い手を振りながら見送って）   (2024/11/4 16:22:47)

胡桃 ◆> 言ったそばから遅かった！！いってらっしゃーい！   (2024/11/4 16:23:07)

篠澤広 ◆> そうだ…。少しだけ…個室で話してもいい？   (2024/11/4 16:24:17)

胡桃 ◆> に、二段構えだと思われてる…！回復の期待をさせておきながら…みたいな…！性的嗜好かぁ…うん？大丈夫だよ？   (2024/11/4 16:24:49)

篠澤広 ◆> 一度上げて突き落とすの…高度なテクニックだね…♪うん、じゃあお部屋を用意するね？   (2024/11/4 16:25:50)

胡桃 ◆> 私到着！こっちは一度失礼するね〜。   (2024/11/4 16:27:22)

篠澤広 ◆> うん、出来た…。わたしもこっちは落ちるね。お疲れ様。   (2024/11/4 16:27:47)

おしらせ> 篠澤広 ◆CmCK1tn9X.さんが退室しました。  (2024/11/4 16:27:50)

胡桃 ◆> うん、あれ…(抜けれてない。扉壊れたかな…)   (2024/11/4 16:28:21)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/4 16:28:24)

おしらせ> エロガキ♂16Tさんが入室しました♪  (2024/11/4 16:38:27)

エロガキ♂16T> ふうっ……ロイヤルフォーチュンさん、すごかったなぁ……♡(惚れ惚れとした表情で)   (2024/11/4 16:39:07)

おしらせ> 澁谷かのんさんが入室しました♪  (2024/11/4 16:47:54)

澁谷かのん> おつかれ〜、っと、また向こう一戦やってたんだ   (2024/11/4 16:48:17)

エロガキ♂16T> お疲れ様っ。祝日な事もあって盛んだなぁ～   (2024/11/4 16:48:43)

澁谷かのん> 私はもう今日はおなかいっぱい…   (2024/11/4 16:50:50)

エロガキ♂16T> どんなお話してきたのか聞いても良い……？   (2024/11/4 16:54:05)

澁谷かのん> ん？まぁ私に何したかったのー？とか、誰が希望だったのー？とか聞き込みしてただけだよ   (2024/11/4 16:56:20)

澁谷かのん> そっちはどうだった？   (2024/11/4 16:56:32)

エロガキ♂16T> そういうの言わせるのも中々乙じゃんっ。僕はねぇ……いっぱいいじめられちゃった。決して触れさせてもらえないのに、その身体を味わされながら一方的にシコシコさせられちゃったんだ……♡   (2024/11/4 17:00:58)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/4 17:01:25)

エロガキ♂19b ◆> バイトだと思って現場に言ったら日を間違えていた19君です！   (2024/11/4 17:01:54)

澁谷かのん> 中々なことしてたんだね…ふーん…   (2024/11/4 17:01:54)

澁谷かのん> 19君もお疲れ様。   (2024/11/4 17:02:10)

エロガキ♂16T> お疲れ様～っ。   (2024/11/4 17:02:19)

エロガキ♂19b ◆> かのんちゃんだ！やっほー、さっきの罰で答えたことは参考になったかな？   (2024/11/4 17:02:40)

エロガキ♂19b ◆> 16Tくんもやっほー！   (2024/11/4 17:03:02)

エロガキ♂16T> いやぁ、でもめっちゃエッチだったからまた……ごほんっ。次こそは勝って好きにしたいっ。(ふんす)   (2024/11/4 17:03:04)

澁谷かのん> 参考になるかはわかんないけど、まあ色々と教えてもらったからね   (2024/11/4 17:03:16)

エロガキ♂19b ◆> 俺が足フェチっていっても引かなかったのはびっくりしたよぉ～、てっきり恥ずかしがる顔がみれると思ったんだけどなぁ～   (2024/11/4 17:04:08)

エロガキ♂19b ◆> 16Tくんも何だかんだお楽しみだったっぽい？   (2024/11/4 17:04:27)

澁谷かのん> 気持ち悪いとは思ったかな(暗めの笑顔)   (2024/11/4 17:04:30)

エロガキ♂19b ◆> あ...ふーん(吐血)   (2024/11/4 17:04:53)

澁谷かのん> 視線まっしぐらだしね、女の子なら誰でも引くよ(真顔。)   (2024/11/4 17:05:51)

エロガキ♂16T> いっぱいいじめられて来たよ。(にっこり)   (2024/11/4 17:05:56)

エロガキ♂19b ◆> 足が好きで何が悪い！(クワッ！)その綺麗な足をみないほうが失礼だと思う！(錯乱)   (2024/11/4 17:06:50)

澁谷かのん> うん、予定がなかったなら土下座1時間とかでも良かったかな？(にこにこ。)   (2024/11/4 17:09:24)

エロガキ♂19b ◆> それはちょっと勘弁してほしいなぁ～(汗)   (2024/11/4 17:11:17)

澁谷かのん> もう少し時間あるなら、聞き取りきれなかったこと聞いてみようかな？   (2024/11/4 17:13:03)

エロガキ♂19b ◆> 俺でよければ付き合うよ～   (2024/11/4 17:13:29)

澁谷かのん> 部屋立ててくれてもいい？   (2024/11/4 17:13:40)

エロガキ♂16T> おっ、いいねぇ～お二人共行ってらっしゃいっ。   (2024/11/4 17:14:03)

エロガキ♂19b ◆> たてたよー   (2024/11/4 17:14:29)

澁谷かのん> 一旦こっち抜けちゃうね〜   (2024/11/4 17:14:40)

エロガキ♂19b ◆> 16Tくんはなんかごめんね...   (2024/11/4 17:14:41)

おしらせ> 澁谷かのんさんが退室しました。  (2024/11/4 17:14:43)

エロガキ♂16T> ぜ～んぜんっ？お二人の仲だし、好きなようにして構わないさ～   (2024/11/4 17:15:14)

エロガキ♂19b ◆> だとしても、16Tくんのことは覚えとく！！じゃあ、、俺も一旦抜けるね！   (2024/11/4 17:16:09)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/4 17:16:11)

おしらせ> アストルフォ ◆za77rifW.Yさんが入室しました♪  (2024/11/4 17:23:34)

アストルフォ ◆> やっほ〜☆ボクがきたぜ！(ｷﾗｰﾝ✦)   (2024/11/4 17:24:06)

エロガキ♂16T> おっとおこんばんは～(気がついて手を振り)   (2024/11/4 17:25:14)

アストルフォ ◆> いや〜、今日はお部屋が盛り上がってたねぇ〜♪おかげでたくさん楽しめたよ♫(ニコニコ笑顔で、ぽふっ…とソファに寝転がれば、そのまま持参した漫画を読み始める) 16くんも、今日は楽しめたかい？   (2024/11/4 17:27:32)

エロガキ♂16T> いっぱいいじめられて来た。(ニッコリとした顔を見せつつ、別のソファーに深く腰掛けてリラックスしている様子で)   (2024/11/4 17:30:07)

アストルフォ ◆> そっかぁ、今度は勝てるといいね！(グッ！と彼にサムズアップしたあと、また漫画を読み始める。今の服装を意識していないのか、脚をパタパタさせるたびにスカートが捲れて太ももや下着が見えそうになるけど…) ふふ〜ん♪(全然気にしてない…！)  
(2024/11/4 17:32:45)

エロガキ♂16T> ぶっちゃけアレもアレで良かったけどね。ほんっと、いい子と出会ったもんだぁ♪(浮かれた様子でソファーに頭を預けるが……)……ん～っ？(ふとアストルフォの方を見てみれば、下着が見えそうなほどにスカートが捲れた光景が目に入り！)……僕は何も見てないからっ。ここ雑談部屋だし(ぷいっ、と目を背けてしまう)
  (2024/11/4 17:35:36)

アストルフォ ◆> んん？どったの？(彼の様子が気になって視線を向けたが、すぐ飽きたのか再び視線を漫画に向けてしまう。何処からだしたのかポテトチップが入った袋も現れては、それを１枚ずつ、ぱりっ、ぱりっ、と食べ始めて。完全にオフモードだ)  
(2024/11/4 17:39:41)

エロガキ♂16T> いやあ？随分と素敵な格好してるから、見惚れちゃってさ。時間さえあったら対戦にでも誘ってたんだけどねぇ。(時間がないがゆえに少しせつなそうな表情で)   (2024/11/4 17:42:42)

アストルフォ
◆> そうなんだ〜、それは残念。ちょうど漫画が読み終わったから勝負にでも行こっか考えてたのに(こいつわざとやってるのかとばかりに彼を煽るような言動をしている。手についたチップのカスを見せつけるように舌でぺろっ…ぺろっ…と舐め取ったあと、漫画を懐にしまって)
んじゃ、ボクは行くね？   (2024/11/4 17:45:42)

エロガキ♂16T> っ……全く、そこまでされちゃぁ、一発犯してやらないと気がすまないねぇ……(指を舐める様子を見せつけられ、悔しそうに手を握りしめる、しかし)……うんっ。それなら、楽しんできてね。(にこやかな表情を見せ、空いた手を振り見送る)  
(2024/11/4 17:49:48)

アストルフォ ◆> ばいば〜い♪(ソファからピョンっ！と軽々起き上がれば、そのまま出入り口に向かってしまった)   (2024/11/4 17:49:48)

おしらせ> アストルフォ ◆za77rifW.Yさんが退室しました。  (2024/11/4 17:50:04)

エロガキ♂16T> さて……僕もそろそろっ。(ワンテンポ遅れて出入り口に向かう)   (2024/11/4 17:50:27)

おしらせ> エロガキ♂16Tさんが退室しました。  (2024/11/4 17:50:28)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/4 17:59:04)

胡桃 ◆> (本部屋見てて、荒ぶる賽の目と40のバーゲンセールとかいう言葉に我慢できなかったからお腹抱えて笑って転げ落ちてきた、)   (2024/11/4 17:59:43)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/11/4 18:00:10)

ミミ ◆> わー！(扉ばん、)   (2024/11/4 18:00:17)

胡桃 ◆> 最近扉が言うこと聞かないのミミちゃんのせいかな〜…？でもごめん！私は本当に本部屋にツッコミ入れたくて来たからすぐいなかなっちゃうよ？   (2024/11/4 18:00:57)

ミミ ◆> こんばんはー！ミミさんじょー！   (2024/11/4 18:01:04)

ミミ ◆> そなのー？じゃーミミがいるー！ちょとだけだけどねー？   (2024/11/4 18:01:38)

胡桃 ◆> 本部屋といえば…昨日かな？1桁でてた子とかもいたけど、あれはあれで中々運があるよね…って、ミミちゃんに言ってもわからないかな〜？   (2024/11/4 18:02:43)

ミミ ◆> だいじょぶだいじょぶー、ミミもお嬢から話きいてるからね、(どやぁ、)でもお嬢は他の人一桁出してるの見たことあるってー、？   (2024/11/4 18:04:36)

胡桃 ◆> そうなの？私はこう…見てる時のない時の差があるから、現行のログで見ない限りは知らなかったりするかも。上振れと下振れの仁義なき戦いを私は目の当たりにしたい…！   (2024/11/4 18:06:49)

ミミ ◆> じゃーお嬢呼んでたたかうー？ミミんとこのお嬢つおいとき、めちゃつおいからね、   (2024/11/4 18:08:34)

胡桃 ◆> ううん、そこまではいいかな。私はこれからやる事済ませないとだからさ。   (2024/11/4 18:09:58)

胡桃 ◆> (それにどうせ見るなら勝負部屋の方が面白さ的にも捗ると思うの。※邪悪な思考)   (2024/11/4 18:10:49)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/4 18:10:49)

エロガキ♂19b ◆> 私がきた！！(天井バーン！！)   (2024/11/4 18:11:16)

エロガキ♂19b ◆> ということで、バイトの日を見事に間違えた19くんですよ～(ペタン)   (2024/11/4 18:13:36)

胡桃 ◆> 請求書と私にしばかれるのどっちがいいか決めさせてあげる(目が本気。左手に請求書(今無記載のもの)右手には護摩の杖、しかも冥蝶の舞状態)   (2024/11/4 18:15:11)

ミミ ◆> ちょと目離してたー！(本部屋なら別の誰か連れてくー、今度、！)   (2024/11/4 18:15:58)

ミミ ◆> ミミもちょと忙しくなるかもー、？   (2024/11/4 18:16:18)

ミミ ◆> こんばんはー！   (2024/11/4 18:16:27)

エロガキ♂19b ◆> 是非しばいてくれ！！さあ！！来い！(手を横に広げて満面の笑みで)   (2024/11/4 18:16:49)

エロガキ♂19b ◆> ミミちゃんこんばんはー！！   (2024/11/4 18:17:15)

ミミ ◆> おねーさん使うー？(ミミの杖、、)   (2024/11/4 18:17:49)

胡桃 ◆> (デコピン、ぺしっ！)   (2024/11/4 18:18:13)

胡桃 ◆> 私は一度お暇するね〜(今日は落ち着きがないような…気のせいかな。)   (2024/11/4 18:18:53)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/4 18:19:02)

エロガキ♂19b ◆> あ痛！？...何だかんだ優しいね、いってらっしゃい～！   (2024/11/4 18:19:08)

ミミ ◆> いてらー！またねー！   (2024/11/4 18:20:25)

エロガキ♂19b ◆> ミミちゃんも忙しくなりそう～？   (2024/11/4 18:21:01)

ミミ ◆> う〜ん、、もういそかしーかもー、？(ごそ、)   (2024/11/4 18:22:26)

エロガキ♂19b ◆> まじか...うーん、、ならお兄さんもお風呂行ってこようかなぁ...やることを済ませてしまえばミミちゃんを追いかけ回すチャンスなのでは？(閃いた)   (2024/11/4 18:23:29)

ミミ ◆> ミミすごーつおいから、おにーさんくらいなら簡単にぶっとばせるよー、？   (2024/11/4 18:25:39)

エロガキ♂19b ◆> お兄さんの強みは打たれ強いところだからね！ぶっとばされても何度も立ち上がって向かっていくから大丈夫！欠点は...この部屋が半壊することぐらいかな？   (2024/11/4 18:27:18)

ミミ ◆> おにーさんめちゃがんじょーだもんねー！はっ！お嬢に言って魔法のまとになるー？(耳ぴく、)   (2024/11/4 18:30:14)

エロガキ♂19b ◆> んー...いくらで雇ってくれる～？   (2024/11/4 18:31:00)

ミミ ◆> ん〜、わかんない！お嬢にきいてー、？   (2024/11/4 18:35:00)

エロガキ♂19b ◆> 確かに...今度会ったら聞いてみるかぁ～。そうしよう！魔法も食らってみたいところがあったりなかったり～(そろそろ人間やめてないかなぁ？)   (2024/11/4 18:37:18)

ミミ ◆> ミミやぱいそがしー！またねー！あとおにーさんはたぶん人間じゃないよー？またねー！(扉ばん、)   (2024/11/4 18:40:19)

おしらせ> ミミ ◆r8To80Q7JEさんが退室しました。  (2024/11/4 18:40:23)

エロガキ♂19b ◆> またねー！！   (2024/11/4 18:42:07)

エロガキ♂19b ◆> 人間じゃない？...俺は人間をやめるぞー！！ジョジョー！！！！(窓BAReeeeeeeeeeN！夜の町に消えていくのであった)   (2024/11/4 18:43:02)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/4 18:43:05)

おしらせ> 天音かなたさんが入室しました♪  (2024/11/4 18:55:09)

天音かなた> システムメッセージ: 発言にNGワードが含まれています（電話番号の疑い）  (2024/11/4 18:56:45)

天音かなた> あ゛ぁーー！？？電話番号なんて言ってねーーよ！！！   (2024/11/4 18:57:06)

天音かなた> キャッチフレーズは握力50Kg〜ぎゅぎゅー握りつぶすぞー（頑張って挨拶したのに消されたからふて腐れ）ご飯食べて帰ってきたら活気がねーなー！ぼくも久しぶりに来たんだけどさ。   (2024/11/4 18:58:13)

天音かなた> ぼ、ぼく悪い天使じゃないよ。そんな、一発目で本当に電話番号言うような天使じゃないからあ…！楽しいフランク天使だからおいで…！！   (2024/11/4 19:05:17)

おしらせ> 栞葉るりさんが入室しました♪  (2024/11/4 19:07:33)

栞葉るり> 一人でぎゃーぎゃーうるさいですね…(チノちゃん)   (2024/11/4 19:08:00)

栞葉るり> どうせきっと、おなにーしこしこいくいく(072　1454　519　19)とか言ったんじゃないんですかね…(誤解をばら撒いていくスタイル)   (2024/11/4 19:09:07)

天音かなた> あ、あぁ〜ッ！（みせられない擬音）ワンちゃん、こんかなたーっ。そんなこと言ってねぇから…！！   (2024/11/4 19:10:02)

天音かなた> 僕何処に住んでると思ってんだよ。大阪じゃなくて埼玉に住んでっから！！（公開）   (2024/11/4 19:12:08)

