/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月15日 02時51分 ～ 2024年10月15日 13時14分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/15 02:51:09)
雪花ラミィ> 麦わらの一味、加入時のエピソードだいたい面白いもんね。それでもやっぱりシャボンディ諸島はマジで欠かせな……っと、危ないね。自重だね。ラミィは酔っぱらみぃだけど、挨拶しにきただけだから〜おつらみしますかね〜。また人居たらくるかも！おちらみょ〜（バカ噛み）
  (2024/10/15 07:38:23)

おしらせ> 雪花ラミィさんが退室しました。  (2024/10/15 07:38:31)

エロガキ♂18D ◆> お疲れ様でした……本当にあの人来ると加速するなぁ…またです。   (2024/10/15 07:39:11)

シラベドンナ> おつかれ！ また２年後だな！   (2024/10/15 07:40:07)

エロガキ♂18D ◆> えぇ、それでしたら構いませんよ。自分はゆっくり待ちますので…2年後にアルコールの許容量が倍増していそう()   (2024/10/15 07:40:34)

シラベドンナ> まあ何か言おうとしていたわけでもないのだが…！ そしてここで私も失礼するよ。向こうの部屋にちんちんの気配がするのでね！   (2024/10/15 07:49:50)

エロガキ♂18D ◆> ええ、それでしたらまた……いつかそちらとも対戦したいものですね。   (2024/10/15 07:50:14)

おしらせ> シラベドンナさんが退室しました。  (2024/10/15 07:50:19)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/15 07:50:22)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/15 09:26:21)

エロガキ♂19b ◆> おはよう～   (2024/10/15 09:26:28)

エロガキ♂19b ◆> ふっふっふ、、ド平日の朝は誰もいないよな   (2024/10/15 09:33:33)

おしらせ> 星 ◆lFeDWOjeZ6さんが入室しました♪  (2024/10/15 09:55:13)

星 ◆> 運でしかどうしようもないこういうところって銀狼とか呼べないよね。（シームレス会話導入、）   (2024/10/15 09:55:15)

エロガキ♂19b ◆> おっと、おはようー！！   (2024/10/15 09:59:28)

星 ◆> うん、おはよう。   (2024/10/15 09:59:48)

エロガキ♂19b ◆> まさかこんな朝からゴミ箱の使令がきてくれるとは、嬉しいよ～。そしてここに銀狼を呼べないのはわかる気がする   (2024/10/15 10:01:03)

星 ◆> 性別的に関係ないけど、アベンチュリンも。……男の娘枠でカカワーシャならイケる…？   (2024/10/15 10:02:11)

エロガキ♂19b ◆> カカワーシャはいけそう...アベはまあ無理やな   (2024/10/15 10:03:11)

エロガキ♂19b ◆> 男の娘って言い張れば俺は歓迎する   (2024/10/15 10:03:30)

星 ◆> （あの過去的に身売り的な罰ゲームは地獄もいいところなのでやめておこう、と19の肩に手をぽんと置いて首を振る開拓者。言い出したのは自分だってことは忘れた、ほら私記憶喪失だから。）   (2024/10/15 10:05:07)

エロガキ♂19b ◆> (何となく察して首を縦に振り)やっぱ女の子を呼ぶしかないな   (2024/10/15 10:06:55)

星 ◆> ところであんた、いつも朝からいない？（やっぱり起き抜けの方が元気なんだろうか、男の人って。）   (2024/10/15 10:08:29)

エロガキ♂19b ◆> いつもいるね...朝はムラムラするものなんだよ～星ちゃん見たいな美少女と合えるかもと思うと特にね   (2024/10/15 10:10:07)

星 ◆> 分かってるじゃん。（ご満悦、）でも今日は雑談なんだ？   (2024/10/15 10:11:45)

エロガキ♂19b ◆> 朝は勝負部屋にいってもあんまりいないからね～..あと昨日1時間半ぐらい占領しちゃってたから反省してここにいるってわけ(星ちゃんの方をポンポンと叩きながら)   (2024/10/15 10:13:13)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/15 10:14:15)

エキドナ ◆> よく寝た、、かな(伸びっ、)   (2024/10/15 10:14:32)

エロガキ♂19b ◆> エキドナちゃんおはよう～、、寝落ちしてごめんねぇ...   (2024/10/15 10:15:06)

エキドナ ◆> 3時間は寝たね。(頷き、)   (2024/10/15 10:15:12)

エキドナ ◆> 構わないよ、むしろ遅くまで付き合ってくれて感謝しか無いよ   (2024/10/15 10:15:29)

エキドナ ◆> お礼に勝負なら付き合ってもいい程度には感謝しているよ(くす、)   (2024/10/15 10:16:04)

星 ◆> 昨日？あっ……。（雲璃がうきうきで勝った勝ったって喜んでたな……って思い出して。流石に美少女銀河打者と言えど気まずくなったから、今来た人へと視線をスライドさせた。白い人。）   (2024/10/15 10:16:35)

エロガキ♂19b ◆> んならよかった...わーお、それは嬉しい限り   (2024/10/15 10:16:58)

エキドナ ◆> キミは、、ベティの言っていたゴミ箱に頭から捩じ込んでいく変態さん、、かな？(一方の女性へ脇目、、)   (2024/10/15 10:18:07)

星 ◆> （………。襲い来る嘔吐感を何とか呑み込んだ、美少女だから。）……うん、多分そう？変態じゃないけど。   (2024/10/15 10:19:33)

エロガキ♂19b ◆> 星ちゃんは自覚のない変態だからね...こんなに顔はいいのに..   (2024/10/15 10:20:24)

星 ◆> いや、ここに来るような人はみんな変態か……。（真面目顔、）   (2024/10/15 10:20:31)

星 ◆> （変態呼ばわりに不服そうな顔した。腰に手を当て、むすっとした顔向け。）お尻、気持ち良かったんでしょ？（どっちが、って言いたそうに。）＞19   (2024/10/15 10:21:45)

エキドナ ◆> おや、、？キミはボクを見た時の普通の人の反応を返してくれるんだね、、久しぶりで忘れていたよ(1人ツッコミも置いておいて彼女の反応は久しぶりで嬉しいようなそうでないような、けれど口元に三日月を浮かべてから微笑みを称えて)  
(2024/10/15 10:21:52)

星 ◆> ここに来る人みんなが受けてる特別な加護とかがないのかもしれない……。（そういうこともあるか、と自分の特別な出自に納得。でも慣れはしたので、改めてまじまじ。うん、私には劣るけど美人。）   (2024/10/15 10:23:30)

エロガキ♂19b ◆> いーや、、あれは不本意だ！あの小娘はこんど絶対わからせる！(お尻に入っていた異物の感覚を思いだしブルッと体を震わせ)   (2024/10/15 10:23:40)

星 ◆> 雲璃をわからせたいのはわかる……。（WAKARU……。）   (2024/10/15 10:24:21)

エロガキ♂19b ◆> 美少女を見て吐くわけにはいかないからな...今はなれてるけど最初のときは必至に堪えてたよ   (2024/10/15 10:25:20)

エキドナ ◆> 加護は持っている者も多いが無い人の方が多いからね、、それも良いものだけでも無いし、、(くす、)   (2024/10/15 10:25:31)

星 ◆> エキドナってパンツは穿いてるの？（神秘的な人にはとりあえず聞きたくなる疑問、）   (2024/10/15 10:26:09)

エキドナ ◆> おや、キミもだったのかい？素直に吐いていても良かったよ。慣れているからね   (2024/10/15 10:26:16)

エキドナ ◆> 履いてるとも。何をいきなり、、(いきなり不躾過ぎて怪訝な顔をしてしまうよ)   (2024/10/15 10:26:55)

エロガキ♂19b ◆> 美少女の前で情けない姿は見せられない！(キリッ！！   (2024/10/15 10:26:59)

エキドナ ◆> 負けたら容赦なく情けない姿になっている気もするけれどね、、(ぽつ、)   (2024/10/15 10:27:35)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/15 10:27:56)

エロガキ♂19b ◆> それは、、まぁ勝負だからね..負けたものの当然の末路よ   (2024/10/15 10:28:30)

エロガキ♂18D ◆> こんにちは～……少しの間ですがお邪魔いたします   (2024/10/15 10:28:34)

星 ◆> そうなんだ……。（神秘的でミステリアスな人も、半分神様みたいな人も、人間じゃない存在でもパンツは穿く。そう考えると、世界は平和になる気がした。）   (2024/10/15 10:28:34)

エキドナ ◆> おや、おはよう   (2024/10/15 10:28:48)

星 ◆> おはよう。案外こんな時間でも人は多いみたいだね。   (2024/10/15 10:28:56)

エロガキ♂19b ◆> おはよう～、これだけ人が集まるとは待ってたかいがあるねぇ   (2024/10/15 10:29:15)

エキドナ ◆> 、、少し向こうで待機でもしてこようかな。   (2024/10/15 10:29:22)

エキドナ ◆> もう少しすればきっともっと人も来るだろうからその前にね、、   (2024/10/15 10:29:50)

エロガキ♂19b ◆> およ、、行くならついていくよ～？   (2024/10/15 10:29:55)

エロガキ♂18D ◆> 何かタイミング悪かったか…………何か申し訳ないですね……   (2024/10/15 10:30:40)

エロガキ♂18D ◆> それと……星さんは初めまして、でしょうか？よろしくお願い致します。   (2024/10/15 10:31:09)

エキドナ ◆> 付いてくるのなら構わないが、それなら手早く勝負を済ませても構わないから多目的でも良いとは思っているよ。どうだろうか？   (2024/10/15 10:31:26)

星 ◆> そうだっけ？（エロガキ、見分け付かないの顔。）うん、美少女銀河打者だよ。よろしく。   (2024/10/15 10:31:52)

エロガキ♂19b ◆> いいよー、待たずにすぐやる～？   (2024/10/15 10:32:05)

エキドナ ◆> いや、Dのキミの影響は無いよ。元より移動はするつもりだったからね。本当か嘘はかログを見れば分かるだろう。だから気にすることは無いよ   (2024/10/15 10:32:27)

エロガキ♂19b ◆> 見分けついてなかったのか！？まぁこれだけいればそうだよな　＞星ちゃん   (2024/10/15 10:32:36)

星 ◆> ……あんたは行かないの？勝負。（Dの方と勝負に行くっぽい二人を交互に見て。ちなみに私はもうすぐ帰るから気遣って残ったりしないでね。）   (2024/10/15 10:33:10)

エキドナ ◆> そうだね。男側が3、4人になられる可能性があるのならすぐ始めてしまおうかなと。   (2024/10/15 10:33:14)

エロガキ♂19b ◆> 了解、俺はいつでもいけるからエキドナちゃんの準備ができしだい多目的いこうか～   (2024/10/15 10:34:12)

エロガキ♂18D ◆> まぁ、そうですよね…面と向かって話したのは、恐らく初めまして、かと…改めまして、よろしくお願いします。自分はちょっと一時間きっちり労働してたので、休憩がてらに…だったので。勝負はパスですね…   (2024/10/15
10:34:16)

星 ◆> あんまり、かな。そんなに個性出さないために名前がそんな感じで固定されてるんだろうし、態と見分けないようにしてるところはあるかも……。＞19   (2024/10/15 10:34:22)

エロガキ♂19b ◆> 俺が毎日いるのは知ってるみたいだったし見分けはついてるものだと思ってたよ、ほんと..   (2024/10/15 10:35:24)

エキドナ ◆> ならさっさと済ませてくるとするかな、、お邪魔したね。それじゃあボクはそこの彼に勝って遊んでくるよ(←)   (2024/10/15 10:35:31)

星 ◆> 流石にあんたは付くけど……。   (2024/10/15 10:35:38)

エキドナ ◆> またどこかで。   (2024/10/15 10:35:39)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/15 10:35:44)

星 ◆> いってらっしゃい、観戦してるね。   (2024/10/15 10:36:01)

エロガキ♂19b ◆> それじゃ、俺もいこっと。またね星ちゃん、18dさん   (2024/10/15 10:36:11)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/15 10:36:13)

エロガキ♂18D ◆> ええ、いってらっしゃいませ、エキドナさん、19B(oss)さん   (2024/10/15 10:36:39)

エロガキ♂18D ◆> ふむ……やはり何度か顔を出した方が覚えられる……いや、熱意が足りないのでしょうかねぇ…   (2024/10/15 10:37:39)

星 ◆> 覚えられたいの？   (2024/10/15 10:38:14)

エロガキ♂18D ◆> まぁ、少しは……ちょっとした憧れと言いますか…少々羨ましくはありますね…   (2024/10/15 10:39:23)

星 ◆> ふーん……。私は、変に属性付けて個性出そうとしてる人よりはあんたみたいな人の方が好きだけど。（多分名前が統一されてるのもなんとなく、男はあくまでモブとしての側面も部屋としてはあるんだろうし……。って。まあ、独自解釈だけど。）  
(2024/10/15 10:41:39)

星 ◆> あっ、ストレートに負けてる……。   (2024/10/15 10:42:22)

エロガキ♂18D ◆> そうですか、それはそれは…ありがとうございます。中々難しいものですよ、入ってきても誰か居るわけでは無いですし…タイミングは逃しますし…まぁ、モブ一人が自我を出すべきではないと、重々承知してはいるつもりですが…   (2024/10/15
10:43:21)

星 ◆> ははは、吼えてる。（思ったより面白い人だなぁって顔、）   (2024/10/15 10:43:47)

エロガキ♂18D ◆> え、あーぁ…ストレートでやられてる…   (2024/10/15 10:43:51)

エロガキ♂18D ◆> 珍しいですね、彼女があぁやって吼えるの…   (2024/10/15 10:44:35)

星 ◆> （よいしょ。椅子とテーブルずるずる運んできて、お菓子と飲み物（ソーダ豆汁（クソマズ炭酸豆乳））を置いた。じゃあ私退室する予定を25分延ばすから……。）   (2024/10/15 10:46:45)

エロガキ♂18D ◆> なんでしょう、これ……なんか、こぽこぽ言ってません……？(椅子とテーブル持ってきて置いたものを好奇の目で見ており……)   (2024/10/15 10:48:03)

星 ◆> あんたも飲む？ソーダ豆汁。（差し出した。詳細はぐぐってもらって、）   (2024/10/15 10:49:05)

エロガキ♂18D ◆> ソーダ豆乳……なるほど、いただきます……(そのままごくっと飲むと…)ん？あぁ～……これイケる方ですね……   (2024/10/15 10:50:27)

エロガキ♂18D ◆> (現にソーダ味の豆乳があったなぁと思いながら、ごくごくと飲み干して)   (2024/10/15 10:51:23)

星 ◆> ほんと？（ずず、自分も飲んだ。クセになるゲロまずさ。）どう考えても味覚おかしいよ……。   (2024/10/15 10:51:35)

エロガキ♂18D ◆> いけますね、まぁこの前食べた某ロールケーキよりかはいくぶんマシ……おっと、失礼…   (2024/10/15 10:52:39)

星 ◆> （オークロールだ…………と確信を得たけど何も言えないでいた。自分の好きな相手の好きな物だから……っ！）   (2024/10/15 10:53:14)

エロガキ♂18D ◆> 見た目は旨そうだったので帰ったあとに摘まんだんですが……えぇ、あれはもう…なんと言うか……形容しがたい、ような……   (2024/10/15 10:54:27)

星 ◆> ……美味しいよね。（それだけをコメントして、代わりにこれ摘まみなよってどこからか取り出してテーブルに置いた、『浮遊イソギンチャクの油炒め』。浮遊イソギンチャクは浮遊イソギンチャクでしかないので追及は受け付けません。）   (2024/10/15
10:56:14)

エロガキ♂18D ◆> ありがとうございます……これはまた、美味しそうな…エビチリのような、ジャーマンポテトのような……いただきます。(何も知らずに一ツマミ…)……珍味ですねぇ、これ…日本酒とか酒欲しくなりますねぇ、飲めないけども()  
(2024/10/15 10:58:17)

星 ◆> スラーダで我慢して、18歳。（瓶をごとん。なんでも出てくる。何処から取り出してるのかよくよく見れば傍らに置いたゴミ箱だった。私の相棒。）   (2024/10/15 10:59:30)

星 ◆> おっぱいか……。（男の人、おっぱい好きだな……私も好きだよ。）   (2024/10/15 11:00:46)

エロガキ♂18D ◆> これ店長に食べさせてやりたいですねぇ……珍味ですよ…って、え！？ゴミ箱！？(いや待て、四次元ポケットとか帽子とかあるんだ、何も驚かんぞ……)んっ、んっ…   (2024/10/15 11:01:33)

エロガキ♂18D ◆> あー……本当にやりたい放題するなぁあの人…   (2024/10/15 11:01:49)

星 ◆> （スラーダくぴ、と飲んで。）……そういえば私は口でちんちん舐めて飲まされるのが好きなんだけど、ここの人はあんまりさせないよね。（時間もったいないからかな、ってぼやき。）   (2024/10/15 11:02:46)

エロガキ♂18D ◆> (スラーダを一口……これはまた、美味と思いながら…)ほほう、それはまた…一度ですが、口で好き勝手に動かして飲ませて…みたいなこともやりましたが…舐めてやらせるのも、また一興…好きではありますね…(なんてぼやきにポツリと返しながら)  
(2024/10/15 11:05:13)

星 ◆> かと言ってこっちが勝った時にお口で舐めさせてもらうのもなんか……ずるい気がするよね。男はどっちにしろ得したみたいな……。（射精禁止にするか？でもこっちは飲みたいからなぁ……って思考のジレンマ迷宮に迷い込んで。）   (2024/10/15
11:08:35)

エロガキ♂18D
◆> でしたら時間一杯まで責め立てて、射精禁止で弄んで、時間と同時に射精させてもらうと言うのはどうでしょうか？射精したいのに出来ないってのは、男にとって相当苦痛なモノですから…それでいて禁止されてた分、バカになって射精しまくる人はそこそこ居ますし…なんて。  
(2024/10/15 11:10:43)

星
◆> それは考えたんだけど、罰部屋のログをざーっと見ていった感じ……。射精禁止の罰で我慢しきってる人がいないって言うか……普通にみんな出しちゃってるっていうか……。（罰になってなくね！？みたいな顔した。まあでもわかるよ、我慢できずに出しちゃうよね。私は二次創作でよくふたなりになるからわかる……（WAKARU?）。）
  (2024/10/15 11:12:55)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/15 11:16:03)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/10/15 11:16:06)

エロガキ♂19b ◆> 帰宅ー！！   (2024/10/15 11:16:12)

エロガキ♂18D ◆> 一度しごいて大きくした後にベルトなりなんなりで締め付けて、そのまま弄べばいいんですよ。締め付けられてる分、締まりますからねぇ…(なぜそんな罰が思い付くのか…そんな事は置いておこう)
なるほど、ふたなりに…それもまた、一興かと思います…(ぐいっとスラーダをまた飲む…これ本当にうめぇな……)   (2024/10/15 11:16:13)

星 ◆> （拍手で迎えた。）   (2024/10/15 11:16:18)

エロガキ♂18D ◆> お帰りなさいませ～   (2024/10/15 11:16:22)

エキドナ ◆> 負け犬様が戻ったよ   (2024/10/15 11:16:27)

エロガキ♂18D ◆> 自分を卑下しないでください！？まぁ、ストレートはよくあることですから……   (2024/10/15 11:16:49)

エキドナ ◆> ボクは相手によるけれど自分から口を使うからね、、こちらの罰中でも別に奉仕は禁止されていないだろう？(くす、)   (2024/10/15 11:17:26)

星 ◆> 同じ女としてとても胸を痛めながら見ていました。（ぼうよみ、）   (2024/10/15 11:17:36)

エロガキ♂19b ◆> まぁ、今回のストレートはなかなか一方的だったけどねぇ、エキドナちゃんがいい目をだしてもその上をいったからさ。満足満足   (2024/10/15 11:17:37)

エキドナ ◆> 卑下はしてないよ。ただ久しぶりの黒星だとしか思ってないさ   (2024/10/15 11:17:51)

エキドナ ◆> 嘘をつくんじゃない。キミは愉快そうに見ていただろうに、、   (2024/10/15 11:18:32)

エキドナ ◆> 本当にキミは相当に上振れを引いていたね、、   (2024/10/15 11:18:57)

エキドナ ◆> (時間はボクが振ったから下振れたけれどね、、)   (2024/10/15 11:19:19)

エロガキ♂19b ◆> (くそぉ！！)   (2024/10/15 11:19:29)

エロガキ♂18D ◆> まぁなんと言うか……たまにはそう言うときもあるよねと、思いながら見ておりました()、久しぶりの黒星だと思ってたのなら、良かった…   (2024/10/15 11:19:31)

星 ◆> （そういえば負けたのに思い切り攻めまくった子もいたんだったな……霊砂……。19の方をちらりと見た。）   (2024/10/15 11:19:37)

エロガキ♂18D ◆> (頼むからまたコスプレさせられて搾られてくんないかなぁ…とちょっとだけ思ったのは黙っとこ)   (2024/10/15 11:20:12)

エロガキ♂19b ◆> (彼女は、、素晴らしかった...)   (2024/10/15 11:20:50)

エロガキ♂18D ◆> (ついでにオークロール三個ぐらい食わされてくんねぇかなぁと今思った次第)   (2024/10/15 11:20:51)

エキドナ ◆> まぁ、もっともボクは乗ってくると奉仕してるのか楽しくて、相手の反応見るのも楽しくなるからね。あまりそこまで行く人も居ないけれど、、   (2024/10/15 11:20:59)

エロガキ♂19b ◆> 時間が足りないね、、ほんとちょっと胸触ってるだけであっという間に過ぎてくよ...   (2024/10/15 11:21:31)

星 ◆> ごめんごめん、好きなの食べていいから。（何がいい？ってエキドナに『霜降り鮭パン』とか『雷鳴のような食欲』とか『天環手羽バーガー』とか押し付けた。大丈夫大丈夫食べ物要らない人でも食べられるから。）   (2024/10/15 11:21:34)

エロガキ♂18D ◆> なるほどですね…奉仕もあれだと罰足り得るのではないかと…思っておりました…   (2024/10/15 11:21:57)

エキドナ ◆> 19のキミはそれ以前に衣装を少しは見たまえ、、少し大変だったよ、、   (2024/10/15 11:22:01)

エロガキ♂19b ◆> お勉強不足！！まだエキドナちゃんまでたどりついてないんだ...   (2024/10/15 11:22:42)

エキドナ ◆> 、、(黙ってマシそうな霜降り鮭パン選んでおこうかな、、)   (2024/10/15 11:22:51)

エロガキ♂18D ◆> (あれ、この人居ればスナックゆきはなの料理は解決出来るのでは……？？いや、オークロール出されたら一瞬でジエンドだ…)   (2024/10/15 11:23:22)

エキドナ ◆> そもそも乗らないとボクからなんてのはしないからね、、罰の時間もそうだけれどね、、   (2024/10/15 11:23:26)

星 ◆> 『干した霜降り鮭とパンの盛り合わせ。黄昏の実のジャムが添えられている。』……だって。（フレーバーテキストをそのまま読み上げた。フレーバーテキストって何？心に浮かぶもの。）   (2024/10/15 11:24:08)

エロガキ♂19b ◆> エキドナちゃんと遊べるのはほんと貴重だよねぇ...そういえば星ちゃんとも遊んだことないな   (2024/10/15 11:24:39)

星 ◆> 19とは時間が割と合うから、私以外はよく会ってるよね。あ、違う。よくヤってるよね。   (2024/10/15 11:25:00)

エロガキ♂18D ◆> 普通に旨そうな奴では……？オリーブオイルも欲しくなるような代物ではある…(浮遊イソギンチャクの油炒めとスラーダの回し食いをしながら)   (2024/10/15 11:25:24)

エロガキ♂18D ◆> 時間が合うなんて羨ましいですねぇ……   (2024/10/15 11:25:37)

エキドナ ◆> ボクの衣装は上下一体くらいに考えてくれたらいいよ。首元から一揃いしているドレスだからね、どうしても横や上から手を差し込む、が出来ないから着替えるタイミングをくれたらブレザーの制服にでも着替えるよ   (2024/10/15 11:25:47)

エキドナ ◆> (ひとまず他のよりはマシそうだから素直に頂いておいたよ←)   (2024/10/15 11:26:29)

星 ◆> 普通に美味しいやつだよ。（頷いた。）   (2024/10/15 11:26:30)

エロガキ♂19b ◆> そうだね、、最近はなのかちゃんとかとしたなぁ＞星ちゃん   (2024/10/15 11:26:45)

星 ◆> なのは……なんだかんだ好きだからね、えっちなこと。   (2024/10/15 11:27:11)

エキドナ ◆> あぁ、彼女と同じなのか、、   (2024/10/15 11:27:11)

エロガキ♂19b ◆> これからは着替えさせようそうしよう！！ブレザー！制服！至高だ..   (2024/10/15 11:27:20)

星 ◆> （現状のスターレイルはだいたい私の知り合いだ……。おかげで好き放題彼女も彼女も出せるんだけど。）   (2024/10/15 11:27:50)

エキドナ ◆> ボクのドレスは捲り上げるくらいしか出来ないからね、、   (2024/10/15 11:28:03)

エロガキ♂18D ◆> なのかさん……まだ見たことはありませんね……そもそも星さんが初めましてなんですけども… いや霜降り鮭パン、一番美味しそうなヤツ過ぎて……ワイン欲しくなるような()   (2024/10/15 11:29:16)

星 ◆> 18歳。   (2024/10/15 11:29:27)

エロガキ♂19b ◆> なのかちゃんは、、罰でしてって、いってくるぐらいには変態だよね...可愛くて最高だけどさ＞星ちゃん   (2024/10/15 11:29:41)

エキドナ ◆> さて、、ボクは1度行ってくるよ。また後で顔は出すがいつになるかは分からないと言っておくよ   (2024/10/15 11:30:28)

エキドナ ◆> それじゃあまた、どこかで、、   (2024/10/15 11:30:37)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/15 11:30:42)

エロガキ♂18D ◆> はい、飲酒はしません……   (2024/10/15 11:30:47)

エロガキ♂19b ◆> エキドナちゃんまたね～   (2024/10/15 11:30:58)

エロガキ♂18D ◆> エキドナさんはお疲れ様でした。いってらっしゃいませ。   (2024/10/15 11:30:59)

星 ◆> 素直で真っ直ぐなのはなのの良いところだから。（立ち上がってゴミ箱を抱えた（？）。先に出てったエキドナに続いて、私もちょっとご飯食べてくるから。今食べてたけど。）   (2024/10/15 11:31:25)

星 ◆> じゃ、また。   (2024/10/15 11:32:12)

エロガキ♂18D ◆> そろそろ休憩上がりで戻りましょうかね…自分も。   (2024/10/15 11:32:15)

エロガキ♂18D ◆> またです。   (2024/10/15 11:32:20)

エロガキ♂19b ◆> はいよ～行ってらっしゃい！こんど星ちゃんも勝負しようね～   (2024/10/15 11:32:22)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/15 11:32:22)

おしらせ> 星 ◆lFeDWOjeZ6さんが退室しました。  (2024/10/15 11:32:22)

エロガキ♂19b ◆> さて、、静かになったな   (2024/10/15 11:32:43)

エロガキ♂19b ◆> 部屋に2人か、、俺が行くと3人になるから女の子増えたら遊びに行こうかな   (2024/10/15 11:48:11)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/10/15 12:18:37)

雪花ラミィ> ラミィが　やって　きたぞ　っ   (2024/10/15 12:18:46)

エロガキ♂19b ◆> こんにちは～   (2024/10/15 12:19:14)

雪花ラミィ> はあいー、こんらみぃ〜。酒呑みにきてるまである雪花です。平日昼にまで来始めたらもうね、年中無休だよね。   (2024/10/15 12:20:34)

エロガキ♂19b ◆> 俺も毎日入り浸ったるしそんなもんー   (2024/10/15 12:21:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/15 12:23:13)

エロガキ♂19b ◆> そんで、今もお酒飲んでるんー？   (2024/10/15 12:23:23)

雪花ラミィ> でも基本、昼にも夜にも見る人は見るよねー、ここ。ラミィは今からプルコギを肴に日本酒を……あっ、ｽﾏｾﾝｯｼﾀｧｯ！！！！   (2024/10/15 12:23:53)

エロガキ♂14C ◆> 釣りに失敗したからぼんやりしてたらここに人がいるとはねー。こんらみ。   (2024/10/15 12:23:56)

エロガキ♂19b ◆> わしはあさからおるぞ(暇かよ)   (2024/10/15 12:24:33)

エロガキ♂14C ◆> ぽんこつにーさんはログ見たら結構長い時間いるよね。すげー。そしてこのハーフエルフさん突然ゲザりだしてびっくりなのよ。   (2024/10/15 12:25:58)

雪花ラミィ> 昨日はねー、ラミィしっ…かりスヤスヤしてたんだワ…。あっこのプルコギめっちゃイケる（？）   (2024/10/15 12:27:37)

エロガキ♂14C ◆> すなっくゆきはな深夜の部は店主都合で休業してたみたいだね？代わりになんかまた別な方向性で盛り上がってたみたいだけど。   (2024/10/15 12:30:46)

エロガキ♂14C ◆> （アルコール絡まないと思ったら下着の色で盛り上がっててある意味大差ないのよ）   (2024/10/15 12:32:46)

雪花ラミィ> ログちょっとしか見てないけど、けっこーひどいんだわ。ラミィが一人で暴れるより全員で暴れてる方が酷くね？ラミィ超えの酷さだろ！！！（）   (2024/10/15 12:33:29)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/10/15 12:33:47)

常闇トワ ◆> こんやっぴ〜   (2024/10/15 12:33:53)

常闇トワ ◆> お酒飲んでないか確認しにきたよ〜   (2024/10/15 12:34:17)

エロガキ♂14C ◆> こんやっぴー。こっち（雑談部屋）でトワおねーさんに会うのレアじゃない？   (2024/10/15 12:34:25)

雪花ラミィ> あっ（バッタバッタ日本酒のグラスと瓶を隠し散らかす図）…は、はぁ〜い先輩…禁酒継続中でーすアハハ…ハハ…。   (2024/10/15 12:35:04)

エロガキ♂14C ◆> ヒント:1人で巻き起こせるヤバさと全員で巻き起こせるヤバさのパワー差   (2024/10/15 12:35:29)

常闇トワ ◆> でもなんかこの部屋酒の匂いがすごいんですけど〜   (2024/10/15 12:35:35)

常闇トワ ◆> とりあえず部屋の中に隠してないか確認して行こうかな〜(チラッとラミィを見る)   (2024/10/15 12:36:25)

雪花ラミィ> ラミィが100歩譲って200ラミィ（新単位）だとしても、あの連中は300ラミィぐらいあるんだわ…！！   (2024/10/15 12:37:28)

常闇トワ ◆> 複数で300より単体で200の方がおかしいんだよな〜   (2024/10/15 12:38:37)

エロガキ♂14C ◆> （僕の言いたいことをトワおねーさんが言ってくれた）   (2024/10/15 12:38:54)

雪花ラミィ> ほーら、ほらもう、お酒を料理に使っちゃダメでしょ！！危ないんだから…！（エロガキの皆さんにスーパーキラーパス）……いや？隠してないですけど？隠してないけど一応スナックなんで、ラミィの背中にはあるかな？なんでだろうな？（自首で罪軽くするスタイル）
  (2024/10/15 12:38:58)

エロガキ♂19b ◆> ありゃ、トワちゃんもきてる、今日も賑やか～、こんにちは～   (2024/10/15 12:39:01)

エロガキ♂14C ◆> 日常の料理なら料理酒レベルしか使わないよ？ラミィおねーさんは料理酒飲んでんの？（じとー）……このハーフエルフ嘘つくの下手だね   (2024/10/15 12:40:30)

