/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月04日 19時36分 ～ 2024年11月05日 02時53分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> (触れただけでびくびくって、)   (2024/11/4 19:36:11)
ロイヤルフォーチュン ◆> 小さい子じゃないけどマスコットじみててカワイイわよー♪　私のマスコットは…… ここには出せない……（いあいあクトゥルフ感）   (2024/11/4 21:11:54)

エロガキ♂13HL ◆> 紅茶…ありますよ？(その辺のご用意はお手の物…あっという間に人数分の紅茶を用意してて…)   (2024/11/4 21:12:24)

蛍> (何故か運命の世界にいるあの子を思い浮かべた。)   (2024/11/4 21:12:34)

星 ◆> （茶と名の付くものは多々あれどまともな飲み物ではないのがこちらの世界だった、）   (2024/11/4 21:13:29)

雷電将軍> 少し体のメンテナンスをします。(離席)蛍..私の高貴な身体が誰にも触られないように守っていてください。それと....もしどうしても触るのであれば夢想の一太刀を食らう覚悟を持つように(返事を聞かずに機能オフ)   (2024/11/4
21:13:56)

星 ◆> 運が良かったね……私が蛍を抱っこしてなければ即座に触りに行ってたよ……！   (2024/11/4 21:14:36)

ロイヤルフォーチュン ◆> わぁお準備いいわねー……！　いただきまーす……♪（口元にカップ持ってきて香りを嗅ぎつつ、ゆっくりと、こくんこくん）おいしいし温まるからお茶大好きー♪ ありがと、13くん！   (2024/11/4 21:14:47)

蛍> え、ちょっ…？…人の話を聞かないね。   (2024/11/4 21:14:50)

エロガキ♂17L ◆> 返事聞かずにシャットダウンしたな……   (2024/11/4 21:15:09)

ロイヤルフォーチュン ◆> 雷電将軍さんはいってらっしゃーい！   (2024/11/4 21:15:33)

蛍> (私が触るのはどうなんだろう？旅人は好奇心を揺さぶられた。)   (2024/11/4 21:15:47)

ロイヤルフォーチュン ◆> 崩壊した世界的なとこに嗜好品のお茶はないよね……＜まともな飲み物がない＞星   (2024/11/4 21:16:08)

星 ◆> 仙人爽快茶（ダダ甘、高カロリー）とかで良ければ……。   (2024/11/4 21:16:28)

エロガキ♂13HL ◆> いえいえ〜これも僕のお仕事なので〜   (2024/11/4 21:16:36)

蛍> コーヒーなら任せて！(唐突なデイリーの開始)   (2024/11/4 21:16:56)

星 ◆> そういえばセクハラってされた方がセクハラだと感じればセクハラだって言うけど、つまり今の将軍にはいくら触っても何をしてもセクハラは成立しないってことじゃ……！（天才的な閃き、）   (2024/11/4 21:17:42)

ロイヤルフォーチュン ◆> 過剰に砂糖とかぶっこんで腐敗防止してた私らのころみたいな飲み物だ……！！（ほかにしおっからい干し肉とか！何でもかんでも酒入ってるとか！ぜんぶ腐敗防止！）   (2024/11/4 21:17:48)

エロガキ♂17L ◆> ……(あえて無言でツッコミ入れず静観)   (2024/11/4 21:18:58)

星 ◆> 後はなんか謎の物体の浮いてるクソマズ薬茶とか……良い匂いはするけど色は真っ青で火が点いてるお茶（という名の何か）ならあるけど……。   (2024/11/4 21:19:59)

蛍> 星…さすがの閃き！(目を輝かせた。でも私の身も危ないから…あと雷神は強いから、命の保証はできないし。うん、胡桃にお仕事頼みに、今度璃月に帰ろう。)   (2024/11/4 21:20:05)

ロイヤルフォーチュン ◆> そういえば13くんは執事だったわね！　メイドさんって昔はほとんど居なくってだいたいキミくらいの年齢の男の子がやってたんだよね、そういえば＞13くん   (2024/11/4 21:20:22)

ロイヤルフォーチュン ◆> （←なおコイツの言う昔は1700年頃のことです（注）   (2024/11/4 21:20:47)

エロガキ♂13HL ◆> へーって…そんな昔からなんですね…。知らなかったです…！   (2024/11/4 21:21:13)

蛍> と…それじゃ、私は(ナタから走って)璃月に行ってくるね。(パイモンがご馳走様して…ない。まだ団子両手に持って……とりあえず行ってきます。お部屋を後にする私は皆に手を振った。)   (2024/11/4 21:21:29)

おしらせ> 蛍さんが退室しました。  (2024/11/4 21:21:39)

星 ◆> でしょ！ん、いってらっしゃい。（蛍を解放して手を振った、）   (2024/11/4 21:21:56)

エロガキ♂17L ◆> お疲れ様……というか、行ってらっしゃい   (2024/11/4 21:22:03)

ロイヤルフォーチュン ◆> このあいだ青く光る原子力な飲み物が未来では流行ってるとか聞いたけどなんかそういう感じよね、火がついてるお茶とか。ヌカコーラっぽい？　崩壊未来感あるわー……　蛍ちゃんまたねー！   (2024/11/4 21:23:03)

エロガキ♂13HL ◆> 行ってらっしゃい〜   (2024/11/4 21:24:04)

星 ◆> ……えっと。（任されてた蛍が行ってしまったので、とりあえず動かない雷電将軍を代わりにソファに運んでおいた。隣で一応バット持ってるけど……大丈夫だよね？）   (2024/11/4 21:24:16)

ロイヤルフォーチュン ◆> ぶっちゃけお城のお掃除とか大変だったし重労働だし男の子が多かったんだよねー。でも1850年くらいからメイドさんのほうが安いからっていって女性の家政婦がでてきたのがメイドさんってわけ！　ちなみに執事は一番えらいんだよー  
(2024/11/4 21:25:48)

エロガキ♂17L ◆> そんなにガチガチに警戒する必要ないと思うけど……まぁいいか(バット持ってる星にツッコミ入れるの諦めた人)   (2024/11/4 21:26:13)

星 ◆> そういえば守るっていうならこっちの方がいいか……。（槍に持ち替えた、どっちにしろ物騒度合はどっこいどっこい。）   (2024/11/4 21:27:11)

ロイヤルフォーチュン ◆> まあすきあらばえっちしたい、っていうのは男の子としては健全だから守るのも致し方ない的な？   (2024/11/4 21:27:13)

エロガキ♂13HL ◆> 僕はフォーチューンさんとお話してるし大丈夫だよ〜♪警戒しなくておけです！(にこっ)   (2024/11/4 21:28:51)

星 ◆> そういうこと、私は何人たりとも近寄らせないよ！（ソファに座らせた雷電将軍の腿に頭乗せて膝枕状態になりながら堂々と言い放った。これは守るための態勢だから！皆さんやられてますから！）   (2024/11/4 21:29:05)

エロガキ♂17L ◆> っと……そろそろ行かないと、んじゃさらば(ふらりと立ち去っていく人)   (2024/11/4 21:29:32)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/11/4 21:29:38)

星 ◆> （ひらひら手を振って見送った、）   (2024/11/4 21:29:54)

エロガキ♂13HL ◆> お疲れ様ですよ〜♪(手ふりふり)   (2024/11/4 21:30:36)

ロイヤルフォーチュン ◆> そういえば勝敗数作ってるんだ？　勝ち越してていいなー。 私はさっきやっと一勝できた感じ。ビギナーズラックなんてなかった～！＞執事くん   (2024/11/4 21:30:57)

ロイヤルフォーチュン ◆> 17くんいってらっしゃい！   (2024/11/4 21:31:05)

エロガキ♂13HL ◆> …そうですね〜…個人的に気になって作ってます♪ただ自分が絡んでないとこともあるからね〜一概にとは言えません♪おめでとうございます♪(ぱちぱち)   (2024/11/4 21:31:42)

ロイヤルフォーチュン ◆> 同郷だし同性だし膝枕の柔らかい感触も守護（まも）らねばー的な♪ でも膝枕気持ちいいよね？（くすくす） するのもされるのも私は好きー＞星ちゃん   (2024/11/4 21:32:58)

おしらせ> グリムアロエ ◆Su57aCNa9wさんが入室しました♪  (2024/11/4 21:33:17)

雷電将軍> お待たせしました。(目を開けて)何をしているのですか？(頭をのせている星を見下ろし)   (2024/11/4 21:33:19)

グリムアロエ ◆> こんばんは～♪   (2024/11/4 21:33:24)

ロイヤルフォーチュン ◆> おかえり！＞雷電将軍、こんばんわー！＞グリムアロエ   (2024/11/4 21:33:45)

星 ◆> （手ひらひら、小さい。ノットママ。）   (2024/11/4 21:33:49)

ロイヤルフォーチュン ◆> （ぶはっｗ＜のっとままで思わず吹き出したｗ   (2024/11/4 21:34:17)

星 ◆> 蛍が行っちゃったから、代わりにね……。（むくり、至って冷静に言葉を返して。守るために出してた槍もしまった。）   (2024/11/4 21:34:36)

雷電将軍> そうですか...今回は無礼を許しましょう   (2024/11/4 21:35:06)

エロガキ♂13HL ◆> こんばんは♪(ぺこり)   (2024/11/4 21:35:17)

ロイヤルフォーチュン ◆> 身長なのか別のとこなのか、どこの大きさで測っているのか……（むむむ   (2024/11/4 21:35:35)

エロガキ♂13HL ◆> きっと胸だろうね…たぶん   (2024/11/4 21:35:50)

雷電将軍> こんばんは>グリムアロエ   (2024/11/4 21:36:00)

星 ◆> おっぱいだけど……（真面目な顔、）   (2024/11/4 21:36:00)

星 ◆> まあでも、いくら強くても無防備になりすぎるのは危ないよ。（フリーナもだけど、って苦笑いしながら将軍の頬を軽く撫で。）   (2024/11/4 21:36:44)

ロイヤルフォーチュン ◆> にしても執事くんの戦歴いっぱいですごいよね。みんなもやっぱり二桁くらいはもう勝負しまくってる感じ？ 私は昨日今日でまだ片手の指で数えられる感じだけど。   (2024/11/4 21:36:44)

星 ◆> 将軍も戻ってきたし、私もそろそろ出ようかな。（ぐぐっと伸びして。未だ賑わう此処を後にしよう、じゃあまた。）   (2024/11/4 21:37:23)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/4 21:37:57)

エロガキ♂13HL ◆> たまーに遊びに行って…たから…支援だけとかも含めてだけど〜！フォーチューンさんもそのうち沢山になっちゃうよー！   (2024/11/4 21:37:57)

エロガキ♂13HL ◆> 星さんお疲れ様♪   (2024/11/4 21:38:04)

グリムアロエ ◆> 星さんはお疲れ様～♡   (2024/11/4 21:38:16)

ロイヤルフォーチュン ◆> 身長とかお尻とかってひねったのを想像してたら胸だった！ 結構エロガキくんたち、お胸にこだわりある人多いもんね。私も人のこといえないけど♪   (2024/11/4 21:38:16)

ロイヤルフォーチュン ◆> 星さんおつかれー！またねー！！   (2024/11/4 21:38:35)

グリムアロエ ◆> 可愛い子たちと遊んでたらすぐだよ～♡何気に一回一回が短いから、何度も遊べちゃうし♡   (2024/11/4 21:38:51)

雷電将軍> 問題ありません。それに私にはこれがありますから。(夢想の一太刀を繰り出し部屋の天井を切り)...おや、帰られるのですね。護衛ご苦労さまです。   (2024/11/4 21:39:07)

エロガキ♂13HL ◆> 誰か良ければこの後対決します？なんて〜   (2024/11/4 21:40:06)

ロイヤルフォーチュン ◆> あー、そうか！ そうなんだよね、結構時間は短いんだけど、わりといろいろできるな？ って気付いたのよー（こくこく）＞グリムアロエ   (2024/11/4 21:40:39)

ロイヤルフォーチュン ◆> あ、そうか。支援含めてってことか。私もさっき支援で負けちゃったんだよねー……。17さんの支援だった気がする！＞執事くん   (2024/11/4 21:41:24)

雷電将軍> 対戦部屋には人が待機しているようですよ>13HL   (2024/11/4 21:41:26)

グリムアロエ ◆> 逆にちょっと物足りない感じもするけど、だからこそ帰りたい♪って思えるからねぇ～♡   (2024/11/4 21:41:52)

ロイヤルフォーチュン ◆> それそれ＜ちょっと物足りないけど～　　ある意味女の子側が罰与える時だと寸止め的な楽しさもあるし♡   (2024/11/4 21:43:25)

エロガキ♂13HL ◆> あっホントですね〜。まぁそれこそここにいる人とお話してたからその流れで遊びますかっていう意味で言いました♪(にこっ)優しそうなお姉様が沢山いるのでー   (2024/11/4 21:43:48)

ロイヤルフォーチュン ◆> お、ほんとだ。カッコいいお姉さんの代表ー！＜徐倫   (2024/11/4 21:45:10)

雷電将軍> 私は参加してもあなたが思うような反応はできないので。見ているだけにしましょうか   (2024/11/4 21:47:12)

ロイヤルフォーチュン ◆> ていうか私が夕食準備とかほかいろいろしてる間に既に何戦もログがあるっ！！　さすが休みだわ……   (2024/11/4 21:47:17)

グリムアロエ ◆> あたしはどっちでもいいよ～♪休憩でも、"休憩"がてら遊びに行くのも♡   (2024/11/4 21:48:27)

エロガキ♂13HL ◆> ふふっ皆さん無理はしないでくださいね〜？   (2024/11/4 21:48:34)

ロイヤルフォーチュン ◆> んにゃ？ いまログみてて気付いたんだけど、ピンクのエロガキ15Mくんことアストルフォくんて、女性側参加のときはアストルフォなんだ？版権の男の娘キャラは女の子扱い的な？（昨日入ったばっかりルーキー海賊）   (2024/11/4
21:50:09)

エロガキ♂13HL ◆> そんな感じですね〜♪多分そこは可愛いからOK理論なのかな？   (2024/11/4 21:51:18)

ロイヤルフォーチュン ◆> へえー！なるほどー！ まあ私もガキ側参加だったらアリになっちゃう♡　負けたときのアストルフォくんの艶事とかちょーみたい♡   (2024/11/4 21:53:13)

エロガキ♂13HL ◆> ねーちょっと見てみたいですよね♪フォーチューンさんが負けた時はどんな感じにされるんだろうね〜   (2024/11/4 21:53:39)

ロイヤルフォーチュン ◆> 私、一回負けてるからログあるよー♡   (2024/11/4 21:53:53)

雷電将軍> さて...私もそろそろでるとしましょう。まだやらないといけないことがありますので。   (2024/11/4 21:54:05)

ロイヤルフォーチュン ◆> いってらっしゃいー！将軍ー！   (2024/11/4 21:54:20)

グリムアロエ ◆> いってらっしゃい♪   (2024/11/4 21:54:28)

おしらせ> 雷電将軍さんが退室しました。  (2024/11/4 21:54:37)

ロイヤルフォーチュン ◆> グリムアロエちゃんもこのお部屋長い感じ？　対戦ログ見てたらついさっきまでやってたんだねー♪   (2024/11/4 21:55:29)

ロイヤルフォーチュン ◆> あ、なるほど。支援だけのときは支援、ってつけるのかー（へー、って観戦モード   (2024/11/4 21:56:20)

グリムアロエ ◆> う～ん、こういう系のお部屋は精々3ヶ月くらい。いつ初めたのかは覚えてないけど   (2024/11/4 21:57:28)

エロガキ♂13HL ◆> 雷電さんお疲れ様♪   (2024/11/4 21:57:38)

グリムアロエ ◆> っと、マスターなお兄ちゃんが支援に行きたいって言ってるから一旦落ちるね。お疲れ様っ   (2024/11/4 21:58:13)

おしらせ> グリムアロエ ◆Su57aCNa9wさんが退室しました。  (2024/11/4 21:58:15)

ロイヤルフォーチュン ◆> 三ヶ月ってめっちゃ戦歴すごいじゃん！　ベテランじゃん！　一等航海士じゃん！　と、いてらしゃーい！！   (2024/11/4 21:58:21)

ロイヤルフォーチュン ◆> あ、支援って時間過ぎていってもオッケーだったんだ？　ほむほむ   (2024/11/4 22:00:00)

エロガキ♂13HL ◆> グリムアロエさんもお疲れ様♪   (2024/11/4 22:00:37)

エロガキ♂13HL ◆> ちょっと見させて貰いました♪   (2024/11/4 22:01:25)

ロイヤルフォーチュン ◆> 支援側だけのほうが強い出目を出すってあるあるだよね……   (2024/11/4 22:01:25)

ロイヤルフォーチュン ◆> あ、私のイメのほう？ あーいう感じよ♡   (2024/11/4 22:01:57)

エロガキ♂13HL ◆> なるほど…可愛らしくてえっちってことは分かりました(にこっ)   (2024/11/4 22:02:54)

ロイヤルフォーチュン ◆> そ、そーかなぁ……（照れ照れ） それはあそこの子みんなそんな感じだよー♪ でもありがとー♡ ふふっ♪　ちょーっと長めなんだけどねー、分量   (2024/11/4 22:04:32)

ロイヤルフォーチュン ◆> おー、競ってる競ってる……！   (2024/11/4 22:04:51)

エロガキ♂13HL ◆> …フォーチューンさんと戦えるのが楽しみになりましたね〜これは♪まぁそれは時間で足りなかったら都度お誘いということで〜(それはOKらしいので)   (2024/11/4 22:05:35)

エロガキ♂13HL ◆> 競ってるね〜   (2024/11/4 22:05:40)

ロイヤルフォーチュン ◆> うんうん♪ 続きやる？みたいな感じで♡　いやー、追い上げてきててすっごーい！   (2024/11/4 22:07:30)

エロガキ♂13HL ◆> フォーチューンさん今日はもう戦わないのー？戦うならついて行くよ♪   (2024/11/4 22:08:32)

ロイヤルフォーチュン ◆> んー、あの一戦終わったらやろうかな、って、うわ！乱戦模様になってきてる！！   (2024/11/4 22:09:31)

エロガキ♂13HL ◆> じゃあ…その時は対戦しましょ〜ねー(時間が合えば)   (2024/11/4 22:10:00)

エロガキ♂13HL ◆> 凄いね…どっち勝つかなー？   (2024/11/4 22:10:12)

ロイヤルフォーチュン ◆> うんうん。てかあれ支援にいったほうがいいのかなぁ。いや私がいってもダメか＜弱い   (2024/11/4 22:10:45)

エロガキ♂13HL ◆> それはお気持ち次第だと思うよー？思いがけず40くらいだすかもしれないし   (2024/11/4 22:12:33)

エロガキ♂13HL ◆> って終わったね〜   (2024/11/4 22:13:16)

ロイヤルフォーチュン ◆> ありゃりゃりゃ…… 女性陣負けちゃったー   (2024/11/4 22:13:23)

ロイヤルフォーチュン ◆> てかダイスバトルだけ楽しむのに支援って方法もあるんだねー。お手軽感はあるなー   (2024/11/4 22:15:23)

エロガキ♂13HL ◆> あれはしかたないね〜   (2024/11/4 22:15:30)

おしらせ> エロガキ♂16T ◆Su57aCNa9wさんが入室しました♪  (2024/11/4 22:15:39)

エロガキ♂13HL ◆> そうね最初に支援でって申告しとけば問題ない感じだよ〜   (2024/11/4 22:15:45)

エロガキ♂16T ◆> というわけで支援終わりのこんばんは～っ……グリアロと入れ替わる形だから、ただいま？   (2024/11/4 22:16:19)

ロイヤルフォーチュン ◆> おかえりなさーい♪　いやー、乱戦模様だったねー！！   (2024/11/4 22:16:19)

ロイヤルフォーチュン ◆> てか実はトリップまで見てなかったから16さんとは思ってなかった☆（てへぺろ   (2024/11/4 22:17:11)

エロガキ♂13HL ◆> おかえりなさいませ〜   (2024/11/4 22:17:27)

エロガキ♂13HL ◆> ほんとだ気づかなかった！   (2024/11/4 22:17:47)

エロガキ♂16T ◆> あるあるですよね～っ。ということで、夕方はありがとうございましたっ(ロイヤルフォーチュンにペコリっ)   (2024/11/4 22:17:52)

ロイヤルフォーチュン ◆> こちらこそー！反応可愛かった理由がなんか分かっちゃった♪　まあ私もガキ側参加からだしねっ♡   (2024/11/4 22:19:25)

エロガキ♂16T ◆> どっちもやれると人数調整とかで都合が良いな～って思って、マスターまで来ちゃいましたっ♪   (2024/11/4 22:21:18)

エロガキ♂13HL ◆> そうなの！？みんなもうひとつの体を持ってるんだね〜   (2024/11/4 22:21:56)

ロイヤルフォーチュン ◆> それはすごくある！！＜人数調整　どっちもできるといざってときにどっちでも入れるってすっごい便利だよね！　もちろん、受けできないからちょっとなーって子とか、攻めできないから、っていう女の子もいるからねっ   (2024/11/4
22:22:52)

エロガキ♂16T ◆> 経験としては女の子側が多いけど、こっちも出来たらなんかお得だし？   (2024/11/4 22:27:24)

エロガキ♂13HL ◆> 少し離席しますね〜   (2024/11/4 22:27:52)

ロイヤルフォーチュン ◆> お得感あるよね、どっちも出来るしどっちも楽しめる。ある意味一番こういうお部屋合ってる感じだし。私もだけどー♪　　執事くんはいってらっしゃーいっ！   (2024/11/4 22:30:24)

エロガキ♂16T ◆> おっと、行ってらっしゃいっ   (2024/11/4 22:32:55)

エロガキ♂16T ◆> あっ、シンパシー感じちゃう♪(にっこり)とはいえど、どちら側専門でも楽しいものは楽しいから、それもそれでまた良きだけどっ   (2024/11/4 22:34:58)

ロイヤルフォーチュン ◆> そうそう！ どっちもいける、だとぱっと足りないほうにーって出来るし。あと個人的な感覚なんだけど攻めも受けも両方出来る人ってどっちの感覚もわかるからどっちも上手ってイメージあるよー♪   (2024/11/4 22:37:08)

エロガキ♂16T ◆> 受け責め両方出来る人が上手なイメージなの、めっちゃ分かるっ。というか信条の一つまであるねぇ。されたいことが理解ってると攻めやすいし、攻めがしたいことが見えてくるとより受けやすいし。まあ、感覚でやってるから掴めてるかちと不安だけどっ  
(2024/11/4 22:41:04)

ロイヤルフォーチュン
◆> それは私も感覚だからさー♪　どっちも経験値積んでると単純に色んな経験してるから、みたいなのはあるし。あー、でも短くするのってなかなか出来ないんだよね。いま罰部屋のみてあーいう感じかなーって見てるけど。　と、少ししたら私も勝負したくなってきた！（ぐっぐっ、のびーっ！）
  (2024/11/4 22:44:34)

エロガキ♂16T ◆> 短くするのが難しいってところまでシンパシーっ……2行以上書くのに慣れちゃったから、ちょいロルって感じで一行で短めのロルはまだまだ練習しないと。   (2024/11/4 22:47:38)

ロイヤルフォーチュン ◆> うわー、仲間だー♪（握手ぎゅっぎゅっ♪）　　ああいうのさらっと相手に合わせ短文と長文使い分けできる人ほんとすごいって思う…… 私できないんだもん！　難しいよねぇ……！   (2024/11/4 22:49:09)

エロガキ♂13HL ◆> 戻りました〜   (2024/11/4 22:50:27)

エロガキ♂16T ◆> おっ、おかえりなさ～いっ。無言落ちする前に戻ってこれて偉いっ   (2024/11/4 22:50:57)

エロガキ♂13HL ◆> ギリギリ間に合いましたね〜   (2024/11/4 22:51:22)

ロイヤルフォーチュン ◆> おかえりー！　一勝負したがってたみたいだし、やってみるー？   (2024/11/4 22:52:16)

エロガキ♂13HL ◆> フォーチュンさんがあれだったら全然やりましょーか〜   (2024/11/4 22:53:01)

エロガキ♂16T ◆> 中々厳しい道かもしれないけど、短文と長文の使い分けって実際実践できると凄いよねっ。どっちかに慣れてると、慣れを崩すわけだし   (2024/11/4 22:53:01)

ロイヤルフォーチュン ◆> んじゃせっかく戻ってきたしやろっか♪　16くんはどーする？　　そーそー、慣れてるとそっちにどーしても引きずられちゃうのー！   (2024/11/4 22:53:55)

エロガキ♂16T ◆> せっかくだしこっちで行っちゃおっかな   (2024/11/4 22:54:26)

ロイヤルフォーチュン ◆> おっけー！ じゃあっちへ！　誰かいたら味方してくれる女の子もでてくるでしょたぶん！！（こなかったらどうしよっ(笑   (2024/11/4 22:55:16)

おしらせ> ロイヤルフォーチュン ◆azln.ux8EIさんが退室しました。  (2024/11/4 22:55:20)

エロガキ♂13HL ◆> 行きますか〜もう1人くらい女性増えると嬉しいですね♪(にこっ)   (2024/11/4 22:55:26)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/11/4 22:55:28)

エロガキ♂16T ◆> まあ、増えてくれるでしょっ♪   (2024/11/4 22:55:39)

おしらせ> エロガキ♂16T ◆Su57aCNa9wさんが退室しました。  (2024/11/4 22:55:41)

おしらせ> エロガキ♂17Sさんが入室しました♪  (2024/11/4 23:11:32)

エロガキ♂17S> とりあえず試運転兼ねてこんばんは、と。   (2024/11/4 23:12:59)

エロガキ♂17S> ふぅ、慣れない環境で動くというのは辛いもんだな。いくらやり辛くなったからってわざわざ俺にする必要もなかった気がするんだけど。   (2024/11/4 23:15:42)

エロガキ♂17S> ま、いいか。とりあえずのんびりと本部屋の様子でも眺めさせて貰おうかな。   (2024/11/4 23:18:04)

エロガキ♂17S> って俺が支度でぐだってる内に終わってた。   (2024/11/4 23:19:00)

エロガキ♂17S> いよいよ困ったな、話せる事なんてあまりないんだけど。だったら人がいる時に来ればいい、なんて正論をぶつけられるとぐうの音も出ないな。   (2024/11/4 23:21:49)

エロガキ♂17S> 今日は顔出しだけのつもりだったし、この辺で失礼しておこうかな。また人のいる時にでも顔出しさせてもらうとするよ。   (2024/11/4 23:25:14)

おしらせ> エロガキ♂17Sさんが退室しました。  (2024/11/4 23:25:21)

おしらせ> アナスタシア ◆r8To80Q7JEさんが入室しました♪  (2024/11/4 23:30:53)

アナスタシア ◆> ウチがお邪魔さしてもろとるよ〜♪一瞬話すんに頭ん中止まってしもとったわぁ、、   (2024/11/4 23:34:42)

アナスタシア ◆> もう皆のお休みも終わってまうからなんかなぁ、？勢い落ち着いて来とるよねぇ、、   (2024/11/4 23:38:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/4 23:40:02)

エロガキ♂19b ◆> よっと...人間やめてるらしい？19君ですよ～。こんばんは～   (2024/11/4 23:40:47)

アナスタシア ◆> こんばんは、♪   (2024/11/4 23:40:55)

アナスタシア ◆> 人間やったん、、？壁とか天井とかぶち破って来てるん何回か見とるけど、、？   (2024/11/4 23:41:43)

エロガキ♂19b ◆> れっきとした人間だよ～、ちょっと身体が頑丈なね！   (2024/11/4 23:42:16)

アナスタシア ◆> ちょっとなんね、、(疑いの眼差し、)   (2024/11/4 23:42:54)

エロガキ♂19b ◆> そこ疑うんだ...あ、そうだ！！どうやら魔法をぶつける相手を探してるとかなんとか？   (2024/11/4 23:44:07)

アナスタシア ◆> 疑っとるんは人かどうかからやねんけどね、？ウチんとこのミミのおもちゃなってくれるお兄さんって自分やったの？ほな遠慮なくやるように言うとくね♪   (2024/11/4 23:45:59)

エロガキ♂19b ◆> ぶつけるのは全然構わんけど～。ミミちゃんのこと抱き締める許可貰ってもいい～？ちょうどぬいぐるみ見たいでいいサイズ感だと思うんだよねぇ...   (2024/11/4 23:47:29)

アナスタシア ◆> それはあかんよ？譲ったらへんしウチのはウチの。ウチなぁ？結構欲張りやねん♪欲しい思たら全部欲しいん♪誰かにあげるとか絶対したらんからね、？   (2024/11/4 23:48:48)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/4 23:49:59)

エロガキ♂12Ω ◆> お、何や珍しい顔のがおるやん。よっすよっすー。   (2024/11/4 23:50:27)

アナスタシア ◆> こんばんは、♪   (2024/11/4 23:50:31)

エロガキ♂19b ◆> むぅ...なら仕方ないかぁ～。ぶつけられる魔法の感触を報酬とすることにするよ～。あのサイズ感...ほしかったなぁ。今度探しに行こー   (2024/11/4 23:50:33)

エロガキ♂19b ◆> やっほ、こんばんは   (2024/11/4 23:50:37)

アナスタシア ◆> その訛り君もカララギの子なんかなぁ、？   (2024/11/4 23:50:59)

エロガキ♂12Ω ◆> んー？そないな所知らんし違うと思うけど？姉ちゃんの喋り方暖かくて綺麗やなぁ。   (2024/11/4 23:51:55)

アナスタシア ◆> 魔法、、ミミなら魔法やなくて、、まぁお兄さんの楽しみ奪うんもやし秘密にしとこかな♪   (2024/11/4 23:52:27)

エロガキ♂19b ◆> 俺が場違いだ！！こういうときは～こうするに限る！(ゴミ箱にダイブ、蓋を閉めて)   (2024/11/4 23:52:47)

おしらせ> エロガキ♂19Q ◆jwzTa4PnO.さんが入室しました♪  (2024/11/4 23:53:48)

エロガキ♂19Q ◆> こんにちは   (2024/11/4 23:53:52)

エロガキ♂19Q ◆> 間違えた、こんばんは   (2024/11/4 23:53:58)

エロガキ♂12Ω ◆> 19兄ちゃん相変わらず奇行種みたいな生態しとんなぁ   (2024/11/4 23:53:59)

エロガキ♂19b ◆> あり、魔法じゃないのか...こういうときは～。世にも奇妙な世界Wiki～....なるほどなるほどそういうことか   (2024/11/4 23:54:08)

アナスタシア ◆> ほんまに、？てっきりカララギの子や思てんけど、、。ウチの話し方はカララギやと普通なんよ♪良かったらホーシン商会ご贔屓したってなぁ♪   (2024/11/4 23:54:26)

アナスタシア ◆> こんばんは、♪   (2024/11/4 23:54:36)

エロガキ♂12Ω ◆> ん、世界的に見ればこんにちはもある意味正解。おっすおっす。   (2024/11/4 23:54:37)

エロガキ♂19b ◆> やっほー！こんばんは～(押し入れを開けて顔だけだして)   (2024/11/4 23:55:06)

エロガキ♂12Ω ◆> 何や面白そうなんあったら安ぅしてな～。   (2024/11/4 23:55:18)

エロガキ♂19Q ◆> 19b何でそんな所にいるん？   (2024/11/4 23:55:38)

エロガキ♂19b ◆> 俺はどこにでもいてどこにもいないよ～？(今度はゴミ箱からヒョコ)   (2024/11/4 23:56:37)

アナスタシア ◆> これも縁やからね♪ウチとこのはお得意様価格で卸さしてもらうよ♪   (2024/11/4 23:57:03)

エロガキ♂12Ω ◆> 何かシュレディンガーでニャルラトホテプみたいな存在じゃね？19b兄ちゃん   (2024/11/4 23:57:48)

エロガキ♂19Q ◆> これって..俺の目がおかしいのか？..(目を何度も腕で擦って19bを見る)..しかも言葉に矛盾があるし..まぁいいや、19bのこと気にしてたらおかしくなるし、気にするのやめるか..うん、それがいい..(諦める)   (2024/11/4
23:58:25)

エロガキ♂12Ω ◆> おぉきにな～。商売上手で別嬪さんな姉ちゃんとこやったら安心して買い物出来そうやわぁ。   (2024/11/4 23:58:42)

