/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年09月21日 21時50分 ～ 2025年09月23日 22時27分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 雪泉 ◆qtse8iJjbUさんが入室しました♪  (9/21 21:50:13)
エロガキ♂19b ◆> 了解～ここで寝るとまずいからね～...添い寝用の個室作っておきましたぜ。   (9/22 03:20:06)

おしらせ> エレン・ジョーさんが退室しました。  (9/22 03:22:02)

エロガキ♂19b ◆> それじゃあこっちは退散...おやすみなさーい！   (9/22 03:22:04)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (9/22 03:22:07)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (9/22 12:10:57)

エロガキ♂19b ◆> よっと！こんにちはっ...中々運に恵まれない！！   (9/22 12:11:20)

エロガキ♂19b ◆> さーて...お昼の用意しながら適当にっと...   (9/22 12:14:49)

エロガキ♂19b ◆> よーし！お昼完成...もう食べちゃいましょう～！！   (9/22 12:35:44)

エロガキ♂19b ◆> さすがに平日の昼は静か...また来よっと！   (9/22 12:48:09)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (9/22 12:48:12)

おしらせ> エロガキ♂14Sさんが入室しました♪  (9/22 20:56:30)

エロガキ♂14S> こんばんは～   (9/22 20:56:45)

エロガキ♂14S> さて、今日はチョコ＆バニラクッキーですよっと   (9/22 21:01:20)

おしらせ> グレイさんが入室しました♪  (9/22 21:10:07)

グレイ> こんばんはっ！   (9/22 21:10:15)

エロガキ♂14S> こんばんは～っ！今日はクッキー焼いたんだけど、どう？   (9/22 21:10:41)

グレイ> クッキーですか？中々良さそうですね♪（にこっ）   (9/22 21:12:15)

エロガキ♂14S> じゃあ、一緒に食べよっか♪（浅い木の器に盛ってテーブルの上において、飲み物もココアを出して）   (9/22 21:16:35)

グレイ> はいっ！（嬉しそうに自分の席に座り、いただきます、と手を合わせてからクッキーを一口……）   (9/22 21:19:57)

エロガキ♂14S> う～ん、相変わらず会心の出来・・・♪（サクっと心地いい音と共に口の中でホロりと崩れる食感で）今日は結構いけるんだよね？   (9/22 21:23:21)

グレイ> ――やっぱり美味しいですね、流石ですね♪（クッキーに期待していた以上の食感に、味も良好。思わず頬が緩む。）はいっ、明日はフリーなので♪   (9/22 21:26:26)

エロガキ♂14S> じゃあ、今日はゆっくりできるね・・・少しログをみたとこ、直接お部屋に行く人もいるみたいだけど・・・今日はどうする？   (9/22 21:31:20)

グレイ> 勝負部屋を持ち上げるか、少しでも長く貴方と遊ぶか……迷いますね。ちょっと考えます   (9/22 21:32:58)

エロガキ♂14S> 時間はあるんだし、ゆっくり考えるといいさ。（マーブル模様になっているクッキーをまた一口）   (9/22 21:34:14)

グレイ> 決めました。勝負部屋へ行きましょうっ！（クッキーをもう一枚口に運び）   (9/22 21:35:33)

エロガキ♂14S> 了解！今すぐ行く？   (9/22 21:38:47)

グレイ> 早速行きましょう！   (9/22 21:39:12)

エロガキ♂14S> 移動ッ！   (9/22 21:40:13)

おしらせ> エロガキ♂14Sさんが退室しました。  (9/22 21:40:16)

おしらせ> グレイさんが退室しました。  (9/22 21:40:23)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (9/22 23:30:02)

エロガキ♂19b ◆> こんばんは～...私です！なんてねっ！...ゴロゴロしに来たけどいまは誰もいないみたいだねぇ   (9/22 23:31:03)

エロガキ♂19b ◆> しかーし明日は祝日！！...充分に夜更かししてもいい日...最高か？   (9/22 23:38:06)

エロガキ♂19b ◆> 今日は結構賑わってたみたいですし、やっぱこういう日が沢山集まったりするんかねぇ？...   (9/22 23:56:14)

エロガキ♂19b ◆> さて...！夜食の時間です！今夜いただくのは適当なカップ麺とかではなく～シンプルなお菓子なんですけどね！   (9/23 00:08:10)

エロガキ♂19b ◆> お菓子に合う飲み物ってなんだろうね...うーむ...普段は水かお茶しか飲まねえからあんまわかんねえんだよなぁ...   (9/23 00:23:37)

おしらせ> エロガキ♂13㏄さんが入室しました♪  (9/23 00:28:25)

エロガキ♂13㏄> よいしょっと…足跡残しを…ポンっ！   (9/23 00:29:14)

エロガキ♂19b ◆> おや...こんばんは～、足跡残しの精霊さんかな？   (9/23 00:30:10)

エロガキ♂13㏄> と言う事で今晩は！お茶菓子はお茶の味の濃さに比例して甘いものが合うよねと思います！   (9/23 00:30:18)

エロガキ♂13㏄> 精霊さんだけど精霊で終わるのもな～…みたいな感じです！面白い話しましょ？先輩？   (9/23 00:31:08)

エロガキ♂19b ◆> はえ～...なるほどそれは参考にさせて貰おう！！俺は水があればお菓子でもなんでも美味しく食べるんですけどね、おもてなし用に知るひつようがあるのだ...！ほう、面白い話しと...13cc君が無事に勝利を掴み取った話しとか？   (9/23
00:32:09)

エロガキ♂13㏄> お菓子かお茶、どっちかが味が濃すぎるもう片方の印象が薄れるジレンマ…互いに互いを引き立たせ合う良いロル相手みたいな関係がお茶とお菓子にも求められる…！　…って！ふぇ⁉見られてた!?アレはこの部屋新顔の十六夜さんなりのご祝儀だったんですかね？素人は優しくして沼に沈める的な…
  (9/23 00:35:26)

エロガキ♂13㏄> 新顔の十六夜さんなりのご祝儀→新顔の自分に対する十六夜さんなりのご祝儀　う～ん、この誤字癖！まぁ深夜だからって事にしておきましょう   (9/23 00:37:08)

エロガキ♂19b
◆> まるで運命の相手みたいな関係なんですね！！...愛称抜群のを探すのは苦労しそう。...あははっ！そうそう、沼に沈めて落とすんだよ...それにいつもこっちが狩るがわだとは思わないことだね...密かに...確かに潜んでるから、俺らを苛めて楽しむ子もね！んま！運が良ければ13cc君はずっと勝てるから大丈夫！！
  (9/23 00:39:27)

エロガキ♂13㏄> 自慢じゃないですが！リアルラックに一切の自信がありません！（胸ドン）…負けそうになったら美ショタの顔面力に期待して泣き落とし作戦ですかね…そして通用して勝ったら実力で相手を下したかのように振る舞う   (9/23 00:42:16)

エロガキ♂13㏄> あるいは今回みたいに乱入、支援に特化して先輩の尻を追いかけ続ける作戦…複数ロルが実は苦手なのは内緒だ!です!!   (9/23 00:44:05)

エロガキ♂19b ◆> 戦法としては悪くないけど...残念なことにここに来るのは皆欲望にまみれてるからね...泣き落としはまぁ、うん...頑張ってね！！ま！勝てばいいんですよ勝てば！こんな風に言い目を出せば～！   (9/23 00:44:06)

エロガキ♂19b ◆> 5d10 → (1 + 4 + 3 + 1 + 9) = 18  (9/23 00:44:08)

エロガキ♂19b ◆> ふっ...少年、俺はここまでのようだ...   (9/23 00:44:25)

エロガキ♂13㏄> 良い目…（5d10なら平均25…）ふっ…先輩ザッコwwww   (9/23 00:45:14)

エロガキ♂13㏄> 5d10 → (4 + 7 + 5 + 3 + 3) = 22  (9/23 00:45:21)

エロガキ♂13㏄> …先輩には勝ったから…ッセーフ!!   (9/23 00:46:01)

エロガキ♂19b ◆> お互い頑張ろうな...はぁ...あー、なんだか急に尻に悪寒が...気のせいだと思いたい   (9/23 00:46:39)

エロガキ♂13㏄> じゃあ先輩と罰部屋に…（ｲｿｲｿ）胸じゃなく尻を貸してもらうことになりそうですね！   (9/23 00:47:01)

エロガキ♂13㏄> 仮に今この部屋にツヨメスさんが来てしまったら蹂躙されてしまう…先輩共々おいしく頂かれてしまう…‼   (9/23 00:48:02)

エロガキ♂19b ◆> どんな状況だよ！？...まぁ、強い子が来ても二人でやれば怖くない！逆に美味しくいただいてしまえばいいのだよ！、万が一何かあれば13cc君を差し出せば...！   (9/23 00:48:54)

エロガキ♂13㏄> はぁっ!?そこはクソ可愛い後輩のために「俺がコイツを引き付けるからお前は逃げろ！」するところでしょうが！こうして僕の復讐の旅が始まるのだった…㏄クエストはじまりはじまり！てれててーん（架空のBGMを口ずさむ）   (9/23
00:51:13)

エロガキ♂19b ◆> その可愛い後輩を差し出すことで逃げ切れるんだよ...よく考えてみて、女の子が勝ちました、目の前に19と13がいます！どっちに飛び付くかなんて一目瞭然だろう？...というわけで！、俺のために美味しく食べられてくださいお願いします！！  
(9/23 00:52:45)

エロガキ♂13㏄> はい!はい!はーい!!（挙手）先輩の方がチンコおっきいのでそういう意味では魅力的だと思いまーす！それにライオンは狩りの時見逃しても何時でも狩れる雑魚を後回しにするって聞きますから先輩が犠牲になる理由は十分になると思いまーす！   (9/23
00:55:23)

エロガキ♂19b ◆> おばか！人のチンのおおきさといったらダメでしょ！狙われたらどうしてくれるんだ全く...とにかく！もし一緒に負けて万が一俺に女の子が飛びつこうものなら何がなんでも道連れにしてやるからな～...絶対に逃がしはしない...   (9/23
00:58:07)

エロガキ♂13㏄> そんな事言うんだったら一言プロフにチンチン乗っけてる人が悪いと思います！痴女ならぬ痴男だと思います!!罰として可愛い女の子を寸前まで弱らせて僕に漁夫の利されればいいと言うのが僕の意見です!   (9/23 01:00:23)

エロガキ♂19b
◆> それは俺の趣味が女の子漁りだからなぁ...痴男なのは認めよう！漁夫の利っていってももしかしたら13cc君が食べる子は既に食べられてたりしてー？おっと、これ以上は秘密にしておこうか。さーてと！！夜も更けて深き夜といっても過言じゃない時間になってた...わんちゃんにかけて俺も遊びに行ってみようかなぁ
  (9/23 01:03:37)

エロガキ♂13㏄> よっ！ヤリチン野郎！穴兄弟が怖くてエロガキが出来るかってんでぃ！べらぼめぃ（謎江戸っ子）先輩はお暇ですか？お疲れさまでした!   (9/23 01:06:14)

エロガキ♂19b ◆> はいっ！ヤリチンですよーっと！今に始まったことじゃないからね！お暇というか女の子を探しに、かな！勝負するときはともにがんばろうー！またここであったらゆっくりお話ししましょ！ではでは！！...いざ行かん！！！ウォォォォォォ！！  
(9/23 01:08:04)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (9/23 01:08:07)

エロガキ♂13㏄> お疲れさまでした共闘するときはお互い頑張りましょう！そして語らいましょう!!   (9/23 01:08:56)

エロガキ♂13㏄> それじゃあ！俺も先輩に習って…！ウォォォォォォ！！ （走って退室）   (9/23 01:10:47)

おしらせ> エロガキ♂13㏄さんが退室しました。  (9/23 01:11:45)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (9/23 05:39:42)

エロガキ♂14C ◆> おはようございまーす。お休みなのに変な時間に目が覚めちゃった。   (9/23 05:40:08)

エロガキ♂14C ◆> 流石にこんな時間に見てる人とかはいないかあ。   (9/23 05:44:53)

エロガキ♂14C ◆> 誰かと話したいなーと思って来てはみたけど厳しそうだし二度寝しちゃお。おやすみなさーい。   (9/23 05:51:40)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (9/23 05:51:43)

おしらせ> 雪泉 ◆qtse8iJjbUさんが入室しました♪  (9/23 16:02:27)

雪泉 ◆> こんにちは。朝晩は涼しいですが、陽の高いうちはまだまだ暑いですね   (9/23 16:02:57)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (9/23 16:04:34)

エロガキ♂17L ◆> こんにちは〜、寒暖差で体調崩しそうで怖いよね〜   (9/23 16:05:06)

雪泉 ◆> あらこんにちは。世の中には寒暖差アレルギーなるものもあるそうですしね   (9/23 16:05:59)

エロガキ♂17L ◆> そうなんだよね〜寒暖差アレルギー自体気づきにくそうだけど   (9/23 16:13:38)

雪泉 ◆> ですね。しかし、もうかき氷が美味しい時期も終わりと思うと・・・(←好物が宇治金時)   (9/23 16:17:55)

エロガキ♂17L ◆> まぁ、それは確かにそうだね……俺としては暑いシーズンが終わってくれて少しホッとしてるけど……(←熱と冷気に弱すぎる)   (9/23 16:19:59)

雪泉 ◆> 確かに今年の夏は暑すぎました・・・店頭の食品サンプルが溶けるとかおかしいです。そしてこれからは食欲と芸術とスポーツの秋ですね   (9/23 16:23:45)

エロガキ♂17L ◆> 店頭の食品サンプル溶けるはもう異常なんだよな……そして秋が終わると冬が来ると……早いね〜   (9/23 16:25:21)

雪泉 ◆> 私が(リアルで)見た光景ですが、抹茶ラテの中身が溶けて下に垂れて、下にあったバニラアイスクリームにかかってた、というのはありました。思わず吹きそうになってしまいました・・・私としては新米が楽しみですね   (9/23 16:27:23)

エロガキ♂17L ◆> なんだろうちゃんと商品化を真面目に考えたら美味しそうなやつ……あ〜、新米ね〜それもそうだけど……やっぱこの時期といえば栗とかもじゃない？   (9/23 16:30:00)

雪泉 ◆> 和栗スイーツですね。モンブランとかもいいですが、私としては和栗最中や栗の甘露煮がいいです。あとは、やはり秋刀魚でしょうか。今年は豊漁と聞きますが   (9/23 16:32:52)

エロガキ♂17L ◆> あ〜、和菓子……良いよね〜この時期ならではの栗を使った和菓子とか良いよね〜秋刀魚もそうかこの時期だったね……脂がのってて美味しいんだよな……   (9/23 16:34:32)

雪泉 ◆> 秋刀魚はシンプルに焼魚もいいですが、新鮮なものはそのまま刺身で食べても美味しいですよ。小骨が若干邪魔ではありますが、独特の味わいがあって美味しいのです。お寿司にしてもいいですね。   (9/23 16:36:16)

エロガキ♂17L ◆> そうなんだよね〜   (9/23 16:37:40)

雪泉 ◆> あとは・・・干し柿ですね。   (9/23 16:40:48)

雪泉 ◆> 昔は軒下に沢山吊るされていたそうですが、今ではめったに見なくなりました。あれ、風情があって 好きなんですが   (9/23 16:41:26)

エロガキ♂17L ◆> あ〜、干し柿か……あんまり食べないかな……そういえば確かに最近見ないね干されてるところ   (9/23 16:41:52)

雪泉 ◆> あれを冬に炬燵に入りながら緑茶と一緒にいただくのがいいのです・・・あれは手間ではあるんですが、その分見た目的にも、そして味的にもいい感じになるんですよ。ちなみに私の家では作ってます。   (9/23 16:47:18)

エロガキ♂17L ◆> こたつか〜、俺は専ら蜜柑かな〜？作ってるのか……それは良いね   (9/23 16:49:48)

雪泉 ◆> 蜜柑もいいのですが、どうやら私の肌は皮に含まれるリモネンに弱いらしく、皮剥きをすると手が痒くなるんですよね・・・美味しいのは確かなんですけど。   (9/23 16:51:49)

エロガキ♂17L ◆> あ〜、それは辛いね〜   (9/23 16:52:07)

雪泉 ◆> Lさんは何かそういうのってあったりするんですか？人によってはメロンやバナナを食べると口の中が痒くなるとか、キウイに触れた手が荒れるとかあるそうですが(尚これは普通にアレルギー)   (9/23 16:54:58)

エロガキ♂17L ◆> ん〜、食品アレルギーは俺は特にないかな……？花粉症なら持ってるけど……   (9/23 16:56:03)

雪泉 ◆> ああ、花粉症は辛いですね。私自身は無いのですが、知り合いに杉やブタクサに反応する方がそこそこ多く・・・   (9/23 16:57:39)

エロガキ♂17L ◆> そうなんだよね……杉花粉だから春が……   (9/23 16:58:19)

雪泉 ◆> そういえば杉は雌雄別株といって、雄花だけの木と雌花だけの木で別れているそうで。苗木の時点で雄木だけを弾くことができる技術があれば、雌木だけ植樹すれば・・・？   (9/23 17:01:51)

エロガキ♂17L ◆> 出来たらいいんだけどね〜、まだそこまでの技術がない気もする……   (9/23 17:03:10)

雪泉 ◆> こればっかりは、技術の進歩を願うしかないですね。花粉症の方からすれば、本当に迷惑な話でしかないので。   (9/23 17:04:39)

エロガキ♂17L ◆> そうなんだよね〜……こんな話してたら鼻むずむずしてくる……   (9/23 17:06:02)

おしらせ> グレイさんが入室しました♪  (9/23 17:07:47)

雪泉 ◆> 日が傾いて涼しくなってきましたね・・・着替えますか。(忍転身を解いて制服姿になり)   (9/23 17:08:01)

グレイ> こんにちは。   (9/23 17:08:05)

雪泉 ◆> あら、こんにちは。   (9/23 17:08:23)

エロガキ♂17L ◆> こんにちは   (9/23 17:09:15)

エロガキ♂17L ◆> 今日は祝日ってのもあって人が集まりやすいね〜   (9/23 17:12:22)

雪泉 ◆> たしかに。   (9/23 17:15:41)

エロガキ♂17L ◆> そして、やっぱり肌寒いね……この時間から   (9/23 17:16:29)

グレイ> そうですか?むしろ涼しいくらいですけれど   (9/23 17:17:30)

エロガキ♂17L ◆> 冷気に弱くてね……割と   (9/23 17:18:45)

雪泉 ◆> 私としては丁度いいくらいですね。   (9/23 17:19:57)

雪泉 ◆> そういえばグレイさん？   (9/23 17:20:10)

エロガキ♂17L ◆> 2人とも寒さ耐性高いな……そういえば雪泉に至っては冷気操るんだったな……   (9/23 17:22:20)

グレイ> はい?   (9/23 17:22:20)

雪泉 ◆> (耳元で囁くように)昨晩はお楽しみでしたね？   (9/23 17:22:59)

雪泉 ◆> ええ。ですが寒さを凌ぐ、という意味では全くの役立たずですので   (9/23 17:23:24)

グレイ> ……っ、貴女からそれを言われるとは!?   (9/23 17:23:31)

エロガキ♂17L ◆> まぁ、操るだけで自分に耐性を付与する訳では無いから……そうだよね   (9/23 17:24:37)

雪泉 ◆> ま、同じ趣味を持つもの同士、仲良くしましょう？(グレイの隣に座って)   (9/23 17:25:16)

グレイ> ええ。最初は予想外でしたけれど、同じ事を語り合える方が多くて嬉しいばかりです   (9/23 17:29:49)

エロガキ♂17L ◆> さてと……なんか妙な同盟らしいものを組んでる光景が目の前で発生してるわけだけども……これ俺どうしよう(一旦キッチンに避難しながら紅茶をいつも通り作り始めて)   (9/23 17:31:16)

おしらせ> エロガキ♂13Alさんが入室しました♪  (9/23 17:33:41)

エロガキ♂13Al> 同じ趣味というのがどういう部分のことなのか、私気になります！   (9/23 17:33:51)

雪泉 ◆> あら、Alくん。こん・・・ばんはかしらね。   (9/23 17:34:58)

グレイ> こんばんは……?もうこんばんはでいいのかな。   (9/23 17:35:01)

エロガキ♂17L ◆> ん？こんばんは〜   (9/23 17:35:16)

エロガキ♂13Al> やーやーこんばんはー。時間は主観的なモノだからこれから夜になりつつあるなら多分、いい！   (9/23 17:35:38)

雪泉 ◆> 同じ趣味っていうのはそのままよ。(中身が)同じゲームをやっているみたいで。   (9/23 17:35:42)

エロガキ♂17L ◆> あぁ、そゆこと……なんのゲームなのかはこの際深くは聞かないでおくとして……(できた紅茶を3人の前に)   (9/23 17:36:52)

エロガキ♂13Al> そうなの……じゃあそういう感じで雑談を……していたのかっ   (9/23 17:38:12)

雪泉 ◆> ありがとう♡気が利くわね？＞Lくん   (9/23 17:38:32)

グレイ> 紅茶ですか。なかなかいいですね♪>17L   (9/23 17:41:08)

エロガキ♂17L ◆> 飲み物の一つも無いと喉乾いてしょうがないでしょ？……まぁ褒められると照れるな……(お盆で顔を少し隠して少し顔が赤いのを隠しながら)>二人   (9/23 17:41:47)

エロガキ♂13Al> 俺はついショタコン趣味とかいたずらされるのが好きって話をしていたのかと……（素直なエロガキ）   (9/23 17:44:54)

雪泉 ◆> あら、顔を赤くして。今からは無理ですが、今夜よかったら一勝負、如何です？＞Lくん   (9/23 17:47:15)

雪泉 ◆> なんていうか、妹みたいな感じがして愛でたくなります(優しくぎゅ〜)＞グレイ   (9/23 17:48:19)

エロガキ♂17L ◆> ん〜、今夜か……ちょっと厳しいかな〜？明日の昼間とかなら行けるんだけどね……ちなみに何時頃か聞いても良い？>雪泉   (9/23 17:49:29)

グレイ> 猥談じゃないですか……まあ、する気が無いなんて言えませんけど。>13Al   (9/23 17:49:33)

雪泉 ◆> 昼間は流石に私が・・・今夜なら9時頃でしょうか。   (9/23 17:50:06)

グレイ> 妹っ……(ぎゅ～っとされて顔真っ赤)そ、そんな……照れちゃいますよ〜>雪泉   (9/23 17:50:36)

エロガキ♂17L ◆> 21時頃ね〜、それならまぁ行けるかな？さすがにアフターはきついけど……   (9/23 17:50:52)

エロガキ♂13Al> 相手がどういうのが好きかわかんないままプレイを始めちゃうと思ったよりすれ違っちゃうことがあるからね……みんな自分は普通だと思ってるし！　俺は直接的なのも恥ずかしがらせるのも好きです。   (9/23 17:51:06)

グレイ> 確かにそういう猥談なら実益もあるかもですね。>13Al   (9/23 17:54:38)

エロガキ♂13Al> 特に女の子側にとっては始まっちゃうと断りにくいとかもあるだろうし……だからされたいことがあったら言っておくといいと思うよ。（セクハラ）   (9/23 17:56:18)

雪泉 ◆> 髪の色も似たような銀〜灰色ですし、年齢的にも姉妹と言って差し支えない差でしょう？だから、なんとなく♪＞グレイ   (9/23 17:59:21)

雪泉 ◆> では、できればということで＞Lくん   (9/23 18:00:54)

グレイ> そういう事でしたか……こういう部屋だからこその関係、というものでしょうか♪>雪泉   (9/23 18:02:01)

エロガキ♂17L ◆> ん、じゃあ21時頃に……勝負部屋直接集合でってことで大丈夫？>雪泉   (9/23 18:02:08)

雪泉 ◆> ええ、大丈夫ですよ。   (9/23 18:02:46)

グレイ> っと、用事ができたので失礼しますね。お疲れ様でした♪(皆に手を振りつつ、雪泉にはウインクまでして)   (9/23 18:07:02)

おしらせ> グレイさんが退室しました。  (9/23 18:07:04)

エロガキ♂17L ◆> ん、お疲れ様〜(見送りながら手を軽く振って)   (9/23 18:07:33)

雪泉 ◆> はい、お疲れ様でした。では、私も夕餉の支度をしてくると致しましょう   (9/23 18:08:48)

エロガキ♂13Al> またねー！　もう18時だ！   (9/23 18:09:22)

雪泉 ◆> では、失礼致します   (9/23 18:09:33)

おしらせ> 雪泉 ◆qtse8iJjbUさんが退室しました。  (9/23 18:09:34)

エロガキ♂17L ◆> もうそんな時間か……早いね〜お疲れ様〜   (9/23 18:09:38)

エロガキ♂17L ◆> さてと……俺はどうしよっかな……   (9/23 18:11:29)

エロガキ♂13Al> 俺は行きます……どこかへ！　ふわー（口で言いながら出ていく）   (9/23 18:11:54)

おしらせ> エロガキ♂13Alさんが退室しました。  (9/23 18:11:58)

エロガキ♂17L ◆> おう、行ってらっしゃい〜   (9/23 18:12:10)

エロガキ♂17L ◆> ま、一旦戻るか……さらば   (9/23 18:12:29)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (9/23 18:12:31)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (9/23 21:25:14)

エロガキ♂19b ◆> よっと！こんばんは～っと！のんびりぶらぶらとやってきましたよー   (9/23 21:25:29)

おしらせ> エロガキ♂13㏄さんが入室しました♪  (9/23 21:26:22)

エロガキ♂13㏄> 今晩は先輩、昨晩ぶりですね（手をヒラヒラと振りながら挨拶）   (9/23 21:27:29)

エロガキ♂19b ◆> こんばんは～後輩君だ...ポップコーン食べる？(バリバリ)   (9/23 21:28:07)

エロガキ♂13㏄> ポップコーンですか？チェンソーマン見に映画館で食べたんで大丈夫です。お気持ちだけ！   (9/23 21:29:08)

エロガキ♂19b ◆> ふーん、レゼちゃんに恋しちゃったんだ...そのまま爆破されればいいのにね...食べたら口のなかで爆発するポップコーン...流行ると思います！！   (9/23 21:30:04)

エロガキ♂13㏄> 僕が一番好きなのはコベニちゃんです！映画館で周囲の人が爆発したらうるさいんでシアターでの提供はご遠慮いただきたい品ですね～   (9/23 21:31:35)

エロガキ♂19b ◆> 大丈夫大丈夫、どうせ映えを狙う人が買って撮ってすこし食べて捨てるから...ちなみに俺は...パワーちゃんが好きです！   (9/23 21:32:42)

エロガキ♂13㏄> パワーちゃんがヒロインする所まで映画化orアニメ化するのか…するとしても2，3年先になりそうですね   (9/23 21:34:05)

エロガキ♂19b ◆> 映画やったからね...どこぞの○○の刃みたいに速攻アニメ化！って可能性もなきにしもあらずだけどね！   (9/23 21:35:07)

エロガキ♂13㏄> そして爆発ポップコーンをゴミ箱に捨てるのは立派なテロなんですよ。ゴミ箱もアカウントも炎上してしまう！   (9/23 21:35:15)

エロガキ♂13㏄> ○○の刃もすごいですからねー（何故伏字？）今の映画は一度見ましたけど今日もう一回見ようかチェンソーマンとの二択で少し迷いました   (9/23 21:36:49)

エロガキ♂19b ◆> 明日のニュースは決まりだな！！大炎上！全国各地の映画館が突如爆発しました。調査によると原因はポップコーンのもよう....面白すぎるなおい   (9/23 21:37:12)

エロガキ♂19b ◆> 原作の名前を気楽にだすと身体が爆発するらしい...そして爆発のなかに著作権！！という文字が見えると...おばあちゃんがいっていた！かもしれない！   (9/23 21:38:44)

エロガキ♂13㏄> アメリカとかだったら訴訟もセットになりそうなニュースですねー、映画館VSインスタグラマー＆ポップコーン販売業者　もう実質無限城編では？   (9/23 21:38:45)

エロガキ♂13㏄> そんな事言ってたら女の子に元ネタの開示を求めてるこの部屋は立派な凶器等準備財集合罪ですね。ボンバーガールの人も居るみたいですし、まぁ順当か…   (9/23 21:40:32)

エロガキ♂19b ◆> どこまでも終わらないからね...まあそんなことはおいといて...少年！！君はどんな女が好みだ？   (9/23 21:40:54)

エロガキ♂13㏄> ロルでハートマークを多用してくれる女性です！先輩は⁉   (9/23 21:41:37)

エロガキ♂19b ◆> プライドが高い女性かな。...そのプライドを粉々に砕きたい！！   (9/23 21:42:54)

エロガキ♂13㏄> いいですねー♪僕は女性からのおねだりとか屈服宣言が好きなのでそういう意味では気が合うかもしれませんね。ご一緒した時はどうぞ良しなにお願いします   (9/23 21:44:03)

エロガキ♂19b ◆> 存在しない記憶が溢れそうだぜブラザー...ま、一緒になったときは頑張ろうね～...何にしろまずは勝つところから！   (9/23 21:45:30)

エロガキ♂13㏄> 虎杖と東堂になるのには互いにタッパが足りませんけどね、ダイス勝負になったら先輩におんぶにだっこで行こうと思います。リアルラック、死んでるので   (9/23 21:47:06)

エロガキ♂19b ◆> 昨日の俺のダイスをみてもそれが言えるのはもはや尊敬だよ...はー！何かの間違いで全部最大値がでないかなー！！   (9/23 21:47:43)

エロガキ♂13㏄> 5d10 → (5 + 2 + 10 + 7 + 1) = 25  (9/23 21:47:56)

エロガキ♂13㏄> 平の凡   (9/23 21:48:12)

エロガキ♂19b ◆> 5d10 → (10 + 8 + 4 + 7 + 10) = 39  (9/23 21:48:46)

エロガキ♂19b ◆> 時は満ちた！！   (9/23 21:48:55)

エロガキ♂13㏄> まぁ、たとえ弱くても誰かを矢面に立たせておけば負けた時言い訳が立つってもんです…満ちましたね…！   (9/23 21:49:14)

エロガキ♂13㏄> あとは女の子が来るのを待つだけですっ!……………来るかなぁ   (9/23 21:49:51)

エロガキ♂19b ◆> 今こそ聖剣を解放するときなのかもしれない...って冗談はおいておきまして、13cc君は今日は遊びに行くご予定は？   (9/23 21:50:00)

エロガキ♂19b ◆> 【聖剣→性剣】   (9/23 21:50:32)

エロガキ♂13㏄> 無ですね！予定があったらこんなところでむくつけき先輩と話さずエロモチベーションを向上させるのに務めてます！   (9/23 21:51:48)

エロガキ♂19b ◆> 確かにそうかもしれんな...ちなみに俺も今は動いてないだけというかさっき動いたけど...また後で女の子を探しに行きはする！！   (9/23 21:53:17)

エロガキ♂13㏄> 先輩も退出せずにさっきまで行われてた大乱交スマッシュブラザーズに混じってればよかったのに…無欲なんですか？後、可愛い後輩を置いてけぼりにするんですか？   (9/23 21:53:57)

エロガキ♂19b ◆> 先輩はね...数あわせなんですよ...需要がないんですよ、はい。いつも居るからいつでも会える枠なんですよ...ちなみに全然後輩をおいていくからな俺は！！   (9/23 21:55:12)

エロガキ♂13㏄> 頼りがいの無い東堂だなぁ、そんなんだから需要無くなるんですよ（ド辛辣）   (9/23 21:56:17)

エロガキ♂19b ◆> んだと～！勝って喜んでる瞬間に位置入れ換えるぞこのやろう～！んな、何にせよ数的な問題もあったからね...以前に人数差で色々合ったのも知ってますし。これでもわたくし！ここは長いのですよ！！   (9/23 21:58:15)

エロガキ♂13㏄> でも「じゃあ㏄くんが可哀そうだから俺もここに残るぜ！」とか言われたらその方が困ってたんで賢い選択だと思います♪置いてけぼりにされる悲しさはぬぐいされませんが…ﾒｿﾒｿ（ウソ泣き）   (9/23 21:58:50)

