/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]


https://pcmax.jp/?ad_id=rm176481
2025年01月25日 03時05分 ～ 2025年02月02日 06時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12d> 起きちゃったから覗いてみたんだー   (1/25 03:05:08)
エロガキ♂13Al> 増えろというのは自力ではどうにも……くう、ドスケベハーレム願望を聞き出されている……恥ずかしい、でも感じちゃう（しくしく。おっぱいを濡らす）　褒められると嬉しくなっちゃうから困る……！　俺もドスケベうふーんみたいなのも好きだけどそういう感じでもないのにストレートにエロいことしゃべったりするのえっちだと思う！（むぎゅむぎゅ、挟まれて谷間の奥から発せられるというフルーツの香りを嗅いでいた（何））　ふーふー……2人だけで盛り上がっていると入りにくいんじゃ内華という気持ちもあって離れた方がいいのかなって思うけど、目の前にあるおっぱいから逃げろというのは無理というもの……（誰に言い訳しているのか）
  (1/26 18:57:14)

セイウンスカイ> セイちゃん、そういうの大好きですから……ごめんなさいね、ついつい聞いちゃうわけです。そして正直に話すのもぐっど、おっけー、そしてぐ～っど……♥（たぽたぽ、おっぱいで挟みつつ。猥談好きなんですよね～とお茶を濁しながら谷間の奥をすんすん、されれば「も～……♥」って頬を赤らめて）あ、それと調子乗ってるオスも大好きなので是非～……オラオラ系って意味じゃないですよ？
  (1/26 19:00:09)

エロガキ♂13Al> コーフンしてべらべら聞き出されちゃうので恥ずかしい……でもおっぱいでお返ししてもらってるから！（ぐりぐり、たぽたぽ。なんか受け入れてもらってなあなあで許されてるのも興奮するのであった）俺はぜんぜん、謙虚すぎるぐらいだからリクエストには応えられないかもしれないですね。（服の中にもぞもぞ手を入れはじめている）
  (1/26 19:02:20)

セイウンスカイ> ちなみになんですけど～……場所とかシチュのもっとこう、自分で興奮するってやつとかは何か案あったりするのかな～？（ぐにゅん、ぐにゅん。会話しつつも乳房を揉まれれば「こら～…」って言いつつあんまり止める気はなさげ）どこが謙虚なんですかねぇ……あっ、そこもぞもぞするとはみ出ちゃうってば～……
  (1/26 19:04:18)

エロガキ♂13Al> 場所とかかー……うーん、難しいけどヤる気満々なのが嬉しいから……裸より恥ずかしいだろみたいな服着たりしてほしい。あ、あとゴム使うのが好きで……気持ちよくなるためにセックスしてるって感じがいいと思います。使ったあとたぽたぽしていっぱい出たねって言われたい（全部いってる）　大丈夫はみ出しても手で隠すから……！（むしろどうやって収まってるんだろうって爆乳を下からわしわし）
  (1/26 19:06:35)

セイウンスカイ> うーーーん、ちょっとセイちゃん。もうちょっと詳しく聞きたくは鳴ってきたけれどここであんまり長話するのもあれですねぇ……   (1/26 19:08:47)

エロガキ♂13Al> 誰かが来たらともかくだけど2人で長いこと居座っちゃってるし……ラブルームの方に行く……？（もぞもぞ）   (1/26 19:09:49)

セイウンスカイ> そうそう、セイちゃんも参戦者がいるかと思いましたけど……日曜の夕方はみんな忙しかったりするんでしょうか、まああんまり盛り上がっても入り辛いのかもしれませんし、かる～く猥談でも？（でも擬音と♥使ってくれるならですけど～、ってチラチラしつつ）  
(1/26 19:10:39)

エロガキ♂13Al> タイミングもあるだろうし3人目で入るのはけっこう勇気が要るような気はする……ん、んっ、それじゃあ……♥（そろーっと腰……というよりお尻のあたりー……に「ぴとっ♥」と手を触れさせて。あっちの方に……って別のトコロへつれて行こうと……）  
(1/26 19:12:12)

セイウンスカイ> それじゃ、連れて枯れちゃいまーす（慣れてるなーって押し付けられるまま、部屋の奥の方に）   (1/26 19:14:08)

おしらせ> エロガキ♂13Alさんが退室しました。  (1/26 19:14:22)

おしらせ> 無言時間が25分を超えたため、セイウンスカイさんが自動退室しました。  (1/26 19:40:40)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/26 21:31:45)

エロガキ♂19b ◆> よっと！！こんばんは～！！...誰も、いないか   (1/26 21:31:59)

エロガキ♂19b ◆> 誰もいないとボーッとしてまうな...まだ眠くはないけどね！   (1/26 21:52:21)

エロガキ♂19b ◆> 一旦帰ろっと～！！まったね～！！   (1/26 22:03:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/26 22:03:49)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/26 23:21:43)

エロガキ♂19b ◆> さてさて、やることも終わり～！ようやく完全自由時間！！...いつもいるから暇そうだって？これでも意外とやることはあったりなかったりするんですよっと！！   (1/26 23:22:27)

エロガキ♂19b ◆> ...せっかくだし遊びに行こうか、、たまには女の子とエッチしたい！(正直)   (1/26 23:42:12)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/26 23:42:13)

おしらせ> 雪花ラミィさんが入室しました♪  (1/27 01:15:33)

雪花ラミィ> あっかん。溶けるように昼寝してたら寝れないなってもた（懺悔）   (1/27 01:15:58)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/27 01:18:53)

エロガキ♂19b ◆> わぁぁぁ！！こんばんは、ラミィちゃん！昨日あんな時間に勝負したからじゃないですか～？   (1/27 01:19:40)

雪花ラミィ> 完璧にその通りだと思います。こんらみぃ（）   (1/27 01:20:07)

エロガキ♂19b ◆> あーら素直に認めた。俺は最後まではいなかったというか全く手出ししてないけど、結局どれぐらいしてたのー？   (1/27 01:21:10)

雪花ラミィ> それ以外要因見当たんないわ…！ラミィの意思で起きてたからいーんだけど〜。ご…5時過ぎとかじゃなかったっけ（）   (1/27 01:23:16)

エロガキ♂19b ◆> おぉ...ずいぶんとしたようで...お肌つやつやとまではいかなくても普段よりは潤ってるかも？...ごめん気のせいだわ、いつもと変わらない可愛さっと。ま、昼夜逆転はよくないぞー   (1/27 01:24:43)

雪花ラミィ> ……そうだよな、そうだよな。普段からつやつやだよな。ヒヤヒヤさせないでよもー♥（ニコニコ）まぁ、ちょっとお酒飲んでぐうたらしてたら、寝るやろたぶん…。   (1/27 01:26:44)

エロガキ♂19b ◆> いつも酒飲んでんなこのエルフ...本気で酒飲む姿でキュンとさせようとしてる？絶対しないからね？...ほんとに寝れそう？寝落ちしたら押し入れにポイだけど、ラミィちゃんなら大丈夫って信じてるからね？   (1/27 01:28:26)

雪花ラミィ> キュンとさせるために酒呑んでるわけじゃねーからよぉ…！清楚エルフだからほら、酔ってふわふわな状態に惹かれるとかはあるだろうけど（知らんけど）だいじょび……。寝落ち全然支障出ないから…！（）   (1/27 01:32:14)

エロガキ♂19b ◆> そうだねーラミィちゃんは超清楚エルフだもんねー..ラミィちゃんが大丈夫ならいいけど、せっかくだし俺もなにか飲もっと...(押し入るからオレンジジュースをだして)ま、これでいいや   (1/27 01:35:04)

雪花ラミィ> どんだけ棒読みなんだよぉ…！……ん゛ん、それはそうと、昨日気遣って貰っちゃったから、また改めてバトらせてちょーだいね。大抵飲んだくれてるけど引き抜いてくれてええから（）亜空間ワープ使って盗んでない…？買ったもんでしょうね…？   (1/27
01:38:18)

エロガキ♂19b ◆> あっはは！酒飲みまくる清楚なんてラミィちゃんぐらいしか見たことないからね～！んー？気なんてつかってないよー、そもそもタイミングがうんたらかんたら...いいの？バトッてまけたらもれなく生パコパコ待ってるけど？   (1/27
01:41:33)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (1/27 01:42:29)

十六夜咲夜 ◆> ふあぁ、こんばんは。昨日は失礼…   (1/27 01:43:07)

エロガキ♂19b ◆> やっほー！咲夜ちゃん～、今日も可愛いねー！   (1/27 01:43:45)

雪花ラミィ> 清楚はお酒を飲まないと思ったら大間違ぇな訳よ。ラミィは負ける事を想定してないから大丈夫やで（）こーーんらみーー！！らみこーーん！！   (1/27 01:44:42)

エロガキ♂19b ◆> 負けることを想定してないのはいいことなのかも？...勝負する機会があればそのときは昨日みたいに勝たせて貰うけどっ！   (1/27 01:46:03)

十六夜咲夜 ◆> あら、褒めてもお茶くらいしか出ないわよ？(と、サイドテーブルに紅茶は用意して)   (1/27 01:46:08)

十六夜咲夜 ◆> 負けることを考えないのは強いわねぇ…   (1/27 01:47:37)

エロガキ♂19b ◆> お茶はでるんだ...それじゃあ、俺はお菓子を...ラミィちゃんはスルメとかチーズの方がいいかなー？   (1/27 01:47:54)

十六夜咲夜 ◆> この部屋は色々都合よく揃ってるわねぇ…(あ、おつまみあった)   (1/27 01:49:12)

雪花ラミィ> 生粋のギャンブラーゆきはな、サイコロで勝つことにエクスタシーを感じる。なお、勝った後のことも考えてない様子   (1/27 01:50:02)

エロガキ♂19b ◆> トレーニングアイテムでもなんでも念じればでてくるんじゃないのかな？...原理はわかんない！   (1/27 01:50:22)

おしらせ> エロガキ♂13Alさんが入室しました♪  (1/27 01:50:48)

エロガキ♂13Al> (シャワーを浴びてさっぱりしてきた)ふぃー……なんだか妙にさっぱりした気分……！   (1/27 01:51:14)

十六夜咲夜 ◆> あら、こんばんは。   (1/27 01:51:55)

エロガキ♂19b ◆> やっほー！   (1/27 01:52:01)

雪花ラミィ> こんらみい〜〜、あかん、ちょっとやそっとじゃ酔えない日だわ…（）   (1/27 01:53:30)

エロガキ♂19b ◆> そんな日もあるさー...   (1/27 01:54:30)

エロガキ♂13Al> こんばんはー。ラミィちゃんの生活習慣がとても心配です。……添い寝しようか？（そっ……）   (1/27 01:54:58)

エロガキ♂19b ◆> なら俺は咲夜ちゃんと添い寝？...絶対添い寝で終わる気がしねぇ...   (1/27 01:56:08)

十六夜咲夜 ◆> 添い寝…では済まなそうね…   (1/27 01:57:02)

雪花ラミィ> どう考えても済まないんだワ、こっちも（）   (1/27 01:57:39)

エロガキ♂19b ◆> 明日にはお腹タプタプだね、知らんけど   (1/27 01:58:32)

十六夜咲夜 ◆> 抱き枕とかで済めばいいんですけどね…(   (1/27 01:58:45)

エロガキ♂13Al> 大丈夫。お互いのために裸で一緒にあったかい布団に入るだけ（ぬぎぬぎしましょうねー）   (1/27 01:58:48)

十六夜咲夜 ◆> お腹たぷたぷ…飲み過ぎ？(すっとぼけ)   (1/27 01:58:56)

十六夜咲夜 ◆> …一応、(建前上)勝負はしておきましょうか？   (1/27 02:01:08)

雪花ラミィ> ラミィの為に脱ぐ意味が分かんないんだわ…！エルフはほら、水分をすぐ吸収するもん（）   (1/27 02:01:15)

エロガキ♂19b ◆> まさかのお誘いだ！？俺は乗るぞ   (1/27 02:01:23)

十六夜咲夜 ◆> では移動しますかね。   (1/27 02:02:42)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (1/27 02:02:54)

エロガキ♂19b ◆> ラミィちゃんと13AI君はどうするよー？   (1/27 02:03:02)

エロガキ♂13Al> ラミィちゃんが行くなら昨日の決着をつけてやるぜ！（ついたのでは？）   (1/27 02:03:30)

エロガキ♂19b ◆> って、、待ってー！！...2人とも遊びに来るなら歓迎よ～！複数戦楽しいしね！   (1/27 02:03:35)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/27 02:03:37)

雪花ラミィ> 言うてラミィ、もーそろ溶けてスラミィになりそうやから、いってらっせー。   (1/27 02:03:48)

エロガキ♂13Al> それじゃあ俺はここでラミィちゃんのお世話をしていよう……（安全体位を取らせる）   (1/27 02:04:53)

おしらせ> エロガキ♂16Aさんが入室しました♪  (1/27 02:10:22)

エロガキ♂16A> こんばんは   (1/27 02:10:31)

雪花ラミィ> どっちもがんばえーー（旗振り振り）世話って言っても、酒を呑み散らかしてるのを側から見てるだけでは…？（）   (1/27 02:10:46)

エロガキ♂13Al> こんばんはー。ラミィちゃんがいつ寝てしまっても言いように気持ちを作っておいてね……！   (1/27 02:10:54)

雪花ラミィ> んっ、こんらみ〜〜。こんばんらみー？（）   (1/27 02:11:05)

エロガキ♂13Al> いやーまあ、昨日遅くまで付き合わせてしまったからいちおう謝っておこうと思ってー……。昨日はありがとね。念願叶いました（手を合わせて拝む）   (1/27 02:11:35)

エロガキ♂16A> そうだね！ラミィちゃんが寝るまでは、ここから離れよ   (1/27 02:13:16)

雪花ラミィ> ん、いーえー。気にせんとって〜。今年始まったばかりでどんな小さな念願をセットしとんよ…！ラミィは爆睡そろそろかます（）   (1/27 02:15:32)

エロガキ♂13Al> ラミィちゃんが爆睡してぐったりするところを見たくないので……自分の意思で退室ボタンを押して寝なさい、という圧をかけに来たというわけ。   (1/27 02:17:44)

雪花ラミィ> ラミィが爆睡するところ、助からんの？（）てのはさておき、けっこーヤバになっちゃったからそろそろ寝とこかな。A君も、またラミィが万全の時またお話ししよね。おつらみ〜〜⭐︎   (1/27 02:20:17)

おしらせ> 雪花ラミィさんが退室しました。  (1/27 02:20:19)

エロガキ♂16A> せやな！13AI俺もちょうど来たけど退室ボタンをおそうとおもたけど圧をかけに来たからね   (1/27 02:20:35)

エロガキ♂13Al> よし！　今日はもうちゃんとネルのですよ……ってことでミッションを達成したから、おれもネル！　2時だから！！！   (1/27 02:21:01)

おしらせ> エロガキ♂13Alさんが退室しました。  (1/27 02:21:07)

エロガキ♂16A> 俺も寝る   (1/27 02:21:45)

おしらせ> エロガキ♂16Aさんが退室しました。  (1/27 02:21:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/27 03:09:51)

エロガキ♂19b ◆> 帰還～！！...とはいってもこの時間は誰もいないだろうけどね！   (1/27 03:10:33)

おしらせ> エレン・ジョーさんが入室しました♪  (1/27 03:18:55)

エレン・ジョー> ねむ、こんばんはー   (1/27 03:19:40)

エロガキ♂19b ◆> っと、、やっほー！！こんばんは！   (1/27 03:25:18)

エロガキ♂19b ◆> 結構久しぶりかも？...うん、、かなり久しぶりな気がする   (1/27 03:25:40)

エロガキ♂19b ◆> ...もしかして寝ちゃった？(毛布を取り出して)   (1/27 03:36:44)

おしらせ> 無言時間が25分を超えたため、エレン・ジョーさんが自動退室しました。  (1/27 03:45:14)

エロガキ♂19b ◆> おやすみ、エレンちゃん！(毛布でぐるぐる巻きにして押し入れにポイッと！)   (1/27 03:45:50)

エロガキ♂19b ◆> さーて、俺もそろそろ寝よっかな！！...   (1/27 03:46:52)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/27 03:46:59)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (1/27 07:23:45)

十六夜咲夜 ◆> わーーっっっ！！やらかしました…申し訳ないです…   (1/27 07:24:21)

十六夜咲夜 ◆> 無理はしてなかったはずなのですけど…ええ、言い訳は一切無しで。   (1/27 07:27:22)

十六夜咲夜 ◆> 埋め合わせは必ずするわよ…   (1/27 07:28:09)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (1/27 07:28:17)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/27 08:25:33)

エロガキ♂19b ◆> おっはようー！！...やらかしは誰にでもあるからしかたないね...ま、寝落ちばっかの俺が言っても説得力はないけど！   (1/27 08:26:42)

エロガキ♂19b ◆> 月曜の朝って本当にやる気がでないよね...うわぁぁぁぁ！ってなるのもわかる気がする...   (1/27 08:44:17)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (1/27 08:47:35)

十六夜咲夜 ◆> …というわけで、本当に失礼しましたー…   (1/27 08:47:55)

エロガキ♂19b ◆> あら、おはよう咲夜ちゃんー、大丈夫大丈夫！気にしてないよ～   (1/27 08:51:11)

十六夜咲夜 ◆> そう言って頂けるのは助かるわ…   (1/27 08:52:27)

エロガキ♂19b ◆> 時間も遅かったし寝落ちなんてよくあることだからね～。俺もよく寝落ちするし！   (1/27 08:54:16)

十六夜咲夜 ◆> あら、そのイメージは無かったわね。意外。   (1/27 08:55:26)

エロガキ♂19b ◆> ここではよく寝落ちしたりしてるからね～、いっときはそれで怒られたような...それに比べたら咲夜ちゃんは可愛い方だよ～。だからほんとに気にしなくて大丈夫   (1/27 08:56:25)

十六夜咲夜 ◆> 承知したわ…と、何分残ってたのかしら？それあとでやらなきゃというのも。   (1/27 08:57:51)

エロガキ♂19b ◆> いうて10分ぐらい？...だったきがする   (1/27 08:59:04)

十六夜咲夜 ◆> まあ後半くらいかしら。…いつ都合つくかしら？   (1/27 09:01:33)

エロガキ♂19b ◆> 都合がつく時間？いつでも空いてるね...ここにいるときはだいたいできるときとして、、夜はまーじで何時でも可よ   (1/27 09:02:40)

十六夜咲夜 ◆> わかったわ。こちらは別に今でも平気。   (1/27 09:03:57)

エロガキ♂19b ◆> だったら今しちゃおうか、変なモヤモヤはさっさと解決するに限るからね！   (1/27 09:04:30)

十六夜咲夜 ◆> ええ、わかったわ。   (1/27 09:05:44)

エロガキ♂19b ◆> それじゃ、個室いきますか～！覚悟しててね   (1/27 09:06:48)

十六夜咲夜 ◆> 向かうわよ。   (1/27 09:07:32)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (1/27 09:07:35)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/27 09:07:45)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/27 23:19:34)

エロガキ♂19b ◆> やっほー！こんばんは～。いやー、今日も疲れたねぇ～(ゴロン)   (1/27 23:20:02)

エロガキ♂19b ◆> この時間はごろごろできる貴重な時間～...寝落ちだけは気を付けなきゃ！   (1/27 23:34:32)

エロガキ♂19b ◆> 最近まじで寒くない？いつもだって？まぁまぁ...確かに何時も寒いけど最近は特にだと思うんだよねぇ...暑すぎるのも嫌だし寒すぎるのも、、ねぇ   (1/27 23:51:53)

エロガキ♂19b ◆> もう皆寝てそうな時間かぁ...1日って早くね！？もっと沢山の女の子と遊ばないとあっという間に終わっちゃいそうだなぁ...   (1/28 00:05:01)

エロガキ♂19b ◆> うーん...よしっ、、いったんやることやってこよー！！たったねー！   (1/28 00:20:47)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/28 00:20:50)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/28 01:43:28)

エロガキ♂19b ◆> よっと！！...さてさて遅い時間に寝てないような悪い子は～...いなさげだね、うん   (1/28 01:44:02)

エロガキ♂19b ◆> 静かすぎて頭空っぽになってた...時間も時間だし騒ぐわけにも...ま、もう少しだけゆっくりさせて貰おっと！   (1/28 02:00:53)

エロガキ♂19b ◆> ん、、さすがに寝ようか...   (1/28 02:21:10)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/28 02:21:12)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/28 23:08:26)

エロガキ♂19b ◆> やっほー！こんばんは～！！...いやほんと茶色だな！？、、   (1/28 23:08:54)

エロガキ♂19b ◆> そういえば今日も寒かったんだよなぁ...もうね、外にいると手が凍えちゃうんじゃないかな～って思ったよほんとに！   (1/28 23:23:55)

エロガキ♂19b ◆> 寒いときはコタツ   (1/28 23:40:31)

エロガキ♂19b ◆> がほしい！...うちにはないのがあれなんだけど...   (1/28 23:40:47)

エロガキ♂19b ◆> ん、一旦帰ろっと～！   (1/28 23:53:21)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/28 23:53:21)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/29 22:01:40)

エロガキ♂19b ◆> やっほー！こんばんは～。スッゴい疲れた！もうなにもしたくない...あ、女の子とエッチするのは別だぞ！   (1/29 22:02:18)

エロガキ♂19b ◆> とはいってもあんまり動きたくは...ねぇ、、ゴロゴロしてたみがあるー   (1/29 22:16:48)

エロガキ♂19b ◆> 遊びに行こっと！   (1/29 22:28:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/29 22:28:31)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (1/29 23:27:43)

エロガキ♂14C ◆> こんばんは、なんとなくきてみたけど流石に人に会える時間じゃなかったかな。   (1/29 23:28:14)

エロガキ♂14C ◆> 皆ゲームとかしてるのかなあ、最近ゲームにじっくりかけられる時間がなくて隙間時間でホロのスイカとかやるくらいかなあ。   (1/29 23:37:29)

エロガキ♂14C ◆> わ、人も来そうにないか。おやすみなさーい。   (1/29 23:52:09)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (1/29 23:52:13)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/30 01:57:17)

エロガキ♂19b ◆> 深夜帯にこんばんは！！ま、さすがに誰もいなさそうかな？   (1/30 01:57:45)

エロガキ♂19b ◆> んー、、ちょっと今は話すことがないなぁ...大人しく寝ろってことか、、そうしよっと！   (1/30 02:15:33)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/30 02:15:34)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/30 21:39:03)

エロガキ♂19b ◆> こんばんは～、今日もなかなか寒いねぇ...最近寒い日続きでマージできつい！！こういうときは女の子に引っ付いて暖まるのが定石なのかも？   (1/30 21:39:58)

エロガキ♂19b ◆> カイロを持ち歩いててもそんなにだし...やっぱり布団の何こもってるのが正解？...ダメ人間になってしまう！？   (1/30 21:44:00)

エロガキ♂19b ◆> ヒーター持ち歩くのは物理的に無理として、、なんか暖まるいい方法はないだろうか...   (1/30 22:00:35)

エロガキ♂19b ◆> ..大人しく手袋とかマフラーを...んー、、あんまり好きじゃないんだよなぁー(聞いてない)   (1/30 22:16:14)

エロガキ♂19b ◆> 遊びに行こうかなぁ...でももう少し遅くても、、うーむ   (1/30 22:36:11)

エロガキ♂19b ◆> っと...さすがにいすぎだな！？一旦帰ろー！   (1/30 22:46:15)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/30 22:46:17)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/31 14:27:21)

エロガキ♂19b ◆> やっほー！こんにちは～...今日も寒いしそとになんてでたくない！！って感じよねぇ   (1/31 14:28:08)

エロガキ♂19b ◆> っと...平日だしこの時間はなかなか人がいなかったりー？   (1/31 14:49:11)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (1/31 15:14:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/31 23:44:25)

エロガキ♂19b ◆> こんばんは～...マジで寒い...一瞬で凍りそうなぐらい寒いぞ！？   (1/31 23:45:39)

エロガキ♂19b ◆> やっぱ最近はマジで人が減った気が？...まぁ仕方ないことだけど～。お陰でゴロゴロしてる時間の方が長いきがするかも！？   (1/31 23:57:49)

エロガキ♂19b ◆> ボーッとしてると寝そうになっちゃうな...一旦帰ろうかなぁ...んんー   (2/1 00:14:53)

エロガキ♂19b ◆> よしっ！帰ろっと！！   (2/1 00:30:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2/1 00:30:22)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2/1 09:23:00)

エロガキ♂14C ◆> おはよーございまーす。……うわー、見事に同じ色ばかりだ。   (2/1 09:23:33)

エロガキ♂14C ◆> 久々にゆっくりとした休みだしゲーム部屋に行こうかな、と思いつつその前にこっちに来てはみたけども…   (2/1 09:24:17)

エロガキ♂14C ◆> ってあれ？もしかしてすごいタイミングでゲーム部屋に人が入ってる！？とりあえず行ってみよーかな。お邪魔しましたー。   (2/1 09:25:47)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2/1 09:25:49)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2/1 21:06:34)

エロガキ♂19b ◆> やっほー！こんばんは～。だーれかおるかぁ！！   (2/1 21:06:47)

エロガキ♂19b ◆> うーん...遊びにいきたみはあるけど、まだ早いかなぁ...ぐぬぬ   (2/1 21:22:13)

エロガキ♂19b ◆> 一旦様子見かなぁ...またこよっと！   (2/1 21:37:15)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2/1 21:37:17)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2/2 02:53:07)

エロガキ♂19b ◆> やっほー！深夜にこんばんは～...とはいってもさすがにこの時間は、、いなそうだけどねぇ   (2/2 02:53:33)

エロガキ♂19b ◆> んんー...まぁさすがにって感じよねぇ...というか最近はこの時間に起きてるのが当たり前になってきたな...   (2/2 03:06:35)

エロガキ♂19b ◆> さて...あまり長居してもあれだしそろそろ行こっと！！待ったねー   (2/2 03:14:50)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2/2 03:14:55)

おしらせ> 雪花ラミィさんが入室しました♪  (2/2 04:52:34)

雪花ラミィ> 酒飲むと、寝れない日って出てくるよね。それが今である、ラミィである。目には目をって言うし、酒をぶつけて寝るか……？   (2/2 04:53:43)

おしらせ> エロガキ♂15Jさんが入室しました♪  (2/2 04:57:51)

エロガキ♂15J> どうも、はじめまして。なんかヤベー発言してる面白いハーフエルフいたんで来ちまいました。   (2/2 04:59:06)

エロガキ♂15J> ……お酒で寝れないって感覚はよくわからないけど、コレなんてどうだ？(取り出したるは、カップめぇん！濃口豚骨！) ほら、締めのラーメンってよく聞くし。腹満たされれば寝れるって、多分。   (2/2 05:01:51)

エロガキ♂15J> これは…ひょっとしてほっといたら寝れてるパターンか？なら、このカップ麺は持ち帰るか…   (2/2 05:08:04)

雪花ラミィ> あ゛ーーーっ…！（起床の音）   (2/2 05:12:51)

エロガキ♂15J> うおっ！？(ひっそりとお湯入れようとしてたカップ麺を落としそうになった) びっくりした……おはよう？   (2/2 05:14:30)

雪花ラミィ> 寝かけてたんちゃうんよ。グラスに氷入れて日本酒入れて、氷がパキパキ鳴る様子を眺めてたら寝かけてた（結局寝かけてた。）こんらみい〜、初めまして〜っ。ラーメンにお湯を入れて、ゆっくりとこちらに引き渡しなさい…！！   (2/2 05:15:19)

エロガキ♂15J> おっけ、よくわからん。はいはい、こんらみです。カップ麺は元々あげるために持ってきたし、ほいっ。(お湯注いだのをラミィのいるテーブルにおいて) 飯テロってやつだ。   (2/2 05:18:52)

エロガキ♂15J> そこに、この紅生姜と炒り胡麻を追加投入！白米もあれば尚良し！これが運動部の簡単メシ！   (2/2 05:20:24)

エロガキ♂15J> (どんっ！紅生姜と炒り胡麻の入った食器おいて)   (2/2 05:20:57)

雪花ラミィ> こんらみをいなされた…。もうちょっと可愛い挨拶TAKE2やらなあかん…？（）やーーーとんこつラーメンはこの時間は罪やーー♥休日だから良かったものの、ラミィを太らせる気まんまんやね。でも良いですうーー体脂肪率10パーキープしてるもーん！！（ハーフエルフは黙って全ブッコミや！！！）
  (2/2 05:23:21)

エロガキ♂15J> 今の挨拶で十分かわいいと思うけど？(ついでに自分用のラーメンも用意して、対面のイスに座る) 罪も罪、大罪だよ。休日ならカロリー消化する時間たっぷりあるし大丈夫でしょ。……まぁ、俺も同罪ってことで、ここは一つ。   (2/2
05:28:33)

雪花ラミィ> もうちっと萌え気質な挨拶も用意しとるんよ。周りからは200歳とか言われるけど。エルフで見たら200歳は若くてちょうど良いんやっつーの…（ぶつぶつ言いながら割り箸割ってずるずる。）休日はいっちばんダラダラするからカロリー消化の時間も何もないよ…体育会系ってしゅげー…。なんやなんや？アイスか？（罪重ね）
  (2/2 05:33:58)

