/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月21日 07時17分 ～ 2024年10月21日 21時07分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

常闇トワ ◆> 15kbちゃんには負けてるからいつか勝ちたいな〜   (2024/10/21 07:17:23)

エロガキ♂19b ◆> (ぱちぱちぱちぱち)   (2024/10/21 18:13:18)

キタサンブラック> ……（あたらめて？　あたら……ん？）   (2024/10/21 18:13:23)

パンドラ ◆> 仮装をするのは私じゃないと思いますけれどね、、きっと強欲の魔女か誰かがしてくれるでしょう、、   (2024/10/21 18:13:27)

エロガキ♂19b ◆> 女装なんてしないよ！？   (2024/10/21 18:13:29)

エロガキ♀13ε> (ぱちぱちぱちぱち)   (2024/10/21 18:13:32)

胡桃 ◆> (最近種は仕込まれてないなぁって＞キタちゃん)   (2024/10/21 18:13:34)

パンドラ ◆> (あたらめましょう、、)   (2024/10/21 18:13:41)

胡桃 ◆> 私は急ぎでタイプしてる時の誤字は気にしない！酷い時は気にするけど！   (2024/10/21 18:14:03)

キタサンブラック> ……焼いたあたりめっておいしいですよね♪   (2024/10/21 18:14:05)

エロガキ♀13ε> メスのバンパイア、素敵……だから…   (2024/10/21 18:14:14)

パンドラ ◆> 良い匂いがしますね、、あたりめも、、   (2024/10/21 18:14:25)

エロガキ♀13ε> 11Tもする、女装……？   (2024/10/21 18:14:28)

エロガキ♀13ε> 魔女は人によっては、仮装…するんだ……？   (2024/10/21 18:14:52)

エロガキ♂11T> 女装ですか…じゃ…ワンピースでも着ますかね   (2024/10/21 18:15:00)

パンドラ ◆> 成人男性に女装を本気でさせてみたい欲望が少し湧いてきますね、、   (2024/10/21 18:15:04)

エロガキ♂19b ◆> 女装は俺には似合わんよ、、もっと小さい子にさせよう   (2024/10/21 18:15:11)

胡桃 ◆> そうそう、さっきのリネットは私だよ。説明するにも少し悩んでたからちょっと協力してもらったの。紛らわしくてごめんね！＞εさん   (2024/10/21 18:15:13)

エロガキ♂11T> スカートのワンピースを着ますね…スカートってスースーする…   (2024/10/21 18:15:47)

エロガキ♀13ε> ううん、わざわざ有難う……さっきの、説明通りで…仮装すれば、完璧…、胡桃？   (2024/10/21 18:16:06)

胡桃 ◆> それじゃ私は帰るね〜♪何かあったら呼んで！   (2024/10/21 18:16:09)

キタサンブラック> ……（麦わらに赤Tシャツ？　俺はワンピース王になる男だ？）   (2024/10/21 18:16:16)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/21 18:16:28)

エロガキ♀13ε> 似合わん人がするが、楽しいよ……１９兄   (2024/10/21 18:16:29)

キタサンブラック> 胡桃さん、お疲れ様です。（ぺこりっ   (2024/10/21 18:16:34)

パンドラ ◆> お疲れ様です、   (2024/10/21 18:16:44)

エロガキ♂19b ◆> 胡桃ちゃんお疲れさま～   (2024/10/21 18:16:48)

エロガキ♂11T> ん？キタさん、ワンピースのルフィじゃん   (2024/10/21 18:16:49)

エロガキ♀13ε> 呼ぶ……またね……お疲れ様…   (2024/10/21 18:16:58)

エロガキ♂19b ◆> わ、わぁ....でも、女装かぁ...うん、無理！   (2024/10/21 18:17:23)

パンドラ ◆> 私の衣装、、抽象的に見ればてるてる坊主に見えなくもありませんか、、？   (2024/10/21 18:17:26)

エロガキ♀13ε> 半ズボンと変わり…ないよ、１１   (2024/10/21 18:17:31)

キタサンブラック> 19さん   (2024/10/21 18:17:49)

エロガキ♂11T> 半ズボンなんて、普段はかないよ…   (2024/10/21 18:17:53)

キタサンブラック> ガチな人がやるのと、冗談とわかる人のやる女装は意味が違うんですよ   (2024/10/21 18:18:02)

エロガキ♀13ε> てるてる？可愛いよ……、パンドラ…   (2024/10/21 18:18:13)

エロガキ♂11T> てるてる坊主？パンドラお姉さん、かわいい   (2024/10/21 18:18:30)

エロガキ♀13ε> 半ズボン履かないの？でも、Bsの……ｒｙ   (2024/10/21 18:18:41)

エロガキ♂11T> あ、たまに履いてた…(笑)   (2024/10/21 18:19:17)

エロガキ♀13ε> 無理だから…やるです……当日、負けたら、女装コス、確定で……１９兄（鬼）   (2024/10/21 18:19:26)

エロガキ♂19b ◆> なるほど、、楽しめればいいや的なやつか、、理解が足りんかったな..考えとく   (2024/10/21 18:19:39)

エロガキ♀13ε> ガチな人……面白い……お化粧最近男もするから……   (2024/10/21 18:20:12)

パンドラ ◆> メイクと毛の処理と、ウィッグと、あと服、、体を細く見せるなら、、悩みますね、、   (2024/10/21 18:20:16)

エロガキ♀13ε> スカートは見えるギリギリがいい、らしいです……   (2024/10/21 18:20:41)

キタサンブラック> きわどいと……まぁあれですよね。ムダ毛とかどこといいませんがお手入れが……その   (2024/10/21 18:21:03)

エロガキ♀13ε> １１は線細い、体型なの、かな…？   (2024/10/21 18:21:11)

エロガキ♂11T> 毛の処理はしっかりしないとですね…(きちんと処理して…(笑))   (2024/10/21 18:21:13)

キタサンブラック> （スパッツはその点楽で   (2024/10/21 18:21:14)

エロガキ♂11T> 背低いからね…細身ですよ   (2024/10/21 18:21:42)

エロガキ♀13ε> じゃあ、11Tと19兄は……女装、楽しみに……してるね……   (2024/10/21 18:22:07)

エロガキ♀13ε> スパッツってきつく、無い、キタちゃん？   (2024/10/21 18:22:27)

エロガキ♂19b ◆> 確定なのね...勉強しとくよ   (2024/10/21 18:22:32)

エロガキ♂11T> アルプスの少女ハイジとかにしようかな～(笑)   (2024/10/21 18:22:35)

パンドラ ◆> とりあえずは19bの彼は背丈も高すぎませんので、ヒールまでは要らないでしょうし、最低限の下地と処理してから考えましょう、、(←)   (2024/10/21 18:22:44)

エロガキ♀13ε> ムダ毛……ガムテでバリッ、ってやったげる……   (2024/10/21 18:22:59)

キタサンブラック> 履き慣れない時はきゅっと締まる感じがしますけど、慣れると伸縮するのとピッタリしてるので、動くのにはむしろいいですよ？   (2024/10/21 18:23:09)

エロガキ♂11T> それはめっちゃいたいからやめて…   (2024/10/21 18:23:16)

エロガキ♀13ε> ワカメちゃん…で……１１   (2024/10/21 18:23:20)

エロガキ♂11T> ワカメちゃんか…それもあり   (2024/10/21 18:23:38)

エロガキ♀13ε> そういや19兄は身長……じーっ。お化粧は…手伝う……ムダ毛はガムテで…ｒｙ   (2024/10/21 18:24:18)

エロガキ♂19b ◆> 痛いです...   (2024/10/21 18:24:30)

エロガキ♀13ε> 動くのはいいけど……あ、私のがきついだけか…スパッツ緩いの買って来る……   (2024/10/21 18:24:59)

エロガキ♂11T> キタさん、スパッツ今度履かせてください…(笑)   (2024/10/21 18:25:10)

パンドラ ◆> 身長は遠目からでしたら少し誤魔化せるので、足元隠してヒール音させられるの履かせたらぽくはなりそうですよ、、？   (2024/10/21 18:25:42)

エロガキ♀13ε> おうちに帰るから落ちる……お騒がせして…御免なさい……   (2024/10/21 18:25:48)

キタサンブラック> え？……アタシが履かせるんですか？   (2024/10/21 18:25:58)

エロガキ♀13ε> ヒールは確定……   (2024/10/21 18:26:07)

エロガキ♂11T> キタさんに履かせて欲しいです…ダメ？   (2024/10/21 18:26:25)

パンドラ ◆> とりあえずは男性陣につけまつ毛から始めましょうか、、   (2024/10/21 18:26:25)

キタサンブラック> イプさんお疲れ様です。夜道ですから、お気をつけて   (2024/10/21 18:26:25)

キタサンブラック> い、いえ……あの、幼児でもないので履かせるとか、え？ご、ごめんなさい   (2024/10/21 18:26:45)

エロガキ♀13ε> ……はい、有難う、キタちゃん…。   (2024/10/21 18:26:49)

エロガキ♀13ε> それじゃ、また後で…会えたら宜しくね……   (2024/10/21 18:27:13)

エロガキ♂19b ◆> 13εちゃん、またねー！   (2024/10/21 18:27:16)

エロガキ♂11T> ダメか…ちょっと残念   (2024/10/21 18:27:17)

おしらせ> エロガキ♀13εさんが退室しました。  (2024/10/21 18:27:21)

パンドラ ◆> お帰りにはお気を付けて、、この時期ですとまだ不審者が裸コートしてる事が無いことは無いですから、、   (2024/10/21 18:27:21)

エロガキ♂19b ◆> 自分も一旦落ちますね～、、さらば！   (2024/10/21 18:29:14)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/21 18:29:18)

エロガキ♂11T> お疲れさま～   (2024/10/21 18:29:26)

キタサンブラック> お疲れ様です。アタシは、どうしよう……一応人が居たから来たけど、お夕飯済ませてまたくればいいかな   (2024/10/21 18:29:53)

エロガキ♂11T> 解散ですかね   (2024/10/21 18:30:16)

エロガキ♂11T> キタさん、トワお姉さんとだもんね～(笑)   (2024/10/21 18:30:32)

パンドラ ◆> スパッツは蒸れたりしませんか、、私はあまり湿気が篭もる感覚が得意でないので、、(布ひらひら、、)   (2024/10/21 18:30:35)

パンドラ ◆> 続けてお疲れ様ですね、、   (2024/10/21 18:31:14)

パンドラ ◆> キタサンブラック様もお食事に行かれるのでしたらごゆっくり、、   (2024/10/21 18:31:39)

キタサンブラック> スパッツも通気性の良いモノ、ありますよ？（脱臭タイプとか）　あと、意外と冷感タイプなんかと、ヒートテックなんかで意外とシーズンごとに使い分け可能だったり   (2024/10/21 18:31:56)

エロガキ♂11T> いろんなのあるんですね～   (2024/10/21 18:32:20)

キタサンブラック> もう少し時間はあるんですけど……まぁ、遊ぶにしても結局夕飯済ませた後になるでしょうから。今粘っても～な時間ではあるんですよね   (2024/10/21 18:34:23)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/21 18:35:02)

エロガキ♂18Z> (コスプレの話だ)こんばんは〜   (2024/10/21 18:35:15)

エロガキ♂11T> 微妙な時間帯ってことですね   (2024/10/21 18:35:32)

パンドラ ◆> 私の肌事情を暴露してしまうところでしたね、、気をつけます、。少し下着も選ぶのでその上のものは気を付けているのですよね、、また機会があったら少しお試しで買ってみますね   (2024/10/21 18:35:35)

パンドラ ◆> こんばんは、   (2024/10/21 18:35:56)

エロガキ♂11T> こんばんは   (2024/10/21 18:36:03)

キタサンブラック> あー、確かに肌の弱い人とかだと、ちょっとあれですね。（直接長時間触れるのがだめな人もいますからね）   (2024/10/21 18:36:25)

キタサンブラック> どうも、こんばんは～   (2024/10/21 18:36:32)

エロガキ♂11T> ほんと人によって肌は異なるから   (2024/10/21 18:38:19)

エロガキ♂18Z> 敏感肌用のスパッツとかもありますけど、やっぱり通気性も良くないと微妙なんですかね〜   (2024/10/21 18:38:31)

パンドラ ◆> 弱いのもありますし色々です、、(口に人差し指立てましょう、、)   (2024/10/21 18:38:55)

エロガキ♂18Z> (お口チャック)   (2024/10/21 18:39:26)

エロガキ♂11T> 落ちますね   (2024/10/21 18:40:22)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/10/21 18:40:26)

パンドラ ◆> あら、お疲れ様です、、   (2024/10/21 18:40:31)

エロガキ♂18Z> お疲れ様です〜   (2024/10/21 18:40:34)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが入室しました♪  (2024/10/21 18:40:36)

常闇トワ ◆> こんやっぴ〜   (2024/10/21 18:40:42)

エロガキ♂18Z> こんばんは〜   (2024/10/21 18:40:43)

パンドラ ◆> こんばんは、   (2024/10/21 18:41:03)

エロガキ♂18Z> 待ち人来たる。ですね〜   (2024/10/21 18:41:08)

常闇トワ ◆> キタちゃん待った〜？   (2024/10/21 18:41:32)

エロガキ♂18Z> しかしコスプレかぁ…。自分がやるならホラゲーの何かに仮装をしたいとこですね〜   (2024/10/21 18:41:57)

常闇トワ ◆> キタちゃんご飯中かな〜   (2024/10/21 18:42:57)

パンドラ ◆> キタサンブラック様は少しお呼ばれしているかも知れませんね、、   (2024/10/21 18:43:09)

エロガキ♂18Z> ですね〜   (2024/10/21 18:43:18)

常闇トワ ◆> りょうかーい‼︎   (2024/10/21 18:43:27)

エロガキ♂18Z> まあ、のんびり待ちましょ〜   (2024/10/21 18:43:33)

キタサンブラック> あ、どうも～トワさん   (2024/10/21 18:44:04)

常闇トワ ◆> おかえりキタちゃん‼︎   (2024/10/21 18:44:22)

エロガキ♂18Z> ゲートインしましたね   (2024/10/21 18:44:25)

キタサンブラック> ちょっと居間の方で、食事の準備状況確認してました。すぐ始められそうなら、とりあえず個室移動しちゃいますか？   (2024/10/21 18:44:37)

常闇トワ ◆> そうだね〜   (2024/10/21 18:44:53)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/21 18:44:57)

常闇トワ ◆> キタちゃんに負けないぞ〜   (2024/10/21 18:45:08)

キタサンブラック> では、移動しちゃいます。　ほかの皆さんはまた今度～   (2024/10/21 18:45:18)

エロガキ♂18Z> 楽しんで〜   (2024/10/21 18:45:28)

常闇トワ ◆> では終わったら戻ってきますね〜   (2024/10/21 18:45:39)

パンドラ ◆> 行ってらっしゃいませ、、   (2024/10/21 18:45:44)

エロガキ♂18Z> (お手振り)   (2024/10/21 18:46:04)

おしらせ> 常闇トワ ◆oGpXeP7rCgさんが退室しました。  (2024/10/21 18:46:13)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/21 18:46:22)

エロガキ♂18Z> そして残された我々。あ、この際にパンドラさんにお聞きしたいことを聞くか…   (2024/10/21 18:47:36)

パンドラ ◆> はい、なんでしょうか、、？   (2024/10/21 18:48:02)

エロガキ♂18Z> NGって聞く機会があまり無いのでこの際にお聞きしても大丈夫でしょうか〜   (2024/10/21 18:48:27)

エロガキ♂18Z> (うっかり踏み抜いたら怖いしね…)   (2024/10/21 18:48:53)

パンドラ
◆> あまり考えた事はありませんでしたね、、ただただ痛いのは好みませんね、それと後は私の頭の中で分からなくなる事、、と曖昧なお返事になってしまいますね。聞かれた方がまだ答えやすいのでまた詳細に知られたいのでしたらその際にお聞きされることをお勧めしますね？  
(2024/10/21 18:52:40)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/21 18:53:11)

パンドラ ◆> おかえりなさい、   (2024/10/21 18:53:51)

エロガキ♂18Z> ふむふむ〜、ありがとうございます〜。とりあえず大雑把でもこれこれが駄目ってのが分かるだけでも全然違いますからねー。詳細については分からないことがあった際にお聞きしますー   (2024/10/21 18:54:59)

パンドラ ◆> (お仕事、、でしょうか、、)   (2024/10/21 18:55:01)

エロガキ♂18Z> こんばんは〜   (2024/10/21 18:55:02)

エロガキ♂18Z> (レモン味の飴を渡さなきゃ…)   (2024/10/21 18:55:20)

エロガキ♂18Z> (パンドラさんにもレモン味の飴をすっ)   (2024/10/21 18:56:45)

胡桃 ◆> 嗜好を知りたい、聞きたいは止めないよ。(性癖の談義は盛り上がるからね)でもNGに関しては流れとかでそういう風にでもならない限り個人で聞くなら個室をおすすめしとくね、理由はあるけど私の口からは言わないよ。   (2024/10/21
18:56:49)

エロガキ♂18Z> oh......なんかやらかした気がする。申し訳ない…   (2024/10/21 18:57:56)

胡桃
◆> まぁ、ゲーム部屋とか罰部屋だとその辺の擦り合わせ出来ないからって人も居ると思うしね。(いつの日か忘れたけど、擦り合わせしようとしたら抜けられた人も見かけてるから)個室で何をしようと私の知った事じゃないけど、私が用意させてもらった罰部屋に関しては「本当にダメなら」拒否できるようにって文言付け足してあるしさ。
  (2024/10/21 19:00:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/21 19:00:36)

エロガキ♂19b ◆> いよっと、、帰還！18Zさんこんばんは！   (2024/10/21 19:01:10)

パンドラ ◆> おかえりなさい、   (2024/10/21 19:01:44)

エロガキ♂18Z> ふむふむ、確かに付け足してますし実際聞かなくても自己判断で申告ができる以上野暮用過ぎたな…   (2024/10/21 19:01:52)

エロガキ♂18Z> こんばんは〜   (2024/10/21 19:01:56)

胡桃 ◆> 理由については私から言わない事を前提として、何か聞いておきたいことはあるかな？19bさんはこんばんはー！   (2024/10/21 19:02:39)

エロガキ♂18Z> (１回胡桃さんに色々部屋の注意事項とか聞いた方が良いかもしれないと思ってきた)   (2024/10/21 19:03:38)

パンドラ ◆> 私からは何も、、強いて聞くのでしたら、私の対応は間違いありませんか、、？(詳細はまたその際に、、)   (2024/10/21 19:03:50)

エロガキ♂18Z> 如何せんやらかし気味な気がしてならない(ぐぬー)   (2024/10/21 19:04:41)

パンドラ ◆> 公で聞くことではありませんね、、？(くす、)   (2024/10/21 19:05:29)

胡桃 ◆> 注意事項を語ったら複雑なルールに縛られた状態になりかねないでしょー？だからそれについては最低限部屋説にあるものを参考にしてね、としか言えないかな。   (2024/10/21 19:06:30)

エロガキ♂18Z> それもそう。気をつけます(土下座)   (2024/10/21 19:07:15)

エロガキ♂19b ◆> 楽しくやろうね～ってのを理解しておけばいいんじゃないのかな？あんまり、、気を張りすぎるでかいやらかしするよ！俺みたいにね！(ぐはぁ..)   (2024/10/21 19:08:08)

胡桃
◆> 私のルール全てを押し付けるつもりは無いから、大抵の事は大目に見てるよ、誰に対しても。その上で幾らかは小言言いに来たりもするけど、それは私の中での線引きに過ぎないの。気に入らなかったらそう言ってくれてもいいし、意見とかあるなら私は時間も作ってお話しは聞かせてもらうから。
  (2024/10/21 19:08:15)

パンドラ ◆> あら、、お覗きになられなくても言って頂ければいくらでも構いませんよ、、？(薄布ひら、)   (2024/10/21 19:08:47)

胡桃 ◆> パンドラさんに対する答えはね…そもそもあの文はあなた宛じゃないから大丈夫だよ。   (2024/10/21 19:09:21)

エロガキ♂18Z> 了解です   (2024/10/21 19:10:02)

パンドラ ◆> 分かりました、、では今まで通りにさせて頂きますね   (2024/10/21 19:10:23)

エロガキ♂18Z> もう既にでかいやらかしをしてる気がしてならない…！＞19さん   (2024/10/21 19:10:52)

胡桃 ◆> 19bさんはこの前の一件をまだ尾を引いてるの…？(脚見せようか？)   (2024/10/21 19:11:19)

エロガキ♂19b ◆> 全く～！でもいいネタにはなるでしょー？こんなこともあるから気をつけてね！っていうさ！それはそうとして足は見せてください！！   (2024/10/21 19:12:09)

パンドラ ◆> 吸血鬼の方をお呼びすればよろしいのでしょうか、、？   (2024/10/21 19:12:15)

エロガキ♂18Z> (ぐふぅ)   (2024/10/21 19:12:21)

エロガキ♂19b ◆> あ、当たり前だけどパンドラちゃんも生足だから、俺のなかでのティア   (2024/10/21 19:13:24)

エロガキ♂19b ◆> 高いからね！！   (2024/10/21 19:13:28)

胡桃 ◆> 欲望に忠実すぎないかなぁ…？(あまり長居しないから、セルフサービスでお願いね？)じゃあ私は行くね、変な空気持ち込んじゃってごめんね！   (2024/10/21 19:13:35)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/21 19:13:40)

エロガキ♂18Z> こちらこそ申し訳ないですー。お疲れ様ですよー   (2024/10/21 19:14:05)

エロガキ♂19b ◆> 胡桃ちゃんまたねー！   (2024/10/21 19:14:20)

パンドラ ◆> お疲れ様でした、   (2024/10/21 19:14:30)

パンドラ ◆> 私の体はあまり男性好みではないと思うのですが、、   (2024/10/21 19:14:54)

エロガキ♂18Z> 生足は良いもの。分かる   (2024/10/21 19:14:58)

エロガキ♂18Z> それが良いけどなーって思ってる←   (2024/10/21 19:15:24)

パンドラ ◆> 、、幼女趣味なのですか？   (2024/10/21 19:15:42)

エロガキ♂18Z> 趣味…ってより体格差が出来そうだなって   (2024/10/21 19:16:38)

パンドラ ◆> (児ポですね、、)   (2024/10/21 19:17:45)

エロガキ♂18Z> (違うからね！？)   (2024/10/21 19:17:55)

エロガキ♂19b
◆> 何を言うか！！その小さな体にどれだけの魅力がつまってると思ってるんですか！抱き締めるのにも適しているだろう、程よい体つき、抱き枕にしたいランキング堂々のトップに君臨していてもおかしくない！1枚しか羽織ってないからか見えそうで見えない絶対領域も兼ね備えるとんでもない布！まだ幼いような顔つきもとんでもなく最高だし、笑ってるとこもまじで可愛いぞ！極めつけはその足！！純白の肌にスラッとしたスタイル、全てが完璧と言わざるを得ないパンドラちゃんが好みじゃない、人の方がすくないね！(超絶早口)
  (2024/10/21 19:18:02)

エロガキ♂18Z> 鬼早口だ   (2024/10/21 19:18:18)

エロガキ♂18Z> でも19さんの言いたいことは分かるとこがかなりあるなー   (2024/10/21 19:19:01)

パンドラ ◆> えぇ、と、、恐怖を感じますね、、   (2024/10/21 19:19:18)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/10/21 19:19:29)

エロガキ♂18Z> (普通に軽いと思うから抱き上げるのが簡単に出来るのもよいよね)   (2024/10/21 19:19:41)

パンドラ ◆> (児ポですね、、)   (2024/10/21 19:19:56)

パンドラ ◆> (誘拐でしたね、、)   (2024/10/21 19:20:05)

エロガキ♂18Z> ほら、負けたらそこは平等に罰なわけで……児ポや誘拐ではない！！！……はず   (2024/10/21 19:20:45)

エロガキ♂19b ◆> とにかく、パンドラちゃんのこと俺は大好きだよ～(ゴミ箱の中へダイブ)   (2024/10/21 19:20:50)

パンドラ ◆> (私は本来、人の愛を素晴らしいと感じるはずなのに、、)   (2024/10/21 19:21:16)

エロガキ♂18Z> ガキ2人に引いて恐怖するってレアでは？   (2024/10/21 19:21:46)

エロガキ♂18Z> でもなぁ……1枚しか着てない衣装がより魅力を出してるからねー。容姿と相まって   (2024/10/21 19:22:54)

エロガキ♂18Z> (って言うよりも人間以上の存在ってとこで好きな人多いイメージ(推しにしてる方とか))   (2024/10/21 19:24:54)

エロガキ♂19b ◆> 女の子は皆好きです。   (2024/10/21 19:27:46)

エロガキ♂18Z> それね   (2024/10/21 19:28:04)

エロガキ♂18Z> 年齢人種スタイルバラバラなのがよいよね(ぐでん)   (2024/10/21 19:29:02)

エロガキ♂18Z> (とりあえず児ポでは無い……はず。うん)   (2024/10/21 19:31:52)

エロガキ♂19b ◆> 好きなことを語るとどうしても長くなるんだよなぁ...(突然)   (2024/10/21 19:35:34)

エロガキ♂18Z> んでいつの間にか暴走するのよね…   (2024/10/21 19:36:04)

エロガキ♂18Z> (傍観中だった。引かれたと思ってたから安心……かな？)   (2024/10/21 19:37:04)

エロガキ♂19b ◆> そうなんよねぇー、、   (2024/10/21 19:37:18)

エロガキ♂18Z> 一旦終わりましょう。(うん)   (2024/10/21 19:38:34)

パンドラ ◆> (見ていますけれど少し反応不安定になってしまうので、、)   (2024/10/21 19:38:39)

エロガキ♂18Z> (パンドラさん背後大変なのは知ってるからゆるりとね〜)   (2024/10/21 19:39:22)

エロガキ♂19b ◆> 俺も一旦ご飯食べてこようかな～1000％戻ってはくるよ！   (2024/10/21 19:39:46)

エロガキ♂18Z> 晩飯の話をするなら久しぶりに秋刀魚の塩焼を食べた話しかないや   (2024/10/21 19:39:52)

おしらせ> シラベドンナさんが入室しました♪  (2024/10/21 19:39:55)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/21 19:40:00)

シラベドンナ> やぁ！ こんばんは！   (2024/10/21 19:40:02)

エロガキ♂18Z> こんばんは〜   (2024/10/21 19:40:04)

パンドラ ◆> こんばんは、   (2024/10/21 19:40:36)

エロガキ♂18Z> 元気な挨拶だ！   (2024/10/21 19:40:41)

エロガキ♂19b ◆> シラベドンナちゃん、こんばんは～   (2024/10/21 19:40:52)

エロガキ♂19b ◆> そして、、さらば！！   (2024/10/21 19:41:17)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/21 19:41:19)

エロガキ♂18Z> ゆっくり食べてねー   (2024/10/21 19:41:31)

シラベドンナ> ちんちんを見たからな！ こちらも元気にならねば無作法というものだろう？（きゃっきゃっ）   (2024/10/21 19:41:35)

パンドラ ◆> 行ってらっしゃい、   (2024/10/21 19:41:41)

シラベドンナ> おつかれさま！   (2024/10/21 19:42:44)

エロガキ♂18Z> 確かチンチン見せろ！って言ってたのを見かけたことがある…！確かに無作法ではありますね〜   (2024/10/21 19:42:46)

パンドラ ◆> 少し落ち着きましたが悪戯の待機に行ってきますね、？   (2024/10/21 19:44:16)

パンドラ ◆> またどこかで、、   (2024/10/21 19:44:33)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/21 19:44:38)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/21 19:45:04)

シラベドンナ> 気を付けて！   (2024/10/21 19:45:04)

エロガキ♂18Z> バトル部屋見たら賑わってますね〜   (2024/10/21 19:46:02)

シラベドンナ> ほぉぉ？ 2vs2か…！ どうなるかな？   (2024/10/21 19:46:39)

シラベドンナ> 作法と言えば、私はこの部屋が実質初めてなので不文律の類を理解できていない気がするな…！   (2024/10/21 19:47:27)

エロガキ♂18Z> 運要素があるから一概にはいえませんけど、接戦はするでしょうね〜   (2024/10/21 19:47:31)

エロガキ♂18Z> 大丈夫、自分も実質初めてなので仲間ですー   (2024/10/21 19:47:57)

シラベドンナ> （ラブルとルブルだと姉妹のようで文化もそれなりに違うようだから）   (2024/10/21 19:48:02)

エロガキ♂18Z> (それはそう…。部屋の仕組み自体が違うからそれで色々違いがありますからねー)   (2024/10/21 19:49:08)

シラベドンナ> 初心者にも優しい部屋で助かるな！ わはははは！   (2024/10/21 19:49:16)

エロガキ♂18Z> ルールも簡単でやりやすいですからねー(よきよき)   (2024/10/21 19:49:51)

エロガキ♂18Z> 2-2と1-2かー。ふむ   (2024/10/21 19:50:12)

エロガキ♂18Z> あ、2-2になりましたね   (2024/10/21 19:51:15)

エロガキ♂18Z> くっ、バトルが賑わうとしたくなる…！   (2024/10/21 19:52:05)

シラベドンナ> 2vs3くらいなら許容範囲なんじゃあないかな？   (2024/10/21 19:52:36)

エロガキ♂18Z> なんなら4-2も許容範囲ですねー。かなり惜しい所まで行けたので(たまにしたくなるやつ)   (2024/10/21 19:53:31)

エロガキ♂18Z> シラベドンナさんとバトルをするのも良いですねって思って来たけど、バトルも気になるー(ぬわー)   (2024/10/21 19:55:07)

シラベドンナ> ほぉ？ だが今の空き部屋だとちょうどよいところがないかな？   (2024/10/21 19:56:08)

エロガキ♂18Z> (接戦だ)   (2024/10/21 19:56:09)

エロガキ♂18Z> ですねー。バトル部屋が空いたらやります？   (2024/10/21 19:56:40)

エロガキ♂18Z> お、決まりましたね   (2024/10/21 19:57:33)

エロガキ♂18Z> 47は流石だなぁ…   (2024/10/21 19:58:25)

シラベドンナ> 終わったな！ 数分離席するけれど、そのあとなら私は行けるぞ！   (2024/10/21 19:59:05)

エロガキ♂18Z> では、戻られたらバとりましょーう   (2024/10/21 19:59:57)

エロガキ♂18Z> ごゆっくりとね〜   (2024/10/21 20:00:10)

エロガキ♂18Z> (ぐでん)   (2024/10/21 20:03:39)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/21 20:04:09)

エロガキ♂12Ω ◆> よっすよっすー。   (2024/10/21 20:04:21)

エロガキ♂18Z> こんばんは〜   (2024/10/21 20:04:30)

シラベドンナ> 戻ったよ！ こんばんは！   (2024/10/21 20:04:33)

エロガキ♂18Z> おかえり〜   (2024/10/21 20:04:44)

エロガキ♂18Z> では〜、ちょっとバトルしてきます〜   (2024/10/21 20:05:06)

エロガキ♂12Ω ◆> おー？いてらー。   (2024/10/21 20:05:19)

シラベドンナ> どこの部屋にするかは任せよう！ 実はほとんど１部屋しか使っていなくて違いがよく分かっていないのでね！   (2024/10/21 20:05:20)

エロガキ♂18Z> 行ってきます〜。はーい、では先に部屋に入りますねー(後入り大歓迎っす！)   (2024/10/21 20:06:06)

エロガキ♂18Z> では〜   (2024/10/21 20:06:18)

