/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月08日 02時20分 ～ 2024年11月08日 20時19分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

胡桃 ◆> あ、眠いからすぐ居なくなるよ？   (2024/11/8 02:20:44)
胡桃> 本当に怖くないってば！   (2024/11/8 14:28:47)

エロガキ♂14C ◆> 思いついたタイミングがなー！タイミングがなー！あ、佑芽おねーさんおかえりー（にっこにこ）   (2024/11/8 14:29:00)

花海佑芽> 着替えてきました（復活！）   (2024/11/8 14:29:03)

エロガキ♂19b ◆> お帰り～。   (2024/11/8 14:29:20)

エロガキ♂19b ◆> まぁ胡桃ちゃんを信じよう～...足がきれいな人に悪い人はいない！   (2024/11/8 14:29:42)

胡桃> 佑芽さんおかえり〜   (2024/11/8 14:29:48)

エロガキ♂14C ◆> （そのままでもよかったのに……と内心思っておこ。）   (2024/11/8 14:29:48)

胡桃> あ、丁度いいからそこのエロガキ君達2人にアンケート！…公式が絡んでないTS(♂→♀)って実際有り？無し？   (2024/11/8 14:31:23)

胡桃> (あれ？これじゃトリップ外した意味ないじゃん…)   (2024/11/8 14:31:39)

花海佑芽> あたしからもタックルしておきましょうか？（※身体能力そのものが高いので掛け値無しに痛いです。）   (2024/11/8 14:31:58)

胡桃> (同じ声優の例のポーズ。可愛くてご・め・ん♡)   (2024/11/8 14:32:08)

エロガキ♂14C ◆> なんか街頭アンケートくらいな勢いだし、いいんじゃない？個人的にはびみょー、かなあ。自分がいざお相手するとなると、少しやりにくい気持ちはなくもない。   (2024/11/8 14:32:48)

エロガキ♂14C ◆> ぼーりょくはんたーいー   (2024/11/8 14:33:02)

エロガキ♂19b ◆> 俺はありかなぁー。ぬっさんの女体化みたいを見たい   (2024/11/8 14:33:22)

胡桃> 暴力じゃなくてスポーツだよ。(にっこり、)   (2024/11/8 14:33:23)

胡桃> ぬっさん…？   (2024/11/8 14:33:31)

胡桃> (察し、)   (2024/11/8 14:33:41)

エロガキ♂14C ◆> スポーツでも悪質タックルは反則なんだぞー！（ぎゃーぎゃー）   (2024/11/8 14:33:57)

胡桃> 佑芽さんは悪質なタックルしないよ！…多分。   (2024/11/8 14:34:23)

エロガキ♂19b ◆> いずれにしろ大歓迎～   (2024/11/8 14:34:27)

花海佑芽> あ、梅おにぎり食べますか？（唐突な和平交渉）   (2024/11/8 14:35:35)

胡桃> うーん…扱いが難しいね。私は一応公式が噛んでるならそれは版権として扱っていいと思うけど、そうじゃないと二次創作の域を出ないから悩ましいよね〜……この場合、寧ろエロガキ君に聞くより、版権やる人に聞いた方がいい…？   (2024/11/8
14:35:56)

エロガキ♂14C ◆> ツナがいい（決裂）   (2024/11/8 14:36:04)

花海佑芽> （そもそも本人はタックルじゃなくてスキンシップのつもりなんです！）   (2024/11/8 14:36:23)

胡桃> おにぎり1.梅 2.ツナ 3.しゃけ 4.たらこ 5.わさび 6.チョコ   (2024/11/8 14:36:50)

エロガキ♂19b ◆> 不穏なのが混ざってる！？   (2024/11/8 14:37:09)

胡桃> 1d6 → (1) = 1  (2024/11/8 14:37:19)

エロガキ♂14C ◆> そこなんだよねー。版権ってしてる以上は罰ゲームの一環で〜とかならともかく、そうじゃないなら版権キャラの定義からは外れちゃうから、多分やり出すとなんでもアリになっちゃう。OKにしてもいいけど、やるならまあ勿論参加者の意向確認、とか？  
(2024/11/8 14:37:29)

胡桃> (もぐもぐ、)   (2024/11/8 14:37:31)

エロガキ♂14C ◆> 1d6 → (1) = 1  (2024/11/8 14:37:36)

エロガキ♂14C ◆> （もぐもぐ）   (2024/11/8 14:37:45)

エロガキ♂19b ◆> 1d6 → (3) = 3  (2024/11/8 14:37:54)

おしらせ> 天音かなたさんが入室しました♪  (2024/11/8 14:37:56)

エロガキ♂19b ◆> (もぐもぐ)   (2024/11/8 14:38:02)

天音かなた> 1d6 → (1) = 1  (2024/11/8 14:38:03)

天音かなた> （もぐもぐ）   (2024/11/8 14:38:08)

エロガキ♂14C ◆> （面白いの引けよ。）   (2024/11/8 14:38:25)

エロガキ♂19b ◆> 俺いがい梅じゃねえか！？   (2024/11/8 14:38:28)

胡桃> 圧倒的梅率…あ、かなたんこんにちは！(距離感近めの挨拶、)   (2024/11/8 14:38:29)

花海佑芽> TSがありかなしか、じゃなくて、二次創作がありかなしか、ですか？＞版権やる人の意見   (2024/11/8 14:39:16)

天音かなた> ぼくは可愛い天使だから、梅が微笑んでくれたんだね。すっぱいから苦手だけど…！ふーたんこんかなた〜〜♪（もっとちかめ）   (2024/11/8 14:39:27)

胡桃> それだ…っと思ったけど、二次創作ありかなしかって選択肢にした場合作品に関係ない二次創作キャラが現れかねない…   (2024/11/8 14:40:07)

エロガキ♂14C ◆> （爆弾落とそうとする天使のどこが天使なんだ？僕は訝しんだ。）   (2024/11/8 14:40:47)

胡桃> (微笑む梅を想像してお腹抱えて笑ってる。なんなら居間でのたうち回ってる、)   (2024/11/8 14:40:54)

花海佑芽> 微笑む佑芽（うめ）   (2024/11/8 14:41:53)

エロガキ♂19b ◆> (男梅が笑ってる姿を想像してしまった...水を返してほしい...)   (2024/11/8 14:42:22)

胡桃> (すっ…と我に返った、)   (2024/11/8 14:42:42)

エロガキ♂14C ◆> 二次創作って括りにすると究極「ぼくのかんがえたさいきょーのにじオリキャラ」で来れちゃうもんね。細分化難しいし一旦グレーゾーンのままにして、何か問題になるようならそこからでも遅くない気がする   (2024/11/8 14:42:48)

花海佑芽> あたしのせいですか！？（がーん）   (2024/11/8 14:42:50)

エロガキ♂14C ◆> （微笑む佑芽おねーさんは天使だよ）   (2024/11/8 14:43:01)

天音かなた> ぼくはふつーーに天使だろーがよー！！握り潰しちゃうぞ♥きゅっ♥まー、やっぱ聞いてみておっけーかおっけーじゃないかじゃないかなー？そこ結構人によるとおもうし。   (2024/11/8 14:44:42)

胡桃> (男→女が認められるなら逆に私達の男の娘が認められるのでは…？堂主は邪な考えが脳を過ぎったけど振り払った、)   (2024/11/8 14:44:44)

エロガキ♂19b ◆> (つまり...堂主にあれがつくってことぉー！？普通にみたい)   (2024/11/8 14:45:45)

エロガキ♂14C ◆> きゅっ（ぷちっ）握るならおにぎりだけにして……50kgで握られたらかちこちなおにぎりになってそう   (2024/11/8 14:45:48)

胡桃> おにぎりというか…二度と14C君の竿は使い物にならn…   (2024/11/8 14:46:13)

エロガキ♂14C ◆> （そこの19bは雑食だもんなあ）   (2024/11/8 14:46:21)

エロガキ♂14C ◆> 雑談部屋でどこ握らせてんのよ堂主！？！？   (2024/11/8 14:46:52)

胡桃> 罰部屋でなら有り得るような気がして…   (2024/11/8 14:47:14)

エロガキ♂19b ◆> (なんでも...食べまする...)   (2024/11/8 14:47:32)

胡桃> はいはい！全然関係ない話しをしてから私はおやつ食べに行ってくるね！(自由スタイル代表、)   (2024/11/8 14:48:47)

エロガキ♂14C ◆> 酷いフラグだけ立てていきやがった！おつかれさまー！   (2024/11/8 14:49:10)

花海佑芽> おつかれさまです！   (2024/11/8 14:49:31)

エロガキ♂19b ◆> 行ってら～！！！   (2024/11/8 14:49:37)

胡桃> 昨日初めて椅子に座ったまま椅子ごと転んだんだけど、変な声出ちゃった。(びっくりした、人って椅子に座ったまま倒れるんだね。)   (2024/11/8 14:49:41)

胡桃> じゃあねー！   (2024/11/8 14:49:46)

胡桃> の、前に…(親近感あるかなたんに、私の帽子を被らせてにっこり。皆に手を振ってさいなら〜。)   (2024/11/8 14:50:29)

おしらせ> 胡桃さんが退室しました。  (2024/11/8 14:50:31)

エロガキ♂14C ◆> （とりあえずかなたんにぷちっ（意味深）されないように佑芽おねーさんの後ろに隠れよ…）   (2024/11/8 14:50:38)

エロガキ♂19b ◆> (胸か...)   (2024/11/8 14:50:45)

天音かなた> うたた寝してた。おつかなた〜♪責任持って、握りつぶしちゃうね〜♥   (2024/11/8 14:51:05)

エロガキ♂14C ◆> 寝なさい（かなたんぺしん）   (2024/11/8 14:51:33)

花海佑芽> アストルフォさんが敵から味方に入れ替わる時にちょうど居たんですけど、わりと自由でいいのかなって思ってました（のーきん）   (2024/11/8 14:52:34)

エロガキ♂14C ◆> あれもいわばメスガキとの入れ替えメソッドだからねー……   (2024/11/8 14:53:12)

エロガキ♂19b ◆> 見た目は変わってないからね。問題ないね   (2024/11/8 14:53:30)

エロガキ♂19b ◆> 14cも女の子になってみたらどう～？(唐突)   (2024/11/8 14:54:14)

エロガキ♂14C ◆> ……本気で言ってる？   (2024/11/8 14:54:28)

天音かなた> 寝ね゛ーーよ！あ、良いじゃん。14Cくんメス化。（てきとう）   (2024/11/8 14:54:59)

エロガキ♂14C ◆> （座布団手裏剣）   (2024/11/8 14:55:18)

エロガキ♂19b ◆> かなたんに去勢してもらって....女の子！って感じで...ごめんいってる俺がたまひゅんしたからこれ以上はやめておこう   (2024/11/8 14:55:38)

エロガキ♂14C ◆> ……こほん。まあ、仮に？ほんとーっに仮に？僕が女の子やったとしても、絶対僕だとバレないよーにやるけどねっ。   (2024/11/8 14:56:22)

エロガキ♂19b ◆> ちなみに、女の子経験ありだよ(キラッ)   (2024/11/8 14:56:58)

天音かなた> フッ！（咄嗟に頭の輪っかに手をかけたけど、マジ事件になるからそっと手をどかした）ほら、某入れ替わり映画みたいにほら、ぼくが男の子になってあげるから。（）   (2024/11/8 14:57:00)

エロガキ♂14C ◆> 聞いてない（げしっ）<キラッ   (2024/11/8 14:58:15)

エロガキ♂19b ◆> ごはぁ....(パタリ)   (2024/11/8 14:58:38)

エロガキ♂14C ◆> ほら、佑芽おねーさんがフリーズしてるじゃん……！   (2024/11/8 14:58:42)

天音かなた> ぼくは男の子経験ありだよ（キラッ）   (2024/11/8 14:59:06)

エロガキ♂14C ◆> （かなたんならぺたんだから……げほんげほん）   (2024/11/8 14:59:13)

花海佑芽> 14Cさんが版権と二刀流！   (2024/11/8 14:59:22)

エロガキ♂14C ◆> そこ悪ノリしないでっ！？<二刀流   (2024/11/8 14:59:48)

エロガキ♂19b ◆> たまたまなんだけど...いやほんとたまたまなんだけど、、個々に版権♀になれるお薬が....っす   (2024/11/8 15:00:15)

天音かなた> きみ、どうやってないないしたい？（にっこり）   (2024/11/8 15:00:19)

花海佑芽> タックルの刑かないないの刑の二択？   (2024/11/8 15:00:49)

エロガキ♂14C ◆> どっちにしても地獄しかない！？   (2024/11/8 15:01:02)

エロガキ♂14C ◆> いや、版権♀   (2024/11/8 15:01:30)

エロガキ♂14C ◆> になれる薬もたいがい地獄なんだけど！？   (2024/11/8 15:01:41)

エロガキ♂19b ◆> 安心して！！なってる間は14cとしての記憶はないよ！！いつ戻れるかは知らんけど   (2024/11/8 15:02:39)

エロガキ♂14C ◆> すーっ   (2024/11/8 15:02:53)

エロガキ♂14C ◆> 1:タックル 2:ないない（？） 3:お薬   (2024/11/8 15:03:17)

エロガキ♂14C ◆> 1d3 → (3) = 3  (2024/11/8 15:03:23)

エロガキ♂19b ◆> やったぜ   (2024/11/8 15:03:28)

天音かなた> アッッツ！！！！   (2024/11/8 15:03:28)

エロガキ♂14C ◆> がっでむ！！！！！   (2024/11/8 15:03:33)

花海佑芽> えっ？   (2024/11/8 15:03:58)

天音かなた> いやまあ別に2でもないない＝お薬なんだけど   (2024/11/8 15:04:00)

エロガキ♂19b ◆> さぁ！！飲めよ！かなたんに無理矢理飲まされるか自分で飲むか好きな方を選びなぁ！   (2024/11/8 15:04:19)

エロガキ♂14C ◆> 多分このノリ続けたら雑談部屋で片付かないから、僕は多目的に行くからな！！！あとトリップは外す   (2024/11/8 15:06:01)

エロガキ♂14C ◆> （ごっくん）   (2024/11/8 15:06:25)

天音かなた> 当たり前のようにぼくを介錯に置くなよ！？でもちょっと気になるよね（わくわく）   (2024/11/8 15:06:29)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/8 15:06:29)

エロガキ♂19b ◆> 何になるんだろう？   (2024/11/8 15:08:19)

天音かなた> 男の子になれるお薬はないんですか！？誰が今男の子だよ胸がねぇだけだよぉ！！（）   (2024/11/8 15:09:20)

花海佑芽> すみません、休んできます   (2024/11/8 15:09:31)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/8 15:09:39)

エロガキ♂19b ◆> 佑芽ちゃんおやすみ～..！   (2024/11/8 15:10:56)

天音かなた> ありゃ、じんちゃんおつかなたっ。ゆっくりしてね…！   (2024/11/8 15:11:00)

エロガキ♂19b ◆> そして、、変身したみたい？。行きたいところだけど...背後が！！   (2024/11/8 15:11:22)

天音かなた> 月姫の！？！？ウオオオオ可愛い子ちゃ〜〜〜ん♥♥   (2024/11/8 15:12:53)

エロガキ♂19b ◆> かなたん、今なら独占できるかもよ？突撃してきたらどう～？..ちょっと俺はいくところが、、クッ！！   (2024/11/8 15:13:26)

エロガキ♂19b ◆> さらば！！   (2024/11/8 15:13:32)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/8 15:13:33)

天音かなた> 一人であたふたしてるところを眺めるのめっちゃ気持ちいいから残り10分になるか人が行くまでここで傍観してよっと（ニコニコ）   (2024/11/8 15:14:37)

天音かなた> おつかなた〜〜♪   (2024/11/8 15:16:54)

天音かなた> ねーね、ROMのみんなー。あの子何作ってるか当てよーじぇ。ぼくはね、お好み焼きとパンケーキの二択なんだけど、お好み焼きにかける！！！   (2024/11/8 15:20:39)

天音かなた> あ゛ーーーパンケーキだった！！！ちょっと美味しそうだから食べに行ってこよーっと。お部屋ありがとうー！おつかなたー♪   (2024/11/8 15:24:04)

おしらせ> 天音かなたさんが退室しました。  (2024/11/8 15:24:06)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/8 15:25:26)

星 ◆> （なんかすれ違った？と扉の所で振り返りつつ……、）   (2024/11/8 15:25:49)

星 ◆> 少し話題を遡るけど、公式が関わってない女体化の話……。   (2024/11/8 15:26:15)

星 ◆> 多分一番有名なのは『涼宮ハルヒコの憂鬱』とかなんだろうけど……公式関係ないよね？と突っ撥ねたくもある一方あそこまで多くの人にキャラ容姿、性格、口調まで統一されて侵透した二次創作ならもう“キャラ”として立っているようにも見えるし……。  
(2024/11/8 15:29:13)

星 ◆> でも絶対“版権”ではないのは確か……。   (2024/11/8 15:29:36)

星 ◆> 逆に公式発祥とはいえ、『サラダ食べて海賊王』が出てきたら私はそっちの方が面食らうような気がする……。   (2024/11/8 15:30:34)

星 ◆> 基準、基準がない……！   (2024/11/8 15:30:42)

星 ◆> バーチャルYouTuberなんかもエイプリルフールには結構な数女体化したりするし、あれは公式TS……？（一人来てたな、昔……。）   (2024/11/8 15:33:00)

星 ◆> ……関係ないけど、そういえば芸能人もOKなんだっけ。（そこも基準は曖昧だけど。wikiすらできてない新人は芸能人と認めない！みたいな闇があったらどうしよう、）   (2024/11/8 15:36:00)

星 ◆> ……さて、非公式女体化の話。一番無難なのは参加の度に相手する側のエロガキにお伺いを立てることかもしれないけど……。   (2024/11/8 15:37:46)

星 ◆> 実際断り難いだろうなとは……思うね、色々。   (2024/11/8 15:38:14)

星 ◆> ま、懸念通り謎の二次創作の氾濫を防ぐためにも無難なのは禁止かな……非公式女体化。あくまで一意見だよ。   (2024/11/8 15:42:38)

星 ◆> さて、話してる内に沸いた疑問なんだけど……。以前ふたなりは（版権であれば、且つ公式であれば）許可されるって話が出たね。それはそれとして、男の娘が大丈夫なら女装はどうなの、という話。（男の娘より女装子の方がなんかえっちで好きだよ、）  
(2024/11/8 15:44:29)

星 ◆> ちなみにこの二つは明確に区別の方法はないよ、物差しは個人個人別だったりする。   (2024/11/8 15:47:15)

星 ◆> ただ私は男の娘としてゴロ美が出てきたら逃げるかバット出すけどね、怖すぎる。   (2024/11/8 15:49:28)

星 ◆> ここは……『そのままで女の子に見えるかどうか』『エロガキ側の食指が動くかどうか』なのかな？……いや、物凄く可愛いし女の子に見えるけど私は暁山瑞希を男の娘として出されたら解釈違いに悶えるけど。（厄介、）   (2024/11/8 15:51:04)

星 ◆> ……一人で話し過ぎたかな。一人で考えても仕方ないし、人も入りづらいだろうしこの辺にしておこう。（はふ、息を吐いた。）   (2024/11/8 15:52:37)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/8 15:53:29)

エロガキ♂19b ◆> バイトだと思って現場にいったら今日じゃないと言われた！(今週２回目)これだったら、、見に行けばよかったよ....やっほ、星ちゃん...絶好のチャンスを逃した19だよ   (2024/11/8 15:54:40)

星 ◆> あんた、なんか前もそんなことしてなかった？お疲れ様。   (2024/11/8 15:55:14)

エロガキ♂19b ◆> 悲しくなってくるよ、、ありがと！   (2024/11/8 15:56:25)

星 ◆> ちゃんと確認しなよ、メモとっておいたりとか。   (2024/11/8 15:57:00)

エロガキ♂19b ◆> シフトの紙をね...向こうにおきっぱなんだよね...持って帰ってきた   (2024/11/8 15:57:36)

星 ◆> それだけミスが頻発するなら持っておく方が無難だね。   (2024/11/8 15:59:01)

エロガキ♂19b ◆> まあこれで次からはミスしない！！たぶん！まぁ、バイトある日に忘れてて行かないよりはましだからいいんだけどね～   (2024/11/8 16:00:29)

星 ◆> それは……まあ、そうだね。   (2024/11/8 16:01:03)

エロガキ♂19b
◆> ふーむ...あんまり元気なさげかなー？考えすぎもよくないぞ～？いつもみたいに柵舐めにいったり、開拓！って言ってゴミ箱の中を漁る元気な星ちゃんに戻れるようにお祈りしとくね！ん？だれにって？....サンポか花火ちゃん辺りにでもお祈りしておこう(なむなむ)  
(2024/11/8 16:03:23)

星 ◆> え？ああ、ごめん。ヘルシェイクなの（壊滅なのか）のこと考えてた、   (2024/11/8 16:04:35)

エロガキ♂19b ◆> ちょっとそれは気になるかも？武器は...星ちゃんのバット？もしかして超撃破を！？   (2024/11/8 16:05:25)

星 ◆> エレキギターと頭突きかな……。（私のバットは私にしか扱えないため、というか同時編成したら増えるため。）元気はあるよ、たださっきまで一人で長々語った反動とちょうどいい陽気で……くぁ、（欠伸、）   (2024/11/8 16:06:42)

エロガキ♂19b ◆> なーるほど、確かに語ってたねぇ...陽気もいいけど、、寒くなってきてるから防寒対策はしっかりするんだよ～？星ちゃんに何かあったら俺自爆しちゃうからね？   (2024/11/8 16:08:12)

星 ◆> 私は寒い方が好き！雪とか降ってると最高！（庭とか全然駆け回りたくなるよね、）   (2024/11/8 16:08:55)

星 ◆> あと堂々と人にくっつけるようになるから、   (2024/11/8 16:09:35)

エロガキ♂19b ◆> 雪降ったら確かに楽しいよねぇ...雪だるま作ったり雪合戦したり....石が入った雪をぶつけられたのはいい思いで...ん？星ちゃんはいつもくっついてるような？   (2024/11/8 16:10:41)

星
◆> 思い出がそれでいいの……？私の雪の思い出は……。……造物エンジン駆け上がったこと？（ダメだ、記憶喪失の私にはそこまで思い出の引き出しがなかった、）普段でも許してくれる人は良いんだけど、普段は引っぺがしてくるような人でも『仕方ないな……。』って許してくれるようになるからね。丹恒とか、符玄とか、モゼとか。
  (2024/11/8 16:13:55)

おしらせ> 人造人間21号さんが入室しました♪  (2024/11/8 16:16:25)

エロガキ♂19b ◆> 堅物の方々も冬は甘くなるというわけですねぇ...冬...そういえばもうすぐルアンちゃんと出会って1年...ん？...1年？...あれ、、俺が始めて星ちゃんと出会ったのは....まずい、、プレゼントを用意していない！！  
(2024/11/8 16:16:32)

人造人間21号> 逆転の発想は常に大事、「今日じゃないと思っていて『アレ？今日だけど何かあった？』と連絡が来る」そんな自体よりはよかったと考えるのはどうでしょうか？   (2024/11/8 16:17:09)

エロガキ♂19b ◆> 21号ちゃんこんにちは～！   (2024/11/8 16:17:31)

人造人間21号> どうも、お邪魔します。19bさん、星さん。（☆さんと書き間違いそうになる）   (2024/11/8 16:18:11)

星 ◆> 符玄は寒いならもう少し着込めばいいのにとは思うけど……。（私は女の子の着込んだ姿も好きです、）プレゼント？貰う謂れは全然ないけど貰えるものなら貰おうかな！（早くゴミを出せ！）   (2024/11/8 16:18:20)

星 ◆> あ、21号。ちょっとぶり、（手ひら、）   (2024/11/8 16:18:49)

エロガキ♂19b ◆> 今あるゴミは...きれいなゴミが1つとゴミが249個だね...いる？   (2024/11/8 16:19:25)

星 ◆> いる！   (2024/11/8 16:19:32)

人造人間21号> はい、ビッグビッグチャレンジャーな星さん、ちょっとぶりです   (2024/11/8 16:19:50)

エロガキ♂19b ◆> じゃあこれを星ちゃんへのプレゼントにしよう...どうぞ～..っす   (2024/11/8 16:20:36)

星 ◆> ふっ、そんなことも言っていた若い私もいたよね……。（開拓者式受け流し、都合の悪いことを過去のこととスルーできる！類似『まあ、過ぎたことはいいよ。』）   (2024/11/8 16:21:45)

星 ◆> うん、多ければ多いほどいいよね。（貴重な戦利品ボイス、にこにこで受け取った。やったぁ、ゴミだ！）   (2024/11/8 16:22:17)

エロガキ♂19b ◆> ゴミでここまで喜ぶのは星ちゃんぐらいだね..21号ちゃんに渡そうものならぶっ飛ばされる気がするよ   (2024/11/8 16:23:55)

星 ◆> （ゴミ袋の山に仰向けに倒れるよう体を埋めびくびくと喜びの痙攣、）   (2024/11/8 16:26:31)

人造人間21号> ？…　ゴミ…　なのですよ、ね？   (2024/11/8 16:26:33)

エロガキ♂19b ◆> ゴミだね...紛れもないゴミ、、性格には中身たっぷりのゴミ袋かな...   (2024/11/8 16:27:04)

星 ◆> （ごろんと寝返り打ってうつ伏せに、）   (2024/11/8 16:27:29)

エロガキ♂19b ◆> 可愛いよね...(盲目)   (2024/11/8 16:28:03)

星 ◆> ふぅ……、（賢者モード、立ち上がってゴミを全部懐にしまった（？））   (2024/11/8 16:31:11)

エロガキ♂19b ◆> 俺がいうのもなんだけどどこに消えてるのそれ？   (2024/11/8 16:32:21)

星 ◆> 開拓の宇宙……？（逆にどこから出したのって話になる、）   (2024/11/8 16:33:00)

人造人間21号> その、こういう表現がよろしいのか少し悩むのですが…　   (2024/11/8 16:33:07)

エロガキ♂19b ◆> なるほど？   (2024/11/8 16:33:40)

人造人間21号> 酔いつぶれて、朝方に路地の横に積みあがったゴミに倒れ込んでいる人を思い浮かべてしまいました（…　言葉にしにくいこの感じ）   (2024/11/8 16:33:42)

星 ◆> もしかするとその人たちと同じくらい幸せだったかも……、   (2024/11/8 16:34:15)

人造人間21号> …　（え？これは幸せ、なのですか？…　え？あれ？）   (2024/11/8 16:36:17)

星 ◆> お酒が醒める前は幸せでしょ？   (2024/11/8 16:36:36)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/8 16:36:55)

エロガキ♂19b ◆> 21号ちゃんが混乱している！この前とは逆だ！！   (2024/11/8 16:36:56)

星 ◆> （やっぱり列車に自分の部屋を貰えたらゴミを敷き詰めようかな……、）   (2024/11/8 16:37:06)

胡桃 ◆> やっほー！(紙の束抱えてやってきたよ、)   (2024/11/8 16:37:13)

エロガキ♂19b ◆> やっほー！請求書じゃないよね？   (2024/11/8 16:37:27)

人造人間21号> どうも、部屋主さんいらっしゃいませ。（私は、考えるのを、やめた…）   (2024/11/8 16:37:41)

星 ◆> あ、胡桃。（駆けだして抱きしめようと思ったけどゴミに埋まった直後なので流石に踏みとどまった、）   (2024/11/8 16:37:43)

胡桃 ◆> 違う違う！珍しく後ろで何かしながら顔出しに来ただけだから。   (2024/11/8 16:38:18)

胡桃 ◆> …というか、この惨状は？(一面のゴミ…踏み止まる星、堂主は察した顔を作った、)   (2024/11/8 16:38:55)

星 ◆> だ、だいじょうぶ！もうしまった！……しまってる！（現在進行形でゴミを懐にひょいひょい、）   (2024/11/8 16:39:27)

エロガキ♂19b ◆> 俺が星ちゃんにゴミを249個プレゼントした！！   (2024/11/8 16:39:36)

胡桃 ◆> 21号さんこんにちは。前は慌ただしかったし、今日は曲がりなりにもゆっくり話せそうだね。   (2024/11/8 16:39:46)

胡桃 ◆> 19bさんと星は清掃係っと…(にっこり、)   (2024/11/8 16:40:14)

星 ◆> （ゴミ拾い、これは実質ボランティア活動なのでは！？）   (2024/11/8 16:40:28)

エロガキ♂19b ◆> はーい...(ゴミをポイポイッと星ちゃんの懐に投げて)   (2024/11/8 16:40:52)

星 ◆> （ゴミを投げつける男子と投げつけられる美少女の図、）   (2024/11/8 16:41:11)

胡桃 ◆> …21号さん、あの子達の行動を見て頭抱えてないかな？私は慣れてるけど…。   (2024/11/8 16:41:28)

人造人間21号> いえ、問題ありません。部屋主さんのことは存じておりますし、とても意欲的に活動されているのも存じておりますので。（お気遣い、感謝いたします。ぺこりっ）   (2024/11/8 16:41:29)

人造人間21号> 頭を抱えるというよりは、そういう文化もあるのだなと…　（手で料理を食べる方もいれば、その手とは逆の手でお尻を拭う文化もありますよね？）   (2024/11/8 16:42:12)

星 ◆> 文化っていうか、私の個人的嗜好っていうか……。   (2024/11/8 16:42:50)

エロガキ♂19b ◆> 俺は星ちゃん大好きだから....   (2024/11/8 16:43:53)

星 ◆> 私はゴミが大好きだから……   (2024/11/8 16:44:06)

人造人間21号> いえ、そこは掘り下げなくて大丈夫です。ビッグブラストチャレンジャーはともかく、私にそのセンスがなかっただけですので…　（持っているかどうか、それだけですよ。たぶん…）   (2024/11/8 16:44:31)

星 ◆> ……ああ、そうだ。胡桃。生きてる？（つんつん……したいけど流石に接近をためらわれるので声だけ、）   (2024/11/8 16:47:31)

胡桃 ◆> (呼んだ？みたいな顔で奥の方から顔出した、)   (2024/11/8 16:49:30)

星 ◆> 5分！（貸して、って親指で別室指した。目指せRTA、）   (2024/11/8 16:50:08)

エロガキ♂19b ◆> 仕方ない...計っていてあげよう   (2024/11/8 16:52:10)

胡桃 ◆> よーい、どん！   (2024/11/8 16:52:20)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/8 16:52:23)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/8 16:52:26)

エロガキ♂19b ◆> さて21号ちゃんはいきてるかいー？   (2024/11/8 16:52:52)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/11/8 16:55:19)

人造人間21号> すみません、ちょっと後ろが忙しくて   (2024/11/8 16:57:33)

エロガキ♂19b ◆> おっと、それは失礼！！俺のことは気にせずにそっちに集中しちゃって！！   (2024/11/8 16:58:07)

エロガキ♂19b ◆> そして星ちゃんと胡桃ちゃんは盛大な時間オーバー....もしかしてイチャイチャしてたり？   (2024/11/8 16:59:57)

エロガキ♂19b ◆> .....5分ってなんだっけ？   (2024/11/8 17:11:53)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/8 17:19:04)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/8 17:19:27)

胡桃 ◆> 充実した5分だったよ(にっこり、)   (2024/11/8 17:19:30)

星 ◆> ……まあ、四捨五入すれば5分。   (2024/11/8 17:19:35)

エロガキ♂19b ◆> あ、、お帰り～   (2024/11/8 17:19:47)

エロガキ♂19b ◆> まぁ、、5分ってことにしておいてあげよう！(激甘)   (2024/11/8 17:20:41)

星 ◆> ただいま……まあイチャイチャしても良かったんだけど？私が10分後には出ないといけないのと？この通り（ゴミまみれ）だからね！   (2024/11/8 17:21:16)

星 ◆> ……嘘です、終始お仕事でした。（白状、）   (2024/11/8 17:21:39)

