/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年07月15日 22時11分 ～ 2025年07月19日 14時58分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> 優しくしてねって言っておけば優しくしてくれる子も多いよ！   (7/15 22:11:53)
エロガキ♂13Al> 体はこども、性欲はマントヒヒ、名陰茎コカン！   (7/15 23:35:02)

エロガキ♂16Hi> 試したらいけるね…これは寝言(という名の誤タップ) と見た！！(ビシぃぃ!!)   (7/15 23:35:36)

尾丸ポルカ> ラミィ確かiPhone使ってたっけ。iPhoneのQWERTYだとそうなるのかもなあ。   (7/15 23:36:04)

尾丸ポルカ> （ちっさ…）   (7/15 23:36:21)

ラプラス・ダークネス> まぁ、眠い時になんでこれ打ってたんだろってなる時あるんでマジで無意識だと思いますよ〜   (7/15 23:36:28)

獅白ぼたん ◆> ……（ふくよかで紫髪の魔法使いが一瞬居た？）   (7/15 23:36:47)

ラプラス・ダークネス> フェ◯ンかエロ同人のパチュリーの2択…！   (7/15 23:37:49)

尾丸ポルカ> ヤンちゃんも眠いならちゃんとお布団入るのよー？じゃないとラミィみたいに部屋の隅にぐるぐる巻きで連れていかれちゃうわよー？（ぽんぽん）   (7/15 23:38:00)

エロガキ♂16Hi> 部屋の隅に簀巻きがドンドン積み上げられていく   (7/15 23:38:35)

獅白ぼたん ◆> 一応、葬送のマシンガンキャスターは公式で言ってるセリフだからね   (7/15 23:38:45)

ヤン・ナリ> 連れてかれたくないだょ、（はわ、）まだおめめぎんぎんだから、だいじょぶ、‼︎（すり、）   (7/15 23:39:14)

エロガキ♂13Al> ねむいなと思ったら退室しよう、ね！　おめめギンギンなのも心配だな……？   (7/15 23:39:36)

エロガキ♂16Hi> あっ、魔王様復活   (7/15 23:39:38)

獅白ぼたん ◆> 簀巻きタワーバトルか、簀巻きツムツムか……この時間ギンギンは逆にだめじゃない？   (7/15 23:39:38)

ラプラス・ダークネス> や、意外といけるな？って思っても寝たりすることあるんで…   (7/15 23:40:41)

尾丸ポルカ> そっか、いい子いい子。……いや、目ギンギンなのもそれはそれでどうなんだろう。ポルカは別にそんな眠くもないけど眠れなくもないくらいなテンションだけどさ。（ヤンちゃんなでなで）   (7/15 23:41:23)

エロガキ♂16Hi> あるあるだよねー、何かを拍子に意識がプツッ…と。気づいたら知ってる天井だったとか。   (7/15 23:41:25)

ヤン・ナリ> ぁう、ぎんぎんはだめなのかよ､‼︎ 連れてかれるしかなくなっちゃったよぉ、   (7/15 23:41:26)

エロガキ♂13Al> そう、正確にはねむいなとおもったらもうおそいからねむくなる前に逃げるでござるよ。   (7/15 23:41:36)

尾丸ポルカ> （簀巻きスイカ……）   (7/15 23:41:49)

獅白ぼたん ◆> あれは積む方じゃなくて合成して消す方じゃん……積む途中でラミちゃんとか消えちゃうよ？   (7/15 23:42:33)

エロガキ♂16Hi> (そんなん大爆発で赤い汁が辺りに飛び散っちまう…)   (7/15 23:42:45)

ヤン・ナリ> 消えちゃう、だめ、!（のー、！）   (7/15 23:43:09)

獅白ぼたん ◆> お前……消えるのか……   (7/15 23:43:22)

尾丸ポルカ> 俺、消えっから！   (7/15 23:44:03)

エロガキ♂13Al> たしかにラミィとナリちゃんならオワニモで消せる……4つになるから……！   (7/15 23:44:09)

ラプラス・ダークネス> 素敵だね   (7/15 23:44:14)

エロガキ♂16Hi> わっ…わっ…(ﾁｲｶﾜ)   (7/15 23:44:23)

ラプラス・ダークネス> じゃあ、妖怪ウォッチぷにぷにで   (7/15 23:44:51)

ラプラス・ダークネス> あれも消えるんだっけ…   (7/15 23:44:59)

獅白ぼたん ◆> と、ばかを楽しんでるけど、あたしはそろそろ現実に戻って、机に向かわないとかな（ぐぅっと背伸びして   (7/15 23:45:02)

尾丸ポルカ> って言って360分オーバーで消えたら面白いな、と思いました（感想）   (7/15 23:45:09)

エロガキ♂16Hi> 消えるぜ、弾けるぜ！   (7/15 23:45:17)

ヤン・ナリ> さよならって事なのだよ、   (7/15 23:45:17)

獅白ぼたん ◆> ６時間消えは、強すぎるでしょ   (7/15 23:45:25)

尾丸ポルカ> ん、おやすみししろー。   (7/15 23:45:26)

エロガキ♂13Al> Vがもどっていく現実とは……（この話ややこしくなるからやめよう）   (7/15 23:45:38)

ラプラス・ダークネス> いってらっしゃーい   (7/15 23:45:41)

エロガキ♂16Hi> いってらっしゃい〜   (7/15 23:45:54)

雪花ラミィ> ン゛ン゛！！！！   (7/15 23:46:00)

獅白ぼたん ◆> あいよ～　あたしは夜行性だからまだ寝ないけど……ま、この時間はあんま息抜きしすぎると後に響きそうで。　ってラミちゃんよみがえった？   (7/15 23:46:09)

尾丸ポルカ> 消えない世界線！？   (7/15 23:46:10)

エロガキ♂13Al> ばよえーん！ばよえーん！   (7/15 23:46:19)

ラプラス・ダークネス> たぶんこれ、すぐ寝るやつだ   (7/15 23:46:40)

獅白ぼたん ◆> 惜しいけど、後ろ髪惹かれるけど、いったん戻ってせめてあと１時間は机につかないと出しな……ラミちゃん、おまるん、また会おうね♪　他のみんなもまたそのうち～   (7/15 23:46:59)

獅白ぼたん ◆> ン゛ッン゛っ！！（じゃっ！   (7/15 23:47:14)

おしらせ> 獅白ぼたん ◆HEual/Tbagさんが退室しました。  (7/15 23:47:20)

雪花ラミィ> ししろーーーーーんん   (7/15 23:47:30)

尾丸ポルカ> おつかれー。   (7/15 23:47:44)

ヤン・ナリ> おつかれさまだよ ~､!   (7/15 23:47:45)

尾丸ポルカ> うおっ。   (7/15 23:47:46)

ラプラス・ダークネス> まぶし   (7/15 23:47:52)

エロガキ♂16Hi> あっ、jが帰還した   (7/15 23:47:54)

エロガキ♂13Al> すれ違う二人……美しい。おやすみなさい。   (7/15 23:48:17)

尾丸ポルカ> あ〝ー、ビックリした。ラミィの圧で地面揺れたかと……（※地震）   (7/15 23:49:23)

エロガキ♂16Hi> ラミィさんもあんま無理せんとね。まぁ、今は簀巻き状態だから身動き取れないと思うけど   (7/15 23:49:31)

エロガキ♂16Hi> (マジで地震あったんたか…)   (7/15 23:50:57)

尾丸ポルカ> 呼び出しといて先に寝たらポルカがベッドまで引き摺るから大丈夫。ヤンちゃんはちゃんとママがベッドまで運んであげるね。（扱いの差）   (7/15 23:51:09)

エロガキ♂16Hi> すばらしき同期愛だなぁ…(しみじみ)   (7/15 23:51:47)

ヤン・ナリ> えへ、運ばれる､‼︎（きゅふ、）   (7/15 23:51:53)

尾丸ポルカ> ガキはガキでも素直な子ならポルカもそれなりに甘やかすんだけどさー。流石にエロガキにそういうタイプはあまりいなさそうだしそんなもんだよな、うん。（母性）   (7/15 23:53:41)

ラプラス・ダークネス> はい！吾輩素直です！   (7/15 23:54:59)

ラプラス・ダークネス> エルフ対面嫌いです！   (7/15 23:55:07)

ラプラス・ダークネス> 5スルー7スルーして勝てるわけねぇだろ！！！   (7/15 23:55:36)

尾丸ポルカ> 素直のベクトルが違うかないか、それ。（真顔）   (7/15 23:55:49)

エロガキ♂16Hi> バチボコにやられてらぁ   (7/15 23:56:03)

エロガキ♂13Al> お上に頼る前にお前は甘やかすための工夫をしたのかって田沼意次も言ってた。   (7/15 23:56:19)

エロガキ♂16Hi> 俺は素直なんだけどねぇ…プロフに趣向書くぐらいには…   (7/15 23:56:43)

ラプラス・ダークネス> んー、ポルカさんの言う素直とはベクトル違うんでない？   (7/15 23:57:05)

エロガキ♂16Hi> 知ってるー   (7/15 23:57:18)

ラプラス・ダークネス> だって此処のエロガキ、下心しかないし…   (7/15 23:57:24)

尾丸ポルカ> （ラプラスお前……ポルカの心を……！？）   (7/15 23:57:24)

エロガキ♂13Al> 「素直は素直でも自分に素直」とかって言葉が使われすぎて、今は「素直」と「正直」の意味が混同されて使われてるんだってねー。   (7/15 23:58:26)

尾丸ポルカ> まあ下心あってこそのエロガキだもんなぁ。   (7/15 23:58:46)

エロガキ♂16Hi> 下心も下心しかないぜ！！勝ったら好き勝手させてもらうのがエロガキってもんさ！   (7/15 23:58:47)

エロガキ♂13Al> 下心を失ったらただのガキでもっと不快になっちゃうよ！　それは笑えないよ……（真顔）   (7/15 23:59:00)

ラプラス・ダークネス> 母性を与えようとしてるのにそれを性欲のはけ口にされてるのわかってるから、ポルカさんも靡かないんじゃないかな〜って   (7/15 23:59:48)

尾丸ポルカ> ポルカ別にそんなにつよつよ母性持ってないはずだけどね！？でも今日初めて来たのに気がついたらママになってた。な、何を言ってるのかわからねーと思うが…！   (7/16 00:01:23)

エロガキ♂13Al> 誰か母性を引き出させた子がいたってわけね……はっ、そうか。口では拒否しながらも俺から発せられるエロガキフェロモンが母性を引き出して……母性を引き出してたらダメだな……？   (7/16 00:02:18)

エロガキ♂16Hi> んー、今日のメンツてきに残当じゃない？ガキ多数、酒飲み1とかだし…ねぇ？   (7/16 00:02:51)

尾丸ポルカ> エロガキフェロモンってなんかイカ臭そうだなそれ……（げんなり）   (7/16 00:03:09)

エロガキ♂16Hi> 13AIくんそれは…ちょっと発言がキモくて笑っちまう   (7/16 00:03:44)

エロガキ♂13Al> エロガキの負の側面ばかり見てると落ち込んでくるからエロガキ拒否のスタンスはよくないよ！　たしかにここは雑談部屋だけどスポーツ推薦校で勉強だけしたいって言ってるようなものだよ！！！   (7/16 00:04:41)

尾丸ポルカ> わーってるわーってる。ポルカもその時が来たらゲーム部屋とやらも行ってみようとは思うしさ。ま、今日に関しちゃラミィの誘いがあったからってのもあるんだけどさ。   (7/16 00:06:16)

エロガキ♂13Al> エロガキも嫌がられそうな雰囲気感じたら引くし、強めに拒否されたら傷つくからね……（うるうるポーズ）　それはそれとして今日はさすがに夜すぎるからもう寝る！   (7/16 00:08:29)

ラプラス・ダークネス> ポルカさんの好みのエロガキとかあるんすか？ほら、年上がよかったり年下がいいとか。中身はピュアピュアなのがいいとか、異世界転生モノばりの中身おっさんがいいとか…色々あるっすけど   (7/16 00:09:10)

尾丸ポルカ> 立ち振る舞いがキモいと流石に正直にキモいなーとはなるけどな！はいはい、おつかれーい。   (7/16 00:09:30)

エロガキ♂16Hi> 13AIくんおつかれ〜   (7/16 00:10:21)

エロガキ♂13Al> おやすみ……さらさら……（と言いながら出ていく）   (7/16 00:10:42)

おしらせ> エロガキ♂13Alさんが退室しました。  (7/16 00:10:45)

エロガキ♂16Hi> まぁ、気分がノッた時にでも気軽に来てみてよ、って話だよね。   (7/16 00:11:09)

尾丸ポルカ> んー、ポルカ的にはやっぱり歳下の子だなあ。ピュアピュア……は部屋的にそうはいないと思うけど、ポルカがいいんだけど正直にはなかなか……くらいの子だといいよね、って（重）   (7/16 00:11:30)

エロガキ♂16Hi> 砂になって消えた…！？   (7/16 00:11:33)

尾丸ポルカ> いや、効果音を自分の口で再生してるだけで砂にはなってないなアレ。   (7/16 00:12:26)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (7/16 00:12:36)

ヤン・ナリ> っんわ、   (7/16 00:12:46)

エロガキ♂16Hi> つか、ポルカって今いくつなんだ…？   (7/16 00:12:48)

エロガキ♂16Hi> 失礼、ちょっと気になっただけだわ。公式から何も情報ない感じだぁ…。   (7/16 00:14:33)

尾丸ポルカ> ん？それ女の子に聞いちゃうかー？まあ［カズーの音］歳くらいかなあ。   (7/16 00:14:50)

エロガキ♂16Hi> そしてラミィは堕ちましたと。お疲れ様〜   (7/16 00:15:05)

尾丸ポルカ> ヤンちゃんもおねむだねー？無理せずおねんねしようね、よしよし。（ぽふぽふ）   (7/16 00:15:24)

ラプラス・ダークネス> ふむぅ。まぁ、結局ね！   (7/16 00:15:53)

ヤン・ナリ> まだちょとおきます、！（えへ、）   (7/16 00:15:55)

エロガキ♂16Hi> ナリちゃんも無理せずだぜ〜   (7/16 00:15:59)

ラプラス・ダークネス> 罰ゲーム与えてくるだけのモブなんで、好みとかいらないっす！(無慈悲)   (7/16 00:16:22)

尾丸ポルカ> さて、そんじゃポルカはそろそろお暇しましょうかね。ラミィはエロガキのオモチャになる前に引き摺ってくわ。それじゃあみんな、おつぽるー！   (7/16 00:16:40)

ラプラス・ダークネス> おつおつー。吾輩もやることやらねば…   (7/16 00:17:02)

おしらせ> 尾丸ポルカさんが退室しました。  (7/16 00:17:07)

おしらせ> ラプラス・ダークネスさんが退室しました。  (7/16 00:17:10)

エロガキ♂16Hi> そうそう、こっちは添え物のモブだからねー   (7/16 00:17:18)

エロガキ♂16Hi> おっと、なんか解散の流れ？なら俺も流されますかぁ。おつおつー   (7/16 00:17:41)

おしらせ> エロガキ♂16Hiさんが退室しました。  (7/16 00:17:45)

ヤン・ナリ> 一気にさよならしたのだよ、おつかれさまなのよ、！   (7/16 00:18:25)

ヤン・ナリ> わがはいもさよならするのだよ、   (7/16 00:19:07)

おしらせ> ヤン・ナリさんが退室しました。  (7/16 00:19:09)

おしらせ> 音乃瀬奏さんが入室しました♪  (7/16 21:56:29)

音乃瀬奏> こんのせ～   (7/16 21:56:40)

音乃瀬奏> ラプちゃん？（真顔）（配信見てる）   (7/16 21:59:43)

おしらせ> ヤン・ナリさんが入室しました♪  (7/16 22:02:19)

ヤン・ナリ> こんばんわだよ ~､!   (7/16 22:02:58)

音乃瀬奏> はっ、まおうさま！？（あわててタブレットおかたづけ）こんばんわ～！   (7/16 22:03:36)

ヤン・ナリ> まおうさまだよ､! 何見てたの ~､?（とて、）   (7/16 22:05:10)

音乃瀬奏> だめ～（ラプちゃんがひたすら性癖をさらけ出してる回）み、みんなにはないしょ！   (7/16 22:07:21)

ヤン・ナリ> えぅ、ないしょだよ、‼︎   (7/16 22:08:21)

音乃瀬奏> ありがとう、お礼にじゃがりこあげる！（はんぶんこ）   (7/16 22:09:56)

ヤン・ナリ> わ、いいのぉ､?（角ぴこぴこ、）   (7/16 22:10:37)

おしらせ> ラプラス・ダークネスさんが入室しました♪  (7/16 22:12:10)

ラプラス・ダークネス> なんかかなでに呼ばれた気がした！   (7/16 22:12:18)

ヤン・ナリ> っと、こんばんわなのだよ ~､!   (7/16 22:14:06)

音乃瀬奏> いいよ、いっしょに食べよ！（もぐもぐしてたら当のラプちゃん来て）あ、ラプちゃんもどう、野菜スティック！（かたくなに言い張る）   (7/16 22:14:16)

ラプラス・ダークネス> やっほー。じゃがりこはサラダじゃね〜って！てか、珍しくようつべで配信してんのな…(Twitchの民)   (7/16 22:15:10)

ヤン・ナリ> じゃがりこおいしい‥‼︎（はわ、もぐもぐ）お芋だから､カロリー控えめ、   (7/16 22:16:35)

音乃瀬奏> 最近多いよ～、このまえ奏と一緒にお姉さん探しの企画したのもようつべだったし！   (7/16 22:16:44)

音乃瀬奏> うんうん、油で揚げたらカロリー飛ぶもんね（歪んだ知識）（一緒にもぐもぐ）   (7/16 22:19:15)

ヤン・ナリ> ぜんぶふっとぶよ‥この世のものはぜんぶぜろかろりー！（かりかり、）   (7/16 22:20:09)

音乃瀬奏> うんうん、ゼロカロリー！（ゼロじゃなくて普通のコーラどん）   (7/16 22:21:17)

ヤン・ナリ> みんなゼロカロリーだよ、‥人はぜろかろりーに入る、？（こて、）   (7/16 22:23:03)

音乃瀬奏> 人をゼロカロリーする方法…あるのかな？（まじめに考える）わかんない！（でもあきらめた）   (7/16 22:25:24)

ヤン・ナリ> わがはいもわからないよ‼︎（こちらもあきらめ、）まぁ、人は食べないし、！   (7/16 22:26:48)

音乃瀬奏> ラプちゃん今日も作業してるのかな（のぞきこみ）そういえば、まおうさまの世界征服は順調？   (7/16 22:32:38)

ヤン・ナリ> してるかもだよ、（こく、）めちゃくちゃ順調だよ! この前手下を増やしました､!   (7/16 22:33:19)

ラプラス・ダークネス> んん、この時間はちょーっとやることあってな〜…。顔出しだけみたいになってる！   (7/16 22:34:02)

音乃瀬奏> 手下が増えたんだ～、誰だろう、にじさんじの後輩さん？（興味津々）   (7/16 22:35:01)

ヤン・ナリ> んと、にじさんじの、先輩さまです､‼︎（どや、）   (7/16 22:35:29)

ヤン・ナリ> らぷらすさま、無理せず頑張って､だよ､‼︎   (7/16 22:36:08)

音乃瀬奏> ぼたん先輩も昨日なにかしてたけど、この時間って忙しいのかな～、奏は夜更かしできないし寝ちゃうけど（ラプちゃんのほっぺたむに）   (7/16 22:38:05)

ヤン・ナリ> わがはいも夜更かしできない民なのよ、（あくび、）   (7/16 22:45:10)

音乃瀬奏> え、先輩を手下にするコツおしえてほしい！（常々がちんちょ扱いされがちなため）   (7/16 22:46:06)

ヤン・ナリ> ん ~ ､ いつのまにか手下､だったのだよね、取り敢えず､かわいくしたけばいいと思うだよ、？   (7/16 22:47:23)

音乃瀬奏> かわいく…しおらしくしないと…むずかしいけど頑張る！（拳ぐっ）   (7/16 22:49:20)

ラプラス・ダークネス> 眠いなら寝たほうがいいぞー！かなではほら、グラセフでギャンブルしかやらない使えない部下だったから先輩からもたらい回しにされてたろ…！自業自得だ！   (7/16 22:49:24)

ヤン・ナリ> まだちょっと起きちゃうのよ! お話したいだし、   (7/16 22:50:29)

音乃瀬奏> つめあとを残したかっただけだもん！（くるしい言い訳）   (7/16 22:52:12)

ヤン・ナリ> 奏､もう既にかわいいと思うだけどね、？（つん、）   (7/16 22:52:44)

音乃瀬奏> そう言ってくれるのは魔王様だけだよ～（はぐ。）   (7/16 22:53:35)

ヤン・ナリ> ありゃ、そうなのかよ､? とてもとってもかわいらしいだよ!（ぎゅ ~ ！）   (7/16 22:54:27)

音乃瀬奏> ありがと～（時計チラ見）うう、もうこんな時間だし寝ないと…魔王様の話し相手おいで！   (7/16 23:00:49)

ヤン・ナリ> 寝ないとなのね､‼︎じゃがりこありがとだよ ~‼︎ （なで、）お相手かもん、！   (7/16 23:02:38)

音乃瀬奏> ほな、またね～   (7/16 23:03:28)

おしらせ> 音乃瀬奏さんが退室しました。  (7/16 23:03:32)

ヤン・ナリ> おつかれさまだよ ~､‼︎   (7/16 23:03:46)

ラプラス・ダークネス> おつかれー。さてと、吾輩もそろそろよそ見できなくなってきたし、戻ろっかな〜…。夜更かしするなよ！   (7/16 23:04:55)

ヤン・ナリ> 了解なのだよ､! やること、頑張ってください､‼︎（ふす、）   (7/16 23:06:19)

ヤン・ナリ> んん、わがはいも、やる事やるのだよ、またねです、！！   (7/16 23:11:35)

おしらせ> ヤン・ナリさんが退室しました。  (7/16 23:11:36)

ラプラス・ダークネス> またなー！   (7/16 23:15:02)

おしらせ> ラプラス・ダークネスさんが退室しました。  (7/16 23:15:03)

おしらせ> 尾丸ポルカさんが入室しました♪  (7/17 21:38:31)

尾丸ポルカ> うん、ポルカは頑張ったよ。頑張ったから悔いはないさ。悔いはないけどアレは絶対やってんだろー！？って言いたくなるレベルの一方的な試合だった……。   (7/17 21:39:47)

おしらせ> エロガキ♂18hxさんが入室しました♪  (7/17 21:40:46)

エロガキ♂18hx> こんばんはー   (7/17 21:40:51)

尾丸ポルカ> やあ、さっきはどうも。さておきプロフが残念なことになってると思うんだ。   (7/17 21:41:26)

エロガキ♂18hx> ほんとだ（笑）   (7/17 21:41:43)

尾丸ポルカ> ポルカ、ゲーム自体は何度もやってるとこ見てたことあるからルールは別に大丈夫だったんだけど、まさかのデビュー戦であんなにやられるとは思わなかったわ。いやー、サイコロこわい。   (7/17 21:43:04)

エロガキ♂18hx> 確かに…あれはできすぎでした   (7/17 21:43:28)

尾丸ポルカ> よくある無欲の勝利とかそういうやつじゃあないかな。……ってそれだとポルカも支援なのに欲があるみたいになるな。うん、忘れろビーム。   (7/17 21:44:57)

エロガキ♂18hx> （ビームをかわした）   (7/17 21:45:31)

エロガキ♂18hx> 確かに無欲だったかも   (7/17 21:45:46)

尾丸ポルカ> 予備動作なしの忘れろビームを避ける、だと……！？ま、覚えられてたところで特になんともないからいいけどさ。   (7/17 21:46:28)

エロガキ♂18hx> あはは、そっかそっか   (7/17 21:47:04)

エロガキ♂18hx> まー楽しめたらいいと思うなー   (7/17 21:47:19)

尾丸ポルカ> ゲーム自体は結果が運頼りでどうなるか分かんない分楽しいからね、割とサクッと遊べるし。   (7/17 21:48:07)

エロガキ♂18hx> そうそう。あとはふたりになってどう遊ぶか…   (7/17 21:48:45)

尾丸ポルカ> 負ける事を期待してるつもりはないんだけどさ、ここのガキ的には薄い本みたいに無茶苦茶したいのと、あれこれされたいのどっちが多いんだろ。   (7/17 21:50:08)

エロガキ♂18hx> んーどうだろうー。オレは、お互い楽しめて、いろいろいじめたりできたらいいかなー   (7/17 21:51:03)

尾丸ポルカ> ポルカが知ってる限りでは割合半々くらいなのかなー程度なんだよね。ふむふむ、支援消し忘れくんはいじめるのが好き、と。（メモメモ）   (7/17 21:53:31)

エロガキ♂18hx> 記録してくれてなにより（笑）   (7/17 21:53:50)

尾丸ポルカ> 使うとは言ってないけどな！負けた時はともかく、勝った時にまで好き放題させるつもりはないしさー。ま、どれこれもタイミング次第ってヤツさ。   (7/17 21:55:31)

エロガキ♂18hx> タイミング…だねえ   (7/17 21:56:40)

尾丸ポルカ> ポルカ、今日ホントは寝ようかって思ってたくらいだったし。眠くないけど。けど、たまたまトワ様いるの見かけたし、しかもなんか初めまして感満々だったからついつい動いちゃったんだわ。   (7/17 21:58:14)

エロガキ♂18hx> そうなんだー   (7/17 21:58:54)

尾丸ポルカ> ガキ的には女の人居着いてくれる方が嬉しいっしょ。とは言っても別にガキのためでもねーけどな！   (7/17 22:01:01)

エロガキ♂18hx> そりゃいるにこしたことないよ   (7/17 22:02:52)

尾丸ポルカ> それにしても火曜の夜は今思うと異様な盛り上がりだったんだな。今は割と落ち着いてて落差がすげーの。   (7/17 22:04:40)

エロガキ♂18hx> そんなもんだよー   (7/17 22:05:51)

尾丸ポルカ> っと、ちょいと５分ほど席外すよ。   (7/17 22:06:00)

エロガキ♂18hx> オレも久々に来たけどね   (7/17 22:06:05)

エロガキ♂18hx> はいはーい   (7/17 22:06:10)

尾丸ポルカ> ただいま。なんか変だなー、と思ったらポルカご飯食べるの忘れてたや。（PON）   (7/17 22:11:15)

エロガキ♂18hx> をい（笑）   (7/17 22:12:25)

尾丸ポルカ> つっても今から食べるかって言われるとねえ。流石にこんな遅くに食べたらお腹に悪いのは違いないけど、スープとかなら許されるかな。   (7/17 22:13:46)

エロガキ♂18hx> うどんとか雑炊とかはいいみたいだよ   (7/17 22:14:26)

尾丸ポルカ> どっちも消化にいいからだね。冷凍うどんとうどんスープの素をストックしておけばよかったんだけど、ちょうどうどんの方がないんだよなー。   (7/17 22:15:48)

エロガキ♂18hx> あらら   (7/17 22:15:59)

尾丸ポルカ> さて、そろそろトワ様たちも終わりかな。こっち来るんならばっちこーい！って受け止めようかなくらいの気持ちでいたんだけどさ。   (7/17 22:18:05)

おしらせ> エロガキ♂16Hiさんが入室しました♪  (7/17 22:19:30)

おしらせ> 常闇トワさんが入室しました♪  (7/17 22:19:40)

エロガキ♂16Hi> どもー？賑わいの予感がしたからお邪魔しちゃうぜ！   (7/17 22:20:07)

尾丸ポルカ> 同伴……じゃないな？さっきとは違うガキだし。そしてお疲れトワ様。（肩ぽん）   (7/17 22:20:37)

エロガキ♂18hx> おかえりー   (7/17 22:21:10)

エロガキ♂16Hi> あれ、トワ様は罰部屋帰りか。そりゃお疲れさん。   (7/17 22:21:15)

エロガキ♂18hx> こんばんは   (7/17 22:21:16)

エロガキ♂16Hi> こんちゃっちゃーす   (7/17 22:21:38)

エロガキ♂18hx> 罰は楽しめましたか？   (7/17 22:22:48)

常闇トワ> あ゛〜いこんやっぴー。ポルカは後で（規制）な。初陣だってのにさ〜、もーちょい忖度して貰えても良くないですかぁ〜…？   (7/17 22:23:07)

エロガキ♂16Hi> ご飯も食べずに宿題(仮)に追われてたせいで腹バク減りなんだけど…。手元にあるのはカロリー◯イトのみ。味気ねぇ……   (7/17 22:23:12)

尾丸ポルカ> それにしても今は割とガキの中でも割合年齢層高めなガキなんだな。ある意味らしいっちゃらしいけど、ポルカがこの中いると悪ガキに混ざってるみたいになりそう。   (7/17 22:23:16)

エロガキ♂18hx> 忖度（笑）   (7/17 22:23:35)

尾丸ポルカ> え〝。……ぽ、ぽぅぽぅは……わ、悪くない、よねぇ……？（にんまり）   (7/17 22:24:06)

エロガキ♂16Hi> 何があったかは存ぜぬけど、面白そうだしポルポルは(規制ﾋﾟｰ)受けてみたら？w   (7/17 22:24:51)

エロガキ♂18hx> （笑）   (7/17 22:26:22)

尾丸ポルカ> ポルカはただただトワ様ヘルプしようとしただけだしー！なんなら5回中4回トワ様より出目大きかったんですけどー！？   (7/17 22:26:28)

エロガキ♂18hx> うん、そだね   (7/17 22:26:46)

エロガキ♂16Hi> おっと、トワ様クソザコ説出てきましたー   (7/17 22:27:35)

常闇トワ> わためが悪くなかった事ねえからな、その理論でポルカも悪ぃなこれは。いやヘルプ出来て無いやんけ！ここの歴はポルカのが上かもやけど先輩はトワなんだぞ！（よくない先輩例）   (7/17 22:27:51)

尾丸ポルカ> （なんなら一回引き分けだった時もポルカの方が大きかったから実質5/6ポルカの勝ち！！！）   (7/17 22:28:22)

エロガキ♂18hx> どんぐりのなんちゃらだな…   (7/17 22:29:14)

常闇トワ> 違います〜、トワのサイコロに細工されてたんやって！トワの実力じゃなくて！   (7/17 22:29:17)

尾丸ポルカ> そこはギリギリ悪いじゃねーのかよぉ、ぐぬぬぅ……結果が全てであると叩き込まれてる……！   (7/17 22:29:29)

エロガキ♂16Hi> ノーカン！ノーカン！(ﾊﾝﾁｮｳ)的な？   (7/17 22:29:53)

エロガキ♂18hx> （だいたい２人には勝ってたしな）   (7/17 22:31:04)

エロガキ♂16Hi> 勝ったほうが正義やからね…。結果が全てではあるし、エロに駆られたガキたちを舐めてもらっちゃあ困るぜ！！   (7/17 22:31:41)

尾丸ポルカ> ちなみにポルカもゲーム部屋は今日が初で、こっちの部屋も一昨日が初デビューだからね！？   (7/17 22:31:53)

エロガキ♂16Hi> 俺参加してないけどね？   (7/17 22:31:56)

エロガキ♂18hx> そうだったねー   (7/17 22:32:23)

常闇トワ> ポルカが40以上を五連続で出してくれとったらなあ〜。先輩からのよしよしが飛んで来てたんやけどね。あー残念、トワ誉めたかったな、あーー残念！！   (7/17 22:32:55)

エロガキ♂16Hi> 同時デビューだったわけかー。もう両成敗でよくね？   (7/17 22:33:00)

エロガキ♂18hx> 引き分け（笑）   (7/17 22:33:12)

常闇トワ> トワのぶん、ポルカが２回裁かれとって。それから18hx君が裁かれとって   (7/17 22:35:02)

尾丸ポルカ> そこはほら、トワ様がポルカに見せてくれないとだと思うんだ。後輩は先輩の背中を見て育つんだよ。それにTMTって言うから頑張った後輩をきっと褒めてくれる筈なんだ。（暗示）   (7/17 22:35:31)

エロガキ♂16Hi> 18hx先輩も巻き込み事故くらってて笑う   (7/17 22:36:39)

エロガキ♂18hx> なんでオレよ（笑）   (7/17 22:36:44)

尾丸ポルカ> そりゃポルカの出目を悠々と超えた出目出してきたし……   (7/17 22:37:34)

エロガキ♂18hx> 運だ   (7/17 22:38:01)

尾丸ポルカ> つまり18hxがわるい、即ちポルカはわるくない。Q.E.D.   (7/17 22:38:33)

