/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月23日 01時32分 ～ 2024年11月23日 10時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂15R ◆> ぼくはあんまり罰部屋の方は見ないので……   (2024/11/23 01:32:35)
胡桃 ◆> こんばんは！一般…一般、在中……葬儀屋…？(？？)   (2024/11/23 03:11:33)

栞葉るり> 人斬り集団で若いからって理由で大体穴役になってる人…！！   (2024/11/23 03:11:46)

沖田総司> 需要に合わせて汚喘ぎ声練習してたら血ィ吐きました！あっはっは！   (2024/11/23 03:11:59)

エロガキ♂13Al> 新撰組が通過するようなところで生活したくないー。   (2024/11/23 03:11:59)

沖田総司> はぁ。   (2024/11/23 03:12:02)

ナリタトップロード> こんばんわ！特に阪神のゴール前を一般通過するのがウマ娘、ナリタトップロードです！   (2024/11/23 03:12:12)

ナリタトップロード> するのが好きな！   (2024/11/23 03:12:20)

栞葉るり> 京都に住めませんね、それ   (2024/11/23 03:12:21)

胡桃 ◆> ここには警察の犬もいるし、ウマ娘もいるし、タックルがヤバい子も来るし、葬儀屋の私もいんだから新撰組くらい通るよ。   (2024/11/23 03:12:45)

ナリタトップロード> みぶろとトプロって似てるのでシンパシーを感じちゃいます！   (2024/11/23 03:12:50)

エロガキ♂14C ◆> ある意味1番寝てるべきな存在トップに踊り出たよね。<血を吐くおねーさん   (2024/11/23 03:13:06)

エロガキ♂19b ◆> そう聞くとなんでもいるな、ほんとに...   (2024/11/23 03:13:15)

エロガキ♂13Al> 吐血を持ちネタにしないでほしい。   (2024/11/23 03:13:25)

沖田総司> ところで本当にふらふら通りかかっただけなんですけどこの時間に集まる人数ですかこれが。   (2024/11/23 03:13:32)

栞葉るり> (※シンパシーは3人いないと効果が発揮されません)   (2024/11/23 03:13:39)

沖田総司> 好きで吐いてると思わないでくださいね！？   (2024/11/23 03:13:43)

胡桃 ◆> 大丈夫だよ、沖田さんが倒れたら医者も呼べるし最悪私が面倒を見てあげるから！   (2024/11/23 03:13:47)

ナリタトップロード> 悪い子の集まりなんだそうです！きっと全員盗んだバイクで走り出すワルに違いありません！！   (2024/11/23 03:14:02)

エロガキ♂13Al> それでもエロいことを考えられるエロガキだけが真のエロガキと言えるのかもしれない……ふるいにかけられないように一層のエロ妄想に磨きをかけていきます！（エロガキ宣言）   (2024/11/23 03:14:27)

エロガキ♂14C ◆> コンビニの前でエロ本読んで屯してるだけかもしれない<悪い子の集まり   (2024/11/23 03:14:32)

ナリタトップロード> 私もお医者さんごっこくらいは心得てるので安心して倒れてくださいね！！   (2024/11/23 03:14:55)

胡桃 ◆> ここはさー…なんか、こう…よくわからないタイミングで人が一気に増えたり減ったりするから……   (2024/11/23 03:15:22)

沖田総司> 手厚い保証されてるところ悪いんですけど倒れませんからね。   (2024/11/23 03:15:31)

ナリタトップロード> 最近のコンビニはビニールでガードしてるので立ち読みできないところ増えてますね   (2024/11/23 03:15:40)

エロガキ♂19b ◆> なんならエロ本も少なくないか？   (2024/11/23 03:15:52)

栞葉るり> まぁ実際版権キャラの駆け込み寺みたいになってますから…   (2024/11/23 03:15:53)

沖田総司> あとお医者さんごっこはここの人大抵心得てるのでは？   (2024/11/23 03:15:56)

エロガキ♂14C ◆> エロ本そのものがない件。   (2024/11/23 03:16:05)

エロガキ♂14C ◆> （聴診器いそいそ準備）   (2024/11/23 03:16:27)

胡桃 ◆> (えっちな本に食いつくのエロガキって感じするね…)   (2024/11/23 03:16:27)

栞葉るり> コンビニのエロ本はオリンピックのときに全部外されしたよ、海外の外国人に悪影響ってことで…   (2024/11/23 03:16:36)

胡桃 ◆> (聴診器は没収！)   (2024/11/23 03:16:40)

ナリタトップロード> 私はエロ本なんて読んだことがないので、よく知りませんが、昔よくあったでらべっぴんとかレモンクラブとかペンギンクラブとか全然見かけませんね！   (2024/11/23 03:16:43)

エロガキ♂13Al> お医者さんごっこって「それじゃあ胸元開けてください」のあとどうすればいいのか……とりあえず触診って言って触りに行けば……！？   (2024/11/23 03:16:43)

沖田総司> そりゃあれですよ。あー…この辺にリンパが。みなさんやられてますから…？   (2024/11/23 03:17:12)

エロガキ♂14C ◆> でもコンビニのエロ本よりここにいるおねーさんたちの方が魅力的……って聴診器没収されたー！！！わーん！！！   (2024/11/23 03:17:13)

ナリタトップロード> 胸元開けました！！ひえええっ！？もしかしてパイズリですか！？   (2024/11/23 03:17:25)

栞葉るり> (聴診器の鉄の部分が暖かくなるまで乳首責めするのいいですよね…)   (2024/11/23 03:17:32)

栞葉るり> トップロードさんはでかぱいちゃんですから…   (2024/11/23 03:17:52)

エロガキ♂19b ◆> 14Cの獲物じゃないか...   (2024/11/23 03:18:15)

エロガキ♂14C ◆> ここではやらないけど絶対やりたいやつ……（ゴゴゴゴゴゴゴ）   (2024/11/23 03:18:19)

沖田総司> （ぐるりと見回しました。ウマの人くらいですね、土方センサーが反応しそうな人。人？）   (2024/11/23 03:18:21)

ナリタトップロード> 冬の聴診器は冷たくて心臓麻痺起こすかもしれないのでよく摩擦で温めてから乳首チェックすることをおすすめします！   (2024/11/23 03:18:40)

エロガキ♂13Al> 察しがよすぎる……！いや、でもチャンスがあればパイズリ……したいね！（こういうときだけ素直）   (2024/11/23 03:18:58)

エロガキ♂14C ◆> （沖田おねーさんそれ爆弾発言…）   (2024/11/23 03:19:01)

栞葉るり> そのでかぱいのせいで心臓まで届かないのでは！   (2024/11/23 03:19:18)

沖田総司> ちなみに私は冷たい聴診器当てられただけでも吐けますよ、血！（笑顔。）   (2024/11/23 03:19:35)

栞葉るり> ケモミミつきは人ではないので   (2024/11/23 03:19:38)

エロガキ♂14C ◆> 聞こえないから聴診器をぐっと押し付けるんだよ。診察だから当たってもセーフだよ。   (2024/11/23 03:20:11)

ナリタトップロード> 胸が大きいなら直接耳を押し当てれば万事解決なのでは！？   (2024/11/23 03:20:53)

エロガキ♂13Al> 寒い時期で聴診器がよくないなら直に耳を押し当てて聞くしかないと思う……仕方ない世ね！   (2024/11/23 03:20:56)

沖田総司> ウマの皮被ってるだけでエロガキですよこの人！ウマ！   (2024/11/23 03:21:22)

エロガキ♂13Al> エロガキ側じゃない人がどんどんエロに誘導してくるのはなぜなのだろう！？   (2024/11/23 03:21:25)

ナリタトップロード> 13えーあいさんと意見が一致してしまいました！   (2024/11/23 03:21:40)

エロガキ♂14C ◆> エロガキよりエロガキしてるおねーさんサイド。   (2024/11/23 03:21:42)

沖田総司> ちなみに私は血吐いてるのを完全に無視して喉奥にガンガン突っ込まれたい派です。あ、でも大きすぎるのは顎外れるので勘弁してください。   (2024/11/23 03:22:16)

エロガキ♂13Al> 俺が勝ったら触診……する！（強い決意）   (2024/11/23 03:22:40)

ナリタトップロード> 私はちょっと細やかなレベルでそういう事に興味があるお年頃なだけな乙女なウマ娘ですよ！実に現代の高等部の女子らしくないですか？！   (2024/11/23 03:22:51)

沖田総司> なんなら首も絞められたい…。   (2024/11/23 03:22:52)

エロガキ♂14C ◆> 触診（挟む）   (2024/11/23 03:22:59)

ナリタトップロード> 顎が外れたらセメダインでくっつけて直しましょう！   (2024/11/23 03:23:33)

エロガキ♂14C ◆> そして神様が言ってる。はよ寝ろ。って。   (2024/11/23 03:23:36)

エロガキ♂19b ◆> なかなか面白い嗜好で？   (2024/11/23 03:23:43)

エロガキ♂14C ◆> そんな訳で眠気に襲われたから今度こそおやすみなさーい……   (2024/11/23 03:23:55)

沖田総司> セメダインはサーヴァントにも有効ですかね…。   (2024/11/23 03:24:01)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/23 03:24:04)

ナリタトップロード> おやすみなさい！   (2024/11/23 03:24:06)

胡桃 ◆> 14C君はおやすみなさい   (2024/11/23 03:24:10)

エロガキ♂19b ◆> おやすみ～！   (2024/11/23 03:24:12)

沖田総司> はい、おやすみなさい。   (2024/11/23 03:24:27)

エロガキ♂13Al> 健康を損ねてまでエロいことさせたくない……俺はエロガキとして失格なのか……！？（背景が黒くなって思い悩む）   (2024/11/23 03:24:36)

栞葉るり> おやすみなさいませ   (2024/11/23 03:24:37)

栞葉るり> そもそも沖田さんはデフォで悪いので手を出せなくなりますね♪   (2024/11/23 03:25:05)

ナリタトップロード> それです！！   (2024/11/23 03:25:26)

ナリタトップロード> 私も今から病気のフリをして、身を守ることにしますね！！   (2024/11/23 03:25:44)

沖田総司> これ以上悪化もしないので好きに使ってくださっても。気に入らなかったらちょっと斬るかもしれませんが。   (2024/11/23 03:26:03)

栞葉るり> はい、ウマ娘は保健室行けば治るので行きましょうね〜   (2024/11/23 03:26:06)

エロガキ♂13Al> そのデカい声で病んでるフリは無理だと思います   (2024/11/23 03:26:22)

ナリタトップロード> くっ、じ、持病のシャクがっ…！   (2024/11/23 03:26:37)

エロガキ♂13Al> なんかこう……病弱そうな雰囲気で弱々しく「いけません……こほんこほんっ♡」ぐらいの雰囲気でなんとかおさまりませんか（弱き）   (2024/11/23 03:26:55)

沖田総司> くっ、じ、持病の結核がっ…！   (2024/11/23 03:26:56)

胡桃 ◆> 私も体調が……(HP50%切らしてるから、)   (2024/11/23 03:27:05)

ナリタトップロード> 元気に振る舞わないとおばあちゃんに心配されるじゃないですか！！！   (2024/11/23 03:27:11)

沖田総司> ごめんなさい、倒れても力を振り絞って刀を握りたい人生だったので…。   (2024/11/23 03:28:05)

ナリタトップロード> い、いけません……そんな粗末なモノはおしまいになって…♡こほんこほんっ！！   (2024/11/23 03:28:07)

エロガキ♂13Al> そ、そまつじゃないもん……（涙目）   (2024/11/23 03:28:30)

沖田総司> 粗末（決めつけ）   (2024/11/23 03:28:34)

ナリタトップロード> 刀もおちんちんも握るには元気が一番ですね！！   (2024/11/23 03:28:50)

沖田総司> は、はい…。   (2024/11/23 03:29:12)

沖田総司> はい……？   (2024/11/23 03:29:19)

ナリタトップロード> 粗末はいいすぎました！お詫びとして微細なモノに変更させていただきます！   (2024/11/23 03:30:03)

ナリタトップロード> はいはいはい？   (2024/11/23 03:30:12)

エロガキ♂13Al> あの迫力で握られたらボキッといきそうで不安……！   (2024/11/23 03:30:21)

ナリタトップロード> あるある探検隊！   (2024/11/23 03:30:21)

ナリタトップロード> あるある探検隊！   (2024/11/23 03:30:28)

ナリタトップロード> 勃起だけにボキッ！   (2024/11/23 03:30:48)

沖田総司> この人ずっと前のめりなんですけど！   (2024/11/23 03:31:23)

胡桃 ◆> (4時も迫ってるのにすっごい元気だねー…って、遠巻きに眠い顔で見守っておくね、)   (2024/11/23 03:31:36)

胡桃 ◆> IQ高いからね(関係ない、はず)   (2024/11/23 03:32:08)

ナリタトップロード> コーヒーを5リットルくらい飲んだら眠れなくなりまして…   (2024/11/23 03:32:14)

沖田総司> 堂主様は混ざらないんですか、この混沌に。或いはコントに。   (2024/11/23 03:32:19)

胡桃 ◆> 私まで混ざったら収集がつかないまま朝を迎えることになるよ？(全員を巻き込む気満々、)   (2024/11/23 03:32:57)

ナリタトップロード> 何といっても学級委員長なので！IPの高さならお任せください！   (2024/11/23 03:32:58)

エロガキ♂13Al> カフェインの過剰摂取でハイになってる……！　こういうときって興奮状態っていうけどエロい意味でも興奮するんだろうか……（観察）   (2024/11/23 03:33:10)

ナリタトップロード> IPじゃなくてIQでした！   (2024/11/23 03:33:36)

沖田総司> それは…休んでてもらいましょう。（私も寝たいので…。段々眠気が上がってきてますきてますきてますよ。）   (2024/11/23 03:34:07)

ナリタトップロード> カフェインの摂取量関係なく24時間興奮してるので多分興奮します！   (2024/11/23 03:34:37)

胡桃 ◆> ほら起きて！！トップロードさんが寂しそうにしてるから！   (2024/11/23 03:34:43)

胡桃 ◆> 寂しそうにシてる…！？   (2024/11/23 03:34:54)

沖田総司> 誰です？無責任に堂主様に火を入れたのは。   (2024/11/23 03:35:19)

沖田総司> 火を付けろ、燃え残った全てに。   (2024/11/23 03:35:37)

エロガキ♂13Al> 落ち着かせるべきかもしれない。勝負だ！　俺が勝ったら温かくして寝ろ！　みたいな。   (2024/11/23 03:35:54)

胡桃 ◆> (元素爆発…シとく？護摩の杖ぶんぶん、)   (2024/11/23 03:36:08)

ナリタトップロード> よいのですか！？沖田さん！！寝たら私の激寒ギャグにさらされて凍死しますよ！！すごくすごい寂しいです！！！沖田さんを誤変換したら起きたさんなんですから、起きててください！！   (2024/11/23 03:36:09)

ナリタトップロード> (本音は無理しないで寝てくださいね)   (2024/11/23 03:36:21)

胡桃 ◆> 情緒の寒暖差が激しいよ！   (2024/11/23 03:36:38)

沖田総司> もう十分沖田、そろそろネロ•クラウディウスという諺もありますし。   (2024/11/23 03:36:52)

ナリタトップロード> 余余余余余〜！？それは困りました！   (2024/11/23 03:37:37)

ナリタトップロード> 元素爆発よりも、みなさんで元気爆発させましょう！！   (2024/11/23 03:38:25)

胡桃 ◆> ふぁいっとー！   (2024/11/23 03:38:35)

ナリタトップロード> いっぱーーーーつ！！！   (2024/11/23 03:38:44)

エロガキ♂13Al> どこに行こうとしているんだろう……！？   (2024/11/23 03:38:45)

胡桃 ◆> (いえーいってハイタッチ！)   (2024/11/23 03:38:55)

胡桃 ◆> 星と深淵……？＞何処へ   (2024/11/23 03:39:11)

ナリタトップロード> (ハイタッチあんど胡桃さんにオ□ナミンCをプレゼントしまして)   (2024/11/23 03:39:34)

沖田総司> それ見る度にスターレイルの主人公をどこぞの深淵へ誘い込むみたいな文章に見えなくもないですね、星と深淵。   (2024/11/23 03:40:13)

胡桃 ◆> (伏せられてなくて飲む前に噎せちゃった、)   (2024/11/23 03:40:21)

エロガキ♂13Al> トプロが眠れないならひと勝負……とか思ったけどどうだろう。勝ったら……触診！（思いついたことはすぐやりたい）   (2024/11/23 03:40:52)

ナリタトップロード> 勝負ですか！？いいですけど、私が勝ったらサッカーボールでアウトレイジビヨンドごっこしてもらいますよ！   (2024/11/23 03:41:51)

胡桃 ◆> つまり「星と深淵を目指せ」っていうのは…星と旅人で深淵を目指すってことで、原神とスターレイルはコラボ済みってこと！？   (2024/11/23 03:41:56)

胡桃 ◆> (とんでもなく悲惨な罰になりそう、)   (2024/11/23 03:42:09)

エロガキ♂13Al> い、イヤ過ぎる……！   (2024/11/23 03:42:34)

沖田総司> 今度うちのシリーズがお世話になるらしいのでよろしくお願いしますね、スターレイルさん。まあ私どれもやってないですけど。   (2024/11/23 03:42:42)

胡桃 ◆> え、そ、そうなの……？私も列車の方は未踏破だけど……あ、人理も暫く放置してた。(てへ、)   (2024/11/23 03:43:47)

ナリタトップロード> まぁバイオレンスな事はしませんが、多分目つきがディクタスアイに変わって朝食をいただくことにはなるかもしれませんね♪   (2024/11/23 03:44:03)

エロガキ♂13Al> でもあのおっぱいで触診……したい！　恐怖を恐れていては成長はない！　チャンスがあれば飛び込む……！　そういうときが人生で何度かあるって聞いたことがある！   (2024/11/23 03:44:06)

ナリタトップロード> 何だか目が冴えてきましたので、ひと勝負しますか！？   (2024/11/23 03:44:47)

胡桃 ◆> (19bさんとるりには一応毛布かけとくね。(突然正気に戻るタイプ、)   (2024/11/23 03:44:49)

沖田総司> まあその辺りは今度ここに出入りしてるっぽい主人公様にでも聞いていただくとして…私もこれで失礼しますね、ちょうどいい感じに眠くなってきたので。   (2024/11/23 03:45:05)

エロガキ♂13Al> なんというかカオスなままにするのもよくないかなと思ったから……やってみよう！　負けたときどうなるかは心配だけど、やろうやろう（そういうことになった）   (2024/11/23 03:45:15)

沖田総司> 元気ですね…では、おやすみなさい。   (2024/11/23 03:45:26)

胡桃 ◆> 沖田さんはおやすみなさい、ゆっくり休んでね〜   (2024/11/23 03:45:28)

おしらせ> 沖田総司さんが退室しました。  (2024/11/23 03:45:30)

ナリタトップロード> お疲れ様でした！今度お医者さんごっこさせてくださいね！   (2024/11/23 03:45:31)

ナリタトップロード> では、ちょっと勝ちに行ってきますね！   (2024/11/23 03:45:52)

おしらせ> ナリタトップロードさんが退室しました。  (2024/11/23 03:45:59)

エロガキ♂13Al> 憧れのお医者さんごっこを目指して行ってきます！   (2024/11/23 03:46:13)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/11/23 03:46:18)

胡桃 ◆> 今のトップロードさん最高にかっこよかったんじゃない？私じゃなければときめいてたよ。   (2024/11/23 03:46:26)

胡桃 ◆> と、いうことで〜？   (2024/11/23 03:46:33)

胡桃 ◆> 2人とも、いってらっしゃーいっ！(ぐるんっ、ぽーい！)   (2024/11/23 03:46:52)

胡桃 ◆> 私は常習的寝落ち犯と、珍しく居座ったまま応答のないるりが落ちるまではここに残るよ。   (2024/11/23 03:47:25)

胡桃 ◆> あ…うーん……   (2024/11/23 03:48:02)

栞葉るり> こ   (2024/11/23 03:48:30)

栞葉るり> ざんねん、起きてました！   (2024/11/23 03:48:53)

胡桃 ◆> 起きてた！！   (2024/11/23 03:49:01)

胡桃 ◆> うーん…でも残念……寝落ちするるりを見てみたかった   (2024/11/23 03:49:19)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/11/23 03:49:19)

胡桃 ◆> おやすみなさい！ちゃんと寝なさい！   (2024/11/23 03:49:50)

栞葉るり> でも、寝落ちしかけてたのでそろそろねます   (2024/11/23 03:52:11)

栞葉るり> おやすみなさい…   (2024/11/23 03:52:44)

おしらせ> 栞葉るりさんが退室しました。  (2024/11/23 03:52:46)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが部屋から追い出されました。  (2024/11/23 03:53:14)

おしらせ> 胡桃.さんが入室しました♪  (2024/11/23 03:53:14)

胡桃.> 久しぶりにこれになっ……あー！！るりが…おやすみなさい、ゆっくり休んでね   (2024/11/23 03:53:41)

胡桃.> トップロードさんが強すぎてびっくりしたよ。   (2024/11/23 03:55:39)

胡桃.> さて…2人も見送ったことだし、私はどうしようかな。寝ようと思えば寝れちゃうけど、なんだか退屈な気分でもあるし。うーん…どうしたものかな〜？   (2024/11/23 03:58:40)

胡桃.> もう少しだけ粘って来ないようならまた伝言を重ねるしかないかな。   (2024/11/23 04:00:25)

胡桃.> ひとりで落ち着くと途端に眠気を自覚できることがあるんだよね。今がまさにそうなんだけど…眠い！っていう眠さじゃなくて、ふわーっとした感じなの。あれ…この説明伝わるかな？伝わらない？うーん…ほんとにふわーって感じなの！   (2024/11/23
04:02:50)

胡桃.> おっと、私は寝てないよ。寝落ちそうでもないし、全然平気。さっき眠そうなこと言ってたのにって？…睡魔のコントロールに成功したのかも？   (2024/11/23 04:16:12)

胡桃.> 私は一度帰ろうかな〜…。   (2024/11/23 04:25:25)

おしらせ> 胡桃.さんが退室しました。  (2024/11/23 04:25:38)

おしらせ> ナリタトップロードさんが入室しました♪  (2024/11/23 04:27:51)

ナリタトップロード> うーんっ！いい朝の運動になりました！今日も絶好調で1日が始まりそうです！   (2024/11/23 04:28:54)

ナリタトップロード> レースではデビュー勝ちできなかったので気分も最高です！   (2024/11/23 04:30:41)

ナリタトップロード> 最後に眠れない方々と枕投げ大会でもしようと思いましたが、残念ながら参加者は私しかいないようです！   (2024/11/23 04:32:29)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/23 04:32:54)

ナリタトップロード> くらいなさい！ナリタトップロードさん！！(枕を思いっきりぶん投げ！！)   (2024/11/23 04:33:17)

胡桃 ◆> その戦いに私も混ざr……(流れ弾！無事致命傷で済んだ、)   (2024/11/23 04:33:53)

ナリタトップロード> 甘いですよ！！ナリタトップロードさん！！(ささささーーっ！！阿修羅閃空で素早く移動して枕をキャッチ！)   (2024/11/23 04:33:56)

胡桃 ◆> え、ひとりで凄い遊んでる…。   (2024/11/23 04:34:16)

ナリタトップロード> (流れ弾は多分私自身です！ごめんなさい！玉突き事故です！)   (2024/11/23 04:34:34)

ナリタトップロード> これが汗がびっしり！切なさたっぷり！ひとり枕投げ大会です！   (2024/11/23 04:35:31)

胡桃 ◆> ここは何も見てない、聞いてないってことにして帰っちゃった方がいいやつかな？   (2024/11/23 04:36:18)

ナリタトップロード> 待ってください！せめてお詫びの菓子折りを持ってから、見ていないフリをして回れ右をしていただけると！   (2024/11/23 04:37:28)

ナリタトップロード> (お詫びのバ蹄型サブレです。どうぞお受け取りください)   (2024/11/23 04:38:44)

胡桃 ◆> (鳩サブレじゃなかった、はじめてみた。食べていいのかもわからないお詫びに珍しく私が固まった、)   (2024/11/23 04:39:43)

胡桃 ◆> (むしゃ、)   (2024/11/23 04:39:54)

胡桃 ◆> 食べてる場合じゃない！！私も寝るんだから！！(お菓子？もちろん受けとったよ。)   (2024/11/23 04:40:40)

ナリタトップロード> (砂糖が振ってある感じの普通のサブレです。うん、美味しい…！お友達にもすすめてあげてくださいねっ！)   (2024/11/23 04:40:52)

ナリタトップロード> お疲れ様です！！   (2024/11/23 04:41:14)

胡桃 ◆> (定番のおやつにしておくね、むしゃむしゃ。)   (2024/11/23 04:41:55)

胡桃 ◆> うん、おやすみなさい。またね〜！   (2024/11/23 04:42:12)

ナリタトップロード> いい気分な一方で私も色々運動して実はちょっと疲れてきたのでそろそろ寝ようと思います！！(クソデカ元気ボイス)   (2024/11/23 04:42:15)

ナリタトップロード> はい！よい夢をーー！！   (2024/11/23 04:42:27)

胡桃 ◆> 声が大きいよ！！   (2024/11/23 04:42:30)

胡桃 ◆> ありがとー！！！トップロードさんもおやすみ！！なさい！！！(身振り手振りも大きく、声も大きく、)   (2024/11/23 04:43:03)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/23 04:43:10)

ナリタトップロード> あはは、すみません…ではおやすみなさいです♪(笑顔で手を振ってーーー！)   (2024/11/23 04:43:31)

ナリタトップロード> お布団に入団！！   (2024/11/23 04:43:59)

おしらせ> ナリタトップロードさんが退室しました。  (2024/11/23 04:44:02)

おしらせ> 常闇トワ ◆VucylpWxwwさんが入室しました♪  (2024/11/23 06:44:43)

常闇トワ ◆> この時間はいなさそうだから入ってみた   (2024/11/23 06:45:08)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/11/23 06:45:17)

エロガキ♂11T> トワお姉ちゃんみっけ～   (2024/11/23 06:45:31)

常闇トワ ◆> 今日は予定があるから遊べないよ〜   (2024/11/23 06:45:53)

エロガキ♂11T> いいよ～　トワお姉ちゃんをお話しする～   (2024/11/23 06:46:24)

エロガキ♂11T> 甘えるのはいいでしょ？   (2024/11/23 06:46:34)

常闇トワ ◆> 寝落ちしちゃいそうだけどねw   (2024/11/23 06:47:09)

エロガキ♂11T> トワお姉ちゃんとお話し～   (2024/11/23 06:47:09)

エロガキ♂11T> 寝たらトワお姉ちゃんにいたずらしよ～(笑)   (2024/11/23 06:47:34)

エロガキ♂11T> 今日はお出掛け？   (2024/11/23 06:48:00)

常闇トワ ◆> お出掛けだよ〜   (2024/11/23 06:48:10)

エロガキ♂11T> お買い物とか？   (2024/11/23 06:48:19)

エロガキ♂11T> 旅行にでも行くのかな？   (2024/11/23 06:48:42)

常闇トワ ◆> 秘密‼︎   (2024/11/23 06:49:02)

エロガキ♂11T> 秘密か～…めっちゃ気になる！   (2024/11/23 06:49:18)

エロガキ♂11T> トワお姉ちゃんと温泉旅行とか楽しそうなんだけどな～   (2024/11/23 06:49:49)

常闇トワ ◆> そうだね〜   (2024/11/23 06:50:08)

エロガキ♂11T> トワお姉ちゃんのお膝に座って…話していい？   (2024/11/23 06:50:24)

常闇トワ ◆> そろそろ寝落ちする前にぬけるね   (2024/11/23 06:50:40)

エロガキ♂11T> あ、そうなの？…おやすみ   (2024/11/23 06:50:57)

常闇トワ ◆> おやすみ〜   (2024/11/23 06:51:09)

おしらせ> 常闇トワ ◆VucylpWxwwさんが退室しました。  (2024/11/23 06:51:14)

おしらせ> エロガキ♂11Tさんが退室しました。  (2024/11/23 06:51:19)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/23 08:42:27)

エロガキ♂19b ◆> またやってしまったぁ！！！！おはよう！   (2024/11/23 08:42:37)

エロガキ♂19b ◆> 待機しようかな...   (2024/11/23 08:51:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/23 08:51:46)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/23 09:19:50)

エロガキ♂14C ◆> おはよーございまーす。昨夜はなんていうかすごかったね…？   (2024/11/23 09:20:14)

エロガキ♂14C ◆> なんとなく流れで来ちゃったけど、そもそも朝だからそんなに人いるわけなかったや（欠伸）   (2024/11/23 09:21:56)

エロガキ♂14C ◆> またお昼にでも顔出そっかなー。最近あまりしっかり遊べてなかったし（ごろごろ）   (2024/11/23 09:27:02)

エロガキ♂14C ◆> というか今朝もやっぱ寒い…！ほんとに冬になったんだなあ…   (2024/11/23 09:30:45)

エロガキ♂14C ◆> 温めてくれるおねーさん来てくれてもいいんだよ？ついでにその流れでゲーム部屋に行くのも歓迎だから！   (2024/11/23 09:31:50)

エロガキ♂14C ◆>    (2024/11/23 09:36:13)

エロガキ♂14C ◆> ふぇ！？謎の無言送信！？   (2024/11/23 09:36:24)

エロガキ♂14C ◆> とりあえず一旦失礼するよーっ。   (2024/11/23 09:36:45)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/23 09:36:52)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/23 10:00:04)

エロガキ♂15R ◆> おはようございますっ！   (2024/11/23 10:00:11)

おしらせ> 花海佑芽さんが入室しました♪  (2024/11/23 10:02:39)

花海佑芽> おはようございます！（大声）   (2024/11/23 10:03:01)

エロガキ♂15R ◆> あっ、佑芽さんっ！おはようございますっ！！！(大声返し)   (2024/11/23 10:03:14)

花海佑芽> 今のでみんな起きてくるかな？（迷惑行為はやめましょう）   (2024/11/23 10:04:20)

エロガキ♂15R ◆> ぼくたちはみんなを起こすニワトリの役目っ！こけこっこーっ！(？)   (2024/11/23 10:06:19)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/23 10:07:44)

エロガキ♂19b ◆> おはようございます！！(扉バン！)   (2024/11/23 10:07:58)

エロガキ♂15R ◆> あっ、起きてきた…？おはようございますっ！   (2024/11/23 10:08:07)

花海佑芽> さっきぶりです！   (2024/11/23 10:08:17)

エロガキ♂15R ◆> あっ…なるほどっ…！(察し)   (2024/11/23 10:08:44)

エロガキ♂19b ◆> 最近のマイブームは女の子を苛めること！！   (2024/11/23 10:08:49)

花海佑芽> ひどいです！！（被害者の会）   (2024/11/23 10:09:28)

エロガキ♂15R ◆> (やっぱり被害者だった！！)   (2024/11/23 10:10:08)

エロガキ♂19b ◆> 佑芽ちゃんは苛めがいがあって楽しいよ～...プリン食べよっと   (2024/11/23 10:11:07)

花海佑芽> ちなみに会員ってあたし以外に何人くらい居るんですか？   (2024/11/23 10:11:14)

花海佑芽> もう罰の時間は終わったのに！？（涙目）   (2024/11/23 10:11:45)

エロガキ♂15R ◆> 星の数ほど居るんじゃないですか…？19bさんだしっ！   (2024/11/23 10:12:14)

