/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月12日 22時15分 ～ 2024年11月13日 10時18分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> クラウンさんが入室しました♪  (2024/11/12 22:15:29)
エロガキ♂14C ◆> エロガキチームの勝利、と。まああれだけの上振れ力見せつけられたら負けても讃えたくなる……   (2024/11/13 00:22:35)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/13 00:23:03)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/13 00:23:06)

エロガキ♂15R ◆> 無事勝利で帰還っ！   (2024/11/13 00:23:23)

エロガキ♂14C ◆> おかえりなさい（ずずず）   (2024/11/13 00:23:26)

胡桃 ◆> ぐぇー…私は負けた！   (2024/11/13 00:23:36)

エロガキ♂15R ◆> ただいまでーすっ   (2024/11/13 00:23:45)

胡桃 ◆> (そして15R君の支援の字消えてないからこっそり隠しといてあげよう、)   (2024/11/13 00:23:58)

エロガキ♂14C ◆> （いつも僕の勝利を阻止してた堂主が負ける様子は少しスカッとするよ！）   (2024/11/13 00:24:09)

エロガキ♂15R ◆> (あっ…！)   (2024/11/13 00:24:13)

胡桃 ◆> そんなに阻止してたかな〜？直近ならそんなに顔出てないじゃなーい…   (2024/11/13 00:25:56)

エロガキ♂14C ◆> 今夜はもー少し夜更かし出来るんだけど、まあこれからゲーム成立はなかなかなさそーかなー。   (2024/11/13 00:26:14)

エロガキ♂14C ◆> 僕の中のイメージでは何でか知らないけど某呑兵衛とかと一緒になった時に立ち塞がってきたイメージが強いんだよね、何でか知らないけど。   (2024/11/13 00:27:00)

エロガキ♂14C ◆> （支援消し忘れは後々ダメージになるやつ…）   (2024/11/13 00:27:19)

エロガキ♂15R ◆> (何度かプロフィール変え忘れあるから気を付けないと…)   (2024/11/13 00:29:24)

エロガキ♂14C ◆> それにしても15Rくん46は割と真面目にすごくない……？   (2024/11/13 00:29:51)

胡桃 ◆> 私はさすがに罰まではいける気力もないしな〜…。   (2024/11/13 00:30:13)

エロガキ♂14C ◆> じゃあお茶でもどーぞ。（堂主の目の前に湯呑みをすすす。）   (2024/11/13 00:30:50)

胡桃 ◆> え…何？実は中に変なもの入ってたりする？(勝利阻止の腹癒せ警戒してる、)   (2024/11/13 00:31:28)

エロガキ♂15R ◆> 19bさんに勝たせたい一心で振ったから……？…気合…？   (2024/11/13 00:31:45)

エロガキ♂14C ◆> 僕のことどんだけ信用ないのさ！？労ってるだけなのに……（ぐすん）   (2024/11/13 00:32:09)

胡桃 ◆> 確率ではあるけど…5と50を一度見てみたいかも。   (2024/11/13 00:32:17)

エロガキ♂14C ◆> 誰かを勝たせたい一心は強かった……！   (2024/11/13 00:32:29)

胡桃 ◆> ご、ごめんってば！(一応、湯呑みは受けとっておいた。温かいお茶の季節だねぇ…)   (2024/11/13 00:33:01)

エロガキ♂14C ◆> 今まで見た最大/最低は47/7とかだったかなあ？   (2024/11/13 00:33:08)

エロガキ♂14C ◆> 温かいお茶飲まないと身体が冷えて仕方ない。でもエロガキの僕はお茶よりもおねーさんの温もりの方がもっと欲しいのであった、まる。   (2024/11/13 00:34:26)

胡桃 ◆> 15R君の献身的な精神がこう…子供の純粋さって感じで癒されるよ…(こんないい子、居たんだねって顔してる。)   (2024/11/13 00:34:49)

エロガキ♂15R ◆> 50出した方、未だ居ない…？今度…支援の時、気合でぼくが出しますっ！   (2024/11/13 00:35:12)

胡桃 ◆> (勝負部屋、じーっ、)   (2024/11/13 00:35:45)

エロガキ♂14C ◆> あ、一花おねーさんが再登場してる。様子見て誰も行かないなら今日のラストゲームのお相手に選ぼっかな。   (2024/11/13 00:35:52)

胡桃 ◆> あー、なるほど…ちょっと待った方がいいかも。   (2024/11/13 00:36:38)

エロガキ♂15R ◆> (？？…い、居なく無いですか…？見えてないだけ…？)   (2024/11/13 00:36:48)

エロガキ♂14C ◆> （ヒント、アナザー   (2024/11/13 00:37:11)

胡桃 ◆> この件も込みでやっぱり話し合いのタイミング作らないとだ。   (2024/11/13 00:37:13)

エロガキ♂15R ◆> (なるほど…！見つけましたっ！)   (2024/11/13 00:38:04)

エロガキ♂14C ◆> 向こうはおねーさんサイドが待つ時は条件付けできるよーになったから、ね、提示されるまでは大人しく待て、だよ。（待てだけどお座り）   (2024/11/13 00:38:04)

胡桃 ◆> あ…あー！！   (2024/11/13 00:38:31)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/13 00:38:32)

エロガキ♂14C ◆> い？   (2024/11/13 00:38:38)

エロガキ♂15R ◆> う？   (2024/11/13 00:39:00)

エロガキ♂14C ◆> え！   (2024/11/13 00:39:18)

エロガキ♂15R ◆> お！！   (2024/11/13 00:39:23)

エロガキ♂14C ◆> （握手）   (2024/11/13 00:39:31)

エロガキ♂15R ◆> (握手)   (2024/11/13 00:40:09)

エロガキ♂14C ◆> ボケはさておき堂主は何を見つけて飛び出ていったんだろ。   (2024/11/13 00:41:06)

エロガキ♂15R ◆> どこかにお仕事かな？…と思いましたけど見当たりませんね…？   (2024/11/13 00:41:39)

エロガキ♂15R ◆> あ、いたっ！   (2024/11/13 00:41:59)

エロガキ♂14C ◆> ま、何かあれば分かるし今度からこの現象を堂主ロケットと名付けよう。   (2024/11/13 00:42:07)

エロガキ♂15R ◆> 堂主ロケット…良い響き…   (2024/11/13 00:43:50)

エロガキ♂14C ◆> 打ち上げ成功したら拍手！……していいのかは分からない！   (2024/11/13 00:44:17)

エロガキ♂15R ◆> ロケット帰還したら拍手で迎えましょうっ！   (2024/11/13 00:45:35)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (2024/11/13 00:46:00)

エロガキ♂14C ◆> そーしよう！無事ぺたんと着陸成功、って事で！   (2024/11/13 00:46:03)

エロガキ♂14C ◆> あ、咲夜おねーさんこんばんはーっ。   (2024/11/13 00:46:12)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/13 00:46:25)

十六夜咲夜 ◆> こんばんは。…何か打ち上がったのかしら   (2024/11/13 00:46:26)

エロガキ♂15R ◆> こんばんはっ！   (2024/11/13 00:46:31)

十六夜咲夜 ◆> あ、帰還したようね   (2024/11/13 00:46:33)

胡桃 ◆> ただいまー！   (2024/11/13 00:46:34)

エロガキ♂14C ◆> （ぱちぱちー、）   (2024/11/13 00:46:45)

エロガキ♂15R ◆> (ぱちぱちぱちー)   (2024/11/13 00:47:00)

胡桃 ◆> な、なんの拍手なのこれ…？   (2024/11/13 00:47:14)

胡桃 ◆> あっ！咲夜さんこんばんは！   (2024/11/13 00:47:29)

エロガキ♂15R ◆> (目反らし)   (2024/11/13 00:47:31)

十六夜咲夜 ◆> 何が何だか…w   (2024/11/13 00:47:39)

エロガキ♂14C ◆> 堂主ロケットの打ち上げ&着陸成功！   (2024/11/13 00:47:40)

胡桃 ◆> 人をロケット扱いした悪い子だぁーれ？(にっこり、)   (2024/11/13 00:48:24)

エロガキ♂14C ◆> だってなんか大声上げて飛んでったんだもん、ねー？   (2024/11/13 00:48:53)

胡桃 ◆> 知ってる…？部屋の説明って…書く事増えれば増えるだけ、どんどん難しくなるの…(遠い目、)   (2024/11/13 00:49:36)

エロガキ♂14C ◆> そして残念ながら一花おねーさんの指定から外れたから見送りー。（ごろん）   (2024/11/13 00:49:41)

エロガキ♂15R ◆> 胡桃さん、…急に飛んで行ったから！   (2024/11/13 00:49:47)

エロガキ♂14C ◆> 知ってる（真顔）   (2024/11/13 00:49:52)

十六夜咲夜 ◆> (すー)(我関せず、とタヌキ寝入り)   (2024/11/13 00:49:58)

十六夜咲夜 ◆> (説明増えると大変そうねぇ…)   (2024/11/13 00:50:17)

エロガキ♂15R ◆> 分かる…(分かる)   (2024/11/13 00:50:27)

エロガキ♂14C ◆> （うたた寝してたらイタズラしちゃうぞー、と咲夜おねーさんにひそひそ）   (2024/11/13 00:50:34)

胡桃 ◆> (内容みてきたけど、私なら絶対意地悪したくなっちゃうかもしれない…)   (2024/11/13 00:51:15)

胡桃 ◆> うーん…私、今にして思えば…一番年齢低い子の相手って14…か13かな？   (2024/11/13 00:52:55)

エロガキ♂14C ◆> こう、参加するためだけに年齢を下げる気になれないのはこの年齢にした理由が一応あったりなかったり。でも絶対下げた方がキャラ的にあってる気がするジレンマ。   (2024/11/13 00:53:49)

十六夜咲夜 ◆> 13が下ですわねぇ…10は雑談で見た気はしますが   (2024/11/13 00:54:11)

エロガキ♂14C ◆> そして気がついたらこんな時間なんだねー……時間が経つの早い。   (2024/11/13 00:55:40)

十六夜咲夜 ◆> 来たばかりですけど、確かに早いかもですわねぇ…(むにゃ)   (2024/11/13 00:56:01)

エロガキ♂15R ◆> そんなに長い期間見てませんが…体感14〜16が多い気がしますっ   (2024/11/13 00:56:03)

エロガキ♂14C ◆> 咲夜おねーさんもうおねむ？（つんつん）   (2024/11/13 00:56:32)

エロガキ♂15R ◆> 明日はお休みっ！無敵、ですっ！   (2024/11/13 00:56:38)

十六夜咲夜 ◆> まだ平気よぉ…   (2024/11/13 00:57:54)

エロガキ♂14C ◆> 咲夜おねーさん寝落ち常習犯だから……   (2024/11/13 00:58:21)

エロガキ♂14C ◆> おやすみいいなあ。   (2024/11/13 00:59:22)

エロガキ♂14C ◆> ……堂主もうとうとしてそう（背筋つー）   (2024/11/13 01:00:29)

十六夜咲夜 ◆> …まあそろそろ寝落ちしたら何かされそうな気はするわね…対戦後とか尚更…(本当に悪かったわね…)   (2024/11/13 01:00:40)

おしらせ> 中野 一花さんが入室しました♪  (2024/11/13 01:01:11)

十六夜咲夜 ◆> (といいながら起きてるのか寝てるのか分からないやつ)   (2024/11/13 01:01:19)

胡桃 ◆> 私はこれで結構働いてるんだよ？(じと、)   (2024/11/13 01:01:21)

エロガキ♂14C ◆> あ、一花おねーさんおかえりー。   (2024/11/13 01:01:24)

胡桃 ◆> 一花さんおかえりなさい！   (2024/11/13 01:01:30)

エロガキ♂15R ◆> おかえりなさーいっ   (2024/11/13 01:01:40)

中野 一花> わ 、この時間なのに多いね っ !? ただいま っ ♡   (2024/11/13 01:01:47)

エロガキ♂14C ◆> うわおきてたっ（イタズラしたかっただけなんて言えない）   (2024/11/13 01:01:50)

中野 一花> もうちょ - っと 、条件考えなきゃだ 。   (2024/11/13 01:02:18)

エロガキ♂14C ◆> 条件絞れるとは言っても来るかどうかはかけだからねわ   (2024/11/13 01:02:42)

十六夜咲夜 ◆> (こんばんはぁ)   (2024/11/13 01:03:09)

エロガキ♂14C ◆> 賭けだからねー、って打とうとしたらキーボード暴走炸裂……   (2024/11/13 01:03:11)

エロガキ♂14C ◆> 今夜はそろそろおねんねしようか悩みつつ、おねーさんの添い寝が欲しい今日この頃。（寒いだけ）   (2024/11/13 01:03:57)

中野 一花> そうなんだよ っ 。.. だから年齢は歳下ならおっけぃにしようかな 。ｼｮﾀ 、美少年 、男の娘 っ 、可愛いければ最高だ っ ♡   (2024/11/13 01:03:58)

中野 一花> 十六夜さん こんばんは っ !! .. あれ 、なんか眠そう ?   (2024/11/13 01:04:27)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/13 01:04:38)

エロガキ♂14C ◆> およ？   (2024/11/13 01:04:47)

十六夜咲夜 ◆> 大丈夫よ私はー。   (2024/11/13 01:05:08)

十六夜咲夜 ◆> あら、用事あったのかしら   (2024/11/13 01:05:28)

中野 一花> あれ 胡桃さん .. ?   (2024/11/13 01:05:35)

エロガキ♂14C ◆> ……なんとなく察した。   (2024/11/13 01:05:49)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/13 01:06:34)

エロガキ♂14C ◆> ま、悪い事じゃないみたいだし気にしなくていいと思うよ。   (2024/11/13 01:06:48)

エロガキ♂19b ◆> こんばんは！！(棺桶からワァ！！)   (2024/11/13 01:07:09)

エロガキ♂14C ◆> うわでた   (2024/11/13 01:07:18)

エロガキ♂15R ◆> そこから…！？   (2024/11/13 01:08:06)

エロガキ♂19b ◆> エロガキのボスで！昔からいる暇人の19bさんが！棺桶からデーーター！！イェェェェイ！！！   (2024/11/13 01:08:30)

十六夜咲夜 ◆> どういう登場なのよ！？   (2024/11/13 01:08:31)

エロガキ♂14C ◆> うるさい（げしっ）   (2024/11/13 01:08:41)

エロガキ♂19b ◆> ぐぇぇ   (2024/11/13 01:09:01)

エロガキ♂15R ◆> あ、扱いが雑っ！   (2024/11/13 01:09:15)

十六夜咲夜 ◆> ボス…なのかしら？確かに一番トドメ刺されてる記憶しかないですが…   (2024/11/13 01:09:25)

エロガキ♂19b ◆> みんなからいろんな呼ばれ方されてるからね～その中のひとつだよ～   (2024/11/13 01:10:20)

エロガキ♂14C ◆> （目ごしごし）   (2024/11/13 01:10:53)

エロガキ♂19b ◆> そーして俺のド派手な登場に～！硬直してしまった人がいるようですねぇ～！！ごめんね(テヘッ))   (2024/11/13 01:11:27)

十六夜咲夜 ◆> …なんか皆さんフリーズしてないです？   (2024/11/13 01:12:49)

エロガキ♂14C ◆> 僕は動いてるよ（ぼふ）   (2024/11/13 01:13:05)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/13 01:13:15)

胡桃 ◆> やあやあ！ただいまー♪   (2024/11/13 01:13:25)

エロガキ♂14C ◆> ロケット2号着陸ー   (2024/11/13 01:13:33)

十六夜咲夜 ◆> あらおかえりぃ   (2024/11/13 01:13:45)

エロガキ♂19b ◆> わたーしが悪いヤーツですか？おっ帰り～胡桃ちゃーん！！今日も可愛いねー！   (2024/11/13 01:13:51)

十六夜咲夜 ◆> (ぼふ、って)   (2024/11/13 01:14:22)

十六夜咲夜 ◆> あらあら、私にも言ってくれてもいいんじゃないかしらぁ？(無茶振り   (2024/11/13 01:14:59)

エロガキ♂14C ◆> 多分皆そろそろおねむなんだろーな、と思うので流れを作るために僕はお布団にはいろっかな。   (2024/11/13 01:15:41)

中野 一花> 某 緑の連絡アプリからの通知に返事してたから離席してた ぁ ~ .. 。胡桃さん おかえり っ 。と .. わたしより歳上のお兄さんが一人来てる 、こんばんは っ 。( )   (2024/11/13 01:15:44)

エロガキ♂19b ◆> んー？咲夜ちゃんは～そのきれーいな瞳と整ったメイド服～見てるだけでもわかる丁寧な姿がとーってもキュートでかわいいよー！！！   (2024/11/13 01:16:23)

エロガキ♂14C ◆> （この時間に通知来るの大変そう）   (2024/11/13 01:16:36)

十六夜咲夜 ◆> ふふぅ、調子いいわねぇ♪   (2024/11/13 01:17:02)

エロガキ♂15R ◆> (端末ガチフリーズぼく)   (2024/11/13 01:17:13)

中野 一花> 今日は一日中 これの対応だったよ っ 。＞14Cくん   (2024/11/13 01:17:16)

エロガキ♂19b ◆> 今日一回すれ違いした年上のお兄さんですよ～、んま...見てる限り私はお呼びじゃないんですけどねーはっはっは！！   (2024/11/13 01:17:24)

エロガキ♂14C ◆> （ガチフリーズが一人いたとは……   (2024/11/13 01:17:31)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/11/13 01:18:09)

エロガキ♂15R ◆> フリーズしてる間に帰ってきてるっ！   (2024/11/13 01:18:26)

胡桃 ◆> シャーロットさんこんばんは！   (2024/11/13 01:18:29)

エロガキ♂14C ◆> とりあえず先着一名のおふとんを用意して僕はおねんねするよー。   (2024/11/13 01:18:33)

中野 一花> ん 、あ - っ !? 日中はごめんね .. 、っ て 言うか 随分とインパクトがあるような .. 。。   (2024/11/13 01:18:42)

エロガキ♂19b ◆> あれあれー？ほんとに深夜かなー？この賑わいはとてつもないぜー！！こんばんはレイスちゃん！！   (2024/11/13 01:18:52)

シャーロット・レイス ◆> こんばんは   (2024/11/13 01:18:52)

胡桃 ◆> 15R君のフリーズを溶かしに来たよ！(炎元素だし、)   (2024/11/13 01:18:56)

中野 一花> シャ - ロットさん こんばんは っ !!   (2024/11/13 01:19:03)

エロガキ♂14C ◆> 入れ替わりシャーロットおねーさんこんばんはー。そしておやすみなさーい。   (2024/11/13 01:19:06)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/13 01:19:18)

エロガキ♂15R ◆> 始めましてっ！こんばんはっ！   (2024/11/13 01:19:28)

エロガキ♂19b ◆> 14cはおやすみ～！！   (2024/11/13 01:19:35)

中野 一花> は - い おやすみ っ 。＞14Cくん   (2024/11/13 01:19:41)

胡桃 ◆> (一花さんに意味深なウインク、こくこくって頷いておいた、)   (2024/11/13 01:19:51)

胡桃 ◆> おやすみ〜！   (2024/11/13 01:20:03)

エロガキ♂15R ◆> 炎元素…フリーズ直せる…！？便利だ…！   (2024/11/13 01:20:23)

中野 一花> （ ん 、胡桃さん   (2024/11/13 01:20:52)

エロガキ♂19b ◆> 深夜テンションなだけだよ一花ちゃんー！！   (2024/11/13 01:20:53)

エロガキ♂15R ◆> 19bさん勝負部屋で会った時と違い過ぎませんっ！？   (2024/11/13 01:21:43)

中野 一花> （ ん 、胡桃 さん .. ? 首傾げるが 何となく察し 頷く 。）   (2024/11/13 01:21:54)

シャーロット・レイス ◆> 深夜のテンションは危ないわよ。   (2024/11/13 01:22:10)

エロガキ♂19b ◆> んま、俺はここでは基本面白おかしい変人お兄さんだからねー(すん...)   (2024/11/13 01:22:46)

中野 一花> げ 、元気だ っ .. 。さっき遊んでたから尚更 ? ＞19b   (2024/11/13 01:23:12)

エロガキ♂19b ◆> YesYesYesYesYes......Yes！！！＞一花ちゃん   (2024/11/13 01:24:17)

エロガキ♂15R ◆> あ、あまりの違いに別人かとっ…   (2024/11/13 01:24:22)

胡桃 ◆> 19bさんは少し落ち着こっか…(耳に吐息、ふーって。)   (2024/11/13 01:25:11)

エロガキ♂19b ◆> んにゃぁ.....(パタリ)   (2024/11/13 01:25:57)

胡桃 ◆> 咲夜さんは…眠ったかな。(すす、毛布ぽふぽふ、)   (2024/11/13 01:26:03)

シャーロット・レイス ◆> 19bは、ここだとただの変人違うか…コンティニュー土管から出る人。   (2024/11/13 01:26:17)

エロガキ♂15R ◆> (どういう事…？っで顔)   (2024/11/13 01:26:55)

エロガキ♂19b ◆> それは俺じゃない～....俺はゴミ箱にはいったら押し入れからでてくるひと～   (2024/11/13 01:27:11)

エロガキ♂15R ◆> (…？？？？？)   (2024/11/13 01:27:26)

エロガキ♂15R ◆> (そういうモノ！考えるのやめたっ)   (2024/11/13 01:29:10)

エロガキ♂19b ◆> んま...暴走はここまでにしてここからは普通のテンションで～   (2024/11/13 01:29:42)

シャーロット・レイス ◆> そうそう、19bはそうゆうものと思うのが一番だよ。15R   (2024/11/13 01:30:41)

エロガキ♂15R ◆> 分かりましたっ！   (2024/11/13 01:30:55)

胡桃 ◆> 一花さんもお眠かな〜？(念の為、一花さんにも毛布ぽふぽふ、)   (2024/11/13 01:31:40)

エロガキ♂19b ◆> この時間だと仕方なし～   (2024/11/13 01:31:53)

胡桃 ◆> (あ、あれ？私人を寝かせる仕事に就いた覚えはないんだけど…)   (2024/11/13 01:32:09)

エロガキ♂15R ◆> いい時間ですし、すやすやタイムの方が出てきましたねっ…   (2024/11/13 01:32:29)

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/11/13 01:33:28)

エロガキ♂15R ◆> こんばんはっ！   (2024/11/13 01:33:43)

エロガキ♂11T> おじゃましまーす   (2024/11/13 01:33:46)

中野 一花> （ むく 、）起きて るよ ~ ♡ みんなの会話見てた っ 。( )   (2024/11/13 01:33:46)

シャーロット・レイス ◆> こんばんは   (2024/11/13 01:33:52)

エロガキ♂11T> こんばんは   (2024/11/13 01:33:54)

中野 一花> こんばんは っ 。   (2024/11/13 01:34:02)

エロガキ♂11T> 寝る前にすこしだけ   (2024/11/13 01:34:18)

エロガキ♂15R ◆> 始めましての方が多いっ！   (2024/11/13 01:34:23)

エロガキ♂19b ◆> こんばんは～   (2024/11/13 01:34:26)

胡桃 ◆> 起きてたっ！人が居る時は眺めてるだけでも楽しいよね〜＞一花さん   (2024/11/13 01:35:38)

胡桃 ◆> 11T君はこんばんは！   (2024/11/13 01:35:47)

エロガキ♂11T> フータオお姉ちゃん、こんばんは～   (2024/11/13 01:36:03)

エロガキ♂15R ◆> 平日のこの時間に賑わってるの珍しいのでは…！   (2024/11/13 01:36:24)

エロガキ♂11T> シャーロットお姉ちゃん、大丈夫？おねむ？   (2024/11/13 01:37:09)

エロガキ♂11T> 寝ないとなんだけど…ついつい(笑)   (2024/11/13 01:37:28)

中野 一花> 楽しい 楽しい っ ♡ 特にわたしは今日が初雑談だから見て るだけで じゅ - ぶん っ 。＞胡桃さんへ   (2024/11/13 01:37:31)

シャーロット・レイス ◆> 大丈夫よ。(11Tの頭を撫でて)   (2024/11/13 01:38:10)

エロガキ♂11T> それなら良かった～(シャーロットお姉ちゃんを上目遣いでじぃー)   (2024/11/13 01:38:58)

エロガキ♂19b ◆> 全てを理解した....(部屋の隅っこで三角座りをしておこう)   (2024/11/13 01:39:59)

エロガキ♂15R ◆> 分かる…(何も分かってない顔)   (2024/11/13 01:40:48)

シャーロット・レイス ◆> 何を理解したのかしら(流石に見つめられると恥ずかしくて)   (2024/11/13 01:41:49)

エロガキ♂11T> (すみっこで三角座りしてる１９君に…暇潰しのおもちゃをぽいっ)   (2024/11/13 01:41:52)

中野 一花> ん 。.. なんか 悟って るね 、男性陣 。＞15Rくん 、19bくん   (2024/11/13 01:41:56)

おしらせ> 無言時間が25分を超えたため、十六夜咲夜 ◆t1X293JlUEさんが自動退室しました。  (2024/11/13 01:42:22)

中野 一花> と 、十六夜さん おやすみなさい っ 。   (2024/11/13 01:42:47)

エロガキ♂19b ◆> おやすみー！！   (2024/11/13 01:42:59)

エロガキ♂11T> おやすみ～   (2024/11/13 01:43:16)

シャーロット・レイス ◆> おやすみなさい。咲夜さん   (2024/11/13 01:43:26)

エロガキ♂19b ◆> 悟ってるというかね、、あれだよ...うん、あれあれ   (2024/11/13 01:43:30)

エロガキ♂15R ◆> …さて…なんでしょうねっ！(流石に理解したっ)   (2024/11/13 01:43:38)

エロガキ♂11T> シャーロットお姉ちゃん、なんか顔赤いよ…大丈夫？   (2024/11/13 01:43:47)

エロガキ♂15R ◆> おやすみなさいっ！   (2024/11/13 01:43:52)

エロガキ♂15R ◆> さてっ！今度は胡桃さんが寝落ちするのを見送る会始めましょうかっ！   (2024/11/13 01:46:00)

胡桃 ◆> 起きてるよー？(にょっき、)   (2024/11/13 01:46:32)

シャーロット・レイス ◆> 大丈夫だから…(真っ赤に染まる顔流石にエロガキたちを見られなくて、目を逸らし)   (2024/11/13 01:46:44)

エロガキ♂11T> フータオお姉ちゃんは…起きてたね～   (2024/11/13 01:46:45)

エロガキ♂15R ◆> お、起きてたーっ！？   (2024/11/13 01:46:49)

エロガキ♂11T> ふーん…ほんとかな～(真っ赤な顔を見つめて…)   (2024/11/13 01:47:34)

エロガキ♂15R ◆> お、お疲れで寝てるのかとっ…！   (2024/11/13 01:47:53)

エロガキ♂19b ◆> 空気がだんだんやらしくなってきている...ここは一旦リセットするべきか....   (2024/11/13 01:48:30)

エロガキ♂11T> ま、シャーロットお姉ちゃんが大丈夫ならいいけどね～   (2024/11/13 01:49:16)

エロガキ♂15R ◆> …勝負部屋、空いてますよっ？   (2024/11/13 01:49:58)

エロガキ♂11T> この時間だからね…   (2024/11/13 01:51:24)

エロガキ♂15R ◆> そうですねっ…たしかにこの時間は…始まらない…と、思うっ！   (2024/11/13 01:54:29)

エロガキ♂15R ◆> おねむになってきました…   (2024/11/13 01:56:41)

おしらせ> 無言時間が25分を超えたため、中野 一花さんが自動退室しました。  (2024/11/13 02:07:48)

おしらせ> 無言時間が25分を超えたため、胡桃 ◆QK46S7ElOBxyさんが自動退室しました。  (2024/11/13 02:11:33)

おしらせ> 無言時間が25分を超えたため、シャーロット・レイス ◆QpkzOtGYQEさんが自動退室しました。  (2024/11/13 02:11:48)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/11/13 02:13:52)

おしらせ> 無言時間が25分を超えたため、エロガキ♂11Tさんが自動退室しました。  (2024/11/13 02:16:27)

おしらせ> 無言時間が25分を超えたため、エロガキ♂15R ◆OZhV/nYN5dWKさんが自動退室しました。  (2024/11/13 02:21:42)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/11/13 03:30:18)

エキドナ ◆> 本当に少しだけ邪魔をさせてもらうよ、？と言ってもこの現状に少し驚いて降りてきただけだからね、特別誰かが来るでも無いのならすぐに失礼させてもらうよ、、(押し入れから毛布だけ沢山引っ張り出して)   (2024/11/13 03:35:10)

エキドナ ◆> ぅ、、ぐ、、賑わっているのはとても良いことだと思っているからね、、見ていても楽しくさせて貰えるのは有難いと思うよ、、(引っ張り出した毛布の山に押し潰されて、這い出てから床に寝てる子達から先に毛布を撒いて掛けていって)   (2024/11/13
03:44:00)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/13 03:46:35)

エキドナ ◆> あんまりこう言うのは柄じゃないからベアトリスにでもやらせて良かったね、、(ソファに寝てたりする子達にも順番に毛布被せて、扉の前で振り向いて、全員の寝顔眺めてから帰ろうとして)おや、、おはよう、？かな、。   (2024/11/13
03:47:18)

エロガキ♂15M ◆> ん、おはよ〜。ボクで良かったら少し手伝おっか？と思ったらちょうど終わってた…(部屋の惨状にビックリして手伝おうとしたが、扉の前でバッタリすれ違いそうになって) ふぁぁ…まだちょっと眠い……(小さな欠伸を漏らしてしまう)  
(2024/11/13 03:50:09)

エキドナ ◆> ならもう少し寝ていても構わないんじゃないかな、？二度寝するにもいい時間だろうからね、(彼とすれ違いかけて、苦笑いしてから混ざるのを勧めて、開けたままの押し入れから溢れてる毛布に目線向けて)   (2024/11/13 03:54:49)

エロガキ♂15M ◆> にゃははぁ、二度寝するつもりだよ。ホントに…たまたま一人で頑張るお姉さんを見かけただけだからね (彼女の目線の先、押し入れから溢れてる毛布をみて) ……ついでにアレの片付けも押し付けようとしてたにゃぁ…？(ジト目…ｼﾞｰ…)  
(2024/11/13 03:59:25)

エキドナ
◆> 惨状、、という訳でも無いだろうけども、この現状を見ると少し見て見ぬフリも忍びないからね、。そんなつもりは無いさ、ただ毛布ならあそこにあるのを使えるだろうと思ってね、？後片付けは使ってる当人達がするだろう、？(彼の眼差しに不思議そうな表情作って、)  
(2024/11/13 04:03:09)

エロガキ♂15M ◆> なぁんだ、ボクの邪推だったのか。ごめんね、疑うようなマネして。(掌合わせてごめん、って頭下げた後) んま、邪な気持ちがあるのはボクの方だったかも。お姉さんと少し二人っきりでお話とかしたかったなぁ…なんてね   (2024/11/13
04:07:01)

エキドナ ◆> 構わないよ、邪推も推測の一つだ。ボクも度々してしまう事もあるのだからそれを否定するのはボク自身の否定にも繋がってしまうからね、。と、、ボクと話かい、？構わないけど今あまり面白い話は用意できないよ、？   (2024/11/13
04:10:20)

エロガキ♂15M ◆> いいよ、全然。お話もそうだけど、寝るまでの抱き枕になってくれたら嬉しいなぁ……って感じ。（どう？なんて首傾げつつ、ちゃっかり部屋の準備はしてて）   (2024/11/13 04:14:25)

