/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月27日 01時54分 ～ 2024年10月27日 20時51分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

蛍> 頼まれた事も済んだし…長く居座ってたから私もそろそろ出ないと(すっかり夜遅くなってる事に気が付いて、ちょっと欠伸出ちゃうそう。膝の上に寝かせてたパイモンが寝言零してるのは今日の夜ご飯が美味しかったから、その夢かも。パイモンを大事に抱き抱えて、ソファから立ち上がれば静かなお部屋後にして)
  (2024/10/27 01:54:04)

おしらせ> 蛍さんが退室しました。  (2024/10/27 01:54:09)
ロサード ◆> おっ、だったら遠慮なく…って思ったけど自分じゃ飲まねえの？（なんとなく不穏な気配を感じたようなそうでもないような）なあ、せっかくだから乾杯いっとく？   (2024/10/27 14:12:13)

エロガキ♂19b ◆> ...了解、、なら俺もいただこうかな！！   (2024/10/27 14:12:58)

ロサード ◆> 1d6 → (6) = 6  (2024/10/27 14:13:24)

エロガキ♂19b ◆> 1d6 → (5) = 5  (2024/10/27 14:13:42)

ロサード ◆> …まずい！（うげー、って可愛いのが台無しな顔）   (2024/10/27 14:14:10)

エロガキ♂19b ◆> ...ま、まぁ、いいでしょう！(珈琲を持ってきて飲み干し)んがぁ！、苦すぎるだろ...砂糖そのまま食べたいぐらいぐらいだ、これぇ！   (2024/10/27 14:14:56)

ロサード ◆> そっちもそっちで大変そうだな…（なんつーもん置いてんだ、と思いながら同情の視線を浮かべて）   (2024/10/27 14:16:22)

エロガキ♂19b ◆> でもまだ、、ましな方だよこれは一番の外れはお互い引いてないからね...ほんとよかった   (2024/10/27 14:17:02)

エロガキ♂19b ◆> そういえば、ロザードちゃんは勝負はしに行かないの～？ちょうど勝負部屋にお相手がいるっぽいけどさ！   (2024/10/27 14:21:08)

ロサード
◆> （一番のハズレは他にあると聞いて、まじかーって表情を浮かべ、深入りしないほうがいいと判断して）さっきはああ言ってくれたけど、やっぱりアレかね、ここにたむろしてる連中、オレ的な相手じゃなくて正真正銘の女の子相手じゃないと戦う気しねー、って奴のほうが多いのかね（表をちらちら見ながら）
  (2024/10/27 14:21:29)

エロガキ♂19b ◆> それは人によるよ～、、あくまで俺はいけるってだけだから！でも多分皆男の娘もいけると思うよ～？   (2024/10/27 14:23:25)

ロサード ◆> 直接聞いたほうが早いかー（よっ、と立ち上がり、口調とは裏腹に丁寧な所作で扉を開けながら表へ出る）   (2024/10/27 14:23:31)

おしらせ> ロサード ◆vp1gp540pWaYさんが退室しました。  (2024/10/27 14:23:41)

エロガキ♂19b ◆> いってらっしゃいー！   (2024/10/27 14:25:41)

エロガキ♂19b ◆> さてさて、鑑賞タイムかな～(ポップコーン片手にソファに座り)   (2024/10/27 14:35:39)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/27 14:38:32)

星 ◆> 私も観戦しようっと。（ひょっこり、こんにちは19b。）   (2024/10/27 14:38:48)

エロガキ♂19b ◆> こんにちは～星ちゃんー！ポップコーン食べる？   (2024/10/27 14:39:17)

星 ◆> え？（もう手を突っ込んでた、むしゃあ。）   (2024/10/27 14:39:35)

エロガキ♂19b ◆> あ、速い、でもそこがいいね！！っと、、ロザードちゃんの勝ち～   (2024/10/27 14:40:04)

星 ◆> 決着も早かったね。（あいつ、強いな……みたいなトーナメント制のバトル漫画の控室の強者みたいな目をしておこう。）   (2024/10/27 14:40:44)

エロガキ♂19b ◆> 星ちゃんは基本対戦しないから強者の目してても違和感ないね...   (2024/10/27 14:41:53)

星 ◆> 武力は行使しないことで真の強さを発揮するからね。（よくわかんないこと言った、抑止力ってやつだ……。違うかも。）   (2024/10/27 14:42:54)

エロガキ♂19b ◆> バットで解決しようとするくせになにをいってるのやら...そういえばストーリーは読みきったかい？   (2024/10/27 14:44:31)

星 ◆> ニンジャとバナナで頭が痛くなってきたから少し休憩……。   (2024/10/27 14:45:09)

星 ◆> （忍殺を履修してないとちょっと色々辛いんじゃないかなぁ！あのノリ！）   (2024/10/27 14:45:55)

エロガキ♂19b ◆> そっかぁ...バナナは過剰摂取になるからね...俺はバナナを見るたびにあの歌がよぎってくるようになってしんどいよ...   (2024/10/27 14:46:30)

星 ◆> 音程自体はOPテーマなんだけどね……。（バナ……おっと。口をふさいだ。）   (2024/10/27 14:47:05)

エロガキ♂19b ◆> ほんとにね、頭痛くなるほどではないけど、混乱したよ！ブートヒルがいなければ即死だった...   (2024/10/27 14:48:24)

星 ◆> ホーリーバナナ……。ちょっと、別のゲームでもして頭をリセットしてこようかな。（来たばかりだけどごめんね、って19bの頭ぽんっとしてから部屋を出よう。そういえばあのゲームまだクリアしてないな……って銀狼に勧められたゲームをやりに戻るね。）  
(2024/10/27 14:50:33)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/10/27 14:50:41)

エロガキ♂19b ◆> いってらっしゃい～！   (2024/10/27 14:51:07)

エロガキ♂19b ◆> さて、、とても静か...あ、、ポップコーン無くなっちゃった...   (2024/10/27 15:00:31)

エロガキ♂19b ◆> 俺も一旦もどろー！   (2024/10/27 15:07:15)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/27 15:07:17)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/27 15:46:19)

パンドラ ◆> こんにちは、   (2024/10/27 15:46:32)

パンドラ ◆> 少しだけお邪魔させて頂きますね、？   (2024/10/27 15:46:47)

パンドラ ◆> 私一人では特別に出来ることもありませんね、、   (2024/10/27 16:01:04)

パンドラ ◆> 1度失礼致しますね、、   (2024/10/27 16:18:12)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/27 16:18:13)

おしらせ> ロサード ◆vp1gp540pWaYさんが入室しました♪  (2024/10/27 17:10:10)

ロサード ◆> 勝つとわかってれば最後まで付き合ったけど【プラス30分は厳しい】もうちょっと時間つぶしでもするかなっ   (2024/10/27 17:11:27)

ロサード ◆> 1d6 → (2) = 2  (2024/10/27 17:11:50)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/27 17:12:31)

ロサード ◆> （緑茶をぐびっ）あー旨い、さっきは超ヤバいやつも混ざってるって聞いたから身構えてたけどなっ   (2024/10/27 17:12:54)

エロガキ♂18D ◆> 改めましてこんにちは。少しの間ですが、お邪魔いたします。   (2024/10/27 17:13:05)

ロサード ◆> よう、さっきはどうもなっ（中立地帯と把握してるので友好的に）   (2024/10/27 17:14:19)

ロサード ◆> なんか戦ってる最中から結構こっち見てなかったか、気のせいかな？   (2024/10/27 17:15:04)

エロガキ♂18D ◆> いえいえ、こちらこそ……思いの外体力の回復に時間がかかりそうでしたので…ここは敵味方関係なし……と言っても言葉があれなんですが…まあ、戦友と語り合う酒屋、という事で……   (2024/10/27 17:15:58)

エロガキ♂18D ◆> いえ、何か初めまして、だったかどうか引っ掛かりはしましたが…… ……気のせいだったようです。申し訳ございません。可愛い人で、心当たりがありましたから。   (2024/10/27 17:16:56)

ロサード ◆> そうだな、オレの地元も戦争やってるけど中立地帯がなかったら捕虜の扱いとか妥協できないし、こういう所は大事だと思うよ（話を聞いて、ふと）もしかして、ここを教えてくれた錬金術師の子か？   (2024/10/27 17:18:19)

ロサード ◆> 【代わりましょうか？】   (2024/10/27 17:18:59)

エロガキ♂18D ◆> 中立地帯は本当に無いと困りますからねぇ……まぁ捕虜というより、勝負無し、話したい時に話す……本当に団欒って感じですから…戦争よりもっと軽いもの…武闘会みたいなイメージですかね、あのサイコロ部屋は…
あ、失礼かと思って伏せてましたが…ええ。【変わらなくていいですよ、自分も本当にこの後予定あるので】   (2024/10/27 17:21:50)

ロサード ◆> 負けたあとでめちゃくちゃな事になったりもするって、別のところから聞いたから身構えてたけど、なんか思った以上に平和だなあって、今だけかもしれないけど（緑茶をもう一口ぐびっ）【了解です。】   (2024/10/27 17:25:07)

エロガキ♂18D ◆> 少なくともそれは人それぞれ、でしょうか……それに関しては……少なくとも自分はそのつもりはないですし…気軽に勝負を楽しむ、それくらいでいいんですよ。(どこからともなくスラーダを出してグビッと飲み)   (2024/10/27
17:27:40)

ロサード ◆> アイツは最近どうも戦う時の魔力とか体力とか補うのがキツいみたいで助っ人を頼まれたんだ、っても顔を出さないってつもりは無いらしいぜ（話しつつ、目の前で飲み干される飲み物を見て（アレがもしかして一番ヤバいやつか…？）って表情が強張り）  
(2024/10/27 17:29:26)

エロガキ♂18D
◆> なるほどです……お大事にと言っておいてください、何だかんだで、あの部屋での付き合いは長い方ですから。勿論、ロサードさんもよろしくお願いしますね？(そう笑いながらスラーダを飲んで)うーん、旨い！！……そうですか。まぁどちらにせよ、今後ともよろしくお願いしますね？
  (2024/10/27 17:32:35)

ロサード ◆> お、おう（スラーダ一気飲みして爽やかな笑顔を浮かべる相手にひきつり、精神的な勝負？ はかなり不利そう）アイツ共々よろしくな、オレもいい付き合いが続けられそうな気がするよ。   (2024/10/27 17:34:27)

エロガキ♂18D ◆> ……えぇ、それならよかったです。では、自分はこれで。またどこかでお会いできましたら。(そう言って耳にイヤホンを詰めて、静かに外へ出ていき走り出して……)   (2024/10/27 17:35:07)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/27 17:35:09)

ロサード ◆> オレもそろそろソラネルに戻らないとなー（そういえば今夜はオルテンシアが料理当番だっけと期待不安の混ざった表情しつつ外へ）   (2024/10/27 17:37:01)

おしらせ> ロサード ◆vp1gp540pWaYさんが退室しました。  (2024/10/27 17:37:04)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/10/27 17:38:19)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/27 17:38:34)

クラリス ◆> こっちでも引き続き参加しますよー、   (2024/10/27 17:38:44)

クラリス ◆> 胡桃さんこんばんは！   (2024/10/27 17:39:05)

胡桃 ◆> クラリスさんこんばんは！…と思ったけど、もしかして今って時間ないかな？   (2024/10/27 17:39:21)

クラリス ◆> もって10分くらいです、ごめんなさい、   (2024/10/27 17:40:10)

クラリス ◆> 夜なら時間とれます。   (2024/10/27 17:40:35)

胡桃 ◆> ううん、それならまた今度にしよ！私もそんなに急いではないから。   (2024/10/27 17:40:49)

胡桃 ◆> また今度(夜だった)だね…   (2024/10/27 17:41:03)

クラリス ◆> はーい！   (2024/10/27 17:41:13)

クラリス ◆> ロサードの時でもいいので声かけてください、   (2024/10/27 17:41:44)

胡桃 ◆> 用意してくれてありがと、今は忙しいかもしれないしまた後で！私も遅くならないうちに来れるようにしておくからね   (2024/10/27 17:41:54)

クラリス ◆> はい、ひとまず今は失礼しますっ   (2024/10/27 17:42:21)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/10/27 17:42:26)

胡桃 ◆> 私も合間で突撃しに来たから出直すね、クラリスさんもお疲れさま！   (2024/10/27 17:43:39)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/27 17:43:44)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/27 17:47:12)

パンドラ ◆> 見事なまでにすれ違いますね、、こんばんは   (2024/10/27 17:48:10)

パンドラ ◆> 少しだけ退屈ですね、、元気な方を連れて来るべきだったでしょうか、、   (2024/10/27 18:01:38)

パンドラ ◆> だめ、、ですね、、また後ほどに、   (2024/10/27 18:17:52)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/27 18:17:55)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/27 19:00:31)

エロガキ♂19b ◆> こんばんは～   (2024/10/27 19:00:57)

エロガキ♂19b ◆> っは！！派手な登場忘れてた！   (2024/10/27 19:03:11)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/27 19:12:59)

エロガキ♂14C ◆> こんばんは、っと。……派手に登場するのはともかく、都度犠牲になるドアや天井の気持ちを考えてあげて！？   (2024/10/27 19:13:34)

エロガキ♂19b ◆> お、やっほー！こんばんは   (2024/10/27 19:15:48)

エロガキ♂14C ◆> へんじがない。ただのぬけがらのようだ。（可哀想だからこの前堂主に借りた棺桶の中にせっせこポンコツ博士の身体を入れて……起きてやがった、ちっ）   (2024/10/27 19:16:00)

エロガキ♂19b ◆> 昼間はごめんねー！入ったはいいけど、電波が悪くてさ   (2024/10/27 19:16:27)

エロガキ♂14C ◆> こんばんは。今日は全体的に静かだねー。待機はいずれも外しちゃってるし。あと別に気にしなくていいよー？そういうこともあるし。   (2024/10/27 19:16:49)

エロガキ♂19b ◆> 謝謝、ちなみにお兄さんもこれでもDIYしたり、軽い建築はするから扉や壁ぐらいなら治せるよ～、、治せるからこそ壊すてきな？   (2024/10/27 19:17:46)

エロガキ♂14C ◆> （直せるから壊していい理論は何か違うような……   (2024/10/27 19:18:12)

エロガキ♂19b ◆> ほら、、あれだよ！！作り治してより強固にって感じでさ！！うん、そうにちがいない！！   (2024/10/27 19:19:55)

エロガキ♂14C ◆> そのりくつはおかしい、って何処かのタヌキ型ロボットが言ってそう……。それはさておき、またもう少ししたら外に出ようかなあ。どうにも時間のせいなのかこの部屋に限らず人の気配がしないのが悩みどころ。   (2024/10/27
19:21:41)

エロガキ♂19b ◆> まぁ、皆集まるのはもう少し遅い時間だからねぇ、俺ももう少ししたらご飯食べなきゃ..今日は饅頭1箱しか食ってねえや   (2024/10/27 19:22:37)

エロガキ♂14C ◆> 饅頭一箱……何個入りかは知らないけど、それはそれでかなりアレなような！   (2024/10/27 19:23:46)

エロガキ♂19b ◆> 気がついたらなくなってるんだよね～、、なんでだろ？   (2024/10/27 19:24:07)

エロガキ♂19b ◆> あ、ちなみに12個入りね   (2024/10/27 19:25:03)

エロガキ♂14C ◆> 食べてるからでしょ（真顔）   (2024/10/27 19:25:03)

エロガキ♂14C ◆> ご飯はちゃんと食べた方がいいよー？あまり僕も人のこと言えたような食生活できてないけど。   (2024/10/27 19:25:44)

エロガキ♂19b ◆> 美味しいから仕方ないね！！たい焼き食べたくなってきたな...   (2024/10/27 19:26:09)

エロガキ♂14C ◆> 飯食え飯（げしっ）   (2024/10/27 19:26:34)

エロガキ♂19b ◆> 痛い！わかったから！おとなしく白米食べるから！   (2024/10/27 19:27:38)

エロガキ♂14C ◆> 野菜と肉も食え食え（べしべし）   (2024/10/27 19:27:57)

エロガキ♂14C ◆> それこそ自分で作るんだったらサイコロで献立決めてみたら？材料ないとか言われても責任は取らないけど（）   (2024/10/27 19:28:47)

エロガキ♂19b ◆> はいよ、、善処するわ..Uber頼むか   (2024/10/27 19:28:54)

エロガキ♂14C ◆> （まあまだちゃんと食べようとするからこれ以上は首突っ込むまい）   (2024/10/27 19:29:24)

エロガキ♂19b ◆> 自分ではパンケーキかインスタントラーメンしかしくれないんだよね   (2024/10/27 19:29:33)

エロガキ♂19b ◆> 作れない   (2024/10/27 19:29:45)

エロガキ♂14C ◆> えぇ……   (2024/10/27 19:29:59)

エロガキ♂14C ◆> やっぱポンコツ博士だ（きゃっきゃ）   (2024/10/27 19:30:38)

エロガキ♂19b ◆> んま、、そういうわけだ！飯食べてくるな！！   (2024/10/27 19:30:44)

エロガキ♂14C ◆> はーい、いってらっしゃい。   (2024/10/27 19:30:57)

エロガキ♂19b ◆> さらば！！(壁をぶち破りながら部屋をでていき)   (2024/10/27 19:31:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/27 19:31:21)

エロガキ♂14C ◆> …………（崩れた壁埋めつつ中にカラーボール仕込んでおこ。次壁ぶち破る悪い人先着一名様にもれなく全身蛍光イエローに染まる仕掛けをプレゼント。）   (2024/10/27 19:32:49)

エロガキ♂14C ◆> まあ派手な登場する人たちは大凡扉の扱いが乱暴なパターンが多いけどさ。あとは土管から出てきたりゴミ箱から出てきたり……僕は普通に来るよ、普通に！   (2024/10/27 19:34:26)

エロガキ♂14C ◆> それはさておき。ちょっと悩みな点が一つ。……甘えん坊属性外そうか否か。（うーん）   (2024/10/27 19:35:30)

エロガキ♂14C ◆> あっても最近甘える<いじめるになりつつあるからね！！！でも、付けとくと昨日来てくれたノアおねーさんみたいに考慮した罰ゲーム（？）にしてくれたりもするし難しいんだよなあ。   (2024/10/27 19:36:34)

エロガキ♂14C ◆> ただなあ、いじめたくなるのってその時の気分で左右されるからなあ……属性消さずに適度にやりたいようにやればいっか。（自己解決）   (2024/10/27 19:38:58)

おしらせ> フェリックス ◆r8To80Q7JEさんが入室しました♪  (2024/10/27 19:41:36)

フェリックス ◆> こんばんにゃー♪   (2024/10/27 19:41:48)

エロガキ♂14C ◆> こんばんはー。……猫耳？   (2024/10/27 19:42:32)

フェリックス ◆> 本物だよ〜？触らせてあげないけどね♪   (2024/10/27 19:43:03)

エロガキ♂14C ◆> むぅ、目の前にあるのに触れない……以前にこのおねー……さん？の方が身長高いから背伸びしても届かない！！！   (2024/10/27 19:44:06)

フェリックス ◆> にゃは♪もっと大きくなったら触れるかもね〜♪あ、私はフェリスって言うから遠慮なくフェリちゃんって呼んでね♪   (2024/10/27 19:47:20)

エロガキ♂14C ◆> う、うん？フェリちゃん……？歳上の人をちゃん付けで呼ぶ機会ってあまりないから慣れないなあ。   (2024/10/27 19:49:44)

フェリックス ◆> フェリちゃんちょっと思ったより忙しいかも、、？お返事遅れたらごめんね♪(てへ、)   (2024/10/27 19:49:46)

エロガキ♂14C ◆> うん、それはへーき。ただ、20時過ぎくらいを目処にゲーム部屋にでも行こうかなあ、とかは思ってたからその時はごめんね？   (2024/10/27 19:50:58)

フェリックス ◆> 可愛く呼んでくれるならフェリスでも良いよ〜♪   (2024/10/27 19:50:59)

エロガキ♂14C ◆> 呼び捨ては余計に呼びづらいよ！？   (2024/10/27 19:51:25)

フェリックス ◆> ううん、へーきへーき♪フェリちゃんはとっても優しいからね♪   (2024/10/27 19:52:19)

フェリックス ◆> ん〜、、じゃあなんて呼びたいのかにゃ〜？(にまぁ、)   (2024/10/27 19:53:32)

エロガキ♂14C ◆> 僕が慣れないだけなんだけどなぁ……じゃ、じゃあフェリスさん、で許してほしいな……？   (2024/10/27 19:53:54)

フェリックス ◆> ん〜、まぁいっか♪いいよ〜♪その内フェリちゃんって呼んでね♪   (2024/10/27 19:55:25)

エロガキ♂14C ◆> そ、そのうちね？それにしてもフェリスさんはテンションがすごく高いままなんだね？すごいなあ。   (2024/10/27 19:56:33)

フェリックス ◆> そーかにゃぁ？でもフェリちゃんは元気な方が可愛いでしょ♪   (2024/10/27 19:58:02)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/27 19:59:15)

エロガキ♂14C ◆> 可愛い、まあ確かに可愛い、かも？   (2024/10/27 19:59:34)

エロガキ♂19b ◆> ん？あれ...壁が直ってる！？くそっこうなったら！！ロケット発射5秒前！321発射！！(ドゴーーン！！と轟音をあげ壁を破壊全身を蛍光イエローに染めながらバズーカ片手にド派手な帰還)ケホッ！ケホッ！誰だよ！こんないたずらしたのは！！  
(2024/10/27 20:01:08)

エロガキ♂14C ◆> …………バカなの？（冷たい視線）   (2024/10/27 20:01:36)

フェリックス ◆> こ、こんばんにゃ、、   (2024/10/27 20:01:54)

フェリックス ◆> ねぇ、あの人なんであんなに黄色いの、、？(14Cさんの袖くい、)   (2024/10/27 20:02:40)

エロガキ♂19b ◆> あ、こんばんは～。いやぁ壊した壁から戻ろうと思ってたら直ってるじゃん？どうしようかなぁって思ったら俺の本能が壊せって言ったんだよね～   (2024/10/27 20:03:02)

エロガキ♂14C ◆> さっきあのバカなおにーさん、通称バかせがお部屋から出て行く時に壁壊してったから、直すついでにカラーボール埋めといたんだ。（呆れたように溜息吐きつつ、じとっとした視線をポンコツ博士改めバかせへ向けて）   (2024/10/27
20:04:13)

エロガキ♂19b ◆> とりあいず、、直しとかないと！こんなの堂主に見られたらそれこそ怒られちゃう！！(コンクリートパテやら、建築工具やら必要なものをどこからともなく取り出し壁の修復に取り掛かり)   (2024/10/27 20:05:59)

フェリックス ◆> ちょっとフェリちゃんには理解できないかにゃぁ〜、、？(2人を交互に見てて、)   (2024/10/27 20:06:51)

エロガキ♂14C ◆> 理解できなくていいと思う……理解するだけ無駄だと思うし。（溜息）さて、それじゃ僕はゲーム部屋に行ってくるね。   (2024/10/27 20:07:38)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/27 20:07:47)

エロガキ♂19b ◆> 毎回登場する方法考えるも結構大変なんだよ～、おっといってらっしゃい～   (2024/10/27 20:08:03)

フェリックス ◆> 行ってらっしゃ〜、、はっ！(変な人と2人きりじゃん！って固まって、)   (2024/10/27 20:09:05)

エロガキ♂19b ◆> そんなに警戒しなくても...ただ毎回登場するのが特殊なだけでそれ以外はいたって普通の人ですよ～   (2024/10/27 20:09:45)

フェリックス ◆> 登場が変な人の言葉にゃんだよね〜、、(じとぉ、)   (2024/10/27 20:10:40)

エロガキ♂19b ◆> これでよし！(破壊した後もないほど綺麗に壁を修復し)んー...なら、もっと変なことしとく？   (2024/10/27 20:11:01)

フェリックス ◆> フェリちゃん以外の人にしてあげて欲しいかにゃ〜、？   (2024/10/27 20:12:34)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/27 20:13:18)

胡桃 ◆> 普通に入っておいで！(べし、)   (2024/10/27 20:13:28)

エロガキ♂19b ◆> 了解了解、、でも着替えないとね～、って痛い！！   (2024/10/27 20:13:38)

胡桃 ◆> 2人ともこんばんは！   (2024/10/27 20:13:38)

エロガキ♂19b ◆> こんばんは～   (2024/10/27 20:14:20)

フェリックス ◆> こんばんにゃ〜♪   (2024/10/27 20:14:58)

胡桃 ◆> あんまり変なことしすぎて人を怖がらせたりしちゃダメだよ？(じっ)   (2024/10/27 20:16:02)

胡桃 ◆> 少し離席するね！   (2024/10/27 20:16:07)

エロガキ♂19b ◆> あ、、はーい。さすがにバズーカはやりすぎだったか...着替えよ(押し入れの中に入っていき)   (2024/10/27 20:16:53)

フェリックス ◆> 行ってらしゃ〜い♪   (2024/10/27 20:17:07)

フェリックス ◆> ぅにゃ、、(押し入れじぃ、)   (2024/10/27 20:18:40)

エロガキ♂19b ◆> お着替え完了～(入り口のドアを開けて入り適当なソファに座り)   (2024/10/27 20:18:46)

フェリックス ◆> ここにゃとこれが普通、、？なのかにゃ、、？(押し入れと19bさん交互に見て、諦め顔して、)   (2024/10/27 20:20:14)

エロガキ♂19b ◆> 普通ではないかも？でもやりたいことは何でもできると思う...多分？フェリちゃんもやってみたらどう？   (2024/10/27 20:21:14)

エロガキ♂19b ◆> っと...着替えて早々だけど、用事を思い出しちゃった！ちょっと言ってくるね！！(今度は普通にドアを開けて部屋をでていき)   (2024/10/27 20:23:39)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/27 20:23:47)

フェリックス ◆> いや、フェリちゃんそんな特殊な能力ないからね！？なんにゃのこの人、、クルシュ様〜！魔女教よりよっぽど読めにゃい人居ます〜、あっ、帰った、、(きょと、、)   (2024/10/27 20:24:21)

胡桃 ◆> 私が戻ってくるのを察したようなタイミングで出ていった。19bさんお疲れさま。   (2024/10/27 20:24:28)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/27 20:24:59)

フェリックス ◆> こんばんにゃ〜♪   (2024/10/27 20:25:14)

栞葉るり> 一番怖いのは破壊するわけでもなく、その場にいつの間にか居たわたくしのような存在だと思いますね！   (2024/10/27 20:25:31)

胡桃 ◆> こんばんは、るり(お手ふり、)   (2024/10/27 20:25:38)

栞葉るり> ご機嫌麗しゅう〜   (2024/10/27 20:25:38)

フェリックス ◆> お部屋主さんはおかえり〜♪   (2024/10/27 20:25:52)

胡桃 ◆> 普通に胡桃(ふーたお)でいいよ？   (2024/10/27 20:26:11)

フェリックス ◆> フェリちゃんは気づいてるからね〜？(どやぁ、)   (2024/10/27 20:26:29)

栞葉るり> くるみ！！(反逆)   (2024/10/27 20:26:29)

フェリックス ◆> それじゃあ、ぇ、どっち、！？(混乱、)   (2024/10/27 20:26:49)

胡桃 ◆> るりは部屋の空気と一体化してて、気が付くと現出する体質なの？   (2024/10/27 20:26:54)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/27 20:27:34)

胡桃 ◆> (予測変換的には一般なものだとくるみで出てくるから否定はできないけど違うからね！)   (2024/10/27 20:27:38)

栞葉るり> そもそもバーチャル空間の犬なので実体があるのかも不明です。曖昧さっていうのは武器でもありますが   (2024/10/27 20:27:46)

胡桃 ◆> 18Dさんこんばんは！   (2024/10/27 20:27:46)

フェリックス ◆> こんばんにゃ〜♪   (2024/10/27 20:28:04)

エロガキ♂18D ◆> 人の金で食う肉は最高にうまい！！(意:こんばんは)   (2024/10/27 20:28:13)

栞葉るり> (じゃあこもも！(屁理屈))   (2024/10/27 20:28:15)

栞葉るり> こんばんは〜   (2024/10/27 20:28:26)

胡桃 ◆> シュレディンガーのるり…(？)   (2024/10/27 20:28:34)

フェリックス ◆> とりあえずふーたおちゃんで良いのかなぁ、、？(首傾げてて、)   (2024/10/27 20:28:41)

エロガキ♂18D ◆> 初めましての人も居ますね。よろしくお願いいたします。   (2024/10/27 20:28:42)

栞葉るり> 落ち込んだり他人の金でご飯食べたり忙しいですねぇ   (2024/10/27 20:28:49)

フェリックス ◆> 気軽にフェリスでもフェリちゃんでも呼んでね〜♪   (2024/10/27 20:29:21)

エロガキ♂18D ◆> 落ち込んでたのは一昨日……？昨日……？どっちでもいいかぁ…(おい)   (2024/10/27 20:29:42)

胡桃 ◆> うんうん、私はフェリスって呼ぼうかな。   (2024/10/27 20:29:47)

エロガキ♂18D ◆> ええ、よろしくお願いいたします、フェリさん。   (2024/10/27 20:29:57)

胡桃 ◆> (こももって入力してもくるみって出てくる私は…)   (2024/10/27 20:30:06)

栞葉るり> (ちゃん…。でもちんちんある！)   (2024/10/27 20:30:37)

栞葉るり> (優秀な変換ですね)   (2024/10/27 20:31:00)

エロガキ♂18D ◆> (なるほど、そのタイプの人か……！？トレンド、なんだろうか……)   (2024/10/27 20:31:13)

フェリックス ◆> (フェリちゃん性別聞かれてないもんね〜♪)   (2024/10/27 20:31:21)

フェリックス ◆> (でもフェリちゃんで本部屋は行かないからこっち限定だけどね〜♪)   (2024/10/27 20:32:15)

エロガキ♂18D ◆> (まぁ誰でも基本的に平等に接するので女性でも男性でも構わない……)   (2024/10/27 20:32:21)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/10/27 20:32:34)

クラリス ◆> こんばんは〜   (2024/10/27 20:32:48)

胡桃 ◆> (星の気配を感じた…！(ぴこん、)   (2024/10/27 20:32:58)

フェリックス ◆> こんばんにゃ〜♪   (2024/10/27 20:32:58)

栞葉るり> つまりここから、連れ去ってしまえば貴重な射精シーンが見られるというわけですね   (2024/10/27 20:33:02)

エロガキ♂18D ◆> おっと、こんばんはです。クラリスさん……   (2024/10/27 20:33:08)

胡桃 ◆> クラリスさんこんばんはー！   (2024/10/27 20:33:08)

栞葉るり> いらっしゃいませー   (2024/10/27 20:33:27)

フェリックス ◆> にゃにこの人！？絶対出ないからね！？   (2024/10/27 20:33:39)

