/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月16日 16時10分 ～ 2024年10月17日 00時28分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂12Ω ◆> まぁいいや、それじゃあまた暇潰しにくるなー。   (2024/10/16 16:10:46)
エロガキ♂10Z> こ〜んばんは〜   (2024/10/16 21:09:11)

エロガキ♂10Z> いや〜。のほほんなショタになってしまったな〜(ころん)   (2024/10/16 21:11:57)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/10/16 21:14:48)

エロガキ♀15kb> どうも～こんばんはー   (2024/10/16 21:15:04)

おしらせ> エロガキ♂17Y ◆k8pvtbSZDcさんが入室しました♪  (2024/10/16 21:15:04)

エロガキ♂10Z> こんばんは〜   (2024/10/16 21:15:07)

エロガキ♂17Y ◆> こんばんは、邪魔するぞー   (2024/10/16 21:15:37)

エロガキ♂10Z> バトルとか諸々お疲れ様でした〜   (2024/10/16 21:15:41)

エロガキ♀15kb> いっぱい遊ぶ君が好き……そんな気分で、いっぱい遊んで今日は朗らかメスガキ仮面です。   (2024/10/16 21:15:42)

エロガキ♂10Z> こんばんは〜   (2024/10/16 21:15:47)

エロガキ♂10Z> いっぱい遊べて羨ましいな〜。活動時間的に中々タイミングが合わないから〜。むぅ   (2024/10/16 21:16:39)

エロガキ♂17Y ◆> おぉ、元気だな15。その様子じゃ、戦績も良さげだな   (2024/10/16 21:16:54)

エロガキ♀15kb> アタシは今日は0勝0敗といいますか。2勝1敗といいますか？   (2024/10/16 21:17:19)

エロガキ♂10Z> 勝ち越し〜   (2024/10/16 21:17:43)

エロガキ♂17Y ◆> あー、いい味方に恵まれた感じな。運もなんちゃらって言うだろ   (2024/10/16 21:18:10)

エロガキ♀15kb> しかし、勝っているのは女性陣営なので、アタシとしては1勝2敗？うぅ～ん   (2024/10/16 21:18:16)

エロガキ♂17Y ◆> あ、そっちかい   (2024/10/16 21:18:30)

エロガキ♂17Y ◆> メスガキは反復横跳びできて楽しそうだな   (2024/10/16 21:18:52)

エロガキ♀15kb> そして、逃げウマのはずなのに、最近最初好調、あとで追い抜かれるか。最初不調でも末脚勝負で勝つみたいな？   (2024/10/16 21:19:06)

エロガキ♂10Z> 追い抜き率高めだしね〜。   (2024/10/16 21:19:27)

エロガキ♀15kb> 出来る人、現状アタシと……Σさんしかいないみたいですけどね？＜メスガキと女性の入れ替わりタイプ   (2024/10/16 21:19:45)

エロガキ♂17Y ◆> ことごとくペース乱されてんじゃねぇか、逃げウマがそれでいいのかよ…   (2024/10/16 21:19:54)

エロガキ♀15kb> まぁレースじゃなくてサイコロですから？　勝てば官軍、負ければ肉便女ですからね～   (2024/10/16 21:20:29)

エロガキ♂10Z> 確かに〜   (2024/10/16 21:20:56)

エロガキ♂17Y ◆> はは、言うねぇ   (2024/10/16 21:20:58)

エロガキ♀15kb> よく言いません？　勝てばメスガキ　負ければ隷属　歩く姿は雌の穴って   (2024/10/16 21:21:21)

エロガキ♂10Z> 言う人は言いそうではあるかな〜   (2024/10/16 21:22:18)

エロガキ♂17Y ◆> 言う言う、ここの雌は皆そんなもんよ   (2024/10/16 21:22:38)

エロガキ♂17Y ◆> メスガキって言える年齢じゃないやつもいるけどな   (2024/10/16 21:22:57)

エロガキ♀15kb> （あれ？　立てばシャクヤク、座ればボタン、歩く姿は百合の花……って突っ込みがない？）   (2024/10/16 21:22:59)

エロガキ♂17Y ◆> 悪いけど見え透いたトラップには掛からないぞ？w   (2024/10/16 21:23:31)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/16 21:23:38)

エロガキ♂17Y ◆> そろそろ一戦が始まりそうだな   (2024/10/16 21:23:55)

エロガキ♂10Z> こんばんは〜   (2024/10/16 21:24:00)

エロガキ♂17Y ◆> こんばんは   (2024/10/16 21:24:07)

エロガキ♀15kb> 芸人魂がないですね～……仕掛けた物は皿まで喰らって踏み抜いてくれないと   (2024/10/16 21:24:13)

エロガキ♂19b ◆> やーっと、バイトが終わってホクホクの19君です～皆さんこんばんは～   (2024/10/16 21:24:19)

エロガキ♀15kb> どうも～いらっしゃっせ～   (2024/10/16 21:24:42)

エロガキ♂10Z> お疲れ様ですね〜   (2024/10/16 21:24:47)

エロガキ♂17Y ◆> お疲れさん、ゆっくりしてけよ   (2024/10/16 21:25:08)

エロガキ♂19b ◆> ありがとう～   (2024/10/16 21:25:28)

エロガキ♀15kb> あ、ちょっと殴り込んできます（すすぅ～   (2024/10/16 21:25:53)

エロガキ♂17Y ◆> 15が欲しがりなのはわかったわ。次はお兄さんが引っ掛かってやるよ   (2024/10/16 21:25:55)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/10/16 21:25:56)

エロガキ♂17Y ◆> お、いってら〜   (2024/10/16 21:26:02)

エロガキ♂10Z> 行ってらっしゃい〜   (2024/10/16 21:26:03)

エロガキ♂17Y ◆> さてと、俺たちは観客席でゆっくり眺めてますかね   (2024/10/16 21:26:43)

エロガキ♂19b ◆> これで、3対3になったね～   (2024/10/16 21:26:59)

エロガキ♂17Y ◆> 面白い試合が観れそうだわ   (2024/10/16 21:27:16)

エロガキ♂10Z> だねぇ〜   (2024/10/16 21:27:17)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/16 21:27:36)

エロガキ♂17Y ◆> てか、みんなからお助けキタちゃんって認知されてるのオモロイよな   (2024/10/16 21:27:38)

エロガキ♂17Y ◆> よ、こんばんは   (2024/10/16 21:27:57)

エロガキ♂10Z> こんばんは〜   (2024/10/16 21:28:04)

エロガキ♂19b ◆> 14C君こんばんは～   (2024/10/16 21:28:15)

エロガキ♂10Z> お助けで実績が凄いですしね〜   (2024/10/16 21:28:23)

エロガキ♂14C ◆> ……なんかエロガキの溜まり場と化してる？ここ、実は深夜のコンビニの前とかそーいう場所だったりする？ジャージでヤンキー座りした方がいい？とかマシンガンで続けつつこんばんはー。   (2024/10/16 21:28:36)

エロガキ♂17Y ◆> お、均衡が傾いた…こっからどうなるか   (2024/10/16 21:28:36)

エロガキ♂19b ◆> 実績なら負けない！(なぞの張り合い)   (2024/10/16 21:29:00)

エロガキ♂14C ◆> とりあえず久々に白星取れたのは満足だなー。トワ様ルート脱却成功。   (2024/10/16 21:30:10)

エロガキ♂17Y ◆> ヤンキー座りって足疲れね？   (2024/10/16 21:30:18)

エロガキ♂10Z> 疲れる〜   (2024/10/16 21:30:28)

エロガキ♂10Z> (体育座り)   (2024/10/16 21:30:38)

エロガキ♂14C ◆> ぶっちゃけ腰下ろしたい。   (2024/10/16 21:30:38)

エロガキ♂17Y ◆> おめでとうさん、記録を伸ばせなかったのは残念に思うけどな。   (2024/10/16 21:30:39)

エロガキ♂14C ◆> 連敗記録とか自分が得しないし……   (2024/10/16 21:31:11)

エロガキ♂17Y ◆> 適当にガードレールかポールかに尻つければ何とかなる。危ないけどな   (2024/10/16 21:31:27)

エロガキ♂10Z> まだ一勝しかしてないなぁ…   (2024/10/16 21:31:39)

エロガキ♂19b ◆> 最近は負けても服選んだりとかだから、助かってる   (2024/10/16 21:32:10)

エロガキ♂17Y ◆> オレはまだ勝負数自体が少ねぇなぁ…   (2024/10/16 21:32:11)

エロガキ♂14C ◆> そこは車止めにしとこーよ。刺さらないし楽だよ。（そうじゃない）   (2024/10/16 21:32:18)

エロガキ♂10Z> いや〜、今日の夜はガキの一網打尽デーかなぁ   (2024/10/16 21:32:23)

エロガキ♂19b ◆> あ、、ストレート負けする？   (2024/10/16 21:32:49)

エロガキ♂10Z> お〜？   (2024/10/16 21:33:22)

エロガキ♂17Y ◆> そうじゃね？なんかカウント事故ってたり？   (2024/10/16 21:33:22)

エロガキ♂17Y ◆> いや左右の話か、気にすることじゃねぇわ   (2024/10/16 21:33:51)

エロガキ♂14C ◆> カウント別にどっちが右か左か、あのお部屋じゃ決まってないからカウント主の裁量なのよ。   (2024/10/16 21:33:52)

エロガキ♂10Z> あ   (2024/10/16 21:33:59)

エロガキ♂19b ◆> ボコボコやんけぇ！   (2024/10/16 21:34:12)

エロガキ♂17Y ◆> 呆気ねぇなww   (2024/10/16 21:34:26)

エロガキ♂10Z> 珍しいね〜。ボコボコ〜   (2024/10/16 21:34:28)

エロガキ♂14C ◆> 派生部屋だと決められてる場所もあるから注意してね！とか言ってたらストレート負けしてるじゃん。   (2024/10/16 21:34:30)

エロガキ♂17Y ◆> へぇー、そういう部屋もあるんだ。教えてくれてサンキューな   (2024/10/16 21:35:11)

エロガキ♂10Z> お助けキタちゃんの実績が積み上がった〜   (2024/10/16 21:35:19)

エロガキ♂19b ◆> 有利でストレート負けはくるのもがあるよなぁー、、見てて面白いからいいけど   (2024/10/16 21:35:42)

エロガキ♂17Y ◆> ん、見てたら一勝負したくなってきた…   (2024/10/16 21:36:05)

エロガキ♂14C ◆> 派生は作った部屋の主さんとかがそれぞれで上手く行くように楽にやれるように、と考えてくれてる場合があるからルーム説明しっかり読むのは大切よ。いや、どの部屋でもそーだけど。   (2024/10/16 21:36:24)

エロガキ♂17Y ◆> 部屋空いたら少し募集かけてみるか   (2024/10/16 21:36:27)

エロガキ♂17Y ◆> ん、それはそう。部屋主に感謝   (2024/10/16 21:36:48)

エロガキ♂10Z> だね〜   (2024/10/16 21:36:54)

エロガキ♂17Y ◆> んじゃ、ちょっくら行ってくるわ。また戻ってくるかもだけどな   (2024/10/16 21:37:25)

エロガキ♂14C ◆> いってらっしゃいー。   (2024/10/16 21:37:32)

おしらせ> エロガキ♂17Y ◆k8pvtbSZDcさんが退室しました。  (2024/10/16 21:37:34)

エロガキ♂10Z> 行ってらっしゃい〜   (2024/10/16 21:37:39)

エロガキ♂19b ◆> いてら～   (2024/10/16 21:37:42)

エロガキ♂14C ◆> 僕も本当はもう一戦したいとこなんだけど……うん、次はちょっと相手を選ぶ内容だからなあ。甘えたいだけだけど。   (2024/10/16 21:38:19)

エロガキ♂10Z> 対戦か〜。自分もしたい感じではあるかな〜   (2024/10/16 21:39:16)

エロガキ♂19b ◆> 俺も遊びに行こ～、また後で戻ってくるわー   (2024/10/16 21:40:56)

エロガキ♂14C ◆> 最近○フレが降りてこないから添い寝も頼まないしー。（伏字に悪意）   (2024/10/16 21:41:00)

エロガキ♂14C ◆> いってらっしゃーい   (2024/10/16 21:41:07)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/16 21:41:09)

エロガキ♂10Z> 行ってらっしゃい〜   (2024/10/16 21:42:32)

エロガキ♂10Z> 遊びたいけど、時間的にそろそろ落ちないといけないのつらたん。では〜、お疲れ様です〜   (2024/10/16 21:43:37)

おしらせ> エロガキ♂10Zさんが退室しました。  (2024/10/16 21:43:43)

エロガキ♂14C ◆> あららー、それは残念。おつかれさまー。   (2024/10/16 21:43:51)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/16 21:44:39)

エロガキ♂16r> こんばんは   (2024/10/16 21:44:43)

エロガキ♂14C ◆> 仕方ないからサイコロでも振って駆けつけロシアンドリンクでも飲もーかな、とか思ってたら入れ替わりこんばんはー。   (2024/10/16 21:45:10)

エロガキ♂16r> なるほど？つまり錬金術すればいいと   (2024/10/16 21:45:39)

エロガキ♂14C ◆> 【駆けつけロシアンドリンク（任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）4. コーヒー（激苦）6:青汁   (2024/10/16 21:45:47)

エロガキ♂16r> 2d6 → (2 + 1) = 3  (2024/10/16 21:46:02)

エロガキ♂14C ◆> 人体錬成しろって言ってる？？？   (2024/10/16 21:46:15)

エロガキ♂16r> なんだろう、まだ飲めそうなの笑う   (2024/10/16 21:46:17)

エロガキ♂14C ◆> 2d6って混ぜるつもり！？   (2024/10/16 21:46:30)

エロガキ♂16r> どっちかと言うと悪魔合体   (2024/10/16 21:46:33)

エロガキ♂16r> そだよ？   (2024/10/16 21:46:38)

エロガキ♂14C ◆> （このおにーさんこわ…）   (2024/10/16 21:46:56)

エロガキ♂14C ◆> 2d6 → (2 + 4) = 6  (2024/10/16 21:47:09)

エロガキ♂16r> カフェイン同士喧嘩しなさそう   (2024/10/16 21:47:25)

エロガキ♂14C ◆> ……よくわかんないけどとりあえず寝れなくなりそうな飲み物にはなったね（白目）   (2024/10/16 21:47:46)

エロガキ♂16r> どうせだしものすっごい苦いお茶にしよう   (2024/10/16 21:48:07)

エロガキ♂14C ◆> なんか絶対お茶以外の何かが混ざってるよそれ……   (2024/10/16 21:48:37)

エロガキ♂16r> え、実際にやばい純粋？なお茶あるにはあるぞ…   (2024/10/16 21:49:03)

エロガキ♂14C ◆> どーせならおねーさんに「今夜は寝かせてあげないぞ」って言われるほーが絶対寝れなさそーなのになー。   (2024/10/16 21:49:15)

エロガキ♂14C ◆> なんだっけ、苦い通り越してマズイなら知ってるんだけど。せんぶり茶だったっけ。   (2024/10/16 21:49:46)

エロガキ♂16r> 徹夜でモン〇ンだな   (2024/10/16 21:49:51)

エロガキ♂16r> そそ   (2024/10/16 21:49:53)

エロガキ♂14C ◆> あれはもう苦味の域超えてるから苦味として扱うのはどーなのか……   (2024/10/16 21:50:31)

エロガキ♂16r> 一応苦味だから(震え声)   (2024/10/16 21:50:47)

エロガキ♂16r> さて、不味いしもう1杯行くか   (2024/10/16 21:52:29)

エロガキ♂14C ◆> 飲まないけど？？？（真顔）   (2024/10/16 21:52:30)

エロガキ♂16r> 2d6 → (6 + 6) = 12  (2024/10/16 21:52:35)

エロガキ♂14C ◆> ただの青汁2倍…   (2024/10/16 21:52:45)

エロガキ♂16r> 純粋な青汁だ   (2024/10/16 21:52:46)

エロガキ♂16r> 面白くねぇ   (2024/10/16 21:52:56)

エロガキ♂14C ◆> 付き合うかあ   (2024/10/16 21:53:30)

エロガキ♂14C ◆> 2d6 → (5 + 4) = 9  (2024/10/16 21:53:34)

エロガキ♂14C ◆> ？？？？？   (2024/10/16 21:53:50)

エロガキ♂16r> 苦酸っぱい甘めのコーヒーが出来上がるな   (2024/10/16 21:54:03)

エロガキ♂14C ◆> 味覚壊れる   (2024/10/16 21:54:16)

エロガキ♂16r> 飲んだら気分悪くなりそう(カフェイン的な意味で)   (2024/10/16 21:54:28)

エロガキ♂16r> 味覚が死ぬか。つまりサルミアッキを食べさせても問題ないと   (2024/10/16 21:55:34)

エロガキ♂14C ◆> あれはあれで塩味も合わさって更に地獄では？   (2024/10/16 21:56:17)

エロガキ♂16r> 四大味覚？コンプリートじゃん   (2024/10/16 21:56:36)

エロガキ♂14C ◆> 何も嬉しくない……   (2024/10/16 21:56:53)

エロガキ♂16r> ちなみにイギリス料理を出さなかったのは一部を除いてまともに調理したら味自体は美味そうだから()   (2024/10/16 21:57:35)

エロガキ♂14C ◆> イギリス料理はそもそもの成り立ちが成り立ちだから……   (2024/10/16 21:58:43)

エロガキ♂16r> それはそう   (2024/10/16 21:58:55)

エロガキ♂14C ◆> でもウナギのゼリー寄せだけは仲良くなれる気がしない   (2024/10/16 21:59:17)

エロガキ♂16r> 正直ハギスとかは何食ってたら思いつくのか謎だもん()   (2024/10/16 21:59:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/16 21:59:59)

エロガキ♂16r> こんばんは   (2024/10/16 22:00:11)

エロガキ♂14C ◆> あれ？おかえり。不作だった？   (2024/10/16 22:00:11)

エロガキ♂19b ◆> 勝手にWi-Fiはいるのやめてほしぜ！！帰宅！！、そしてこんばんは   (2024/10/16 22:00:25)

おしらせ> 白上フブキさんが入室しました♪  (2024/10/16 22:01:35)

白上フブキ> こんこん、こここん、きーつねーっ♪   (2024/10/16 22:01:45)

エロガキ♂16r> こんばんは   (2024/10/16 22:02:06)

エロガキ♂14C ◆> あ、先程ぶりですー！こんこん！お構いできなくてごめんなさいね？   (2024/10/16 22:02:06)

エロガキ♂19b ◆> こんばんは～   (2024/10/16 22:02:23)

エロガキ♂14C ◆> ……ケモミミっていいよね。（じー）   (2024/10/16 22:04:04)

白上フブキ> さっきぶりの子はさっきぶり！初めましての子は初めまして〜！サイコロでお手伝いしてからお風呂に入って、ほかほかきつねです…！   (2024/10/16 22:04:04)

エロガキ♂14C ◆> （お風呂上がり→ほかほか→耳尻尾ふかふか→触れ心地最高では？）   (2024/10/16 22:04:45)

エロガキ♂16r> なるほど、いい匂いがするキツネと   (2024/10/16 22:05:23)

白上フブキ> ……な、何みてるだっ、君…！（じーっ。見つめ返してやろっ）   (2024/10/16 22:05:32)

エロガキ♂19b ◆> どん兵衛...   (2024/10/16 22:05:58)

エロガキ♂14C ◆> 白い狐と黒い……黒い……なんだろう？（）   (2024/10/16 22:06:27)

エロガキ♂16r> キツネでいいんじゃね   (2024/10/16 22:07:19)

エロガキ♂14C ◆> 書いてないけどケモ耳尻尾も結構好きなんだよね、僕。えっちなことは絶対にしないからモフらせて？？？（病気）   (2024/10/16 22:07:24)

エロガキ♂14C ◆> （狐とキツネはなんか暗黒面召喚しそうでこわいの）   (2024/10/16 22:08:55)

白上フブキ> 白上の尻尾と耳がふわふわなんてどこに情報があるって言うんじゃい！もしかしたらカチカチ…あっ（「ふわふわ尻尾の五芒星〜♪」←あいさつ）白上はどん兵衛だとたぬき派です。残念でしたっ！   (2024/10/16 22:08:57)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/10/16 22:09:44)

エロガキ♂19b ◆> こんばんは～   (2024/10/16 22:10:24)

エロガキ♂12Ω ◆> よっすよっすー。何か家の外から発情期の野良猫の鳴き声めっちゃ聞こえてきてやかましいんだけどー。   (2024/10/16 22:10:25)

エロガキ♂14C ◆> 自己紹介を自ら否定していくスタイル……もしかしてフブキおねーさんもポンのコツの素質が……   (2024/10/16 22:10:38)

エロガキ♂16r> なるほど、つまりフブキ…   (2024/10/16 22:10:43)

エロガキ♂16r> 途中送信したけどいいや   (2024/10/16 22:10:52)

エロガキ♂16r> こんばんは   (2024/10/16 22:11:23)

白上フブキ> あっ、「赤いきつねと緑のたぬき」と「どん兵衛」って別商品ですか…？素で間違えちゃった…。まあ、まあ…どうしてもって場合はまあ、もふもふ許可でも良いですけどっ。こんこんきーつねー♪   (2024/10/16 22:11:50)

エロガキ♂14C ◆> 猫は可愛いんだけど、うるさくなるのはなかなかねぇ……12Ωくんこんばんは。   (2024/10/16 22:12:13)

エロガキ♂14C ◆> 言質とった。では遠慮なく。（フブキおねーさんの背後に回って耳もふもふ）   (2024/10/16 22:12:56)

エロガキ♂12Ω ◆> 皆の衆こんばんはー。何か時々野良猫同士喧嘩する声もするしでやんなっちゃう。   (2024/10/16 22:12:57)

エロガキ♂19b ◆> もう一回待機してくる～(ｼｭﾀｯ!!   (2024/10/16 22:13:02)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/16 22:13:05)

エロガキ♂16r> 別だねぇ   (2024/10/16 22:13:34)

エロガキ♂14C ◆> 元気だなあ……ぽんこつにーさん。いってらっしゃい。   (2024/10/16 22:13:38)

エロガキ♂16r> 若いってすごい   (2024/10/16 22:13:50)

エロガキ♂12Ω ◆> さてさて、ちょっと俺も遊び行ってくるー。   (2024/10/16 22:14:00)

エロガキ♂16r> いてら   (2024/10/16 22:14:11)

エロガキ♂14C ◆> あ。   (2024/10/16 22:14:15)

エロガキ♂12Ω ◆> じゃあのん。フブキ姉ちゃんも今度遊ぼうなー。   (2024/10/16 22:14:31)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/10/16 22:14:39)

エロガキ♂14C ◆> 12Ωくん、いちおーなんだけどあまりここの名前そのまま似たようなお部屋に行くのは……間に合わなかったかあ。   (2024/10/16 22:14:57)

白上フブキ> ポンコツではない…！頭脳明晰きつね……ちょ、ちょ…！もふもふの相場って尻尾じゃないですか…！？（しらないけど…！耳でもいいけど…！くすぐったいけど…！）いってらっしゃーい！   (2024/10/16 22:15:55)

エロガキ♂16r> (ところでΩってアルファベットなのか？)   (2024/10/16 22:16:41)

エロガキ♂16r> 大変だなー、白上さんは   (2024/10/16 22:17:19)

エロガキ♂14C ◆> （広義の意味で言えば一応アルファベットではあるけど多分皆が思いつくものではないな）   (2024/10/16 22:18:04)

エロガキ♂14C ◆> どん兵衛とたぬききつねシリーズ間違えといてポンコツ否定は苦しいと思いまーす。え、なら尻尾にするね？（尻尾もふもふもふもふ）   (2024/10/16 22:18:56)

エロガキ♂16r> (問題ないならいいか)   (2024/10/16 22:20:17)

白上フブキ> 白上は大変なのですよ。同居人の世話して、お友達の世話して、収録して企画して……うぎゅぅ（ばたんきゅー）違う違っ、そういうことじゃなくって……んん…（仕方ないのでふりふり。ファンサービスってやつです）   (2024/10/16 22:21:13)

エロガキ♂14C ◆> （スカスカねーさん、もとい堂主が指摘したらその時はその時って事で。僕お部屋主じゃないしね←）   (2024/10/16 22:21:34)

エロガキ♂16r> 強く生きて。クロ様の世話も頑張って(エナジードリンク贈呈)   (2024/10/16 22:21:58)

エロガキ♂16r> (凄いどうでもいいけどクロ様っていうと裏声のあの人になりそう)   (2024/10/16 22:22:27)

エロガキ♂14C ◆> フブキおねーさんのファンサービスの器が大きすぎて僕は幸せです。（ふかふか）あまりやりすぎるのもなのでご挨拶程度にこれで留めておくねっ。   (2024/10/16 22:22:42)

白上フブキ> でもね、ちゃんと叱る時は叱ってるから、白上がおすわり！っていったらおすわりするよ、黒ちゃん。かわいいからね。（ワワワワーは絶対しないな…）むふぅ。白上の尻尾は高級品なのですよっ…！   (2024/10/16 22:24:30)

エロガキ♂14C ◆> （ここクロ様降臨する事あるから……酒で声枯れてなきゃだけど。）   (2024/10/16 22:24:47)

エロガキ♂16r> ワワワワーする黒様見たいけどそれこそ罰ゲームでもないとしなさそう。   (2024/10/16 22:25:26)

白上フブキ> あ、ここの黒ちゃんもといエルフとおともだちですしらかみ。ふふん。   (2024/10/16 22:27:09)

エロガキ♂14C ◆> 高級品……って言っちゃうと高値出せば買えてしまうのでは？って気持ちになっちゃうの大変良くない……赤スパ（物理）投げればいいのかな……   (2024/10/16 22:27:09)

エロガキ♂14C ◆> （お友達なら仕方ない）   (2024/10/16 22:27:38)

エロガキ♂16r> なるほど？素敵だ   (2024/10/16 22:27:39)

白上フブキ> いいや！！非売品ですから！！非売！！白上前にも別の子で来たことあるんですけどね〜っ。その時は人が全く居なかったので今回が初めましてですけど、皆さんと…！   (2024/10/16 22:29:25)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/16 22:30:13)

エロガキ♂19b ◆> 今日はだめだぁ！！   (2024/10/16 22:30:21)

エロガキ♂16r> 非売品…つまり狩りとれと(違う)   (2024/10/16 22:31:01)

エロガキ♂16r> おやまぁ   (2024/10/16 22:31:06)

エロガキ♂14C ◆> えー。雪見大福積み上げてもだめかぁ。ふむふむ、確かにここ色んなホロ箱の人がちらほら来たりするけど、タイミングが合わなかったなら多分知らないなあ……詮索する気はもちろんないけどっ。   (2024/10/16 22:31:36)

エロガキ♂14C ◆> あらおかえり。   (2024/10/16 22:31:39)

エロガキ♂19b ◆> たでーま、俺も雑談しよ(適当)   (2024/10/16 22:31:55)

エロガキ♂14C ◆> （キツネさんに対して狩りなんて言ったら色々とガチワードだよぉ……）   (2024/10/16 22:32:26)

エロガキ♂16r> (その辺は考えてなかったや)   (2024/10/16 22:32:49)

白上フブキ> 白上の皮は剥ぎ取り報酬で手に入れられませんよ…？…ゆきみだいふく（揺らいでる顔）最近めっちゃ出没してるの白上見てたので来てみた次第ですねっ。おかえりなさ〜い♪   (2024/10/16 22:33:24)

エロガキ♂16r> (モンハンネタぶち込んだら余計アウトになりそうだったからとまろう)   (2024/10/16 22:35:07)

エロガキ♂14C ◆> ……お友達のえるふさんといい、赤スパ（物理）に弱すぎない？さっきもふらせてくれたから全部じゃないけど1パックあげるね？（す、と2個入りのやつ差し出し。）   (2024/10/16 22:35:28)

エロガキ♂14C ◆> （Vに赤スパ（物理）はこうかばつぐん、と……めもめも）   (2024/10/16 22:36:22)

エロガキ♂16r> (ほぼほぼの存在に効果抜群だと思うぞ、赤スパ物理)   (2024/10/16 22:36:48)

白上フブキ> （タマミツネは同族（きつね）の情けがかかって狩猟できませんでした…！）   (2024/10/16 22:37:06)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/16 22:37:23)

エロガキ♂14C ◆> （すかすかっ）   (2024/10/16 22:37:31)

エロガキ♂16r> (あいつ一応海竜種だからセーフセーフ)   (2024/10/16 22:37:32)

胡桃 ◆> やっほー！皆元気？堂主の登場だよ！   (2024/10/16 22:37:49)

エロガキ♂19b ◆> こんばんは～   (2024/10/16 22:37:54)

胡桃 ◆> そこの君はいつものだね〜(ぺしっ)   (2024/10/16 22:38:00)

エロガキ♂16r> こんばんは   (2024/10/16 22:38:03)

エロガキ♂14C ◆> お約束だしー。こんばんは、スカねえ改め堂主。   (2024/10/16 22:38:31)

白上フブキ> そんなっ…白上、街でモン◯ター無料で配ってたら、帽子ふかぶか被りVerと何も着けてないVerで2本貰うぐらい貪欲ですよ！？（もらいません。でも雪見だいふくは貰ってぱくぱく）   (2024/10/16 22:38:36)

白上フブキ> こんこんきーつねー！たべますか、胡桃さんもっ（一個余ってますし、って雪見だいふくすすっ）   (2024/10/16 22:39:00)

胡桃 ◆> スカ姉はやめよう…絶対にアウトだから、色々とアウトだから！   (2024/10/16 22:39:50)

エロガキ♂16r> こんばんは   (2024/10/16 22:39:54)

エロガキ♂16r> 挨拶してねぇ、と思ってし直したら既にしてた   (2024/10/16 22:40:17)

エロガキ♂14C ◆> それは色々と考えすぎては、と思ったけど素直に従うよー。   (2024/10/16 22:40:46)

胡桃 ◆> お、おぉ？いいのー？えへへー…(残り物には福がある、みたいな？雪見だいふくおひとつもらって、モチモチの皮が好きなんだよね…(みょーっんってしてる。)   (2024/10/16 22:41:09)

エロガキ♂16r> 雪見だいふく冷凍庫から出したてだとカチカチな時多いから風呂入る前に出して食べようとして調整失敗するのはよくある   (2024/10/16 22:41:52)

エロガキ♂14C ◆> （堂主には2個あげる方が。あ、でも溶けたら悲惨なことに。でもそれはそれで面白そう、とか。）   (2024/10/16 22:42:28)

エロガキ♂14C ◆> とりあえずフブキおねーさんへの赤スパ（物理）をお気に召して頂けて安心したぁ。でも姿変えて配布物2個もらうネタはやるやついそうでこわいよぉ……   (2024/10/16 22:43:40)

エロガキ♂16r> 昔コンビニでバイトしてた時にいたぞ()   (2024/10/16 22:44:02)

エロガキ♂14C ◆> いるんだ……   (2024/10/16 22:44:24)

エロガキ♂16r> 対象商品ふたつ買ったらグッズプレゼントみたいなやつあるじゃん、あれで1回全部とって着替えてもう1回全部もらおうとしてたっていう似て非なるなにかだけど   (2024/10/16 22:45:20)

白上フブキ> 白上はひとくちちょーだいと言われたら、ピノでもアイスの実でもなんでもあげますから…！（名前大公開スタイル）とうもろこしと甘いものが大好物ですので、お狐様に献上する時にはぜひに。   (2024/10/16 22:45:35)

エロガキ♂14C ◆> いやぁ……それはそれで大概というか、よくもまあそこまで頑張れるなとある意味感心はするけど真似したくはない……   (2024/10/16 22:47:03)

