/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月10日 07時01分 ～ 2024年12月11日 13時23分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂17L ◆> 容量？＞17C   (2024/12/10 07:01:53)
エロガキ♂17C> ……ま、話を戻すと、だ。この時期忙しくても当然だし客足が遠退くのも仕方はないだろうさ。オレは基本生態は明かしてないけど、忙しい時は覗きもしないしな。   (2024/12/10 20:26:54)

エロガキ♂19b ◆> お兄さんに忙しい時期なんてないのさっ！だから毎日入り浸っている...(なにかしろ！)   (2024/12/10 20:28:54)

エロガキ♂17C> 来れる時は顔を出すようにしちゃあいるけど、そもそもタイミングが合わなきゃゲーム開始すら怪しいからな。エロガキ同士でゲーム始めてもしょうがないし。   (2024/12/10 20:31:49)

エロガキ♂10sx> まあ、世界が世界が大ピンチで暇そうなときはそっち中心になるからな～｡(仕事以外のプライベート時間無駄にしたくないから。)   (2024/12/10 20:32:02)

エロガキ♂10sx> 少なくとも僕はBLとかはごめんだね～   (2024/12/10 20:32:43)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/10 20:32:50)

エロガキ♂13Al> あれっ！？みてるだけのつもりが入ってしまった！なぜ？（ウミガメのスープ）   (2024/12/10 20:33:09)

エロガキ♂17C> ……エロガキの溜まり場と化してきたな。（溜息）こんばんは。   (2024/12/10 20:33:21)

エロガキ♂19b ◆> こんばんは～よくあることだからもはや気にしないぞー(ソファに横たわり)誰か待機しにいったら？って言おうと思ったけどもう先客がいるな...お兄さん今日はヤりまくったからちょっと休憩中なんだよね～   (2024/12/10
20:35:18)

エロガキ♂13Al> ため息をつかれるようなら出るね！（間違えて入ったくらいだからね！）さらばー   (2024/12/10 20:35:27)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/10 20:35:29)

エロガキ♂10sx> こんばんは～｡でもカードゲームとかボードゲームとかやりたいかも。こういうメンツなら～(但し､○鉄とか○○ポンとか○マ○ラとかは別の意味で危険)   (2024/12/10 20:35:39)

エロガキ♂17C> え、いや、そういう意味じゃ……って誤爆だからか。うーん。お疲れ様。   (2024/12/10 20:36:36)

エロガキ♂10sx> 罰ゲームだけだと時間足りないから、満足いくまでは相手次第だよね～｡でも単純な勝負はそれはそれで面白いから良いんだけどね   (2024/12/10 20:37:58)

エロガキ♂19b ◆> お疲れお疲れぃ～！   (2024/12/10 20:37:59)

エロガキ♂10sx> お疲れ様～   (2024/12/10 20:38:11)

エロガキ♂17C> オレは朝の借りを返したくて待ってたんだがな。あまりここで燻ってるのもなんだし、少しばかり行ってくるとするよ。それじゃ。   (2024/12/10 20:39:07)

おしらせ> エロガキ♂17Cさんが退室しました。  (2024/12/10 20:39:23)

エロガキ♂19b ◆> いってら～！   (2024/12/10 20:39:43)

エロガキ♂10sx> いってらっしゃ～い   (2024/12/10 20:40:10)

エロガキ♂19b ◆> そいで10sx君は今日は女の子は探しに行かない感じ？それとも期をうかがってるのかなぁ？   (2024/12/10 20:45:32)

エロガキ♂10sx> 期をうかがっている方かな。先にも言ったけど先待ちは相手が読めないからね。好みのキャラがこないで他のキャラがくると来てくれたことは嬉しいけどモチベがあがらない～   (2024/12/10 20:50:21)

エロガキ♂19b ◆> なるほど...まぁ期をうかがうのはいいかもね～、君の好みのキャラが来ることを祈っておこう...   (2024/12/10 20:51:38)

エロガキ♂10sx> 後は中の人の相性かな～｡キャラが好みでもロル相性があわないとね(断られた経験あり)   (2024/12/10 20:53:02)

エロガキ♂10sx> 僕も19bさんを含めたエロガキ達が楽しめることを願っているよ～   (2024/12/10 20:54:01)

エロガキ♂19b ◆> そ...そんなことが、、まぁ...相性って大事だよねー、コラッ！そこは女の子側も楽しめることを願いなさい？ん？...あってるのか...わかんないしいいや...さてさて、お部屋の様子はっと   (2024/12/10 20:55:06)

エロガキ♂10sx> 女の子側は百合とかふたなりとかもいるから相手に事欠かないんじゃないかな～と、心配しなくても大丈夫そうだと思っている(色んな部屋があるからね～)   (2024/12/10 20:58:27)

エロガキ♂19b
◆> そっかあー、まぁ...君がそういうならそうなのかも？思ってることに口出しする気はないからここで終わり～...そろそろご飯の時間になってきたしお兄さんもこれで一旦失礼するよ！！そうです！また帰ってきます！！女の子を求めてうろうろする獣に休む暇などないのだ....それじゃ、待ったねー！
  (2024/12/10 21:01:56)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/10 21:01:57)

エロガキ♂10sx> お疲れ様～   (2024/12/10 21:02:52)

おしらせ> 無言時間が25分を超えたため、エロガキ♂10sxさんが自動退室しました。  (2024/12/10 21:28:06)

おしらせ> エロガキ♂18hxさんが入室しました♪  (2024/12/10 21:54:25)

エロガキ♂18hx> こんばんは～   (2024/12/10 21:54:32)

エロガキ♂18hx> 手持ち無沙汰で来ました（笑）   (2024/12/10 21:54:51)

エロガキ♂18hx> 今日は静かなものです   (2024/12/10 22:08:12)

エロガキ♂18hx> さて、ぶらぶらしてこよ   (2024/12/10 22:12:56)

エロガキ♂18hx> またきますねー   (2024/12/10 22:12:59)

おしらせ> エロガキ♂18hxさんが退室しました。  (2024/12/10 22:13:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/10 22:26:38)

エロガキ♂19b ◆> よいしょっと...たで～まー   (2024/12/10 22:26:46)

エロガキ♂19b ◆> やっぱり今日は賑わいがないねぇ～...朝で皆燃え尽きたかな？   (2024/12/10 22:41:27)

エロガキ♂19b ◆> ふーむ...誰もいないんじゃ話すこともないよねぇ...出直すかねー！！！   (2024/12/10 22:52:12)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/10 22:52:14)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/12/10 22:56:08)

エロガキ♂14C ◆> この時間にお腹空いちゃうの、よくないなあ……何も食べなきゃいいんだけど。こんばんはーっ。   (2024/12/10 22:56:39)

エロガキ♂14C ◆> これはホントの真夜中になるパターンかなあ。ま、その時はその時、かな。   (2024/12/10 23:01:05)

エロガキ♂14C ◆> あ、でも来て早々少し眠いかもしれない…   (2024/12/10 23:06:10)

おしらせ> Casterさんが入室しました♪  (2024/12/10 23:06:19)

エロガキ♂14C ◆> ほよ？こんばんはー！   (2024/12/10 23:06:44)

Caster> いつ久しくここへ足を進めましたが……ああ、もう眠るところでしたか？こんばんは。   (2024/12/10 23:06:53)

エロガキ♂14C ◆> いや、眠いかも？くらいではっきりとは眠気もないからだいしょーぶ！眠くなったらちゃんと寝るよー！   (2024/12/10 23:07:36)

エロガキ♂14C ◆> 初めましてだよねー？と思いつつ……し、真名が非開示な件……！   (2024/12/10 23:08:17)

Caster> 前に一度だけ訪れたことはありますよ。その時に出会ったかは覚えていませんが……。ああー……これ、ですか……収まらないので、開き直って隠して来ました。   (2024/12/10 23:09:34)

エロガキ♂14C ◆> うーん？多分僕とは会った事ないと思うなあ、会ってたら覚えてると思うし！……収まらない、で何となく察しがついてしまうのもどーなんだろ…！？   (2024/12/10 23:11:28)

Caster> 物覚えがいいというか……人の顔とか覚える方なんだ。それはそれ、これはこれ……私のことはそのままキャスターとでも呼んでもらえればいいですからね。   (2024/12/10 23:13:03)

Caster> （ログを呼んでて少しだけ怪訝な面持。）   (2024/12/10 23:13:55)

エロガキ♂14C ◆> ニアミスしたとかならともかく、お話ししたり遊んだりしたら凡そは覚えてると思う！ただ、僕の記憶も時々ダメダメな時もあるからね…えへへ。うん、キャスターおねーさんだねっ。…ってどーしたの？   (2024/12/10 23:15:15)

Caster> そうなんですか……まぁ、人それぞれですし。私はどうだろう……良くもなく悪くもなく……かな。ふふ、そうです！私はお姉さんです！ああ、いえ……私が来るまでの間をざっと流し読みしてたんですが、子供だらけなのはいいとして……ううん、なんでもない。  
(2024/12/10 23:18:34)

エロガキ♂14C ◆> キャスターおねーさんは過去に来た事があるって言ってたけど、ゲーム部屋で遊んだ事はないのかな？んー、確かにエロガキだらけなお部屋になってることに違いはないと思う！   (2024/12/10 23:20:33)

Caster> ありませんよ。えーと……多分、誘われた……のかは少しわからないけど、行かないのか？みたく聞かれた時も手酷く断った気がします。これが俗に言う溜まり場……？なんか……私は場違いな気がしてくるなぁ……。   (2024/12/10 23:23:03)

エロガキ♂14C ◆> ふむふむ？まー、ここって雑談しかしない人もOKではあるもんね。僕は誘ったりはする事はあっても、そんな強く誘う事はしないかなぁ。えー、そー言わないでよー。今は溜まり場でも、時間によってはおねーさんたちの方が多い時もあるし！  
(2024/12/10 23:24:42)

Caster> その時はまあ……いろいろあったから……。その方が後腐れもなくていいと思います、執拗く誘われる側もいい気はしないでしょう。少なくとも私は……変なノリで迫られてもちょっと困るかな。そうなんですか？うーん……私はその光景を向こうから見た覚えがないような……まあ、そういう時に赴いてみますとも。
  (2024/12/10 23:28:57)

Caster> 私はそろそろ帰ろうかな……あまり長く話しできなくて、なんだか申し訳ないんだケド……。   (2024/12/10 23:29:49)

エロガキ♂14C ◆> いろんなおねーさんがいるからねー。その気になった人を誘うのは全然いいとして、僕たちに無理強い出来る権利はないわけだし！…ん、そっか。残念だけど仕方ないね。またよかったらお話してね？   (2024/12/10 23:31:14)

Caster> 権利があれば無理強いを迫るように聞こえる言い方は気をつけて。どんな怖い人が曲解した考えで言葉尻掴んでイチャモンつけるかわからない世界だし。あはは……ごめんなさい。じゃあ、またいつか。それまではサヨナラ。   (2024/12/10
23:33:41)

おしらせ> Casterさんが退室しました。  (2024/12/10 23:33:46)

エロガキ♂14C ◆> そもそもそんな権利を得られるなんて想定しないからこそ、なんだけどな。お疲れ様、またね。   (2024/12/10 23:35:48)

エロガキ♂14C ◆> うん、ちょっと眠いしおねんねしちゃお。じゃあね。   (2024/12/10 23:41:44)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/10 23:41:55)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/10 23:55:01)

エロガキ♂19b ◆> 爆速帰還！！(そんなことはない)ってさっきまでだれかいたのかー！！   (2024/12/10 23:55:22)

エロガキ♂19b ◆> 誰かと話せる機会はなかなか無いからできればいる時に来たいんだけどねぇ～このままでは独り言ペラペラBOTになってまうぞ！   (2024/12/10 23:59:50)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/12/11 00:10:46)

エロガキ♀15kb> どうも、こんばんは   (2024/12/11 00:12:06)

エロガキ♀15kb> 回線が重くてやる気が動き出さないメスガキです（ぺこりっ）   (2024/12/11 00:12:39)

エロガキ♂19b ◆> やっほー！こんばんは～kbちゃんが来てくれるなんて珍しいねぇ～最近は勝負部屋でも見掛けないし(それは皆もだけど！)...そんなに重い？   (2024/12/11 00:12:59)

エロガキ♀15kb> アタシの環境の問題なので気にしないでください（重いの）　それゆえにあんまり出入りを控えているというか、やる気も出ないというか   (2024/12/11 00:13:53)

エロガキ♂19b ◆> なるほどね～やる気がでないならしかたない！！俺みたいに万年発情期みたいな感じでもないもんねぇ...   (2024/12/11 00:14:59)

エロガキ♀15kb> 回線や気持ちが重いのはアタシの個人的事情なのでお気になさらず。誰かに直してもらえる者でもありませんので   (2024/12/11 00:17:15)

エロガキ♂19b ◆> なんとなーく察しておとなしくしておくよ～！(ペタン)回線が重いのは実は俺ももそうなんだよね～おもにWi-Fiがくたばりかけ...ほぼギガで過ごす生活...無制限最高っ！！   (2024/12/11 00:18:52)

エロガキ♀15kb> この時期は忙しいですからね。外れくじ引く確率は低くしたいといいますか、まぁそんな感じですよ。   (2024/12/11 00:20:14)

エロガキ♂19b ◆> 年末は皆やることが多い～...俺は全くといっていいほどないけど！せいぜい大掃除ぐらいか...ダルいなぁ...   (2024/12/11 00:21:51)

エロガキ♀15kb> 大掃除、いいですねぇ。アタシは好きですよ。一つのことにのめり込めるのと……それでいて終わった後すっきりしますから。   (2024/12/11 00:23:36)

エロガキ♂19b ◆> 部屋の掃除は定期的にしてるんだけど隅っこのほうをおろそかにしててね～...そこに埃がたまってて...毎年なんだけどマスクつけてゴホゴホいいながらやってるから今年もそれをやらないといけないと思うと！！定期的にそこもやればいいんだけどね、！
  (2024/12/11 00:25:13)

エロガキ♀15kb> 掃除は嫌いですか？アタシは、結構掃除好きなんですけどね。　すっきりするじゃないですか。　かといって普段の1～2日のお休みだと半端になっちゃうし……ほかにやることもあるし、3日か4日休めるなら、1日集中的に掃除やほかの準備して～とかで、あと残りの日数でヤリタイことと体休めるのと出来るって意味ではお盆とかお正月前の大掃除って楽しくありません？
  (2024/12/11 00:28:21)

エロガキ♂19b
◆> 嫌いではないんだけど結構雑な性格なもんで...苦手なんだよね～、、こんなもんでいいや！！って感じに中途半端、それが重なって埃がたまってる訳だけど...あー、、確かにそういわれると楽しく思えるかも？幸い今年の年末はまとまった休みがあるし...全力で掃除してみようかな。部屋が埃まみれじゃ落ち着いて寝れないし！
  (2024/12/11 00:32:35)

エロガキ♀15kb> 家具を動かして何かするっていうと、普段の週末だと心元ないですからね。こういう時期はアタシ好きなんですよね。1年に1回か2回くらいは、部屋を少し動かして気持ちを動かしてみるって言いますか……大掃除もその一環といいますか。　同じ形のままだと川の水も一部に汚れが溜まっていくといいますし。
  (2024/12/11 00:34:55)

エロガキ♂19b ◆> それいいね！...せっかくだし今年は模様替えもしちゃおうかな...ベットの位置とか色々変えて...あかん、楽しみになってきた   (2024/12/11 00:37:24)

エロガキ♀15kb> 断捨離とか、一緒にするといいですよ？古い濁った部分を片付けて、残しておきたいもの、処分していい物、これからも使うモノ、ちゃんと分けることで部屋が広く使えますし、新しいものを入れるスペースが作れたりしますからね。やる気って出るというより、何かをやり始めてそれが順調だと動き出すものな所ありマスから……なんというか、体のデトックス？じゃないですが、生活の解毒というか
  (2024/12/11 00:40:25)

エロガキ♂19b ◆> 断捨離っ！一番苦手だ...今年はチャレンジしてみるかぁ....確かにやる気だすぞ！！って思っても結局うごかないのに、実際に始めてちゃんといくとぐんぐん進んでくもんねぇ...勉強とにたようなものを感じる....   (2024/12/11
00:43:23)

エロガキ♀15kb> 幾つか考え方を設けるといいですよ？1000円程度で買えるものは、思い切って捨てる。　1年間動かした記憶がないものは捨てる。という感じで、自分の中に一つの基準を作り、それと別にこれはコレクションだから～とかの枠を例えば、段ボール一つ分までは残すとかですね
  (2024/12/11 00:47:10)

エロガキ♂19b ◆> その発想はなかった！！せっかくだしそれでやらせて貰うか...細かいのとか結構あるし、、年始のゴミ捨てが大変になる予感がする...コレクションを保存しとくようの段ボールもいいね、、普段そういうことしないから全く思い付かんかった...  
(2024/12/11 00:49:46)

エロガキ♀15kb> その方の感覚にもよりますけどね。1000円が2000円とか、百均で買えそうとかに変わったり……段ボールが棚1～2段分に飾れる量～とか……アタシは、締まって置けるのは箱一つ分、飾るのは棚一つ分みたいな感じですけど   (2024/12/11
00:52:18)

エロガキ♂19b ◆> 俺も段ボールは置けて1個だな、、でも幸い大きいのはそんなに持ってないから充分だとは思う...全く使わないものとかも沢山あるからその辺はポイポイって捨てて、、空いた枠に...年始のセールとかで買った新しいのを置いてみてもいいかも  
(2024/12/11 00:54:29)

エロガキ♀15kb> と、すみません。もう1時ですしさすがに寝る時間ですね。　ええ、そういう気持ちの切り替えっていいと思いますよ（アタシもですが）   (2024/12/11 00:57:11)

エロガキ♂19b ◆> あっという間にこんな時間、、ゆっくり休んで明日に備えてね～...睡眠は大事だよ！   (2024/12/11 00:58:03)

エロガキ♀15kb> 食う寝る遊ぶ、ではお疲れ様です   (2024/12/11 00:59:16)

おしらせ> エロガキ♀15kbさんが退室しました。  (2024/12/11 00:59:41)

エロガキ♂19b ◆> 人間の3大欲求のうちの睡眠！！とっても大事～！！おやすみー！！   (2024/12/11 01:00:02)

エロガキ♂19b ◆> あ、ちなみに俺はまだ寝るつもりはないからね～...なぜって？全く眠くないからといっておこう！   (2024/12/11 01:12:05)

エロガキ♂19b ◆> かといって誰かが来るわけでもないんだけどね...さすがにもうねる時間なのも確か！こんな時間に起きてるのはよっぽどの悪い子か夜型の研究者ぐらいだね   (2024/12/11 01:26:11)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/12/11 01:37:33)

胡桃 ◆> 寝落ちの人だーれだ！   (2024/12/11 01:37:43)

エロガキ♂19b ◆> 残念おきてるんだぜー！！   (2024/12/11 01:38:48)

胡桃 ◆> あまり寝落ちとかばかりしてちゃダメだよ？季節的にもね。私はもう寝るところだから長居もしてられないんだけど…早く寝なさい！   (2024/12/11 01:38:54)

エロガキ♂19b ◆> 昨日の寝落ちに関しては本当にすまないと思ってる！！だから今は心頭滅却...半袖で椅子に座ってるよ～...   (2024/12/11 01:39:56)

胡桃 ◆> 昨日のというか普段から気をつけてよ。寝落ち部屋になんてしてないんだから、なるべく寝落ちとかで無言退室しないとこ！……あと、温かい服装で過ごしなさい！私は君の親じゃないんだからさ〜…。   (2024/12/11 01:41:11)

胡桃 ◆> じゃあ私は先に休むね。おやすみ〜！   (2024/12/11 01:42:09)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/12/11 01:42:16)

エロガキ♂19b ◆> 了解！！はーい、おやすみー！！   (2024/12/11 01:42:21)

エロガキ♂19b ◆> っと、、俺も寝ようと思ったけど勝負部屋に人影が...遊んでから寝よっと！   (2024/12/11 01:42:49)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/11 01:42:52)

おしらせ> エロガキ♂17Cさんが入室しました♪  (2024/12/11 04:05:14)

エロガキ♂17C> ……参ったね。今日もこんな時間に目が覚めるなんて。寒さを感じて仕方がない。   (2024/12/11 04:06:07)

エロガキ♂17C> ま、目が覚めたところで何かあるわけでもなし。また眠気が来たらその時は寝るだけなんだけどさ。   (2024/12/11 04:12:56)

エロガキ♂17C> ……ん、考え事してたらちょうどよく眠気が来てくれた。このまま寝るとしようか。   (2024/12/11 04:24:27)

おしらせ> エロガキ♂17Cさんが退室しました。  (2024/12/11 04:24:33)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/11 07:42:03)

エロガキ♂13Al> へひゃい！　おはようございます！   (2024/12/11 07:42:24)

おしらせ> 無言時間が25分を超えたため、エロガキ♂13Alさんが自動退室しました。  (2024/12/11 08:08:07)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/11 08:08:33)

エロガキ♂13Al> ぼーっとしていた……（パンをもそもそ食べている）   (2024/12/11 08:08:41)

エロガキ♂13Al> もう9時かー。行こう！   (2024/12/11 08:51:05)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/11 08:51:08)

おしらせ> 雪花ラミィさんが入室しました♪  (2024/12/11 11:25:44)

雪花ラミィ> こんらみぃー。眠い！！！！（クソデカ大声）   (2024/12/11 11:26:08)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/11 11:29:16)

エロガキ♂19b ◆> やっほー！！起きてるかぁ！！(背中バチーン！)   (2024/12/11 11:29:39)

おしらせ> トウコさんが入室しました♪  (2024/12/11 11:30:12)

雪花ラミィ> うるせーよ！！！！いてーよ！！！！（バチーン返し）   (2024/12/11 11:30:14)

トウコ> おはよう。(19bを見ると目を逸らして)   (2024/12/11 11:31:17)

エロガキ♂19b ◆> 痛いっ！！っとおはようトウコちゃん～！   (2024/12/11 11:32:01)

雪花ラミィ> わっ、こんらみぃ。初めましてですかね。雪花ラミィともうします。ヤバい、初手から大声でうるさい人認定されてないか不安（）   (2024/12/11 11:32:39)

エロガキ♂19b ◆> ...めっちゃ丁寧やん...なんか悪いものでも食った？   (2024/12/11 11:33:04)

エロガキ♂19b ◆> そしてトウコちゃんはな～んで目をそらすんですかねぇ...   (2024/12/11 11:33:26)

トウコ> こんにちは。トウコです。よろしく…(19bを睨み付けるが視線は泳いで)自身に聞いてみたら   (2024/12/11 11:34:38)

雪花ラミィ> ラミィはアホ毛の先からつま先まで清楚で丁寧で完璧なエルフなんですぅー。酒カスニャースは二の次ですぅー（ぐびぐび。）   (2024/12/11 11:34:55)

エロガキ♂19b ◆> 一緒に夜を過ごしただけなのに...(ガクッ)そしてこのエルフはこんな真っ昼間から酒のんで～！トウコちゃんが悪い子になったらどうするんですか！！(ﾍﾟﾁﾍﾟﾁ)   (2024/12/11 11:36:30)

雪花ラミィ> 副店長の夜はあまりにもうるさすぎて寝れなさそう。同情します（ほろり…）一緒にお酒に溺れちゃえば良いんですよ！！はっぴー！！はっぴー！！   (2024/12/11 11:38:37)

トウコ> (そのことを思い出すと身体を震わせて)あんな風にされて   (2024/12/11 11:39:13)

エロガキ♂19b ◆> うぉぉぉい！！その言い方だと語弊を....いや、あながち間違いでもないか...それとトウコちゃんは未成年？だよ！？ラミィちゃんは捕まりたいのかなぁ？...ん？それだけをいったら俺は何回捕まるんだ....   (2024/12/11
11:40:36)

雪花ラミィ> もうね、お昼に酒を呑むよりお昼に君のべしゃりを食らう方が発育においてよくない（ラミィ、つよくでた！）元気なのは素敵なことだけどね。もう手錠よ、手錠。   (2024/12/11 11:43:15)

エロガキ♂19b ◆> 確かに俺としゃべった子はほとんど食べられてるからね...皆美味しくいただいてます！。手錠かけるなら女の子にかけて拘束したいです！！(直球)   (2024/12/11 11:45:17)

トウコ> 私は、未成年ですよ♡あんなに開発されてしまうと思わなかった(わざとらしい笑みを浮かべて)ラミィさん逮捕してほしいですよ   (2024/12/11 11:47:09)

雪花ラミィ> そういうことじゃねーのよ、良い捉え方するなあ君はよう…！ただ、わしはまだいただかれてないはず。知らんけど（）   (2024/12/11 11:47:52)

雪花ラミィ> ラミィが逮捕される……！？いや、ここはしかるべき対応をとって19Bメンズを逮捕するのでご安心を…！   (2024/12/11 11:48:26)

エロガキ♂19b ◆> その言い方はズルくない！？マジで逮捕されるやつやんけ！！ラミィちゃんはまだ食べてないけどいつか食べるからそのつもりで～...ラミィちゃんとトウコちゃん並べておっぱい評論するのも悪くないのかもしれない...(クズ)  
(2024/12/11 11:49:17)

おしらせ> エロガキ♂13Alさんが入室しました♪  (2024/12/11 11:50:11)

エロガキ♂13Al> 平日の昼に飲酒を…！？   (2024/12/11 11:50:19)

トウコ> こんにちは   (2024/12/11 11:51:01)

エロガキ♂19b ◆> こんにちはー！(くそでか声)   (2024/12/11 11:51:41)

雪花ラミィ> こんらみいー。セクハラマンの相手してます助けて（）   (2024/12/11 11:53:22)

エロガキ♂13Al> こんにちは。女の子の魅力はおっぱいだけじゃない、下半身も味わいたいの気持ち   (2024/12/11 11:53:51)

エロガキ♂19b ◆> 実はあの子も脳内ピンクなんだよね～(ラミィちゃんの耳元でゴニョゴニョ)   (2024/12/11 11:54:16)

エロガキ♂13Al> セクハラから守るので俺の後ろに回って密着してください！難しかったら前から密着でも大丈夫です！   (2024/12/11 11:54:32)

トウコ> お願いエイブオーフレアドライブ(いきなりボールから相棒を出して19bに攻撃させて)   (2024/12/11 11:55:37)

雪花ラミィ> 助ける対象間違えちゃった。へーーいヘルプ！！！   (2024/12/11 11:55:51)

エロガキ♂19b ◆> ん？...チョッ！待って！！ウワァァァァ！！(フレアドライブをもろに食らって壁に激突)い、、痛いじゃないか！！   (2024/12/11 11:58:06)

エロガキ♂13Al> きゃー（ポケモン暴力から距離をとる）　だいじょうぶ夜空の星を数えてる間に終わるから！   (2024/12/11 11:58:45)

トウコ> ありがとう。エンブオー(頭を撫でているとエンブオーから軽いセクハラを受けて)ほら戻らないとね。ボールに戻して   (2024/12/11 12:01:37)

エロガキ♂13Al> 赤ピクミン以外の大体の生物は火に弱いからあまり発火しないように生活しよう！   (2024/12/11 12:01:43)

エロガキ♂19b ◆> もうー！急にポケモンだしたら皆ビックリするでしょ！！なに、またわからされたいの～？   (2024/12/11 12:01:47)

エロガキ♂19b ◆> あ、駄目だこのエンブオーも頭ピンクだ...   (2024/12/11 12:02:17)

雪花ラミィ> 半分寝てた。あぶないあぶない。顔面から酒をあびておちつかないと…。   (2024/12/11 12:03:03)

トウコ> うるさい…仕方ないでしょう。(何が仕方ないのかわからずに)   (2024/12/11 12:03:45)

エロガキ♂13Al> 寝なー（毛布を持ってきた）   (2024/12/11 12:03:55)

エロガキ♂19b ◆> ふっ、、ここで寝るともれなくセクハラされるかもしれないぞ！...俺としてはそれでも構わんが...   (2024/12/11 12:05:14)

エロガキ♂19b ◆> ほんとに何が仕方ないの！？まったく！...すーぐポケモン使うんだから！！わからせちゃうぞ(キラッ)   (2024/12/11 12:06:02)

トウコ> すぐに使って無いでしょう。この前は、こっちが分からせるから、絶対に   (2024/12/11 12:07:29)

エロガキ♂19b ◆> へっ！弱々のトウコちゃんには難しいかもねぇ...あんまり言いすぎると負けたときがあれだからこの変にしておこっと..   (2024/12/11 12:10:35)

エロガキ♂13Al> 寝てしまったか…（そっとラミィに毛布をかけてから同じ毛布に入っていく）   (2024/12/11 12:11:25)

エロガキ♂19b ◆> そして、そこのポンコツエルフは寝たかな？13AI君～！持ってきた毛布で簀巻きにしてあげて！   (2024/12/11 12:11:26)

エロガキ♂19b ◆> はいはい、添い寝はここではやめようねー(13AI君の首根っこを掴んで引きずり出して)   (2024/12/11 12:12:04)

エロガキ♂13Al> 嗅ぐだけ！嗅ぐだけだから！（ずるずる出される）   (2024/12/11 12:13:20)

エロガキ♂19b ◆> 駄目だ！！(クワッ！)それにそんなことしたら～...後で怖ーいお姉さんがやってきてお説教されちゃうよ～   (2024/12/11 12:14:39)

雪花ラミィ> (´⊙ω⊙`)💢   (2024/12/11 12:15:31)

エロガキ♂13Al> しまった、騒ぐから起こしちゃったんだ！（怪物扱い？）   (2024/12/11 12:16:18)

エロガキ♂19b ◆> あ、おはよう～...眠気覚ましにこんなのはいかが？(メガホンを耳元に近づけて)あーーー！！！！！！   (2024/12/11 12:17:20)

トウコ> お姉さんに頼み込もうかな。本当に   (2024/12/11 12:17:53)

エロガキ♂19b ◆> んー？何を頼み込むつもりなの～？   (2024/12/11 12:18:28)

トウコ> 変態をなんとかしてと（笑）   (2024/12/11 12:19:14)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/12/11 12:19:34)

雪花ラミィ> しばくぞテメエ！！！！！！（胸ぐらガシィィィ！！）   (2024/12/11 12:19:37)

エロガキ♂19b ◆> 痛いッ！痛いです！！ラミィちゃんステーイ！！   (2024/12/11 12:20:16)

雪花ラミィ> おっと。危ない。ラミィはお上品ですからね♥   (2024/12/11 12:20:32)

トウコ> ラミィさんもっとやってもいいのですよ。この人なら(何故か煽る)   (2024/12/11 12:20:54)

エロガキ♂19b ◆> 一瞬本性表したよね！？まぁ、耳元で騒がれて怒らない人はいないけど   (2024/12/11 12:21:21)

エロガキ♂13Al> そうだそうだ！やっちゃえラミィ！あくまのキッスだ！   (2024/12/11 12:21:35)

エロガキ♂19b ◆> トウコちゃん！？見捨てないでほしいなー！   (2024/12/11 12:23:02)

雪花ラミィ> シバくかシバかないか、サイコロで決めよう。ラミィのラはランダム性のある気性（強引）なので、サイコロに身を委ねてしまおう、というわけです。ラミィルーレットの内容は、考えてません。（）   (2024/12/11 12:23:51)

トウコ> 1d6で具数出たらしばかないはどうですか?   (2024/12/11 12:24:57)

エロガキ♂19b ◆> ならこれでどう？1.シバく　2.許す　3.ハメる   (2024/12/11 12:25:03)

