/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 11時13分 ～ 2024年10月19日 13時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13 ◆> おやすみ〜   (2024/10/19 11:13:58)
エロガキ♂13M ◆> やっぱそうなるよねぇ   (2024/10/19 12:10:17)

星 ◆> そういうものなんだ……。   (2024/10/19 12:10:29)

エロガキ♂18Z> だねぇ   (2024/10/19 12:10:35)

エロガキ♂13M ◆> 身体付きは…ぐっ…可愛いを優先してマッチョマンには絶対ならないから！   (2024/10/19 12:10:47)

エロガキ♂13M ◆> となると、管理する部屋がまた一つ増えるのかなぁ…？   (2024/10/19 12:11:30)

栞葉るり> 版権♀が一番可愛いですよ？(悪魔のささやき)   (2024/10/19 12:11:38)

星 ◆> るりがね。   (2024/10/19 12:12:20)

エロガキ♂13M ◆> うぐっ…も、元ネタの男の娘…なら…いや誘惑には乗らないからぁ！   (2024/10/19 12:12:33)

星 ◆> ……まあ、でも結構アイデアは集まったかも。ありがとう。   (2024/10/19 12:12:34)

エロガキ♂18Z> いえいえ〜   (2024/10/19 12:12:56)

エロガキ♂13M ◆> 玩具の名前を挙げるしかやってないから〜   (2024/10/19 12:13:18)

エロガキ♂18Z> 薬しか言ってなかったや   (2024/10/19 12:13:34)

栞葉るり> なんかついでに口説かれてますが(ちら)   (2024/10/19 12:13:39)

栞葉るり> まぁここでわたくし、エロガキ部屋の真理に触れますが   (2024/10/19 12:14:02)

星 ◆> 私のるり（？）を口説いた奴がいるって聞きました、（バット取り出し、）   (2024/10/19 12:14:08)

エロガキ♂13M ◆> 星るり、爆誕？   (2024/10/19 12:14:11)

エロガキ♂13M ◆> え、だれ？！   (2024/10/19 12:14:18)

エロガキ♂13M ◆> 真理とは…？   (2024/10/19 12:14:33)

エロガキ♂19b ◆> そんな人いたっけ？   (2024/10/19 12:14:33)

エロガキ♂18Z> 誰だろ〜   (2024/10/19 12:14:39)

星 ◆> え、今居たんじゃないの。   (2024/10/19 12:14:48)

星 ◆> あ違うこれ私か……。   (2024/10/19 12:15:00)

星 ◆> 何でもないです…………。（バットしまった、）   (2024/10/19 12:15:10)

エロガキ♂18Z> (微笑ましい視線)   (2024/10/19 12:15:28)

エロガキ♂13M ◆> ……自分にケツバットしちゃえ♪(？)   (2024/10/19 12:15:29)

星 ◆> 寝不足の頭、ダメ絶対。   (2024/10/19 12:16:02)

エロガキ♂18Z> 寝ましょー   (2024/10/19 12:16:19)

エロガキ♂13M ◆> ねんねする時間ですよぉ〜♪   (2024/10/19 12:16:41)

星 ◆> うるさい、真理発表の時間だよ。   (2024/10/19 12:17:12)

栞葉るり> 版権♀に逃げられたらこの部屋終わります(真顔)なので逃さないようにエロガキ側が気を遣わないといけないんです。なのでわたくしはこうやってエロガキを版権♀になるように促してるわけですね。あと、版権♀は性質的に話を流されにくいので会話も途切れたりしにくいです。中身エロガキでエロガキと話したくね〜とか思うのはわかりますが、相手の人も思ってる可能性があるのであんまり触れてもらえなくても捨てたりせずに版権♀をヨイショしてあげてください。でないと、終わります、ガチで。♀の負担が増えて疲れたらコンセプト崩壊して堂主が肉便器になるしかないですからね。この場で堂主の心配をするくらいなら♀を増やしたり減らさないようにするのがとりあえずの近道だとわたくし思うんですよね、と。
  (2024/10/19 12:18:11)

星 ◆> Vの人は舌が回るなぁ……。   (2024/10/19 12:19:14)

エロガキ♂13M ◆> お…おかのした   (2024/10/19 12:19:19)

栞葉るり> 捨てたりじゃなくて拗ねたり、ですね。まぁ、わたくしがなんで勧誘しているかの理由でした   (2024/10/19 12:19:41)

エロガキ♂18Z> ふむ〜   (2024/10/19 12:19:54)

星 ◆> じゃあるりは雌堕ちが好きなわけじゃないってこと？   (2024/10/19 12:20:04)

エロガキ♂13M ◆> まぁ、版権男の娘に需要があれば考えなくもないけど…みんなハメ穴あった方がいいでしょ？   (2024/10/19 12:20:28)

栞葉るり> それは、ゲームの結果に従いますよ！もちろん   (2024/10/19 12:20:31)

エロガキ♂13M ◆> 男の娘にはないじゃん、穴   (2024/10/19 12:21:04)

エロガキ♂19b ◆> なるほどねぇ...たまには性転換するか？   (2024/10/19 12:21:20)

エロガキ♂18Z> 掘られるのはよく分からないから出来ないけど、男の娘なら大丈夫な人←   (2024/10/19 12:21:23)

栞葉るり> 男の娘だと難しいって思うエロガキは多いと思いますね。もちろんいける人もいますが   (2024/10/19 12:21:24)

栞葉るり> ほらいた！   (2024/10/19 12:21:50)

星 ◆> ……ま、るりはこう言ってるけど、プレッシャーには感じ過ぎないようにね。このお部屋の利点もあるから。   (2024/10/19 12:21:56)

エロガキ♂18Z> (はめる側だけども。大丈夫(ここ大事)   (2024/10/19 12:22:00)

エロガキ♂13M ◆> となると…純♀も考えた方がいい…？   (2024/10/19 12:22:09)

エロガキ♂13M ◆> いたぁ！？   (2024/10/19 12:22:21)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/19 12:22:31)

栞葉るり> 気が向いたらで構いませんよ？   (2024/10/19 12:22:33)

エロガキ♂18Z> こんにちはー   (2024/10/19 12:22:36)

エロガキ♂19b ◆> パンドラちゃん！！こんにちはー   (2024/10/19 12:22:49)

エロガキ♂13M ◆> は〜い   (2024/10/19 12:22:51)

星 ◆> 白い人だ。こんにちは。   (2024/10/19 12:22:51)

エロガキ♂13M ◆> こんにちにゃ〜♪   (2024/10/19 12:22:57)

パンドラ ◆> 少しは眠れたので大丈夫だと思います。こんにちは   (2024/10/19 12:23:03)

栞葉るり> いらっしゃいませー   (2024/10/19 12:23:09)

エロガキ♂18Z> いた事に驚愕される事実(ぐでん)   (2024/10/19 12:23:21)

エロガキ♂18Z> 少しでも寝れたならよしー   (2024/10/19 12:23:32)

エロガキ♂13M ◆> いや、実例少なくてわからなかったから…   (2024/10/19 12:23:44)

栞葉るり> たしか、誰かがずっとスクワットさせられてたような……   (2024/10/19 12:24:06)

星 ◆> ちなみに私はド偏食。（我儘ガールと呼んでくれ、）   (2024/10/19 12:24:07)

エロガキ♂19b ◆> ......   (2024/10/19 12:24:20)

エロガキ♂13M ◆> 寝れて偉いねぇ♪(パンドラの頭なでなで)   (2024/10/19 12:24:22)

エロガキ♂18Z> アフロディさんを抱いていた人がいたような？(名前忘れたマン)   (2024/10/19 12:24:23)

栞葉るり> あの方も男の娘でしたっけ   (2024/10/19 12:24:23)

パンドラ ◆> さっき起きたところで少し頭が回りませんけれど、、何のお話をされているのでしょうか？   (2024/10/19 12:24:28)

エロガキ♂19b ◆> それ俺だな....   (2024/10/19 12:24:41)

栞葉るり> んと、お前らメスにしてやるって話でした   (2024/10/19 12:24:53)

エロガキ♂13M ◆> うーん、第…何回だ？この部屋を盛り上げていこうの会！   (2024/10/19 12:24:55)

エロガキ♂18Z> 男の娘の話ー   (2024/10/19 12:24:56)

エロガキ♂13M ◆> みんな見事にバラバラです…   (2024/10/19 12:25:16)

エロガキ♂18Z> 19bさんだったか…   (2024/10/19 12:25:17)

パンドラ ◆> なるほど、、素晴らしいですね。おとこの娘？はあまり理解が無いですけれど盛り上げていくのはとても素晴らしいことです、、   (2024/10/19 12:25:52)

栞葉るり> とは言え、趣向が合わないとそうなるので…男の娘は扱いが難しいんですよね   (2024/10/19 12:25:53)

エロガキ♂18Z> プロフに書いとくか…。それなら確認する手間は省けますしねー   (2024/10/19 12:26:29)

栞葉るり> さっき居た、葛h…じゃないサーリャさんみたいに性転換してるなら♀にはなると思いますが   (2024/10/19 12:26:36)

エロガキ♂13M ◆> にゃ…、口と手なら少し自信あるけど……やっぱ穴ないからなぁ…   (2024/10/19 12:26:38)

エロガキ♂19b ◆> 女の子に変身するなら変身先のこへの理解が必要だな...アニメ見返そ   (2024/10/19 12:26:52)

栞葉るり> あ、いえ。男の娘自体レアなので…   (2024/10/19 12:26:54)

栞葉るり> あとですね   (2024/10/19 12:27:00)

エロガキ♂18Z> 口って穴があるじゃない(ぇ)   (2024/10/19 12:27:05)

エロガキ♂13M ◆> え   (2024/10/19 12:27:11)

パンドラ ◆> あの吸血鬼のお方は完全な女体化ですね、、   (2024/10/19 12:27:16)

おしらせ> キタサンブラックさんが入室しました♪  (2024/10/19 12:27:21)

エロガキ♂18Z> こんにちはー   (2024/10/19 12:27:26)

キタサンブラック> え？   (2024/10/19 12:27:27)

パンドラ ◆> あら、こんにちは   (2024/10/19 12:27:32)

エロガキ♂19b ◆> こんにちは～   (2024/10/19 12:27:33)

エロガキ♂13M ◆> こんにちは〜   (2024/10/19 12:27:36)

栞葉るり> 公然でNGとなるとやっぱり傷つける話になるので…もしダメならお部屋に移動してもらってごめんなさいが誰も傷つかない選択だと思うんですよ   (2024/10/19 12:27:58)

栞葉るり> え？   (2024/10/19 12:28:15)

栞葉るり> (悪ノリ)   (2024/10/19 12:28:19)

キタサンブラック> どうも、こんにちは。お昼から、ヤマニンゼファーさんが、ヤリマンセフレに見えた頭がちょっとキレっキレなあたしです（ででーん   (2024/10/19 12:28:19)

エロガキ♂18Z> それが正しい選択ではある〜   (2024/10/19 12:28:27)

エロガキ♂13M ◆> あー、確かに？ボクは別に気にしないけど、気にする子もいるよね   (2024/10/19 12:28:38)

栞葉るり> だめだこいつ、寝てないな…(ウマめ)   (2024/10/19 12:28:43)

キタサンブラック> ノリ悪いのは、雰囲気もお化粧もNGですが、悪ノリはやれるだけやるべきだと思います   (2024/10/19 12:28:57)

エロガキ♂18Z> 寝てない民何人いるんだ…？   (2024/10/19 12:28:59)

エロガキ♂13M ◆> ねろ！ねなさい！   (2024/10/19 12:29:10)

栞葉るり> 人前で断られるのはやっぱりダメージになる場合が…   (2024/10/19 12:29:22)

パンドラ ◆> 私は1時間は寝たので寝てない民、ではありませんね？   (2024/10/19 12:29:23)

エロガキ♂13M ◆> みんな折角の休日になにしてんだ！   (2024/10/19 12:29:27)

エロガキ♂19b ◆> ほんと、、ちゃんと寝ないと！   (2024/10/19 12:29:27)

栞葉るり> あっ……(化粧)   (2024/10/19 12:29:32)

キタサンブラック> 今朝は2時前？……から8時までは寝ましたね。   (2024/10/19 12:29:33)

エロガキ♂18Z> キタさんはしっかり寝ていてはなまる   (2024/10/19 12:29:54)

栞葉るり> キタサンも心当たりあるんですね…久々に見ましたそのワード   (2024/10/19 12:29:58)

星 ◆> あ、いつの間にか増えてた。こんにちは。   (2024/10/19 12:30:21)

キタサンブラック> どのワードでしょうか？　ヤリマンセフレーですか？   (2024/10/19 12:30:24)

エロガキ♂18Z> 1時間睡眠よりももうちょい寝たらはなまる……   (2024/10/19 12:30:33)

栞葉るり> 化粧です化粧。多分厚塗りの…妖怪？   (2024/10/19 12:30:47)

エロガキ♂13M ◆> 名前の後ろに、〇、◎、☆とかマークつけてNG判別しとく？   (2024/10/19 12:30:58)

栞葉るり> あいえ、気の所為です、忘れてください   (2024/10/19 12:31:09)

パンドラ ◆> では、私は既にもう3時間程寝た後です、、(権能、、)   (2024/10/19 12:31:18)

キタサンブラック> あぁ……その話はdon't touch me   (2024/10/19 12:31:32)

エロガキ♂18Z> 3時間寝たならはなまる   (2024/10/19 12:31:38)

エロガキ♂19b ◆> そっかぁ...パンドラちゃんはそんなに寝たのかぁ   (2024/10/19 12:31:45)

栞葉るり> ルールを増やすと部屋の説明文の上限に引っかかるので   (2024/10/19 12:31:52)

エロガキ♂13M ◆> 偉いねぇ、よく寝たねぇ   (2024/10/19 12:31:58)

エロガキ♂13M ◆> そうだったぁぁ！   (2024/10/19 12:32:11)

星 ◆> ルールで縛ればいいって話でもないしね、   (2024/10/19 12:32:13)

エロガキ♂18Z> まあ、NGはやる前に事前申告で良さげ？   (2024/10/19 12:32:20)

パンドラ ◆> あまりスラングには明るくないのでひとまずは眺めておきますね？   (2024/10/19 12:32:22)

キタサンブラック> ……（パンドラって聞くと、最近どうしても映画の影響もあって見返した、ドイツ語軍服のアクターさんが出てしまうアタシ）   (2024/10/19 12:32:26)

エロガキ♂13M ◆> 男の娘の着脱可…はギリアウト？   (2024/10/19 12:32:51)

栞葉るり> (パンドラって聞くと、ブラック・マジシャン使いが思い浮かぶわたくし)   (2024/10/19 12:32:52)

エロガキ♂18Z> じゃあパンドラさんの背後で守護霊みたいにしてよう(ノソノソ…)   (2024/10/19 12:33:12)

キタサンブラック> ……男の娘の着脱？……NGやらルールやら？   (2024/10/19 12:33:16)

エロガキ♂18Z> (パンドラの箱を浮かんでいた人です)   (2024/10/19 12:33:30)

栞葉るり> 着脱までいくともう男の娘じゃなくていいのでは…？   (2024/10/19 12:33:50)

星 ◆> プライドとか……。   (2024/10/19 12:34:02)

エロガキ♂18Z> ♀だね   (2024/10/19 12:34:02)

パンドラ ◆> 私は虚飾の魔女、名前はパンドラ、と申します、、(布1枚で下は裸なので捲って頂いても構いませんよ？本当なら脱いでも良いくらいなので、、)   (2024/10/19 12:34:09)

キタサンブラック> お刺身のたんぽぽを添える仕事が如く。パンドラの箱を常に糸で吊るしてもって歩く仕事？   (2024/10/19 12:34:13)

エロガキ♂13M ◆> そりゃそうか、やっぱ男の娘の尊厳は守らないと…   (2024/10/19 12:34:32)

エロガキ♂19b ◆> 星ちゃん！出番だぞ！   (2024/10/19 12:34:40)

星 ◆> 捲らなきゃ……！（使命感）   (2024/10/19 12:34:47)

エロガキ♂18Z> 簡単そうに見えてやばい仕事だ……   (2024/10/19 12:34:53)

キタサンブラック> 男の娘は、男性でありつつも、見た目と心が女子だからよいのです。   (2024/10/19 12:34:54)

星 ◆> そんな使命感は佐天涙子にしかないんだよ、   (2024/10/19 12:34:58)

キタサンブラック> 女子型金属バッドヒーローさん？   (2024/10/19 12:35:21)

パンドラ ◆> おとこの娘とは難しいものなのですね、、   (2024/10/19 12:35:26)

エロガキ♂18Z> 捲るなら持ち帰りして思う存分に捲らねぼ……   (2024/10/19 12:35:36)

星 ◆> そうそ……バットキャラ被ってる！！？   (2024/10/19 12:35:36)

エロガキ♂13M ◆> むっずかしいにゃぁぁ…   (2024/10/19 12:35:41)

栞葉るり> 曖昧さが魅力でもありますからねぇ   (2024/10/19 12:35:45)

エロガキ♂18Z> たしかにー   (2024/10/19 12:35:55)

キタサンブラック> 中性的男性と　女装系男子と　男の娘が在るのです。   (2024/10/19 12:35:56)

エロガキ♂13M ◆> やっぱ、そこら辺は大事にしておこう。うん   (2024/10/19 12:36:06)

おしらせ> パッションリップさんが入室しました♪  (2024/10/19 12:36:08)

エロガキ♂18Z> こんにちはー   (2024/10/19 12:36:13)

栞葉るり> いらっしゃいませ～   (2024/10/19 12:36:22)

エロガキ♂13M ◆> こんにちにゃ〜♪   (2024/10/19 12:36:23)

パッションリップ> こんにちはー。哲学的な話をしている……？   (2024/10/19 12:36:26)

エロガキ♂19b ◆> でっかいお姉さんがきた！！こんにちは～   (2024/10/19 12:36:26)

星 ◆> こんにち………、………っ   (2024/10/19 12:36:30)

キタサンブラック> どうも、こんにちは～カオスワールドへ   (2024/10/19 12:36:30)

パンドラ ◆> こちらで捲り上げるつもりなら後ほど主のお方に怒られる覚悟はしておいて下さいね、、？   (2024/10/19 12:36:31)

パンドラ ◆> こんにちは、、   (2024/10/19 12:36:37)

星 ◆> デッッッッッッッカ………………。   (2024/10/19 12:36:39)

パッションリップ> でっかいです(手が)   (2024/10/19 12:36:45)

キタサンブラック> 哲学というよりも世界の心理でしょうか。   (2024/10/19 12:36:52)

パンドラ ◆> そろそろでしょうか、、また後ほどに、、   (2024/10/19 12:36:54)

エロガキ♂18Z> 胸もなんだよね……   (2024/10/19 12:36:54)

パンドラ ◆> それでは、、   (2024/10/19 12:37:00)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/19 12:37:03)

エロガキ♂18Z> お疲れ様です〜   (2024/10/19 12:37:06)

キタサンブラック> 脅威の胸囲ですね   (2024/10/19 12:37:13)

エロガキ♂13M ◆> おつかれさま〜♪   (2024/10/19 12:37:14)

栞葉るり> お疲れ様でしたー   (2024/10/19 12:37:15)

エロガキ♂19b ◆> パンドラちゃんお疲れさま～！   (2024/10/19 12:37:20)

キタサンブラック> パンドラさんお疲れ様です   (2024/10/19 12:37:20)

パッションリップ> はーい、お疲れさまです～   (2024/10/19 12:37:21)

パッションリップ> みんなが小さいんです(被虐体質)   (2024/10/19 12:37:36)

おしらせ> エロガキ♂16rさんが入室しました♪  (2024/10/19 12:37:39)

栞葉るり> キタサンも年齢的には割と大概でしょう！   (2024/10/19 12:37:46)

エロガキ♂18Z> こんにちはー   (2024/10/19 12:37:48)

星 ◆> こんにちは。   (2024/10/19 12:37:57)

エロガキ♂16r> こんにちは   (2024/10/19 12:37:59)

エロガキ♂13M ◆> いや、もうガキの性癖ぶっ壊しにきてるレベル…   (2024/10/19 12:38:02)

パッションリップ> こんにちは～   (2024/10/19 12:38:02)

キタサンブラック> あ、ちょっとキタクラしてきます（敬礼   (2024/10/19 12:38:05)

エロガキ♂13M ◆> こんちくは〜☆   (2024/10/19 12:38:10)

おしらせ> キタサンブラックさんが退室しました。  (2024/10/19 12:38:10)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/19 12:38:15)

パッションリップ> はいはーい、いってらっしゃい   (2024/10/19 12:38:24)

エロガキ♂13M ◆> いってらっしゃーい   (2024/10/19 12:38:32)

エロガキ♂19b ◆> いってらっしゃいです～   (2024/10/19 12:38:38)

栞葉るり> いってらっしゃーい   (2024/10/19 12:38:43)

エロガキ♂18Z> バトルかー。どうしようかな(悩み)   (2024/10/19 12:38:44)

エロガキ♂16r> 当初のパッションリップヤバってなってたけど最近あんな感じのキャラ沢山いるからなぁ   (2024/10/19 12:38:47)

栞葉るり> やりたいだけのエロガキはほら行った行った(しっしっ)   (2024/10/19 12:39:03)

星 ◆> ……そういえば、女の子側勝利の罰についての話にちょっと戻るけど。   (2024/10/19 12:39:09)

栞葉るり> はい   (2024/10/19 12:39:15)

エロガキ♂18Z> 犬みたいに…！   (2024/10/19 12:39:17)

星 ◆> アレってこっちのやりたいシチュで襲う権利みたいなものだよね、   (2024/10/19 12:39:37)

栞葉るり> アズレンはキタサンクラスで貧乳ですよ(レベルたかすぎ)   (2024/10/19 12:39:45)

エロガキ♂13M ◆> そうだね〜   (2024/10/19 12:39:54)

パッションリップ> 私何してもらうか考えてなくてちょっと困っちゃったんですよね、勝ったとき…   (2024/10/19 12:39:58)

エロガキ♂19b ◆> ショタは結構それで襲われてない？しらんけど   (2024/10/19 12:40:13)

エロガキ♂16r> アズレンの世界は基本でかいからなぁ()   (2024/10/19 12:40:15)

エロガキ♂18Z> じゃあ、ちょっと最強コンビと手合わせしてきまっ。   (2024/10/19 12:40:39)

星 ◆> 与えたい罰、携えて往け──。   (2024/10/19 12:40:44)

エロガキ♂18Z> またね〜   (2024/10/19 12:40:49)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/10/19 12:40:51)

エロガキ♂16r> いてらー   (2024/10/19 12:40:54)

パッションリップ> いってらっしゃーい   (2024/10/19 12:40:57)

エロガキ♂19b ◆> いってらー   (2024/10/19 12:40:57)

栞葉るり> いってらっしゃーい   (2024/10/19 12:40:58)

星 ◆> いってらっしゃい。   (2024/10/19 12:41:11)

エロガキ♂13M ◆> 希望シチュで連れ出しがいいんじゃない？受け身の人も個室なら恥ずかしいんじゃないかにゃあ   (2024/10/19 12:41:24)

星 ◆> ……何事かと思えば、みんな同時に他の部屋の様子とか見てるんだね。   (2024/10/19 12:41:29)

エロガキ♂13M ◆> いってら〜♫   (2024/10/19 12:41:33)

エロガキ♂16r> 正直土下座させられるとそれはそれで困るのよね、屈辱なのは分かるんだけど土下座したら本来なんか言われるまでなーんも出来ないから()   (2024/10/19 12:41:49)

栞葉るり> リップさんみたいな女の子は結構いると思いますよ？そのための対策みたいなもんですし   (2024/10/19 12:41:50)

エロガキ♂13M ◆> 恥ずかしくないの間違いでしたぁ…！   (2024/10/19 12:41:53)

エロガキ♂19b ◆> 巡回し続けてるよ～、、変なものが紛れる可能性もあるしね   (2024/10/19 12:41:58)

エロガキ♂13M ◆> あ、珍しく♀有利に…？   (2024/10/19 12:42:55)

パッションリップ> まぁ普通にエッチなことをしたいようにしてもらうでオッケーならそうしようかなと…   (2024/10/19 12:43:07)

星 ◆> 土下座、土下座……土下座はねぇ……。   (2024/10/19 12:43:18)

エロガキ♂13M ◆> 土下座は飽きた！   (2024/10/19 12:43:28)

星 ◆> 私は好きだよ。   (2024/10/19 12:43:34)

パッションリップ> (好きなんだ…)   (2024/10/19 12:43:52)

星 ◆> もちろん、追撃ありきだけど。   (2024/10/19 12:43:52)

エロガキ♂13M ◆> ぇ゙、どんな追撃されんの…   (2024/10/19 12:44:19)

エロガキ♂16r> 土下座だけで放置されるのが困るのよね   (2024/10/19 12:44:22)

栞葉るり> それだと罰っぽくないとも言えますからねぇ、むしろエロガキ連中はそれが目当てなので…。でも、勝った側ならそれを選ぶのも自由です……って言ってて思いましたけど、リップさんドスケベすぎません？   (2024/10/19 12:44:31)

栞葉るり> 土下座してるお尻にうぃんうぃん   (2024/10/19 12:44:52)

エロガキ♂16r> まだその方がマシ(うぃんぃん)   (2024/10/19 12:45:04)

パッションリップ> あ、あはー…ここにいる時点でスケベじゃないわけはないので…   (2024/10/19 12:45:22)

星 ◆> まあ最近は土下座よりお腹見せ屈服ポー……。   (2024/10/19 12:45:26)

エロガキ♂16r> リップだし(暴論)   (2024/10/19 12:45:37)

星 ◆> ………るり、違う、違うよ。   (2024/10/19 12:45:39)

エロガキ♂19b ◆> それはそう...ここにいる人基本皆ドスケベやからな   (2024/10/19 12:45:45)

星 ◆> 犬のじゃなくて……。   (2024/10/19 12:45:49)

栞葉るり> 犬じゃなくてなんなんですか…？   (2024/10/19 12:46:15)

エロガキ♂13M ◆> 勝っちゃった♀は、私を楽しませなさい！で主導権を間接的にガキに渡すとか？   (2024/10/19 12:46:16)

星 ◆> ただ…っ、無様なポーズとしていいよねって話で……っ   (2024/10/19 12:46:44)

パッションリップ> わ、わたしというか、サクラファイブはみんなエッチなコンセプトなんです！私だけじゃないです！   (2024/10/19 12:46:47)

栞葉るり> リップさんはそういうこと言いませんから、なかなか難しいですよね。被虐体質みたいな性格もありますし…   (2024/10/19 12:47:20)

栞葉るり> …たしかに？逆四つん這いはかなり無様でしたが…   (2024/10/19 12:47:47)

エロガキ♂13M ◆> お腹見せて、語尾にニャンでも付けされられたら普通に恥ずか死ぬ……   (2024/10/19 12:48:02)

星 ◆> （ほ……。）   (2024/10/19 12:48:06)

エロガキ♂13M ◆> そのキャラの性格にもよるかぁ、そっかぁ   (2024/10/19 12:48:28)

星 ◆> あと、そうだ。女の子がみんな負け目的に来てると思ったら大間違いだからね！（どこかを指さした、）   (2024/10/19 12:48:30)

栞葉るり> そこからお尻ほられます   (2024/10/19 12:48:33)

パッションリップ> まあ被虐体質の毒舌でネチネチ言葉攻めするとかはパッションリップのキャラ的に合ってはいるんですが、楽しいかと言われると別に……   (2024/10/19 12:48:37)

エロガキ♂19b ◆> それいいな...今度だれかにやらせるか   (2024/10/19 12:48:42)

星 ◆> やられた側でしょ。   (2024/10/19 12:48:54)

エロガキ♂16r> リップほど露骨じゃないし他のサクラファイブに対する風評被害では？   (2024/10/19 12:48:56)

栞葉るり> ああ、良心が痛みますよね…ネチネチ言葉責めは   (2024/10/19 12:49:16)

エロガキ♂13M ◆> え、負けたがりが大半じゃなくて…？   (2024/10/19 12:49:22)

パッションリップ> 格好だけで言ってもメルトとかかなり露骨です～！！   (2024/10/19 12:49:43)

星 ◆> 少なくとも私（のところの子達）は勝ちたい……勝ちに行ってるよ。   (2024/10/19 12:49:46)

エロガキ♂13M ◆> あ、そうなんだぁ。まだ戦ったことないからわからんかった。   (2024/10/19 12:50:06)

星 ◆> いやでも大半はそうなのかな……そうなのかも。   (2024/10/19 12:50:09)

エロガキ♂16r> 服のセンスないなぁ、とは思ってる。メルトリリス   (2024/10/19 12:50:23)

パッションリップ> そうかな…そうかも…   (2024/10/19 12:50:26)

エロガキ♂19b ◆> 雲璃の執念はヤバかったうん、、今度仕返ししよ...   (2024/10/19 12:50:31)

栞葉るり> 勝ちに行った上で負けて無様を晒したい。そういうことでしょう…？   (2024/10/19 12:50:37)

エロガキ♂13M ◆> あ！なるほど！納得！   (2024/10/19 12:50:53)

栞葉るり> それも性癖です   (2024/10/19 12:50:54)

パッションリップ> わざと負けるのは違うと言うのはわからないこともないです   (2024/10/19 12:50:59)

星 ◆> ん、んん……？まあ、負けるなら対等な勝負がいいけど……。   (2024/10/19 12:51:03)

星 ◆> 私は勝って罰を与える側も楽しいから……。   (2024/10/19 12:51:13)

エロガキ♂13M ◆> なるほど、M気質な人にゃぁ…   (2024/10/19 12:51:18)

エロガキ♂16r> 言葉責めは相手が楽しんでるなら良心全く痛まない()   (2024/10/19 12:51:35)

パッションリップ> エッチなことをしつつ罰って体裁を保つのにこだわるなら射精禁止とかですかねー   (2024/10/19 12:52:06)

栞葉るり> どっちも楽しめるのはある意味最高ですね！たいてい片方しか持ち合わせてないので…   (2024/10/19 12:52:07)

星 ◆> servantとmasterとはよく言ったもの。   (2024/10/19 12:52:07)

星 ◆> そうだね……だからこの部屋に居着いたんだろうし……。（他人事、）   (2024/10/19 12:52:44)

栞葉るり> (禁止と言いつつ最後には無理矢理出されるのが萌えと見た顔)   (2024/10/19 12:52:45)

エロガキ♂13M ◆> 罰が決まらなくてメッチャ困ってるなら、ガキ側がアプローチかけて流れで主導権もらうとかになるのかなぁ   (2024/10/19 12:53:07)

パッションリップ> まさかの逆転！？…き、嫌いではないです！   (2024/10/19 12:53:31)

栞葉るり> (したりがお)   (2024/10/19 12:53:44)

星 ◆> 射精禁止はねぇ……。   (2024/10/19 12:54:02)

エロガキ♂13M ◆> ボクは受けでも攻めでも楽しめるからどっちでもいいけどね♫攻め下手な子も可愛いと思うし♪   (2024/10/19 12:54:04)

星 ◆> 何故か今のところ射精禁止を守ってくれた子がいないからね……。（堪え性のない……って顔。）   (2024/10/19 12:54:29)

エロガキ♂19b ◆> (あ、、負けてる)   (2024/10/19 12:54:29)

パッションリップ> 「何故か」ですねぇ…   (2024/10/19 12:54:57)

栞葉るり> 攻めヘタというか、どうやって攻めたらいいのか分からないのが多い…？ですねぇ。他のお友達と話した感じですが   (2024/10/19 12:55:26)

星 ◆> （罰だって言うのに射精したいタイミングでびゅーびゅーイキ散らしやがって……の顔、）   (2024/10/19 12:55:32)

栞葉るり> (ゴムさせるしかない…)   (2024/10/19 12:55:57)

エロガキ♂13M ◆> まぁ、実際そういう問題だから今の会議？をしてるんだもんねぇ   (2024/10/19 12:56:00)

パッションリップ> (ゴムエッチはゴムエッチで好きって子もわりといそう)   (2024/10/19 12:56:32)

エロガキ♂19b ◆> ゴム着けてるのみたことないな..   (2024/10/19 12:56:46)

栞葉るり> (けっこうすき)   (2024/10/19 12:56:46)

エロガキ♂13M ◆> ゴムはたっぷり出したのを女体の上に放置するのが好きぃ〜   (2024/10/19 12:57:20)

