/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月30日 06時45分 ～ 2024年10月30日 20時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂11Tさんが入室しました♪  (2024/10/30 06:45:09)
シャーロット・レイス ◆> まあ、この時間にいるのは珍しいわね。…時間があるなら、勝負しても良いのだけど…   (2024/10/30 08:00:36)

エロガキ♂14C ◆> まだ誘いかけてるだけで決まりじゃないよ、おはよう13UCくん。   (2024/10/30 08:00:44)

エロガキ♂14C ◆> ……今決まったね（にっこり）それじゃ早く縄解いてよー   (2024/10/30 08:01:18)

エロガキ♂13UC> 邪魔になりそうなら下がっとくけど、支援欲しいなら付き合ってもいいけど？   (2024/10/30 08:01:24)

エロガキ♂14C ◆> 13UCくんがしたいようにしていいよ？シャーロットおねーさんは複数歓迎っぽいし（くすくす）   (2024/10/30 08:02:07)

エロガキ♂13UC> と、そういえば（朝だからテンション低めでわすれてた。シャーロットお姉ちゃんのお尻ぱちーん！　いまさら）   (2024/10/30 08:02:32)

シャーロット・レイス ◆> そうね。じゃあこの辺で落ちるわね。縄ね。ちょっと(いきなりお尻はたかれては魔力制御を間違えて縄に火の魔法を)   (2024/10/30 08:03:38)

シャーロット・レイス ◆> 夕方当たりなら勝負してもいいけど   (2024/10/30 08:04:26)

エロガキ♂14C ◆> あっつ！ちょ、熱い熱い！（燃えた縄から解かれて転がって鎮火）   (2024/10/30 08:04:59)

エロガキ♂14C ◆> 夕方？タイミング次第だけど、来れたら遊ぶ！   (2024/10/30 08:05:23)

エロガキ♂13UC> 夕方か～来られるかな。その時に来られそうなら、来てみるよ。（よし、とりあえずノルマたあ製）   (2024/10/30 08:05:28)

エロガキ♂13UC> （ノルマ達成！）   (2024/10/30 08:05:35)

エロガキ♂14C ◆> （13UCくん閻魔帳に名前入れとこ）   (2024/10/30 08:06:01)

シャーロット・レイス ◆> 2人がかりでも負けないわよ。   (2024/10/30 08:06:32)

エロガキ♂13UC> ……？（〇゛ャポニカ？）   (2024/10/30 08:06:49)

エロガキ♂13UC> 二人掛かりでも負かしたら、オチンポ様に逆らってごめんなさい。とか言わせてもいい？   (2024/10/30 08:07:27)

エロガキ♂14C ◆> それフラグじゃないかなあ…   (2024/10/30 08:08:05)

シャーロット・レイス ◆> ユニコーーーーーン君とはよく勝負してるからね。勝てたらね。負けたら、どうなるかわかってるわよね。(目を逸らして)   (2024/10/30 08:08:47)

エロガキ♂13UC> ってか、その呼び方まだ伸びるの？（ちょっと朝は弱いから、いつもよりテンション低いけど、うへ～って顔して）   (2024/10/30 08:09:32)

エロガキ♂14C ◆> とりあえず縄解いてもらったし、理不尽に火傷させられたから詫びとしてシャーロットおねーさんから体温奪っとこ。（ぴとりとくっつきつつ一息）   (2024/10/30 08:10:50)

エロガキ♂13UC> さてと、シャーロットお姉ちゃんが珍しく見えて立ち寄ったけど、そろそろがっこ行かなきゃ……   (2024/10/30 08:11:21)

シャーロット・レイス ◆> そろそろ落ちんるわね。(充電忘れて…そろそろ物理的に落ちそうだから…)   (2024/10/30 08:11:31)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/10/30 08:11:56)

エロガキ♂13UC> んーっ！（ぐっと背伸びして）夕方、来られたら来るからね。（よっしゃ、少し元気でた、いってきまーう！）   (2024/10/30 08:11:58)

エロガキ♂14C ◆> 皆落ちるみたいだし流れで解散かなー。2人ともおつかれさまー。   (2024/10/30 08:11:58)

エロガキ♂13UC> って、締まらない最後だな（いってきまーす！だ）   (2024/10/30 08:12:10)

おしらせ> エロガキ♂13UCさんが退室しました。  (2024/10/30 08:12:16)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/30 08:12:22)

おしらせ> フリーナさんが入室しました♪  (2024/10/30 12:32:47)

フリーナ> こんにちは！！とはいっても、いま起きたんだけどね...僕の朝は遅いのだ！   (2024/10/30 12:34:03)

おしらせ> エロガキ♂19H ◆JytRTqQm8kさんが入室しました♪  (2024/10/30 12:37:28)

エロガキ♂19H ◆> こんにちは。失礼しますね（いつものように入室。手には紙袋……弁当のようだ）   (2024/10/30 12:38:58)

フリーナ> やあ！こんにちは。僕がいうのもなんだが、こんなお昼に来るなんて君は特に用事とかはないのかい？   (2024/10/30 12:40:27)

エロガキ♂19H ◆> これはフリーナさん、こんにちは。正直ないですね。この先は講義も空いていますし、仕事も突発系なので（お弁当の蓋を開ける。白2割茶色5割その他3割。典型的な男飯（？）である）   (2024/10/30 12:42:24)

フリーナ> ふむ、、それなら仕方ないね！！(いつものようにプクプクシュークリームを頬張り)お昼時だからね、僕には構わず弁当を食べたまえ！   (2024/10/30 12:44:23)

エロガキ♂19H ◆> では失礼して……いただきます（割り箸割って）常に甘いものを展開する私もアレですが、フリーナさんいつもシュークリーム食べてますよね……（唐揚げ食べながら）   (2024/10/30 12:45:51)

フリーナ> ここで食べるのは簡単なものと決めているからね！！少し食べることに集中させてもらうよ！(大量のシュークリームにケーキをだして)   (2024/10/30 12:47:00)

エロガキ♂19H ◆> 簡単なものというか甘いものというか……（苦笑しながら白米頬張って）その量でカロリーゼロってすごいですよね……昨日は敗北を味わいました   (2024/10/30 12:50:04)

フリーナ> 僕は体型に気を遣っているからね！スターでいるにはこういうこともしないといけないんだよ！   (2024/10/30 12:53:16)

エロガキ♂19H ◆> それを言ったら魔術魔法の類が使えないとスターになれないんですがそれは（白目）本当にどうなってるんですかそれ……（ジャーマンポテトうまうま）   (2024/10/30 12:58:26)

フリーナ> 君はなにか勘違いをしていないかい？僕はただのスターではないよ？フォンテーヌの民達を魅了し、すべての民をファンに持つ大スター！だからね   (2024/10/30 13:00:53)

エロガキ♂19H ◆> む、確かに国級のスターならそう……なのか？（混乱）まあ貴方がそういうならそういうことなんでしょう（無理やり納得しながら手を合わせて）ごちそうさまでした   (2024/10/30 13:03:58)

フリーナ> だが、、確かに君のいいたいことは理解できる。自分でいうのもなんだが僕の食生活はあまりよくはない...基本的にパスタとお菓子しか食べてないからね！クロリンデやナヴィアと遊ぶときもナヴィアが作ってくれるマカロンを食べているしね！それでも僕がこの体型を維持できるのはやはりこの僕が大スターであるからだろうね！
  (2024/10/30 13:07:11)

エロガキ♂19H
◆> あ、自覚してたんですね（辛辣）本当にその食生活でその体型……というか健康を保てる時点でだいぶすごいですよねぇ……なるほど食べ物というか本人の体質の問題でしたか。さすが大スターですね……！（自分にそういうものと言い聞かせて納得させた）というか他のものも食べません？飽きませんかパスタとお菓子だけって
  (2024/10/30 13:10:38)

フリーナ> パスタはすごく偉大で長く食べれるんだよ！何種類かソースを用意して最初の一週間はトマトソースで食べる！次の周はミートソースで！さらにその次はって感じでいろんな味を楽しめるんだよ   (2024/10/30 13:13:53)

エロガキ♂19H ◆> 一週間まるまる同じ味で食べ続けられるのは一種の才能ですね……（戦慄）私には難易度があまりにも高い……！や、できなくはないですけどね？気は進みません……   (2024/10/30 13:16:14)

フリーナ> そうかい？まぁ、君とは生きてきた時間が大分違うから、、感じることに差があるのかも知れないね   (2024/10/30 13:18:16)

エロガキ♂19H ◆> なるほど、そう言われてみれば納得できますね。（あぁなるほど、と今度は無理なく納得）時にフリーナさん、以前お渡ししたマカロンはお召し上がりになりましたか？   (2024/10/30 13:20:32)

フリーナ> マカロン？ああ...僕が酔ってしまったときのやつだね...ナヴィアに全部持っていかれてしまったよ   (2024/10/30 13:22:02)

エロガキ♂19H ◆> そうですね。えぇ……食べられちゃったんですか……仕方ない、今度またお渡ししますね（むむむ……と）   (2024/10/30 13:25:44)

フリーナ> それはいい心がけだね！しかし僕に対してちゃんと敬意を示してくれるのは君ぐらいだな...   (2024/10/30 13:27:09)

エロガキ♂19H ◆> どうせだったらお渡しした方に食べてもらいたいので……一種の意地ですね。そう言っていただけるとありがたいです（よく堅物だのなんだの言われてるので……頬を掻いて）そうですかね？   (2024/10/30 13:28:48)

フリーナ> ああ！！他の皆はなにかとつけていろいろいってくるからね！ふむ...僕もなにか考えないといけないな、、おっと！そろそろ僕は失礼するよ！いまから行くところがあるからね！！また会えるといいね！   (2024/10/30 13:31:28)

おしらせ> フリーナさんが退室しました。  (2024/10/30 13:31:31)

エロガキ♂19H ◆> はい、お疲れ様でした。いってらっしゃいませ。またお会いできることを願っています   (2024/10/30 13:33:23)

エロガキ♂19H ◆> とりあえず出ますか。適当にぶらついてきましょう   (2024/10/30 13:50:39)

おしらせ> エロガキ♂19H ◆JytRTqQm8kさんが退室しました。  (2024/10/30 13:50:41)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが入室しました♪  (2024/10/30 17:07:46)

シャーロット・レイス ◆> この時間に来ますかね。   (2024/10/30 17:08:00)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/30 17:16:44)

エロガキ♂14C ◆> こんばんはっ、ごめん一言だけ！18:00から急遽予定入っちゃったから僕はお付き合い出来そーにない、ごめんね！   (2024/10/30 17:17:24)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/30 17:17:34)

シャーロット・レイス ◆> まあそれは仕方ないですから。また遊んであげるからね。   (2024/10/30 17:19:25)

シャーロット・レイス ◆> この時間は直で行ったほうがいいのかな   (2024/10/30 17:26:52)

おしらせ> エロガキ♂13UCさんが入室しました♪  (2024/10/30 17:28:48)

エロガキ♂13UC> こんばん～～は～（っと、シャーロットお姉ちゃんのお尻ぱちーん！）   (2024/10/30 17:29:33)

シャーロット・レイス ◆> ユニコーン君いきなりだめと言ってるのに(お尻叩かれては睨み付けて)   (2024/10/30 17:30:38)

エロガキ♂13UC> そういうのを聞かないから、悪ガキっていうんでしょ？ってか、直で行くって何かしらの？（相変わらずいい尻してんよね～なんて）   (2024/10/30 17:31:29)

シャーロット・レイス ◆> 勝負部屋にここに来ずに直接行くべきかな。するなら…   (2024/10/30 17:32:46)

エロガキ♂13UC> あぁ、そういうことか。どうする？勝負部屋いく？すぐ始めるならオレは多目的でも個室でもどこでもいいけど？   (2024/10/30 17:33:20)

エロガキ♂13UC> 14Cは……こられなくなったみたいだけど、人数増えるの狙って勝負部屋って方がお姉ちゃん好み？   (2024/10/30 17:33:49)

シャーロット・レイス ◆> 負かしてあげるからね。相手は来てくれればいいかなくらいだから。   (2024/10/30 17:34:39)

エロガキ♂13UC> 相変わらず勇ましいよね～♪そういうところも含めて、俺はお姉ちゃん好きだけど。どうせならもう一回くらいお尻叩いて怒らせた方が面白いかな？（なんてね～   (2024/10/30 17:35:46)

シャーロット・レイス ◆> まあ、やることは変わらないからね。ユニコーーーン君消し炭にするわよ。限度超えると   (2024/10/30 17:38:14)

エロガキ♂13UC> と、それで勝負部屋でいい？勝負前提だし多目的はないよね。　個室でタイマンでもいいけど   (2024/10/30 17:38:46)

シャーロット・レイス ◆> そうね。勝負部屋でいいわね   (2024/10/30 17:40:40)

エロガキ♂13UC> それじゃ移動しよっか♪   (2024/10/30 17:41:03)

おしらせ> エロガキ♂13UCさんが退室しました。  (2024/10/30 17:41:17)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/10/30 17:41:23)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/30 19:09:17)

エロガキ♂18D ◆> こんばんは～、お邪魔いたします。とりあえずゆっくり……   (2024/10/30 19:10:04)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/10/30 19:10:29)

エロガキ♂18D ◆> まさかこんなに早く……こんばんは。(これは、どっちだ……？)   (2024/10/30 19:11:11)

エロガキ♂17L ◆> こんばんは〜(ギーツⅨに変身したまま扉から入ってきてはバックル外し変身解除)   (2024/10/30 19:11:40)

エロガキ♂18D ◆> (創生の力宿してきたぁ………………)   (2024/10/30 19:12:06)

エロガキ♂17L ◆> (※そんな力持ってません)   (2024/10/30 19:12:50)

エロガキ♂18D ◆> (そのフォームは創生の力宿してたはずでは……？)   (2024/10/30 19:14:16)

エロガキ♂17L ◆> (あれは……あれどっちだっけ？)   (2024/10/30 19:14:36)

エロガキ♂18D ◆> (Ⅲが破壊だけ、Ⅸが創生もだったかと)   (2024/10/30 19:15:30)

エロガキ♂17L ◆> (持ってるわ、調べてきた)   (2024/10/30 19:16:02)

エロガキ♂18D ◆> (合ってた、良かった)   (2024/10/30 19:16:28)

エロガキ♂17L ◆> (じゃあ、創生の神として変身しっぱなしにするかな)   (2024/10/30 19:18:05)

エロガキ♂18D ◆> (どうやって説明しようかなぁ分からない人に対して)   (2024/10/30 19:18:42)

エロガキ♂17L ◆> (あ〜、それがネックか……変身解除しとく？)   (2024/10/30 19:19:35)

エロガキ♂18D ◆> (それはお好きになさった方がいいかと……招き猫ならぬ招き狐的な……)   (2024/10/30 19:20:13)

エロガキ♂17L ◆> (神様ライダーならまだもうひとつ残ってるし、解除しとくわ必要な時に変身する)   (2024/10/30 19:21:01)

エロガキ♂18D ◆> (あると思ってました、正直)   (2024/10/30 19:21:28)

エロガキ♂17L ◆> (火星人、創生の神、ヘルヘイムの神、etcなれるって考えると割とエグイけどな)   (2024/10/30 19:22:37)

エロガキ♂18D ◆> (マジで体内にトリックスター(ディケイドライバーの中に組み込まれてるヤーツ)でも移植したんじゃないかね……某敵の体液分泌臓器移植された仮面ライダーみたいに(誰が分かるんだこのネタ))   (2024/10/30 19:24:16)

エロガキ♂17L ◆> (え、自分の知識と技術力だけで問題クリアしてる人←)   (2024/10/30 19:25:12)

エロガキ♂18D ◆> (某敵組織渡り歩いてたりしてます？)   (2024/10/30 19:25:55)

エロガキ♂17L ◆> (あるかもね〜？(不敵な笑み))   (2024/10/30 19:26:46)

エロガキ♂18D ◆> (そんな気がしてきましたわ、まぁ渡り歩いててもあぁ、でしょうねで納得すると思う)   (2024/10/30 19:27:34)

エロガキ♂17L ◆> (まぁね、こんだけ色んなもん見せてたらね？)   (2024/10/30 19:28:13)

エロガキ♂18D ◆> (なまじ全部分かるから……)   (2024/10/30 19:29:13)

エロガキ♂17L ◆> (まぁ、場がカオスにもなるんよな〜)   (2024/10/30 19:29:35)

エロガキ♂18D ◆> (正直そろそろ堂主に咎められるか、もしくは全員周回遅れにしそうな気がする、てか多分してると思うんです)   (2024/10/30 19:30:23)

エロガキ♂17L ◆> (間違いなく周回遅れにはしてる、なんなら3周回遅れ位で……堂主はどうなんだろう、一応前に俺と18Dで盛り上がってるの見てるって言ってたけどそろそろやり過ぎかな？)   (2024/10/30 19:32:07)

エロガキ♂18D ◆> (3周回遅れは完全にキルの領域なんですよね…… マジすか、見てるんですね……まぁ、今回みたいに二人きりならいいかもしれませんが…)   (2024/10/30 19:34:03)

エロガキ♂17L ◆> (まぁ、何人か俺のネタ全開無茶ぶりに慣れてる人居るみたいだし、最悪こっちからネタ抑えれば良いしな)   (2024/10/30 19:35:24)

おしらせ> 星川サラさんが入室しました♪  (2024/10/30 19:36:05)

星川サラ> 自覚、あるん、かいっ！（思わずツッコミに来ちゃった）   (2024/10/30 19:36:23)

エロガキ♂18D ◆> (適応力って凄いんですねぇ……)   (2024/10/30 19:36:25)

エロガキ♂17L ◆> (ツッコミに星川来たよw)   (2024/10/30 19:36:45)

星川サラ> んまあ星川普段ここ使ってないけどw   (2024/10/30 19:36:55)

エロガキ♂18D ◆> おっと、初めまして、ですかね？こんばんは、よろしくお願いいたします……(この中に飛び込むとか命知らず過ぎません？)   (2024/10/30 19:37:01)

エロガキ♂17L ◆> こんばんは〜   (2024/10/30 19:37:05)

星川サラ> こんばんはー！   (2024/10/30 19:37:18)

エロガキ♂17L ◆> そういえば、遊戯王の方大丈夫なのか？(確か今回は幻影騎士団だったと記憶)   (2024/10/30 19:38:03)

星川サラ> しょーじき17Lの…多分仮面ライダー？の話してる時めっちゃ入りづらいw   (2024/10/30 19:38:29)

星川サラ> いやまあ星川普段来てないけど（2回目）   (2024/10/30 19:38:43)

エロガキ♂18D ◆> (ですよね～～～……)   (2024/10/30 19:39:06)

エロガキ♂17L ◆> あ〜、うん……ごめん(うん、抑えよう、そうしよう)   (2024/10/30 19:39:06)

星川サラ> まあまあまあオタク君はね？語るのが習性みたいなとこあるけどw   (2024/10/30 19:39:47)

エロガキ♂18D ◆> (リミッターを付けるか、別でやりましょうかぁ……)   (2024/10/30 19:40:14)

エロガキ♂17L ◆> (あ〜、そういえばこの人の周りオタク君多かったわ……そういや……)   (2024/10/30 19:40:31)

エロガキ♂17L ◆> (だね〜)   (2024/10/30 19:40:40)

エロガキ♂18D ◆> (……理解しました、まぁ見下してそう……な感じ)   (2024/10/30 19:41:13)

星川サラ> たっ…大切なリスナーだし？オタク君好き好きちゅっちゅ♡   (2024/10/30 19:41:55)

エロガキ♂17L ◆> はいはい、ツンデレおつ   (2024/10/30 19:42:17)

星川サラ> まあ星川が言うことじゃないかもしれんけどちょっとやりすぎかなー？とは？   (2024/10/30 19:42:59)

エロガキ♂18D ◆> ……図星、ですね。まぁそうですね、そろそろリミッターを付けるべきか、とも思っておりましたので……このままだと本当に止まらないよな、とも……   (2024/10/30 19:43:50)

星川サラ> （今に限っては星川が空気悪くしてるのは自覚してるからごめん…！）   (2024/10/30 19:44:08)

エロガキ♂17L ◆> (いや、正直止めどころ無くしてたから、むしろ助かった)   (2024/10/30 19:44:37)

エロガキ♂18D ◆> (いえいえ、元は自分がネタを加速させてたのが悪いですから……申し訳ございません)   (2024/10/30 19:44:53)

星川サラ> あ、そう？やっぱ星川なんだよなぁw   (2024/10/30 19:45:05)

星川サラ> まあそんだけなんで！星川は見る専に戻りまーーす！   (2024/10/30 19:46:12)

エロガキ♂17L ◆> あい〜、お疲れ様〜   (2024/10/30 19:46:21)

星川サラ> あと最後に、太さ15はヤバいってw   (2024/10/30 19:46:44)

おしらせ> 星川サラさんが退室しました。  (2024/10/30 19:46:50)

エロガキ♂18D ◆> せめて別の人に注意された方が良かったかもですねぇ、これは……   (2024/10/30 19:47:06)

エロガキ♂17L ◆> そこ突っ込むとこか？   (2024/10/30 19:47:27)

エロガキ♂17L ◆> そうかもな   (2024/10/30 19:47:52)

エロガキ♂18D ◆> まぁ、そこは……言われることをした自分が悪いのは事実なので……   (2024/10/30 19:48:13)

エロガキ♂17L ◆> まぁ、ついついテンション上がってやり過ぎた俺も俺だからお互い様ってことで   (2024/10/30 19:49:19)

エロガキ♂17L ◆> ちょい離席   (2024/10/30 19:49:28)

エロガキ♂18D ◆> かしこまりました。   (2024/10/30 19:49:45)

エロガキ♂17L ◆> 戻った   (2024/10/30 19:53:02)

エロガキ♂18D ◆> お帰りなさいませ。   (2024/10/30 19:54:46)

エロガキ♂17L ◆> そういえば、今日部屋の稼働率低めっぽい？   (2024/10/30 19:55:41)

エロガキ♂17L ◆> まだログ追いきれてないからあれだけど本部屋の方の稼働率低い気がしてか   (2024/10/30 19:56:38)

エロガキ♂18D ◆> 朝が活発だった記憶がありますが……本部屋はさっき、動いていたかと……   (2024/10/30 19:57:16)

エロガキ♂17L ◆> あ〜、てことはこの後の時間帯からまた活発になる頃合いかな   (2024/10/30 19:57:44)

エロガキ♂18D ◆> どうでしょう……自分は多分入るかどうか不明ですけども   (2024/10/30 19:58:18)

エロガキ♂17L ◆> まぁね、俺も入るか不明だし   (2024/10/30 19:58:56)

エロガキ♂18D ◆> いたらいいね、みたいな感じで入れたら、でしょうか。サイコロでも、この部屋でも、ですけども   (2024/10/30 20:00:32)

エロガキ♂18D ◆> 昨日は吃驚するくらい活発だったんですけどね   (2024/10/30 20:00:53)

エロガキ♂17L ◆> それもそうだね、それは思ったわ   (2024/10/30 20:01:27)

エロガキ♂18D ◆> 色んな人が来ましたし、色んな話しましたからねぇ……   (2024/10/30 20:02:27)

エロガキ♂17L ◆> ま、本部屋はいつものスタンスで行くとして、そろそろ別の方から声かかりそうだから一旦抜けるわ   (2024/10/30 20:05:22)

エロガキ♂18D ◆> かしこまりました、行ってらっしゃいませ。此方も抜けましょうか。あのネタだらけの会話、押し流したかったですけど……   (2024/10/30 20:06:18)

エロガキ♂17L ◆> そうだね〜、まぁ後でログ流しついでに話に来ると思うけどね、んじゃお疲れ様〜(アクセル変身バイク変形して走り去っていく人でした)   (2024/10/30 20:08:01)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/30 20:08:03)

エロガキ♂18D ◆> (言ったそばからネタに走ってるよ……物理的に走ってもいるんだけどさぁ……)   (2024/10/30 20:10:19)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/30 20:10:28)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/30 20:23:54)

星 ◆> 最近このくらいの時間に来てなかった気がする……。（そうでもない？昨日会った人にも暫く話してないなぁと思ったりするこの頃、）   (2024/10/30 20:24:33)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/30 20:25:34)

栞葉るり> 週末が近づくとこの部屋、静かになりがちですからね…。まぁ当然と言えば当然なんですが。体力余ってないとなかなか人はあつまりませんし   (2024/10/30 20:26:57)

星 ◆> あ、るりだ。（へーい、お疲れハイタッチの手。）体力に余裕がなくなると来られなくなるのは仕方ないね……。   (2024/10/30 20:27:52)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/30 20:28:35)

エロガキ♂18D ◆> (ぬるっと入ってきて隅っこ……定位置に座り込み)   (2024/10/30 20:29:02)

栞葉るり> はい、こんばんは♪(ぺたぺた、にぎにぎ)あと、最近この辺巡回してて思ったんですけど、版権♀の駆け込み部屋になっているような側面もありそうだな〜、と。閑散としたところで待機するくらいならエロガキをルール的に縛れるこの部屋なら手出しされませんし、安全なんですよね、たぶん
  (2024/10/30 20:29:53)

栞葉るり> (なんかぬるっとしてる…ヌルガキ)   (2024/10/30 20:30:11)

星 ◆> （nullガキ……？）   (2024/10/30 20:30:31)

エロガキ♂18D ◆> nullガキと言われるとは思わなかったです……こんばんは。(nullらしく空気になりましょうかねぇ)   (2024/10/30 20:31:00)

星 ◆> 安全が確保されない界隈怖すぎるでしょ……一応どこもルールはあるかｒルールは破るためにある！（発作、）   (2024/10/30 20:31:50)

栞葉るり> (まぁ確かに、エロガキは中身のないモブなので言い得て妙ではありますが。エロガキの見本のような存在ですね、nullガキ)   (2024/10/30 20:32:03)

星 ◆> こんばんは、さっき叱られてたね。（挨拶できたので許してやろう、バットしまい。）   (2024/10/30 20:32:24)

栞葉るり> 実際、そうじゃないですか？版権部屋なんてナンパ会場ですし、基本。そしてそこに貼り付く♂によって構成されてます(栞葉しらべ)   (2024/10/30 20:33:14)

エロガキ♂18D ◆> (まぁ有象無象の一種ではありますから。なにも否定しませんよ。)……まぁ、そろそろブレーキは欲しかったところではありますから。   (2024/10/30 20:33:16)

星 ◆> （るりは私の知らないことをいっぱい知っているなぁ、の顔。）私なんて最近までるりの言うナンパの意味も分からなかったよ……。   (2024/10/30 20:34:18)

おしらせ> エロガキ♂19H ◆JytRTqQm8kさんが入室しました♪  (2024/10/30 20:34:31)

栞葉るり> 思い出してくださいね。エロガキは誰かを振り回したり、自我を持たずに無味無臭の竿役であるということを…   (2024/10/30 20:34:47)

エロガキ♂19H ◆> こんばんは、いつまでいられるかわかりませんが失礼します   (2024/10/30 20:34:53)

エロガキ♂18D ◆> おや、こんばんは。お疲れ様でございます。   (2024/10/30 20:34:54)

栞葉るり> いらっしゃいませー   (2024/10/30 20:35:04)

栞葉るり> 一歳でナンパのこと覚えてたらそれはそれで怖いんですけども……   (2024/10/30 20:35:32)

エロガキ♂18D ◆> それは自覚しております。いずれしゅっと消えてしまうものですから……   (2024/10/30 20:35:33)

星 ◆> まあ、元気出して。スラーダ箱で注文しておいてあげるから。（スマホすいすい、その内この部屋に届くのでしょう。）   (2024/10/30 20:35:53)

星 ◆> 19Hはこんばんは、最近よく見るね。   (2024/10/30 20:36:18)

栞葉るり> 元気出るというより現実逃避できそうな品物じゃないですか…   (2024/10/30 20:36:23)

エロガキ♂19H ◆> なかなかに辛辣。本来私達ってそうあるべきものなのは事実なんでしょうが（無味無臭の竿役……ですか……と黄昏る）   (2024/10/30 20:36:31)

星 ◆> なんか気に入ったみたいだから……。   (2024/10/30 20:36:42)

エロガキ♂18D ◆> いや、凹んでいるわけでは無いんですよ！？そして箱！？箱で注文するって言いました！？(何日持つかなぁ)   (2024/10/30 20:36:44)

エロガキ♂18D ◆> (4日持てばいいなぁ)   (2024/10/30 20:37:00)

栞葉るり> (4日後にまたヘラるんですか…？)   (2024/10/30 20:37:14)

星 ◆> 一日一本にしなさい、体に悪いわよ。（姫子……もとい、知り合い口調物真似、）   (2024/10/30 20:37:30)

エロガキ♂19H ◆> はい。ちょっと時間ができた時に人がいるとつい。仕事の電話が入らない限り基本的に暇人なので。その代わり頻繁に来る時と来ない時の差が激しいんですね＞星   (2024/10/30 20:37:33)

エロガキ♂18D ◆> (……まぁ冷静に考えれば、こんな部屋にエロガキが入るのも本来お門違いなのかもしれませんが)   (2024/10/30 20:37:36)

星 ◆> るり、るり、さっきから言葉の棘が鋭い。（居た堪れない……、）   (2024/10/30 20:38:11)

エロガキ♂18D ◆> 4日後にヘラるわけじゃないんですよ！？(そういや4日後って何曜日だったか……)   (2024/10/30 20:38:19)

栞葉るり> 辛辣というか、そうあるべきなんですよ、本当は。背後に人がいるのは分かっていますが、自我を出して発言して…何か起きてしまったらその数字のガワを脱ぎ捨てて変われる時点で、まぁ都合がいいと言いますか   (2024/10/30 20:38:58)

エロガキ♂18D ◆> (日曜でしたね、普通に走る日でしたわ)   (2024/10/30 20:39:08)

栞葉るり> …ふー。そうですね、もう少し柔らかくしましょうか   (2024/10/30 20:39:44)

星 ◆> いいんじゃない？ここが賑わうのはきっと胡桃も喜ぶしね。（コンゴトモヨロシク……、ってなんか低い声で言った。）＞19H   (2024/10/30 20:40:14)

エロガキ♂19H ◆> 何か反論しようとしましたけど何も反論できませんね……無味無臭……（黄昏）   (2024/10/30 20:40:47)

星 ◆> （るりの前足にもこもこの手袋付けてあげよう。犬の爪で床とか傷つけないようにするやつ、）   (2024/10/30 20:41:09)

エロガキ♂18D ◆> えぇ、確かにその通りでございますね……まぁ気を付けている～だの、何もしない～だの、言葉だけでは何も信頼すべきではありませんから……だからこそ、エロガキとか有象無象のモブを許可しない、何なら男性すら拒否している部屋も大量にあるわけですし…
……本来なら、この部屋も女性のみ、キャラのみでやった方が、より楽しめるとは思っていると心でそう思ってますとも。   (2024/10/30 20:41:29)

栞葉るり> 版権♀はやらかすとゲーム部屋での扱いが表面上に出やすいので…？   (2024/10/30 20:41:46)

エロガキ♂19H ◆> ははは、ありがとうございます。おやつ持参で少しでも空気が柔らかくなるように心がけてまいりますとも（苦笑しながら）＞星   (2024/10/30 20:42:15)

エロガキ♂18D ◆> 正直自我を出しすぎていたなとは自覚していた所ですから……今回の一件も含め。   (2024/10/30 20:42:41)

星 ◆> 18Dもそんなに気にしなくていいから……。るりの言う通り、版権は大事にするべきではあるけどかと言って版権だけじゃゲームは成立しない、あんた達も必要だよ。   (2024/10/30 20:43:29)

