/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年07月31日 21時07分 ～ 2025年08月09日 23時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

夜見れな> 拡散しないよ ~ ? あたしだけが見るの ~ ‼︎ （ふす、）   (7/31 21:07:44)
尾丸ポルカ> なんか昨夜のデジャビュ見てるみたいな気分だ。ん、ちゃんと見てきたんだな、えらいえらい。   (8/2 22:26:26)

エロガキ♂14A> ありがとうございます   (8/2 22:27:22)

エロガキ♂14A> ポルカさんは昨日もいたんですか？   (8/2 22:27:49)

尾丸ポルカ> ん。そうだよ。暇な時にちょこちょこ来てる感じでさ。   (8/2 22:28:07)

エロガキ♂14A> 僕は初めて来たんですよ   (8/2 22:28:55)

エロガキ♂14A> ポルカさんがいてラッキーでした   (8/2 22:29:11)

尾丸ポルカ> それは何より。って言ったってポルカも何か特別話題を用意してるわけでもないんだけどさ。   (8/2 22:30:45)

エロガキ♂14A> 僕も話題があるわけじゃないですよw   (8/2 22:32:01)

尾丸ポルカ> お、おう。そう返されちまうといよいよ話せる事がないんだけどな？うーん、まあ時期的には夏休みな訳なんだけどさ、どっか旅行とか行くのかい？   (8/2 22:33:06)

エロガキ♂14A> 温泉に行く予定があります   (8/2 22:33:41)

エロガキ♂14A> ポルカさんはどこか行きますか？   (8/2 22:33:53)

尾丸ポルカ> おー、いいじゃん温泉。ポルカは生憎今の所はないよ。温泉は行きたいなーとは思うんだけどさ、なかなかタイミングがねー。   (8/2 22:34:19)

エロガキ♂14A> 配信で忙しそうですもんね   (8/2 22:34:47)

尾丸ポルカ> それもある。けど、やっぱこの時期になると何処もかしこも人いっぱいじゃん？あんまり人のいないタイミングで行きたいんだよ、ポルカは。   (8/2 22:35:46)

エロガキ♂14A> あーわかります   (8/2 22:36:09)

エロガキ♂14A> 静かなほうがよく休めますもんね   (8/2 22:36:25)

尾丸ポルカ> 混んでるとそもそもゆっくり浸かれないってのもそうだけど、何よりあまり知らない人といるのって気まずいからさあ。   (8/2 22:37:12)

エロガキ♂14A> 確かにそうですね～   (8/2 22:37:45)

エロガキ♂14A> 後人が少ないと貸切みたいな感じで楽しいですよね   (8/2 22:38:06)

尾丸ポルカ> 楽しい、ってよりは落ち着くんだよな。あと、別に1人で行くなら会話とかはしないけど、仮にもしも誰かと一緒に行くような場合には気を付けないとなんだよな。   (8/2 22:39:07)

エロガキ♂14A> しらけんの企画でグランピング行ってたの楽しそうでしたね   (8/2 22:41:14)

尾丸ポルカ> ……はぁ。あんまり言いたくはないんだけどさあ。キミ、多窓してるだろ。   (8/2 22:42:14)

エロガキ♂14A> あ、すみません...   (8/2 22:43:47)

尾丸ポルカ> すみません、ねぇ。うん、謝れるのはいい事だ。けど、行動の伴わない謝罪は1番良くない。   (8/2 22:46:58)

エロガキ♂14A> はい...   (8/2 22:47:22)

おしらせ> エロガキ♂14Aさんが退室しました。  (8/2 22:48:38)

尾丸ポルカ> ……やれやれ。困ったもんだよホント。（ばたんきゅ）   (8/2 22:49:15)

尾丸ポルカ> どうしてもこういう経験してると、なかなか相手を見ずにっていうのは難しいところがあるなってポルカはいつも思うんだ。   (8/2 22:52:21)

尾丸ポルカ> さーて、どーしたものかな。空気がすっかり冷えちゃったしポルカもかなり萎え散らかしてるんだ。今夜はこれが潮時かな。おつぽるー。   (8/2 22:55:35)

おしらせ> 尾丸ポルカさんが退室しました。  (8/2 22:55:41)

おしらせ> エロガキ♂13Alさんが入室しました♪  (8/3 11:05:22)

エロガキ♂13Al> 日曜日だからって昼まで寝ない方がいいぞ！（自分に言っている   (8/3 11:05:59)

エロガキ♂13Al> 覗きやりつつ、今日やることを整理しておこう（双眼鏡）   (8/3 11:15:39)

エロガキ♂13Al> ……立ったまま話してるようにしか見えない！   (8/3 11:22:18)

おしらせ> 無言時間が25分を超えたため、エロガキ♂13Alさんが自動退室しました。  (8/3 11:47:35)

おしらせ> エロガキ♂14Sさんが入室しました♪  (8/3 22:18:39)

エロガキ♂14S> こんばんは～。今日も今日とて顔を出してみたけど・・・？   (8/3 22:19:09)

エロガキ♂14S> ん～・・・暇だし何か料理でもしてみるか。夜食にはスープ系がいいかな？いやでも暑いからスープは・・・いや冷製スープや納涼系にすればいいか。（キッチンへ向かう）   (8/3 22:34:51)

エロガキ♂14S> 今日は誰も来ないっぽいな。冷蔵庫に冷製トマトスープ入れてっと・・・かーえろ   (8/3 22:58:37)

おしらせ> エロガキ♂14Sさんが退室しました。  (8/3 22:58:42)

おしらせ> 尾丸ポルカさんが入室しました♪  (8/4 19:40:02)

尾丸ポルカ> うぃー、おつぽるー。つってもガキたちは夏休みなんだったな。ポルカたちはそもそも年中休みで年中無休だから関係ないけど。   (8/4 19:41:27)

尾丸ポルカ> けどあんまりガキがいねーように見えるのはやっぱアレか。皆お出掛けかね。うんうん、いい事だ。   (8/4 19:46:30)

尾丸ポルカ> ポルカはなー、暑くさえなかったらまたグランピングとか行きたい。あとはプール行きたい。泳ぐんじゃなくて、ホロメンの水着観賞したい（ポルおじ）   (8/4 19:50:07)

尾丸ポルカ> でもさー、明日もすごい暑いらしいしホント今は外に長時間いるべきじゃないんだなあってのがよく分かる。……来週末コミケだっけ、歴戦の猛者たちでもこの暑さはやべーんじゃねーの。   (8/4 19:54:43)

尾丸ポルカ> コミケはねー、昔はそれはもう行ったけどさ。今は暑いのもそうだけど外に頻繁に出なくなったから体力よりも暑さに負けそうで行く気になれないんだよ。身バレ？何処のちょこ先だよそれ。   (8/4 19:59:11)

尾丸ポルカ> ポルカはコミケに良くある時事ネタのコスプレ的なサムシングしてるの見るの大好きなんだよ。あれ良くそんなふうなの思いつくな、ってある意味刺激を受けるんだわ。   (8/4 20:02:47)

尾丸ポルカ> さーてと。この時間じゃあまり人もいねーみたいだし、ポルカは自分の所戻るとするか。おつぽるー。   (8/4 20:10:56)

おしらせ> 尾丸ポルカさんが退室しました。  (8/4 20:11:00)

おしらせ> エロガキ♂14Sさんが入室しました♪  (8/4 22:42:03)

エロガキ♂14S> こんばんは～。ちょっと時間遅いけど・・・   (8/4 22:42:18)

おしらせ> 無言時間が25分を超えたため、エロガキ♂14Sさんが自動退室しました。  (8/4 23:07:59)

おしらせ> エロガキ♂14Sさんが入室しました♪  (8/4 23:11:41)

エロガキ♂14S> 【ちょっとネットの調子が悪いな・・・あと10分だけ待機！】   (8/4 23:12:03)

エロガキ♂14S> 退出！   (8/4 23:22:07)

おしらせ> エロガキ♂14Sさんが退室しました。  (8/4 23:22:11)

おしらせ> 大神ミオさんが入室しました♪  (8/5 22:18:50)

大神ミオ> こんばんみぉーん！…いやぁ……特に何も話すことも無くなんとなーく履歴見たら残ってたから入ってみたんだけど   (8/5 22:19:55)

おしらせ> エロガキ♂14Sさんが入室しました♪  (8/5 22:20:04)

エロガキ♂14S> だれもいｎ・・・あ、ミオ姉ちゃんだ。こんばんは～。   (8/5 22:20:47)

大神ミオ> ありゃ…？うちが来た途端に来たね、張り込みでもされてるの？   (8/5 22:21:01)

大神ミオ> はーい、こんばんみぉーん   (8/5 22:21:19)

エロガキ♂14S> ん～？俺は最初から部屋に入る気でここにきただけだよ   (8/5 22:22:14)

エロガキ♂14S> 多分偶然だね。   (8/5 22:22:26)

大神ミオ> ほんとかな〜？うちが見た時ROMさんも居なかったんだけど…まぁいっか！   (8/5 22:22:35)

エロガキ♂14S> あ、ミオ姉ちゃん。こんなの作ってみたんだけどどう？（保冷バッグから出したのは透明な容器。その中に琥珀色のゼリーが）コーヒーのゼリーがあるなら、紅茶のゼリーがあってもいいと思って作ってみた！   (8/5 22:24:11)

大神ミオ> ゼリーかぁ…良いんじゃないかな？夏場って喉を通りやすいもの欲しくなったりするし。   (8/5 22:25:31)

エロガキ♂14S> みかんゼリーとかも良いとは思ったんだけど、そういうのって普通にあるじゃん？だから変わり種で、それでいて外れなさそうなのをね。もちろん味見済。（食べてみてー、と言外に訴えて）   (8/5 22:27:22)

大神ミオ> 一応紅茶のゼリーもあるにはあるみたいだよ、ただうちが見た限り当たり外れはあるみたいだけどね？あー…うちはいいよいいよ、他の子にあげてー？   (8/5 22:30:08)

エロガキ♂14S> あるんだ！？調査不足か～・・・でも結構マイナーだよね。少なくとも俺は見た事ない。そ、そう・・・？じゃあ冷蔵庫に入れとこ―っと   (8/5 22:31:34)

大神ミオ> まだ世の中に普及してないような作品ってなると意外と難しいんだと思うよ。何年も知識と経験を積み重ねた人でもさ、人を惹きつけるような目新しい何かを産むのには苦労するだろうからねぇ…。   (8/5 22:33:25)

エロガキ♂14S> それクリエイターと呼ばれる人たち全部に言える事だよね・・・ミオ姉ちゃんも、そういう「真新しい何か」を見つける苦労ってある？   (8/5 22:37:33)

大神ミオ> うーん…どうだろう？どんな分野なのかーにもよるかもだけど…うちは既存コンテンツに対して初めて触れること自体新しい経験だって思うからそういう意味ではあまり苦労は感じないかな   (8/5 22:40:56)

エロガキ♂14S> そっか、ミオ姉ちゃんはクリエイターってよりも、どっちかっていうと「コメディアン」の方だから、自信の初々しい反応やら何やらでみんなを楽しませるのか。ん～・・・むずかし   (8/5 22:44:03)

大神ミオ> 配信でも初挑戦みたいなことはあるよ、例えば…3Dお披露目とかさ、新衣装公開だったり企画だったりねぇ。まぁ…経験年数が増えるほど新鮮さみたいなのはどうしても減っちゃうだろうけど、うちはホロメンとの関わりとかが新鮮なものだと思うし…誰かを楽しませるのに苦労が全くないって訳でもないし。
  (8/5 22:47:54)

大神ミオ> のーんびりお話してると眠くなっちゃうねぇー…   (8/5 22:49:58)

エロガキ♂14S> 時間と共に新鮮さが減っちゃうのは仕方ないでしょ。コンテンツにしろ技術にしろ、当時は新鮮さの塊でも時間がたてば陳腐化しちゃうんだから。   (8/5 22:50:17)

エロガキ♂14S> なら、刺激的なお話や、刺激的な勝負事でもする？   (8/5 22:50:38)

大神ミオ> 子供とは思えない発言内容過ぎない？？でも最近というか、いつからかテレビとかで博士ちゃんとかもあるくらいだから最近の子供は結構達観してる…のかな？   (8/5 22:51:30)

大神ミオ> 勝負はお預けかなぁ…今から眠気を無くしてまでやれる自信はうちにはない！   (8/5 22:52:02)

おしらせ> 尾丸ポルカさんが入室しました♪  (8/5 22:52:24)

尾丸ポルカ> 眠い時に無理するのは良くない。……何故ならPONが待ち受けてるから！   (8/5 22:53:04)

大神ミオ> あ、ポルポルだー。こんばんみぉーん！   (8/5 22:53:09)

尾丸ポルカ> というわけで（？）ポルカおるか？おるよー。   (8/5 22:53:52)

エロガキ♂14S> 何か一芸に特化するとね、必然と達観せざるを得ないんだよ・・・だって、ちょっと興味をもって踏み込んで、進んでみたらそこは「世界」なんだから。世界レベルの「世界」を見ちゃったら、そりゃ達観もしちゃうって。   (8/5 22:53:59)

エロガキ♂14S> ポルカ姉ちゃんこんばんは～。   (8/5 22:54:10)

エロガキ♂14S> そういえば「ポルカ」って単語、音楽関係で聞いたような気がするんだよな・・・なんだっけ。   (8/5 22:54:37)

大神ミオ> ひとつの事に特化して進む人は凄いと思うけど、そのせいで視野を狭くして自分の世界観を相手に押し付けるような行為は褒められたものじゃないから、そこは気をつけよーね   (8/5 22:55:54)

尾丸ポルカ> ポルカはチェコの民俗舞曲だよ。……っていうか、相変わらず年齢にそぐわない視点してんなあ。若い内から変に拗れると歳食ってから大変だぞー。   (8/5 22:56:39)

大神ミオ> うちが眠い時にやってきたってことは…うちの代わりを務めてくれるん、だよね？   (8/5 22:57:05)

尾丸ポルカ> ポルカがそんなに優しい奴だとミオしゃは思ってたんだ？（ガンギマリフェネックアイ）   (8/5 22:57:40)

エロガキ♂14S> 世界観を押し付けるのは…気を付ける。世界観ってか価値観かな？   (8/5 22:57:46)

大神ミオ> かぁーー！！ダメだった！なんかいい感じにさ、誘導したら行けるんじゃないかって思ってたんだよぉ！！   (8/5 22:58:29)

エロガキ♂14S> 民族舞曲・・・そうだ、サッキヤルヴェン・ポルカだ。思い出した。   (8/5 22:59:13)

尾丸ポルカ> ポルカはさ、面白おかしくなる展開の方が好きだからミオしゃがPONするならPONさせる様に誘導するに決まってるよなぁ！いや、まあ無理はしないでよ、本当に。睡眠は大事。   (8/5 22:59:58)

尾丸ポルカ> エゴサしたら検索にヒットするから知ってるくらいの知識でしかないんだけどさ。   (8/5 23:00:47)

エロガキ♂14S> でも調べようとする意志と姿勢が大事って先生が言ってた。だからそんな感じでもいいんじゃない？＞ポルカ姉ちゃん   (8/5 23:02:04)

大神ミオ> それって遠巻きにうちがPONするの期待してるってこと！？PONはね、もうエリートの方が居るからうちはしないから！   (8/5 23:03:21)

大神ミオ> PONしゃにはならないんだよ…   (8/5 23:03:46)

尾丸ポルカ> 調べようとする、って言うか出て来たからへー、ふーん、そーなんだーくらいな話だぞ？ま、今は手元で簡単に何でも調べられる訳だし、人に聞く前に調べることはするね。そもそもポルカがネットに触れ始めた頃なんてggrksが当たり前の世代だし。   (8/5
23:04:20)

尾丸ポルカ> ミオしゃ……PONぶつえんのユニット決済した仲でしょ？なのにミオしゃはポルカを置いて抜けようとするの……？許さない、許さない許さない許さない！（お約束のヘラ）エリートPONはほら、もう殿堂入りだからさ……。   (8/5 23:05:45)

エロガキ♂14S> （スマホでggrksを検索中）こんな時代があったのか・・・orzはかろうじてわかった！   (8/5 23:05:51)

大神ミオ> ポルポル、決済しちゃってるよ…！！ほら、クレカの使用は程々にしないとダメだよ（？）その殿堂入りの方うち見たことないんだよねー…普段からいないから当然かもだけど   (8/5 23:07:24)

大神ミオ> そして現代っ子にさらっと古いネット知識披露してる（）   (8/5 23:07:52)

尾丸ポルカ> 下手したら今だとググるよりもAIに聞いた方が早い時代なのかも知れない。かがくのちからってすげー。   (8/5 23:08:11)

大神ミオ> 情弱乙とかならまだ若い子でも伝わるのかな？   (8/5 23:08:26)

大神ミオ> そのAIで世界の電力事情がヤバいって話なかったっけ？   (8/5 23:09:04)

尾丸ポルカ> あぁっ、眠くないポルカの方が先にPONしちゃったにぇ……！う、うるさいにぇ、天井まで回せば実質無料だって誰かが言ってたんだにぇ……！殿堂入りは昔ゲーム部屋にはいたって聞いたけど、リアルタイムは見たことないや。   (8/5 23:09:36)

尾丸ポルカ> サラッと出てくるワードが畜神感。あー、それはアレだ。AIを動かしてるサーバーとかが動いてるところの電力消費が跳ね上がってるって話だね。ただでさえ電力食らう機械に鞭入れて頑張らせてるからそうなるのも仕方ないんじゃないかな。   (8/5
23:11:27)

大神ミオ> （聞こえてますか……うちは今は、みんなの脳内に語りかけてます……眠いから寝る用意してもいいかな……）   (8/5 23:12:27)

エロガキ♂14S> 情報弱者おつかれ、みたいな・・・？あと最近知ったのがかなりの数のミームがコマンドーって映画から来てたってこと・・・   (8/5 23:12:48)

尾丸ポルカ> （ミオしゃ、脳内に直接語り掛けて……！？うん、お布団敷こうね。）   (8/5 23:13:10)

エロガキ♂14S> ミオ姉ちゃん無理しちゃだめだよ？無理矢理夜更かしするとお肌に悪いよ？（直球ストレート）   (8/5 23:13:26)

尾丸ポルカ> コマンドーを知らない……だと……！？   (8/5 23:13:45)

大神ミオ> あー…ポルポルがみこちゃんの因子に感染して語尾がにぇになってるにぇ。これからうちここではポルカの事オープンAIPORUKAって呼ぼうかな…うちが調べるより早い   (8/5 23:14:10)

エロガキ♂14S> え、なに？ホロメンの中ではコマンドーって必修だったりするの・・・？   (8/5 23:15:10)

大神ミオ> 反論しずらいぃぃ……！！けどねぇ！女の子はさ、想像を絶するような努力してる場合もあるんだよ！！……一昔前は風呂キャンの重鎮もいたけど……！   (8/5 23:15:32)

大神ミオ> 誰がてめぇなんか…！てめぇなんか怖くねぇ！！（豹変）   (8/5 23:15:57)

尾丸ポルカ> 怪人ポル面相だからホロメンのトレースなんてお約束みたいなもんよ。……AIPORUKAはね、肝心な事は答えないんだ。   (8/5 23:16:01)

エロガキ♂14S> やろぅぶっ〇してやぁる！！！   (8/5 23:16:37)

大神ミオ> じゃあ今度はうちのトレースしてみない？大神ポルカと尾丸ミオ…どっちがいいかな（深夜テンション）えっ、つっかえなぁ……。（）   (8/5 23:17:45)

大神ミオ> じゃあうちベッド行くねー   (8/5 23:18:13)

エロガキ♂14S> （添い寝したいなんて言えない）ん、いい夢みれるといいね。   (8/5 23:18:53)

尾丸ポルカ> 面白いでしょう？んあぁ、おっしゃらないで。映画がB級、でも最近の映画なんて見かけだけで動きが激しくて酔うわ目がチカチカするわ、ろくなことはない。お笑いポイントもたっぷりありますよ、どんな人でも大丈夫。どうぞ、見てみてください。いいシーンでしょう？余裕の語録だ、ネタの数が違いますよ。
  (8/5 23:19:09)

尾丸ポルカ> 今日は休め。（訳:おつみぉーん！）   (8/5 23:19:40)

エロガキ♂14S> 一番気に入ってるのは・・・・値段だ。   (8/5 23:19:48)

尾丸ポルカ> 真のコマンドーは語録を改変して流用するのが上手いんだ。フブキと干渉してるとコメントが毎回語録の洪水になる。   (8/5 23:20:55)

エロガキ♂14S> 整合性を損なうことなく改編するのって結構センスいるよね。それを即座にできるって、リスナーさんレベル高いな～   (8/5 23:22:31)

尾丸ポルカ> そんな訳で読書感想文のネタに困ったキッズはコマンドー視聴の感想文でも書けばいいよ。それなら先生もきっとOKで言ってくれるさ。ズドン！ってされるかもだけど、ポルカの責任じゃない。   (8/5 23:23:48)

大神ミオ> （ベッドinうち！）   (8/5 23:24:36)

尾丸ポルカ> ツレを起こさないでくれ……とは言えないなあ、色々と良くない。（布団の上からミオしゃなーでなで）   (8/5 23:25:41)

大神ミオ> 普通に寝ようとしちゃってたんだけど！！？   (8/5 23:29:11)

エロガキ♂14S> 何が始まるんです？   (8/5 23:29:13)

尾丸ポルカ> コマンドー同時視聴だ（ﾃﾞｪｪｪｴｴｴﾝ）   (8/5 23:29:45)

尾丸ポルカ> 寝ちゃっていいんだよ？セリフ的に後ろに続くセリフがライン超えだから端折っただけで。   (8/5 23:30:45)

エロガキ♂14S> ポルカ姉ちゃんの隣でくっついて観たい！＞同時視聴   (8/5 23:32:56)

尾丸ポルカ> おっと、くっつくのはNGだ。そういう雰囲気の映画でもないからね。   (8/5 23:33:28)

大神ミオ> コマンドーを青春映画だと思ったのかな…？   (8/5 23:34:17)

エロガキ♂14S> 隣に座るくらいならくっつきたいと思ってる民   (8/5 23:35:06)

尾丸ポルカ> 筋肉で全てを解決して娘を助けるストーリーなんだよなあ。   (8/5 23:35:09)

尾丸ポルカ> ある意味エロガキらしいっちゃらしいけど、そうなるにはちゃんとした関係性を結んだからだ。そもそもここだとノー、タッチだし。（お茶ずずず）   (8/5 23:36:30)

エロガキ♂14S> へーい。あ、ポルカ姉ちゃん紅茶ゼリーいかが？   (8/5 23:37:12)

大神ミオ> エロガキと関係を結ぶ…ポルポルすごいこと言うね（？）   (8/5 23:37:24)

尾丸ポルカ> 流石にこの時間には食べらんないよ。冷蔵庫に入れときな。……ミオしゃにはそういう風に聞こえたのかあ、ミオしゃも案外頭の中はこよりと……（げふんげふん）   (8/5 23:38:29)

大神ミオ> なんか今聞こえたんだけどぉ！！うちは全然清いと思うゲーム部屋？勝負部屋…？にだってトワのお助けに入って以来行ったことないのにさぁー！   (8/5 23:40:17)

尾丸ポルカ> えーっ！？ミオ先輩、こよの事汚いって思ってるんですかー！？……AIPORUKAより。言うてポルカもゲーム部屋は支援以外今のところ行ってないしね。   (8/5 23:41:56)

大神ミオ> もうね、今夜はね…枕を涙で濡らして寝るよ。うわ、なんか変なの出てきた。（へんなの）うちは勝負事強くないからなぁ…ギャンブルって意味ではフブキに頼んだ方がいいまである。うちはその間ひとり黙々と作業するけど   (8/5 23:43:48)

エロガキ♂14S> ふたりともゲーム部屋に本格参加したことないんだ・・・   (8/5 23:44:42)

尾丸ポルカ> 変なのって何だよ、変なのって！ギャンブル中毒のフブキに尽くすミオしゃ……字面だけで見ると、共依存関係みたいですごく不健全（）   (8/5 23:45:47)

大神ミオ> ないねぇ…うちは下手したらトワの支援以来入って……ないかも   (8/5 23:46:13)

尾丸ポルカ> ないね。ポルカの場合、前から言ってる通りそもそもその手のに慣れてないのと、相性とかも見てるし。   (8/5 23:46:16)

エロガキ♂14S> 相性だいじ・・・ミオ姉ちゃんは興味はある感じ？   (8/5 23:48:23)

大神ミオ> 実際さ、仕事に行くって言ってギャンブルしてた事もあったからね…。ほんっと字面だけは凄い悪いんだけど（）でもさぁ…フブキもね、フブキでうちと仲良くやってくれてるから……（DV彼氏に毒されてる感覚）   (8/5 23:48:58)

大神ミオ> 興味…うーん、どうかなぁ？うちは時間に追われるのが苦手だからそこまで、かなぁ…ただゲーム自体はいいなって思った   (8/5 23:50:05)

エロガキ♂14S> あ、それRUSTだっけ？サバイバルクラフト系のゲーム。それでカジノにいってたってやつかな・・・？   (8/5 23:50:21)

尾丸ポルカ> ルーム説明が割と頻繁に更新されてるみたいで、雑談目的の入室もOKってなってるから、ゲーム部屋に参加するのが必須って訳でもないんだよなあ。   (8/5 23:50:26)

尾丸ポルカ> ねー、罰ゲーム云々一旦置いといてゲームを楽しむのはしてみたさあるのはミオしゃに同じ。   (8/5 23:51:05)

大神ミオ> 頻繁に更新してるって…ちゃんと定時退社できてるのかな（？）   (8/5 23:51:24)

尾丸ポルカ> ……？ミオしゃ、部屋主さんとお知り合い？   (8/5 23:51:54)

大神ミオ> え、知らないよ？ポルポルが頻繁に更新して〜って言ってたから、某えーちゃんみたく定時退社して休みを得たりしてるのかなって   (8/5 23:53:23)

大神ミオ> いや……えーちゃん枠だったら定時退社なんてしてないな（）   (8/5 23:54:14)

エロガキ♂14S> 罰部屋は時間が来てもアフター部屋ってところで続きみたいなのできるっぽいし、そこまで時間は気にしなくても良いような気も・・・？   (8/5 23:54:40)

尾丸ポルカ> あ、そーいう。過去ログが1日分でアーカイブされるレベルならともかく、そういうわけでもないから軽くでも見てくれてるって事なのかもねぇ。……定時退社なんて、なかったんだ……！   (8/5 23:55:08)

大神ミオ> アフターって響きにいやしさを感じるのはうちだけかな？うちも相性は大事にしたいから万に一でも気がのったら……乗ったら…！   (8/5 23:56:33)

尾丸ポルカ> ミオアフター。……ん、なんだろう。何処かしらにそんなゲームがあった、ような……？   (8/5 23:57:31)

大神ミオ> ……うち、ここのそういうシステム？とか全然詳しくないんだけど、部屋の管理って仕事量として多い少ないってわかるの？世界の経済はブラック企業によって成り立ってるんだよ！（暴論）   (8/5 23:57:58)

大神ミオ> ミリオネア……？   (8/5 23:58:22)

尾丸ポルカ> ポルカ、一応部屋持ってるから分かるけど説明文大幅に書き換えるとかだとすっごい面倒かなって気はする。けど、軽く書き換えるとかだったら割とサクッとは出来るかな？ログまで遡るのを考えたら割と時間はかかる、かも。……ミオしゃ、眠気でリミッター外れてる……！？
  (8/5 23:59:53)

尾丸ポルカ> ファイナル、アンサー？（じろっ）   (8/6 00:00:20)

大神ミオ> 一応…？仮宿舎みたいな感じかな（？）なんだろう…面倒くさがりな人とか、多分フブキに任せちゃいけない部分かも。眠いよぉ…眠くてさ、幼児退行しそう。   (8/6 00:02:01)

エロガキ♂14S> ミリオネア、辛うじて知ってる・・・・最後の方の問題とかしるかそんなもんって問題しかないの。   (8/6 00:02:06)

大神ミオ> ファイナルアンサー……！！（ごくり…）   (8/6 00:02:20)

大神ミオ> 今のクイズ番組って言うとなんだっけ？なんか見たことあるはずだけど名前が出てこないんだよね   (8/6 00:03:30)

尾丸ポルカ> ────正解っ！1000万ペコ獲得です！   (8/6 00:03:50)

尾丸ポルカ> うん、ポルカもそろそろ流石に眠いし寝ちゃおうかな。   (8/6 00:04:09)

大神ミオ> 日付変わってるもんねぇ…いい子はねる時間だよ   (8/6 00:04:39)

エロガキ♂14S> ペコ・・・？ペリカなら知ってるけど。　たしかに日付かわっちゃったな。   (8/6 00:05:39)

尾丸ポルカ> そんな訳でポルカは寝る！2人ともおつぽるー！   (8/6 00:05:56)

おしらせ> 尾丸ポルカさんが退室しました。  (8/6 00:06:24)

大神ミオ> うちも寝るよー……おつみぉーん…   (8/6 00:06:34)

大神ミオ> ていうかさ…頭ガンガンしててずっと限界なんだけど（）   (8/6 00:07:01)

エロガキ♂14S> おつかれ～。俺はもう少しぶらついてみよ   (8/6 00:07:04)

大神ミオ> 深夜徘徊？？   (8/6 00:07:25)

エロガキ♂14S> 年寄りじゃないんだから！   (8/6 00:07:56)

エロガキ♂14S> とりあえず、お疲れ様～   (8/6 00:08:13)

おしらせ> エロガキ♂14Sさんが退室しました。  (8/6 00:08:22)

大神ミオ> はふー……眠いし頭痛いしで散々なわけでして…   (8/6 00:09:30)

おしらせ> 無言時間が25分を超えたため、大神ミオさんが自動退室しました。  (8/6 00:34:35)

おしらせ> 早乙女ベリーさんが入室しました♪  (8/6 21:42:01)

早乙女ベリー> えぇっと、こんベリ ~ ､! お邪魔しちゃうよ ~ ! していいんだよね? （きょろ、）   (8/6 21:43:02)

早乙女ベリー> ほんとうにベリーが入っていいのか! って感じなんだけど大丈夫だよね。（うんうん、）   (8/6 21:45:32)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (8/6 21:51:12)

エロガキ♂14C ◆> こんばんはーっ。雑談部屋だし誰がいたっていいと思うんだ、はじめましてー。   (8/6 21:51:49)

早乙女ベリー> わ、こんばんわ ~ ! よかったぁ、初めまして､‼︎   (8/6 21:52:20)

エロガキ♂14C ◆> 最近色んなVのおねーさんたちがここに顔出してるみたいだし、そういう意味じゃ寧ろ違和感ないまであるかもしれない。   (8/6 21:53:55)

早乙女ベリー> そうなんだ､ いつか会えたらいいな ~ ! 早く馴染めますように､   (8/6 21:54:57)

エロガキ♂14C
◆> 話してたらその内くるかもねー？ログ見てる感じだといつも今くらいの時間から人がいたりいなかったりみたいな感じだし。それはさておき、ぱっと見の名前で見た時に一瞬プリティーでキュアキュアな感じかな、って思ってしまうくらいに名前の雰囲気が似通ってるなって…！  
(8/6 21:56:53)

早乙女ベリー> 結構バラバラなんだ､（ふむ、）ベリーのお名前が､プリティーでキュアキュアな感じ､⁉︎ えへへ、嬉しすぎるんだけど! （てれ、）   (8/6 21:58:56)

エロガキ♂14C
◆> 割と皆バラバラなのは違いない、かも？僕含めたエロガキは割とそれなりにコンスタントにいる、ような……でも最近ではそーでもないのかも。僕の感性で、ってだけだから他の人にはもっと違う方向で受け取る人もいそうだけどね！Vの人たちの名前って時々すごく不思議な感じの人も多いよねー。
  (8/6 22:01:08)

早乙女ベリー> 平日なのもあるのかな、週の真ん中だし、分かんないやぁ。（うーん、）多い多い‼︎ 苗字がキラキラしてたり､下のお名前が､ 魚だったり、すっごい難しい漢字だったりね!   (8/6 22:05:34)

エロガキ♂14C ◆> ねー、僕たちは夏休み真っ盛りだけどおねーさんたちはそうも行かないっていうのもあると思うし？こう、初見だと絶対読めない名前は割とあるあるだなあ、なんてパターンは割とある……！でも、その方がやっぱりインパクトはあるから覚えやすいかもね。  
(8/6 22:07:32)

早乙女ベリー> ベリーも夏休み楽しんでた学生に戻りたい ~ ! （う、）確かに､ 私もインパクトあるお名前欲しかったぁ! もっと覚えてもらいたいのに!   (8/6 22:10:29)

エロガキ♂14C
