/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月11日 13時23分 ～ 2024年12月13日 00時59分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂13Al> せめてご飯を食べた方がいいかも。いや、ご飯を食べて眠くなって横になったらよくないか…？（むむむ）んんん！あまり構うことで起き続ける理由を与えるのもいつか寝落ちする前振りをし続けることになりそうだから俺はゆこう…戦いの荒野へ！あとはまかせた！
  (2024/12/11 13:23:53)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/11 13:23:58)
エロガキ♂13Al> もし寝ようかどうか迷ったら、寝た方がいい。古い言い伝えじゃ。（ボロボロのローブと杖を装備」）   (2024/12/12 14:25:41)

エロガキ♂14C ◆> せめて寝落ちるなら布団で寝落ちなよ……18hxおにーさんは始めました、かな？ちらほら見かけることはあるかも。   (2024/12/12 14:25:52)

エロガキ♂18hx> はじめましたです（笑）   (2024/12/12 14:26:32)

雪花ラミィ> このチビどもはスナックゆきはなによく来てくれる常連さんです。いや、チビどもの所にスナックゆきはなが来てます。18hx君もサブスクしてく？毎日オレンジジュース一本タダやで？（）   (2024/12/12 14:27:08)

エロガキ♂19b ◆> サブスク(酒瓶)   (2024/12/12 14:27:52)

エロガキ♂18hx> それはいいですね～魅力的だ（笑）➡らみさん   (2024/12/12 14:27:53)

エロガキ♂14C ◆> アドミニストレータおねーさんはどうやら以前遊んだことのあるのとは別のおねーさんみたいだね。けど、若干沈み気味かな…？（つんつん）   (2024/12/12 14:29:32)

雪花ラミィ> 話が早いね。一升瓶をよこせってことや（暴君）   (2024/12/12 14:30:31)

エロガキ♂13Al> 勝負はあまりしないで酒を飲んで管をまきにきているらしい…。アドミニ…ミニスカート？さんは勝負にも乗り気なんでしょうか！   (2024/12/12 14:31:03)

エロガキ♂19b ◆> (酒カスって書いたプレートを掲げておこう)   (2024/12/12 14:31:08)

エロガキ♂18hx> 酒カス（笑）   (2024/12/12 14:31:33)

アドミニストレータ> 私と交合う権利ね、、それこそあっちでやる物じゃないかしら？ふふ、朝から晩まで酒飲み、、、いいわ、私はそういった者ですら愛するもの。一日中呑み明かしても私の愛をあげるわ。   (2024/12/12 14:31:33)

エロガキ♂19b ◆> そしてアドミちゃんは皆から人気みたいですねぇ～...ラミィちゃん...どう思うよ？   (2024/12/12 14:32:31)

雪花ラミィ> しばき回すぞ、副店長（こわいかお）   (2024/12/12 14:32:35)

エロガキ♂14C ◆> （ガキに酒カス呼ばわりされてどういう気持ちなんだろう。）   (2024/12/12 14:32:41)

アドミニストレータ> それからまたいつの間にか1人増えていると思えば私と入れ違いだった坊やじゃない。反応が遅いだけで、いつまでもログを拾って返すのは現行の会話についていけてない証拠ね、、。   (2024/12/12 14:32:44)

雪花ラミィ> ああもう、好き♥アド様の女になる♥   (2024/12/12 14:33:09)

エロガキ♂19b ◆> よーし！かかってこい！！サンドバック代わりにはなるぞ！なんてったって耐久力だけは並外れてるからな！   (2024/12/12 14:33:38)

エロガキ♂13Al> 安すぎる…！   (2024/12/12 14:33:47)

アドミニストレータ> 名前を間違えるような不遜な子、、でもいいわ。勝負については気が向けば乗ってあげる。あなた達は勝負よりもその先を求める方が傾向として多いのでしょうけど   (2024/12/12 14:33:57)

エロガキ♂14C ◆> さっきはまさかすれ違ったとは思わなかったから、ごめんね？そういうことなら仕方ないよ、人によってレスのスピードの差なんてあって当たり前だし、ゆっくりでだいじょーぶ！   (2024/12/12 14:34:19)

雪花ラミィ> 酒飲む人って、愛に飢えてるらしいよ。ラミィはそんな事ないけど（）   (2024/12/12 14:35:36)

エロガキ♂14C ◆> 愛には飢えてないかもしれないけど……げふんげふん   (2024/12/12 14:36:54)

エロガキ♂13Al> 高貴な人とか上位存在的なのがどエロいことをされて「この私がこんなエロガキに…！」ってなっているところを見たい、そういう気持ちを込めていきたい。勝負の時にはぜひ…！（まえのめり）   (2024/12/12 14:36:54)

エロガキ♂18hx> いいねー愛に飢えてないって   (2024/12/12 14:37:16)

アドミニストレータ> 愛が欲しければ与えてあげるわ。でも望むもの全てを与えるというのは、、ふふ、さすがに不可能かもしれないわね。でもそうね、可能な限り私は欲するものを与えてあげるわ。   (2024/12/12 14:37:45)

エロガキ♂13Al> 愛に飢えてないけど飲んでるなら単に酒に溺れてるってことにならない？今からでも飢えといた方がいいんじゃない？   (2024/12/12 14:37:50)

アドミニストレータ> 謝ることかしら？坊やが気にするようなことでもないわ。スピード、、と言うよりも私は見てないタイミングがあるだけ。その間にいろいろ盛り上がっていたのなら私は必然的に沈んでいるのよ。   (2024/12/12 14:38:57)

雪花ラミィ> もういっぺん、咳き込まずに言ってみような♥（蛇を睨む目）あかん、アド様がスパダリすぎて沼りそう。愛が欲しいです（一秒矛盾）   (2024/12/12 14:40:21)

エロガキ♂14C ◆> せっかく来てくれてたのに気が付かなかったっていうのも、僕的には心苦しかったから。あ、なるほど？けど、雑談なんだしそれでいい気がする。全部に打ち返すのなんて大変なんだし。   (2024/12/12 14:42:43)

エロガキ♂14C ◆> ラミィおねーさんはただただ酒には溺れてるよねー、って。ダメな大人ならぬダメなエルフ。（直球ストレート。）   (2024/12/12 14:42:46)

エロガキ♂19b ◆> 子供たちと年長者がガヤガヤ話してるのを遠くから見つめる人になっている...まぁいいか(後方面)ゴミ箱にはいってよっと(ボソボソ、イソイソ)   (2024/12/12 14:43:34)

エロガキ♂14C ◆> （ゴミ箱を蓋閉めてアルミテープで貼り付けておくね）   (2024/12/12 14:45:02)

エロガキ♂18hx> （こわい、こここわいよ～）   (2024/12/12 14:45:19)

エロガキ♂13Al> 愛なら俺のパンパンに張り詰めて熱くなったやつを…（定番下ネタ）（エロガキだからたまにやっとかないといけないんだ）（仕方なくね！）   (2024/12/12 14:46:13)

雪花ラミィ> あ゛ーーーーもうラミィはもう良いもんふて寝するさようなら探さないでください！！！！！   (2024/12/12 14:46:35)

エロガキ♂19b ◆> あまいわぁ！！ここから出てこれるわぁ！(押し入れの戸を開けて飛び出して、ついでにラミィちゃんの背中をはたいておくね)   (2024/12/12 14:47:12)

エロガキ♂18hx> らみさんらみさん、よしよし   (2024/12/12 14:47:39)

エロガキ♂14C ◆> 急に精神年齢幼児化するのやめてほしいなあ…！というかやっぱり煽り耐性が……（憐憫の視線）   (2024/12/12 14:48:24)

雪花ラミィ> はあもう、良い子だね18hx君。もうコイツらときたら、ラミィをいじめる事だけに長けた口振りしやがってよおお（半泣き）   (2024/12/12 14:49:45)

エロガキ♂13Al> 待ってラミィちゃん！………………寝るなら布団に入るんだよ（違）   (2024/12/12 14:50:26)

エロガキ♂18hx> あはは…いえいえ（あたまなでなで）   (2024/12/12 14:50:56)

アドミニストレータ> そういう欲望を言うのなら、、ここではなくそれこそ勝負に勝ってから、、、そう、私を負かせてからの方が盛り上がるんじゃないかしら？▶︎Al   (2024/12/12 14:51:03)

エロガキ♂14C ◆> ある程度弄れないと一方的に弄られるしなあ……（多少の罪悪感から鞄をゴソゴソ）   (2024/12/12 14:52:01)

アドミニストレータ> ふふ、可愛いわね。あなたが欲しければ私の愛も、あなたが欲するものも可能な限り与えてあげるわ。その代わり、、あなたの愛もまた、私に見せてくれるかしら？▶︎雪花ラミィ   (2024/12/12 14:53:02)

エロガキ♂13Al> 先に言っとかないと受けるかどうか迷うこともありそうだし…人となりのわからない相手に30分ぐらい拘束されるのは不安だからねっ…！　普段済ました顔してる人ほどぶっかけてみたいという気持ちを今のうちに伝えておかないと…（エロトークしたいだけでは？）
  (2024/12/12 14:53:37)

エロガキ♂19b
◆> そろそろ15時...おやつに女の子を食べたくなってくるな...というわけで御兄さんはちょっと行ってきます！後は皆さんごゆっくり！！ショタ組とバトルしたいならアナザー部屋もあるよってことも伝えておくね！(露骨な宣伝)さらばだ！！(親指をたてて床にズブズブと沈んでいって)
  (2024/12/12 14:54:31)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/12 14:54:33)

エロガキ♂18hx> いってらっしゃい～   (2024/12/12 14:54:42)

雪花ラミィ> 別にフォローでもなんでもねえよおお前らよお！ホントね、ラミ虐は拗ねるかんね！！たまに！！（？）   (2024/12/12 14:54:53)

エロガキ♂18hx> …たまに？（笑）   (2024/12/12 14:55:11)

エロガキ♂14C ◆> 相変わらず人間辞めてるよなあ19bにーさん。お疲れ様。   (2024/12/12 14:55:14)

アドミニストレータ> そう、、なら気にしてないと私は言っておくわね。そうすれば坊やの心苦しさも多少なりとも解消されるかしら？会話を蹴ってしまうのも相手に悪いでしょう？だからこうして、面倒ではあるけれどログを遡って一応返しているのよ。▶︎14C  
(2024/12/12 14:55:31)

雪花ラミィ> はひ、もう、あの全部。日本酒も何もかも捧げるのでいい子いい子ください（）いってらしゃー。元気いっぱいすぎだろ…！   (2024/12/12 14:55:37)

アドミニストレータ> 最初の坊やは行ってらっしゃい。あなたの望むような女の子が現れると良いわね   (2024/12/12 14:56:18)

エロガキ♂13Al> 貶すこと言われたら傷つくのはわかるから…でもエロガキは愛情表現がセクハラになってしまう悲しい生き物、この愛を伝えるにはラミィちゃんを傷つけてしまうかもしれないと思うと不安になっちゃうの…（ショタ声）   (2024/12/12
14:56:58)

エロガキ♂14C ◆> 好きな女の子ほどいじめたくなるってどっかの誰かが言ってた気がする   (2024/12/12 14:57:06)

エロガキ♂18hx> 確かに、せっかく同じ時間を過ごしてくれるんだから、お互いに楽しめる方がいいよね～（しみじみ）   (2024/12/12 14:58:00)

エロガキ♂14C ◆> そう言ってもらえると僕も胸のつかえがとれてすっきりするよ。遡ってまで……マメというか、真面目というか。けど、すごく印象はいいよね。>アドミニストレータおねーさん   (2024/12/12 14:58:32)

アドミニストレータ> 可笑しなことを言う坊やね、、初対面の相手を数十分ばかり拘束するのは事実だとしても、人となりを知った相手を狙い撃ちのようにしたら遊ぶ相手が固定されてしまわないかしら？あら、私の顔を穢したいの？本当に、、若い子は有り余っているのね  
(2024/12/12 14:59:36)

雪花ラミィ> コイツマジで屁理屈うますぎだな、ちょっと納得しかけたな。あとショタ声やめてね、いつも性欲全面押し出し強い割にいきなりしおらしくなんじゃねーぞ（）あ〜〜〜もうラミィの事好きすぎなんやんけ〜〜♥まったくもー♥（ガチチョロ）   (2024/12/12
15:00:29)

エロガキ♂13Al> エロガキ側はいいけど、女の子は本当にされたくないことされて傷ついちゃうところもたまに見かけるから…こいつこんなことしようとしてるなというのをあまり隠さない方がいいなと思ってます！……ぶっかけはしたい！！（ふんすふんす  
(2024/12/12 15:02:27)

アドミニストレータ> そのお酒は私に譲らず、どうせなら晩酌というものにでも回しましょ。いい子いい子（ふわりと衣服の端や髪を宙に漂わせ、求められた行為に対しては女神のような慈愛に満ちた瞳を彼女に向けて、頭頂部に手をそっと添えて優しくエルフの子を撫でて）  
(2024/12/12 15:03:48)

エロガキ♂13Al> そりゃもうラミィちゃんのことは好き…頭撫でたりお尻揉んだりして甘やかしたい（さらっといえば受け入れられるかもしれない！！！！）   (2024/12/12 15:04:01)

エロガキ♂18hx> あ～それはちょっとわかるかも…でもある程度は覚悟の上ではなかろうか（こないだお相手した女性は狙ってたが）   (2024/12/12 15:04:19)

アドミニストレータ> 私は印象を気にしての行動じゃないのよ、坊や。あなたの胸のうちにある蟠りのようなものが晴れるのならそれに越したことはないでしょ？あそこで会話を蹴ってしまったらそれもきっと叶わないこと。   (2024/12/12 15:05:29)

エロガキ♂14C
◆> 相手が嗜好オープンじゃない限りは基本的にファーストコンタクトは緩めにするのが僕のやり方かなー。その後の展開次第でどうするか決めるアドリブ気質なとこあるし。雑談で分かるならそれに越したことはないのかもだけど。（日向に座布団敷いて日向ぼっこ）  
(2024/12/12 15:06:54)

エロガキ♂18hx> （隅っこで拝聴）   (2024/12/12 15:08:16)

アドミニストレータ> 各々望むものが違って、それを相手に要求していいのかがわからないから慎重になるのは何だか残念ね。嗜好の擦り合わせなんて、実は大して意味がない可能性もあるのよ？長ったらしい会話の中で相手と好みを擦り合わせして合うと思っても、些細なすれ違いから思いの外興が乗らない、、なんてことも有り得るわ。相性というのは目に見えるものが全てとは限らないとでも言えばいいのかしら？
  (2024/12/12 15:09:48)

雪花ラミィ> ハッ、が、ガチでバブるかもしれないラミィ。ここまでママを感じたのはノエル先輩以来かもしれない。ん〜〜〜ばぶーー♥（213歳エルフ、決死の幼児退行）そこまでオープンだと逆に清々しいよね。貫けそのスタイル（）   (2024/12/12
15:10:29)

エロガキ♂14C ◆> （これがばぶみぃですか）   (2024/12/12 15:10:52)

雪花ラミィ> 相性は別にしても、配慮が感じられるか感じられないかって大きなところだと思うんよね。どうしてもしんどい、とかは除いて、考えてくれてるなーって思うと多少のズレはあってもラミィ許容しがち。   (2024/12/12 15:11:58)

エロガキ♂14C ◆> 意味がないかもしれない、ってのは間違いないかもね。それでせっかくの機会を失ってちゃ勿体無い、って言われれば間違いないし。   (2024/12/12 15:12:15)

エロガキ♂13Al> やってみないとわからないところがあるのはわかる！ここの場合は勝負する部屋と雑談が別だから雑談は話をするしかないというのはありつつ…じゃあ迷ったらやるしかない！（ぐっとサイコロを握る）   (2024/12/12 15:14:26)

エロガキ♂13Al> えっ貫くって…ラミィちゃんってばエッチなんだから（エロ語彙敏感ガキ）   (2024/12/12 15:15:27)

アドミニストレータ> そういうこと。結局の所独り善がりなプレイを回す人なら喩え嗜好が合ったとしても私はごめんよ。相手があったの遊びの場に配慮や良識が欠如しているような者とは楽しむものも楽しめないもの。でもそれ故に、、私は大抵の欲望は受け止めてあげるつもり。それが私にとって好むものか、どうかはまた別問題としてね
  (2024/12/12 15:15:40)

アドミニストレータ> ふふ、私が良識なんて話を持ち出すと少し可笑しいわね。   (2024/12/12 15:16:30)

エロガキ♂14C ◆> 配慮って相手がいる遊びである以上は絶対に欠かしちゃいけないものだよね、とは常々思うね。キャラクターとして、煽ったりなんだりはすることはあってもさ。   (2024/12/12 15:17:16)

エロガキ♂18hx> 独り善がりかぁ…そうするくらいならこういうとこは来ないなぁ   (2024/12/12 15:17:21)

雪花ラミィ> ばぶみぃです。近年稀に見る。いやマジでね、貫く＝エッチになるの、頭の中のピンク辞書が応用されすぎてんのよ（）   (2024/12/12 15:18:16)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/12 15:18:24)

エロガキ♂18hx> おかえりなさい   (2024/12/12 15:18:32)

エロガキ♂19b ◆> なんの成果も得られませんでした！！(地面からニョキっ)   (2024/12/12 15:18:42)

アドミニストレータ> おかえり、坊や。今回は不発だったみたいね？   (2024/12/12 15:18:57)

エロガキ♂14C ◆> （10tと書かれただけのハリボテハンマー振り下ろし）   (2024/12/12 15:19:16)

雪花ラミィ> ラミィに勇気がっ、なかったからだ！！！   (2024/12/12 15:19:28)

エロガキ♂19b ◆> そういうときもある～....ﾐｯ‼   (2024/12/12 15:19:45)

エロガキ♂13Al> 私を貫いて♡っておねだりされちゃった…（違）今日はあまり眠くなさそうだし頭もしっかりしてるみたいだから（失礼）、ラミィちゃんを勝負に連れて行きたいとは思ってる…！（むらむら）   (2024/12/12 15:20:07)

エロガキ♂18hx> さて…ぼくは失礼します～またきますねー   (2024/12/12 15:20:28)

おしらせ> エロガキ♂18hxさんが退室しました。  (2024/12/12 15:20:31)

エロガキ♂14C ◆> おつかれさまー。   (2024/12/12 15:20:34)

アドミニストレータ> さようなら、坊や   (2024/12/12 15:20:42)

エロガキ♂19b ◆> お疲れさま～！   (2024/12/12 15:20:42)

アドミニストレータ> あら、、私ではなく彼女を連れ出したいのね。ここの子は血気盛んで恐ろしいくらいだわ、、。   (2024/12/12 15:22:26)

雪花ラミィ> ﾐ゜‼︎（潰れる音）なんて、久しぶりすぎるて。見かけたのも使ったのも。連日失礼をかましたし、勝負したってよい。   (2024/12/12 15:23:11)

エロガキ♂14C ◆> さて、僕はやることやるからこの辺で失礼するよ。じゃあね。   (2024/12/12 15:24:14)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/12/12 15:24:22)

エロガキ♂13Al> 雑談に入った人を勝負するところに連れて行くのはあんまりお行儀良くないかなと思っているので直接誘うのはちょっと控えめ…（ラミィちゃんとはちょっと前に何かしらがあったので…）もちろん一緒にアドミニさんが来てくれたらそれも楽しい！  
(2024/12/12 15:24:40)

アドミニストレータ> お疲れさま、さようなら。   (2024/12/12 15:24:46)

エロガキ♂19b ◆> おつかれぃ！！   (2024/12/12 15:24:55)

雪花ラミィ> およ、行ってらっしゃいー。おつらみー！   (2024/12/12 15:25:07)

エロガキ♂13Al> あんまり気にしなくていいよと言いたいけど寝落ちには気をつけてくださいね（しっかりしたトーン）言質取った！じゃあさっそく勝負勝負！   (2024/12/12 15:25:58)

エロガキ♂13Al> 19bさんが出たばかりで行くのもアレなんだけどこういうのはタイミングだから許してね（ショタボ）   (2024/12/12 15:27:07)

アドミニストレータ> 私はどうしようかしら、、様子を見守ってるだけでも良いのだけれど。今回のご指名は私ではなく、そこのエルフの彼女でもあるし。行ってらっしゃい、坊や   (2024/12/12 15:27:21)

エロガキ♂19b ◆> んー？気にしなくていいぞ...お兄さん女の子はいつでも食べれるから   (2024/12/12 15:27:39)

雪花ラミィ> んや、ラミィ雑談がしたくて残ってたんじゃなくてね、眠すぎて今行ったら迷惑かけそうやったからなんよ。マジでラミィの不手際だから気にせんよってね（）   (2024/12/12 15:28:14)

アドミニストレータ> 何だか会話の中に齟齬を感じるわね、、。   (2024/12/12 15:29:09)

雪花ラミィ> 今はラミィ発進できるよ！！！   (2024/12/12 15:30:15)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/12/12 15:30:32)

星 ◆> 個室に誘うのはどうかと思うけど、ゲームに誘う分には全然オッケー！（扉開いていきなり叫ぶ開拓者。ただししつこくするのはやめようね！銀河打者との約束だぞ！ってカメラに向けてサムズアップした。カメラどこ？）   (2024/12/12 15:30:34)

星 ◆> じゃあそういうことで……、（扉ぱたん、）   (2024/12/12 15:30:44)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/12/12 15:30:47)

エロガキ♂19b ◆> 星ちゃん...爆速だったな...   (2024/12/12 15:31:21)

エロガキ♂13Al> アドミさんもムラムラした時は勝負部屋を使ってね！（エロガキの行動理念しか知らない悲しきモンスター）　星ちゃんからのオッケーももらったところで、じゃあ行こう！   (2024/12/12 15:31:27)

おしらせ> エロガキ♂13Alさんが退室しました。  (2024/12/12 15:31:34)

アドミニストレータ> 一瞬何かいたけれど、、何かしらね。   (2024/12/12 15:32:32)

雪花ラミィ> あああああーーーーー星様ああああイケメンを拝む時間が…！！！（なみだ）い、一旦、一旦闘ってきます。アド様ありがとございました。副店長、アイルビーバック！！   (2024/12/12 15:32:43)

おしらせ> 雪花ラミィさんが退室しました。  (2024/12/12 15:32:50)

アドミニストレータ> ええ、行ってらっしゃい。   (2024/12/12 15:32:58)

エロガキ♂19b ◆> いってらっしゃい～！   (2024/12/12 15:33:09)

アドミニストレータ> ところで、、ここの管理者は彼女なのかしら？   (2024/12/12 15:33:26)

エロガキ♂19b ◆> そして、最初の二人っきりに戻ると...残念！管理者ではないよ、でも...管理者のよき理解者って感じかな   (2024/12/12 15:33:55)

アドミニストレータ> そう、、。個人的な意見を述べて帰ったようにも見えなかったから、てっきり今の子がそうなのかと思ったのだけれど。   (2024/12/12 15:35:40)

エロガキ♂19b ◆> 管理者の子はねー...多分どこかでみてるよ、、見てなくても....ね、(会話はすべて聞かれている、と書いたプラカードを掲げて)   (2024/12/12 15:37:19)

アドミニストレータ> 筆談なんてした所で筒抜けでしょう、意味のないことね。それよりも坊やはどうするのかしら？ここで私と2人で会話を続けたとして、、退屈な時間を過ごすことになるかもしれないわよ   (2024/12/12 15:40:17)

エロガキ♂19b
◆> それもそうだね(プラカードポイっ)...あいにくとそんなことはないよ、きれいなお姉さんと一緒にいれる、それだけでも充分だからね、勿論アドミちゃんが退屈だと思ったのなら...あっちに行くのも刺激的なのかもね、ちょうど助けを求めてるエルフもいるみたいだし...彼はアドミちゃんのことも誘ってたからね(勝負部屋をチラリ)
  (2024/12/12 15:43:07)

アドミニストレータ> あら、お上手だこと。でも生憎と私をそこらのNPC、、いえ、女と一緒にしたらダメよ。私を誑かすならそれ相応の覚悟と捧げるものを用意してくれなくちゃ。私は遠慮しておこうかしら、、あの子の助けはしてあげたくても、私が言ったところで坊やが増えれば有利も何もないもの。それに、お前が退屈でしょう？
  (2024/12/12 15:46:26)

エロガキ♂19b ◆> 覚悟はあっても捧げれるものは持ってないね、あーら...退屈に関しては問題はないよ、1人でいる時間のほうが多いんだから...そして、、あっちのほうはラミィちゃんが不利か...まぁ、仕方ないことだな   (2024/12/12
15:50:04)

アドミニストレータ> 仕方ない、、そこまで言うなら少しだけ遊戯に付き合ってくるわね。   (2024/12/12 15:51:34)

おしらせ> アドミニストレータさんが退室しました。  (2024/12/12 15:51:55)

エロガキ♂19b ◆> ふふっ...いってらっしゃい   (2024/12/12 15:52:15)

エロガキ♂19b ◆> またへんな送り方したかな...さて、、また誰か来るまではのんびりとしていようかな(ソファに寝転がり)   (2024/12/12 15:53:27)

エロガキ♂19b ◆> 決着はついたみたいだね...   (2024/12/12 16:04:52)

エロガキ♂19b ◆> しかし...あの子は...うーむ、、   (2024/12/12 16:08:41)

おしらせ> アドミニストレータさんが入室しました♪  (2024/12/12 16:14:47)

アドミニストレータ> 見ていたのなら来れば良かったじゃない。坊やには思うところがあったのでしょ？   (2024/12/12 16:15:19)

エロガキ♂19b ◆> あ、お帰り～...勝利おめでとう～！アドミちゃんからしたら必然だったのかなー？...ん？思うところなんてないよ～。ただの高みの見物さ   (2024/12/12 16:16:00)

アドミニストレータ> あれは私の勝利というよりはあの子の勝利といった方が正しいかもしれないわ。必然？まさか、、システム管理権限を奪取して不正を働いたなんてことはしてないわよ。そうかしら？私としては、、ふふ、なんでもないわ   (2024/12/12
16:18:21)

エロガキ♂19b ◆> その言い方...アドミちゃんならやろうと思えばやれそうだね...んー？アドミちゃんも何か言いたいことがあるのかなぁ？遠慮せずに言ってもらってもいいんだよ！！   (2024/12/12 16:20:29)

アドミニストレータ> あら、バレてしまったかしら？なんて嘘よ。私が管理権を得られたのはアンダーワールド内の話し、ここではその権限を行使できないのよ。大いにあるけれど、、無粋な話しを持ち出すのもここの空気感というものに合うのかはわからないから遠慮しておくわね。
  (2024/12/12 16:22:11)

エロガキ♂19b ◆> ここの特殊なバリアはアドミちゃんの権限をも凌駕するんだね...確かまえに、ハッキングしようとして低い出目を連発してた子もいたような、、(ログを見て)大いにあるんだ！？俺でよければ聞くけど...確かにここで話すのはあれだしね、、  
(2024/12/12 16:25:26)

アドミニストレータ> そういうことじゃないわ。単にシステム面が違うから、管理権を得るならまた一からやり直しと言うだけ。その子はとんだおバカさんね、、上手くいかないハッキングなんて、自らを危険に晒す行為にかわりないじゃない。いいのよ、真実というのはいつも人目に触れるべきという訳では無いもの。
  (2024/12/12 16:35:12)

エロガキ♂19b ◆> なるほど？あいにくとシステム系には詳しくないからなんともいえないね...公開しないほうがいい真実もあるもんね～...アドミちゃんがしてきたみたいに、さ！   (2024/12/12 16:38:41)

アドミニストレータ> 坊やにもわかりやすい喩えるなら、、そうね、、、同じような機械であっても、開発元が異なれば多少なりとも使い勝手が変わるとでも言えばいいのかしら？あら、私のしてきたことはアンダーワールドの為よ。坊やにとやかく言われるなんて、、いっそ、坊やの記憶も弄って新しい騎士にでもしてしまおうかしら。
  (2024/12/12 16:48:22)

エロガキ♂19b ◆> なーるほど...それは確かにわかりやすいかも！！妙に納得してしまったよ、、知恵も豊富だから教えることも用意って訳かな？...やれるものなら、、どうぞ？でも～...俺にそれが通用するかなぁー？あはっ！！ちょっと楽しみになってきたよ！！  
(2024/12/12 16:51:15)

アドミニストレータ> どうかしらね、、教えにくいことは教えにくいとしか言えないわ。喩えを出したとしてそれを相手が理解するかもまた別の話だもの。ふふふ、あはは！大丈夫よ、記憶の穴を探すのだって簡単じゃないもの。坊やの記憶を弄り回して遊ぶのはまたいつかね。  
(2024/12/12 16:59:15)

アドミニストレータ> 手が悴んできたわね、、そろそろ私も失礼しようかしら？   (2024/12/12 17:02:04)

エロガキ♂19b
◆> ということは今回のは比較的に教えやすかったわけだ...おかげで理解できたから、ありがとっ！ってのは伝えておくよ。記憶を弄り回すつもりが俺に食べられるかもよぉ～？お姉さんや女の子、男の娘まで俺の標的...そこに年齢の壁なんてないってのも教えてあげよう～！
  (2024/12/12 17:02:10)

エロガキ♂19b
◆> 無理しない程度に、俺はいつでもいるからまた話したくなったときや...食べられる覚悟が出来たときにでも話したり遊んだりしようねー！それにもう夕方...なんだかんだ、アドミちゃんもやることがあったりするんじゃないのかなぁ？自分の騎士さまたちの面倒とかさっ！
  (2024/12/12 17:03:46)

アドミニストレータ> どちらにせよそれはまたの機会ね。騎士達の面倒を見るつもりはないけど私はそろそろ行くわ。じゃあね、坊や。また会いましょ。   (2024/12/12 17:12:11)

おしらせ> アドミニストレータさんが退室しました。  (2024/12/12 17:12:18)

エロガキ♂19b ◆> 見てあげないんだ！？...なんとなくわかってたけど、、お疲れさまぁ～！！   (2024/12/12 17:13:51)

エロガキ♂19b ◆> さーて、、一旦俺も離席だぜぇ！！行くところがあるからな！！サラバッ！   (2024/12/12 17:23:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/12 17:23:46)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/12 19:24:37)

エロガキ♂19b ◆> こーんばんはぁ！！誰かおるかぁ！(バン！！)...ふっ、、誰もいないっ！！   (2024/12/12 19:25:44)

エロガキ♂19b ◆> んんー...あっちのほうもあんまりだし、皆ごはんちゅうかな～   (2024/12/12 19:41:41)

エロガキ♂19b ◆> っと、、ボーッとしててもあれだし一旦でよう～！！   (2024/12/12 20:00:50)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/12 20:00:52)

おしらせ> エロガキ♂18hxさんが入室しました♪  (2024/12/12 22:04:05)

エロガキ♂18hx> こんばんは～   (2024/12/12 22:04:11)

エロガキ♂18hx> 寒い～こんな日は人肌で温まりたい（毛布もあり）   (2024/12/12 22:07:46)

エロガキ♂18hx> 一旦またね～   (2024/12/12 22:20:22)

おしらせ> エロガキ♂18hxさんが退室しました。  (2024/12/12 22:20:24)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/12/13 00:02:20)

エロガキ♀15kb> やる気さんが動き出すのはいつのこと……そんなメスガキです（ぺこりっ   (2024/12/13 00:03:01)

エロガキ♀15kb> 師走で忙しくて……あれこれ考えてる時間と、考えなくてもいい時間の落差が激しいので、動きださない時はナニもしない、というのも一つの選択なんですけど、逆に落差が大きいと自分でいいのかと少し疑問を持ったりしちゃうんですよね。  
(2024/12/13 00:09:57)

おしらせ> 胡桃さんが入室しました♪  (2024/12/13 00:17:00)

胡桃> いよっ！寂しそうだからこっちに来ちゃった。   (2024/12/13 00:17:35)

エロガキ♀15kb> 理屈だけで話をするなら……体や心が休んでいるので、決して無駄ではない、いいことの一環なのですけど……疑問に思ってしまうのは人のサガという奴か……っと、どうもふーたんさんいらっしゃいませ！   (2024/12/13 00:18:50)

