/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月18日 07時34分 ～ 2024年10月19日 00時17分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂18Z> 優しい先生でも居眠りしたらそりゃ怒る   (2024/10/18 07:34:14)

エロガキ♂19b ◆> 時は20XX年...まだ、俺が保育園児の頃に遡るんや...   (2024/10/18 14:21:58)

エロガキ♂19b ◆> その頃俺の初恋の女の子がおってな、、お互い園児だったのもあってよく話したり遊んだり、頬にキスとかしてたんよ～   (2024/10/18 14:23:06)

フェルン> ……（それは唐揚げに掛けるレモンよりも酸っぱいのでしょうかね。）   (2024/10/18 14:23:40)

エロガキ♂19b ◆> でも、別れは必ず来るもので保育園を卒園するときにその事は違う学校になったんよ...   (2024/10/18 14:23:53)

エロガキ♂13A> マセガキだったんッスね19の兄貴   (2024/10/18 14:24:00)

エロガキ♂19b ◆> そのときにまたいつか遊ぼうねって約束をしたんだけど、それっきりその子と会うことはなかったんや...   (2024/10/18 14:24:50)

エロガキ♂19b ◆> それから、しばらくの時がたち今年のお祭りで、、たまたま保育園の皆で集まる機会があって～再開したんよ   (2024/10/18 14:25:45)

エロガキ♂19b ◆> 久しぶりに会ったその子はめっちゃ！可愛くて、、当初からまだ好きなのもあってなかなか顔をあわせれずに、その日は過ぎ去ってしまったんや...   (2024/10/18 14:26:38)

エロガキ♂13A> あぁ～わかるッス…………   (2024/10/18 14:27:16)

エロガキ♂19b ◆> でも、、次の日学校にいって昼休みに椅子に座ってだらけてたら、、なんと！その子が声をかけてきたんよ！どうやらたまたま同じ学校、、しかもクラスも俺のいるところの反対側ときた   (2024/10/18 14:27:42)

エロガキ♂14C ◆> （支援行ってこよ、挨拶はいらないぞっ。）   (2024/10/18 14:27:46)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/18 14:27:49)

エロガキ♂19b ◆> それから、一週間に３回ぐらいは昼休みとかにあうようになって、ご飯とかも食べにいくなかに、そして昨日勇気をもって来月ある文化祭に誘ってみたら、Okを貰えた、、というお話しでした～   (2024/10/18 14:29:37)

エロガキ♂19b ◆> ここから先のお話しはいまから紡いでいく、なんてね！   (2024/10/18 14:30:38)

エロガキ♂13A> 支援しか居なくなったっぽいッスから遊びに行って来るッス!!   (2024/10/18 14:32:19)

おしらせ> エロガキ♂13Aさんが退室しました。  (2024/10/18 14:32:31)

エロガキ♂19b ◆> なにか反応してくれないとお兄さん恥ずかしい思いしただけになるぞ！！！   (2024/10/18 14:32:36)

エロガキ♂13HL ◆> 19bお兄さんの物語はこれからどんなのになるのかなーとか思いつつ…その間に何人の女の子と致すんだろうって考えてたら頭少しごっちゃになりかけた♪まぁそれは置いといて甘酸っぱい物語でとても聞いてて楽しかったですよ♪(ぐっ)  
(2024/10/18 14:34:16)

エロガキ♂19b ◆> それはよかった、本当はこの話しはとある人に話すために温存してたやつなんだけど、話したい気分だったから話しちゃったぜ！！何人とするかは、、まぁ...うん   (2024/10/18 14:35:53)

エロガキ♂19b ◆> 都合よすぎる話しかもしれんけど、、まじで実話なんだよね....   (2024/10/18 14:36:45)

エロガキ♂13HL ◆> ふふ…意地悪言っちゃってごめんねbお兄さん♪そっちもこっちも沢山楽しんでねー！そして幸せがbお兄さんに訪れますように〜(祈り〜)   (2024/10/18 14:37:43)

エロガキ♂13HL ◆> そしてこういうの聞いたり見てたりしたら目も少し冴えてきて遊びたいけどこの時間集まるか分からないから動けない図がこれです♪(どや)   (2024/10/18 14:38:36)

エロガキ♂19b ◆> 13HL君ありがとう～！！女性人は大丈夫ー？変な話しすぎて硬直しちゃった？   (2024/10/18 14:39:07)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/18 14:40:35)

エロガキ♂19b ◆> あ、助けて14C！変な話しちゃったから女性陣が動かなくなっちゃった！   (2024/10/18 14:41:06)

エロガキ♂13HL ◆> おかえり〜支援お疲れ様♪   (2024/10/18 14:41:12)

エロガキ♂14C ◆> いやーいい話だった（？）でもなんか女性陣揃って寝てるし読み聞かせみたいになってない？   (2024/10/18 14:41:16)

エロガキ♂14C ◆> 僕に言われても……   (2024/10/18 14:41:33)

エロガキ♂13HL ◆> bお兄さん…助けれなくてごめんね……。(力不足)   (2024/10/18 14:41:45)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (2024/10/18 14:42:09)

エロガキ♂19b ◆> ラミィちゃーん！！ちゃんと寝てね、お疲れさま   (2024/10/18 14:42:25)

エロガキ♂13HL ◆> ラミィお姉さんお疲れ様♪   (2024/10/18 14:42:29)

エロガキ♂14C ◆> はいはい、呑兵衛ハーフエルフは風邪引かないようにね。（毛布でぐるぐる簀巻きにしておいてやる）   (2024/10/18 14:42:46)

エロガキ♂19b ◆> とりあいず恥ずかしいからなんかお話ししてログ流そう、そうしよう！   (2024/10/18 14:43:02)

エロガキ♂14C ◆> なんで後から恥ずかしくなるログ垂れ流すような事を……   (2024/10/18 14:43:59)

エロガキ♂19b ◆> 話したい気分だったんですー！！   (2024/10/18 14:44:17)

エロガキ♂14C ◆> まー、好きにすればいいだろーけどその責任は自分で取らなくちゃ、ね（にっこり）   (2024/10/18 14:44:56)

エロガキ♂19b ◆> んにゃ！！こんの...14C君はこんど、また罠にはめてやるからな！   (2024/10/18 14:45:30)

エロガキ♂13HL ◆> (傍観席…に移動……遠くからニマニマしとこw)   (2024/10/18 14:46:39)

エロガキ♂14C ◆> ホントはフェルンおねーさんも連れてゲームしに行きたかったけどお誘い振られちゃったしねー。次こそは釣って勝ってデカいの好き放題させてもらいたいところだなー。（多分帰ってきそうにないならタオルケットばさぁ）   (2024/10/18
14:47:00)

エロガキ♂14C ◆> まーだそれ言うか。あのねー、僕も気分が乗る時と乗らない時くらいあるんだからねー？   (2024/10/18 14:48:03)

エロガキ♂19b ◆> おっぱいの海に沈めてやる...(ガルルルルル！！)   (2024/10/18 14:48:42)

おしらせ> 無言時間が25分を超えたため、フェルンさんが自動退室しました。  (2024/10/18 14:48:42)

エロガキ♂19b ◆> あ、フェルンちゃんお疲れさま～！   (2024/10/18 14:49:11)

エロガキ♂14C ◆> 自分の手で潜りに行くからノーサンキューだよっ。さて、それじゃぼちぼち僕は落ちるとするよ。お先ー。   (2024/10/18 14:49:38)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/18 14:49:43)

エロガキ♂19b ◆> むぅ、、まあいいか..お疲れさま～   (2024/10/18 14:50:21)

エロガキ♂13HL ◆> フェルンさん、14cくんお疲れ様♪ゆっくり休んでね〜   (2024/10/18 14:50:47)

エロガキ♂13HL ◆> さーてと…bお兄さん僕も少し寝起きだからご飯食べてくるね！またお話しよ！   (2024/10/18 14:53:13)

エロガキ♂13HL ◆> お疲れ様♪   (2024/10/18 14:53:17)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが退室しました。  (2024/10/18 14:53:21)

エロガキ♂19b ◆> 了解ー、お疲れさま～！！   (2024/10/18 14:53:27)

エロガキ♂19b ◆> さてと、、おれもご飯食べに行こうかな(お昼食べるの忘れてた)   (2024/10/18 14:58:52)

エロガキ♂19b ◆> お部屋ありがとうございましたー！！   (2024/10/18 14:59:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/18 14:59:05)

おしらせ> フェルンさんが入室しました♪  (2024/10/18 15:13:43)

フェルン> 失礼しました。魔法の電文に急ぎの対応で動けませんでした。（ぺこりっ）   (2024/10/18 15:14:07)

おしらせ> フェルンさんが退室しました。  (2024/10/18 15:14:22)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/18 16:03:35)

エロガキ♂19b ◆> ご飯も食べて、元気になったとこでお話し相手募集してみたり～   (2024/10/18 16:04:38)

エロガキ♂19b ◆> もう少し遅い時間のがいいかな、、ありがとうございました。   (2024/10/18 16:23:49)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/18 16:23:49)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/18 20:18:32)

エロガキ♂14C ◆> さあゲーム部屋で待機しようかー、と思ったら全体的に人が少なくてびっくりした。こんばんは。……あれ、今日金曜だよね？   (2024/10/18 20:19:16)

エロガキ♂14C ◆> （下発言してから怖くなってもう一回カレンダー確認する程度に曜日感覚ぶっ壊れてる）   (2024/10/18 20:20:20)

エロガキ♂14C ◆> まあきっと大人のおねーさんたちはお酒飲んでるんでしょ、ってことにしとこ。いつもよく見かけるお仲間たちは大半が昼間眠たそうにしてたし、もしかしたら寝てるのかもね。   (2024/10/18 20:22:30)

エロガキ♂14C ◆> そして今見たらゲーム部屋1人いるね。今は1vs1だし様子見かなー。   (2024/10/18 20:24:00)

エロガキ♂14C ◆> ん……増えてる。それじゃ行ってみようかな。   (2024/10/18 20:26:50)

エロガキ♂14C ◆> 【駆けつけ一杯ラインナップ （任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）5:コーヒー（激苦）6:青汁   (2024/10/18 20:27:08)

エロガキ♂14C ◆> 1d6 → (1) = 1  (2024/10/18 20:27:11)

エロガキ♂14C ◆> ……うん、今の僕ならかてそーだ！   (2024/10/18 20:27:24)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/18 20:27:27)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/18 21:43:08)

エロガキ♂18D ◆> こんばんは……おや、珍しいですね、こんな時間に誰もいないなんて……ま   (2024/10/18 21:43:50)

エロガキ♂18D ◆> ひとりで一服しましょうか……   (2024/10/18 21:44:01)

エロガキ♂18D ◆> やはり金曜だからでしょうか、別の事をしてる可能性ありますね……   (2024/10/18 21:53:15)

エロガキ♂18D ◆> また来ますね   (2024/10/18 22:02:49)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/18 22:02:51)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/18 22:06:12)

エロガキ♂14C ◆> 流石に2連戦もやってゲーム欲も満たされましたとさ、こんぱんは戻りです。   (2024/10/18 22:06:42)

エロガキ♂14C ◆> 強いていうなら甘えてはいないけどねっ。それはまあ、うん。なんとでも？   (2024/10/18 22:07:27)

エロガキ♂14C ◆> それにしても今見たらなんかすごく分散してるっぽいねー？流石にもう応援行く気力はないけど、何処かに誰かが入れば雪崩れてきたりするんだろーか。   (2024/10/18 22:09:28)

エロガキ♂14C ◆> とりあえず僕はのんびりと雑談付き合ってくれそーなおねーさんとか待たせて貰うよー。おねーさんに限らずだけど！   (2024/10/18 22:11:44)

エロガキ♂14C ◆> そーいや下で今なら勝てる、と言ったけど1って最低値じゃん……始まる前から負けフラグ立ててたじゃん……   (2024/10/18 22:14:51)

エロガキ♂14C ◆> んー、流石に静かだなあ。   (2024/10/18 22:26:33)

エロガキ♂14C ◆> もー少し待って誰も来そうになければお部屋空けるねー。   (2024/10/18 22:27:19)

エロガキ♂14C ◆> いいや、そろそろてっしゅー。次はもう来ないでおねんねしちゃってるかもねー。それじゃ、お邪魔しましたっ   (2024/10/18 22:35:08)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/18 22:35:10)

おしらせ> エロガキ♂14Y ◆k8pvtbSZDcさんが入室しました♪  (2024/10/18 22:43:09)

エロガキ♂14Y ◆> こんばんは〜。今日は夜ふかしデーって決めたからな、沢山バトルするぞー！(両手に握り拳を作り大きく天へと伸ばし、オー！と掛け声)   (2024/10/18 22:45:23)

エロガキ♂14Y ◆> ……あんま空回りするのも良くないし、いつも通りのテンションに戻ろ   (2024/10/18 22:46:13)

エロガキ♂14Y ◆> ま、のんびり話相手募集かねぇ   (2024/10/18 22:47:43)

エロガキ♂14Y ◆> え゙っ、金曜の夜なのに関連部屋が賑わっていない…だと！？……まぁそういう日もあるか   (2024/10/18 23:04:59)

エロガキ♂14Y ◆> ちょっとダメ元で対戦部屋行こ〜   (2024/10/18 23:05:22)

おしらせ> エロガキ♂14Y ◆k8pvtbSZDcさんが退室しました。  (2024/10/18 23:05:33)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/18 23:14:49)

胡桃 ◆> 何かいい口上をって思ってたんだけど、普通に降りてきちゃった(だって堂主だし(謎理論)   (2024/10/18 23:16:32)

胡桃
◆> そしてログが見事にエロガキ達の屍の山みたいだね〜…皆ちゃんと成仏した？まだだったら私が葬儀を行ってあげるけど(こっちが本業だから！)週末の夜でみんなお疲れ様〜！私からのサービスは〜…何もないよ！(サプライズ？ハロウィン？そんなのなーんにも用意してないんだよ。)
  (2024/10/18 23:21:52)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/18 23:22:46)

胡桃 ◆> こんばんは、起きてたんだね。眠れなかったのかな？   (2024/10/18 23:23:11)

エロガキ♂14C ◆> 折角だから弔ってもらおうかな（？）こんばんは、堂主。寝ようか迷ってた矢先に1人でいたみたいだから折角だし来てみたよ。   (2024/10/18 23:23:32)

エロガキ♂14C ◆> いつも堂主人気なのにそれでも人が来ないあたり、本気でいないんだろーなと実感したよ。   (2024/10/18 23:24:28)

胡桃 ◆> 私が一人だからって寝るより優先することじゃないと思うけど〜？(くす)あと30分もしたら日付も変わっちゃうし、眠かったらちゃんと寝なよ？   (2024/10/18 23:24:53)

おしらせ> ラム ◆r8To80Q7JEさんが入室しました♪  (2024/10/18 23:25:01)

ラム ◆> 全くね、不敬だから今度落ち葉のお茶でも淹れてあげようかしら   (2024/10/18 23:25:36)

胡桃 ◆> 週末だから皆疲れてるんだよ……って思ってたら、こんばんは〜！   (2024/10/18 23:25:37)

ラム ◆> こんばんはね、   (2024/10/18 23:25:46)

エロガキ♂14C ◆> 眠い時は素直に寝るよ。無意味に起きてるよりは寝ようかな、くらいでお話相手がいるなら起きてよ、って感じ。あら、こんばんは。僕がそれ飲まされるのかなあ……   (2024/10/18 23:25:57)

ラム ◆> 貴方は家主を出迎えてるから雑巾の、、床を拭いた布の絞り汁で勘弁してあげるわ   (2024/10/18 23:27:03)

胡桃 ◆> (え？それじゃあ不敬って私のこと！？)   (2024/10/18 23:27:55)

エロガキ♂14C ◆> ……まだ葉っぱが使われてる分、さっきの方が遥かにマシな気がするんだけど。酷い扱いだなあ。（座布団に正座）   (2024/10/18 23:28:01)

ラム ◆> (1人しか出迎えをしていない事かしらね？←)   (2024/10/18 23:28:34)

ラム ◆> エロガキなんてそんな扱いで充分よ、それにラム程の美人が淹れるのだから感謝しても良いくらいよ   (2024/10/18 23:29:27)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/18 23:30:25)

エロガキ♂14C ◆> どれだけ美人さんで、どれだけおっぱいの大きなおねーさんに飲ませて貰うものでも雑巾の搾り汁は飲みたくないっ。   (2024/10/18 23:30:35)

胡桃 ◆> こ、こほん…。私は今日はもうまったりタイムだから、お話っていっても…そんなに楽しい話題はないかもだけど、14C君は今日幾らか対戦はできたのかな？   (2024/10/18 23:30:35)

ラム ◆> それじゃあラムは忙しいから行くわ   (2024/10/18 23:30:49)

胡桃 ◆> 19bさんこんばんは！   (2024/10/18 23:30:53)

ラム ◆> と思ったけれど増えたわね、こんばんは   (2024/10/18 23:30:58)

エロガキ♂14C ◆> あ、ぽんこつにーさんこんばんは。   (2024/10/18 23:31:03)

エロガキ♂19b ◆> なんだか扱いが雑だったりボスだったりレジェンドだったりいわれている19君です～、、こんばんは～   (2024/10/18 23:31:06)

胡桃 ◆> は、早くない？気をつけて行ってらっしゃい！   (2024/10/18 23:31:08)

ラム ◆> そう、じゃあ窓を拭いた後の絞り汁で良いわね。今度用意しておくわ   (2024/10/18 23:31:57)

エロガキ♂14C ◆> んー、まあそれなりには戦えたかな？戦績的にも黒星1個貰っちゃったけど、強いと噂のクラリスおねーさんに3勝もしちゃってるからねー。（ふんす）   (2024/10/18 23:32:02)

ラム ◆> それじゃあ一通り返事もしたから行くわ。返事は要らないからくつろいでると良いわ   (2024/10/18 23:32:33)

おしらせ> ラム ◆r8To80Q7JEさんが退室しました。  (2024/10/18 23:32:38)

エロガキ♂14C ◆> お願いだからふつーのお水飲ませて……？>ラムおねーさん。そしておつかれさまー。   (2024/10/18 23:32:43)

胡桃 ◆> クラリスさんって勝率高いんだ？私は普段なんとなくの勝ち負けしか見てないから、個人の戦績までは知らないんだよね。   (2024/10/18 23:32:49)

エロガキ♂19b ◆> ラムちゃんお疲れさま～   (2024/10/18 23:32:52)

胡桃 ◆> ラムさん…？いや、ラムちゃん？お疲れさま、また話そうね〜！   (2024/10/18 23:33:06)

エロガキ♂19b ◆> 最近クラリスちゃんは強いよねぇ..なんか服選びに付き合わされてるよ   (2024/10/18 23:33:19)

胡桃 ◆> …デートイベント？   (2024/10/18 23:33:38)

エロガキ♂14C ◆> って僕は聞いてる。少なくとも昨日までの記憶で言えば僕はクラリスおねーさんに散々おもちゃ扱いされたからねー……   (2024/10/18 23:33:43)

エロガキ♂14C ◆> デートイベントだよね……（ひそひそ）   (2024/10/18 23:34:05)

エロガキ♂19b ◆> クラリスちゃんのために夏服と冬服を選んだからね...ちゃんとサイト調べて結構大変だったからね！？   (2024/10/18 23:34:13)

胡桃 ◆> 私はあまり賽の目に恵まれてないからなぁ…。14C君がそそまで玩具にされてるのは……笑わないでおこうかな。   (2024/10/18 23:34:29)

胡桃 ◆> ほらほら   (2024/10/18 23:34:43)

胡桃 ◆> 聞いた？ねぇ、今の聞いた？(くすくす)   (2024/10/18 23:34:59)

エロガキ♂14C ◆> うん、聞いた。これはもう間違いないよねー。（こそこそ）   (2024/10/18 23:35:20)

胡桃 ◆> みんなーーーー！！聞いてーーー！！(めっちゃ大声。)   (2024/10/18 23:35:21)

エロガキ♂19b ◆> やめんかぁー！！！！   (2024/10/18 23:35:52)

胡桃 ◆> 19bさんがーー…っ！………(闇夜に紛れて紫髪のあの人に頭引っぱたかれたからやめた。)   (2024/10/18 23:36:34)

エロガキ♂14C ◆> （折角流れたであろうぽんこつにーさんのストロベリートークはデートイベントに上書きされるのであった）   (2024/10/18 23:36:35)

エロガキ♂14C ◆> 堂主の頭引っ叩けるようなおねーさんとは一体……   (2024/10/18 23:37:31)

エロガキ♂19b ◆> でも、結構ガチで考えたんよな...選んで、公式の絵に合うか確めてその上で提案してと、罰中の間にやるのは大変だった...   (2024/10/18 23:37:43)

エロガキ♂14C ◆> まあ僕自身も別にサイコロ強いわけじゃないしなあ。たまーに上振れを出して得点に寄与してる程度で、殆どおこぼれに預かってるだけが事実だよ。   (2024/10/18 23:38:42)

胡桃 ◆> 中々珍しい内容じゃない？まぁ…そもそも版権側が負けた時の罰が軽めになったり、特殊な傾向になりがちっていうのもあるかもしれないけど。   (2024/10/18 23:39:05)

エロガキ♂19b ◆> んま、下手に脱がされるよりはそっちのほうがいい！！   (2024/10/18 23:39:41)

胡桃 ◆> おこぼれって言い方がなんか、こう……お気の毒に…(可哀想な子を見る目。うん…一緒に勝利の女神様にお願いしようね。)   (2024/10/18 23:39:53)

エロガキ♂19b ◆> (勝利の女神って聞くとお尻振ってるゲームがでてくるよね)   (2024/10/18 23:40:32)

エロガキ♂14C ◆> まあ実際、口に出さないだけで負けたいおねーさんもきっとゼロではないとは思うけどね……負けてどうされるかまでは保証されないけど。（トオイメ）   (2024/10/18 23:41:10)

エロガキ♂19b ◆> 【ちょっと、離席、、モビルスーツに乗る時間だ】   (2024/10/18 23:41:51)

エロガキ♂14C ◆> すごく憐憫の眼差しを向けられてる気がする……！（勝利の女神様へ、どうか堂主のおっ……サイコロの出目がよくなりますよーに。）   (2024/10/18 23:42:27)

胡桃 ◆> 今失礼な事お祈りしようとしてなかった〜…？   (2024/10/18 23:43:46)

エロガキ♂14C ◆> 気のせい気のせい。ちゃんと出目が良くなるように真剣に祈ったんだから、効果出てるか振ってみなよっ。   (2024/10/18 23:44:30)

胡桃 ◆> 5d10 → (7 + 5 + 2 + 4 + 9) = 27  (2024/10/18 23:44:53)

エロガキ♂14C ◆> ……びみょー。   (2024/10/18 23:45:14)

胡桃 ◆> ……何か変わったのかな、これは…。   (2024/10/18 23:45:16)

エロガキ♂14C ◆> 5d10 → (10 + 2 + 9 + 9 + 3) = 33  (2024/10/18 23:45:25)

胡桃 ◆> 気付かなかったけど、19bさんはいってら…っしゃい？(離席だからいいんだよね？)   (2024/10/18 23:45:46)

エロガキ♂14C ◆> （離席でいいんだろうけど具体的にはよく分からない理由だったから静観してたよ）   (2024/10/18 23:46:24)

エロガキ♂14C ◆> そしてなんで僕の出目の方がよくなってるのか。   (2024/10/18 23:46:49)

胡桃 ◆> 今こそ勝負の時なんじゃない？(私から運を吸い取ってるだけかもしれないけど。)   (2024/10/18 23:47:21)

エロガキ♂14C ◆> 今日はもう散々勝負したからお腹いっぱいではあるんだよー。……   (2024/10/18 23:48:02)

胡桃 ◆> お腹いっぱいならあとは寝るだけだね。寝る前に(何とは言わないけど)こういうのを見てると眠れなくなったりしないの？   (2024/10/18 23:48:42)

エロガキ♂14C ◆> 甘えが足りない（？）冗談はさておき、なんだろーなー？すごく変な説明だけど、割とその辺はスイッチが入らないと気にならない、っていうのかなー？   (2024/10/18 23:49:52)

エロガキ♂19b ◆> 【戻りました～、、言い方悪くてごめん！！】   (2024/10/18 23:50:19)

エロガキ♂14C ◆> じゃないと僕が甘えておっぱいに顔埋める度にえっちな気分になるって事だし？そしておかえりー。   (2024/10/18 23:50:44)

胡桃 ◆> 冗談に聞こえないのはなんでだろうね？(下の捨て台詞見ながら。)あぁ、そうじゃなくって！ほら、光の話だよ。   (2024/10/18 23:51:11)

エロガキ♂19b ◆> そいで、、なんの話をしてたのかなー？あ、サイコロ振ってたのね   (2024/10/18 23:51:14)

胡桃 ◆> 19bさんおかえり！   (2024/10/18 23:51:23)

エロガキ♂14C ◆> 半分冗談じゃないからじゃない？（にっこり）あー、なるほど？確かに明るい光だとっていうのはあるけど、眠いなーって感覚は明るさ関係なく来るから、そうなったら明かり落としておやすみなさーいってする感じかな？   (2024/10/18
23:52:57)

おしらせ> エミリア ◆r8To80Q7JEさんが入室しました♪  (2024/10/18 23:53:07)

おしらせ> 愛宕さんが入室しました♪  (2024/10/18 23:53:21)

愛宕> はーい、お姉さん絶不調～   (2024/10/18 23:53:34)

エミリア ◆> 少し、ほんとにすこーしお邪魔するわね？   (2024/10/18 23:53:35)

胡桃 ◆> お先に挨拶！2人ともこんばんは〜！   (2024/10/18 23:53:38)

エロガキ♂14C ◆> 堂主のサイコロの出目がよくないって聞いたから、勝利の女神様にお祈りしたのに何故か僕の出目の方が大きかったっていう。   (2024/10/18 23:53:38)

エロガキ♂19b ◆> こんばんは～   (2024/10/18 23:53:43)

愛宕> あら、先っぽだけ入れに来たのかしら？（少し   (2024/10/18 23:53:54)

エミリア ◆> あら、こんばんは   (2024/10/18 23:53:56)

エロガキ♂14C ◆> エミリアおねーさんと愛宕おねーさんこんばんはー。   (2024/10/18 23:53:59)

エミリア ◆> 先っぽ？(無知キャラだから、、)   (2024/10/18 23:54:23)

愛宕> はーい、部屋主さんやほかの皆さんもこんばんは～　パンパカ出来てないお姉さんが来たわよ～   (2024/10/18 23:54:34)

エロガキ♂19b ◆> そういう日もあるさ～   (2024/10/18 23:54:51)

胡桃 ◆> もうバレてるんだから、素直に白状しちゃえばいいのに。(くす)……ブルーライトとか！寝る前ってあまり良くないんじゃなかったっけ？(もう隠せなかった。メタ発言に負けた、)   (2024/10/18 23:54:52)

胡桃 ◆> パンパカお姉さんの愛宕さんは今日絶不調なんだね〜…(ぱこぱこされてたのかは知らないけど。)   (2024/10/18 23:55:34)

エロガキ♂14C ◆> 不ぱんぱかおねーさん…？（表現）勝負の時はよわよわでいてくれると助かるけど、とはいえ絶不調なのもそれはそれで張り合いないもんねー。   (2024/10/18 23:55:41)

愛宕> 視神経が刺激されるから、ブルーライトは1～2時間前から見ない環境に居た方が目が休まるのよ～   (2024/10/18 23:55:41)

愛宕> 一緒だった団長さんがまさに1-4から一気に4タテで、もらい勝利だったからお姉さんやる気ゼロ～   (2024/10/18 23:56:30)

エロガキ♂14C ◆> あー、うん。よくないっていうね？……ただなあ、僕の中身が仮眠前とかでもパソコンの画面見たりするよーな環境にいるからねえ、慣れちゃってるのかもしれない。   (2024/10/18 23:57:06)

胡桃 ◆> 愛宕さん博識だね〜…私はそこまで詳しく知らなかったから、少し勉強になっちゃった。   (2024/10/18 23:57:33)

エミリア ◆> (ここの人たちならきっと強いんじゃないかなぁ、、？)   (2024/10/18 23:57:37)

胡桃 ◆> (私はいつもこう…大した数値出ないんだよ。)＞エミリアさん   (2024/10/18 23:58:03)

エロガキ♂14C ◆> 愛宕おねーさんがここまで振るわないのも、なんだか見ててかわいそーというか……きっと明日になればサイコロも機嫌直してくれるよ？多分。   (2024/10/18 23:58:48)

エミリア ◆> ふっふっふ〜、、私も出ないわよ、大体平均くらいだけよ(どやぁ、)＞胡桃さん   (2024/10/18 23:59:09)

胡桃 ◆> まさしく現代っ子って感じだね。そんなものばっかり見てないで、お化けの出そうな大自然の中でゆっくりしよ？(出ないとは言ってない。)   (2024/10/18 23:59:10)

愛宕> 視神経は特に脳に近いから。刺激されてると興奮状態で眠りが浅くなりやすいの。だから、理想は寝る2時間ん近く前にパソコンやテレビなんかのディスプレイは部屋でつけず、ぬるま湯で体を温めるとともに、目元だけは少し冷やしてあげてから寝るとぐっすりリラックスした眠りが得られる。とはよく聞くわね～
  (2024/10/18 23:59:23)

エミリア ◆> 最近1時間とかで目が覚めちゃうのは関係あるのかしら、、？   (2024/10/18 23:59:58)

愛宕> サイコロは運だもの～　むしろそういう強い人とコンビが出来ているのが今の私の運、ともいえるんじゃないかしら。   (2024/10/19 00:00:06)

エロガキ♂19b ◆> 少なくとも俺にはそれは無理なやつやなぁ...寝る直前まで遊んじゃうしなぁ   (2024/10/19 00:00:24)

愛宕> パソコンやスマホのつけっぱなしで数時間しか眠れないのは、まぁ刺激されてるでしょうね～   (2024/10/19 00:00:39)

エロガキ♂14C ◆> お化けの出そうな大自然の中で過ごすのも好きだけどねー？僕も引きこもりっ子ではないしっ。あ、肝試しプロデュースドバイ堂主とかやってよ（キラーパス）   (2024/10/19 00:01:11)

胡桃 ◆> 目を温めるっていうのは前からあるの知ってたけど、冷やす方が効果的な時もあるんだね。(どうしよ、為になるお話過ぎてメモしたくなっちゃった。)   (2024/10/19 00:01:27)

エミリア ◆> 寝る時はしっかり閉じて目も閉じてお部屋も暗くしてるけどだめなのね、、   (2024/10/19 00:01:58)

エロガキ♂14C ◆> 1時間しか寝れないのは本気で眠りが浅すぎる気がする……   (2024/10/19 00:02:01)

胡桃 ◆> プロデュース…ドバイ？(キラーパススルー。)   (2024/10/19 00:02:13)

愛宕> 体は温めて、興奮している目は少し冷やすね。キンキンにだと逆に温度差で目がさえてしまうから。　筋肉を運動後にアイシングするような感じの、目は柔らかいから緩めに行うっていう理屈じゃなかったかしら。（この辺はうろ覚え   (2024/10/19
00:02:37)

