/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 17時10分 ～ 2024年10月19日 23時22分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

ゆんゆん> この時間は微妙かもね…また夜になれば人が集まるかもだけど   (2024/10/19 17:10:58)
エロガキ♂18D ◆> 自分は一度抜けようかなと思います。小腹がすきまして……   (2024/10/19 21:39:57)

エロガキ♂18D ◆> 一度抜けますね、お疲れ様でした～   (2024/10/19 21:40:22)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/19 21:40:28)

エロガキ♂17L ◆> わかりました、では支援に参るとしましょうか、お疲れ様です   (2024/10/19 21:40:34)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (2024/10/19 21:40:36)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/19 21:43:46)

エロガキ♂18Z> こんばんは〜。のんびりしつつだらけていよう(ぐでん)   (2024/10/19 21:44:41)

おしらせ> 無言時間が25分を超えたため、パンドラ ◆r8To80Q7JEさんが自動退室しました。  (2024/10/19 21:44:51)

エロガキ♂18Z> おやすみなさい〜   (2024/10/19 21:45:04)

エロガキ♂18Z> 4-１か〜。えらい人数差だ   (2024/10/19 21:45:54)

エロガキ♂18Z> 短時間で終わった(はぇ〜…)   (2024/10/19 21:48:10)

エロガキ♂18Z> (あー、だから支援があんなに居たのか。理由理解した顔)   (2024/10/19 21:52:36)

エロガキ♂18Z> (作り置きしたベーコンチップスもぐもぐ)   (2024/10/19 21:55:36)

おしらせ> エロガキ♀15kbさんが入室しました♪  (2024/10/19 22:02:28)

エロガキ♂18Z> あんな感じになるのは何気に初めて見ますね〜   (2024/10/19 22:02:33)

エロガキ♂18Z> こんばんは〜   (2024/10/19 22:02:41)

エロガキ♀15kb> どうも～っと、何やら一波乱ですかね？   (2024/10/19 22:03:00)

エロガキ♂18Z> 罰部屋を見た方が早いかも〜？自分も初見で罰部屋を見てあ、なるほどってなりましたので〜   (2024/10/19 22:04:22)

エロガキ♂18Z> (説明するよりも見た方が早い…！)   (2024/10/19 22:05:06)

エロガキ♀15kb> ？？   (2024/10/19 22:05:38)

エロガキ♀15kb> まぁ、よくわからないとだけ   (2024/10/19 22:07:28)

エロガキ♂18Z> ある版権の方が罰で記憶操作？をされていてそれで支援沢山、ちょっとそこで一波乱な感じ？(うーん)   (2024/10/19 22:07:36)

エロガキ♂18Z> 自分も見た感じしか分かってないですからねぇ…   (2024/10/19 22:08:10)

エロガキ♀15kb> ん～あの   (2024/10/19 22:08:17)

エロガキ♀15kb> 記憶操作？は、この部屋では罰時間あとは消えてなくなるのでは？   (2024/10/19 22:08:31)

エロガキ♂18Z> 普通はそうですよねー？だから何でそんなに警戒してるんだろ？って思いながら眺めてましたゎ   (2024/10/19 22:09:32)

エロガキ♀15kb> むしろ事情が分かったないアタシからすると、4対1で絶対勝てないように一人を締め出ししてる悪意にしか見えないかな～って   (2024/10/19 22:10:19)

エロガキ♂18Z> まあ、同数+1位ならまだしも。数の暴力過ぎましたよね(なので自分は此方に来た次第ではありますが)   (2024/10/19 22:11:35)

エロガキ♂18Z> ゲーム性が余りに偏りますからねぇ。それだと余り楽しくないですしね(個人的な感想)   (2024/10/19 22:12:42)

エロガキ♀15kb> 素直にゲームを楽しめる確率としては……±1……2対4でワンチャンス。　3対5ならそこまで響かないくらいですかね   (2024/10/19 22:12:46)

エロガキ♂18Z> うんうん。自分もその確率で考えてましたー   (2024/10/19 22:13:24)

エロガキ♂18Z> 4対2はまじ善戦で楽しかった…   (2024/10/19 22:14:02)

エロガキ♀15kb> どういうあれかわかりませんが……ロールとして記憶操作を継続するかは受け側の自由もありますが……それを理由に、ルールでOKだよね？っていう潰し方は、ちょっと見ててよろしくないな～とは思いますね   (2024/10/19 22:14:40)

エロガキ♂18Z> まあねー。やるならゲーム性が偏らないバランスでしていきたいとこ。   (2024/10/19 22:16:06)

エロガキ♀15kb> 5d10 → (6 + 10 + 6 + 6 + 6) = 34  (2024/10/19 22:16:46)

エロガキ♂18Z> なのでよく人数を見て入るか入らないかを決めてますけどね〜   (2024/10/19 22:17:03)

エロガキ♂18Z> 5d10 → (8 + 8 + 1 + 9 + 9) = 35  (2024/10/19 22:17:14)

エロガキ♀15kb> と、4対1って……要するに、5d10を振った場合に、先手なら最初の、後手なら最後のサイコロが一番高く出る確率を、9回目までに5回引くのとほぼ同じ確率ですからね   (2024/10/19 22:18:10)

エロガキ♂18Z> たしかに〜。対戦部屋の出目数を見ていたらそうですよねー   (2024/10/19 22:19:09)

エロガキ♀15kb> あんまりきついことを言うと、胡桃さんに注意を受けそうですが……   (2024/10/19 22:20:02)

エロガキ♀15kb> ちょっと、後追いで入った人はゲームをゲームとして楽しむことを考えていただきたいかな～と……受け側は「多すぎるから出ていけ」っては言いにくいでしょうからね   (2024/10/19 22:21:35)

エロガキ♂18Z> んー、でもそれは悪意があって言うとかじゃないですしね。部屋の事を思っての発言だと思いますし、注意はされど間違いではないと思いますけどねー   (2024/10/19 22:21:53)

エロガキ♂18Z> 確かにー。理由はどうであれそこはきちんとして欲しいラインでしょうからねー。   (2024/10/19 22:23:02)

エロガキ♀15kb> アタシだったら、その場で寝返って3対2に出来るんですけどね～（あはは   (2024/10/19 22:23:14)

エロガキ♂18Z> 確かにwキタさんと初バトルができて非常に満足したぜ…   (2024/10/19 22:23:54)

エロガキ♂18Z> 最強コンビ強かった…(ぬー)   (2024/10/19 22:24:16)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/19 22:24:21)

エロガキ♂18Z> こんばんは〜   (2024/10/19 22:24:28)

パンドラ ◆> ぅ、、ごめんなさい、軽く意識飛ばしていました、、   (2024/10/19 22:24:48)

パンドラ ◆> こんばんは、   (2024/10/19 22:24:55)

エロガキ♀15kb> あ、あはは……ま、まぁアタシは気分屋ですけどね。　ア、ドウモパンドラサン・・・・・・アレな会話ですみません   (2024/10/19 22:24:55)

エロガキ♂18Z> 寝てください…   (2024/10/19 22:24:57)

エロガキ♀15kb> 貴方は段々、眠くなる～　貴方は段々、眠くな～る～   (2024/10/19 22:25:21)

エロガキ♂18Z> 気分屋だからこそ良さもありますからね〜   (2024/10/19 22:25:26)

パンドラ ◆> もう起きてしまいました、(目ぱっちり、)   (2024/10/19 22:25:41)

エロガキ♂18Z> お布団に入って目を閉じるんだ……   (2024/10/19 22:25:46)

エロガキ♂18Z> 駄目だ、ぱっちりおめめだ   (2024/10/19 22:26:03)

パンドラ ◆> それでもお呼ばれしているので行ってまいります、、また後ほどにでも、、   (2024/10/19 22:26:43)

パンドラ ◆> それでは皆様良い夜を、、   (2024/10/19 22:26:56)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/19 22:27:01)

エロガキ♀15kb> あら、いってらっしゃいませ～   (2024/10/19 22:27:03)

エロガキ♂18Z> 行ってらっしゃい〜。無理なくですよ〜   (2024/10/19 22:27:04)

エロガキ♂18Z> 今後同じ状況が起き無いといいけど、どうかな〜(ふーむ)   (2024/10/19 22:28:33)

エロガキ♀15kb> さて、とりあえず、そういう湿っぽい話は本人以外にしてもあまり意味がないですね。やめ、やめ！   (2024/10/19 22:28:47)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/19 22:29:15)

エロガキ♂14C ◆> やっほー、こんばんはーっ。   (2024/10/19 22:29:37)

エロガキ♂18Z> ですね。では話題を変えて……キタさんをどうやって勝つか考えるか……   (2024/10/19 22:29:45)

エロガキ♀15kb> どうも～こんばんは～   (2024/10/19 22:29:47)

エロガキ♂18Z> こんばんは〜   (2024/10/19 22:29:52)

エロガキ♀15kb> アタシは結構出目がブレますからね～……2対2か2対3場面でなら、意外とコロッと負けてたりしますよ？   (2024/10/19 22:30:24)

エロガキ♂14C ◆> お助けキタちゃんは寝返った時にすごく強敵に感じるんだよねー。寝返り乱数？   (2024/10/19 22:30:58)

エロガキ♂18Z> ふむふむ〜。なるほど…。でもせっかくだしタイマンで勝ってみたい気持ちもありますからね〜(2-2とかでもありだけども！)   (2024/10/19 22:31:52)

エロガキ♀15kb> 単に数字合わせというか～　基本２名差に成ったら、相手の希望がない限りは入れ替わることが多いですかね。＜前にトワさんだったかと約束が在ったので、そのまま3対1でやったことがあるくらい？   (2024/10/19 22:31:56)

エロガキ♀15kb> タイマン……ほぼやらないんですよね～……勝っちゃったら何も思いつかないのと……2対2以上がやっぱり楽しいので（あはは   (2024/10/19 22:32:30)

エロガキ♂18Z> まあ、罰女子側が何したら良いのか分からないですからねぇ…。確かに複数戦は楽しいのよく分かる…。またお見かけしたら挑ませて頂きます〜   (2024/10/19 22:33:51)

エロガキ♂14C ◆> 実際その寝返り能力（？）のおかげでいい塩梅にゲーム楽しませて貰えてるからとてもありがたいんだよねー。負けたら悔しいけど。   (2024/10/19 22:33:55)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/19 22:34:16)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/19 22:34:21)

エロガキ♂18Z> 追い込みが強い強い……   (2024/10/19 22:34:31)

胡桃 ◆> 19b君は待ち合わせ見てきてね〜   (2024/10/19 22:34:32)

エロガキ♂18Z> こんばんは〜   (2024/10/19 22:34:34)

エロガキ♀15kb> いらっしゃいませ～っと！！（フライング土下座   (2024/10/19 22:34:44)

エロガキ♂19b ◆> はい....今回はおとなしく受け入れます....   (2024/10/19 22:34:50)

エロガキ♂18Z> 素早い土下座だ。   (2024/10/19 22:34:57)

胡桃 ◆> 因みに呼び出してるのは私じゃないよ   (2024/10/19 22:35:01)

エロガキ♂14C ◆> 人攫いかと思ったら違った   (2024/10/19 22:35:08)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/19 22:35:50)

エロガキ♂14C ◆> 僕も知ってる人だねー。行って来なよ、ぽんこつにーさん。   (2024/10/19 22:35:55)

エロガキ♂19b ◆> あぁぁ...そういうことか...恥ずかしすぎる......   (2024/10/19 22:36:05)

エロガキ♂19b ◆> 失礼します...   (2024/10/19 22:36:24)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/19 22:36:25)

胡桃 ◆> 行ってらっしゃい。私は教えたからね？   (2024/10/19 22:36:28)

エロガキ♂14C ◆> そして堂主の通知力つおい。僕のスマホに入らない？（入れられない）   (2024/10/19 22:36:28)

エロガキ♀15kb> 部屋主でもないアタシが、生意気言ってすんませんした～（へへー！っと床に額ぐりぐり   (2024/10/19 22:36:48)

胡桃 ◆> つ、通知力…？(なんの事……？)   (2024/10/19 22:36:53)

エロガキ♂18Z> 画面の中で画像フォルダや検索履歴を見られそうだー   (2024/10/19 22:37:06)

エロガキ♂14C ◆> （まあ色々よく見てるよね、って意味なだけですようん）   (2024/10/19 22:37:17)

エロガキ♂14C ◆> ……ッ！そんなことされたら大変なことになるからやっぱアンインストールで！   (2024/10/19 22:37:40)

エロガキ♂18Z> まあまあ、人によって15さんみたいに思う方はいると思いますし、胡桃様もそこは分かっていると思うのであまり気に病まず〜   (2024/10/19 22:38:42)

エロガキ♂18Z> アンインストールの判断が早い…！   (2024/10/19 22:39:16)

胡桃 ◆> kbちゃんと18Zさんのあのお話しは気にしないでいいよ〜？止めようと思えば止められたけど、降りてこなかったってことはそういうこと。(ウインク☆)それより14C君は大丈夫？   (2024/10/19 22:39:27)

エロガキ♀15kb> いや～……本人居ない所でいうのは見ない可能性も大いにあるから非常に部屋の空気悪くするだけで、部屋主以外が呼び出しもせずにヤルのはあんまりいいことじゃないですからね～   (2024/10/19 22:39:38)

エロガキ♂14C ◆> ん？まあ大丈夫だよ、気にかけてくれてありがとね堂主。幸い、今日は皮を破かずにいたからなんとかなってるというか。   (2024/10/19 22:40:25)

エロガキ♂18Z> まあね〜。そこは自分も反省だ〜(ぐでん)   (2024/10/19 22:40:28)

胡桃 ◆> 雑談の場でも私を担ぎ出さなくていいんだよ〜…？そういう意見の交流もエスカレートしてレスバみたいにならなければダメってことはないし。   (2024/10/19 22:40:45)

エロガキ♀15kb> まぁでも、鉄は熱いうちに打て、ケツは痛くないように打て、膣は熱い棒で突けというように、やるにもタイミングありますからね。（へへ～、寛大なご判断をありがとうございます～   (2024/10/19 22:40:50)

エロガキ♂18Z> レスバはアカン…これ太古からの決まり   (2024/10/19 22:41:25)

エロガキ♀15kb> ま、そういうわけで……とりあえず、1対3盤面で、4・5人目に入る人は少し考えてどうぞ～で   (2024/10/19 22:41:41)

エロガキ♂18Z> うんうん   (2024/10/19 22:42:06)

胡桃 ◆> それは支援の上限を設けて欲しいってことでいいのかな〜？   (2024/10/19 22:42:18)

エロガキ♂14C ◆> 【反省（？）ドリンクラインナップ （任意）】1:コーラ 2:緑茶（熱め）3:コーヒー牛乳（ベタ甘） 4:レモネード（酸味強）5:コーヒー（激苦）6:青汁   (2024/10/19 22:42:26)

エロガキ♂18Z> 1d6 → (6) = 6  (2024/10/19 22:42:35)

エロガキ♂14C ◆> 反省レスで埋めたくなかったら飲めばいいよ（にっこり）   (2024/10/19 22:42:37)

エロガキ♂14C ◆> 1d6 → (3) = 3  (2024/10/19 22:42:45)

エロガキ♂18Z> うげぇ…(青汁受け取り)   (2024/10/19 22:42:57)

エロガキ♀15kb> ん～あたしとしては、最低限、味方じゃなく対戦相手に確認すべきかな～と、ルール明文化までは～と思うところなんですよね。マナー的な意味合いで   (2024/10/19 22:43:03)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/19 22:43:55)

パンドラ ◆> よいしょ、、と   (2024/10/19 22:44:02)

エロガキ♂18Z> おかえり〜   (2024/10/19 22:44:06)

エロガキ♀15kb> あ、ドラちゃんさんお帰りなさい。   (2024/10/19 22:44:15)

エロガキ♂14C ◆> （コーヒー牛乳ストレートでちゅーちゅー）まあすっとぼけるの抜きにして真面目に語るならば、ルール化する程ではないよねーと思うよ。空気読んでね、の一言で片付くレベルは言い過ぎかもだけど。   (2024/10/19 22:44:25)

エロガキ♂14C ◆> こんばんはーっ   (2024/10/19 22:44:32)

エロガキ♂18Z> ですね〜(青汁ちび…うげぇ……)   (2024/10/19 22:45:30)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/19 22:46:02)

エロガキ♂14C ◆> （骨ぽーい）   (2024/10/19 22:46:15)

エロガキ♂18Z> こんばんは〜   (2024/10/19 22:46:16)

エロガキ♀15kb> 実際、負けてもいいや～ってタイミングで入る人もいますからね。　それに明文化するにも……1対4はほぼ勝負決まっちゃいますけど、3対6なら結構全然いけると思うというか……1対3なら、ワンチャンスありそうなくらいでそういう盤面好む人もいるし～で、ルール的な明文化がすごく難しいと思うので
  (2024/10/19 22:46:18)

パンドラ ◆> はい、私も同じこと考えておりますので、降りてまいりました、、私は男性側が女性側の2倍数を超えないように、と少し気を使わせて頂いていますね。ただ圧倒的な多勢に無勢を楽しめる方もいらっしゃる様子なので本当に難しいのですよね、、  
(2024/10/19 22:46:28)

エロガキ♂18Z> それこそその人次第ですからね〜   (2024/10/19 22:46:59)

パンドラ ◆> こんばんは、   (2024/10/19 22:47:17)

エロガキ♂18Z> 昼にした4-2とか善戦したからまたやりたいものだ…(忽然)   (2024/10/19 22:48:15)

エロガキ♀15kb> なので、ルール明文化より大差になってるなと思ったら「大差だけど、入っても大丈夫？」と味方じゃなく相手にひと声かけるだけで、ご本人ははっきり断れない人もいるかもですが、周りからの目はマナーは守ってるんだな～と思えるかなっていう。  
(2024/10/19 22:48:16)

エロガキ♀15kb> マナーっていう言葉の便利さ全振りな意見ですみません。（へへ～   (2024/10/19 22:48:37)

栞葉るり> お昼にわたくしもエロガキ部屋の真理として語りましたが、エロガキ側が遠慮なくヤッてしまうと版権♀がいなくなっちゃうのでやっぱり気遣いや遠慮は大事かな、と。まぁお構いなしに入る人は結局入りますし、ここにいる人だけでもそういう心構えをしてもらえたらもう少しは長続きするんじゃないでしょうか。気分良く使えない場所にいつまでも居座れる人のほうが珍しいですからね、愛想つかされて居なくなられたら終わりですし。それを防ぐ必要があるんですよね
  (2024/10/19 22:48:49)

栞葉るり> ご機嫌麗しゅう〜。初手から漬物石を投げつけてしまいましたが！   (2024/10/19 22:49:21)

エロガキ♂14C ◆> （15ねーさんが言いたい事一通り言ってくれてるから言う事なしです（ずずず））   (2024/10/19 22:49:22)

エロガキ♂18Z> 14さんと同じく(青汁一気飲み)   (2024/10/19 22:49:49)

パンドラ ◆> けれどもその声掛けができる方がとても大事でとても素晴らしいので是非取り入れて頂きたくは思いますね、、私はあまり対戦はしませんけれど、時々混じってますので、、凄く横槍な意見ですが、、   (2024/10/19 22:50:14)

エロガキ♂14C ◆> るりおねーさんもこんばんは。   (2024/10/19 22:50:30)

エロガキ♂18Z> 勝ってパンドラさんを色々したかったぜ…(捲ったからまだよし)   (2024/10/19 22:51:02)

パンドラ ◆> 見られますか？(裾摘み、)   (2024/10/19 22:51:32)

エロガキ♂14C ◆> まー、あれだ。今回僕が開始前に気遣えなかったってことで。ハンドリングしてたの僕だし。   (2024/10/19 22:51:49)

パンドラ ◆> 先ほど軽く意識を飛ばしたお陰で目が冴えてしまいましたね、、   (2024/10/19 22:51:59)

エロガキ♂18Z> 見るなら個室なり多目的でおねしゃす…＞パンドラさん   (2024/10/19 22:52:11)

栞葉るり> まぁ安易にルール付け加えればいいというわけでもないですし、難しい問題なので。なるべく角が立たないやり方で遊んでもらえたら…？と   (2024/10/19 22:52:22)

胡桃 ◆> 結局のところ「ルールとして明確な提示はしなくていいけど、各々が配慮出来るような文言付け足して欲しい」程度で受け取っていい？＞kbちゃんとパンドラさん(というか彼女達に同調してる人)   (2024/10/19 22:52:54)

エロガキ♂14C ◆> さて、堂主が少しパンク気味な気がするのと僕が言える事は大体他の人たちと同意見だから一旦抜けとくよー。眠くなかったらまたくるかもねー。んじゃ。   (2024/10/19 22:52:54)

パンドラ ◆> はい、またの機会に、、(裾垂らして)   (2024/10/19 22:53:02)

エロガキ♂18Z> おやすみなさいー   (2024/10/19 22:53:06)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/19 22:53:07)

パンドラ ◆> あら、お疲れ様です   (2024/10/19 22:53:16)

胡桃 ◆> 14C君はお疲れさま〜、また今度ね！   (2024/10/19 22:53:19)

栞葉るり> お疲れ様でしたー   (2024/10/19 22:53:24)

エロガキ♀15kb> 14Cさんはお疲れ様～   (2024/10/19 22:53:38)

胡桃 ◆> 色々ログ取ってたから反応遅くてごめんねー！いつの間にか居たり帰ったりしてた人達は纏めてこんばんは！そして行ってらっしゃい！   (2024/10/19 22:54:00)

エロガキ♂18Z> またの機会か…パンドラさんの背後とか眠気が落ち着いたり大丈夫そうならお願いしようかな(おい)   (2024/10/19 22:54:01)

パンドラ ◆> 私としてはその認識で構いません。いざとなれば雑談へと逃げますので、、   (2024/10/19 22:54:02)

おしらせ> エレンさんが入室しました♪  (2024/10/19 22:54:13)

エロガキ♂18Z> こんばんは〜   (2024/10/19 22:54:21)

パンドラ ◆> こんばんは、   (2024/10/19 22:54:22)

胡桃 ◆> こんばんは〜！   (2024/10/19 22:54:35)

エレン> こんばんはー   (2024/10/19 22:54:38)

栞葉るり> お冷めな子(某楽曲)   (2024/10/19 22:54:41)

エロガキ♀15kb> ん～……と、説明文に書くほどでは正直ない、と思います。（あくまでアタシの一意見ですが）　そのくらいは、ルールだからいいよねじゃなく気を配れる大人になってよ。と、今回の方々に少し考えていただきたい。むしろそんな気を使いましょうって書いてる部屋に、初心者が入りにくくなりそうで
  (2024/10/19 22:54:50)

パンドラ ◆> やはり明け方でしょうか、、私が安定している時間は、、   (2024/10/19 22:54:56)

エレン> あの曲良いよね   (2024/10/19 22:54:59)

栞葉るり> いい…   (2024/10/19 22:55:04)

エロガキ♀15kb> エレンさん、なんだかお久しぶりです！こんばんは～   (2024/10/19 22:55:05)

エロガキ♂18Z> 様子見で入っても大丈夫そうなら入る。あ、これはって思ったら入らないのをしてますからなぁ……。   (2024/10/19 22:55:08)

エロガキ♂18Z> 明け方か〜…大丈夫だった(早起きマン)   (2024/10/19 22:55:40)

エレン> 久しぶり〜、♀15ちゃん   (2024/10/19 22:56:25)

エロガキ♂18Z> エレンさんよくゼンゼロでお世話になってるなぁ…(強いのなんの)   (2024/10/19 22:56:53)

パンドラ ◆> 曲、、晩餐の歌が私は最近頭を延々と埋めつくしてますのでどの曲かさっぱりと、、   (2024/10/19 22:57:28)

胡桃 ◆> 他に何か言いたいことが無ければ私は下がるけど、今回の話しは少し保留にさせてもらうね？まだ話しを聞かないといけない子もいるから、それで納得してくれる？   (2024/10/19 22:58:37)

パンドラ ◆> あぁ、本格的にお呼ばれしていますので私はこれで、、   (2024/10/19 22:58:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/19 22:59:03)

胡桃 ◆> パンドラさんは行ってらっしゃーい！   (2024/10/19 22:59:04)

エロガキ♂18Z> 片方の意見だけ聞くのは宜しくないですしねー   (2024/10/19 22:59:08)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/19 22:59:11)

エロガキ♂18Z> おかえりー   (2024/10/19 22:59:15)

胡桃 ◆> あ、おかえり〜！   (2024/10/19 22:59:16)

パンドラ ◆> 主の方から特に聞くことも無ければ私はこのまま失礼しますね？   (2024/10/19 22:59:18)

エロガキ♂19b ◆> 戻りました～...   (2024/10/19 22:59:18)

エロガキ♀15kb> 保留というか、アタシとして言った通り明文化より、単にこの話を当事者さんに聞いてほしかっただけなので……大事にしちゃってすみません（ぺこなん）   (2024/10/19 22:59:33)

エロガキ♀15kb> おかえりなさいませ～   (2024/10/19 22:59:41)

パンドラ ◆> おかえりなさい、   (2024/10/19 22:59:47)

胡桃 ◆> 今は無いよ！(どどん。)あとは私に任せて。(無駄にちょっと格好良く見せてみる。どう？)   (2024/10/19 23:00:06)

エロガキ♂18Z> 背後が終わったら寝てくださいね〜(出来たら3時間)   (2024/10/19 23:00:09)

おしらせ> 百城千世子さんが入室しました♪  (2024/10/19 23:00:15)

エロガキ♂18Z> こんばんは〜   (2024/10/19 23:00:20)

胡桃 ◆> 19b君はお疲れのところ悪いけど私と行こうか！   (2024/10/19 23:00:21)

エロガキ♀15kb> いらっしゃいませ～　と、お疲れ様です？   (2024/10/19 23:00:35)

百城千世子> こんばんは。あと何人か、いってらっしゃいなのかな？   (2024/10/19 23:00:40)

パンドラ ◆> はい、それでは逃げるついでに失礼しますね、、では入れ違い失礼します   (2024/10/19 23:00:41)

栞葉るり> ご機嫌麗しゅうー、いってらっしゃいませー   (2024/10/19 23:00:48)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/19 23:00:48)

エロガキ♂18Z> おやすみなさいー   (2024/10/19 23:00:58)

エロガキ♂19b ◆> わかりました～   (2024/10/19 23:01:02)

エロガキ♂18Z> 御二方も行ってらっしゃい〜   (2024/10/19 23:01:34)

百城千世子> あのとき人数差を埋めるために入るか悩んだけど、レイドボスみたいな扱いだったから私が入るとバランス崩しそうかなと思って見送っちゃった   (2024/10/19 23:01:40)

栞葉るり> それを楽しむ版権♀の人もいるので一概にダメとは言えないんですよねぇ   (2024/10/19 23:02:17)

エロガキ♂19b ◆> いくまえにこれだけ！！本当にすみませんでした！！！！！   (2024/10/19 23:02:26)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/19 23:02:29)

エロガキ♂18Z> だね〜   (2024/10/19 23:02:40)

胡桃 ◆> 言われなくてもそのつもりだったからそこは安心して。kbちゃんを責めるつもりもないし、あまり申し訳なさそうにしなくても大丈夫！   (2024/10/19 23:02:48)

おしらせ> エロガキ♀13εさんが入室しました♪  (2024/10/19 23:02:54)

エロガキ♂18Z> こんばんは〜   (2024/10/19 23:03:00)

栞葉るり> いらっしゃいませ〜   (2024/10/19 23:03:10)

エロガキ♀13ε> ちょっとだけ……今晩は……   (2024/10/19 23:03:14)

胡桃 ◆> よーし！私に対するレスはもう追えてないからまた後で！   (2024/10/19 23:03:18)

エロガキ♀15kb> いらっしゃいませ～♪（メスガキさんだ～♪   (2024/10/19 23:03:22)

エロガキ♂18Z> 元気がない…！？   (2024/10/19 23:03:28)

百城千世子> 会う人格がいたら入りたいと思うくらいには傍目に楽しそうに見えたよ。第三者としてだけど   (2024/10/19 23:03:31)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/19 23:03:56)

胡桃 ◆> 13…なんだっけ？(イプシロンだった。)εちゃんは入れ違いでごめんねー？私はちょっと行ってくるねー！   (2024/10/19 23:03:56)

エロガキ♀15kb> 大丈夫です！　適度に茶化したいのと……実際相手にきつく言いたいんじゃなくて、ちゃんと見てね～って伝えたいだけなので   (2024/10/19 23:04:00)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/19 23:04:01)

エロガキ♀13ε> ん－と……レイドです。   (2024/10/19 23:04:07)

エロガキ♀13ε> 行ってらっしゃい……   (2024/10/19 23:04:14)

栞葉るり> いってらっしゃいませー   (2024/10/19 23:04:20)

エロガキ♀15kb> あ、あ！？……お、お疲れ様です！   (2024/10/19 23:04:23)

栞葉るり> レイド…つまり輪姦されるという隠語ですね(？)   (2024/10/19 23:04:49)

エロガキ♀13ε> 私がヘイト集める事を言ったので、あれは平気だと思います……   (2024/10/19 23:05:00)

エロガキ♀15kb> 隷奴？   (2024/10/19 23:05:06)

エロガキ♂18Z> あ   (2024/10/19 23:05:11)

エロガキ♀13ε> そういう言葉…なんですね…知らなかった…   (2024/10/19 23:05:15)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/19 23:05:27)

胡桃 ◆> 待った！！当事者さん？   (2024/10/19 23:05:34)

エロガキ♂18Z> あー、13さんだったのか。理解   (2024/10/19 23:05:36)

エロガキ♀13ε> はい。当事者…です？   (2024/10/19 23:05:43)

エロガキ♀13ε> 支援300人とか記憶がとか言ったのは、キャラのつもりだったのですが……   (2024/10/19 23:06:10)

エロガキ♂18Z> (それをまじだと捉えてしまって起きたのかなと思ってしまった)   (2024/10/19 23:06:51)

エロガキ♀15kb> 貴方が気にしてないかが一番の問題ではありつつ、　同時にその情報の意味するところを作品として理解してない傍観者からすると多勢に無勢でいじめる部屋ともとれるので……13εさんは気に病むところではないですよ。   (2024/10/19
23:07:06)

エロガキ♀13ε> （マジを感じましたさっき……）   (2024/10/19 23:07:17)

百城千世子> 人数差が二人以上になる場合は劣勢側に確認推奨とか、そのくらいはあってもいいのかもね   (2024/10/19 23:07:25)

エロガキ♀15kb> と、（胡桃さんからお話がありそうだから、お口ちんｐ……お口ジッパー）   (2024/10/19 23:08:06)

エロガキ♀13ε> そうです？私、ヘイト集め得意なもので……けど、同じように悪者キャラがきたら、人数差で必ず負けちゃうかなとは、思います……   (2024/10/19 23:08:14)

エロガキ♂18Z> あまり気に病まずにだよ〜。なんならうちの10歳ショタチン見て元気を出してくださいな(ぇ)   (2024/10/19 23:08:19)

百城千世子> うん。おくちちんぽってなに？   (2024/10/19 23:08:39)

エロガキ♂18Z> フランクフルトかもしれない   (2024/10/19 23:08:53)

