/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月11日 13時57分 ～ 2024年11月12日 22時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

レモン・アーヴィン> えっと、大変なことってどんなことですか？   (2024/11/11 13:57:53)
エロガキ♂19b ◆> こんばんは～   (2024/11/11 23:22:30)

エロガキ♂14C ◆> （ボロクソ言われるだけの事してるからじゃないの？と辛辣な視線）   (2024/11/11 23:22:43)

クラリス ◆> こんばんは〜   (2024/11/11 23:22:46)

エロガキ♂19b ◆> お兄さんにそんな視線を向けても無駄無駄ァ！アルミホイルの精神をなめないでほしいね！   (2024/11/11 23:23:31)

エロガキ♂14C ◆> クラリスおねーさんたすけてー、19bにーさんがいじめるー（棒）   (2024/11/11 23:23:53)

クラリス ◆> なかよくしないと胡桃さんが来ますよ！（他にちゃんとした叱り方ないの？）   (2024/11/11 23:25:08)

エロガキ♂14C ◆> 堂主が来たら多分とりあえずで両方ぺしってやって両成敗、なオチしかみえない！ー！   (2024/11/11 23:25:47)

エロガキ♂19b ◆> すこしいたいんだよねあれ...   (2024/11/11 23:26:07)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/11 23:26:51)

クラリス ◆> （すこしで済むのかな〜）   (2024/11/11 23:26:58)

エロガキ♂14C ◆> （頭に鍋被る）   (2024/11/11 23:27:01)

エロガキ♂19b ◆> ほんとにきた！？   (2024/11/11 23:27:06)

胡桃 ◆> 呼んだ！？(エロガキ君2人をソフトターッチ！)   (2024/11/11 23:27:07)

エロガキ♂19b ◆> こんかいはやさしめだ！！   (2024/11/11 23:27:27)

胡桃 ◆> 残念！叱る訳でもないから叩きませーん！(ぶっぶー。)   (2024/11/11 23:27:36)

クラリス ◆> 胡桃ブラックさん！？（なにか混ざった）   (2024/11/11 23:27:52)

エロガキ♂14C ◆> 叩いて被ってじゃんけんぽんの勢いでつい被ってしまった……こんばんは、堂主！（すかすかっ）   (2024/11/11 23:27:59)

エロガキ♂19b ◆> そこは思いっきりきてほしかったなぁ～(ブーブー)   (2024/11/11 23:28:04)

エロガキ♂14C ◆> （確かに黒い）   (2024/11/11 23:28:13)

クラリス ◆> （叩かれたいんだ、って引き気味な顔）   (2024/11/11 23:28:43)

胡桃 ◆> じゃあ茶化しに来ただけだから帰るね〜♪(多分モンド出身レベルで自由な堂主。それはそれとして…14C君の頬は抓ったし、19bさんには…耳でも軽く擽って行こう。)   (2024/11/11 23:28:56)

エロガキ♂14C ◆> （クラリスおねーさんに倣って引き顔……いてててて、ほっぺた痛い！）   (2024/11/11 23:29:15)

胡桃 ◆> (クラリスさんには何もしないのもあれだし、お手てにぎにぎ、握手だけ〜♪)   (2024/11/11 23:29:26)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/11 23:29:28)

エロガキ♂19b ◆> バイバイ～くすぐったいよ！   (2024/11/11 23:29:50)

エロガキ♂14C ◆> 本当に茶化すだけ茶化して帰ってった！お疲れ様！   (2024/11/11 23:30:02)

クラリス ◆> （にぎにぎしながら次は勝つ決意を新たにするのでした！）   (2024/11/11 23:30:10)

エロガキ♂14C ◆> クラリスおねーさんにも今度勝負して、買ったら魔改造コスプレルーレットさせなきゃ……（？）   (2024/11/11 23:31:19)

クラリス ◆> なんか不穏な単語が聞こえた！？   (2024/11/11 23:32:04)

クラリス ◆> ←さんざん女装させた前科あり   (2024/11/11 23:32:36)

エロガキ♂14C ◆> だいじょーぶ！ちゃんと当たりも入ってるから！2/7くらい！   (2024/11/11 23:32:49)

エロガキ♂19b ◆> クラリスちゃんようの服を選んでは違ってなってる今日この頃～。次にやられたときの案が一向にでてこないんだよなぁ   (2024/11/11 23:33:24)

エロガキ♂14C ◆> （会って間もない頃は散々クラリスおねーさんの着せ替え人形にさせられてたよね、僕）   (2024/11/11 23:33:32)

エロガキ♂19b ◆> (そんな14cもいまや着せる側に回ったんやなって)   (2024/11/11 23:34:36)

クラリス ◆> 経験が生きた？   (2024/11/11 23:35:25)

エロガキ♂14C ◆> 勝手に後ろで腕組んで成長見守ってますみたいな役回りになろうとするのやめて？？？（げしっ）   (2024/11/11 23:35:37)

エロガキ♂19b ◆> ぐぇ.....   (2024/11/11 23:35:52)

エロガキ♂14C ◆> 元々僕自身脱がすより着衣プレイのほーが好きなんですー！   (2024/11/11 23:36:17)

クラリス ◆> （勝ち確と思いきや微妙に危ない感じなので戦線復帰〜）   (2024/11/11 23:36:34)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/11 23:36:43)

エロガキ♂14C ◆> （再び戦場へ帰って行った……敬礼）   (2024/11/11 23:37:16)

エロガキ♂19b ◆> (そっか...そんな時期か)   (2024/11/11 23:37:29)

エロガキ♂14C ◆> さーてと、それじゃダメ元でおっぱい枕してくれるおねーさん探しにいこーかな。来なけりゃそのままおねんねコース。   (2024/11/11 23:38:24)

エロガキ♂19b ◆> 俺も一旦落ちよー...14cは、、頑張って！！(フレーフレー！)   (2024/11/11 23:38:58)

エロガキ♂14C ◆> はいはい、静かに祈ってて。（耳栓）   (2024/11/11 23:39:18)

エロガキ♂14C ◆> じゃあいってきまーす、そしておつかれさまー。   (2024/11/11 23:39:26)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/11 23:39:30)

エロガキ♂19b ◆> ( ;´･ω･`)、、おつかれー！   (2024/11/11 23:39:30)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/11 23:39:32)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/12 00:08:45)

エロガキ♂19b ◆> 最悪だぁ！！！！！！   (2024/11/12 00:08:51)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/12 00:09:34)

エロガキ♂19b ◆> まさかの1秒さなんて...   (2024/11/12 00:09:37)

クラリス ◆> 入り直しますか〜？   (2024/11/12 00:10:28)

エロガキ♂19b ◆> 20分は入れないんです～。インターバルがねぇ   (2024/11/12 00:10:48)

クラリス ◆> あ、そういえばルール出来てましたね…   (2024/11/12 00:11:39)

エロガキ♂19b ◆> そういうこと～！！だから俺に構わずに行ってきても大丈夫よー！！クラリスちゃんとしたい子は沢山いるからね～(手で輪っかを作って指を抜き差しして)   (2024/11/12 00:12:49)

クラリス ◆> （引いた目）   (2024/11/12 00:13:16)

エロガキ♂19b ◆> ぐ...グフゥ...(吐血)   (2024/11/12 00:13:37)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/12 00:14:17)

クラリス ◆> 胡桃ブラックさん！（2回目）   (2024/11/12 00:14:59)

胡桃 ◆> (拝啓、勘違い脚フェチ19bさんへ。再待機だから…普通に対戦しに行くなら問題ないよ。追伸.おバカさん、)   (2024/11/12 00:15:12)

胡桃 ◆> フータオブラックって書かれたら余計ウの字の子に近くなりそう……！   (2024/11/12 00:15:36)

エロガキ♂19b ◆> ....そっかぁ(顔真っ赤)   (2024/11/12 00:16:21)

クラリス ◆> それは思いました！≫近くなる   (2024/11/12 00:16:21)

おしらせ> キタサンブラックさんが入室しました♪  (2024/11/12 00:16:38)

キタサンブラック> どうも～黒く染まっちゃうほどアフターが気持ちよかったですか？   (2024/11/12 00:16:54)

クラリス ◆> 元祖ブラックさん、   (2024/11/12 00:17:07)

クラリス ◆> （切れた）こんばんは！   (2024/11/12 00:17:25)

エロガキ♂19b ◆> こんばんは～   (2024/11/12 00:17:35)

キタサンブラック> 富山ブラックやらよりは元祖なキタちゃんです（チェキピース   (2024/11/12 00:17:38)

クラリス ◆> 戦いの火蓋が切られる予感（ゴゴゴゴゴ）   (2024/11/12 00:19:14)

エロガキ♂19b ◆> 勘違いしちゃったけど...勝負を申し込もうかな～っと   (2024/11/12 00:20:01)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/12 00:20:04)

キタサンブラック> クラリスさん、行かれたのですね（ほろり）   (2024/11/12 00:20:17)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/12 00:20:18)

キタサンブラック> では、アタシは人数が変化するまで、胡桃さんをもちゃくそに撫でまわしてましょう♡   (2024/11/12 00:21:03)

胡桃 ◆> なんのことかさっーぱり！(てへ、)でもお肌ツヤツヤになってそう、お互いに…お互いに？私もお知らせに来ただけで、とりあえず一度お暇しなきゃ…キタちゃん！今日は楽しませてくれてありがと、また遊んでねー！   (2024/11/12 00:21:24)

胡桃 ◆> うぇ！？私、絶対お尻撫でられる気がする！！   (2024/11/12 00:21:47)

キタサンブラック> え？今はちゃんと頭とかですよ？（スイッチは切ってますので♡ついてたら、遠慮しませんけど♡）   (2024/11/12 00:22:18)

胡桃 ◆> (恥ずかしいからって、キタちゃんの頬つんつん、つんつんつんっ、)   (2024/11/12 00:22:49)

キタサンブラック> うふふ♡アタシは、ちゃんとスイッチいれたら止まらない分。普段はスローリーなんです♡（頬つつかれても嬉しそうにニコニコ）   (2024/11/12 00:23:40)

おしらせ> 博麗霊夢さんが入室しました♪  (2024/11/12 00:23:45)

博麗霊夢> 赤は私のになったのよ、残念ながらね。こんばんは   (2024/11/12 00:24:03)

キタサンブラック> あら、どうもこんばんは？　初めまして、ですかね？   (2024/11/12 00:24:41)

胡桃 ◆> やっほー！お名前は確認してる人だ！キタちゃんと私でクロ黒コンビになってるけど、今度赤色は返上してもらおうかな！(にこにこ顔可愛いねって、最後に軽く額をなでり、)と…入れ違いになっちゃうけど、私は一旦退散するね。2人とも、また会おうね〜♪  
(2024/11/12 00:25:51)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/12 00:26:05)

キタサンブラック> 胡桃さんはお疲れ様です♪（ではまた、フータオブラックの時にコンビ組みましょう！）   (2024/11/12 00:26:38)

キタサンブラック> 対戦部屋、カードがそろってるみたいですけど、博麗さんは行かれない感じ、ですかね？   (2024/11/12 00:27:07)

キタサンブラック> とりあえず、ちょっとお助けキタちゃんしてきますね。（一旦失礼します。）   (2024/11/12 00:29:18)

博麗霊夢> いってらっしゃい。そうね、初めてかもね。…あー、対戦ね。ちょーっと見張っておかないと…またいつあれが現れるか分からないし、今回はパスよ。行ってきたいなら行ってきていいから、遠慮なんかしないでね   (2024/11/12 00:29:19)

おしらせ> キタサンブラックさんが退室しました。  (2024/11/12 00:29:21)

博麗霊夢> はいはい、いってらっしゃい、二人とも。じゃあ、私も戻ろうかな…   (2024/11/12 00:29:52)

おしらせ> 博麗霊夢さんが退室しました。  (2024/11/12 00:29:55)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/12 01:06:34)

エロガキ♂19b ◆> 帰ってきちゃうんですねぇ～、、実家のような安心感....(ぐでぇ)   (2024/11/12 01:06:55)

エロガキ♂19b ◆> クルクル～クルックル～クルクル～クルックル～クルクルリン～クルクルリン～クルックルっクルル～   (2024/11/12 01:09:28)

エロガキ♂19b ◆> 撤退～   (2024/11/12 01:26:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/12 01:26:07)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/12 07:40:54)

エロガキ♂19b ◆> おはよう～....誰もきてなかったのかぁ！？   (2024/11/12 07:41:18)

エロガキ♂19b ◆> 遊びに行ってみようかな   (2024/11/12 07:53:15)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/12 07:53:19)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/11/12 07:57:07)

星 ◆> （入室早々やらないといけないこと思い出した顔、）   (2024/11/12 07:57:35)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/11/12 07:57:40)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/12 08:19:39)

エロガキ♂19b ◆> 朝というかこの時間はやっぱ誰もいないんやなって   (2024/11/12 08:19:57)

エロガキ♂19b ◆> 昼に一瞬集まって、やっぱ夜が一番いいんやろうねぇ   (2024/11/12 08:31:01)

エロガキ♂19b ◆> のんびりゴロゴロしてるのが一番いいよねぇ...(ぐでぇ)   (2024/11/12 08:39:32)

エロガキ♂19b ◆> でも何だかんだやっぱり賑わうのは休みの日なんだよねぇ...   (2024/11/12 08:47:34)

エロガキ♂19b ◆> よーし...ちょーっと離席～   (2024/11/12 08:52:39)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/12 08:52:42)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/12 12:20:35)

クラリス ◆> お昼〜 おひる〜（謎の歌）   (2024/11/12 12:21:05)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/12 12:24:37)

クラリス ◆> こんにちは〜   (2024/11/12 12:24:59)

エロガキ♂14C ◆> おひるー、おひるんるん（悪？ノリ）   (2024/11/12 12:25:00)

エロガキ♂14C ◆> こんにちはー。昨日は戦場への復帰お疲れ様だったねー。（ぽんぽん）   (2024/11/12 12:25:32)

クラリス ◆> 実はまだ終わってないんですよ！（本戦3/4日目）ただ0〜7時がインターバルタイムなので！   (2024/11/12 12:27:04)

エロガキ♂14C ◆> うわぁ……（トオイメ）プリコネのクラバト期間がほんとかわいく思えてきた   (2024/11/12 12:27:57)

クラリス ◆> プリコネも1週間ぐらいありませんでしたっけ（数年前の遠い記憶）   (2024/11/12 12:29:09)

エロガキ♂14C ◆> 4日程度だったはず。月末の忙しい時にいつも気がついたら始まってるってイメージ   (2024/11/12 12:30:49)

エロガキ♂14C ◆> （ガキなのに月末忙しいのは変とか言わないでね！って何処かに向けてお願いしとこ（？））   (2024/11/12 12:31:35)

クラリス ◆> そういえば予選の概念ないですもんね（4日でも長いと言われればそれはそう）   (2024/11/12 12:31:58)

おしらせ> シンデレラさんが入室しました♪  (2024/11/12 12:32:15)

クラリス ◆> （中の人もガキだと捕まっちゃいます！）   (2024/11/12 12:32:30)

クラリス ◆> こんにちは〜   (2024/11/12 12:32:42)

エロガキ♂14C ◆> こんにちはー   (2024/11/12 12:32:52)

シンデレラ> こんにちは...素敵な声が聞こえたから来てしまったは......   (2024/11/12 12:32:55)

エロガキ♂14C ◆> 素敵な声……（じとー）悪いけど今からは勝負出来るほどの時間の余裕はないよっ   (2024/11/12 12:33:58)

クラリス ◆> ここは平日でも午後はそこそこ賑わう印象ありますね〜（もぐもぐ）   (2024/11/12 12:34:37)

シンデレラ> ふふっ...ずいぶんと嫌われてしまったかしら？安心しなさい..私も休憩に来てるだけよ   (2024/11/12 12:35:09)

エロガキ♂14C ◆> 僕も遊べるお昼と遊べないお昼ばらばらだからねー。遊べるお昼の人が多いのかなあ？   (2024/11/12 12:35:12)

エロガキ♂14C ◆> あれだけ酷い目に遭わされてるのにくっつきに行けるような神経はしてないよっ！！！（クラリスおねーさんの後ろに隠れて顔だけ出しとこ）   (2024/11/12 12:36:05)

クラリス ◆> （なにがあったんだろうな〜って表情）   (2024/11/12 12:37:13)

シンデレラ> 酷いわ...私はただ罰を与えただけなのに...どうして美しい私が嫌われないといけないのかしら？...美しいあなたもそう思うわよね？(クラリスさんを見つめて)   (2024/11/12 12:37:26)

クラリス ◆> ま、まあ我々（版権）も想像以上の罰で足が遠のいちゃう子はいますし...   (2024/11/12 12:39:55)

シンデレラ> そう....他の子が遠のいてしまうのは美しくないわね...もう少し加減するべきかしら？   (2024/11/12 12:41:10)

エロガキ♂14C ◆> まだロール続けられる分はマシだけど、中の人の気が萎えちゃうパターンは無きにしも非ずだよねぇ……   (2024/11/12 12:41:18)

シンデレラ> そう....なら聞かせて頂戴？前回あなたに与えたものは...萎えてしまうに入るしら？   (2024/11/12 12:42:32)

エロガキ♂14C ◆> そーいう意味ではまだシンデレラおねーさんのはロール出来るレベルだから別にいーんだよ？けど、僕のキャラクターとしては泣くほどやな罰ゲームなのは間違いない！（がるるる）   (2024/11/12 12:43:20)

シンデレラ> ふふっ...それなら安心したは...でも貴方にしたのはいい案だと思うの....エッチな子にはたまにはこういうことをしてあげないと..貴方に胸をさんざん触られた子が可愛そうよ...皆満足そうにみえるけど....   (2024/11/12
12:45:21)

クラリス ◆> 身につまされる話だぁ...（乱●が嫌いじゃないプレイヤーと至極ノーマルなキャラクターのせめぎ合い）   (2024/11/12 12:45:22)

エロガキ♂14C ◆> 中の人のNGならいちおー【】で拒否する権利はあるからねー。……クラリスおねーさんの葛藤が……！   (2024/11/12 12:46:10)

シンデレラ> 私はなんでも受け入れるは....苛めるのも苛められるのも好きだもの....ふふっ..次はどうしてあげようかしら   (2024/11/12 12:47:12)

エロガキ♂14C ◆> ん、今なんでもって……余計なことは言わない方が吉！（お口チャック）   (2024/11/12 12:49:13)

クラリス ◆> 【アフター部屋の後続乱入は一度やってみたいですけど、1組目の長期戦が前提なので、まあまあハードル高そう！】   (2024/11/12 12:49:59)

エロガキ♂14C ◆> 【しめし合わせ必須では？くらい難易度高そう……と思ったけど、休日ならワンチャンある、のかな……？】   (2024/11/12 12:50:49)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/12 12:51:05)

シンデレラ> あなたが私に勝てれば....なんでもしてあげるわよ(ニコッ)   (2024/11/12 12:51:21)

エロガキ♂14C ◆> おはどーしゅ！（すかすかっ）   (2024/11/12 12:51:24)

胡桃 ◆> 最長2時間くらい？観測してるから可能性が0ではないかな〜。   (2024/11/12 12:51:29)

クラリス ◆> 胡桃ブラウンさん！？（またバリエーション増えた！）   (2024/11/12 12:51:46)

エロガキ♂14C ◆> ブラックじゃなくなってる……   (2024/11/12 12:51:56)

シンデレラ> こんにちは...美しい人...   (2024/11/12 12:51:57)

胡桃 ◆> ただ、そもそもアフターまで行く人が個室にに行く割合も高いからね〜。(どちらかと言ったらあの部屋は個室苦手な人とか、多人数でアフターする向きなのかもしれない。)   (2024/11/12 12:52:48)

エロガキ♂14C ◆> （アフター部屋使ってるとなんだかんだROMってる人いるんだよね……やっぱ堂主はその1人……！あなたたちは見られている……！）   (2024/11/12 12:53:16)

胡桃 ◆> 私はその時々で色変えようかなぁって。(そのせいで名前が増えそう、)   (2024/11/12 12:53:22)

胡桃 ◆> (惜しい)   (2024/11/12 12:53:36)

シンデレラ> (皆覗きたがりなのね...)   (2024/11/12 12:54:41)

クラリス ◆> 初手からいきなり2時間コースだった！   (2024/11/12 12:54:52)

エロガキ♂14C ◆> シンデレラおねーさんにはしっかり仕返ししないとね……！僕の気が収まらない！   (2024/11/12 12:54:59)

胡桃 ◆> (ヒント※私の立場上の問題)   (2024/11/12 12:55:41)

エロガキ♂14C ◆> （あれ？ログ見て思ったけど僕アフター部屋使用率高い……？）   (2024/11/12 12:55:54)

エロガキ♂14C ◆> （お疲れ様なのよ……（ほろり））   (2024/11/12 12:56:11)

シンデレラ> できるといいわね....次はどうやって苛めてあげましょうか♡...   (2024/11/12 12:56:17)

胡桃 ◆> さて、そんなことはさておいて。私はお暇するね〜！(アフター部屋、乱交上等、乱れてよしby胡桃)   (2024/11/12 12:56:41)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/12 12:56:53)

エロガキ♂14C ◆> お疲れ様さまー（手ふりふり）   (2024/11/12 12:56:59)

クラリス ◆> おつかれさまです〜   (2024/11/12 12:57:30)

シンデレラ> お疲れさま...あまり張り切りすぎてはダメよ...肌がダメになって美しくなくなってしまうは...   (2024/11/12 12:57:45)

エロガキ♂14C ◆> さてと、僕もそろそろ戻らなくちゃだ！クラリスおねーさんもシンデレラおねーさんもまたねー！   (2024/11/12 12:58:30)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/12 12:58:33)

クラリス ◆> またね〜   (2024/11/12 12:58:58)

シンデレラ> お疲れ様よ...また会えたらいいわね   (2024/11/12 12:59:21)

シンデレラ> あなたももう行くのかしら？...   (2024/11/12 13:00:17)

クラリス ◆> あと15分くらいですね〜   (2024/11/12 13:00:50)

クラリス ◆> （もうちょっと罰のレパートリーは増やしたい）   (2024/11/12 13:03:18)

シンデレラ> (あなたの与える罰はどんなものなのかしら？)   (2024/11/12 13:03:42)

クラリス ◆> （女装させたりトランプしたり、いくつかはテンプレート化されてますけど、それはそれとしてオリジナルなこともしたいなあって）   (2024/11/12 13:05:29)

シンデレラ> (そう....女装と似たようなものにはなるけど...コスプレはどうかしら？そうね....あなたの世界の人の服を着せたり...どうかしら？)   (2024/11/12 13:06:55)

クラリス ◆> （なぜかテンプレートに存在してるんですよね、スクール水着とか、次元の壁を超えた服というかコスチュームの数々が...）   (2024/11/12 13:08:52)

おしらせ> エロガキ♂17A ◆AVb0X.89Wsさんが入室しました♪  (2024/11/12 13:09:11)

シンデレラ> (そうなのね...)   (2024/11/12 13:09:18)

クラリス ◆> こんにちは〜   (2024/11/12 13:09:37)

シンデレラ> こんにちは...   (2024/11/12 13:09:51)

エロガキ♂17A ◆> 美人なお姉様方、こんにちは〜   (2024/11/12 13:10:29)

シンデレラ> 来てくれたところごめんなさい...私はそろそろ行かないと行けないの。先にお暇させて貰うわね....   (2024/11/12 13:12:40)

エロガキ♂17A ◆> お疲れ様でしたー、またどこかでー   (2024/11/12 13:13:00)

シンデレラ> お2人ともまたどこかで会いましょう....   (2024/11/12 13:13:13)

おしらせ> シンデレラさんが退室しました。  (2024/11/12 13:13:15)

クラリス ◆> おつかれさまでした〜   (2024/11/12 13:13:21)

エロガキ♂17A ◆> よく見たらクラリスさんもそろそろっぽいですね、タイミング悪かった……！   (2024/11/12 13:13:51)

クラリス ◆> 17Aさんは今からお昼休みでしょうか、それともお休み？   (2024/11/12 13:14:24)

エロガキ♂17A ◆> 今日はお休みですよ〜   (2024/11/12 13:15:02)

クラリス ◆> そうなんです（しくしく）でも午前よりは午後のほうが人の入りは多い、はず！   (2024/11/12 13:16:01)

クラリス ◆> またいずれ〜   (2024/11/12 13:17:26)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/12 13:17:34)

エロガキ♂17A ◆> 夕方とか夜辺りだと割と賑わってるイメージ。はーい、お疲れ様でした〜   (2024/11/12 13:17:42)

エロガキ♂17A ◆> 少しだけ待機してみよう！   (2024/11/12 13:20:35)

エロガキ♂17A ◆> まあこの時間だと中々厳しいよねぇ……お邪魔しましたー   (2024/11/12 13:31:24)

おしらせ> エロガキ♂17A ◆AVb0X.89Wsさんが退室しました。  (2024/11/12 13:31:26)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/12 14:31:31)

エロガキ♂19b ◆> こんにちは～   (2024/11/12 14:31:37)

エロガキ♂19b ◆> やはり...誰も！！いないぜぇ！   (2024/11/12 14:49:41)

エロガキ♂19b ◆> 遊びに行こ～(n回目)   (2024/11/12 14:58:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/12 14:58:53)

おしらせ> シンデレラさんが入室しました♪  (2024/11/12 15:42:19)

シンデレラ> 勝負部屋にいた子がいなくなってしまわね...遊びたかったのだけれど...残念ね....   (2024/11/12 15:43:30)

シンデレラ> 帰りましょうか...   (2024/11/12 15:50:08)

おしらせ> シンデレラさんが退室しました。  (2024/11/12 15:50:12)

おしらせ> エロガキ♂17A ◆AVb0X.89Wsさんが入室しました♪  (2024/11/12 15:51:00)

エロガキ♂17A ◆> はっ、タイミングが悪かった……！   (2024/11/12 15:51:39)

エロガキ♂17A ◆> まあ折角落ちたんだし、暫く待機してみますか〜   (2024/11/12 15:55:34)

エロガキ♂17A ◆> またリベンジしに来よう！   (2024/11/12 16:14:51)

おしらせ> エロガキ♂17A ◆AVb0X.89Wsさんが退室しました。  (2024/11/12 16:14:53)

おしらせ> 中野 一花さんが入室しました♪  (2024/11/12 19:35:19)

中野 一花> お ぉ ~ 雑談部屋なんて あるんだね っ 。利用させて もらうようになって 数日経つけど 新参です 、よろしく っ ♡   (2024/11/12 19:36:21)

中野 一花> 今日は静かだね ~ .. 。また後で 来てみようかな .. じ ゃ っ 。   (2024/11/12 19:40:15)

おしらせ> 中野 一花さんが退室しました。  (2024/11/12 19:40:18)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/12 19:54:40)

エロガキ♂14C ◆> こんばんはー、時間が経つのも暗くなるのも早いよぉ！   (2024/11/12 19:54:56)

エロガキ♂14C ◆> 一花おねーさんが来てたんだね、また賑やかになるなーっ   (2024/11/12 19:57:18)

エロガキ♂14C ◆> もー少ししたら遊びに出てみよっかなー。   (2024/11/12 19:57:44)

エロガキ♂14C ◆> ……その前に少し運試しでもしよっかな。   (2024/11/12 20:03:14)

エロガキ♂14C ◆> 【駆けつけ一杯ラインナップ （任意）】1:コーラ 2:緑茶 3:水 4:レモネード（酸味強）5:コーヒー（激苦）6:青汁   (2024/11/12 20:03:31)

エロガキ♂14C ◆> 1d6 → (1) = 1  (2024/11/12 20:03:37)

エロガキ♂14C ◆> 数字は小さい！けど嬉しい！（瓶の王冠外してごくごく）   (2024/11/12 20:04:10)

エロガキ♂14C ◆> ……そーいや瓶コーラ売ってる自販機最近見た覚えがないよーな？   (2024/11/12 20:04:42)

エロガキ♂14C ◆> もしかして絶滅危惧種なんだろーか、なんて言い残して退散！30分になったらゲーム部屋いこーっと！   (2024/11/12 20:10:05)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/12 20:10:08)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/12 20:29:08)

エロガキ♂19b ◆> こんばんは...(パタリ)   (2024/11/12 20:29:49)

エロガキ♂19b ◆> 今日はあれだね絶妙に人同士が出会わないね   (2024/11/12 20:34:42)

エロガキ♂19b ◆> でも平和～、、いいね。うんすごくいい   (2024/11/12 20:36:21)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/11/12 20:44:47)

エロガキ♂15M ◆> おつかれ〜☆今日も頑張ったご飯が美味しい♪   (2024/11/12 20:45:48)

エロガキ♂19b ◆> こんばんは～...そういえばまだ飯食べてなかったなぁ～疲れすぎて忘れておったわぁ   (2024/11/12 20:46:23)

エロガキ♂19b ◆> そーして対戦部屋にカードが揃っていく～。今回はどうなるかなぁ～   (2024/11/12 20:47:11)

エロガキ♂15M ◆> うん、こんばんは。って、ご飯はしっかり食べないと！……今は飴玉しかないけどいる？(溶けてる19bの目の前に飴玉一つ) はい、あ〜ん   (2024/11/12 20:48:50)

エロガキ♂15M ◆> そろってるねぇ、こっから乱戦になるかも？   (2024/11/12 20:49:21)

エロガキ♂15M ◆> それてもサシかな？いつでも行けるように準備だけしとこ♪   (2024/11/12 20:50:53)

エロガキ♂19b ◆> あめ玉は貰うけどさすがにそれはしなくていいよ！？(あめ玉を受け取りパクり)増えたらいいけどねぇ～   (2024/11/12 20:51:05)

エロガキ♂15M ◆> えぇ〜…ツマンナイの(ﾌﾞｰﾌﾞｰ！)   (2024/11/12 20:51:38)

