/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2025年01月04日 10時57分 ～ 2025年01月15日 21時50分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> よし！！いこうー！！何だかんだお昼の用意もしないと！！   (1/4 10:57:30)
エロガキ♂17C> ああ、それと笑い話にもならない話を一つ。……皆、ガムは食べ過ぎに気をつけてね。訳あってそんなことをしまくった結果、お腹がすごく緩くなった。   (1/8 06:55:33)

エロガキ♂17C> さて、それじゃあそろそろ支度してこようかな。またね。   (1/8 06:56:38)

おしらせ> エロガキ♂17Cさんが退室しました。  (1/8 06:56:48)

おしらせ> エロガキ♂13Alさんが入室しました♪  (1/8 07:44:44)

エロガキ♂13Al> おはようございまーす！　あっちに行ったらますます追い詰めてしまいそうだからこっちに。朝のヨーグルトを食べている……   (1/8 07:45:20)

エロガキ♂13Al> 誰かと遊びたい気持ちもありつつなかなかこの時間に一人で飛び込む勇気はなさそうでもありつつ……！   (1/8 07:52:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/8 07:59:43)

エロガキ♂19b ◆> やあやあ～...すこし怒りぎみの19bですよー！！   (1/8 08:00:04)

エロガキ♂13Al> おはようー。何かあったの？　カルシウム取り損ねた？   (1/8 08:00:31)

エロガキ♂19b ◆> さっき勝負で勝ったんだけどさー、直後に背後呼ばれて...仕方なく！！苦渋の決断をして抜けてきたんだよ～！！なのにそれが一瞬で終わりやがってさぁ！！だったら残っておけばよかったよぉ！！！(大声)   (1/8 08:01:49)

エロガキ♂13Al> 当たり散らしても仕方ないし、攻撃的になると人に避けられちゃうから、もっと前向きに……罰ゲームできてたらどんなどエロいことしたかったとかの話をしよう！（前向きか……！？）   (1/8 08:03:16)

エロガキ♂19b ◆> 大丈夫大丈夫。落ち着いたから(突然)...はぁ...   (1/8 08:04:09)

エロガキ♂13Al> 本人が落ち着いたっていうならこっちからできることは何もない……！俺はヨーグルトを食べ終わった！カルシウムの力を借りてイライラしない人格の感性だ……   (1/8 08:08:03)

エロガキ♂19b ◆> ま、気分が落ち込んだ時とかの解決策として推しのグッズとかを眺めたりしてるからね～...あと！！お兄さんいると調子狂う子もいそうだし？(いるのかな？いないといって欲しい！！)   (1/8 08:10:01)

エロガキ♂13Al> 大きい声出したりしなきゃいいんじゃない？（てきとう）　朝から女の子といちゃいちゃしたい（脳直発言）   (1/8 08:14:18)

エロガキ♂19b ◆> それは難しいかも？俺から元気を取ったら何も残らないしね～   (1/8 08:15:04)

エロガキ♂13Al> 挿入しなくて良いからだいしゅきホールド状態で密着したい……（垂れ流し・欲望）   (1/8 08:20:31)

エロガキ♂19b ◆> 欲望が漏れてるねぇ～、、その気分のまま行ってみたら包容力のある子が来てくれるかも？いや、この時間だと...うーん！！   (1/8 08:21:56)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (1/8 08:23:38)

エロガキ♂13Al> こんな速い時間に人と会えるかどうか分からないから仕方ない仕方ない。……でも入ってきてくれてもいいんだよ！（上空に）   (1/8 08:24:10)

エロガキ♂17L ◆> (気配と音を消して入ってきてソファにパタリ)   (1/8 08:24:27)

エロガキ♂19b ◆> 入ってくるかは運しだいー、最近なんて特にね！   (1/8 08:27:14)

エロガキ♂13Al> おはよー……し、死んでるっ！（死んでない）   (1/8 08:27:20)

エロガキ♂17L ◆> 死んでないわ……精神的には死んでるけど……(片手ヒラヒラ)   (1/8 08:29:07)

エロガキ♂13Al> ふーむ！　エロガキばっかり3人集まってると圧が凄そうだから思い切ってゲーム部屋に行こう……それじゃね！　19bさんは17Lさんをよろしく。17Lさんは19bさんをよろしく。   (1/8 08:31:09)

おしらせ> エロガキ♂13Alさんが退室しました。  (1/8 08:31:14)

エロガキ♂17L ◆> よろしくって……どうしろと……(バタン)   (1/8 08:31:40)

エロガキ♂19b ◆> いってらっしゃい～...   (1/8 08:31:54)

エロガキ♂17L ◆> それにしても……彼女、雑談には来てたのは覚えてんだけど……勝負部屋の方って来てたか？   (1/8 08:35:36)

エロガキ♂19b ◆> 何回かは来てるんじゃないかな？んー、、なんとも言えへんなぁ   (1/8 08:39:03)

エロガキ♂17L ◆> ……まぁいいか   (1/8 08:40:01)

エロガキ♂17L ◆> さてと……日課(ゲーム)やってくるわ、また来るかは知らん   (1/8 08:42:21)

エロガキ♂17L ◆> んじゃ、お疲れ様   (1/8 08:42:30)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが退室しました。  (1/8 08:42:32)

エロガキ♂19b ◆> 気にしたら負けよ～！！いる女の子と遊ぼうって感じだからねー！！っと、、いってらっしゃいー...   (1/8 08:43:05)

エロガキ♂19b ◆> 1人になると静かになってあれよねぇ...(なんだよ)   (1/8 08:57:43)

エロガキ♂19b ◆> さーて、、そろそろ俺も行こっと！   (1/8 09:12:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/8 09:12:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/8 12:03:01)

エロガキ♂19b ◆> シュタ！！...お昼だぁ！！こんにちは！！誰もいない！   (1/8 12:03:26)

エロガキ♂19b ◆> ご飯終わりッと、んー、誰もいないねぇ...平日だから仕方ないけどね～！   (1/8 12:19:26)

エロガキ♂19b ◆> またみんなが居そうなときにこよっと！   (1/8 12:31:18)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/8 12:31:20)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/8 22:10:48)

エロガキ♂19b ◆> こーんばんは！！...誰かいるかー！！...いなさそうやな   (1/8 22:11:29)

エロガキ♂19b ◆> 話し相手がいないのはキツいねぇ...ゴロゴロするしかやること無い   (1/8 22:30:35)

エロガキ♂19b ◆> さて...そろそろいこうかなっと！、、まったねー！   (1/8 22:45:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/8 22:45:52)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (1/8 23:02:39)

エロガキ♂14C ◆> 最近夜更かしが出来ない僕だよ、こんばんは。今夜は起きてるかもしれないけどすぐにおねむになったりするかも？   (1/8 23:03:18)

エロガキ♂14C ◆> でもやっぱり遊びたいんだよなあ…しばらく空振り続きなんだもん。   (1/8 23:07:49)

エロガキ♂14C ◆> とは言っても相手がいての遊びだもんねー、仕方ないよね。（クッションに顔埋め）   (1/8 23:10:40)

エロガキ♂14C ◆> ん、お話してくれたり遊んでくれそーな人がいなかったらおねんねしよーかな。もーすこし待ってはみるけど。   (1/8 23:15:22)

エロガキ♂14C ◆> 今夜は素直におねんねしちゃお。おやすみなさーい。   (1/8 23:25:25)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (1/8 23:25:33)

おしらせ> エロガキ♂13Alさんが入室しました♪  (1/9 11:11:40)

エロガキ♂13Al> こんにちはー。寒さが身に染みてぶるぶる……。一度お相手してもらった人とまた遊びたいなーという気持ちが日々高まっていく……！   (1/9 11:13:07)

エロガキ♂13Al> 寒さで不安になってはいけない……！   (1/9 11:33:30)

おしらせ> 無言時間が25分を超えたため、エロガキ♂13Alさんが自動退室しました。  (1/9 12:20:43)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/9 20:13:59)

エロガキ♂19b ◆> こんばんはー、、なんか変なのついてね？ま、いっか！！   (1/9 20:14:43)

エロガキ♂19b ◆> 来る時間がちょっと早かったかなー？...ご飯まだだし軽く食べてこようかな...どうしよー？   (1/9 20:30:17)

エロガキ♂19b ◆> 食べてこよっと～！！   (1/9 20:37:14)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/9 20:37:15)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/10 00:13:47)

エロガキ♂19b ◆> こーんばんはー！！...誰か来るかなー？どうだろうかー？   (1/10 00:15:15)

エロガキ♂19b ◆> さすがにこの時間には誰もかなー？...うーん   (1/10 00:26:39)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (1/10 00:30:29)

十六夜咲夜 ◆> 来てみたわよ。   (1/10 00:30:43)

エロガキ♂19b ◆> ハロハロ～！！こんばんは。咲夜ちゃんー   (1/10 00:31:20)

十六夜咲夜 ◆> ええ、こんばんは。とは言っても皆さん寝る時間かしらね…   (1/10 00:31:59)

エロガキ♂19b ◆> いいこは寝てるかもね～。俺みたいに夜更かしばっかのやつはこの通り起きてるけどね～   (1/10 00:32:43)

十六夜咲夜 ◆> まあ、それもそうね…というかあなたいつ寝てるのよ…(時間止められる私が言うことでもないけど)   (1/10 00:33:38)

エロガキ♂19b ◆> さあ、いつでしょうか～。ま、いうて2～3時間は寝てるから大丈夫大丈夫！！   (1/10 00:34:28)

十六夜咲夜 ◆> いつも部屋にいるわねぇ…(じとー)   (1/10 00:35:58)

エロガキ♂19b ◆> 暇だからね、仕方ないね！！   (1/10 00:36:40)

エロガキ♂19b ◆> でも睡眠はしっかり取ってるんだよねぇ...   (1/10 00:38:36)

十六夜咲夜 ◆> 本当かしらぁ？   (1/10 00:39:10)

エロガキ♂19b ◆> ほんとほんと！！...なんなら誰かさんが寝落ちしたときは見守ってるまである(じー)   (1/10 00:39:38)

十六夜咲夜 ◆> …誰のことかしらね？   (1/10 00:40:21)

エロガキ♂19b ◆> さあね～...とっても可愛い子ってのは覚えてるんだけど～   (1/10 00:41:22)

十六夜咲夜 ◆> あら、そんな子がいるのねぇ(   (1/10 00:42:31)

エロガキ♂19b ◆> そうそう...めちゃくちゃ可愛くてさ！...反応も良くて～   (1/10 00:43:41)

十六夜咲夜 ◆> 反応？(気づいてない人)   (1/10 00:44:45)

エロガキ♂19b ◆> そうそう、攻めるとすごくいい反応してくれるんだよ～。まぁ、、それはまたいいとして～...咲夜ちゃんは今日は遊ばないのかなー？   (1/10 00:46:13)

十六夜咲夜 ◆> 見てみたいわねぇ…そうね、遊ぼうかしら？   (1/10 00:47:27)

十六夜咲夜 ◆> (はい、ど天然メイドがものすごく責められるフラグを建築しておきましたー)   (1/10 00:48:23)

エロガキ♂19b ◆> きっと咲夜ちゃんと遊びたい人は沢山いると思うよ～。まぁ誘ってくれたら俺も行っちゃうけどねー...   (1/10 00:49:00)

十六夜咲夜 ◆> まあ誰もいなさそうな気はしますが…行ってきますわね   (1/10 00:49:17)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (1/10 00:49:21)

エロガキ♂19b ◆> ...となると俺もいくのがあれ！！！   (1/10 00:49:46)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/10 00:49:47)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (1/10 01:35:34)

エロガキ♂14C ◆> こんばんは。寝付けなくて顔出ししてみたけど、タイミングが悪かったかな。   (1/10 01:35:53)

エロガキ♂14C ◆> 相変わらずタイミングに恵まれないね、僕は。   (1/10 01:36:35)

エロガキ♂14C ◆> ……ま、タイミングの悪さはもう慣れっこだけどさ。   (1/10 01:37:45)

エロガキ♂14C ◆> 甘えん坊も3年経てば消えるのも無理はないね、ってことがきっとよくわかるんじゃないかな。なんてね。   (1/10 01:39:39)

エロガキ♂14C ◆> なーんて、独り言言ってたところで仕方ないね。   (1/10 01:42:18)

エロガキ♂14C ◆> さて、それじゃ人も来そうにないし今夜は消えようかな。じゃあね。   (1/10 01:46:35)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (1/10 01:46:40)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/10 09:51:15)

エロガキ♂19b ◆> おっはようー！！なんだか一部のところで雪がすごいらしい？雪って見てる分にはいいんだけど外にでる？ってなったら嫌なんだよなぁ...みんなで遊ぶなら話は別だけど！   (1/10 09:52:53)

エロガキ♂19b ◆> さーすがに朝はねぇ...って感じだね～。どうしようかな～。雪山にでも突撃してくるか？....うーん   (1/10 10:08:12)

エロガキ♂19b ◆> よし決めた...せっかくだし遊びにいこう！！そうしよう！...そうと決まれば～突撃～！！   (1/10 10:23:43)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/10 10:23:46)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/10 19:12:52)

エロガキ♂19b ◆> やっほー！！こんばんは～...たまには外食というのも悪くないと思っております！！はい！！   (1/10 19:13:31)

エロガキ♂19b ◆> ご飯のあとってすごく眠くなるよね、ならない？...うーん！！なんか血糖値がなんとかかんとかとかきいたような！   (1/10 19:32:27)

エロガキ♂19b ◆> っとと...ゆっくりしてたら用事がが！！...この時間になんで来るかなぁ！！はぁ...   (1/10 19:49:18)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/10 19:49:19)

おしらせ> エロガキ♂12dさんが入室しました♪  (1/11 01:11:09)

エロガキ♂12d> こんばんはー   (1/11 01:11:26)

エロガキ♂12d> 夜遅すぎて誰もいなさそう…？   (1/11 01:11:48)

おしらせ> エロガキ♂15aさんが入室しました♪  (1/11 01:20:36)

エロガキ♂15a> こんばんは   (1/11 01:20:42)

エロガキ♂15a> あれ！寝ちゃったのかな   (1/11 01:23:31)

エロガキ♂15a> エロガキ♂12寝たのかな   (1/11 01:26:13)

おしらせ> エロガキ♂15aさんが退室しました。  (1/11 01:28:08)

おしらせ> 無言時間が25分を超えたため、エロガキ♂12dさんが自動退室しました。  (1/11 01:38:10)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/11 02:56:00)

エロガキ♂19b ◆> なーんか変な感じ～...こんばんはー！さすがにこの時間は...誰もいなさそうよな！   (1/11 02:56:59)

エロガキ♂19b ◆> さすがにか、、よし...寝よっと！！   (1/11 03:12:26)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/11 03:12:28)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/11 23:02:51)

エロガキ♂19b ◆> こんばんはーー！！！誰もいない？...いないかぁ   (1/11 23:03:04)

エロガキ♂19b ◆> 最近まじで出目が悪め？...運に見放されてる気がしなくもないんだよなぁ..こわい！！   (1/11 23:16:54)

エロガキ♂19b ◆> 今日はさすがに寝ようかね～...寝れるかどうかは別としてね！！さらばー！！   (1/11 23:32:37)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/11 23:32:39)

おしらせ> エロガキ♂13Alさんが入室しました♪  (1/12 07:39:31)

エロガキ♂13Al> おはよーございまーす。朝ご飯を食べる……。   (1/12 07:39:46)

エロガキ♂13Al> ふだんだらだらしてるからこれでも早起きなほう……。寝てしまわないように人と話したいなーと思ってきました！！   (1/12 07:45:47)

おしらせ> 無言時間が25分を超えたため、エロガキ♂13Alさんが自動退室しました。  (1/12 08:11:34)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (1/12 22:48:26)

エロガキ♂14C ◆> こんばんは。ここだけじゃなくて、全体的にやっぱり人が少なくなったような気がしてる。   (1/12 22:48:55)

エロガキ♂14C ◆> それはそれで寂しいけど仕方ないかー。ま、僕はそれでも時々にでも顔は出そうと思うけどね。   (1/12 22:54:57)

エロガキ♂14C ◆> それにしてもホント冷えるなあ。   (1/12 23:02:23)

エロガキ♂14C ◆> 誰かとお話したくて来ては見たものの、この調子じゃあね。もーすこし様子見てダメそうならおねんねかな。   (1/12 23:07:08)

エロガキ♂14C ◆> 長居しても仕方ない、か。またね、おやすみなさい。   (1/12 23:16:15)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (1/12 23:16:30)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (1/13 00:06:56)

十六夜咲夜 ◆> うーん、確かに全体的に減ってますわねぇ…楽しめればいいんですけどね   (1/13 00:07:21)

十六夜咲夜 ◆> 正月明けでみなさんお疲れはあるかもしれませんからね、落ち着いたらまたワイワイと。   (1/13 00:07:55)

十六夜咲夜 ◆> 今日は実はやることあるので顔出し程度です。   (1/13 00:08:25)

十六夜咲夜 ◆> …春が遠かった異変くらい冷えますわねぇ…寒い。   (1/13 00:08:51)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが退室しました。  (1/13 00:08:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/13 10:32:31)

エロガキ♂19b ◆> おっはようー！！...祝日とはいえ月曜日！！あんまり人はいないのかなー？なんてねー！   (1/13 10:33:03)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (1/13 11:03:24)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/14 16:31:43)

エロガキ♂19b ◆> こーんにちはー！！...誰かいるかな？   (1/14 16:32:00)

エロガキ♂19b ◆> 最近ちょっとスマホの調子が悪いような？...まさかとは思うけどゲームの入れすぎかなぁ？...   (1/14 16:42:38)

エロガキ♂19b ◆> ん、ちょっとやることが沸いてきたな...行ってこよっと！   (1/14 16:55:06)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/14 16:55:07)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/14 22:37:17)

エロガキ♂19b ◆> こんばんは～...ま、誰もいないんですけどねー   (1/14 22:37:38)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (1/14 22:50:12)

星 ◆> それはどうかな！（ばーん、）   (1/14 22:50:21)

エロガキ♂19b ◆> いやはや...最近はやるゲームが多くてヤバイ、明日からはオンパロスが...ってうおっ！！(ビクッ！)星ちゃんじゃんー！久し振り～！！   (1/14 22:50:55)

星 ◆> そんなに来てなかったっけ。……そっか、最近は私じゃない人ばかり呼んでた気がする、   (1/14 22:52:03)

エロガキ♂19b ◆> 5年ぶりぐらい？...確かに面白い子が来てたね～！まじで星ちゃんをみるのは久し振りよ..うん   (1/14 22:53:04)

星 ◆> 惑星によって時間の流れ方違ったりするし、その冗談は私たちのところだと冗談になりづらい……。まあ、今日もちょっと覗いてみただけだけど、もう少し顔出そっか？   (1/14 22:54:31)

エロガキ♂19b
◆> あははっ..ごめんごめん～！！正確には半月から1ヶ月ぐらいじゃないかな？...たぶん！！あ、予定があるならそっち優先でも大丈夫よ～？俺はいつもここにいるしね～！...その辺はお任せしちゃいます！！俺もまだ居座る(言い方)つもりですしー！！   (1/14
22:56:28)

星 ◆> 年末に挨拶して、それ以来か……。ま、あんたが居てくれるなら大丈夫でしょ。（適当、予定ある日はそもそも覗きもしないし大丈夫。）   (1/14 23:00:13)

エロガキ♂19b ◆> そそ、それ以来...喋るのはそれよりももっと前。気がついたらこんなにたってるからね～。そうそう！！基本暇人の私がいますのでね！！...ま、ほんとに人足は減ったんだけどさ～   (1/14 23:02:32)

星 ◆> ……んー、だめだ。暫く話そうと思ったけど眠気が来ちゃった。ごめん19b、また今度。……いや、明日からは暫く大活躍の予定だからそっちで私を見ててよ、（いざオンパロス、）   (1/14 23:03:38)

エロガキ♂19b ◆> 23時だからね、仕方ない仕方ない！！...また話せるときにでも、ね！！オンパロスでも星ちゃんの足をみながらゆっくりと攻略を...いや、キャストリスちゃんのドラゴンに心をもってかれそう...！！   (1/14 23:04:58)

星 ◆> 相変わらず脚ばっかり……。じゃ、またね。19bも寝落ちしないように。（最近はしてないけど、って。手振り、）   (1/14 23:06:06)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (1/14 23:06:11)

エロガキ♂19b ◆> 好きなものは仕方ない～！！...おやすみ～！！   (1/14 23:06:59)

エロガキ♂19b ◆> ん...どうしようかなー、、勝負部屋に...うーむ   (1/14 23:22:06)

エロガキ♂19b ◆> よし、あとで行こうかな！...ちょっと色々やってこよっと！   (1/14 23:35:04)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/14 23:35:05)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (1/15 07:54:26)

エキドナ ◆> 今更、、になってしまったね、。   (1/15 07:55:08)

エキドナ ◆> 落ち着いたと言う報告と、、後はまた今度にしようか、   (1/15 07:56:23)

エキドナ ◆> とりあえず顔は出せたけど、時間帯的に人が来る期待はしない方が良いかな、、   (1/15 07:58:19)

エキドナ ◆> また改めて来るとするよ、   (1/15 08:00:26)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (1/15 08:00:37)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (1/15 08:37:38)

エロガキ♂19b ◆> おっはようー！！...ってさっきまで誰かいた！？なんだか最近見てない人がいたような気がする！！   (1/15 08:38:39)

エロガキ♂19b ◆> さすがにこの時間はね～...朝なんて誰もいねぇよ！！って感じっぽいね。外でたくない...(唐突)   (1/15 08:57:13)

エロガキ♂19b ◆> っとと...いったん離席だぜ～。(誰にいってる？知らねぇ！！)   (1/15 09:03:29)

エロガキ♂19b ◆> ちょっと長くなりそうだしこのまま帰ろっと！、まったねー！   (1/15 09:11:07)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (1/15 09:11:08)

おしらせ> キタサンブラックさんが入室しました♪  (1/15 20:53:59)

おしらせ> キタサンブラックさんが部屋から追い出されました。  (1/15 20:56:23)

おしらせ> キタサンブラック.さんが入室しました♪  (1/15 20:56:23)

キタサンブラック.> なんだか、微妙に接続の調子が悪いアタシです……こほんっ   (1/15 20:56:44)

キタサンブラック.> 長期休みの後の１週間過ごしてだからか、非常に無気力状態なのがよろしくないな～と思う今日この頃……やる気なんてのは動いていればその内どうにかなると思っていたんですが、動くの自体にだらだら感がある悪循環   (1/15 20:58:30)

キタサンブラック.> 何か変化を求めて、最近そういえば来てなかったなと夜の接続を心見るも、そちらもパリッとしない……なんでしょうかね。この悪循環オブ悪循環……少し大人しく休めということなのか   (1/15 21:01:31)

おしらせ> エロガキ♂18hxさんが入室しました♪  (1/15 21:09:08)

エロガキ♂18hx> こんばんは～   (1/15 21:09:14)

キタサンブラック.> いらっしゃいませ～   (1/15 21:09:36)

エロガキ♂18hx> いらっさいました～はじめまして   (1/15 21:09:50)

キタサンブラック.> 始めまして……なのですかね。どうも、数字とローマ字だけなので、あんまり判別つかなくて   (1/15 21:10:36)

エロガキ♂18hx> あはは、確かにそうかも…ぼくは初めて会いますね、キタサンブラックさんには！   (1/15 21:11:19)

おしらせ> トウコさんが入室しました♪  (1/15 21:12:18)

エロガキ♂18hx> こんばんは～   (1/15 21:12:31)

トウコ> こんばんは   (1/15 21:12:34)

エロガキ♂18hx> はじめましてです！   (1/15 21:12:41)

キタサンブラック.> あぁ、どうも。どこぞの学園からこっそり来てます、キタサンブラックです（ぺこりっ）　接続が不安定な現状ですが   (1/15 21:12:41)

キタサンブラック.> どうも、そちらの方もいらっしゃいませ～   (1/15 21:13:17)

エロガキ♂18hx> 寒いですね～   (1/15 21:14:12)

トウコ> 長期の休みあとは本当にやる気がおきなくなりますよ。   (1/15 21:15:18)

エロガキ♂18hx> まーわかります、やる気は確かに…   (1/15 21:15:36)

キタサンブラック.> 今がまさにアタシはそれっぽいですね。いえ、１週間たったしいい加減本調子に戻せという話なのですけど……なかなか、思うように体が動かず、凡ミスするから余計に気持ちも乗って来ないというかなんというか   (1/15 21:16:16)

エロガキ♂18hx> なかなかつらいですね…   (1/15 21:16:36)

おしらせ> 十六夜咲夜 ◆t1X293JlUEさんが入室しました♪  (1/15 21:19:19)

十六夜咲夜 ◆> 皆様こんばんは。まあこの時期はね…   (1/15 21:19:33)

キタサンブラック.> どうも、いらっしゃいませ～　咲夜さんだ～   (1/15 21:19:43)

トウコ> 休みすぎて、だらけてしまうと身体を上手く動かせないとかなり辛いですからね。なかなか治りませんよね。   (1/15 21:19:58)

エロガキ♂18hx> こんばんは～   (1/15 21:20:11)

トウコ> こんばんは   (1/15 21:20:24)

エロガキ♂18hx> そんなときは、切り替えて遊ぶとか？   (1/15 21:20:39)

キタサンブラック.> 目標意識、みたいなのが在れば違うんでしょうけど……年末にいろいろ一段落させるぞ～って意気込んだ後なので、一旦リセットしているというか、今から再度止めた物を動き出してるというか……   (1/15 21:20:59)

キタサンブラック.> それが余計に、あ～これはまぁ動かさないでも雪だし良いかな～とかなっちゃって……後手後手になって状態もゴテゴテして、後手ループに陥るといいますか……あー、あ゛ー、あ゛ー   (1/15 21:21:50)

エロガキ♂18hx> 完全にダメなパターン   (1/15 21:22:55)

十六夜咲夜 ◆> 気負いすぎるのもあれですけど、適度にってところなのかしら…   (1/15 21:24:59)

トウコ> そう思いたいけど、以外できないこともありますけど   (1/15 21:25:50)

キタサンブラック.> 人はやっぱりパンのみに生きるにあらず。心にも何かしらの栄養と刺激、消費が必要なんですよね。   (1/15 21:26:02)

エロガキ♂18hx> ですね、どうにもならないときは、無理にやることも…   (1/15 21:26:15)

キタサンブラック.> １月が、お正月という一大イベントのおかげで、そのあと節分やらまで大きいイベントがないかた、目的意識を見失いがちなのがだめなのかなと……何かやる気スイッチを押すものが無いとな～なんでしょうけどね   (1/15 21:27:01)

エロガキ♂18hx> みなさん大変なんだな～   (1/15 21:28:03)

十六夜咲夜 ◆> まあ…よしよし…   (1/15 21:30:40)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (1/15 21:30:43)

エロガキ♂18hx> こんばんは～   (1/15 21:31:01)

トウコ> こんばんは   (1/15 21:31:11)

エロガキ♂17L ◆> こんばんは……ふぅ一息入れに来たけど、なんか盛り上がってる？   (1/15 21:31:21)

エロガキ♂18hx> じゃあ、そんなキタサンブラックさんと遊びに行こうか（←え）   (1/15 21:31:23)

キタサンブラック.> どーもー、いらっしゃいませ～   (1/15 21:31:59)

十六夜咲夜 ◆> こんばんは。まあ…話題はさておいて。   (1/15 21:32:39)

キタサンブラック.> ん？はぁ……どういう話の流れでしょうかね？   (1/15 21:32:46)

エロガキ♂18hx> あはは、冗談です   (1/15 21:33:09)

エロガキ♂17L ◆> なるほどねぇ……   (1/15 21:34:04)

十六夜咲夜 ◆> …一息入れるのはアリといえばアリかしらね？   (1/15 21:37:27)

トウコ> ありだと思いますよ   (1/15 21:38:01)

エロガキ♂17L ◆> まぁ、それもそうかもな、俺の場合はゲームの周回でひと段落着いたから一息入れに来た感じだし   (1/15 21:38:31)

キタサンブラック.> 一息……がいいのか、こういう時こそ普段から、何か日課をもって、恒常的に目的意識がある人がうらやましいというか   (1/15 21:38:33)

エロガキ♂18hx> 一息入れて気持ち切り替えたら、できたりしますからね…   (1/15 21:39:20)

エロガキ♂17L ◆> 何事にも一旦クールタイムは必要だからな、詰めすぎてやり込んだらそれこそ空回りすることもあるから、少し休んでまた作業するのは全然良いと思うし   (1/15 21:41:15)

十六夜咲夜 ◆> そうそう。(無意識にキタちゃんよしよしして)   (1/15 21:41:36)

キタサンブラック.> ん、ん～♪（耳ペタンッとして、気の知れた方に撫でられるのは嫌いでもない♪）   (1/15 21:42:31)

エロガキ♂17L ◆> ……(ココアシガレット咥えてポリポリ食べ始めて)   (1/15 21:42:42)

