/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月22日 12時13分 ～ 2024年10月22日 21時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

星 ◆> お腹いたぁい……（よわよわ星ちゃん、）   (2024/10/22 12:13:20)
エロガキ♂14C ◆> （スーツ姿でそのセリフで入ってきたらどう足掻いても仕事終わりのリーマンじゃない？ってツッコミはNGなんだろうか……！）   (2024/10/22 19:52:35)

エキドナ ◆> そうだね。そうしてくれるかな？(背伸びしているのは少し可愛らしいかな、、)＞14C君   (2024/10/22 19:52:37)

エロガキ♂18D ◆> (仕事終わりのリーマンっぽくても酒は飲みませんしたばこは体質上吸えません！！)   (2024/10/22 19:53:32)

エロガキ♂14C ◆> エキドナおねーさんも変に考えず、やりたいよーにやればいいと思うよっ。僕なんて勝ってもいじめずに甘えたり、添い寝させたりなんて平然とやるからね。（てへ）   (2024/10/22 19:54:02)

エロガキ♂14C ◆> ちなみに大将は昨夜借りた直後に眠いって言ってそのまま溶けてたから冷凍庫に入れといたよ？今頃いい感じに冷えてるかも？（）   (2024/10/22 19:57:08)

エキドナ ◆> ボクはこうして話をしているだけでも満足ではあるよ。ただ好奇心を止めるのは大変なだけだよ、、ボクは勝ったら相手次第と気分次第かな、、罰になったりならなかったり(少し腕を広げて見せようかな、)＞14C君   (2024/10/22
19:57:53)

エロガキ♂18D ◆> あの人極寒の国出身だったからと言って冷蔵庫に入れたら凍死すると思うんですけども……？(シュレーディンガーの大将……)   (2024/10/22 19:58:45)

エロガキ♂14C ◆> うんうん、それもいいんじゃないかな？そーいう人たちもいるから雑談部屋を設けたんだと思うし、あのスカス……堂主は。（両腕広げる姿にぱちりと両目瞬かせてから、ゆっくり歩み寄ってはぴとりと抱き着いてみて。）   (2024/10/22
20:00:44)

エロガキ♂14C ◆> 溶けきっちゃう前に冷凍庫に入れちゃうよー？って聞いたけどお返事ないから肯定だと思って！（あれ？なんかまずいことしちゃった？てへ。）   (2024/10/22 20:01:43)

エロガキ♂18D ◆> それ確実に凍死の可能性も……本当に大丈夫なんですかね…… ……まぁ大将だから大丈夫でしょう()   (2024/10/22 20:02:55)

エロガキ♂14C ◆> ギャグ補正って1番強い無敵効果だって誰かが言ってたよ？   (2024/10/22 20:04:10)

エロガキ♂18D ◆> 確かに、それはそうかも……ギャグ補正なら、なんとでも……なりますねぇ……   (2024/10/22 20:06:15)

エキドナ
◆> 主の子には本当に良くしてもらっているからね、、大人数になった時は今までなら沈むか逃げるかだったから小部屋の用意は本当に助かるよ、、(密着する彼に腕回して、ゆっくり緩く抱き締めて髪撫でておいて)膝の上に乗せるには大きいけれど、このくらいの方がボクは落ち着くかな、、？抱き枕としてだけれどね、、
  (2024/10/22 20:06:34)

エロガキ♂14C
◆> すごく頑張ってるなーっていつも思ってる。でも、すっごい意地悪するからやっぱり揶揄わないとやってられない！（緩く抱き竦められつつ頭を撫でられると、心地良さに目を細めながら緩慢な動きで頰を擦り返すようにして）お膝の上に乗れる大きさではないねー？けど、僕もこーいうの好きだから全然おっけー♪
  (2024/10/22 20:09:08)

エロガキ♂18D ◆> 本当に堂主さんには頭が上がりませんよ……仮部屋立てたのも、なりすましが発生しかねるからそれを無くすため、でしたからね……ただ本当に休める時は休んで貰いたいですね。今はどうかは、解りかねますが…   (2024/10/22
20:10:09)

エロガキ♂14C ◆> 補正って意味で言うと、発言の要素一つとっても変わるよねー？オノマトペ入るだけですごくギャグっぽくなるし。   (2024/10/22 20:10:26)

おしらせ> エロガキ♂17M ◆za77rifW.Yさんが入室しました♪  (2024/10/22 20:13:04)

エキドナ ◆> 主の子も楽しんでいるように見えるから良いのでは無いかな？(甘えられるのは少し擽ったく感じるけれど微笑みながら彼の髪を撫で付けて)そうかい、、ならまた機会があればキミで試してみようかな、、？   (2024/10/22 20:13:06)

エキドナ ◆> おや、おかえりかな？   (2024/10/22 20:13:14)

エロガキ♂17M ◆> ふふん♪大勝利！ただいま〜、属性マシマシ男の娘が来たよ〜♪   (2024/10/22 20:13:41)

エロガキ♂14C ◆> まあ楽しんでると思うよ？本音を言えば、もっと一緒にバトルして負かしてやりたいんだけどさ。（微笑みかけるエキドナおねーさんを見上げてにこり、と無邪気な笑み浮かべてみせ。）ん？それは寝る時の抱き枕に、かな？勿論歓迎しちゃうよっ。  
(2024/10/22 20:15:00)

エロガキ♂18D ◆> おっと……こんばんは。お邪魔しております。それはまた……どう突っ込めばいいか……   (2024/10/22 20:15:03)

エロガキ♂14C ◆> こんばんはー。ツッコんだら負けだと思う！   (2024/10/22 20:15:18)

エロガキ♂18D ◆> そうですね、まだ胡桃さんとは話したことしかないので……バトルをしたいのはありますね……   (2024/10/22 20:15:42)

エロガキ♂14C ◆> （年齢/身長可変も属性なのかな…？）   (2024/10/22 20:15:54)

エロガキ♂17M ◆> あ、あの子は悔しいからか勝負部屋に戻ったみたいだね(運動終わりに水分補給。グラスにスポドリ注いでからﾁﾋﾞﾁﾋﾞ…飲んでいく)   (2024/10/22 20:16:02)

エロガキ♂17M ◆> 属性かな？正直楽しいからプロフを弄くり回してるところはあるね(ｷﾗｰﾝ☆)   (2024/10/22 20:17:06)

エロガキ♂14C ◆> そんな属性聞いた事ない！！！！（バンバン）いっそプロフに属性ペガサス昇天盛りとか書いちゃえよー（尚字数）   (2024/10/22 20:18:11)

エロガキ♂18D ◆> (それがありなのなら自分も年齢弄ろうかな……)   (2024/10/22 20:18:18)

エキドナ ◆> 抱き枕と言っても個室に移ってしまうと30分と持たないんだね、、だから楽しめるかは分からないよ？(無邪気なお顔に微笑んで、彼の頬を摘んで感触楽しんでて)   (2024/10/22 20:18:43)

エロガキ♂17M ◆> まぁ、ぶっちゃけボクたちってモブの竿役だし？属性盛ってもお姉さんたちは気にしないかなぁ〜って思ってる。だから盛っちゃった(ﾃﾍ♪)   (2024/10/22 20:18:47)

エロガキ♂18D ◆> まぁ極論いえばここはたまたまこのような部屋に集まった脆いようなコミュニティですからねぇ……たまにはそうやって属性弄るのもありなのか……   (2024/10/22 20:20:36)

エロガキ♂17M ◆> ガキくんたちも属性いじいじしたいなら、手始めにハロウィンって体でコスプレしちゃえば？   (2024/10/22 20:20:38)

エロガキ♂14C ◆> そんなもんじゃないかなー？寧ろ、それでゆっくり休めるなら抱き枕冥利に尽きるってものだしっ。僕はくっつけるだけで幸せだから問題ないよっ……？（頬を摘まれ、弄ばれるのを不思議な面持ちで見上げ。）   (2024/10/22
20:20:40)

エロガキ♂14C ◆> ぶっちゃけ僕はそんなに属性欲しいわけじゃないしなー？あ、でも年齢とサイズは1段階落とす方が馴染むかも？とは思ってたりする。でも14って厨二だよ？厨二いいじゃん！！！   (2024/10/22 20:21:56)

エロガキ♂17M ◆> そこんところは皆にお任せだぜ(ぐっと☆) 猫娘じゃなくて、魔女にでもなるかにゃ〜   (2024/10/22 20:22:57)

エロガキ♂14C ◆> あ、勝負部屋にクラリスおねーさんもポップした。   (2024/10/22 20:23:02)

エロガキ♂17M ◆> おぉ〜ポップしてるね、盛り上がってきた♪   (2024/10/22 20:23:21)

エロガキ♂18D ◆> キタちゃんとクラリスさんかぁ……あれに勝てます？   (2024/10/22 20:23:35)

エロガキ♂14C ◆> キタちゃんがよわよわの今なら勝てるんじゃない？知らんけど。（雑）   (2024/10/22 20:24:05)

エロガキ♂17M ◆> んじゃ、２連勝も可憐に勝ち取ってくるねぇ〜♪いってきま〜す♪   (2024/10/22 20:24:45)

おしらせ> エロガキ♂17M ◆za77rifW.Yさんが退室しました。  (2024/10/22 20:24:56)

エロガキ♂14C ◆> いってらっしゃーい、がんばれー。   (2024/10/22 20:25:03)

エロガキ♂18D ◆> クラリスさんに三連勝……とは思ったけど、向こうの力ばかりだからなぁ……なんとも…   (2024/10/22 20:25:15)

エロガキ♂18D ◆> 行ってらっしゃいませ   (2024/10/22 20:25:20)

エキドナ ◆> ボクが寝る頃にキミが居るなら頼んでみるのも1つだね、、でもキミたちは割と行為への執着があるものだと思っているからなるべくは頑張るとするよ(柔らかい頬をふにふに摘んで、不思議そうな彼にはおでこへの口付けを落として)   (2024/10/22
20:25:26)

エキドナ ◆> ボクも行こうかな、、   (2024/10/22 20:25:54)

エロガキ♂14C ◆> 18Dにーさんも勝負するだからしてみるのもいいんじゃない？今度こそ自分のパワーで勝ってやるぞ、って意気込みでさっ。   (2024/10/22 20:26:11)

エロガキ♂18D ◆> これで全員行けば三対三ですかね？ですが……生憎自分は今現在勝負のスイッチが入りきらない状態でして……この服の時は、ここで駄弁りたい気分なので……   (2024/10/22 20:27:02)

エロガキ♂14C
◆> うん、僕がフリーだったらころっと誘いに乗っちゃうよーっ。……はぇ？んー、まあ遅すぎない時なんかはしたいのは否めないかなー？あとはおっぱいが大きいとか！（ストレート）……ん。あ、行くのかな？いってらっしゃいっ。（額への口付けに頬擦りしてから、少し名残惜しげに離れ。）
  (2024/10/22 20:27:53)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/22 20:28:12)

エキドナ ◆> 少し様子を見てくるとするよ。もし入らないなら戻って来ると思うからその時はもう少し話そうか   (2024/10/22 20:28:18)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 20:28:20)

エロガキ♂14C ◆> （服で気分スイッチ……スイッチの状態が服なのか……）   (2024/10/22 20:28:33)

エロガキ♂14C ◆> ポンコツにーさんだ。やほー。   (2024/10/22 20:28:45)

エロガキ♂19b ◆> 派手な登場でも考えたけど壁をぶち破るしか思い浮かばなかったから普通に来たよ～、こんばんは   (2024/10/22 20:29:03)

エロガキ♂18D ◆> おっと、こんばんは。勝負部屋に行かなくてよかったんです？   (2024/10/22 20:29:36)

エロガキ♂14C ◆> （地主か店主にしばかれてしまえ）   (2024/10/22 20:29:41)

エロガキ♂18D ◆> (まぁ正直服だろうが何だろうが、スイッチが入らないときは入らないので……入ったらまぁ、うん)   (2024/10/22 20:30:12)

エロガキ♂19b ◆> バイト終わったばかりだからね～、まだ飯も食べてなから行かないよ～   (2024/10/22 20:30:35)

エロガキ♂14C ◆> まあこんなこと言ってる僕も長旅で疲れてまだ気力湧かないからこーしてるんだけどさー（ぐだぁ）   (2024/10/22 20:31:40)

エロガキ♂18D ◆> あー、なるほどです……全員くたびれてるわけですねぇ……   (2024/10/22 20:33:09)

エロガキ♂19b ◆> 静かな時に急に大声を出して見たいと1度は思ったことがあると思う！！(突然)   (2024/10/22 20:33:45)

エロガキ♂14C ◆> おっぱい大きいおねーさんが上から降ってきたらやる気出るかもねー（？）   (2024/10/22 20:33:47)

エロガキ♂14C ◆> なんだよ急に（じと）   (2024/10/22 20:33:59)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/22 20:34:47)

エロガキ♂19b ◆> いや～、、ほら、静かな空間にいると落ち着くけど、叫びたくなるんだよねぇ...とくにテスト中とか   (2024/10/22 20:34:59)

エロガキ♂19b ◆> 星ちゃんだ！こんばんは～   (2024/10/22 20:35:11)

星 ◆> これが若者のえっち離れか……。（扉をバットでドカン！……せずに普通に入ってきた。こんばんは。）   (2024/10/22 20:35:26)

エロガキ♂18D ◆> もう突っ込みませんよ自分……重役さんは欲望に正直な猿なんです……   (2024/10/22 20:35:49)

星 ◆> 萎えちん三兄弟……。   (2024/10/22 20:35:54)

エロガキ♂18D ◆> あ、星さんお疲れ様です～……どうも、萎えちん三兄弟の次男です   (2024/10/22 20:36:25)

エロガキ♂19b ◆> 俺は常にヤりたがってるよ～。いまもバイト終わりだから行ってないだけ～   (2024/10/22 20:36:26)

エロガキ♂14C ◆> 24時間盛ってるわけじゃないんですよー、だっ。こんばんは。姫子おねーさんとかトパーズおねーさんとか連れてきてくれたら元気になれると思うよ？（通常運転）   (2024/10/22 20:36:29)

エロガキ♂18D ◆> 流石重役、住む世界が違いますわ……自分はスイッチが入りきりません、本日は(テーブルに上半身ぐてぇ)   (2024/10/22 20:37:35)

星 ◆> まあ色々事情はあるみたいだね、仕方ない。（確かここお酒出せるところあるんだっけ、ってがさごそ。）   (2024/10/22 20:37:56)

エロガキ♂19b ◆> トパーズちゃんは太ももと、ホクロがエッチだよねぇ～   (2024/10/22 20:38:25)

エロガキ♂14C ◆> （多分その辺漁ればどっかの呑兵衛が隠した秘蔵のなんとかくらいあるんじゃないでしょーか）   (2024/10/22 20:38:28)

星 ◆> （14Cはなんとなく勝ってもえっちなことするより甘えてそうなイメージがあるよね、って顔。）   (2024/10/22 20:39:11)

エロガキ♂14C ◆> ぽんこつにーさんの挙げたそれらは確かにえっち。あと胸元のあの隙間がとってもえっち。止めに紐パンっぽいのが見えてるのは最高にえっち！！！！   (2024/10/22 20:40:04)

エロガキ♂14C ◆> （その時々の気分次第ではあるから仕方ないんだよ、って顔）   (2024/10/22 20:40:18)

エロガキ♂19b ◆> 明日はトパーズちゃんに起こして貰おうかなぁ...(ボソボソ、ポチポチ)   (2024/10/22 20:40:46)

エロガキ♂18D ◆> ここは最早居酒屋ですからねぇ……まぁ自分はスラーダで満足しますけど……(隠し持っていたブツをグビグビ)   (2024/10/22 20:41:38)

エロガキ♂18D ◆> 後トパーズさんはスラッとしたウエストに上半身と下半身の肉感のコントラストがいいと思います、以上   (2024/10/22 20:42:15)

星 ◆> トパーズはお尻がいいよね。本人に言ったら頭小突かれたけど。（がさごそ。お酒ばっかりだな……。ここの店主はよほど酒好きに違いない…。）   (2024/10/22 20:43:18)

エロガキ♂14C ◆> （一気にトパーズ様ファンクラブ化してるんだけど……！？）   (2024/10/22 20:43:29)

エロガキ♂14C ◆> ……小突かれるだけでよかったね？カブのお尻ぶつけられるとかじゃなくてよかったね？？？   (2024/10/22 20:44:06)

エロガキ♂19b ◆> たしか、今日どこかの狐がプーマンを捌けないか検討してた気が....   (2024/10/22 20:44:13)

エロガキ♂18D ◆> (思考停止して無くてよかった……！危うく会ったこと無い人にデリカシー０の発言するところだった……！スラーダ美味しい)   (2024/10/22 20:45:10)

星 ◆> トパーズには教えない方がよさそうだね……。（プーマンって美味しいんだろうか。エクスクラメーションマークを頭の上に浮かべながら、テーブルの陰でお着換え中。）   (2024/10/22 20:47:57)

エロガキ♂14C ◆> トパーズおねーさん泣いちゃうんじゃない？……って何してんの……？（なんかテーブルの裏から聞こえるごそごそ音を気にしつつも首傾げ）   (2024/10/22 20:48:50)

おしらせ> パンドラ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 20:50:18)

エロガキ♂19b ◆> パンドラちゃん、こんばんは～   (2024/10/22 20:50:42)

エロガキ♂14C ◆> あ、パンドラおねーさんおかえりー。支援お疲れ様ー。   (2024/10/22 20:50:43)

エロガキ♂18D ◆> せめて全員平等に接しますよ……自分は…でも半分思考停止してたような事言っちゃったんですよねぇ…あ、お疲れ様でしたパンドラさん。お帰りなさいませ   (2024/10/22 20:50:46)

パンドラ ◆> お役に立てませんでしたね、、   (2024/10/22 20:51:00)

パンドラ ◆> 星様こんばんは、   (2024/10/22 20:51:12)

おしらせ> エロガキ♂17Gさんが入室しました♪  (2024/10/22 20:51:24)

エロガキ♂14C ◆> まーそういうこともあるよ、サイコロだもん。（肩ぽんぽん）   (2024/10/22 20:51:24)

エロガキ♂17G> 初めて来たよ雑談部屋   (2024/10/22 20:51:40)

エロガキ♂14C ◆> こんばんはー。こっちのお部屋では初めまして、かな？   (2024/10/22 20:52:09)

エロガキ♂17G> そうだね〜   (2024/10/22 20:52:19)

エロガキ♂19b ◆> こんばんは～   (2024/10/22 20:52:19)

星 ◆> こんばんは、パンドラ。と、もう一人。   (2024/10/22 20:52:27)

パンドラ ◆> 少し、、すぐ戻りますので。   (2024/10/22 20:52:55)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/22 20:52:56)

エロガキ♂14C ◆> あら？いってらっしゃーい。   (2024/10/22 20:53:04)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/10/22 20:53:08)

ミミ ◆> わー！(扉ばん、)   (2024/10/22 20:53:19)

エロガキ♂17G> 入れ替わってる！？((違う   (2024/10/22 20:53:31)

エロガキ♂18D ◆> おや、初めましてのかたが一人……二人？よろしくお願いしますね   (2024/10/22 20:53:40)

ミミ ◆> おにーさんおねーさんこんばんは！   (2024/10/22 20:53:48)

エロガキ♂19b ◆> ロリッ子と生足ッ子....禁断症状がでる前にご飯食べてくるね...さらば！！(シュタッ！！)   (2024/10/22 20:53:50)

エロガキ♂14C ◆> なんかちっちゃくなった！？   (2024/10/22 20:53:50)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/22 20:53:52)

エロガキ♂17G> おつかれ〜   (2024/10/22 20:54:05)

エロガキ♂14C ◆> （やっぱあれぽんこつだわ、ぽんこつにーさん）   (2024/10/22 20:54:15)

ミミ ◆> あり？逃げちった？   (2024/10/22 20:54:19)

エロガキ♂18D ◆> (分かる)   (2024/10/22 20:54:23)

星 ◆> 一気に騒がしくなった……。19bはお疲れ。   (2024/10/22 20:54:25)

エロガキ♂17G> 自分が初めて入ってからの1ヶ月でえらく規模が大きくなりましたなぁ、この部屋の系列   (2024/10/22 20:55:45)

エロガキ♂14C ◆> ってもうこんな時間なんだねー。誰かの抱き枕になってもいいように（？）お風呂で汗だけ流してこうかなあ。   (2024/10/22 20:55:57)

エロガキ♂18D ◆> おや、言われてみれば……自分もリアルで何か食べて、ボチボチ作業しましょうかねぇ……   (2024/10/22 20:56:38)

エロガキ♂17G> お、本家に誰か来たから行ってみますわ   (2024/10/22 20:56:55)

おしらせ> エロガキ♂17Gさんが退室しました。  (2024/10/22 20:56:58)

エロガキ♂18D ◆> という訳でお疲れ様でした。またどこかでお会いできましたら。……トパーズさんにはさっきの言葉聞かれたくないなぁ……   (2024/10/22 20:57:12)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/22 20:57:15)

ミミ ◆> なんか、、皆忙しそー？   (2024/10/22 20:57:22)

エロガキ♂14C ◆> いってらっしゃーい。……忙しないなあ。そして18Dおにーさんもおつかれさまー。   (2024/10/22 20:57:32)

星 ◆> トパーズには何も伝えないから安心して。二人ともお疲れ。   (2024/10/22 20:57:41)

エロガキ♂14C ◆> 僕はまだだいじょーぶだよ、お風呂にお湯貯めてるとこだし。   (2024/10/22 20:57:55)

星 ◆> ……ああいうゲームに活発な人がいると助かるよね。   (2024/10/22 20:57:57)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/22 20:58:10)

エロガキ♂14C ◆> ……それもそー、だね。僕ももー少ししたらいこーかな。   (2024/10/22 20:58:20)

ミミ ◆> あー！昨日のおねーさんだ！こんばんは！   (2024/10/22 20:58:22)

エロガキ♂14C ◆> あ、わんわん。   (2024/10/22 20:58:23)

栞葉るり> 星さんは活発にならないんですか？(背後からザクり)   (2024/10/22 20:58:33)

ミミ ◆> あれ？でも今日？どっちでもいいやー！   (2024/10/22 20:58:37)

栞葉るり> お邪魔します、お仕事前ですが！！   (2024/10/22 20:58:51)

エロガキ♂14C ◆> （バックスタブ……！）   (2024/10/22 20:58:59)

星 ◆> ぐえ。わ、私にも好みというものがあって……。（刺された、アゾットアゾット。）   (2024/10/22 20:59:08)

栞葉るり> ややこしいので寝たら日付が変わったことにしてるから…昨日です！(言い切った)   (2024/10/22 20:59:32)

ミミ ◆> 奇襲は大事だよねー！(魔女教のヤバいやつ生き埋め前科、)   (2024/10/22 20:59:59)

エロガキ♂14C ◆> （なんだか物騒だなあ！？）   (2024/10/22 21:00:21)

ミミ ◆> じゃあ昨日のおねーさんだー！   (2024/10/22 21:00:54)

栞葉るり> エロガキは好みじゃない、と…(全方位レーザー)   (2024/10/22 21:01:23)

エロガキ♂14C ◆> （蒸発）   (2024/10/22 21:01:44)

星 ◆> そんなに大きく括るってたらここに来ないよ……？   (2024/10/22 21:01:47)

栞葉るり> 確かに。正直、どれでも大差ないですからね…でかちん多いくらいで？   (2024/10/22 21:02:19)

ミミ ◆> あのねー！誰かが言ってたー！大きいだけで上手いのはべつー！   (2024/10/22 21:02:57)

星 ◆> まああんまり深くこの話題を掘ると特定の誰かに刺さるかもしれないから置いておくとして……。（置いておくのジェスチャー、）   (2024/10/22 21:03:28)

栞葉るり> だそうですよー。でかちんのみなさん頑張ってくださいね〜(メガホン)   (2024/10/22 21:03:32)

栞葉るり> 星さん！ここちんこしか埋まってません！！(ここほれワンワン)   (2024/10/22 21:05:39)

星 ◆> るり、それは掘る道具だよ。埋めるのは……。（ちょっとだけ赤くなって咳払いした。下ネタで最後まで走れない開拓者。）   (2024/10/22 21:06:33)

栞葉るり> え…？(犬は前脚で掘るので困惑した)   (2024/10/22 21:07:13)

ミミ ◆> でも掘られるのもあるよね〜？(不思議なBL本、)   (2024/10/22 21:07:18)

エロガキ♂14C ◆> （ツッコんだら負け、ツッコんだら負け……）   (2024/10/22 21:07:46)

星 ◆> んー？（分かってるくせに、という顔。るりは……カマトトぶっているな！）   (2024/10/22 21:07:49)

栞葉るり> 星さんよりおませですね、このこ！！   (2024/10/22 21:08:02)

栞葉るり> (でもここで物理的に突っ込んだら蹴り出されるので…)   (2024/10/22 21:08:25)

星 ◆> 今度私が複数に勝ったら適当なBL本のプレイ真似してもらおう。   (2024/10/22 21:08:39)

ミミ ◆> ミミはおねーちゃんだからね！(胸だけ張っておくよ、)   (2024/10/22 21:09:19)

栞葉るり> 公開ホモセックスですか…(じゅる)   (2024/10/22 21:09:24)

星 ◆> （エロガキがツッコめるのは勝った時では？銀河打者は首を傾げた、）   (2024/10/22 21:09:28)

エロガキ♂14C ◆> （誰も突っ込む（物理）なんて言ってないよね！？……どうしてこっちでもこの手の話が目の前で……（トオイメ））   (2024/10/22 21:09:56)

栞葉るり> エロガキにとってはこれ以上ない恥辱かと思います(受けられるかまた別の話)   (2024/10/22 21:10:23)

星 ◆> 普段自分たちが女の子にしてることを鑑みれば拒否なんてできないはずだよ。（いやまあ本気でNGとか言われるとアレだけど……。）   (2024/10/22 21:11:02)

エロガキ♂14C ◆> （お風呂の湯が溜まったからこのまま湯気と共に消えるね……どうぞごゆっくり……）   (2024/10/22 21:11:33)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/22 21:11:40)

星 ◆> （BLを読んでいれば読んでいるほどそこの感覚（拒否感）は薄れて現実と乖離していくから、たまに引き戻さないと危ないことに……。）   (2024/10/22 21:12:11)

星 ◆> お疲れ､14c。   (2024/10/22 21:12:21)

ミミ ◆> あ！おつかれー！   (2024/10/22 21:12:37)

栞葉るり> それはそうなのですが…。目の前に女の子が居ながらエロガキ同士でハメるって、めちゃくちゃ惨めで興奮しますね！(ぶんぶん)   (2024/10/22 21:13:21)

栞葉るり> いってらっしゃい〜   (2024/10/22 21:13:33)

星 ◆> わかる。挿入しないまでも、兜合わせ（だっけ？）でも良さそう。（るり、これからお仕事なんだっけ？と両腕広げハグのポーズ。開拓者の元気を分けてあげよう。）   (2024/10/22 21:15:10)

栞葉るり> (BLにはやおい穴とかあるみたいですけど、あれどうなってるんですかねって顔)   (2024/10/22 21:15:11)

星 ◆> （あうとらすとDLC。）   (2024/10/22 21:15:33)

栞葉るり> おちんちんフェンシング…！(クレ◯しんのパロでライトセーバー挟んでやってるのは見たことあります。…元気そうで何よりです！というかわたくしは十分元気なので、余計に元気になりますよ…？……まぁ、もらっておきます…はぐはぐ。)   (2024/10/22
21:16:50)

栞葉るり> (男性の遺体を生きたままバラして、お前がママになるんだよ！！はやばかったですね。あーもう画面中モザイクまみれですよ！というか、あそこの主人公が丸コノかけられそうになるシーンでちんちん丸見えでしたよね、たしか。フルチン兄弟といい、あうとらすとはおちんちんパラダイス！！)
  (2024/10/22 21:18:29)

ミミ ◆> ミミはちょっとしか知らないから聞いとこー   (2024/10/22 21:18:32)

星 ◆> ……見たいな、見知ったエロガキのそれ。（問題は複数に勝たないといけないこと。難易度高い……。なんて話題のアレさとは別に、美しい絵面を展開しておこう。ぎゅっとハグってるりの首元すんすん。）   (2024/10/22 21:18:36)

星 ◆> （るり、ぼかして、るり。）   (2024/10/22 21:19:01)

栞葉るり> あうとらすとは……はい、実況動画程度にしましょうね(漏らしますよ)   (2024/10/22 21:19:09)

栞葉るり> …欲望ダダ漏れじゃないですか(数は増えるので問題ないですが。あとは勝った後何人か逃げ出しそうなのが…。よしよし、頭をぽんぽんとなでなで。でもあうとらすととか話題がひどすぎる)   (2024/10/22 21:20:53)

栞葉るり> (ぼかしたらあうとらすと自体消えてなくなりません…？)   (2024/10/22 21:21:09)

ミミ ◆> クッキー食べるー？(昨日と同じ籠、)   (2024/10/22 21:21:38)

栞葉るり> 枚数同じなんですか…？(ちら。覗き見)   (2024/10/22 21:22:13)

ミミ ◆> ううん！10枚！(半分食べたみたいな空間、、)   (2024/10/22 21:22:53)

栞葉るり> 1d10 → (7) = 7  (2024/10/22 21:24:15)

栞葉るり> 1d9 → (5) = 5  (2024/10/22 21:24:20)

栞葉るり> 1d8 → (5) = 5  (2024/10/22 21:24:26)

栞葉るり> 1d7 → (2) = 2  (2024/10/22 21:24:30)

栞葉るり> 1d6 → (2) = 2  (2024/10/22 21:24:34)

栞葉るり> (がつがつがつ)   (2024/10/22 21:24:42)

星 ◆> 私はここ最近如何にエロガキ達への罰の選択肢を増やせるかばかり考えてるからね。（私欲半分、罰に困る子のため半分。……何故か私が癒されているような感じ。ﾅﾃﾞﾗﾚﾅﾃﾞﾗﾚ……。）   (2024/10/22 21:24:44)

ミミ ◆> おねーさんめっちゃ食べるー！   (2024/10/22 21:24:45)

ミミ ◆> ミミもー！   (2024/10/22 21:24:53)

ミミ ◆> 1d5 → (5) = 5  (2024/10/22 21:24:58)

星 ◆> （急にクッキーを貪り食べてる……！）   (2024/10/22 21:25:03)

ミミ ◆> 1d4 → (4) = 4  (2024/10/22 21:25:03)

ミミ ◆> 1d3 → (2) = 2  (2024/10/22 21:25:09)

栞葉るり> 仕事前なので何か食べないと…！   (2024/10/22 21:25:24)

栞葉るり> さて、そろそろ行ってきますね〜。お疲れ様でした！   (2024/10/22 21:25:51)

おしらせ> 栞葉るりさんが退室しました。  (2024/10/22 21:26:00)

星 ◆> いってらっしゃい、るり。頑張ってね。（手ふり、）   (2024/10/22 21:26:07)

ミミ ◆> ん！おねーさんもどーぞ！(星おねーさんにずい、/外れはすごーく辛い1d2の1です。←)   (2024/10/22 21:26:09)

ミミ ◆> いてらー！がんばってー！   (2024/10/22 21:26:18)

星 ◆> あ、そういう……ロシアンなんとかみたいな？えっ、私に残された選択肢既にデッドオアアライブなの？   (2024/10/22 21:26:45)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/22 21:26:48)

星 ◆> 1d2 → (2) = 2  (2024/10/22 21:26:53)

ミミ ◆> おいしー？   (2024/10/22 21:27:02)

エロガキ♂19b ◆> たでーまー！   (2024/10/22 21:27:07)

星 ◆> うん……じゃあ残り一つのこれが……。（19bに激辛確定クッキーをそっと差し出した、おかえり。）   (2024/10/22 21:27:27)

ミミ ◆> おかえりー！食べるー？   (2024/10/22 21:27:37)

エロガキ♂19b ◆> あ、、ふーん...昨日と同じパターンね了解了解   (2024/10/22 21:28:01)

