/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月25日 01時03分 ～ 2024年10月25日 12時24分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> こんばんは～   (2024/10/25 01:03:54)
エロガキ♂13UC> そういえば、メイドお姉ちゃんって寝る時はパジャマ派？　下着とかシャツだけ派？　全裸派？   (2024/10/25 02:10:42)

エロガキ♂14C ◆> （川の字の真ん中で済めばいいね（他人事））   (2024/10/25 02:11:02)

シャーロット・レイス ◆> そうね。流石にユニコーン君と-19はやめておくわ。昨晩いじめたから   (2024/10/25 02:11:06)

エロガキ♂13UC> 昨日の今日だから、手加減しておくよ？ほら、つけておくと、利子が生まれるでしょ？（にひひ   (2024/10/25 02:11:57)

エロガキ♂19b ◆> それじゃ、レイスちゃんには14C君を贈呈しようー   (2024/10/25 02:12:09)

エロガキ♂14C ◆> -19……最早人の形じゃない……！ってあれ？そーすると……？   (2024/10/25 02:12:10)

十六夜咲夜 ◆> シャツかパジャマか、ですわね。寝落ちならメイド服のまま(寝落ち多い)   (2024/10/25 02:12:10)

エロガキ♂13UC> メイド服のまま……は、疲れ取れなさそうだね。メイドのお姉ちゃんも無理しないでね？   (2024/10/25 02:12:49)

エロガキ♂14C ◆> なんか勝手にポンコツ博士に贈呈されたらしいけど、どーするのシャーロットおねーさん？   (2024/10/25 02:13:01)

十六夜咲夜 ◆> ええ、そこは心配ご無用…   (2024/10/25 02:13:08)

エロガキ♂19b ◆> そしてー咲夜ちゃんにはUNICORN君を贈呈します！！   (2024/10/25 02:13:20)

十六夜咲夜 ◆> Cくんに昨日途中で終わった債務あるからそこで迷ってたのよね。   (2024/10/25 02:13:40)

エロガキ♂13UC> いやぁ……進呈されても、俺勝負でメイドお姉ちゃんにまだ勝ったことないんだよね   (2024/10/25 02:13:58)

十六夜咲夜 ◆> …19さんは最早フィクサーというか支配人ね…あと執行人か…   (2024/10/25 02:14:03)

エロガキ♂19b ◆> 俺を添い寝相手に選ぶ人なんていないからね～   (2024/10/25 02:14:30)

エロガキ♂14C ◆> ん、それはいつでも返せる債務だし焦る必要はないよ、咲夜おねーさん。しっかり温めといてね？あ、利子はトイチね（まさに外道）   (2024/10/25 02:15:01)

十六夜咲夜 ◆> 19さんだと添い寝で済まなそうですわね…(吹っ掛けたCくんの方を見つつ)   (2024/10/25 02:15:51)

十六夜咲夜 ◆> 添い寝ついでに勝負でもしちゃうかしら？寝落ち覚悟になりますが…   (2024/10/25 02:16:22)

エロガキ♂14C ◆> ポンコツ博士の場合は新たなエロガキ生産にハッスルするでしょ。（直球）   (2024/10/25 02:16:32)

エロガキ♂19b ◆> よくわかってるじゃないかベイビー！   (2024/10/25 02:16:32)

十六夜咲夜 ◆> …あの、トイチってどう計算すればいいのかしら？？   (2024/10/25 02:16:50)

エロガキ♂19b ◆> 10日で1割だっけ？   (2024/10/25 02:17:27)

十六夜咲夜 ◆> (その生産に関わることになりそうなのよね…)   (2024/10/25 02:17:41)

十六夜咲夜 ◆> それは分かるとして…お金じゃないから増えるとどうなるのかが見当つかないのよ…   (2024/10/25 02:18:04)

エロガキ♂13UC> （ん～この）   (2024/10/25 02:18:06)

エロガキ♂19b ◆> 添い寝が増える？   (2024/10/25 02:18:22)

エロガキ♂14C ◆> 甘える時間が延長されるだけだよ？   (2024/10/25 02:18:35)

エロガキ♂14C ◆> （実質あってないようなもの）   (2024/10/25 02:18:55)

十六夜咲夜 ◆> 元本わかりませんが…まああってないようなものですわねえ   (2024/10/25 02:19:26)

エロガキ♂14C ◆> ……それより、シャーロットおねーさんが今まさにこの場でおねんね始めた予感がするんだけど。（ほっぺたつんつん）   (2024/10/25 02:19:32)

十六夜咲夜 ◆> UCさんは引かないのー   (2024/10/25 02:19:38)

エロガキ♂19b ◆> レイスちゃーん！！   (2024/10/25 02:20:17)

エロガキ♂13UC> 引く、なのかな？俺の言うこっちゃないって思っただけだよ。（シャーロットお姉ちゃんは大丈夫かな？   (2024/10/25 02:20:20)

エロガキ♂14C ◆> （生産現場（未遂）に立ち会った側だからなあ）   (2024/10/25 02:20:26)

エロガキ♂19b ◆> (俺は言われたことをやっただけ～)   (2024/10/25 02:21:30)

十六夜咲夜 ◆> (生産させようとしたのはCくんじゃない…)   (2024/10/25 02:22:32)

エロガキ♂14C ◆> まあ寝ちゃったもんは仕方ないし。咲夜おねーさんと13UCくんはあれなら行ってきたら？   (2024/10/25 02:22:47)

十六夜咲夜 ◆> UCくんはどうするかしらぁ？   (2024/10/25 02:22:48)

エロガキ♂14C ◆> （知らん顔）   (2024/10/25 02:22:51)

エロガキ♂13UC> ん？どうするっては、誰か勝負するなら遊びたいは遊びたい、けどって感じ？   (2024/10/25 02:23:31)

エロガキ♂19b ◆> ついでに14Cも遊んできたら～？   (2024/10/25 02:24:27)

十六夜咲夜 ◆> 添い寝なのか色々どうするのかとか(だいたい相手任せ)   (2024/10/25 02:24:31)

エロガキ♂13UC> 俺が添い寝したら、絶対やるよ？（何って、ナニを？）   (2024/10/25 02:25:05)

エロガキ♂14C ◆> 僕は一応シャーロットおねーさんを見送るつもりだよ。仮にも選ぼうとしてくれてた人だしさ。   (2024/10/25 02:26:00)

エロガキ♂19b ◆> 優しいねぇ...一緒にYMCA踊る？   (2024/10/25 02:26:36)

エロガキ♂14C ◆> ねーよ。（べしっ）   (2024/10/25 02:26:53)

エロガキ♂19b ◆> 痛い！！   (2024/10/25 02:27:14)

エロガキ♂14C ◆> （きっと起きないだろうと見込んでタオルケットぱさり）   (2024/10/25 02:27:57)

エロガキ♂19b ◆> とりあいずUNICORNと咲夜ちゃんは勝負しに行くの～？   (2024/10/25 02:28:13)

エロガキ♂13UC> メイドのお姉ちゃんがその気なら、お部屋でも個室でも俺は何でもありだよ。   (2024/10/25 02:28:44)

エロガキ♂19b ◆> ゆ　を打つと一番左にUNICORNってでるようになっちゃった...クリップボードもこの部屋関連のばっかだし..入り浸りすぎ！？   (2024/10/25 02:29:34)

エロガキ♂14C ◆> （うーん、これはまさかのまさかの予感）   (2024/10/25 02:29:56)

エロガキ♂13UC> どんだけ俺の事大好きすぎんのさ？   (2024/10/25 02:30:05)

エロガキ♂19b ◆> (ま、まさか！！咲夜ちゃんも夢の中にいったー？)   (2024/10/25 02:30:23)

エロガキ♂14C ◆> （寝落ちx2、と……ツケがたまってますよ。）   (2024/10/25 02:31:07)

エロガキ♂13UC> （デデーン）　レイスOUT～　十六夜OUT～？   (2024/10/25 02:31:09)

エロガキ♂13UC> ま、二人ともつかれてるみたいだし、あったかくして寝ててくれればいいんだけどね   (2024/10/25 02:31:30)

エロガキ♂19b ◆> 13UC君にはタオルケットをプレゼント！！どうしたらいいか、わかるよね～？   (2024/10/25 02:31:50)

エロガキ♂13UC> 頭からかぶって、ハロウィンのお化け衣装？   (2024/10/25 02:32:19)

エロガキ♂14C ◆> ……寝落ちの心配なのはさ。ちゃんと風邪ひかないように布団の中にいるかな、とかそーいうのなんだよね。   (2024/10/25 02:32:19)

エロガキ♂19b ◆> なんでそうなるんだよ！？確かにハロウィン近いけど！！   (2024/10/25 02:32:56)

エロガキ♂14C ◆> だから、早いタイミングで誘っちゃう方がリスクもないんだけど……今日は失敗したなあ。（溜息）   (2024/10/25 02:33:12)

エロガキ♂19b ◆> 2人が落ちるまでの間俺が女の子になってあげようか？(混乱)   (2024/10/25 02:34:46)

エロガキ♂14C ◆> とりあえずシャーロットおねーさんはお疲れ様。ご指名料のツケは……まあ、あってないようなものか。あくまで他の2人が除外されたってだけで選ばれてすらないからね、僕。（ちゃんと休んでね、なんて耳元で告げつつシャーロットおねーさんの頭ぽんぽん）
  (2024/10/25 02:35:22)

エロガキ♂14C ◆> （無言でポンコツ博士に蹴り）   (2024/10/25 02:35:43)

エロガキ♂19b ◆> 痛い！！   (2024/10/25 02:36:02)

おしらせ> 無言時間が25分を超えたため、シャーロット・レイス ◆QpkzOtGYQEさんが自動退室しました。  (2024/10/25 02:36:27)

エロガキ♂19b ◆> レイスちゃんおやすみ～   (2024/10/25 02:36:40)

エロガキ♂13UC> シャーロットお姉ちゃん、おやすみ～   (2024/10/25 02:36:54)

エロガキ♂14C ◆> じゃあ僕は見送ったし寝るよ。咲夜おねーさんの見送りは……まあ任せるよ。（でも2連続だからペナルティで寝てる背筋つーってやっとこ。）   (2024/10/25 02:37:32)

エロガキ♂14C ◆> それじゃおやすみー。   (2024/10/25 02:37:45)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/25 02:37:49)

エロガキ♂19b ◆> 14Cもおやすみ～   (2024/10/25 02:38:01)

エロガキ♂13UC> Cもおやすみ～っと   (2024/10/25 02:38:08)

エロガキ♂19b ◆> UNICORNも見送ってから寝るか？   (2024/10/25 02:38:26)

エロガキ♂13UC> ん～ま、そうだね。時間までに気づいたら、ちゃんと寝なよ～って言えるしね   (2024/10/25 02:38:56)

エロガキ♂19b ◆> okならば、、ロシアンルーレットする？   (2024/10/25 02:39:25)

エロガキ♂13UC> ロシアンルーレット？　いや、俺大人しく座ってるつもり、だけど？   (2024/10/25 02:40:48)

エロガキ♂19b ◆> そうそう、、ここによくいる人がやってるのを真似て作ってきたんだ～1d20で振って1がでたら激辛クッキーそれ以外は美味しいクッキーだよ！ちなみに振るごとに1d19って感じで減っていく～、、やる？   (2024/10/25
02:42:38)

おしらせ> 無言時間が25分を超えたため、十六夜咲夜 ◆t1X293JlUEさんが自動退室しました。  (2024/10/25 02:49:32)

おしらせ> るり♀21さんが入室しました♪  (2024/10/25 02:51:53)

エロガキ♂13UC> ん～……んや、このタイミングは……   (2024/10/25 02:52:17)

るり♀21> だめ？笑笑   (2024/10/25 02:52:32)

エロガキ♂13UC> 残念だけド、ここエロガキと版権女性キャラ部屋だよ   (2024/10/25 02:52:55)

るり♀21> そっか、じゃぁ退室   (2024/10/25 02:53:17)

おしらせ> るり♀21さんが退室しました。  (2024/10/25 02:53:21)

エロガキ♂13UC> さて、メイドお姉さんを送り出したけど、これ19お兄ちゃんも？   (2024/10/25 02:57:13)

エロガキ♂13UC> いや、まぁ、男はもう知らね（しっしっ   (2024/10/25 02:57:33)

エロガキ♂13UC> じゃ、お休み～   (2024/10/25 02:58:18)

おしらせ> エロガキ♂13UCさんが退室しました。  (2024/10/25 02:58:21)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/10/25 03:08:11)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/25 07:47:07)

エロガキ♂19b ◆> まーた寝落ちだよもうー！！   (2024/10/25 07:47:37)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/25 07:56:32)

おしらせ> エロガキ♂13Jさんが入室しました♪  (2024/10/25 08:48:44)

エロガキ♂13J> おっはよ〜   (2024/10/25 08:48:56)

おしらせ> エロガキ♂13Jさんが退室しました。  (2024/10/25 09:04:09)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/25 09:58:39)

エロガキ♂14C ◆> 朝っぱらから連休潰れちゃう連絡が来てがっくり、おはよー。   (2024/10/25 09:59:04)

エロガキ♂14C ◆> しかしこんな朝からじゃ人もいないかあ。のんびりしつつ様子見だけど。   (2024/10/25 10:03:20)

エロガキ♂14C ◆> とりあえず顔出しだけに留めといて色々やってこよー。それじゃねー。   (2024/10/25 10:05:48)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/25 10:05:50)

おしらせ> アルレッキーノさんが入室しました♪  (2024/10/25 10:34:31)

アルレッキーノ> おはよう、こんな部屋があるとは思わなかったから偵察に来てみたよ..ここには大分子供たちが多いみたいだな..   (2024/10/25 10:35:51)

おしらせ> エロガキ♂16さんが入室しました♪  (2024/10/25 10:39:17)

エロガキ♂16> おはようだねぇ…   (2024/10/25 10:39:44)

アルレッキーノ> おはよう、誰か来るとは思わなかったから少しだけ驚いたよ   (2024/10/25 10:40:29)

エロガキ♂16> そうか。綺麗な女がいたからな   (2024/10/25 10:40:54)

エロガキ♂16> 試しに来てみたさー。   (2024/10/25 10:42:01)

アルレッキーノ> ふっ...私を口説くのはやめておいた方がいい。もっとも、そのつもりがないのなら謝罪しよう   (2024/10/25 10:42:12)

エロガキ♂16> 止めておけと言われると余計口説きたくなるな（目を細め…）   (2024/10/25 10:43:14)

アルレッキーノ> そうか、、まぁ好きにすればいい。忠告はしたからな...ところでここがどういう部屋なのか教えて貰えるだろうか？   (2024/10/25 10:44:12)

エロガキ♂16> あぁ、ここはサイコロで対決をする対戦部屋が別にありそこで集う人たちの雑談部屋だな   (2024/10/25 10:45:08)

アルレッキーノ> ふむ...なるほど。つまりここでは対戦部屋のようなことは起こらず会話を楽しみたいと言うもの向けの部屋と言うことで間違いないかな？   (2024/10/25 10:46:38)

エロガキ♂16> そうだな。   (2024/10/25 10:47:34)

エロガキ♂16> そんな感じ。俺的には対戦に誘いたいが…   (2024/10/25 10:47:53)

アルレッキーノ> そうか..残念ながら私は対戦部屋にはいけないな。私には子供たちがいるからね(赤い特徴的な椅子を出して座り)きっと..私の子供たちが対戦にいくさ   (2024/10/25 10:49:10)

アルレッキーノ> 気を悪くしてしまったかな？だとしたらすまないね。私の立場上おいそれと体を許すわけにはいかないのでね   (2024/10/25 10:57:28)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/25 11:02:37)

エロガキ♂18D ◆> こんにちは～、ちょっと顔見せ……と思いましたが、初めましての方、ですかね？よろしくお願い致します。(そっと頭を下げて)   (2024/10/25 11:03:18)

アルレッキーノ> おや...おはよう、、いや、この時間ならこんにちはと言うべきか。そうだな、、君たちとは初めて顔を合わせるだろう   (2024/10/25 11:04:08)

エロガキ♂18D ◆> 時間的にほぼ正午ですからね……仕方がないですね。まぁ、見ての通り…本来のゲーム部屋とは違う、駄弁るための休憩部屋…下心無しの交流処だと思っていただければ。改めまして、何卒よろしくお願い致します…   (2024/10/25
11:06:28)

おしらせ> エロガキ♂15Xさんが入室しました♪  (2024/10/25 11:07:39)

アルレッキーノ> 下心なしかどうかは人によるだろう..現に16は私のことを勝負に誘っていたしな、、おや..平日のこんな時間だと言うのに今日は訪問者が多いようだね   (2024/10/25 11:08:20)

エロガキ♂15X> こんにちは。(61.211.***.244)の悪ガキは部屋の入室ルールも守れなくて、色んな部屋で煙たがられてるから気をつけてください   (2024/10/25 11:08:23)

おしらせ> エロガキ♂15Xさんが退室しました。  (2024/10/25 11:08:25)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/25 11:08:52)

エロガキ♂18D ◆> ……そうですか、ありがとうございます＞15さん   (2024/10/25 11:08:57)

アルレッキーノ> そうなのか...報告感謝する   (2024/10/25 11:09:29)

エロガキ♂18D ◆> 下心は少なくとも此方にはございません……と言っても、態度で示さないと、って所はありますが…おや、堂主……お疲れ様です。てっきり関係者かと……   (2024/10/25 11:10:00)

アルレッキーノ> 君は往生堂の堂主殿か...公子が君の所の物にお世話になったと聴いているよ   (2024/10/25 11:12:17)

おしらせ> 無言時間が25分を超えたため、エロガキ♂16さんが自動退室しました。  (2024/10/25 11:12:55)

アルレッキーノ> 少し色を変えさせて貰おう..わかりずらいように感じたからな   (2024/10/25 11:13:22)

胡桃 ◆> 私は念の為に降りてきただけだからとりあえず帰るね。(小さく欠伸、)うーん？私のところの人にお世話になったって中々だね〜。(公子って…あぁ、そういうことかな。納得したように頷いて)   (2024/10/25 11:15:50)

エロガキ♂18D ◆> (公子……あぁ、そういえば……なんかそのような人がいたような……居なかったような。)   (2024/10/25 11:17:56)

アルレッキーノ> そうか..ここも君が管理しているようだな、、今度ゆっくり話す機会があることを祈っているよ..私たちの立場上、往生堂を使う機会が多いかもしれないからね   (2024/10/25 11:18:01)

胡桃
◆> お客さんなら無下にすることはないけど、あまりポンポンお客さん運び込まれても困っちゃうよー？命を大事に、死を軽く扱わないように！あと、悪い事してたら旅人と懲らしめにくるからね？(にひひって悪戯に笑って見せて)じゃあ、私は一旦落ちるね。またすぐ来る気がするけど…2人とも、またねー！
  (2024/10/25 11:21:31)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/25 11:21:37)

エロガキ♂18D ◆> 運びこむ……そんなポンポン死人を出すようなこと…(気楽に考えながら)え、悪いことってそんな……マジです？はい、行ってらっしゃいませ堂主……また会えましたら。   (2024/10/25 11:22:50)

アルレッキーノ> 安心したまえ..多くは運び込むことはないさ、、私が葬った敵をわざわざつれていくことはないからね。また合おう堂主殿   (2024/10/25 11:23:37)

エロガキ♂18D ◆> あー……(理解した、多分この人、何処かで何かしらあの人たちと対立するのだろう……まぁこっちには何も無いのだからいいんだけれども)堂主はこの部屋の地主であり管理者ですからね…神出鬼没でどこから表れるか…   (2024/10/25
11:26:30)

アルレッキーノ> 私としては今は協力関係を組んでいるつもりなのだけれどね。私の子供たちも彼女たちと仲がいいようだし、子供たちのためにも関係を崩したくはない。なるほど、、今もどこかで見ていると言うわけか   (2024/10/25 11:28:32)

エロガキ♂18D ◆> なるほどです……比較的強調側の人間と言うわけですね……どうやらその世界も何か色々あるようで…
えぇ、だから何かトラブルが起こりそうならさっきのようにふらって現れるので…さながら神の目のように見ている、見られている、ような感じ、でしょうか…   (2024/10/25 11:31:48)

アルレッキーノ> 彼女のおかげで君たちが守られているのなら、私が言うことはないさ..そうだな、、私は強者側ということになるだろう..だが力を見せつけるつもりはないさ、、そんなことをするのは愚か者のすることだからね。さて..私はそろそろ壁炉の家に戻るとするよ...この部屋について教えてくれて感謝する
  (2024/10/25 11:35:16)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/25 11:36:58)

胡桃 ◆> やっほー！少し眠気とさようならしてきた私だよ！   (2024/10/25 11:37:31)

エロガキ♂18D ◆> なるほどです、理解しました……まぁそうですね、力をひけらかすのはそこまでいい気分はしませんね……貴女のように良識を持つ人も強者側に居るのかと……そうですか、貴重な時間をありがとうございました。またお会いできましたら。  
(2024/10/25 11:37:34)

エロガキ♂18D ◆> 店長！！空から女の子(地主)が！！お帰りなさいませ。   (2024/10/25 11:38:16)

エロガキ♂18D ◆> ……店長居ないんだった……   (2024/10/25 11:38:29)

アルレッキーノ> 堂主殿..契約についてはまたゆっくりと話すことにしよう...代わりといってはなんだが、、彼女をつれてくることにするよ。では2人ともさようならだ   (2024/10/25 11:39:31)

胡桃 ◆> なんでセルフで落ち込んでるの？(そういうプレイなの？)ただいまー。眠気と空腹で頭とお腹がくっついちゃったかと思ったらよ。   (2024/10/25 11:39:41)

おしらせ> アルレッキーノさんが退室しました。  (2024/10/25 11:40:06)

胡桃 ◆> はーい！えっと…召使いさんって呼んだ方がいいのかな。また遊びに来て〜？ここに遊びに来る分には契約は必要も無いし、もし！棺桶が入用ならその時は本業の方でご相談してくれてもいいからね(お手を振りながらしれっと勧誘。)   (2024/10/25
11:41:34)

エロガキ♂18D ◆> セルフツッコミってヤツですね……言って直後に気付きました……店長最近来てなかったわと…()それを言うならお腹と背中がくっつくヤツですが…頭とお腹がくっついたらこたつで丸まる猫のようですねぇ…   (2024/10/25
11:41:53)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/25 11:42:12)

星 ◆> 世界で一番強くて、宇宙で一番良識的な私を呼ぶ声がした気がするんだけど……。（入れ違いにひょっこり、こんにちは。）   (2024/10/25 11:42:15)

エロガキ♂18D ◆> 召使い、ですか……まるであの人やあの人のような…(想起されるピンク髪の悪態つく彼女)おや、星さん……こんにちは。   (2024/10/25 11:43:21)

胡桃 ◆> こんにちは、星。今日も……うん、いつもどうりだね(流石の口上に目を閉じて頷く。)   (2024/10/25 11:43:59)

エロガキ♂18D ◆> (宇宙で、一番、良識的……？猟奇的の間違いでは……？うん、一文字違うだけでこんなに違う！！)   (2024/10/25 11:44:12)

おしらせ> フリーナさんが入室しました♪  (2024/10/25 11:44:31)

フリーナ> というわけで、僕が来たよ！！   (2024/10/25 11:44:42)

星 ◆> いつも変わらない安心感と安定感を届けるよ。（ドヤ顔銀河打者、打率は9割で安定。）   (2024/10/25 11:45:08)

星 ◆> っと、入口塞いでた。（後入りの女の子に道を空けた、こんにちは。）   (2024/10/25 11:45:28)

エロガキ♂18D ◆> 今日は目まぐるしく客人が来ますね……初めまして、よろしくお願い致します。   (2024/10/25 11:45:30)

胡桃 ◆> 店長さんにも色々あるだろうからね〜…。あの丸まって寝てる猫は可愛いよね〜…起こすと可哀想だから、なるべく起こさないようにしてるけど…。あ、フリーナだ。やっほー！   (2024/10/25 11:45:40)

エロガキ♂18D ◆> 打率9割は得点王とれますね……これは次の三冠王は星さんで決まりですねぇ(確かに安定感と安心感は助かる)   (2024/10/25 11:46:19)

フリーナ> こんにちは諸君！僕こそがフォンテーヌの大スター！フリーナだ！   (2024/10/25 11:46:39)

星 ◆> そして私こそが銀河のアイドル、星だよ！   (2024/10/25 11:47:21)

胡桃 ◆> 私は往生堂の堂主、胡桃だよ！   (2024/10/25 11:47:41)

エロガキ♂18D ◆> ただのモブでございます   (2024/10/25 11:47:57)

フリーナ> な、なんで皆真似をするんだい！？   (2024/10/25 11:48:18)

胡桃 ◆> …(18Dさんを見ながら無言で1点と書かれた札を上げた。)   (2024/10/25 11:48:41)

フリーナ> 僕のかっこいい登場シーンが台無しじゃないか(プンプン)   (2024/10/25 11:48:47)

星 ◆> 相手の仕草を模倣するのは親密になるための近道だからだよ。（もっともらしい理屈をつけた、）   (2024/10/25 11:48:54)

エロガキ♂18D ◆> 乗るしかない、このビッグウェーブに……と自分の頭がささやきまして……何すかこの一点……   (2024/10/25 11:49:09)

胡桃 ◆> 私は流れに乗りたかった！(だった楽しそうだし、)   (2024/10/25 11:49:27)

フリーナ> 君からはクロリンデとにたような雰囲気を感じるね...(星をじっと見つめ)   (2024/10/25 11:49:49)

星 ◆> （せっかく銀河のアイドルを自称したので星間○行でも歌っておこう、CV石川由依で。クロリンデならそうしたってことだよ。（風評被害、））   (2024/10/25 11:50:26)

エロガキ♂18D ◆> (ここにあの人やあの人やあの人がいたらもっとカオスだったんだよなぁ…と思いながら)   (2024/10/25 11:50:44)

星 ◆> （どれだけ場がカオスになっても私という絶対的秩序が繋ぎ止めてあげるから安心して！）   (2024/10/25 11:52:07)

フリーナ> ふむふむ...やっぱり似てる、、得に声が！！まぁ、世界は広いって言うしね！クロリンデと似たような人が多くてもおかしくないか！(ショートケーキを取り出し食べ始め)   (2024/10/25 11:52:52)

エロガキ♂18D ◆> (カオスの中心部はほぼ貴女と某犬さんとたまに某黒いお祭り娘なんですよねぇ……ここに店長が入るともう止められない)   (2024/10/25 11:53:22)

エロガキ♂18D ◆> おや、ケーキですか……大したものですね(言いたいだけ)(そっとコーヒーを差し出しながら)   (2024/10/25 11:54:12)

星 ◆> キラッ☆……じゃあそのクロリンデって人は相当声がいいんだね。（私に似てるっていうのはそういうことだから。フリーナをじぃ～っと見て。厳密にはそのケーキをじぃ～～っと見てる。）   (2024/10/25 11:54:25)

星 ◆> （私が……カオス……！？ってとても心外そうな顔をした。）   (2024/10/25 11:55:08)

フリーナ> 気が利くじゃないか！ミルク多め砂糖少なめでたのむよ！！...って君はなんで僕のケーキを見てるんだい？これは僕のだからあげないよ？   (2024/10/25 11:56:01)

星 ◆> 一口も……？（わざわざ屈んで上目遣いになった。じ……っ。）   (2024/10/25 11:56:49)

エロガキ♂18D
◆> (思考が……読めるのか！？まずい………(何度目だこれ))…おや、いわゆる微糖派ですか…かしこまりました(そう言いながらコーヒーフレッシュ、部屋の冷蔵庫から生乳、そして角砂糖をナイフで切り半分だけ入れて…)……お待たせ致しました、ごゆるりと…対価は、ホールケーキを一つ…()
  (2024/10/25 11:58:36)

フリーナ> ...わかった！！わかったからそんな目で見ないでくれ！一口だけだよ？(星に食べかけのケーキを差し出し)   (2024/10/25 11:58:53)

星 ◆> わぁい、やったー！（無邪気にぴょんと跳ねて。差し出された美味しそうなケーキ、（1.慎ましやかに一口　2.これ好みかも！二口だけ……　3.半分こでいいよね？　4.私の一口は星神すら飲み込むよ、全部だ！）食べた。あーん。）   (2024/10/25
12:01:22)

星 ◆> 1d4 → (1) = 1  (2024/10/25 12:01:25)

星 ◆> （一口だけもらった、美味しい！）   (2024/10/25 12:01:34)

フリーナ> うーん、、ご苦労様！君はとてもいいやつのようだね！！(珈琲を受け取り一口飲み)うん！味も問題ない！合格をあげよう～   (2024/10/25 12:02:09)

胡桃 ◆> (3人が仲良く賑わってるのを遠目から見てる。ソファの上でだらり…)   (2024/10/25 12:02:22)

おしらせ> ミミ ◆r8To80Q7JEさんが入室しました♪  (2024/10/25 12:02:54)

ミミ ◆> わー！(ソファの後ろからばっ、)   (2024/10/25 12:03:17)

胡桃 ◆> ミミちゃんこんにちは！   (2024/10/25 12:03:18)

エロガキ♂18D ◆> (地獄のような光景が繰り広げられなくて良かった……)お褒めに預り光栄の極みでございます…(なんか今日一点なり合格なり色々貰うなぁ)   (2024/10/25 12:03:20)

星 ◆> （はっ、胡桃が構って欲しそうな寂しい感じで私を見てる……！　そういえばピックアップくるらしいね、石160個で来てくれるかな？）   (2024/10/25 12:03:20)

ミミ ◆> こんにちはー！   (2024/10/25 12:03:22)

胡桃 ◆> この子隠れてたの？(小さいしね、ソファの後ろくらい余裕で隠れてそう。)   (2024/10/25 12:03:59)

フリーナ> 食べたね？これで終わりだよ！(星からケーキを取り戻し、、食べ始め)んん..元気な子が来たね！こんにちは！   (2024/10/25 12:04:03)

エロガキ♂18D ◆> おや、ミミさんこんにちは……昨日はお疲れ様でした…激辛、災難でしたねぇ(無意識で頭を撫でながら)   (2024/10/25 12:04:04)

ミミ ◆> お嬢思っきり寝てたー！運び込んどいたから安心しなー！(イイね１つ、)   (2024/10/25 12:04:35)

ミミ ◆> 隠れてないよー！今来たのー！   (2024/10/25 12:04:53)

星 ◆> ありがとうフリーナ、美味しかった。お礼にこれ、お土産に持って帰って。（こっちで一番有名なケーキだよ、って紙箱に入ったオークロールを渡しておいた。私の友達の好物なんだ。）   (2024/10/25 12:04:55)

星 ◆> ミミ、こんにちは。……元気だね。   (2024/10/25 12:05:25)

ミミ ◆> あれはねー、うん、やばかったー！フータローもティビーも意味分からなくてのたうち回ってたって！(きゃっきゃっ、)   (2024/10/25 12:05:37)

ミミ ◆> ミミはいつも元気ー！   (2024/10/25 12:05:50)

胡桃 ◆> (星が原石160で私を買える(語弊)女だと思ってそうな顔をしてる気がした。1600の間違いになりそうだけど気をつけて引いてね。あと護摩の杖も！(別角度からの営業、)   (2024/10/25 12:05:55)

フリーナ> いい心掛けだね！今度皆で食べることにするよ(嬉しそうにオークロールを受け取り)   (2024/10/25 12:05:56)

エロガキ♂18D ◆> (……あれは……！！まぁいいか……うん)それはそうでしょう……どれくらいのレベルかは分かりませんが…それはのたうち回るくらいの酷な辛さだったでしょうに…   (2024/10/25 12:06:23)

星 ◆> （私と胡桃の仲だし来てくれると思って……！そういえば一時期もう片方のピックアップの子も来てた気がする、会ったのは私じゃなくてホタルだったけど……。）   (2024/10/25 12:07:35)

