/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月27日 11時40分 ～ 2024年11月29日 16時31分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂19b ◆> 気合いと根性で勝つよ～！(負け続き)   (2024/11/27 11:40:35)
エロガキ♂12Ω ◆> キタサン姉ちゃんは何か穴開きランジェリーとか過激な黒が似合いそうなイメージ。(謎概念)   (2024/11/28 14:42:18)

エロガキ♂17C ◆> 19bはおめーも酒触っちゃいかん立場だろ…（げし）   (2024/11/28 14:42:56)

エロガキ♂12Ω ◆> ついこの間まで下着の半袖シャツとパンイチだけで過ごしてたな。今は流石に寒くてスウェット着てるけど。   (2024/11/28 14:43:11)

クラリス ◆> 次は戦場で会おう！（謎のカッコつけ）   (2024/11/28 14:43:13)

おしらせ> クラリス ◆vp1gp540pWaYさんが退室しました。  (2024/11/28 14:43:17)

エロガキ♂12Ω ◆> あーい、古戦場から逃げるな。(無慈悲)お疲れー。   (2024/11/28 14:43:38)

エロガキ♂17C ◆> お疲れ様。バニースーツ楽しみにしとくね（？）   (2024/11/28 14:43:43)

キタサンブラック> クラリスさんはお疲れ様です。そしてここのガキ陣はだめですが。アタシたちには必殺の言葉があるんです   (2024/11/28 14:43:45)

エロガキ♂19b ◆> おつかれさまー！   (2024/11/28 14:43:53)

雪花ラミィ> スーパーコラボしてて草。氷結は良いぞ（酒と状態異常のダブルミーニング）んーー、昼は響とか霧島とかが良いよね。日本酒とウイスキーとかね。ラミィは昨日バスローブで外に干してたもこもこ靴下取りに行く道中に寒さに凍えちまったよ   (2024/11/28
14:44:00)

雪花ラミィ> クラリっちゃんおつらみー。またお話ししよねー   (2024/11/28 14:44:13)

キタサンブラック> （「※この作品に登場する人物は、すべて成人しております」って書かれた謎フリップを前において）これで飲めます！（ででん   (2024/11/28 14:44:21)

エロガキ♂19b ◆> (ロリが....いない....？)   (2024/11/28 14:44:51)

エロガキ♂17C ◆> （その切り札使い出すと色々とアレなのよ……なんでもできちゃう魔法カードなんだよ……））   (2024/11/28 14:45:00)

エロガキ♂12Ω ◆> おい中等部。(びし)   (2024/11/28 14:45:06)

キタサンブラック> 氷状態異常強いんですよね～　ウーバーシープからのジンギスカンの回復力とどっちがいいか迷うレベルで   (2024/11/28 14:45:07)

エロガキ♂12Ω ◆> そういやポケポケ人気だけどポケカって難しそうだよなー。   (2024/11/28 14:45:50)

キタサンブラック> 切り札というか、もうエッチなこともしているのでグレーゾーンはすでにブラックよりなんです（キタサンブラックだけに）   (2024/11/28 14:45:51)

エロガキ♂17C ◆> バスローブのまま靴下取りに行くってどういうシチュエーション…？めんどくさがり？（）   (2024/11/28 14:45:52)

エロガキ♂17C ◆> ◯戯王よりはまだ簡単だと思うよ、ポケカ。（悪意ある伏せ字）   (2024/11/28 14:46:32)

雪花ラミィ> （ラミィはきゃぴきゃぴの20歳（ドサバ読み）ですって看板も横に立てとこ）   (2024/11/28 14:46:36)

キタサンブラック> ……え？（ラミィさんってエルフ族だから優に3桁年齢だと思ってた？！）   (2024/11/28 14:47:08)

エロガキ♂17C ◆> 桁一つ足りねーぞ、そこエルフ。（0書き足し）   (2024/11/28 14:47:14)

エロガキ♂12Ω ◆> 日本語って難しいよな。(●戯王)   (2024/11/28 14:47:39)

エロガキ♂17C ◆> あれは日本語じゃなくてコンマイ語だし……。選ぶと対象にとるは異なりますって理解は出来るけど納得はできない。   (2024/11/28 14:49:11)

雪花ラミィ> ジンギスカンの回復力と、フルコースのアイテムで回復力二倍にするとなかなか死なんよー（二人しか分からない会話）んゃ、ラミィ足元が寒いと寝れないからいっつも靴下履くんだけどストックなくってー。外出たら、普通に防寒の下着もつけてねかったからほぼ全裸で真夜中の風をブチ食らったんよ（）
  (2024/11/28 14:49:28)

キタサンブラック> 次は、ついにねぽらぼの5期やリグロス参戦ですかね（また、半年一年待ちでしょうが……ジャンプキング？がついてくるとは思ってなかった）   (2024/11/28 14:51:13)

エロガキ♂17C ◆> それでまた風邪引いてもしらないぞ……。っていうか、通りすがりの雪民が聞いたらどんな顔するやら。   (2024/11/28 14:51:35)

キタサンブラック> あぁ～お風呂上りに取り込み忘れてたとかじゃなく……確かに、足元温めるとぐっすり眠れることってあるあるですね。（とはいえ、アタシは、部屋でもこの時期ハーフパンツとかシャツとか、寝間着が異常に軽装だって言われましたけど）  
(2024/11/28 14:52:20)

エロガキ♂12Ω ◆> 室内で靴下とか履くのってどうなのかと一時期思ったり。(厄介足フェチ)   (2024/11/28 14:52:39)

エロガキ♂17C ◆> 実際問題つま先から身体って冷えるし、靴下履くのはある意味正しいと思うんだよね。オレは逆に裸足じゃないとなんか寝付けないから脱ぐ派だけど。……つま先から、アホ毛まで（ぼそつわ）   (2024/11/28 14:53:58)

エロガキ♂19b ◆> っとと、背後が忙しくなってきたから一旦落ちますね～(ｽｽｽ)   (2024/11/28 14:54:41)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/28 14:54:44)

キタサンブラック> お疲れ様です   (2024/11/28 14:55:10)

エロガキ♂17C ◆> お疲れ様。外で凍結したままとかになるなよー。   (2024/11/28 14:55:17)

エロガキ♂12Ω ◆> うい、筋金入りの足フェチ兄ちゃんの話は今度聞こっと。   (2024/11/28 14:55:18)

雪花ラミィ> そういうのをノーパン健康法って言うんよホロだと（先輩の知恵）ノーパンで靴下だけ履くってだいぶ言葉に起こしたら終わってんな（）   (2024/11/28 14:55:45)

雪花ラミィ> おつらみぃーふくてんちょー   (2024/11/28 14:55:52)

キタサンブラック> と、まぁ色を調整しつつ、実際、末端……つま先や指先はどうしても心臓から一番遠いので冷えやすく、近くに大動脈類も少ないので……ですが、手って太ももに挟んだり、胸元に寄せたり、意外と温めやすいんですよね   (2024/11/28
14:56:19)

エロガキ♂12Ω ◆> 何か服は脱がしても靴下は脱がさない謎のフェチ味を感じる。(ノーパン健康法)   (2024/11/28 14:57:10)

キタサンブラック> 対する脚ってどうですかね？地面についていたり……床暖房とか無いと其処からこそ熱を持っていかれる。ましてやどこかでこすって温めるっても縮こまって足先をさする以外にあんまり方法ってなくて、だからお部屋で靴下って結構効果あるんですよ。　あとは、寝る前にじっくり足湯なんていうのもありますね
  (2024/11/28 14:57:21)

エロガキ♂17C ◆> ノーパン靴下ってパワーワード……。さておき、キタちゃんの解説っぷりみてると21号さんインストールされてるように見えてくる件。   (2024/11/28 14:58:02)

キタサンブラック> 本質的には説明するの好きですからね。アタシでいうより21号さんの方が様になるってだけで……   (2024/11/28 14:58:41)

エロガキ♂12Ω ◆> この時期風呂上がりに乾燥肌防ぐ為にオイル塗るじゃん、あれで脚絞ってるシーン何かエロいよなー   (2024/11/28 14:59:31)

エロガキ♂17C ◆> もしくはさまざまな雑学にあわせて最後にダイヤちゃんの秘密をこっそり織り交ぜて叫んでからシュタタタするSS的な（頭抱え）   (2024/11/28 15:00:01)

エロガキ♂17C ◆> 肌の乾燥もだけどどちらかと言えばこの時期は喉の乾燥が、なぁ……寝るときマスクしたままとか寝付けないし。   (2024/11/28 15:01:35)

キタサンブラック> あーあー、テステス   (2024/11/28 15:02:27)

エロガキ♂12Ω ◆> お？   (2024/11/28 15:02:48)

エロガキ♂17C ◆> ん、リロード詰まったりしてたかね？   (2024/11/28 15:02:55)

キタサンブラック> あ、しゃべれたorz　ち、ちなみに、ノーパン健康法ですが、科学的な立証は難しい部分は多いのですが、束縛されるのが苦手な人などには、ぴっちりしたものは眠りを妨げる可能性があることや……布団やゆったりしたズボンははきますし、近くに大腿部の大動脈が在るので、解放感や安眠を得られるって意味では高確率で健康に寄与しているという推測はできますよね。
  (2024/11/28 15:03:56)

キタサンブラック> （※この説明、2回打ち込んでた）   (2024/11/28 15:04:17)

エロガキ♂17C ◆> （全部闇に飲まれたんだね…（同情の視線））   (2024/11/28 15:04:39)

キタサンブラック> ……（ラミィさんが止まっちゃった、ほっぺぷにぷに）   (2024/11/28 15:05:12)

エロガキ♂12Ω ◆> なるほどぉ、そうなると上も付けなかったりするんかな。上下下着抜きで服を着るのか、それとも裸族で過ごすのか。どっちも魅力あふれる過ごし方だしのびのびと過ごしてほしいよな。(スケベなだけ)   (2024/11/28 15:06:33)

エロガキ♂17C ◆> まあ実際服にもよるだろうけど下着については脱げないように多少なりとも締める要素はあるわけだし、そう考えると寝る時に気になって、てきな理由はわからなくもない。   (2024/11/28 15:06:47)

エロガキ♂12Ω ◆> (酔い潰れた？)   (2024/11/28 15:06:47)

エロガキ♂17C ◆> （いつものお約束だと思う。まだ寝てない、って騒ぐけどまた直ぐに寝る奴。）   (2024/11/28 15:07:19)

エロガキ♂12Ω ◆> 男がノーパンは無いだろうけどね、ぶらぶらふぃんふぃんして落ち着かない   (2024/11/28 15:07:26)

キタサンブラック> 想像力を働かせてください   (2024/11/28 15:07:49)

キタサンブラック> 女性にはブランブランは無くても、大きい人はタプンタプンはありますよね？さて、上はどうしたほうがいいでしょうか？   (2024/11/28 15:08:17)

エロガキ♂17C ◆> ……抑えてもしんどい、とはよく聞く話だね。<たぷんたぷん   (2024/11/28 15:08:50)

エロガキ♂12Ω ◆> …上はまぁ付けた方が良いよな。揺れたら痛いって言うし擦れても痛いって言うし   (2024/11/28 15:08:57)

雪花ラミィ> まだねてにゃい！！！（がばx）   (2024/11/28 15:09:02)

エロガキ♂17C ◆> （予想当たり、10ラミィポイントもらっとこ。）   (2024/11/28 15:09:29)

キタサンブラック> きつすぎるのはだめですが、多少は安定させた方が良いので、締め付けがきつくない程度のナイトブラとかですかね。ふいに突起が擦れるとあれですし   (2024/11/28 15:09:36)

エロガキ♂12Ω ◆> クーパー靭帯だるんだるんは将来が大変そう   (2024/11/28 15:09:41)

エロガキ♂12Ω ◆> となるとスケスケネグリジェ、ベビードールで胸は程々に守りつつ下はスースーさせるのが一番？   (2024/11/28 15:10:40)

キタサンブラック> まだ……なんですね（大丈夫ですか？おっぱいでも揉んでおきますか？って軽く胸前へ……ってここでは触り過ぎると怒られますが）   (2024/11/28 15:10:41)

雪花ラミィ> ラミィは言うてノースリーブで耐え込んどるから、おっぱいは（）   (2024/11/28 15:11:19)

エロガキ♂12Ω ◆> ラミィ姉ちゃんサイズもなかなかないよなぁ。   (2024/11/28 15:11:55)

キタサンブラック> ラミィさん、そのサイズで腋とか肩とかセクシーなのは反則なんですよ。（はい、上着羽織っててください   (2024/11/28 15:12:12)

エロガキ♂17C ◆> すごくぱっつんぱっつんなのはなんとなく想像した。<ノースリーブ   (2024/11/28 15:12:18)

エロガキ♂17C ◆> 大きいには大きいなりの悩み、とはいうものの規格外になるとまた話も変わるだろうしなあ。   (2024/11/28 15:14:07)

エロガキ♂12Ω ◆> 数キロのブツを絶えず抱え取る訳でなぁ。   (2024/11/28 15:14:42)

雪花ラミィ> らみぃはIカップやぞ！！！！（謎誇り）うん、あのね、ちゃんとブラつけんとガチでおもたくて歩くのもしんどいよー。夏場は蒸れるし。   (2024/11/28 15:15:14)

エロガキ♂12Ω ◆> でも巨乳爆乳のノーブラタンクトップとか見るからにドスケベなのも好き。   (2024/11/28 15:15:14)

エロガキ♂17C ◆> 野郎のは仮にデカくても重量って面ではしれてるっちゃしれてる、よな……？   (2024/11/28 15:15:37)

エロガキ♂12Ω ◆> うお、デッカ。(当然の反応)   (2024/11/28 15:16:33)

キタサンブラック> 夏場は、ほんと色気とか可愛さも取りたいですが、それ以上に通気性とかで材質えらびますよね。（アタシもFくらいあるので体外ですが、より一層なラミィさんだと谷間だけじゃなく下側も蒸れそう……）   (2024/11/28 15:16:58)

キタサンブラック> ……よし、今度ラミィさんに勝ったら腋と胸元をスンスンするプレイを所望します！   (2024/11/28 15:17:40)

エロガキ♂17C ◆> そこのエルフは愛情いっぱいIカップでしたね、はい。……うーん、これは酷い罰ゲーム。（いい意味で）   (2024/11/28 15:18:03)

エロガキ♂12Ω ◆> うわ、めっちゃフェチぃ。   (2024/11/28 15:18:06)

雪花ラミィ> ノーブラタンクトップはマジでね、耐えるのキッツイで。エッチな漫画見ててもきつさがわかるから「はよ横にしたれ！！」って思っちゃう（）   (2024/11/28 15:18:29)

エロガキ♂12Ω ◆> 爆乳エルフ迫真の訴え。()膝の上に乗せて頭乳置きにしてもろてー。とかいいたいけど首が死にそう。(小並感)   (2024/11/28 15:19:48)

キタサンブラック> エッチな漫画で巨乳っていうとあれですよね。あの、見た目に派手で突起が残像するくらいブルンブルンしてるのありますが、表現方法なだけで、アレやられたら絶対もげる！ってくらい痛くて、あれこれ考えてる余裕なくなりますよね   (2024/11/28
15:20:00)

エロガキ♂17C ◆> こう、アホみたいに跳ねてるのは流石に見てて痛いだろうなあ、ってのはなんとなく想像はつくんだけど、細かいところまだは流石に、分からんのが本音。（持たざる者）   (2024/11/28 15:20:58)

エロガキ♂12Ω ◆> アレかな、頭の後ろで手を組んでガニ股腰振りとかで息子ブレイクダンスさせたら少しは分かりそう。(アホ)   (2024/11/28 15:21:53)

キタサンブラック> いや～……正直フィットしたブラ付けてても、走ってると偶に痛み感じるくらいですから、ブラなしであの上下運動は……ラミィさんサイズだったら尚のこと悶絶レベルかと？   (2024/11/28 15:22:10)

雪花ラミィ> 3キロの米俵（重力加速付き）を何度も何度も胴にぶつけられてるみたいな（）   (2024/11/28 15:23:29)

エロガキ♂12Ω ◆> 巨乳が走った後の息切れシーン、胸に手を当ててるけどアレは呼吸整えて肺が痛いとかじゃなくて胸の付け根が痛いって事か。   (2024/11/28 15:23:32)

エロガキ♂17C ◆> Gで大体片側約1kg、二つ合わせて2Lペットボトル一本分……。いや、肩とか色々どうにかなる。そんな重量ぶらさがってる状態で暴れたら…（遠い目）   (2024/11/28 15:23:41)

エロガキ♂17C ◆> 米俵はおっふ、ってなる……   (2024/11/28 15:24:04)

エロガキ♂12Ω ◆> IVでよく見る縄跳びってめっちゃ頑張っとるんやな…。   (2024/11/28 15:24:38)

キタサンブラック> その米俵が、落ちるんじゃなくて捥げると同時に痛みを伴うわけですから絶望です。　スポーツ選手などは当然バウンドしにくいサポーターをつけているので、実際のスポーツ競技で胸元抑えてるのは単純に息切れがほとんどだと思いますよ（特にプロは痛み気にしてプレイする人なんていませんし）
  (2024/11/28 15:25:38)

エロガキ♂17C ◆> キタちゃんもそうだけど、ウマのお姉さんたちなんかあんなに揺らしたら絶対痛いのでは？って思わずにはいられない揺れ方してる子がちらほらいるしなあ……。うーん、現実。   (2024/11/28 15:26:25)

キタサンブラック> あれは、あくまでも表現的物理演算で、実際のプロスポーツなら揺れないある程度の圧迫と通気性、バウンド補強のあるスポーツウェアなので、まぁああいう揺れを見ることはないですね   (2024/11/28 15:27:41)

エロガキ♂12Ω ◆> しかも前傾姿勢で空気抵抗凄そうだよな。スズカ姉ちゃんが先頭民族なのはやはり物量の差か…。   (2024/11/28 15:28:02)

エロガキ♂17C ◆> 揺れないように対処しなきゃ選手生命云々以前の話にだとは思うから、画面の中だけだとは理解できるけどね。<現実でああいう揺れはみない   (2024/11/28 15:29:07)

キタサンブラック> あとは、割と走ったりなどの動きが多いスポーツだと、そもそもにトップランカーになる時点で大きい人はふるい落とされてるかと思います。競技に向く体形か否かもプロの資質ですからね   (2024/11/28 15:30:13)

エロガキ♂17C ◆> 水泳なんかは痛くはないかもだけどそもそも抵抗になることを考えたら、篩い落とされるのはごもっとも感。   (2024/11/28 15:31:08)

キタサンブラック> 素直に考えてみて下さい   (2024/11/28 15:32:18)

キタサンブラック> 同じ身長、同じ体重の人がいます   (2024/11/28 15:32:29)

キタサンブラック> 同じ体重でも腕や足に筋力がある人と、同じ体重でも胸に体重が在る人、　また、同じ筋力量でも、胸に余分な重さがある人   (2024/11/28 15:33:13)

エロガキ♂17C ◆> ハンデもいいところ。   (2024/11/28 15:33:35)

キタサンブラック> さて、競技としてどちらがスポーツで有利に動けるでしょうか？って言えば、わかりやすいですよね   (2024/11/28 15:33:40)

エロガキ♂17C ◆> しかし……気が付いたら勉強会になってたな！？おっぱいには夢が詰まってるとかそんな寝言言えないやつ…！   (2024/11/28 15:35:03)

キタサンブラック> まぁ、そもそもにこの体形で身長よりも分厚いタイヤ引っ張れる身体機能を持ってるアタシに、この胸のサイズくらいどうというレベルじゃないんですけどね？（全部アタシには適用せぬ！   (2024/11/28 15:36:17)

エロガキ♂17C ◆> キタちゃんは、というよりウマのお姉さん方はそもそもヒトミミ基準と比べると大幅に規格外なんだよ……！なんだよあのクソデカタイヤ。何につけるんだよってレベル。   (2024/11/28 15:37:42)

キタサンブラック> いえ、実際アメリカなどの工事作業車両のタイヤって、あのサイズ、ですよ？   (2024/11/28 15:38:46)

エロガキ♂17C ◆> あー、あっち（外国）基準だとああいうのあるのか。あれ何キロするんだろう1個。   (2024/11/28 15:39:30)

エロガキ♂17C ◆> サッと調べた。……5トン。マジかよ。   (2024/11/28 15:40:32)

キタサンブラック> アタシも最初なんの冗談？と思ったのですが　930Eというダンプトラック、調べると世界最大クラスって意味で、人が立ってる比較画像見ると笑えますね   (2024/11/28 15:40:56)

エロガキ♂17C ◆> 2階建家屋よりも大きいとかどういうことなの……<930E それはあんな大きいタイヤ使わなきゃ無理だ……。   (2024/11/28 15:42:35)

キタサンブラック> 世界は広いですよね（しみじみしつつ、お茶啜り   (2024/11/28 15:43:23)

エロガキ♂17C ◆> そしてどうやらエルフと12Ωくんは夢の世界に旅立った模様。まあ今日はまだ比較的暖かいし、昼寝には心地いい気温だろうしね。陽が沈んだら寒さで起きそうだけど。（両肩微かにすくめて見せつつお茶ずずず。）   (2024/11/28
15:44:30)

雪花ラミィ> ！！！！！！   (2024/11/28 15:44:59)

キタサンブラック> ラミィさん、大丈夫ですか？おっぱいでも揉まれますか？（二度目の差出ポーズ）   (2024/11/28 15:45:25)

エロガキ♂17C ◆> ……死んだふりならぬ寝たふりでも会得した？おねんねする？（ガラガラ）   (2024/11/28 15:45:49)

雪花ラミィ> おっぱいの話したら、持久走の時を思い出して震えて眠ってた（）   (2024/11/28 15:46:10)

エロガキ♂17C ◆> （なんか似たような言い訳を最近聞いた気がする）   (2024/11/28 15:46:33)

キタサンブラック> 持久走……胸を押さえながら走ったり、胸の間に手を合わせて挟んで揺れを抑えたり……しますね。   (2024/11/28 15:47:10)

エロガキ♂17C ◆> 持久走……なあ、あまりいい思い出がないな。喘息患ってたから走れば走るほどマジでぜーはーなるやつ。   (2024/11/28 15:48:07)

エロガキ♂12Ω ◆> お布団包まってウトウトしてた…   (2024/11/28 15:48:11)

エロガキ♂17C ◆> 寝そうな時は素直に寝るのが一番だとは思うんだ。……いやまあ、それで夜に寝られなくなるのは色々具合悪いけど。   (2024/11/28 15:49:01)

キタサンブラック> 昼食後30分から1時間程度の午睡をするのは脳の働きに良いと聞いた事はありますけどね   (2024/11/28 15:49:57)

エロガキ♂17C ◆> 軽い仮眠とかはすると実際頭しっかり働いてくれるからたまーにやるね。   (2024/11/28 15:50:51)

おしらせ> 銀狼さんが入室しました♪  (2024/11/28 15:50:51)

銀狼> やっほ...こんにちは   (2024/11/28 15:51:21)

エロガキ♂17C ◆> ん、こんにちは銀狼さん。14Cの時は悪かったね。   (2024/11/28 15:51:35)

キタサンブラック> こんにちは～って言いつつももう16時なんですね   (2024/11/28 15:52:07)

エロガキ♂17C ◆> 時間が経つのはあっという間、か。気がつけば陽も傾き始めてるし。   (2024/11/28 15:52:47)

銀狼> 問題ないよ..エーテル編集の実験にもなったからねっ   (2024/11/28 15:52:49)

エロガキ♂17C ◆> 人の癖毛で遊ぶのは勘弁してほしい…！   (2024/11/28 15:53:16)

キタサンブラック> と、すみませんがアタシはそろそろ一度戻る時間です。銀狼さんはすみません、すれ違いで   (2024/11/28 15:54:26)

キタサンブラック> では、またいずれ！   (2024/11/28 15:54:41)

おしらせ> キタサンブラックさんが退室しました。  (2024/11/28 15:54:46)

エロガキ♂12Ω ◆> ん、おっすおっすー。   (2024/11/28 15:55:19)

銀狼> お疲れさま...   (2024/11/28 15:55:24)

エロガキ♂12Ω ◆> うい、キタサン姉ちゃんお疲れ様ー。   (2024/11/28 15:55:32)

エロガキ♂17C ◆> キタちゃんお疲れ様。   (2024/11/28 15:55:37)

エロガキ♂17C ◆> （今度は持久走の話したから震えてるんだろうか）   (2024/11/28 15:56:09)

銀狼> 持久走はしたことないね...私にそういったのは必要ないし   (2024/11/28 15:58:08)

エロガキ♂17C ◆> 銀狼さんが走ってぜーぜーしてる光景はあまり想像つかないな…   (2024/11/28 15:59:07)

エロガキ♂12Ω ◆> (銀狼姉ちゃんはゲーム自体は知らないけど某動画サイトでめっちゃ見るなぁ)   (2024/11/28 16:00:13)

銀狼> そもそも走らないからね...基本はこれでなんとかなるし   (2024/11/28 16:00:22)

エロガキ♂17C ◆> まあ今なんてホログラムだから走る以前だよね。   (2024/11/28 16:02:15)

銀狼> そういうこと...ここから動かなくてもいいのがすごくいい   (2024/11/28 16:05:04)

エロガキ♂17C ◆> うーん、堕落の一途…！   (2024/11/28 16:06:07)

銀狼> 最近は私を採用するパーティーも減ってるからね...仕事がなくてゲームができて部屋から出てる時間の方が短いかも   (2024/11/28 16:07:19)

エロガキ♂17C ◆> ソシャゲの悲しき仕組み……余程尖ってないと先行キャラは振るい落とされる……。   (2024/11/28 16:08:08)

エロガキ♂17C ◆> （また寝てる…）   (2024/11/28 16:08:29)

エロガキ♂12Ω ◆> (俺は起きてるぞー。)   (2024/11/28 16:08:54)

銀狼> 私の強みはもうゴロゴロ転がってるからね...でもゲームできるから私はいいよ。ホタルとカフカがその分やってくれてるから   (2024/11/28 16:09:50)

エロガキ♂17C ◆> 弱点付与とかかなり強かったのになあ。……さてと、オレはそろそろ行くところあるし行くよ。また夜にでも会えたらいいね。それじゃ。   (2024/11/28 16:10:54)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/28 16:11:00)

銀狼> またね...   (2024/11/28 16:11:41)

おしらせ> 無言時間が25分を超えたため、雪花ラミィさんが自動退室しました。  (2024/11/28 16:11:41)

銀狼> ...私もいこうかな...イベントしなきゃ...それじゃあバイバイっ   (2024/11/28 16:13:34)

おしらせ> 銀狼さんが退室しました。  (2024/11/28 16:13:35)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが退室しました。  (2024/11/28 16:14:51)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/28 20:33:08)

エロガキ♂17C ◆> 14の方がエロガキに相応しいんだろうけど、どうにも今夜はアレのモチベーションを保てる気がしなくてね。お邪魔するよ。   (2024/11/28 20:33:53)

エロガキ♂17C
◆> しかし、ゲーム部屋でもどうにも双方に気分を盛り上げようと思うと、やはり煽り合うのがいいんだろうか。ペースのことを考えると煽り文句ばかりが並ぶのもどうかとは思うが、何かしらの反応がある方が、やっぱり気持ち的にはとても盛り上がって楽しく思える。  
(2024/11/28 20:36:46)

エロガキ♂17C ◆> ぶっちゃけ、対戦中はほぼほぼ罰ゲームのことなんか頭から抜けててゲームの緊張感でヒリつく方に思考が持っていかれつつある今日この頃。   (2024/11/28 20:40:09)

エロガキ♂17C ◆> 頼れる味方、ねぇ。寧ろ連敗の現場に居合わせて煽る気満々なくらいだったんだがな。勝ってしまったもんはしょうがないか。（ちらり、罰ゲーム部屋覗きつつ缶コーヒー啜り）   (2024/11/28 20:42:53)

エロガキ♂17C ◆> それにしても昼間の賑わいは何処へやら。別に独り言垂れ流しに来たつもりは皆無なんだが、黙りっぱなしというのもね。……寧ろ、爆乳がどうだのIだのなんだのって、寧ろこの時間の方が話題として適切だった様な気がしなくもないんだが。  
(2024/11/28 20:47:02)

エロガキ♂17C ◆> ……乳と言えば、どうして野郎は乳に魅力を感じるんだろうな。って、オレがこんな事言ったら色々と心配されそうな気がしなくもないんだが。   (2024/11/28 20:52:36)

エロガキ♂17C ◆> 何かしら魅力に感じるようなきっかけは何処かにあった筈だし、そんなきっかけなんて絶対に忘れようのない出来事だったんじゃないかって考えるけど、記憶をどれ程漁っても出てきやしない。記憶って肝心要の時に引っ張り出せないから困る。  
(2024/11/28 20:57:00)

エロガキ♂17C ◆> （多分今どこからか、そんなもん絶対どうでもいい記憶だから思い出せなくて当たり前、って石投げられた様な気がした。）   (2024/11/28 20:58:44)

エロガキ♂17C ◆> ……なんか忘れてる気がしたんだ。メガネだ。（すちゃっ）   (2024/11/28 21:00:02)

エロガキ♂17C ◆> 各々の嗜好に目覚めるきっかけになった出来事とかは聞いてみたい様な気がする。罰ゲームあたりで。それが恥ずかしいかどうかはその人の嗜好次第かな。   (2024/11/28 21:01:37)

エロガキ♂17C ◆> 適当な時間にゲーム部屋にでも顔を出すか。……出すなら、もう少し後かな。   (2024/11/28 21:04:35)

エロガキ♂17C ◆> ……っと、少しぼんやりしてしまってた。失礼するとしよう。   (2024/11/28 21:11:48)

おしらせ> エロガキ♂17C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/28 21:11:51)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/28 21:25:46)

エロガキ♂19b ◆> 久しぶりにやらしいこと気がする！！こんばんは！   (2024/11/28 21:26:17)

エロガキ♂19b ◆> でもマジで割と攻めるならどういうのがいいんだろうなぁ...昼もいってたけどやっぱ少し変えたりとか...   (2024/11/28 21:30:25)

エロガキ♂19b ◆> やっぱ脇とか...そういうところ弄るのもいいかも？...   (2024/11/28 21:33:41)

エロガキ♂19b ◆> 誰もいないと静かすぎてボーッとしてまうな...色々考えれると思うといいんだが、   (2024/11/28 21:48:09)

エロガキ♂19b ◆> さーて...このままだと長考無言落ちなんて変なことを真似かねないから天井裏にでもいようか...   (2024/11/28 21:49:33)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/28 21:49:36)

おしらせ> Casterさんが入室しました♪  (2024/11/28 23:54:17)

Caster> どうせ私の真名は収まりきらないってわかってるので、いっそ開き直ってきました！   (2024/11/28 23:55:03)

おしらせ> エロガキ♂12Ω ◆6OvpM3d56Eさんが入室しました♪  (2024/11/28 23:57:56)

エロガキ♂12Ω ◆> おー？よっすよっす。何か珍しい姉ちゃんみっけ   (2024/11/28 23:58:20)

Caster> あ……いらっしゃい？……て言ってもここは私の家でもなんでもないんだけど。   (2024/11/28 23:58:40)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/28 23:59:30)

エロガキ♂12Ω ◆> キャス鯖…敬語系…。ロリアーサーの姉ちゃん？   (2024/11/28 23:59:32)

エロガキ♂19b ◆> よっと...どうも、ここで警察に捕まりまくって金欠になった19君ですよ～...俺がなにしたって言うんだ！！   (2024/11/29 00:00:12)

Caster> ろ、ロリ？誰がロリだって！！   (2024/11/29 00:00:12)

エロガキ♂12Ω ◆> おっと、また捕まる気か19兄ちゃん。   (2024/11/29 00:00:48)

エロガキ♂19b ◆> ロリだって！？   (2024/11/29 00:00:51)

Caster> な、なんかまた増えたけど……あなた達って一人居たら複数人潜んでるの……？   (2024/11/29 00:00:52)

エロガキ♂12Ω ◆> 俺等は一人居れば3人は控えてると思ってもいいぜー。へっへっへ。   (2024/11/29 00:01:23)

エロガキ♂12Ω ◆> (個人的にはロリトリア姉ちゃんはバサカ派)   (2024/11/29 00:01:49)

