/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月09日 11時24分 ～ 2024年12月10日 07時01分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/9 11:24:49)
エロガキ♂19b ◆> 痛い！！副店長はそこの酒のみワッパに任命されたんです！！   (2024/12/10 04:49:38)

エロガキ♂17C> ……煽り耐性相変わらずないよな、このハーフエルフ。（缶コーヒー片手にぐいっ）   (2024/12/10 04:50:20)

エロガキ♂17C> （大空警察署署長様向けのお便り1通書かないとかなあ……）   (2024/12/10 04:52:01)

エロガキ♂19b ◆> (あの子も食べたいよね...)   (2024/12/10 04:52:29)

雪花ラミィ> ラミィはエッチなお姉さんエルフじゃなくて、幼馴染シチュで「ねぇ…今晩、お家来る…？」ってやりとりでキュンキュンできるぐらい恋愛耐性のない役回りが出来るぐらい純粋なエルフでいたいの（何を言ってるか分からないが、オタクエルフである。）  
(2024/12/10 04:52:43)

エロガキ♂17C> （勝手に吐かしてろ、19b）   (2024/12/10 04:53:26)

エロガキ♂17C> 希望を口に頂いた所大変恐れ多いけど、多分もうそういう役回りが出来る印象からはかなり離れてるんじゃあないかね。オレ的にはそういうのも見てみたくはあるんだが。   (2024/12/10 04:55:10)

雪花ラミィ> ま、まだ間に合うでしょ…？酒呑みわっぱエルフでも恋がしたいんよ…！（アニメのタイトルみたいなヤツ）   (2024/12/10 04:56:20)

エロガキ♂17C> 初期ラミィならワンチャンあるんじゃあないかな。知らないけど。……いや、ある意味今の状態からのギャップって事なら全然アリなのかもだけど。（酒呑わっぱの属性強すぎないかな……と溜息）   (2024/12/10 04:58:33)

エロガキ♂19b ◆> おにいさんはどんなことでもできちゃうよ！！演技は得意？だからね！！   (2024/12/10 04:58:54)

エロガキ♂17C> じゃあそこのハーフエルフをドキドキさせられる立ち回りを5分以内で。はい、よーいスタート。（棒読み）   (2024/12/10 05:00:03)

雪花ラミィ> いや、今の中期ラミィでもツーチャンあるが。ギャップ萌えブーストなくてもまだまだキュンキュンさせれるが…！？おっと、ラミィそういうの厳しいぞ。（ふんぞり返り顔）   (2024/12/10 05:02:04)

エロガキ♂17C> ツーチャンってさらっとチャンスタイム1回盛ってるのはなんなんだ。ぶっちゃけいつもの酒呑みフリーダムスタイルが皮被ってました、とかはかなりポイントは高いんだけどな。個人的に。   (2024/12/10 05:04:19)

エロガキ♂17C> ……はい、時間切れって言いたいとこなんだけどさ。もしやしなくてもコイツ寝落ちてるんじゃあないかね。（溜息）   (2024/12/10 05:08:07)

雪花ラミィ> それぐらいしないと割に合わないからでしょーが！このラミィの美貌によぉ！…んーむ。ラミィのスタイルが皮かぶってる事は天地がひっくり返ってもないからなあ（）   (2024/12/10 05:08:34)

エロガキ♂17C> はいはい、美貌美貌。寧ろ盛るのは1回だけとか謙虚ですね。ま、いつものフリースタイルが皮被ってましたなんて言われても信じられないな。   (2024/12/10 05:10:40)

雪花ラミィ> おつらみぃー。あれおかしいな、全くもって眠たくねーな…。   (2024/12/10 05:11:17)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/12/10 05:11:36)

雪花ラミィ> あーあ、ラミィの事そんなふうに適当に済まして、どうでも良いとか思ってるんだよね。あーあ。（ドヒス）   (2024/12/10 05:11:44)

雪花ラミィ> 堂主さまああーーーー！！！   (2024/12/10 05:11:56)

胡桃 ◆> やっ。朝早くから元気そうだね？   (2024/12/10 05:11:58)

エロガキ♂17C> んあ、おはようさん。   (2024/12/10 05:12:01)

胡桃 ◆> 熱烈な叫びが耳の奥まで響く…おはよ、2人とも。1人はなんだか怪しいから省いちゃったけど、また寝ちゃったのかな？   (2024/12/10 05:13:09)

エロガキ♂17C> どうでも良かったらもっとドライな扱い方してるよ。好意の対称は無関心だって言うだろう。つーわけでヒスるんじゃあないよ。（どうどう）   (2024/12/10 05:13:55)

エロガキ♂17C> まあ寝ちまったんじゃあないかね、これは。ログ見る限り稼働時間馬鹿みたいに長いしさ。   (2024/12/10 05:14:28)

エロガキ♂17C> ……って瞬く間に静まってるじゃねーか。スタック……じゃあない、よな？   (2024/12/10 05:19:54)

胡桃 ◆> ほんとに寝落ちが得意技って感じになってきちゃってるよね、彼はさ。私も時々そういう日もあるかなってくらいだけど、季節的にも寝落ちとかは極力避けてないと風邪ひきそうだし。   (2024/12/10 05:20:11)

エロガキ♂17C> 得意技にするにはあまりに益のない得意技じゃあないかね、寝落ち。布団からぽちぽちしてるとは思うんだが、心配になるのは違いない、な。   (2024/12/10 05:21:50)

エロガキ♂17C> 眠くならねーアピール程胡散臭いもんはない、って言おうと思ってたら現に寝落ち疑惑もう1名追加だしな。やれやれ。（溜息）   (2024/12/10 05:23:39)

おしらせ> 無言時間が25分を超えたため、エロガキ♂19b ◆PSMnHTgeJoさんが自動退室しました。  (2024/12/10 05:24:22)

エロガキ♂17C> 1名様ご案内ですよ、お疲れさまでした、と。ベッド代わりに棺桶1個貸してやってもらえないかな。無論、お題は本人持ちって事で。   (2024/12/10 05:25:33)

胡桃
◆> 多少気にはなっても結局自己管理の域を出ないからなんとも言い難いのが…。自分から言葉にしたこと程守られてないものっていうのは沢山あるかもしれないね。自分はこうじゃないとか、口上でいろいろ言ってても実際の行動を見てると……なんてことはよくある事だと思わない？
  (2024/12/10 05:25:50)

胡桃 ◆> 貸さない貸さない。棺桶のレンタル料は高くつくよ？   (2024/12/10 05:26:28)

エロガキ♂17C> 違いない。それで結局風邪ひこうが寝不足になろうが、責任は全て己に付き纏うまで。……行動の伴わない口上程信用ならないものは同意だな。   (2024/12/10 05:27:58)

雪花ラミィ> ダメだ、寝ちゃダメなんだ（がばっ）   (2024/12/10 05:28:04)

エロガキ♂17C> はいはい、ちゃんと起きてたねえらいえらい。起きてるうちに布団に入ろうね。   (2024/12/10 05:28:46)

胡桃 ◆> 本当に寝落ち部屋にでも改造しちゃった方がいいかな？みんな風邪引かないようにあったかいところで寝落ちするんだよ   (2024/12/10 05:29:55)

雪花ラミィ> ラミィ、なうお風呂だったから危ないや。今上がり。   (2024/12/10 05:30:36)

エロガキ♂17C> 寝落ち部屋なんて今更作らずとも腐るほど……もなかったな。   (2024/12/10 05:30:45)

エロガキ♂17C> ……さらっととんでも発言しやがったな、このハーフエルフ。とっとと服着て布団に潜れ、っての。   (2024/12/10 05:31:36)

胡桃 ◆> お風呂はやめよう！ほんとに私のお世話になる展開が待ち受けかねないから！私の知る限り添い寝部屋みたいなのはあるよね？使ったこととかないんだけど…人肌恋しい時に来るのかな   (2024/12/10 05:32:10)

胡桃 ◆> 女の子はねー…お風呂の前と最中と後にすっごく時間がかかるのよ？   (2024/12/10 05:32:46)

雪花ラミィ> よく言った堂主。髪長えんよラミィはよお（）   (2024/12/10 05:33:15)

エロガキ♂17C> 風呂の寝落ち程ヤバいものはないからな。ったく、風邪引く心配どころか溺れる心配までせにゃならんとは。添い寝部屋は確かに見かけるが、使ってるのはごく少数な気もしないでもないな。オレは少なくとも利用経験はない。   (2024/12/10
05:33:58)

胡桃 ◆> 私もそうなんだけど、髪の長い子は特にねー…。乾かすのにも時間かかるし、う…腕が、   (2024/12/10 05:34:16)

エロガキ♂17C> ……オレがノンデリ扱いされてるのかな、これ。髪長いと洗うのも乾かすのも一苦労なのは理解してるっての。   (2024/12/10 05:35:11)

エロガキ♂17C> 髪、か。そういやそろそろ切りに行かないとだな。乾燥が甘いと   (2024/12/10 05:38:31)

エロガキ♂17C> 翌日爆発するようになってきた……ってえらい半端なタイミングで切れちまった。   (2024/12/10 05:39:11)

雪花ラミィ> 腕も疲れるし、肩とかも疲れるんよねー。ラミィはその、重しがついてるから余計にね（これバレないよね、って堂主の顔チラリ）   (2024/12/10 05:41:09)

エロガキ♂17C> 髪も長けりゃ重たいだろうからな。……おーおー、煽る煽る。もがれても知らないぞ。（知らん顔）   (2024/12/10 05:42:36)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/12/10 05:44:06)

エロガキ♂18Z> うぃす、おはよぉーっと(ノソノソ)   (2024/12/10 05:44:36)

エロガキ♂17C> おはようさん。随分と早起きな事で。……って、人に言えた側じゃあなかったな。   (2024/12/10 05:45:07)

胡桃 ◆> 気付きはしたけど、もいだりなんてしないから。ラミィさんはね…私に喧嘩売るようなことはしてないよ？……し、て、な、い、よね？(じと、)おはよー！   (2024/12/10 05:45:55)

エロガキ♂18Z> そりゃ21時には寝ていたから4時くらいには起きていたからね(ポケポケのイベントをしていた人。なお、クリア出来てない模様)   (2024/12/10 05:46:08)

エロガキ♂18Z> でも、堂主には立派な太腿があるからなぁ…(ボソッ)   (2024/12/10 05:47:05)

エロガキ♂17C> ガキから煽られたらしばきに来るのに……って、圧がやばいな、これは。なむらみぃだぶつ。   (2024/12/10 05:47:15)

エロガキ♂18Z> なむらみぃだぶつ(なむなむ、合掌)   (2024/12/10 05:48:15)

エロガキ♂17C> 21-4だから7時間、しっかり寝てるとは思うけど、なんていうか……なんていうか、すごい生活リズムだ。   (2024/12/10 05:48:16)

エロガキ♂18Z> 日によるからオールをする日もあれば、⑪0時間以上寝る時もあるし、3時間寝る時もあるぜ…(ランダム)   (2024/12/10 05:49:18)

エロガキ♂18Z> ⑪0……？10時間！   (2024/12/10 05:50:01)

雪花ラミィ> こんらみぃー、人がいっぱいや。ま、まさかね、堂主は心の友っすからねええ（）   (2024/12/10 05:50:25)

エロガキ♂17C> 一日何時間あるのかと思った。<110時間改め10時間   (2024/12/10 05:50:49)

エロガキ♂17C> なむらみぃだぶつって言い出しっぺが言うのもなんなんだがエルフって化けて出るもんなのかね。   (2024/12/10 05:51:50)

エロガキ♂18Z> だいたい4,5日位だね！＞5日で120時間   (2024/12/10 05:51:56)

エロガキ♂18Z> 化けるじゃない？エルフがいるならモンスターでゾンビやゴーストがいると思うし   (2024/12/10 05:52:52)

エロガキ♂17C> ゴーストならともかくゾンビにいるようなイメージが湧かねーのは、やっぱ長命種故なのかね。   (2024/12/10 05:54:33)

雪花ラミィ> ラミィは化けへんからな（）   (2024/12/10 05:55:54)

エロガキ♂18Z> ハーフエルフで数百年とか生きるのもいるしねぇ   (2024/12/10 05:56:30)

エロガキ♂17C> てっきり病みラミィになって出てくるかと思って。   (2024/12/10 05:57:07)

エロガキ♂18Z> ラミィさんはお酒を墓石からとりあげたら化けてきそうなんよね   (2024/12/10 05:57:17)

雪花ラミィ> 普通に腕突っ込んで引き摺りこむ   (2024/12/10 05:57:56)

エロガキ♂17C> いや、メンヘラミィか……まあ伝わるか、って怖。   (2024/12/10 05:58:06)

エロガキ♂18Z> ホラーすぎる…   (2024/12/10 05:58:06)

エロガキ♂17C> 添い寝は嬉しいけど墓の下で一生添い寝はホラーでしかない。   (2024/12/10 05:58:33)

エロガキ♂18Z> 子供ビールをお供えをしなきゃ…()   (2024/12/10 05:58:47)

エロガキ♂17C> アルコール入ってなくて逆に怒り買いそうなんだが。<こどもビール   (2024/12/10 05:59:35)

エロガキ♂18Z> ウイスキーボンボンを食べさせたら解決さ〜   (2024/12/10 06:00:24)

雪花ラミィ> ウイスキーボンボン、あんなんほろ酔いより酔えないからな（）   (2024/12/10 06:01:06)

エロガキ♂17C> 顔が肝臓を自称するだけあるな、やっぱり…   (2024/12/10 06:01:28)

エロガキ♂18Z> でもアルコールが一応あるからね。ノンアルじゃ無いから怒れない……はず   (2024/12/10 06:02:00)

胡桃 ◆> (可愛い顔した肝臓なのか、それとも可愛い肝臓した顔なのかよくわからないって、虚空を眺めた、)   (2024/12/10 06:02:23)

エロガキ♂17C> 日本酒持ってこいって怒られるよ、多分。   (2024/12/10 06:02:24)

エロガキ♂17C> （堂主が色んな意味で疲れてる…）   (2024/12/10 06:02:47)

エロガキ♂18Z> 勝てば持って行ってやらぁ！で乗り切るぜ   (2024/12/10 06:02:52)

エロガキ♂18Z> (確かに)   (2024/12/10 06:03:12)

雪花ラミィ> （可愛い顔した肝臓です）   (2024/12/10 06:03:26)

エロガキ♂17C> （肝臓に可愛い顔描かれてんの想像してしまった）   (2024/12/10 06:04:00)

おしらせ> エロガキ♂17L ◆4j1CscU.Ngさんが入室しました♪  (2024/12/10 06:04:45)

エロガキ♂18Z> (刃牙の脳みそに浮き出た鬼の顔みたいに肝臓が少女漫画みたいな可愛い顔が浮かんでる感じね)   (2024/12/10 06:04:49)

エロガキ♂18Z> おはよぉー   (2024/12/10 06:05:01)

エロガキ♂17L ◆> こんB……いや、おはようか……   (2024/12/10 06:05:17)

エロガキ♂17C> こう、よくフィクションで酒好きな奴の墓に酒撒くシーンあるでしょ、アレしたらブチギレられるんだろうな。   (2024/12/10 06:05:31)

胡桃 ◆> (昆布、)おはよー   (2024/12/10 06:05:37)

エロガキ♂17C> おはよう。朝だってのにまた人の集まるこった。   (2024/12/10 06:05:54)

エロガキ♂17L ◆> (残念こんばんはと言いかけた)＜昆布   (2024/12/10 06:06:06)

雪花ラミィ> やあ゛ーーーーっっと髪乾いたよ！！！   (2024/12/10 06:06:07)

エロガキ♂18Z> せっかくのお酒を何してんだ！ってなりそうだもんね   (2024/12/10 06:06:09)

雪花ラミィ> こんふぁみ！！！   (2024/12/10 06:06:16)

エロガキ♂17C> よくできましたえらいえらい（なでなで）   (2024/12/10 06:06:32)

エロガキ♂18Z> こん   (2024/12/10 06:06:33)

胡桃 ◆> あー…確か墓石にお酒をかけると悪影響あるんじゃなかったかな。成分の問題だったかな？   (2024/12/10 06:06:38)

エロガキ♂17C> ふぁみちき。   (2024/12/10 06:06:41)

エロガキ♂17L ◆> 仕事終わって覗いてみればやけに騒がしいじゃないの、夜更かし組は寝落ちる前に寝なよ？   (2024/12/10 06:07:12)

エロガキ♂18Z> あれだね。墓石にカビとか繁殖したり、色が染まったりするから本当はNG＞悪影響   (2024/12/10 06:07:40)

エロガキ♂17C> 調べたら墓石に酒が染みてカビの原因になるそうな。<悪影響   (2024/12/10 06:07:40)

エロガキ♂17L ◆> 朝風呂か、良いね＞ラミィ   (2024/12/10 06:07:53)

エロガキ♂17C> 生憎夜更かしじゃあないんだな、これが。   (2024/12/10 06:08:07)

胡桃 ◆> ラミィさんはお疲れ様。長髪族はほんとに大変だね〜……   (2024/12/10 06:08:10)

エロガキ♂17L ◆> 17Cはむしろおはよう組か   (2024/12/10 06:08:32)

エロガキ♂18Z> 同じく7時間睡眠したおはよ組(ぐでたま)   (2024/12/10 06:09:03)

雪花ラミィ> 酒瓶を抱き枕にして寝ようかしら。いや、眠れないんだよなあ〜〜……眠気が…。   (2024/12/10 06:09:09)

エロガキ♂18Z> 寝れないなら運動したら寝るじゃない？(頭を使うと眠くなるし)   (2024/12/10 06:09:39)

エロガキ♂17C> そうやってうだうだしてるうちに寝落ちるに1ラミィポイント賭ける。   (2024/12/10 06:09:42)

エロガキ♂17L ◆> ん？じゃあ夜更かし組は……(酒飲みエルフチラリ)   (2024/12/10 06:09:48)

胡桃 ◆> じゃあよく眠れる子守唄でも聞く〜？(例のアレ、)   (2024/12/10 06:10:05)

エロガキ♂17L ◆> 寝るなら布団orベッドに入って暖かくして寝ときな、酒瓶抱き枕にせず   (2024/12/10 06:10:27)

エロガキ♂18Z> (羊が一匹……のあれね)   (2024/12/10 06:10:33)

胡桃 ◆> ヒルチャールが1匹……(匹？)   (2024/12/10 06:10:52)

エロガキ♂17C> スライムが2匹。   (2024/12/10 06:11:09)

エロガキ♂17L ◆> (あれ一回も効いた事ない人)   (2024/12/10 06:11:09)

胡桃 ◆> そもそもの話し、言語の差があるからね。   (2024/12/10 06:11:33)

エロガキ♂17L ◆> それはそう   (2024/12/10 06:11:39)

エロガキ♂18Z> だねぇ   (2024/12/10 06:11:59)

エロガキ♂17L ◆> というか、胡桃と会うのかなり久々じゃない？   (2024/12/10 06:12:18)

エロガキ♂17L ◆> 今更だけど   (2024/12/10 06:12:23)

雪花ラミィ> ラミィ、3時起きエルフだから。眠気が無いんよね。ラミィ結構最多記録羊が70匹ぐらいよ。   (2024/12/10 06:12:25)

エロガキ♂17C> 言語差の結果がココナッツヤギならぬココナッツヒツジなわけだしね。   (2024/12/10 06:12:28)

エロガキ♂18Z> はへぇ   (2024/12/10 06:12:59)

エロガキ♂17L ◆> そうだったんか、なら夜更かし組は俺だけになるわけか、仕方の無い夜更かしだけど   (2024/12/10 06:13:28)

胡桃 ◆> そうだっけ？私は最近あまり来ないからね〜…   (2024/12/10 06:13:35)

エロガキ♂17C> 3時起き……オレも人のこと言えたもんじゃあないが、皆早々起きだなあ。   (2024/12/10 06:13:49)

エロガキ♂18Z> 自分も気が向いたら来る感じだからなぁ〜   (2024/12/10 06:14:00)

エロガキ♂17L ◆> そもそも俺自身が最近あんまり来てなかったってのもあるけど、胡桃もここは言ってくるの久々に見た感じあるから、そう感じるだけかも知れない   (2024/12/10 06:14:53)

エロガキ♂18Z> (ゲームばかりしてるってのもある。久しぶりに遊びたいけど、ゲームをついついしてしまうやぁつ)   (2024/12/10 06:15:02)

エロガキ♂17L ◆> 起床時間か……昨日の20:20だわ   (2024/12/10 06:15:38)

エロガキ♂17C> （最近はなんか知らないけどVの切り抜きよくみてる気がするなあ）   (2024/12/10 06:16:01)

エロガキ♂17L ◆> (VCRGTAのアーカイブと切り抜きばっか見てるわ)   (2024/12/10 06:16:51)

エロガキ♂17C> とりあえず皆生態がややこしいんだなあって事はわかった（？）   (2024/12/10 06:16:54)

エロガキ♂18Z> (ラミィさんに甘えてる影響で？(←))   (2024/12/10 06:16:58)

胡桃 ◆> 私は管理こそしてるし、様子を覗いたりもしてるけどここにしろ本部屋にしろ前より来なくなったからね。だから私が顔を出してる頻度が減ってるし、そういう意味でも久しぶりなのは間違ってないかな？   (2024/12/10 06:17:29)

エロガキ♂18Z> まぁ、人によって生態は違うからねぇ   (2024/12/10 06:17:29)

エロガキ♂17C> （にっこり）>18Z   (2024/12/10 06:17:44)

胡桃 ◆> (そもそも人様の生活パターンなんて詮索するものじゃないよ、)   (2024/12/10 06:18:01)

エロガキ♂18Z> その笑みはそうだよ？って意味ね(メモ)   (2024/12/10 06:18:21)

エロガキ♂18Z> (それはそう。自分から話すは兎も角、詮索はね)   (2024/12/10 06:18:48)

エロガキ♂17L ◆> まぁ、どちらにせよ、いつも管理とかしてくれて感謝しか出てこないな   (2024/12/10 06:18:50)

胡桃 ◆> (急な感謝に困惑した、)   (2024/12/10 06:19:05)

胡桃 ◆> 私は問題さえ起こさないでくれればそれでいいけどね！   (2024/12/10 06:19:30)

エロガキ♂17C> 18Zくん、表出ようか。（すっ）   (2024/12/10 06:19:54)

エロガキ♂17L ◆> はいはい、喧嘩すんなよ〜？＞17C、18Z   (2024/12/10 06:20:27)

雪花ラミィ> （お酒取りに行ってる間になんかイチャイチャしてる。素直じゃねえな、ったく（ぐびぐび））   (2024/12/10 06:20:29)

エロガキ♂18Z> 表は寒いから嫌ですぅ(5℃)   (2024/12/10 06:20:36)

エロガキ♂18Z> 朝から酒か……   (2024/12/10 06:21:15)

エロガキ♂17L ◆> あ、そういや胡桃さこれ処分頼める？(19bがどっかから持ってきたかわからんリボルバー拳銃取り出して)   (2024/12/10 06:21:15)

エロガキ♂17C> 素直じゃない奴に素直じゃないと言われてもな……しかも酒飲んでるし……   (2024/12/10 06:21:29)

エロガキ♂18Z> まさかのリボルバー   (2024/12/10 06:21:45)

胡桃 ◆> (なにこれ、って顔しながら凶器を見つめた、)   (2024/12/10 06:22:13)

エロガキ♂18Z> モデルガンじゃなくてガチならどっから仕入れてきたんだろう(疑問符)   (2024/12/10 06:22:48)

エロガキ♂17C> 発煙だけする奴じゃないの。知らんけど。   (2024/12/10 06:22:53)

エロガキ♂17L ◆> あ〜、そうかテイワットには銃はまだないんだったな……どうすっかな……   (2024/12/10 06:22:58)

雪花ラミィ> おしゃんな奴？銃の形したzippoみたいな。ラミィ欲しい。   (2024/12/10 06:23:20)

胡桃 ◆> マスケット銃みたいなものとかはあるじゃない？   (2024/12/10 06:23:36)

エロガキ♂17L ◆> わからん、撃ってすらないからガチなのかそれとも発煙するだけなのかも不明なんだよ   (2024/12/10 06:23:43)

エロガキ♂17C> クロリンデがフリントロック持ってたな。   (2024/12/10 06:23:50)

エロガキ♂17C> もらって何に使うんだ、何に。   (2024/12/10 06:24:18)

エロガキ♂18Z> 銃があるなら見た目で分かるだろうから適切に処理してくれそう   (2024/12/10 06:24:30)

胡桃 ◆> とりあえず、そういう危ないのを君達が安易に持ち出さないの。(没収、そして護摩で叩き壊した、)   (2024/12/10 06:24:34)

エロガキ♂17C> ボッシュート。   (2024/12/10 06:25:01)

エロガキ♂17L ◆> どっちにしろ、こんなもんここに置いとくの俺的に不安でしか無かったから壊してくれて助かったわ   (2024/12/10 06:25:42)

エロガキ♂18Z> 危なくないスマホで撮影位が1番だな〜。   (2024/12/10 06:26:05)

胡桃 ◆> いつの間にかここに置かれたものをひとつずつまとめてたら大変なことになりそう…   (2024/12/10 06:26:22)

エロガキ♂17C> そもそも19bがなんでそんなもんを、と思ったけどアイツなんでもアリだもんな……   (2024/12/10 06:26:30)

胡桃 ◆> (なんでもあっちゃダメだから！)   (2024/12/10 06:26:45)

エロガキ♂18Z> 堂主と警察犬さんによるガキの抜き打ち持ち物検査……！   (2024/12/10 06:27:06)

エロガキ♂17C> （ド◯えもん辺りから二次元ポケットパクったじゃあないか）   (2024/12/10 06:27:29)

エロガキ♂18Z> (もしくはお宅が金持ちでなんでも手に入る環境かもしれない)   (2024/12/10 06:28:02)

エロガキ♂17L ◆> 俺の持ち物検査したところで、出てくんのだいたい特撮関係しか出てこねぇぞ……(主に変身アイテム←)(ライダーヲタ極めてる人)   (2024/12/10 06:28:16)

エロガキ♂18Z> 自分もスマホと結束バンドとボイスレコーダー位しか出ないなぁ   (2024/12/10 06:29:16)

エロガキ♂17L ◆> スマホはわかるけど……結束バンドとボイレコは何故に？   (2024/12/10 06:29:45)

エロガキ♂17C> …………手荷物検索、か……。（ごそごそ）   (2024/12/10 06:29:52)

エロガキ♂17C> そもそもガキ以外もやばいもの持ち込んでる気がするのは気のせいかな…？   (2024/12/10 06:30:34)

エロガキ♂18Z> ボイスレコーダーは念の為(言質取ったり)、結束バンドはなんかノリ   (2024/12/10 06:30:54)

エロガキ♂17L ◆> ん？例えばなんだ？＞17C   (2024/12/10 06:30:57)

エロガキ♂17L ◆> なるほどな＞18Z   (2024/12/10 06:31:24)

エロガキ♂18Z> 一升瓶とか？護摩とか？()   (2024/12/10 06:31:32)

エロガキ♂17C> まあ、うん。そうだな…持ち物だから仕方ないって言われちゃ反論のしようがないけど。<護摩とか   (2024/12/10 06:32:31)

エロガキ♂17C> とりあえずボイレコをバラしてもいいかな。   (2024/12/10 06:32:54)

胡桃 ◆> (版権要素なんだから合法、)   (2024/12/10 06:33:13)

エロガキ♂17L ◆> バラすなら得意だから任せな(ドライバーを手に)   (2024/12/10 06:33:48)

エロガキ♂17C> （やっぱり版権には勝てなかったよ…<合法）   (2024/12/10 06:33:52)

エロガキ♂18Z> いやいや、駄目です。(後ずさり)   (2024/12/10 06:34:07)

エロガキ♂17C> なんかこの前、公開されたらよくないことを録音された記憶しかない。<ボイレコ   (2024/12/10 06:34:57)

エロガキ♂17C> （酒呑みエルフが寝落ちカウントダウンを始めました）   (2024/12/10 06:35:28)

エロガキ♂18Z> キノセイダウ   (2024/12/10 06:35:32)

エロガキ♂18Z> 風呂上がりのお酒ってなんか酔いが早いらしいからね()   (2024/12/10 06:36:13)

エロガキ♂17L ◆> 血圧が確か関係してんじゃなかったかな   (2024/12/10 06:36:32)

エロガキ♂17C> そりゃあまああったまって血流良くなってるところに投下したらそうなるだろうよ。   (2024/12/10 06:36:47)

雪花ラミィ> らみいは全然よあんから、だいじょぶやで。1！！   (2024/12/10 06:37:22)

胡桃 ◆> (ダメそう、)   (2024/12/10 06:37:38)

エロガキ♂18Z> 呂律まわってないぞ。ラミィさん   (2024/12/10 06:37:41)

エロガキ♂17C> （ダメみたいだ…）   (2024/12/10 06:37:46)

エロガキ♂17L ◆> (ダメだな)   (2024/12/10 06:37:47)

エロガキ♂18Z> (満場一致)   (2024/12/10 06:37:57)

胡桃 ◆> 私もなんだか眠くなってきたけど……   (2024/12/10 06:38:20)

エロガキ♂18Z> 寝ましょー   (2024/12/10 06:38:39)

エロガキ♂17L ◆> 寝たらだめな理由がない限りは寝た方がいいと思うぞ？   (2024/12/10 06:38:54)

エロガキ♂17C> 眠くなった時に寝ておくのが吉かと。エロガキを抱き枕にでもしたいんならさておき。   (2024/12/10 06:39:00)

雪花ラミィ> 呂律回ってなくてもよってないもんはよってないよ！！   (2024/12/10 06:39:04)

エロガキ♂18Z> ほんまかしらぁ？(訝しむ)   (2024/12/10 06:39:32)

エロガキ♂17C> 1+2×3÷4は？   (2024/12/10 06:39:55)

エロガキ♂18Z> (チクタクチクタク…デデン)   (2024/12/10 06:40:43)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/12/10 06:41:11)

星 ◆> 眠くなってきたじゃなくて、寝な！（寝起き開拓者、）   (2024/12/10 06:41:13)

エロガキ♂18Z> おはよぉー   (2024/12/10 06:41:20)

エロガキ♂17L ◆> おはよう   (2024/12/10 06:41:22)

エロガキ♂17C> おはよう。   (2024/12/10 06:41:25)

星 ◆> ……おはよう、朝からこの盛り上がりは何？   (2024/12/10 06:41:43)

エロガキ♂18Z> 入浴シーンが解禁された星さんだ(鼻歌良かった、まる)   (2024/12/10 06:41:54)

エロガキ♂17L ◆> あ、星に聞いとこうと思ってたこと今のうちに聞いとこ……   (2024/12/10 06:42:02)

雪花ラミィ> ？   (2024/12/10 06:42:09)

エロガキ♂17C> それがよくわからない。<盛り上がり   (2024/12/10 06:42:19)

雪花ラミィ> うわーーーっこんあみいい   (2024/12/10 06:42:23)

エロガキ♂18Z> 寝起きだからテンションが高いだけかもしれない   (2024/12/10 06:42:36)

エロガキ♂17C> （PON入ってないかなこれ）   (2024/12/10 06:42:43)

エロガキ♂18Z> (押さ飲んでるしね)   (2024/12/10 06:43:00)

エロガキ♂18Z> お酒   (2024/12/10 06:43:07)

胡桃 ◆> (PON2名)おはよ、星   (2024/12/10 06:43:19)

星 ◆> 聞いとこうと思ったことー……？   (2024/12/10 06:43:24)

エロガキ♂17L ◆> 無凸のペラor3凸サンポ(黄泉に合わせるなら)どっちが良いの？   (2024/12/10 06:43:26)

星 ◆> ペラ   (2024/12/10 06:43:39)

エロガキ♂18Z> ペラの必殺技が優秀すぎるからね   (2024/12/10 06:43:59)

エロガキ♂17L ◆> 最近始めて、単発黄泉出ちゃって、編成に困っててね   (2024/12/10 06:44:02)

星 ◆> ……寝てないのはだーれだ。（ログチェックチェック、）   (2024/12/10 06:44:28)

エロガキ♂17L ◆> 寝てないの？俺   (2024/12/10 06:44:36)

エロガキ♂17C> はいはいPONのラミィちゃんはお水飲みましょうねー、堂主は寝落ち前に寝ましょーねー。   (2024/12/10 06:44:41)

おしらせ> 花海佑芽さんが入室しました♪  (2024/12/10 06:44:46)

エロガキ♂18Z> おはよぉー   (2024/12/10 06:44:53)

星 ◆> ここから増えることあるんだ！？   (2024/12/10 06:44:56)

