/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月20日 12時41分 ～ 2024年10月20日 21時56分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ13♂AC ◆> あっ、大丈夫だよ♪心配してくれてありがとねー   (2024/10/20 12:41:39)
パンドラ ◆> 私は季節に関係の無く、入浴が好きなので日に多い時で4度は入っている時もありますから、、分かりますよ？(くす、)疲れてはいませんよ、今朝はすごくゆっくりと休めましたので、、。ではせっかく温まった身体を湯冷めさせないうちに暖かくして頂ければ、、  
(2024/10/20 18:31:35)

エロガキ♂18Z> 季節関係なく多いと4度も…。ふやけてしまいそうだけど、好きなのがよく伝わりますねぇ…(凄いって顔)自分は夏場とかはだいたいシャワーだけで済まして湯船はちょっと肌寒く感じる季節に入りますからねー…。5時間睡眠をされてましたしね。1時間睡眠ばかりだったので良かったです〜。ありがとうございます〜。もう色々終わっているので今はお布団の中でぬくぬくしてるので大丈夫ですよ〜
  (2024/10/20 18:35:33)

パンドラ
◆> 最低でも日に2度は入りますからそこまで多くはありませんよ、、ただ少しだけ多いかもしれないと言うだけですから。夏場は少し温めで、シャワーも増えますね、、けれどお風呂に入って浸からないのも勿体ないと思ってしまうのですよね。(くす、)身体としてもそろそろしっかり休むようにと言われている気がしていたので休めて良かったです、、。あら、もう眠られるのですか？(お布団の上から突いてみましょう、)
  (2024/10/20 18:41:49)

エロガキ♂18Z> 日に2度か……。今思えば自分も朝風呂と夕方風呂に入るから一緒ですね〜(朝は寝癖直しと眠気飛ばしに入る)最近の夏場の気温はかなり高いですからね。ぬるめにしてシャワーを増やすのは仕方ないです〜。せっかく溜めている訳ですからね。浸からないなら最初から溜めませんしね〜。なら、タイミング的にはほんといいタイミングで休めたのか……。いやはや、ほんと良かった(ふぅ…)まだ寝ませんよー？暇になったら猫みたいに布団に何時も入っているので〜(つんつんする手を掴んで引き寄せたい欲を抑えつつ、つんつんされて)
  (2024/10/20 18:47:54)

パンドラ
◆> はい、なので私が特別多いという訳ではありませんよ？このお話はやめておきましょうか、、私の私生活を聞いても喜ぶ方はいらっしゃらないでしょうし。その節は眠る為の区切りを作って頂けたことに感謝致しますね、、。そうなのですね、、けれどお布団の魔力は私も簡単に引き込まれてしまうので抗い難いものであるのは分かりますね、、(お布団と上から彼の柔らかそうなお腹辺り突いて見ましょう、、)
  (2024/10/20 18:55:30)

パンドラ ◆> (少しだけ不定期に雑事が舞い込むのでお返事不安定になってしまいます、、申し訳ありません、、)   (2024/10/20 18:56:29)

エロガキ♂18Z> 人によって回数も全然違いますからね〜。ですね。そうしときましょうか…。パンドラさん推しの方々からしたらめちゃくちゃ喜びそうではありますけどね〜。あはは、ちょっと時間を掛けつつ、区切りにした方が待ち時間に寝る可能性が高まりますからね。大した事はしてませんよ〜。後は布団に入ってるとコタツみたいな安心感がありますからね…。気を抜いたら一瞬で魔力の虜に……(ピクッ、ピクッと震えるように反応)
  (2024/10/20 18:59:44)

エロガキ♂18Z> いえいえ〜。気にしないでね〜   (2024/10/20 19:00:00)

パンドラ
◆> 動き続けているとどうしても休まらないと言うのは理解してはいるのですけれど思ったらすぐにと言う習慣が染み付いてしまっているのでしょうね、、。魔力に引き寄せられた後に抜け出すには相当の気力を強制的に徴収されますから罠としても有用かも知れませんね？(少し苦しそう？ですし止めておきましょうか、、)
  (2024/10/20 19:07:54)

エロガキ♂18Z> また、習慣にしないと言わなければ言わなければでまた色々とあったりしますからね……。染み付いてしまってるならまだ良いの……かな？特に冬が手強い！寒いから布団と毛布のダブルコンボによる魔力は普段よりも気力を使わないと抜け出せませんからね……。罠として使うなら睡眠時間少ない方々がよく引っかかりそうですね？(えぇって視線を向けてじー)
  (2024/10/20 19:12:32)

エロガキ♂18Z> ‪✕‬また、〇まあ、   (2024/10/20 19:12:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/20 19:16:06)

パンドラ ◆> 習慣が悪癖になるまで染み付いてしまったりもしますけれど、、悪癖にまでなってしまうと良い点より悪い点が酷く目立ちますから一概には、、。でしたら19bの方と主の方が対象として望ましいですね(くす、)   (2024/10/20 19:16:08)

パンドラ ◆> こんばんは、   (2024/10/20 19:16:20)

エロガキ♂18Z> こんばんは〜   (2024/10/20 19:16:25)

エロガキ♂19b ◆> こんばんは、よんだかい？   (2024/10/20 19:16:26)

パンドラ ◆> どうぞ、、(19bの彼見上げて、18Z彼の籠るお布団指差して、)   (2024/10/20 19:17:40)

エロガキ♂18Z> あー、善し悪しがありますもんね…。直そうにも中々習慣化したのは大変ですし、受け入れるか時間を掛けて直すしかないですな……。あとパンドラさんもだけどね？(じとー)   (2024/10/20 19:18:12)

エロガキ♂19b ◆> あ、、ふーん...もしかして来たばっかの俺を寝かせようとしてる？   (2024/10/20 19:18:29)

エロガキ♂18Z> (新しい布団を用意)   (2024/10/20 19:18:29)

エロガキ♂18Z> お布団ミミックの餌にしようと…(ぇ)   (2024/10/20 19:19:14)

パンドラ ◆> 思った事をすぐに言葉にしてしまうのも同じ悪癖からでしょうし、、意識はなるべくしようとしているのですけれども、、。私はしっかりと寝ていますので、、(ふい、)   (2024/10/20 19:19:43)

パンドラ ◆> お休み下さいね？ゆっくりと、、   (2024/10/20 19:19:58)

エロガキ♂19b ◆> 抱き枕としてパンドラちゃんを所望する！(適当)んま、、実はここにいるときってだいたいベットでくるまってやってるんだぜ～   (2024/10/20 19:20:33)

エロガキ♂18Z> でもまあ、すぐに言葉にするのは悪い事もあれば良い事もありますから…。意識をしようとしてもかなり時間を掛けないと中々…。自分目線はしっかり寝れてないのよなぁ…(ジト目)   (2024/10/20 19:21:35)

エロガキ♂18Z> だいたいベッド率高いですよねー。たまーに椅子ですけど   (2024/10/20 19:22:13)

パンドラ ◆> 私ですか？ただお部屋の規定としてはここでは出来ませんので、、。そうなのですね、ではそのままお休み下さい、、   (2024/10/20 19:23:28)

エロガキ♂19b ◆> まだご飯もお風呂もすんでないんですけど～...可愛い子を抱き枕にしたいからね～、、   (2024/10/20 19:24:29)

エロガキ♂18Z> (抱き枕一覧・1でかいクマの人形、2萌えアニメの抱き枕、3枕)   (2024/10/20 19:24:35)

エロガキ♂18Z> たしかに可愛い子を抱き枕にしたいし、寝かせつけたい(頷き)   (2024/10/20 19:25:14)

エロガキ♂19b ◆> でしょー？、、あと一人で寝るのって寂しいしね～   (2024/10/20 19:26:20)

エロガキ♂18Z> 天井を見たら顔みたいなシミがあれば二人なんだけどもね……(止めなさい)   (2024/10/20 19:27:19)

エロガキ♂18Z> 2人で寝たらより暖かくなるし、抱き枕にもできるし、いい事だらけだー   (2024/10/20 19:28:00)

パンドラ ◆> 必要な時はしっかり寝ているので大丈夫ですよ？(ふぃ、)   (2024/10/20 19:30:36)

エロガキ♂19b ◆> あと。多少の会話も弾むかもな～   (2024/10/20 19:30:43)

エロガキ♂18Z> ほんとかなぁ(疑惑の視線)   (2024/10/20 19:31:24)

エロガキ♂18Z> たしかに弾みますね〜   (2024/10/20 19:31:38)

エロガキ♂19b ◆> これでも俺は寝てるよ～、、うんうん。ここに出没してる時間が長いだけだね～   (2024/10/20 19:32:17)

エロガキ♂18Z> 最低5時間は寝ているなら良いか……   (2024/10/20 19:33:13)

パンドラ ◆> 少しだけ外しますね？   (2024/10/20 19:33:35)

おしらせ> パンドラ ◆r8To80Q7JEさんが退室しました。  (2024/10/20 19:33:39)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/20 19:33:44)

エロガキ♂19b ◆> いってらっしゃいー   (2024/10/20 19:33:59)

おしらせ> ベアトリス ◆r8To80Q7JEさんが入室しました♪  (2024/10/20 19:34:12)

エロガキ♂18Z> しかし、明日から平日かぁ…   (2024/10/20 19:34:16)

エロガキ♂18Z> おかえりー   (2024/10/20 19:34:24)

エロガキ♂19b ◆> やっほー、ベアトリスちゃん～   (2024/10/20 19:34:40)

ベアトリス ◆> なぁあ！何でもかんでもベティに投げるんじゃ無いかしら！(地団駄、)   (2024/10/20 19:35:00)

エロガキ♂18Z> 癇癪を起こしてる(飴玉をあげよう)   (2024/10/20 19:35:26)

エロガキ♂19b ◆> どうどう、、落ち着きなよ～   (2024/10/20 19:35:32)

エロガキ♂18Z> 何かを投げつけられたんだな…   (2024/10/20 19:36:15)

ベアトリス ◆> 変な奴から頭のおかしい奴までベティのやることじゃないのかしら！(飴ぱくん、、)   (2024/10/20 19:36:48)

ベアトリス ◆> 少し叫びたくなっただけかしら。もう大丈夫なのよ(すん、)   (2024/10/20 19:37:26)

エロガキ♂19b ◆> 急に落ち着いた！！   (2024/10/20 19:37:51)

エロガキ♂18Z> 切り替えが早くて偉い(ぶどう味の飴玉もすっ)   (2024/10/20 19:38:01)

エロガキ♂18Z> 無理なくですよ〜…うん。   (2024/10/20 19:38:36)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/20 19:39:19)

胡桃 ◆> やっほー！   (2024/10/20 19:39:28)

ベアトリス ◆> ベティはこれでも人間より長生きなのよ。落ち着くなんて造作も無いかしら(もう1個ぱくん、、)   (2024/10/20 19:39:31)

エロガキ♂18Z> こんばんは〜   (2024/10/20 19:39:49)

ベアトリス ◆> こんばんはかしら   (2024/10/20 19:39:50)

エロガキ♂19b ◆> 胡桃ちゃん、こんばんは～   (2024/10/20 19:39:56)

胡桃 ◆> ねえねえ！ベアトリスちゃんはそのまま居てくれていいけど、ちょっと個室に誰か寄越してくれる？(言い方が物騒。)   (2024/10/20 19:40:08)

エロガキ♂18Z> 長生きだとそれだけ経験値がある訳ですからね〜(飴玉まとめてお土産にすっ)   (2024/10/20 19:40:41)

エロガキ♂18Z> 言い方が不穏だ(震)   (2024/10/20 19:40:54)

ベアトリス ◆> 分かったのよ。今連絡するかしら、、   (2024/10/20 19:40:56)

胡桃 ◆> お部屋は私で用意しておいたから、入れたの見たら私は落ちるね〜   (2024/10/20 19:41:31)

胡桃 ◆> あー…でもタイミング悪かったりしたらまた後でも大丈夫だよ。急ぎじゃないからね〜。   (2024/10/20 19:41:59)

ベアトリス ◆> 大丈夫かしら、お母様が向かったのよ   (2024/10/20 19:42:47)

胡桃 ◆> 不穏な言い方に隠された真意は…いかに！ってことでー！確認したから私は落ちるね、毎度お騒がせな堂主でごめーん(てへ、)じゃあまたねー！   (2024/10/20 19:43:02)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/10/20 19:43:07)

ベアトリス ◆> ベティも少し、本当に少しだけ外すのよ   (2024/10/20 19:43:08)

おしらせ> ベアトリス ◆r8To80Q7JEさんが退室しました。  (2024/10/20 19:43:21)

エロガキ♂18Z> 続きはcmの後に！みたいな感じだ。行ってらっしゃい〜   (2024/10/20 19:43:35)

エロガキ♂19b ◆> いってらっしゃい～   (2024/10/20 19:43:52)

エロガキ♂18Z> 風のように去っていきましたね〜   (2024/10/20 19:44:08)

エロガキ♂19b ◆> 胡桃ちゃんの指名を受けたものは別室へいきお話をする...ここはキャバクラの待合室だった？   (2024/10/20 19:44:48)

エロガキ♂18Z> キャバクラ求人待合室は草生えた。   (2024/10/20 19:45:53)

エロガキ♂18Z> 例えが秀逸すぎる(座布団2枚)   (2024/10/20 19:46:22)

エロガキ♂18Z> (予想変換くんさぁ。ぬぬぬ)   (2024/10/20 19:46:39)

エロガキ♂19b ◆> どんな待合室だよ！！   (2024/10/20 19:47:04)

エロガキ♂18Z> キャバクラ専門のハローワーク的な……？(誤字なだけ)   (2024/10/20 19:47:36)

エロガキ♂19b ◆> 欲にまみれてそうなドロドロのハローワークだな！！、、さて...飯食ってくるね～、、1000%戻ってくるから～   (2024/10/20 19:48:37)

エロガキ♂18Z> ほんまにね！行ってらっしゃい〜。ついでに風呂も入るんだよー(オカン)   (2024/10/20 19:49:11)

エロガキ♂19b ◆> サラダバー   (2024/10/20 19:49:25)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/20 19:49:27)

エロガキ♂18Z> サラバダー   (2024/10/20 19:49:32)

エロガキ♂18Z> 多分もうちょいしたら活発になるかなー？今の時間帯って飯風呂タイムが多いしね〜   (2024/10/20 19:50:46)

エロガキ♂18Z> (しかし、1人だと話題の在庫が無いのがネックだー)   (2024/10/20 19:54:28)

エロガキ♂18Z> そう言えば、土日天気が悪かったから明日は晴れたら良いなぁって思いつつ。どうなるのだろ？(ぬくぬく)   (2024/10/20 19:58:27)

エロガキ♂18Z> 一旦ROMに戻りますー   (2024/10/20 20:03:56)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/10/20 20:04:03)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/20 20:13:51)

エロガキ♂19b ◆> 帰還～！！って誰もいないぞ！？   (2024/10/20 20:14:04)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/20 20:20:02)

エロガキ♂18Z> (すたっ)おかえりー   (2024/10/20 20:20:14)

エロガキ♂18Z> 勝負部屋の人が増えるか見ていたぜ…(あと天気予報)   (2024/10/20 20:20:48)

エロガキ♂19b ◆> たでーま、、誰もいなくて( ;´･ω･`)ってなってた   (2024/10/20 20:21:01)

エロガキ♂18Z> そんな顔にもなるよね……。自分もそんな顔をしてました(ぐでん)   (2024/10/20 20:21:40)

エロガキ♂19b ◆> そうなんだよね～壁叩いたら誰か落ちてこないかな？   (2024/10/20 20:22:57)

エロガキ♂18Z> どうでしょう〜？ワンチャン落ちてくるかもしれませんけど〜   (2024/10/20 20:23:57)

エロガキ♂19b ◆> よし...デトロ！あけろいど市警だ！！(ドンドンドン！！！)   (2024/10/20 20:25:05)

エロガキ♂18Z> www   (2024/10/20 20:25:19)

エロガキ♂18Z> 逆に萎縮して落ちてこなさそうw   (2024/10/20 20:26:00)

エロガキ♂19b ◆> なんだって！？   (2024/10/20 20:26:27)

エロガキ♂18Z> 多分だよ？多分！   (2024/10/20 20:27:01)

おしらせ> ベアトリス ◆r8To80Q7JEさんが入室しました♪  (2024/10/20 20:27:09)

エロガキ♂18Z> おかえりー   (2024/10/20 20:27:16)

おしらせ> エロガキ♂17Bさんが入室しました♪  (2024/10/20 20:27:28)

エロガキ♂18Z> こんばんは〜   (2024/10/20 20:27:34)

ベアトリス ◆> やかましいかしら！(押し入れの扉ばん、)   (2024/10/20 20:27:36)

エロガキ♂19b ◆> ほら！効果あったよ！！こんばんは！   (2024/10/20 20:27:39)

ベアトリス ◆> こんばんはかしら   (2024/10/20 20:27:45)

エロガキ♂18Z> 効果覿面だ…！   (2024/10/20 20:28:00)

エロガキ♂17B> 邪魔をする。全く騒がしいものだな。   (2024/10/20 20:28:15)

ベアトリス ◆> ベティ来る必要無かったのよ、それじゃあ帰るかしら、、(押し入れ帰るのよ、)   (2024/10/20 20:28:18)

おしらせ> ベアトリス ◆r8To80Q7JEさんが退室しました。  (2024/10/20 20:28:21)

エロガキ♂19b ◆> 待て待て待て待て！！   (2024/10/20 20:28:30)

エロガキ♂18Z> 押し入れに帰られた…   (2024/10/20 20:28:38)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/10/20 20:29:22)

エロガキ♂17B> …随分と慌ただしい事だ。オレの様な男が増えたところで喜ぶ輩もおらんだろうに。   (2024/10/20 20:29:24)

エロガキ♂18Z> やはり叩きすぎて騒がしすぎた説(ぇ)   (2024/10/20 20:29:28)

エロガキ♂18Z> お、タイマン始まった   (2024/10/20 20:30:11)

エロガキ♂18Z> 雑談相手が増えるって意味なら喜ぶ人はいるけどね〜(ぐでん)   (2024/10/20 20:31:26)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが入室しました♪  (2024/10/20 20:31:53)

エロガキ♂17B> バーテンの真似事を、とでも考えて足を運んでみたが…俺含め、この場にはガキばかりだったな。ノンアルコールカクテル1択になる。   (2024/10/20 20:32:03)

エロガキ♂18Z> こんばんは〜   (2024/10/20 20:32:30)

エロガキ♂15M ◆> こんばんはっ☆何の話してるの〜？   (2024/10/20 20:32:38)

エロガキ♂18Z> ノンアルどれにする？って話〜   (2024/10/20 20:32:53)

エロガキ♂19b ◆> こんばんは、壁叩いてから流れ変わったな   (2024/10/20 20:33:02)

エロガキ♂18Z> 自分はキンキンに冷えたコーラで〜   (2024/10/20 20:33:10)

エロガキ♂18Z> ありゃ、やはり強いな…(観戦)   (2024/10/20 20:33:52)

エロガキ♂15M ◆> え゙、壁ドン？ここって壁薄かったりするのかなぁ(壁ｺﾝｺﾝ) ……わっかんない   (2024/10/20 20:34:02)

エロガキ♂17B> いらっしゃい。…壁を殴って女に叱られた挙句、降ってきたのはオレのような男でテンションが地面の底を通り越して落ちたところのようだ。と思っていたのだがな。   (2024/10/20 20:34:03)

エロガキ♂17B> （グラスに氷と共に注いだコーラを18Zへ滑らせて。）   (2024/10/20 20:34:52)

エロガキ♂15M ◆> ボクはカ◯ピスがいい！   (2024/10/20 20:34:56)

エロガキ♂18Z> 壁は厚そうなイメージがありますね〜   (2024/10/20 20:35:04)

エロガキ♂19b ◆> 誰かが薄いっていってたぞ？   (2024/10/20 20:35:21)

エロガキ♂18Z> じゃあ薄い！(あっさり)   (2024/10/20 20:36:00)

エロガキ♂15M ◆> わぉ…そりゃ怒られるわけだ   (2024/10/20 20:36:34)

エロガキ♂17B> （伏字の意味は…まああるのだろう。シェイカーへ原液と水、氷を入れて幾度か振った後にグラスへと注ぎ入れ、15Mの方へ滑らせて。）   (2024/10/20 20:36:47)

エロガキ♂19b ◆> んま、、そんなことを思い出したから叩いてみたのさ！！結果として女の子1人と男2人、、効果は十分だな   (2024/10/20 20:36:59)

エロガキ♂17B> 壁よりは天井の強度に問題がありそうな気がするがね。時折破れたり直ったりしている光景をちらほらと見かけるぞ。   (2024/10/20 20:37:30)

エロガキ♂18Z> ほむほむー   (2024/10/20 20:37:44)

エロガキ♂18Z> じゃあ、タイミング悪くあまり見れて無かったやつだなぁ…   (2024/10/20 20:38:15)

エロガキ♂17B> 決着はキタサンブラックの勝利のようだな。   (2024/10/20 20:38:49)

エロガキ♂18Z> やー、強い強い…   (2024/10/20 20:39:02)

エロガキ♂19b ◆> 強いねぇ～   (2024/10/20 20:40:08)

エロガキ♂15M ◆> おぉ…！手慣れてるねぇ。いただきま〜す♡(グラスからﾁﾋﾞﾁﾋﾞ飲みつつ、視線は天井に) このお部屋って案外ボロい？……こんど室内野球してみようかにゃ〜(イタズラ猫)   (2024/10/20 20:40:39)

エロガキ♂18Z> 今のとこ連敗してますからねぇ…。そろそろリベンジ成功したいぜ…   (2024/10/20 20:41:05)

エロガキ♂15M ◆> キタちゃんホントに強いんだよぉ……最強助っ人枠キタちゃん、名物だよね   (2024/10/20 20:41:33)

エロガキ♂19b ◆> こっちサイドになってると頼もしいんだけどねぇ   (2024/10/20 20:42:02)

エロガキ♂18Z> 18コンビも名物にしなければ(ぇ)   (2024/10/20 20:42:11)

エロガキ♂17B> …地主は兎も角、店主の不在が少々長い上にこうして壁を叩く者まで現れる始末だ。（溜息）地主に叱られる覚悟があるならば野球でもサッカーでもしてみればいいんじゃないか。   (2024/10/20 20:42:35)

エロガキ♂18Z> (イタズラしたらしたらでまた雌落ちお仕置がありそうだなーって思いつつ)   (2024/10/20 20:43:20)

エロガキ♂19b ◆> あっはは！！壁を叩いたのはあとで怒られそ～、、   (2024/10/20 20:43:46)

エロガキ♂18Z> 修理代の代わりに請求書にサインかな？   (2024/10/20 20:44:17)

エロガキ♂15M ◆> えぇ…怒られるのはイヤ〜(想像したらゾッとしてしまう。お仕置きとかもっとイヤ！)   (2024/10/20 20:44:29)

エロガキ♂19b ◆> 堂主につけといて   (2024/10/20 20:44:41)

エロガキ♂17B> …手前の入る棺桶を買わされる、なんていうのも皮肉が聞いているな。   (2024/10/20 20:45:06)

エロガキ♂15M ◆> でも、このお部屋ってドンパチ戦った形跡とかあるのかな？ほら、お姉さん側の中には戦闘職の人とか魔法使える人いるし   (2024/10/20 20:45:24)

エロガキ♂19b ◆> ここはないねぇ～   (2024/10/20 20:45:52)

エロガキ♂19b ◆> 多分？   (2024/10/20 20:45:56)

エロガキ♂18Z> ドンパチしたらそれこそ元素爆発とか、権能で鎮圧すると思うしねー   (2024/10/20 20:46:05)

エロガキ♂15M ◆> どっちかっていうと多目的部屋案件かにゃ？   (2024/10/20 20:46:51)

エロガキ♂19b ◆> ん？、、珍しい人が、、別人か？   (2024/10/20 20:46:56)

エロガキ♂18Z> 綾波さんだ(別キャラ)   (2024/10/20 20:47:16)

エロガキ♂18Z> 多分多目的かなー？   (2024/10/20 20:47:31)

エロガキ♂17B> ……いかなくていいのか？   (2024/10/20 20:48:16)

エロガキ♂18Z> (いや違う？アズレンだからって思ったけど別の方かもしれない)   (2024/10/20 20:48:42)

エロガキ♂15M ◆> 同じ名前の他人…って言えるほど遠くはないよね。平行同位体って表現のほうがしっくりくる   (2024/10/20 20:49:21)

エロガキ♂18Z> (譲り合いかな？)   (2024/10/20 20:49:41)

エロガキ♂17B> …ん。現行犯、か。   (2024/10/20 20:49:46)

エロガキ♂18Z> タイマン再びかなー？(わくわく)   (2024/10/20 20:50:48)

エロガキ♂19b ◆> お兄さんいま、戦場にいるから行けないんだよね...   (2024/10/20 20:50:53)

エロガキ♂15M ◆> ちょっと様子見かな。場合によっては入るかも？   (2024/10/20 20:52:07)

エロガキ♂18Z> 人が増えるようなら〜だねー   (2024/10/20 20:52:27)

エロガキ♂15M ◆> う〜ん、身体の大きさを13にするか17にするか……今のままでいっか。   (2024/10/20 20:53:39)

エロガキ♂17B> ……これでよし。   (2024/10/20 20:53:57)

エロガキ♂18Z> 今のままで良いじゃないかなー？   (2024/10/20 20:54:07)

エロガキ♂15M ◆> 今日はこの体の気分だし、このまま行くかもっ♪   (2024/10/20 20:54:46)

エロガキ♂18Z> (なにか出来たのかな？)   (2024/10/20 20:54:47)

エロガキ♂18Z> 良いね〜。気分は大事だしね   (2024/10/20 20:55:19)

エロガキ♂17B> 何、虫がいたから追い払ったまでだ。独り言に騒がせたな。   (2024/10/20 20:55:34)

エロガキ♂15M ◆> んじゃ、ちょっと均衡をぶっ壊してくるね(物騒…！)   (2024/10/20 20:55:43)

おしらせ> エロガキ♂15M ◆za77rifW.Yさんが退室しました。  (2024/10/20 20:55:57)

エロガキ♂17B> いってらっしゃいませ。   (2024/10/20 20:56:08)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/20 20:56:15)

エロガキ♂19b ◆> いってら～   (2024/10/20 20:56:16)

エロガキ♂18Z> あぁ、虫かー。肌寒くなってきたとはいえ、まだまだいますからねー   (2024/10/20 20:56:53)

エロガキ♂19b ◆> おっとぉ！！おもしろくなってきたねぇ   (2024/10/20 20:57:37)

エロガキ♂18Z> おっと？？   (2024/10/20 20:57:49)

エロガキ♂17B> …更に増えたようだな。   (2024/10/20 20:57:52)

エロガキ♂18Z> 一気に増えましたね   (2024/10/20 20:57:58)

エロガキ♂18Z> 4-3かー   (2024/10/20 20:58:26)

エロガキ♂18Z> 支援だけしてきますねー   (2024/10/20 20:59:03)

エロガキ♂19b ◆> 今回は面白そうだから観戦だな   (2024/10/20 20:59:07)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/10/20 20:59:08)

エロガキ♂17B> 同じ名前が並ぶというのもこれまた面白いものだ。   (2024/10/20 20:59:10)

エロガキ♂19b ◆> いってら～   (2024/10/20 20:59:14)

エロガキ♂17B> いってらっしゃいませ。   (2024/10/20 20:59:19)

エロガキ♂17B> しかし支援率が高いのも難しいところだな。罰ゲームにまで時間を裂けない、という理由がある故だろう。致し方あるまいが。   (2024/10/20 21:01:27)

エロガキ♂17B> …女性側が優勢、か。   (2024/10/20 21:04:26)

エロガキ♂17B> 全体的に数字が平均値付近のように見えたが、時折上振れる者が現れる傾向か。面白い。   (2024/10/20 21:07:04)

エロガキ♂19b ◆> なかなかおもしろいねぇ   (2024/10/20 21:08:43)

エロガキ♂17B> 4-4 まだ差し迫ったようだ。   (2024/10/20 21:09:33)

エロガキ♂17B> …おや、最後にスタミナが切れたようだ。   (2024/10/20 21:10:02)

エロガキ♂17B> だが、十字砲火はなかなか面白かった。そうそう見る機会はないだろうからな。   (2024/10/20 21:11:05)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/20 21:12:25)

エロガキ♂18Z> (すとん)ただいまー   (2024/10/20 21:12:36)

エロガキ♂19b ◆> お帰り～   (2024/10/20 21:12:42)

エロガキ♂18Z> 強かった(ぐでん)   (2024/10/20 21:13:12)

エロガキ♂17B> いらっしゃいませ。……素晴らしい健闘でした。（グラスに注いだコーラ滑らせ）   (2024/10/20 21:13:22)

エロガキ♂18Z> ありがとうございました〜(コーラを受け取り)   (2024/10/20 21:13:37)

エロガキ♂19b ◆> 今度は俺が行ってこようかな、では、さらば！   (2024/10/20 21:13:44)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/20 21:13:47)

エロガキ♂18Z> 行ってらっしゃい〜   (2024/10/20 21:13:53)

エロガキ♂17B> いってらっしゃいませ。   (2024/10/20 21:14:18)

エロガキ♂18Z> しかし、今日はダイスが色々珍しいのが出てますね〜…。昼位にも25を参加者が5人連続で出したりもしてたので〜   (2024/10/20 21:15:08)

エロガキ♂17B> 生憎オレはまだ方向性すら決めかねてる故、外に出るのは憚られるが見ていて飛び出したくなる。…まあ、落ち着いたらばプロフィールの支援を今のうちに消しておくといい。   (2024/10/20 21:15:47)

エロガキ♂17B> あの十字砲火での出目一致は見ていて惚れ惚れとしたよ。手前の身で受けたいとは思わないが。   (2024/10/20 21:16:52)

エロガキ♂18Z> たしかに見ていると自分も混ざりたい気持ちが出ますからねー。おっと、これは失礼…(忘れてた)   (2024/10/20 21:17:21)

エロガキ♂18Z> ほんと、ミラーみたいに同じ名前の方が同じ出目を出すとか思わず噴いてしまいましたね……。自分ももう、受けたくはないかなぁ   (2024/10/20 21:18:32)

エロガキ♂17B> 行為に走りたい気持ちも分かるが、それ以上にゲームを楽しんでいる者も少なくはないだろうさ。…構わんさ。次君がゲームに出た時に支援のつもりはなかったんだ、って泣く事にならなくて済むならね。（くつくつ）   (2024/10/20
21:18:54)

エロガキ♂17B> ある意味サイコロの目の織り成す芸術だな、あればかりはキャラクターでいられる女性陣だからこそ成せるもの、か。   (2024/10/20 21:20:18)

エロガキ♂17B> …1vs3、か。昨日の今日で。幸い回避されたようだが。   (2024/10/20 21:21:17)

エロガキ♂18Z> 自分とかがそうですね〜。前にした4対2の時は善戦して最後は敗れたけど、普通にめっちゃ楽しかったな…(またやりたい)。たしかにこのまま気づかなかったらそうなっていたかもしれませんからね。(安堵)   (2024/10/20 21:22:12)

エロガキ♂18Z> ガキ側よりも版権側だからこそ出来る出目かなと個人的には思ってたり〜   (2024/10/20 21:23:21)

エロガキ♂18Z> 2-2か   (2024/10/20 21:23:45)

エロガキ♂18Z> どうなるかな〜(コーラ一口)   (2024/10/20 21:24:08)

エロガキ♂18Z> お、強い   (2024/10/20 21:25:04)

エロガキ♂17B> さて、オレはそろそろ失礼するとしよう。後は好きに飲むがいい。（カウンターの上の三角柱の看板を転がし「CLOSED」へ。）   (2024/10/20 21:25:41)

