/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月12日 23時32分 ～ 2024年10月13日 03時48分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エキドナ ◆> 窓から出入りする不審者ならすぐ治るよ   (2024/10/12 23:32:33)
エロガキ♂13UC> こんばんは～、遊びにでも行こうかと思ったら、お姉ちゃんいると思ってこっち来ちゃった。邪魔していい～？   (2024/10/13 01:32:01)

シャーロット・レイス ◆> あら、こんばんは   (2024/10/13 01:33:47)

エロガキ♂14C ◆> こんばんはー。別に構わないよー？   (2024/10/13 01:34:28)

エロガキ♂13UC> やっほ～♪　外は外でにぎやか、だけどあっちは大人数過ぎて入れそうにないからこっち来ちゃった♪   (2024/10/13 01:34:37)

エロガキ♂14C
◆> 僕とそこのおねーさんはのんびり過ごしてるだけだよ。強いていうなら、さっきから僕が大人しくしてると思って散々煽ってくれてるけど、ね。本部屋なら容赦なくセクハラしちゃうのにねー。（ちらり、とシャーロットおねーさんを横目に見やりつつ、わざとらしく困ったような笑みを浮かべて見せ。）
  (2024/10/13 01:36:46)

シャーロット・レイス ◆> (少しはからかいも入っていて、)触るのか?本当に(触る勇気もないと思っていて、目の前で触るような動きをしている14を見ては)出来ないくせに   (2024/10/13 01:38:07)

エロガキ♂13UC> そなの？お姉ちゃん、結構強気ではあるけど……（14Cの言葉を聞いて首傾げしつつ）ま、ここは雑談オンリーだから～ってのはあるんだろうけど（ただ、14の話だけ鵜呑みってもんじゃないから、お姉ちゃんに確認はするわけだけど）  
(2024/10/13 01:38:22)

エロガキ♂13UC> って、マジで煽ってる？お姉ちゃん……ここ、一応雑談でそういうのは控えましょ～なんだって……マジでよかったらどっかで一勝負する？（俺としては、おねーちゃんが勝負相手ならむしろ願ったりな分けだけどさ）   (2024/10/13
01:39:25)

シャーロット・レイス ◆> うーんごめんね。今は、雑談だけなのよね♡   (2024/10/13 01:41:11)

エロガキ♂13UC> 分かってて煽ってるとか、姉ちゃんも相当なキツネだよね～……純粋な少年煽るとか～お姉ちゃんも、ほんと勝負した時、負けたら滅茶苦茶にされるんじゃないの？（うわぁ、本当に煽るだけ煽ってる奴だ～って   (2024/10/13 01:42:42)

エロガキ♂14C
◆> ……なーんか、本格的に僕のこと揶揄ってるんだろーねー。確かに罰ゲームが優しいとは言われるけど、それ以外は言及すらされたことないのにー。（はぁ、と落胆したような溜息を吐いた。）あ、大丈夫だよ13UCくん。こーいうときにはやり方ってのがあるんだよー。（焦る様子の13UCくんを宥めつつ、シャーロットおねーさんの正面に回ると抱き着いて。）……おねーさんに甘えるだけなら、スキンシップの一環だもん、ね？嫌ならスキンシップも嫌なら素直に離れるけどー？
  (2024/10/13 01:42:53)

エロガキ♂13UC> UCとかアンコモンとかでいいよ～（UCの意味～）　でもどうだろうね。一応軽めのスキンシップ以外は控えましょ～だから、がっつり甘えとかでも描写取るのはあれかな～みたいな？（軽く身振り手振りはするけど   (2024/10/13
01:44:33)

シャーロット・レイス ◆> UCの意味…ユニコーンガンダム？(違う)そうね。甘えるのはね。でも、出来ないわよね。(何故か上から目線…あまりそっちの経験も無いわけで)   (2024/10/13 01:49:02)

エロガキ♂13UC> ユニコーンじゃなくて、アンコモンな～（ま、ユニコーンでもカッコいいけど……）甘えていいなら甘えたいけど、ここって一応そういうの控えろって部屋じゃんか、どのくらいまでいいもんなの？   (2024/10/13 01:50:21)

エロガキ♂14C
◆> その要領だと僕がコモン扱いになるんだけど、それはそれで複雑だなー？んっ、まあね？甘えるだけでそれ以上はしないし出来ないかなー。……もー、このおねーさんかなりいい性格してるよー。（ただ抱き着いて軽く体温を感じるにとどめ、すっと離れて。）続けるなら他所行け、は間違いないと思うよー。おねーさんの反応が冷たかったから続ける気はないけどねー。（つまらないなあ、なんて漏らしつつ溜息をまた一度。）
  (2024/10/13 01:52:27)

エロガキ♂13UC> 単純にオレがその時、目の前にカードが置いてあったんだよ～　RとかSRはなんか性に合わないし、UC、アンコモンでいいか～ってつけたあれだから、別にCがコモンっては繋がんないだろ。　このお姉ちゃんな～……結構スケベな格好と体して、この性格だもん、ほんといい性格してるよなぁ（けらけら笑いつつ
  (2024/10/13 01:54:46)

シャーロット・レイス ◆> 冷たかったかしら。それはごめんなさいね。(移動して負けたら何されていても文句は言えないけど。)性格は仕方ないでしょう。(深く溜め息を吐いて)   (2024/10/13 01:57:43)

エロガキ♂13UC> 良い性格、っては言ったけど本当の意味で俺は好きだよ♪毒ッ気があるほうが、お互い言いたいことも言えるし……あんまり逆に清楚～とかだと緊張しそうでさ？オレは姉ちゃんみたいな、いい意味で付き合いやすい気軽なの、好きだよ♪  
(2024/10/13 01:59:12)

エロガキ♂14C
◆> 甘えて喜んでくれるおねーさん相手ならスキンシップ感覚で甘えちゃうけど、そうでない相手じゃスキンシップなんて成り立たないからねー。（謝るおねーさんには首を小さく横に振って。）ま、でも勝ち負けつけようがない場所で煽られても仕方ないし、今度また勝負部屋で負かしてあげるから覚悟してね？その時は存分に甘えさせてもらうから、さっ。（そろそろ眠気が来たようで。その場で伸びをしてから欠伸を噛み殺して。）ざーんねん、時間切れみたい。僕じゃこのおねーさんをその気にはさせられなかったし、おとなしく寝ることにするね。おやすみなさーい。
  (2024/10/13 02:01:49)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/13 02:02:20)

エロガキ♂13UC> おう、１４Cはお疲れ様～ま、いろいろあるけどまた会えたらよろしくな～♪（にひひ   (2024/10/13 02:02:57)

シャーロット・レイス ◆> うーん。変に煽りすぎたかな。14お疲れ様。勝てたら好きにどうぞ。負かしてあげるけど   (2024/10/13 02:04:08)

エロガキ♂13UC> お姉ちゃんはそういうの、ブレないよね。負けたら自分の方が大変に～とかは、気にしないのかな。ま、それもありかも～くらいなのかもだけどさ。   (2024/10/13 02:05:07)

おしらせ> サンゴ ◆bvUP9OOcXUさんが入室しました♪  (2024/10/13 02:08:15)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが入室しました♪  (2024/10/13 02:08:47)

シャーロット・レイス ◆> 気にしても仕方ないから。そんなことは…　   (2024/10/13 02:09:07)

サンゴ ◆> おはこんハロチャオ〜♪   (2024/10/13 02:09:09)

シャーロット・レイス ◆> こんばんは   (2024/10/13 02:09:13)

エロガキ♂18D ◆> こんばんは、どうやら先客がいたようで…こんばんは。お邪魔いたします   (2024/10/13 02:09:21)

エロガキ♂18D ◆> (何で二回言った……？二回行動習得したか……？)   (2024/10/13 02:09:49)

エロガキ♂13UC> およ、はろちゃお～って、うってかわってなんか小っちゃいピンクなのと、でっけぇお兄ちゃんが来たな   (2024/10/13 02:10:01)

エロガキ♂13UC> ほんと、お姉ちゃんは強いね。そういうところも含めて、負かしてわからせたい～みたいになるのがあるんだけどさ♪ひひ   (2024/10/13 02:10:52)

エロガキ♂18D ◆> どうも、でっけぇお兄ちゃんです……と冗談はさておいて…眠るまでお話しさせてもらえたらと。   (2024/10/13 02:11:11)

サンゴ ◆> ちっちゃいっておめーも同じぐらいだろぉ〜(13UC撫でまくってやる♡)   (2024/10/13 02:11:25)

エロガキ♂13UC> あっちのシャーロットお姉ちゃんいる横で……並べたらさ～。だって小っちゃいじゃん？（プークスクスっていながらも）　な、なでんなよ！チビィ！   (2024/10/13 02:12:28)

サンゴ ◆> あれあれー？さっき目が冴えたって言ってたのに眠いんだ♡サンゴにいっぱいだして疲れちゃったー？きゃははっ♡   (2024/10/13 02:12:30)

エロガキ♂18D ◆> 13さんは初めまして……ですかね？シャーロットさんはまたお会いしましたね…   (2024/10/13 02:12:59)

エロガキ♂13UC> デッカイDのお兄ちゃん……結構ロリコン？   (2024/10/13 02:13:03)

サンゴ ◆> ああんっ？なんだチビぃ？コイツぐらいでかくなってから威張れよチビガキぃ♡(18Dの威を借るサンゴちゃん♡)   (2024/10/13 02:13:42)

エロガキ♂18D ◆> いえいえ、さっきバトルしてきまして…三回くらい出したのかな？まぁロリコンじゃなくて誰でも女性は素敵なんですけどねぇ(さらっと言って)   (2024/10/13 02:14:10)

シャーロット・レイス ◆> 比べるのは良くないぞ。(13を諌めつつ)サンゴちゃんほらほら喚かない(後ろから頭を撫でては胸を押し付け)   (2024/10/13 02:14:46)

エロガキ♂18D ◆> 自分はそうでも大きくないので……13さんもすぐこれくらいは大きくなりますよ(笑いながら)   (2024/10/13 02:14:46)

エロガキ♂13UC> うっせぇうっせぇばーかばーか。俺はこれから成長期なんだよーだ。（べぇってしつつ）お前こそ、シャーロットお姉ちゃんくらいデカくなれよ～ペチャパイ！   (2024/10/13 02:14:58)

エロガキ♂13UC> ぶーぶー、いいじゃんか～シャーロットお姉ちゃんのがおっぱいでっかくて大人じゃんか～   (2024/10/13 02:15:30)

サンゴ ◆> ぐっぬ……ああーでけぇ……何入ってんだよ〜♡(押し付けられた胸、振り返って下から持ち上げるように揉んじゃって♡)   (2024/10/13 02:17:24)

エロガキ♂13UC> あ、一応ここではそういうのお触り部屋で禁止だよ～（雑談ってなってるから、スキンシップお控えくださいっての   (2024/10/13 02:18:24)

サンゴ ◆> えー。軽いお触りぢゃんかよー(離して)   (2024/10/13 02:19:16)

エロガキ♂18D ◆> あ、本当だ……そんな一文入るようになったんですね…まぁ、あんなことがあったから当然かぁ(13さんの話で確認してきた顔)   (2024/10/13 02:19:33)

シャーロット・レイス ◆> そうだぞ。軽いスキンシップだよ。(仕方なく身体を離して)   (2024/10/13 02:20:19)

エロガキ♂13UC> ま、雑談が雑談じゃなくなっちゃうしね。元の部屋との区別でしょ……まぁ、そのそんな嫌そうな顔すんなよ   (2024/10/13 02:20:21)

エロガキ♂13UC> ってか、シャーロットお姉ちゃんはそれいいことにガキども煽って置いてよく言うわ！？   (2024/10/13 02:20:45)

エロガキ♂18D ◆> まぁ、妥当な判断だったんでしょう……部屋主さん、本当にお疲れ様です…(見てるかどうか分からないけど感謝の意を述べて)   (2024/10/13 02:21:27)

サンゴ ◆> レイスっち意外とノリノリで鬼ウケる♡こんど一緒にゲームしようね♡   (2024/10/13 02:21:29)

エロガキ♂13UC> 後、そっちのちっちゃい……鵜や、ピンクのお姉ちゃんは、まぁその悪かったよ。言い過ぎたかもだけど、なんつうか、美人だし……ごめんなさい。　その、名前教えてよ。チビって今度はいわねぇからさ？   (2024/10/13 02:22:08)

サンゴ ◆> 雑談部屋で群れバトルするならゲームで群れバトルしたほうがいいもんねー   (2024/10/13 02:22:08)

サンゴ ◆> サンゴはサンゴって名前だよ♡   (2024/10/13 02:22:33)

おしらせ> エロガキ♂19b ◆jPpg5.obl6さんが入室しました♪  (2024/10/13 02:23:03)

エロガキ♂13UC> んじゃ、サンゴね。俺は13でもUCでもアンコモンでもまぁ、その辺で適当でいいや。　一緒することあったら、サイコロ振るかもだしな   (2024/10/13 02:23:13)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが入室しました♪  (2024/10/13 02:23:26)

エロガキ♂18D ◆> ですねぇ、それが一番はっきりしてて分かりやすいですから…そんなアンコモンって分かる人には分かるようなネタを…()   (2024/10/13 02:23:42)

エロガキ♂19b ◆> 今日も色んな女の子とヤれてホクホクな19君です～というわけで、こんばんは～   (2024/10/13 02:23:50)

エロガキ♂13UC> そして、バンバン人が増えるな～　デッカイお兄ちゃんと、ちっちゃめなお姉ちゃん？といらっしゃい？   (2024/10/13 02:23:54)

サンゴ ◆> うーん。ぢゃユニコーンで   (2024/10/13 02:24:09)

エロガキ♂18D ◆> あ、胡桃さん…お疲れ様です。19さんもまた戦ってきたようで…   (2024/10/13 02:24:14)

胡桃 ◆> 軽いお触りとかスキンシップ…キスとか18行為にならなければ別にいいんだよ？(ひょこっと現れた堂主)   (2024/10/13 02:24:19)

エロガキ♂13UC> お前もかよ。（ユニコーン呼び、みんな好きだな！？）   (2024/10/13 02:24:36)

胡桃 ◆> 後で書き直しておくね！あ、でもここでおっぱじめないでよ！？   (2024/10/13 02:24:45)

エロガキ♂13UC> あー、ってかどの程度いいの？　乳揉むって十分r18じゃない？   (2024/10/13 02:25:04)

エロガキ♂19b ◆> ん？ユニコーン？ビームマグナムいる～？   (2024/10/13 02:25:09)

エロガキ♂18D ◆> それだけ言いに来たんですね…本当に休んでくださいよ…   (2024/10/13 02:25:11)

サンゴ ◆> ハロ〜♡ぢゃあこれセーフかなー？(胡桃っちの尻タッチ♡今日もいい形)   (2024/10/13 02:25:13)

エロガキ♂13UC> 俺の手、どころか体がはじけ飛ぶからいらね～（Bマグナム   (2024/10/13 02:25:34)

胡桃 ◆> そうー？服脱がして触らないなら軽いお触りだと思うけど…私が少し緩いかな？   (2024/10/13 02:25:52)

エロガキ♂18D ◆> 自分はアンコモンさんって呼びましょうか。バカにできないスペックのものも多いですし……   (2024/10/13 02:26:00)

胡桃 ◆> それくらいは私はいいけど、急だよね！(ビクってしながら後退り)   (2024/10/13 02:26:18)

エロガキ♂13UC> アンコモン、何気に強くないけど無いと困るくらいの……いい感じなのイいよな。   (2024/10/13 02:26:37)

シャーロット・レイス ◆> そうなのね。ありがとう。(胡桃頭をナデナデ)   (2024/10/13 02:27:01)

胡桃 ◆> (…今日も？)   (2024/10/13 02:27:11)

エロガキ♂13UC> つまり、服の上からならシャーロットお姉ちゃんのおっぱいを揉んでも許される！（よし！   (2024/10/13 02:27:29)

エロガキ♂18D ◆> 細かい線引きありがとうございます……助かります。   (2024/10/13 02:27:40)

胡桃 ◆> そ、そういう訳だから！私は帰るよー！もう少し分かりやすく線引きしておくね！   (2024/10/13 02:27:44)

おしらせ> 胡桃 ◆Qe8wlfS40Uさんが退室しました。  (2024/10/13 02:27:48)

エロガキ♂13UC> はーい、お疲れ様～部屋主さん……だよ、な？たぶん   (2024/10/13 02:28:03)

サンゴ ◆> おつかれー   (2024/10/13 02:28:12)

エロガキ♂19b ◆> ちょっと聞きたいんやけどさ～、チャットなら未成年とヤっても問題ないよねぇ？さっきマミちゃんとヤりまくったんだけどちょーっとだけ不安なんだよね～、お兄さん捕まんないよねぇ？(ガクガクブルブル)   (2024/10/13
02:28:13)

サンゴ ◆> トリップって個人特定できるけどやっぱ覚えにくいよね〜   (2024/10/13 02:28:37)

エロガキ♂18D ◆> アンコモン、結構初動とかが多くて何枚あっても足りないこと多いんですよね… あ、彼女さんが部屋主さん……土地の持ち主ですね()   (2024/10/13 02:28:43)

シャーロット・レイス ◆> 大問題だよね…それは   (2024/10/13 02:28:45)

エロガキ♂13UC> ポリスメン案件かな？   (2024/10/13 02:29:18)

エロガキ♂19b ◆> な、なんだってぇ！！   (2024/10/13 02:29:27)

サンゴ ◆> へーきへーき♡そこの男メスガキに何度も中だししてっからー♡(18Dの脇腹ツンツン)   (2024/10/13 02:30:13)

エロガキ♂18D ◆> まぁクリスさんクラリスさんも似たような年齢でしたし今日だけで前科三犯くらいしてるんじゃないですかね()   (2024/10/13 02:30:14)

エロガキ♂19b ◆> あ、ふーん   (2024/10/13 02:30:34)

サンゴ ◆> アンコモンで強いカードかぁ。ポケカだとネストボールとか   (2024/10/13 02:31:04)

エロガキ♂18D ◆> それ言おうかどうか迷いましたけどまぁ19さん今日交わってた人多かったですからねぇ(サンゴさんの首筋そっと撫でながら)   (2024/10/13 02:31:06)

シャーロット・レイス ◆> クリス○村？   (2024/10/13 02:31:14)

エロガキ♂19b ◆> ほならええか～   (2024/10/13 02:31:17)

エロガキ♂13UC> お兄ちゃんたちはばっちりヤリチンかよ～　くっそ～オレももっとヤリチンしまくりてー！   (2024/10/13 02:31:18)

エロガキ♂19b ◆> さっきまではアイドルとパコパコしてたからなぁ   (2024/10/13 02:31:36)

サンゴ ◆> んっ♥(びくっ)   (2024/10/13 02:32:08)

エロガキ♂18D ◆> 最近だとなかよしポフィンはアンコモンですねぇ…あぁ雪音クリスさんですねぇ…クリス○村さんと19さんはそれはそれで光景が面白いことになりますが……   (2024/10/13 02:32:33)

エロガキ♂19b ◆> おいやめろぉ！！   (2024/10/13 02:32:45)

エロガキ♂19b ◆> おれは可愛い男の娘と女しか抱かん！   (2024/10/13 02:33:10)

サンゴ ◆> 男の娘いけるんだ♡   (2024/10/13 02:33:29)

エロガキ♂13UC> 男の娘は俺は、ちょっと……   (2024/10/13 02:33:49)

エロガキ♂18D ◆> シャーロットさんがとんでもない爆弾を言うから……心が乙女の人も抱くのかと…流石b(oss)さんは違うなぁと感嘆しておりましたが…   (2024/10/13 02:33:55)

サンゴ ◆> ユニコーンは男の娘にされちゃう側だもんね〜   (2024/10/13 02:34:16)

シャーロット・レイス ◆> (クリスで最初にでたのがゴリス言うのは黙っておこう)   (2024/10/13 02:34:34)

エロガキ♂13UC> いやいや、ねぇから、男に何かされるかねぇから、それに俺ガキだけど女がおじゃねぇし！？   (2024/10/13 02:34:42)

エロガキ♂19b ◆> 男の娘は可愛いからいいんだよ～、、あの恥じらう姿がたまんないね～   (2024/10/13 02:34:57)

エロガキ♂13UC> （レッドフィールドさんだ。あの筋肉はかっけぇよな   (2024/10/13 02:35:04)

エロガキ♂18D ◆> (一回だけ男の娘を弄んだ事があるなぁと思い出した顔)ここの人、男の娘にされた人多くないですか？二人くらい見ましたが…   (2024/10/13 02:35:13)

サンゴ ◆> ユニコーン。おめぇサンゴに負けたら男の娘確定なー♥(無慈悲)   (2024/10/13 02:35:34)

エロガキ♂18D ◆> ゴリスさんと19さんかぁ……すごい光景だなぁ(白目)   (2024/10/13 02:35:51)

エロガキ♂19b ◆> んんー？？？   (2024/10/13 02:36:02)

エロガキ♂13UC> いや、さすがにおとこがおのに衣装だけ着けても男は男だろ……ただの女装なだけでさ！？   (2024/10/13 02:36:07)

サンゴ ◆> 敢えて顔つき雄々しいやつ女装させるからギャップ萌えするんぢゃねーかー♡   (2024/10/13 02:36:19)

サンゴ ◆> それにメイク頑張ると意外となんとかなるんだぜー   (2024/10/13 02:36:38)

エロガキ♂19b ◆> かわいそうなユニコーン君にはNTDシステムをプレゼント～、これで頑張ってな   (2024/10/13 02:36:54)

エロガキ♂13UC> サンゴ……お前そっち系かよ！？　可愛い顔して考えることえぐくないか！？   (2024/10/13 02:36:54)

エロガキ♂18D ◆> 罰でそういや女装してた人がちらほら居たような記憶がありますねぇ…いやこの人ショタなら相当やる人だと今日知りましたよ、アンコモンさん   (2024/10/13 02:37:39)

エロガキ♂13UC> N-TD……忍刀道だっけ？   (2024/10/13 02:37:44)

サンゴ ◆> えぐいでしょ〜♡サンゴも大概変態寄りだかんねー   (2024/10/13 02:37:49)

エロガキ♂13UC> う、っわ……（こいついる時に、ぜってぇ負けたくねぇ……   (2024/10/13 02:38:14)

エロガキ♂18D ◆> (あぁ、ロックオンされた人が今日で二人……南無三……)   (2024/10/13 02:38:57)

エロガキ♂19b ◆> 面白いけど違うなぁ～、ニュータイプデストロイヤーシステム～なのだよ、、これでサンゴちゃんをわからせろ！！   (2024/10/13 02:39:43)

エロガキ♂19b ◆> って思ったけどわからせた後か～？   (2024/10/13 02:40:01)

エロガキ♂18D ◆> ええ、分からせられて分からせた後ですね……   (2024/10/13 02:40:24)

シャーロット・レイス ◆> ＮＴＤ…ボケが見つからなかった   (2024/10/13 02:40:42)

エロガキ♂19b ◆> おっとぉ、、お兄さんがアイドルをハメてるあいだにそんなことが起こってたのかぁ...直接見れなかったのが残念だなぁ   (2024/10/13 02:41:14)

エロガキ♂13UC> あれ、ちがうっけ？　ってか、俺が見た方がそのパロディか。SDガンダムの   (2024/10/13 02:41:31)

サンゴ ◆> NねっとりTちんぽDでぃーぷふぇら   (2024/10/13 02:41:32)

エロガキ♂19b ◆> ！？   (2024/10/13 02:41:40)

エロガキ♂18D ◆> 天才がおった   (2024/10/13 02:41:43)

エロガキ♂18D ◆> ねっとりまでは思い付いたけどその二つは出てきませんでしたねぇ   (2024/10/13 02:42:05)

サンゴ ◆> D悩んだけど、ディープつけたらだいたいなんでもくっつくから便利   (2024/10/13 02:42:34)

エロガキ♂19b ◆> でもそれだと、そのシステム使えるのは女の子だけだね～サンゴちゃんにNTDは贈呈しよう～   (2024/10/13 02:42:52)

エロガキ♂18D ◆> ディープスロートでも良かったですねぇ()   (2024/10/13 02:42:53)

エロガキ♂13UC> （チンポとディープ○○は思いついたけど、さすがに口に出さなかったのに）   (2024/10/13 02:43:00)

サンゴ ◆> NねぇTたっぷりDだして♥   (2024/10/13 02:43:12)

エロガキ♂19b ◆> な～んでそんなすぐに思い付くかなぁ？   (2024/10/13 02:43:53)

サンゴ ◆> 完全勝利したサンゴ(UC)   (2024/10/13 02:43:59)

エロガキ♂18D ◆> まさかの自分が負けた側まで用意してくるとは…(てかこの人さっき……黙っとこ)   (2024/10/13 02:44:25)

シャーロット・レイス ◆> Ｎ寝技Ｔ　Ｄだぁ～   (2024/10/13 02:45:27)

エロガキ♂19b ◆> ゴリ押しすぎるぞ！？   (2024/10/13 02:46:20)

エロガキ♂18D ◆> (シャーロットさんのボケであるものが脳裏から思い浮かんでしまって頭抱える)   (2024/10/13 02:46:20)

サンゴ ◆> NなぁTちんこでかくしてんしぢゃねーよDどーてーがよー♡   (2024/10/13 02:46:26)

エロガキ♂13UC> ん～   (2024/10/13 02:47:01)

エロガキ♂18D ◆> (この人無敵か……！？)   (2024/10/13 02:47:12)

エロガキ♂19b ◆> Tが長すぎますが内容が素晴らしいので星4つとさせていただきます   (2024/10/13 02:47:46)

サンゴ ◆> あー今のサンゴ月光蝶とパーフェクトパックとGNツインドライブ背負ってる状態だから無敵だかんねー   (2024/10/13 02:48:23)

エロガキ♂18D ◆> 勝ち目ないんですよそれ……   (2024/10/13 02:48:37)

エロガキ♂13UC> https://chat.shalove.net/image.php/3uRytBtNSIvUVHQVMrvqoY.png/1knHIbW6jtcBP08GLfKn4y/756342357/
[/JumpUrl2/?url=https%3A%2F%2Fchat.shalove.net%2Fimage.php%2F3uRytBtNSIvUVHQVMrvqoY.png%2F1knHIbW6jtcBP08GLfKn4y%2F756342357%2F]  
(2024/10/13 02:49:03)

エロガキ♂13UC> 即席で、AIで作ろうとしたけど、やっぱなんかイメージより丸くなる   (2024/10/13 02:49:20)

サンゴ ◆> 繋がらない〜   (2024/10/13 02:49:30)

エロガキ♂19b ◆> 見れねぇ   (2024/10/13 02:49:36)

サンゴ ◆> 画像載せるならアップローダーにあげないと   (2024/10/13 02:49:45)

エロガキ♂18D ◆> 見れないですねぇ……なるほどこうなるのか   (2024/10/13 02:50:09)

エロガキ♂13UC> くっそ……面倒だな。個室からそのまま張りつけりゃ見えるかと思ったのに   (2024/10/13 02:50:13)

シャーロット・レイス ◆> Ｎ寝かせろＴ疲れたＤ大至急   (2024/10/13 02:50:52)

エロガキ♂18D ◆> ヤバい、急に眠気きました……おやすみなさいませ。またどこかで会えましたら。   (2024/10/13 02:51:01)

エロガキ♂13UC> シャーロットお姉ちゃんは寝ていいんじゃないかな！？   (2024/10/13 02:51:10)

エロガキ♂18D ◆> 寝かせろ疲れた大至急です、まさに……   (2024/10/13 02:51:17)

エロガキ♂19b ◆> 考えてないで寝ろぉ！   (2024/10/13 02:51:21)

エロガキ♂13UC> 18Dのお兄ちゃんも寝なよ～！？   (2024/10/13 02:51:28)

シャーロット・レイス ◆> 思いつかないとだめな気がして   (2024/10/13 02:51:55)

エロガキ♂13UC> 非公開じゃなく、公開ルームに張ったりしても見られないかな   (2024/10/13 02:52:00)

エロガキ♂19b ◆> 多分無理やない   (2024/10/13 02:52:20)

エロガキ♂18D ◆> 自分はもう寝ます……ありがとうございました……(溶鉱炉(布団)の中に沈みながら👍️サインをして沈む18の姿)   (2024/10/13 02:52:25)

おしらせ> エロガキ♂18D ◆v/8rmrVKkEさんが退室しました。  (2024/10/13 02:53:23)

エロガキ♂13UC> イメチャの方にでも、公開人待ち部屋でもつくって、そこに張ったらここにいる人だけに見えるようにはできるって手はあるけど、アップローダーどっかあったかな   (2024/10/13 02:53:31)

エロガキ♂19b ◆> 涙なしでは語れない！！お疲れさまですよ～   (2024/10/13 02:53:32)

エロガキ♂13UC> 18Ｄのお兄ちゃんはお休み～   (2024/10/13 02:53:48)

エロガキ♂19b ◆> レイスちゃんも寝なよ～？   (2024/10/13 02:54:06)

エロガキ♂13UC> シャーロットお姉ちゃんのはNTDへのネタだったのか、本心なのかが読めない   (2024/10/13 02:54:33)

シャーロット・レイス ◆> そうしますね。考えてると寝れなくなりそうなので   (2024/10/13 02:54:35)

エロガキ♂13UC> ん、シャーロットお姉ちゃんも無理しないでね。お休みおやすみ～   (2024/10/13 02:54:58)

シャーロット・レイス ◆> 両方   (2024/10/13 02:55:03)

サンゴ ◆> アップローダー探しなう   (2024/10/13 02:55:17)

エロガキ♂19b ◆> 何気なくいったNTDがこんなにも盛り上がるとは...   (2024/10/13 02:55:28)

サンゴ ◆> 18Dおつかれー♡また遊ぼ〜   (2024/10/13 02:55:38)

エロガキ♂13UC> サンゴだけなら、イメチャででもみせよか？　イメチャなら公開ルームでも画像使えるから、鍵なしでも入れば見れるぞ？   (2024/10/13 02:56:17)

エロガキ♂19b ◆> そのままパコパコが始まるんですね！！   (2024/10/13 02:56:37)

エロガキ♂13UC> いやいや、ねぇだろ？こいつ、さっきまで18のお兄ちゃんにやられてて、体力ねえだろうし   (2024/10/13 02:57:09)

シャーロット・レイス ◆> Ｎ寝技Ｔ　Ｄだぁ～の真ん中が思いつかない   (2024/10/13 02:57:29)

おしらせ> シャーロット・レイス ◆QpkzOtGYQEさんが退室しました。  (2024/10/13 02:57:33)

サンゴ ◆> え？別腹だけど   (2024/10/13 02:57:37)

エロガキ♂13UC> いや、勝負もしてねぇし、やる方向で話舵きろうとすんなよ！？   (2024/10/13 02:58:12)

サンゴ ◆> NなにいってんのTちんぽとっととD出せよオラ♥   (2024/10/13 02:58:14)

おしらせ> エロガキ♂13HL ◆3P8hK58TGgさんが入室しました♪  (2024/10/13 02:58:23)

エロガキ♂13HL ◆> ……こんばんは…。   (2024/10/13 02:58:39)

サンゴ ◆> はろ〜疲れてんね〜   (2024/10/13 02:58:55)

エロガキ♂13UC> お、HLいらっしゃい。大丈夫か？   (2024/10/13 02:58:57)

エロガキ♂19b ◆> パコってこいー、お兄さんがいくと終わらないハメ地獄始まっちゃうからさー、っとさっきぶりだねー   (2024/10/13 02:59:06)

サンゴ ◆> まぁサンゴちゃんの個人的興味もあるからさー使いやすいアップローダー探してる   (2024/10/13 02:59:34)

エロガキ♂13HL ◆> ん…疲れてるんじゃなくて……なんだろー。人肌恋しくなって寂しくなったから帰ったきた……   (2024/10/13 02:59:36)

エロガキ♂13UC> サンゴが鍵使えるなら待ち合わせで、使えないならイメチャに公開で部屋作って見せてやるって言ってるんだが……そっち探す方が良いならどっちでもいいけどさ   (2024/10/13 03:00:18)

エロガキ♂13HL ◆> 強がってたらその分反動きたかも…。   (2024/10/13 03:00:33)

エロガキ♂19b ◆> システムメッセージ: 発言にNGワードが含まれています  (2024/10/13 03:00:34)

エロガキ♂19b ◆> ッチダメか   (2024/10/13 03:00:42)

エロガキ♂13UC> そういや、さっきはHL　美人さんに騎乗絞られしてなかったか？（アナザーだっけ？   (2024/10/13 03:00:47)

サンゴ ◆> 昔はアップローダーで共有するのが当たり前だったけど、今はSNSに流れてきてる画像や動画が勝手に共有される時代だかんねー   (2024/10/13 03:01:12)

