/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年10月19日 06時26分 ～ 2024年10月19日 11時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

エロガキ♂14Y ◆> アカネは余んないだろ、オレなんか即指名するだろうし   (2024/10/19 06:26:22)
エロガキ♂13 ◆> んー、多分レアかも？あんま見ないね   (2024/10/19 07:09:36)

エロガキ♂15KS> TRPGの民なものでダイスを振る時は1d100にしちゃうんだ…てへっ♪   (2024/10/19 07:10:11)

エロガキ♂16r> 多分しないと思うけど別の皮作る時はそっちに寄せるか()   (2024/10/19 07:10:15)

エロガキ♂16r> (1d100振るのはほぼほぼクトゥルフだけでは？)   (2024/10/19 07:10:39)

エロガキ♂19b ◆> でも60mmだと小さすぎるか？   (2024/10/19 07:10:40)

エロガキ♂15KS> まぁ、冗談はさておき。もしガチでダイス振るなら5ぐらいのゲタをつけて自分の動かせる長さを上限にするぐらいで振ってみるのが一番だろうね。   (2024/10/19 07:10:51)

エロガキ♂13 ◆> 色んなガキに変身できると色々楽しめるとは思うよ〜♫   (2024/10/19 07:11:15)

エロガキ♂19b ◆> んまぁ、年齢に合わせて12cmにしておくか   (2024/10/19 07:11:20)

エロガキ♂15KS> （クトゥルフとシノビガミとインセインとダブルクロスと光砕のリヴァルチャーといろいろとしてるよー。）   (2024/10/19 07:11:21)

エロガキ♂16r> 太さでよくね？→60   (2024/10/19 07:11:24)

エロガキ♂15KS> 直径60cmか……   (2024/10/19 07:11:38)

エロガキ♂15KS> 大木か何かで？   (2024/10/19 07:11:44)

エロガキ♂16r> ミリだよ！   (2024/10/19 07:11:45)

エロガキ♂13 ◆> 丸太…？   (2024/10/19 07:11:45)

新条アカネ> 60mmって6cm？通常時はそのくらい？   (2024/10/19 07:11:49)

新条アカネ> みんな丸太は持ったな！？   (2024/10/19 07:12:12)

エロガキ♂19b ◆> 通常6cm勃起したら12cmが妥当かな？   (2024/10/19 07:12:19)

エロガキ♂16r> パイルバンカーシなきゃ   (2024/10/19 07:12:23)

エロガキ♂15KS> ゼムルプス棒なら持ったよ！   (2024/10/19 07:12:24)

エロガキ♂13 ◆> カチコミ、カチコミ〜♪   (2024/10/19 07:12:50)

エロガキ♂16r> (15k思ったより色々してた)   (2024/10/19 07:12:54)

エロガキ♂15KS> まぁ、12cmでも日本人の平均前後で、しっかりチンポしてるいいバランスだよね。   (2024/10/19 07:12:54)

新条アカネ> それ以前に直径60センチなんて入らんわ！！   (2024/10/19 07:12:57)

エロガキ♂19b ◆> アカネちゃん壊れちゃうね   (2024/10/19 07:13:08)

エロガキ♂15KS> もはや全身ズリとかのレベルになるからね……妖精プレイか？   (2024/10/19 07:13:13)

エロガキ♂16r> 人間壊れるわ   (2024/10/19 07:13:17)

エロガキ♂16r> 草   (2024/10/19 07:13:24)

新条アカネ> 雲散霧消しちゃうよ、私   (2024/10/19 07:13:26)

エロガキ♂13 ◆> お星さまになっちゃうにゃ〜   (2024/10/19 07:13:45)

エロガキ♂15KS> そしてニューオーダーとして復活するんだ……ﾕｰﾆｰﾊﾞｰｽ   (2024/10/19 07:13:51)

エロガキ♂19b ◆> うし、、大体決まったし皮作ってくる～   (2024/10/19 07:13:53)

新条アカネ> 妖精プレイとかいうまさかの発想に度肝を抜かれるなんて   (2024/10/19 07:14:05)

エロガキ♂13 ◆> 行ってら〜☆   (2024/10/19 07:14:12)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/19 07:14:18)

エロガキ♂15KS> （週1でTRPGするぐらいにはジャンキーでーす。）   (2024/10/19 07:14:22)

新条アカネ> はーい、いってらー   (2024/10/19 07:14:29)

エロガキ♂15KS> いってらっしゃい！   (2024/10/19 07:14:33)

新条アカネ> 色んなジャンキーがいるなー   (2024/10/19 07:14:44)

エロガキ♂13 ◆> 妖精…あれまんまオナホ扱いで興奮するよねぇ   (2024/10/19 07:14:55)

エロガキ♂15KS> うちのお賃金はゲームへの課金と食費とTRPGの立ち絵依頼に消えてるからね……。   (2024/10/19 07:15:12)

エロガキ♂16r> なんだっけ、めっちゃじわじわ股裂きする拷問器具思い出した   (2024/10/19 07:15:13)

エロガキ♂16r> (そちらほどでは無いけど私もやってるよ)   (2024/10/19 07:15:35)

新条アカネ> 直径60cmに正面からほーるどして、何かするわけね…   (2024/10/19 07:15:40)

エロガキ♂15KS> カリ裏の段差に小さな舌先を添えて、とかこう。雑談部屋なので言い過ぎNAI程度に。   (2024/10/19 07:16:04)

エロガキ♂15KS> （強者の予感。）   (2024/10/19 07:16:13)

おしらせ> エロガキ♂12aさんが入室しました♪  (2024/10/19 07:16:57)

エロガキ♂13 ◆> ニャルほどにゃ〜   (2024/10/19 07:17:01)

エロガキ♂16r> 違う違う、足開くように縛ってケツの方に先の三角錐みたいなやつ当ててほっとくんだよ   (2024/10/19 07:17:01)

エロガキ♂15KS> 体格差を意識するエロガキをする以上、この体格でこうしたら、どんなことになるかを色々考えてロールするんだ。ってことでお帰りかな？   (2024/10/19 07:17:25)

新条アカネ> 三角木馬？   (2024/10/19 07:17:36)

エロガキ♂16r> でもない   (2024/10/19 07:17:42)

エロガキ♂13 ◆> お！いらっしゃ〜い♪色とか変えてみるのもオススメだよ♪   (2024/10/19 07:17:43)

エロガキ♂12a> お、おはようございます～....(とりあいずこんなかんじだぁ！！プロトタイプだから変更はあるかも、弟設定だから色はかえないぜ！)   (2024/10/19 07:17:59)

新条アカネ> いらっしゃーい(手振り振りー)   (2024/10/19 07:18:05)

エロガキ♂16r> 名前忘れた…   (2024/10/19 07:18:05)

エロガキ♂15KS> まぁ、拷問より気持ちよくなりたいよね！   (2024/10/19 07:18:28)

エロガキ♂16r> やってることだけで言えば苦悶の梨とかに近い()   (2024/10/19 07:18:32)

エロガキ♂13 ◆> んじゃ、久々にこの姿で勝負行ってこようかなぁ〜   (2024/10/19 07:18:49)

エロガキ♂12a> は、初めまして...お兄ちゃんに言われてきました...これからよろしくお願いしますね(ペコリ)   (2024/10/19 07:18:57)

エロガキ♂16r> いてらー   (2024/10/19 07:18:59)

エロガキ♂13 ◆> ばいば〜い   (2024/10/19 07:19:01)

新条アカネ> がんばってねー♪   (2024/10/19 07:19:13)

エロガキ♂13 ◆> 12くんとバトンタッチ！あとは任せたよ！   (2024/10/19 07:19:15)

エロガキ♂15KS> はーい、がんばれー！お相手さんがくるよーに！   (2024/10/19 07:19:18)

新条アカネ> こちらこそよろしくー♪   (2024/10/19 07:19:34)

エロガキ♂13 ◆> 来なかったら戻ってくるね〜ww   (2024/10/19 07:19:35)

エロガキ♂15KS> 改めてよろしくねー！設定をいい感じに雑談部屋で喋りながら固めていこう！   (2024/10/19 07:19:42)

おしらせ> エロガキ♂13 ◆za77rifW.Yさんが退室しました。  (2024/10/19 07:19:44)

エロガキ♂15KS> こんなに人数いるけど、   (2024/10/19 07:19:52)

エロガキ♂12a> いってらっしゃいです！   (2024/10/19 07:19:56)

エロガキ♂15KS> 朝の7時だからな。（真顔。）   (2024/10/19 07:19:59)

エロガキ♂16r> てらさー   (2024/10/19 07:20:01)

エロガキ♂16r> 雑談部屋だからいいんだよ()   (2024/10/19 07:20:15)

新条アカネ> (実は昨日から一睡もしてない)   (2024/10/19 07:20:29)

エロガキ♂16r> 寝ろ   (2024/10/19 07:20:38)

エロガキ♂15KS> もう寝ようぜ(ΦωΦ)   (2024/10/19 07:20:49)

エロガキ♂15KS> 昨日っていうのが昨日の朝からってことなら、単なる夜ふかし～徹夜だけどね！   (2024/10/19 07:21:15)

エロガキ♂12a> アカネお姉ちゃんは無理しないで寝てほしいな....(チラッ   (2024/10/19 07:21:16)

エロガキ♂16r> こういう時は無理やり寝かせるのだ()   (2024/10/19 07:21:30)

新条アカネ> 寝たいんだけど、夕方に起きそうで怖いんだよねぇ   (2024/10/19 07:21:45)

エロガキ♂16r> 昼に用事なければいいのでは？   (2024/10/19 07:22:01)

エロガキ♂15KS> あー、確かに。この時間からだと単純計算。8時間寝ると……夕方だよね。   (2024/10/19 07:22:09)

エロガキ♂15KS> といいつつ、自分も眠気が来たからそろそろおやすみするよー。また盛り上がってる時にお邪魔するかもだから、その時は駄弁ったり遊んでくれると嬉しいな。   (2024/10/19 07:22:32)

新条アカネ> 何か勿体無くて♪そのあたりの時間配分がめっちゃ下手くそなアカネちゃんでした   (2024/10/19 07:22:44)

エロガキ♂15KS> まぁ、今日はTRPGなんだけどね！！！（ジャンキー）   (2024/10/19 07:22:48)

エロガキ♂15KS> おやすみなさーい！   (2024/10/19 07:22:51)

エロガキ♂16r> 炎上と解説でもぶつけるか   (2024/10/19 07:23:03)

新条アカネ> んっ、おやすみーっ   (2024/10/19 07:23:04)

エロガキ♂16r> おやすみー   (2024/10/19 07:23:09)

おしらせ> エロガキ♂15KSさんが退室しました。  (2024/10/19 07:23:10)

エロガキ♂12a> 15ksさんもおやすみなさいです！ゆっくり休んでくださいね！   (2024/10/19 07:23:11)

エロガキ♂16r> まぁ割り引かないならいいんじやまね   (2024/10/19 07:23:45)

エロガキ♂16r> 誤タップなので察してください   (2024/10/19 07:24:04)

新条アカネ> ほーいっ   (2024/10/19 07:24:24)

エロガキ♂12a> (ショタロールムズすぎて早くも破裂しそう...)   (2024/10/19 07:25:35)

エロガキ♂16r> 頑張れ☆   (2024/10/19 07:26:07)

新条アカネ> 自分が子供だった頃を思い出せばいいんだよ…   (2024/10/19 07:26:11)

エロガキ♂12a> (子供の頃はまじでおっぱいばっか追ってたからな....)   (2024/10/19 07:26:50)

エロガキ♂16r> その辺思い出せば？   (2024/10/19 07:27:11)

新条アカネ> ふふっ、正しくエロガキだったんだねー   (2024/10/19 07:27:17)

エロガキ♂12a> (おんぶしてくれた高校生のねーちゃんとかのおっぱい無知なの理由に揉みまくってた思い出が...ん？まじのエロガキやん)   (2024/10/19 07:28:11)

エロガキ♂16r> 揉んだのはふつーにアウトでは？姉だとしても   (2024/10/19 07:28:42)

新条アカネ> まぁガキなら許される風潮は結構あったりするね   (2024/10/19 07:29:11)

エロガキ♂16r> それってスカート捲りとかまでだと思うんだ()   (2024/10/19 07:29:33)

エロガキ♂12a> (今思えばヤバイよ....その頃思い出すとほんとただのエロガキ...)   (2024/10/19 07:29:33)

エロガキ♂16r> 説教じゃなくてこーらみたいなやつにはなるでしょ   (2024/10/19 07:29:47)

新条アカネ> 今の子たちってスカートめくりするのかな？   (2024/10/19 07:29:58)

エロガキ♂16r> しなさそう   (2024/10/19 07:30:03)

新条アカネ> 女子同士でやってるのはいたけどね   (2024/10/19 07:30:21)

新条アカネ> 現代だと♂がってなると結構うるさそーだもんね、大人が   (2024/10/19 07:31:27)

エロガキ♂12a> (口調はアナザー部屋の人たちのを参考にするとして...あとは勝ったらどうするか...検討に検討を重ねないとな)   (2024/10/19 07:31:51)

エロガキ♂16r> ね   (2024/10/19 07:31:54)

エロガキ♂16r> 色々めんどくさい時代だよほんと   (2024/10/19 07:32:05)

新条アカネ> うん…ほんとに   (2024/10/19 07:32:46)

新条アカネ> 奥手なショタが責めるとなると…うーん、何があるだろね？   (2024/10/19 07:33:29)

エロガキ♂12a> (思ったよりもこのキャラがムズい....攻め方がまじでわかんねぇ)   (2024/10/19 07:34:42)

エロガキ♂16r> 頑張って乳ばっかり責れば？()   (2024/10/19 07:35:40)

新条アカネ> 能動的にエロを実践するというより、ラッキースケベでお姉さんたちとよろしくやるイメージが強いなぁ、私の中では   (2024/10/19 07:37:08)

エロガキ♂12a> (生乳とか、見るのはビックリしちゃうけど、服越しに触るのは大丈夫にするか、、それで服越しに胸揉んだりお尻触ったりとか、、これでいくか)   (2024/10/19 07:37:08)

エロガキ♂12a> (ラッキースケベ...リト君みたいな？)   (2024/10/19 07:37:34)

新条アカネ> うんうん   (2024/10/19 07:38:01)

エロガキ♂12a> (それいいかもな...そうするか、、あとでTo LOVEる -再履修しよ)   (2024/10/19 07:38:49)

新条アカネ> あとは無理をして女の子にエロい罰をしようとするけど、たどたどしすぎてやられてる女の子側がむしろノウハウを教えてやる的なー、私はそういうの好きだなー♡……最終的に罰といえるかどうかは疑問だけど   (2024/10/19 07:39:47)

新条アカネ> お姉さんを眠らせて、起きないかどぎまぎしながらエロいイタズラしてみるとかー   (2024/10/19 07:40:17)

エロガキ♂12a> (なるほど...参考になりすぎる！！まじでありがたい)   (2024/10/19 07:41:07)

新条アカネ> ショタの場合、罰を与えるという役割ではなく、勝ったご褒美を貰うってシチュの方がだいぶしっくりくるよねー   (2024/10/19 07:41:46)

エロガキ♂16r> んじゃ飯行くので少し離席   (2024/10/19 07:42:22)

エロガキ♂12a> いってらっしゃいです！   (2024/10/19 07:42:29)

新条アカネ> なので、可愛くおねだりしてみたら？命令可能なんだし♪   (2024/10/19 07:42:37)

新条アカネ> いってらっしゃーい♪   (2024/10/19 07:42:43)

エロガキ♂12a> (練習しとこ！！今日のお昼か夕方ぐらいにこの皮投入してみるか...楽しみになってきたなー！！)   (2024/10/19 07:43:19)

新条アカネ> 母性本能くすぐられるタイプのお姉さんがいたらやってもらえるかもよ？なんてね♡   (2024/10/19 07:43:31)

エロガキ♂12a> ありがと！！お姉ちゃんのおかげで甘え方がすこーしだけわかった気がする...いつかアカネお姉ちゃんにも甘えさせてね！！(キラキラ)   (2024/10/19 07:46:05)

エロガキ♂12a> (こんな感じかなぁ？)   (2024/10/19 07:47:14)

新条アカネ> いい感じだと思うよー♪   (2024/10/19 07:47:29)

エロガキ♂12a> (ふっふっふ、、はず過ぎてベットで悶絶してるから皮もどす...)   (2024/10/19 07:48:02)

エロガキ♂12a> あ、、お兄ちゃんに呼ばれてるから行かなきゃ！！お姉ちゃん！またあそんでね♡   (2024/10/19 07:48:34)

おしらせ> エロガキ♂12aさんが退室しました。  (2024/10/19 07:48:35)

新条アカネ> 「お姉ちゃんに筆下ろしされたい…///」みたいなご褒美受ける型の罰実行とありと思うんだよねー♡ おーっといってらっしゃーい♪   (2024/10/19 07:49:09)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/19 07:49:20)

新条アカネ> おかおかー   (2024/10/19 07:49:45)

エロガキ♂19b ◆> 筆下ろしは、最初しか使えんなぁ...むしろそれがいいのかも？   (2024/10/19 07:49:57)

新条アカネ> 2回目からは普通にえっちしたいでいいんじゃない？   (2024/10/19 07:50:26)

エロガキ♂19b ◆> 戻ったぜー、、徐々に知識を着けていくタイプか、ありだな   (2024/10/19 07:50:47)

新条アカネ> そーそー、えっちなお姉さんとせーきょーいくー   (2024/10/19 07:51:32)

エロガキ♂19b ◆> 人によっては癖がネジ曲がりそうだけど面白そうだなそれ！やってみる価値しかねえ   (2024/10/19 07:52:21)

新条アカネ> うん、たまには趣向を変えてみるのも面白いと思うよ。楽しみ方としての新たな発見もあるかもしれないしね♪   (2024/10/19 07:53:26)

新条アカネ> ……ぅあ…そろそろ寝よ、フラフラしてきたぁ   (2024/10/19 07:54:07)

エロガキ♂19b ◆> 参考になる話ばっかでほんと助かる...あとは実戦あるのみだな   (2024/10/19 07:54:08)

エロガキ♂19b ◆> あいよ、ゆっくり寝なさいな～   (2024/10/19 07:54:20)

新条アカネ> うん、あとは色々と試してみてね。がんばえー   (2024/10/19 07:54:40)

新条アカネ> んじゃ、もう寝るるー   (2024/10/19 07:54:51)

新条アカネ> おやすみっ♪   (2024/10/19 07:54:56)

おしらせ> 新条アカネさんが退室しました。  (2024/10/19 07:55:00)

エロガキ♂19b ◆> アカネちゃんお疲れさま～   (2024/10/19 07:55:07)

エロガキ♂19b ◆> 俺も落ちよっかな、、ありがとうございますー   (2024/10/19 07:57:31)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/10/19 07:57:32)

おしらせ> エロガキ♂16rさんが退室しました。  (2024/10/19 08:02:41)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/10/19 08:06:29)

エロガキ♂14C ◆> んー、よく寝たっ！おはよーございまーすっ。   (2024/10/19 08:06:45)

エロガキ♂14C ◆> なんかログ見る限り色々トークが繰り広げられてたのかな？   (2024/10/19 08:07:33)

エロガキ♂14C ◆> まー、あれじゃない？自分のしたいスタイルにあったキャラメイクすればいいんじゃないかなエロガキについては。知らんけど。   (2024/10/19 08:09:33)

エロガキ♂14C ◆> とはいえ、被った皮と自分に衝突とかがあるとたまーにうまく動けなくなることもあるから難しいとこだけどね（あふ）   (2024/10/19 08:13:41)

エロガキ♂14C ◆> それにしても皆早起きだよなあ、って今日ばかりは僕が熟睡してたってのもあるか。人の来るタイミングでもなさそーだし、シャワー浴びたりしたいから一回落ちよっと。またねー。   (2024/10/19 08:17:58)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/10/19 08:18:04)

おしらせ> シラベドンナさんが入室しました♪  (2024/10/19 09:20:09)

シラベドンナ> こんばんは！   (2024/10/19 09:20:26)

シラベドンナ> 9時ちょうどから軽く仮眠を取ってきたのだが、数十分の睡眠のわりにはしっかり眠気が取れたな！   (2024/10/19 09:21:23)

シラベドンナ> …日付が！ 日付が変わっている！   (2024/10/19 09:22:12)

シラベドンナ> どうして起こしてくれなかったんだ…！   (2024/10/19 09:24:31)

おしらせ> シラベドンナさんが退室しました。  (2024/10/19 09:28:56)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/19 09:49:30)

エロガキ♂18Z> こんにちはーかな？(ぐでん)   (2024/10/19 09:50:02)

エロガキ♂18Z> 早朝は雷が凄かったけど、今は落ち着きましたな〜   (2024/10/19 09:51:26)

エロガキ♂18Z> (でも雨っていう。ぬぬぬ)   (2024/10/19 10:02:23)

エロガキ♂18Z> またね〜   (2024/10/19 10:12:07)

おしらせ> エロガキ♂18Zさんが退室しました。  (2024/10/19 10:12:09)

おしらせ> 栞葉るりさんが入室しました♪  (2024/10/19 10:19:53)

栞葉るり> おはようございます～。トータル8時間もきっちり寝たのに眠いのはやっぱりまとまった時間寝たほうがスッキリするといういいデータになりますね、これは…。   (2024/10/19 10:20:43)

栞葉るり> というわけで、外に居ながら毎日エロチャット、栞葉るりでーす♪(異常者)   (2024/10/19 10:21:26)

栞葉るり> んまぁ、寝れない方が多いようなので逆張りして寝ないのはどうでしょうか？わたくし、眠すぎるとナニをしてようがブツッと電源が落ちたように寝てしまうので…。古今東西ひろしと言えど立ちながら寝るライバーはわたくし以外居ないのではないでしょうか(居ても困るやつ)
  (2024/10/19 10:23:21)

栞葉るり> あと、自分の普段と真逆なキャラを出すってめちゃくちゃおもろいのでオススメです！話しやすいのは話しやすいでいいんですけども、ふとしたタイミングで意表を突いたように真逆のキャラで入ってびっくりさせるのも結構楽しいですよ！   (2024/10/19
10:24:54)

おしらせ> 蛍 ◆QK46S7ElOBxyさんが入室しました♪  (2024/10/19 10:25:51)

栞葉るり> なので、是非、エロガキの皆さんも版権の方もやってもらってお部屋を活性化させて頂くと…(誘導)   (2024/10/19 10:25:54)

蛍 ◆> おはよう、仮眠みたいな眠りから目を覚ませたおかけで見つけた！   (2024/10/19 10:26:52)

栞葉るり> おはようございますー。休みの時くらいのんびりしましょうよ〜…(と言いつつお食事処の開店待ちするわたくし…)   (2024/10/19 10:27:35)

蛍 ◆> のんびりしてるけど…時間は有限だから(刻晴とかいつも過密スケジュールな気がするし。私もご飯の開店待ちとか嫌いじゃないかも？)そうだ、また少しお茶会しようって伝言預かってるの。今は…ね？(寝惚け顔の旅人、胡桃もぐっすり寝てたし。)  
(2024/10/19 10:31:04)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/10/19 10:32:23)

エロガキ♂19b ◆> また、集まる予感がしたから来てみたけど...お取り込み中かな(こそこそ)   (2024/10/19 10:33:06)

栞葉るり> ん。でしたら、またお茶会します？わたくし、栞葉るり。今、席に座っているの(メリーさん並の感想)今はやめといたほうが良さそうでしたら、また後ほど…？またマインクラフト的な建設業のお話は頭使いますし！   (2024/10/19 10:33:44)

栞葉るり> (あ、そこほるとマグマあります。とか)   (2024/10/19 10:33:56)

栞葉るり> いらっしゃいませ～   (2024/10/19 10:34:02)

蛍 ◆> こんにちは。大丈夫だよ、私はすぐ戻っちゃうから。(パイモンがお腹空かせてるし。)   (2024/10/19 10:35:03)

栞葉るり> わたくしも！お腹すいた！！(じたばた)   (2024/10/19 10:35:55)

エロガキ♂19b ◆> なーらよかった。こんにちはっと   (2024/10/19 10:36:03)

蛍 ◆> (お店の順番待ちしてるメリーさんも凄くシュール。)今は私がこんな状態だから、1分もあればマグマダイブからの全ロスさせられると思う！(仮眠の寝起きっていう謎に最強のバフで旅人は混乱していた。)   (2024/10/19 10:37:28)

蛍 ◆> るりは何が好きなの？(自然と好きな物を聞き出す。旅人は料理スキル異次元すぎて目押しできればどんな料理も美味しく作れるから。)   (2024/10/19 10:38:32)

栞葉るり> なら、その貞操も全ロスさせてもらいましょうか(ういんういん。謎の効果音と手元にはモザイク、四マスくらいのめっちゃ濃い目で白黒処理もしてあるから何持ってるか全くわからんやつ。それから尻尾ぶんぶん！)   (2024/10/19 10:40:09)

エロガキ♂19b ◆> ん？流れ変わったか？   (2024/10/19 10:40:58)

栞葉るり> 何が好きですか…えーと、多すぎるので萎えだけでいいですか？(相談でよくあるやつ)んと、臭いの(つけもの、パクチー)と、あとグロいやつ(魚の内臓、にがにがだから)とか…でしょうか、萎えは！   (2024/10/19 10:41:22)

おしらせ> 星 ◆Mhy5pZ/rlkさんが入室しました♪  (2024/10/19 10:43:33)

星 ◆> こんにちは、三人とも。（よくしゃべる人しかいない、って見回した。）   (2024/10/19 10:43:51)

エロガキ♂19b ◆> あ、星ちゃんだ～、こんにちは   (2024/10/19 10:44:07)

星 ◆> で、こちらが御注文の『視肉の糖球炒め』だよ。（どん、）   (2024/10/19 10:44:10)

蛍 ◆> いくら私が寝惚けるからってバレないと思った？(雑談しかしてないからね、私は穢れを知らない。(知ってる。)でも需要があるから…やぶさかでもないかも？尻尾振ってるのは可愛いから、軽く頭を撫でておこう。)   (2024/10/19 10:44:28)

蛍 ◆> こんにちは、星。……私の代わりに料理も持ってきてくれたみたいだよ(名前からしてだけど何かこう、怖くない？)   (2024/10/19 10:45:18)

エロガキ♂19b ◆> 星ちゃん、、まだ旅人は氷元素は使えないぞ！？   (2024/10/19 10:45:32)

栞葉るり> おはようございます〜。あ、昨日は思いっきり寝落ちしちゃいました…いつまでも付き合えるとかイキっておきながらなんとも情けない…(もぐもぐ、むちゃくちゃ。食べながら話すな)   (2024/10/19 10:46:28)

星 ◆> なんか……衰退した文明の……なんだろう。お肉。（ちゃんとご飯屋さんで出てるから美味しいんだけど、なんだろうねって。霊長目の耳道、鼻腔なんかに寄生する生き物らしいけど。）   (2024/10/19 10:47:59)

蛍 ◆> (流石にそろそろナタに行かなきゃ。なんか目が据わってる、今行くべきじゃない。)   (2024/10/19 10:48:15)

蛍 ◆> (！？)   (2024/10/19 10:48:19)

栞葉るり> いえ、寝落ちの恐ろしさを味わわせてあげようかな、と…♪(わたくしの前で寝落ちしたら1時間にも及ぶ、睡姦ログみたいな描写が残されていることでしょう。)あ、そこは理解してくれてるんですね…！(ぴた、と止まる尻尾。これは犬扱いされてる…？)  
(2024/10/19 10:48:24)

星 ◆> というわけで改めておはよう、19b、蛍、るり。   (2024/10/19 10:48:32)

エロガキ♂19b ◆> おはよう～   (2024/10/19 10:49:00)

蛍 ◆> うん、おはよう。(半眼で手を振ってる。)   (2024/10/19 10:49:13)

星 ◆> 睡眠周りの話題が尽きない界隈……。   (2024/10/19 10:49:39)

栞葉るり> まず、視肉ってなんですか。目ですか？それを糖球…？角砂糖の親戚でしょうか。それをなんで炒めようと思ったんですか？(高速詠唱)   (2024/10/19 10:49:41)

栞葉るり> マジであれですよ、気絶するまで起きてる。これも対策の一つかと。で、休みを丸々潰して後悔するんです…   (2024/10/19 10:50:15)

エロガキ♂19b ◆> ここに来る人たちはほとんど寝てないからね、仕方ないね   (2024/10/19 10:51:14)

星 ◆> えーと……『とある店の料理長が天外の化け物を倒して調理したもの。視肉は衰退した異種文明で、霊長目の耳道、鼻腔などの孔竅に寄生して、幻覚を作り出すことを好んでいる。』……だって。（フレーバーテキスト読んだ、）   (2024/10/19
10:51:15)

星 ◆> （多分トリコかなんかだな……。）   (2024/10/19 10:51:49)

栞葉るり> (捕獲レベル2か…ゴミめ…)   (2024/10/19 10:52:28)

星 ◆> （るりは捕獲レベルいくつ？）   (2024/10/19 10:52:42)

エロガキ♂19b ◆> (それ別の作品や...)   (2024/10/19 10:52:44)

栞葉るり> (捕獲レベル6090です、バトルウルフなので！)   (2024/10/19 10:53:31)

蛍 ◆> 胡桃は2回だけ寝かしつけられてるけど…流石にそんなログは残ってなかったはず。(多分なかった、なかったよね？何か怪しい雰囲気だけはあったとか。)…尻尾振ってて可愛かったのに。(犬扱い？違うよ、可愛いだけ。旅人はご馳走様ってお手を離した。)  
(2024/10/19 10:53:56)

星 ◆> （たっ……、かいのかよくわかんなかった。読んだ記憶が薄いから、）   (2024/10/19 10:54:12)

エロガキ♂19b ◆> (十分高いよ、、バケモンだよるりちゃん....)   (2024/10/19 10:54:43)

星 ◆> （ちなみに私は睡魔待ち。いつもか。）   (2024/10/19 10:54:56)

蛍 ◆> (グルメスパイザー持ち出される(？)前に私は落ち…)星から眠気を感じられなかったからもう少し粘る！(耐えた。)   (2024/10/19 10:55:53)

星 ◆> え……っと、大丈夫だよ蛍。自分の都合を優先して？   (2024/10/19 10:56:24)

栞葉るり> へぇ……というより、そういうログ？(放置してるので好きにしてください的なアレ)を残せるほうがレアだと思うんですよ、わたくし。何回かそういう部屋でめっちゃ濃厚なやつ残そうとして、何個か投下したあと『あっ…♡』とか返事されるとめっちゃ興奮しました(事後報告)
  (2024/10/19 10:56:34)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/10/19 10:56:38)

エロガキ♂19b ◆> 皆眠そうだな...いやほんと、話すたびにほぼ必ず睡眠の話が...   (2024/10/19 10:56:42)

エロガキ♂18Z> (眠気の話題だって思いながら)こんちはー   (2024/10/19 10:57:10)

栞葉るり> 毎晩深夜までここで盛りあってたらそうなるかと。数多持つ予言の日です(るり・ル・クルーゼ)   (2024/10/19 10:57:22)

星 ◆> 生きとし生ける者すべてに共通する話題だからね、睡眠。こんにちは。   (2024/10/19 10:57:52)

栞葉るり> (トリコ読め！！！！ビーム！！)   (2024/10/19 10:57:55)

蛍 ◆> (多分私と星は身長差あるから、背伸びしながらむすーーって頬膨らませながらジト目送っておくね。)   (2024/10/19 10:57:57)

エロガキ♂19b ◆> こんにちは～   (2024/10/19 10:58:01)

栞葉るり> ちなみに三日目くらいから幻覚見るらしいですね、不眠だと   (2024/10/19 10:58:10)

蛍 ◆> こんにちは、皆元気だね。   (2024/10/19 10:58:25)

栞葉るり> わたくしは2日が限界でした(人体実験)   (2024/10/19 10:58:27)

エロガキ♂18Z> んで1週間から壊れてきます   (2024/10/19 10:58:32)

栞葉るり> いらっしゃいませ～   (2024/10/19 10:58:52)

蛍 ◆> (幻覚体験はちょっと、興味惹かれちゃうから気をつけよう。)   (2024/10/19 10:58:55)

