/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年11月17日 21時34分 ～ 2024年11月18日 13時25分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/11/17 21:34:34)
エロガキ♂14C ◆> さっきは誤落下からのドタバタごめんなさい、と。改めましてこんばんは。（招かれるままお座敷へ。）   (2024/11/17 23:25:13)

花海佑芽> （梅おにぎりも用意）   (2024/11/17 23:25:36)

花海佑芽> いらっしゃいませ！   (2024/11/17 23:25:43)

胡桃 ◆> あ…私少しお腹すいたからおにぎりがいいかも。(19bさんのお話をおかず…おかず？にお茶会兼、夜食の会、)   (2024/11/17 23:26:20)

エロガキ♂19b ◆> 6月某所....学校にてプールの授業がありまして....小学5年生である私は勿論、、女子と着替えは別...男子組でじゃれあいながらきがえていたんです...   (2024/11/17 23:26:34)

エロガキ♂19b ◆> 私は当時着替えるときは必ず全裸になってそれから水着を着ていました.....   (2024/11/17 23:27:24)

花海佑芽> （もぐもぐ）   (2024/11/17 23:28:08)

エロガキ♂14C ◆> （なんとなくこの語りの邪魔をしてはいけないんだろうな、とは察しつつとりあえず佑芽おねーさんのお膝の上に頭だけお邪魔しながら聞くことにしよ。堂主のお膝だと多分19bにーさん発狂さるし。）   (2024/11/17 23:28:11)

エロガキ♂19b ◆> プールの授業が終わった後例外なく教室で全裸になったとき...事件は起こったんです。そう、、私が全裸になったタイミングでクラスメイトに教室から追い出されたのです....(ワーオ)   (2024/11/17 23:28:52)

胡桃 ◆> …っ！ん、っ！！(喉につっかえた、)   (2024/11/17 23:28:57)

おしらせ> エキドナ ◆r8To80Q7JEさんが入室しました♪  (2024/11/17 23:29:20)

花海佑芽> ぶえっほっ（アイドルにあるまじき噎せ方）   (2024/11/17 23:29:46)

エロガキ♂19b ◆> すぐに戻ろうと思ったが...扉を全力で押さえられ仕方なく前にある扉から入ろうと走ったその時！！奥の階段からとある影が....   (2024/11/17 23:29:58)

エキドナ ◆> おやいけない、、飲みたまえ、、？(湯呑みに入れた麺つゆを差し出すよ、←)＞胡桃さん   (2024/11/17 23:30:30)

エキドナ ◆> こんばんはだね、ただいまでもあるかな、？   (2024/11/17 23:30:49)

エロガキ♂19b ◆> そう、、女の子が上がってきてしまったのです....それも同じクラスの、何なら隣の席の女の子が....   (2024/11/17 23:30:49)

胡桃 ◆> (あ、フリーナ？今から審判できない？うん、うん…)   (2024/11/17 23:31:42)

エロガキ♂19b ◆> 抵抗むなしく...全裸の私と女の子の邂逅...ここから、起こることはただ1つ....   (2024/11/17 23:32:01)

胡桃 ◆> エキドナさんいらっしゃーい！(麺つゆ…ぽい、)   (2024/11/17 23:32:08)

エキドナ ◆> (この悪戯を友人にした時はいいリアクションだったんだ、←)   (2024/11/17 23:32:11)

エロガキ♂14C ◆> （酷い話すぎてツッコミ入れる隙もない）   (2024/11/17 23:32:13)

エキドナ ◆> おや、飲まないのかい、？(しれっ、)＞胡桃さん   (2024/11/17 23:32:52)

エロガキ♂19b ◆> 「キャァーーー！！｣という声と共に走り去る女の子...放心状態の私という地獄絵図が生まれてしまったわけ   (2024/11/17 23:33:04)

胡桃 ◆> ………(え、どうしよう…これこそ懺悔の部屋で語れる罪だよ。)   (2024/11/17 23:33:38)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが退室しました。  (2024/11/17 23:33:46)

おしらせ> フリーナさんが入室しました♪  (2024/11/17 23:34:05)

エロガキ♂19b ◆> クラスの男子は大爆笑...その後先生にみっちりお説教され、隣の席の女の子とは2日くらい気まずい空気が流れてましたとさ！！おしまい！   (2024/11/17 23:34:06)

エロガキ♂14C ◆> ……許されるか、許されないかで言えば……許されないよね、これ。   (2024/11/17 23:34:18)

フリーナ> き、君ってやつは…！！有罪！有罪だ！！(きゃんきゃん、)   (2024/11/17 23:34:29)

花海佑芽> 二日で済んでよかった！   (2024/11/17 23:34:40)

エロガキ♂19b ◆> 後日談！！2日後その事は一緒に仲良く編み物してました   (2024/11/17 23:35:09)

エロガキ♂19b ◆> ちなみに嘘偽り無い実話...はっは、、やばくね？   (2024/11/17 23:35:52)

フリーナ> さて…今回の罪状……を述べるのはやめておこう…。3人はどう思う？白かい？それともやっぱり黒かな？   (2024/11/17 23:35:59)

エロガキ♂14C ◆> とりあえず分かったのは19bにーさんは小さい時からおばかだったんだね……（溜息）   (2024/11/17 23:36:06)

フリーナ> (やばいどころじゃないよ！)   (2024/11/17 23:36:11)

エロガキ♂14C ◆> 面"白"いといいたいけど、黒に1票。（ぽーい）   (2024/11/17 23:36:51)

フリーナ> 君…才能があるんじゃないかい？   (2024/11/17 23:37:14)

花海佑芽> 被害者が許してくれたみたいなので白にします！   (2024/11/17 23:37:35)

フリーナ> つまり…全てはエキドナ、君に託されたというわけだね。   (2024/11/17 23:38:07)

エロガキ♂14C ◆> （そしてエキドナおねーさんに送ったと思った挨拶が消えてた……ごめんよお、こんばんはぁ…）   (2024/11/17 23:38:22)

エロガキ♂19b ◆> な、何て激アツな展開なんだ...   (2024/11/17 23:38:24)

花海佑芽> （というか一番悪いのって追い出した同級生では？）   (2024/11/17 23:38:48)

エキドナ ◆> 今見返したけども、、男の子のノリだろうか、？もうイジメの域じゃないかな、？だからと言って見せ付けるのは良くないね、。情状酌量の余地は認めよう、そこを踏まえて被害者がトラウマになっていないと言う事実を元にその時の彼は無罪で良いだろう、。  
(2024/11/17 23:39:00)

エロガキ♂19b ◆> (あ、気づきました？)   (2024/11/17 23:39:03)

フリーナ> 確かに…＞追い出し   (2024/11/17 23:39:09)

エロガキ♂19b ◆> (そこがね...お兄さんの暗黒の中学生時代に繋がって来るんです...ふっふっふ....)   (2024/11/17 23:40:09)

フリーナ> 今回の審判の結果…19bの彼は無罪、悪いのは追い出しにかかった男子諸君ということだね。…どうして僕はこの審判の為だけに呼ばれなくっちゃならないのさ(ぶつくさ言いつつ、フォンテーヌから来て、フォンテーヌへと帰る僕はもう明日は動けないだろうね…)  
(2024/11/17 23:40:52)

おしらせ> フリーナさんが退室しました。  (2024/11/17 23:41:17)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/17 23:41:28)

エロガキ♂14C ◆> ……とりあえずこれで19bにーさんの懺悔の時間は終わり？   (2024/11/17 23:41:32)

胡桃 ◆> 酷い話だったね…(何気ないきっかけが、こんな凄惨な会話に繋がるなんて思いもしなかった。私もバツが悪い、)   (2024/11/17 23:42:05)

エロガキ♂19b ◆> 終わり終わり！！これ以上はお兄さんの真っ黒な部分に時かにふれることになるよ！...トラウマレベルのね....   (2024/11/17 23:42:12)

胡桃 ◆> あ、14C君にさっきのお返事……って、こっちも消えちゃってたよ   (2024/11/17 23:42:30)

花海佑芽> やめましょう！＞これ以上は   (2024/11/17 23:42:56)

エロガキ♂14C ◆> あ、それは別にいいよー。何かのミスとかそーいうのじゃないならノープロブレムというか。>どーしゅ   (2024/11/17 23:43:01)

胡桃 ◆> ミスじゃないちゃんとした理由だから問題ないよ〜＞14C君   (2024/11/17 23:43:28)

エロガキ♂19b ◆> こんなこともあったから今のお兄さんがいるんです！！この！アルミホイル貼りのメンタルで何を言われても次の日にはケロッといぇぇぇい！！してるお兄さんがね！(キラッ)   (2024/11/17 23:43:36)

エロガキ♂14C ◆> じゃあ納得！（ごっくん！）   (2024/11/17 23:43:41)

エロガキ♂14C ◆> あ、全然関係ないけど佑芽おねーさんは久しぶりだったねー。少し会えないから心配してたけど、またよろしくねー。（ぽふぽふ）   (2024/11/17 23:46:12)

エロガキ♂14C ◆> （とりあえず19bにーさんはリセットが毎回かかってると思うことにした）   (2024/11/17 23:46:57)

花海佑芽> よろしく、だけど自然に膝のところ来るのはどうかと思う！！   (2024/11/17 23:47:01)

胡桃 ◆> よし！勝負部屋の方にカウントの…なんかあれ、追加した！(先攻-後攻っていう方式に一旦設定してみた、)   (2024/11/17 23:47:20)

エキドナ ◆> (部屋の端で椅子に腰掛けて紅茶を啜っておくよ、)   (2024/11/17 23:47:32)

エロガキ♂19b ◆> (お兄さんは打たれ強いからね...フッフッフ)   (2024/11/17 23:47:47)

胡桃 ◆> みんな自由すぎる…ここってモンドだっけ？   (2024/11/17 23:48:09)

エロガキ♂14C ◆> てへ、久々に甘えてみたかった！<自然にお膝へシューッ   (2024/11/17 23:48:23)

エロガキ♂14C ◆> おつかれー、先攻後攻で前後分けるなら確かに分かりやすいかも。>どーしゅ   (2024/11/17 23:48:55)

エキドナ ◆> モンド、、？(クッキー摘んで1口食べてて、首傾げて、)   (2024/11/17 23:48:56)

エロガキ♂19b ◆> 自由でいいじゃないか～...んー、、俺も誰かに...いや、キモイからやめておこう。   (2024/11/17 23:49:03)

胡桃 ◆> おやー？珍しく甘えたいの？   (2024/11/17 23:49:49)

エロガキ♂19b ◆> まっさか～...お兄さんは甘やかす側なんです～。いまもこれからもねー(ケラケラ)   (2024/11/17 23:50:30)

胡桃 ◆> モンドっていうのはね、テイワットにおける国のひとつなの。自由の国、風神様がいる国だよ   (2024/11/17 23:50:35)

花海佑芽> 珍しいんですか？（いつものことだと思ってた顔）   (2024/11/17 23:51:01)

胡桃 ◆> (これは絶対「まさか」な相手に甘やかされてその人の前でだけ泣いちゃうやつだねぇ…)   (2024/11/17 23:51:05)

エロガキ♂14C ◆> 甘えてみると幸せになれると思うよ（他人事）   (2024/11/17 23:51:05)

エロガキ♂19b ◆> モンド....ドラゴンスパイン....ウッ！ﾊｧﾊｧ(過呼吸)   (2024/11/17 23:51:36)

エキドナ ◆> 国なんだね、、   (2024/11/17 23:51:39)

花海佑芽> （いつの間にか日付を跨ぎそうな時間に！？）   (2024/11/17 23:52:30)

胡桃 ◆> …私もつい最近旅人に連れられてきたよ、ドラゴンスパイン…！   (2024/11/17 23:52:43)

胡桃 ◆> おっとほんとだ！私もお仕事終えたところだし…1度休もうかな〜？   (2024/11/17 23:53:01)

エロガキ♂14C ◆> 時間が経つのが早い…   (2024/11/17 23:53:17)

エロガキ♂19b ◆> お兄さんはいつも道理３時頃まではのほほーんとしてようかな～   (2024/11/17 23:53:47)

花海佑芽> また今度ねっ（膝をどかして）皆さんおやすみなさい！   (2024/11/17 23:53:50)

胡桃 ◆> 佑芽ちゃん時計が教えてくれなかったら気づいてなかったよ…   (2024/11/17 23:53:53)

胡桃 ◆> はーい！佑芽ちゃんおやすみなさい！(おててふりふり、)   (2024/11/17 23:54:07)

エロガキ♂14C ◆> ぐへっ（どかされ）おやすみなさーい（てふりふり）   (2024/11/17 23:54:20)

エロガキ♂19b ◆> おやすみー！   (2024/11/17 23:54:23)

花海佑芽> 時計です！（えっへん）   (2024/11/17 23:54:28)

おしらせ> 花海佑芽さんが退室しました。  (2024/11/17 23:54:32)

胡桃 ◆> …タックは強いけど、可愛い子だよね〜   (2024/11/17 23:54:50)

エキドナ ◆> おや、休むんだね、ゆっくり眠れる事を願っておくよ、   (2024/11/17 23:54:54)

エロガキ♂14C ◆> いいおねーさんだと思うよ。……タックルだけは、タックルだけは勘弁願いたいけど！   (2024/11/17 23:55:33)

エロガキ♂19b ◆> よい子はもう寝る時間～。   (2024/11/17 23:55:50)

エロガキ♂14C ◆> あんまり夜更かししてもだからねー。……最近夜更かしが多いって？しーらないっ   (2024/11/17 23:57:18)

エロガキ♂19b ◆> お兄さんは悪い人だから夜更かししても大丈夫なんですねぇ～   (2024/11/17 23:57:44)

胡桃 ◆> よーし！私も休まないと…誰かさん達に見習ってもらうために、ね！(じとー、じとー、約2名を見つめた、)   (2024/11/17 23:58:17)

エロガキ♂19b ◆> だってよ   (2024/11/17 23:58:47)

エロガキ♂14C ◆> ぼく悪い子じゃないからおねんねしまーす！   (2024/11/17 23:58:49)

エキドナ ◆> キミ達、言われているよ、？(男性陣へと目を向けておこうか、)   (2024/11/17 23:58:51)

エロガキ♂19b ◆> 14c！   (2024/11/17 23:58:53)

胡桃 ◆> 19bさんとエキドナさんのことだよ、ちゃんと眠れるといいね   (2024/11/17 23:59:14)

エロガキ♂14C ◆> （僕じゃなかった！？）   (2024/11/17 23:59:33)

エキドナ ◆> ボクは寝ているよ、？今日だってしっかり寝たさ、だから心配は無用だよ、   (2024/11/17 23:59:40)

胡桃 ◆> …？(14C君はこの子達よりしっかり寝てると思ってたけど…違うんだ？)   (2024/11/18 00:00:10)

エロガキ♂19b ◆> そうそう、、俺も寝てる...うん、、無理やりそのあのえーっと、2時間ぐらい？   (2024/11/18 00:00:20)

エロガキ♂14C ◆> （※ちゃんと寝てます）   (2024/11/18 00:00:28)

エキドナ ◆> 時間の短さは質でカバーするんだよ、？少しだけど寝落ちしていればしっかり休めているさ、   (2024/11/18 00:01:53)

胡桃 ◆> 私今気づいたけど！   (2024/11/18 00:02:10)

胡桃 ◆> 世にも珍しく、人とお休みの時間が被った！   (2024/11/18 00:02:24)

エキドナ ◆> おや、どうしたのかな、？   (2024/11/18 00:02:24)

エキドナ ◆> そうなのかい、？   (2024/11/18 00:02:55)

エロガキ♂14C ◆> ……うん、よかったね。おねんねしよーね。（堂主の服の裾ひっぱり）   (2024/11/18 00:03:02)

エロガキ♂19b ◆> まさか！？...ペロッ...これは添い寝の味！   (2024/11/18 00:03:21)

エキドナ ◆> そういう事か、、行ってらっしゃい、   (2024/11/18 00:03:37)

エロガキ♂14C ◆> 違うよ！？   (2024/11/18 00:03:47)

エロガキ♂14C ◆> 添い寝誘うなら僕はもっとダイレクトにさーそーいーまーすー！   (2024/11/18 00:04:36)

胡桃 ◆> 添い寝の流れを作られてる14C君…そういうイメージが定着してるんじゃない？   (2024/11/18 00:04:58)

エキドナ ◆> そうだね、いつかの日もお誘いされた記憶を思い出したよ、(くす、)   (2024/11/18 00:05:20)

エロガキ♂14C ◆> （添い寝ハンター14Cとかって肩書きついてそう）   (2024/11/18 00:05:26)

エロガキ♂19b ◆> これからは添い寝キングとでも呼ぼうか？(笑い堪えて)   (2024/11/18 00:05:27)

エキドナ ◆> (彼が添い寝ハンターならボクは、、なんだろうか、、)   (2024/11/18 00:05:55)

エロガキ♂14C ◆> （19bに枕投擲、寝てろ。）   (2024/11/18 00:05:59)

胡桃 ◆> 私は添い寝しよーって誘うこと……ないよね？記憶にないけど…   (2024/11/18 00:06:00)

胡桃 ◆> (14C君が反抗期に…！)   (2024/11/18 00:06:15)

エロガキ♂19b ◆> あらやだ！！なんて健全なお誘い！！14Cもなかなか、、ぐへぇ....   (2024/11/18 00:06:16)

エロガキ♂14C ◆> 誘われてる率は高そう。誰にとは言わないけど。<堂主の添い寝   (2024/11/18 00:06:26)

胡桃 ◆> (エキドナさんは添い寝の魔女じゃない？)   (2024/11/18 00:06:40)

エロガキ♂14C ◆> それじゃあ有言実行でおねんね！おやすみなさーい！   (2024/11/18 00:06:48)

エキドナ ◆> キミは見た事無いね、ボクの抱き枕にでもなってくれるのかな、？(くす、)＞胡桃さん   (2024/11/18 00:07:00)

胡桃 ◆> はーい、おやすみなさい！   (2024/11/18 00:07:00)

エロガキ♂19b ◆> (なら強欲の称号は貰っておくね...)   (2024/11/18 00:07:05)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/18 00:07:15)

エロガキ♂19b ◆> おやすみー！   (2024/11/18 00:07:21)

エキドナ ◆> (人肌の温もりも欲しているだけさ、ボクの強欲はボクだけの物だよ、)   (2024/11/18 00:07:37)

胡桃 ◆> (ちょっと添い寝したかったんだろうなぁって…微笑みながら見送っておくね、)   (2024/11/18 00:07:38)

エキドナ ◆> ゆっくり休みたまえ、   (2024/11/18 00:07:48)

胡桃 ◆> 私から誘うとしたら…相当気が参ってる時とか？つまり、ほとんど可能性はないに等しいかも。タイミングとか絶妙に被らないと中々起きないビッグイベント！って感じかも。   (2024/11/18 00:09:03)

エロガキ♂19b ◆> んま、万が一誘うとしても胡桃ちゃんが誘う相手は限られてるんじゃない～？   (2024/11/18 00:09:31)

胡桃 ◆> (勝負部屋に顔出すのもちょっとしたイベントになってることには目を瞑った…)   (2024/11/18 00:09:37)

胡桃 ◆> うーん…正直考えたことないんだけど……   (2024/11/18 00:10:12)

エロガキ♂19b ◆> 俺のなかでは候補が4人ほど...四天王だね！   (2024/11/18 00:10:47)

エキドナ ◆> (大人しく紅茶を啜って、、お代りを注いでおくよ、)   (2024/11/18 00:10:59)

エキドナ ◆> 2人は分かるのだけど、、残りは分からないね、、   (2024/11/18 00:11:40)

胡桃 ◆> 一応聞いてみてもいい？(にっこり、)   (2024/11/18 00:11:49)

エロガキ♂19b ◆> ここで言ったら面白くないでしょー？んま、、俺の中で特に胡桃ちゃんのことを思ってくれてる人っていうヒントをあげよう～。   (2024/11/18 00:12:48)

エロガキ♂19b ◆> あ、でもこれは言える俺は入ってない   (2024/11/18 00:13:44)

エキドナ ◆> (今言おうと思ったのに先手を打たれてしまったね、)   (2024/11/18 00:14:14)

エロガキ♂19b ◆> (さっすが俺！)   (2024/11/18 00:14:58)

胡桃 ◆> えー…じゃあ絶対私から誰か個室に誘うことしないようにしよっと。私が誘う時はお仕事の時だけにすれば目論見も潰せるからね！   (2024/11/18 00:15:07)

エロガキ♂19b ◆> それじゃぁ、つまんないじゃんー！！(ブーブー！！)もっと胡桃ちゃんのあんな一面みたい～！！(ジタバタ)   (2024/11/18 00:16:27)

エキドナ ◆> キミは、、自爆趣味でもあるのかい、、？当たり前のように今カミングアウトをしたよ、、？＞胡桃さん   (2024/11/18 00:16:56)

胡桃 ◆> …？用事のある場合しか人を呼びつけないのに、何をカミングアウトしたってことになるの？   (2024/11/18 00:18:02)

エキドナ
◆> 取り方次第だろうけども暗にお仕事の時だけに限定すると今言う事でこれまでは以外も含まれていたと取る人も居るだろうと言っておくよ、、キミにその意図は無いのだとしても、そう取る人は都合のいい所だけを聞いているものだよ、カミングアウトと言ったのは少し誇張だったね、。
  (2024/11/18 00:20:24)

エロガキ♂19b ◆> なるほど...なにも考えずにジタバタしてた俺滑稽だな...(ムクリ)   (2024/11/18 00:21:23)

エキドナ ◆> 捻くれた人間ならそう取る可能性もあると言うだけの話さ、   (2024/11/18 00:22:18)

胡桃
◆> 「元から」私が呼びつける理由なんて用事があるからっていうのはエキドナさんも知ってるはずだよね。その延長線で脱線したり、私が途中寝落ちしたこともあるけど。まるで私が今の今まで私欲のために人を呼びつけてたって風に捉えてたならこの際ハッキリさせておいてあげよっか。
  (2024/11/18 00:22:25)

エロガキ♂19b ◆> (....何だか雷が落ちる予感がしてきたな....耳栓しとこ。)   (2024/11/18 00:24:19)

エキドナ ◆> すまないね、ボクの言葉足らずと言葉選びの間違いだね、。ボクは知っているつもりさ、。ボクにその意図は無いよ、   (2024/11/18 00:25:46)

エロガキ♂19b ◆> あ、あの～？...2人ともすこーしだけ顔が怖いぞぉ？   (2024/11/18 00:33:16)

エキドナ ◆> そうかな、？吐かれる事はあっても怖いと言われたのは初めてだよ、、すまないね、外すとするよ、。   (2024/11/18 00:38:17)

おしらせ> エキドナ ◆r8To80Q7JEさんが退室しました。  (2024/11/18 00:38:32)

エロガキ♂19b ◆> ....ちょっとぉぉ！？んもぉ...んま、仕方ないか...お疲れ様！！   (2024/11/18 00:39:53)

エロガキ♂19b ◆> ( ;´･ω･`)   (2024/11/18 00:45:45)

胡桃 ◆> 普通に考え事が多て眠りそうだった…   (2024/11/18 00:46:22)

エロガキ♂19b ◆> や、、やっと！！....んもぉ！！お兄さんは胃が6個破裂したんだからね！！   (2024/11/18 00:47:17)

おしらせ> 栞葉るりさんが入室しました♪  (2024/11/18 00:49:29)

エロガキ♂19b ◆> おっと...お口チャックしとくね...   (2024/11/18 00:50:26)

エロガキ♂19b ◆> あ、さきに、こんばんは！   (2024/11/18 00:50:41)

栞葉るり> 寝ていいと思いますよ、無理せずに。それと、こんばんは〜。…言葉足りないのはまぁ本人の怠惰だったことにして、堂主はそろそろ限界かもしれませんねぇ。雑談ですらピリピリするのは追い込まれてる証拠です   (2024/11/18 00:56:11)

エロガキ♂19b ◆> 確かに無理せずに寝るのが1番だねぇ...   (2024/11/18 01:04:59)

栞葉るり> 一番寝てない人ですよね…ここに張り付きすぎてて生活リズム丸見えですし？   (2024/11/18 01:07:31)

エロガキ♂19b ◆> ごめんて....張り付きすぎは..まぁ、自制します、はい。   (2024/11/18 01:08:04)

おしらせ> 無言時間が25分を超えたため、胡桃 ◆QK46S7ElOBxyさんが自動退室しました。  (2024/11/18 01:11:27)

栞葉るり> まぁ堂主は眠いのを我慢してるわけじゃなかったんでしょうけど。なので、気にしなくて大丈夫ですよ   (2024/11/18 01:11:27)

エロガキ♂19b ◆> おーれは何にも気にしてないかも？んま...こういうときもあるよね。   (2024/11/18 01:12:59)

栞葉るり> こういうときしかないからこうなってるとも…(めそらし)ガス抜きがそろそろ必要かもしれませんねぇ…   (2024/11/18 01:16:07)

エロガキ♂19b ◆> あはは～痛いところをついてくるねぇ...俺にはそういうのは無理だから...任せた！！(他人任せ)   (2024/11/18 01:17:44)

栞葉るり> …わたくしがこうして此処に来るのはヨハネの四騎士や黙示録のラッパ吹きみたいなもので、何かの前触れが近いか何か起こったあとなので…まぁ、そういうことです。姿を見せておけば察するでしょう。それでは…！   (2024/11/18 01:19:49)

おしらせ> 栞葉るりさんが退室しました。  (2024/11/18 01:19:55)

エロガキ♂19b ◆> 不吉かも？あっは...怖いねぇ...んま、、お兄さんも一旦撤退だね....なにか爪痕を残しておこう....(壁に19bここにあり！と書いて)これでよし....   (2024/11/18 01:23:14)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/18 01:23:15)

おしらせ> 胡桃 ◆QK46S7ElOBxyさんが入室しました♪  (2024/11/18 01:45:45)

おしらせ> 栞葉るりさんが入室しました♪  (2024/11/18 01:57:50)

栞葉るり> はいはい、ねんねしましょうねー(ずるずる)   (2024/11/18 01:58:01)

栞葉るり> この人、寝相悪いですよね…寝ながら入ってくる人なかなかいませんよ？   (2024/11/18 02:07:10)

栞葉るり> はい出棺…！(葬儀屋へ送り返してやりますよ)   (2024/11/18 02:10:36)

おしらせ> 栞葉るりさんが退室しました。  (2024/11/18 02:10:46)

おしらせ> 無言時間が25分を超えたため、胡桃 ◆QK46S7ElOBxyさんが自動退室しました。  (2024/11/18 02:10:46)

おしらせ> エロガキ♂18Zさんが入室しました♪  (2024/11/18 04:27:03)

エロガキ♂18Z> おはよぉー   (2024/11/18 04:27:09)

おしらせ> 無言時間が25分を超えたため、エロガキ♂18Zさんが自動退室しました。  (2024/11/18 04:53:01)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/18 07:13:23)

エロガキ♂19b ◆> おはよう～！！っと   (2024/11/18 07:13:36)

おしらせ> グリムアロエ ◆Su57aCNa9wさんが入室しました♪  (2024/11/18 07:36:19)

グリムアロエ ◆> おはよう……♡   (2024/11/18 07:36:32)

エロガキ♂19b ◆> おはようー！   (2024/11/18 07:37:12)

エロガキ♂19b ◆> アロエちゃんが朝からこっちに来るのはなかなか珍しいねぇ～！もしかしてお兄さんに会いに来てくれたのかな？...何てね～   (2024/11/18 07:38:26)

グリムアロエ ◆> せっかくいるんだし、一発ヤっておこう♪って思っただけだと〜   (2024/11/18 07:40:12)

グリムアロエ ◆> けふんっ、だけだよ〜   (2024/11/18 07:40:23)

エロガキ♂19b ◆> お...勝負してく～？全然付き合っちゃうよ～？何ならせずにハメてもいいけどね(ケラケラ)   (2024/11/18 07:41:19)

グリムアロエ ◆> どっちがハメる側かははっきりさせておかないとね〜(ニヤリ)   (2024/11/18 07:42:45)

エロガキ♂19b ◆> ほほう...それじゃぁ勝負部屋いこっか～！エスコートはしてあげよう！(アロエの前に手を差し出して)   (2024/11/18 07:43:51)

グリムアロエ ◆> この雑談部屋だったの！？(そう言いつつも手を取り……)   (2024/11/18 07:44:48)

グリムアロエ ◆> ここっ！   (2024/11/18 07:44:53)

エロガキ♂19b ◆> 気付いてなかったの！？可愛いなぁもう！！んじゃいくよ～！   (2024/11/18 07:45:37)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/11/18 07:45:46)

おしらせ> グリムアロエ ◆Su57aCNa9wさんが退室しました。  (2024/11/18 07:45:59)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが入室しました♪  (2024/11/18 08:59:49)

エロガキ♂14C ◆> おはよーございまーす。さーて、月曜日だー。僕にはあまり関係ないけどね！   (2024/11/18 09:00:13)

エロガキ♂14C ◆> とはいえ週頭の朝から顔出しても誰かに会える自信は全くないけどさ。   (2024/11/18 09:00:48)

エロガキ♂14C ◆> ま、顔出し程度のつもりだったしひとまずはこれにてたいさーん。じゃーねー   (2024/11/18 09:11:51)

おしらせ> エロガキ♂14C ◆0ppa1.X0ssHPさんが退室しました。  (2024/11/18 09:11:54)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/11/18 12:03:02)

エロガキ♂19b ◆> 飯だぁぁぁぁ！(うるさい)   (2024/11/18 12:03:13)

エロガキ♂19b ◆> 学食のいいところって安くて量が多いとこだよね、コンビニで買う弁当と同じ値段で倍くらいの量があるのは本当に助かる...混むのがあれですけどね！   (2024/11/18 12:05:40)

エロガキ♂19b ◆> やーっと買えた...並びすぎなんだよなぁ、、アトラクションかよほんと...   (2024/11/18 12:21:04)

おしらせ> エロガキ♂15R ◆OZhV/nYN5dWKさんが入室しました♪  (2024/11/18 12:28:49)

エロガキ♂15R ◆> こんにちはっ！   (2024/11/18 12:28:56)

エロガキ♂19b ◆> おっと、こんにちは！   (2024/11/18 12:32:54)

エロガキ♂15R ◆> あ、あれ…？   (2024/11/18 12:32:55)

エロガキ♂15R ◆> あっ、居たっ！   (2024/11/18 12:33:08)

エロガキ♂19b ◆> ごめんごめん、飯食ってて遅れちゃったぜ、許してくれたまえ   (2024/11/18 12:33:24)

エロガキ♂15R ◆> ご飯っ！…まず怒ってませんっ！……今日のお昼ご飯は〜〜？(いつもの)   (2024/11/18 12:34:47)

エロガキ♂19b ◆> 学食の唐揚げ定食！   (2024/11/18 12:35:15)

エロガキ♂15R ◆> 美味しそうっ！   (2024/11/18 12:36:00)

エロガキ♂19b ◆> 学食は量が多いのがいいところ～   (2024/11/18 12:36:33)

エロガキ♂15R ◆> いつも思うどころか前も言った気がしますけど良く食べますね〜…量食べられなくてちょっと羨ましいっ   (2024/11/18 12:38:16)

おしらせ> クラリス ◆vp1gp540pWaYさんが入室しました♪  (2024/11/18 12:38:30)

エロガキ♂15R ◆> クラリスさんだ！こんにちはっ！   (2024/11/18 12:38:59)

クラリス ◆> こんにちは〜   (2024/11/18 12:39:15)

エロガキ♂19b ◆> お昼はがっつり食べる派なんです！！   (2024/11/18 12:39:18)

エロガキ♂19b ◆> クラリスちゃんこんにちは～！   (2024/11/18 12:39:35)

エロガキ♂15R ◆> お腹いっぱいだと動けなくなる……   (2024/11/18 12:39:35)

クラリス ◆> 安くてたくさん食べられるお昼で量を稼げるのは学生の特権ですよね〜   (2024/11/18 12:42:29)

エロガキ♂19b ◆> めちゃくちゃ混むのがあれだけどね！   (2024/11/18 12:42:53)

