/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月07日 09時26分 ～ 2022年12月09日 01時15分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

八重神子 ◆> 妾も昼間は暇なことが多い故客が来ぬ時はだらだらしておるしのぅ   (2022/12/7 09:26:27)
小春六花> おかしいなぁ……なんか、お米が確かに減ってるしなぁ……（常識ってどこから来てどこへいくんだろう。とりあえず追加の鮭は1切り身分焼いておきましょう。ってｼﾞｭｱｱｱ……って脂が楽しげに爆ぜる音を響かせながら。もともといたキャルちゃんの分は提供しつつ
  (2022/12/8 08:07:08)

キャル> 本当にブレないわね…。食欲を抑えた所でお腹の虫は抑えきれるはずもないんだから、さっさと少し分けてきてもらいなさいよ…。　ん、ありがと。(目の前に置かれる朝食に対して感謝の言葉を送り目の前で手を合わせるも、彼女の視線が気になりつつ…。)  
(2022/12/8 08:08:24)

ペコリーヌ> は……減った分のお米は大丈夫です！（何が大丈夫かは知りません）んー…なるほど…これは美味しいお魚ですね…この味を今度探しに行きません？（えへへ…おにぎりが美味しいですってはむはむ…油のいい音が食欲を掻き立て…こういう空腹はいいものですね♪）ほらほら、キャルちゃん美味しいですよ！（ありがとうございますってキラキラ、はむ…はむ…満面の笑みで鮭を堪能…んまぁ♪至福顔でもふもふ）
  (2022/12/8 08:14:40)

小春六花> やっぱり北海道のものはいいよねー。（焼き上がったはずのものは一体どこに……？目を離したらなくなっていた。何を言ってるかわからねーと思うが私もわからない。超高速だとか催眠術だとかそんなチャチもんじゃねー。など）いやー……朝からおかわりおーだーくるとはね……（自分の分をもぐもぐ）
  (2022/12/8 08:17:18)

キャル> はいはい、また気が向いたらね…。　虫や魔物料理でなければアタシはなんだっていいから…わかってるわよ、同じもの…んぐ。今食べてるんだから(変わらずグイグイと来る彼女を軽く相手にしながらご飯を堪能しつつ…。)   (2022/12/8 08:20:17)

キャル> 北海道モノ…？アタシ達がいる場所では聞かない場所ね(美味しいのであれば問題はないと、採れた場所に関してはあまり追求せずご飯を完食…。)ご馳走様。ぺコリーヌ…コイツの胃袋ってヤバいから注意はしておいたほうがいいわ。そうね…１週間分くらいの量であれば一瞬じゃないかしら。
  (2022/12/8 08:23:40)

小春六花> そそ、あ、流石に毒とかない普通のお魚だし焼いてるからそのへんもオッケー。　あと私別にコックじゃないからそんなにたくさんは作れへんのよ。なんとかして。知り合いでしょ（？）   (2022/12/8 08:25:18)

ペコリーヌ> ふぅ…とても美味しいです…（朝からこんなに食べられるのはとても満足、ペコリとお辞儀して）朝ごはんにしては少なめですけど、とても美味しくいただきました♪北海道って素敵なんですね、今度行ってみましょうか（うーんっと真面目にちょっと考えて）キャルちゃん、酷いです！確かにそれだけたべますが、人のお食事なのでそこそこにするんですよ。後で足りない分は取りに行けば完璧です！（手伝ってくれてもいいですよってキャルちゃんきらきら）
  (2022/12/8 08:25:31)

ペコリーヌ> 鮭を堪能しただけでも十分ですから！？足りない分はいつかキャルちゃんでなんとかするので！…じゃなくて、キャルちゃんとなんとかするのでっ   (2022/12/8 08:26:55)

キャル> まぁ流石に毒があるものいきなり提供されたらヤバイわ…。　いやいや知り合いだからってコイツの食欲を抑えるっていうのは無理！   (2022/12/8 08:29:33)

キャル> アンタだけでなんとかしなさいよ！アタシは関係ないっての。まぁ、おいしかったのは事実なんだけど…。   (2022/12/8 08:31:58)

小春六花> 一般女性満腹量なんですよ、それ。おかしいなぁ……（って真面目に首をかしげながら、けぷ、て自分は満足。量はむしろ割増だったのではー？って思ったりしつつ二人の漫才を眺めてよーってココアをずず……）   (2022/12/8 08:32:54)

ペコリーヌ> えへへ♪褒められちゃいました（照れ笑いしつつふうっと少し息をはいて）えー、いいじゃないですか。ほら、なんとかするために？（なんとかするために協力してくださいってキャルちゃんには目線向けて、のびのび）   (2022/12/8 08:37:37)

キャル> 食に関してはこいつはそういう物差しで測ってはいけない奴だわ…。勿論アタシもお腹いっぱい…。そっちの量の調整は間違ってはいないわ…。おなか一杯になったら少し眠たくなってきたかも…。ふぁ…(一般的には満腹になる量であっても当然、彼女はまだ足りない様子で…、そんな中眠たそうに欠伸をして背を伸ばして)
  (2022/12/8 08:42:22)

小春六花> だよねぇ……なにかこう、嫌がらせ的な事になってないならいいや。（おもてなしはちゃんとする派。まぁ、ここのロートルですしね！っておばあちゃん力を、見せつけつつ。）せっかくだけど、寝ていくー？   (2022/12/8 08:43:26)

キャル> 誰も褒めていないし、今回はアタシは手伝わないわよ…。ここでゆっくりさせてもらうから…。(目線を向けられるようであれば尻尾を振りつつ彼女から背け続けてみて反応を伺うためにたまに其方にも顔を向け)   (2022/12/8 08:44:28)

キャル> まぁ…嫌がらせは遭わないから大丈夫。まぁ、時々こいつのペースに振り回される事はあるけど…。なんとかできているわ。　そうねぇ…、食べてすぐ寝るのってあんまり良くない…とは聞くけど。いいわよね。   (2022/12/8 08:46:04)

ペコリーヌ> もー…キャルちゃんは（おもてなしはとても楽しく受けました♪感謝感謝です）それじゃあ、キャルちゃん、一緒に寝ましょう♪大丈夫す、今は何もしませんし（背中側からキャルちゃんをぎゅうっと抱きつき軽くもたれて）   (2022/12/8
08:47:32)

小春六花> 別に一日くらい悪いことしたってねー。へーきよへーき。（うんうん、って頷きつつ。体に悪いことはだいたい楽しいよー。って悪魔の囁き   (2022/12/8 08:48:03)

ペコリーヌ> 悪いことはたのしいですよー♪キャルちゃんキャルちゃん♪   (2022/12/8 08:50:04)

小春六花> ところで結局この大食いガールの紹介を誰かしてほしいなぁ！鮭娘とかでいいのかなぁ！？（なんて、ふと気づいて身内なのはわかった。）   (2022/12/8 08:51:16)

キャル> ちょっ…くっ付くなー…暑苦しくて寝れないじゃないの…。寝るといってもあんたと添い寝なんかしたら寝てる合間に骨がやられそうよ…。(抱きしめられると尻尾を立てて離れようとするものの無駄に有り余ってる力からは脱出することは出来ず…)  
(2022/12/8 08:51:50)

キャル> こいつはペコリーヌ…。さっきも見たでしょうけど…まぁ大食いでお人よしのバカよ。(抱きしめられていて拘束されているうちに彼女の自己紹介が必要であれば簡潔に答えて)…   (2022/12/8 08:53:26)

ペコリーヌ> …あ、ペコリーヌです、よろしくお願いいたしますね！（忘れてましたっ）もう、今日は何もしませんから大丈夫です♪（一先ず六花さんに紹介しましょう）   (2022/12/8 08:53:33)

小春六花> 大食いなことだけとてもつたわりました。（うんうん）あ、私は小春六花だよー。普段は声の仕事してまーす。   (2022/12/8 08:54:34)

ペコリーヌ> ともあれ…キャルちゃん添い寝…は諦めますけど、せめて一緒に寝ましょうよー（ふぁ、お腹いっぱいで満足です、ぐいぐいひっぱるようにして）   (2022/12/8 08:59:12)

キャル> まぁ…一緒に寝るくらいなら…。ただ必要以上に近寄ったら…抵抗はするわよ？多分。   (2022/12/8 09:01:33)

ペコリーヌ> 六花さん、ごちそうさまでしたっ、またキャルちゃんともおなはししてくださいねっ、とってもいい子なので（おそらくキャルちゃんそのまま寝るんでしょうしぐいぐい引っ張り何事もなく一緒にねる構えですっ）   (2022/12/8 09:04:09)

キャル> はいはい…ってなわけで少し反応が鈍いかと思うわ…。(愛用しているアイマスクをつけるとソファーで横になり)少しだけお休みってことで…。   (2022/12/8 09:08:47)

ペコリーヌ> あれ、そのままお昼寝モードじゃないんです！？   (2022/12/8 09:11:57)

小春六花> いえいえー。いつでもお話でもお部屋でも！私は他の人よりかは理性よりかなぁ！   (2022/12/8 09:14:08)

キャル> ふぁ…　おはよー…。かるーい昼寝だったんだけど。　思ったより周りは静かね…   (2022/12/8 09:34:39)

おしらせ> 無言時間が25分を超えたため、ペコリーヌさんが自動退室しました。  (2022/12/8 09:37:02)

キャル> ん、お疲れ様ね…。【席外す時はちゃんとPＬで伝えるべきだったわね…次から気を付けるわ。】   (2022/12/8 09:42:22)

小春六花> おつおつー。【まぁ、いなくなったらその時はその時だからへーきへーき！   (2022/12/8 09:42:55)

キャル> ぺコリーヌ、お疲れー…。　まぁアタシ達だけになったけど適当にゆったりとしようかしら…。【そう言ってくれると有難いわね…。とりあえず気を付けはするけど。】   (2022/12/8 09:45:08)

小春六花> キャルちゃんは今日は？休みでも取ってた感じ？（なんて、んぅーー…と背中バキバキさせながらすとれっちー）   (2022/12/8 09:58:20)

キャル> お昼からギルド活動…用事がある感じよー。　それまでは暇してる感じね。(身体を鳴らす彼女をぼーっと見つめながら会話を交わして)   (2022/12/8 10:01:38)

小春六花> なるそどねぇ……それじゃ…サボれるだけサボっていかないとねぇ……（と念入り目にストレッチしつつ。眠くていまいち頭回らないなぁ……と話題を探すように目線をうろうろ   (2022/12/8 10:07:23)

キャル> そうねぇ…。会話もするだけした感じはあるし…ちょっと部屋で好みの話とか…提案するけど。どうかしら？　頭は回りそうだし…？   (2022/12/8 10:09:03)

小春六花> ん、いいのー？私で良ければ全然付き合いたいかな？（ふむ、とわたしでよければーって軽く胸に手を当てては、お目が高い？というように…）   (2022/12/8 10:14:45)

キャル> ま、そういう話だけだから。特にヤるとかそういうのはないんだけど…。話題としてはアリなんじゃない？…　非公開でも大丈夫？   (2022/12/8 10:15:43)

小春六花> 時間的にもお昼から用があるならだいぶ微妙だろうしおっけーおっけー。　非公開でも問題ないよー。   (2022/12/8 10:17:17)

キャル> ま、そこらへんは調整できそうならするから安心なさい。建てたからそっちにいきましょ。   (2022/12/8 10:18:06)

小春六花> ん、まぁほどよくバランスは取ってねとだけ！はーいった！   (2022/12/8 10:18:33)

キャル> りょーかい。今こっちでも確認したわ。じゃああっちで。   (2022/12/8 10:18:55)

キャル> こっちは出るわね。それじゃあ…。   (2022/12/8 10:19:53)

おしらせ> キャルさんが退室しました。  (2022/12/8 10:19:54)

おしらせ> 小春六花さんが退室しました。  (2022/12/8 10:21:29)

おしらせ> 小春六花さんが入室しました♪  (2022/12/8 17:11:51)

小春六花> おじごどおわり゛ぃ………（のちゃ   (2022/12/8 17:12:04)

小春六花> 足りぬ足りぬはグルトがたりない……（と、のむヨーグルトをちゅいー…って吸い上げながら人の形を取り戻したり？   (2022/12/8 17:16:05)

小春六花> 最近毎晩ぽけってるせいで眠気がきっついなぁ……（すぴぴ   (2022/12/8 17:26:07)

おしらせ> アリアルさんが入室しました♪  (2022/12/8 18:10:02)

アリアル> やぁ、お疲れ様。環境に負けそうなアリアルさんだよ(ぐでー…っと転がり)   (2022/12/8 18:10:44)

小春六花> 何があったのアリアルちゃん……   (2022/12/8 18:15:19)

アリアル> いやなに、寒さと気圧差によるスタンド攻撃を受けていてね…   (2022/12/8 18:17:27)

小春六花> スタンド攻撃ならしかたないね……仕方無い……（たぶん……）   (2022/12/8 18:19:41)

アリアル> スタンドはスタンドでしか防げない故…小春くんも寝不足かい？   (2022/12/8 18:21:34)

小春六花> んだんだ……ポケットクリムゾンにじかんをふっとばされてる……   (2022/12/8 18:23:05)

アリアル> 厳選や育成によって睡眠が消し飛び寝不足という結果が残る…キングクリムガン…   (2022/12/8 18:25:01)

小春六花> この世にはレートが溶けたという結果だけが残るッ！！   (2022/12/8 18:32:35)

小春六花> とてもつらいスタンド攻撃なのよー…   (2022/12/8 18:33:00)

アリアル> 溶かしてしまったか…よしよし。今回の対戦環境は大変かい?   (2022/12/8 18:35:00)

小春六花> まぁまぁ…なのかなぁ？テラバの切りどころはまだよくわからないのと、考慮をつい忘れるかなぁ   (2022/12/8 18:39:14)

アリアル> あぁ、新しい機能だからねぇ…定石もないし与える影響も大きい。いやしかし楽しそうだ…   (2022/12/8 18:41:31)

小春六花> アリアルちゃんもそろそろ実ったかな♠️   (2022/12/8 18:43:21)

アリアル> ニャオハ立つな立つな…ボクはストーリーの半分くらい？かな。ちょうど欲しかった地面無効の鋼タイプと運命的な出会いをしたところさ   (2022/12/8 18:45:33)

小春六花> ニャオハがたったせいでトレーナーもタった。   (2022/12/8 18:46:48)

小春六花> 地面向こうの鋼って言うと、私が必死こいて色を探したあいつか……（緑になるアイツ）   (2022/12/8 18:47:47)

アリアル> ミミズズがたった   (2022/12/8 18:47:58)

アリアル> そういえば近くにドーミラーも居たね…   (2022/12/8 18:49:02)

小春六花> あー……どしょくちゃん   (2022/12/8 18:56:28)

アリアル> ヌシの時もインパクトが大きかったね…主に見た目の   (2022/12/8 19:00:22)

小春六花> （ラグナロクで見たって感想を持った話はできねぇ…！   (2022/12/8 19:01:11)

アリアル> …？あの見た目で結構重いのだよね。軽く見積もって持ち上げようとしたら腰をやりそうだ   (2022/12/8 19:04:40)

小春六花> いやぁ……なんでもなかとよ。　重さはあんまり見てないなぁ……そういえばニックネームとかは付ける派？   (2022/12/8 19:05:50)

アリアル> 旅パには付けてるね。レート用は気が向いたらでTCG由来のが多いかも   (2022/12/8 19:07:12)

小春六花> ほほー？どんなやつどんなやつー？   (2022/12/8 19:10:37)

アリアル> アチゲータにヘルバーナーとか、パーモットにバルチュリス、ミミズズにゼリーワーム、ナミイルカにキモイルカ…とかだね   (2022/12/8 19:13:16)

小春六花> 普通にカード名だった！（？）   (2022/12/8 19:13:56)

アリアル> カード名そのままだよ。割と有名どころの…イルカ、恐らく消す方法の方が元ネタだろうけど   (2022/12/8 19:15:20)

小春六花> どうなんだろうね…あいつの元ネタ…   (2022/12/8 19:15:35)

アリアル> 結構イルカそのものというか…あれだけモデルの作り方が違う気がするんだよね。妙に光り方が…   (2022/12/8 19:17:01)

小春六花> 何故かテカってるよね……わかる。   (2022/12/8 19:17:33)

アリアル> …と。気付けば結構経っていたか。ボクはお風呂に行ってくるよ   (2022/12/8 19:22:51)

小春六花> あ、はーい。いってらー！次はもっと実っててね！   (2022/12/8 19:24:03)

おしらせ> 無言時間が25分を超えたため、アリアルさんが自動退室しました。  (2022/12/8 19:48:25)

小春六花> どうして、アンドロイド組は私に充電托していくんですか。(ずるずる   (2022/12/8 19:50:21)

おしらせ> 桜衣乃さんが入室しました♪  (2022/12/8 19:56:14)

桜衣乃> こんばんは〜、っと言ってもまだ帰り道なんですが……。おやおや、六花ちゃん！朝は楽しかったですね〜、あの方々は今夜も来られるでしょうか…♪   (2022/12/8 19:58:21)

小春六花> んー、どうだろー？時間見つけてきたいとは言ってたし、来てくれるかもしれないけどもー。ペコちゃんはよくわからないかなぁ？（また御飯作ってたら来るかもね、くらいのきもち。おばんー、って手をかるくふりつつ）   (2022/12/8 20:11:25)

桜衣乃> そうですか〜。とにもかくにも、このお部屋に興味を持ってもらえたみたいで嬉しいですよね…♪朝すれ違っちゃったあの御方ともお話できるといいな〜……♡（かわいかったなぁ…って、ぽわぽわ…。手を振りながらお部屋に入りますっ）   (2022/12/8
20:14:06)

小春六花> きっと来たくなれば来るさぁ。雑談メインっぽいけどまぁ、なかよくしてあげてちょーだい？　ペコリーヌさんは……本当にわからない……（くるのかしら。誰かプリコネキャラが来たら気づいたら混ざってそうかなぁ…とか思ったり思わなかったり）  
(2022/12/8 20:16:35)

桜衣乃> もちろん喜んで♪あらゆる女の子のニーズに応えるのが私です！流行りのモノについては疎いので、みなさんの会話についていけないことはありますが……。（貧乏金無し…）ペコリーヌさん、って言うんですね…♪私、いっぱい食べる女の子って好きなんですよね…♡見ててこう、こっちまで幸せになるというか…♪
  (2022/12/8 20:22:20)

小春六花> なんでもなんて言い過ぎると大変よー？まあ、うん……先立つ物は……頑張って用意しようとしか……（うん……）たしかそのはずー。キャルちゃんと同郷だねぇ。私も別に遊んだことはないから詳しか知らないんだけどね。   (2022/12/8 20:24:54)

桜衣乃> 大変だなんてとんでもない♪三度の飯より女の子の笑顔が私の主食ですから！…とはいえ、お腹は空くものなので、少ししたらご飯を食べに行こうとは思っています…。（ぐぎゅるるる……。）うー……私もみなさんと遊んで、みなさんのこともっと知りたいんですけどね〜……。会いたくて会いたくてなんとやら…。
  (2022/12/8 20:31:29)

小春六花> そうなのかな……そうかもな……。アリアルちゃんとかとも話せるといいね……（私の前にしか来てない気がするとかなんとか）とりあえずその震えが栄養失調じゃないことを私は切にお祈り何とやらだよ……   (2022/12/8 20:34:54)

桜衣乃> アリアルちゃん！そういえば最近はタイミングが悪いのか全然会えてないですね…。私もアリアルちゃんとはまたお話したいんですが…。　ふふ……ありがとうございます……。大丈夫ですよ、ネズミ荘は毎食カレーで生きていけますから！あ、カレーのお話をしたら余計におなかが……（がくっ…）
  (2022/12/8 20:42:38)

小春六花> 声仲間で投稿者仲間だから割と話は会うのか来てくれるのがとても嬉しいところ。（うむうむ）　なんかインドの使い手とかいる？大丈夫？ロピアでナンでも買って差し入れしようか？   (2022/12/8 20:44:18)

桜衣乃> そういう趣味の合う方はお話も弾みそうで羨ましいです…。最近は私の同業者はいないので、もっぱら聞き専なところがあるというか……　別にインドの使い手というわけでは。だってカレーですよ？三日置いてもおいしい、継ぎ足してもっとおいしい、そうやってネズミ荘のカレーは受け継がれてきたのです…！……まぁ全部食べられてなくなっちゃったこともありましたけど…。はぁ……だ、だめぇ…っ……カレー食べたくなってきちゃいました……。（涎ちらー…）
  (2022/12/8 20:52:11)

小春六花> まぁ、先行投資だけは高いからね……わたしたち。乗り越えればあとは安いけど。　イノちゃんの同業って地下アイドルなの？きららなの（？）　まぁ、カレーは腐りにくいけどさぁ……秘伝の継ぎ足しするようなメニューではなくてですね……。　なんかこう…作って欲しいってことぉ？（んえあ
  (2022/12/8 20:57:05)

桜衣乃> 地下っ……まぁ、地価みたいなものですよね……。番組も華やかさがないし、たまに受けるのはエッチな企画ばかり…。そう思われても仕方ありません…。きららは、その、お友達ですから（？）　六花ちゃんに作ってもらえるなら嬉しいところですが……流石に帰り道なので、そろそろちゃんと食べに行こうかな…。ふふ、ちょっと外しますね、また遅い時間に〜…♡
  (2022/12/8 21:07:11)

おしらせ> 桜衣乃さんが退室しました。  (2022/12/8 21:07:18)

小春六花> お店あるといいねー。またー。（とりあえず手を振りつつ。   (2022/12/8 21:07:54)

小春六花> んぅ……さて、なにしよっかな。ポケモンかなー？（とすいっちすいっちって自分のカバンをゴソゴソと）   (2022/12/8 21:17:46)

小春六花> 暇なら入ってくるぶんには相手するよー？（なんてあくび混じりに…   (2022/12/8 21:42:59)

おしらせ> 桜衣乃さんが入室しました♪  (2022/12/8 22:03:58)

小春六花> 帰ってきたのは、イノタカでした。   (2022/12/8 22:04:20)

桜衣乃> もーどりましたっ。(まんぷく、まんぞく…)…あれっ、私の他には誰も来なかった感じでしょうか？あらら、今日は寂しい夜になっちゃうかもしれませんね……。　…でも私はおーいお茶派です。ちょっと渋い方が好きだったり…。   (2022/12/8
22:05:53)

小春六花> んー…まあ誰も来てないねぇ……ROMは結構いたみたいだけどもー。（一人でゴロゴロ床で存在感が消えるタイプの公式六花）まぁでも最近は1時ころにバーっと集まって4時位まであれそれしてない？ログ見る感じ。   (2022/12/8 22:08:14)

桜衣乃> みなさん夜型ですよね〜。私はあの時間までなると、きっと寝落ちてしまうのでおすすめしないというか、案の定みなさん寝落ちてるみたいなので…もっと健康的に、こっちのお部屋でお昼からしてほしいですよねっ。私も混ざりたいです！　じゃなくて、夜は寝てくださいね！(すいみんだいじに、と筆で書かれた掛け軸を壁に掛けて…)
  (2022/12/8 22:11:41)

小春六花> 私も流石にあの頃には普通に寝てるから……それでも眠いケド……（みんな若いよねー。ってしみじみしじみ）んー…んーー……難しいねぇ……（色々と、って目を細めたりしつつ。いのちゃんのおなかをぽんぽこつんつん   (2022/12/8 22:16:01)

桜衣乃> そういう六花ちゃんだってまだJKでしょうに……実際みなさんいつ寝てるんでしょうか、私は心配で心配で、夜も2時までしか起きてられません…。(おなかつつかれたら、くすぐったいですよぅ…と…)……えぇ、本当に難しいですね……。丸一日おやすみもらって、丸一日女の子達とえっちしたいですよねー…。
  (2022/12/8 22:21:22)

小春六花> 健康的JKだからさ……朝早いし夜も早いのよ……。（すやすぴ。今日のパパはどなたーなんて）まぁうん…そうね？結構しんどいケド……楽しいとは思うよ……？   (2022/12/8 22:25:26)

桜衣乃> ……引き気味にしてますけど、平日の日中からお部屋でしっぽりしてる六花ちゃんも中々じゃないですか…？ナニしてるか存じませんが……(じとー…)   (2022/12/8 22:29:20)

小春六花> 特に何もしてないからぁ！来る者拒まず去るまでに犯してるだけじゃん？別に私悪くないっていうか！そういう目的の相手とかしかやってませーんー！（誘われたからですぅー！って全力の弁護）   (2022/12/8 22:34:31)

桜衣乃> 私だって一日中お部屋に張り付いて、お昼からこんなお部屋に来ちゃう悪い子や、エッチ目的の淫乱ガールズと一日を棒に振るほどレズセしたいのに…。…って、やっぱり犯してるんじゃないですか〜！六花ちゃんのバリタチ〜！(…あれ？私最近誘われる側になった覚えがない…？と、石化しかけ…)
  (2022/12/8 22:38:42)

おしらせ> ライネスさんが入室しました♪  (2022/12/8 22:40:42)

小春六花> 基本貼り付ける程度に仕事を熟してるから……えらいのは六花ちゃんの処理能力とやるきのなさ！（ぶいっ）まぁ、ほら。滅多に来られない人にいい気持ちになって欲しいのはとても本意だからさー。詰めてる以上はね、求められたらもてなすのよ。  
(2022/12/8 22:41:17)

ライネス> ふむ、つまり話を纏めると…君達二人が今から一日中…正確には明日の昼頃まで奥の部屋で楽しんでしまえば全て解決するというわけだね♪（従者に扉開けさせつつ…左手で作った輪に、右手の人差し指をすぽっ♡と）   (2022/12/8 22:41:53)

小春六花> どっちかてと、誘われたいらしいしライネスさんがちょっとしっぽり1ハメいこうぜ、って誘ってあげて明日の昼頃までバッチバチにレイプしてあげたら解決すると思うんだよね。（って、いらっしゃーと片手をあげて挨拶しつつ。間違いはていせい）  
(2022/12/8 22:43:35)

桜衣乃> そうですよねー、求められたらもてなす…私も気持ちよくなる…両方やらなくちゃいけないってのがレズの辛いところですよね。あ、私ライネスちゃん相手にはレズレイプするって決めてるんで、ネコになる気はありませんよ？(こんばんは〜♡今日は遅くなりましたね、お部屋もまだ静かですがどうぞごゆっくり〜♡)
  (2022/12/8 22:45:06)

おしらせ> アリアルさんが入室しました♪  (2022/12/8 22:46:52)

アリアル> やぁ、寝起きのアリアルさんだよ   (2022/12/8 22:47:19)

ライネス> おい、何か凄い不穏な事を言われてる気がするんだが…あれはどういう事かな六花？（やぁやぁーと手を振り返しつつ）…んんっ、衣乃もこんばんは。私は静かなのも嫌いではないよ（静かだとゆっくりできるしね）   (2022/12/8 22:47:25)

小春六花> アリアルちゃんおかーり。（手をふりふり）いやー、そっくりそのままお返しするわとしか言えないなぁ……   (2022/12/8 22:48:26)

おしらせ> 中野一花さんが入室しました♪  (2022/12/8 22:48:41)

中野一花> ふぁぁ…ねむいねむい…   (2022/12/8 22:48:53)

桜衣乃> あ、噂をすればアリアルちゃんも！こんばんは〜、だんだん夜って感じがしてきましたね〜♡この人の入りよう、もっと来そうな予感…♡(お久しぶりです〜、とおててふりふり…)   (2022/12/8 22:49:01)

アリアル> うむ、ただいまー(手を振って)イノ君とは久しぶりだね。それと初めましてだね   (2022/12/8 22:49:16)

ライネス> 今寝起きなのは寝れなくなる奴では…？初めましてアリアス、私はライネス・エルメロイ・アーチゾルテ。ただの魔術師さ。   (2022/12/8 22:50:09)

ライネス> アリアル…！この私が初手でミスをするとは……くっ、油断してた   (2022/12/8 22:50:39)

中野一花> …ライナス〜♪   (2022/12/8 22:51:06)

桜衣乃> そうですね♪これから騒がしくするんですよ♡あ、六花ちゃんも一緒にどうです？この子受け側でも良い声で鳴いてくれると思うんですが♡(静かな夜もいいものですね♪淑女の方々とゆったり過ごす夜も優雅でロマンチックです♡)   (2022/12/8
22:51:41)

アリアル> お～魔法使い族。ふふっ、よろしくね   (2022/12/8 22:51:56)

桜衣乃> 一花さんもこんばんは〜、……あらあら、みなさんだいぶ眠そうですね。ちゃんと夜に、しっかり寝ないとダメですよ〜？   (2022/12/8 22:53:20)

小春六花> エンディミオンってこと？（絶対違う）アリちゃんもいいけどミリちゃんもいいよね。私はどっちも好きだよ。（何の話）。　んー…どうしようね？　あと中野さんもこんばんー。   (2022/12/8 22:53:53)

ライネス> 悪かったってば義姉上！！眠そうにしてたのにそういう所だけは敏感にぃー！＞一花　お、おい。衣乃君？なんだか随分と私に勝手なイメージを持っていないかい…？（んん？って眉根がぴくぴくとしつつ…今まさにゆったり過ごすが脅かされようとしてるんだが…？）＞衣乃　私としては魔法と魔術には…そうだな、カレーとシチューぐらいの違いがあるから一概に魔法使いと呼ばれる訳にいかないんだが…この場だと些細な事か。よろしくね
  (2022/12/8 22:55:23)

アリアル> 惑星に都市を建てよう…うむうむ、妹も良いのだよなぁ。と…失礼した、細かい区分があるのだね   (2022/12/8 22:57:03)

桜衣乃> え？いやですねぇ、私の心の声を読まないでくださいよ〜♪ ライネスちゃんをわからせようとか、私のこともお姉様呼びさせようとか、そういうつもりはありませんから…♡
……ん、六花ちゃんは乗り気じゃなさそうですね…。ざーんねん、ですっ。(ふむ…と、部屋の密度を見て…)   (2022/12/8 22:59:58)

中野一花> (くたぁ…とソファの背もたれに寄りかかるようにしながら、部屋の様子を観察して)   (2022/12/8 23:01:24)

桜衣乃> …ちょっと人数増えてきましたし、このままじゃ満員になるので…今日は私が上に行っちゃいますね〜。きっとあぶれた子が入ろうか入るまいか悩んじゃってるので…♪ 私にご用の方はいつでもどうぞ〜♪(と、2階の方へとステップしていき…)   (2022/12/8
23:02:01)

おしらせ> 桜衣乃さんが退室しました。  (2022/12/8 23:02:12)

小春六花> まぁ、ねー？本命さんがいるところにカバディ（意味深）ができるほど恥知らずじゃないとかなんとか。みたいなね。（色々あるのよ、色々。って感じのこはるめんたる）   (2022/12/8 23:02:35)

ライネス> いや、構わないさ。こちら側の価値観の様な話だしね。妹…意外にここに来る子達って姉妹が居る事が多いイメージができてきたな（よく、そんな話を聞く。と）＞アリアル　心を読むまでもなく口に出してるんだよ！（完全にこっちに向けて受け側でもーとか言ってるじゃないか！）いってらっしゃい。精々上でもいい出会いがあるよう願っているよ（ある意味助かった…のだろうか…？）＞衣乃
  (2022/12/8 23:03:58)

おしらせ> 滞在時間が360分を超えたため、小春六花さんが自動退室しました。  (2022/12/8 23:11:55)

ライネス> なるほど…。これが張り付きの結末か。   (2022/12/8 23:12:16)

アリアル> ふむ、案外そういうものか…(?)なむなむ   (2022/12/8 23:14:54)

おしらせ> 小春六花さんが入室しました♪  (2022/12/8 23:16:45)

小春六花> いや、しんじゃないですけどね！   (2022/12/8 23:16:52)

ライネス> 何、なら今姿が消えたのはトリックだったと！？…私には、こんなリアクション芸は合わないな。おかえり六花   (2022/12/8 23:18:32)

中野一花> ……(ふぁぁ…ねむいねむい)   (2022/12/8 23:19:23)

ライネス> 義姉上、そう…ふわふわしてるなら布団に篭ってきてもいいんだよ？（眠い時に寝るのが一番心地いい筈だよ？って）   (2022/12/8 23:21:00)

中野一花> ん〜…抱き枕が欲しいなぁー？(チラチラ見ながら両腕広げて)   (2022/12/8 23:23:26)

おしらせ> キャルさんが入室しました♪  (2022/12/8 23:25:26)

小春六花> キャルちゃんやっほー。おかえり、用事おわった？   (2022/12/8 23:25:54)

キャル> ほんとにこの時間帯は人が沢山いるのねー…。　とりあえず…邪魔するわね。   (2022/12/8 23:25:58)

キャル> ん、終わったからいるのよー。   (2022/12/8 23:26:21)

小春六花> おっけおっけー。誘う相手はよりどりみどり、2階に今朝あった人もいるけど、どする？   (2022/12/8 23:27:24)

