/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月07日 17時28分 ～ 2023年03月08日 22時08分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

倉田ましろ> んむぅー（むすぅっとして）   (2023/3/7 17:28:31)
中野三玖 ◆> ……ん…ぁぁ   (2023/3/7 23:18:36)

絹川みちほ> 三玖ちゃんは眠そう？   (2023/3/7 23:18:49)

上杉らいは> みちほさんはじめまして！よろしくお願いします   (2023/3/7 23:19:02)

絹川みちほ> こちらこそよろしくね   (2023/3/7 23:19:26)

後藤 ひとり> (ぽやん)   (2023/3/7 23:23:59)

絹川みちほ> （ぽやん）   (2023/3/7 23:30:55)

上杉らいは> （ぽやん）   (2023/3/7 23:31:06)

後藤 ひとり> 脳が死んでます……   (2023/3/7 23:31:42)

絹川みちほ> ひとりちゃんも三玖ちゃんもらいはちゃんも眠そうだったからね   (2023/3/7 23:32:17)

中野三玖 ◆> (こやん)   (2023/3/7 23:33:21)

後藤 ひとり> ねむねむ…   (2023/3/7 23:34:01)

絹川みちほ> みんなで寝ます？（混ざりたい）   (2023/3/7 23:34:33)

後藤 ひとり> 寝たいかも……   (2023/3/7 23:36:32)

絹川みちほ> 皆お疲れ様ですね……なでなで   (2023/3/7 23:37:33)

上杉らいは> 眠いです…   (2023/3/7 23:37:42)

中野三玖 ◆> ……ねようかな   (2023/3/7 23:39:13)

後藤 ひとり> 寝ます？……   (2023/3/7 23:40:11)

絹川みちほ> じゃあ、寝ましょうかね…？   (2023/3/7 23:40:24)

上杉らいは> 寝ましょう   (2023/3/7 23:40:36)

絹川みちほ> またらいはちゃんとも会える事を願って   (2023/3/7 23:41:13)

後藤 ひとり> はい……   (2023/3/7 23:41:45)

上杉らいは> 私も皆さんにまた会える機会を楽しみにしています！   (2023/3/7 23:41:59)

後藤 ひとり> 私もです……♪   (2023/3/7 23:42:28)

絹川みちほ> 私も♪   (2023/3/7 23:42:41)

中野三玖 ◆> …わたしめ   (2023/3/7 23:44:37)

中野三玖 ◆> 私も…   (2023/3/7 23:44:41)

上杉らいは> それじゃあ皆さん！おやすみなさい。良い夢を   (2023/3/7 23:45:05)

おしらせ> 上杉らいはさんが退室しました。  (2023/3/7 23:45:08)

絹川みちほ> おやすみなさい   (2023/3/7 23:45:12)

後藤 ひとり> お疲れ様です……ではまた   (2023/3/7 23:46:45)

おしらせ> 後藤 ひとりさんが退室しました。  (2023/3/7 23:46:46)

絹川みちほ> お疲れ様   (2023/3/7 23:46:56)

絹川みちほ> 私は皆を見送ってからにしますね   (2023/3/7 23:49:16)

中野三玖 ◆> …じゃあ…おやすみ   (2023/3/7 23:51:16)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが退室しました。  (2023/3/7 23:51:19)

絹川みちほ> おやすみなさい   (2023/3/7 23:51:29)

絹川みちほ> それじゃ、私も。おやすみなさい   (2023/3/7 23:51:44)

おしらせ> 絹川みちほさんが退室しました。  (2023/3/7 23:51:47)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/3/8 10:35:43)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んふう……   (2023/3/8 10:36:00)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 洗濯物に蜂が紛れ込んでるって割とあると思ってるんだけど…なうでそれが起こって指がいててて   (2023/3/8 10:38:41)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> こう、こうね…メンタルが強くないからこそ。自衛に徹しすぎて。1人で疲弊してんのかなぁ。(ぐぇ~…話し相手こいこいって野垂れ死にモード   (2023/3/8 10:42:42)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 無性に誰かに甘えたい気分だ~。でも、お昼から外でなきゃ行けないのもめんどいし…(ぐでん。   (2023/3/8 10:44:57)

おしらせ> 胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙさんが入室しました♪  (2023/3/8 10:47:53)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> 今日も今日とてだらけきってるわねえ、ガヴリール！　とっても強い構ってアピールを感じたから、この大悪魔 胡桃沢＝サタニキア＝マクドウェル（マクドウェルの発音がとってもいい）が様子を見に来てやったわよ！（ばーん！）  
(2023/3/8 10:49:02)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> やること全部終わったから、だらけててもいいだろ~。今日も今日とて喧しいな、お前は(ちょいちょい。と手招きして見せながら、じぃ~。)   (2023/3/8 10:50:43)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> やること終わってなくてもだらけてるじゃない、あんたは（視線にたじろぎつつも、手招かれるままにホイホイ近づいていく大悪魔）   (2023/3/8 10:52:16)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 今日は正真正銘、終わったからだらけてんだぁ(むぎゅ…寄ってきたサターニャをそのまま抱きしめ。むんず。と顔埋めて   (2023/3/8 10:53:38)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> むぐ…。……はー、もう仕方ないわねえ。まぁ？　この大悪魔を前にしたら？　四肢を投げ出し平伏してすり寄ってしまうのも仕方ないってやつなのかしら、あっはっはっは。天使を屈服させるこの快感はたまらないわ！（きゃんきゃん喚きつつもしっかりと抱きしめ返して、背中をさすっておいてあげる）
  (2023/3/8 10:56:24)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> うっさい。黙って抱かれてくれたいいから…。適度に撫でるのも……ん~……そうそう。忘れないように~…♪(ぷぅ。と口を尖らせて声を上げながら、背中さすられたらもっと心地よさそうに。ぁ゛~…って恍惚の顔でそのまま溶けだしてしまいそうなほどに甘えてみるっ.
  (2023/3/8 10:58:39)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> ……なんだか体よく扱われてる気もするけど――いや、むしろこれはペットを愛でる感覚…？　つまりガヴリールは私のペット？　ふふ、ふふふふ、悪くない、ああ、とっても悪くないわ！　よしよしー、いい子でちゅねー、ふふふふふふふふ（リアル犬とはまぁ色々因縁はあるけれども、犬のようなガヴリールは素直に可愛いと思うし。むぎゅーっと抱きしめ、頬ずり頬ずりー）
  (2023/3/8 11:01:13)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 勘違い悪魔…。お前の方が都合よく使われてるんだよ……(じぃ~。と目を向けたまま、抱きしめ顔をずり、すり…。犬でも呼んでビビらせても面白そう…とか呟きつつ。にんまり。くす、くす……♪)   (2023/3/8 11:02:56)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> 勘違いなんかしてないし！　現にあんたは私のデビルズアクションによって骨抜き状態になってるじゃない！　というかそうやって擦りつきながら言ってもまったく説得力ないわよ！（ぴーぴー怒りつつも、まぁなんやかんやで突き飛ばしたりはしない。犬とかけしかけられたら逃げるだろうけど…。非難するようにほっぺむにーっと引っ張る）
  (2023/3/8 11:06:13)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あたしは自分の意思で甘えただけだ~。ん、これじゃたりない。って顔してるな……？(ほっぺ摘まれうぎぎぃ~。やり返そうと策を模索しつつ。どてん……ゆっくりソファへと寝転がるように2人1緒になって動いて   (2023/3/8
11:11:47)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> 足りないってなにがよ、そもそも甘えてきてるのはガヴリールであって私は別に――（ころん、とソファに転がされる悪魔。目をぱちくりしてる間に、くっついで抱き合ったまま寝転がってる形）…な、なな、なによ、お昼寝の時間ってこと？？？
  (2023/3/8 11:14:20)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> お昼寝しようと思ってたけど、サターニャ来ちゃったしな~あ(くす、くす。って不敵に笑漏らしながら、そのまんま体こすりつけあってみて   (2023/3/8 11:22:24)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> …な、なに、別に昼寝すればいいじゃない。寝るまで居てほしいなら居てやらないこともないけど……ぁ、ちょっと…な、なんかやらしいわよ…！？（体を擦りつけられると、さっきとは違う空気にぞくぞく…と体が震えちゃう。喘ぐような声を相手の耳元に漏らしちゃってて、逃れようとか弱く身を捩る）
  (2023/3/8 11:23:55)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> えぇ~。せっかく来てくれたのに、タダで帰すのは味気なくね~…？(ふぅ~…って、サターニャの首筋に息をふきかけながら、逃げられないようにしっかり抱きしめてほーるど…しちゃう♪   (2023/3/8 11:28:14)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> にぁっ…。ふ、普段はただどころか色々ふんだくって行こうとする天使のくせに…！？　ゃ、ぁ…っ♡（運動神経自体はいいはずだけれど、吐息を吹きかけられると途端に力は抜けちゃって、ふにゃふにゃに…。自分より小柄な相手に完全に抑え込まれちゃってて、子犬のように瞳うるませて、不安げにじぃーっと見つめちゃう）
  (2023/3/8 11:31:14)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> なぁに。軽くいじるだけだし。子犬に噛まれる程度で考えてればすぐ終わるって……♡(とかいいつつ。からたをわき、わき…撫でるようにしていじりながら、「ここがいい…？それとも、見られたくなかったりする…？」なんて。一応の配慮のつもりで……っ
  (2023/3/8 11:42:20)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> こ、これはせくはらってやつじゃないかしら…SSS級デビルズアクション…！　でも残念だったわね、この未来の大悪魔たるサターニャ様が簡単に屈するなんて――ゃ…ぁ…ふぅ…♡　ふーっ…♡（体をまさぐられると敏感に身を震わせて、声を漏らしながら体を捩り続ける）――べ、別にここでいいわよ…。奥の鍵もってないし……変わらないわ……。
  (2023/3/8 11:44:55)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> そ。んじゃぁ。ここでするから。大悪魔様は、簡単に堕ちたりしないよなぁ……？(なんてあくどいお顔しながら、つん、ふに……♡首筋から、だんだんしたに手を滑らせ。ついには胸元へ手を伸ばしてふにり、運動するくせにワガママな体型を楽しむよう、おててをまさぐらせたままに
  (2023/3/8 11:47:59)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> ゃ…ぁ…――ぁ、当たり前、でしょ…！　見てなさい、気がついたら立場が逆転してる恐怖を思い知らせて――ひぃ、あ…んんん…♡♡（胸元に触れられて、ぴくんっ♡　背が浮いて、反応しちゃう。乳房はそれなりに大きく、それでいてハリと弾力がある。その先端はツンと少し膨れちゃってて、敏感になってて…軽く手のひらがこすれるだけで声が漏れてしまう）
  (2023/3/8 11:50:05)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> の割に、からだは正直に反応見せてるんだケド……♡ん~…何を期待してたんだ…？(ふに、ふに…掌でひとしきり遊び終わったら、その先端の蕾をくに…とつまんで刺激…♡声を漏らすサターニャを面白がりつつ、ふぅ~。と、更に息をふきかけて)
  (2023/3/8 11:52:58)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> う、うるさい！　これも全部、あんたの油断を誘うため、なんだから…くぅ、ふっ…んん"っ…♡♡（刺激されて、つままれて、声をあげて悶えちゃって…♡　はー…はー…♡♡　って、口元から舌を垂らしたまま、情けなく喘ぎを繰り返しちゃってる。無意識のうちに、もじ…♡　と内股すり合わせるよう腰をよじってて…♡）
  (2023/3/8 11:56:00)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 油断かぁ~。いつも油断してる分、こういう事になるとやる気出ちゃうんだよね~…♡(息荒らげてる……♡とか思いながら、ちゅ…♥と唇をくっつけて甘々キス…♡よじって動く腰に、普通の女子ならありえない硬いモノがあって…♡  
(2023/3/8 12:01:57)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> あ、ふ…ん…んん…♡♡（割りと簡単に流される方なので、キスなんてされちゃうと…うっとり目を細めて、ちゅ、ちぅ…あむ…♡　ってこちらから甘えるように唇に吸い付き、啄んじゃう…♡　――けれど腰、股ぐらに押し付けられる硬い感触には目を見開いて――）――え、え、え…ちょ、ちょっと、なんか…ついてるんだけど……？
  (2023/3/8 12:05:13)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 【ちょっと電波の関係で返信遅れるかも知れない~っ。その時は待っててくれたら嬉し~】   (2023/3/8 12:06:55)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> 【りょうかーい】   (2023/3/8 12:07:24)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> え、知らないの……？上位天使、上位悪魔になると、異性の生殖器、つけれるようになるんだぞ~…？あれ、大悪魔のサターニャ様は、そんなことも知らなかったのか~…？♡(根も葉もない嘘。だけど、彼女のプライドを煽るのにはもってこいの材料で。わざとそっちを意識させるように腰をぶつけ。ずり、すぅ~り♡アピールするようにおしつけちゃう)
  (2023/3/8 12:11:36)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> え、そ――し、知ってるに決まってるじゃない！！！　わ、わ、私だってやろうとすれば（たぶん）できるし！　で、でも、え、つまりこれで、その……えっと……――えっち、するの……？（口元を手で覆いつつ、不安げに、じぃ…って見つめちゃう。体は雄のソレを擦り付けられて反応しちゃって、あまぁいじゅくじゅくした感じがお腹の奥に広がって、下着の中濡らしちゃってる…♡）
  (2023/3/8 12:14:32)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 寝る前に、溜まったの1回くらいサターニャにぶつけてから寝てもいいかな…♡って感じかな~？♡(不安げに見つめる彼女の不安を増長させるような言葉。だけど、「天使と悪魔で子作り…♡なんて。響きが悪魔的だろ~…？」と。下着の中をぐすぐずに濡らしている様子を見て、服を脱ぎ下ろし、大きなそれを顕にして…♡)
  (2023/3/8 12:23:02)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> っ…っっ……（余裕綽々な相手に反して、こっちはまぁとっても不安で――煽られてもすぐには乗っかれなくて、相手の体を凝視したままで。――でも別にイヤ、というわけでもないから、脱がされるのも抵抗できずに……。悪魔の種族とは裏腹にほとんど穢れのしらない下半身。割れ目はぴたりと閉じていて、そこからいやらしく甘ったるい蜜を溢れさせていて……）　――ら、乱暴には、しないで、ね……？
  (2023/3/8 12:25:08)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> さぁ~……？それは、サターニャの反応次第…♡(ウブな彼女とは対称的に、遊びまくったおかげで手馴れているコチラ。自分のソレも顕にすれば、ちゅ…♡と、その2箇所でキスをさせるように押し付け。背中をとんとん。落ち着かせるように指すってやって……♪)
  (2023/3/8 12:30:01)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> んん、ん……むぅぅ…バカぁ……♡（ニヤニヤと見下されるのに噛みつけ無いのが悔しくて、けれど不安なのも大きいから強く出られなくて…。――相手のそれが割れ目に押し付けられ、浸されると、ぴくん…♡　震えて…はー…はーっ…♡　って息を乱しながら、すがるようにガヴリールの腕を掴んで…見上げて、涙目の視線を絡ませていって…。――それでも拒絶はしないように、脚、広げて、相手の腰が押し付けられるの、受け入れちゃう）
  (2023/3/8 12:32:27)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 大悪魔様、いただきまぁ~
っす…♡(涙目の彼女をしっかり抱きしめ。脚を開いて待つ、その割れ目…ちゅ♡と押付けたまま、ぐぅぅ~♡ゆっくり押し込んでいけば、「痛かったらアピールしろよ…♡」って。優しく声掛け。頂く割には優しく接して…♡   (2023/3/8 12:41:26)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> くぁ、ぁ…ぁ"っ――あ…♡♡　ぁぁ…ぁー……♡♡♡（ぎゅううう♡♡と固く抱きしめ返して、相手の背中に指を立てる。今まで指以上のものを受け入れたことのない狭い穴は、きゅぅぅぅ♡　とガヴリールのそれを締め付けていく。――相手の耳元で弱々しく喘いで、身を震わせて、それでも引き離そうとはしなくて…必死にしがみつき、喘いでいく…♡）
  (2023/3/8 12:43:22)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ほぼ悪魔になりかけてる堕天使に墜とされちゃうなぁ……？♡(耳元で「よ~し、よし…♡」って、甘く語り掛けながら、腰を前後に揺らし始め。サターニャのその締り上がる中をぐい、ぐぃ…♡押し広げながら慣らしていく…♡)  
(2023/3/8 12:52:15)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> あぁ、ん…ぁ、ぁ…♡　い、言うな、ぁ…♡♡（きつくきつくガヴリールのものを締め付けてるから、はっきりとその形や熱を感じられる…♡　あ、いま繋がってるんだ――なんて殊勝に女の子っぽいこと考えちゃうと、きゅぅん♡　と子宮が疼いて、ごぽりと蜜が更に溢れていく♡♡　指以外異物を知らなかったその穴はガヴリールの形を覚えていっちゃってて、それを歓迎するように子宮が降りてきちゃってる♡）
  (2023/3/8 12:54:33)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 強がり言うとこも可愛い…♡ふぅ…♡ほら、ほらぁ……♥(とん、とん…♡疼いて滑りが良くなってきた所へ、軽く腰の振りを強めて。奥から降りてきた子宮とキス…♡蜜をもらすその穴をかるくいじめて…♡)   (2023/3/8
12:58:58)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> あぁ、あ、あ、ぁ、ぁっ♡♡　ゃ…これ、だめ…ぁぁ…♡　だめ…♡♡（すきになっちゃう――♡　なんて呟いて、甘く鳴き続けちゃう♡　子宮をノックされて、マーキングされる度にぞくぞくっ♡♡　って体が震えて、相手の存在を自分に刻み込まれてるみたい♡♡）
  (2023/3/8 13:01:06)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> だめ、ぇ……？♡あは、ほんっと可愛いやつ…♡(背中をしっかり抱きあげたまま、とん、とん…♡ぱちゅ、♡スピードを上げて一定の速度で突き上げながら、奥の子宮すらずん、っ♡と押し上げてびっくりさせちゃうようにして…♡)  
(2023/3/8 13:08:49)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> んぃ…っ♡♡　あぁ、ぁ、ぁ…ソコ、ぁ…おかしくなる…ぅ♡　ソコ、だめ…だめなの…っ♡♡（ぐぢぅ♡　って自分のお腹の奥、子宮が強く圧迫されて、潰されて、ガヴリールのそれの味とか熱とか覚え込まされちゃう…♡♡　でも同時に幸福感が広がっちゃってて、両腕両脚、ガヴリールにからみつけるようがっちり抱きついちゃってる…♡）
  (2023/3/8 13:10:39)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ……♡かわぃ…♡素直になれば可愛いんだから……♡(しっかり咥えこませたまま、ぎゆぅ~。とん、とん…♡押し付けあったまんま、ついには唇まで奪って恋人のようなあまあまセックス……♥)   (2023/3/8 13:21:54)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> あ、む…んん、ん…ふぅぅ、ん…ふ…♡♡（唇を深く奪われて、強く抱きしめられて、お腹の奥突かれて…もうメロメロになっちゃってる…♡♡　この情事限りの感情かもしれないけれど、すき、すき♡　ってうわ言のように何度も囁いちゃって、膣内は相手の子種をせがむように強く締め付けていっちゃう♡）
  (2023/3/8 13:24:20)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ん、ぉ……♥ぁ、いく…っ♥でる、ぅ♡((メロメロになってるサターニャのこと、しっかり抱きしめ、こっちもすきすき♡って囁きつつ。締め付けに合わせて腰の振りはつよめに…♡中に出す……♡つて意識させてしまって♡)  
(2023/3/8 13:30:52)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> あぁ、ぁ、ぁ、ぁ、ぁ――出して、来て…♡　ガヴリールの、奥にいっぱいほしい…♡♡♡（中に出される、ってことがどういう意味かわかりつつも、考える前にそんなこと言っちゃって…♡♡　固く抱きしめて、耳元に囁いて、鳴いて…子宮の入り口、ガヴリールの受け入れるみたいに緩んで、ぱくん♡　って先っぽ咥えちゃってる♡）
  (2023/3/8 13:32:15)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> で、る……ぅ~♡♡(ダメ、なんて懇願されても止める気なんてなかった…♡そのまま、子宮のつよめにキスさせたら、びゅるるぅ~~…♡びゅ、びゅぐるぅ~♡無責任な種付け行為…さいっ…きょうに悪魔的行為…♡最上位のデビルズアクションを、堕ちかけの堕天使がやっちゃってる♡
  (2023/3/8 13:38:53)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> あ、ぁぁ…ぁ～……♡♡♡（びくんっ♡♡　と強く跳ねて、のけぞって――舌を垂らしたまま呆けた声漏らし続けて、種付けされる雌の悦びに感じいっちゃう…♡♡　悪魔が天使に穢されちゃうっていうアベコベな状況…♡♡　でもガヴリールに染められるならそれもそれでいいかな、なんて普段じゃ絶対しないであろうとろけた思考で…♡♡　きゅん、きゅん♡　子宮は嬉しそうに強く疼いて、妊もうと頑張っちゃってる…♡♡）
  (2023/3/8 13:41:14)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ……はぁ゛~…♡き、っく…♡♡きもち、ぃ~……♥(そのまま、身体をずりずり…♡余韻に浸りながらも擦り付けあってラブラブに…疼きを停めない子宮に、「排卵しちゃお……♡」って、促すみたいにぐり、ぐり…とグラインドして。孕ませるためにって必死になってる…♡)
  (2023/3/8 13:45:53)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> ひ、ぅ…♡　はぁぁぁ、ぁー…がゔりーるぅ…♡♡（ちぅ、ちゅー♡　って相手の唇に吸い付き、しゃぶりついて、媚びるように…♡♡　子宮をぐりぐり圧迫されると、こちらも応えるように腰をよじって、中で粘膜絡みつけていっちゃう…♡♡　眼の前の天使に完全に堕ちちゃってて、すきすき♡　って♡》
  (2023/3/8 13:48:18)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> さたーにゃ、ぁ…♡(ちゅ、ちゅぅ~…♡って甘えながらも、子宮の口を叩きながら、あま、あま…♡ヒダヒダ擦りあげて、ぷち、ぷち…♡ぺったり引き伸ばしながら刺激与えて言って……♥)   (2023/3/8 13:56:03)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> んぁ、ぁ…ぁ"♡　ふぁ…♡（いつの間にかピストン再開してて、ぐぢゅ、ぐぢぅ♡　って奥いっぱい耕されちゃう♡♡　お互いの腰回り液体でべちゃべちゃになってて、室内にも強い熱気とか匂いとか広がっちゃってる…♡♡　それに理性は完全に溶かされてて、ガヴリールのせーしが欲しい、いっぱい愛してほしい♡♡　って、腰すりつけちゃう♡）
  (2023/3/8 13:57:46)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ぁ~……♡すき。堕ちたら完全によわよわじゃんか…… ♡(子宮に熱烈アタックしたら、1発出しただけなのに堕ちきっちゃって、こっちのこと求めるような締め付け…♡にま、にま……♥って笑いながら、サターニャのおまんこを独り占め……ぇ♡
  (2023/3/8 14:04:07)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> はー、はー…♡♡　意地悪いわないでよぉ♡　はー…ふぅぅ、ふぅ…すき、ぃ♡♡（自分の中がガヴリールでいっぱいになってて、いっぱいマーキングされてて…熱くてぽかぽかして、嬉しくて幸せで…にへぇ♡♡って表情もとろけきっちゃう♡♡）
  (2023/3/8 14:06:19)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> すき……♥あは、サターニャ完全に堕ちてる…♡(さっきは初めてだったから…♡だけど。。欲望が収まるところを知らなくなった今。腰の振りは強まるばかり。そしてついには胸までいじり始め。すき、すき♡ってアピールぅ♡  
(2023/3/8 14:13:01)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> あぁ、ぁ、あ、あっ♡　はげしっ――っ♡♡　はぁぁ、深い…イイ…♡♡　すごく、きもちいいとこ、キてる…ぅ♡♡（枕にしているソファにしがみついて、けれどそれは完全に体を相手の前にさらけ出してる状態♡　ぐぢゅ、ぐちゅ、ぐぢゅっ♡♡　っていっぱい突かれるのも全部受け入れて、胸を揉みくちゃにされても全部好きにさせちゃって…♡♡　何もかも差し出しちゃってる♡♡）
  (2023/3/8 14:14:59)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ちょっと強めに行く、ぞ…♡(ぐぅう~……♥と体勢を変えて行ければ、サターニャの後ろからしがみつくようにして、子宮やgスポット…♡その周辺にあるポルチオさえも、硬く張り詰めたおちんぼのさきでぐ、ごりゅ…♡押し潰して刺激与えちゃう…♡
  (2023/3/8 14:17:20)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> んぐっ♡　ん、ん"♡　ぁぁ、ぁ"♡　それ、すご――ぉ…ぉっ♡♡（ぐり、ごりゅ…♡♡　穢れの知らなかった膣内はもう完全に踏み荒らされ、踏みにじられて、ガヴリールのちんぽケースになっちゃってる♡♡　相手の思うように開拓されて、広げられて、でもそれが何よりも幸せで、とろっとろに表情緩ませちゃう♡♡）
  (2023/3/8 14:18:57)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んぁ……ふぅ~ぁ♡えへ、はは…♡(高笑いし始めれば、そのままサターニャのおまんこでちんぽ扱くたけに…♡表情緩ませたまんま、ちゅ、ちゅ…♡ぐぅ~り。胸いじりながらおちんぽと子宮でキス、♡)   (2023/3/8
14:26:54)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> んぁ、ぁ…ぁぁ、ぁ"～…♡♡（びくっ…・びくっ――♡♡　のけぞり、震えて…舌を垂らして、軽くアクメしちゃって…それ、繰り返して…♡♡　ガヴリールにちんぽ擦りつけられて、愛撫されるたびに乱れてしまう…♡♡　もう全身汗だくで、その体を相手に擦り付けて、愛おしくて…♡）
  (2023/3/8 14:28:47)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> んぁ……ふぅ~は♡あは、かわぃ…♡すき、すき(汗まみれなまま、「眠気とか大丈夫…？♡」って、こっちはまだまだ遊べそうな雰囲気醸しておいて…♡愛しい視線を向けながら、おちんぽぶつけてオナホ扱い……♥)   (2023/3/8
14:35:23)

胡桃沢=ｻﾀﾆｷｱ=ﾏｸﾄﾞｳｪﾙ> ふぅ、ふぅぅ…♡♡　じ、十五時が、リミットかも……（キスして？　ってせがむように舌先垂らしながら相手のほうに顔を寄せて、きゅん、きゅん♡　ちんぽ締め付けていく   (2023/3/8 14:38:10)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おっけ、ぇ…♡あたしもそろそ、だから……♥(キスのオネダリにこたえるよう、ちゅぅ~…♡って唇重ね。ちんぽ締め付けられるのに合わせて腰をぶつけ返して♡)   (2023/3/8 14:39:44)

