/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2020年11月22日 21時58分 ～ 2020年12月19日 21時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

アツコ・カガリ> こんばんはっ！！   (2020/11/22 21:58:52)
(2020/11/29 10:07:55)

紲あかり> ゆかりさんっ...謝るっ...謝るからぁ...もう煽らないからっ...ゆかりさんの貧乳もういじらないからっ...助けてっ...(ゆかりに再度助けを求めて)時雨さんも...やめてくださいっ、乳首いじめないでっ...止めてくれたら何でもするからっ  
(2020/11/29 10:11:13)

結月ゆかり
◆> 今更謝ったってもう遅いですよ、あかりちゃん。それに貧乳って言ってる時点でだめです。ほら時雨さん。まだ大人しくなってないですよ〜…♪(時雨さんの腰周りに手を通したあと、膨らみへと手を乗っけて、すりすり…まるであかりちゃんを襲うように仕向けるようにちゃって
  (2020/11/29 10:18:07)

時雨> ひ... (触られると初めて他人に触られる感覚に身をよじって。気持ちよくて肩を奮わせながらあかりちゃんのおっぱいわしづかみにするともみこんで   (2020/11/29 10:21:39)

紲あかり> 時雨さんっ...止めてくださいっ...止めてくれたら本当に何でもするからっ...ね？(そう言って時雨に止める様に説得しようとして時雨の手を退けようとして)   (2020/11/29 10:22:21)

結月ゆかり ◆> ふふ、ほら時雨さん、「なんでも」していいみたいですよ？(理性飛びかけてる時雨に追い打ちをかけるように耳打ち。先っぽをくりくり。とこねくり回すように触り始めて   (2020/11/29 10:27:25)

時雨> じゃあ、おっぱいはやめてあげるね(先っぽ触られながら気持ちいい声で耳打ち。目元潤んできて気持ちよさに腰揺れちゃう。小さな声を漏らしながらも代わりにこっちしようか、というとタイツ優しく割いて下着に触れてなでなでして   (2020/11/29
10:30:20)

紲あかり> 時雨さんっ...ちょっと、どこ触って...(体を起こして時雨の方を見て再び仰向けになって)はぁ...はぁ...(いじめられるの気持ち良いかも...なんてゆかりに聞こえない様に呟いて)   (2020/11/29 10:35:20)

結月ゆかり ◆> さぁ、てと。2人だけで楽しんで貰っては困りますよ〜(明らかに感じているあかりちゃんと、楽しそうな時雨さん。それを見ながら自分も混ぜてもらおうと時雨の下腹部に手を置いて   (2020/11/29 10:41:27)

時雨> あ...(下腹部におかれる手。ほほを赤らめて汗をちょっぴりかいて。割れ目を触るては止めず入り口を愛でるように触りつつもゆかりさんは、僕をどうしたいの？なんて余裕を抱いたふりをしながら聞いてみて   (2020/11/29 10:43:37)

紲あかり> んっ...ゆかりさんっ...時雨さんを止めてください...(そう言いながら赤面させてショーツをぐっしょりと濡らしながら訴える)ゆかりさんっ...本当に謝るからっ...何でもするから許してっ...   (2020/11/29 10:47:14)

結月ゆかり ◆> ん、止めるなんてそんな勿体ないことを。私も混ざって楽しむんですよ…♪(時雨の下腹部をすりすり。撫で回しながら、こちもショーツを脱ごうと手を下腹に持っていきつつ   (2020/11/29 10:52:20)

時雨> あかりちゃんってもしかして僕と同じ？(下着をずらせば大切なとこ露出させちゃって、割れ目に指を埋めると引っ掛かるの探そうとして。下腹部すりすりされると目をそらして肩揺らしてぼ、僕その、したことないんだけど...と先走って告白して  
(2020/11/29 10:56:21)

紲あかり> 何でこんな酷いことするんですか...(その場からうつ伏せになって逃げようとして)ゆかりさんが混ざったらもっと酷いことになるんじゃ無るじゃないですか...   (2020/11/29 10:57:41)

結月ゆかり ◆> もっと酷いことって。そんなのなりませんよ〜((指先を這わせたままま、そのままあかりちゃんに答え、それからもうおっきくなったソレを時雨に後ろから抱きつく形で押し付けて   (2020/11/29 11:05:02)

時雨> ......   (2020/11/29 11:06:16)

時雨> (おっきくなったそれおしあてられると恥ずかしくてもじもじ。自分もやんわりあかりちゃんに覆い被さると堅くなったそれあてがって   (2020/11/29 11:07:06)

紲あかり> (時雨を一度退けて体を起こして時雨さんの大きくなったものを見て口が緩み涎を垂らして、無言で時雨さんの下着を素早く脱がして口で軽く舐めて)   (2020/11/29 11:08:47)

結月ゆかり ◆> ふふ。あかりちゃんももうその気ですね…♪(強引に押しのけてから口で舐め始めるあかりちゃん。一旦後ろに寝転がり、2人の絡みを見つめるような形になって   (2020/11/29 11:10:53)

紲あかり> んっ...(奥まで咥え込んで舌を使って舐めて刺激し、上目遣いで時雨を見つめて)   (2020/11/29 11:15:12)

時雨> ん(あかりちゃんのお口の感触に腰を揺らし、心地よくて小さくあえいで。ゆかりさんを見るとほんのり切なそうにしつつもゆかりさんの下腹部に触れると割れ目やんわりなでなでして   (2020/11/29 11:15:15)

結月ゆかり ◆> ん…っ♡(あかりちゃんの攻め方が大胆で、それ見つめると自然と自分の右手がモノへと向かい。1人で動かし、甘い声を上げるようになっていて。加えて割れ目撫でられると、口元に手をあてがってんっ。と声を我慢していて   (2020/11/29
11:19:58)

紲あかり> はぁ...はぁ...時雨さんっ...(ある程度舐め終えると口から離して時雨をそのまま押し倒して跨がる様にして時雨の上に立って自分で割れ目を広げてそのまま挿れようとして)   (2020/11/29 11:20:35)

時雨> ん...あかりちゃん...(顔を赤らめつつも童貞捨てちゃうんだー...とほんのちょっぴり高揚。どきどきしつつもゆかりさん可愛い。とゆかりさんの割れ目ねちっこくさわり   (2020/11/29 11:22:51)

結月ゆかり ◆> んっ…♡ぁ、しぐれ、しゃ、ん♡(顔を真っ赤に染めながら手で声を防ぎ、だけど漏れる吐息を重ねながら、手の動き派より一層激しく。2人の行為が始まりそうなのを見て、興奮隠せずにいて   (2020/11/29 11:24:28)

紲あかり> んっ...(ゆっくりと腰を落としていって、最後まで入ると自ら腰を上下させて、最初から激しく動かして)んっ...あっ...時雨さんっ...気持ちいっ...はぁ...ゆかりさんっ、興奮しちゃってるんですか?ゆかりさんって貧乳だけど感度だけは良いですよねっ...
  (2020/11/29 11:28:47)

時雨> ひ...♡(にゅくにゅくと肉に包まれると腰が跳ねて。初めての性行に蕩けるような幸福を感じつつも二人に名前呼ばれると耳までほてって、指先の動き激しくしていき   (2020/11/29 11:34:56)

結月ゆかり
◆> し、しぐれひゃ、ぁ…♡(すっかり蕩けきった目で、体もトロトロになりつつ、あかりちゃんの言葉にカッチリきてしまったのか、あかりちゃんの腰をぐ。と掴み。位置調整。おしりの穴にしっかり入れれる位置に調整すると、「腰の動きがなってません」と意地悪っぽく言葉をかけ、かけた手で腰を上下にもっと動かしてやり、おしりにも刺激を
  (2020/11/29 11:37:34)

紲あかり> えっ...ちょっ...ゆかりさんっ!?んっ...やだっ...腰動かさないでっ...(ゆかりさんに意地悪されて少しイラッとしつつ)ゆかりさんの馬鹿っ...胸だけじゃ無く頭も無いんですかっ...(腰を動かされて力が抜けきっていて)  
(2020/11/29 11:42:42)

時雨> き♡ひぃ♡(腰使いが急に上手くなるとあえぎ声は溢れて小さく悲鳴に似た声が漏れて。先走り溢れさせながらもなかでそれがゆれて♡   (2020/11/29 11:44:26)

結月ゆかり
◆> なんですか…♡私のことを散々煽っておいて…責められるとすぐに音を上げるんですか……♡♡(あかりちゃんが自分に向ける言葉を聞き続けると、更にいじめたくなり、えい、えいっ。と腰をしたから突き上げ返して仲を刺激…♡時雨も感じているようなので。とニヤニヤ笑い続けて
  (2020/11/29 11:47:50)

紲あかり> んっ...ちょっと待ってって...ゆかりさんっ...刺激強すぎるっ...んぅぅぅイッちゃうからっ...もういじめないでぇ...(そう言って激しく突き上げられながら絶頂し脱力して時雨の胸に顔を乗せる様に項垂れて)   (2020/11/29
11:52:20)

時雨> っぅ！！(あかりちゃんが絶頂するとその締め付けに身震いして。此方も射精すれば一滴残らず流し込んでいき   (2020/11/29 11:56:14)

結月ゆかり ◆> 私もイきますか、らっ♡全部お腹で受止めてくださいっ…！♡あかりちゃん！！(時雨さんが絶頂。ゴムもつけないまま腟内に生だし。こちらも遠慮なんてしないで、おしりの方にびゅっぅぅ♡と。腰を軽く揺らしながら   (2020/11/29
11:57:46)

紲あかり> ちょっと...ゆかりしゃん...待ってぇ...(そのままお尻にも注がれて)ゆかりさんっ...酷いです...この貧乳馬鹿っ...(脱力しながらもゆかりを煽ることは忘れずに)   (2020/11/29 12:01:34)

時雨> ん...♡(絶倫なようでほんのちょっぴり悪い顔。あかりちゃんに出して油断してるゆかりさんに近づくとぎゅってだきしめて後ろからゆかりさんのなかに入って   (2020/11/29 12:03:59)

結月ゆかり ◆> ふへへ…またされたいんですか。貧乳なんて言って…♡し、しぐれ、しゃ…んぁっ…♡(あかりちゃんにまたされたいのか。と聞きつつ、いきなり後ろから入れこまれてびくん。腰を跳ねさせて目をぱちくり。   (2020/11/29 12:07:22)

紲あかり> ふふ...ゆかりさんっ...(時雨が後ろから挿入すると前から近づいてゆかりさんの物を割れ目に入れて)今度は私が攻めてあげますっ...(不敵な笑みを浮かべて)   (2020/11/29 12:09:14)

時雨> ゆかりさんのなかもきもちぃ(中の感触に腰を揺らしながらあえいで♡激しく揺らしつつも乳首こりこりとさぐりあててもんで。耳綺麗、と褒めては耳に吸い付いて   (2020/11/29 12:10:21)

紲あかり> んっ...ゆかりさんの顔可愛いですっ...(前から抱きついてゆかりの胸に自分の胸を押し付けて調子に乗ってキスをして舌を絡めて)んっ...気持ちいっ   (2020/11/29 12:13:27)

結月ゆかり ◆> ふ、ふたり、ともぉ…♡ひゃぁっ…あ、あかりひゃ、んっ♡(モノはあかりちゃんの割れ目に。自分の割れ目は時雨さんに。一気に責められてびくん。びくん。と腰跳ねさせていて   (2020/11/29 12:13:44)

時雨> 耳美味し♡(いっぱいすいながら子宮口にくちゅくちゅ、いっぱいボルチオ愛でながらお尻つかめば何となくお尻の穴撫でながら腰打ち付けて   (2020/11/29 12:15:37)

結月ゆかり ◆> んぁ、……♡あぅ、っ♡ん、んっぅぅ〜(あまりの快感に我慢できなくなって、行為中なのに関わらずあかりちゃんの中にびゅぅぅ〜。と大量に上書き射精。だけどまだ全然萎えてなくて   (2020/11/29 12:23:08)

紲あかり> ゆかりさんっ...ちょっ...出すの早すぎっ...(急に中に出されて後ろに手をついてしまい、元の体制に戻れなくなる)んっ...ゆかりさんっ待ってってば...激しすぎるっ...(攻めてたはずなのにいつの間にか自分も感じさせられて攻めるどころじゃなくなる)
  (2020/11/29 12:26:09)

時雨> っく♡(ピストンの速度あげていくと此方もビュルルルと射精♡一滴残らず注ぎ込めば腰を引いて抜き取り   (2020/11/29 12:27:23)

時雨> 【ごめんなさい！ごはん食べてきます！】   (2020/11/29 12:27:32)

結月ゆかり ◆> 【っとと、ゆかりさんはお昼ご飯タイムなのですよ〜】   (2020/11/29 12:27:32)

おしらせ> 時雨さんが退室しました。  (2020/11/29 12:27:34)

おしらせ> 結月ゆかり ◆hAvv3umFdkさんが退室しました。  (2020/11/29 12:28:30)

おしらせ> 紲あかりさんが退室しました。  (2020/11/29 12:28:38)

おしらせ> 一条蛍さんが入室しました♪  (2020/11/29 21:54:00)

一条蛍> こんばんは〜   (2020/11/29 21:54:04)

一条蛍> 誰か来ないかなぁ…   (2020/11/29 22:08:55)

おしらせ> 島風さんが入室しました♪  (2020/11/29 22:28:36)

島風> 【こんばんは〜】   (2020/11/29 22:28:43)

おしらせ> 無言時間が20分を超えたため、一条蛍さんが自動退室しました。  (2020/11/29 22:44:36)

おしらせ> 無言時間が20分を超えたため、島風さんが自動退室しました。  (2020/11/29 22:49:31)

おしらせ> カタリナ・クラエスさんが入室しました♪  (2020/12/2 01:44:49)

カタリナ・クラエス> 【こんばんわー】   (2020/12/2 01:45:00)

おしらせ> マリア・キャンベルさんが入室しました♪  (2020/12/2 01:48:49)

マリア・キャンベル> 【こんばんわ？　カタリナ様】   (2020/12/2 01:48:57)

カタリナ・クラエス> こんばんわ、マリアちゃん♪（ソフォアーから立ち上がりハグをする。）   (2020/12/2 01:49:33)

マリア・キャンベル> こんばんわカタリナ様（ぎゅっと抱き返して手を回して）   (2020/12/2 01:50:37)

カタリナ・クラエス> うん、ひさしぶり～、元気だった♪（ぎゅっぎゅと抱きしめ）もう、マリアちゃんがいないと私……（グーっとお腹が鳴る。）   (2020/12/2 01:51:27)

マリア・キャンベル> そうですよ…げんきがなくてもちゃんと元気にしますから（お腹を鳴らす様子に視線を落として）…もうカタリナ様ったら……どうしましょう何か作ります…？　それとも食べに行っちゃいましょうか   (2020/12/2 01:55:47)

カタリナ・クラエス> うわぁ……こ、これじゃぁ、私がマリアちゃんを食事係のメイドか何かと思っているみたいッ…ハッ、これはもしや、破滅フラグの前触れかも……（脳内カタリナ会議中）お、おほほっ、マリアさん、わたくし、そんな意地汚いじょせいではありませんので、ましてや、マリアちゃんのお菓子を催促するなんて……（また、グーっとお腹が鳴る。）
  (2020/12/2 01:58:42)

マリア・キャンベル> カタリナ様以外にも皆さんにも食べさせてますから……（いつもいう破滅フラグとはなんでしょうと首を傾げて）いいんですよ。カタリナ様に食べて貰えるならそれだけでも嬉しいですから……。今は持ってきたりはしなかったんですけど……（ぎゅっと手を握って）
  (2020/12/2 02:01:37)

カタリナ・クラエス> うんん、私も、マリア（のお菓子）は大好きよ。もう、毎日食べたいくらい……（あれ、何か言い違えたような。）もう、マリアちゃん……でも、マリアちゃんの旦那さまは幸せよね。こんな、可愛い娘に、毎日、美味しいごはんを作ってもらえるのだから…あははっ、いっそう、私がお嫁に貰おうかしら♡（冗談を言いながら、手を握り返す。）
  (2020/12/2 02:04:52)

マリア・キャンベル> …そうですね、カタリナ様。毎日……ゆっくりとカタリナ様にご飯を作れるなら幸せだと思います（そのまま行きましょうかなんて小首をします）カタリナ様のお時間は大丈夫なんでしょうか…（じっと見つめ直して）   (2020/12/2
02:12:27)

カタリナ・クラエス> あ…あれぇ？（何か、違うフラグが起ったような。そう言えば、マリアちゃんが誰と結ばれれるかで、私の運命が決まる。）ゴ、ゴメンなさい。ちょっと、30分くらいで、帰らなければならないの…ごめんね、マリアちゃん…でも♪（きゅっと抱きしめて頬にキスして）マリアの事が好きなのは、本当よ♡
  (2020/12/2 02:15:27)

マリア・キャンベル> それならこのままゆっくりとしておきましょう……この時間だと大変ですから（ぎゅっと抱きしめ直して背中に手を回す。抱え込んだまま頭を預けて首筋に息を零して）……どうしたんでしょうか？（悩む様子にちゅっと頬にキスをして）  
(2020/12/2 02:24:41)

カタリナ・クラエス> うん、私は、マリアとこうしてゆっくりするのも好きだわ……ふふっ…（頬にキスされて、顔が蕩けて）うん、ちょっと、女の子同士のコミにケーションよ♪はっ、もしかして、マリアは嫌だった……ど、ど、どうしよう。悪人顔の女に、キスされて、ドン引きされたかなぁ……もしかして、死亡フラグ決定？？？（抱きしめて、首筋の息……また、緊急カタリナ会議が始まる。）
  (2020/12/2 02:27:44)

マリア・キャンベル> そうですね……やっぱりお茶とお菓子があるといいんですが………（ぼんやりと蕩けたところに顔を上げて）………別にカタリナ様にキスをされても嫌ったりもしないですよ…（ちゅっと今度はこちらからもキスをして唇を濡らして、吐息で濡れた唇を擽る）  
(2020/12/2 02:31:47)

カタリナ・クラエス> うん、でも、私は、マリアの注れてくれたお茶と、作ってくれたお菓子がいいなぁ…あっ、よかった……マリアに嫌われてなくて…んっ、チュッ♡（お互いに唇をかわして、そのまま、ソファーに倒れ込んで）ふはぁ……本当に、マリアは可愛い♡このまま、私専属のメイドにならないかしら……って、冗談、いつか、マリアもお嫁さんになっちゃうもんね……ううっ、このまま、ずーっと一緒に痛いよぉ～（ふにゅふにゅと、抱きしめながら、名残惜しそうに）
  (2020/12/2 02:36:19)

カタリナ・クラエス> ごめんね、マリアちゃん、畑の手入れに行かなくちゃ……また、マリアのお菓子、楽しみにしてるね。（そのまま、部屋を後にするのであった…）   (2020/12/2 02:37:12)

カタリナ・クラエス> 【おつかれさまです。短い間ですが、ありがとうございました。】   (2020/12/2 02:37:33)

カタリナ・クラエス> 【では、おやすみなさい。】   (2020/12/2 02:38:30)

おしらせ> カタリナ・クラエスさんが退室しました。  (2020/12/2 02:38:33)

マリア・キャンベル> 【お疲れ様です。またお会いしましょう】   (2020/12/2 02:38:45)

マリア・キャンベル> （部屋を後にしたカタリナ様を見送っては…少しだけソファに腰を下ろして）……もう少しゆっくりしてから帰りましょうか   (2020/12/2 02:48:00)

おしらせ> 無言時間が20分を超えたため、マリア・キャンベルさんが自動退室しました。  (2020/12/2 03:08:25)

おしらせ> 初音ミクさんが入室しました♪  (2020/12/2 20:47:59)

初音ミク> こんばんは〜♪   (2020/12/2 20:48:04)

おしらせ> 無言時間が20分を超えたため、初音ミクさんが自動退室しました。  (2020/12/2 21:32:13)

おしらせ> 紺さんが入室しました♪  (2020/12/3 20:36:09)

紺> お…お邪魔しまーす   (2020/12/3 20:39:08)

おしらせ> 無言時間が20分を超えたため、紺さんが自動退室しました。  (2020/12/3 20:59:17)

おしらせ> 紺さんが入室しました♪  (2020/12/3 21:02:09)

おしらせ> 無言時間が20分を超えたため、紺さんが自動退室しました。  (2020/12/3 21:22:12)

おしらせ> 琴葉茜さんが入室しました♪  (2020/12/8 00:24:02)

琴葉茜> うぃー……めーしぱしぱしてお酒が入ってふらふらするわぁ……まぁ、明日おやすみやしちょっとくらいええやろ？(なんて、お風呂上がりのお布団にとびこむでー。)ふぁー………生き返るわぁ………。久しぶりにふつかやすみやでぇ…休みの日に次も休みや思ええてうち最強に思えるわ…
  (2020/12/8 00:25:18)

おしらせ> 無言時間が20分を超えたため、琴葉茜さんが自動退室しました。  (2020/12/8 01:34:17)

おしらせ> 鏡音リンさんが入室しました♪  (2020/12/8 10:01:30)

鏡音リン> こんにちはっ、誰か来るかなっ   (2020/12/8 10:01:40)

おしらせ> 禰豆子さんが入室しました♪  (2020/12/8 10:03:02)

おしらせ> 禰豆子さんが退室しました。  (2020/12/8 10:03:31)

おしらせ> 初音ミクさんが入室しました♪  (2020/12/8 10:03:55)

初音ミク> 誰かいますか？   (2020/12/8 10:05:23)

おしらせ> 初音ミクさんが退室しました。  (2020/12/8 10:06:15)

鏡音リン> あっ、ミクちゃん……っ   (2020/12/8 10:07:17)

鏡音リン> お返事遅れちゃってごめんね……   (2020/12/8 10:07:44)

おしらせ> 無言時間が20分を超えたため、鏡音リンさんが自動退室しました。  (2020/12/8 10:28:10)

おしらせ> 鏡音リンさんが入室しました♪  (2020/12/8 10:31:30)

鏡音リン> お話したいなぁ〜   (2020/12/8 10:36:31)

おしらせ> 無言時間が20分を超えたため、鏡音リンさんが自動退室しました。  (2020/12/8 11:00:44)

おしらせ> 鏡音リンさんが入室しました♪  (2020/12/8 22:49:27)

鏡音リン> こんばんはっ   (2020/12/8 22:49:30)

おしらせ> 安心院なじみさんが入室しました♪  (2020/12/8 23:00:12)

安心院なじみ> ヤッフー！（Nのマークが入ったオレンジの帽子をかぶって、緑色の土管から飛び出してきて）　イッツミー・ナージミー！   (2020/12/8 23:00:52)

安心院なじみ> あれ、誰もいないのかな……？   (2020/12/8 23:06:14)

おしらせ> 無言時間が20分を超えたため、鏡音リンさんが自動退室しました。  (2020/12/8 23:09:56)

安心院なじみ> 気のせいだったようだ……   (2020/12/8 23:12:27)

安心院なじみ> 出直すかな（緑色の土管に入っていき）   (2020/12/8 23:12:54)

おしらせ> 安心院なじみさんが退室しました。  (2020/12/8 23:12:58)

おしらせ> テイルレッドさんが入室しました♪  (2020/12/10 02:40:57)

テイルレッド> なんだここ…何か書いてある…ゲームでよくある木の看板！　男の入室お断り…女装…なんだって！？　いや…今の俺は男とは程遠い存在になってるはず… うわぁ… 管理人さんきたら怒られたりしないよなぁ…
(ぶつぶつ独り言を言いながら看板に書いてる注意書きに目を通してて…)   (2020/12/10 02:43:20)

おしらせ> 無言時間が20分を超えたため、テイルレッドさんが自動退室しました。  (2020/12/10 03:46:41)

おしらせ> 鏡音リンさんが入室しました♪  (2020/12/12 03:25:43)

鏡音リン> こんばんはっ！   (2020/12/12 03:25:47)

おしらせ> テイルレッドさんが入室しました♪  (2020/12/12 03:56:42)

テイルレッド> やっほー！　(レオタードで少し露出多めの少女が笑顔で片手を上げながら入ってきて。) そろそろおはようの時間になるけどぉ… まあ、細かいことは気にしないってことで♪ (にーっとスマイル♪)   (2020/12/12 03:58:50)

おしらせ> 無言時間が20分を超えたため、鏡音リンさんが自動退室しました。  (2020/12/12 04:12:37)

テイルレッド> 寝てるっぽい… 俺タイミング悪いなぁ… (ぐっすり寝てる金髪の女の子を軽々お姫様抱っこして、奥の部屋に寝かせてあげて。) 俺も自動退出で退散だな   (2020/12/12 04:13:40)

おしらせ> 無言時間が20分を超えたため、テイルレッドさんが自動退室しました。  (2020/12/12 04:35:42)

おしらせ> 鏡音リンさんが入室しました♪  (2020/12/12 04:35:51)

鏡音リン> はっ、誰か来てた……っ！ご、ごめんね〜…   (2020/12/12 04:36:11)

おしらせ> 無言時間が20分を超えたため、鏡音リンさんが自動退室しました。  (2020/12/12 04:56:47)

おしらせ> 大崎甜花さんが入室しました♪  (2020/12/13 23:58:16)

大崎甜花> ぅ、う～…また、迷子…やだぁ…早く帰って、お昼寝したい……(なんとか明かりのついた部屋を見つけて、室内に逃げ込んで)   (2020/12/13 23:59:27)

おしらせ> 大崎甜花さんが退室しました。  (2020/12/14 00:27:22)

おしらせ> カタリナ・クラエスさんが入室しました♪  (2020/12/15 02:04:08)

カタリナ・クラエス> 今日も、畑仕事つかれた～、って、アレ？私って、確か貴族のお嬢様だったような……（野良着姿でソファーのゴロリ）   (2020/12/15 02:05:20)

おしらせ> マリア・キャンベルさんが入室しました♪  (2020/12/15 02:12:12)

マリア・キャンベル> （ぺこりと頭を下げて入ってきては抱えて来たバスケットをテーブルへと置いて）お邪魔しますね？（少しだけ視線を向けると先客に目が留まり）こんばんわ、カタリナ様   (2020/12/15 02:13:06)

カタリナ・クラエス> わーい、こんばんわー、マリア…今日のおやつはなにかなぁ～（目を輝かせて、テーブルのバスケットに興味津々）   (2020/12/15 02:14:20)

マリア・キャンベル> もう、カタリナ様…マフィンを焼いて来ましたよ（そっとバスケットから取り出しておいてやり、お茶の準備を始めて）……また忙しく動いていたんですか？   (2020/12/15 02:15:18)

カタリナ・クラエス> わーい♪私、マリアのお菓子は何でも、大好きよ♪モグモグ…（このご時世なので、手を洗って消毒して）…うん、冬になる前に、畑に腐葉土を撒いて、苗を育ててるの……あのね、メアリに頼んで、今年はイチゴを育ててみようと思うんだ。出来たら、マリアも一緒に食べましょうね♪（ニシシと笑い）
  (2020/12/15 02:18:42)

マリア・キャンベル> その時はイチゴを貰ってまた何かを作りましょうか。カタリナ様が育てるならきっとおいしくなると思います（にっこりと微笑んで食べるのを見つめて、時折頬についた欠片を取ってやり）   (2020/12/15 02:21:59)

カタリナ・クラエス> うん、メアリも同じことを言ってたような…確か「カタリナさまのイチゴ……ハァハァ…」とか……ふふ、きっと、余程、イチゴを育てるのが楽しみなのね。メアリらしいわ♪（モグモグと、ほっぺたにたくさんのおべんとうをつけて、取ってもらえば）ありがと、マリア…パクっ（と、マリアの指についたおべんとうを口に含み、指先をチロチロと舐める）
  (2020/12/15 02:24:51)

マリア・キャンベル> もう…メアリさんは……流石に見過ごせませんね…（はぁと吐息を零してその前にとじっと彼女を見つめて）……あまり食べるとカタリナ様は食べられなくなってしまいますし（舐められた指を少しし差し入れて口の中で動かす）   (2020/12/15
02:26:41)

カタリナ・クラエス> ん、ちゅっ……ごちそうさま…って、ん、マリア……ふわぁ？（咥内を指でかき回され、唾液の糸が指先と唇でつながり）はっ…マリアのお菓子が美味しすぎて、つい、指まで……ゴ、ゴメンナサイ、マリア…嫌だったでしょ、すぐに拭くからね。（ハンカチを取り出し、指をふきふき）
  (2020/12/15 02:29:12)

マリア・キャンベル> いいんですよ…夢中になってくれるくらい美味しかったんですよね（大丈夫ですと拭く手を友に包み込んでハンカチ毎彼女の手を絡めて）……また作ってきますね（微笑んで頷き）…カタリナ様が悦ぶならその分用意してお付き合いしますから  
(2020/12/15 02:33:01)

カタリナ・クラエス> はうっ、流石マリア……お嫁さんにしたい、良くできた娘だッ……うん、私、マリア（のお菓子）に夢中になって、指までなめちゃって……ゴメンナ、嫌に、ならなかった？って、マリアは優しいから、こんなことじゃ嫌いにならないわよね。うん、お願い、私、マリア（のお菓子）が大好きだから、何度でも食べたいわ♡（天然の垂らし）ふふっ、でも、お菓子だけじゃなくて、マリアの指も、美味しかった……ハッ、これは、緑の手ならぬ。お菓子の手なのかも……それならば、あやかるためにも……（と、正面から、恋人つなぎで手を握り）
  (2020/12/15 02:38:29)

マリア・キャンベル> えぇ私も（カタリナ様の）お嫁さんって言われるのは嬉しいですから（ぎゅっと指を絡めたまま引いて身を寄せる。じっと見つめて擽ったそうに震えて）……そうですね、私も色々と甘い者が食べられると嬉しいですし……私のは努力で身に着けたものですから  
(2020/12/15 02:43:13)

カタリナ・クラエス> ふふっ、マリアは素敵で可愛い娘だから、きっと、良いお嫁さんになるわ。もう、私が貰いたいくらい…って、わぁ、あっ…（引き寄せられると、顔が近づき、少し赤くなり）うん、マリアは努力家だから、なんでもできるわ。まったく、なんでカタリナは、こんな素敵な娘をイジメテタんだろ。まったく…（と、自分で自分にプンプン）
  (2020/12/15 02:46:38)

マリア・キャンベル> 大丈夫です。今は皆さんに良くしてもらってますから……（そっと腰に手を添えて支えて首を傾げて赤くなって見つめ返す。吐息が零れて擽り）私はこうしてカタリナ様に会えただけでも十分幸せですし（自分の腕の中で抱きしめて背中を撫でていく。耳元で言うお礼で擽り）
  (2020/12/15 02:50:44)

カタリナ・クラエス> うん、みんなも、マリアの事大好きだから…って、マ、マリア…なんだか、近くないッ？（なんだか、唇に吐息が感じるほど、近づいているような…）私も、マリアちゃんに会えて、とても幸せ……このまま、ずーっと一緒に暮らしたいくらい…だけど…（なんだか、瞼が重くなってきた。と、アンが迎えに来て「カタリナさま、お休みの時間です。」と告げ）
  (2020/12/15 02:54:00)

マリア・キャンベル> そうでしょうか……ジオルド様もこれくらいには？（ちゅっと虫のように頬に口づけをちょんと残して離れて）そうですね……カタリナ様とはまたゆっくりとお話しましょう？（お疲れ様ですと立ち上がり見送るように）   (2020/12/15
02:55:32)

カタリナ・クラエス> ひゃっ、マ、マリア…？（なんだか、前にもあったような、虫さされ？慌ててアンが、首筋をハンカチで拭ってくれた）うん、ゴメンね、マリア……また、いっぱい、お話しましょう。ごきげんよう♪（と、使用人に連れられて、そのまま部屋を後にした。）  
(2020/12/15 02:57:54)

おしらせ> カタリナ・クラエスさんが退室しました。  (2020/12/15 02:58:06)

おしらせ> マリア・キャンベルさんが退室しました。  (2020/12/15 02:58:33)

おしらせ> カタリナ・クラエスさんが入室しました♪  (2020/12/17 00:34:40)

カタリナ・クラエス> 今日は寒かったんぁ…でも、こんな日はッ（すっぽんぽんになり、隣のお風呂に入る）ふはぁ…広いお風呂、最高ォ♡   (2020/12/17 00:35:42)

おしらせ> 無言時間が20分を超えたため、カタリナ・クラエスさんが自動退室しました。  (2020/12/17 00:55:47)

おしらせ> ソフィア・アスカルトさんが入室しました♪  (2020/12/17 01:49:11)

ソフィア・アスカルト> （ぴょこんっ…）…何やらカタリナ様の気配を感じたのですが…時すでに遅しでしたね…もしかしたら戻ってきてくださるかもしれませんし、少しだけ待ってみましょうか…（部屋の隅にある椅子に腰をかけてはお気に入りのロマンス小説の最新刊を広げ）  
(2020/12/17 01:50:56)

おしらせ> カタリナ・クラエスさんが入室しました♪  (2020/12/17 02:02:40)

