チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2024年01月30日 07時15分 ～ 2024年02月09日 14時49分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

甘雨> ぁ、私は今日は大丈夫です。朝は元気な事が多いので…っ（お休み明けで元気いっぱいですよ、って小さくガッツポーズ。ぐ、ぐっ♡――ありがとうございますって微笑んで、ふわ♡）…そうですね…一人より二人。私も、誰かと一緒でいる事が好きです。――だから、モダニアとお会い出来て、とても嬉しいです…♡（朝誰かとお会い出来る事が、そもそも稀ですし…――少し慌ててやんわりと、手を取ってくれる相手の手指。きゅ♡と握り返して、指絡めかえして…）…ううん、大丈夫です。モダニアがいるので、今は、平気です――（有難うございます、って、その手を大事そうに、祈るように口元に運んで…ちゅ♡と。指に口づけて）……？（モダニアは大丈夫ですか？と小首を傾げるそぶり）
  (2024/1/30 07:15:44)

モダニア> そうなんですねっ！朝が元気はとても羨ましいです……わたしは朝は弱い方なので。でもっ！今朝は早起き出来て良かったですっ……！甘雨にも逢えましたっ♡（わたしも頼りない小さな拳を握ると、嬉しそうに上下に振りながら）んっ……♡く、擽ったいですっ……甘雨っ♡でも……心が温かくなります……えへへ♡わたしも……少し寒いです。も…もう少し、甘雨に近付いて良いですか……？♡（指に受け取った柔らかい感触に顔を赤くしながら照れ、艶のある溜息を漏らして。指を絡めて緩く握ると、そっと身体を寄せて正面から控え目に重心を掛けますっ……♡）
  (2024/1/30 07:23:44)

甘雨> そう、なんですか？…（大丈夫…？って少し気遣うような視線。）――はい、モダニアに、お会い出来ました…多分、この瞬間は、きっと二度とない事なんだろう、って、いつも、思ってます。（どちらかが少しボタンを掛け違えただけで。二度と巡り合えないような。…そんな一期一会と。ふふっ、なかよしなかよし♡って握り合った手。上下にふんふん♡）…ぁ、ごめんなさ――……え、と。…はい、どうぞ…♡（大丈夫ですよって、握り合ってた手、ゆるって解いて…いらっしゃいますか？って腕を広げて。…えへへへ♡って、少し気恥しそうにはにかんで）
  (2024/1/30 07:30:48)

モダニア> はいっ！大丈夫ですっ……！甘雨こそ、もう少しゆっくり出来るならちゃんと休んで下さいっ♡わたしもそう思いますっ♡だからこそ……偶然に逢えた事に感謝したいですっ！（両手の細い指を絡めながら、ぎゅ……♡指先からも少し火照る熱を伝えて、緩くにぎにぎ……ですっ♡）あっ……♡お邪魔します……？これは違う気がしますけど……こういう時は、何てお礼を言えば良いのか……♡ありがとうございますっ、甘雨……♡（絡めた指を名残惜しそうに離すと、腕を広げた甘雨の胸に正面からぎゅ……♡っと抱き着き♡胸をぷにっ♡と当てながら緩く擦ると、体温に縋る様に甘えますっ……♡）
  (2024/1/30 07:38:40)

甘雨> ん…っ♡（…やんわりと。モダニアの細い腰に、背中に腕を回して、ぎゅーー…っ♡…お互いの境界がなくなるように。柔らかい胸の膨らみ同士が触れて、潰れて、こすれあう感覚に、少しくすぐったげに吐息を詰まらせて…それでも心地よさげに。頭に髪に、すり♡って頬を寄せて…）…はい、大丈夫です――今、この時間も、ゆっくりしてますから……――ほんとは、少しだけ人肌恋しかったので……モダニアのからだが、温くて、気持ちがいいです……♡（ほう、って、緩んだ吐息。緩くささやいて…好意を伝えるように、髪に触れる頬、ふに…♡すり…♡）
  (2024/1/30 07:43:20)

モダニア> えへへ……♡甘雨も暖かいですっ……♡もっと……欲しくなっちゃいますっ……♡んっ……♡（正面から隙間が無いくらい密着すると、衣服越しに柔らかい胸の形を何度も変えて。双丘を合わせながら、少し身体を揺らすと顔を真っ赤にしながら甘い溜息を、はー…♡っと唇から溢し）わたしも……気持ちいいですっ♡甘雨の体温、とても優しくて……♡もっと下さいっ……♡（背中に手を回してぎゅー……♡っと強く抱き着き、頬を擦りながら太腿も触れ合って脚を絡めたくなってますっ……♡）
  (2024/1/30 07:49:49)

甘雨> …そう、ですね、もっと、もっと♡…って、欲張りに、なっちゃいますね…♡（心地良い時間。人肌の温かさと柔らかさと。ふにゅ♡に…っ♡って少し身じろぎするだけで形を変えて潰しあう胸の膨らみからの甘い刺激に、ん…♡って、淡く甘い吐息。）…ぁ♡（抱き貸されると、ふるっ♡と小さく震えて…何か我慢するみたいに、モダニアの首筋に顔をうずめて…んーーーっ…♡…口をつぐんで、ぎゅー…っ♡ふるふる…♡）
  (2024/1/30 07:54:01)

モダニア> んっ……♡き、気持ちいいですっ……♡甘雨っ……♡（一度、ふにっ♡と形が潰れた胸を離せば、今度は衣服越しに硬くなった先端を探る様に。少しの引っ掛かりを感じると、緩く擦る様に動きながら肩をぴくっ……♡と振るわせてっ）あ……あの、甘雨……♡その……良かったら……少しお部屋に行きたいです……だ、駄目ですかっ？（脚をもじもじと内股で揺らしながら、恥ずかしそうに小声で耳元で囁くと、密着したままで熱い吐息と一緒に言葉にしてっ……♡）
  (2024/1/30 08:00:34)

甘雨> ……ぁっ♡んっっ♡…（弱い先端同士が、すりすり♡って擽りあってしまうと、人肌の温かさより、おなかの奥を疼かせるような甘い疼きの方が少しずつ強くなってきてしまって…ぎゅ、ぅ…♡ってモダニアに回した手に、少し力がこもっちゃって…♡少しだけ、少しだけって、自分に言い訳しながら、自分からも、す、り…♡――その一回だけで、ひくんっ♡って、肩を小さく震わせちゃって…♡）……え？……ぁ…♡……ぇ、と、そう――です、ね……？…えっと、じゃあ、少しだけ……♡（ぽぅ♡って、熱に浮かされたような顔で、こくん、って頷いて…♡ぁ、でも、鍵のかかったお部屋だと、私は入れないですけれど――。大丈夫です？って淡くかしげる小首）
  (2024/1/30 08:06:13)

モダニア> ふぁ……♡んんっ……♡きゃ……ぅ♡（衣服越しに丘の先端の尖りが擦り合うと、涙目で肩を跳ねさせて少し顎を上げてしまうと恥ずかしそうに顔を真っ赤にしながら……♡）はいっ……♡甘雨が無理しない程度に……少しだけ一緒に居たいですっ♡お部屋を立てますっ……♡行きましょう……えへへ♡（鍵は大丈夫ですっ……♡と頷きながら、絡めた指をぎゅ……♡誘う様に引っ張ればお部屋から出ますっ……♡お待ちしてますっ♡）
  (2024/1/30 08:11:08)

おしらせ> モダニアさんが退室しました。  (2024/1/30 08:11:45)
ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> そうか、遊びに精を出すことは良い事だな...!（うむうむ、うまうま、と頷きながら...）.....コレはそういう契約の貢物だったのか...（餅を眺めながら少し考え込んで...）まぁ確認もせず食べた余も悪いな...よし、好きなように悪戯をするが良い....（手を広げてはさあ来なさいと言わんばかりに...）
  (2024/2/4 21:11:48)

東北ずん子> 遠慮のない人だった！？(ひとまずぎゅうっと凭れかかるように飛び込んで)こういう時はほら、確認するのが当たり前とかそういうのから始まることも多いんですけどね。ま…わかりやすいことは良いことですー、こうやってスキンシップしてれば色々遊ぶことも思い浮かぶかもしれませんし？(居とっと首傾げ
  (2024/2/4 21:15:31)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> うむ...（抱き止めては少し微笑んで...）そういうのを期待して揶揄っておったのではないのか...？（細く微笑んでは怪しい表情に...?）よいよい、どんな遊びも付き合ってやるぞ〜...♪（相手を撫でながら楽しげに足をパタパタ...）
  (2024/2/4 21:20:07)

東北ずん子> そうですねー、基本的には悪戯したりエッチな事をするのが私なので！(軽く頬を寄せながら嬉しそうにぎゅ、ぎゅっとくっつき)むしろそれ以外に乏しいという弱点が……いえ、お話しとかそういうのも好きではあるんですが。話題って難しいですよねぇ(いつもおもいますってぼんやり)
  (2024/2/4 21:26:17)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ほーぅ...別に構わぬぞ、余はどちらでも楽しいからな！（くっついてくる相手を抱きしめ返しながら微笑んで）...話題とな...まぁそうだな、話題というなら好きなことをテーマにするのが定石よな...（難しいと言われれば自分が話す時何を考えてるかな、と...）
  (2024/2/4 21:29:40)

東北ずん子> 好きな事…えっち？…いや、ゲームとか好きですけどね。絶賛やりこみしていた最中なのですが(十分に楽しんでお腹いっぱいの最中ですってはふーっと満足げな息を吐いて)ネロさんはどんな悪戯されるのかが好きかとかそういう話ならいくらでもでるんですけど(大きな胸とか、あいてのからだをたしかめるようにふに、ふにっと掌で揺らし、ふれてみて)
  (2024/2/4 21:32:04)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ゲーム、それにエッチか...ふむふむ...（ゲームはあまりよく分からぬな...と）む...、余の好みとな...どちらかと言えば悪戯をする方だが......（ふーむ...）、そうだな、こう...逃げられぬようにしっかり拘束された状態で愛されたりするのが結構好きだな（胸を揺らされながら、考え込んだ結果の答えを...）
  (2024/2/4 21:39:51)

東北ずん子> おー、やっぱり悪戯する方ですかー……って、結構豪が深い！？(縛ったり縛られた李が好きなんでしょうかってお目目ぱちくり)…拘束ですかぁ、縛られて動けない相手を好きに悪戯するっていいですよねー♥縄とかで縛って動けない間に柔らかなこの身体を堪能すると(いー、柔らかいですって満足に)
  (2024/2/4 21:42:46)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> はっはっは！ローマ皇帝ならばそれくらいは業がないと務まらぬ...!（景気良く笑いながら驚く相手を撫で撫で...）そうさな、動けないまま愛しておると表情が良い感じに快楽に歪むのが特に好きだな!（満面の笑みで更になんかエグい事を...）
  (2024/2/4 21:45:58)

東北ずん子> そうかな、そうかも？(きょとこっと首をかしげて、束縛って意味では似ている思考だからなぁってぼんやりと納得して)……エッチな顔になってくのは、とても、とてもわかる。そのまま好きにしてって言われるのがいい奴ですね！   (2024/2/4
21:49:42)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> そうだぞ！（謎の力説）それも良いし、逆にもう無理って言ってるのを無視して続けて限界を迎えさせるのも良いぞ...（業が深い...）逆にずん子の好きな悪戯、、、シチュエーションはどんなものだ...?（ふむ）   (2024/2/4
21:55:07)

東北ずん子> 毎回自分の聞かれて困るやつ！？(結構ネロさんはSっぽそうだった、身体フルフル)ん－、私は甘め、なんでしょうか。あ、でも私の事だけ好き♥みたいな感じはずーっと好きですかねぇ。こう、貪欲に染め上げるのが基本好きなのはあります(その時だけでも私だけの一番がいい、みたいな)あ、あとはエッチな言葉でおねだりしてもらう！！(淫語でおねだりしてもらうのがですね、とってもエッチですきってこくこくこく)
  (2024/2/4 21:58:23)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ふっふっふ...（身体を振るわせる相手に微笑みかけて....ﾆｯｺﾘ）甘めも良い、甘さが濃ければ濃いほど良いな...（染め上げる、、ほうほう、と...）お強請りとな...なんだずん子よ、其方も中々良い趣味をしてるではないか〜！（肩をポムポム叩きながら嬉しそうに...?）
  (2024/2/4 22:01:20)

東北ずん子> えへへー♥やー、こう……エッチな言葉の意味を知らない人に教えるって意味でも。エッチな言葉を知ってるからこそ、言わせるののどっちもよくてですね(そこを長く語ると長くなるやつって嬉しそうに照れ笑い)最終的にそういう言葉で誘惑して蕩けた顔されると凄く、凄く良くて！(きらっきら
  (2024/2/4 22:04:44)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> なかなかこだわりがありそうだな...、ふむ、余も好きだぞ...必死に考えて捻り出された言葉ほど良いな...♪（ふむふむ、と頷いて...）わかるわかるぞ〜、ちょっと昂ってきたな...（顔を赤くしながら高揚し始める皇女...）  
(2024/2/4 22:08:50)

東北ずん子> ふふ、いい感じに夜に高ぶるのはいいことです(きらきら　そういう高ぶりを楽しみたい所ですがー。高ぶる話できて満足しちゃうのも私で(色々あそんでたのもあり、ふぁっとあくびもらし   (2024/2/4 22:16:09)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> む、仕方がないな...良く寝るのだぞ〜（あくびが出てきたのを見ては、ふっと柔らかく微笑んでは静かに撫でて...）   (2024/2/4 22:18:26)

東北ずん子> ふあーい、おやすみなさいっ(もそもそ、おふとんにごーです、ひらひらとてをふって   (2024/2/4 22:20:05)

おしらせ> 東北ずん子さんが退室しました。  (2024/2/4 22:20:08)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> うむ、お疲れ様だ！......待機だな（ソファに横になってはゴロゴロ）   (2024/2/4 22:21:40)

おしらせ> 無言時間が25分を超えたため、ﾈﾛ･ｸﾗｳﾃﾞｨｳｽさんが自動退室しました。  (2024/2/4 22:46:47)

おしらせ> 甘雨さんが入室しました♪  (2024/2/5 07:29:16)

甘雨> ――おはようございます…(ぎ、と扉をきしませて…誰も居ないお部屋に独り。――ここ最近、少しあったかくなってきた…と思ってたけど。）……今日はまた寒くなって…場所によっては雪が降る、とか……（何とか。まだ、春の訪れは少し遠いようです――んー…って少しまだ眠気の残る顔。…取りあえず、温かい飲み物で温もりたい。…お湯とか。マグカップとか、準備して…）
  (2024/2/5 07:32:42)

甘雨> （あたたかいココアが入ったマグカップを手に、取りあえず窓辺に腰を落ち着けました。ぼんやりと、外の景色を眺めながら――ずずずっ………ほう、と一息。ここ最近早朝からお仕事があって世話しなかったですが、漸く、今日は少しゆとりがある時間をとれて――そうか、今日月曜日だったのですね、と。まだ少しはっきりしない頭で、外の景色を眺めながら、ぼうっと）
  (2024/2/5 07:43:19)

おしらせ> モダニアさんが入室しました♪  (2024/2/5 08:03:52)

モダニア> おはようございますっ……！甘雨‥…♡今朝も早いんですねっ。ちゃんと寝てますか……？わたしも少しお邪魔しますっ！……えへへ♡今日は……わたしの方はとても寒いです。えっと……ゆぅ…雪！そう……雪が降るって言ってました（お部屋を覗くと甘雨の姿を紅い瞳に収めて、嬉しそうに頬を緩ませれば銀髪の髪を揺らしながらお部屋へと。隣に座ると脚を揺らしながら肩をそっと寄せて軽く擦り……♡）
  (2024/2/5 08:08:03)

甘雨> ぁ、モダニア…（聞き覚えのある声と笑顔に、ほわ♡って緩んだ微笑み）――はい、おはようございます…ちゃんと、眠れてます、よ…？（疲れが取れているかと問われると、少し微妙な所ですけれど――モダニアこそ。朝お会いする事が多いですけれど、大丈夫でしょうか？じ、って、顔色伺うような視線）……わ、そう、なんですね――それは、えっと………ん…♡（じゃあ、こんな感じで。身を摺り寄せてくるモダニアに。ふわ、って腕を回して。…体温、分け合うように、ぎゅー……♡）
  (2024/2/5 08:13:06)

モダニア> えへへ……♡ちゃんと休めてるなら良かったですっ♡ど……どうしたんですか？（様子を伺う様な甘雨の視線に少し勘違いしてか、顔を真っ赤にしながら照れ笑いして……♡）わたしはお出掛けするのが遅いので、この時間に1度目が覚めて、またお昼くらいまで寝ちゃったりします、えへへ……♡今朝は甘雨を見掛けたので、急いで顔を出しましたっ♡んっ……今朝は特に寒いですから……♡甘雨、暖かいですっ♡（わたしからも緩く手を回してぎゅ……♡って抱き着くと、肩口に顔を埋めて。甘雨の優しい匂いに蕩けそうになりながら……身体擦り♡）
  (2024/2/5 08:19:40)

甘雨> ぁ、ううん――朝お会いすることが多いので、モダニアはちゃんと休めてるのかな？って思いまして……（もしかして夜からずっと続投なんですか？って、じー…そ、ってほっぺに手で触れて、確かめるように。…ちゃんと眠れてるなら、少し安心。ふわ、と微笑んで…ぁ）――そういえば、お久しぶりです。…また、お会い出来ましたね…（えへへへ♡嬉しそうなはにかみ）――有難うございます。…朝誰かとお会い出来る事、珍しいので…とても、嬉しいです…♡（特に今日は月曜日ですし。有難うございますって、お礼、言葉にするように…モダニアのほっぺに、ふに♡って、ほっぺを寄せて…すり♡――緩く手を回されると、んっ♡って、少しぞくぞく♡…きゅ♡って、回した手に力が籠って…）
  (2024/2/5 08:24:41)

モダニア> わたしはちゃんと寝てますっ……♡普段は2時頃には寝てますからっ……。朝は一度、起きちゃうんです……だから心配しないで下さいっ、えへへ♡（頬に掌が触れると少し冷たくて、その掌を握ると両手で包む様に暖めて……♡）はいっ……！久し振りですっ♡また逢えました……♡わたしも甘雨に逢えて嬉しいですっ♡んっ……ほっぺも柔らかくて……ぽかぽかしますっ♡甘雨っ……♡（唇から漏れる声に多少の艶が乗ると、頬を擦り合わせたまま身体を正面から押し当て……♡胸をふにふに……♡当てながら。包んでいた手を離し、背中へと手を回し隙間なくぎゅ……♡と強く密着しますっ♡）
  (2024/2/5 08:33:15)

甘雨> ……２，２じ……。（な、なるほどー…？いつも０時過ぎると眠くなっちゃう子。夜はいつもぐったりです）――……私だって、モダニアとお会い出来て、とても嬉しい、ですよ…？どんな出会いでも、嬉しいものですけど――モダニアとは、少し仲良くなれたかなって、思ってました、ので……♡（親愛示すように、摺り寄せたほっぺ、ふにふに♡って寄せて…唇。ちゅ、ぅ…♡って、ほっぺに押し当てて…えへへ♡）…ぁ、ぅ…♡ん♡…少し、くすぐったい、です……♡（言葉と反対に、ぎゅ、ぅ…っ♡もっとからだとからだ、密着させて…♡胸のふくらみが潰しあう甘い感覚に、ふるっ♡って背中震わせちゃって…♡）
  (2024/2/5 08:37:52)

モダニア> 甘雨は夜更かし……苦手ですか？でも早く寝るのはえらいって聞きました。えらいです、甘雨っ……♡（屈託無い笑顔で目を細めると、優しく甘雨の髪を手櫛で通しながら撫でて……♡）はいっ！もう仲良しですっ……♡わたしも甘雨が大好きですっ♡えへへ……♡（唇の柔らかさを頬に受け取ると、真っ赤になって心底嬉しそうに照れ笑い……♡わたしは少し顔を落として甘雨の首筋に唇を当てて緩く啄みっ……♡）甘雨の身体も冷えてますから……ちゃんと暖まって下さいっ‥…♡寒くないですかっ……？♡（首筋を啄みながら胸同士を重ねて緩く擦り、先端を探る様に身体を揺らしながら、胸の1番敏感な部分を探り当てちゃいます……♡）
  (2024/2/5 08:44:49)

甘雨> はい、ちょっと体質的に夕方以降疲れがたまりやすくて……お仕事で夜なかずっと起きてるとかは良くあるので、日中休んでいれば夜中起きていることも出来るのですけれど…――え、えらい、ですか…？……えへへ♡ありがとうございます…♡（褒められちゃいました。ほわ♡…撫でてくれる手の心地よさに、身を任せるように、そ、っと瞳を伏せて…んー…♡）……良かった…♡あまり、人からの好意に慣れてないので…そう言っていただけると…安心、できます…♡（ふわ、って嬉しそうに微笑んで…首筋に触れる唇に、ぁ、ぅ…♡って、甘い声漏らして…ぞくぞく♡ぎゅー…っ♡）だ、だいじょう――んっ…っ♡…ぁの、モダニア…っ♡んんんっ♡（声、我慢するように口をつぐんで…♡弱い先端、悪戯するような動きに、ぷくっ♡って、反応帰しちゃって…♡すり…すり♡って、モダニアの首筋に甘えるように頬摺り寄せながら…だんだん無口になってきちゃって…♡）
  (2024/2/5 08:52:23)

モダニア> わたしより全然、甘雨の方が大変ですっ……大丈夫ですか？お休みとかは取れてますか……？こうしてお話して、甘雨の疲れを少しでも癒せたら嬉しいですっ……♡あっ……え、えっと……♡（甘雨の綺麗な瞳が伏せると、わたしも照れながら紅い瞳を忙しなく動かして……心音伝わるくらい抱き着き胸を押し当てたまま……♡）甘雨、時間はある感じですか……？あの……お部屋、行きますかっ？♡（甘雨の首筋から唇遠そっと離すと、指を絡めてこちらに緩く引っ張りおでこを当てて、視線を絡め……♡勿論、時間が無いなら大丈夫ですっ……なんて恥ずかしそうに絡めた指を何度も握り返して……♡）
  (2024/2/5 09:00:31)

甘雨> だ、大丈夫です…っ――え、えっと、その、モダニアとお会い出来て、すごく元気でてます……ほんと、ですよ……？（えへへへ♡…なかなか人がいる時間に入れない分、朝誰かにお会い出来て、御話できると、大分元気とかでてきちゃいます。すりすり♡って甘えるように、ほっぺた。ふわ、って、夢見るように微笑んで）……ん、はい……♡（とろって、とろけた顔で。こくん、って頷いて…唇が近くなると、自然にキスしちゃいそうになって…んっ、って、自分咎めるように口をつぐんで…代わりに、恋人繋ぎに絡めた指、きゅ…♡）モダニアと、一緒にいたいです…♡
  (2024/2/5 09:04:45)

モダニア> えっ……⁉︎♡甘雨、すごく恥ずかしいこと言ってますっ……♡わたしも甘雨に逢えて、今日も1日頑張れますっ♡えへへ……♡（身体を寄せながらわたしからも擦り、もっと深く重なりたいけど……と、焦ったい気持ちを抑えながら真っ赤な顔で、甘い息をはー…♡って吐いて……♡）わたしが用意しますねっ……♡早く早く……ですっ！♡（恋人繋ぎで唇触れる寸前、視線を落として、蕩けてだらしなく緩む顔を恥ずかしさから隠す様に……♡何度も瞬きして顔を上げると、にこっと笑いながら甘雨の手を引いてお部屋に向かいますっ……♡）
  (2024/2/5 09:12:16)

おしらせ> モダニアさんが退室しました。  (2024/2/5 09:13:49)

甘雨> …♡（こくんって、言葉少なく頷いて…――少しもじってしながら、立ち上がって…――一緒に、少し、小走りに、ててて…っ）   (2024/2/5 09:14:19)

おしらせ> 甘雨さんが退室しました。  (2024/2/5 09:15:27)

おしらせ> ﾈﾛ･ｸﾗｳﾃﾞｨｳｽさんが入室しました♪  (2024/2/5 20:06:33)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> うむ......待機だ！（部屋のソファに座っては堂々待機...）   (2024/2/5 20:07:01)

おしらせ> モリガン ◆i6fJKa45IIさんが入室しました♪  (2024/2/5 21:10:29)

モリガン ◆> こんばんは、ここに来るの大分久々だわ（とソファに座って）   (2024/2/5 21:11:06)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ん、うむ。こんばんはだな...余はネロ･クラウディウス、好きに呼ぶが良い。其方、名前は？（ソファに座る相手に簡潔に自己紹介を）   (2024/2/5 21:12:21)

モリガン ◆> 私はモリガン・アーンスランドよ、モリガンでいいわ。よろしくね♪ネロちゃん（うふふと微笑み）   (2024/2/5 21:16:46)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> モリガンとな...!、、ほう、中々名前から想像できぬ風体よな...（物騒な名前から繰り出される相手の姿に目を細めながらまじまじと...）   (2024/2/5 21:20:46)

モリガン ◆> うふふ、こう見えて人間よりずっと長く生きてるのよ？（ネロちゃんに向けては魅惑のポーズで誘うようにして）   (2024/2/5 21:23:09)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ....まぁ...人というより魔の物な感じよな。（そんな羽が生えてたらそりゃね、と反応薄で...）だが確かに若々しさは間違いがないな、余の好みだ！（満足げに頷いては品定めの目線で...）   (2024/2/5 21:27:06)

モリガン ◆> みんなからはサキュバスってよばれてるわ、でも。あなたとても素敵よ？（こちらも互いに見詰め合って近づき）   (2024/2/5 21:28:05)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> やはりそうであったか...妙に興奮が抑えられぬと思っておったが...（むむむ、と唸って）ほぅ！そうであろうそうであろう...!ローマ皇帝たる余が美貌！そこに目をつけるとはサキュバスにしては良い目をしている、いや、余であれば当たり前であったか？（唐突にテンションを上げつつ足を組んでポーズをとりつつ自慢げに...）
  (2024/2/5 21:31:40)

モリガン ◆> あら、皇帝さんの方なのね？こーんな可愛い皇帝さんに会えるなんて思わなかったわ（テンションを上げているネロちゃんに優しく抱きついて）   (2024/2/5 21:36:14)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 可愛いか、そうかそうだろう！良いぞ、余を愛でる事をやるそう！（ウキウキで抱きしめられながら満足げに...）   (2024/2/5 21:37:46)

モリガン ◆> うふ♪それじゃあこういうのは興味ないかしら？（抱くと同時に互いの豊満な乳部分を一致させて）   (2024/2/5 21:42:00)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> こういうの...とは、どういう物だ？...よく分からぬな（胸と胸を押し付け合う形になれば、相手を見つめて静かに微笑みかける...）   (2024/2/5 21:44:50)

モリガン ◆> あら？知らないのかしら？こういうスキンシップもいいけど、時には互いに乱れあうこともあるのよ？（ネロちゃんの密部に手を伸ばしては手のひらで触れて）   (2024/2/5 21:47:12)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> スキンシップ...なるほど、そういう事なら無論得意だ、しかしなぁ...サキュバスにしてはなかなか優しい手つきよな♡（秘部に触れてくる手のひらの感触に湿度のある笑みを浮かべては、相手の下腹部に指を当てて軽く撫で始める...）  
(2024/2/5 21:50:58)

モリガン ◆> ええ、ここではよくあると聞くわ。うふ♪あなたも中々積極的ね♪（下腹部に触れられてネロちゃんの顔を見て微笑み）   (2024/2/5 21:53:45)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> そうかそうか...（一旦手を離しては...）ふむ、そうだな...誘いに乗るのは構わぬが、、部屋はどうする？移動するか？（相手を眺めながら問いかけてみて...）   (2024/2/5 21:58:24)

モリガン ◆> そうねぇ、１時間ぐらいになるけどいいかしら？   (2024/2/5 21:59:12)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> む.....（ふむ）それならこのままで構わぬか...（やっと、相手を軽く押し倒しては上から抱きしめて）   (2024/2/5 22:01:11)

モリガン ◆> きゃん！！ふふ、中々強引ね♪（ネロちゃんに押し倒されて）   (2024/2/5 22:02:13)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> 嫌なら抵抗しても構わぬ...♪、抵抗するほど余も力を入れられるという物...（微笑みかけながら取り敢えず、と服をずらして脱がし始める...）   (2024/2/5 22:04:21)

モリガン ◆> あぁん♪私は攻めても攻められてもどっちでもいいわ♪寧ろあがっちゃうの♪（衣装を脱がされていって微笑み）   (2024/2/5 22:05:35)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> そうかそうか...では手加減はしなくて良いな♡（露出させた胸を揉み上げながら...）やはり良いな、見立ての通りものすごい胸だ...♡   (2024/2/5 22:09:15)

モリガン ◆> ええ、なんなりと扱ってくださいな。皇帝様♪（乳首丸出しの胸をもまれて）ええ、弾力なら私もひけを取らないわ♪   (2024/2/5 22:11:22)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> ほう、では遠慮なく...♡（相手の乳首を軽く指で撫でてはカリカリカリ♡...）   (2024/2/5 22:12:54)

モリガン ◆> あぁ♪すごい！あなたこういう経験ある？初めてならかなり上手よ♪（乳首をかりかりされて気持ちよく感じて）   (2024/2/5 22:15:06)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> む...皇帝をなんだと思っておるのだ...、生前はそれはもう古今東西の美男美女をコレクションできるほどに漁っていたぞ...!（馬鹿にしおって、と相手の乳首を少し強めにつねって）   (2024/2/5 22:16:56)

モリガン ◆> ひゃぁん！！結構力入ってるぅ～（気に障ったのか乳首を少し強めにつねられて感じて）あぁ…   (2024/2/5 22:19:59)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> なんだ、良い声も出すではないか...♡♡ならこういうのはどうだ...?♡（抓った乳首を舌で舐め撫でながら、今度は子宮辺りの下腹部を指で押して刺激して...）   (2024/2/5 22:22:44)

モリガン ◆> あ♪すごいぃ、ちゅーちゅーされながら指が中にはいってきたあぁん（刺激を受けると共に語彙力が低下していって）   (2024/2/5 22:24:00)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> まだまだ余裕そうよな...（口を離しては、そのまま、膣内に指を挿入していき...そのまま膣壁を指で撫であげて刺激し始める）   (2024/2/5 22:27:44)

モリガン ◆> あぁ…いいわ…ネロちゃん…もっと私を狂わせて…（中の壁をなでられると同時に出汁を少し隙間からゆっくりたらしてしまって）   (2024/2/5 22:32:21)

ﾈﾛ･ｸﾗｳﾃﾞｨｳｽ> うむ、任せるが良い...♡♡（手つきをドンドンえげつなく、執拗に、弱点を見つけてはしつこく攻め立てては微笑みかけて...）   (2024/2/5 22:35:44)

モリガン ◆> あはっはげし！！ネロちゃん！！いいわ！とてもいいわよぉ～（中での攻めは衰えることなくびくびくと身を震わせてぷるんと胸をゆらしていく）   (2024/2/5 22:37:20)

