/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月24日 03時12分 ～ 2023年02月25日 13時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

犬走椛> 他の人にはお尻を…   (2023/2/24 03:12:01)
森久保乃々> あ、ぅう…っ♡いい、ですね…♡焦らされてたから、んんぅっ…♡はぁ…♡（かりかりっと乳首を小刻みに弄られると…♡感度が上がっていた乳首が…一気に気持ちよくされちゃって…♡快感に身を震わせて、甘い吐息をたくさん出し…♡）はぁ、んん…♡えへへ……かりかり…気持ちいいですもんね…♡もりくぼも…イノさんも…もっともっと気持ちよく…♡（これだけでも十分気持ちいはずだけど、もっと気持ちよくさせたいと、親指と中指で乳首をきゅっとつまんでは、その上で人差し指をかりかりするふりを見せつけて…♡そのままかりかりかり…っ♡）
  (2023/2/24 07:27:11)

桜衣乃> え、えへへ…♡本当はさわってさわってっておねだりされるまで待つんです、けど……も、我慢できなくて…っ♡(親指と人差し指…優しく指の腹でくりくりとつまみを弄っては、爪できゅぅぅぅ…とつねりあげて…♡)ひぅぅっ…♡の、乃々ちゃ……っ…♡私はもう、だめですっ……♡♡乳首でイっちゃう…っ…♡…ひぁぁぁぁぁぁっ……♡(人差し指が…摘んだ乳首を弄るんだって、フェイントかけられてからされたら…それでびくくっ…♡と、軽イキしちゃって…♡)
  (2023/2/24 07:32:23)

森久保乃々> それだけ、もりくぼとしたかったってことですもんね……♡うれしい、ですよ…っ♡うぅ、もりくぼも…結構きてます、けど…♡ふぁ、んんっ♡（優しくつままれていたかと思えば、急に爪でぎゅっとされちゃって…♡その強い刺激に、一気に快感が高まって…♡）ん、あぁぁ…♡イっちゃうんですね…♡イっちゃえ………♡　あ、はぁ…♡イっちゃいました、ね…♡だから、次はもりくぼもイかせてください、ね…♡（かりかりでイっちゃったイノさんの乳首を、指の腹でゆっくりさすっては、もりくぼもとおねだりして…♡）
  (2023/2/24 07:37:42)

桜衣乃> は、ひ……♡…は、ぁ…♡は、ぁ…♡…それじゃあ、…これ、で……♡(絶頂に荒い息をしながら、その蕩けた顔で乃々ちゃんの唇を塞ぎつつ…♡乃々ちゃんの乳首の根元をぎり…♡と爪痕残すように掻き、その爪で先端まで挟んで潰して…♡…ぴんっ♡と最後には鋭く弾いて…♡痛めの刺激の後には、撫でるような指がよしよしと柔らかく触れて…それを繰り返しながら乃々ちゃんの乳首を責めます…♡)乃々ちゃんも…イっちゃえ…♡イっちゃえ……♡♡♡
  (2023/2/24 07:42:53)

森久保乃々> お願いします……♡ん、んむっ…♡んぅ……♡（唇を塞がれては、イノさんの荒い吐息を感じて…♡もりくぼにもその絶頂の余韻が伝わるようでもあり…♡そのまま乳首をとっても強く引っ掻かれてしまえば、強すぎる刺激に電流が走ったみたいで…♡もりくぼの乳首、こんなにひどくいじめられているのに、気持ちよさだけが体を支配していて…♡それが終わったら優しく…♡飴と鞭のような愛撫に、乳首は絶頂に向かっていって…♡）い、イキます…っ♡乳首で、イかされちゃう…♡あ、あ、ぁ…♡っく…♡んぁぁぁぁぁっっっ……♡♡♡（乳首を強く引っ掻かれた瞬間に、溜まった快感が爆発しては、びくびく…体を震わせてイっちゃって…♡）
  (2023/2/24 07:47:55)

桜衣乃> ……………♡ぷ、ぁ…♡……あ、は…♡乃々ちゃんも…イっちゃいましたね…♡(身体震わせる乃々ちゃんを抱きしめて…よし、よし…♡って、乳首撫でてあげて…♡)…えへ、朝からお疲れ様でした…♡…とっても気持ちよかったですよ…♡それこそ……もう行かなくちゃいけないのがとても悲しいほどに……。(ちゅ、ちゅ…、イってる乃々ちゃんのほっぺへのキスもいくつか…)
  (2023/2/24 07:51:13)

森久保乃々> はぁー…♡はぁ…♡お互い乳首でイっちゃいましたね……♡ん、ん…♡（もりくぼもそっとイノさんのおっぱいに手を置いては一緒に乳首よしよしして…♡）ふふ、朝からえっちしちゃいましたね…♡もりくぼも楽しかったです…♡ええ、ここでお別れなのはとっても寂しいですけど…今日が終わればまたお休みですから…♡（朝からありがとうございます、ともりくぼもお返しのちゅー…♡）
  (2023/2/24 07:53:29)

桜衣乃> …はい…♡今日、いっぱい頑張って…また、乃々ちゃんと一緒に遊びたいです…♡ それでは、ちょっとお着替えして出なくちゃいけませんので……ちょっと行ってきます、乃々ちゃん……♪(おでこくっつけては、お着替えのため奥の部屋に…♡)   (2023/2/24
07:56:52)

おしらせ> 桜衣乃さんが退室しました。  (2023/2/24 07:57:06)

森久保乃々> イノさんなら大歓迎ですよ……はい、いってらっしゃい…♡（ふりふり）   (2023/2/24 07:57:28)

森久保乃々> ふぅ…もりくぼも落ちておきましょうかね…ではでは、今日も一日がんばりましょう…（えいえいおー…）   (2023/2/24 08:02:22)

おしらせ> 森久保乃々さんが退室しました。  (2023/2/24 08:02:31)

おしらせ> 五十鈴れんさんが入室しました♪  (2023/2/24 10:41:17)

五十鈴れん> こ、こんにちはです…後で戻ると言いつつ…こんな時間になってしまいました…はい。少し…お邪魔します…（お部屋に戻ると既に静まり返って…隅のソファへと腰を下ろすと特にする事なく、偶にスマホの画面を眺めて…）   (2023/2/24
10:44:19)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/2/24 10:50:36)

五十鈴れん> お、お帰りなさいです…はい。待ち合わせ…もう終わったのですか…？（不思議そうに傾げ…）   (2023/2/24 10:52:15)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが入室しました♪  (2023/2/24 10:53:25)

結月ゆかり> (がらっ)夜勤も終わりました。お邪魔します…。ん、お話も終りましたよ。まぁ、誤解が溶けてよかったです(ふらりふらりとソファへうつ伏せにばたり)   (2023/2/24 10:54:02)

羽鳥智世 ◆> 戻りました…別に誤解というほど、重いものでもないはずですけど…。   (2023/2/24 10:54:56)

五十鈴れん> 智世さんも…お帰りなさいです…はい。え、えっと…その…早かったですね…（意味深…）   (2023/2/24 10:55:16)

結月ゆかり> ん、そうですね。智世と仲良しになっただけですし   (2023/2/24 10:55:33)

結月ゆかり> ……早漏って思われました？ゆかりさん   (2023/2/24 10:55:56)

五十鈴れん> 元から仲はいいと思います…ゆかりさんが一方的に変な距離感を作ってただけだと思います…はい（こくこく…）   (2023/2/24 10:56:25)

結月ゆかり> ふふ、もっと仲良くなったんですよ   (2023/2/24 10:56:57)

結月ゆかり> あー、まぁでも…無責任に色々言わないようには気をつけてますから   (2023/2/24 10:57:27)

五十鈴れん> 仲良くなるのは良いことです…はい。智世さんも…わ、私、個人としては最初の頃よりお話し易い感じなので…喜ばしいことです…（前髪揺らしながら頷き、頬緩め…）   (2023/2/24 10:58:37)

羽鳥智世 ◆> え、えっと…。なにか、変わった…のかな…？（なんだか、二人にあやされてるのでは、となって、あかあかしてしまった。）   (2023/2/24 10:59:21)

結月ゆかり> そう言われて見れば…前はもうちょいこっち来んなオーラがあったような？…別にからかってる訳じゃないですよ。雰囲気が馴染んで来てるというか…そんな感じです(くす)   (2023/2/24 11:00:08)

羽鳥智世 ◆> ……名前の呼び方変えた以外は、何も変えたつもりないんだけどな…。   (2023/2/24 11:00:46)

結月ゆかり> それで距離が縮まったのなら良いことでしょう？ふふ   (2023/2/24 11:01:36)

五十鈴れん> 何が…でしょうか…？私から見ると…最初の頃より積極的に距離を詰めて、仲良くしたいって意思を感じさせてくれます…はい。そ、それを悪く捉える人は居ないと思うので…私は嬉しかったですけど…（頷き…）   (2023/2/24 11:02:00)

羽鳥智世 ◆> それは……うん。みんなのそばにいられるなら、私はそれでいいけど…。れんとも、もっと仲よくなりたいし…。   (2023/2/24 11:02:51)

結月ゆかり> ふふ、なら近寄ってみたらいいじゃないですか(起き上がって智世の腕を掴んでぐいぐいとれんの方へ)   (2023/2/24 11:05:02)

五十鈴れん> は、はい…こちらこそ…また何時でも暇な時に誘って貰えればです…はい。あ、あの…ゆかりさんも一緒に近寄ればいいと思いますけど…（智世さん真ん中にして…左右を私とゆかりさんで埋めちゃって…）   (2023/2/24 11:06:30)

羽鳥智世 ◆> き、気づいたら真ん中になってる…（どっちを向いても好きな人。正面向いて少し縮こまった。あかあか。あかあか。）   (2023/2/24 11:09:13)

結月ゆかり> 何で距離取ると思われてるんですかね…(じと。挟むように座ってから腕を智世の腰に回して…撫でるように見せかけつつ、れんの脇腹を指でぐりぐり)   (2023/2/24 11:09:23)

結月ゆかり> 良いじゃないですか…ふふ。仲良くなったんですから♪(縮こまる背筋を伸ばしましょうか…ふー♡と生暖かい吐息を耳穴に吹きかけ)   (2023/2/24 11:10:23)

五十鈴れん> き…きゃ…⁉︎あ、あの…わざわざ遠くから擽らないで下さい…はい。んっ…♡暖かいです…（ゆかりさんを恨めしそうにじとっと睨めば、智世さんの手と手を重ねて…私の頭を肩へと預けると…緩く頬を擦ります…）   (2023/2/24 11:12:30)

結月ゆかり> 少しは信用してくれたっていいでしょう…？まったく。(睨みにジト目を合わせて、ぶつぶつ。背筋を伸ばして身長のあるゆかりさんは頭をよしよし、ってしましょうか)   (2023/2/24 11:14:19)

羽鳥智世 ◆> ひゃふっ……も、もう…そういういたずらは怒りますよｯ…（なんて、息を吹きかけてくる相手を少しにらみつつ。反対に、癒やしを求めてくるれんには、肩を貸して手をこっそりと恋人繋ぎに。）   (2023/2/24 11:16:33)

結月ゆかり> ふふ……さっきはまた会いたくなったとか言ってましたもんね？(恋人みたいにイチャイチャしたい、とも。…こんなだからこういう役回りばっかりですが)   (2023/2/24 11:18:08)

羽鳥智世 ◆> ……私の片手、まだあいてるけど…（じ、と相手を見つめながらフリーの片手を軽く揺らして見せて。）   (2023/2/24 11:20:31)

結月ゆかり> つなぐだけ、ですか？(ちら、と視線返しつつフリーの手を握り)   (2023/2/24 11:21:47)

五十鈴れん> こ、こういう役回りを自分からしてるゆかりさんです…偶にはもっと甘々で責めたらどうでしょう…恥ずかしいのですか…？（智世さんと恋人繋ぎした片手をぎゅ…♡そのまま腕に腕を絡めて身体を寄せて、首筋に吐息…掛かっちゃう距離まで顔を近づけます…）  
(2023/2/24 11:21:56)

結月ゆかり> …恥ずかしいのは、それはありますけどもっ。二人でイチャつかれちゃ入る隙間ないじゃないですかっ(じろ)   (2023/2/24 11:23:07)

五十鈴れん> だ…だから、智世さんを真ん中にしたじゃないですか…そこで、ゆかりさんもいちゃいちゃしないで引くからです…   (2023/2/24 11:24:13)

羽鳥智世 ◆> 別に求めてもらって構わないです。私も嫌なら…、ちゃんと言います。（指の根元をスリスリしながら、頬をれんの頭に押し付けて、これがナデナデのかわりにしようと）   (2023/2/24 11:25:35)

五十鈴れん> それとも…ゆかりさんが真ん中になって、私と智世さんからいちゃいちゃして欲しかった…ですか？（頬緩めながら、傾げ…）   (2023/2/24 11:25:44)

羽鳥智世 ◆> ふたりでっていいますけど、私は甘えてきても受け入れますよ。（ゆかりとも恋人繋ぎにして、鎖骨のあたりに口唇をのせてみせて）   (2023/2/24 11:26:32)

結月ゆかり> なるほど、その発想は無かったですね…。それはまぁ、できるなら？…耐えられるかは怪しい…ですけども(めそらし)   (2023/2/24 11:27:04)

結月ゆかり> ん……。でもそれじゃ、忙しいかなと思いまして…(若干眉下げつつ、無茶なら無茶でいいので…と指を強めに握り返して、口付けに応える様に自分からも額に軽く口付け送り)   (2023/2/24 11:28:23)

五十鈴れん> 智世さんの方がゆかりさんより…積極的じゃないですか…えへへ（智世さんの首筋に顔を埋めると…そっと唇当てて…啄む様に動かしながら身体を押し当て…前髪の隙間から上目で反応を伺ってます…）   (2023/2/24 11:29:36)

結月ゆかり> …それはさっき、言いましたから。ね？(何がとは言いませんが、自分がしたいようにすればいい、と…お話したので。軽く瞳を細めて首を傾げ、智世へ同意求め)   (2023/2/24 11:31:06)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/24 11:31:28)

五十鈴れん> 戯れ合うくらいなら…そこまで反応いりませんし…こうしてのんびりみんなでいちゃいちゃも偶には良いと思います…（こくこく…）   (2023/2/24 11:31:32)

後藤ひとり> 誤入室です…   (2023/2/24 11:31:41)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/24 11:31:43)

五十鈴れん> ひとりさんも、こんにち…帰ってしまいました…はい   (2023/2/24 11:32:48)

結月ゆかり> んー、そうですね…訓練不足でしょうね。…ここで誰かにべったり甘えるとか──！ぼっちちゃんに覗かれてますよ！！   (2023/2/24 11:32:59)

結月ゆかり> …ん。でも分かった気がしました。さっきの答え(ふんす)   (2023/2/24 11:34:06)

羽鳥智世 ◆> 二人に求められて、忙しいのは、嬉しいことだから大丈夫だよ。それに、そうやられてれんにくっついて、自分はひとりぼっちってされる方が気まずいよ。（当てられるたびにちくりとした感触に目を細めながら唇を、れんの鼻先に押し当てて、愛情を伝えたいと）  
(2023/2/24 11:35:45)

五十鈴れん> か、勝手に答えを導き出しました…はい…。な、何か問題を出されていたのでしょうか…   (2023/2/24 11:35:56)

結月ゆかり> れんが笑ってくれなくなった理由とか甘えてくれなかった理由、です(くす)   (2023/2/24 11:36:58)

羽鳥智世 ◆> 自分のしたいように…というか…うん。欲しいものは、してほしいことはちゃんと声に出して態度に表しましょう、って話をしただけだよね。（ゆかりにも、って鼻先にキスをして、繋いだ両手を指先の根本、それぞれ指輪の代わりにするようにゆるく圧迫し合いながら）
  (2023/2/24 11:38:32)

五十鈴れん> んっ…擽ったいです…えへへ…。お返し…します、はい（鼻先に唇の柔らかさ貰えば、こちらも智世さんの頬に唇当てて…手を握りながら顔をそのまま耳へと寄せると、裏側を尖らせた舌先で擽ります…）   (2023/2/24 11:40:56)

結月ゆかり> …そうですね。簡単な事です…。遠慮したら何も伝わりませんし…(鼻先を自分から寄せて、忙しそうな智世を気遣いつつ、指先を自分からも絡ませてにぎ、にぎとしっかり返事を返せばじんわりと伝わってくる温もりに、こちらも熱くなってしまいそうで。熱籠もる吐息を浴びせながら首筋へ軽く唇を押し当てて)
  (2023/2/24 11:41:49)

羽鳥智世 ◆> 私は…ふたりとも大好きなので…絡めないってすねるよりも人前でも頑張ってくっつきたいです（耳をなめられると、ひゃ、って身体をぴくんと跳ねさせて。いたずらっ子、って少しジト目に）   (2023/2/24 11:43:46)

羽鳥智世
◆> れんも最初に言ってくれたけど……私が仲良くしたいってただ言うより、一歩踏み出して、絡もうとしたほうが良かったっていうのが、多分何よりもの証拠だと…思う。（ゆかりと鼻先同士で擦り合わせるようなキスをして。二人からそれぞれキスマークをつけられてしまえば、消したくなくて、なんだか愛しくすら思う）
  (2023/2/24 11:46:59)

五十鈴れん> はい…智世さんが仲良くしたいって気持ち…いっぱい伝わってますから…はい。残念ですけど…私はそろそろお昼の用意です…また会えたら遊んで下さい。ゆかりさんは…お休みですか？ちゃんと身体…休めて下さい…（名残惜しそうに身体を離すと…体温だけ受け取り…ゆかりさんにも耳の近くに唇ひとつだけ渡すと…顔赤らめて頷き…2人へとを手振りました…）
  (2023/2/24 11:48:46)

おしらせ> 五十鈴れんさんが退室しました。  (2023/2/24 11:48:54)

羽鳥智世 ◆> れんはおつかれさま…。また夜か、明日の朝…遊ぼうね。（   (2023/2/24 11:49:49)

結月ゆかり> ん…だからあんな風に積極的…だったんですね。そこまでされる理由も…よくわかりませんでしたから…。というか余計な心配ばかり掛けて申し訳ないくらいでしたし…(そう考えたらなんだかおかしくってくすくす、と智世の眼の前で肩を揺らして。何かを思い出したかのように頭をあげると時計に視線を送り)そう言えば制限時間は午前中とか言ってませんでしたっけ？
  (2023/2/24 11:51:04)

結月ゆかり> …それを言う前に、寝てください。そしたら休みますから…はい、行ってらっしゃい♪(耳元に口付け落として離れていくれんの手を軽く握っては体温だけを伝えて見送り)   (2023/2/24 11:52:40)

結月ゆかり> ふふ、また狙ってる人が増えちゃいましたね…！   (2023/2/24 11:52:58)

羽鳥智世
◆> そうですね…そろそろタイムリミットです。　する理由は無いですけど、仲良くしてみよう、したいと思ったから傍に来ていただけかな。（頷きながら。　ずっと自分なりに地下に行ったり、朝に顔を出したり。）その甲斐あって、朝によく合う人たちとはみんなお部屋に行けましまし…らぶらぶです。
  (2023/2/24 11:55:54)

結月ゆかり> 色んなところ、行ってましたもんね…。その思う気持ちを大事にしてください…それが無くなったら、誰とも繋がれなくなっちゃいますからね…。(ぼそ)ん。ふふ、ゆかりさんとはまだ未遂、じゃないですか。まぁ今日は予定が頓挫したのもありましたけど…次こそは、ですよ♪(ぁ、それとも先にれんのほうがいいですか？なんて、耳もとでぼそり)
  (2023/2/24 11:58:25)

羽鳥智世 ◆> そうですね、頑張って…来季に向けて、そして、今みんなと仲良くするために頑張らないと。（頷き）　私はそこまでの予定は知らないから…そうですね、次こそは。（…ふたりとも、選べないくらい好きですよ）   (2023/2/24 12:01:20)

結月ゆかり> ふふ、じゃあ帰りましょうか。ゆかりさんもご飯食べたいですし…！(ソファから先に立ち上がると繋いだ手をそのまま引張り、部屋の外へ)さ、早く行きましょ。遅れちゃいますよ！   (2023/2/24 12:05:54)

おしらせ> 結月ゆかりさんが退室しました。  (2023/2/24 12:05:58)

羽鳥智世 ◆> そうですね、お疲れさまでした。   (2023/2/24 12:06:58)

おしらせ> 羽鳥智世 ◆TaduQjWkbwさんが退室しました。  (2023/2/24 12:07:01)

おしらせ> 桜衣乃さんが入室しました♪  (2023/2/24 12:08:12)

桜衣乃> と、いれかわりでお昼ごはん休憩です♪   (2023/2/24 12:10:18)

おしらせ> 森久保乃々さんが入室しました♪  (2023/2/24 12:10:36)

森久保乃々> 同じくもりくぼです…   (2023/2/24 12:10:47)

桜衣乃> あ、乃々ちゃん♪こんにちは〜♪　休み明けどうですか〜？   (2023/2/24 12:11:36)

森久保乃々> こんにちは……特に変わったことはありませんけど…   (2023/2/24 12:12:17)

桜衣乃> あ〜、よかったです♪　私の方は何やら不穏な空気があって今日どうなることやら〜って感じです！   (2023/2/24 12:13:42)

森久保乃々> 不穏……大丈夫なんでしょうか…もりくぼにはどうすることも…いえ、もりくぼのパワーを分け与えれば…（ぎゅ）   (2023/2/24 12:15:01)

桜衣乃> ふふ、乃々ちゃんパワーもらってやる気は出てきましたが、お仕事が増えるも出来るも私の力の及ばないところで決定するのでモチベは出ません♪　乃々ちゃんとこうしてくっついてるほうが一千万倍良いです……（ぎゅうぎゅう…）   (2023/2/24
12:16:42)

森久保乃々> あ、はい……もりくぼとくっついているだけでいいなら……その通りに…（手を腰にまわして、むぎゅー…）   (2023/2/24 12:18:36)

桜衣乃> 朝はもっとイイコトしましたもんね♡あれで今日一日元気でない〜なんてありえません！なので、お昼はこうしてショートチャージして……また帰ってからお休みの間にどこかで、乃々ちゃんとし〜っぽりするんです♡（むぎゅられたら、どうくっつくか乃々ちゃんにおまかせしながら……乃々ちゃんのお顔にお胸ぽふり♪）
  (2023/2/24 12:21:04)

森久保乃々> ……まあ、もりくぼもあれで元気は出ました…はい……もしかしてもりくぼ、イノさんにかなり狙われてますか…？（おっぱいに顔を埋めると…そのまますりすりと…温かさとイノさんの香りを楽しむように……顔が見えないのをいいことににやけた表情になって）  
(2023/2/24 12:24:30)

桜衣乃> んふ、添い寝もして、キスもして、乳繰り合ったりもしましたけど、肝心のがまだできてないじゃないですか〜…♪　もちろん私が部屋を離れてたりもありましたけど、乃々ちゃんとは落ち着いた時間で、ゆっくりじっくりとシたいな〜って思ってます♡（むにゅり、乃々ちゃんの頭ふわりと抱いて…）
  (2023/2/24 12:27:21)

森久保乃々> 全部しないと満足しないと……たしかにイノさんとはしたい気持ちもありますけど……大丈夫でしょうか、もりくぼイノさんを狙う人たちに刺されたりしませんよね…？（頭も抱かれて、さらにイノさんに包まれたみたいで…この柔らかいのをもっと楽しみたいと、腰に回してた手をおっぱいに持ってきては、もにゅもにゅとして…）
  (2023/2/24 12:31:11)

桜衣乃> だ〜いじょうぶです♪私を狙う子たちはみんな優しくて私よりかしこいので、私を取り合って喧嘩するよりもその子達でくっついてたりしますから♡　…ん、……♡乃々ちゃん、朝あんなにいじってくれたのに……まだ足りないんでしょうか…♡（おっぱいもにゅもにゅする乃々ちゃんを見下ろしては、朝方つけた首筋のキスマークをなぞり…♡）
  (2023/2/24 12:35:55)

森久保乃々> なるほど……確かにその傾向が強い気はしますけど……いえ、なんというか…物足りないというわけではありませんけど…せっかくイノさんに会えたので……もったいない精神？（もりくぼはおっぱい星人ではないですけど……こうして揉んでいると少し安心しますね…首筋をなぞられると、キスマークがあることを思い出し、耳を赤くして…）
  (2023/2/24 12:39:02)

桜衣乃> 私は物足りないです♡今までできなかったぶんぜ〜んぶ乃々ちゃんとしたいししてあげたいので、それまでは乃々ちゃんにアグレッシブに行っちゃいますからね♡（キスマークの跡もっと残すように、さらに口づけて吸い付いて…♡）…こうして、予約とかもしちゃいます…♡
  (2023/2/24 12:43:58)

森久保乃々> すごい圧を感じるんですけど……！まあ…はい……もりくぼもイノさんに求められるのは…悪い気はしないので…時間があるときにでも……はい…（キスマークさらに濃くされて……これ、何日も残っちゃんじゃ）   (2023/2/24 12:46:37)

桜衣乃> ふふ、時間が合わないときは合わないときで他の子とイチャコラしてるでしょうから、乃々ちゃんが刺される心配もナッシングです♪　…乃々ちゃんから、お部屋来てくださいって裾でも掴まれたら飛んでいっちゃいますけど…♡（お約束♡と、小指同士繋げて、年甲斐もなく指切りげんまん…♪）あるいは私から連れ去っちゃったりとか？乃々ちゃんはどっちがいいでしょうね〜……♪
  (2023/2/24 12:50:47)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/2/24 12:52:21)

後藤ひとり> ど、どうも……(ぐて)   (2023/2/24 12:52:28)

桜衣乃> あ、ひとりちゃん！？どうしたんですかそんなに疲れて……   (2023/2/24 12:54:22)

森久保乃々> もりくぼから誘うのは…やっぱり難易度が高いというか……完璧なのは…もりくぼのことを察してお部屋に招いてくれることですけど……（約束ですね…と指切り見守っては微笑んで）そろそろ時間ですし、もりくぼは行きますけど……その前に…ん…（イノさんと向き合っては、軽く唇を重ねて…ちゅー…これで午後も、がんばれます…）
  (2023/2/24 12:54:28)

森久保乃々> ひとりさんが死にかけてる…   (2023/2/24 12:54:46)

後藤ひとり> りょ、旅行の疲れが………まだ半分なのに……   (2023/2/24 12:55:05)

森久保乃々> ……ここに来ているからじゃないですか？   (2023/2/24 12:55:22)

後藤ひとり> 昨日は9時間寝たのに……   (2023/2/24 12:56:30)

桜衣乃> はい、私ももう時間なので……ん…♡（ちゅー…♡乃々ちゃんのお願いにまっすぐと唇を重ねて…♡）はい、午後もお互いに頑張りましょうね、乃々ちゃん…♡　…ふふ、察する力は私にはまだまだなところがありますから、わかりやすく合図くださいね♪  
(2023/2/24 12:57:05)

森久保乃々> 合図ですか…はい、頑張ります……それではひとりさんもまた……（ひらひら）   (2023/2/24 12:57:47)

桜衣乃> たくさん寝たのに……お疲れ様ですひとりちゃん。　…えっと、午後もがんばれのちゅーしますか？（答えを聞くより先にほっぺにちゅー）   (2023/2/24 12:57:53)

おしらせ> 森久保乃々さんが退室しました。  (2023/2/24 12:58:03)

後藤ひとり> もう歳なんです………あ、ど、どうも……(キスを受けてテンパリ)   (2023/2/24 12:58:16)

桜衣乃> 行ってらっしゃいませ、乃々ちゃん♪　…ひとりちゃんは私よりひとつしか変わらないじゃないですか……えっと……というわけで私ももう戻らないとなので……マッサージは他の子にお願いしてくださーいっ……   (2023/2/24 12:59:08)

桜衣乃> では、桜衣乃午後も学校にお仕事頑張りま〜す！   (2023/2/24 13:00:00)

おしらせ> 桜衣乃さんが退室しました。  (2023/2/24 13:00:06)

後藤ひとり> マッサージは大丈夫です……あ、はいお疲れ様でした   (2023/2/24 13:00:06)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/24 13:00:14)

おしらせ> 博衣こよりさんが入室しました♪  (2023/2/24 16:42:33)

博衣こより> こんこよぉ   (2023/2/24 16:42:43)

おしらせ> 無言時間が25分を超えたため、博衣こよりさんが自動退室しました。  (2023/2/24 17:07:47)

おしらせ> 結月ゆかりさんが入室しました♪  (2023/2/24 21:46:36)

結月ゆかり> …久しぶりにぐっすり寝た気がします(と言いつつもっと眠れます。ソファに深く腰掛けてぐったりと背もたれに背中を預け)   (2023/2/24 21:47:38)

おしらせ> 錦木千束さんが入室しました♪  (2023/2/24 21:50:07)

錦木千束> やっほぉー(とりゃーとソファに寝てるゆかりのとなりに座って)   (2023/2/24 21:50:49)

結月ゆかり> ん。いらっしゃいませぇ…元気ですね、ふふ(くす)   (2023/2/24 21:51:41)

錦木千束> 元気になったぁ千束だぜぇー(どやぁ)   (2023/2/24 21:52:30)

結月ゆかり> 元気になったって、なにかあったんですか？   (2023/2/24 21:54:20)

錦木千束> 何かあったわけじゃないよぉ、ただ元気になれることがあったってだけ(にひひ)   (2023/2/24 21:55:16)

結月ゆかり> …へぇ。あれですか、パチンコで勝ったとか！(屑)   (2023/2/24 21:56:18)

錦木千束> 私そういうことしないで(冷静なかえし)   (2023/2/24 21:56:54)

結月ゆかり> じゃあ、何したんですか？ソシャゲのガチャでいい引きしたりとか   (2023/2/24 21:57:43)

錦木千束> まーそんな感じだねぇ   (2023/2/24 21:58:40)

結月ゆかり> ふむふむ。ゆかりさんもウマ娘で神引きしたので気分はいいですよ(ふふん)   (2023/2/24 21:59:16)

錦木千束> 師匠でも引けたのかぁ?(鋭いよみ)   (2023/2/24 21:59:53)

結月ゆかり> いいえ、サポカの50連でピックアップのカードを3枚抜きできました。あとは無料十連で天井踏んで凸アイテム入れれば完凸です(ふんす)キャラガチャも回しましたけど、CB引く前にいっぱい出ましたねターボも   (2023/2/24 22:02:34)

錦木千束> おーそれはうれしいねぇ。私も1枚だけSSRになったなぁーまー使える奴ではないけど(ふむふむ)おーそれはよかったねぇ   (2023/2/24 22:04:05)

結月ゆかり> ラモーヌは向こう半年は外れないカードですからね…完凸確定取れたのは大きいです！まぁ、それでもまだまだ星3には遠いんですけど…   (2023/2/24 22:05:33)

錦木千束> そうなんだぁはじめたばかりｄからわかんないや。がんばれぇー、私もいろんなゲーム頑張るよ。   (2023/2/24 22:07:45)

結月ゆかり> ふふ、あんまりオススメはできませんからね…。適当でいいですよ、適当で。他になにやってるんですか？   (2023/2/24 22:08:51)

錦木千束> まーそうだねぇ。程ほどに、頑張る。プリコネとかどっかんとかいろいろだよぉ。   (2023/2/24 22:09:49)

結月ゆかり> 色々やってるんですね…プリコネも、まぁ無料十連やってますしね   (2023/2/24 22:10:37)

錦木千束> いろいろしてるよぉ。うんうん、今日は虹背景なかったのに星3が2体でたからびっくりした。   (2023/2/24 22:11:47)

結月ゆかり> …あれ、もう確率2倍終わってますよね。それはびっくりしますよね   (2023/2/24 22:12:40)

錦木千束> 終わってるねぇ。唐突にきたからさぁ、え?ってなったししかもほしいキャラ1体当たったから嬉しかったなぁ   (2023/2/24 22:13:56)

結月ゆかり> ゆかりさんはガチャ引いて読み込み出なかった瞬間落としました(無慈悲)   (2023/2/24 22:15:17)

錦木千束> あーあるあるだねぇ(うんうん)   (2023/2/24 22:15:48)

結月ゆかり> ん、そう言えばお風呂まだだったのでちょっと済ませて来ますねっ。ではでは～♪   (2023/2/24 22:18:42)

おしらせ> 結月ゆかりさんが退室しました。  (2023/2/24 22:18:49)

錦木千束> いってらっしゃい(ひらひら）   (2023/2/24 22:19:04)

錦木千束> さて私も落ちようかなぁお疲れ様   (2023/2/24 22:21:57)

