/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月01日 20時37分 ～ 2023年03月02日 10時37分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

森久保乃々> ひとりさんを好きにして…？！   (2023/3/1 20:37:11)
後藤ひとり> 桜Trickはだいぶ前ですね！？   (2023/3/2 00:29:53)

絹川みちほ> 転生王女と天才令嬢の魔法革命って出たけどこれ？   (2023/3/2 00:31:14)

大道寺きら ◆> 私も調べたがいずれ登場人物もここに現れるだろう   (2023/3/2 00:31:49)

後藤ひとり> そうそれです、もう既に居ますよ？   (2023/3/2 00:32:02)

大道寺きら ◆> 何！？   (2023/3/2 00:32:12)

後藤ひとり> アニスさんとユフィさんとイリアさんとレイニさんは……   (2023/3/2 00:33:20)

絹川みちほ> 結構このお部屋に来てたね   (2023/3/2 00:34:26)

後藤ひとり> 探せば見つかるかと……   (2023/3/2 00:35:01)

謎のヒロインXオルタ> …む、すみません、私はそろそろお暇させて頂こうと思います、皆さんお付き合いありがとうございました…おやすみなさい、です…   (2023/3/2 00:35:04)

大道寺きら ◆> そうなのか？   (2023/3/2 00:35:10)

大道寺きら ◆> ああ、お休みだ。えっちゃん   (2023/3/2 00:35:19)

おしらせ> 謎のヒロインXオルタさんが退室しました。  (2023/3/2 00:35:26)

後藤ひとり> あ、お疲れ様ですまた会えたらお話よろしくお願いします   (2023/3/2 00:35:30)

桜花あさひ ◆> えっちゃんおやすみなさいだ〜♪   (2023/3/2 00:35:55)

絹川みちほ> おやすみなさい、えっちゃん   (2023/3/2 00:36:10)

後藤ひとり> 皆さんはどうします？   (2023/3/2 00:37:50)

大道寺きら ◆> 私もそろそろ帰るとしよう・・・お休みだ諸君！（白衣を来てスライムと一緒に帰って）   (2023/3/2 00:38:38)

おしらせ> 大道寺きら ◆i6fJKa45IIさんが退室しました。  (2023/3/2 00:38:41)

桜花あさひ ◆> あさひはみんながいるならまだ起きてたいぞ〜…   (2023/3/2 00:39:10)

桜花あさひ ◆> おやすみなさいだぁ♪   (2023/3/2 00:39:17)

絹川みちほ> きら冷ましながらおやすみなさい   (2023/3/2 00:39:22)

絹川みちほ> きら様おやすみなさい   (2023/3/2 00:39:29)

後藤ひとり> 私は起きます…   (2023/3/2 00:39:50)

絹川みちほ> 私ももう少し起きてようかな   (2023/3/2 00:40:19)

おしらせ> 無言時間が25分を超えたため、天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが自動退室しました。  (2023/3/2 00:41:02)

おしらせ> 犬走椛さんが入室しました♪  (2023/3/2 00:42:18)

犬走椛> わふ…こんばんはですね。ついついお風呂で寝過ぎました……   (2023/3/2 00:42:48)

後藤ひとり> あ、椛さんこんばんは   (2023/3/2 00:42:48)

桜花あさひ ◆> ガヴ姉ちゃんお疲れ様だ〜…と、こんばんはだっ♪   (2023/3/2 00:42:54)

絹川みちほ> お疲れ様   (2023/3/2 00:43:30)

絹川みちほ> こんばんは   (2023/3/2 00:43:34)

犬走椛> きら様とはすれ違いでしたか…。もう少し早ければ……まぁ、また会えるでしょう。この時間帯に居るのであればですが…   (2023/3/2 00:44:21)

犬走椛> それにしても、今日も盛況ですね。どの部屋も。   (2023/3/2 00:44:51)

後藤ひとり> たまにはこういうのもありですねバランスも良いですし   (2023/3/2 00:45:10)

犬走椛> いつも人数が偏りますもんねー…今日は珍しくバランスが取れてます   (2023/3/2 00:47:15)

絹川みちほ> そうだね、結構来てるよね   (2023/3/2 00:48:34)

後藤ひとり> ですね……良いことです   (2023/3/2 00:48:43)

桜花あさひ ◆> この位が好きだなぁ…♪   (2023/3/2 00:48:50)

後藤ひとり> ですです……   (2023/3/2 00:49:39)

絹川みちほ> だねー   (2023/3/2 00:52:54)

桜花あさひ ◆> いーっぱい人がいるとあさひ追い付けなくなっちゃうんだ〜……   (2023/3/2 00:55:20)

後藤ひとり> でもみんなウトウトしてそうです……それは分かる……   (2023/3/2 00:55:27)

犬走椛> 流れるのが早いんですねー…追いつけないのは分かります…   (2023/3/2 00:57:53)

後藤ひとり> 私も孤独に……(うう)   (2023/3/2 00:58:34)

絹川みちほ> 私も追いつけなくなるよー……   (2023/3/2 01:01:30)

桜花あさひ ◆> 人が多いと埋もれちゃうなぁ……(ごろん)   (2023/3/2 01:02:08)

後藤ひとり> ぼっち同盟……   (2023/3/2 01:03:05)

犬走椛> なんて悲しい同盟なんでしょうか……   (2023/3/2 01:06:26)

後藤ひとり> 楽しいですよ……案外   (2023/3/2 01:06:37)

絹川みちほ> そうなの？つんつん   (2023/3/2 01:07:27)

後藤ひとり> はい……仲間意識湧いて…   (2023/3/2 01:08:34)

絹川みちほ> なるほどねー   (2023/3/2 01:12:49)

後藤ひとり> みなさんも仲間です！   (2023/3/2 01:13:33)

桜花あさひ ◆> おーっ♪ふふ、みんな仲間だ〜♪   (2023/3/2 01:14:15)

後藤ひとり> 4人ズッ友です……   (2023/3/2 01:14:28)

絹川みちほ> ズッ友！嬉しいなー   (2023/3/2 01:15:16)

犬走椛> 久々に優しい世界にいる気がします…   (2023/3/2 01:15:58)

後藤ひとり> 今までどんな世界に……   (2023/3/2 01:16:18)

犬走椛> ヤりまくってましたからねー。意外と新鮮な空気です   (2023/3/2 01:21:45)

絹川みちほ> そっちー   (2023/3/2 01:22:05)

後藤ひとり> 意味深だ……   (2023/3/2 01:23:18)

絹川みちほ> いやーん   (2023/3/2 01:25:16)

おしらせ> 滞在時間が360分を超えたため、桜花あさひ ◆gAmHDzY8Wcさんが自動退室しました。  (2023/3/2 01:25:59)

後藤ひとり> あ……   (2023/3/2 01:27:08)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/2 01:30:05)

桜花あさひ ◆> ただいまだぞっ   (2023/3/2 01:30:12)

犬走椛> おかえりです   (2023/3/2 01:30:29)

後藤ひとり> お帰りなさいませ……   (2023/3/2 01:31:27)

桜花あさひ ◆> えへへ、長くいたぞ〜♪   (2023/3/2 01:31:57)

後藤ひとり> 長いですね……私も多分そろそろかも……   (2023/3/2 01:32:07)

絹川みちほ> ６時間居ても退室になるんだね…よしよし   (2023/3/2 01:32:38)

後藤ひとり> にしても花粉症が辛いです……   (2023/3/2 01:36:24)

絹川みちほ> ひとりちゃん大丈夫…？よしよし   (2023/3/2 01:36:40)

桜花あさひ ◆> 花粉症〜……あさひ全然分からないけどすっごい辛そうだなぁ…(なでなで)   (2023/3/2 01:37:27)

後藤ひとり> そこそこ大変です……   (2023/3/2 01:37:44)

後藤ひとり> 辛いですよ……(撫で受け)   (2023/3/2 01:37:50)

桜花あさひ ◆> くしゃみ止まらなかったり涙とか〜……   (2023/3/2 01:43:59)

後藤ひとり> 鼻詰まり……くしゃみ……目の痒み……   (2023/3/2 01:44:23)

絹川みちほ> どれも辛い……   (2023/3/2 01:44:54)

後藤ひとり> 辛いです……   (2023/3/2 01:48:12)

桜花あさひ ◆> 変わってあげたいぞ〜……っ(むぎゅぅ)   (2023/3/2 01:48:20)

後藤ひとり> あさひさんに辛い思いはさせられません……(撫で)   (2023/3/2 01:49:29)

絹川みちほ> 代われるなら代わってあげたい…むぎゆ   (2023/3/2 01:50:35)

おしらせ> 滞在時間が360分を超えたため、後藤ひとりさんが自動退室しました。  (2023/3/2 01:50:46)

桜花あさひ ◆> ひとり姉ちゃんが辛いのもやだぞ〜……みんなで花粉症分けたら楽に……   (2023/3/2 01:51:09)

桜花あさひ ◆> はっ、ひとり姉ちゃんもっ   (2023/3/2 01:51:16)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/2 01:51:24)

後藤ひとり> はっ……   (2023/3/2 01:51:30)

絹川みちほ> 時間ってのは早いね…   (2023/3/2 01:51:44)

後藤ひとり> ですね……さすがに眠気も……   (2023/3/2 01:52:20)

絹川みちほ> もう２時だもんね…早い   (2023/3/2 01:54:03)

後藤ひとり> 早いです……それと椛さんが……   (2023/3/2 01:54:41)

桜花あさひ ◆> 寝ちゃってるみたいだな〜……   (2023/3/2 01:54:57)

絹川みちほ> 椛ちゃんも寝たかなあ   (2023/3/2 01:54:59)

おしらせ> 無言時間が25分を超えたため、犬走椛さんが自動退室しました。  (2023/3/2 01:55:42)

後藤ひとり> 残り3名です…   (2023/3/2 01:57:32)

絹川みちほ> あとは私達だね   (2023/3/2 01:59:49)

後藤ひとり> どうします？寝ます？   (2023/3/2 02:01:45)

桜花あさひ ◆> 静かだな〜……♪   (2023/3/2 02:02:00)

後藤ひとり> 3人ですからね……   (2023/3/2 02:03:41)

絹川みちほ> ひとりちゃんとあさひちゃんと、もう少し話してたいけど…少しウトウトしてきてるからね…どうしよう   (2023/3/2 02:05:11)

桜花あさひ ◆> んぅ、みんなで寝るか…？(首傾げ)   (2023/3/2 02:06:02)

後藤ひとり> 私は少し話せますが……とはいえ疲れもありますし……   (2023/3/2 02:07:03)

絹川みちほ> うーん、どうしよかな   (2023/3/2 02:09:55)

後藤ひとり> 寝ます？……もう2時だし……   (2023/3/2 02:12:14)

桜花あさひ ◆> あさひは2人に合わせるぞ〜…♪もっとお話するのも、一緒に寝るのもっ♪   (2023/3/2 02:13:06)

絹川みちほ> そうだね、寝ようかな…？   (2023/3/2 02:14:20)

後藤ひとり> 寝ますか……(布団を用意して)   (2023/3/2 02:14:30)

絹川みちほ> あさひちゃん合わせてくれるんだね   (2023/3/2 02:14:37)

桜花あさひ ◆> ふふ、お話も大好きだし、眠たいなら寝ないとだしっ♪   (2023/3/2 02:16:09)

絹川みちほ> 二人ともありがと、よしよし   (2023/3/2 02:16:59)

桜花あさひ ◆> えへへ、どういたしましてだぞ〜♪   (2023/3/2 02:20:20)

後藤ひとり> ですね……(2人を撫でね)   (2023/3/2 02:20:28)

絹川みちほ> ふふっ…♪   (2023/3/2 02:25:07)

桜花あさひ ◆> ふふ、じゃあお布団だなぁ♪(すりすり)   (2023/3/2 02:26:58)

絹川みちほ> だね。みんなで一緒に、ね   (2023/3/2 02:28:12)

後藤ひとり> ですね……(体をよせて布団へ)   (2023/3/2 02:28:37)

絹川みちほ> ふふっ、添い寝もいいね   (2023/3/2 02:29:13)

後藤ひとり> ですね……♪   (2023/3/2 02:30:04)

桜花あさひ ◆> みんなで寝たら暖かくてよく眠れるよなぁ……♪   (2023/3/2 02:31:41)

絹川みちほ> うんっ♪   (2023/3/2 02:32:09)

後藤ひとり> おやすみなさい…♪(体を寄せて)   (2023/3/2 02:33:42)

桜花あさひ ◆> んぅ……ぽかぽかだぁ…(布団に入ってうとうとと)   (2023/3/2 02:34:22)

絹川みちほ> おやすみなさい、ひとりちゃん、あさひちゃん（そっと身体を寄せて）   (2023/3/2 02:34:51)

桜花あさひ ◆> うん〜……♪みちほ姉ちゃんも〜ひとり姉ちゃんも〜……♪おやすみなさいだぞ〜…♪(すりすり)   (2023/3/2 02:37:16)

後藤ひとり> おやすみなさいです……みちほさん♪あさひさん♪   (2023/3/2 02:37:50)

絹川みちほ> うんっ♪（二人にすりすり）   (2023/3/2 02:38:24)

後藤ひとり> では……♪(目を閉じて)   (2023/3/2 02:39:50)

桜花あさひ ◆> おやすみのちゅーだぞ〜……♪(2人の頬にちゅーっと)   (2023/3/2 02:40:17)

後藤ひとり> はい……♪(2人の頬にキス)   (2023/3/2 02:41:38)

絹川みちほ> ん…私も♪（私も続けて二人の頬にキス）   (2023/3/2 02:42:25)

後藤ひとり> じゃあおやすみです……♪   (2023/3/2 02:43:19)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/2 02:43:21)

絹川みちほ> うん、おやすみなさい……♪   (2023/3/2 02:43:40)

おしらせ> 絹川みちほさんが退室しました。  (2023/3/2 02:43:48)

桜花あさひ ◆> おやすみなさいだぁ……♪   (2023/3/2 02:45:00)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/3/2 02:45:01)

おしらせ> 森久保乃々さんが入室しました♪  (2023/3/2 04:39:41)

森久保乃々> あー……おはようございます…もりくぼです……   (2023/3/2 04:40:12)

森久保乃々> ……もう少し寝ておきますかね   (2023/3/2 04:46:37)

おしらせ> 森久保乃々さんが退室しました。  (2023/3/2 04:46:44)

おしらせ> レンさんが入室しました♪  (2023/3/2 07:07:39)

レン> お…今日は一番乗りかな。(ガチャリ。気配のしない室内を見渡して挨拶する必要もないと判断すれば…そのままソファへ仰向けに寝そべり)…どーせ誰も居ないんだし、いつもの格好でいいよな…(スマホを取り出して頭の上でぽちぽち)   (2023/3/2
07:11:49)

おしらせ> 琴葉茜さんが入室しました♪  (2023/3/2 07:15:00)

琴葉茜> おはようさーん…（お腹摩りつつ。）　お、レンちゃんは今日も早いなぁ。（対面のソファに腰を下ろすとホットのコーヒー缶をお腹に押し当てて、ぐてぇ。）   (2023/3/2 07:16:51)

レン> ぁ…おはよう。ん、どうかしたの？お腹(…なにやら具合が悪い様子。スマホを手慣れた様子でポケットに押し込むとあぐらっぽい感じで脚を組みつつかくんと首かしげ)   (2023/3/2 07:18:48)

琴葉茜> いやどうも昨夜からお腹の具合がよろしくなくてなぁ…べつに悪いもん食べた覚えはないんやけど。あ、心配かけたらごめんな、痛いだけでそうまでやばいやつちゃうから（ソファに背を預けつつ、ずるーっと姿勢を崩し…というか視点を下げて）　…その格好、スカートのなか見えるで？（あぐらの中心ガン見で。）
  (2023/3/2 07:22:50)

レン> ふぅん…。(女の子特有のアレではないらしく、ほっと内心胸を撫で下ろしつつ…)でも、食あたりとかいつ来るかわかんないし…？俺も当たったことあったし…(お店で出された刺身炙りったヤツで2時間くらい悶絶してたけど、でもそんな長いのは経験無い……って、上向きながら頭の後ろで腕を組んでいれば突然の指摘にばっと股間の部分を閉じながら抑え込み…)……っ。み、見んな…！！
  (2023/3/2 07:28:53)

琴葉茜> ありがとうな（安堵されたので一応お礼を述べつつの）まぁ確かに…食べたもんがなんも悪くなくてもお腹が逝くことはありうる。まぁうちのはたぶん夕飯に食べたサンドイッチにハラピニオ入ってたからやと思うんやけど（悪いもん食っとるやんけ。うちは消化器官が弱いからなぁーって苦笑を返す電脳生命体。）　えー、見えるくらいええやん、別に減るもんでもないやろー？
  (2023/3/2 07:35:50)

レン> それって、胃が弱ってたり…？あー、でも俺も乳製品とか…特にヨーグルトとか好きでいっぱい飲むと壊れたりするからなぁ…(胃じゃなくてもっと下の方がぴーぴーしちゃう。ハラピニオ…？エキノコックスみたいなもん？つまり寄生虫)　俺の中の見えない大事なものがすり減ってくんだよっ
  (2023/3/2 07:40:15)

琴葉茜> いや、胃は全然平気なんやけどもな。腸のほうがちょっと……あー乳製品はお腹壊れるよなぁ。あれ体質やからどーしようもないとか聞いたことある…　あ、知らん？ハバネロの親戚みたいなヤツなんやけど（つまり？とても辛い。）　何が減るというのか。まぁそんなら減ったぶんはなんかで補填すればええやん………代わりにうちの見る？（短めのスカートの端っこ摘んで、誘うみたいにぴらっ。ぴらっ）
  (2023/3/2 07:45:15)

レン> なんだ、俺と同じかぁ。辛味は毒ではあるから、うん…まぁ、仕方ないよ。ペヤングの極激辛ファイナルとかあれもうほぼ毒だし…(おしりがヤバくなるのも知ってるから食べたことないけど。)　それじゃ補填されないし、別に見なくっていい…！(顔を横にふんっ。…ってしつつ、横目で…ちら、ちら。気になっちゃわないというのは嘘になるから…じろり)
  (2023/3/2 07:50:23)

おしらせ> 花隈千冬さんが入室しました♪  (2023/3/2 07:53:09)

花隈千冬> くぁ……おはようございます。（のそのそ   (2023/3/2 07:53:39)

琴葉茜> おそろいやんな♡まぁ乳製品はまた違う理由らしいけど、辛いもんは単純に刺激物やからな…ふふ、被害者ヅラしとってなんやけど、実は腸が弱いから辛いもんを食べるとこうなることは最初から分かっとった…それでもたまに食べたくなる…食べたくなるんや…（遠い目をしつつ何か格好つけてる風でぜんぜん格好はついていない。もちろんお尻もヤバなる）　そお？まぁレンちゃんはそう大っぴらにこういうの見たがらんか。まだ平日やしお互い仕事も学校もあるからなぁ………なら個室ならどう？（もそもそとソファの隣に這いずりつつ。お腹いたいから動きにぶにぶやけども。）
  (2023/3/2 07:55:47)

琴葉茜> はいおはよーさん。眠そやなー。   (2023/3/2 07:56:07)

花隈千冬> 微妙に計画性のないことしたせいで遅くまで起きてましたからね……   (2023/3/2 07:57:08)

琴葉茜> あるある。うちもよくやる。（ふかくうなずく）   (2023/3/2 07:57:38)

花隈千冬> ログを読む限り茜さんがまたセルフアナルハントをしてた、と。（うとと）　あんまりやるもんじゃないんですけどね……   (2023/3/2 07:59:33)

レン> …ああ。わかってても食べちゃう、飲んじゃうのは…俺もないわけじゃないから。(分かってても飲むヨーグルトを紙パック一本空けちゃうし…。壊すのは分かってるけど、覚悟の上でやってるから後悔も反省もしないんだけど…。)　時と場合によるかも。今はそういう雰囲気じゃないし、俺は今日も学校だからっ…(って、無理してまでこっち来なくっていいから！とりあえず追い返しはしないけどソファへ引きずりあげて。じ、時間があったら、な？それは……っ)
  (2023/3/2 08:01:30)

レン> あ、おはよう。こっちも具合悪そう…？   (2023/3/2 08:01:49)

花隈千冬> あ、私は眠いだけだから大丈夫ですよ。（おててひらひら）   (2023/3/2 08:02:18)

おしらせ> 京町セイカさんが入室しました♪  (2023/3/2 08:03:21)

京町セイカ> おはようございまーす   (2023/3/2 08:03:38)

おしらせ> 京町セイカさんが退室しました。  (2023/3/2 08:03:43)

おしらせ> 京町セイカさんが入室しました♪  (2023/3/2 08:03:52)

花隈千冬> え…なにがしたかったのこわ……   (2023/3/2 08:04:02)

琴葉茜> 待て待て待て。え何て？セルフアナルハントて何…？いや字面から想像はつくけどまたて何…！？（えうちどういうイメージ持たれとん…？）   (2023/3/2 08:04:23)

琴葉茜> あ、あー……飲むヨーグルトは確かに美味しい。お腹ゆるくなるの分かっててもついつい飲んじゃうのはようわかる（そしてうちも後悔はしてへんのでまったくの同意。頷きつつもそれでもお腹は痛い…ッ）　それはたしかにそう。うん、やから週末あたりデートせーへん？てお誘いをやな（ソファに引っ張り上げて貰ったのを良いことにもそりと寄りかかりつつ。時間なら合わせるでー？）
  (2023/3/2 08:04:28)

京町セイカ> え？何その単語…こわ…   (2023/3/2 08:04:47)

琴葉茜> 端末切り替えたかったんちゃう？　はい、おはよーさん…　いや知らん。千冬ちゃんに聞いて？   (2023/3/2 08:05:26)

花隈千冬> 後ヨーグルトを勝手に飲むとトド岩に送られてしまうので気をつけてくださいね。私も六花先輩のヨーグルト良く勝手に食べてバトルしてますし。（頷き）　   (2023/3/2 08:05:33)

京町セイカ> あぁ、こわって私に対してね？そそ、端末変更   (2023/3/2 08:05:58)

レン> ちゃんと寝ないと結局具合悪くならない？おはよう、なんだかんだ朝から集まるね…   (2023/3/2 08:07:00)

花隈千冬> 茜ちゃんのイメージと言えば可愛い見た目の裏腹の性豪（？）   (2023/3/2 08:10:30)

琴葉茜> なんかこのあたり、朝方から午前中にかけてわりと人入りが多いイメージあるよな…　え、性豪てそんな。うち全然やで？たぶんここらで一番えっちつよつよなの間違いなく衣乃ちゃんやろ。   (2023/3/2 08:12:10)

レン> …だ、大丈夫？(痛いなら楽な姿勢してたほうがいいと思うけど…。仰向けとか？回復体位みたいな負担少ない格好とか…)週末かぁ…なんか予定あったかも。でも、夜なら空いてるとは思うんだけど…時間までは分かんないから、他に適当な人と遊んでたって良いなら…しよっか？(なんか友達が遊ぼ遊ぼって騒いでた気がした。でも、夜通し遊ぶことはないから。ていうか、そんな付き合ってらんない！)
  (2023/3/2 08:12:30)

京町セイカ> ほら、茜ちゃんに限った話じゃないけど動画によく使われる立ち絵描いてる人がエロ同人描いてたりするじゃない   (2023/3/2 08:13:11)

レン> ヨーグルト好きな人多いんだ…。いっぱい食べてお腹壊してるの俺だけかと思ってたよ(あはは…ぽりぽり)   (2023/3/2 08:13:13)

花隈千冬> 名前ピンクの人はすべからずやばいやつですよ。   (2023/3/2 08:13:57)

レン> …まー、俺も合間時間できやすいのがこの時間だからね。だから結構集まりやすいとかもありそうだけど   (2023/3/2 08:14:08)

花隈千冬> 一応6時間弱は寝てるはず……なので……（うん。   (2023/3/2 08:14:17)

花隈千冬> まーた、翡○石先生の話ですか？   (2023/3/2 08:15:54)

琴葉茜> お腹痛いときは姿勢どうしたとこであんまり変わらんから、せめて誰かとひっついてると気が紛れる気せん？（あんまり体重掛けすぎないように気をつけつつ肩寄せて、すん、すん。嗅ぐな嗅ぐな）　お、ええ？わぁい♡　そんなら週末……明日か明後日くらいの夜てことで（まぁそのぶん夜遊びに付き合わせてしまう形になりそうな。さすがに夜通しかどうかはわからんけども。）
  (2023/3/2 08:17:16)

京町セイカ> それ以外にもいるけどね？まぁそれを見た後に該当の立ち絵の動画を見ると「でもこの茜ちゃん裏で○○してるのよね…」みたいに思っちゃうことってない？   (2023/3/2 08:17:17)

花隈千冬> あとはm◎u先生と……誰いたかな……茜ちゃんじゃないけどじぇろいち○ろー先生はスケベ係数高くて好きですね。   (2023/3/2 08:18:41)

琴葉茜> エロ絵書いたほうがPV上がりそうな気するからなぁ…絵師のエロ率は自然と高くなるんちゃうやろか…　まぁ立ち絵とエロ絵いっしょに描いてたら裏でどうこうみたいなイメージになるのもわからんではないけど。   (2023/3/2 08:19:51)

琴葉茜> いや待って待ってそんなピンクぜんぶを淫ピ扱いするみたいな。ピンクてあれやろ、うちの知ってる限り、うち、衣乃ちゃん、ひとりちゃん、フィーちゃん、ヴエコちゃん、　………………。（目線を逸らすな。黙るな。）　あっ、あれやで、IAちゃんとかいろはちゃんはそこまででもないやろ…！？　　たぶん。
  (2023/3/2 08:21:50)

京町セイカ> なんというか茜ちゃんがどうこうよりも同じ作画の茜ちゃんってところに意義があると思うのよね。公式絵師のエロイラストにみんなが脳を壊されるみたいな。   (2023/3/2 08:22:49)

花隈千冬> あれでいろはさんも結構えっちですし……。　IAさんは……人じゃないので……。（目そらし）ピンクはエッチということでよくありませんか（よくはない）   (2023/3/2 08:23:44)

京町セイカ> …ちーちゃんも大概だと思うな   (2023/3/2 08:26:05)

レン> …や。具合悪い時は大体一人で悶えてるから、知らない…(首を左右にぶんぶん。看病とかともこれは違うし…って、何嗅いでんの？！思わず手が出そうになるけど、我慢我慢。具合悪いんだから許さないと…)　うん、わかったよ。でも、0時過ぎても来れなかったら…多分もうその日は…って感じだから。あ、その前に誰か誘いたくなったらその人と遊んでてもいいし…さ？(俺は平気、ちゃんと寝てるし。あと出来るだけお互いに負担にならない形にした方がいいと思うから…うん。それでいいなら、遊ぼう？って頭をさわさわ)
  (2023/3/2 08:26:18)

琴葉茜> うちらボイロの類て、プログラムだけに下手に多重存在なせいで絵師というか作画というかごとにイメージついたりするんかな…。　あぁ公式絵師がエロいの出すのは確かにやばい。版元に怒られそうやけど。　　まぁ順位はどうあれうちはピンクですけべやから否定はせんけど。ほかの子にはごめんなさいしよな？
  (2023/3/2 08:26:27)

花隈千冬> 花隈はそうでもないはずですね（？）   (2023/3/2 08:26:29)

レン> …ふーん。やっぱりピンク色が多いのは気のせいじゃなかったんだ…。俺みたいに黒いのとか逆にレア？   (2023/3/2 08:27:19)

花隈千冬> 公式絵師に今日私唐突にバニー着せられたんですけど（？）　ごめんなさいしないといけないピンク……いますか？   (2023/3/2 08:27:42)

京町セイカ> その点ピンクサイドの少ない私は安心ね。なんか違う変なイメージつきがちだけど   (2023/3/2 08:28:27)

花隈千冬> 爆乳三銃士がなにか言ってますね……   (2023/3/2 08:29:52)

琴葉茜> お、おう…そうか。（魔女の子に囲まれとるかと思てた。…なんか気遣われて我慢されると、それはそれで弱みに漬け込んでるような気がして罪悪感を覚えたので、悪さするのやめよう…。）　０時リミットな、りょーかい。まぁ、ずっと待たれててもそれはそれで重いやろしな。レンちゃんも無理せんで気が乗ったらでええからな？（撫でられてくすぐったそうに、えへー）
  (2023/3/2 08:30:31)

京町セイカ> それは私のせいではないわよ！？   (2023/3/2 08:31:14)

琴葉茜> ……………。（だから黙るな）＞ごめんなさいしないといけないピンク   (2023/3/2 08:31:31)

琴葉茜> まぁまぁ、おっぱいの大きさが戦力の決定的な差ではないから。   (2023/3/2 08:32:10)

花隈千冬> でもこの人腋出しムチムチ合法ロリ巨乳ですよ。（ひそひそ）   (2023/3/2 08:33:21)

京町セイカ> さすがに私の見た目で合法ロリは通らなくない？茜ちゃんと並んだら流石に歳上には見えるでしょ？   (2023/3/2 08:34:07)

琴葉茜> ふむ…。（ぴくしぶでぺちぺち）   (2023/3/2 08:34:23)

琴葉茜> …あんまりロリて感じはせんけど爆乳なのは間違いないな。   (2023/3/2 08:36:01)

花隈千冬> ピクシブタグ、あなたはロリ巨乳です。   (2023/3/2 08:36:17)

京町セイカ> 〜〜〜(顔赤くして身体を丸めながら)   (2023/3/2 08:36:30)

京町セイカ> マジで結構ついてるじゃないロリ巨乳タグ…   (2023/3/2 08:37:07)

琴葉茜> あとな。あとな。   (2023/3/2 08:37:16)

レン> …いや、まぁ心配はされるけど、泣きつきたく無さがあるっていうか…(男だし我慢しなきゃ、って意地もあるし。…ん。大人しく離れてくれたのでふー…と深めに吐息を漏らして、やれやれって首を振ってから…そんな事しなくたって、したいって言ってくれたら…良いのに。って、小さくぼそり)　うん、そこはお互いにやりやすい感じで。気負ったら疲れちゃうと思うしさ。気楽なのが一番だよ(肩を揺らしながらくすくす。)
  (2023/3/2 08:37:18)

京町セイカ> えー、トランジスタグラマーまでならまだわかるけど…   (2023/3/2 08:38:04)

琴葉茜> ぴくしぶでのエロ絵の割合な。　千冬ちゃんはだいたい全体投稿のなかでのエロの割合、1/10。　うちは1/9。   (2023/3/2 08:38:07)

琴葉茜> セイカちゃん。1/6。　つまりセイカちゃんはうちよりスケベ。　以上QED。   (2023/3/2 08:38:28)

京町セイカ> 分母の違いを無視して割合を語るのは詐欺の常套手段よ茜ちゃん…   (2023/3/2 08:38:58)

レン> どっからがロリかって割と曖昧だよな。絵師でロリロリしてる人も居るし   (2023/3/2 08:39:45)

花隈千冬> まぁ……セーちゃんが一番業が深いということでいいのでは（？）   (2023/3/2 08:40:44)

京町セイカ> 私のロリ扱いなんてみるくぱんだ先生の仕業だと思ってたわ…   (2023/3/2 08:40:54)

レン> …分母の違いまで出しちゃったら露骨に人気の差とか出て、生々しくならない？それ(多分一番分母少ないのは俺だと思うけど…)   (2023/3/2 08:41:08)

京町セイカ> 業ってなにさ！   (2023/3/2 08:41:14)

花隈千冬> エロ率は分母の違いを是正するために割合で算出してますからね。   (2023/3/2 08:42:36)

レン> みるくぱんだって…俺、何年か前にPSO2のキャラばっか描いてたイメージあるんだけど   (2023/3/2 08:42:55)

琴葉茜> あー……身近なぶん、つい意地も張っちゃう感じ…？（そういうとこは男の子やんなー、って微笑ましげに。…せやて、それでいいよって言って貰っても逆に切ないやん？お互い長居でけんの分かってるもん。とか耳ざとく聞きつけて小声でぼそり）　せやな、あんまり重たくなりすぎると億劫になってしまうからなぁ。　っと、そろそろ良い時間やな、うちもお仕事の準備せな。（まだお腹痛いけど。よいしょー、と立ち上がりぎわに、ほぺたにちゅー♡　手付金がわり♡）
  (2023/3/2 08:43:16)

