/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年03月20日 20時13分 ～ 2023年03月21日 18時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

朝倉可憐> だいたい女の子だから大丈夫かな…そしたら…。   (2023/3/20 20:13:58)
天童アリス> 私来た意味がなくなりました(よしよし）   (2023/3/21 01:16:29)

後藤ひとり> 埋もれないから少しだけいいかも……(むぎゅ)   (2023/3/21 01:17:25)

絹川みちほ> （二人ともよしよし）   (2023/3/21 01:17:58)

天童アリス> まーそうですねぇ(むぎゅう)   (2023/3/21 01:18:26)

朝倉可憐> 起きてはいます。   (2023/3/21 01:18:26)

後藤ひとり> 起きてた……   (2023/3/21 01:18:50)

後藤ひとり> ですねえ……(すりすり)   (2023/3/21 01:18:54)

天童アリス> 片方は起きてました。   (2023/3/21 01:19:06)

天童アリス> ですよねぇ(よしよし）   (2023/3/21 01:19:23)

絹川みちほ> みんなよしよし   (2023/3/21 01:19:47)

後藤ひとり> 落ち着きます……(すりすり)   (2023/3/21 01:20:34)

天童アリス> 落ち着きます(よしよし）   (2023/3/21 01:21:19)

後藤ひとり> えへへ……(むぎゅ)   (2023/3/21 01:21:38)

天童アリス> ふふ(よしよし）   (2023/3/21 01:21:49)

後藤ひとり> 好きです……(うへへ)   (2023/3/21 01:23:56)

天童アリス> よかったです(ちゅ）   (2023/3/21 01:24:46)

後藤ひとり> しばらくこうしてます……(んちゅ)   (2023/3/21 01:25:06)

カレン> ふぐあっ！完全に寝る前に戻っておくかのう、またの（すぅううと朝倉と一体化）   (2023/3/21 01:25:22)

おしらせ> カレンさんが退室しました。  (2023/3/21 01:25:27)

天童アリス> ひとりさんはあまえんぼうですね(2ちゅ）   (2023/3/21 01:25:32)

天童アリス> あっ、御疲れ様です。   (2023/3/21 01:25:45)

後藤ひとり> 好きなので……(ちゅう)   (2023/3/21 01:26:00)

後藤ひとり> あ、お疲れ様です   (2023/3/21 01:26:04)

天童アリス> ふふ、私もすきですよ?(ちゅ）   (2023/3/21 01:27:04)

後藤ひとり> 嬉しい……(むぎゅ)   (2023/3/21 01:28:07)

朝倉可憐> おかえり、カレンちゃん。   (2023/3/21 01:28:20)

おしらせ> 滞在時間が360分を超えたため、後藤ひとりさんが自動退室しました。  (2023/3/21 01:28:20)

朝倉可憐> うん……ひとりさんもそうだよね…   (2023/3/21 01:28:37)

天童アリス> えへへ(むぎゅうう）   (2023/3/21 01:29:10)

絹川みちほ> んん…   (2023/3/21 01:29:33)

天童アリス> まー1時間後にはいって来てたらそうもなる...   (2023/3/21 01:29:39)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/21 01:29:45)

後藤ひとり> 忘れてた……(アリスさんによりかかり)   (2023/3/21 01:30:05)

天童アリス> 忘れますよね(よしよし）   (2023/3/21 01:30:52)

朝倉可憐> 私もそろそろ今日は寝てくるね…。また遊んでほしいな。   (2023/3/21 01:31:14)

朝倉可憐> おやすみなさい   (2023/3/21 01:31:16)

天童アリス> はーい、御疲れ様でした。   (2023/3/21 01:31:30)

おしらせ> 朝倉可憐さんが退室しました。  (2023/3/21 01:31:37)

絹川みちほ> おやすみなさい、可憐ちゃん。また会おうね   (2023/3/21 01:31:42)

後藤ひとり> 忘れがちです……(ぎゅ)   (2023/3/21 01:31:51)

天童アリス> 私もそろそろねうけが(ぎゅう）   (2023/3/21 01:32:16)

後藤ひとり> 解散します？…(すりすり)   (2023/3/21 01:33:14)

天童アリス> 解散しましょうか(すりすり）   (2023/3/21 01:33:40)

絹川みちほ> 解散   (2023/3/21 01:34:06)

絹川みちほ> 解散？（二人をまじまじと見ていて）   (2023/3/21 01:34:18)

天童アリス> 解散ですかね?(はい)   (2023/3/21 01:34:35)

後藤ひとり> お疲れ様です……(アリスさんに頬にちゅ)   (2023/3/21 01:35:12)

絹川みちほ> じゃあ、解散前に二人をつんつん   (2023/3/21 01:35:15)

天童アリス> お疲れ様でしたぁ(ちゅって二人にきす)   (2023/3/21 01:35:38)

おしらせ> 天童アリスさんが退室しました。  (2023/3/21 01:35:41)

絹川みちほ> お疲れ様、また会おうね   (2023/3/21 01:35:52)

後藤ひとり> お疲れ様でした、また会えたらよろしくお願いします   (2023/3/21 01:36:32)

おしらせ> 後藤ひとりさんが退室しました。  (2023/3/21 01:36:34)

絹川みちほ> おやすみなさい、皆   (2023/3/21 01:36:43)

絹川みちほ> じゃ、あたしも寝ようかな、おやすみなさい   (2023/3/21 01:37:04)

おしらせ> 絹川みちほさんが退室しました。  (2023/3/21 01:37:07)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/3/21 01:37:49)

桜花あさひ ◆> こんばんはだっ、もう少し早く来れたら良かったのにな〜……っ   (2023/3/21 01:38:01)

おしらせ> 堂領姫子さんが入室しました♪  (2023/3/21 01:44:08)

堂領姫子> こんばんは…いらっしゃりますか？   (2023/3/21 01:44:43)

堂領姫子> ほんの少し後だったようですね。もう少しだけ待っておくべきでしたね。   (2023/3/21 01:46:13)

堂領姫子> （つんつん）   (2023/3/21 01:46:58)

桜花あさひ ◆> はっ、こんばんはだっ！   (2023/3/21 01:47:56)

堂領姫子> ええ、こんばんは。   (2023/3/21 01:48:29)

桜花あさひ ◆> えへへ、来てくれて嬉しいぞぉ♪   (2023/3/21 01:49:24)

堂領姫子> ふふ、ありがとうございます♪貴女の事は、みちほから聞いていますよ   (2023/3/21 01:50:00)

桜花あさひ ◆> ふふ、みちほ姉ちゃんのお友達なんだなっ♪   (2023/3/21 01:50:33)

堂領姫子> ええ♪私は堂領姫子。みちほは同じ学園に通う友達です   (2023/3/21 01:51:50)

桜花あさひ ◆> 姫子姉ちゃんだなっ♪ふふ、あさひはあさひだぞっ、よろしくなぁ♪   (2023/3/21 02:00:41)

堂領姫子> ええ、よろしくお願いします、あさひさん♪   (2023/3/21 02:01:40)

桜花あさひ ◆> ふふふっ、いーっぱいお話しようなぁ♪（むぎゅぅっ）   (2023/3/21 02:11:14)

堂領姫子> ふふっ、そうですね♪（そっとよしよし）   (2023/3/21 02:13:35)

桜花あさひ ◆> ん、えへへ♪あさひよしよしされるの大好きだぁ♪（すりすりと手に頬擦りして）   (2023/3/21 02:19:19)

堂領姫子> それはよかったです♪(頬ずりするあさひちゃんを、反対の手て続けて撫でて）   (2023/3/21 02:21:03)

桜花あさひ ◆> ふふ、姫子姉ちゃんの手暖かくて気持ちいいぞ〜……♪(ふにゃ、と心地よさそうに笑って)   (2023/3/21 02:29:10)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/3/21 02:39:32)

後藤ひとり> 眠れず来ちゃいました   (2023/3/21 02:39:40)

後藤ひとり> 2人とも寝ましたね   (2023/3/21 02:47:04)

おしらせ> 無言時間が25分を超えたため、堂領姫子さんが自動退室しました。  (2023/3/21 02:47:04)

桜花あさひ ◆> はっ、うとうとしてたぞ……っ   (2023/3/21 02:53:42)

桜花あさひ ◆> 姫子姉ちゃんおやすみだ〜…お返事遅くなっちゃってごめんなぁ……   (2023/3/21 02:53:55)

後藤ひとり> あ、眠いなら無理せず…   (2023/3/21 02:55:08)

おしらせ> 堂領姫子さんが入室しました♪  (2023/3/21 02:56:17)

堂領姫子> んん……すみません   (2023/3/21 02:56:27)

桜花あさひ ◆> 姫子姉ちゃんおかえりだっ！   (2023/3/21 02:56:41)

桜花あさひ ◆> んぅ、大丈夫…だぞっ   (2023/3/21 02:56:48)

後藤ひとり> 結局寝れずに……   (2023/3/21 02:57:08)

桜花あさひ ◆> えへへ、2人も来てくれて嬉しいぞ…♪   (2023/3/21 03:01:22)

後藤ひとり> あさひさんが寂しそうでしたので……♪   (2023/3/21 03:01:47)

桜花あさひ ◆> ふふふっ、嬉しい嬉しいぞーっ♪（ぴょんぴょん）   (2023/3/21 03:04:32)

後藤ひとり> 可愛いですね……♡(なでなでむぎゅ)   (2023/3/21 03:05:56)

桜花あさひ ◆> んぅ、えへへ♪姫子姉ちゃんもひとり姉ちゃんもありがとなぁ♪（むぎゅぅ）   (2023/3/21 03:08:06)

後藤ひとり> 私は褒められたことしてないですよ……♪(つんつん)   (2023/3/21 03:09:05)

桜花あさひ ◆> 来てくれるだけで嬉しいんだぞっ♪   (2023/3/21 03:11:38)

後藤ひとり> あさひさんのためならいくらでも……♪(なでなで)   (2023/3/21 03:12:01)

桜花あさひ ◆> えへへ…♪ひとり姉ちゃん優しいなぁ♪(にこにこ)   (2023/3/21 03:14:59)

後藤ひとり> それほどでも……♪(なでなで)   (2023/3/21 03:16:24)

桜花あさひ ◆> ひとり姉ちゃん大好き大好きだっ♪(すりすり)   (2023/3/21 03:17:50)

桜花あさひ ◆> 姫子姉ちゃん寝ちゃったか……？(首傾げ)   (2023/3/21 03:18:00)

後藤ひとり> 嬉しいですよ……♪(ちゅっ)   (2023/3/21 03:18:08)

堂領姫子> 二人とも可愛いです   (2023/3/21 03:21:00)

桜花あさひ ◆> んっ♪ふふ、お返しだぞ〜♪(ちゅーっとほっぺたに)   (2023/3/21 03:23:20)

桜花あさひ ◆> 姫子姉ちゃんとも一緒にぎゅーってしたいぞ〜♪   (2023/3/21 03:23:35)

堂領姫子> 私もしたいですよ♪（二人ともぎゅ）   (2023/3/21 03:25:20)

後藤ひとり> こうしますか……♪(むぎゅ)   (2023/3/21 03:25:29)

桜花あさひ ◆> えへへ♪3人ならもっと暖かいぞ〜…♪(2人の間でぽかぽか)   (2023/3/21 03:27:28)

後藤ひとり> ホカホカです……♪(なでなでぎゅー)   (2023/3/21 03:30:20)

堂領姫子> 暖かいですね♪   (2023/3/21 03:31:59)

後藤ひとり> ですねえ……♪   (2023/3/21 03:33:46)

桜花あさひ ◆> ん……ふふふ♪よく眠れそうだぞぉ…♪(すりすり)   (2023/3/21 03:34:06)

後藤ひとり> 寝ますか？……♪(くす)   (2023/3/21 03:34:23)

桜花あさひ ◆> ん〜ぅ、でももう少し〜……♪   (2023/3/21 03:36:20)

後藤ひとり> ですね……♪起きますか♪   (2023/3/21 03:36:43)

桜花あさひ ◆> えへへ、もう少しだけ夜更かししちゃうぞっ♪(すりすりむぎゅっ)   (2023/3/21 03:42:55)

後藤ひとり> いいですね……♪(なでなで…ぎゅー)   (2023/3/21 03:43:21)

桜花あさひ ◆> ちょっとだけ悪い子だぞ〜…♪(ほっぺにちゅぅ)   (2023/3/21 03:47:16)

後藤ひとり> 悪い子はおしおきですよー？♡(うりうり)   (2023/3/21 03:49:56)

桜花あさひ ◆> おしおき……ふふふ、負けないぞっ♪(くすくす)   (2023/3/21 03:54:10)

後藤ひとり> 嘘ですけどね……♡(つんつん)   (2023/3/21 03:55:39)

おしらせ> 無言時間が25分を超えたため、堂領姫子さんが自動退室しました。  (2023/3/21 03:57:18)

桜花あさひ ◆> んぅ、嘘ついたな〜…っ！ふふ、くすぐったいぞぉ♪   (2023/3/21 03:58:06)

桜花あさひ ◆> 姫子姉ちゃんおやすみなさい〜……か？   (2023/3/21 03:58:14)

後藤ひとり> 可愛い子におしおきは出来ませんね……♪(抱きしめて頬ずり)   (2023/3/21 03:59:11)

桜花あさひ ◆> えへへっ、安心したぞ〜♪ふふ、ちゅ〜…♪(ふに、と柔らかい唇をほっぺたに)   (2023/3/21 04:03:02)

後藤ひとり> んっ……//ありがとうございます……///(こちらも頬にキス)   (2023/3/21 04:04:47)

桜花あさひ ◆> ん、ふふ♪こっちにはしないのか〜…♪？(キラキラ目を輝かせながら唇を軽く尖らせてみて)   (2023/3/21 04:08:14)

後藤ひとり> もちろんしますよ……♪(唇に唇を重ねて)   (2023/3/21 04:10:36)

桜花あさひ ◆> んぅ…♪ふふ、ちゅーするのも好きだぁ♪(膝に座ってちゅ、ちゅと小さく何回も)   (2023/3/21 04:13:08)

後藤ひとり> 私も好きですよ……♡(唇に唇を何度も重ねたり舌で唇を舐めたり)   (2023/3/21 04:15:05)

桜花あさひ ◆> ふふ、同じだなぁ♪ん、ちゅぅ〜…♪(ひとり姉ちゃんの手を握って前のめりになりながら)   (2023/3/21 04:17:36)

後藤ひとり> ですね……♪そろそろ寝ます？……♪(抱き寄せなが頭を撫でて)   (2023/3/21 04:19:27)

桜花あさひ ◆> えへへ、そうだなぁ…♪あさひも眠たくなってきたし……(むぎゅぅ)   (2023/3/21 04:21:10)

後藤ひとり> なら寝ますか……♪(抱き合って布団の中へ)   (2023/3/21 04:21:43)

桜花あさひ ◆> うん♪ふふ、今日も一緒にだなぁ♪(布団に潜り抱きつき)   (2023/3/21 04:23:39)

後藤ひとり> 何時でも歓迎ですから……♪(抱きしめながらもウトウト)   (2023/3/21 04:25:23)

桜花あさひ ◆> えへへ、あさひも一緒だと嬉しいぞ〜……♪んぅ……ふふ、おやすみだなぁ……♪(瞼を擦り、目を閉じて)   (2023/3/21 04:27:50)

後藤ひとり> おやすみなさい♡あさひちゃん……(最後におでこにキスだけして)   (2023/3/21 04:28:59)

桜花あさひ ◆> おやふみ……だ〜…♪   (2023/3/21 04:32:15)

後藤ひとり> このままおやすみなさい……♪   (2023/3/21 04:33:25)

桜花あさひ ◆> えへへ、またなあ……♪   (2023/3/21 04:37:13)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/3/21 04:38:03)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2023/3/21 04:58:33)

おしらせ> BBペレさんが入室しました♪  (2023/3/21 06:04:07)

BBペレ> ふあぁ…朝のBBちゃんでーす…でも眠くてなにもやる気が起こりませぇーん。二度寝しちゃおうかなぁ（ソファでごろりと丸くなる）   (2023/3/21 06:04:31)

おしらせ> 桜衣乃さんが入室しました♪  (2023/3/21 06:07:17)

桜衣乃> おはようございますっ♪一晩眠ってすっかり元気な桜衣乃でーす♪ …おや、BBちゃんが珍しくgdgdになってます…。(ソファの上から顔を覗かせ…)   (2023/3/21 06:08:46)

BBペレ> BBちゃんは割りといっつもぐだぐだのんびりですよぉ？　その気になったら突如として元気いっぱいになるだけでぇーす…まぁ今朝は眠気が強くてアレですけどぉ（くあぁぁ、おおあくび）   (2023/3/21 06:09:41)

桜衣乃> こんな朝早くですものねぇ。かくいう私はもう目がさえさえで、昨日できなかった分誰か女の子を探していたところですが…♪ んっ、二度寝されるようでしたら、お布団持ってきましょうか？♪(と、毛布一枚用意しまして…)   (2023/3/21
06:12:14)

BBペレ> まぁ寝る時はちゃんと歩いて帰るので大丈夫ですよぉ、寝落ちはBBちゃんの美しさを損なっちゃいますもの（むくり、目をくしくし）　毎日誰か食べないと満足できないんですぅ？　日本人はお盛んなのですねえ、ストレス社会というやつなのでしょうか。  
(2023/3/21 06:13:47)

桜衣乃> おや、毛布はいりませんか〜。　…私の場合は誰かを食べたいというか……女の子とのお話が栄養源みたいなところがありますから、必ずしも性的な目で見てるわけではありませんよ！　もちろんえっちしてもらえた方が嬉しいですが！(きゃぴっ♡
ストレスとは無関係…と信じたいお年頃…)   (2023/3/21 06:17:23)

BBペレ> アイドルしてるんでしたっけ。そうなると男の人との会話の方が多そうですし、女の子養分は欠落しちゃう感じですかねえ。　というかアレですね、ちゃんと腰を据えてお話するのは初めてに近い気がしなくもないです。   (2023/3/21 06:18:42)

桜衣乃> はいっ、そういえばまともな自己紹介もしてなかったような？　改めまして、グループアイドル「フルーツタルト」のピンク担当、桜衣乃16歳です♡
一応東京在住で、ネズミ荘で他のメンバーと暮らしてはいるんですよ。その子達とは性的な関係は持ってませんけど…。なので、こうしてこのお部屋に女の子成分をこそこそ補給しに来ているわけです♡ よろしくお願いしますね♪   (2023/3/21 06:24:19)

BBペレ> ああ、ネズミ荘って元ネタがあったんですねえ。というかあなたの世界に繋がってるのでしょうか、ちょっとお出かけして社会秩序めちゃくちゃにしてみたいですね。　かくいうBBちゃんはぁ、BBちゃんでーす。まぁ盛り盛りに盛られた属性を全部説明すると痛い子になっちゃうので簡略化しますがー、まぁ立ち位置としてはラスボス的なものと思っていただければー。
  (2023/3/21 06:26:43)

桜衣乃> そうですよー？借金一億円抱えてて、私達これを返さないとネズミ荘が潰れて解散になっちゃうので……頑張って借金返してまーす…。ちなみに私の世界は基本変態しかいないので、BBちゃんみたいな子ウェルカムですよ！　…はい♪BBちゃんの活躍はかねがね…♪よくお部屋を賑わせていて、すごいなーと思っていました！一度他の子達を食べてるのをおかずに目の前で致させてもらったこともありますね♡
その節はごちそうさまでした…♡   (2023/3/21 06:30:37)

BBペレ> １億とはまぁ…平均的な人間の収入を思えばだいぶ厳しいように思えますが、アイドルというのはそんなにも稼げるものですか。度し難いですねえ。　BBちゃんは都度都度適当に過ごしてるだけですけどねえ、あなたみたいに盛り上げようとか責任感とか一切ありませんしー。BBちゃんは約束することと期待されることと責任を負うことと面倒事が大嫌いですからぁ。　――あー、ふたり同時相手のときですか。あれもだいぶ前のことですねえ。
  (2023/3/21 06:35:36)

桜衣乃> …それが、私達おちこぼれ集団でして…。そこまで人気もなく…。1億の道は遠いです〜…。(がっくり、うなだれて…) えぇ、責任感とか義務感とか…そういうのは全然いらなくって、みなさんとお話やえっちを自然に楽しんでいただければと思いますよ♪
もしもBBちゃんとの都合があえば、私もいただかれたいなーと思っていたんですけれどね……？ねむみの方はどうですか〜？   (2023/3/21 06:42:23)

BBペレ> アイドルでの成功者はほんの上澄みと聞きますからねえ、枕でもしたほうが稼げそうな気がしますけどー…まぁP活は価値観を壊すとも聞きますし、最終手段でしょうかねえ。　――んー、今はそういう気分じゃないかなぁ。まぁ何らかの要因でムラっと来たら一気にNPマックスになるのでアレですけれども。
  (2023/3/21 06:46:26)

桜衣乃> 枕営業とかJKにさせますか……まぁそれに近いことをしてなくもないんですけど……(めそらし。) …んふ、どうもそうみたいですねー…？眠い時はしっかり寝て、元気な時にいっぱいするのが一番です♪   (2023/3/21 06:50:13)

BBペレ> 表沙汰にならないだけで、そういうことは横行してそうですけれどもねえ。メディアの元締めが絡んでいるとなれば尚更で。　元気いっぱいのときはそれはそれでムラつきが起こりにくいんですよねえ。ほんのり疲れてるときに、なんかこう美味しそうな子がいたり、良い感じな空気になったらそのままぐわー、っと？
  (2023/3/21 06:52:17)

桜衣乃> ま、まぁ、今のところ枕とは無縁とだけ♪ …ふむー？でもわかるかもしれません。ちょっと疲れたときに、ふらーっと誰か女の子見つけて…こう、癒されたいって感じ！積極的にやらしい雰囲気にして、唐突におっぱじめたいですよね！   (2023/3/21
06:58:19)

BBペレ> 癒やされ…うーん……微妙にあなたとはセックス感が違う感じがしますねえ。どちらが正解とか良し悪しとかはありませんけど（ふーむ）   (2023/3/21 07:02:16)

桜衣乃> …あれ？違っちゃいましたか？　私はまったりえっちからハードなプレイまでなんでもアリですけど、基本甘イチャ好きでお疲れ気味な子が多いので、つい甘々しちゃってますねー。　もちろん倫理観ナシの乱交や特殊性癖全開なのも嗜んでますけど……  
(2023/3/21 07:08:40)

BBペレ> そもそもセックスにそこまで深い意味なんて求めませんからねえ…。したいからするしー、したくないからしないしー…疲れてる時はしたくなる可能性が高くなるだけということで。水を飲んだらおしっこしたくなり、排尿することに何か意味を求めたりはしないでしょう？　
  (2023/3/21 07:10:44)

おしらせ> 東北ずん子さんが入室しました♪  (2023/3/21 07:11:57)

東北ずん子> BBさんはどっちかというと私にもよっている気がします。なんていうか、挨拶の延長っていうか。ただちょっと楽しければオッケー、てきな！(とか適当いう   (2023/3/21 07:13:04)

桜衣乃> あー、なるほどー？　BBちゃんにとってセックスは自然なもの、なんですね♪したいからする、したくないからしない、うーん、当然なことのようで、忘れかけてた感情のような気がします。　…ずん姉様もそんな感じですね、挨拶の延長でセクハラやセックスってステキです…♡おはようございます♪
  (2023/3/21 07:15:44)

東北ずん子> まぁ、そこにお互いの感情は必要ですが、衣乃はより深く繋がり求めるようなイメージです。という事で。改めておはようございまーす(ひらひら   (2023/3/21 07:17:18)

BBペレ> 別に私も「愛などいらぬ」など言うつもりはありませんが、そういう愛を求める相手とはもう一歩踏み込んだ交流に至ってからですかねえ…。こういう場で深い感情を求め始めるとトラブルというか面倒くさいことになりますしい。はいおはようございます。  
(2023/3/21 07:22:22)

桜衣乃> さすが、ずん姉様はわかってらっしゃる♡
…まぁちょっと前までは、お相手がそもそもいない状況でしたので…？来てくださった方に、できる限りのおもてなしを、みたいな感覚で使っていたので……私の場合は一歩踏み込む前に本気LOVEでヤる癖、ついちゃってるのかもしれません♡   (2023/3/21
07:25:34)

東北ずん子> BBちゃんは軽くがいいですもんねー。わかります分かります。深くもいいですけど。気楽にたっぷり。あとくされなくねっちょり出来れば一番です！(きらっきら   (2023/3/21 07:27:03)

BBペレ> まぁそもそも、なにも考えたくはないですねえ。意味や理由をいちいちつけたり考えるのも面倒です。愛とかLOVEとか、感情という概念に対して重く考えすぎてるだけというアレかもしれませんが、このような場所でそれらを表現しても誠実さは欠片もなく価値を貶めているだけのように思えますし。
  (2023/3/21 07:32:23)

BBペレ> ……とか変なこと色々考え出すので、まぁ何も考えたくありませーん。   (2023/3/21 07:32:36)

東北ずん子> えっちはたのしい！これでいいですねっ   (2023/3/21 07:33:21)

桜衣乃> はーい♪じゃあ、私も考えないようにしまーす♪   (2023/3/21 07:33:47)

東北ずん子> あ、それとずんだをあがめよー(うねうね、衣乃に元垂れて   (2023/3/21 07:34:00)

おしらせ> 琴葉茜さんが入室しました♪  (2023/3/21 07:34:38)

BBペレ> ほんとに気に入った相手に対してはクローズな場所に引き込んでゆっくり交流深めればいいだけですしねえ。　眠気があると余計なこと言っちゃっていけませんねえ（おおあくび）   (2023/3/21 07:34:45)

桜衣乃> ｱｶﾈﾁｬﾝｶﾜｲｲﾔｯﾀｰ!   (2023/3/21 07:35:26)

琴葉茜> おはようさーん、茜ちゃんやで。いやぁ、今日て祝日やったんやな。昨日の夜までずっと忘れとったわ。おかげで夜更かしがはかどるはかどる…ふわぁ（あくび。まぁ祝日やなくてもわりと夜更かしはしがちやけども。）   (2023/3/21 07:35:28)

東北ずん子> ｱｶﾈﾁｬﾝﾝｶﾜｲｲﾔｯﾀｰ   (2023/3/21 07:35:49)

琴葉茜> ありがとーぉ♡　あ、衣乃ちゃん。あのあと確認してみたけど、お探しのログて窓際の連れションの話でよかった？（それやと渡したやつがそのままそれの筈なんやけどもー）   (2023/3/21 07:37:03)

BBペレ> さてBBちゃん眠気で対応力おちてきたので、ねてきまーす。ではではー   (2023/3/21 07:40:13)

おしらせ> BBペレさんが退室しました。  (2023/3/21 07:40:17)

東北ずん子> 茜ちゃんと私も今度あそびたいでーすっと、おやすみなさい！   (2023/3/21 07:40:31)

桜衣乃> あん、ずん姉様ったら……(もたれかかるずん姉様を支えつつ…) …はーい、BBちゃんはおやすみなさいませ〜♪   (2023/3/21 07:40:42)

琴葉茜> おつかれさーん。   (2023/3/21 07:41:25)

おしらせ> ひなさんが入室しました♪  (2023/3/21 07:41:29)

ひな> こんにちは）私の名前はひなです、私は23歳です）初心者のセックスモデル18歳以上）私はヌードで写真を撮られるのが好きです）リンクで私の写真を評価してください: ja.cat/id395692   (2023/3/21 07:41:32)

おしらせ> ひなさんが部屋から追い出されました。  (2023/3/21 07:42:01)

琴葉茜> ええよー。うちが眠くないときにな（お前だいたいいつも眠いやろ。）   (2023/3/21 07:43:04)

桜衣乃> そうですよー？　私が茜ちゃんにもらったやつはですね、はじめてお部屋でシたときのものですね〜…。   (2023/3/21 07:43:51)

東北ずん子> わたしもねむいんですけどね！ということで、二人にあいさつしたのでねますー   (2023/3/21 07:43:58)

おしらせ> 東北ずん子さんが退室しました。  (2023/3/21 07:44:10)

琴葉茜> ずん子ちゃんも眠いんかいー。ってもう寝とる…おやすみなー   (2023/3/21 07:44:22)

桜衣乃> あら、ずん姉様もおやすみですか？　祝日ですから、みなさん春眠ですね〜♪   (2023/3/21 07:44:29)

琴葉茜> え、嘘やん。ちょっとまってな（ごそごそ）   (2023/3/21 07:44:56)

琴葉茜> あ、マジやったわ。日付が１月になっとる（ぎゃー）   (2023/3/21 07:45:40)

桜衣乃> ミステイクでしたね〜、まぁ私も中身確認するのに手間取って、茜ちゃんが帰った後でわかったんですが……   (2023/3/21 07:47:06)

琴葉茜> うん、そこはすまんかったわ…　今ちょっと上げ直して……んあー、いちおうお部屋たてよか（ぽちぽち）   (2023/3/21 07:50:01)

桜衣乃> すみません〜、お手数かけます〜！   (2023/3/21 07:50:24)

琴葉茜> いやぁこっちこそすまんかったわー…まさかこんないーじーみすするとは。   (2023/3/21 07:50:54)

桜衣乃> これこれ、これです〜♡ありがとうございます〜♡   (2023/3/21 07:56:46)

琴葉茜> お、ちゃんと落とせた？あーよかったー   (2023/3/21 07:57:05)

桜衣乃> はー…♡ほんのあと数十分早く起きられれば、ログを確認できてたんですが惜しいことを……お部屋に入ったらまず全文ページを開いておく、これ大事です！   (2023/3/21 07:58:19)

琴葉茜> じゃああっちのお部屋閉じるなー…そやな、全ログのとこ別窓で開いておけば、いざというときにも安心。　　　と、思うやろ？   (2023/3/21 07:59:15)

桜衣乃> はーい♪ …そう思いますけど……何かあるんですか…？   (2023/3/21 07:59:58)

琴葉茜> これ多分、ログに溜まった文字数が一定以上…　つまり長文長時間プレイしたときに発生する現象やと思うからひとによっては無視してもええんやけど。　なんかなー、ログが大きすぎると、部屋が制限時間に達したとき、全文ログ表示させるとバグって半分くらい表示してくれないんや。
  (2023/3/21 08:00:52)

桜衣乃> 長文長時間プレイ……私も丸一日お部屋使ってえっち3回くらいしたことありますけど、そのバグには遭遇したことありませんねー……。うっかり名前変えて入り直したとかじゃなくてですか？   (2023/3/21 08:02:51)

琴葉茜> あ、そう？　そうかぁ、じゃあ修正されたんかもしれんなー。うちが全力で遊んでたころってけっこう前やったから…（オープン部屋の最少人数が６人だったりとか、無言退室時間が20分だったりとかした。久しぶりに表に出てきてびっくりした）   (2023/3/21
08:04:09)

桜衣乃> そういえば私が来たころは20分限度でしたよ！　今はサーバーとかも更改したみたいですし、国内最大級のチャットルームとしてすごく頑張ってるみたいですね！　……でも、クリスマスのアップデートから、全文チャットログをandroidでダウンロードできなくしたのは絶許ですけど！
  (2023/3/21 08:06:13)

琴葉茜> ほえー、じゃあ色々アップデートされたんはわりと最近なのかもしらんな…まぁええか。ログがバグらんならそれに越したことは無いし。…あーAndroidやとログ取れんのか。それは悲しいな…。うちは基本的にPCで遊ぶからそのへん気にしたことないけど（チャットもPC。ソシャゲもPC。PCはすべてを解決する…）
  (2023/3/21 08:07:57)

琴葉茜> さて、ご用事も済んだことやしうちもそろそろ寝るな（寝るんかい）　じゃあ衣乃ちゃんも今日いちにち楽しい休日であらんことを。ぱんころー（ﾄﾞﾊﾟｧﾝ）   (2023/3/21 08:08:36)

おしらせ> 琴葉茜さんが退室しました。  (2023/3/21 08:08:37)

桜衣乃> はーい、おやすみなさいませ〜♪   (2023/3/21 08:08:51)

桜衣乃> …………みんな二度寝に行っちゃいました。揃ってお疲れ様ですね〜…？   (2023/3/21 08:09:18)

桜衣乃> …では、私も…♪ お疲れ様でした…♪   (2023/3/21 08:12:54)

おしらせ> 桜衣乃さんが退室しました。  (2023/3/21 08:12:57)

