/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月22日 16時02分 ～ 2023年01月23日 22時49分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クレー> クレー栄養ドリンク飲めないや…。   (2023/1/22 16:02:46)
カールスルーエ ◆> こらこら、唐突に始めたら…思わぬしっぺ返しを喰らいますよぉ？（クレーちゃんが赤木ばりの打ち手だったりする場合がありますし…⟵）   (2023/1/22 22:09:57)

シルヴィ（影）> ご無礼…よし、この色になれば負けることはないはず。いや、さすがに頭が眠気でうまく回ってないからやらないけど   (2023/1/22 22:10:50)

桜衣乃> ぬるりと来るかもしれませんね…。ちなみに私は役をやっと覚えたくらいで、点数計算とか、打ち筋とかわからないので誘われる機会があってもお手柔らかに……   (2023/1/22 22:11:09)

桜衣乃> でもカモにされていきなり素寒貧になるのも面白いかもしれませんね…♡うへへへ……♡   (2023/1/22 22:12:48)

カールスルーエ ◆> 私は…オンライン麻雀しかして無いので点計算は出来ませんが…ダマテン、混全帯幺、四暗刻、国士無双ならいけますねぇ♪   (2023/1/22 22:13:03)

クレー> イカサマはどっかーんなんだからね！   (2023/1/22 22:13:22)

カールスルーエ ◆> （雀魂はイカサマのような偏りがあるんですよねぇ…）   (2023/1/22 22:13:56)

シルヴィ（影）> 私も実際にやるなら、役は自動計算してくれるところで…　咲コラボもアカギコラボもあるらしいけど、むこうぶちコラボはないのかな？＜雀魂   (2023/1/22 22:14:40)

クレー> (わかる……特に有料キャラの異常なテンパイ速度はクレーも納得してない(クレーは無課金一姫突き通し))   (2023/1/22 22:14:46)

桜衣乃> (あ、これはみなさんやりこんでますね…)   (2023/1/22 22:15:16)

クレー> クレーまあじゃん？わかんなーい(ぺろっ☆)   (2023/1/22 22:15:59)

カールスルーエ ◆> （雛桃課金スキンですが、最近は箱割られまくりですよぉ…（レイプ目））   (2023/1/22 22:16:44)

シルヴィ（影）> とりあえず、負けたら恥ずかしそうな様子で来ている服を脱ぐゲームだよ（何かが違う）＞クレー   (2023/1/22 22:17:57)

桜衣乃> 野性の闘牌とか咲ばりにいっそ異能力麻雀バトルのオンラインゲームが始まったら面白いと思いませんか……   (2023/1/22 22:18:11)

カールスルーエ ◆> むこうぶちはまだ無いですねぇ…（あのヨースターだからコラボしかねないのが何とも。）（異能力麻雀だと鰻……）   (2023/1/22 22:18:58)

桜衣乃> シルヴィちゃんは変な知識教えないでくださいね。　…でも、たまにはテーブルゲームを囲ってるふうなロルも楽しいかもしれませんね！サイコロで簡易的に結果を決めたりとか…。   (2023/1/22 22:21:36)

シルヴィ（影）> 麻雀じゃなくて、なぜか戦国系でCV:緑川光と本家むこうぶちのゲームよりも扱いが良いような…   (2023/1/22 22:22:13)

シルヴィ（影）> 今のムダヅモなら政治ネタがほとんどない美少女漫画と化したから、コラボ向きになりそう…（遠い目）   (2023/1/22 22:23:50)

クレー> まあじゃんはテイワットの文化にはまだないなぁ…   (2023/1/22 22:24:13)

シルヴィ（影）> 私はこの手札に衣乃君の衣服とカールスルーエ君の前の穴をかけようｂｙ承太郎ボイス   (2023/1/22 22:25:58)

桜衣乃> グッド！   (2023/1/22 22:27:54)

桜衣乃> ちなみに私は原作でいかにも脱衣麻雀を提案しそうですが、意外としてないんですよね。野球拳の提案はしたことありますよ！   (2023/1/22 22:31:21)

カールスルーエ ◆> …ふぁ。危ないところでした、軽く意識を手放していたので…色々とレスを蹴ってしまいますが、このままお部屋から失礼しますねぇ…（…なんて言いつつも、そのままコタツに突っ伏して…すやぁ。）   (2023/1/22 22:31:38)

おしらせ> カールスルーエ ◆xbO5t8yYyIさんが退室しました。  (2023/1/22 22:31:43)

桜衣乃> はーい、かるるんちゃんはお疲れ様でした…♪お大事に……   (2023/1/22 22:31:57)

クレー> カールスルーエお姉ちゃんまたねー♪おやすみなさい～   (2023/1/22 22:32:07)

シルヴィ（影）> おやすみだよ。ふむ、22時半か…何か眠気が遠くなったけど、今のうちにまぶたを閉じて眠ってみるよ。私もこの辺で   (2023/1/22 22:32:38)

クレー> はーい、シルヴィお姉ちゃんもまたね～   (2023/1/22 22:33:08)

おしらせ> シルヴィ（影）さんが退室しました。  (2023/1/22 22:33:18)

桜衣乃> あらあら……でも日曜日の夜ですからね、明日からまた頑張らないといけない方々はごゆっくりおやすみください…♡お疲れ様でした…♪   (2023/1/22 22:33:31)

桜衣乃> …みなさんおつかれみたいですねー。クレーちゃんはどうしますか？このあと…   (2023/1/22 22:36:52)

クレー> こたつでぬくぬく……♪   (2023/1/22 22:36:56)

クレー> このあとは特に何も予定ないよ♪(まだお風呂入ってないくらいかなっ)   (2023/1/22 22:37:29)

桜衣乃> いつもなら攫っちゃうところですが……今日はここでいいですかね…♪一緒にクレーちゃんとこたつ囲いつつ、他の人が夜分遊びに来るのをまったりしてみますか…♪   (2023/1/22 22:38:55)

クレー> あにゃ……いいの？(こたつからじぃ…と見つめて)   (2023/1/22 22:40:51)

桜衣乃> ……攫ってほしかったですか？(にこり♡)   (2023/1/22 22:41:20)

クレー> 衣乃お姉ちゃんがそうしたいなら別にいいけど…//   (2023/1/22 22:42:01)

桜衣乃> …上も始まるみたいですし、私たちは先に行っちゃいましょうか…♡お部屋、用意しましたよ…♡   (2023/1/22 22:42:59)

クレー> いいよー♪お部屋でゆっくりすごそっか…♡(こたつから立ち上がって衣乃お姉ちゃんと一緒に…)   (2023/1/22 22:44:13)

桜衣乃> はい♡あわよくば今夜の添い寝までお願いしちゃいますね…♡それでは、一緒に失礼します…♡(クレーちゃんのおててを繋いで、お部屋に向かいます…♡)   (2023/1/22 22:45:05)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/22 22:45:15)

おしらせ> クレーさんが退室しました。  (2023/1/22 22:45:16)

おしらせ> 藤岡ハルヒさんが入室しました♪  (2023/1/22 22:45:44)

藤岡ハルヒ> ふぅ…。（ばたっと、うつ伏せで横になり…   (2023/1/22 22:46:02)

藤岡ハルヒ> ん…静か…（ぽそ…   (2023/1/22 23:08:50)

おしらせ> 無言時間が25分を超えたため、藤岡ハルヒさんが自動退室しました。  (2023/1/22 23:34:12)

おしらせ> 緒山まひろさんが入室しました♪  (2023/1/23 00:28:36)

緒山まひろ> えっと…俺もここに入っても怒られたりしねぇよな…？　いやいや…今は女の子なんだし、大丈夫なはず… (部屋の扉を静かに開いて…中を見たら誰もいない様子…胸を撫で下ろし、そわそわしながら静かに椅子に腰掛けていて)   (2023/1/23
00:31:09)

緒山まひろ> 誰も来ない… まだそんなに遅くないって思ってたけどもう一時じゃねぇーか… 俺には関係ねぇけどなぁ　(暇そうに足をぶらぶらーって揺らしながらテーブルに頬を乗せてだるーん…)   (2023/1/23 00:54:25)

おしらせ> 藤岡ハルヒさんが入室しました♪  (2023/1/23 00:55:54)

藤岡ハルヒ> こんばんわ…戻りました…。（ぺこりとお辞儀をすれば…へたへたっとソファー席に向かい、ばたんと倒れ込む…）   (2023/1/23 00:56:44)

緒山まひろ> えあ…こんばんは… 疲れてるっぽいなぁ…(ソファに倒れ込む人を眺めながら…)   (2023/1/23 01:00:19)

藤岡ハルヒ> えと…別室に少し前お出かけしていたもので…（ソファーにうつ伏せに寝転がりながら返事をして…）   (2023/1/23 01:02:03)

緒山まひろ> そっかそっか… 別室で疲れるようなことをしてたってわけだな… (ゲームしてなのかなって思いながら…)   (2023/1/23 01:08:03)

緒山まひろ> (ゲームでもしてたのかなって思いながら…)   (2023/1/23 01:08:43)

緒山まひろ> 【誤字ってましたっっ… ごめんなさい…】   (2023/1/23 01:09:01)

藤岡ハルヒ> えと…ま…そうですかね…（質問に答える表情が…が赤く、あからさまに恥ずかしがっている模様…）【OKです…♪】   (2023/1/23 01:10:10)

緒山まひろ> どうして顔赤くしてるんだよぉ… さては…えっちぃゲームでもしてたんじゃ… って、そろそろ眠気きたみたいで寝落ちする前に帰ろうと思うんだぁ、せっかく来てくれた人の前で寝落ちはなぁ…(ぼーっとしながら立ち上がってて…)   (2023/1/23
01:20:00)

藤岡ハルヒ> うん…ゆっくり休んでくださいね…（にこりと微笑み、手をひらひら…   (2023/1/23 01:20:50)

緒山まひろ> うん、そっちもあまり無理しないようにね…♪(手を振って扉の方へ…)   (2023/1/23 01:23:06)

おしらせ> 緒山まひろさんが退室しました。  (2023/1/23 01:23:35)

おしらせ> 無言時間が25分を超えたため、藤岡ハルヒさんが自動退室しました。  (2023/1/23 01:46:11)

おしらせ> 小春六花さんが入室しました♪  (2023/1/23 06:14:19)

小春六花> 今週来週は毎日出勤ー…もう萎えとるになってる……   (2023/1/23 06:14:47)

おしらせ> 桜衣乃さんが入室しました♪  (2023/1/23 06:24:57)

桜衣乃> ふわわ……おはようございます、六花ちゃん♪ ずいぶん…大変なようで…。   (2023/1/23 06:27:43)

小春六花> シフトの形が変わって大変だー……おぁよー。（ねむねむ）   (2023/1/23 06:32:54)

桜衣乃> 月曜朝から憂鬱ですね〜。よもや土日までお仕事入ってる……とか？   (2023/1/23 06:35:22)

小春六花> よく考えたら今週入ってる気がするなー…？ふぉぉ……（ぱたり）   (2023/1/23 06:36:35)

桜衣乃> なんと、休みなし…！？それはよろしくないですね……私の元気を少しでも分けてあげられればいいのですが……(後ろからぎゅー)   (2023/1/23 06:39:03)

小春六花> 土曜日が夜勤だから日曜日が空けって休みだけどいつも思うけどそれはもう休みじゃないよね。（まがお）（ありがとーってずもも   (2023/1/23 06:40:19)

桜衣乃> それをお休みに入れていいのかどうかは悩ましいですね…。週休2日制的にはアウトだと思いますが… よしよし、月曜日なのに機嫌悪いの良くないですからね、元気ちゅーにゅーです！フレ、フレ、六花ちゃん♡がんばれ♡がんばれ♡六花ちゃん♡(むぎゅむぎゅ)  
(2023/1/23 06:43:28)

小春六花> お代休を今週今からねじ込むかぁ……二日くらい。（まがお）木金はもうでませんって顔しよう……。機嫌は別に悪くないですよ。ただお仕事したくないだけで！（わーい、エールありがとーってメンダコに退化しつつ）   (2023/1/23 06:46:35)

桜衣乃> その方がいいかもしれませんね、休めるときに休みましょう！　…あらら、元気を入れたつもりが逆にふわっとなっちゃって……これは心配ですね……大丈夫ですか？おっぱい揉みますか…？   (2023/1/23 06:50:56)

小春六花> その時間があれば揉みたいねぇ……。時間がないんですけど。（相手も時間もありゃしねぇ！ってむえむえってむえりつつ。とりあえずお胸に埋もれはしつつ）   (2023/1/23 06:54:28)

桜衣乃> 私も朝は時間ありませんから、せめてもの心遣いです！…私は六花ちゃんのこと大好きですからね…？お相手になってあげられてないですけど…(むーにむーに、ってお顔に押しつけ揉み込み)   (2023/1/23 06:58:23)

小春六花> それはそれとしてー。みたいなー？私も拡張ライブに付き合うくらい好きだよ。（最近はエオ活忙しいのとかあるけど。ぬめりがとられるー……ってごしごしめんだこー）   (2023/1/23 07:00:16)

桜衣乃> 存じてますよ♡なんでもない相手の耐久配信をわざわざ6時間以上付き合ったりしないってことくらい……本当に六花ちゃんがその気になってくださったら、また一緒に遊びましょうね…♪(ぱふ、ぱふ、ぱふ♡) 趣味の多忙もご愛嬌…♪いつもお疲れ様です、六花ちゃん…♡
  (2023/1/23 07:03:40)

小春六花> 私は割とひまして入る方なんだけどね……。割と昨日とかすごくムラムラしてたけど、色々伝手で発散しちゃったからなぁ……（はふんはふん）いやいやー…そちらこそおつかれさまー……なんか4万くらい突っ込んだんでしょー？   (2023/1/23
07:05:48)

桜衣乃> あー、まぁいつものことですから…。それに、コラボイベントの時はしっかり貢いでおかないと…私なりの作品への感謝の意思表示なので！(にしてはちょっとお高すぎる気がするのはわかってますが) …そのことは別として、また今度相談させてくださいね。  
(2023/1/23 07:11:11)

小春六花> なるほど……なるほど？（売上よかったら他のゲームも…とかあるのかな。わからないけど）…？別に今晩が一番暇だろうし相談くらいなら付き合うけど。いつでも。   (2023/1/23 07:12:45)

桜衣乃> わぁ、ありがとうございます♪ とはいえ私が平日いつ帰れるかわからない体質してますから……ほんとに、タイミングが合った時でお願いしますね♪ それでは、私はそろそろ支度しないとなので……(六花ちゃんのほっぺにちゅ♡)
…行ってきます&行ってらっしゃいませ、のちゅーです♡   (2023/1/23 07:15:34)

小春六花> それは体質か？体質なのか？（まがお）ホイホイ頑張ってきてねー。（おててふりふりー）　いってらっしゃーい！ちゅーはありがとねー   (2023/1/23 07:17:01)

おしらせ> 桜衣乃さんが退室しました。  (2023/1/23 07:17:24)

小春六花> やっぱりいいなぁ……この人の曲……無限にループできる……   (2023/1/23 07:36:37)

小春六花> 私の曲は0なんだけど……   (2023/1/23 07:36:49)

小春六花> この人が出てるイベント行ってみたいけどクラブなんだよね……こわい……   (2023/1/23 07:40:57)

小春六花> そろそろ私もまたヨーグルトの写真あげてトド岩に送られてこようかな……（？）   (2023/1/23 07:45:01)

小春六花> よーし、がっこついたぁー……いやだぁー……   (2023/1/23 08:06:18)

おしらせ> 小春六花さんが退室しました。  (2023/1/23 08:06:21)

おしらせ> 甘雨さんが入室しました♪  (2023/1/23 08:31:20)

甘雨> …おはようございます。（少し眠そうに目をしょぼしょぼさせつつ、ぺこ…っ）   (2023/1/23 08:31:55)

甘雨> 海灯祭、漸くひと段落しました……新しい地域の解放とイベントを重ねられると、なかなか大変な所がありますね……――おかげでスメールの奥地はまだ探索が進んでいません。とりあえずアルハイゼンが使いそうなセミの亡骸だけはリポップ管理していますが…。（世界任務とかいっきに進めても、自分の中で情緒を消化しきれないですし。マイペースでゆっくりゆっくり行きましょう。）
  (2023/1/23 08:35:32)

甘雨> 今回は私もいっぱい台詞もらえましたし…（えへへへ♡）…ずいぶん久しぶりな気がしますね…。旅人の冒険の部隊が稲妻、スメールに移ってから、流石に出番がなかったですし…。（しみじみ。…あと、刻晴♡と再びご一緒も出来ました。最近はhoyoも良く解っている（？）のか二人運用♡が基本です）――そうそう、それから、最近留雲借風真君、やたら可愛くクローズアップされてませんか……？（なんだかもう、すっかり仙人一の萌えキャラになってしまわれて。師匠……ほわほわん♡えへへへ♡）
  (2023/1/23 08:46:04)

甘雨> 舞台――（こほん、言いなおし）   (2023/1/23 08:50:12)

おしらせ> 胡桃さんが入室しました♪  (2023/1/23 08:52:21)

胡桃> (確かこくせーと甘雨ちゃんはなんか関係ギクシャクしてビミョーな感じになってたんじゃ…。って入り口から聞き耳立てつつ…ちらり)…おっはよー♪   (2023/1/23 08:53:12)

甘雨> ぁ、胡桃おはようございます。……お勤めご苦労様です……（丁寧にお辞儀）――――――って、え？え？え？（びくっ。ぎくしゃく！？）   (2023/1/23 08:54:04)

胡桃> ん、そんなに畏まらなくてもいいんだけどなぁ…。お互い、お努め頑張ってる訳だし、ね？(肩ぽん)　ふふっ、あはは。なんてね、あれは昔の話だった気がした！(ストーリー頭から抜けてるやつ、気にしないでおいてよ♪)   (2023/1/23 08:59:12)

胡桃> ……ぁー、落ち着くまで返事遅れるかもね、こりゃ(ほっぺたぽりぽり)   (2023/1/23 08:59:34)

甘雨> ん―――……胡桃がそうおっしゃるなら…。――ええと、じゃあ、おつかれさま……？（ふわ、って手を挙げて、頭よしよしよし…？）………ぁ、はい、一応、私の知る限りでは、そんなことは無くて、最近は常に一緒にいるイメージなんです…♡（新婚さんか、というくらい。ふふふー♡）………ぁ、はい、特に急いでいないので、えっと、お邪魔にならないのでしたら、のんびり胡桃を眺めていますね…？（お疲れ様です……？）
  (2023/1/23 09:02:29)

胡桃> んんん…♡(それそれそれ♪そーいうのが欲しかったって帽子の下の頭をすりすりすり♡)　まぁ、キャラの相関で揉めたこととかあったみたいだしね…。やっぱり慎重になってるのかも？なんて。(商売する身からの視点…お客に媚びるに越したことはないからねっ☆って、ウィンクばちこーん♡)…ま、適当に片付けちゃうからそこで眺めててよ。返事できるときはするからっ(ぱたぱた！)
  (2023/1/23 09:06:32)

甘雨> ふふふ、胡桃は甘えん坊さんですね…（くすくす。じゃあ、するって腕を回して…ぎゅーー♡ってしましょう。おつかれさまです♡ぎゅーーっ♡）――ぁ、最初はお互いにお互いの事を知らなかったので……私は刻晴の事を不遜な霊長類と思っていましたし、刻晴も、きっとあまり私の事を良くは思っていなかったと思いますし……。でも、お互い理解を深めて、認め合うようになってからは――――♡……なんてなんて……♡（えへへへへ♡きゃー♡きゃー♡限界化した…！）……はい、お忙しい中、顔を見せていただいて、ありがとうございます……♪（じゃあほっぺつんつんして待ってますね。ほわー♡）
  (2023/1/23 09:11:34)

胡桃> 甘えん坊っていうか、堅苦しいのが嫌なだけっ！…ほら、なんか距離感じるし？(んふふ♪って満足げに真正面からぎゅーっと、お返しだよ♡お互いのお胸とかお腹もくっついちゃうくらいに、ぎゅーっと♡)不遜な霊長類…って、棘しかないねその言い方！…まー、うん。お互い苦手とか思ってても話したら案外気が合う、なんてあるしね…ふふ。同郷が気まずいのは私としてもなんか、こう…触れちゃいけないのかなって雰囲気だったから、仲良しになったのは素直に嬉しいよ♪(…ま、冠婚葬祭は任せておいてよ♪なんて♡)ふふ、朝から一人とか寂しいかな、って…だから飛んできちゃったよ！(ふふん)
  (2023/1/23 09:18:35)

甘雨> 胡桃らしいといえばらしいですけれど……。（い、いちおう胡洞主って呼ばないように気を使ったのですけどってぽそぽそと。…む、にゅ♡って柔らかい胸の膨らみも心地よく潰れちゃうくらい。ぎゅーーーっっ♡）……うう、あの頃は私も理解が足らず――というか、流れる人の世の時間に、ただ流されているだけでしたし……（お恥ずかしい限りです。しおしおぷしゅー…。先ほどとは違う意味合いで羞恥で赤く。あの頃は自分に閉じこもって帝君だけが判断指針でしたし…）……はい、今はもう、一緒のお布団で寝たり、お弁当を作りあったりする仲なので……っ（大丈夫です！って、ぐっ！！それはそれでガチ恋距離なのでは？って文官達に言われる始末。）――はい、誰かとお会いしたい気分だったので、あなたにお会い出来てとても良かったです。……ありがとう、胡桃（えへへ♡ふに♡ってほっぺたもくっつけて。…ほう、って、緩んだ吐息）
  (2023/1/23 09:24:19)

胡桃> ふふふ、何もお勤めしてるのは私だけじゃないんだし、もっと気楽でいいのにー…(呼び方を気をつけたのは偉いけど…♡ってなでなで。相変わらず、体は柔らかくてふわっふわなのに、頭は角みたいに硬いんだから…なんて♪髪飾り、だっけ？ふふふ♡)ほんと、筋金入りの箱娘…って感じだよね。でも、理解しようとした姿勢は偉いと思うなぁ…お陰でそんな一緒に寝るまでになっただなんて…私も嬉しいよ(ほろり。誰目線だよってツッコミはなしね！)ん、ふふっ…♡あと、もうちょっとでゆっくりできるから…も～少し待っててね！(くっついた頬に顔をずらして、軽めにちゅ♡くすくす♪)
  (2023/1/23 09:33:25)

甘雨> 私のお仕事は、人の言う趣味みたいなものですし…（だから全然苦じゃありません。…けれどねぎらうように頭をなでる手には、気持ちよさそうにそっと瞳を伏せて。…ふふ♡ありがとうございますって、ぎゅー♡）――全部旅人のお陰です。…あとは、帝君が旅立たれた事も、大きかったと思いますけれど……。（少しだけ瞳を閉じて。ふふ、って小さくはにかんで）……はい、というか。今のままでも私は、全然――（えへへ。話し相手になってくださってありがとうございます…♡）……ん――ぁ……ん♡（ふわって微笑んで。ほっぺたにお返し。唇で、ふに…♡）
  (2023/1/23 09:38:12)

胡桃> 動機はどうあれ、誰かの為になる事だし…十分偉いよ？(だからってブラック職場みたいになってたりしたら見過ごせないけど！…その顔を見たら分かるけどね、そんなのは要らない心配だって…。両手を背中と腰に巻き付けて、より強めにぎゅー♡っと、頬も擦り寄せて、すりすり♡)　そう、だね…。環境が変わったのなら、自分も変わらなきゃ、ってなると思うし…それがいい方向で良かった良かった…♪(変化っていうのは必ずしも上手くいく事ばかりじゃないからね…なんて、私よりずっと長く生きてるだろうし言うまでもない、かな)…はいっ、おわりっ♡おまたせっ♪(仕上げにちょーっと時間取られたけど…ただいまっ♡)ん……♡ふふ、唇も柔らかくって…おいしそー♡なぁんて♡(くすくす♪)
  (2023/1/23 09:51:23)

甘雨> ｓ、そこまで大げさに言われる事でも――帝君との契約の一環でもありますし…それに私、こうやって生きる生き方しか知らないので……（あまり持ち上げられると困りますってあたふたっ）……ふふ、最近は夜眠らないと、刻晴に怒られるので、ちゃんと帰って寝るようにしています…♡（ほわわん♡今回の海灯祭でも徹夜で仕事しようとしたら刻晴に怒られる場面とかありましたし。えへへへへ♡）――はい、自分がどうであれ、人の世界に留まる以上、時節は移ろい続けるものですし…。――きっと、変わり続ける永遠、というものも、あるという事なのでしょう…。（ちょっとしみじみとしてしまう。稲妻の雷電将軍がたどり着いた答えも、確かそんなようなものだと、伺っていますし…。しみじみ…。）――ぁ、おかえりなさい。えっと、じゃあ、改めてお疲れ様です……？（よし、よし、いいこいいこ♡）……ん。清心の味がするかも、しれません……（朝のおやつにヨォーヨが持ってきた清心を齧ってしまったので。…えへへ♡）
  (2023/1/23 09:59:27)

甘雨> ……ｓ。（真顔。ずーん）   (2023/1/23 10:00:41)

胡桃> (よちよち…なでなで)   (2023/1/23 10:01:09)

胡桃> 契約でもすごいと思うけどなー。私なんて、ほら…割と生々しいところあるし？(純粋な経営のためのお金稼ぎだとか営業だとか…サラリーマンと変わんないよ、これって。)…へぇ、毎日一緒なんだ？お熱いね♡(こう、そのへんに両手で頬杖ついて見てたくなる光景、かも。にんまりとニヤけ顔で、ふふふ♡)変わらない物も、当然あるけどね…。(例えば葬式。終わりはいつも同じだもの、人は、ね…？)んんぅ…♡おちごと、つかれたぁ♡(なんて甘えた口調で胸元に飛び込む感じで、頭をふりふりふり♡)…ぷっ、ふふ。あはは…っ♡お口くらいちゃんと拭かないと……(じゃあ試しに味見とか、しちゃおっかなぁって…唇の端っこの部分を唇で挟んで、あむあむっ♡)
  (2023/1/23 10:07:01)

甘雨> 胡洞主――……（こほんっ）……胡桃も不思議な方、ですよね…。いつかそのあたりも深堀してほしいと思いますが……（一体「ナニ」なんでしょうか、ってちょっと不思議そうに。伝説任務の続き、楽しみにしています）……ぁ、でも、今回の海灯祭では、素敵なラップを披露してましたよね、路地裏の詩人として…（くすくす。まさかステージで聞く機会があるとは。良いものをみせてもらいましたって、いいこいいこ♡　マジ何なん…って思いましたが。さて置き。）……刻晴とはお仕事でお力になることも多いですから。（えへへへ♡幸せそうにはにかみ）わ、わ、♡――んー……っ♡（では、ゆっくり癒されてくださいって、ふにって柔らかい胸に受け止めるように、ぎゅぅぅぅぅぅぅ……♡）――ぁ……っ♡……ん、えっと、どう、ですか……？（びくっ。大丈夫でしたか？って、ちょっと心配になる。流石に変な味とかしたら恥ずかしい）
  (2023/1/23 10:14:44)

胡桃> 自分でもそう思うよ、メインに絡まないでどんちゃん騒ぎ！歌え踊れ！って、私以外にも適任いるよね？ね？(ストーリー深掘りされないまま何故か自分のモデルのスマホまで出ちゃう始末。…人気が出ちゃったが故の悩み、先達を押しのけて量産されるグッズの山々……遠い目になっちゃう。)割と大陸ってそういうの濁す事多いよね？(別会社のゲームだけど通行人Cだとか…。ハッキリ名前には出さないけどやってる人ならすぐわかるやつ。　え？もしかして私ってパリピキャラ？うぇーい♪草〜！とか言っちゃう世界線の私も…。)ん、んぅ…♡ぅ──…♡(苦しいけど気持ちいいなんだか不思議な感覚。お胸は確かに心地いいんだけど、息が…♡って、お胸の匂いを嗅いじゃうみたいにすーはーすーはーっ♡♡)…ん。んー？…味しなかったからもう一回♡(はみゅ、あむう♡…大胆に啄んじゃえ♡あむ、はむっ♡)
  (2023/1/23 10:23:45)

甘雨> …実装前からすごく人気ありましたものね、胡桃（明らかにこれまでの実装キャラとは逸脱したデザイン。その時思った事も胡桃なんなん…？でした。）――ぁ、でも、私たち璃月に根差したキャラは、こういう時でないと出番がない、というのもありますし……（私なんてもう長い台詞もらったの久しぶりで…！えへへへへ♡ごまんえつ♡）――伏線張れるだけ張って、というのは多いかもしれませんね…？（くすり。崩壊3rdなんてもう。てっきり第５部あたりだと思ったのに。月での終焉の律者との決着で、ついに１部完結です！って言われた時は。…パードゥン？って思いました。なんて？mihoyo今なんて…？私たち何年かかって１部やってたの…？）――草―……っ（吹いた。思わず。草。草元素）――ぁ、すみませんっ、ちょっと強すぎましたか…？（少し慌てて手を緩めて――）……良かった……（ほう、って安堵の溜息ついて）――え、えっと……ん……♡（ぎゅ、ぅ♡…って、改めて抱きなおしながら）
  (2023/1/23 10:31:43)

甘雨> は、みゅ……♡（…応じるように、少し顔の角度かえて……ついばむように唇で触れて――ちゅ、ぅ……ちゅむ……♡）   (2023/1/23 10:31:49)

胡桃> …割と王道からズレてないようなデザインだとは思うけどー…。(ツインテ、太もも、なんか閻魔ぽい帽子！そして瞳の星☆…まぁ無難…瞳の☆以外はっ)確かに。他の国に移ったりするとそうなるよねぇ…で、最終決戦で各神も出番とかありそうだけど、それ以外のキャラは…(私！私もいるよっ！ってアピールしちゃう。ふふ、miHoYoは色々引っ張りたがるからね！ブルアカなんて最終編！とか言い出して、マジ？はやくね？なんてなったけど！miHoYoのあれとは逆に。)　草〜♡(両手でオバケポーズしつつ。煽りモーションにしか見えなかった。)ん……これくらい、へーき…♪は、む…ぁむ、ん…♡(と、口端をあむあむし直せば、急に顔が向いて…)
  (2023/1/23 10:40:50)

胡桃> (少し驚いて、ぴくんっ…♡でも、逃げずに正面から唇を…ちゅ、ん…む♡ぁ…んん♡って、お互いの鼻を避けながら、唇を深ぁく、ちゅ、ちゅ♡…両手も後ろにまわしてしっかり抱いた状態で、片手を背中、腰…と滑らせて、なで、なで♡)   (2023/1/23
10:42:48)

甘雨> えー、そうですかー……？（だって女の子だしショートパンツだしで。今でこそ違和感はないですけど立ち振る舞いとかー……少しいたずらっぽく、くすくす…♡）　なかなか気軽に出張、とか行かない立場、ですし。旅人に呼ばれた時に瞬間的に国を離れる時はありますけれど…（洞天とか、そこらへん深く追求しだすときりがないので。お口に指一本。しー…♪）――ぁ、昨日のブルアカももう凄かったですよね…pvが改めて見ると、本来バッドエンドで終わるはずだった物語が、先生の介入でハッピーエンドで終わってるところとかもう………っ（うっ…！この甘雨、すぐ限界化する……！ふーっ♡ふーっっ♡）…可愛いので、流石に草元素、です♡（ほわー♡えへへへ♡ぎゅーーっ♡）
  (2023/1/23 10:46:51)

甘雨> ん――♡みゅ……♡ぁ、みゅ……♡（ぎゅ、ぅ♡って、互いの身を絡めあうように、抱きとめた腕の力強くして……♡）……ふ、ぁ……♡――えへへ♡キス、しちゃいましたね……♡（とろって、少し酔ったような表情で。撫でる手に、ぞく♡って背を震わせて…身を寄せるように、す、り…♡）
  (2023/1/23 10:48:58)

胡桃> …ふふ。人気の事言い出したら、目の前の子も負けてないと思うけど…♡(この羊…すけべすぎる♡って、思わず唸っちゃうデザインだし。指先でお胸をつんつん。)　そだね、私も何かしらあるかも、だし…♪(顔を並べてしぃーっ♪)そうそう、最初にフィギュアだとかソシャゲに課金して怒られてた先生が…今や…。みたいな。(好きなものになると早口になるタイプだっ。オタク甘雨…アリだね♡)あっ、あははは…♪くすぐったー…♡(褒められちゃった、やってみただけなのにっ！まぁ、ぎゅーってされたら仕返しちゃうけど、ぎゅぅううっ♡♡)
  (2023/1/23 10:53:57)

