/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月04日 07時46分 ～ 2022年12月06日 13時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> 雷電将軍さんが入室しました♪  (2022/12/4 07:46:39)
小春六花> エネルギー溜め込んでおいて寝落ちも回避できないなんて経年劣化してませんか？（サイコパス小春）   (2022/12/6 01:49:58)

フィー> フィーはまだぴちぴちです！（ぷんすこ   (2022/12/6 01:50:23)

フィー> ヨーグルトにはジャムをかけて食べたい気分ですね…   (2022/12/6 01:57:19)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2022/12/6 02:15:07)

おしらせ> 無言時間が25分を超えたため、フィーさんが自動退室しました。  (2022/12/6 02:22:20)

おしらせ> 小春六花さんが入室しました♪  (2022/12/6 06:16:34)

小春六花> よく寝たー……（むくり   (2022/12/6 06:16:54)

小春六花> いやー……寝落ちたわー…起きれなくなってるなー、まぁいいけどさ。   (2022/12/6 06:29:00)

おしらせ> 藤岡ハルヒさんが入室しました♪  (2022/12/6 06:37:41)

藤岡ハルヒ> おはようです…（ぺこりと…   (2022/12/6 06:37:53)

小春六花> あれ、ひさしぶりー（手のひらぶーんぶーん   (2022/12/6 06:38:15)

藤岡ハルヒ> ですね…（目が覚めてしまいました…   (2022/12/6 06:38:44)

小春六花> 大丈夫？寝てていいなら寝てきてもいいし、だんろでぬくまってく？   (2022/12/6 06:39:11)

藤岡ハルヒ> あはは…（温めてください…なんてと、おどけてみせて。）   (2022/12/6 06:39:50)

小春六花> お、私かー？しゃーないなぁ。（よいしょ、っ椅子から降りて床のラグにぺたんと座ってからおいでーって   (2022/12/6 06:40:59)

藤岡ハルヒ> で、では…遠慮なく。（少し恥ずかしそうに…小ぶり目なお尻を、六花さんの膝に乗せるように跨って）   (2022/12/6 06:42:16)

小春六花> べつにええんやで。私もひましてたしねー。（って体を支えるようにはぐーっと   (2022/12/6 06:44:03)

藤岡ハルヒ> じゃあ…温めてください…（お尻を…と言わんばかりに、学生ズボン越しのお尻を軽く突き出す様に、背筋を反らせて）   (2022/12/6 06:45:23)

小春六花> おー？これははぐとかではないかんじ…？（なんて太ももに手を伸ばして軽くさわー…と撫で回しながら……朝からご所望は、そゆことー？って   (2022/12/6 06:49:01)

藤岡ハルヒ> ご所望になるんですかね…少しむず痒いんです…。（寝てる間に、汗をかき蒸れたのか…どこの部位とは言わずに、ズボン越しの下腹部に視線を落とし、違和感を伝える）   (2022/12/6 06:52:50)

小春六花> ふんふん……なるほどねぇ……？とりあえずそんなに辛いなら脱いじゃう？（それなりに熱源は近いし熱くないよ？って。ズボン越しにどこか見てるハルヒちゃんに提案しながら……手先は上半身を弄るように撫で回して   (2022/12/6 06:54:29)

藤岡ハルヒ> は、はい…（気心知れた、六花さんに対して…確認お願いしますと、少し立ち上がれば、ズボンを脱ぎ…無地な色気のないグレー一色の下着姿となって）   (2022/12/6 06:56:36)

小春六花> んー…、シミとかあるのかなー…（なんて、下着の地味さについては少し言葉つまりつつ。片手で相手のブラホックを外しながら…、もう片方の手は股座に伸ばして……）   (2022/12/6 06:57:52)

藤岡ハルヒ> 寝汗の後とか…？（ブラを緩められ、小ぶりな乳房が見え隠れしても、あまり動じず…確認してくださいと、少し脚を拡げ、下着越しの股下を見せて）   (2022/12/6 07:00:13)

小春六花> そういうのとか…発情とか、ね？（こぶりな乳房を指先で捏ねるように優しく刺激を与えながら……それと言ってないなー…ってどこだろ…って割れ目のラインをスクラッチしては）   (2022/12/6 07:02:46)

藤岡ハルヒ> 発情は…寝ちゃう前だけど、その時少し…（自身の行動を、素直に六花さんに伝え…割れ目ラインを確認されれば…其処は確かに、蒸れて少し湿っぽく…）   (2022/12/6 07:05:13)

小春六花> あぁ……なるほどー…？発散しにここに来ればいいのに…（なんて少しだけ唇尖らせつつ……。するりとショーツに手を差し込んで、もっと湿らせてあげようと）   (2022/12/6 07:07:42)

藤岡ハルヒ> ま、まだ蒸れてますかぁ…（下着に手を入れられ…秘部を直に弄られながら、そう質問し…差し込まれてできた下着の隙間から、微かな秘部の蒸れた香りが…）   (2022/12/6 07:09:53)

小春六花> もー…蒸らしたままなんてどーなのー？女として。（って、割れ目を指先でなぞりながら……時折、割れ目の入り口に食い込ませるようにして…しげきに強弱を。）   (2022/12/6 07:16:40)

藤岡ハルヒ> あはは…起きて間がなかったもので。（照れくさいような、申し訳ないような表情でそう言い…下着の中でそっと割れ目を拡げられ、入り口付近を刺激されると…下着越しでも、蒸れてる匂いであることは、二人には伝わって…六花さんに「くさい…」って言われたい願望が芽生える）
  (2022/12/6 07:19:52)

小春六花> そんなこと言ってー。もー、六花ちゃんに早く逢いたいのはわかるけどさー……♡（くすくす笑いながら、別に私は……逃げるときは逃げるけどもさ。って思い直すけれど。くちり、にちりと時折湿ったようなくぐもった音を響かせては）   (2022/12/6
07:22:44)

藤岡ハルヒ> ん…もう、相変わらず意地悪ですね…（湿っぽいような音が…下着の中から聞こえながらも、まるで入り口を解すような指の動きに、此方彼も擦りつけるような動きをすれば…下半身が汗ばんでいく）   (2022/12/6 07:25:47)

小春六花> 相変わらずだなんてひどいなぁ……私はいつでも自愛の女神だよー？（なんてわかりにくいボケを入れながらも……「こんなに汗臭い女の子も抱いてあげるくらいね？」ってダブルミーニング。そのまま指先の動きは向こうがおしつけてくれば、擦るような動きから……入り口をカリカリと引っ掻くみたいにいじり始めて
  (2022/12/6 07:28:20)

藤岡ハルヒ> あぁっ…（六花さんの言葉に反応してか、さらに腰が動いてしまい…湿っぽさから滑っとした感触の入り口に六花さんの指を、少々飲み込み…ちゅっと熱い唇で吸い付くような感覚を伝える）   (2022/12/6 07:31:23)

小春六花> ふふー…なになに、臭いって言われて興奮したー？（なんて、親指で栗を押さえつけて……軽くグリグリとしつつキスをされた指は更に奥までおしこんで…   (2022/12/6 07:36:45)

藤岡ハルヒ> もっと言ってほしいかもです…あっ…（うぶっと奥まで膣穴を押し広げる様に挿入されながら…陰核を捏ねられ、とろんとした表情をしながら、話を続けて）   (2022/12/6 07:38:54)

小春六花> へー……ホストとかしてたのに、ドMさんなんだ。（ふーん？って。転がしてなんぼなんじゃないの？ってクリの薄皮を引き剥がすように指先で押し込んで……割れ目にもしっかりと指をねじ込んでピストンをしながら……女、捨てちゃった？なんてからかったり）  
(2022/12/6 07:42:06)

藤岡ハルヒ> 【やばいです…リアルに、濡れてきました…】   (2022/12/6 07:43:30)

藤岡ハルヒ> 【そろそろ支度で落ちなくっちゃです…でも、湿り気が倍増です…】   (2022/12/6 07:45:13)

小春六花> 【あららー……大丈夫…じゃなさそうだけれど……】   (2022/12/6 07:45:49)

藤岡ハルヒ> 【下着だけ洗濯かごに入れたら、母親にばれそう…】   (2022/12/6 07:46:32)

小春六花> 【じゃあ、リアルに発情臭い雌って思われながら支度しよっか。】   (2022/12/6 07:47:14)

藤岡ハルヒ> 【母親に…？隣の居間に母親居るので、恥ずかしすぎです…】   (2022/12/6 07:48:28)

小春六花> 【隣だけだと思うのー？例えばバスの隣のサラリーマン、例えば電車で股を押し付けちゃうような近くの学生さんにも思われちゃおうね。】   (2022/12/6 07:49:21)

藤岡ハルヒ> 【サラリーマンと密着とか考えたら…やばすぎです…】   (2022/12/6 07:50:49)

小春六花> 【コンビニの店員さんとか、ちょっとした人に凝視されて嗅ぎ取られたりとかねー？】   (2022/12/6 07:51:58)

藤岡ハルヒ> 【やばいやばい…さっきより、染み広がってます…】   (2022/12/6 07:52:42)

小春六花> 【あーあ……想像しちゃったんだ。　妄想豊かなんですね（にっこり）】   (2022/12/6 07:53:11)

藤岡ハルヒ> 【これ母親…選択の時気づかないよね…】   (2022/12/6 07:53:56)

小春六花> 【下着だけ2枚あれば気づかれちゃうんじゃなーい？】   (2022/12/6 07:55:13)

藤岡ハルヒ> 【入れられたいって想像してしまってました…】   (2022/12/6 07:56:01)

小春六花> 【んー…？なにをー？】   (2022/12/6 07:56:53)

藤岡ハルヒ> 【サラリーマンのを…】   (2022/12/6 07:57:30)

小春六花> 【百合部屋なのにー……なんなら私がいるのにー……雌豚ハルヒちゃんは行きずりのリーマンさんをマン汁アピールするほうが好きなのね……（よよよ】   (2022/12/6 07:58:40)

藤岡ハルヒ> 【だめだ、本当に準備しなくっちゃ…また会えたらよろしくです。先落ちごめんなさい。】   (2022/12/6 08:00:34)

おしらせ> 藤岡ハルヒさんが退室しました。  (2022/12/6 08:00:40)

小春六花> おつかれさまぁー！   (2022/12/6 08:00:45)

小春六花> あ、マグコミ忘れてた……読まなきゃ   (2022/12/6 08:20:53)

おしらせ> 雷電将軍さんが入室しました♪  (2022/12/6 08:30:10)

雷電将軍> おはようございます…夜更かしをしたせいかまだ眠いですね…(とてとて)   (2022/12/6 08:30:38)

小春六花> おー、さくばんは　おたのしみでしたね。   (2022/12/6 08:31:00)

雷電将軍> 私の威厳を皆さんに分かってもらえたようでよかったですよ(ふふふふ！/そんな事はない)   (2022/12/6 08:32:24)

小春六花> あー…うん、そうね……そうだといいね……（ちょっと悲しい目をしながら、今日の朝ごはんの支度しようと席を立って   (2022/12/6 08:35:39)

雷電将軍> 今日は…予定を少しこなせば後はゆっくり休めるので良かったです…(コタツにのっそり入れば「体の疲れを取れますね」と呟いてポカポカ…)   (2022/12/6 08:36:58)

小春六花> なるほどねぇ……夜ふかしは程々にねー？（みんなこたつの方な好きだなーってカウンターから覗き込みながら、取り出したマフィンをまずは包丁で横半分に切っていきます。ちょっとくらい雑くらいのほうが多分食感に差が出ると思うんですよねー。）  
(2022/12/6 08:41:28)

雷電将軍> 大人数もお祭りみたいに賑やかで楽しいですが、やっぱりこういう少ない人数とまったりするのも…やっぱり私は好きです(夜更かしは程々、と言われれば「はーい」と素直にお返事しつつ何やら作ってる様子の六花をのんびり待つことに)   (2022/12/6
08:43:42)

小春六花> 結局誰かに使ってもらえたのー？まぁー…わたしもそうかなぁ……私が責任ある側にないと大体溺れていくし……（なんて、質問を重ねつつ。次に薄手のベーコンと、卵を3つ。いやしんぼなので3個。って言いながら片手で卵をボールに割り入れて、マヨネーズ、粉チーズ、ブラックペッパーをいれて混ぜまーーーーー！！！！！ってする横でベーコンをカリカリにじっくりと火を入れていって）
  (2022/12/6 08:47:09)

雷電将軍> いえ、昨晩はあくまで寝る前の顔出し程度でしたから…私の認知をしてもらったくらいですね(雑談をした電ちゃん。色んな人がいた、とても個性的だった！)…んあ、なんだか良い匂いがしてきました…(ｽﾝｽﾝ、と良い匂いが漂ってくれば体を軽めに起こして)  
(2022/12/6 08:51:49)

小春六花> なるほどぉ……これから色んな人に染められて私のもとを巣立っていくのね……（くすん、ってわざとらしく泣いたフリだけしながら。ここがば、っていいながら牛乳を少し足してからもう少しだけ撹拌。卵は混ぜ過ぎちゃいけない。べぇけんがカリカリになれば一度お皿に取り出しとからべこーんの油の溜まったフライパンにバターを一欠溶かしてからうま味たっぷりオイルに溶き卵をｼﾞｭｧｧｧｧｧｧｧって言わせながら投入しましょう。
  (2022/12/6 08:54:26)

雷電将軍> ま、まだそうだと決まったわけじゃ…(泣いたフリだと分かっていてもちょっと心配になる。コタツからするりと抜け出せば邪魔にならない距離感で彼女のモーニングクッキングを眺めることにして)   (2022/12/6 08:57:27)

小春六花> 私のもとにいるとも決まってない感じが最高に素直でいいよね。わかる。（わかりっかって深く頷きながら。手早く菜箸で卵を切りながらとろとろのスクランブルエッグを作り終えれば、カリッと香ばしく炙って温めておいたマフィンの上に味が濃厚で卵とのコントラストが映えるレッドチェダーのスライス、ふわふわとろとろの旨味とボリュームのスクランブルエッグ……最後にカリカリに焼いたベーコンを挟み込んでかんせー、と）
  (2022/12/6 09:02:12)

雷電将軍> うあ…あなたの事を嫌っているわけじゃないですよ？あなたの事は好きですし…(変な誤解を与えてしまったかな、と心配そうな表情を見せながらも言葉をちゃんと伝えて。料理が下手なので少しでも何か学べれば、と観察していたが素人の自分にはどれか一つやり遂げるのも難しそうなので恥ずかしながら諦めた!)
  (2022/12/6 09:06:08)

小春六花> わかってるわかってるー。冗談だから平気よー？（なんて、私も電ちゃん好きだしねー。ってあとはミニトマトと作り置きのキャロットラペを添えてワンプレートモーニング！できた！ってコーヒーを隣に添えてどうぞー？と）   (2022/12/6
09:07:33)

雷電将軍> それなら良かったですけど…(ホッと深い溜息を漏らしつつ六花お手製のワンプレートモーニングがとうとう完成！こたつに戻ってからまずは色々挟まれたマフィンからガブリ！味わったことのない美味しさに「んん！」と思わず感嘆の声を出しながら食べ進める、やみつきだ)
  (2022/12/6 09:11:25)

小春六花> べぇけんの塩気が卵にしっかり移ってるしちゃんとホテルエッグみたいにとろとろにできてよかったぁー……チーズの濃厚さが卵に負けてないおかげでどっしりとしたコクが感じられるのもべね！   (2022/12/6 09:13:03)

雷電将軍> これは……むぐっ…初めて食べましたけど…すごく美味しくてどういう言葉で表せば…(時折、ミニトマトやキャロットラペも食べてはこちらも美味しい。冷める前に、とコーヒーも一口飲めば苦さに少し動揺しつつ、マフィンをあっという間に食べ終わっちゃった)……はぁっ、美味でした…！
  (2022/12/6 09:16:10)

小春六花> ふぅー。よし、ストックにもなったぞー。（うんうんって納得の出来に満足満足）普通に美味しいでいいよぅ。自分の朝ごはん兼用だし！   (2022/12/6 09:20:11)

雷電将軍> ごちそうさまでした…(コーヒーも飲み終われば手を合わせてご馳走様の挨拶、食器を流しへと持っていけば時計を確認。)では私は個人的な用事を済ませてきますね、美味しい朝ごはんをありがとう六花(頭をさすさす撫でて、手を振ってはお部屋を後にしました)  
(2022/12/6 09:24:56)

雷電将軍> 【それではどろん！】   (2022/12/6 09:25:09)

おしらせ> 雷電将軍さんが退室しました。  (2022/12/6 09:25:12)

小春六花> いってらしー。これは今日は小春の部屋的なやつやる感じ？いいよ？   (2022/12/6 09:26:04)

小春六花> 塩と鯰につまされない特殊アタッカーなにかいないかなぁ…   (2022/12/6 09:52:01)

おしらせ> フィーさんが入室しました♪  (2022/12/6 09:53:22)

フィー> おはようございます…寝坊しました（ふあぁ）   (2022/12/6 09:53:38)

小春六花> あ、おはよー。   (2022/12/6 10:04:03)

フィー> まぁ今日は午後になるまで暇だからいいんですけど。（ソファにごろーん）   (2022/12/6 10:04:41)

小春六花> じゃあもうすぐ支度がはじまるのでは…？（安楽椅子にうもれりっか）   (2022/12/6 10:07:07)

フィー> 支度必要ないやつなのでまだのんびりです   (2022/12/6 10:07:39)

小春六花> またスカイネットにアクセスしようとしてる。   (2022/12/6 10:08:00)

フィー> 今日のはしっかり外出ですよー   (2022/12/6 10:08:40)

小春六花> そっかぁ……朝イチよりかは寒さ和らいでるけど、くっそ寒いから防寒してね。（さむさむ）（おうちかえりちゅう）   (2022/12/6 10:10:04)

フィー> ありがとうございます。急に寒くなりましたよね…   (2022/12/6 10:10:32)

小春六花> 12月ーって感じ。暑いよりは寒いほうが好きだからいいけど。   (2022/12/6 10:11:38)

フィー> フィーは寒いと充電切れやすくなるのであったかい方がいいです…   (2022/12/6 10:12:31)

小春六花> 食い溜めが何も効果発揮してないのやっぱりぽんこつ……   (2022/12/6 10:13:04)

フィー> 食べるのと充電って別ですよ？？   (2022/12/6 10:13:25)

小春六花> なんだろう、動力源2つもいるの欠陥じゃないですかね！   (2022/12/6 10:13:52)

フィー> …そんなこと言う人嫌いです（ぷい）   (2022/12/6 10:14:11)

小春六花> きらわれちったぁ……（ぽすん   (2022/12/6 10:14:26)

フィー> …冗談ですよ？   (2022/12/6 10:14:46)

小春六花> ほんとぉ…？   (2022/12/6 10:14:56)

フィー> はい、そうです（にこにこ）   (2022/12/6 10:15:17)

小春六花> えがおがあやしすぎる……（ぴぃ   (2022/12/6 10:16:43)

フィー> はいはい、おちついてください、むぎゅー（安楽椅子のとこまで行って抱きしめてあげて、頭なでなで）   (2022/12/6 10:21:20)

小春六花> わたしはだいぶおちついてるんだけどねー。（むぎゅられー   (2022/12/6 10:22:59)

フィー> さっきまで怖がってたじゃないですかー（すり   (2022/12/6 10:23:15)

小春六花> シンギュラリティに対する恐怖と毎月6日の反骨メンタル的な   (2022/12/6 10:23:43)

フィー> 反骨精神ですか？そういうのはボキボキにしてやりたいですね？（くすっと冗談を言い）   (2022/12/6 10:24:49)

小春六花> じゃあ私は犬の動画でも外接しておいてあげますね！（おめめぐるぐる   (2022/12/6 10:25:40)

フィー> そしたら犬ちんでも生やして六花さんを襲えばいいですかね…？   (2022/12/6 10:26:26)

小春六花> 私が襲われるとでも（？）   (2022/12/6 10:26:42)

フィー> 人間がアンドロイドに勝てると思っているんですか？   (2022/12/6 10:27:22)

小春六花> ロボット三原則守れよ（？）   (2022/12/6 10:30:22)

フィー> 三原則には襲ってはいけないって書いてありませんよ？   (2022/12/6 10:30:40)

小春六花> おかしいなぁ、危害を加えてはならないって書いてるんだけどなぁ   (2022/12/6 10:31:25)

フィー> 襲っても危害を加えなければセーフです（？）   (2022/12/6 10:31:53)

小春六花> 少なくとも犯そうとしてくるのは危害なんだよなぁ……   (2022/12/6 10:32:25)

フィー> 事後に同意があれば和姦です（？）＾   (2022/12/6 10:37:54)

小春六花> 同意しないから……（   (2022/12/6 10:38:11)

フィー> そこはほら・・・人間の脳ってハッキングできますし（   (2022/12/6 10:41:48)

小春六花> バチクソ危害じゃん……こわぁ……   (2022/12/6 10:43:40)

フィー> え？メンタルケアは危害じゃないですし、強○してもあとから同意があれば危害じゃないんですよ？？つまりセーフです   (2022/12/6 10:47:29)

小春六花> 私以外の人にお願いね。（相互理解の諦めの壁）   (2022/12/6 10:48:13)

フィー> はーい。わかりました。（聞き分けのいいフィーちゃん）   (2022/12/6 10:49:01)

小春六花> よかったぁ……（ぼふぅ……   (2022/12/6 10:50:10)

おしらせ> 雷電将軍さんが入室しました♪  (2022/12/6 11:03:06)

雷電将軍> ようやく帰ってこられました…(ﾊﾟﾊﾟｰﾝ)   (2022/12/6 11:03:25)

小春六花> 帰ってくるのはやくなーい？意外と用事早かったんだ。（おかえりーっててをふりふり。あっちは早くも充電が切れたアンドロイド   (2022/12/6 11:04:00)

雷電将軍> 髪を整えてたりそんな感じの内容でしたので…朝一番早い枠で入れておいたのもあってすぐに済みました(ふふん、と誇らしげに笑いながらソファに着差き)   (2022/12/6 11:06:26)

小春六花> そしたら今日はゆっくりできるねぇ……（って安楽椅子でゆらゆら、ゆーらゆら）   (2022/12/6 11:07:02)

小春六花> フィーちゃんはシャットダウンして重いんだけどもぉ……（ぐぬぬ   (2022/12/6 11:07:51)

雷電将軍> ゆっくり休みます、貴重な時間です(のんびり将軍)…寒くならないように毛布でもかけてあげましょうかね…？(ふーむ)   (2022/12/6 11:08:56)

小春六花> 私の上で電源切るの不具合ですよゆーすてらぁ！   (2022/12/6 11:10:24)

小春六花> 私もポケをモンしながらのんびりすごしてようかなぁ   (2022/12/6 11:11:57)

雷電将軍> …力仕事ならお任せください(腕まくり！)   (2022/12/6 11:12:35)

雷電将軍> 最新の話題作ですね確か…私はプレイしてはいませんがもし買うとしたら私と同じカラーの方ですかね…。   (2022/12/6 11:13:31)

おしらせ> 無言時間が25分を超えたため、フィーさんが自動退室しました。  (2022/12/6 11:14:11)

小春六花> とりあえず、寝落ちたら引き剥がしてコンセント横にでもおいてもらっても……？（うんうん）　私はあかいほうかいました。なんとなく。　バグは多いですが楽しいです……ていうか、課金がないって幸せ……（うろんなめ）   (2022/12/6
11:14:20)

雷電将軍> 分かりました、よいしょっ……(ひょい、と持ち上げて彼女に指定された通りコンセントの横へ。一応毛布もかけてあげて)…課金要素があると何かと、懐が寒くなってしまうような。   (2022/12/6 11:15:43)

小春六花> はー…ほんとしゃーないやっちゃなー……（スカートめくって太ももの充電端子に充電器を差し込んで戻っといでーってなむなむ）　……おたくんとこ、課金要素ひどいらしいから遊ぶ気がないしね……（もう…ガチャゲーばっかはいやだ……ってかお）  
(2022/12/6 11:17:34)

雷電将軍> (こちらもそれに乗ってなむなむ)…私のところも課金要素はありますが…どこぞのサーヴァントを使役するゲームに比べればまだまだ良心的かと、個人的には思います…(どちらにせよ、出費しなければいけない時もあったり)   (2022/12/6
11:19:59)

おしらせ> フィーさんが入室しました♪  (2022/12/6 11:21:01)

フィー> ふあぁ、眠っていました…（もぞもぞ）   (2022/12/6 11:21:38)

小春六花> なんだろう……やっぱ、払ったら必ず手に入るのがいいのよ……（本心）さすがゆーすてら、起動がはやい   (2022/12/6 11:21:42)

雷電将軍> おかえりなさい〜   (2022/12/6 11:22:06)

フィー> これくらいの寒さの時に、暖房をがんがんに焚いて布団にくるまってるのはダメですね。   (2022/12/6 11:22:24)

雷電将軍> 買い切りっていうものですかね、課金要素なしに最後まで遊び切れる作品は確かに好きですわたしも…(同意！)   (2022/12/6 11:23:15)

フィー> でもそういうゲーム減りましたよね。スマホのゲームはほとんど課金制ですし   (2022/12/6 11:24:18)

小春六花> もう、原何がどうとか、Faなんちゃらがどうとかじゃないのよ……単純に、払った分のリターンがちゃんとある世界がいい……（本心）　えー、フィーちゃんそんなんで外出できんの…？   (2022/12/6 11:25:41)

雷電将軍> 最近のご時世でそういうゲームって中々見ないですよね…私があまりゲームを嗜まないっていうのもあるかもしれませんが…(コタツに移動、モゾモゾ)   (2022/12/6 11:27:10)

フィー> まぁ正直眠いですが…行く必要あることなので。   (2022/12/6 11:27:38)

フィー> フィーもそんなにゲームしないんですよね、最近はNOIANOAHっていうゲーム買いましたが。TRPGする機会のほうが多いです   (2022/12/6 11:28:18)

小春六花> なるほどぅ……じゃあはよいっておいで。めろんパン食べながら待ってるからはよもどっといで。   (2022/12/6 11:28:29)

小春六花> 私は割とするかなぁFF14。   (2022/12/6 11:29:28)

雷電将軍> 外出ですか、最近は寒いので防寒して気をつけて行ってくださいね。   (2022/12/6 11:30:01)

雷電将軍> FFシリーズは根強い人気がある印象がありますね、それなりの歴史がある作品だからでしょうか…？   (2022/12/6 11:30:51)

小春六花> 14ちゃんは単純に新生してから和製MMOとしては最高傑作まで至れたのもあるけど、まぁ一つの歴史は作ったよね。   (2022/12/6 11:31:37)

フィー> 出発が13時なのでまだのんびりです。   (2022/12/6 11:32:57)

雷電将軍> 作品の開始がいつかは分かりませんが14は結構前からありませんか？少なくとも2.3年くらい…   (2022/12/6 11:33:06)

雷電将軍> なるほど！では私たちとゆっくりしていましょう、休息は肝心ですから。   (2022/12/6 11:33:26)

小春六花> 出ていく前にメロンパン食べ切れちゃう……   (2022/12/6 11:33:36)

小春六花> え、14はもう9周年じゃないかな？新生してからかどうかはちょっと記憶が定かじゃないけど。   (2022/12/6 11:34:38)

雷電将軍> ………そんなに前からあったんですか？思ったより昔で動揺隠せませんよ私。   (2022/12/6 11:36:54)

小春六花> うん、多分新生してから7年、根性版2年位のハズ……   (2022/12/6 11:38:25)

雷電将軍> それほど前からあるのにまだまだファンの方がたくさんいるとは愛されているんですね…すごい…   (2022/12/6 11:40:19)

小春六花> 売上とかもかなりすごすごなんだよねー。まだまだユーザー増えてるし。   (2022/12/6 11:43:59)

雷電将軍> 今でも新規の方が増えているってすごい事態ですね…？この先もまだ続きそうな雰囲気…   (2022/12/6 11:44:42)

小春六花> まだまだ続いてほしいよ。ほんと。居場所というか、故郷なくなるの結構寂しいからねぇ……   (2022/12/6 11:50:03)

雷電将軍> 昔からお世話になっていた場所が消えてしまうのは確かに辛いですよね…ですがまだまだ新規さんがいらっしゃるのでしたら、そこまで心配する事は…ないと思いますが…(うーん…)   (2022/12/6 11:52:28)

小春六花> まぁ消えるにしても先に11だろうしねぇ……。ちゃんと一度ストーリーも完結したし、電ちゃんもどう（？）   (2022/12/6 11:55:26)

フィー> オンラインゲームは買い切りと違ってサービス終了も問題ですねぇ   (2022/12/6 11:56:01)

小春六花> まぁ、それは割り切るしかないねぇ……今すぐ消えるわけじゃないし。   (2022/12/6 11:58:28)

雷電将軍> 私はそういうゲームの知識があまりないのですが、パソコンを使って遊ぶんですかね…？   (2022/12/6 11:59:32)

小春六花> 基本はPCだけどPS4版とか、XBOX版もあるねー。   (2022/12/6 12:00:16)

雷電将軍> PS4ならあるのですが   (2022/12/6 12:01:49)

雷電将軍> 容量問題が…どうせなら容量でかいやつを買えばよかったと…。   (2022/12/6 12:02:15)

小春六花> んー、1万円台で外付けHDDっていうのがあるし（というか、基本的にあの辺り使わないと本体じゃどうせ足りないし）基本的にはそれを挿すことになるかな？   (2022/12/6 12:06:12)

小春六花> 1万円台はSSDのほうか……   (2022/12/6 12:07:12)

雷電将軍> あー…前に友人がそんな事を私に助言してくれてましたね…HDDとSSDの違いはチョロリと調べたことありますが…私的にはお手軽に使える方がいいです…(寿命とかそういうのも気になる様子、うーん！)   (2022/12/6 12:08:20)

小春六花> 役割は基本的におんなじだねー。データストレージ……ようはゲームデータの倉庫を増設して、その倉庫に新しいデータを入れてく感じのものだから。だから、用途も使い方もおんなじなんだよねー。   (2022/12/6 12:10:40)

小春六花> じゃあ何が違うのっていうと、基本的には容量と読み書きの速さっすね。   (2022/12/6 12:12:32)

雷電将軍> さっきも貴方が言ってましたが本体+そのHDDとかないと運用していくのがなかなか大変ですね…(ダウンロード何個かするとパンパンだ)私的にはどうせ買うなら容量たっぷりがいいですねー…   (2022/12/6 12:14:15)

小春六花> そしたら基本的にHDDになるんだけどこっちはお値段が安い代わりにつるっと落としたりすると簡単に壊れる（ただ、落としたりしない限りは滅多なことでは壊れない）。あと、SSDに比べてデータの読み込みがとっても遅いの。   (2022/12/6
12:16:11)

小春六花> 私は気にならないけど。   (2022/12/6 12:16:36)

おしらせ> 滞在時間が360分を超えたため、小春六花さんが自動退室しました。  (2022/12/6 12:16:36)

おしらせ> 小春六花さんが入室しました♪  (2022/12/6 12:16:49)

フィー> おかえりなさーい   (2022/12/6 12:16:53)

小春六花> フィーちゃん起きてた   (2022/12/6 12:17:51)

雷電将軍> 安い、落ちたら危険だけど頑丈、ただし読み込みがスロー……なるほど、じゃあSSDはその反対の性能って考えればいいんですかね？   (2022/12/6 12:18:12)

雷電将軍> (わ！)もうお昼時間でしたね、早い…   (2022/12/6 12:18:26)

小春六花> そうなんだよねー。大体同じ容量でもお値段は2倍近く、落としたりぶつけたみたいな衝撃に強い代わりに熱とか静電気に弱くなってるのでそっとしてても突然壊れたりしちゃうこともあるかな。ただ、読み込み速度は爆速になってるし、駆動音もとっても静か。  
(2022/12/6 12:21:08)

雷電将軍> うぐぐぐ…そう聞くと本当にどっちもどっちなんですね、読み込み速度と音が静かって点は魅力的ですが…(うー！！)またこれで一つ賢くなりましたよ、ありがとうございます。   (2022/12/6 12:22:42)

小春六花> とりあえずその場をしのぎたいならHDD買っちゃってもいいと思うけどねー。私は。遊ばない本体データや、セーブデータを移して本体に遊ぶデータを入れるみたいな運用でカバーできるっちゃできるし。   (2022/12/6 12:24:39)

雷電将軍> なるほどそういう使い方も…勉強になります(メモメモ)これでなんとか希望は見えてきましたね！(やったあ、と言わんばかりの顔してはぎゅーーっ)   (2022/12/6 12:27:31)

小春六花> 八重さんもFF14はいいぞ仲間なので混ざってほしいところですとも（？）（こちらもかいけつやったー！ってむぎゅー   (2022/12/6 12:28:40)

