/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年07月14日 12時57分 ～ 2023年07月17日 00時35分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

銀狼> オッケー、ピロートークとか、お酒でセイカの心が緩んだ時ね。（らーさ。楽しそうに敬礼しつつ）―――さ、て、と。人と逢う事もできたし、まったりダベる事も出来たし。…私はそろそろお昼ご飯にしようかな。…おなかすいた。（あと土日の仕事に備えて買い物とかもしてこなきゃ。…雨、降ってこないといいなーって、ちらっと窓の外見やりつつ）
  (2023/7/14 12:57:25)

銀狼> こわっ（びくっ！８本！それもう触手では…！？）   (2023/7/14 12:58:26)
桜花あさひ ◆> あさひのとこ雨とか雷すごくてな〜……夜中に避難警報？で起こされちゃったり……警報の音って怖いよな〜……(ぶるる)ふふ♪ひとり姉ちゃんすぐ赤くなっちゃうなぁ…♪   (2023/7/15 02:54:48)

後藤ひとり ◆> あわわ……それは大変ですね……生命大事にですよ……(よーしよしよし)可愛い子にキスされたら誰でも照れますよ……///   (2023/7/15 02:57:54)

桜花あさひ ◆> 音がすごくて全然眠れなかったぞ……やっぱり晴れが1番だっ！(しゅん)それじゃあ〜♪もっともっとするぞ〜っ♪(ちゅ、ちゅーっ)   (2023/7/15 03:01:25)

後藤ひとり ◆> ですね……あつあつなのも困りますが………(げっそり)も、もう……////からかわないでくださいっ……///(でも満更でもなくて)   (2023/7/15 03:03:50)

桜花あさひ ◆> あつあつならプールとか海に行けばいいぞ〜♪泳ぐのも大好きだ〜♪ひとり姉ちゃんは海とか好きか〜？(首傾げながら見つめて)ん〜♪ふふ、ごめんごめんだぞ〜♪ひとり姉ちゃんの反応楽しくって〜♪   (2023/7/15 03:06:43)

後藤ひとり ◆> わ、私は肌を出しても誰も得しないので……可愛い子の水着を見るのは良いですけど………(うんうん)あ、いえほんとに怒ってる訳では無いので……//   (2023/7/15 03:12:40)

桜花あさひ ◆> え〜…？ひとり姉ちゃんも可愛いの来たらいいのに〜…っ、ふふ、おっぱい大きいし〜、人気者になれると思うぞ〜♪(ふにふに)んふふ、それは分かってるぞ〜♪ひとり姉ちゃんは優しいからなぁ♪(ぎゅぅ)   (2023/7/15 03:15:06)

後藤ひとり ◆> 可愛いならあさひちゃんだって……それに胸も大きい人は沢山……(よしよし)あはは……私がほんとに怒ることはそうそうないですよ……♪(ちゅう)   (2023/7/15 03:19:13)

桜花あさひ ◆> ふふ♪あさひも可愛い水着持ってるぞ〜♪ふふ、ひとり姉ちゃんと海行きたいな〜♪(すりすりむぎゅ)優しいひとり姉ちゃんだーいすきだぁ♪   (2023/7/15 03:22:23)

後藤ひとり ◆> その時はぜひ拝見したいですね……♪私ですか？あさひちゃんとなら……(抱き合ってにへ)私もあさひちゃん好きです……♪   (2023/7/15 03:24:04)

桜花あさひ ◆> じゃあ約束だぞ〜♪ふふ、友達と水着見に行って可愛いの選んだからなぁ♪(顔を近づけて鼻先を触れ合わせて)そーしそーあいだぁ♪   (2023/7/15 03:27:23)

後藤ひとり ◆> なるほど……♪あさひちゃんなら何着ても似合いそうですけどね………♪(鼻同士キスしながら見つめ合い)それだと恋人になりますね！？//   (2023/7/15 03:30:40)

桜花あさひ ◆> そうかぁ♪？ふふ、嬉しいなぁ♪なんでも着ちゃうぞ〜っ♪(にこにこわらって身体を密着させて)ふふふっ、ラブラブだなぁ♪   (2023/7/15 03:33:26)

後藤ひとり ◆> な、何でもはダメですよ！？……////露出度高いのはダメです……///(抱き合いながら)私はあさひちゃん好きですけどね……////   (2023/7/15 03:38:58)

桜花あさひ ◆> えへへ、大丈夫だぞっ、変なのは気ないからな〜……♪(くすくす)あさひもだいだいだいすきだーっ♪   (2023/7/15 03:41:24)

後藤ひとり ◆> 心配です……(わなわな)ほんとですか？……両思いですね……♡   (2023/7/15 03:44:51)

桜花あさひ ◆> し、心配しなくていいぞ〜…！(ぎゅぅ)えへへ、ラブラブだなぁ♪嬉しい嬉しいぞっ♪   (2023/7/15 03:49:15)

後藤ひとり ◆> 分かりました………！着るのは可愛いものだけですからね！(よしよし)私も嬉しいです……♡(お礼に今度は唇にキス)   (2023/7/15 03:51:01)

桜花あさひ ◆> 分かってるぞ〜…♪約束だ〜♪(にこにこ)んむ……ふふ♪ちゅう〜……♪(ふにゅふにゅ唇重ねてぐいぐいと密着して)   (2023/7/15 03:58:04)

後藤ひとり ◆> んむっ……♡んうっ……♡ちゅう……♡(唇を重ねながら少しだけ目を細めて)   (2023/7/15 04:00:32)

桜花あさひ ◆> ふふ……♪んむ、ちゅ〜……♪……えへへ、くちびるでちゅーするのは流石にちょっと恥ずかしいな〜//♪(少しほっぺたを赤くしながら照れて)   (2023/7/15 04:05:32)

後藤ひとり ◆> で、ですね……///とすみませんそろそろ眠気が……///   (2023/7/15 04:07:21)

桜花あさひ ◆> えへへ…//♪んぅ、あさひも眠たくなってきちゃったぞ〜……(ぎゅぅ)   (2023/7/15 04:08:13)

後藤ひとり ◆> なら寝ますか……♡(抱き合いつつそう訪ね)   (2023/7/15 04:09:38)

桜花あさひ ◆> そうだな〜…♪ふふ、久しぶりに一緒に寝れるぞ〜…♪(こくこく頷いて)   (2023/7/15 04:11:30)

後藤ひとり ◆> おやすみなさい……あさひちゃん……♡(唇に再度キス)   (2023/7/15 04:13:03)

桜花あさひ ◆> うん〜…♪ひとり姉ちゃんも〜、おやすみなさいだぞ〜……♪(目を瞑って唇をくっつけて、微笑みながら)   (2023/7/15 04:14:34)

桜花あさひ ◆> 【えへへ、おやすみなさいだぞ〜…っ♪またなぁ、ひとり姉ちゃん〜っ♪】   (2023/7/15 04:14:53)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/7/15 04:15:02)

後藤ひとり ◆> 【おやすみなさいです♪】   (2023/7/15 04:17:34)

おしらせ> 後藤ひとり ◆qdBZ5U32c6さんが退室しました。  (2023/7/15 04:17:36)

おしらせ> フィリス ◆0yEVK5l4B6さんが入室しました♪  (2023/7/16 00:28:24)

フィリス ◆> よーるの探索おっわっり〜。ふー、お日様が沈んでるのに汗でべたべた〜。(じっとりと垂れる汗をハンカチで拭きつつ、ぎっしり荷物の入った鞄と籠を床に下ろし)
やっぱり一人だと色々手間がかかっちゃうなぁ。とはいっても先生達はザールブルグ？に見学しに行くって言ったっきり連絡途絶えちゃってるし……   (2023/7/16 00:32:45)

フィリス
◆> 触媒も活性剤も使わないどころか、釜すら変えないで賢者の石が作れるなんて本当なのかな〜……多分理屈的にはものすごい時間、釜とにらめっこしてれば出来るとは思うけど、現実的じゃないような……(錬金術に対し現実味なんてものを考えるのはナンセンスだ、と首を振って考えを否定し。シャワー上がりでほんのりほってり、ふわりと湯気を立てながらソファにもたれかかり)
  (2023/7/16 00:57:19)

おしらせ> 東北ずん子さんが入室しました♪  (2023/7/16 01:11:42)

東北ずん子> 汗だくのおんなのことききました！(まだいるかは置いといて、ぐぐっと顔をだしましょう)   (2023/7/16 01:12:14)

東北ずん子> (あ、流石に遅いっぽいです、タオルケット掛けておきましょう)   (2023/7/16 01:17:13)

おしらせ> 無言時間が25分を超えたため、フィリス ◆0yEVK5l4B6さんが自動退室しました。  (2023/7/16 01:22:49)

おしらせ> 無言時間が25分を超えたため、東北ずん子さんが自動退室しました。  (2023/7/16 01:42:35)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが入室しました♪  (2023/7/16 10:52:51)

廣井きくり ◆> あー、私が主役のスピンオフ漫画がいつの間にか連載開始してるじゃーん♪よかったー、これでサンプリングが取れて私の口調とかも安定するわ♪早速コミックファズに登録だぁ♪（画面の割れたスマホでポチポチ、漫画を読みながらだらーんとソファーに座って）  
(2023/7/16 10:57:17)

廣井きくり ◆> あははははっ♪やばぁっ、夜中に酔って路上で寝るとか通りすがりに色々されちゃいそー♪……あー…今思うとほんと危なかったなぁ…。（漫画を読みながらケラケラ笑ってたけど、ひときしり笑って冷静になると危機感が湧いて真顔になって）  
(2023/7/16 11:06:42)

おしらせ> 東北ずん子さんが入室しました♪  (2023/7/16 11:16:40)

廣井きくり
◆> 漫画の私……まあ何もされてないんだろうけど、パンツぐらいは見られてたかもしれないなー…。………//（そういや普段どんなの履いてたっけ？って確かめるように、周りに誰もいないのを確認すると長いスカートを捲って自分の下着を確認して）……まあ…見られても問題ないはず……だよね…//
  (2023/7/16 11:16:46)

東北ずん子> (は、こっそりと隠れたまませなかにそーっと　……ふむ……なるほど……いい下着してますなぁ♥   (2023/7/16 11:17:35)

廣井きくり ◆> へっ？……ぎゃーっ！？//（スカートの中からソファーの後ろの方に視線を移すと、ライブで出すような大声で叫んで）はぁ…ふぅ…//お…おはよー…♪あはははっ、セールで買った安下着だからあんまり良いもんじゃないよー//   (2023/7/16
11:21:05)

東北ずん子> うへへ、おじさんのお部屋で寝かせてあげるよー(よくわからないけどわきわき)……ふむ、きくりちゃんが主役の漫画、ですかぁ。ちょっと気になりますねぇ。私も後で読んでみましょーっと。ともあれ、こんにちはー、安い下着って事は…それはつまり、脱いじゃっても問題ないものって事でもあるんでしょうか♥(ふっふっふ、その大声にちょっとだけびくっとしたものの。改めてじーっと視線をスカートに映して)
  (2023/7/16 11:23:32)

廣井きくり
◆> ずん子ちゃんの部屋って事は和室〜？あー、いいかも…焼酎とか飲みながら寝かせてー♪（わきわきした手に危機感を抱くことなくへらへらと話して）うん、先読みしなければタダみたいだよー♪えー？そうなる？//まあ新しいの買ってくれるんなら古いのあげてもいいけどねー。あははははっ♪//（酔った勢いで冗談を言うと景気づけにもう一口ワンカップを飲んで）
  (2023/7/16 11:28:45)

廣井きくり ◆> 【ほかの子で色々話してるから初対面って感じでもないし、もう私とずん子ちゃんは顔見知りってことでいいよねー♪……だめ？//】   (2023/7/16 11:31:37)

東北ずん子> ……きくりさん酔ってます？(あらためて近くにいくとすんすん、お酒の匂いがして)……おー、丁度最近登録したので、折角だから読んでみますね♪(あ、和室のいい部屋ですよってニコリ。いちおう畳のお部屋でお布団で寝てますってこくっとうなずき)……つまり、きくりさんの下着をもらえる！？それはそれでいいですねっ
  (2023/7/16 11:32:17)

東北ずん子> 【あ、全然問題ないですよ、私も大体顔見知りって感じで話してますし。好きなようにしちゃっていいってことですもんねぇ(うへへ♥】   (2023/7/16 11:33:24)

廣井きくり
◆> もちろーんっ、絶賛酔ってるよー♪ずん子ちゃんも飲むー？さっきライブの収入入ったばっかりだから奢ったげるー♪へへー、ずんこちゃんの家で宅飲みもいいかも♪（和室の話しを聞くと行きたいなーって酔っ払い特有の無茶な要求をしてみたり）いやー、やめときなってぇ…//お金出して中古の下着貰うなんて何のメリットもないよ？//（調子に乗ってえらいこと言ったと自覚するとワンピースの下を押さえながら笑って誤魔化そうとして）
  (2023/7/16 11:37:38)

東北ずん子> 休日の昼を満喫していますねきくりさん！？えーっと、あー、そういえばここ半年飲んでないですねぇ…うーん、付き合いで飲むのも嫌いじゃないですけど(このまま飲まないってなりそうだなぁってぼんやり)ま、私の家でのむのは全然かまいませんけど。ふふ、きくりさんの下着くれるならいいですよー♪(くすっと苦笑しつつじーっとワンピースの下をちょっと眺め)……しかし、まぁ、深酒日記ですか……うん、ぽいなぁ
  (2023/7/16 11:40:48)

東北ずん子> あ、これはダメな人だ、きくりさん(うん、これきくりさんの魅力が伝わる…伝わる？   (2023/7/16 11:44:58)

廣井きくり
◆> なんだー、私の酒が飲めないの〜？……あははっ、なんてね♪お酒は強制されるものじゃなくて自分の意志で飲むもんだからさー♪（ちょっと芝居じみた事をしてから無理にとは言わないよって言い、一口だけ飲んだワンカップをテーブルに置いて）あー//お風呂入ったの昨日の夜だし…恥ずかしいんだよね…//……ほんとにいる…？///（お酒が回り始めるとちょっとだけ大胆になって、もし本当に欲しいならって…スカートの中に手を入れようかどうか迷った様子を見せて）ぽいよねー、多分ここからグルメ漫画的な要素も入るんだろうけど//
  (2023/7/16 11:49:00)

廣井きくり ◆> 何を今更〜♪でもさぁ、後先考えずに今を生きてる感じが私らしいよねー♪後悔はしてるっぽいけど…//   (2023/7/16 11:50:31)

東北ずん子> グルメ漫画要素があるのなら、まぁ(たしかにきくりさん美味しいものおいしくたべそうだなぁって)……いや、きくりさん。下着は欲しいですけど。もー、本当に私の家でのみますかー？(お昼間にちょっと顔を覗かせたのかは不明だけど、まったくって小さくため息を吐いて)ついでにお風呂にもいれなきゃですかね(わきわき　ま、ゆっくりここで飲みながらってのもいいですけどねー(きくりさんの飲んだお酒をひとくち、こくりと飲んで)
  (2023/7/16 11:53:42)

廣井きくり
◆> 宅飲みの話は冗談だからー//話に付き合ってくれたお礼って言うかさ…友情の証しみたいなもので渡してもいいかなーって…//（脱いで渡した方が良いのか脱がせて貰った方が良いのかを考えて、手をスカートの近くで惑わせながら）お風呂かぁ…着替えを持ってこなきゃいけないねー//あっ、ずんこちゃんありがとー♪私に合わせて飲んでくれたんでしょ…？//（お酒に口を付けたのを見ると腕を肩にまわしながらお礼を言おうとして）
  (2023/7/16 12:00:43)

東北ずん子> 私は冗談ではいいませんよー♥きくりさんとお家でのむの…いいかなぁって思いますし(私は脱がせる方がすきですよぉって耳元でささやいて)あ、お着換えとかは家にある程度ありますから気にせず…ん－。やっぱりこういうお酒って悪くはないですが。あんまり味がわかんないんですよねー(気分とかもありますしねって、くすっと。しっかり半分くらい残してぷはっとしっかり飲み。ぎゅうっときくりさんに寄りかかっておきましょう)
  (2023/7/16 12:03:49)

廣井きくり
◆> えへへぇ♪なら今日はもうすぐお昼だし…夜に時間のある時にお呼ばれしちゃおっかなぁ♡……とりあえず…約速の印ってことで…？//（座ったまま腰を浮かせると片手でスカートを捲り、作りのシンプルな黒のレース下着を見せると下ろしてもらうのを期待するようにずん子ちゃん見て）あー、安酒は酔うためのものだからねー//味は飲み慣れるまではちょっとアレかも……まあ少しずつ飲んで行こうよー♪（寄りかかってきた体を抱きとめると、よしよしって背中を撫でて）
  (2023/7/16 12:11:16)

東北ずん子> そっかー、残念です(じーっと、黒のレースをじーっと見つめ)折角だからきくりさんとのみたいなぁっておもったんですけど♥それじゃあ今日はこれくらいで。お昼の後にきくりさんと遊ぶのもたのしみにしてますね(はふっと熱を上げて、ぎゅ♥しっかりくっつき、満足げに離れ)暑いですしへやでだらーっとしたくもあったんですけど、それなら私もおひるじゅんびするかなぁ
  (2023/7/16 12:14:52)

廣井きくり ◆> うん、ごめんねぇ//また飲みたく…ううん、遊びたくなったら声かけて欲しいな？ずん子ちゃんもお昼なんだ？せっかくの連休だし、良いもの食べちゃおうよー♪じやゃあ、そろそろ私も出かけてくるね？行ってきます…♪   (2023/7/16
12:18:41)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが退室しました。  (2023/7/16 12:18:53)

おしらせ> 東北ずん子さんが退室しました。  (2023/7/16 12:20:22)

おしらせ> トール ◆KYU4xJUDfn8Iさんが入室しました♪  (2023/7/16 16:47:37)

トール ◆> 何がとは言わないですが話に入らせてくれない。置いてけぼりにされるならともかく誘ってくれてるのに話に入らないならわざわざ入室する意味ないと思いますかねぇ(目に余ったので軽く愚痴ったメイドラゴンです)   (2023/7/16 16:50:35)

トール ◆> さてさて夕方時ですが人は来るでしょうか。今週は夜以外は比較的に人の波が少ないですからね！(お部屋は……適当にリビングで！)   (2023/7/16 16:52:13)

トール ◆> また夜にでも来ますか！では！   (2023/7/16 17:19:56)

おしらせ> トール ◆KYU4xJUDfn8Iさんが退室しました。  (2023/7/16 17:20:02)

おしらせ> 京町セイカさんが入室しました♪  (2023/7/16 20:25:43)

京町セイカ> ほほーう？きくりちゃんめ、楽しんでるじゃないのー？   (2023/7/16 20:25:55)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが入室しました♪  (2023/7/16 20:49:46)

おしらせ> 無言時間が25分を超えたため、京町セイカさんが自動退室しました。  (2023/7/16 20:51:17)

おしらせ> 東北ずん子さんが入室しました♪  (2023/7/16 20:52:42)

廣井きくり ◆> セイカちゃーん♪…ってあれ？機嫌損ねちゃったかなー？//（酒瓶を持って元気よく挨拶するけど入れ違いになってしまうと大人しくソファーに座って）   (2023/7/16 20:55:12)

東北ずん子> せいかちゃんだとおもった、残念、ずんだでした！(ぎゅっと後ろから抱き着いて   (2023/7/16 20:55:53)

おしらせ> 京町セイカさんが入室しました♪  (2023/7/16 20:56:34)

京町セイカ> セイカちゃんはいるわよ？でもせっかくだし今日は見にまわるわね！   (2023/7/16 20:57:03)

東北ずん子> いえーい、セイカちゃんもいましたー、いらっしゃいませー(ひらひら   (2023/7/16 20:57:27)

廣井きくり ◆> わっ！？……あ、ずん子ちゃんこんばんは♪//（驚いて酒瓶落としそうになると慌ててそれを両手で掴み、背中に柔らかさを感じながらできる限り後ろを向いて）   (2023/7/16 20:58:04)

廣井きくり ◆> えー//どうしてぇ…もう私の体には興味ないってこと…？//（手を出して貰えなかった事がショックでさめざめと泣きながら）   (2023/7/16 20:59:19)

京町セイカ> いえーい、ずん子ちゃんやっほー！今夜はきくりちゃんをよろしくねー♪(抱きつく2人を見つつ缶ビール開けて)   (2023/7/16 20:59:21)

東北ずん子> こーんばーんはー…ふー、夏場でだらけて元気力がなかったです(ふにゅっと背中に胸を押し付けつつくてー。しっかりと酒瓶をもって　……なるほど、セイカちゃんもいろいろしたんですなぁ(によによ   (2023/7/16 20:59:47)

東北ずん子> そういえばセイカさんもお酒なかまでしたね！？   (2023/7/16 21:00:07)

京町セイカ> この時をかける少女セイカちゃんは本日きくりちゃんがずん子ちゃん   (2023/7/16 21:00:25)

京町セイカ> を誘惑した展開を確認したわけですよ…よって本日はずん子ちゃんにきくりちゃんを差し出します！(ぷっはー！とまずはひと缶空けて)   (2023/7/16 21:01:12)

廣井きくり ◆> 昼暑かったよねー、私はこいつでちゃんと水分補給してたけど♪……んゃっ//（酒瓶を見せて陽気に言うけれど、がっつり胸が当たると気持ちよさで変な声が出ちゃって）   (2023/7/16 21:01:47)

東北ずん子> 夜にっていったから、きたいして、たかもしれない？(きょとん　とはいえ、約束とかではないんですけどねー。折角だから和室でゆっくりはきになしますけど(こくこくとセイカさんにうなずき、おつまみの枝豆あげときましょう   (2023/7/16
21:03:52)

廣井きくり ◆> んー…じゃあせめて見てて欲しいな…//それはダメ…？//（セイカちゃんに手を出して貰えないならせめて痴態を見て欲しくて…汗ばんで透けてる薄いワンピースをギュッと握りながら）   (2023/7/16 21:04:44)

京町セイカ> …らしいんだけどずん子ちゃん気にならない？(もらったおつまみもぐもぐしながらちらり)   (2023/7/16 21:06:13)

廣井きくり ◆> あはははっ、ずん子ちゃん相変わらずえっちー//……ねえ…今日はどんな事してくれるの…？///（期待して経って言われれば私なんかでいいのかなってちょっと不安に思いながらもドキドキしながら聞いてみて）   (2023/7/16 21:07:38)

東北ずん子> なんですかぁ、きくりちゃんは見られながらがいいんですかぁ(ほっぺをぷに、ぷにっとつついて　私はまぁ…スイッチ入れば気にはならないですかね？あ、でもすけすけの感じはとってもいいと思います！(うぬん、つーっときくりさんをぎゅっと抱えて、すり、すり♥)
  (2023/7/16 21:07:41)

京町セイカ> ねーえ、きくりちゃん？私とずん子ちゃんどっちが好きー？(にやにやしながら少し緊張気味のきくりちゃんに質問)   (2023/7/16 21:10:15)

廣井きくり ◆> 私がって言うより…セイカちゃんがね…//他の人に私がめちゃくちゃにされてると嬉しいみたいだか……ひゃっ♡（ほっぺつつかれながら話してると透けたワンピースの上から肌を擦り付けられて、その気持ちよさにスレンダーな体をぷるぷるさせちゃう♡）  
(2023/7/16 21:11:26)

廣井きくり ◆> ……え…？そんなの…もちろんセイ…//ぁ…はぅ…うぅっ♡（質問にちゃんと答えたいのに擦り付けられるずん子ちゃんの肌が気持ちいいからちゃんと声を出せなくて）   (2023/7/16 21:14:27)

東北ずん子> ふーん、それはそれで嫉妬しちゃいますねー。私としたいんじゃなくてセイカさんに見せたいんですねぇ♥(じーっとみつめながらほっぺつんつん　折角夜にできるかなーって思ったんですが、お邪魔でしたかねぇ(ぎゅっと、しっかりだきついてもたれかかり。ふに、ふにっとお尻をなぞって♥
  (2023/7/16 21:16:01)

京町セイカ> ずん子ちゃんそれは違うわよ？(にーっといたずらっぽく微笑んで)私が見るかもわからないのに他の女の子に粉かけるなんて私をダシにして気持ちよくなりたいに決まってるじゃない♡(すすっと2人に近づくときくりちゃんに…と、見せかけて少しすねたようなずん子ちゃんと唇重ねて)
  (2023/7/16 21:19:22)

廣井きくり
◆> そういうわけじゃ…//えっと、三人でしてるみたいな感じだよー？//（問い詰められるともじもじして目を逸らしながら答えて）そんな、邪魔なんかじゃ…//ひゃぁぅっ♡……ずん子ちゃん、お尻…くすぐったいよ…///（肉付きはあまりよくないけどスッとしてて形の良いお尻を撫でられるとくすぐったくて気持ちよさそうに小さく揺れて）
  (2023/7/16 21:21:27)

廣井きくり ◆> あっ…セイカちゃん…♡ん〜っ…♡……あれっ？……あっ……///（セイカちゃんにキスして貰えると思って目を閉じたのに唇には何も感触がなくて、目を開けると二人がキスをしてたから、まるでご褒美をお預けされた犬のように悲しそうな顔をして）  
(2023/7/16 21:26:25)

廣井きくり ◆> 【実際のところずん子ちゃんはこういうの大丈夫ー？もし嫌なら普通にするから//】   (2023/7/16 21:27:43)

東北ずん子> ふふ、私は結構わがままですから、んぅ(ちゅ、ちゅう♥ちろ、ちろ♥セイカちゃんと舌先をちいさくからめて♥　ん－、どうしたんですかぁ、きくりさん♥(よし、ちょっとおちついたので。ふに、ふに、背中に身体をこすりつけて)   (2023/7/16
21:28:30)

東北ずん子> 【そうですねぇ、きくりさんが何でもしてくれるのなら全然いいですよぉ♥(ふにゅ、ふにゅ♥】   (2023/7/16 21:29:13)

廣井きくり ◆> 【あんっ♡……一応私グリアロちゃんと同じ扱いだから…//ふたなり以外なら何でもするよー？//】   (2023/7/16 21:31:02)

京町セイカ> 【まぁそういうわけなので今日の私は本当に外野ね？】   (2023/7/16 21:32:42)

東北ずん子> 【全然せいかさんもあわよくばきくりちゃんすきにしちゃっていいんですよ！】   (2023/7/16 21:33:24)

京町セイカ> 【えへへ、私はいつでもできるから♡】   (2023/7/16 21:34:46)

廣井きくり
◆> あっ…ああっ…//セイカちゃんの唇…私のなのにぃ…//（二人の見せつけるようなキスに肩の力を落として羨ましそうに見つめるけど）あっ♡やっ…♡ずん子ちゃん…そのっ、あんまり背中に当てられると…あぅぅ…//（擦り付けられてワンピースの肩紐が乱れてブラジャーがチラリと見える状態になりながら、気持ちよさに背中をぷるぷるさせながら小さな声を出して）
  (2023/7/16 21:36:40)

廣井きくり ◆> 【私…これからこうやって色んな人に抱かれるんだ…//セイカちゃんの性欲を満たすために…///（ごくり）】   (2023/7/16 21:38:01)

東北ずん子> ん－、やっぱり、きくりちゃんはセイカちゃんすきなんですね、いいなぁ♥(ちゅ、ちゅ♥舌を伸ばして、ちゅ、ちゅ…口づけして。ぎゅう♥きくりちゃんの背中に凭れて、おっぱいふに、ふに♥しっかりと押し付けて)なんだか、私がやっぱりだしにされてるかんじですねぇ♥(ふーっとキクリちゃんの耳元に息を吐いて。柔らかな胸をたぷ、たぷ…押し付けて、すり、すり♥身体をきくりちゃんにこすりつけ
  (2023/7/16 21:39:25)

京町セイカ> 【きくりちゃんはずるいわよね…自分がしたいだけのくせに…♡】   (2023/7/16 21:41:09)

京町セイカ> えー？でもきくりちゃん結構本気でずん子ちゃん誘ってると思うわよ…？……んちゅ、じゅるっ…♡(舌をからめられはじめると少しずつキス音は湿ってきて下品なひびきに…)   (2023/7/16 21:42:46)

廣井きくり ◆> そんなこと…なっ…ぃ…//んんぅ♡ずん子ちゃんのことも…ちゃんと好きだよ…？//（耳にかかる息に体から力が抜けて、背中に当たる柔らかさに頭を空っぽにされそうになりながらも頬を赤くしてそう伝えて）   (2023/7/16 21:44:53)

廣井きくり ◆> 【ちがう…ちがうからぁっ//】   (2023/7/16 21:45:33)

東北ずん子> そうですかねぇ、わたしはほら…こうやって、いちゃいちゃしたいだけではないですからね、んぅぅ♥(ちゅ、ちゅう……したさきとしたらき、ちろ、ちろ♥絡めて、くちゅ♥きくりちゃんに聞かせながら。ぎゅうっと、せなかに。きくりちゃんの身体をすり、すりぃ♥むっちりした身体くっつけ、ぐに、ぐに♥豊満な乳房をきくりちゃんにおしつけ、すりぃって♥肌全体をこすらせ♥)
  (2023/7/16 21:49:54)

京町セイカ> んれろっ…んじゅ…んぶう…💕(きくりちゃんともしたことのないような音を立てるキス…)えへへ、まぁ今回はきくりちゃんから誘ったんだしね？心代わりさせるくらいしてもいいわよ？(ととろけはじめてるきくりちゃんをちらりと見て)   (2023/7/16
21:53:52)

廣井きくり
◆> や…だぁっ…//そんな事まで…ずん子ちゃんと…///（私とと少ししかしたことのないようなディープキス♡それを見せつけられちゃうと、悔しいと同時になんだか下半身が熱くなって）……おねがぃぃ…っ♡私も…もっとして…？♡（ずん子ちゃんの擦り付けとセイカちゃんの見せつけにスカートの下の下着はじゅんっ♡て湿り始めて、上半身は肩紐が完全に落ちてだらしなくブラジャーを晒した状態…。でもそれを気にしてる余裕も無いくらいの興奮が胸をドキドキと鳴らせばずん子ちゃんにおねだりするみたいにスカートを持ち上げて♡）
  (2023/7/16 21:59:09)

東北ずん子> んぅ、ちゅ、ちゅ♥(くちゅ、くちゅ……舌と舌をのばして、えっちなキスを見せつけるように、ちゅ、ちゅう♥ちろ、ちろ、唾液を垂らして♥)あれぇ、こういうのもしてなかったんですかぁ♥えへへ♥結構、あまったるくしてたんですねぇ♥(きくりちゃんの背中にしっかりともたれかかると。持ち上げたスカートの下に手を伸ばして、くちり、くちり♥スカートの間の下着……その隙間を音を響かせるように。擦って♥手のひらできくりちゃんの…いじっちゃう♥)
  (2023/7/16 22:01:35)

廣井きくり ◆> うぅ…ごめんなさい…//私から誘って…ずん子ちゃんに犯して貰おうと思いましたぁ…。私…悪い恋人なんです…//（二人のキスを聞きながら、許して貰えるか解らないけどセイカちゃんに向けて必死に謝って）   (2023/7/16 22:02:47)

京町セイカ> ふーん？じゃあさ？ずん子ちゃんに犯されながら…それでも私のこと好きなままでいられるなら許したげる♡(まだ、ここでは私しか触れてないはずのそこにずん子ちゃんの指が潜り込むのを見て…)きくりちゃん？私とずん子ちゃん、どっちが好きい？  
(2023/7/16 22:06:33)

廣井きくり
◆> ぅっ…ぅっ…♡うん…まだ1回しかエッチしてなくて……お互いを触り合うくらいのことしか…//あひっ♡だめ…っ……そこ…は…♡（昼間ずん子ちゃんに見せた黒い下着の上に手が乗るとそのまま撫でるように責め立てられて…♡まだ経験が少なく閉まりの良い割れ目やクリトリスを何度も撫でられて強制的に発情させられると下着はおもらしをしたみたいに濡れ始め、目は蕩けてセイカちゃんの方を見て）
  (2023/7/16 22:09:11)

廣井きくり ◆> うぅ…わかったよ……が…がんばるからぁっ！ひっ♡いぃ…♡……あっ…せいかちゃん…ですぅ…♡（口ではそう言っても体はずん子ちゃんの手にメロメロで、気を抜くとずん子ちゃんって言ってしまいそうになるのを何とか耐えながら声を出して）  
(2023/7/16 22:12:42)

