/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月23日 02時29分 ～ 2022年12月23日 22時13分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

レム> 向かいますね、クレーちゃん♪   (2022/12/23 02:29:37)
山田リョウ> 食べられる野草、教えようか？（野草を分けようとしてる）   (2022/12/23 08:56:33)

喜多 郁代> イタリア料理ですかっ？いいですねっ！きっとオシャレなお店なんですね！（きらきらっ）   (2022/12/23 08:57:00)

山田リョウ> 郁代……好き。（猫耳みょーん、勝利を確信した顔。）   (2022/12/23 08:58:07)

伊地知虹夏> 私は唐揚げ食べながら応援してるね、リョウのサバイバル。   (2022/12/23 08:58:14)

山田リョウ> 野菜も必要だよね。交換しよう、おかず。   (2022/12/23 08:59:10)

喜多 郁代> そんな、好きだなんて……♪（てれてれ）結束バンドのみんなで行くんですよね？いつ頃行きましょうっ？   (2022/12/23 08:59:25)

伊地知虹夏> ちゃんと筑前煮入れてるからだいじょーぶ。（むしむし）   (2022/12/23 09:01:05)

山田リョウ> ぼっちは死んじゃってて、虹夏は…野生のバジルを食べるらしい。（しれっ）   (2022/12/23 09:01:12)

山田リョウ> ……筑前煮に、唐揚げ。（ぎゅるるるるるる…。）   (2022/12/23 09:01:29)

伊地知虹夏> リョウの給料日かなぁ……。私が預かってみんなで行こーう！   (2022/12/23 09:01:33)

後藤ひとり> ね、寝てたら喜多ちゃんが   (2022/12/23 09:01:47)

喜多 郁代> さっきから静かだと思ったら…！？後藤さんっ、生き返って〜っ！？……あ、生き返った…   (2022/12/23 09:02:08)

山田リョウ> ………。（ずーん。）郁代、二人で……。（諦めない）   (2022/12/23 09:02:17)

山田リョウ> 生き返った。（掘ってた墓穴うめうめ。）   (2022/12/23 09:02:34)

後藤ひとり> お、起きました………   (2022/12/23 09:02:39)

喜多 郁代> そうですね、その日ならリョウ先輩もお金あってちょうどい…2人でですかっ！？   (2022/12/23 09:02:54)

喜多 郁代> おはよう、後藤さん…♪疲れてるなら無理しないでゆっくり寝ていいのよ…？   (2022/12/23 09:03:22)

後藤ひとり> だ、大丈夫ですよ………(目ゴシゴシ)   (2022/12/23 09:04:29)

山田リョウ> 郁代、騙されないで。虹夏は…イタリアン、苦手だから。ぼっちも多分あのお店に行ったら蒸発するし。（あくまで気遣っている体の嘘）   (2022/12/23 09:05:15)

喜多 郁代> そうなんですか！？伊地知先輩とか、イタリアン好きそうなのに…後藤さんがそういうオシャレな雰囲気のお店でオロオロしちゃいそうなのは、何となく想像できちゃうけど……♪   (2022/12/23 09:06:43)

後藤ひとり> 私のことはお気にせずおふたりで楽しんでください……(サムズアップ)   (2022/12/23 09:07:12)

山田リョウ> ……。（ふいー、目は合わせない）   (2022/12/23 09:08:05)

山田リョウ> ぼっち、サムズアップしてる。（珍しいので撮影）   (2022/12/23 09:08:19)

喜多 郁代> えぇっ！？でも、やっぱり結束バンドのみんなで思い出作りたくないですか！？ほら、後藤さんも私達と一緒なら大丈夫よねっ…？   (2022/12/23 09:08:33)

後藤ひとり> なんて撮影するんですか！？   (2022/12/23 09:09:07)

後藤ひとり> よ、4人でならギリギリ昇天は避けられます……！   (2022/12/23 09:09:41)

山田リョウ> ……下調べ、みたいな。（ふいー。）   (2022/12/23 09:09:50)

喜多 郁代> よしっ！…じゃあ、後は伊地知先輩が苦手な料理を避ければっ…！…下調べ、ですか？（きょと）   (2022/12/23 09:10:33)

伊地知虹夏> いや……わたしも行きたいけど、リョウが自分は払わないって顔してるから、水だけ飲んでろって言ってるだけだよー？（喜多ちゃんの誤解は解きたいって肩を竦めつつ）   (2022/12/23 09:10:36)

山田リョウ> 珍しいから。珍百景。（ぱしゃぱしゃ）   (2022/12/23 09:11:24)

喜多 郁代> あ、あはは…ちゃんと払いますよね…？リョウ先輩…？（じ…）   (2022/12/23 09:11:43)

後藤ひとり> ね、寝起きでロル回すんじゃなかった！(ガーン)   (2022/12/23 09:12:12)

喜多 郁代> いつもよりちょっとだけ気が大きい後藤さんもいいと思うの…♪（ぐっ）   (2022/12/23 09:12:44)

山田リョウ> ……郁代。私と虹夏、どっちの味方？（最悪の選択突き付けーの）   (2022/12/23 09:12:56)

後藤ひとり> よ、よくないですよ……！   (2022/12/23 09:13:17)

伊地知虹夏> ぼっちちゃんかわいーい！（サムズアップ返し。）   (2022/12/23 09:13:36)

山田リョウ> ……。（ぱしゃぱしゃぱしゃぱしゃ。）   (2022/12/23 09:13:50)

後藤ひとり> そ、それに私のサムズアップよりも喜多ちゃんの中指の方が気強いし……(超小声)   (2022/12/23 09:14:24)

後藤ひとり> も、もういいですからぁ……///(恥ずかしそうに蹲り)   (2022/12/23 09:14:45)

喜多 郁代> あ、あれは人差し指だってばぁっ！？（びくっ）   (2022/12/23 09:15:10)

喜多 郁代> どっちかしか選べないんですか！？…なんだろう、結束バンド解散の危機…？   (2022/12/23 09:15:54)

山田リョウ> あれは中指。（審判）   (2022/12/23 09:15:58)

後藤ひとり> 聞いてた！？地獄耳……そして最悪の決断を迫られてる……   (2022/12/23 09:16:22)

喜多 郁代> ……。（ぷく）伊地知先輩の味方します。（拗ね拗ね）   (2022/12/23 09:17:13)

山田リョウ> ………！！！（がーん。……スン。）   (2022/12/23 09:17:34)

伊地知虹夏> 喜多ちゃんいい子だねー！（なでなでなでなで。   (2022/12/23 09:17:34)

山田リョウ> 郁代、考え直して。……お願い。（背中さすさすさすさす。）   (2022/12/23 09:19:00)

後藤ひとり> あ、すいません私のせいで………！   (2022/12/23 09:19:04)

喜多 郁代> 意地悪なこと言うリョウ先輩はしりませんっ（つーん）   (2022/12/23 09:19:46)

後藤ひとり> あ、まずいことに……   (2022/12/23 09:21:31)

山田リョウ> ……仕方ない。運が悪かった。（草もっしゃもっしゃ）   (2022/12/23 09:21:51)

伊地知虹夏> 悪いのは金遣いだよ、リョウ。（哀れなものを見る目）   (2022/12/23 09:22:47)

後藤ひとり> 諦めが早い……   (2022/12/23 09:23:04)

喜多 郁代> （ぅ…草食べてる姿見るのもなんかいたたまれないっ…！）   (2022/12/23 09:23:11)

山田リョウ> ……こんな筈じゃなかったから。お金も、運も。（草もしゃもしゃもしゃもしゃ。）   (2022/12/23 09:23:57)

山田リョウ> （草もぐもぐ。……ちらちら、草もぐもぐ。）   (2022/12/23 09:24:23)

喜多 郁代> （ふるふる…ちょ、ちょっとだけならっ…）   (2022/12/23 09:24:55)

後藤ひとり> パ、パンだけ……   (2022/12/23 09:25:03)

伊地知虹夏> 後輩たちの将来が心配だなぁ……（   (2022/12/23 09:25:36)

後藤ひとり> く、草食べてるの見たら流石に………   (2022/12/23 09:26:27)

山田リョウ> ………パン。（草もぐもぐ。……ぎゅるるるるる。…もぐもぐ。）   (2022/12/23 09:26:31)

喜多 郁代> 私はリョウ先輩の食生活が心配です……   (2022/12/23 09:26:41)

山田リョウ> （郁代は？って目線、ちらぁ…。）   (2022/12/23 09:26:49)

喜多 郁代> さっき意地悪言われたので…これだけ…（ポケットから小分けにされたチョコレートを取り出し…）   (2022/12/23 09:28:15)

山田リョウ> 虹夏、これが結束。（ふんすー。付き合っちゃいけないベーシスト感。）   (2022/12/23 09:28:21)

後藤ひとり> な、ないよりマシですね……   (2022/12/23 09:28:51)

山田リョウ> ……！…ありがとう、郁代。この恩、一生忘れません。（チョコレートに頭を深々下げて受け取り、口の中に。）   (2022/12/23 09:29:17)

喜多 郁代> こ、これくらいなら…（問題ないですよね……って伊地知先輩のほうをちらり…）   (2022/12/23 09:30:21)

後藤ひとり> だ、出されたものに文句を言わないのだけは好感が持てますね……(てっきりもっと欲しいって言うかと………)   (2022/12/23 09:30:50)

山田リョウ> 皆の気持ちに文句なんて言わない。……ありがとう、ありがとう。（感動してそうな、でもしてない可能性もありそうな真顔。）   (2022/12/23 09:33:51)

喜多 郁代> 感謝の気持ちを忘れないの、大事ですよねっ……♪   (2022/12/23 09:34:28)

伊地知虹夏> なんで私が悪者みたいになるのー！もぉ！（ぷんぷん。）というか、あんまり餌付けしてると廣井さんみたいに毎日来るぞー。（真顔）   (2022/12/23 09:34:42)

後藤ひとり> なんか気持ちが籠ってるような……そうでも無いような………(うーん)ま、毎日こられたら困りますね   (2022/12/23 09:35:24)

山田リョウ> 郁代、ありがとう。…本当にありがとう。（手を握って、すりすり）   (2022/12/23 09:35:36)

喜多 郁代> えへへ…も、もう少しあげてもいいですかね♪（てれてれ）   (2022/12/23 09:36:06)

山田リョウ> ……私のこと、野良猫だと思ってる？（にゃん。）   (2022/12/23 09:36:42)

後藤ひとり> あ、これダメなやつです……   (2022/12/23 09:36:51)

後藤ひとり> 確かに……猫の缶詰もギリギリ食べれそう……   (2022/12/23 09:37:08)

山田リョウ> …くれるの？（猫耳ぴょこーん。）   (2022/12/23 09:37:13)

山田リョウ> ……ぎりぎり、だね。   (2022/12/23 09:37:20)

後藤ひとり> 人としての尊厳が………！   (2022/12/23 09:37:55)

喜多 郁代> で、も…伊地知先輩からの視線がっ…（めそらし……）   (2022/12/23 09:38:13)

伊地知虹夏> （じー）   (2022/12/23 09:39:15)

山田リョウ> ……郁代。私の目、見て。（落としにいってるベーシスト）   (2022/12/23 09:39:38)

後藤ひとり> (ついでに私も喜多ちゃんをじーっ)   (2022/12/23 09:40:21)

山田リョウ> ……。（すっ、と虹夏の瞳を掌で隠して）   (2022/12/23 09:41:01)

伊地知虹夏> あ、今ならできるかも……（伊地ｰｰｰﾝ、視線として隠しても飛び出る擬音の視線）   (2022/12/23 09:42:14)

後藤ひとり> 謎の効果音が………！？   (2022/12/23 09:42:33)

山田リョウ> ぼっちちゃんもやって。（まさかの無茶振り）   (2022/12/23 09:42:46)

山田リョウ> 手癖でぼっちちゃんって言っちゃう。ぼっち。（訂正）   (2022/12/23 09:43:05)

後藤ひとり> ………ご、ごとーん…(黒くてドロドロしてるオーラを出して)   (2022/12/23 09:43:27)

喜多 郁代> なんで全員でこっちみてるんですかぁ！？   (2022/12/23 09:43:36)

後藤ひとり> リョウさんのぼっちちゃん呼び悪くない……   (2022/12/23 09:43:42)

喜多 郁代> （なんか急に暗くてジメジメとっ……）   (2022/12/23 09:43:55)

後藤ひとり> なんかみんなしてる見てるので……   (2022/12/23 09:43:56)

山田リョウ> 虹夏の明るさと、ぼっちの暗さ…戦ってる…！（びっくり）   (2022/12/23 09:44:30)

伊地知虹夏> 多分本家に焼き殺されるやつだからやめてあげて。ぼっちちゃんの背中にぎゅっ、と）   (2022/12/23 09:45:05)

山田リョウ> ちゃっちぼん。（ずらし）   (2022/12/23 09:45:25)

後藤ひとり> わっ……ていうかリョウさんもオーラ出してください(後ろから抱きつかれて黒いオーラがなくなって)   (2022/12/23 09:46:07)

後藤ひとり> 誰ですかそれ！   (2022/12/23 09:46:16)

伊地知虹夏> これでセーフだねえ。とりあえずイタリアンのお店はリョウの給料日にみんなで行こうね。おねーちゃんから私が直接リョウの給料預かるから、ちゃんと払わせられるよ。（ぼっちちゃんあったかーい）   (2022/12/23 09:47:36)

山田リョウ> ……ロックじゃないから。（まさかの拒否）   (2022/12/23 09:47:37)

喜多 郁代> いいですね…♪ふふ、次のお給料日が楽しみです…♪（わくわくっ）   (2022/12/23 09:48:19)

山田リョウ> 虹夏。次の給料日、生き別れの姉妹と会わなきゃ。それと死んじゃったポチの葬式もその日に…。（すん…）   (2022/12/23 09:48:52)

おしらせ> 星乃一歌さんが入室しました♪  (2022/12/23 09:49:01)

星乃一歌> ズダン(タクティカルショットガンでひとりを攻撃   (2022/12/23 09:49:23)

おしらせ> 星乃一歌さんが退室しました。  (2022/12/23 09:49:26)

後藤ひとり> 虹夏ちゃんホカホカ…………ていうかまさかの拒否された！？………(りょーんを聞きたかったのに…)   (2022/12/23 09:49:45)

後藤ひとり> なんで私だけ………(ガタッ)   (2022/12/23 09:49:58)

伊地知虹夏> あーはい、はい。生き別れた53女はいないし、リョウはペットとか飼ってないでしょ。   (2022/12/23 09:50:09)

山田リョウ> ……りょーん。（何も出ない）   (2022/12/23 09:50:19)

喜多 郁代> なんか、シンプル……！？   (2022/12/23 09:50:30)

後藤ひとり> ………院でも陽でもないからですか……   (2022/12/23 09:50:41)

山田リョウ> ……待って。今、凄いこと言わなかった？…５３女。（聞いてしまった）   (2022/12/23 09:50:44)

伊地知虹夏> それじゃあこのあたりで本家本元に出してもらわなきゃ！   (2022/12/23 09:50:47)

伊地知虹夏> リョウの生き別れてきた人の数だよ。   (2022/12/23 09:51:12)

後藤ひとり> 院じゃなくて陰……   (2022/12/23 09:51:19)

喜多 郁代> 本家！？別にそんなに大したものでもないですよっ？みんな個性的で良かったですし！（キタキターン♪ってキラキラした陽のオーラを振りまき）   (2022/12/23 09:52:08)

山田リョウ> 良かった、安心。…54人目も、最近見つかったから。   (2022/12/23 09:52:22)

後藤ひとり> ア゛……浄化される……(さらさら………)   (2022/12/23 09:52:33)

山田リョウ> ぼっち死んじゃった。（遺灰回収）   (2022/12/23 09:52:49)

喜多 郁代> ご、後藤さん！？（びく）   (2022/12/23 09:53:09)

伊地知虹夏> はいはいとけないとけない。（かためかため）54人目も嘘でしょ   (2022/12/23 09:53:13)

後藤ひとり> あ、ああ……危なかった………(今日だけで3回死にかけてますからね……)   (2022/12/23 09:54:07)

山田リョウ> ……旅に、出ようと思うんだ。直感的に、次の給料日がいいかなって。   (2022/12/23 09:54:22)

喜多 郁代> …そうだったんですね…？じゃあ、リョウ先輩が旅に出ちゃうから、私達3人で…？（しゅん…）   (2022/12/23 09:55:26)

山田リョウ> 日帰りだから、待ってて。（りょーん。）   (2022/12/23 09:56:29)

後藤ひとり> 出ないでください！？   (2022/12/23 09:57:12)

喜多 郁代> 日帰り！？   (2022/12/23 09:57:17)

伊地知虹夏> はいはい、ご飯食べたら行ってきてねー。   (2022/12/23 09:57:24)

山田リョウ> ……くっ。虹夏、無敵だ。（ぐぬぬ）   (2022/12/23 09:58:49)

山田リョウ> 日帰りで…そう。アルバムを…。   (2022/12/23 09:59:09)

喜多 郁代> 伊地知先輩、完全にリョウ先輩の扱いを心得てますね……熟年夫婦感…！   (2022/12/23 10:00:00)

後藤ひとり> お幸せに……   (2022/12/23 10:00:41)

伊地知虹夏> いやだよぉ！もっとちゃんとしたせいかつりょくある人と結婚したいよぅ！   (2022/12/23 10:01:09)

山田リョウ> …実家は太いよ。（最低のサムズアップ）   (2022/12/23 10:01:59)

おしらせ> 今井リサさんが入室しました♪  (2022/12/23 10:02:08)

今井リサ> ダダダダダダ(機関銃でひとりを攻撃   (2022/12/23 10:02:17)

おしらせ> 今井リサさんが退室しました。  (2022/12/23 10:02:20)

伊地知虹夏> それで結婚相手選ぶの流石に地獄が過ぎない？   (2022/12/23 10:02:26)

後藤ひとり> (ちーん)   (2022/12/23 10:02:33)

喜多 郁代> （後藤さん、よくある暇な荒らしなんて気にしなくていいのよ…？）   (2022/12/23 10:03:07)

後藤ひとり> でも確かに医者が両親なのはだいぶモテる原因になるかも………   (2022/12/23 10:03:29)

後藤ひとり> (あ、はい……なんかすいません…………)   (2022/12/23 10:03:40)

山田リョウ> 虹夏はこれで落そうと思ってる。（最低のサムズアップ再び）   (2022/12/23 10:03:49)

喜多 郁代> そんな悪い所があるリョウ先輩もすて…（これ素敵って言ったらヤバいやつでは…と目が覚める喜多の図）   (2022/12/23 10:04:45)

山田リョウ> …ありがとう、気持ち嬉しいよ。（郁代に向ける物凄くイケメン属性マシマシな流し目）   (2022/12/23 10:05:52)

後藤ひとり> ダメな人ほど母性本能が働くって本当なんですね………   (2022/12/23 10:06:11)

後藤ひとり> (そ、それはさておきそろそろ落ちないと……！)   (2022/12/23 10:06:20)

山田リョウ> ぼっち、ブーメラン。（こっち側という認識）   (2022/12/23 10:06:41)

喜多 郁代> （後藤さんはお疲れ様ね…？）   (2022/12/23 10:06:41)

喜多 郁代> ぅっ…そ、その顔はずるいですよ！？   (2022/12/23 10:07:06)

伊地知虹夏> 私はちゃんと温かい家庭築けたらそれが一番嬉しいなぁ……（重い発言）   (2022/12/23 10:08:08)

山田リョウ> 郁代……。（完堕ちを狙う顔。）   (2022/12/23 10:08:27)

後藤ひとり> そっち側に引き込まれた……！？(は、はい！失礼しました、また会えたらぜひ……！)   (2022/12/23 10:08:45)

山田リョウ> 虹夏……。（暖かい家庭を築けそうな顔。）   (2022/12/23 10:08:45)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/23 10:08:50)

伊地知虹夏> ぼっちちゃんまたねー！   (2022/12/23 10:09:20)

山田リョウ> ばいばい、ぼっち。   (2022/12/23 10:09:21)

喜多 郁代> ………。（リョウ先輩の頭の中身は空っぽ、と自分に言い聞かせるようにブツブツと呟きながら目を逸らし）   (2022/12/23 10:09:26)

伊地知虹夏> いや、リョウがどんな顔しても無理なの知ってるから。   (2022/12/23 10:09:29)

喜多 郁代> また会いましょうね、後藤さん…… ♪   (2022/12/23 10:09:36)

山田リョウ> 郁代……？（なんで目を逸らすの？って寂しそうな顔）   (2022/12/23 10:09:58)

山田リョウ> 浮気はしないよ、多分。   (2022/12/23 10:10:36)

喜多 郁代> リョウ先輩がそうやって見つめてくるからですよ！？   (2022/12/23 10:11:03)

山田リョウ> そこに郁代の顔があったから。（登山家）   (2022/12/23 10:12:43)

喜多 郁代> なんかよく分からないことを！？   (2022/12/23 10:13:55)

伊地知虹夏> 浮気は……しそうだよなぁ…   (2022/12/23 10:14:28)

山田リョウ> 顔が良いから、郁代は。（褒めてる）   (2022/12/23 10:14:58)

山田リョウ> ……質問。我が嫁、虹夏。同性は浮気に入りますか？（挙手）   (2022/12/23 10:15:32)

喜多 郁代> それは凄く嬉しいんですけど！！私は後藤さんじゃないので褒められただけじゃ落ちませんよ！？   (2022/12/23 10:16:26)

山田リョウ> ……あれ。こう？（壁ドン）   (2022/12/23 10:17:15)

伊地知虹夏> 嫁じゃない。（ずばっ）……入るでしょ、きららだよ（？）   (2022/12/23 10:17:27)

喜多 郁代> ちょっ、リョウせんぱっ…！？！（目ぐるぐる）   (2022/12/23 10:18:21)

山田リョウ> 妻であったか。（こくん）……無念。   (2022/12/23 10:18:31)

山田リョウ> 郁代、練習頑張ってて偉い。私達に出来ないこと、郁代のお陰で出来るようになってる。ありがとう。（褒め感謝は口説けるらしい）   (2022/12/23 10:19:48)

喜多 郁代> （伊地知先輩！助け舟！助け舟ください！！！）   (2022/12/23 10:19:57)

喜多 郁代> ぁ、いえっ…これくらい普通で、あぅ…（顔真っ赤にしながら逃げるように目を泳がせて）   (2022/12/23 10:20:54)

山田リョウ> 勝った。（なにかに勝利したクズベーシスト）   (2022/12/23 10:22:23)

伊地知虹夏> （とりあえずリョウの首根っこをがし、と掴んでそぉい！時折うまれるまっするにじか）大丈夫ー？喜多ちゃん。   (2022/12/23 10:23:14)

山田リョウ> あーれー。（ぴょーん。）   (2022/12/23 10:24:17)

喜多 郁代> あ、えと……はい、なんとか…。（手にはお財布から取り出しかけた諭吉ふるふると震わせながらこく、と頷き）   (2022/12/23 10:25:12)

山田リョウ> 郁代と私、まるで織姫と彦星だね。（ロマンチック？）   (2022/12/23 10:26:52)

喜多 郁代> 彦星様は頑張ってる後藤さんのほうがっ……！（めんくい）   (2022/12/23 10:27:56)

伊地知虹夏> おかしいなぁ……復帰がスマブラレベルで早いんだよなぁ……。   (2022/12/23 10:28:44)

山田リョウ> くっ…。ぼっち総受け概念、強い…。   (2022/12/23 10:28:54)

山田リョウ> 虹夏もやる？スマブラ。（猫はぽいしても戻ってくるよ）   (2022/12/23 10:29:48)

喜多 郁代> （へたれ責め後藤さんも、いいですよ。（超小声））   (2022/12/23 10:30:22)

伊地知虹夏> 結束バンドがただれていくぅ……（うわーん）   (2022/12/23 10:31:09)

山田リョウ> 郁代……。（じい。山田は全てをきいている。）   (2022/12/23 10:31:18)

山田リョウ> 私だけが、生き残り……。   (2022/12/23 10:31:37)

喜多 郁代> じ、実際はしないですから！？…苦手ですし……   (2022/12/23 10:31:37)

山田リョウ> 無理しないで。バンドやってるんだから、ただれてるのも当たり前。私は清純派で行く、皆は爛れて。   (2022/12/23 10:33:12)

伊地知虹夏> 原初爛れマスターでしょ、リョウ。   (2022/12/23 10:33:40)

喜多 郁代> （リョウ先輩はたらしです。の看板）   (2022/12/23 10:34:21)

山田リョウ> ……なんで。私は、奢ってもらおうとしてるだけ。（問題発言）   (2022/12/23 10:35:10)

山田リョウ> （看板撤収。）   (2022/12/23 10:35:21)

喜多 郁代> 撤収させられちゃいました…！？   (2022/12/23 10:36:08)

伊地知虹夏> 喜多ちゃんは私とカフェでお茶でもしてようね……（苦手と聞いて、一緒にケーキでも食べよーって肩ポム）   (2022/12/23 10:37:15)

山田リョウ> 偏向報道。（看板にばってん）   (2022/12/23 10:37:49)

喜多 郁代> あはは…ありがとうございます…♪   (2022/12/23 10:38:05)

喜多 郁代> さ、さっき思いっきり落としにかかられたんですけど！？   (2022/12/23 10:38:36)

山田リョウ> ……ご飯、奢ってくれそうだったから。（問題児）   (2022/12/23 10:39:22)

伊地知虹夏> （こいつは後輩の金を毟るクズです。って看板を新たに用意）   (2022/12/23 10:40:22)

山田リョウ> （看板撤収）   (2022/12/23 10:40:41)

喜多 郁代> ご飯のためにしてたんですか！？   (2022/12/23 10:40:46)

山田リョウ> 郁代が好きだからしたんだよ。（最速矛盾）   (2022/12/23 10:41:05)

伊地知虹夏> うんうん……喜多ちゃんと私は清く仲良くしようね……。   (2022/12/23 10:42:22)

山田リョウ> 物凄く誤解されている気がする。いいけど。（ふす）   (2022/12/23 10:43:12)

喜多 郁代> ……うぐ…ほ、ほんとですか？（※この女、たぶんちょろい。）   (2022/12/23 10:43:39)

伊地知虹夏> リョウは、自分の分のお金持ってきたら仲良くしようね…   (2022/12/23 10:44:00)

喜多 郁代> 伊地知先輩と色んなイソスタスポット回って、キラキラしたまいにちすごしましょうね！（？）   (2022/12/23 10:44:15)

山田リョウ> 本当。嘘つかない。（サムズアップ）   (2022/12/23 10:44:29)

山田リョウ> 金の切れ目が縁の切れ目なの、結束バンドは。（くぅ…）   (2022/12/23 10:45:02)

伊地知虹夏> 切る金がないのが今のリョウだよ。   (2022/12/23 10:45:54)

山田リョウ> ……現金な女。（じと）   (2022/12/23 10:46:54)

伊地知虹夏> キラキラはー…耐えられるかなぁ…！私も別に陽に振り来てるわけじゃないからなあ！（？）   (2022/12/23 10:47:03)

伊地知虹夏> 駄目女と酒カスには厳しくしろがうちの家訓だよ？   (2022/12/23 10:47:55)

喜多 郁代> でも、伊地知先輩、結束バンドの中では圧倒的に陽ですし…！   (2022/12/23 10:55:36)

伊地知虹夏> ま、まぁ……結束バンドの中ではねー？（えへへへ   (2022/12/23 10:59:47)

おしらせ> 秋山 澪さんが入室しました♪  (2022/12/23 11:01:41)

喜多 郁代> ですよね…♪と…もっと話してたいですけど、私は結構立て込んできちゃったのでこの辺りで…またお話してくれたら嬉しいです♪   (2022/12/23 11:05:28)

喜多 郁代> 秋山先輩は入れ違いでごめんなさいっ、それではっ♪（キターン♪）   (2022/12/23 11:05:50)

おしらせ> 喜多 郁代さんが退室しました。  (2022/12/23 11:05:53)

秋山 澪> ん、メンバー集合に邪魔したか　一応こんにちわ　伊地知さんはこの間あったかな（変換ミスで変な名前にしてしまったけど）　喜多さんはまた今度だね　スタジオ楽しみにしてるよ   (2022/12/23 11:07:02)

伊地知虹夏> 喜多ちゃんはまたねー。　   (2022/12/23 11:08:40)

伊地知虹夏> 私もこのあたりで失礼しますね！リョウも落ちちゃってるし！   (2022/12/23 11:09:08)

おしらせ> 伊地知虹夏さんが退室しました。  (2022/12/23 11:09:11)

秋山 澪> ………（ぽつーん）　ま、いつものことだ　仕方ない　私も出直すとしよう   (2022/12/23 11:09:56)

おしらせ> 秋山 澪さんが退室しました。  (2022/12/23 11:10:02)

おしらせ> 無言時間が25分を超えたため、山田リョウさんが自動退室しました。  (2022/12/23 11:12:05)

おしらせ> クレーさんが入室しました♪  (2022/12/23 20:15:31)

クレー> こんばんは♪…(玄関がちゃりと空けて…くつがないのでまだ誰もきてないかな？と察してとりあえず１階に…)早く来ちゃった…、とりあえず１階にいよっかな♪(リビングにつくなりコップにジュースついでのんびり…)   (2022/12/23 20:17:29)

クレー> そうだ…！明日はクリスマスイブだし…2階は彩ってくれたから1階も…♪(と言ってもツリーも置いてあるし、大方はあるけど…はさみやら)   (2022/12/23 20:27:56)

クレー> 色のついた紙やらチョキチョキ…色々飾りつけをつくったり…ツリーに飾りつけしたりする♪)   (2022/12/23 20:28:40)

おしらせ> 桜衣乃さんが入室しました♪  (2022/12/23 20:46:44)

クレー> 衣乃お姉ちゃんこんばんは♪   (2022/12/23 20:49:51)

桜衣乃> クレーちゃん、こーんばーんはっ♪あら、クレーちゃんも飾り付けしようとしてるんですね♪   (2022/12/23 20:51:18)

おしらせ> 結月ゆかりさんが入室しました♪  (2022/12/23 20:51:28)

結月ゆかり> (ほかほか)ふぅ。ただいま、でしょうか？   (2022/12/23 20:51:59)

クレー> うんっ♪(はさみとおりがみしゃき♪ってみせて…)、と言ってもほとんど飾りつけされてあるけどね   (2022/12/23 20:52:29)

クレー> あっ、ゆかりお姉ちゃんもこんばんはー♪   (2022/12/23 20:52:42)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/23 20:52:51)

後藤ひとり> こんばんは……   (2022/12/23 20:52:58)

結月ゆかり> クレーちゃんこんばんは♪   (2022/12/23 20:53:07)

結月ゆかり> もうお部屋ありますよー   (2022/12/23 20:53:20)

クレー> ひとりお姉ちゃんこんばんは♪   (2022/12/23 20:53:55)

後藤ひとり> あ、あるなら部屋行きますね……す、すいません早くて……   (2022/12/23 20:55:16)

おしらせ> クレーさんが退室しました。  (2022/12/23 20:55:32)

おしらせ> クレーさんが入室しました♪  (2022/12/23 20:55:52)

後藤ひとり> ！？   (2022/12/23 20:55:57)

結月ゆかり> 早くて怒る人居ませんよ！   (2022/12/23 20:56:08)

クレー> ごめんなさい！気にしないでっ   (2022/12/23 20:56:27)

後藤ひとり> わ、分かりました……し、失礼します！また今度会えたらぜひ！   (2022/12/23 20:56:47)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/23 20:56:50)

結月ゆかり> 使いやすい端末に変えるのはあるあるですね！   (2022/12/23 20:57:02)

結月ゆかり> ちょっと犯してきます(するり)   (2022/12/23 20:57:15)

おしらせ> 結月ゆかりさんが退室しました。  (2022/12/23 20:57:18)

クレー> ゆかりお姉ちゃん言い方っ…//   (2022/12/23 20:57:43)

クレー> あれ…？衣乃お姉ちゃん…？(つんつん)   (2022/12/23 20:59:38)

桜衣乃> っとと、いけませんね……実はさっきまでお部屋に行ってて、ふらふらで……。   (2022/12/23 21:02:48)

桜衣乃> なんだったら部屋最初に入った人権限で、クリスマスパーティー会場みたいなことに一瞬でしちゃうのもアリですが…♪   (2022/12/23 21:03:54)

クレー> ありゃ…そうだったの？じゃあ…(一度はさみとか飾りおいて……)クレーのお膝の上でおやすみになる…？♡   (2022/12/23 21:03:56)

