/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月26日 12時07分 ～ 2022年12月26日 19時19分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

クルル ◆> （やりとりにっこにこでココア啜ってる）   (2022/12/26 12:07:23)
クレー> 家事できるずん子お姉ちゃんえらいー♪   (2022/12/26 15:46:54)

東北ずん子> 早く食べないとお腹すいてクレーたべちゃいそうです(はむっとえるふみみ甘噛み   (2022/12/26 15:50:23)

クレー> またそんなこと言って…♡(すりすりって背中ずん子お姉ちゃんにくっつけて…おこたでぬくぬく♪)   (2022/12/26 15:51:13)

東北ずん子> 折角だから悪戯沢山しないとですから(ぎゅうっと背中にくっついて、すりすり   (2022/12/26 15:53:44)

クレー> えへへ…もぉー…やっぱりお片付けできないよぉ…//   (2022/12/26 15:54:53)

東北ずん子> だめですよぉ、お片付けしないと悪戯しちゃいますよ(ぷにぷに   (2022/12/26 15:55:46)

クレー> ずん子お姉ちゃん……♡すりっ…//   (2022/12/26 15:56:43)

東北ずん子> ん、クレー♥(ちゅっとほっぺに口づけ   (2022/12/26 15:57:08)

クレー> んんー…♡(こっち…♡と言わんばかりに唇すぼめて…)   (2022/12/26 15:57:53)

東北ずん子> ん……好きですよぉ(ちゅ、ちゅっと口づけ   (2022/12/26 16:00:59)

クレー> ちゅっ……♡   (2022/12/26 16:01:19)

クレー> クレーもずん子お姉ちゃんだいすきー…♡(とろん♡)   (2022/12/26 16:03:22)

東北ずん子> ふふ……クレー♥(ちゅ、ちゅ、お腹なでなで   (2022/12/26 16:03:34)

クレー> もぉー…頭がお片付けじゃなくなっちゃうー…♡   (2022/12/26 16:05:06)

東北ずん子> なくなったらたっぷりクレー悪戯しちゃいます♥(ぎゅ   (2022/12/26 16:05:49)

クレー> いたずらしてほしい……♡♡   (2022/12/26 16:06:38)

東北ずん子> ん－、ゆっくりしてるんじゃないですかぁ(お尻に腰をぐり、ぐり。こすりつけ   (2022/12/26 16:08:42)

クレー> だってぇ………♡   (2022/12/26 16:09:05)

クレー> ずん子お姉ちゃんとすごしてたら……♡色々思い出しちゃって……//   (2022/12/26 16:09:36)

東北ずん子> 何を思い出したのかきになりますねぇ(お腹をつんつん   (2022/12/26 16:10:17)

クレー> ずん子お姉ちゃんご飯たべないのー？   (2022/12/26 16:10:48)

東北ずん子> まだたけて(たけたかな   (2022/12/26 16:11:07)

クレー> だめだぁ………クレーお片付けできませーん//   (2022/12/26 16:13:19)

東北ずん子> おやおや、だめじゃないですかぁ(腰をぎゅう、くっつけ寄せて   (2022/12/26 16:14:11)

クレー> どーしよぉ……   (2022/12/26 16:15:05)

東北ずん子> 悪戯されたくなったらいつでもいいですけどね(なでなで   (2022/12/26 16:15:56)

クレー> 今する………？(ちらっ♡)   (2022/12/26 16:16:13)

東北ずん子> 全然いいですよ、ご飯も炊けましたし(ぎゅっと抱えて   (2022/12/26 16:16:40)

クレー> ぎゅう……♡(身体ごと振り向いてずん子お姉ちゃん抱きしめちゃって)   (2022/12/26 16:17:18)

東北ずん子> とりあえずお部屋言ってから考えます？(ちゅっと小さく口づけ)   (2022/12/26 16:18:11)

クレー> お部屋行ったら……すること決まってるのに…♡(いいよ…♡とクレーもちゅっ…と返して)   (2022/12/26 16:18:51)

クレー> あにゃ……何か上からオーラを感じたのっ、ごくり   (2022/12/26 16:19:51)

東北ずん子> いつものでした(うん、とりあえずひょいっと抱え   (2022/12/26 16:20:41)

クレー> お部屋でする？   (2022/12/26 16:21:33)

クレー> ずん子お姉ちゃんがその方がいいんだもんね   (2022/12/26 16:21:44)

東北ずん子> 軽くならここでもいいですよ？(お腹つんつん、ぎゅうっと腰をよせ   (2022/12/26 16:22:47)

クレー> ちょっとだけしよ……♡   (2022/12/26 16:23:33)

クレー> (ちゅっ……♡って抱きつきながら甘えるように…口づけするの…♡ぎゅううう…ってずん子お姉ちゃん抱きしめちゃって)   (2022/12/26 16:24:22)

東北ずん子> クレーもわがままですね(ちゅ、ちゅ、口づけして。ぎゅうっとくっつき。しっかりやわらかな胸を押し付けて   (2022/12/26 16:24:42)

クレー> クレー、衣乃お姉ちゃんとずん子お姉ちゃんの3人でしてみたいのも夢なんだけどね…♡(目閉じて…♡ちゅう…って♡ずん子お姉ちゃんの柔らかいおっぱいクレーの身体で受けながら…クレーからも身体おしつけるようにぎゅうう…♡)   (2022/12/26
16:27:00)

東北ずん子> 衣乃とクレーともまた違う関係ではあるんですけどね。三人でするのも楽しそうですが(くすっと小さく笑いつつちゅ、ちゅっと。小さく口づけして)   (2022/12/26 16:29:16)

クレー> ふにゃ……♡それは気になるけど……//そんなことより今はずん子お姉ちゃんとらぶらぶしたーい♡(ずん子お姉ちゃんの首に腕回して…むちゅう……♡)   (2022/12/26 16:30:49)

クレー> 我慢できなくなったら……お部屋行ってもいいからね♡   (2022/12/26 16:31:17)

東北ずん子> クレーとするならやっぱりじっくりお部屋で、の方がいいですけどね。かわいいクレーは独り占めしたいですし♥（そのまま首筋にちゅ、ちゅ♥しっかり跡つけて）   (2022/12/26 16:32:10)

クレー> あーあー…♡♡そんなこと言っちゃって//クレーしらなーい♡♡   (2022/12/26 16:32:56)

東北ずん子> 可愛く私に好きっていうクレーは…私だけが見るのがすきですねぇ♥(耳元にはむ、はむ、甘噛み   (2022/12/26 16:34:37)

クレー> クレーは姉妹でずん子お姉ちゃんにされたいけどぉ…ほら、ずん子お姉ちゃんがあまりこっちではしないタイプなのクレー知ってるから…。   (2022/12/26 16:35:54)

東北ずん子> あ、それはそれで全然いいですよ、衣乃とは表で一度したいって言ってましたし(なでなで   (2022/12/26 16:37:43)

クレー> っ……！////ずん子お姉ちゃん…♡   (2022/12/26 16:38:42)

おしらせ> 桜衣乃さんが入室しました♪  (2022/12/26 16:39:04)

桜衣乃> クレーちゃーんっ！ずん子さーんっ！♡♡♡   (2022/12/26 16:39:19)

クレー> あーー………♡♡きたぁ…♡♡   (2022/12/26 16:39:32)

東北ずん子> あ、噂をしたら、いらっしゃいませー(ひらひら   (2022/12/26 16:39:57)

桜衣乃> えへへ…♡こんにちは……♡♡クレーちゃん、たっぷりかわいがってもらっちゃったみたいで……♡♡♡   (2022/12/26 16:40:28)

桜衣乃> 私も……一緒に混ざっていいですか……♡♡♡   (2022/12/26 16:41:17)

クレー> クレーはいいけどぉ…ずん子お姉ちゃんは大丈夫…？   (2022/12/26 16:41:43)

東北ずん子> 元々クレー好きだからなのもありますけどね(クレーを撫でて　昨日から衣乃さんとばしてますねぇ(ふふっと楽し気に笑って   (2022/12/26 16:41:54)

桜衣乃> いやですねぇ……♡私は一昨昨日からエンジン全開ですよ…♡♡♡   (2022/12/26 16:42:50)

桜衣乃> ……それで……お返事は……（どき…どき…）   (2022/12/26 16:43:14)

東北ずん子> 私は全然いいですよ、クレーもしたそうでしたし(ぎゅっとだきついて   (2022/12/26 16:45:26)

クレー> ずん子お姉ちゃん大好き…♡♡   (2022/12/26 16:45:40)

桜衣乃> ずん子さん……いえ、ずん姉様ぁ……♡♡（ぎゅ〜…♡）   (2022/12/26 16:45:59)

東北ずん子> 衣乃もくれーも   (2022/12/26 16:46:19)

東北ずん子> もくれーもだいすきですよー（ぎゅうっとだきついて   (2022/12/26 16:46:30)

クレー> じゃあ、こっちいこ…♡(備え付けの大きなベッド…♡3人で上に乗って……//)…えへへ…♡クレーもうむらむらなのぉ……♡ねぇ、衣乃お姉ちゃん…//(クレー、服をぬぎぬぎしだして…裸になっちゃう/)   (2022/12/26 16:47:33)

桜衣乃> 私もずん姉様もクレーちゃんも大大大好きですよ…♡♡……はい…♡私ももうふたりのイチャイチャ上から見てて限界で…♡♡（クレーちゃんに合わせて裸になって…♡絆創膏もナシです…♡）   (2022/12/26 16:48:33)

東北ずん子> 二人ともえっちだでかわいらしくて素敵です(しゅるっと自分も服を脱いで。三人をぎゅう、むにゅ、むに…体をこすり付けるようにおしつけ♥)   (2022/12/26 16:49:29)

クレー> えへへ……ねえ衣乃お姉ちゃん…♡ずん子お姉ちゃんにたくさんごーほーししないとだよね……♡♡…きゃっ//ぎゅうう……♡♡   (2022/12/26 16:49:58)

桜衣乃> そうですよね…♡せっかく私とクレーちゃんが揃ってるんですから、ずん姉様にはたーっぷりと…♡私達でご奉仕してあげないといけませんよね…♡（むにゅぅ…♡ずん姉様と一緒にクレーちゃんのお顔におしつけ…♡）……ずん姉様……表ですが、いいですか……？♡  
(2022/12/26 16:51:30)

東北ずん子> それはもちろん、表で最近はえっちも結構されてたみたいですから(衣乃の肌を優しくなでて)二人でご奉仕も結構よさそうですね、ふふ♥(ぎゅ、ぎゅう、腰を強くくっつけて)   (2022/12/26 16:53:08)

クレー> ずん子お姉ちゃんもこう言ってるんだから…これ以上はやぼ…だよ♡♡ほら…♡衣乃お姉ちゃん…//(衣乃お姉ちゃんの手を握って…きゅっ…♡♡裸のずん子お姉ちゃんのこと見ながら……♡)じゃあ…ごーほーしするね…♡   (2022/12/26
16:55:13)

クレー> 時間なくなっちゃうから…どんどんしよ♡   (2022/12/26 16:56:07)

桜衣乃> えへへ…♡♡みなさんに見てもらって…♡すっかりこのお部屋もそういう空気にできるようになりました…♡♡（ほっぺなでうけにすりすり…♡クレーちゃんと手を握って…♡）…はい…♡それでは、はじめましょう…♡   (2022/12/26 16:56:35)

桜衣乃> クレーちゃん、了解です…♡　ずん姉様……♡お願いします…♡   (2022/12/26 16:57:00)

クレー> じゃあ……♡クレーはずん子お姉ちゃんのお口とおっぱい……♡(ずん子お姉ちゃんを横たわらせて…ちゅう…♡♡さっきのつづき……//キスもいきなり深めにちゅるる……♡♡おっぱいもふよん…♡と両手でさわさわ…♡)   (2022/12/26
16:58:07)

東北ずん子> クレーが思った以上に積極的に(ほわっと小さく笑みを向けて。ちゅ……ちゅう♥クレーに舌先を伸ばし絡めて。たぷ、たぷっと大きく胸を揺らして)   (2022/12/26 16:58:40)

桜衣乃> 私は下ですよ…♡♡……ずん姉様のここは今、どうなってますか……♡♡（下腹部に手のひらをくっつけて、下の方へ…すべり…さわ、さわ…♡）   (2022/12/26 16:59:36)

東北ずん子> 衣乃は最近元気ですもんねぇ…相変わらずでうらやましい限りです(くすりっと笑みを向けて。衣乃の手のひらにずり…ずり♥おちんぽをこすり付けて。しっかり脈打つ熱を指に絡め)   (2022/12/26 17:00:52)

クレー> ちゅっ……♡あむっ……んんっ……//だってぇ…ずっとしてみたかったんだもん……♡♡それに衣乃お姉ちゃんとずん子お姉ちゃんが普段どんな感じにしてるのかも気になってたし……♡♡クレーもうどきどき…むらむらで…はぁ……っ……はぁ…♡♡  
(2022/12/26 17:02:14)

東北ずん子> 衣乃ともそれほどかわってないような…そうでもないような。ちっちゃなクレーとはまた違いは確かにありますけどね……んぅ(ちゅぱ…唾液をわざとらしく零して、二人の唾液を衣乃に零すように舌先でぴちゃってきすして♥)   (2022/12/26
17:03:34)

桜衣乃> あはっ……♡♡今日も大きいです、ずん姉様…♡♡（手のひらいっぱいにずん姉様のおちんぽ包んで…♡熱気感じながら、優しく上下に肌を滑らせます…♡）こっちで、こうして…♡クレーちゃんと一緒にできるなんて…♡思ってませんでした…♡♡ふたりとも可愛がってくださいね、ずん姉様、♡♡♡（ちゅ…♡と、先端に口づけをすれば、そのまま唇に滑らせるように咥えていきます…♡）
  (2022/12/26 17:03:39)

桜衣乃> あ……♡♡……んっ、ちゅる……♡（溢れるおふたりの唾液…♡手に受け止めて、舐めとります…♡）   (2022/12/26 17:04:40)

クレー> (ずん子お姉ちゃんの中のクレーたち今そういう感じなんだ…♡)…ふにっ……もにゅ……、ちゅううう……♡♡えへへ…よだれもまぜまぜ……//ずん子お姉ちゃん……すきっ……いつもありがとう……♡♡ちゅうう……//   (2022/12/26
17:05:45)

クレー> 【すごっ………頭の中でちゃんと想像できちゃう///】   (2022/12/26 17:06:48)

東北ずん子> 衣乃とは表でするって約束もしましたもんねぇ……ふふ、可愛がってあげる姿みんなにみせるのちょっと恥ずかしいですが(衣乃の唇にはしっかり唾液たらして。濡れたおちんぽを衣乃の唇にぐ、ぐ。押し込んで、舌先に滑らせ濃い味もおしえこんじゃいます♥)  
(2022/12/26 17:07:23)

東北ずん子> クレーにはもっともっとエッチになって欲しくもありますけどねぇ…衣乃にえっちをおしえてもらって。色々開発してくださいね(じーっとクレーを見つめながら、ちゅ、ちゅ…クレーと唇を吸い付いて。啄み、首筋にちゅって跡をつけ   (2022/12/26
17:09:17)

桜衣乃> 覚えててくださったんですね…♡やだ…♡月曜日のまだ夕方なのに…♡♡こんなにも３人でえっちなこと、しちゃうんですよ……♡♡…ん、んんっ…♡♡（押し込まれたら、唇割り開かれて…♡♡唾液たっぷり…♡熱気むわりとした口の中で、舌をくるくる…♡亀頭に押し付けて、滑らせてて…♡しゃぶっちゃいます…♡）
  (2022/12/26 17:09:45)

桜衣乃> 【ふふ、残念ながらお部屋と外で私の…あんまり変わらないんですよ…♡】   (2022/12/26 17:10:02)

クレー> あにゃあ……♡(跡付けられようにされちゃったら…首筋からびくっ…♡)クレーだいぶえっちだし…結構みんなに言えないようなこともしてると思うんだけどなぁ…？♡♡むっ…♡じゃあ、クレーもずん子お姉ちゃんのおちんぽ…♡してあげる…♪(一度キスを離すと…クレーもずん子お姉ちゃんのおまた…♡ふたなりのたまたまをあーん…♡はむっ)
  (2022/12/26 17:11:39)

桜衣乃> あっ、そんなことするなら…♡（ちゅぽんっ、としゃぶってたところを離して…鈴口、人差し指の指先でくにくに…♡）……姉妹でするなら、やっぱりこうですよね……♡♡（と、クレーちゃんの反対側の睾丸にあーん…♡）   (2022/12/26 17:13:25)

東北ずん子> 衣乃は私よりえっちだから…クレーに沢山しているような……んぅ(二人分の刺激でびくりっと脈打ちが強く、ずり、すり。衣乃とクレーの口に肉棒の脈打ちが伝わるように腰をずらし)ほら、こうやって。自然とご奉仕なんて教えてませんしー♥(悪戯っぽく二人を見下げながら、顔を合わせるようにずらし)
  (2022/12/26 17:13:40)

クレー> ちろちろ……♡ころころ……♡(ペちんっ…ぺちっ…ってびくんびくんのずん子お姉ちゃんのおちんぽがクレーと衣乃お姉ちゃんのお顔に交互に…当たって…♡♡クレーもおまた……ううん、こどもおまんこ♡濡らしてきちゃう……じわぁ…♡)   (2022/12/26
17:15:48)

桜衣乃> んっ……♡はむ、んぅ…♡れ、ぇ……♡ちゅる、んっ…♡んっ……♡♡（舌の上でたまたま、ころころ…♡クレーちゃんと体を寄せ合いながら、ずん姉様のを転がして、しゃぶって…♡カリ首にも指のお腹、つつー……♡♡ふたりで一緒に、ベッドにぽた…ぽた…♡って、涎こぼしちゃいます…♡）
  (2022/12/26 17:16:38)

桜衣乃> 教えて…あげちゃいました……♡私、クレーちゃんに……♡純雌の子はふたなりの女の子にご奉仕する義務があるって……教えちゃいましたぁ……♡♡♡   (2022/12/26 17:18:29)

東北ずん子> ほらほら…こんなふうにぃ…積極的に子どもなのにご奉仕してますよ…衣乃がいつもこうしてぇ、ご奉仕おねだりしてたんじゃないんですかぁ(ふふふ…いたずらっぽくほほえみ、ビクンっと腰が上ると。二人の舌先に……びゅく……びゅる♥いつもよりはやく、二人の刺激に耐え切れずに。粘ついて絡まる精液をまっしろに振りかけるように飛び散らせて)
  (2022/12/26 17:19:06)

クレー> きゃあ……♡♡(ずん子お姉ちゃんのおちんぽ…♡かめさんの先からびゅる…♪びゅるる…♡って吹き出たらクレーと衣乃お姉ちゃんのお顔にぴちゃ……べちゃ♡ってかかっちゃって……♡♡)はぁ……は……っ……ずん子お姉ちゃんも気持ちいいんだねぇ……♡♡  
(2022/12/26 17:21:06)

クレー> ねね……衣乃お姉ちゃん……(ふたりで手を繋いでおねだりしよ……♡って耳打ちぽしょぽしょ…♪)   (2022/12/26 17:22:14)

桜衣乃> はひぃ…♡♡おねだりしちゃいましたぁ……♡♡私っ…♡ずん姉様にお部屋に連れられてからっ…♡毎回毎回おねだりしちゃってましたぁぁ……♡♡ふぁ、あっ…♡♡（びゅー♡っとふたりにかけられる精液で汚されていきます…♡）…いつもより…多い……♡クレーちゃんのおかげですね……♡♡
  (2022/12/26 17:22:20)

桜衣乃> ん…？クレーちゃん……（はい、いいですよ…♡って、視線合わせてうなずいて…♡）   (2022/12/26 17:22:51)

東北ずん子> まったく、こんな小さなクレーに色々教えちゃって、衣乃はぁ、相変わらずえっちですねぇ♥(仲良しにすっごくなってますしって、じぃっと見つめながら、二人の身体や唇に。ずり、ずり♥こすり付けて、塗り付けていっちゃいます♥)   (2022/12/26
17:24:39)

クレー> (ずん子お姉ちゃんのせーえきお顔で受けた状態で衣乃お姉ちゃんと手を繋いで…ずん子お姉ちゃんの方をみて……)ずん子お姉ちゃん…♡クレーたちを姉妹にしてくれたずん子お姉ちゃん……♡そのおちんぽで好きなだけ…クレーたちに中出ししてください…♡ずん子お姉ちゃんの好きなおまんこからでいいから……♡♡ふたりにたくさんハメハメしてください……♡♡
  (2022/12/26 17:24:44)

桜衣乃> （クレーちゃんと一緒に…恋人繋ぎして…♡ずん姉様を見上げて…）ずん姉様…♡私とクレーちゃんを姉妹の仲で繋いでくださったずん姉様…♡ずん姉様のおちんぽで、イノ達に中出ししてください…♡ずん姉様の射精で、いつものように私達の子宮を満たして…♡♡ずん姉様が満たされるまで、ふたりに種付けしてください…♡♡
  (2022/12/26 17:26:28)

クレー> (もちろん2人ともハート目…♡♡入れる順番はずん子お姉ちゃんにおまかせ…♡)   (2022/12/26 17:27:44)

桜衣乃> （もちろんふたりともベッドの上で開脚して、とろとろおまんこ見せつけて…♡ずん姉様、どちらからでもいいですよ…♡）   (2022/12/26 17:28:54)

東北ずん子> …私がっていうのがいまいちわからないですよね。クレーも衣乃も元々仲が良かったですけど(じぃっと楽し気に見つめながら、腰をずり。すり、つぷり……クレーのちいさなおまんこの入り口…しっかりおちんぽのさきこすり付けていって。衣乃にそのおおきな形がしっかり入りそうになっている様子見せていって)このちいさな体に…ほら、ここまで入りやすくなっちゃってるなんて、衣乃が何したんでしょうか♥
  (2022/12/26 17:29:34)

桜衣乃> えへへ……♡姉妹になった理由、それは…クレーちゃんが教えてくれますよ…♡   (2022/12/26 17:30:43)

クレー> あっ……♡クレーからぁ……//あんっ……♡いいよ……きて……♡♡ずん子お姉ちゃん…♡♡   (2022/12/26 17:30:50)

クレー> えっ……最初は…2人がずん子お姉ちゃんのおちんぽでされちゃった…｢竿姉妹｣ってことだったんだけど……クレーと衣乃お姉ちゃんでらぶらぶしてたら…クレーからちゃんと姉妹になりたいって……♡そこからは…このお部屋での衣乃お姉ちゃんとクレーは姉妹ってことになった…♡きっかけはずん子お姉ちゃんのおちんぽってことだよ…♡
  (2022/12/26 17:33:02)

桜衣乃> （いいなぁ…♡って、下のお口涎こぽこぽ…♡クレーちゃんの中に…♡入ってる…♡押し広げて行く感覚…♡こんな近くで見せられたら、手を繋いでるクレーちゃんに自己投影して…♡こんな感覚かな…♡クレーちゃんのナカどうなってるのかな…♡って、きゅんきゅん疼かせながら…指を咥えて見てるだけ…♡）クレーちゃんがお部屋に連れて行かれるの見て…♡してあげたんだろうなぁって……♡♡そしたらしたって言いますから…♡♡そういう言葉教えてあげちゃったんです〜……♡♡♡
  (2022/12/26 17:34:48)

東北ずん子> 凄い理由でした！？そこからつながるっていうのもすごいですねぇ……でもでも、最終的に今はクレーと衣乃仲よさそうですし、この小さな体に…いっぱい♥こうして。躾けていたずらしてたんじゃないですかぁ♥(じぃっと悪戯っぽく衣乃を見ながら、ぐ、ぐ。腰を押し込んでいって、わざとらしく奥までおちんぽが入り込んでいく様子を見せつけ。ぐ、ぐっと小さな体に形づける様子をたしかめさせ)
  (2022/12/26 17:35:24)

クレー> はにゃあああ♡♡ずん子お姉ちゃんのきたぁああ……♡♡衣乃お姉ちゃん……//みててね…♡あんっ……ずん子お姉ちゃんも遠慮しないでね……♡(じぃー♡♡ってずん子お姉ちゃんみつめて…片手は衣乃お姉ちゃんときゅっ…って手繋ぎ♡)   (2022/12/26
17:37:01)

桜衣乃> いたずらなんてとんでもない…っ……♡♡わ、たしっ♡クレーちゃんにっ♡みんなと仲良くっ♡できるようにっ♡ってっ♡♡ちょっとあどっ♡♡アドバイスしてあげた、だけですぅ……♡♡♡おもちゃ、でぇ……♡♡してあげたことも、ありますけどぉ……♡♡♡一番、は、ずん姉様のおちんぽのせいじゃないですかぁ……♡♡♡（ちゃんと見てますよ…♡って、繋がってるとこ、しっかり…♡押し込まれる様子に、私まで感じちゃいます…♡）
  (2022/12/26 17:38:51)

東北ずん子> へー……そうなんですかぁ、でもたしかにぃ…いつも衣乃にするときはもっと激しくがっつりですもんねぇ♥(ぐ、ぐっとちいさなクレーのおまんこの奥、ぱちゅっと、音を響かせ。いつもと違ってクレーの奥まで入る様子がわかるように力強くたたきつけて)こうして…クレーみたいな小さな体を無理やりなんてできませんから♥奥までがっつり犯して♥衣乃の身体をたぁっぷりそめあげてましたし（衣乃の耳元に思い出させせるようにふぅっと息をはき）
  (2022/12/26 17:41:13)

クレー> はぁん♡♡ずん…子お姉ちゃん…！あんっ…♡♡はにゃあ…♡♡いつもよりちゅお…い…！♡♡んっ…んっ…んっ…♡♡ずん子お姉ちゃん……♡♡すき……大好き……あんっ…♡♡(いつもよりぐぐっ…っておちんぽ押し込まれちゃって…クレーもびくっびくっ…♡衣乃お姉ちゃんの手を握る強さもきゅっ…ってなりながら声をあげてしちゃうの♡)
  (2022/12/26 17:43:38)

桜衣乃> 私のっ♡処女っ♡奪ったの♡ずん姉様じゃないですかぁ…♡♡女の子、だけって思ってたのにぃっ♡♡ふたなり相手に甘くなったの、ずん姉様のせいなんですからねぇ……♡♡♡（音、響いてる……♡クレーちゃんの小さな体に、あんなに力強く……♡♡♡）クレーちゃんっ…♡クレーちゃんっ…♡♡そんなに、喘いで…♡♡ずん姉様のおちんぽ気持ちいいんですね…♡子供なのにこんなに乱暴にされて、気持ちよくなっちゃってるんですね……♡♡♡クレーちゃん…っ……♡♡（ぎゅ……♡手をしっかり繋いであげたまま、打ち付けられるのただ見てて…♡）
  (2022/12/26 17:45:13)

東北ずん子> ……衣乃に今思えば大分教え込んでましたね……ふふ…なるほどぉ♥それは確かに衣乃がどれだけさせたかはまた後々♥しっかりクレーの小さな奥に……まずはたぁっぷり、注ぎ込んじゃいますねぇ♥(くすくす、衣乃に悪戯っぽく笑みを向けながら。ぎゅう、腰を押し付けて。クレーの小さな膣奥に…こぷり…とぷ…衣乃にもしっかり吐き出した音が聞こえるくらいに。濃くて興奮した精液をどろっとつぎ込み満たしていって)
  (2022/12/26 17:49:14)

クレー> あぁん♡♡そ、そう…！♡♡ずん子お姉ちゃんとしてる時のクレーぇ…こうやってあんあんお部屋で言いながら……おちんぽずぶずぶされちゃってるの…！♡んんっ…最初は抵抗しちゃった…けどっ…♡♡ずん子お姉ちゃんに口説かれて…おまんこ許しちゃって……//それから、おへや入るたび合体してるのぉお…あんっ♡♡♡クレー、ずん子お姉ちゃんとがったいするのだいすきっ///
  (2022/12/26 17:49:35)

東北ずん子> ん－、でも、衣乃とも……いっぱいしてそうですけどぉ…たぁっぷり、ちっちゃな体楽しんで。愛情そそいでるんじゃないですかぁ(ぬる、おちんぽを脈打たせたまま、腰を少しずつ引いていって   (2022/12/26 17:51:18)

クレー> んんんっ…♡♡ずん子お姉ちゃん……！クレーにびゅー…♡♡ああっ……ふにゃああああああ♡♡♡♡♡(びゅく！びゅく！ってクレーの幼膣に中出しされちゃって…熱くて焼けちゃいそうなせーえきたくさん流し込まれちゃって…クレーもびくっ！びくっ！ってイキながら受け止めてあげるの…♡)
  (2022/12/26 17:52:12)

桜衣乃> あっ……ああっ……♡♡♡クレーちゃんの処女まで奪って…♡こどもおまんこ中出しして…♡こんな子供にずん姉様の子種注ぎ込んだんですね……♡お部屋に行くたびに…♡こんなこと、毎回毎回してたんですね…♡ふたりがお部屋に行くたびに…♡クレーちゃんがどんな顔をして、イかされてるのか……♡ずっと、妄想してましたよ……♡♡♡…残念ながら私の愛情は精液で注いであげたことは、ないですね…♡しっかり、態度と行動で示してあげてましたよ…♡（つづく）
  (2022/12/26 17:53:19)

桜衣乃> クレー…ちゃん……♡♡♡ずん姉様の……すごい……♡こんな音させて…♡腟内射精されてる…♡♡♡おまんこ小さいせいで、あんなに…逆流して……♡♡♡こんな量…♡クレーちゃんのナカに…ぃ……♡♡♡（ゾクゾクっ…♡全身ぶるりと震わせて、自分のおまんこが切なくなっちゃうの感じます…♡あぁ…♡抜けていく…♡♡♡）
  (2022/12/26 17:55:42)

クレー> ………はぁ……ぁ……ん……っ……すご……♡…おにゃか……あつい……♡(びくっ…びくっ……♡いつもよりこーふんしてたせいか、イって頭真っ白になっちゃって……身体も強く震わせちゃって……そのままぬぽん…♡とずん子お姉ちゃんのおちんぽ抜けちゃうと…とろっ…♡ってせーえき溢れちゃうの//)
  (2022/12/26 17:58:14)

東北ずん子> …あれ、意外…衣乃はえろえろだからクレーに沢山教え込んでたと思ったのに。やっぱり私にいっぱいされる方がよかったんですか？(ちょっとだけ悪戯するように見つめながら、ぬぷっとクレーから抜いていくと、衣乃のおまんこの方にずらして)それじゃあ…衣乃にはたぁっぷり♥犯して…しつけちゃいましょうか、最近楽しんでるんですし私がちゃぁんと、いたずらしてあげませんと(先ほどの甘い心地とはちがって、衣乃のおしりにが知り、しっかりつかみかかって。小さな体にしていたものとはっきり違う所をみせ
  (2022/12/26 17:58:35)

クレー> ずん…子お姉ちゃん…もしかしてぇ……衣乃お姉ちゃんが生やして…クレーとしたことあると思ってるの…？♡衣乃お姉ちゃんとは…おまんこ…to…おまんこでしかしたことないよぉ……//それはそれで気持ちいいから…えへへ//(息切れしながら…)  
(2022/12/26 18:00:23)

桜衣乃> あぁ……♡♡♡垂れてる……♡クレーちゃんまだこどもなのに…♡こんなに愛されて…♡（クレーちゃんの垂れてるのを見ながら…私もおしり持ち上げられて、掴まれて…♡ずん姉様にとろり…♡愛液ぽたぽたなおまんこ反応しちゃってます…♡）うぅ……♡……もちろん、そうしてほしいのはありましたが…♡♡……クレーちゃんと一緒に…♡いつかシてあげたいって、お話してたんですぅぅっ……♡私達…ずん姉様が大好きですから……♡いっぱい、いたずらしてください、っ……♡♡）
  (2022/12/26 18:01:41)

桜衣乃> そう、ですよ……♡クリスマスイブの夜だって、私達…♡おまんこでレズセックスしかしてませんよ……♡♡♡私もクレーちゃんも……♡純雌で、ご奉仕する側ですから……♡   (2022/12/26 18:03:14)

東北ずん子> てっきり色々クレーに教え込んでて、クレーが覚えてくれてると思ったんですけど……へぇ、それなら……こうやって、するより…やっぱり。クレーはあまーくされた方がよかったのかなぁ？(きょとんっと首をかしげると、そのまま腰を押して。子宮口にごちゅ…一突きでおしこみ小突き。叩きつけるよう体重を掛けていく。肉棒を奥の奥まで小突き…むりやり圧迫する激しい腰つかいをみせて)
  (2022/12/26 18:03:58)

クレー> ふぅん……♡…なるほどぉ…♪はぁ……っ……ああっ……ずん子お姉ちゃんのおちんぽ…まだまだ元気いっぱいだ…♡♡(横たわりながら衣乃お姉ちゃんの片手にぎりながら…ふたりのしてるところ見ちゃって…♡)   (2022/12/26 18:04:27)

