/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2019年04月28日 14時19分 ～ 2019年04月30日 15時34分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

星井美希> 謝らなくて良いのに…今のうちにってこと？   (2019/4/28 14:19:42)
チルノ> ……っ……ひゅ……んっ…// （ビクッ……ビクッと、と身体を震わせ、腰をくねらせながら…) ご……ごめんなさい…………………催眠術に……んっっ//簡単にかかっちゃう……最弱妖精なんですっ…   (2019/4/29 03:40:40)

藤原妹紅 ◆> ...（無言で手を叩き続ける）   (2019/4/29 03:41:56)

おしらせ> 滞在時間が360分を超えたため、藤原妹紅 ◆lxd9gSfG6Aさんが自動退室しました。  (2019/4/29 03:43:44)

チルノ> ……っ……//……っっ//////な……んで……//(とうとう、悶えながら…) ごめんなさい………っ ///催眠術で…簡単に感じちゃう……妖精なんですっ//////   (2019/4/29 03:43:45)

おしらせ> 藤原妹紅 ◆lxd9gSfG6Aさんが入室しました♪  (2019/4/29 03:44:05)

藤原妹紅 ◆> ......（相手の必死さに震えながら手を叩くのが辞められずに...）うーん、そんな最弱妖精ならもう妖精やめて私のペットにでもなった方がいいんじゃない？ねぇ？（と微笑みながら手を叩いて）   (2019/4/29 03:46:25)

チルノ> むぅぅ…ぅぅ……そ……それは……（ペットという言葉に、言葉を濁すが…) っ ///……////………っ//////（手を叩かれるたびに……吐息を漏らし、気持ち良さが全身を貫く…)   (2019/4/29 03:49:53)

藤原妹紅 ◆> 雑魚妖精に選ぶ余裕なんかあるのかな？（と掌を叩きながら囁いて）   (2019/4/29 03:51:34)

チルノ> ぅ…ぅぅう…///（とうとう耐えきれず……) ご……めんなさい………妖精やめて、ペットになるからぁ………（ビクビクと悶絶させながら……言う)   (2019/4/29 03:53:30)

藤原妹紅 ◆> ...（ピタッと手を止めて）やった、これでチルノは立派な下等生物に格下げだな（と満面の笑みで相手に首輪をつけて頬を撫でる）   (2019/4/29 03:55:12)

チルノ> はぁはぁ…………………（息を乱しながら……首輪を見つめながら、こくんとうなづく…)   (2019/4/29 03:56:28)

藤原妹紅 ◆> 先ずはペットに服はいらないかな〜（と相手の服を脱がせて全裸にさせる）   (2019/4/29 03:58:35)

チルノ> んっ………//（そのまま……全裸にさせられる……さっきの催眠と、媚薬もあって、秘部は濡れて、乳首も立っている…)   (2019/4/29 04:00:14)

藤原妹紅 ◆> ...（ニヤニヤしながらおもむろに油性マーカーを取り出して相手の乳首に♡書いたり体の真ん中に最弱と大きく書いたりと落書きする）...ふむ、いい感じに無様になったな...   (2019/4/29 04:02:16)

チルノ> むぅぅ……（落書きで、身体をナゾられるたび、身体をピクンと震わせつつ…) …………………//（ハートや最弱の文字を恥ずかしそうに見つめる…)   (2019/4/29 04:04:40)

藤原妹紅 ◆> どう？今こんな感じだけど（と鏡で相手の姿を映してみせながら後に立ってリードを掴んで状況を認識させる）   (2019/4/29 04:05:56)

チルノ> うう……ぅぅ……（鏡に映った姿を…真っ赤になりながら、見つつ、恥ずかしそうに目をそらす…)   (2019/4/29 04:07:40)

藤原妹紅 ◆> ん、じゃあこのまま私の家まで行こうか？（とリードを引っ張って連れ帰ろうと...）   (2019/4/29 04:08:43)

藤原妹紅 ◆> 【ごめん、そろそろ眠気がすごいからお先に失礼するね？、って事でこの辺りで終わらせるけど大丈夫？】   (2019/4/29 04:09:20)

チルノ> 【はいっ！大丈夫ですよ！ありがとうございました】   (2019/4/29 04:10:58)

チルノ> 【またよろしければ、ぜひよろしくお願いしますっ】   (2019/4/29 04:11:28)

藤原妹紅 ◆> 【此方こそ！じゃあおやすみなさい。】   (2019/4/29 04:11:45)

チルノ> 【おやすみなさいっ】   (2019/4/29 04:12:02)

藤原妹紅 ◆> 〜♩（そのままチルノを家へと連れて帰った...)   (2019/4/29 04:12:06)

おしらせ> チルノさんが退室しました。  (2019/4/29 04:12:08)

おしらせ> 藤原妹紅 ◆lxd9gSfG6Aさんが退室しました。  (2019/4/29 04:12:09)

おしらせ> 東北ずん子さんが入室しました♪  (2019/4/29 20:07:58)

東北ずん子> はりきりすぎたずんこです！みなさんお休みを堪能してらっしゃいますか？(今日もとくになにもなくのんびりと   (2019/4/29 20:09:48)

東北ずん子> なかには忙しいという人たちもいるでしょうけど。ひとまずゴールデンウイークを満喫するずんだですよー。夜にのんびりしてみるのもまたいいかなとか思ったり。ほら、こう、有限実行というということ。は前にもいったんでしたっけ。やぁ、まぁ、いつもどおり適当に一時間程度居座る体制ですよ！
  (2019/4/29 20:17:08)

おしらせ> 今井リサさんが入室しました♪  (2019/4/29 20:23:05)

今井リサ> こんばんは～♪お邪魔しても大丈夫かな?(開いた扉からひょこと顔出して中の様子伺って、)   (2019/4/29 20:23:57)

東北ずん子> いらっしゃいませ、どうぞどうぞ、大歓迎ですよぉ！（きらっきらっと目を輝かせながら手招きしちゃいましょう   (2019/4/29 20:24:41)

今井リサ> ありがとっ。アタシは今井リサ、貴女は??(手招きされては笑顔で近寄り、)   (2019/4/29 20:26:21)

東北ずん子> 東北ずんこです。よろしくおねがいしますね、ずんだの使者！です。リサさんはお休みゆっくりしていらっしゃいますかー(大きく手を広げて出迎えましょう、ちゃっかり抱きつこうともしちゃいますが)   (2019/4/29 20:29:04)

今井リサ> ずんこねっ、オッケー♪ずんだの使者...。(くす、)うん、勿論。ちょ～ゆっくり休んでるよっ♪(抱きつかれては笑顔で抱き返して、)   (2019/4/29 20:30:48)

東北ずん子> おー、それはなによりですねー。お出かけとかしたいところなんですが。なんかだらけちゃってる今日この頃です。それなりに遊べてるのでまぁ、いいと思いますけど(心地よい柔らかさを堪能しつつ頬をすりよせ)   (2019/4/29 20:33:31)

今井リサ> 色んなところにお出かけしたいけど人混みが中々に大変だよねぇ～...それなりに遊べてるならいいねっ。(頬をすりよせられては相手の頭を撫でて、)   (2019/4/29 20:37:30)

東北ずん子> あふぅ、リサさんがおやさしい。しれっとスキンシップを受け入れてくれると安心しますねぇ(うっとりと目を細めつつのびー)あー、確かにお休みの時期ですしねぇ。やっぱり程よく皆さんと遊んでいちゃいちゃするのが一番なんですかね(くてぇ)  
(2019/4/29 20:42:52)

今井リサ> 慣れてるんだよね～、よくスキシップとかされるし、アタシ自身スキシップ好きだしねっ。(微笑み、)程よく皆と遊んでいちゃいちゃ..(くすくす、)   (2019/4/29 20:44:57)

おしらせ> ユリさんが入室しました♪  (2019/4/29 20:45:00)

ユリ> 皆さまこんばんは…(一礼して入室)   (2019/4/29 20:45:36)

東北ずん子> いちゃいちゃはだいじですよ！だいじ！どれくらいだいじかっていうと。スキンシップがないとウサギさんは死んでしまいますっ(寂しいと以下略)あ、ユリさんだ、ゆーりーさーんーだー(じぃ、じぃ、じぃ   (2019/4/29 20:46:23)

ユリ> ずん子さん…？(視線に気がついて)そんなに見つめられると恥ずかしい…(顔が赤くなってしまいます)あと、すぐに寝落ちしてしまい申し訳ありませんでした…よろしければ今日もお相手してほしく…(謝りながらも誘っちゃう淫乱系ユリなのです！)  
(2019/4/29 20:48:13)

今井リサ> こんばんは～♪(手ふり、)   (2019/4/29 20:50:29)

今井リサ> ずんこさんや、お呼ばれしてますよ～(お二人を交互に見つめむふふ、)   (2019/4/29 20:51:09)

東北ずん子> まぁ、私も昨日寝てしまったから何もいえないんですけどもね！(いたずらっぽくうーんっと、うなって)どうしよう、かなぁ、どうしましょうかねぇ。ユリさんが何でもしてくれるなら考えてもいいんですけどねぇ(にっこにっこ)   (2019/4/29
20:51:32)

ユリ> なんでもしますから…それでもダメでしょうか？(上目遣いでおねだり)   (2019/4/29 20:52:56)

ユリ> こんばんは〜(控えめにリサさんにてを振り返して   (2019/4/29 20:53:25)

おしらせ> 湊 友希那さんが入室しました♪  (2019/4/29 20:53:56)

今井リサ> 仲良きことは良いことだねぇ(邪魔しないようにと少し離れ、)   (2019/4/29 20:54:00)

東北ずん子> リサさんをのこしてしまうのはあれですが、もう少ししたら人も来るかもしれませんし。こんどのんびりするのもいいかもしれまｓ(といってたらきた   (2019/4/29 20:54:09)

湊 友希那> 噂をすればお邪魔するわ（ゆっくり入るとそういって）   (2019/4/29 20:54:43)

今井リサ> こんばんは～、って友希那?!め、珍しいねっ?(え"、と吃驚した様子で、)   (2019/4/29 20:54:53)

今井リサ> あはは、御気遣いありがと、ずんこ(にこ、)   (2019/4/29 20:55:13)

東北ずん子> お知り合いだった様子。またお二人ともおはなししましょうねー、ねー！(ゆりさん抱きかかえて)   (2019/4/29 20:55:57)

湊 友希那> リサ、どうしたのこんな所で（よく来るのよ、といって）   (2019/4/29 20:56:15)

ユリ> こんばんは〜(一礼   (2019/4/29 20:56:35)

おしらせ> ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆NhWrmGpeBIさんが入室しました♪  (2019/4/29 20:56:49)

ユリ> わわっ！恥ずかしいです…(抱き抱えられてあたふた   (2019/4/29 20:57:08)

今井リサ> こんばんは～♪(来客に手ふり、)   (2019/4/29 20:57:41)

今井リサ> ふふ、お幸せに～♪(お二人を笑顔で見送り、)   (2019/4/29 20:58:03)

東北ずん子> あ、フェリエさんだ、お休み中一日くらいあそびましょうね、ね！(なんとなく私に何かいってくれそうだから先に言うずんださん)   (2019/4/29 20:58:24)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> おぃーっす。…休み半ばで賑わってますねぇ♪(───でもぐっしょり。ずぶ濡れたパーカーのフードを外しへくしゅっ、とくしゃみをしてから)っと初めましての方と…お、ずん子、いってらーっ！(ぶんぶん、すれ違いあるあるだね、なんて。手を振って見送ろうっ)  
(2019/4/29 20:59:01)

今井リサ> ん～と...気紛れ、かなっ??(口淀みつつ、)   (2019/4/29 20:59:07)

湊 友希那> あら、白猫の伽羅もいらっしゃい（お辞儀）   (2019/4/29 20:59:12)

ユリ> それではまたー(抱き抱えられて連れ去られちゃいます   (2019/4/29 21:00:13)

東北ずん子> はーい、ではでは、いってきまーす   (2019/4/29 21:00:28)

おしらせ> 東北ずん子さんが退室しました。  (2019/4/29 21:00:31)

今井リサ> へぇっ、?!!ちょっ、だ、大丈夫っ?!!びしょ濡れじゃんっ!!風邪引いちゃうよ～っ。生憎ハンカチしかないけどっ。(あわあわとハンカチでびしょ濡れの相手を拭いて、)   (2019/4/29 21:00:47)

おしらせ> ユリさんが退室しました。  (2019/4/29 21:01:55)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> んぉ、どーも。アタシのこと知ってるみたいだね？(なんて言うけれども、見遣れば見知りどうしで仲良くしている雰囲気。まぁこちらも身内の方に優先するし、なんて思えば)あっ、ちょ、大丈夫大丈夫っ。アタシこんな雨で風邪引くほどやわな身体じゃねーしっ。（…でもあんがと、なんてほんのり恥ずかしげにお礼を呟いてみたり。満更ではない模様。）
  (2019/4/29 21:01:59)

湊 友希那> 気まぐれなのね、リサ練習もしないと駄目よ。（ため息を突きながらそういうと、真面目なロゼリアのボーカーリストである）   (2019/4/29 21:03:55)

今井リサ> やわな身体じゃなくてもだめっ!、だよ!(びしっ、)   (2019/4/29 21:04:25)

今井リサ> あはは、ごめんって友希那～っ!ちゃんと練習もするから(手を合わせ謝って、)   (2019/4/29 21:04:56)

湊 友希那> わかったわ、（むう）   (2019/4/29 21:05:23)

今井リサ> ほら折角のオフだしさ、休息も練習のうちだよ～、友希那っ。(微笑み、)   (2019/4/29 21:07:18)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ
◆> うぉっ…あー、分かった、分かったって。今度から雨降り対策しとくって。(はふ。カバンからタオルを取り出してはふきふき、腕や顔を吹きつつ…びしょ濡れのジャージを脱いでみたり。)…あ、やっべ。…換えのやつ忘れてるわ。(───下着姿のままではあれなので。生乾きのパーカーを着込んではしたない姿にはならないように。…冷えてきたらお風呂でも入っておこうかな、なんて。)
  (2019/4/29 21:07:24)

湊 友希那> 私は練習もしなきゃ駄目よ、あこもだれてしまうわ。（腕組んで、そういって）   (2019/4/29 21:13:01)

今井リサ> ん、よしっ。(微笑みながら自然と相手の頭を撫でて、)...着替えないのっ??ん、良ければこれ着てっ...というか寧ろ着てっ。(相手のお着替え中は顔を反らし、終わったであろうという時に相手に視線を戻して。自身が着ていた上着を脱いで相手に差し出して、)
  (2019/4/29 21:14:06)

今井リサ> それはそうかもしれないけど...でも練習ばっかじゃ、折角のオフが台無しだよっ。(あわ、)   (2019/4/29 21:15:38)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> んぅ…、ん、だいじょぶ大丈夫。同じ美少女同士で見られても減るもんじゃないし、後でこのまま風呂行こうと思ってるんだからっ。（差し出す服を遠慮しておこう。もうすぐお部屋から失礼するからね。）＞リサ
そーそー、こーゆー日位体と気持ちを休めたってバチ当たらんと思うんよ？この部屋はみんなリラックスしたりハメを外しに来てるんだから♪(生真面目だなぁ、なんて思う故にゆるく行くのも大事、なんて。)…とゆーわけでっ。悪いけどお風呂にいってきまーすっ  
(2019/4/29 21:17:50)

ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆> (二人にまたねー、なんて手を振ってから…扉の奥───お風呂場に繋がる部屋に入って行ったのでした。お邪魔しました。)   (2019/4/29 21:18:24)

おしらせ> ｼｬﾙﾛｯﾄ･ﾌｪﾘｴ ◆NhWrmGpeBIさんが退室しました。  (2019/4/29 21:18:26)

湊 友希那> （（お疲れ様です   (2019/4/29 21:18:41)

今井リサ> お疲れ様～   (2019/4/29 21:18:51)

湊 友希那> ハア、わかったわ（ため息）   (2019/4/29 21:19:00)

湊 友希那> （ウマ娘の写真集を見て）   (2019/4/29 21:23:39)

湊 友希那> ≫リサ   (2019/4/29 21:28:30)

おしらせ> 無言時間が20分を超えたため、今井リサさんが自動退室しました。  (2019/4/29 21:38:58)

おしらせ> 湊 友希那さんが退室しました。  (2019/4/29 21:41:23)

おしらせ> アライグマさんが入室しました♪  (2019/4/29 21:59:12)

アライグマ> わっせ…わっせ……とうちゃーく！(ばすてきに乗ってやってきたのは例のアライさんで)   (2019/4/29 22:00:36)

アライグマ> あれぇ！？ここは目的地じゃないのか！？(どうやら、自分が今ここに居るのがオリジナルドラマ「じゃぱりまんがり」にて博士に行けと命じられたジャパリまん工場の入口ではないと気づいて。)   (2019/4/29 22:03:34)

おしらせ> 九条カレンさんが入室しました♪  (2019/4/29 22:07:52)

九条カレン> こんばんはデース！(ぴょこりと)【お邪魔していいですか】   (2019/4/29 22:08:20)

アライグマ> 【彼氏兼彼女から返信来なくて、暇つぶしにルブルの方で軽く遊んでみようかなぁと思ってここに来てみたのだ。けどよくよく考えたらけもフレタグついてる部屋に行った方が良かっ…こんばんはー】   (2019/4/29 22:09:03)

アライグマ> うわっ…い、いきなりなんなのだ！お前！(指差しつつ)   (2019/4/29 22:09:48)

九条カレン> わ、私はあやしい人物じゃないデース！(いきなり警戒されてビックリしつつ)【色々あるんですね...こんばんはー】   (2019/4/29 22:11:09)

アライグマ> ぜ、全然怪しいのだ！耳もしっぽもなければ…あ…でもフードはあるのだ…？(蛇のフレンズなのかと疑いつつも、訝しげに見つめたままで)   (2019/4/29 22:12:38)

九条カレン> え、ええ.....？？あ、そういうことデスね！もしかして猫耳とかが好きなんデスね！(見つめられつつもコスプレした方が良かったデス？と)   (2019/4/29 22:13:57)

おしらせ> ビワハヤヒデさんが入室しました♪  (2019/4/29 22:16:19)

アライグマ> いやっ…よくよく考えたらしっぽがないヘビのフレンズなんて見たことないのだ…こ、こすぷれ？意味のわからないことをぉ……それにアライさんはフェネックは好きでもネコ科のフレンズはそれほど好きじゃないのだ！   (2019/4/29 22:16:40)

ビワハヤヒデ> お邪魔するよ。（眼鏡をかけた馬耳の白髪の子が入ってきて）   (2019/4/29 22:19:00)

九条カレン> しっぽ....蛇の衣装が好きなんデスね！...(そういうとまあ色々とやって蛇の着ぐるみを着て)蛇デスよー！あ、猫は嫌いなんデスね？   (2019/4/29 22:19:35)

アライグマ> うわっ！また変なのが来…あ…なんだ、ただのフレンズか…(新たに現れた白い影に警戒するも、馬耳としっぽを見ればスルーして。)   (2019/4/29 22:21:15)

アライグマ> ヘビが好きとか言ってないのだ…あとネコ科は好きじゃないだけで嫌いってわけじゃないのだ！お前安直だし極端なのだー！(ぷんすか)   (2019/4/29 22:22:37)

ビワハヤヒデ> 変とは、なんだね。そういう君も動物の形をしているな。（眼鏡をズチャリしながら、ツッコミを入れて）【ウマ娘ですみません（ぺこりん）】   (2019/4/29 22:23:24)

九条カレン> ええ...じゃあどんな動物の格好すればいいんデスかー！(怒られて申し訳なさそうに)   (2019/4/29 22:23:40)

アライグマ> 耳の形からするに馬のフレンズか？ (競馬場で出会った、サラブレッドのフレンズ三体。「くりげ」「あおかげ」「しろげ」のことを思い出しながら、知的な雰囲気を醸し出す相手に一歩退いて)   (2019/4/29 22:27:47)

アライグマ> 別に動物の格好をしろとか言ってないのだ！…まさかヒトなのか？   (2019/4/29 22:28:29)

九条カレン> え....貴方は人じゃないんデスか？(キョトン)   (2019/4/29 22:29:34)

アライグマ> 人というか…動物がフレンズ化？して、人になったというか…でもアライさんはアライグマで…うぁぁ…頭が痛いのだ…   (2019/4/29 22:30:48)

九条カレン> フレンズ化....要するに擬人化デスね！(流石日本デス！と貴方は動物の擬人化デス)   (2019/4/29 22:32:21)

アライグマ> とにかくここに用がないことだけははっきりわかったのだ……失礼するのだ！わっせ……わっせ……(きこきこ)【抜けまーすのだ…】   (2019/4/29 22:32:56)

おしらせ> アライグマさんが退室しました。  (2019/4/29 22:33:01)

ビワハヤヒデ> ああ、そういうことになるな。（この世界では、「フレンズ」というのだな   (2019/4/29 22:34:33)

おしらせ> 無言時間が20分を超えたため、九条カレンさんが自動退室しました。  (2019/4/29 22:52:23)

おしらせ> 無言時間が20分を超えたため、ビワハヤヒデさんが自動退室しました。  (2019/4/29 22:55:04)

おしらせ> 渋谷凛さんが入室しました♪  (2019/4/30 03:12:13)

渋谷凛> （時間も時間、なるべく物音を立てない様に扉を開けて電気を付けて。電気が消えてた時点で理解していたけれど、誰も居ないのを見れば吐息を一つ漏らして。）…こんな時間まで起きてたら肌に悪いとか怒られるかな。ま…少しだけ。（目覚めたものは仕方ないし…と誰に言い訳するでもなく呟きながら、部屋の片隅のドリンクサーバーで冷たいお茶を注いでそれを持ってソファの方へ。）
  (2019/4/30 03:18:26)

渋谷凛> （両手で包む様に握ったコップを微かに揺らし、液体が中でくるくる回る様子をぼんやり見下ろしながら手持ち無沙汰と言った風に。）…ん、流石にこんな時間だし誰も来ないかな。（ぽつり、と呟きながら扉の方を見遣ったり、時計を見遣ったり。お茶を飲み干せば手を組んで、ぐ…っと上に伸びる様に体を伸ばして息を吐いて。）
  (2019/4/30 03:37:24)

おしらせ> 無言時間が20分を超えたため、渋谷凛さんが自動退室しました。  (2019/4/30 03:57:33)

おしらせ> 渋谷凛さんが入室しました♪  (2019/4/30 12:26:44)

渋谷凛> うたた寝…ってレベルじゃないね、もうこんな時間…（限界に眠くなる寸前に近くの部屋…仮眠室に入ったところまでは覚えているけれど、気づけばもう昼過ぎ。ふあ…と欠伸を漏らしながら一先ず髪に櫛を入れて整えればリビングへと。）   (2019/4/30
12:31:24)

おしらせ> 星井美希さんが入室しました♪  (2019/4/30 12:38:15)

星井美希> あふぅ…おはよう～(欠伸しながらリビングに入室して   (2019/4/30 12:39:18)

渋谷凛> どっちかと言うと…と言うか時間だけ見ればもうこんにちは、かな。（時計を横目に見遣りつつひらり。手を軽く振る様に示して歓迎の意を。）   (2019/4/30 12:43:00)

星井美希> ん～…あ、本当だね(目蓋を擦りショボショボさせながら此方も時計を見た後ににへらとして   (2019/4/30 12:45:56)

渋谷凛> ま…私も起きてそこまで経ってないからそう言う意味ではおはようかな。（私とした事がこんな寝坊みたいな…なんて自分の毛先を指で弄りながら溜息一つ。オフの日位は良いかもしれないけれど。）で…一応名乗った方が良いかな？（此処では初めまして、だろうけど。首を傾げて美希へ視線を向けながら立ちっぱなし…と言うのも何なのだし、ソファに座って美希にも促す様に）
  (2019/4/30 12:50:32)

星井美希> ん～…ミキ的にはどっちでも良いって思うな？(身体を伸ばして最終的には深呼吸して落ち着き)あれ？はじめましてだっけ？前に一緒に奈緒を弄った気がするんだけど…(首をかしげながらも凛に促されて隣の席に座って背凭れにもたれ掛かって   (2019/4/30
12:56:51)

おしらせ> 時雨改二さんが入室しました♪  (2019/4/30 13:00:53)

星井美希> おはようなのﾉﾝ   (2019/4/30 13:01:17)

渋谷凛> …それもそっか。伝われば問題ないね。（少し思案する様に沈黙してから納得する様に頷いて。挨拶でおおよそ伝わらない事があるかはさておき。）んー…？私が此処に来るのは昨日の夜が初めてだけど。（↓の方を指さして。メタいのは気にしない方向で一つ。きょとんと首を傾げて不思議そうに考え込んでから…ああ、違う”私”の事かな、って納得して自分もソファに体を預けて少しリラックス）
  (2019/4/30 13:02:31)

時雨改二> こんにちは。今日は人が居るんだね…良かった。(今日は面接会場にされなくて良かった、胸元に手を乗せてホッと吐息を漏らし)うん、おはよう。…今日で平成も終わっちゃうね。そんな実感無い程度には、のほほんと過ごしてきちゃったけど…もう少し意識するべきだったかな？(軽く両手を組んでからうーんと唸り声。節目は大事だしね、と勝手にお部屋のカレンダーを変えちゃうね。べりべり。5月…かぁ。去年はもっと温かかった気がするよ…って小さく独り言を呟きながらひとりで染々と)
  (2019/4/30 13:05:23)

渋谷凛> おは……あ、言われてみれば確かに（新たに現れた姿に視線を向けて、手を上げて挨拶…しようと思ったけど呟いていた言葉にハッと。平成…令和、令和か…うん、慣れるまで間違えそう、とか自分の顎に手を当ててぽつぽつと呟いて。）ん、まぁ変わっても何となくでその内定着しそうだけど、確かにあまり実感はないよね。改めてこんにちは、私達二人しか居ないけどそれでも良ければ。（歓迎するよ、って手をふりふり。表情はちょっとツンっとしてるけど不機嫌でもないし怒ってもないよ。）
  (2019/4/30 13:10:31)

星井美希> そうそう。例えるなら、たまにPが言う…｢細けぇことぁ良いんだよ！！｣みたいな？(クスリと)昨日の夜、初めて…初夜？(指を指されてるにも関わらずマイペースに答えてみて   (2019/4/30 13:10:55)

星井美希> 令和ってミキ的に好きくない元号なの。何か命令されそうな気がするし(ソファーに座りながら自身の髪の毛をｸﾙｸﾙ弄りながら   (2019/4/30 13:13:50)

時雨改二> …特に身の回りが何か変わったりする訳じゃないけど(部署の異動だとか、人事関係云々…えとせとらえとせとら)、平成って言えなくなるからね。時代を跨ぐって言うのも僕は初めて…？じゃないね、きっと…(竣工だとかそういうのでもっと昔から生きてた気がするよ。そんな実感は無いけどね？って眉を下げて、あはは…と。二人に比べたらずっとおばあちゃんかもね…)
二人も、居るじゃない？この前は僕一人だったしね…場を持たせようとして大変だったんだから…(無駄にお話した気がするよ…！って若干鼻息が荒くなる程度には頑張ったよ。……表情が硬いのかな？そんな娘、鎮守府にも居た気がするよ…ううん、居たね。)
ふふ。命令され慣れてないのかな…？意外と気楽なものだよ、はいはい、って聞いてその通りにやればいいだけだから、ね？(まるで新人さんみたいだね、ってほっこりするよ。そろそろお仕事には慣れたかな…？って、働きづめだった人に向かって笑顔を振り撒いておくよ。にこー)  
(2019/4/30 13:17:35)

星井美希> あ、ご飯ROMするの～   (2019/4/30 13:18:32)

時雨改二> うん、いってらっしゃい。良く噛んで食べるんだよ…？   (2019/4/30 13:19:11)

渋谷凛> その辺りはプロデューサーの役目だから私は良く分からないけど…書類は西暦でも良いんだったかな？（うっかり平成で書きそうだよね、なんてちょっと他人事ではあるアイドル兼学せ…受験には関わりありそう。）ふーん、時雨は経験が……えっ（私は当然ないかな、って呟きながら納得…出来なかった。私とあまり変わら無さそうな見た目なのに…って驚き半分、興味半分で時雨をじー…っと。）…ま、そうだね。一人だと大変なのは私も少し体感したばかりだし。（私の場合時間が時間だったけど。一人だとすぐ話す事がなくなるね……ってしみじみ。何と言うか…ワンコのオーラがする様な気がして、まるでふんすと言う擬音が付きそうな時雨に自分でも気づかない内に手を伸ばして頭をなでなでしてた。）
  (2019/4/30 13:24:54)

渋谷凛> そう言えば発表当時もそんな意見があったね。命令は…まぁ、仕事をこなす以上関りがないものじゃないけど、気持ちは分からないでもないかな…と、いってらっしゃい。   (2019/4/30 13:26:44)

時雨改二> そうなんだ…その方が分かりやすいかな、うん。(西暦からいくつ引けば良いのかとか、考えるのちょっと苦手だし…きっと考える機会が無いからかな？良くわかんないね…。)ん…？どうかしたの？(不思議そうに首をかくんと傾げつつぱちくり瞬き。この姿になってからは六年…だけど、その前の姿はずっとずっと昔からだよ？…あー、あんまりじろじろ見られたくはないかなっ。ってほっぺたにシワとか無いか背を向けて両手でぺたぺたと触って確認。)…まぁ、あんな時間じゃ仕方ない、気も？(夜中とお昼じゃまた違うかもね…ってくすくす。なんか動物に例えられてる気がしたよ…でも、頭を撫でられるのは不思議な感覚。お姉ちゃんはそういう事するタイプじゃないし…もっとこうハグとかそっち系だから、って照れ混じりに視線を逸らして…ぴくんと肩を震わせてみたり)ん…っ。どうしたの…？僕何か変な事言っちゃったかな…？(撫でられるような墓穴は掘った覚えない、けど…って視線を落ち着きなくさ迷わせ)
  (2019/4/30 13:32:24)

おしらせ> 無言時間が20分を超えたため、星井美希さんが自動退室しました。  (2019/4/30 13:39:08)

渋谷凛> 平成の時でも未だに「あれ、今年平成何年だっけ…」ってなる事があったし…うん、分かりづらいよね。（いっそ西暦で統一で良い気がするんだけど、って吐息一つ。流石に西暦は間違えないし。）――はっ……ご、ごめん…つい。（どうしたのって言葉にふと、我に返ればビクッと軽く跳ねあがって手を何か残像が見える位の勢いで引っ込めて顔を背けて。つい…犬みたいだったから、とは流石に言葉に出さずに申し訳なさそうに眉の根を下げて。）……へえ…難しい事は良く分からないけど、そう言う存在って言うのは理解出来たかな。（此処に来るのは私みたいな普通の人間だけじゃないみたいだし…って、時雨が背を向ければ凝視する視線を切って。シワがないどころか肌とか私よりすべすべしてそう……とか、羨ましそうな視線交じりだったけれど。）
  (2019/4/30 13:39:35)

時雨改二> 数字が若ければまだ平気、かも…？(元年とか二年とか…二桁になると途端に怪しくなる気がしたよ…)…ん。そっか、それならいいんだけど…(僕の失態のせいじゃないんだね、って心底安堵した表情。それはそれで恥ずかしいしね、なにもないなら安心だよ。…それに、嫌じゃない、からね？そういう事。って教えてあげるよ)…うん。そういう事、だから…(実年齢は言えない、ね…幾つ回りで上なのか、考えたくもないしって耳を塞ぎながら軽く俯いて、ぶつぶつ。背を向けたままその場にしゃがみこんで…。視線はまだ向いてるかな…？って視線を恐る恐る背後に向けようと振り替えって…じっ)流石にそんなに見られるのはなれてないし、恥ずかしいかな…(拒否するみたいな格好になっちゃってる姿をすぐにやめてぱっと正面を見せれば照れ臭そうに口許を緩め)
  (2019/4/30 13:46:09)

