/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年02月26日 19時47分 ～ 2023年02月27日 07時00分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おきたう！   (2023/2/26 19:47:04)
絹川みちほ> ううん、大丈夫だよ。またひとりちゃんと二人の時に構ってもらうし、一昨日みたいに三玖ちゃんと三人でもしたいし♡（すりすり）   (2023/2/27 00:30:35)

後藤ひとり> 分かりました……♡ではまた……♡(抱きしめて撫で)   (2023/2/27 00:31:20)

絹川みちほ> うん、お願いねひとりちゃん。リョウちゃんとも会えたらまたみんなでもしたいかな。それじゃ、おやすみなさい♡（私もぎゅっとくっついて撫で受けして、満足したのでそっと目を閉じて）   (2023/2/27 00:34:05)

おしらせ> 絹川みちほさんが退室しました。  (2023/2/27 00:34:33)

おしらせ> 後藤ひとりさんが退室しました。  (2023/2/27 00:36:32)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが入室しました♪  (2023/2/27 00:49:33)

錦木千束 ◆> 今晩は〜♪ 上はめっちゃ賑わってるぅ…いやぁ…ネムネムの千束さんが上に上がっても流されちゃうと思って今回は下でのんびりとしてまーす♪ (ソファに腰掛けて)   (2023/2/27 00:51:36)

おしらせ> レム♀さんが入室しました♪  (2023/2/27 01:32:54)

レム♀> あっ   (2023/2/27 01:33:07)

おしらせ> レム♀さんが退室しました。  (2023/2/27 01:33:08)

おしらせ> レムさんが入室しました♪  (2023/2/27 01:33:12)

レム> こんな時間に来られるなんて、チサト様は夜更かしですね♡よろしければ…添い寝、でも……？   (2023/2/27 01:33:56)

錦木千束 ◆> レム〜♡ あれ…千束の知ってるレムだよねっ？　   (2023/2/27 01:36:55)

レム> はい…♡チサト様のことをよく存じてるレムですよ♡（お隣にお邪魔して、腕を抱きます♡）   (2023/2/27 01:37:44)

錦木千束 ◆> ちょいちょい…♪ それは少し千束幸せ気分で眠気来ちゃうっ…(腕を抱かれて頬赤らめちゃってて♡)   (2023/2/27 01:40:43)

レム> では、その幸せをレムにも分けて頂けますか？♡（貴女を見つめながら、そっと手に鍵を握らせて♡）   (2023/2/27 01:41:40)

錦木千束 ◆> もちろん…レムに分けてあげる…でも、すぐに寝ちゃってもしらないよー？♥ (しっかり鍵を握って横目で見つめてて♡)   (2023/2/27 01:43:49)

レム> はい、構いません…♡レムはチサト様と、添い寝したいのです♡（ぎゅっと手を握り、軽く引いて♡）   (2023/2/27 01:45:30)

おしらせ> レムさんが退室しました。  (2023/2/27 01:50:28)

錦木千束 ◆> んじゃ…行きましょう♡ 千束をしっかり温めてよ〜〜♡ (手を握ってお部屋に2人で向かってて♪)   (2023/2/27 01:50:39)

おしらせ> 錦木千束 ◆zMYfgmhp9wさんが退室しました。  (2023/2/27 01:50:57)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/2/27 02:45:41)

桜花あさひ ◆> 目が覚めちゃったからこんばんはだぞ……っ   (2023/2/27 02:46:01)

桜花あさひ ◆> すこしさみし〜ぞ〜…   (2023/2/27 03:00:49)

桜花あさひ ◆> おやすみだ〜…   (2023/2/27 04:13:19)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが退室しました。  (2023/2/27 04:13:23)

おしらせ> 森久保乃々さんが入室しました♪  (2023/2/27 05:00:09)

森久保乃々> おはようございます…もりくぼが午前5時をお知らせします   (2023/2/27 05:00:33)

おしらせ> 天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄさんが入室しました♪  (2023/2/27 05:02:59)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 5時の時報いず、ここに~……？vちらり   (2023/2/27 05:03:12)

森久保乃々> 早朝のもりくぼはもはや風物詩になっているでしょうからね…ガヴリールさん、おはようございます   (2023/2/27 05:04:10)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おはよ~。といってもあたしは今からおやすみ(できたらする)なんだけど…。課題くんの第4コーナーからの追い込みがすごくって。今最終直線に入りそうなところ。オッズはあたし2.5倍、課題くん35.6倍といったところで課題くんが大穴！！
  (2023/2/27 05:05:55)

森久保乃々> ガヴリールさんはいつも課題に追われている気がしますね……謎の賭けが始まっているのはわかりませんけど、お疲れ様です…寝れるときには寝たほうがいいと思います…   (2023/2/27 05:07:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> ココ最近は追われてるな~。これが終われば春休み！！んで~、乃々ちはどっちに賭ける？簡単な運試しだと思って~(にんまり。   (2023/2/27 05:08:34)

森久保乃々> ふむ、それなら気合も入れないとですね……ええっ、もりくぼが参加するんですか…？賭けたからといって何もないといいといいんですけど……うーん…ガヴリールさんに頑張ってほしいのでそちらに賭けます…   (2023/2/27 05:10:32)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 気合入れてこっから頑張るよ~。乃々ちはやさし~じゃん？大丈夫、こんなへっぽこくんになんか負けないからさっ……！   (2023/2/27 05:11:47)

森久保乃々> 優しいというか……その、百合部屋に来る人はできれば心置きなく楽しんでほしいというのが普通じゃないですか…？が、頑張ってくださいね…！   (2023/2/27 05:13:27)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 心置きなく、かぁ……♪そうしたいねぇ〜…♪なんか乃々ちこの時間二度寝してる気がする…？無理しないで二度寝とかしていいからね~？   (2023/2/27 05:15:31)

森久保乃々> そうですね…もりくぼは二度寝をすることはよくありますけど……別にしなくても日中は活動できたりするので…遊ぶかってなったときはしなかったり…   (2023/2/27 05:17:28)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> じゃ~、まぁこんなムードで行くから着いておいでっ。   (2023/2/27 05:18:31)

森久保乃々> ははぁ……まあ、いいですけど……   (2023/2/27 05:19:39)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いや、多分眠気でテンションぶっちぎれてるからそのくらいの落ち着いた対応の方が安心しちゃう…。(よし、よし   (2023/2/27 05:20:29)

森久保乃々> 深夜テンションは恐ろしいですからね……もりくぼは朝なのでこんな調子ではありますけど…普通に寝たほうがいいのでは…（あぅぅ…）   (2023/2/27 05:22:25)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いやぁ、お昼までに出しに行かないと行けなくって。それだから、今寝ると結構死にルート辿っちゃうんだよねぇ。   (2023/2/27 05:24:05)

森久保乃々> それならもりくぼと話してる時間も惜しいのでは……どう考えてもここに来てる場合じゃないですよ…！   (2023/2/27 05:26:00)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いや~。こうでもしてないと寝るし集中力が切れちゃってるから……うぅぁ~   (2023/2/27 05:26:54)

森久保乃々> そうでしょうね……明らかにもりくぼとの話のほうに意識傾いてますし……あとどれくらいで終わる見込みなんです？   (2023/2/27 05:28:23)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> あと2時間くらい本気でがぁ〜っとやればおわる？お昼には出しに行ける予定だよ~。)   (2023/2/27 05:28:59)

森久保乃々> じゃあ少しだけ仮眠しても……いやここまで寝てないのでしたら逆に危ない……んん…結局ガヴリールさんが気合でどうにかするしかないですね…   (2023/2/27 05:30:16)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> もうここまで来ると根性論なんだよ、ねぇ   (2023/2/27 05:30:49)

森久保乃々> もりくぼは応援することしかできません……がんばれ♡がんばれ♡……これは違いますね   (2023/2/27 05:31:47)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> そう応援されると違うところに力が篭もる……♥   (2023/2/27 05:32:15)

森久保乃々> まあ、疲れもあれも溜まってるでしょうからね……こんなので反応してしまうのかとは思いますけど…   (2023/2/27 05:33:21)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 昨日数発分しかやってないんだもん。足りるわけないでしょ~っ……()   (2023/2/27 05:33:52)

森久保乃々> 普通は数発やれば十分だとは思うんですけど……   (2023/2/27 05:34:51)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> え……？数発で、足りちゃうの……？♡   (2023/2/27 05:35:07)

森久保乃々> それはそうですよ……！みんながみんなそうだとは思わないでほしいです…ここには上澄みが集まってるのでそう感じにくいでしょうけど…   (2023/2/27 05:36:08)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> みんな性欲の塊みたいな子達ばっかりだからなぁ~。でも聞くところによると乃々ちゃんは結構な性豪……？(くす、   (2023/2/27 05:37:05)

森久保乃々> ひぇ……もりくぼはそこまですごくはありません……ひと部屋あればだいたい満足しますし…   (2023/2/27 05:38:07)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 人部屋じゃたりなーいってなるのあたしだけなの……(少数派だったかもしれない   (2023/2/27 05:39:04)

森久保乃々> そりゃまあ……もりくぼだって時間と体力のあるかぎりはしたいとは思いますけど…（ごにょごにょ…）   (2023/2/27 05:40:08)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 時間と体力の限り……うっふぅ~。   (2023/2/27 05:41:20)

森久保乃々> ……何ですかその反応は（じー）   (2023/2/27 05:41:51)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いや。いつかはお部屋に連れ込んで食べたいなぁ。と   (2023/2/27 05:42:47)

森久保乃々> おぅ……狙われてる…けどどうでしょうね、今のもりくぼはどちらかと言えば受けよりは攻めのほうですし…   (2023/2/27 05:44:21)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 今すぐに~っては言わないから、受けが強まってきたら失神するまで犯してあげる♡   (2023/2/27 05:45:15)

森久保乃々> そこまで激しいのはノーセンキューなんですけど……   (2023/2/27 05:45:50)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おぉ〜うっ   (2023/2/27 05:46:15)

森久保乃々> イキ狂いと言えばイノさんですから……そっちで何度も発散してください…   (2023/2/27 05:47:22)

おしらせ> 東北ずん子さんが入室しました♪  (2023/2/27 05:47:48)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いのとはいっぱい遊んでるからね〜っ。他の子達も食い荒らしてこそ、な気がして〜   (2023/2/27 05:47:51)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おっはよ~   (2023/2/27 05:47:59)

東北ずん子> 乃々さんはわたしませんってながれですねっ、おはようございますっ   (2023/2/27 05:48:12)

森久保乃々> おはようございます…   (2023/2/27 05:48:27)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> わたしません……？いや、もってってもらって大丈夫だよ？今はまともに返事してる精神的余裕がないから(こくん   (2023/2/27 05:49:03)

森久保乃々> もりくぼはものじゃないんですけど…！   (2023/2/27 05:49:23)

東北ずん子> わーい(乃々さんぎゅー　……いや、天真さんはそれはそれで大丈夫なんです？私も最近体力はないのですが(むーん   (2023/2/27 05:50:29)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> こうしてないと精神的安寧を崩されてしまうくらいの苦行ということで、ね()   (2023/2/27 05:51:24)

森久保乃々> 皆さんお疲れのようですね……大事にしてください…   (2023/2/27 05:51:41)

東北ずん子> と、とりあえず元気になりましょうね！？   (2023/2/27 05:51:53)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 身体は元気だよ？2.3時間仮眠したんだけど普通にすけべな夢見て絶賛腰がうずいてるもん   (2023/2/27 05:52:39)

東北ずん子> 睡眠時間がけずられてらっしゃる(乃々さんぷにぷに   (2023/2/27 05:53:18)

森久保乃々> 性欲のほうがあれでしたか……（あぅぅ…）   (2023/2/27 05:54:02)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 大層な夢を見てしまったから、新たなシチュエーションの構築といっしょに寝起き2時間後にも収まらない強烈なスパイスが出来上がったんだよね   (2023/2/27 05:55:48)

東北ずん子> なんだかこう、がんばってくだ、さい？(よくわかりませんが、乃々さんにくてーっともたれて   (2023/2/27 05:56:32)

森久保乃々> その状態でもりくぼのところ来たんですか…？めちゃくちゃすけべな目線送られてそうなんですけど…（もりくぼもとりあえずずん子さんをよしよししておきましょう）   (2023/2/27 05:57:34)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 乃々さんは相当すけべだとあたしの第六感が囁いてる。あの子だけは、食べろと()   (2023/2/27 05:58:20)

東北ずん子> 乃々さんをあんなことやこんなこと？(わきわき   (2023/2/27 05:58:29)

森久保乃々> 肉食獣しかいません……（ぶるぶる）   (2023/2/27 05:58:57)

東北ずん子> ふへへー(乃々さんぷにぷに   (2023/2/27 06:00:07)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> そうしょくじゅうのほうかすくないよっ   (2023/2/27 06:00:12)

森久保乃々> もりくぼは雑食でした……   (2023/2/27 06:00:55)

森久保乃々> でもまあ……狙われてちょっとどきどきしてるのも事実ではあるんですよねぇ…（ぼそ）   (2023/2/27 06:02:20)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> でもそう思うとあたしって草食獣だな()   (2023/2/27 06:02:29)

東北ずん子> あれ、私の方が肉食なんです？(乃々さんのおなかつんつん   (2023/2/27 06:02:52)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> いつかがおーって噛み付いて、そのままお部屋に連れてくと思って当分ソワソワしてて…♥そのそわそわはいい調味料になるから。お肉熟成させるのには丁度いいよ(.)   (2023/2/27 06:03:26)

森久保乃々> ずん子さんは肉食ですけど、とりあえず手元に置いておきたいという感じですよね…（お腹はくすぐったそうに）   (2023/2/27 06:05:10)

森久保乃々> うう、そういう宣言されると怖いですけど……いや期待しなくていいんですよ、自分…！   (2023/2/27 06:06:13)

東北ずん子> よくわかられてるような、なんていうか。私はあれですねー。迷っててもしかたないですし。その時その時でががーっておいしくするのがすきかなぁ？(ソワソワするのはじぶんがいい   (2023/2/27 06:06:22)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> それかいつかはお楽しみ。今日かもしれないし、明日かもしれない。今すぐにでも。お部屋に入ったら、狙われてると思って……♥身を委ねてくれたら、倍以上の快楽でお返しするから   (2023/2/27 06:07:39)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> その場その場で食うスタンスではあったんだけど、最近はそうもいかなくってさ~。   (2023/2/27 06:08:04)

森久保乃々> ひぇぇ……ガヴリールさんはいつの時間でもいるイメージがあるので…もりくぼがお部屋いるときはいつもおびえて暮らさなきゃいけないんですか…？   (2023/2/27 06:09:07)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> そうなるね~……？なになに？期待してるの~？そっちのお部屋じゃなくて、もりくぼをみて……っ。とかぁ?(ほっぺぷにん。テンションはっちゃけてるわコレ。ほんとやばい   (2023/2/27 06:10:21)

東北ずん子> それじゃあ乃々さんは私が食べればいいのですね(よくわからないけど、がおー　ま、たしかにタイミングというか。そういうのありますよね(わー、がんばれがんばれ   (2023/2/27 06:10:39)

おしらせ> ヴエコさんが入室しました♪  (2023/2/27 06:10:50)

ヴエコ> おはようごぁいまふ……（ふわぁ、）５時起きとか言ってたのにこの始末……（くしくし、）東北さんとｶﾞｳﾞﾘｰﾙさんは初めましてー。   (2023/2/27 06:11:29)

東北ずん子> 6時ならぎりぎりセーフですよ、こんばんは！   (2023/2/27 06:11:48)

森久保乃々> あ、おはようございますヴエコさん…   (2023/2/27 06:12:32)

おしらせ> 桜衣乃さんが入室しました♪  (2023/2/27 06:13:05)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おはよ~、ふたりともっ   (2023/2/27 06:13:18)

桜衣乃> おはようございます〜♡朝からなになになんのお話ですか〜？   (2023/2/27 06:13:38)

ヴエコ> あ、桜衣乃さんだ……はじめまして（ぺこ、   (2023/2/27 06:13:39)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> はじめまして〜   (2023/2/27 06:13:42)

森久保乃々> イノさんもおはようございます……もりくぼが狙われているというお話でしょうか…   (2023/2/27 06:14:04)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> えっとね。課題に追われて精神的に追い詰められかけてるあたしが見た夢の話。それから派生して森久保ちゃん狙ってるよー食べられてー。の話   (2023/2/27 06:14:20)

東北ずん子> つまりいつもどおりですね？おはようございます   (2023/2/27 06:14:41)

おしらせ> 琴葉茜さんが入室しました♪  (2023/2/27 06:15:16)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> おはよ~   (2023/2/27 06:15:32)

琴葉茜> 生活リズムが崩れてしまっても可愛い茜ちゃんやで♡　あかん寝れへん。   (2023/2/27 06:15:38)

森久保乃々> ｱｶﾈﾁｬﾝｶﾜｲｲﾔｯﾀｰ!   (2023/2/27 06:15:50)

桜衣乃> あっ、はじめまして！…名前だけ知られてる感じかな？はい♪桜衣乃16歳、アイドルやってます♪　よろしくお願いしますね〜？（→ヴエコちゃん）   (2023/2/27 06:15:54)

桜衣乃> ｱｶﾈﾁｬﾝｶﾜｲｲﾔｯﾀｰ   (2023/2/27 06:16:10)

東北ずん子> ｱｶﾈﾁｬﾝｶﾜｲｲﾔｯﾀｰ   (2023/2/27 06:16:24)

東北ずん子> ともあれ茜ちゃんも大丈夫ですか？   (2023/2/27 06:17:09)

桜衣乃> あはは……ガヴリールちゃんのは中々に激しいですから、乃々ちゃんの気質に合うか…ってところですね？　乃々ちゃんは甘々系が好きですから、そこのところご注意ですねっ。   (2023/2/27 06:18:05)

琴葉茜> いつもありがとーう♡（わー）　きのうお昼すぎくらいからびっくりするくらい眠くてな、ふっと気づいたら日付変わるくらいまで寝潰してしまって、ちょっと前に横になってはみたもののさっぱり眠気が来なくてなぁ。まあ大丈夫っていえば大丈夫やで。ご心配ありがとなー。
  (2023/2/27 06:18:18)

東北ずん子> そういういみでは昨日は寝て起きたら夕方でした。ずんだです   (2023/2/27 06:18:50)

ヴエコ> 名前と、色んな人に慕われてるモテモテな人というのは知っております……（こくこく、）   (2023/2/27 06:19:16)

桜衣乃> 茜ちゃんは心配ですね〜……生活リズム崩れると大変なのは私も何人かは見てますから……   (2023/2/27 06:19:17)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 実は甘々も行けちゃうっていう。ただあぶのーまる沼にハマってるからそっちの性癖が表に出てるよーっていう感じ……？(でもたしかにこのお部屋では過激派性欲陣)   (2023/2/27 06:19:23)

琴葉茜> ずん子ちゃんのほうこそ大丈夫なん？今日月曜日やで…？   (2023/2/27 06:19:34)

森久保乃々> もりくぼは実にノーマルですから……普通に甘々にしていただけると…   (2023/2/27 06:20:13)

桜衣乃> ふふ、モテモテというよりは私がみなさんにメロメロというほうが正しいですよ♪　あなたは……ヴエコちゃんって言うんですね♪　あなたのことも知っていけると嬉しいです♪   (2023/2/27 06:20:47)

ヴエコ> 良いですね……朝から狩りとそれぞれの性癖の話……（んへへ、）   (2023/2/27 06:20:47)

東北ずん子> 昨日です、昨日！今日が月曜日で、いつのまにか3月になりそうな事は嘘だと思いますが！   (2023/2/27 06:20:48)

琴葉茜> ここ最近もうずっと逆寝落ち（えっちしてるときは寝ない。えっちしてないとすぐ寝る）に悩まされとってなー…。うっかり日中に寝落ちるせいで生活リズムが。りーずーむーがー（ぐえー）   (2023/2/27 06:21:11)

ヴエコ> はい、ヴエロエルコと申します。職業は……冒険者みたいなものですが。いつか私にもメロメロになってくれると嬉しいですね。まだまだ新人ですが……（んへ、   (2023/2/27 06:21:29)

森久保乃々> それは言わないでください、ずん子さん……！もりくぼももうすぐ3月だということは目をそらしておきたかったんですから…！   (2023/2/27 06:21:35)

桜衣乃> ……茜ちゃんえっちしてたんですか？   (2023/2/27 06:21:43)

ヴエコ> 逆寝落ち、すごくえっちで良いですね……それは普通に睡眠時間を削ってえっちしまくってるだけなのでは！？   (2023/2/27 06:22:27)

東北ずん子> 睡眠削ってエッチする、いいですね   (2023/2/27 06:23:04)

琴葉茜> え、２月が終わるとなんかまずいの…？　うちは年度末はよ終われって思ってるからさっさと４月になって欲しい派なんやけども。   (2023/2/27 06:23:18)

森久保乃々> 逆寝落ち……新しい概念ですね……いやもりくぼもえっちしてるときは寝ないように努めていますけど……   (2023/2/27 06:23:19)

琴葉茜> いや、最近そーいうパターンが多いなってだけで。いくらなんでも起きてるときはずっとえっちしてますとかそんな訳ないやろ（手ぱたぱた）   (2023/2/27 06:24:17)

ヴエコ> 年度末はー……確かに仕事も多いですものね。私も４月になってほしい派ですが……多分年度が切り替わるまでに何か仕上げないといけない系のタスクですかね（こて、   (2023/2/27 06:24:24)

桜衣乃> ふむふむ……ヴエロエルコ……発音が難しいですが、ヴエコちゃんって呼びますね！　私のこともお気軽にイノって呼んでください♪　お話を通じたりお部屋を通じたりしてきっとヴエコちゃんにもメロメロになっちゃうかもしれませんねっ♡   (2023/2/27
06:24:28)

森久保乃々> そういうものではないですけど…月が替わると時の流れを実感してなんというか……つらさがあるんですよ……あれ、このひと月なにしてましたか？百合部屋でごちゃごちゃしてましたとしか言えない…と   (2023/2/27 06:24:50)

ヴエコ> はい、舌が絡まりそうな名前とよく言われます……よろしくお願いしますね、イノちゃん。（ふへー、握手……）いっぱいお話ししてくださいね♪（ぎゅー、）   (2023/2/27 06:25:44)

琴葉茜> そんなうちかて「えっちしすぎてぜんぜん寝る暇ないわー」とか言えるもんなら言うてみたいわ。残念やけど自分のログ履歴みるに、うちのすけべペースはだいたい１～２週に１度くらいのペースやな…。   (2023/2/27 06:25:57)

ヴエコ> 茜ちゃんが物凄く体の相性が良い人と出会えて、起きてる間はずっと繋がってるみたいな妄想をしてしまいました。（ほむ、）   (2023/2/27 06:26:36)

桜衣乃> ふふ、千束ちゃんとお部屋でいちゃつくガヴリールちゃんは甘々してましたもんね♪　ああいうくらいなら乃々ちゃんも歓迎なんじゃないでしょうか♡   (2023/2/27 06:26:55)

琴葉茜> 年度切り替わるたびに定期発生するタスクがな。こう…あほほどある感じやな。まぁお仕事の話は気が遠くなるからさておき、ヴエコさんはいちおう初対面やったか。はじめましてなー。言うのも野暮やけどこのお部屋高低差どうなっとんやろな。   (2023/2/27
06:28:02)

桜衣乃> わっ、はい、よろしくお願いしますっ♡（握手してぎゅーされたら私もおかえしを♡私からはさらにほっぺへのキスもあげちゃいます♡）　ヴエコちゃんとのお話、楽しみにしてますね♡朝はちょっとばたつくので、もしかしたら満足にお話できないかもしれませんが、今すぐにでもお部屋に連れて行ったりしたい気概もありますから…♡
  (2023/2/27 06:28:27)

東北ずん子> 初めてとかそういうのは気にしないのが一番スタイルなので(こくこく   (2023/2/27 06:28:33)

森久保乃々> あれ千束さんだからできた芸風じゃないですかね……もりくぼじゃ勢いに飲まれて食べられるだけになると思うんですけど…   (2023/2/27 06:28:33)

琴葉茜> ないない、さすがにずっとは無理やって。最長でもラブル４部屋くらいやで。   (2023/2/27 06:28:54)

桜衣乃> 高低差……とは？（→あかねちゃん）   (2023/2/27 06:29:05)

東北ずん子> とりあえず乃々さんたべればいいです？(乃々さんの耳元に顔寄せて   (2023/2/27 06:29:07)

森久保乃々> 4部屋やってるだけでも十分恐ろしいですけど…   (2023/2/27 06:29:17)

桜衣乃> 4部屋は私でもやったことないですね……やって3部屋です……   (2023/2/27 06:29:39)

桜衣乃> なので茜ちゃんと4部屋してみたいですね…♡♡♡   (2023/2/27 06:29:54)

東北ずん子> 4時間じゃなくて四部屋って所が笑いどころですね、わかります   (2023/2/27 06:30:00)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 4部屋……んふふぅ♡♡   (2023/2/27 06:30:18)

ヴエコ> あら。お仕事前からこんな可愛らしいお返しをもらっていいのでしょうか……（んへ。お返しのお返しにおでこにちゅ、唇押し付けて）私もいつでも奥のお部屋行けるので、いのちゃんがばたばたしてない時は誘いますね……♡（すりすり、   (2023/2/27
06:30:21)

森久保乃々> 困ったときのもりくぼじゃないんですよ……おつまみ感覚じゃないですか…！   (2023/2/27 06:30:38)

ヴエコ> 本当に４時間に空見したので4部屋と知って戦慄しました。そしてイノちゃんの3部屋発言でさらにびっくりしました。皆さんめっちゃ性欲強いですね……（ぱち、）   (2023/2/27 06:31:00)

ヴエコ> 自分結構長いことやってるけど1.1部屋が限界ですよ……茜ちゃんと潜れば4部屋行けるんでしょうか（くふ、じぃ……）   (2023/2/27 06:31:23)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 部屋数覚えてないけど、2日間色々思考変えながら時間とってしっぽりした事はある。まだまだイケるなと思った   (2023/2/27 06:32:01)

森久保乃々> 意外と4部屋挑戦してみたい勢がいるのが驚きです…   (2023/2/27 06:32:07)

琴葉茜> あぁ、高低差いうのは…ヴエコさんの原作設定の話な。雑に言うとヴエコさんのお住まいから高いとこにいくとヴエコさんがえらいことになるっていう…こういうお部屋で原作設定持ち出すのも野暮やけど、こう、トーク的な意味での軽いジャブみたいな感じで。説明するのだいぶはずいなこれ。
  (2023/2/27 06:32:21)

東北ずん子> タイミングと体力とその場のノリとそのたもろもろ、色々ありますからねー。沢山時間使うより。一緒にいて楽しく出来ればいいんじゃないでしょうか(乃々さんの耳はむ   (2023/2/27 06:32:38)

東北ずん子> ふとんがふっとんだとかそういうボケを説明させるてきなやつでした   (2023/2/27 06:33:09)

ヴエコ> だって4部屋も続くほどねっとりえっちしたら絶対相手のこと好きになっちゃ……（殴）乃々さんが甘々派というのと、攻めが勢い凄いというのは把握したので。ヴエコはいつでもばっちこいですよ！（ぐっ   (2023/2/27 06:33:12)

桜衣乃> （ア゜ッ）…どうしましょう本当に連れて行きたくなっちゃった、1時間も時間ないのに……♡（すり、すり…♡）みなさんが見てる前でキスとかちゅーとかベーゼとかしたいです…♡（じぃぃ…♡）   (2023/2/27 06:33:25)

ヴエコ> 私は原作では【スポイラー】してるので……こう、全部健康になっていきかえりました……！（アビスの意志）   (2023/2/27 06:33:43)

桜衣乃> ふふん、そういうことでしたらあれですよ、どこ○もドアみたいな感じで……   (2023/2/27 06:34:03)

東北ずん子> (ヴエゴさんの原作は見たら本当やばかったからなぁってめそらし   (2023/2/27 06:34:15)

天真=ｶﾞｳﾞﾘｰﾙ=ﾎﾜｲﾄ> 昨日イノちゃん人形とかいう新要素をかいま見た結果それくれ。ダッチワイフに改造するから。って声を上げたくなった(もそもそ   (2023/2/27 06:34:15)

琴葉茜> あ、ずん子ちゃんが良いこと言うたな。長時間やれたら偉いとか、１プレイで何レスできたら偉いとか、そういうのよりお互いにやって楽しく気持ちよくが一番ええかなって…　あ、もちろんその結果４部屋超えるのは全然ありやと思うで♡   (2023/2/27
06:34:18)

ヴエコ> イノさんの性体験豊富で性欲も強い感じが凄く可愛いのです……♥（むぎゅぅ、なでなで……♥）いいですよー……♥（ぁ、む……♥唇合わせて、ちゅぅ……♥甘く吸い付いて。抱き着きながらすりすり体擦りつけて、）   (2023/2/27 06:34:31)

