チャット ルブル [/image/luvul/images_title.gif]/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年06月24日 22時20分 ～ 2023年06月29日 00時21分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

京町セイカ> う、うん…じゃ、じゃあ…//   (2023/6/24 22:20:49)
廣井きくり ◆> 【うん、あぶないプレイだもんね//演出だって理解したうえでやらないと…。お疲れ様ぁ♪】   (2023/6/25 09:29:41)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが退室しました。  (2023/6/25 09:29:51)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが入室しました♪  (2023/6/25 17:04:05)

廣井きくり ◆> ぷはぁ♪//いやー   (2023/6/25 17:04:18)

廣井きくり ◆> ぷはぁ♪//いやー、今週もガンダムの時間がきたぁ♪クライマックスなんだよね…どうなるんだろ…？   (2023/6/25 17:06:02)

廣井きくり ◆> あ…っ…。だめだ…やっぱり疲れが溜まってる…。ゆっくり誰かを待とうかと思ったけど1回寝とかないと…。一度落ちるねー…。   (2023/6/25 17:13:01)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが退室しました。  (2023/6/25 17:13:06)

おしらせ> 京町セイカさんが入室しました♪  (2023/6/25 21:34:46)

おしらせ> 無言時間が25分を超えたため、京町セイカさんが自動退室しました。  (2023/6/25 21:59:52)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが入室しました♪  (2023/6/25 23:14:44)

おしらせ> 無名さんが入室しました♪  (2023/6/25 23:16:40)

無名> こんばんは   (2023/6/25 23:16:50)

廣井きくり ◆> うわー！寝て起きたらこんな時間になってる！？おかげで体調は良くなってまだまだ飲めそうだけど…えへへへぇ…♪……ぷはぁ〜！//（ワンカップのお酒を開けるとゴクゴクって喉を鳴らしながらすぐに一瓶を飲み干して）   (2023/6/25
23:18:38)

廣井きくり ◆> あー、無名ちゃんじゃ〜ん♪げんきぃ？化け物には襲われてない〜？//（酔っ払った勢いで腕をブンブン振りながら挨拶して）   (2023/6/25 23:20:08)

おしらせ> カールスルーエ ◆MSTR.Awjvgさんが入室しました♪  (2023/6/25 23:21:44)

無名> うん大丈夫！さっき私。生駒たちと協力してカバネをやっつけてきたしもう安心だよ（この人いつも酒の匂いする…となりながらも元気に回答する）   (2023/6/25 23:21:47)

カールスルーエ ◆> こんばんは、顔出し程度にお邪魔させていただきますねぇ。…なんだかお酒の匂いがしますねぇ？（まぁそこまで酷くは無いけれども。雰囲気でほろ酔いしそうな部屋の中に入ってきては二人にひらりひらりと手を振って挨拶を。）   (2023/6/25
23:23:30)

無名> こんばんは。だ。だよね？私だけじゃないよね？（いつも酒の匂いがするので戦いすぎて鼻に何かあったと思っていたがそうではなかったのと次に来た来客の言葉で安心する）   (2023/6/25 23:24:22)

廣井きくり ◆> そお？でも油断しないでねー？私もここの仲間が怪我したり死んじゃったりしたら目覚めが悪いからさぁ…。（酔いは回ってるけどそこはちょっと真面目な感じで話して）   (2023/6/25 23:25:00)

無名> そ、そうだね…怪我はちょっとどうしようもできないんだけど流石に死なない様には頑張るよ…仲間の事もそうだけどここの皆には心配掛けたくないからね（うんうん死なないでおこう…と真剣に話す）   (2023/6/25 23:26:20)

カールスルーエ ◆> えぇ、普段私は珈琲を飲む人ですから♪（正月の時はたらふく飲んでいたけれども。） まぁ戦場は無事で済むこと自体奇跡ですからねぇ。（軍人ゆえに生死感はある程度理解している模様。）   (2023/6/25 23:27:18)

廣井きくり ◆> こんばんは〜♪あははははっ、そりゃ私が飲んでるからだよー♪私は廣井きくり…ベースとお酒をこよなく愛するベーシストだよ。よろしくねー？//（次のお酒を開けるとそれを中身が零れそうなくらいに振りながら挨拶して）   (2023/6/25
23:28:09)

廣井きくり ◆> 【あっ、テンシちゃんとの続きしたければ呼んでくるから言ってねー？】   (2023/6/25 23:28:59)

無名> そうそう。戦いなんて毎回命掛けだよ…（言い方的に多分戦闘経験あるだろうと察する）   (2023/6/25 23:29:28)

カールスルーエ ◆> 【その件は無名さんの許可を得ないといけませんからねぇ。あと入りの私がどうこう言えませんし…♪】   (2023/6/25 23:30:23)

無名> 【何かあったかな？もし雰囲気作りたいとかあったら私抜けるからいつでも言ってね！】   (2023/6/25 23:31:10)

廣井きくり ◆> うん、死んじゃうのは絶対だめ……怪我も治療で治せるとこまでだからね？まあ非戦闘時の今は思いっきり楽しも〜♪//（真面目な話が終わるとイエーイって感じで乾杯の動きをして）   (2023/6/25 23:32:16)

無名> そうだね…あんまり無茶しちゃうと私の体もどこまで持つか分からないしさ…きくりの言う通りだよ…だからこそ楽しんじゃお〜（こっちもイエーイと酒…ではなくいつも栄養補給として口に入れている血の入った筒を持って乾杯の動作をする）   (2023/6/25
23:33:37)

カールスルーエ ◆> はぁぃ、こんばんはぁ。私はカールスルーエと言います♪鋼と雪の国アイゼングラートの軍人です♪まぁ戦場にいつもいる訳ではありませんが。
ふふ、命のやり取りは指示ひとつで部隊を全滅することもありますから指示する側も苦労するんですよねぇ。（服装的にはギリ学生…学生？にも見えなく無い服装だったり。）…ふふ、私はお気持ちだけいただきます。お酒を飲んじゃうと眠りに着いてしまいますから♪（くすくす、楽しいことが一番です、なんて…♪）
  (2023/6/25 23:33:39)

廣井きくり ◆> 【えーっとねぇ、カールスルーエちゃんはメスガキ雀士に負けて罰ゲームしないといけないんだって〜♪まあ私はそっちはいつでも大丈夫だから、今はここで遊ぶでも構わないよ♪】   (2023/6/25 23:34:21)

カールスルーエ ◆> 【何かと言うよりは…所謂お昼の続きですねぇ。ちょっとした罰ゲームを掛けたゲームをしていまして、きくりちやんの別キャラに向けての罰ゲームを実行してないので…。（うぐ。）】   (2023/6/25 23:34:59)

無名> 【なるほどね…罰ゲーム？したかったらやっても全然大丈夫だからね！】   (2023/6/25 23:35:53)

廣井きくり ◆> いえーい、カンパーイッ♪//……んっ？何か血の匂いがするぅ〜？誰か怪我しちゃったぁ…？（血の筒とお酒の缶を軽くぶつけるとまた飲み始めるけど、その時血の匂いがしたから周りを見て怪我してる人を探して）   (2023/6/25 23:37:53)

無名> あぁ大丈夫大丈夫！？これ私が飲んでる血だから…これないと私…生きていけないんだ…だから常に持ってるの（誰も怪我してないよ！と支えの言葉をかけてからいただきます…とその筒から血を飲む）   (2023/6/25 23:39:11)

カールスルーエ
◆> …おやおや、随分と難儀な身体ですねぇ、もしかして吸血鬼…でしょうか？（ふむ、と興味深げに眺めつつも。）っと、…来て早々にすみませんが、少しお呼ばれが来ましたのでこのまま失礼しますねぇ。【…ということできくりさん、無名さんとのお話をごゆっくり♪私は少しばかり待ち合わせ部屋にいますがしばらく背後用事を済ませてきますので…♪】
  (2023/6/25 23:41:32)

カールスルーエ ◆> 【ごゆっくり楽しいひと時をお過ごしくださいねぇ。ではお邪魔しましたっ。】   (2023/6/25 23:42:11)

おしらせ> カールスルーエ ◆MSTR.Awjvgさんが退室しました。  (2023/6/25 23:42:13)

廣井きくり
◆> 軍人さんだねー、私の国は戦争とか無いからあんまり想像つかないけど大変そう…。そっかぁ、ハッピーになれるのになぁ//あっ、もしかしてまだ勤務中とか？じゃあジュース飲もう！気分だけでも酔えるから♪//（そう言って取り出したのはノンアルコールのチュウハイ、お酒でフラフラする体で近寄ると手に持って渡そうとして）
  (2023/6/25 23:42:14)

無名> 吸血鬼じゃないよ。私はカバネリ、人とカバネの狭間にあるもの…あ。またねっ（手を振る）   (2023/6/25 23:42:37)

廣井きくり ◆> 血を飲むのが好きなのー？そっか、私にとってのお酒みたいなものだ…！あははははっ♪今度私の血もあげるねー？お金ない時に献血してお菓子貰ったりして血を抜かれるのは慣れてるから〜♪（血に対してあまり抵抗感はなく、へらりと笑いながら）  
(2023/6/25 23:48:22)

廣井きくり ◆> 呼ばれたんなら仕方ないねー、行ってらっしゃーい♪またねー？//（渡そうと思ったチュウハイを引っ込めると手を振って見送りをして）   (2023/6/25 23:49:38)

無名> 好き…なのかな？どうだろう？良いの！？ありがとうっ。それがあったら私も生きていられるし助かるよ。もしそうなったら頂戴（血はカバネリだけではなく人にとっても大事なのでそうなったら有り難く頂こうとする）   (2023/6/25 23:50:08)

廣井きくり
◆> いいよいいよー、抜いた分の血はおつまみでも食べてれば回復するからね…♪……そう言えばさぁ…無名ちゃんは後何年くらいでお酒飲めるようになるのー？3年くらいかなぁ…？（ごくごく…再びお酒を飲み始めると無名ちゃんの背丈とか顔立ちを見て何歳なんだろ？って気になって）
  (2023/6/25 23:57:41)

無名> おつまみで回復するんだ！？凄いね。いや…もっと掛かる…（実年齢は知ってはいるが年齢的にここでその年齢の数字を発言してしまうと灰色の路線に入ってしまいそうなので顔を横に寄せる）でもいつかはきくりと飲んでみたいな。そんなに美味しいんでしょ？気になるよ。  
(2023/6/25 23:59:56)

おしらせ> 高垣楓 ◆346.Rf.llEさんが入室しました♪  (2023/6/26 00:01:12)

高垣楓 ◆> こんばんわ、お酒の時間ですか……（酒瓶を手にふらふらと面白そうにやってきて覗き込んで）   (2023/6/26 00:01:46)

おしらせ> 中原ミズキさんが入室しました♪  (2023/6/26 00:04:58)

中原ミズキ> お酒の時間よ～♡(こちらもドアをバン！と開けて)   (2023/6/26 00:05:17)

廣井きくり
◆> もっと？女子高生くらいだと思っ待てたけどやっぱり若いんだね〜。うーん、美味しいかと言われると……私は最初のうちは不味っ！って思いながら飲んでたけど、飲み続ける内に苦さとかクセとかが気にならなくなったよ//最終的には美味しくなるから、飲めるようになったら飲もうねぇ♪//（年齢聞かれたくないのかなって思うと話題をお酒の味の方に変えて、あははって微笑みながら）
  (2023/6/26 00:06:37)

無名> 最初不味ってなるの！？いやでも今凄い美味しそうに飲んでるからそのクセになるっていうのは本当なのかもね…うんっ！私、きくりと飲めるの楽しみにしているよ（お酒の話題に変えてくれたので心の中で「ありがとう」となる）   (2023/6/26
00:09:09)

廣井きくり ◆> なっ…（一気に入ってきた飲酒軍団に一時だけ驚いたけど）やった〜、ハッピーアワーだぁ♪//えへへへへぇ、どんどん飲も〜♪（と言って手に持ってるワンカップを二人に向けて乾杯をしようとして）   (2023/6/26 00:09:50)

高垣楓 ◆> まぁまぁ美味しいかどうかと言ったら美味しくなるまで飲んでしまえばいいんですよぅ（よくはわかりませんけれど二人の両肩に手を回して、その手元に酒瓶が釣り下がる酔っ払いムーブで覗き込む）   (2023/6/26 00:10:10)

無名> おぉいらっしゃ〜い（新しく入ってきた二人に挨拶をする）   (2023/6/26 00:10:48)

中原ミズキ> 乾杯～♡(月曜日なんだから飲まないとやってけないわよね～♡とがぶ飲み)   (2023/6/26 00:11:14)

おしらせ> 鳥羽美波 ◆7vf5eHDwX2さんが入室しました♪  (2023/6/26 00:13:45)

廣井きくり ◆> かんぱーい♪……ぷっはぁ♡そーいえばさぁ、ミズキはお酒はじめて飲んだ時美味しいと思ったぁ…？//（つられてワンカップをイッキした後、更にフラフラになりながら聞いて）   (2023/6/26 00:14:03)

中原ミズキ> え～♡美味しい美味しい♡堪んないわよねこれ～♡(何時だったかは忘れたけどね～♡と既に顔が真っ赤で)   (2023/6/26 00:15:31)

鳥羽美波 ◆> こんばんわ〜、賑わってますね〜（500ml缶ビールの入った袋を手に来ては周りの様子を見てクスリと笑みを浮かべて）   (2023/6/26 00:15:35)

中原ミズキ> ほんとに全員集まったわねぇ！？   (2023/6/26 00:15:40)

無名> こんばんは   (2023/6/26 00:16:21)

高垣楓 ◆> 最初に飲むときは美味しいかどうかよりびびーると思いますよぅ   (2023/6/26 00:18:15)

中原ミズキ> あ、そゆこと？飲んだあとはたまんないわよねって♡   (2023/6/26 00:18:39)

廣井きくり ◆> そーそー、不味くてもそのうちに抜け出せなくなるからぁ♪よーし、私も血を飲む練習していつか一緒に飲めるようになっておくね〜♪//（ノリ良く楓さんと肩を組んだ後、ちょっと横に揺れたりしてみながら無名ちゃんと話して）   (2023/6/26
00:19:14)

中原ミズキ> 血は飲まない方がいいと思うケド！？   (2023/6/26 00:20:17)

鳥羽美波 ◆> せっかくですし…私も仕事上がりの一杯をと思って来ちゃいました……♪早速…かんぱ〜い♪（ビールを取り出しては缶を開けて一気にグイグイと飲んでいき顔も赤くなり少し酔いが回りふらついていて）   (2023/6/26 00:20:33)

無名> ありがとうっ。でもきくりはカバネリじゃないみたいだから無理はしないでね？（一緒に血を飲むのは生駒ぐらいしか相手がいなかったのでそれはそれで楽しみだがそれと同じく人間が血を飲んだ場合の事も考える）   (2023/6/26 00:21:16)

廣井きくり ◆> そっかー、ミズキくらいになると初めて飲んだ時の記憶とか無くなるんだー？//まあ今美味しく飲めればオッケーだぁ♪//（そう言えば年上だったっけと思い出せばちょっとデリカシーの無い発言をして）   (2023/6/26 00:21:52)

高垣楓 ◆> このお酒のために全ての日常があるというものですからね（ビールフェスに合わせて数日仕事をオフにするトップアイドル）   (2023/6/26 00:24:08)

廣井きくり ◆> あー、いつかの先生だぁ♪いらっしゃーい♪イッキイッキ〜♪//（早速飲み始めたのを見るとちょっと囃し立てるように言いながら手を叩いて）   (2023/6/26 00:24:13)

中原ミズキ> や～♡そもそもこちとら28よ28！8年前の記憶なるてあるわけないわよ～♡(デロンデロンに良いながらもイッキコールに答えて)   (2023/6/26 00:25:25)

廣井きくり ◆> びびーる…あはっ♪あははははっ♪やばぁ…もうお腹痛くて死んじゃいそうなんだけどっ//（かなり酔いが回っててちょっとの事でも吹き出す始末に）   (2023/6/26 00:28:00)

鳥羽美波 ◆> ぷはぁ！そう…ですね〜///（一気飲みしては完全によっては少し壁に持たれながらも座り）   (2023/6/26 00:28:47)

中原ミズキ> ちょっと何笑ってるのよアンタ～♡(デロンデロンになり床に寝転がり)   (2023/6/26 00:29:06)

廣井きくり ◆> だよね〜っ♪//八年は私は女子高生で…教室の隅で大人しくしてた記憶しかないし…。（ずーん）おー！良い飲みっぷりぃ♪//（落ち込んだけど二人のイッキ飲みを見るとまたテンションが上って、負けじとまたお酒をぐびくび飲みながら）  
(2023/6/26 00:30:43)

廣井きくり ◆> あー…やばいなぁ…そろそろ寝ないとなのに楽しすぎぃ…//でも…さすがに戻って先輩の家のお風呂借りないと……。みんな…おやすみぃ…//   (2023/6/26 00:32:14)

高垣楓 ◆> そうですねぇ…お酒を飲んでると年齢も時間も忘れてしまいます。……何年も２５歳をやってる気になってきました……（１２年くらい）   (2023/6/26 00:32:45)

中原ミズキ> 8年前……私は学校行ってないけど……(目逸らして)   (2023/6/26 00:32:46)

中原ミズキ> んあ、お疲れ様～   (2023/6/26 00:32:54)

廣井きくり ◆> 【月曜日との戦いがあるから今日はこのくらいにしとくねー？お休み〜♪】   (2023/6/26 00:33:00)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが退室しました。  (2023/6/26 00:33:03)

無名> 私もそろそろ落ちるね？皆ありがと〜   (2023/6/26 00:33:19)

中原ミズキ> 現実逃避！？あんたもいずれ30になるのよ～♡(ムギュっとだる絡みして)   (2023/6/26 00:33:23)

おしらせ> 無名さんが退室しました。  (2023/6/26 00:33:24)

高垣楓 ◆> はい、お二人ともおやすみなさいませ   (2023/6/26 00:33:53)

中原ミズキ> 見事にダメ大人ばっかね～♡残ったのは   (2023/6/26 00:35:22)

おしらせ> ジル・ワーリックさんが入室しました♪  (2023/6/26 00:36:16)

高垣楓 ◆> 私はただの２５歳児ですから…この泡の出る麦ジュースが好きなだけですよー（ごくごく）   (2023/6/26 00:36:22)

ジル・ワーリック> お邪魔しますね…このような時間にも人がいるのね…   (2023/6/26 00:36:28)

鳥羽美波 ◆> お疲れさまです〜（軽く伸びをして）   (2023/6/26 00:36:36)

中原ミズキ> 私も28歳児～♡(ぐびぐびしながらもアルコールだらけの匂いに)   (2023/6/26 00:37:07)

鳥羽美波 ◆> あ…こんばんわ〜（座ってつまみに用意していた柿の種を少し食べつつビールを飲んていて）   (2023/6/26 00:38:47)

中原ミズキ> ここは居酒屋だからあんたも飲みなさいよね～♡(枝豆を食べながらも瓶を持って)   (2023/6/26 00:40:04)

ジル・ワーリック> あ、はい。こんばんは。よろしくお願いしますね。   (2023/6/26 00:40:10)

高垣楓 ◆> ここには人がいるんですかー虎はいっぱいお見かけしますねー（缶を空にしつつ）   (2023/6/26 00:42:19)

中原ミズキ> 虎！？食べられちゃーう♡   (2023/6/26 00:44:10)

ジル・ワーリック> トラ…軍用獣でもいらっしゃられるのですか？   (2023/6/26 00:44:43)

鳥羽美波 ◆> そうですよ〜♡とはいえ……気楽に飲み食いできればいい気もしますが…♪虎……♪そんなにいっぱい……♡（再び缶ビールを開けては飲んでかなり酔いが回り視界もくらつき虎と聞いてはびくりとして）   (2023/6/26 00:46:37)

高垣楓 ◆> 虎虎虎です（飲酒組を指先ながら）紀州に成功しましたー（おつまみ代わりに梅干し）   (2023/6/26 00:47:37)

ジル・ワーリック> なるほど……？酒飲みの隠語ということですね。   (2023/6/26 00:48:04)

中原ミズキ> じゃあ私はタカとトラとバッタ～♡(デロンデロンになりながらも視界がグラングラン)   (2023/6/26 00:48:12)

鳥羽美波 ◆> ぷはぁ……！ひっく……（今度はコッヘルにキャンプに使うガスバーナーを取り出してはラム酒をコッヘルに入れて温め始めて）   (2023/6/26 00:51:06)

中原ミズキ> あー♡ねむねむ～♡   (2023/6/26 00:54:58)

中原ミズキ> 誰が私の火照りを癒しなさーい♡(手を広げ)   (2023/6/26 00:58:39)

鳥羽美波 ◆> ん……ぅ…ぷはぁ…あ……皆さんも飲みます〜……♡（コッヘルから温まったラム酒をマグカップに入れて飲んではホッとしてはふと人数分用意するべきだったかと思い）   (2023/6/26 01:00:52)

中原ミズキ> 飲む飲む～♡   (2023/6/26 01:01:47)

高垣楓 ◆> そうですねぇ…一息つきましょうかー（はーいと手を上げて）   (2023/6/26 01:02:10)

ジル・ワーリック> 眠いなら無理せずに……？   (2023/6/26 01:02:14)

鳥羽美波 ◆> これはシナモンを掛けると凄く美味しいですよ～、これでホットラム酒の出来上がりです〜（マグカップにコッヘルから温まったラム酒を人数分入れつつシナモンを軽くふりかけて混ぜて完成し）   (2023/6/26 01:04:41)

中原ミズキ> 気が利くわね～(這いずりながらもラム酒を飲み)   (2023/6/26 01:07:04)

おしらせ> ヘキサさんが入室しました♪  (2023/6/26 01:08:16)

ヘキサ> こんばんはっ   (2023/6/26 01:08:40)

ジル・ワーリック> ええ、こんばんは。   (2023/6/26 01:10:06)

中原ミズキ> ダメ大人の巣窟にようこそ～♡   (2023/6/26 01:10:29)

鳥羽美波 ◆> こんばんわ〜♡   (2023/6/26 01:10:48)

中原ミズキ> 眠いわね～♡   (2023/6/26 01:17:49)

ヘキサ> ダメ大人…？(首傾げ)   (2023/6/26 01:17:55)

ジル・ワーリック> 酒盛りに興じているようです。   (2023/6/26 01:18:53)

鳥羽美波 ◆> お酒のせいか少し眠気が来てますね～……♡コッヘルやバーナーを片付けてから軽く横になり）   (2023/6/26 01:19:12)

中原ミズキ> 添い寝させなさい～♡(横になった所に抱きつき)   (2023/6/26 01:20:26)

ヘキサ> あ…明日仕事なのにお酒飲んでたら、それは確かにダメ大人かも。というかみんな初めまして！   (2023/6/26 01:20:58)

中原ミズキ> 初めまして～♡ミズキでーす♡   (2023/6/26 01:22:19)

鳥羽美波 ◆> 構いませんよ～♡（クスリと笑みを浮かべて）   (2023/6/26 01:22:39)

鳥羽美波 ◆> 私は鳥羽美波です…♪一応高校の教師をしてますよ〜（ヘキサに名前を名乗り優しく微笑み）   (2023/6/26 01:24:20)

中原ミズキ> やっさしい～♡好き好き～♡(後ろから胸を押し付けながらうとうと)   (2023/6/26 01:24:24)

ジル・ワーリック> はじめまして、ジルと申します。   (2023/6/26 01:24:38)

中原ミズキ> よろしく～   (2023/6/26 01:25:49)

おしらせ> 無言時間が25分を超えたため、高垣楓 ◆346.Rf.llEさんが自動退室しました。  (2023/6/26 01:27:11)

ヘキサ> 私はヘキサです。訳あって名前以外の事、全部覚えてなくて…いわゆる記憶喪失だけど、仲良くしてくださいっ。   (2023/6/26 01:28:08)

中原ミズキ> 訳アリの子はたくさんだから気にしないわね～♡   (2023/6/26 01:29:11)

ジル・ワーリック> そうですね、私もワケアリの身の上、仲良くしてくださると嬉しいわ？   (2023/6/26 01:30:10)

中原ミズキ> はーい♡   (2023/6/26 01:33:22)

ヘキサ> はーい！   (2023/6/26 01:35:13)

中原ミズキ> 寝た人多そうね？   (2023/6/26 01:36:29)

ヘキサ> 私は起きてるよっ？   (2023/6/26 01:42:02)

中原ミズキ> ほか2人が…   (2023/6/26 01:42:09)

ヘキサ> (袖ふりふりしながら腕振り)   (2023/6/26 01:42:22)

中原ミズキ> 合掌…   (2023/6/26 01:43:50)

ヘキサ> 人   (2023/6/26 01:44:23)

中原ミズキ> あ、ダメ私も眠い……   (2023/6/26 01:46:51)

おしらせ> 無言時間が25分を超えたため、鳥羽美波 ◆7vf5eHDwX2さんが自動退室しました。  (2023/6/26 01:49:26)

ジル・ワーリック> 実は起きています。   (2023/6/26 01:49:41)

中原ミズキ> 起きてたわ……   (2023/6/26 01:51:03)

ジル・ワーリック> えぇ、でも無理せずに寝てください。   (2023/6/26 01:51:46)

ヘキサ> 部屋のドアちゃんと閉めてたはずなのに、気がついたら1センチくらい開いてた…怖い…   (2023/6/26 01:52:14)

ジル・ワーリック> それは…不気味ね…   (2023/6/26 01:57:22)

中原ミズキ> ごめん～おやすみなさい～   (2023/6/26 01:57:41)

おしらせ> 中原ミズキさんが退室しました。  (2023/6/26 01:57:49)

ジル・ワーリック> ええ、おやすみなさい。   (2023/6/26 02:00:37)

おしらせ> 無言時間が25分を超えたため、ヘキサさんが自動退室しました。  (2023/6/26 02:17:46)

おしらせ> ジル・ワーリックさんが退室しました。  (2023/6/26 02:23:43)

おしらせ> ガヴリールさんが入室しました♪  (2023/6/26 12:19:35)

ガヴリール> お昼休みに~っ。   (2023/6/26 12:19:44)

おしらせ> 無言時間が25分を超えたため、ガヴリールさんが自動退室しました。  (2023/6/26 13:02:52)

おしらせ> ガヴリールさんが入室しました♪  (2023/6/26 13:19:07)

ガヴリール> ねむ、ぅ   (2023/6/26 13:19:12)

おしらせ> 無言時間が25分を超えたため、ガヴリールさんが自動退室しました。  (2023/6/26 13:44:26)

おしらせ> ガヴリールさんが入室しました♪  (2023/6/26 14:26:43)

ガヴリール> お昼間から元気~…( ふぁぁ。   (2023/6/26 14:26:58)

おしらせ> 無言時間が25分を超えたため、ガヴリールさんが自動退室しました。  (2023/6/26 14:55:16)

おしらせ> 桜花あさひ ◆gAmHDzY8Wcさんが入室しました♪  (2023/6/26 23:18:14)

桜花あさひ ◆> こんばんはだぁ♪   (2023/6/26 23:18:18)

おしらせ> 無言時間が25分を超えたため、桜花あさひ ◆gAmHDzY8Wcさんが自動退室しました。  (2023/6/26 23:49:09)

おしらせ> ジル・ワーリックさんが入室しました♪  (2023/6/28 10:33:21)

ジル・ワーリック> 少しお邪魔をば……。暑いわね……この時期ともなると。ここにはまだエーテルもあるし……（ブリザドを唱えれば小さな氷塊を自分の周りに並べて涼をとって）   (2023/6/28 10:34:42)

おしらせ> 無言時間が25分を超えたため、ジル・ワーリックさんが自動退室しました。  (2023/6/28 11:38:32)

おしらせ> 無名さんが入室しました♪  (2023/6/28 21:44:31)

おしらせ> 無言時間が25分を超えたため、無名さんが自動退室しました。  (2023/6/28 22:24:40)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが入室しました♪  (2023/6/28 22:30:21)

廣井きくり ◆> ……おしっこぉ…//（外で夜風に当たりながら飲んでいたら尿意を感じてしまい、トイレを借りようとプルプル震えながら部屋に入り）   (2023/6/28 22:32:42)

おしらせ> 無名さんが入室しました♪  (2023/6/28 22:44:14)

無名> 厠…厠！（戦いすぎてトイレに行ってなかったせいでトイレを利用したくなり部屋に入ると知っている人物を見つけたので話しかけてみる事にする）あれきくり？   (2023/6/28 22:45:21)

廣井きくり ◆> あれー？無名ちゃんこんばんは♪もしかして…無名ちゃんもおトイレ…？//（一つしかないトイレに向かって早足で進もうとしたところで無名ちゃんに会うと尿意で顔が引きつるのを我慢しながら）   (2023/6/28 22:49:25)

無名> そ。そうだよ…あぁきくり先入って良いよ！？私は後でいいからさっ。ねっ？（自分も早くトイレを利用したいがきくりの顔がいつもと違って若干辛そうになっているのでここは空気を読んで先を譲ってあげようとする）   (2023/6/28 22:51:35)

おしらせ> 京町セイカさんが入室しました♪  (2023/6/28 22:56:05)

京町セイカ> こーんばんはー…ってなになにバタバタしちゃって   (2023/6/28 22:56:27)

廣井きくり
◆> いいのっ？わー、ありがと〜♪//この恩は絶対忘れないからね…♪（トイレの順番を譲って貰うと本当に漏れちゃいそうで切羽詰まってたのもあり、素直に好意に甘えて扉の中へ入って）ﾁｮﾛ…ﾁｮﾛﾛ…♡……はふぅ…♡いやぁ〜…あぶなかったぁ…。本当にありがとね〜♪（ワンピースの下を捲くって下着をずらすと、薄いドア越しに水音が伝わるのも気にせずに溜まってたおしっこを出しながらドアの向こうにお礼を言って）
  (2023/6/28 22:57:56)

廣井きくり ◆> あっ、セイカちゃん♡こんばんは〜♪……ﾁｮﾛ…ﾁﾛﾛﾛﾛ…//（ドア越しにセイカちゃんの声が聞こえたから挨拶を返すけど、声を出すのと同時におまたから黄金色の液体も漏れちゃって）   (2023/6/28 23:00:19)

無名> そんなに言う事ないって〜…（早く使いたかったにも関わらず人に譲ってあげたので本来は誇る事なのかもしれないが自分的にはここでは譲ってあげるのが当然と思っていたので遠慮気味で）大丈夫だよ〜ゆっくり使ってね〜（「綺麗な人でもやっぱりするんだ…」と何故か真剣に水温を聞いてしまっている…）
  (2023/6/28 23:01:09)

無名> こ、こんばんは〜   (2023/6/28 23:01:35)

京町セイカ> も、もうっ！トイレ済ませてからでいいから！(はしたない音と共に声をかけてくるきくりちゃんに顔を赤ながら…)無名ちゃんもこんばんは、今日もお疲れ様でした   (2023/6/28 23:02:26)

無名> こんばんは。今日もお疲れ様   (2023/6/28 23:06:00)

廣井きくり
◆> だってさぁ、譲って貰わなかったら漏らしちゃってたもん//そうなったらどんなにお酒飲んだってハッピーに慣れてなかったかもだよ…//（おしっこが止まったのを確認するとトイレットペーパーに手を伸ばして巻取りながら、無名ちゃんに譲らなきゃいけないのにゆっくり使って）
  (2023/6/28 23:09:28)

廣井きくり ◆> えへへぇ…はーい♡ん…しょぉ…。（巻き取ったペーパーを使っておまたやその上のヘアをキレイに拭き、全部終わると立ち上がって下着を戻す音がしゅるっ♡て聞こえて）   (2023/6/28 23:11:59)

無名> そろそろかな…（「ごめん…まだかなぁ」と思いつつも言ったらきくりを心配させてしまうので絶対に言わないでおいている）   (2023/6/28 23:14:36)

廣井きくり ◆> ごめんごめん…もう出るからねー？……おまたせ〜♪あっ…？（手を洗ってからノブに手をかけると早く代わってあげようと外へ出て、でもその時にお酒の影響で足がもつれると無名ちゃんの方へ倒れていって）   (2023/6/28 23:17:38)

無名> おぉ〜とっと！大丈夫！？（やっと入れる！と思っていたがまさかの緊急事態発生できくりが倒れそうになってしまったので危ない！とそっと両手で抱えてあげて床に倒れるのを阻止する）   (2023/6/28 23:19:45)

