/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月21日 11時23分 ～ 2022年12月22日 05時41分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

紲星あかり> つまり、ひとりさんはサンドバックと…   (2022/12/21 11:23:31)
廣井きくり> じゃあ私は六花ちゃん拐う～～～。（危険）ええー、軽く叩いただけで吹っ飛びそうな反応するのにぃ。（ッパーン！パーン！）お金はやめて……？ね、お願い。（捨てられた猫の顔ー）   (2022/12/21 14:16:15)

渋谷凛 ◆> 撫でられただけで好きになるというやつだね……あっさりと女の子を落とすハーレム的なことでよく言われるよ＜なでぽ   (2022/12/21 14:16:21)

結月ゆかり> 部屋はありますよ！さぁカモン！   (2022/12/21 14:16:42)

結月ゆかり> ……アリですね(90分15000円)   (2022/12/21 14:17:10)

渋谷凛 ◆> なんか普通にみんなが連れまわす雰囲気になってきたから、本当に連れてっちゃおうか…（みみ……？なんて犬耳でも付けそうなところ撫でて）＞乃々   (2022/12/21 14:17:35)

後藤ひとり> で、では失礼します……   (2022/12/21 14:17:36)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/21 14:17:40)

小春六花> え゛……もういくの！？まじで！？多分それは廣井さんの一撃に容赦だけなんよ！！！（ぐぇぇ……っ！！）じゃあ人の家をネカフェにするのやめーや！（ぐわぉー！）   (2022/12/21 14:18:07)

小春六花> ふたりともデリってらー！   (2022/12/21 14:18:19)

結月ゆかり> …じゃ青崎に失礼します(良い笑顔)   (2022/12/21 14:18:22)

おしらせ> 結月ゆかりさんが退室しました。  (2022/12/21 14:18:25)

森久保乃々> ふたりともいってしまった…これはもうそういう流れ…？お昼からこんないかがわしいこといいのでしょうか…（ぐるぐる）   (2022/12/21 14:19:27)

渋谷凛 ◆> やっぱり…4コマの狂気はすごいね……（ずんちゃんといっしょ）   (2022/12/21 14:19:32)

渋谷凛 ◆> お昼からというか時間があるかどうかじゃないかな   (2022/12/21 14:20:17)

小春六花> 小春六花の公式ツイッターもよろしくね！   (2022/12/21 14:20:35)

廣井きくり> まだ飲んでていいの！？やったーー！！（時間が早いとの事でお酒追加ー！ごきゅ、ぐび、ずずず…）じゃあー…何ならいいのさ！（わーん！）   (2022/12/21 14:20:39)

森久保乃々> まあ…もりくぼはまだ時間ありますけど…   (2022/12/21 14:22:03)

渋谷凛 ◆> じゃあなくなるまでだね（はいと軽く促して用意と）　……ここは酒界に沈みそうな雰囲気はあるよ……   (2022/12/21 14:22:57)

小春六花> おかしいなぁ！飲むなぁ！！！というか今日も泊まるの！？まじで行ってるの！？（やめて、って腕にしがみつこうと）そもそもそんな頻繁に泊まるものじゃないんだわぁ！（ぐわーん）   (2022/12/21 14:23:33)

森久保乃々> もりくぼ、大人になったらああいうのだけはならないようにします…じゃあ凛さん、お願いしますね…？   (2022/12/21 14:24:37)

渋谷凛 ◆> それじゃいこっか（手を取り二人でと）　…色んな意味で仲良くね？（二人で酔っ払いにかなとすすと逃げる感じで）   (2022/12/21 14:25:39)

小春六花> どうしてみんなわたしをみすてるんですか…？（   (2022/12/21 14:25:44)

渋谷凛 ◆> 未成年が巻き込まれるわけにはいかないからね（頑張ってねと手を振りつつ）   (2022/12/21 14:26:20)

小春六花> あれぇ……わたしも未成年……   (2022/12/21 14:26:41)

森久保乃々> もりくぼ、いってきます…（六花さん、お達者で…！）   (2022/12/21 14:26:49)

渋谷凛 ◆> 10年くらい未成年やってる気はするけれど（ぼそり）   (2022/12/21 14:27:24)

廣井きくり> 飲むなってことは泊まれってこと！？（止められたからって止まらない！ぷーはーっ！！）あははは！確かに！まるでホームレスじゃん私。……ぐすっ。（情緒不安定）   (2022/12/21 14:27:46)

おしらせ> 森久保乃々さんが退室しました。  (2022/12/21 14:27:55)

おしらせ> 渋谷凛 ◆346.Rf.llEさんが退室しました。  (2022/12/21 14:28:02)

小春六花> あれ、私何言ってもだめ？（とりあえずとまれぇぇえ……！！！！）なんでそんなに情緒壊れてるの！？壊れてていいのは私くらいでしょぉ！！？   (2022/12/21 14:30:02)

廣井きくり> お酒と私、どっちを取るの～～？？（止まらないお酒！！）ふづがよいだがら、がなぁ……。六花ちゃんが、づめだい……。（泣き上戸ー）   (2022/12/21 14:33:06)

小春六花> え、これもしかしてどっちもいらないって選択肢あったりす？（うでにぶらさがりっか）二日酔いならローテンションで味噌汁でもすすってろぉ！！！！！迎え酒でテンション壊すんじゃあない！！！！   (2022/12/21 14:35:00)

廣井きくり> あ、重い。（支え切れなかった腕。無情。）そんな選択肢はないかなぁ。私は六花ちゃんor六花ちゃんな訳だし？（肩ぐるぐる）んだよぉ、大人には色々あんだよぉ！！味噌汁作ってくれないじゃん！！（だめだめベーシスト）   (2022/12/21
14:39:47)

小春六花> とまったぁー……ぜぇー……ぜぇー………。おかしいなぁ！昨日初対面なんだよなぁ！！なんでそんなぞっこんなの！？（ぬわーん)あるかぁ！？いろいろにあるのお酒のアルコール濃度の差しかなくないかー！？味噌汁は約束してないので！（ダメダメがすぎる！）  
(2022/12/21 14:42:24)

廣井きくり> うーん……。うーーーん………。理由とかないや、あはは！（ウケるー）じゃあ今約束、お味噌汁作って？六花ちゃん。（ゆびきりげんまーん）   (2022/12/21 14:45:12)

小春六花> こわい！！！！.wav 　え、えぇー……今日はもう呑まないなら……？（うーん   (2022/12/21 14:47:04)

廣井きくり> ……、………。あははー！（さむずあーっぷ！）   (2022/12/21 14:51:15)

小春六花> 人の味噌汁ツマミにするきだーーーーーー！！！！！！   (2022/12/21 14:53:46)

廣井きくり> 駄目ぇ？（にゃんにゃん顔）   (2022/12/21 14:54:54)

小春六花> なにもよくないが！酔い醒ましの味噌汁で酔うのはほんまつおぶてんとう！だが！   (2022/12/21 14:55:49)

廣井きくり> 酔い醒めちゃったらどーせ飲み直すし、意味無くない？（肩ぽん）   (2022/12/21 14:59:08)

小春六花> 飲み直すなら作らないんですから、意味はありますよね（肩ぽむー）   (2022/12/21 15:01:32)

廣井きくり> 六花ちゃんのけち～～！飲まなきゃいいんでしょ、飲まなきゃ！（むっすー！）   (2022/12/21 15:02:53)

小春六花> 部屋が酒気帯びるのはいやなんですーーー！！！（むいいい   (2022/12/21 15:03:23)

廣井きくり> んもー、私なんてアルコールの塊だよ？アルコールの擬人化だよー？仕方ないなあ、六花ちゃんに免じて飲まないでいてあげる。（はふん、上からめせーん）   (2022/12/21 15:05:29)

小春六花> おかしいなぁ……もう浴びるほど飲んだあとなんだよなぁ……それで遅くなりましたけど私たちもまた、わたしんちいくんです？（なんか行く前提になってるけど。）   (2022/12/21 15:06:51)

廣井きくり> 迎え酒はノーカンだから！んぅー、……みんな行っちゃったしなー。ちょっと眠いし、ホテル六花ちゃんきぼー！（挙手ー）   (2022/12/21 15:10:21)

小春六花> 迎え酒もカウントされてるのよ……？普通は。普通に、絶対に。　じゃあとりあえずまた用意したからー……（ずるずる   (2022/12/21 15:11:26)

廣井きくり> んぅー、楽でいいやー！（引き摺られる大人）   (2022/12/21 15:13:36)

おしらせ> 廣井きくりさんが退室しました。  (2022/12/21 15:13:45)

おしらせ> 小春六花さんが退室しました。  (2022/12/21 15:14:11)

おしらせ> 八重神子 ◆zj4nGVXxckさんが入室しました♪  (2022/12/21 15:39:43)

八重神子 ◆> ふぅ、次の仕事までの空き時間に少しだけ休んでいくとするかのぅ……（疲れた様子の巫女服おねーさん、この後もすぐ出ねばならんしのぅ、と溜め息まじりに呟いて）   (2022/12/21 15:40:39)

おしらせ> 無言時間が25分を超えたため、八重神子 ◆zj4nGVXxckさんが自動退室しました。  (2022/12/21 16:05:54)

おしらせ> ヤクさんが入室しました♪  (2022/12/21 18:20:28)

ヤク> 今日はちょっとだけ、私もおさぼりおねえさん。みんな元気そうで、見ていて羨ましくなっちゃう。（しーっ、ナイショよ？ナイショ。）   (2022/12/21 18:21:53)

ヤク> もしかすると、奥のお部屋…まだみんな使ってて、こっちには来ないかも？　若いっていいわね…♪   (2022/12/21 18:29:35)

おしらせ> 無言時間が25分を超えたため、ヤクさんが自動退室しました。  (2022/12/21 19:26:22)

おしらせ> 結月ゆかりさんが入室しました♪  (2022/12/21 21:32:42)

結月ゆかり> さっっむ。(ぶるり)…日中の暖かさは何処へやら。ゆかりさんは此処に居ますが！いやーよく寝た。…時間的なお話ではそんな長くもないですけど…(んーっと背伸びしつつ腰を回したり、こきこき)   (2022/12/21 21:34:57)

結月ゆかり> …あど30分ってところでしょうか。(チラり)まぁ、そういう事なので誰かに来られても即離脱な気しかしませんね！   (2022/12/21 21:37:07)

おしらせ> 悠理♀さんが入室しました♪  (2022/12/21 21:37:27)

悠理♀> こんばんは   (2022/12/21 21:39:19)

おしらせ> 悠理♀さんが退室しました。  (2022/12/21 21:40:06)

結月ゆかり> ん。ご飯買っていきましょうか…(するり)   (2022/12/21 21:50:39)

おしらせ> 結月ゆかりさんが退室しました。  (2022/12/21 21:50:41)

おしらせ> レムさんが入室しました♪  (2022/12/22 00:57:37)

おしらせ> 中野一花さんが入室しました♪  (2022/12/22 00:58:14)

レム> こんばんは…♪ 今夜は賑わっていないのですね…   (2022/12/22 00:59:32)

中野一花> わー…今日は静かだなぁ…   (2022/12/22 01:01:49)

中野一花> ……さーてとっ、何か飲み物あったかな〜…(ケトルを片手に、インスタントの粉を探そうと歩き回り)   (2022/12/22 01:13:51)

レム> すみません… 着信が入ってしまっていて戻りました…♪ 今夜はお静かです…♪   (2022/12/22 01:15:04)

中野一花> だね〜…？(あまりにも静かなこの部屋に寂しさを感じながらも、誰かがいることには安堵を覚えていて)   (2022/12/22 01:16:47)

レム> レムはもう少し賑やかなお部屋がお好きなんですけどね…♪ (ソファに座り込んで微笑んでいます♪)   (2022/12/22 01:26:15)

中野一花> まぁ、賑やかすぎるのも難点ではあるけど♪(手元のティーカップに、ミルクティーを一杯注いで戻ってきて。レムちゃんの目の前にそれを置けば、召し上がれーなんて)   (2022/12/22 01:30:02)

レム> とても良い香りです…♪ いただきます… (ティーカップを持ち口に運んで一口…) 美味しいです…♪   (2022/12/22 01:37:01)

中野一花> インスタントだからいつでも飲めるからね〜(ミルクティーをに口をつけたのを確認すれば、部屋着を脱いでパジャマに着替えてt   (2022/12/22 01:40:59)

レム> 相変わらず一花様は周りを気にせずにマイペースなんですね…♪ (部屋着をその場で脱いでパジャマに着替える一花様を眺めていて)   (2022/12/22 01:45:16)

中野一花> 今は2人きりだしね〜。それに、レムちゃんは良い子だし大丈夫かな〜って思ってさ♪   (2022/12/22 01:47:45)

レム> レムが良い子…フフッ、ほんとは悪い子かもしれませんよ♡   (2022/12/22 01:50:52)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/22 01:52:44)

後藤ひとり> 寝る前に少しだけ……   (2022/12/22 01:52:50)

中野一花> レムちゃんが悪い子なら、お姉さん今頃あの時の仕返しをされてると思うけどなぁ〜♪(揶揄うように、くすくすと笑って)ひとりちゃんは無茶したらダメだよ？   (2022/12/22 01:53:13)

レム> ひとり様もいらっしゃいませ♪   (2022/12/22 01:53:53)

後藤ひとり> は、はい気をつけます……   (2022/12/22 01:54:35)

レム> 仕返しですか…？　それではお姉様の綺麗お胸でも揉んで仕返しをしてしまいましょうか♡ (むふふーって満面の笑顔で貴女の前には近寄って両手を閉じて開いてを繰り返していて♥)   (2022/12/22 01:58:44)

中野一花> わお…おっぱいが好きな子がもう1人…♪(ねー、ひとりちゃん？とすこし視線を送って)   (2022/12/22 02:02:52)

後藤ひとり> わ、私ですか！？おっぱい好きですけど………♡   (2022/12/22 02:03:57)

レム> ひとり様はおっぱい星人ですもんね♡ ひとり様のお胸も魅力的ですよね…♪   (2022/12/22 02:08:34)

後藤ひとり> おっぱい星人！？……そ、そういうレムさんこそ素敵な胸ですよ……♡   (2022/12/22 02:09:36)

おしらせ> ライネスさんが入室しました♪  (2022/12/22 02:09:51)

中野一花> 揉んでみても良いけど…仕返ししちゃうからね？(ほらほら〜と手招きしつつ…)   (2022/12/22 02:09:52)

ライネス> （皆で胸談義しているって扉の影から…ぐぬぬ。大きい奴らめ…）   (2022/12/22 02:10:28)

後藤ひとり> 私もですか………(手招きされて傍へ)   (2022/12/22 02:11:45)

後藤ひとり> な、なんか怖い気配を感じます……   (2022/12/22 02:11:56)

レム> レムのお胸ですか？(両手でお胸を合わせて谷間を強調させてみます♡) 仕返しは少し怖いですね♡   (2022/12/22 02:16:19)

後藤ひとり> おっきい……やわらかそう……(まじまじとレムさんの巨乳を眺めて)   (2022/12/22 02:17:41)

ライネス> いや別に…そこまで羨ましくなんて（まだ成長の余地はあるし…絵師によれば私だってとかぽそぽそ。）おほん…。意外とひとり君は欲望に忠実だよな。夜分遅くに失礼するよ…流石に夜更かしするつもりはないがね（ひょこっと顔だけは出しておこう）  
(2022/12/22 02:19:57)

レム> ライネス様もいらっしゃいませ…♥ 奥のお部屋ですか…？レムはいつでも歓迎ですよ…♡   (2022/12/22 02:20:33)

後藤ひとり> おっきくなくても素敵ですよ……いやまぁ……やっぱりここに来る人で欲望に忠実じゃない方が珍しいですけどね……(返す言葉もないっ！となりながらも会釈して)   (2022/12/22 02:22:13)

ライネス> まてレム、君は一体私からの何を聞いたんだ…？（会話の脈絡が迷子になっていないか！）＞レム　…それもそうか。欲望の出し方に差異はあれど、皆、腹の内には欲望を抱えてるだろうし。ひとりにとったらおっぱいに貴賎なしといった所か。（会釈されれば手をひらりと）
  (2022/12/22 02:25:44)

後藤ひとり> 胸には夢が詰まってますからね………私以外の胸はですけど………ていうか胸以外も好きです！………(私が胸好きのイメージが広がってる……)   (2022/12/22 02:27:55)

後藤ひとり> 一花さん寝ましたね……   (2022/12/22 02:28:02)

レム> 今夜もお誘いしてくれるのかとレムは思ったのですが…お誘いはないのでしょうか… (ソファにごろんって横になっています…   (2022/12/22 02:28:33)

後藤ひとり> 私はすぐ寝るのでお構いなく……   (2022/12/22 02:29:59)

ライネス> 夜は遅いしな。（むしろお楽しみの所に邪魔してしまったか…と義姉上には毛布をかけておこう。）…ならひとりの胸には何が詰まって…いや、それよりも胸以外っていうと？（大体おっぱいに引き寄せられてるイメージはあるな…）＞ひとり　レム相手だからといって…ふと顔出して連れ出してしまう様な見境のない人間になるつもりはないよ。そこまで長く起きているつもりはないしな。（むしろひとりとレムが乳繰り合ってるのを微笑ましく眺めるぐらいが後入り勢としては丁度いいというものさ）
  (2022/12/22 02:32:46)

おしらせ> 無言時間が25分を超えたため、中野一花さんが自動退室しました。  (2022/12/22 02:35:15)

レム> ひとり様がお休みするまでレムもここで見ていてあげますね♥(2人のお話を眺めながら微笑ましく眺めいて♥)   (2022/12/22 02:35:27)

レム> レムも長く起きているつもりはないのですけど…やっぱり添い寝相手は必要なのですよ…♡ >ライナス様   (2022/12/22 02:38:02)

ライネス> レムは一度その予測変換を見直す必要があるんじゃないだろうか…（じと目。何かの呪いなのかそれって…）気持ちは察せはするが…来たばかりの相手を枕にしようとするんじゃないよ＞レム　って、おーい？ひとり…？ひとり…？？   (2022/12/22
02:43:01)

レム> ぐぬぬ…これは失礼をライネス様… (あぅ…) とても抱き心地の良い枕でしたので…♥   (2022/12/22 02:47:10)

ライネス> やはり一度間違う毎にペナルティは必要か…？（むぅ、と考えるように…）ん？それはどちらかというと私のセリフの様な…   (2022/12/22 02:50:59)

おしらせ> 無言時間が25分を超えたため、後藤ひとりさんが自動退室しました。  (2022/12/22 02:55:16)

ライネス> 本当にすぐ寝てしまうとは…おやすみひとり。（こっちにも毛布をぱさり、夜更けに邪魔したお詫びに今度…私のおっぱいを提供しよう。私ので良ければだが…）   (2022/12/22 02:59:23)

おしらせ> カールスルーエ ◆xbO5t8yYyIさんが入室しました♪  (2022/12/22 03:05:26)

カールスルーエ ◆> こんばんはぁ、おやつの時間…の裏側の時間帯にお邪魔しますねぇ。…この時間帯は良い子のみんなはもうぐっすりしているでしょうねぇ。(ツヤツヤ…♡上機嫌な表情でお部屋の中に入っては、寝落ちした方々に毛布を掛けるライネスさんに挨拶を。)  
(2022/12/22 03:07:23)

ライネス> ひとり、またひとりと寝て…まぁ深夜だから仕方ないとは思うが…（レムにも毛布をって…部屋が毛布だらけになりそうだなって、忙しなく動いて）それじゃ今こうして…平気な顔してる私が悪い子になるじゃないか（否定する気はないがって声をかけられれば毛布を持ったまま振り返って）
  (2022/12/22 03:08:58)

おしらせ> 無言時間が25分を超えたため、レムさんが自動退室しました。  (2022/12/22 03:12:28)

カールスルーエ
◆> ……それはひょっとして駄洒落のつもりで？(クスッともしない真顔。)…コホン、本当にここは寝落ちに最適な空間ですもんねぇ。…えぇ、私とあなたは悪い子です♪そんな貴女を良い子に仕立てるべく…添い寝の準備をしてますが…どうでしょう？♪(全員分に掛け終えたのを見届けては、一人一人におやすみなさい、なんて呼びかけつつ。…そっと手を伸ばして受け取るか拒むかを見定めて…♪)
  (2022/12/22 03:13:06)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/22 03:13:37)

後藤ひとり> ね、寝てました…   (2022/12/22 03:13:59)

カールスルーエ ◆> お早すぎでございます、ひとりさん♪(おはようではなく、おはやすぎ。悪い子ですねぇ、なんて愉快そうに笑ってみたり)   (2022/12/22 03:17:23)

ライネス> …？…いや、これはそういう意味じゃ…って起きてきた！？（真顔で指摘された事には一瞬きょとんとした後…全くの無自覚だって、意図してない駄洒落は恥ずいって）…おはよう。というよりひとりはもう寝た方が良いんじゃないか。（と少し心配そうに視線でチラ見しつつ）…良い子になる予定はまるでないんだが、ふむ。事前に言っておくが…本当に添い寝程度になるが、それは承知の上かい？（伸ばされた手に…その意味がそういう事の口実なら受け取る訳にもいかないがって確認は挟んで。受け取る事自体はやぶさかではないが）
  (2022/12/22 03:19:32)

後藤ひとり> い、いや……も、もう寝ますよっ……(おはようなんて言われるとむすっとなり)   (2022/12/22 03:19:52)

後藤ひとり> そ、そうですね今日は寝ようかと…(ウトウト)   (2022/12/22 03:21:13)

ライネス> それがいい、最近は特に人気者になっているみたいだが…また今度私ともゆっくり話そうな(側まで行けば…少し背伸びして頭をぽんぽんと。毛布はその辺においてあるから使いたまえ。枕はその辺に義姉上とかメイドが転がっているよ)   (2022/12/22
03:23:31)

カールスルーエ ◆> …どうやら起こしてしまったみたいですねぇ。うふふ、私は訳があって悪い子にならないとなりませんので…♡ほら、悪い子振らずにおやすみなさいですよぉ♡(なでなで、一人の頭を軽く撫でてはねんねよ、なんて。)
……ふふ、そのための添い寝でありましょう？無論こんな時間に誘っても時間が時間ですし、それよりも先に…満足してきましたので♥(ツヤツヤとした頬を見ればわかるかも、なんて。…貴女の寝顔を眺めたいですから、という理由でその手を掴もうか。)   (2022/12/22
03:23:33)

ライネス> （奇しくも二人がかりで撫でてしまっていた…）おやそれは…愉しい時間があったならなによりで？（そういう事なら、別段拒む理由もないだろうと…掴まれた手はそのままに、エスコートは任せればいいかい？）   (2022/12/22 03:26:54)

カールスルーエ ◆> うふふ、そういうことです♪貴女との閨で愉しいひとときはまた今度、ですから♪(さぁ、行きましょうか…そう言っては貴女と共に奥の部屋へ…♡)   (2022/12/22 03:28:16)

おしらせ> カールスルーエ ◆xbO5t8yYyIさんが退室しました。  (2022/12/22 03:32:06)

ライネス> あぁ、そうだね。愉しいというからには…それ相応に歓迎できる時に、だ（いついつなら…と言えないのは申し訳ないとこだが…と少しの引け目を感じつつ。今は連れられるままに奥へいこうか。）寝落ちしたものらは…風邪だけはひかないようにね。おやすみだ  
(2022/12/22 03:32:24)

おしらせ> ライネスさんが退室しました。  (2022/12/22 03:32:29)

後藤ひとり> お、おやすみなさい……♪   (2022/12/22 03:37:21)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/22 03:37:22)

おしらせ> 森久保乃々さんが入室しました♪  (2022/12/22 03:43:18)

森久保乃々> ふぁぁ…変な時間に起きて目が冴えてしまったのですけど…ちょうどタイミングが悪かったようですね…   (2022/12/22 03:44:17)

森久保乃々> こういうときこそソシャゲのデイリー消化とかしたいですけど、更新時間はたいてい5時ですからね…まあ、こたつでごろごろ、というのも悪くないかもしれません…（ぬくぬく）   (2022/12/22 03:49:05)

おしらせ> 東北ずん子さんが入室しました♪  (2022/12/22 03:49:09)

東北ずん子> よばれたきがしましたっ(森久保さんにとびこみ   (2022/12/22 03:49:35)

おしらせ> 結月ゆかりさんが入室しました♪  (2022/12/22 03:50:31)

結月ゆかり> …遅すぎたんです、黒く変色してますね…(ぼそり)こんばんは♪   (2022/12/22 03:51:03)

森久保乃々> と言ってる間に人が…おふたりともおはようございます   (2022/12/22 03:51:30)

結月ゆかり> …寝てないですからねぇ、寝ていいなら今すぐ寝ますけど！   (2022/12/22 03:52:00)

森久保乃々> で、ですよね…こんばんはで察してましたけど…でも無理はせずに…？   (2022/12/22 03:53:01)

東北ずん子> くろずんだですよー。飛び込みはしっぱいしてしまいました　ゆかりさんはとりあえず無理せずに！？   (2022/12/22 03:53:17)

森久保乃々> も、もりくぼの一体どこに飛び込みしようとしてたんですか…？   (2022/12/22 03:55:30)

結月ゆかり> おちんぎんが発生している状態で居眠りは出来ませんねぇ…サボりや暇ができたらこうやって賑やかしには来ますけどね♪   (2022/12/22 03:55:46)

結月ゆかり> お尻！   (2022/12/22 03:56:18)

東北ずん子> お尻！(森久保さんのお尻なでなで)   (2022/12/22 03:56:47)

森久保乃々> あぅぅ…もりくぼのおしりなんか大したものではないと思うんですけどぉ～…（されるがまま）   (2022/12/22 03:58:07)

結月ゆかり> ほう、お尻ですか大したものですね。オイオイオイ、あのずんだ4んだわ   (2022/12/22 04:00:01)

結月ゆかり> …なんてやじでも飛ばしましょうか   (2022/12/22 04:00:21)

東北ずん子> よいではないかー、よいではないかー(わきわき　個人的にはお尻は結構好きですけど(お尻つんつん   (2022/12/22 04:01:29)

森久保乃々> あ～れ～…もりくぼもお尻は嫌いじゃないですけど…   (2022/12/22 04:04:30)

結月ゆかり> え、アナルです？   (2022/12/22 04:06:26)

森久保乃々> そのお尻は違う気が…いけますけど   (2022/12/22 04:07:12)

東北ずん子> お尻とあなるって言い方違うだけで全然違うようにきこえますよね(とおいめ   (2022/12/22 04:07:15)

結月ゆかり> あ、いけるんですね。なら、ボイロでサンドイッチにしてお前もボイロにしてやろうか！なんてのもいけるんですね   (2022/12/22 04:10:09)

森久保乃々> ぼ、ボイロでサンドイッチ…？というかその理屈ならオセロのほうが近いような…（ごにょごにょ）   (2022/12/22 04:11:26)

東北ずん子> サンドイッチってなると前と後ろ？　こう、そのしちゅだと口と後ろって何となく思います(ぼんやり   (2022/12/22 04:12:35)

結月ゆかり> んー…周りを取り囲んで囲碁ってのも…(多分四方からナニカ飛んでくるやつ)   (2022/12/22 04:14:28)

森久保乃々> あ、そういうことでしたか…一目見たときの語感ならそっちのほうがわかりやすいのでしょうか   (2022/12/22 04:14:32)

結月ゆかり> オセロだと裏返ってまたされるんですねわかります   (2022/12/22 04:17:34)

東北ずん子> 取り囲んでの方は若干わからなかったっ。なんでしょう   (2022/12/22 04:19:30)

森久保乃々> 囲碁はそれもうりんかーんでは…   (2022/12/22 04:19:59)

東北ずん子> あー、大勢でするよりはやっぱりこう。三人くらいがぎりぎりかなぁ(ぼんやり   (2022/12/22 04:22:24)

結月ゆかり> 囲碁はなんか8方向を囲むと真ん中がイキます(語彙力ゼロ)   (2022/12/22 04:22:26)

結月ゆかり> 正直、矢印が一方向に向いてる方がやりやすいですね。攻め複数受け1みたいな。少数側の負担がやばいですが   (2022/12/22 04:23:25)

森久保乃々> ですね…もりくぼもいっぱいいるのは苦手です…3人は割とちょうどいい数なのかもしれませんね   (2022/12/22 04:23:55)

東北ずん子> よし、ということで？ちょっとお風呂にいってきますっ(とたとた、唐突に入りたくなった   (2022/12/22 04:25:03)

森久保乃々> はーい、いってらっしゃいです…（ふりふり）   (2022/12/22 04:27:14)

結月ゆかり> どういうことなんでしょう…行ってらっしゃいませ♪   (2022/12/22 04:28:12)

結月ゆかり> いっぱい居ると誰が誰に何してるかまで見てないとイケませんからね…   (2022/12/22 04:28:42)

森久保乃々> 受け手の技量が試されますね…まだもりくぼには複数は難しそうです…   (2022/12/22 04:30:47)

結月ゆかり> そう、受け手が多ければ…多分ゆかりさんはやれる気がします。ヤりながら他の人に手を出すとか常軌を逸して居ますが、それがいいですよね   (2022/12/22 04:32:05)

森久保乃々> 複数相手に責めるというのは見たことないですけど、やれるんですか…割とひどい絵面になりそうですね…   (2022/12/22 04:35:41)

結月ゆかり> …たぶん。腰振って一人、片手で一人、口で一人…とかになりそうですが。受け同士で絡んでてくれたらそういうのも要らないかもですけど   (2022/12/22 04:37:00)

森久保乃々> て、テクニシャン…。受け同士の絡み…！いいですよね、もりくぼ空いてる子がメインで責められてる子にいろいろしたりするの結構好きです…   (2022/12/22 04:39:23)

結月ゆかり> …うわ、便乗ってやつですか。エロファンネルってあだ名つけてあげましょうか？   (2022/12/22 04:41:00)

森久保乃々> なんか微妙に不名誉な称号な気がするんですけど…   (2022/12/22 04:42:48)

東北ずん子> なんだかいつの間にかパワーワードがうまれてる？   (2022/12/22 04:44:04)

森久保乃々> と、ずん子さんおかえりなさい…   (2022/12/22 04:48:04)

結月ゆかり> そもそも限定的過ぎて本当に機能してくれるか謎ですが…おかえりなさい♪   (2022/12/22 04:48:25)

結月ゆかり> まぁ、真面目な話、そういう子がいると非常に助かりますよね   (2022/12/22 04:49:02)

東北ずん子> 悪戯させてくれる人は大事ですね！(こくこく   (2022/12/22 04:50:10)

森久保乃々> 潤滑油みたいな存在…ですかね？   (2022/12/22 04:51:30)

結月ゆかり> …ずん子さんはいたずら好きですしね！　潤滑油というより、助っ人とかファンネルみたいなイメージですね。二人でぐちゃぐちゃにしたら、その後はその二人で〜、みたいに順番とか作れますし…まぁこれで決まりみたいな流れがないから難しいんですけど  
(2022/12/22 04:54:18)

東北ずん子> 流れというか勢いでどうにかするのはいいものですよ、よ！   (2022/12/22 04:57:17)

森久保乃々> なるほど…？実際にできたらそれはそれでとってもえっちなんでしょうけど…運用は難しいですよね…   (2022/12/22 04:57:25)

結月ゆかり> 流れとか勢いだとグダったときに気まずくなるので、それを避ける手段というか逃げ道とか余裕みたいなものを用意できるといいんですけどねぇ…   (2022/12/22 04:58:34)

東北ずん子> 余裕ですかぁ、私も欲しいです…最近はちゃんと悪戯出来てない気がしてますしそろそろ欲求不満がたまってしまうかもしれない？(たまりすぎてかれるやつ   (2022/12/22 05:00:48)

森久保乃々> ここの人たちは常に欲求不満な気もしますけど…   (2022/12/22 05:02:24)

結月ゆかり> って思うじゃないですか？本当に欲求不満だったらそのへんでレイフ○してやり捨ててますよ。…ふふ、欲求不満なのは森久保さんを連れ込んでる人のイメージがついちゃってるから、でしょうか？(くすり)   (2022/12/22 05:03:57)

東北ずん子> ゆかりさんもなんだかんだタイミングとか選んで手を出すのを悩むタイプなのでは(大体遊びたいなーってときに遊べないやーつ)   (2022/12/22 05:05:51)

森久保乃々> あぅ…恐ろしい…そういう人が集まったら本当に魔境になってしまいます…。まあ、その人がちらつくのは当然というか…流されるもりくぼももりくぼですけど   (2022/12/22 05:06:08)

結月ゆかり> ん？悩んでないですよ？時間に阻まれるだけです(半べそ)   (2022/12/22 05:08:48)

