/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年07月03日 02時21分 ～ 2018年07月09日 19時47分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

アティ> （おうちがありました。そのままひきづらーれー。（未来予測。））   (2018/7/3 02:21:10)
ハルファス> （今は夕ご飯前。通りすがりの人はいるみたいだけど、みんな忙しいのかな。ソファーに腰かけて足をぶらぶらさせているよ）   (2018/7/6 17:27:26)

ハルファス> （フルフルが呼んでる。フルフルが起きてきたから、私はそっちのお手伝い。またね）   (2018/7/6 17:33:37)

おしらせ> チトさんが入室しました♪  (2018/7/6 17:33:38)

おしらせ> ハルファスさんが退室しました。  (2018/7/6 17:33:44)

おしらせ> ハルファスさんが入室しました♪  (2018/7/6 17:33:51)

ハルファス> チト？　どうしたの   (2018/7/6 17:34:02)

チト> ちょっとだけ時間が取れたんだけど　はーはすはもう時間ないかな   (2018/7/6 17:34:13)

ハルファス> 大丈夫、ちょうど今なら時間あるから   (2018/7/6 17:34:45)

チト> それじゃ（そばに座り）　……少しこうしてても、いい？   (2018/7/6 17:35:05)

チト> （こてんともたれかかり）   (2018/7/6 17:35:33)

ハルファス> ……うん、いいよ（もたれかかったチトに、私の方からもくっつくよ）   (2018/7/6 17:36:05)

チト> 乗り物がないと昨日までの暑さは無理で、帰ってきちゃったんだ   (2018/7/6 17:36:42)

チト> それでね……その…毎晩自分で（真っ赤）しようとしてたんだけど、はーはすの姿が浮かぶだけで……ぜんぜんうまく行かなくて   (2018/7/6 17:37:34)

ハルファス> ……えっ……！（自分で。じぶんで。私のことを考えながら、触ったり、していたの？　耳まで赤く、なっちゃう、よ？   (2018/7/6 17:38:39)

チト> 自分でしたことなんか今まで殆ど無いのに……あの日から、毎日……　でも、だめなんだ　一人じゃ……   (2018/7/6 17:39:25)

ハルファス> チト……（どうしよう、どうしよう。でもチトは私が好き。私もきちんと、決めないと）あの、ね、チト。チトがいいなら、私、お手伝い、する……よ？   (2018/7/6 17:41:41)

チト> ……本当？　いつも思い出してた。　はーはすの綺麗な体、キス、おしっこされたりしたり……エスカレートして、お尻を叩かれることまで（Mに染まってきてる）   (2018/7/6 17:43:01)

ハルファス> たた、く……（だめだよ、チト、思い出しちゃう、私とチトで匂いつけ合って、裸でいろんなことしたの、思い、出し、ちやう……）チト。……チト。チトは、はだかに、なりたい、の？   (2018/7/6 17:46:25)

チト> はーはすが見たいと言ってくれたら……命令してくれたら……（恥ずかしさに震えながら）　……脱ぐ、よ   (2018/7/6 17:47:26)

チト> で、でもここは……ちょっとリビングは流石にあれかも……お風呂とか、地下牢とかで……（個室でも）   (2018/7/6 17:48:58)

ハルファス> めいれい。チトは、命令が、好きなんだよね……。個室、いく？（ラブルームの待ち合わせ板、で、いい？）   (2018/7/6 17:49:59)

チト> うん……そういうの、マゾっていうんだよね……覚えちゃった……（個室鍵ありでも無しでも）   (2018/7/6 17:50:48)

ハルファス> （わかった、少し待ってて）   (2018/7/6 17:51:00)

ハルファス> （作ったよ。右上の方のリンクから、ラブルームの待ち合わせ板を見てみて）   (2018/7/6 17:52:08)

おしらせ> チトさんが退室しました。  (2018/7/6 17:52:35)

ハルファス> （私も移動するね）   (2018/7/6 17:53:21)

おしらせ> ハルファスさんが退室しました。  (2018/7/6 17:53:23)

おしらせ> シグさんが入室しました♪  (2018/7/6 17:53:51)

シグ> 【間違えて入ってしまいました。】   (2018/7/6 17:58:46)

おしらせ> シグさんが退室しました。  (2018/7/6 17:58:48)

おしらせ> チトさんが入室しました♪  (2018/7/6 19:24:41)

チト> はーはすへ   (2018/7/6 19:24:47)

チト> 部屋に戻れなくなった   (2018/7/6 19:25:03)

チト> どうしよう   (2018/7/6 19:25:11)

おしらせ> チトさんが退室しました。  (2018/7/6 19:26:08)

おしらせ> 色川流姫さんが入室しました♪  (2018/7/6 20:00:45)

色川流姫> [こんばんはです]   (2018/7/6 20:01:07)

色川流姫> ふぅ、お邪魔しま～す(のんびり入室してはぽふっとソファに腰かけて)   (2018/7/6 20:02:21)

おしらせ> 色川流姫さんが退室しました。  (2018/7/6 20:07:10)

おしらせ> 渋谷凛さんが入室しました♪  (2018/7/6 23:28:47)

渋谷凛> 静かだね…（リビングにやってきてソファに腰を下ろして）   (2018/7/6 23:29:17)

おしらせ> 無言時間が20分を超えたため、渋谷凛さんが自動退室しました。  (2018/7/7 00:20:33)

おしらせ> 源内あおさんが入室しました♪  (2018/7/7 12:49:03)

源内あお> ふっふーん♪ふーん♪やっほー！（と、鼻歌交じりのご機嫌入室。場所はいつものリビング。ほら、変わり種な場所はきっと他の人が担当してるし）いやー、やっぱり…ついてるよ。私、今日も変わらず暑いし一部の地域だと…天気も凄いみたいだから大人しくしておくべきだと思うんだけど。つい、ね来ちゃったんだ…ほら、これ！私の轟雷！！（流れる動作で冷房のスイッチを入れつつ取り出したスマホ。そこに映る☆４轟雷の姿）いやぁ、一時期はこのガチャは課金しないとレアを出さないのかとも思ったけど…うん。詰め込んでやってみるもんだね。長かった…お金、出さずに済んで良かったぁ（えへぇと幸せそうな顔でソファに飛び込んで…スマホの画面にニヤニヤしてるのは、若干怪しい女子高生の姿に見えたかも知れない）
  (2018/7/7 12:56:03)

おしらせ> 雪見小梅さんが入室しました♪  (2018/7/7 12:57:20)

雪見小梅> 御機嫌よう～♪(なんてなんとなく出かけた結果ここについて)あら？初めてましてね？私は雪見小梅よよろしくね？(中の人はカレンです)   (2018/7/7 12:58:51)

源内あお> うんうん。私は今まさにご機嫌だよ！源内あお。あおで良いよ～（すっかりソファで寛ぎつつ、入ってきた子には挨拶しよう。あっ、うんその辺は察した）   (2018/7/7 13:00:07)

雪見小梅> あ、でも良ければミスプラムって呼んでも結構でしてよ？(なんて名前にコンプレックスを持ってる人でした)あおね…よろしくお願いするわ…♪   (2018/7/7 13:02:32)

源内あお> へっ？なんでミスプラム…別に良いけど。あだ名…なのかな（プラム要素は何処からっと、小梅をジロジロっと観察しちゃって。）うん。よろしくー   (2018/7/7 13:05:14)

雪見小梅> プラムには梅の意味も込められてるのよ…(まあなんとでも呼びなさい、友達からぷーなんて呼ばれてるしねと)とにかくよろしくお願いするわ…   (2018/7/7 13:08:16)

雪見小梅> 【作品が結構マイナーですがすいません…】   (2018/7/7 13:09:54)

源内あお> あれ、そだっけ…じゃあ名前から派生していったんだね（ぷー、って呼んじゃうと何だかはちみつを食べたくなる感じがしてくる不思議。）あはは、そんな何度もよろしくしなくても、私は来るものあんまり拒まず去る者は時々しか追わないよ（凄く自分に正直だった。）【それを言ったら私も別にメジャーじゃないし。良いんじゃない？】
  (2018/7/7 13:12:42)

雪見小梅> あーそうね、分かったわ！(それはきっとどこかのクマのせいだろうだからさん付はいけないわよと)色々とお話したいのだけれど…好きなこととかあるかしら？   (2018/7/7 13:15:43)

源内あお> 分かったなら何より。気楽にいこー（クマのぷーならぬ梅のぷー…うん。普通にプラムって呼ぼう。そうしよう…と心に決めたあおだった）ん、好きな事かぁ…お金かせｇ……んんっ、結構楽しいって思う事なら何でも好きって言うけど。うん、誰かと一緒に楽しいって気持ちを共有する事が好きかな
  (2018/7/7 13:18:42)

雪見小梅> お金…元気な子ね……ん、確かにいいこと言うわね…私も今はそういう仲間がいるからね……(なんて友達のことを思いながら)ていうか普通に趣味とかでいいじゃないのー！   (2018/7/7 13:21:15)

雪見小梅> 【現金な子ねです】   (2018/7/7 13:23:08)

源内あお> ほら、大事じゃん…お金。大切だよ（あははーと苦笑気味に誤魔化しつつ。）そっか、プラムも素敵な仲間に囲まれてるんだ（…それは何よりって温かい目を差し向けて）趣味……趣味、かぁ。別に珍しいものないからなー。友達と買い物、とか…喫茶店でパフェ食べるとか。趣味…って程じゃ、ないよね？（んー、と何とも思い当たらない感、人に言えるような趣味…と言われてもピンと来ないようで）
  (2018/7/7 13:26:02)

雪見小梅> ええ…仲間でもありライバルでもある…(そういう仕事柄なのよって)あら？あなたもパフェとか好きなのね…よく私も食べてるわよ！(なんて仲間がいて嬉しそうに彼女甘党はなのである)   (2018/7/7 13:27:36)

源内あお> プラムは仕事してるんだ？（あれ、見た目的に同じ年ぐらいだよねって疑問が浮かんで）乙女たるもの甘いものは大好きだよ！洋菓子も和菓子も…美味しいよね（気持ちわかるよって、強く頷いて甘い物好き仲間ではある）   (2018/7/7 13:31:38)

雪見小梅> 仕事…えっと…うらら…簡単に言うと占い師の仕事よ、まだ見習いなの…(詳しくは原作を)そうよね…分かるわ！ついつい食べちゃうのよね…(食べすぎは厳禁だけどねなんて)   (2018/7/7 13:33:02)

源内あお> へぇ、占い…。占いに甘い物。プラムは女子力高いんだ（サラッとステマをされた気がした。時間があればチェックしなきゃ…。）そうだね…食べてる時は美味しいんだけど。あんまり間食ばっかだと（ねー、財布の中身が…悲しくなるんだって）   (2018/7/7
13:35:42)

雪見小梅> ふふ……そうよ1番うら…最高のうららになってやるんだから…(気にしなくてもです、兎に角占い師になるために頑張ってます)そうね…お金もだけど…(なんてお腹の部分を指して)   (2018/7/7 13:37:26)

源内あお> 目標があるなら頑張れプラム！私は応援するよー（ううん、折角知り合ったのに相手を知ろうとしないのも寂しいしね。立派な占い師になって…目指せ自衛おじさんだよ（あれが占い師のトップなのかは知らない）……あぁ、まぁ、そこも女子としては死守すべき場所だね（自分のお腹もみてみる。うん…多分大丈夫。私平均的な体型…）
  (2018/7/7 13:41:23)

雪見小梅> ふふありがと…うららの進級は簡単に言うと投票制だからあおも迷路帖に来た時にはぜひ…(なんて買収しようと、防衛おじさん懐かしいなと思いつつ)そ、そうね…あおは大丈夫と思うわ…(仲間の中にはスタイルいい人いるけどね)   (2018/7/7
13:45:55)

源内あお> それは、何とも選挙みたいだね…わかった。そっちに行くことがあったら投票するね♪（果たして立川から迷路帖に繋がる世界線はあるのだろうか…。）そう…？ならプラムは…（よっとソファに座り直してプラムのお腹をじーっと眺めてみたり）   (2018/7/7
13:49:42)

雪見小梅> 投票っていうかお客を数人満足させるのよね…(なんて立川から繋がる世界戦なんてないだろう、まあ仕方ないわね)え？わ、私は大丈夫よ…////(なんて触って確認)   (2018/7/7 13:53:12)

源内あお> あぁ、誰が一番早くプラムで人を満足（意味深）にさせられるか何だ…（選挙っていうよりきゃｂ…ゲフン。競争なんだねって。）ほんとかなー？（自分で触ってるプラムに近づけば…私もプラムのお腹をえいっとつついてみたり）   (2018/7/7
13:56:34)

雪見小梅> 占いの話ね…///(何を話してるんだと思いつつも、そうよ、だから仲間とも)ひゃい！？…///(体をピクンとさせて)な、なにするのよ…///！？   (2018/7/7 13:57:40)

雪見小梅> 【いますか？】   (2018/7/7 14:05:01)

源内あお> 勿論わかってるよ？何だったら私も占って貰おうかな…（金運とか、あっでも悪い結果が出たら…とかちょっぴりぼそぼそ。）ふふー。可愛い反応だ。心配そうにしてたからチェックしてあげようかなって（なんて悪戯気味に笑うと）んー、これは。（確認するようにお腹の肉を指で摘んでみようとむにぃ）
  (2018/7/7 14:05:26)

源内あお> 【っと、ごめん遅くなったね】   (2018/7/7 14:05:33)

雪見小梅> そうね…なんでもいいのよ？悩み事とかでも…(なんてなんでもいいから任せなさいと)ひゃ、ひゃめなはい…////(体をよじらせて)   (2018/7/7 14:06:44)

雪見小梅> 【大丈夫ですよ】   (2018/7/7 14:07:11)

源内あお> 悩み事かぁ…悩みのタネは今日解決したし。やっぱり金運…あぁ、でもスティ子やバーゼも来るんだっけ（と、専らの悩みはガチャだった。後は二期の視聴率とか…メメタァな悩みが溢れ出る。）…しょうがないなぁ。敏感な反応で楽しいけど、やめてと言われたらやめざるを得ないか。（パッと手を離しちゃって）
  (2018/7/7 14:10:10)

雪見小梅> スティ子？バーゼ？なんの話しかしら？///(キョトンとして、ああガチャね爆笑嫌よね、2期も来てほしいものね)ったく…そーゆーあおはどうなのかしらねー？…(なんて歩み寄り)   (2018/7/7 14:12:08)

源内あお> あぁ…えっと、私の仲間…みたいなものかな。今一緒にバイトしててさ（とちょっぴり濁すのは詳しく説明するのが面倒というかなんと説明していいかわからないからで。）私はさっき、プラムが大丈夫って言ってくれたよー？（歩み寄って来たならそのまま抱きしめてみたり）
  (2018/7/7 14:14:35)

雪見小梅> そう随分変わった仲間ね…(まあいいわよなんて)ふにゃ！？////そういう事だけどねー…////(なんで抱きつきながらお腹を触り)   (2018/7/7 14:16:42)

源内あお> 否定は…できないかなぁ（思い出す家の光景…確かに色々と変わっている日常かもしれない。）ふひっ……確かに、結構擽ったいこれ？（プラムに振れられるとぴくっと身体を反応させ）   (2018/7/7 14:18:55)

雪見小梅> できないの？(きっとすごい人達なんだろうなと思いつつ)だからいったでしょー？…///(なんてお腹をくすぐってみる)   (2018/7/7 14:21:46)

源内あお> 見たら吃驚するんじゃないかな…色々特殊だし（ていうかプラモだしって何とも不思議な解答になっちゃうねこれ）んっ…、ふふっ…ひゃっ、わ、わかったから…やめ（身体を軽く悶えさせつつ…くすぐるのを止める為にぎゅっと強く抱きしめて）   (2018/7/7
14:24:24)

雪見小梅> そんなにすごいものなの？…///(なんて不思議そうにしつつも会ってみたいと)…////しょーがないわね！///辞めてあげるわ…///(手を止める代わりにこちらからも抱きついて)   (2018/7/7 14:28:29)

源内あお> 色々とんでも技術だね…うん。（この部屋に来る事、あると良いね…あるのかなぁ？）ふぅ…助かったぁ。（ホッと一息つきつつ…自然とプラムの頭をなでなでと）   (2018/7/7 14:30:38)

雪見小梅> 面白そうね…///(興味深げに聞いてみて)次から気をつけなさいよ～////(なんて今度は甘えるように抱きついてみて)   (2018/7/7 14:32:18)

源内あお> きっと会えたらプラムも楽しいと思うよ（機会があるのお楽しみに）次は…仕返しされる前にやりきる事にしよう（気をつけるの意味が違った…。甘えられればしっかり抱き受けて）   (2018/7/7 14:34:47)

雪見小梅> ふふーん、楽しみにしてるわね～(なんて期待しつつ)そっちのほう！？またやるの！？～///(なんて慌てつつも今は抱きついておこう)   (2018/7/7 14:37:11)

源内あお> 私もここにFAGの皆が来るの秘かな楽しみなんだー（と私も期待してる。けど同郷の人が来るのってちょっぴり私のハードルも上がりそうで不安だったり）ふっふー。ほら、状態チェックは定期的にやらないとじゃん？次はもっと詳しく…なんて。（慌てる姿にニマニマとしつつ…挑発するようにプラムの上着の裾を指で掴んでひらりとさせてみて）
  (2018/7/7 14:41:33)

雪見小梅> FAG？なにそれ？(なるほどそちらの世界のお仲間かと思い)そ、そう…///ってそんなお世話いらないわよ！…///(なんて上着の裾をヒラヒラされて)   (2018/7/7 14:45:14)

源内あお> さっきから言ってるスティ子や轟雷達の総称、かな。（そうそう私の仲間…家族みたいなもんだけど。）わっ、ノリツッコミで返された。だよねー、でも誰かに見てもらった方が気が引き締まるかもよ？（裾を持ったものの…そういや、この服装、和服だし帯巻いてるし…中どうなってるんだろって気になり始める私）
  (2018/7/7 14:50:51)

雪見小梅> 【と、1度食事で抜けますね、また来ます】   (2018/7/7 14:52:10)

源内あお> （和服…というか洋風に帯に…んんっと　いってらっしゃーい）   (2018/7/7 14:52:29)

雪見小梅> なるほどね…(変わった人達なのねなんて思いつつ)それは確かに言えるかも…いやらしいことはしないでね？…///(なんて念押し、確かに小梅の服は変わってるけどね)【では1度失礼、すぐ戻ります】   (2018/7/7 14:54:32)

源内あお> まっ、その辺は百聞は一見にしかずって事で（待て、２期みたいな感じで繋げたい。尚１期は今も無料配信中です）んー？ただのチェックが、そういう発想になるんだ？（念押されればしないよーとは一応答える訳で。実際変わってる服装だねって…）  
(2018/7/7 15:03:04)

雪見小梅> 【ただいまです】   (2018/7/7 15:11:54)

源内あお> 【おかえりなさーい】   (2018/7/7 15:12:34)

雪見小梅> なるほどねーおもしろそうね(なるほど見てみようなんて思いつつも)お腹触ること自体いやらしいわよ…////(どこぞの隊長がいたらこの破廉恥どもめ！なんて言うだろうと、それを言ったら同じ仲間の千矢もだけどね)   (2018/7/7 15:14:49)

源内あお> つまり…プラムは、こうやってお腹を触られるといやらしい気持ちになるって訳だ（そういってお腹を優しく撫でて…。いやらしい事をしないとは何だったのか…ちょっぴりこの部屋に相応しい破廉恥感が出たのだろうか…そっちの仲間も個性豊かそうだねって）  
(2018/7/7 15:17:47)

雪見小梅> なーんでそうなるのよー！？…///(お腹を撫でられると嬉しそうにもしつつまあ百合のお部屋だもんねなんて納得もしつつ、仲間は濃い仲間が多いわなんて言いつつ)   (2018/7/7 15:21:04)

源内あお> あれ、違った？じゃあ…別に触っててもいやらしい事じゃないよね（なんて無理くり理論でなでなでとお腹を触りつつ…服の帯に手をかけてみたり。）   (2018/7/7 15:24:25)

雪見小梅> や、やめ…/////(服の帯に手をかけられると服がはだけてしまい肌が顕になる)…///   (2018/7/7 15:26:44)

源内あお> やめてもいいけどー…。その場合、また私仕返しされない？（そのままゆっくり上着をはだけさせてお腹を出させようと）   (2018/7/7 15:30:48)

雪見小梅> むー最初から辞めればいいのに…////(なんてお腹が少し出て)んー、あおがおこるならやらなーい(ここは仲良くするところだからねって)   (2018/7/7 15:32:42)

源内あお> それは今更言われても…かなぁ。（ちょっかいを出してる時点で時既に遅しな訳で…晒されたお腹を掌でくすぐるように撫でて。）別にそれで怒ったりはしないけど…やらないとわかったなら安心してプラムに触れられるね（結局やめるつもりはなかったらしく。うんうん、仲良くしようっていい笑顔）
  (2018/7/7 15:36:59)

雪見小梅> んう…////(なんてお腹を撫でられて気持ちよさそうに)結局やるのね…////(くすぐったさで笑い、そうそう喧嘩は良くないわって)   (2018/7/7 15:39:31)

源内あお> やるのは…こうやって、お腹を撫でる事だけだけどね？（だってプラムが可愛い反応してくれるんだしって悪戯心のスイッチが入ってる気がする。お腹全体を撫でつつ、掌全体でむにむにと揉んでみたり。…喧嘩、じゃないけどプラムも嫌だったらすぐやめるから言ってね？っていう気遣いはしたい）
  (2018/7/7 15:43:32)

雪見小梅> くひゅぐったい…///(くすぐったいけどくせになる、体をよじらせつつも、大丈夫よなんて伝えて)   (2018/7/7 15:45:47)

源内あお> 擽ってるからねー♪（身体をよじらせて逃げ切れないよう…両手で両側の脇腹から本格的に指で擽って。ん、なら良かった）   (2018/7/7 15:48:38)

雪見小梅> んひゃう…////へ、変な感じ…////(なんて体を跳ねさせつつも止めようとはせずに)   (2018/7/7 15:51:07)

源内あお> 変…？擽ったいだけじゃなくて…？（反応する身体を楽しみつつ…次は、お臍周りを指でなぞって。）   (2018/7/7 15:52:36)

雪見小梅> な、なんでもないの！…///(なんてぷいとそっぽを向きつつも逃げないで)   (2018/7/7 15:54:55)

源内あお> ………ふーん。そっか。じゃあ、こういうのは…？（お臍に指を少し押し込んで…身体の芯を指で捏ねるように）   (2018/7/7 15:57:21)

雪見小梅> んんっ！///(体をぴくりとさせてしまい)は、恥ずかしい…////   (2018/7/7 15:58:17)

源内あお> 普段他の人に触られるような場所じゃないもんねぇ…（そのまま手をゆっくり下ろしていけば、次は下腹部の部分をすりすりと撫でて）可愛い声、出ちゃってるよプラム？（なんてもう少し羞恥を煽って）   (2018/7/7 16:00:56)

雪見小梅> む、そ、それはくすぐったいからよ…////(なんてしたの方を撫でられるとドキドキしてしまい、だんだん敏感なところへ)   (2018/7/7 16:03:57)

源内あお> それもそっか……うん、いやぁ堪能したぁ。プラムのお腹、程よく柔らかくてすべすべだったよ（そのまま掌が下腹部の敏感な場所よりも少し上…子宮辺りがある場所を優しく撫でれば手を離してしまって）   (2018/7/7 16:06:17)

雪見小梅> そ、そう……////満足してくれたならよかったわ…///(割れ目より少し上を触られれ離されれば少しもどかしさを感じてしまう)   (2018/7/7 16:08:38)

源内あお> うん、私は…満足だよ（なんてちょっぴり意味ありげに言ってみたり、ありがとプラムってお礼も添えて）   (2018/7/7 16:09:52)

雪見小梅> ならよかった……////(なんて疲れたようにあおにもたれて)   (2018/7/7 16:12:03)

源内あお> っとと、ちょっぴりやりすぎた？（もたれてきたプラムを支えつつ、小首を傾げ）   (2018/7/7 16:13:10)

雪見小梅> 大丈夫よ……(なんて抱きついて)疲れただけよー   (2018/7/7 16:16:06)

源内あお> お疲れ様♪…じゃあ、またまったりしてよっか（プラムの頭をぽんぽんと撫で）   (2018/7/7 16:17:54)

雪見小梅> そーね～////(なんて甘えつつもそういい)   (2018/7/7 16:20:46)

源内あお> そういえば…プラムの占いってどういうのなの？（よしよしと甘えさせつつふと思ったことを）   (2018/7/7 16:23:15)

雪見小梅> えーっとねタロット占いとか振り子うらないとかよ…(なんてたろカードを取り出したりして甘えながらも自慢)   (2018/7/7 16:24:12)

源内あお> タロットカード…絵柄によって色々あるやつだっけ。なんかおしゃれな占いだね（てっきり手相とかそういう地味なのを想像してたやって出されたタロットカードを数枚眺めつつ）   (2018/7/7 16:26:53)

雪見小梅> あとは振り子占いとかは場所とかを占うの…人とかも占えるわね…(なんてえへんとしつつ)あとはこういうやつで…尋ねたいことを念じるとここに書かれるやつとか…(なんて古びた本らしきものを取り出せるとか)   (2018/7/7 16:28:35)

源内あお> 場所…？失くした物を見つけるとか…誰が今何処に居るとか？（そっちの知識はないやって興味深そうに）…そっちは、なんだか占いっていうより魔導書みたいだね   (2018/7/7 16:30:25)

雪見小梅> そうそうそういうのに使えるのよ中には美少女がすんでる(設定である)のよ！(なんて妄想も交えつつ)ま、魔導書…ね…まあこれは魔女からもらったものだからね…   (2018/7/7 16:32:53)

源内あお> この、ちっこい奴の中に！？（と流石に驚く私。）窮屈そう…だね。（と、斜め上の発想で）本当に魔導書じゃん……というかナチュラルに魔女って単語がでる辺り（やっぱり常識外だなーって現代物特有の驚きが）   (2018/7/7 16:36:15)

雪見小梅> そ、そーゆー設定なのよ！(なんていう妄想気にしないでなんて)魔女……ね…信じられないかもしれないけど昔私は魔女にあったことがあるの…～//   (2018/7/7 16:38:31)

源内あお> へっ……あ、あぁ…そういう。（ぽんと手を叩いて納得して）………えっと、それも、そういう設定？（なんて今の会話があれば、ついそっち方向に考えちゃって）   (2018/7/7 16:41:09)

雪見小梅> もう、言わせないでよ～(ぷいぷい)それは本当よ…昔…5歳くらいの頃マリっていう魔女がいたの本当に魔法がすごくて…でもその一年後に不死の病が流行ってそれが私の家に居候してる魔女のせいだって言われて彼女は去ってたの…(なんて真面目な顔で、本編を見れば分かるわなんて)
  (2018/7/7 16:44:11)

源内あお> ごめんごめん…（あはは、占い師も個性出す為に大変なんだねって、舞台裏を覗いてしまった気分。）それは……そっか。そんな事があったんだ（内容が内容なので茶化すこともなく、真面目に聞いて…ステマ案件だった！？）   (2018/7/7 16:48:46)

雪見小梅> そういうものよ…今はそんな時代なのよ歌って踊れないと…(違うだろなんて)彼女と約束したの…街の中で1番の魔女になるって…彼女は無理だからそう言ったんだろうけどそのために1番うらになって見返してやるんだから…(なんて真面目に、ん？あ、それはナカノヒトからのせつめいよ、気にしないでね)
  (2018/7/7 16:51:34)

源内あお> ……まぁよく歌ったり踊ったりは、しなくもないよね（OPとかED,キャラソンとかで…とかメタに話題に乗ってみる）その魔女との思い出が…プラムに取っては大事なんだね、それで目標に向かって頑張ってるならそれは凄く素敵で偉いねプラムは（しっかり話を聞きつつ、優しくプラムの髪を撫でて……あっ、わざわざ補足ありがと、でもこっちも適当に突っ込んでるだけだから…うん。こっちもそんな気にしないで）
  (2018/7/7 16:55:34)

雪見小梅> そういうものなのよ！(私も同じところで踊ってたり歌ってたりきらら系だからね)そう…そのために頑張ってるんだから…(まあ図書館とかで倒れたりするけどねなんて嬉しそう、あ、なるほどね、とりあえずそんな感じなのね)   (2018/7/7
16:59:20)

源内あお> って、ゴリ押したけど…プラムが歌って踊ってる姿見ても…周りの人の悩み解決しないよね？（私は別に作中ではしてなかったかな…あっ、でも皆は歌ったり踊ったりして場を盛り上げて貰った事はあったっけ…。）うん。やっぱり応援するよプラム。プラムならきっとなれるよ一番に（なんだか不穏な事を聞いたけど身体は大切にね…）
  (2018/7/7 17:03:06)

雪見小梅> まあ…ね個性よ個性！それにその役は別にいるからね(とにかく占いを頑張ってるのよって)ありがとう…あお！私頑張るからね！(まあ小梅は頭良くないかは本を読むと倒れちゃうのよって)   (2018/7/7 17:05:14)

源内あお> あっ、居るんだ適材適所…（占い業界も侮れなかった。）うん！頑張ってプラム…！（そゆことか…大丈夫。気持ちはわかるよ！頭良くないと…あんな小難しい文章の羅列にやられるよねって）   (2018/7/7 17:07:03)

雪見小梅> そうよ恥ずかしがっちゃってめっちゃ可愛い子よ！(彼女はアイドル占い師になるのかも…いやない、あと一人天使の歌声もいるわよって)ありがと…この話あまりしたことないのよね(そうそう、小難しいのよねって)   (2018/7/7 17:10:18)

源内あお> 恥ずかしがって可愛い…さっきのプラムみたいな子？（占い仲間のハズなのに占いとは関係ない特性が…二人も！）そうなの？私初対面だったのに良かったの？（話してくれたのは嬉しいけど…ちょっと驚いたように）   (2018/7/7 17:12:41)

雪見小梅> 私なんかよりも恥ずかしがり屋よ…///(なんて私も確かにそれだと、大丈夫1人は祝詞って言うのを暗記するのに歌で覚えてるだけだからね)まあ…話さないって言うか知り合いが少ないだけよ♪(別に平気よって)   (2018/7/7 17:14:43)

源内あお> へぇ…そんな子も占い師で頑張ってるんだ（なるほど…それで偶然歌ったら天使の歌声だったと）あははそんな寂しい事を…でも、この部屋にこれからも来てたらきっと知り合い増えるよ   (2018/7/7 17:18:10)

雪見小梅> そうよぶっちゃけかなり優等生よ…(なんてそういう事ねと)そう…ねそのうちマリにも会えるかも…(なんて淡い期待もしつつ)   (2018/7/7 17:22:03)

源内あお> 強力なライバルって訳だ（ふむふむと…）どうかな、可能性は０じゃないとは思うけど…会えるといいね。さって、結構長いしちゃったし…私、一旦自分の家戻るね（よいしょっと立ち上がって）   (2018/7/7 17:26:00)

雪見小梅> ライバルだけど…友達でもあるのよ…(なんて大切な人よって)そうね、兎に角お疲れ様です…これは今日のお礼…///(おでこにチュッと)   (2018/7/7 17:27:05)

源内あお> それはそれ。強敵と書いてともって読むって奴だね（そういう関係、よくわかるよって共感しよう。）んっ…なんか、お礼貰う様な事したかな。でも、ありがと（もう一度頭を撫でてから…貰ったお礼に嬉しそうに微笑んで。）………次、また会ったら今度は、お腹のもっと下も、触ってあげるね？（ってこれは、ボソリと聞こえるか聞こえないかぐらいで伝えれば颯爽と退室しよう。多分…もうすぐ360時間が来るんだって意味も含めて）
  (2018/7/7 17:30:13)

おしらせ> 源内あおさんが退室しました。  (2018/7/7 17:30:27)

おしらせ> 雪見小梅さんが退室しました。  (2018/7/7 17:30:39)

おしらせ> 雪見小梅さんが入室しました♪  (2018/7/7 17:30:41)

雪見小梅> まあ…お話のお礼ね…///ふふ…///楽しみにしてるわね   (2018/7/7 17:31:23)

おしらせ> 雪見小梅さんが退室しました。  (2018/7/7 17:31:26)

おしらせ> アティさんが入室しました♪  (2018/7/8 01:16:31)

アティ> ちょっとだけ、お仕事休憩の時間潰しにお邪魔させてもらいますねっ。（2時にはまた仕事再開しなくてはなんですが、休憩時間が手持ち無沙汰なので。）   (2018/7/8 01:17:56)

おしらせ> 東北ずん子さんが入室しました♪  (2018/7/8 01:19:44)

アティ> 皆さんのとこは雨はいかがでしたでしょうか？私のところは昨日の朝ぐらいまで、スマホが延々と警報が鳴り響いてました。（あまりのうるささに警報システムをオフにしたほどです。）   (2018/7/8 01:19:54)

