/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年01月02日 00時22分 ～ 2023年01月03日 01時46分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

中野一花> おっぱい同盟…   (2023/1/2 00:22:22)
後藤ひとり> あ、どうも……   (2023/1/2 10:29:58)

ミホノブルボン> ステータス『エラー』を検知…。……？(ポカンとしたような顔で、虚無しかない天井を見つめて…。)…はじめまして。   (2023/1/2 10:31:28)

後藤ひとり> エラー……機械ですか？………(おっぱいから顔を出してそう聞いて)   (2023/1/2 10:31:54)

ペコリーヌ> おや、いらっしゃいませ、悪戯してもいい人でしょうか！(あるいみ同業さんですってひらひらって手を振って)   (2023/1/2 10:32:05)

おしらせ> アリス・キャロルさんが入室しました♪  (2023/1/2 10:33:44)

後藤ひとり> あ、おはようございます   (2023/1/2 10:34:38)

アリス・キャロル> Auguri Buon annoです、皆さん   (2023/1/2 10:35:46)

後藤ひとり> あぐりぶおんあんの………   (2023/1/2 10:36:09)

ミホノブルボン> 私はサイボーグです。機械ではあります。(サイボーグと自称するものの、頭の上には耳が二つ。お尻の少し上から尻尾も生えて)   (2023/1/2 10:36:15)

ペコリーヌ> 悪戯してもいい人ですか！　は置いときまして。おはようございます…えーっと、なんでしたっけ(ぼんやり　…あ、ブルボンさんは…なんていいますか。特別な存在で。まぁ、色々濃いけど可愛い子ですよ(かわりにひとりちゃんにも説明しておいて  
(2023/1/2 10:37:08)

後藤ひとり> おお……と言う割には随分ここは天然ぽいですけど………(耳としっぽを眺めてみて……)なるほど………つまりペコリーヌさんとブルボンさんは………で、デキてるんですか？……   (2023/1/2 10:38:23)

ミホノブルボン> デキていません(キッパリ即答)   (2023/1/2 10:39:27)

後藤ひとり> (この反応はデキてますね……と心の中で)   (2023/1/2 10:40:14)

ペコリーヌ> あ、いえ、ブルボンさんとは…単純にちょっとした顔見知り？(名前だけ知っている仲)　なので何も知りません！   (2023/1/2 10:40:47)

アリス・キャロル> 悪戯は困るのでやめてくださいね。   (2023/1/2 10:41:02)

ペコリーヌ> 悪戯は誰もできませんでした(しょんぼり一人さんに抱き着いて   (2023/1/2 10:41:26)

後藤ひとり> 特別な存在って言ってたのに顔見知り……よく分からないですね……(ペコリーヌさんむぎゅ)   (2023/1/2 10:41:50)

ペコリーヌ> あー、なるほど。ブルボンさん自体が不思議な人って意味でして。確かにわかりにくかったかもしれません(言い間違えで全然ちがうんだなぁって、改めて感じる今日この頃です   (2023/1/2 10:43:21)

後藤ひとり> あ、なるほど………変な誤解を招くような受け取り方をしてすいません……(土下座)   (2023/1/2 10:44:49)

ペコリーヌ> いえ、少しの違いが全然ちがくなると改めておもいましたので。学びです(わたしもわるいので、お互いさまさまっ   (2023/1/2 10:48:16)

後藤ひとり> というブルボンさんも機能停止したみたいですが……(ペコペコしながらもブルボンさんつんつん)   (2023/1/2 10:49:03)

ペコリーヌ> ふたりとも正月の挨拶にきた感じでしょうか(よくあります   (2023/1/2 10:51:55)

アリス・キャロル> お正月の挨拶を兼ねた顔出しと、特に混ざる話題でもないので……歓談の邪魔にならない程度に。   (2023/1/2 10:53:07)

後藤ひとり> あ、なるほど………確かに話題は私もそんなに……   (2023/1/2 10:54:02)

ペコリーヌ> 正月の話題ってむずかしいですからねー、のんびりしている感じですし。おにぎりしかありませんから(うーんっとうなって   (2023/1/2 10:54:56)

後藤ひとり> とりあえずおにぎり食べときます？   (2023/1/2 10:55:34)

ミホノブルボン> 食べます(機能復帰   (2023/1/2 10:57:22)

後藤ひとり> あ、起きてた……機械もご飯食べるんですね……(おにぎり渡して)   (2023/1/2 10:58:12)

ペコリーヌ> まぁ、わたしもひとりさん帰るまでゆっくりしようか、くらいですから(鮭おにぎり提供しときましょうっ   (2023/1/2 10:58:39)

後藤ひとり> なるほど…………私はもう少しで着きそうです(鮭おにぎりもぐもぐ)   (2023/1/2 11:00:55)

ペコリーヌ> ん、それじゃあ私も寝なおしますねっ(おやすみなさいっ   (2023/1/2 11:11:19)

おしらせ> ペコリーヌさんが退室しました。  (2023/1/2 11:11:23)

後藤ひとり> あ、お疲れ様です   (2023/1/2 11:11:32)

ミホノブルボン> …(冷蔵庫に顔を入れながら食べ物探し)   (2023/1/2 11:12:46)

アリス・キャロル> お疲れさまです。   (2023/1/2 11:13:05)

後藤ひとり> 何食べるんですか…？   (2023/1/2 11:14:01)

ミホノブルボン> (10秒チャージを取り出して、「ぢゅぅ〜〜…」と)   (2023/1/2 11:21:32)

アリス・キャロル> また質素なメニューを……   (2023/1/2 11:24:15)

後藤ひとり> もっと食べてください！？三が日ですよ！   (2023/1/2 11:25:13)

ミホノブルボン> …私の食事はこれで十分ですよ？   (2023/1/2 11:30:00)

後藤ひとり> もっと食べないと倒れちゃいそうです………あ、ウマの方なら人参とか………   (2023/1/2 11:33:56)

ミホノブルボン> ……ニンジン…(口の端からトロっとヨダレを垂らしかけて)   (2023/1/2 11:35:55)

後藤ひとり> あ、食いついた………(どうぞ……と手渡し)   (2023/1/2 11:38:13)

ミホノブルボン> ……ハム(もぐ…)   (2023/1/2 11:41:25)

後藤ひとり> 美味しいですか？……(じい)   (2023/1/2 11:44:30)

ミホノブルボン> ……(もぐ…もぐ…)   (2023/1/2 11:45:41)

後藤ひとり> (食べてる姿可愛い……)   (2023/1/2 11:46:55)

ミホノブルボン> (ごくっ…ん…)   (2023/1/2 11:53:26)

後藤ひとり> 美味しいです？   (2023/1/2 11:56:04)

ミホノブルボン> やはりニンジンは美味しいですね…。エネルギー摂取の最適解とも言えそうです。   (2023/1/2 12:00:17)

後藤ひとり> 馬だから人参には弱いんですね……でも私はお肉とかも好きです   (2023/1/2 12:02:18)

アリス・キャロル> なんの張り合いなんでしょうか。でっかいわけわかめな……   (2023/1/2 12:08:01)

後藤ひとり> 張り合ってないですよ！   (2023/1/2 12:08:59)

アリス・キャロル> あれ、そうでしたか…？（ふむ   (2023/1/2 12:11:59)

ミホノブルボン> (まんぷく)   (2023/1/2 12:13:37)

後藤ひとり> はい………(ブルボンさんのお腹つんつん)   (2023/1/2 12:13:55)

ミホノブルボン> (お腹つつかれて首を傾げて)   (2023/1/2 12:14:56)

後藤ひとり> あ、いえ満腹そうでしたので……何となく……   (2023/1/2 12:15:51)

ミホノブルボン> (ジャージの上から、目の前の女の子のお腹をつつき)   (2023/1/2 12:18:02)

後藤ひとり> 私は満腹ではありませんよ？……(お腹つんつん)   (2023/1/2 12:19:28)

ミホノブルボン> …(興味深々でつんつん)   (2023/1/2 12:24:34)

後藤ひとり> (お互いむごんでむにむに)   (2023/1/2 12:26:37)

ミホノブルボン> ……(つつくのをやめて、軽くつまんで)   (2023/1/2 12:27:14)

後藤ひとり> ひゃっ……(こちらもつまみ)   (2023/1/2 12:27:47)

ミホノブルボン> …ステータス共有『danger』   (2023/1/2 12:29:19)

後藤ひとり> よ、よく分からないけどすいませんでした！   (2023/1/2 12:30:30)

ミホノブルボン> …これ以上はコンプライアンスが危険と判断。個室に連れ出す程までに発展します。   (2023/1/2 12:31:47)

後藤ひとり> や、やめておきます？   (2023/1/2 12:35:05)

ミホノブルボン> …個室に行くのなら続けられます。(今になって胸を揺らして)   (2023/1/2 12:36:15)

後藤ひとり> ……やりましょう………   (2023/1/2 12:39:03)

アリス・キャロル> あぁ、お二人はいってらっしゃいですね。   (2023/1/2 12:40:40)

ミホノブルボン> (優しくお姫様抱っこをしてから連れ出して)ドライブスルーです。   (2023/1/2 12:41:17)

おしらせ> ミホノブルボンさんが退室しました。  (2023/1/2 12:41:18)

おしらせ> クレーさんが入室しました♪  (2023/1/2 12:41:58)

後藤ひとり> お疲れ様ですアリスさん……入れ違いでクレーさんも失礼します……(お姫様抱っこされて)   (2023/1/2 12:42:14)

おしらせ> 後藤ひとりさんが退室しました。  (2023/1/2 12:42:17)

クレー> こんにちはー♪(玄関がちゃこん)   (2023/1/2 12:42:27)

クレー> ひとりお姉ちゃんいってらっしゃーい♡   (2023/1/2 12:42:40)

アリス・キャロル> どうもです、こんにちは。   (2023/1/2 12:43:45)

クレー> アリスお姉ちゃんこんにちは♪(とことこお部屋に入ってはこたつにぽふ…)   (2023/1/2 12:44:21)

アリス・キャロル> はい、こんにちは。クレーさん。   (2023/1/2 12:47:56)

クレー> クレーおばかさんだから…3～5行くらいまでしか文字打てないや…(はふぅ…とこたつでくてぇ…と顔も蕩けちゃって…)。   (2023/1/2 12:49:16)

アリス・キャロル> 急に一体どうしたんです？（小首を傾げて急な自虐に何事か、と）   (2023/1/2 12:52:44)

クレー> うーうん、なんでもなーいよ…(2階のお話聞こえるけど、すごい文字量だーって思っただけ♪)…チョコ食べよ…♪(カサカサ…くるっ…かぷっ…♡)   (2023/1/2 12:54:49)

アリス・キャロル> そうですか？…なんでもないならそれはそれでいいんですけれど。書きたいなら相手の発言を丁寧に全部返信して行くだけで案外文字数は増えますよ。（再び本に目を落として、読書に戻って）   (2023/1/2 12:58:34)

クレー> なるほど……参考にするね…(こくこく…)、アリスお姉ちゃんは本読んでるんだ？何読んでるのー？(ひょこっとアリスお姉ちゃんのこと覗くように…)   (2023/1/2 13:00:45)

アリス・キャロル> 一つ一つの発言に自分の感想とか載せていくプラス1がでっかい大事です。……そうですね、今読んでいるのはフェニーチェ劇場が定期的に発行している今後の演劇予定だったり、劇の見どころを教えてくれる雑誌ですね。普段は歌唱向けの本とかも読みますけど。
  (2023/1/2 13:05:22)

クレー> 演劇っ…！クレーの世界だとフォンテーヌっていう所ではそれが有名ってクレー聞いたことあるっ。クレーも演劇見てみたいなー♪……(温かいお茶もひとすすり…ふー…ふー…ずず…)   (2023/1/2 13:07:37)

アリス・キャロル> そちらの世界はよく存じていないですけれど、劇文化もあるんですね、魔法等の演出はこちらとも違うでしょうしでっかい楽しげです。……フェニーチェ劇場は地球の頃から水の都と謳われるヴェネツィアにして1792年に開館している由緒正しい劇場ですね。  
(2023/1/2 13:18:32)

クレー> ほえー……そうなんだ。うん、フォンテーヌは水神さまがいるから近い感じかもっ。…すっごく古い劇場なんだね……(ごくり)、クレーより長生きだっ   (2023/1/2 13:21:11)

アリス・キャロル> なるほど……あんまり水没とかはしなさそうで羨ましくもなりますね。しないと私の時代に移設されないのでそれはそれで困りそうですけど。　はい、さらに言えば2回全焼していますが、その度に建て直されて復活をしている、フェニーチェ……フェニックスの由来を持つにふさわしい劇場と称されています。
  (2023/1/2 13:23:39)

クレー> フェニックス……フェニックス、ふぇにーくちゅ…フェニーチェ…なるほど♪…(きゅぴーん)、すごい劇場なんだねっ   (2023/1/2 13:25:52)

アリス・キャロル> 同意味を持つ別の言葉ですから、特に訛とかではないと思いますけれど。　そうですね、3度めは水没したわけですが、それでも当時の人達が一つ一つの部品を分解し、新たな場所で再び建築した人々の想いがでっかい詰まっている劇場ですね。  
(2023/1/2 13:29:46)

クレー> なるほど……(ごろごろ…)   (2023/1/2 13:35:38)

アリス・キャロル> そこで文字数が極端に減るのがでっかいダメ丸です。（無理に続ける必要はたしかにないけれども。）   (2023/1/2 13:38:45)

クレー> うにゃ……！ご、ごめんなさいっ……。とりあえず相づちだけでも…と思って……(苦笑い)、お話切り替えるにも思いつくまでに時間かかるから…   (2023/1/2 13:42:32)

アリス・キャロル> 自分の知ってる範囲がテイワット以外にも拡げられるといいですね。（はふ）   (2023/1/2 13:46:09)

クレー> クレーあんまりテイワットのお話しないんだー…。基本的にはこっちの世界(日本の)のお話がメインかもっ…。ちょっとリアルちっくかも…？あとは百合なお話とか……//好き…かな、えへれ   (2023/1/2 13:49:57)

アリス・キャロル> 一応今の話もこっちの時代の話なんですけどね……。まぁ確かに日本ではないんですけど。……上手く連想ゲームのように話題を繋げられたりするといいかもしれないですよ。   (2023/1/2 13:53:31)

クレー> お話べたでごめんね…(しゅん…)   (2023/1/2 13:56:18)

クレー> とりあえず、このままゆっくりのんびりでもいいけど…クレー、ちょっとやることやってきてもいいかな…？   (2023/1/2 13:57:20)

アリス・キャロル> どうぞ、お構いなくですよ。   (2023/1/2 13:57:45)

クレー> うん、じゃあちょっとモンドに一度帰るねっ。あんまりお話できなくてごめんなさいっ   (2023/1/2 13:58:23)

クレー> またね、アリスお姉ちゃんっ(リュック背負って、玄関からお部屋をでちゃうの)   (2023/1/2 13:59:36)

おしらせ> クレーさんが退室しました。  (2023/1/2 13:59:39)

おしらせ> アリス・キャロルさんが退室しました。  (2023/1/2 14:00:05)

おしらせ> 小春六花さんが入室しました♪  (2023/1/2 14:20:55)

小春六花> （よいしょって、もぞもぞとタオルケットにくるまりながらのそのそ   (2023/1/2 14:21:56)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2023/1/2 14:47:25)

おしらせ> 喜多 郁代さんが入室しました♪  (2023/1/2 16:20:09)

喜多 郁代> こんにちは…♪ふふ、皆さん昼間から元気いっぱいみたいで、いいことですね♪   (2023/1/2 16:20:50)

喜多 郁代> みんなが楽しそうにしてるのを見てると、なんだかそれだけで満足しちゃうのはあるのよね…♪たまには私も参加したくなっちゃう時もあるわけだけど…（なんて、苦笑いを浮かべながらコタツに深く座りつつほぅ…と息を吐き…）   (2023/1/2
16:26:39)

おしらせ> 伊地知虹夏さんが入室しました♪  (2023/1/2 16:37:06)

伊地知虹夏> ＼ｷﾀﾁｬｰﾝ!!!／   (2023/1/2 16:37:35)

喜多 郁代> はーいっ☆じゃなくてっ、伊地知先輩、あけましておめでとうございます…♪今年も1年間よろしくお願いしますね♪   (2023/1/2 16:42:43)

伊地知虹夏> あっけおめー♪今年もよろしくねぇ！今年こそ野外フェスに出たり（予定）物販で黒字だしたり（予定）アルバムとシングルだしたり（予定）しよーねー！   (2023/1/2 16:45:18)

喜多 郁代> あはは…相変わらず何ひとつとして確定事項がないんですね…（苦笑い…）でも、どれかひとつでも達成出来たら良かったですね♪   (2023/1/2 16:48:20)

伊地知虹夏> 今年は受験もあるしねぇー……もちろんバンドもとっても頑張るけどねえ♪なんとかミニアルバム二枚くらいの新曲を……今年はお願いしたいなー…(ちらっ）   (2023/1/2 16:50:59)

喜多 郁代> そっか…伊地知先輩とリョウ先輩は受験が…そっちも頑張ってくださいね？心配なのはリョウ先輩ですけど…（苦笑い…）いけますかね？それこそ受験もあるし、少し厳しそうな気はしますけど…   (2023/1/2 16:53:06)

伊地知虹夏> リョウが勉強し始めたら音楽のスキルをすべて忘れるの忘れてた……どうにか……ならないかなぁ……積載数少ないもんなぁ……リョウ…。そこはほら！喜多ちゃんも積極的参加で楽曲作ってもいいんだよー？（うふふふふ）　   (2023/1/2
16:55:00)

喜多
郁代> あはは…どうにもならなさそうですよね…一旦全部忘れてもらうか高卒になってもらうしか…！（うぐぐ）いきなり作曲は厳しいですよ！？作詞とかならしてみたい気もしなくはないですけど…結束バンドのイメージと違うポエムみたいな曲になりそうな気も…（めそらし…）  
(2023/1/2 16:58:10)

伊地知虹夏> 高卒紐ベーシストはいよいよ手につかなくなるけど……（それでいいのかなぁって生暖かな視線）でもきっと、たまにはさくしとかしてみよーよっ！今年も4人で色んな思い出作りたいし！（気にしなーい、気にしなーい）   (2023/1/2 17:06:02)

喜多 郁代> だ、大丈夫！結束バンドがちゃんと売れれば多分…！（ぎこちなく顔を背け…）えー、じゃあ、伊地知先輩も作詞してみましょうよ♪ほらっ、たまにはいいでしょうっ？（逃がしませんよ♪と言いたげに両肩掴み…）   (2023/1/2 17:08:23)

伊地知虹夏> 多分…多分なんとかなるといいなぁ！（本当に…、ほんとにってなむなむ）いいねえ！みんながもっとスケジュールとか立ててくれるならやりたいなあ？（がしって掴み返して、会議の予定とか……管理してくれる？と言いたげなつかみ返し）   (2023/1/2
17:21:29)

喜多 郁代> 最悪の場合   (2023/1/2 17:23:18)

喜多
郁代> 最悪の場合、きっと伊地知先輩が養うことになると思いますけど、何とかなりますよね！（ぐっ…！）スケジュール立て…あ、えーっと…ほら、そこは3人で分担すれば、何とか……ならないかも…。（逆に肩を掴まれてしまえば考えてみたものの、リョウ先輩もひとりちゃんもそういうのすごく苦手そう…。そっと目を逸らし…）
  (2023/1/2 17:25:16)

伊地知虹夏> それは最悪すぎるかなあ！老々介護とか要介護人囲むのやだよーう！（うわーん！）箱を抑えたりそのばその場ならみんなやれるけど全部ってなると大変だよね！わっかるー！（掴んだ手を離して、裏方に専念する、ってじっと見つめ）   (2023/1/2
17:35:14)

喜多 郁代> あはは…でもほら、伊地知先輩、いつも最後にはリョウ先輩のこと助けてあげてますし♪（くす…♪）そ、そこはほんとにいつもありがとうございます…！…でも、いつかは作詞してみてもいいんじゃないかな、なんて…（めそらしめそらし…）   (2023/1/2
17:37:09)

喜多 郁代> あれ、先輩、寝ちゃいましたかね…？（ほっぺつんつん）   (2023/1/2 17:52:26)

おしらせ> 無言時間が25分を超えたため、伊地知虹夏さんが自動退室しました。  (2023/1/2 18:00:16)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/1/2 18:00:48)

後藤ひとり> こ、こんばんは   (2023/1/2 18:00:51)

喜多 郁代> あ、ひとりちゃん、こんばんは…♪   (2023/1/2 18:01:34)

後藤ひとり> は、はいすっかり夜ですね………   (2023/1/2 18:03:40)

喜多 郁代> そうね…♪ひとりちゃんは今日も一日色々楽しんでたみたいだけど…♪（くす）   (2023/1/2 18:04:58)

後藤ひとり> え？い、いやそんなこと……///   (2023/1/2 18:05:37)

喜多 郁代> 全然否定しなくてもいいのに…♪   (2023/1/2 18:07:18)

後藤ひとり> じ、実はお互い眠くてそこまで深い行為は……///   (2023/1/2 18:07:56)

喜多 郁代> あ、そうだったのね…？それは勘違いしちゃってごめんなさい…   (2023/1/2 18:09:12)

後藤ひとり> あ、いえ普通は分からないので気にする必要ないですよ！   (2023/1/2 18:09:45)

喜多 郁代> そう？ありがと…♪じゃあ、2人ともゆっくり寝てた感じかしら？それはそれで微笑ましいけど♪   (2023/1/2 18:11:31)

後藤ひとり> あ、あはは………お外出たおかげで疲れてて……   (2023/1/2 18:13:49)

喜多 郁代> どこか行ってたのね♪…初詣とか？   (2023/1/2 18:14:20)

後藤ひとり> 初詣ですね…   (2023/1/2 18:17:05)

喜多 郁代> 初詣！おみくじとか引いた？私は凶だったんだけど…（めそらし…）   (2023/1/2 18:18:09)

後藤ひとり> …………私もです………(ずーん)   (2023/1/2 18:18:41)

喜多 郁代> 同じ！？わー…珍し♪でも、ひとりちゃんとお揃いって考えたらなんだかいい気がするわ♪それに、凶も悪いことばっかりじゃないみたいだし♪   (2023/1/2 18:19:40)

後藤ひとり> う、嬉しいけど私と関わったせいで喜多ちゃんの運が下がったとなると申し訳が………！そうですか？私の内容は散々でした……   (2023/1/2 18:20:39)

喜多 郁代> 全然気にしないでね！？今たまたま運気が低いってだけだと思うし！？まぁ、私も書いてあることはたしかに酷かったけど…   (2023/1/2 18:24:09)

後藤ひとり> そうでしょうか……ま、まあ私の家族も凶でしたが……待ち人は来なくて病気は治りにくいみたいです………(ちーん)   (2023/1/2 18:25:52)

喜多 郁代> こ、今年1年ずっとそうって訳じゃないんだから！ね？ねっ？   (2023/1/2 18:27:19)

後藤ひとり> 私がここに来なくなったらそういうものだと………(さらさらー)   (2023/1/2 18:27:44)

喜多 郁代> ひとりちゃん！？灰にならないでーっ！？（あわあわ…）   (2023/1/2 18:28:22)

後藤ひとり> あ、は、はい(ギリギリの頃で元に戻り…)   (2023/1/2 18:30:07)

喜多 郁代> あはは…新年でもひとりちゃんは相変わらずね？（苦笑いしながら、とりあえず元に戻ったのを安心したように胸を撫で下ろし）   (2023/1/2 18:31:22)

後藤ひとり> 年が変わっても私は変わりません……むしろこじらせて最悪なことになるかも………！(黒いオーラのままそういい)   (2023/1/2 18:33:50)

喜多 郁代> そんな事ないから！？ひとりちゃんはこれ以上悪くなったりしないから！？ね…？もう少し前向きに生きましょ？   (2023/1/2 18:38:41)

後藤ひとり> そうでしょうか……にしてもメンバー内でおみくじの結果凶の人が少なくとも半数は居るバンド……大丈夫でしょうか…………   (2023/1/2 18:39:39)

喜多 郁代> き、きっとリョウ先輩と伊地知先輩はいい結果だから大丈夫…！そう信じましょう！？そうじゃなくても、おみくじの結果が全てじゃないし…！   (2023/1/2 18:41:11)

後藤ひとり> リョウさんは金運がアレそうだし……虹夏ちゃんは運が良さそう………いやここまで来たら全員凶だったら面白いかも…(へへ……ふへへ)   (2023/1/2 18:43:31)

喜多 郁代> ひとりちゃん！？なんか黒いオーラがもやもや出てきてるから…！そんなに自虐的にならないで、ね？…リョウ先輩の金運が悪いというより、お金遣いが荒いだけだから…   (2023/1/2 18:45:20)

後藤ひとり> えっ……あっはい………では悪運を清めるために滝主義を始めましょう………。………まあ確かに……いやその………収入さえ増えれば荒くても問題ないので………金運あるといいですね……   (2023/1/2 18:47:45)

喜多 郁代> 滝行！？…この時期に滝行なんてしたら間違えなく風邪ひいたりしない…？（苦笑い…）リョウ先輩の場合は増えたら増えた分だけ使いそうな気もしなくもないけど……   (2023/1/2 18:49:01)

後藤ひとり> じゃあ何をして運を清めろと！？……(ずーん)……ひ、否定できない………大人になった時大丈夫ですかね   (2023/1/2 18:52:00)

喜多 郁代> そんなに無理に清める必要も無いと思うわよ？ほら、最後には実力だし…！（ひとりちゃんがどんどん黒い方に沈んでく！？）うーん…ほんとに伊地知先輩とかが養うことになりそう…   (2023/1/2 18:53:41)

後藤ひとり> ま、まあ確かに………でも運も実力もない私にはどうしようも……(負のスパイラル………！)確かに……なんか居候とかしてそうですね……虹夏ちゃんなんやかんや甘いですから……   (2023/1/2 18:55:44)

喜多 郁代> 少なくともひとりちゃんは実力の塊でしょう！？もう、そんなに落ち込まないで…！！（ゆさゆさゆさ）あはは…伊地知先輩も最初は厳しくしてるけど、最後甘やかしちゃうものね…（苦笑い…）   (2023/1/2 18:57:12)

後藤ひとり> そ、そろ活動はともかく合わせる方は全然まだまだ………！(ゆさゆさされると黒い液体が漏れかけて……)ですよね…………多分ダメな人を見ると母性本能が働くタイプの人なのかも…   (2023/1/2 18:59:26)

喜多 郁代> 合わせる方もだんだん本来の実力出るようになってきてるでしょ！？ひとりちゃんの自信がどんどん熔けてく！？（口からなんか黒いもの漏れて来てる！？）さすが伊地知先輩…結束バンドのお母さん…   (2023/1/2 19:01:03)

後藤ひとり> そうでしょうか………私よりも上手いギターの方が来たら遠慮なく切り捨てていいですからね………(放心した状態でそれをふきふき……)リーダーからママに昇格………！お父さんは誰なんですかね………   (2023/1/2 19:05:30)

喜多 郁代> 絶対そんな事しないから安心してね！？って言うか、結束バンドのメンバー交代とか、誰であっても嫌だし…！お父さんは…不在…？   (2023/1/2 19:06:41)

後藤ひとり> そうですか……そう言われると安心です………私も精進しますね………(ようやく機嫌が治りにへら………)いつか新キャラが出たらその人が父ですね……   (2023/1/2 19:08:56)

喜多 郁代> 当然でしょう？もちろん、私ももっともっと練習して上手になるから…♪（にへり、と緩い笑みを浮かべ…。）そんな簡単にお父さん決めていいのかしら！？   (2023/1/2 19:10:43)

喜多 郁代> っと、私はそろそろ一旦落ちるわね？お話しに来てくれてありがとう、ひとりちゃん…♪   (2023/1/2 19:12:20)

喜多 郁代> また後で話しましょ？それじゃあねっ♪   (2023/1/2 19:12:30)

おしらせ> 喜多 郁代さんが退室しました。  (2023/1/2 19:12:33)

後藤ひとり> が、がんばりましょうね……あ、お疲れ様です   (2023/1/2 19:13:44)

おしらせ> 後藤ひとりさんが退室しました。  (2023/1/2 19:13:46)

おしらせ> 小春六花さんが入室しました♪  (2023/1/2 20:26:32)

小春六花> 今日はだれもいないかんじなのねー。めずらしー。……みんな腰でも痛めすぎた（？）   (2023/1/2 20:27:02)

小春六花> 私も流石にだいぶ調子上がってきてるし、あとはなにもないこと祈るしかないねぇ……（お布団もぞもぞ）   (2023/1/2 20:43:21)

小春六花> まー…今日はだいぶ静かってことでね。（ぐでー   (2023/1/2 21:01:32)

小春六花> んー……寝すぎて暇！寝れぬ！（ぬぬぬぬ）   (2023/1/2 21:28:12)

おしらせ> 八重神子 ◆zj4nGVXxckさんが入室しました♪  (2023/1/2 21:43:17)

八重神子 ◆> ここが斯様なまでに静かなのは久しぶりじゃのぅ   (2023/1/2 21:43:50)

小春六花> ねー。誰も来ない日もあらぁなーって思いつつ、それが私のタイミングかー！かー！ってなるね（？）   (2023/1/2 21:47:43)

八重神子 ◆> まぁ、妾がよく顔出しておった頃は誰も来ないのがデフォ、というやつじゃったからのぅ...   (2023/1/2 21:48:49)

おしらせ> ケオベさんが入室しました♪  (2023/1/2 21:54:23)

ケオベ> こんにちはー！（あいさつ、ってこんなんでいいんだよね。おいらしってるよ！）   (2023/1/2 21:54:52)

おしらせ> IAさんが入室しました♪  (2023/1/2 21:54:56)

IA> くぁ〜〜...(猫のように欠伸して)   (2023/1/2 21:55:13)

小春六花> こんばんー。　まぁ、私もだいたいそんなかんじなのは変わらないし？   (2023/1/2 21:55:29)

八重神子 ◆> こんばんはじゃ、まぁ最近は休みじゃしのぅ   (2023/1/2 21:56:49)

ケオベ> こんば…んはー？あいさつってむつかしーね。こん、こー…んー？（てのひらに指先でかいて覚えよう、としてみたけど、よくかんがえたらおいら字とかよくわかんなかった！あるぇーって首かしげ。）   (2023/1/2 22:00:15)

八重神子 ◆> ふぅ、家についたし妾はこれまでじゃな....入ってきた2人にはすまぬがまた会得た時はよろしく頼むのじゃ   (2023/1/2 22:01:18)

IA> (やえみこの方に歩いて、しれっと鼻先にちゅっと)   (2023/1/2 22:01:43)

ケオベ> 巣に帰るの？ばいばーい。おやすみ！（これはたぶんあってる。はず！）   (2023/1/2 22:02:37)

八重神子 ◆> おやすみじゃ（いあに仕返し額に口付、ケーちゃんに手振りそのまま出ていって）   (2023/1/2 22:03:51)

おしらせ> 八重神子 ◆zj4nGVXxckさんが退室しました。  (2023/1/2 22:03:59)

小春六花> おつかれさまー。   (2023/1/2 22:04:02)

ケオベ> （ぶんぶん振り返し）   (2023/1/2 22:04:09)

IA> (嬉しそうに顔をはにゃん)   (2023/1/2 22:05:54)

IA> …(しずか)   (2023/1/2 22:40:27)

小春六花> だってぇ……！   (2023/1/2 22:40:55)

小春六花> 喋れる人が……いなぐでぇ゛……！！なにばな゛じでも゛…ぉ！！   (2023/1/2 22:41:19)

小春六花> おんなじやお゛んな゛じやおもでぇ………！！！！   (2023/1/2 22:41:39)

IA> …なかないで(なでりんこ)   (2023/1/2 22:42:26)

ケオベ> （ぼけぇー…って天井みてるおいら。）　ひゃぁ！？（そして突然の鳴き声にびっくりするおいら。）   (2023/1/2 22:42:31)

小春六花> いや、野々村議員のものまねだから大丈夫だけど……（しれり   (2023/1/2 22:43:23)

ケオベ> えっ、なんでないてるの。おなかへったの？（おなかへるとつらいよね、ぐーぐーなるよねってかお）　ののむら…？それ、おいしい？（たべものじゃない。たぶん。）   (2023/1/2 22:44:15)

小春六花> え……ネタがこうして通じないからかな……（なでり   (2023/1/2 22:45:21)

ケオベ> えー…おいら、きみを泣かせちゃったの？ねたってなあに？（しょんぼり。でもなでてもらうのきもちいーよね、おいら尻尾ぶんぶん振っちゃうよ。）   (2023/1/2 22:47:04)

