/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月26日 15時18分 ～ 2018年06月27日 09時20分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

田井中律> まだこんにちはじゃね？(笑いながら背泳ぎぷかぷか～)   (2018/6/26 15:18:42)
田井中律> あ、オレンジとカルピス混ぜて！(ミックスジュースにしようとして)【主人公はＳデレな純和風美少女(笑顔は目付きが悪くなります)ツンデレやロリが働くメイドカフェみたいなお話し♪】   (2018/6/26 18:01:53)

大宮忍> ありですねー！…(なるほどと思いつつも私も試して)【おお、なかなか面白そうです】   (2018/6/26 18:02:59)

田井中律> ドリンクバーったらやっぱりこれだろ？(ミックスジュース飲みながらカルピスを忍に渡して)【レンタルあるんじゃない？】   (2018/6/26 18:04:14)

大宮忍> はい…♪(受け取りつつ飲んで)【なるほど、見てみます】   (2018/6/26 18:04:50)

田井中律> 気を付けないと下手なの混ぜたら飲むの地獄になるからな？(笑いながら飲んでいて)【私はCD目当てで買ったけどね♪(笑)】   (2018/6/26 18:08:42)

大宮忍> そうですね、この組み合わせなら大丈夫ですね！(飲みながらも)   (2018/6/26 18:09:51)

田井中律> 忍なら何混ぜる？(聞いてみて)   (2018/6/26 18:10:31)

大宮忍> うーんと考え込んでカルピスとブドウとか、カルピス安定です   (2018/6/26 18:12:48)

田井中律> 私なら炭酸水にカルピスにオレンジでオレンジカルピスソーダにするぞ！(笑)   (2018/6/26 18:14:00)

大宮忍> それもありですね…(ニコリと)   (2018/6/26 18:17:01)

田井中律> 後は紅茶があると良いかな？(う～ん)   (2018/6/26 18:18:25)

大宮忍> なるほど…(確かにです、なんて)   (2018/6/26 18:18:58)

田井中律> ドリンクバー豊富なファミレスにはついつい長居したくなるよな♪   (2018/6/26 18:21:31)

大宮忍> 分かります！(うなづいて)   (2018/6/26 18:22:54)

田井中律> 話に盛り上がって夜中までとか会ったなぁ～(思い出して)   (2018/6/26 18:23:43)

大宮忍> あ、あはは…(それはすごいですと思いつつ、)【と、落ちないとです】   (2018/6/26 18:24:59)

田井中律> 今は大分規制されてる所とかあるんだよね(頬かきながら)【了解♪お疲れ様でした♪】   (2018/6/26 18:26:08)

大宮忍> 【また会えたらよろしくお願いしますねー】   (2018/6/26 18:27:52)

おしらせ> 大宮忍さんが退室しました。  (2018/6/26 18:27:53)

田井中律> 【はい♪またお話しましょう♪】   (2018/6/26 18:28:59)

田井中律> 【夕飯落ちです♪】   (2018/6/26 18:41:14)

おしらせ> 田井中律さんが退室しました。  (2018/6/26 18:41:20)

おしらせ> 田井中律さんが入室しました♪  (2018/6/26 18:42:22)

田井中律> 【忘れてた！青娥さんへ。見てたら待ち合わせに部屋作って置くのでそちらによろしくです♪】   (2018/6/26 18:43:58)

おしらせ> 田井中律さんが退室しました。  (2018/6/26 18:44:05)

おしらせ> 柊かがみ☆さんが入室しました♪  (2018/6/26 20:11:46)

おしらせ> 柊かがみ☆さんが退室しました。  (2018/6/26 20:11:58)

おしらせ> 田井中律さんが入室しました♪  (2018/6/26 20:20:09)

田井中律> 再びこんばんは♪お部屋は普通にリビングで良いや。   (2018/6/26 20:21:19)

田井中律> (買ってきたプリンを取り出してソファに座ると食べながら)プリン美味♪   (2018/6/26 20:22:14)

田井中律> (プリン食べ終わるとTV付けてチャンネルを変えながら)なんかやってないかなぁ～   (2018/6/26 20:34:44)

田井中律> つまんな～い！(TV何もやっておらずソファに寝転がって)   (2018/6/26 20:47:01)

おしらせ> 籾岡 里紗さんが入室しました♪  (2018/6/26 20:57:59)

田井中律> 【里沙、こんばんは♪】   (2018/6/26 20:58:24)

籾岡 里紗> なんだかお暇そうねー？(ひょっこりと現れて、ぴーすっ。)   (2018/6/26 20:58:37)

籾岡 里紗> 【やっほー！時間ぎりぎりだよー。早速お部屋デートでもする？】   (2018/6/26 20:59:11)

田井中律> 一人で居たら暇なの暇なの～(ソファで寝ている為に里沙にスカート捲れチラッと下着見えたり)   (2018/6/26 21:00:22)

田井中律> 【うん♪非公開で作る？】   (2018/6/26 21:00:57)

籾岡 里紗> 【わあいっ、お願いしてもいい？】   (2018/6/26 21:01:30)

田井中律> 【は～い♪今作るね♪】   (2018/6/26 21:02:13)

籾岡 里紗> えへへ、律も私と一緒で待つのとか苦手そう…(だらしない姿にもぞもぞ…狼になっちゃってもいいのかにゃ…なんて思うよね♪)   (2018/6/26 21:02:41)

田井中律> 【作ったよ♪】   (2018/6/26 21:03:35)

籾岡 里紗> 【にしし、ありがとー。そっちにいくねー！】   (2018/6/26 21:03:49)

おしらせ> 籾岡 里紗さんが退室しました。  (2018/6/26 21:03:53)

田井中律> 【では、移動します。お邪魔しました♪】   (2018/6/26 21:04:25)

おしらせ> 田井中律さんが退室しました。  (2018/6/26 21:04:31)

おしらせ> 京塚志温さんが入室しました♪  (2018/6/26 22:08:13)

おしらせ> 無言時間が20分を超えたため、京塚志温さんが自動退室しました。  (2018/6/26 22:28:54)

おしらせ> 九条カレンさんが入室しました♪  (2018/6/26 22:29:11)

おしらせ> 秋山澪さんが入室しました♪  (2018/6/26 22:40:27)

秋山澪> こんばんは…   (2018/6/26 22:40:42)

九条カレン> こんばんはデース   (2018/6/26 22:41:46)

秋山澪> はじめて…かな…   (2018/6/26 22:42:12)

九条カレン> 初めましてデース！九条カレンデース！   (2018/6/26 22:42:44)

秋山澪> よろしくお願いします…(ソファーに腰掛けて)   (2018/6/26 22:43:07)

九条カレン> こちらこそよろしくお願いしますデース…(ニコリと笑いつつ)   (2018/6/26 22:43:26)

秋山澪> 夜は寂しいね…   (2018/6/26 22:44:03)

九条カレン> デスね…(うなづいて)   (2018/6/26 22:45:41)

秋山澪> 寂しい者同士…なにかする？…(小首傾げ)   (2018/6/26 22:47:29)

九条カレン> もちろんデース【あ？ccしてきてもいいですか？】   (2018/6/26 22:49:44)

秋山澪> 【構わないよ？わかるやつなら…】   (2018/6/26 22:50:04)

九条カレン> 【きんモザわかるですか？】   (2018/6/26 22:50:16)

秋山澪> 【カレンちゃんなら分かるデース】   (2018/6/26 22:50:44)

九条カレン> 【他はわからないデス？】   (2018/6/26 22:51:05)

秋山澪> 【うん…】   (2018/6/26 22:53:22)

九条カレン> 【他にして欲しい作品あります？】   (2018/6/26 22:55:01)

秋山澪> 【何が出来るかな？…】   (2018/6/26 22:55:22)

九条カレン> 【ごちうさ、NEW GAME!!、ゆゆ式、スロウスタート、とか日常系ならいろいろです】   (2018/6/26 22:56:00)

秋山澪> 【ごちうさです…♪】   (2018/6/26 22:58:00)

九条カレン> 【了解ー、誰がいいですか？】   (2018/6/26 22:58:18)

秋山澪> 【リゼちゃん♡】   (2018/6/26 22:58:41)

九条カレン> 【んにゅ、了解です】   (2018/6/26 22:59:00)

おしらせ> 九条カレンさんが退室しました。  (2018/6/26 22:59:07)

おしらせ> 天々座理世さんが入室しました♪  (2018/6/26 22:59:21)

天々座理世> よろしく…お願いするぞ…(なんて挨拶して)   (2018/6/26 23:00:28)

秋山澪> よろしくね…リゼちゃん…(微笑んで)   (2018/6/26 23:01:05)

天々座理世> よろしくな…(なんて私も微笑み返して)   (2018/6/26 23:03:41)

秋山澪> 寂しい…何でだろうか…   (2018/6/26 23:04:16)

天々座理世> 夜だから人も来ないしな…(なんて)   (2018/6/26 23:05:23)

秋山澪> なら…お部屋でも行くか？…   (2018/6/26 23:08:49)

天々座理世> 待ち合わせのことか？   (2018/6/26 23:09:51)

秋山澪> そうだな…   (2018/6/26 23:10:09)

天々座理世> 作ってくれるか？   (2018/6/26 23:11:07)

秋山澪> 構わないよ…非公開かな？   (2018/6/26 23:11:44)

天々座理世> ああ、あまり時間ないがいいか？   (2018/6/26 23:12:27)

秋山澪> うん…作るな…   (2018/6/26 23:12:48)

おしらせ> 秋山澪さんが退室しました。  (2018/6/26 23:12:50)

おしらせ> 天々座理世さんが退室しました。  (2018/6/26 23:13:02)

おしらせ> マルガ・ナルゼさんが入室しました♪  (2018/6/27 01:29:45)

マルガ・ナルゼ> んー……！疲れたわね…一息いれましょうか（ぼそぼそ呟きながらリビングを訪れたのは6枚の黒い翼を持つ少女。体にフィットしたスーツの隙間から出したそれを邪魔にならない程度に畳んでソファへ腰掛けると、エアコンのスイッチをぴっと。極薄のスーツとはいえそれなりに暑い模様）
  (2018/6/27 01:36:33)

おしらせ> ハルファスさんが入室しました♪  (2018/6/27 01:43:01)

ハルファス> こんばんは……（ひょこん、と入ってみるよ。不思議な服を着た人。地球の人なのかな、メギドなのかな。よくわからなくてきょとんとしているよ）   (2018/6/27 01:43:53)

マルガ・ナルゼ> ……あら、こんばんは。……ああコレ？羽根生えてるのは珍しいでしょうね（訪れた少女に気付くと挨拶するが、こちらを見る反応に苦笑浮かべ、畳んでいた羽根を広げてみせて。体積が一気に倍加した感じ）   (2018/6/27 01:50:44)

ハルファス> 初めまして、私はハルファス。あなたはだあれ？　地球の人？　それともメギド？   (2018/6/27 01:51:50)

ハルファス> （羽根の方をじーっと見ているよ。羽根があるからメギドなのかな、でも服はヴァイガルドのともメギドラルのとも違うみたい。不思議）   (2018/6/27 01:53:10)

マルガ・ナルゼ> 私はマルガ・ナルゼ。メギドってのは知らないけれど、地球の住民よ。国は武蔵。分かるかしら？（羽根に向けられた視線感じつつ質問へ応えると、ついでに羽根ぱたぱた。猫に猫じゃらし見せてる気分が近いかも）   (2018/6/27 01:56:58)

ハルファス> ナルゼ、でいいのかな。むさしってところは聞いたことないけれど、メギドじゃないのなら地球の人なんだね。あなたみたいな地球の人、初めて見た。（触ってもいいのかな、怒られちゃうかな。羽根の方を気にしているよ。私の本性は猫じゃなくてムササビに似た生き物だけど、じゃらされてるのは変わらないかも。私はピンク髪をポニーテールにして、ハーフトップとショートパンツを着ているよ。ちょっとファンタジーっぽい感じ、って言って伝わるかな。ナルゼから見ると、きっとすごく古く感じると思う）
  (2018/6/27 02:02:21)

マルガ・ナルゼ> 好きに呼んでくれて構わないわ。あなたはハルファス…しか呼びようないか。そうでしょうね。私も翼生えてるのはそこまで見かけないもの。レアってやつね（恋人とクラスメートにいるけれど、それ自体がレアなのも事実。どこかゲームちっくな装いのハルファスもマルガ視点ではレア……でもないかもしれない。幽霊や骸骨が普通に生活してる世界なのだ）……気になるなら触ってみる？（視線感じながらすたすたと歩み寄ると、横向きになってハルファスの眼前に羽根ばさーっと）
  (2018/6/27 02:14:36)

ハルファス> 触っていいの？　ありがとう……（おずおずとナルゼの羽根に触るよ。黒くてつやつやできれいな羽根。初めて見る羽根の生えた人に、目をキラキラさせているよ）私にとっては、ナルゼの方が不思議。珍しい同士だね、私たち。   (2018/6/27
02:19:24)

マルガ・ナルゼ> あれだけ見られてるのに、はい駄ー目☆なんてそうそう言えないわよ。目を惹くようにしてたのは私だしね。……優しくね？（飛ぶための器官だけに乱暴に扱われると困る。とてもとても困る。けれどそんな心配は杞憂で、思いの外丁寧に触られてむずがゆいくらいで）そうね、私達の方じゃ人狼とか妖精とかもいるけど、翼あるのって意外と居ないのよ。ハルファスはどうも地球じゃないとこから来たようだし、ほんと珍しいわね。ハルファスのとこってどんななの？（結構ボリュームある羽根ぴこぴこさせながら、ちょっと好奇心刺激された顔を向けて）
  (2018/6/27 02:23:22)

ハルファス> 私の住んでるところは、戦ってるとこ。私はメギドラルっていうところから追放されて、ヴァイガルドっていうところでヴィータ……地球の人に生まれ変わらされたの。でも、メギドラルはヴァイガルドで戦争をしようとしてて、私たちはそれを邪魔してるの  
(2018/6/27 02:26:40)

ハルファス> （地球の人みたいな生き物、かな。ヴィータは地球の人そっくりだけれど、地球に住んでるわけじゃないから）   (2018/6/27 02:27:11)

マルガ・ナルゼ> ……あら、ハルファスのとこもなの？どこも戦ってばかりなのねぇ……（ハルファスの言葉に驚いたように眉跳ね上げ、呆れたような表情へシフトすると小さくため息を）私達の方も戦争ばかりよ。歴史再現って言ってね、過去の事象をなぞってるんだけど、戦争もなぞっちゃってるのよねぇ……。おまけにウチの実質トップは戦争狂で、あっちこっちに喧嘩売って困ったものよ。世界も理由も違っても、やってることそんな変わらないのかもね？
  (2018/6/27 02:31:31)

ハルファス> れきしさいげん。昔の戦争のまねごと？　へんなの。メギドラルも、昔の戦争をまた起こしたいみたい。ハルマゲドン、っていうの。ハルマニアっていうところと、ヴァイガルドで戦おうとしてる（ナルゼの世界なら、大昔の「せいふ」？　に、「がいねんせんそう」のことが書いていないかな？　メギドラルとハルマニアは、ヴァイガルドを挟んでくっついてる異世界なの。がいねんせんそうだったら、ぎあ、っていうと思う）
  (2018/6/27 02:34:35)

マルガ・ナルゼ> うちとこの世界が滅びそうなの止めるための再現……なんだけど、どこまで効果あるのかしらね。戦争で滅びなきゃいいけど……ハルマゲドン！？物騒な単語が出て来たわね…なに、滅びそうなとこまで似てるってわけ？（ぽんっと飛び出た言葉に、流石に驚きを隠せない様子。声も音量とトーン跳ね上がって、今の時刻思い出し慌ててお口ガード。口押さえ音量も抑え、驚きと呆れの混じった口調で）あー、変な声出したら喉渇いちゃった。ハルファスも何か飲む？（飲み物求め冷蔵庫物色しながら、ハルファスにも問うて）
  (2018/6/27 02:40:51)

ハルファス> うん。今は護界憲章っていうのがあるからギリギリ大丈夫だけど、本当にハルマゲドンが始まったら、きっとヴァイガルドは燃えてしまう。（私も少し緊張して喉が渇いたから、ナルゼの方を向いて言うよ）ナルゼがいいなら、ナルゼと同じものでいい。私も、少し喉乾いてるから
  (2018/6/27 02:45:03)

マルガ・ナルゼ> うわ…。こっちはこっちで世界が消えてってるし、そっちは燃えちゃう？どこもギリギリのラインなのね。やな共通点ー（眉を寄せながら冷蔵庫を物色する手が止まる。好みの飲み物を見つけたようだ）じゃあ同じのにする？それならこのおっきなボトルにして……（大きめのボトルと2人分のグラスを手にソファへ戻ると、持ってきたものをテーブルの上へ。それぞれのグラスにボトルの中身を注ぐ）はい、りんごジュース。りんごは医者いらずって言うぐらい体にいいのよ。……ハルファスにも効くかは分かんないけど（よく考えたら味覚とかも違うかも？と新たな疑問が浮かんだが、まーなるようになるでしょうと投げ捨てる、そんな心の推移わずか1秒。ソファへ腰掛け足組みながら、自分の分をくいっと飲んでみせて）
  (2018/6/27 02:54:58)

ハルファス> リンゴの匂い……ありがとう、ナルゼ。いただきます（りんごは大好物。両手でグラスを持って、ちびちびと飲み始めるよ）ナルゼのところも大変なんだね……上手くいくといいね、歴史再現   (2018/6/27 02:59:10)

マルガ・ナルゼ> そっちにもリンゴはあるのね。一安心したわ（美味しそうに飲む様子に安堵の吐息漏らすと、自分もこくこくと。グラス空けて即お代わり注ぎ）ラスボスも出て来たし、戦力になる仲間も頭回る仲間も、なーんの役にも立たないけど補給線にはなる馬鹿もいるわ。手持ちのカード使い切ってでも上手く行かせてみせるわよ（上手く行くよう祈りなどせず打てる手尽くして無理矢理でも上手く行かせる。そんな決意が垣間見える不敵な笑み浮かべて）
  (2018/6/27 03:05:54)

ハルファス> ナルゼはすごい。私にも、強いメギド、元気なメギド、優しいメギド、うさんくさいメギド……いろんな仲間がいるよ。それに、私たちにはソロモン、魔を統べる者がいる。ナルゼが頑張るみたいに、私も頑張るよ（ナルゼはかっこいい。すごいね、って気持ちを笑顔に込めて、ナルゼを見つめるよ）
  (2018/6/27 03:09:46)

マルガ・ナルゼ> うさんくさいのもどこにでも居るのね……（さらっと混じった言葉に気付くと、自分たちのトップ、一年の大半を全裸で過ごす馬鹿が脳裏に浮かぶ。けれどそういう奴が時として要になりえることも知っている）そっちもきっと大丈夫。ハルファスみたいな素直でいい子がいるんだもの、上手いこと転んでくれるわよ。よしよし（幼い子ががんばるよー！と主張してるようなかわいらしさを感じ、つい頭をなでなでと）
  (2018/6/27 03:16:04)

ハルファス> ……ありがとう、ナルゼ。ナルゼはいい人。（頭をなでられるのは嬉しい。もういないお母さんに撫でてもらっているみたいで、嬉しくてくすぐったくて、甘えるように身を寄せるよ。きっと、ナルゼにとっての全裸の人は、私たちにとってのソロモンみたいな人。あと、うさんくさい仲間は村ひとつ滅ぼすくらいにはうさんくさいから、ハルマゲドンを止めた後もちょっと心配）
  (2018/6/27 03:19:57)

マルガ・ナルゼ> 気のせいよ。私は人が悪いんだもの（真っ直ぐに褒められるのが気恥ずかしいのか頬ほんのり染め、そっぽ向きながらも頭撫で続けて。金髪巨乳こそ正義でござるーいいや姉が一番だ違います幼女に勝る者など無し！とエロゲへの熱い想いぶつけ合うこっちの馬鹿どもといい勝負じゃないのそのうさんくさいの……）
  (2018/6/27 03:26:00)

ハルファス> ううん、ナルゼはいい人。素直じゃないところは、ちょっとウェパルに似てる（ウェパルは鳥じゃなくて人魚のメギドだけど、って付け加えて、ナルゼにぴったりと寄り添うよ。ちなみにフォルネウスっていううさんくさい仲間は、はっきりと邪悪な信念がある分たちが悪いと思う。ナルゼの友達みたいに、平和なことに悪知恵を使ってくれればいいのに）
  (2018/6/27 03:30:06)

マルガ・ナルゼ> なにそれ、私に似てる人まで……え？今ウェパルって…それに……ハルファス…ってことは、それって……ソロモンの72柱？（ハルファスの出した言葉でようやく記憶の糸が繋がり、浮かび上がった名称をぽそりと口にして。　大丈夫、うちの連中はよろしく無いことにも全力注ぐのしかいないから）
  (2018/6/27 03:34:49)

ハルファス> うん。そうだよ。だから、私たちは私たちのリーダーを、ソロモンって呼んでる。地球の友達が言ってた、地球にも私たちの名前が伝わってるんだって。ヴァイガルドに迷い込んだ人がいるのかな？（どこかのアプリゲームだとイカのげそみたいだけど、私たち追放メギドはメギドっていう生き物の力を宿して生まれてくるメギド人間なの。奥義を撃つときだけ、メギド体に戻れるんだよ）
  (2018/6/27 03:39:43)

マルガ・ナルゼ> はえー、共通点のバーゲンセールじゃない。案外接点多いのかもね。ソロモンもこっちに話伝わってるわ。かつて72の悪魔を従えた偉大な王だってね。そんなこともあるのねえ…（寄り添ったハルファスまじまじと見つめるも、その目に嫌悪等の負の色は一切無く、むしろ世界またぐ共通点に「えー同じ小学校出なの？まじ？」みたいな親近感を感じたようなノリだろうか）ハルファスが悪魔なら、私はさしずめ堕天使かしら？
  (2018/6/27 03:45:07)

ハルファス> うん。もしかしたら、地球とヴァイガルドはご近所さんだったのかもしれない。追放メギドも祖のメギドは72人だもん。ナルゼとご近所さんだったら、私は嬉しいな（うれしくて楽しくてわくわくして、ぽん、とムササビのようなしっぽが飛び出しちゃう。少し浮かれてるのと、この部屋のフォトン……魔力みたいなものにあてられてるのかな）
  (2018/6/27 03:49:33)

マルガ・ナルゼ> これだけ共通点あって、過去の伝承にも残ってるんだもの。実は近くて何度も交流あった…と考えるのが妥当でしょうね。案外、今日の出会いにも何か意味があるのかも？ふふ、だいぶなつかれちゃったみたいね。この小動物めー、うりうり♪（いきなり尻尾生えたぐらいで驚くような梅組生徒いません。触り心地良さそうだからふつーに手伸ばして撫でちゃう。うりうり。ふかふかー）
  (2018/6/27 03:57:11)

ハルファス> やっぱりご近所さんなのかな、ナルゼが言うなら、きっとそうなのかもしれない。……ふや、ナルゼ、くすぐったいよぉ……（しっぽをふかふかされてふにゃんと腰が抜けちゃう私。でも嫌じゃない。もっとふかふかしてほしくて、きゅっとナルゼにしがみつくよ）  
(2018/6/27 03:59:52)

マルガ・ナルゼ> 案外、はす向かいにあったりしてね……ん、もっとくすぐったくしちゃおっか？（しがみつかれたままで尚も尻尾なでなでふかふか。それだけでは済まさず、片手を胸へむにっと重ね、ソフトな動きで揉んでいって。頬と頬も押しつけてすりつけて、と密着部位増やしていき）
  (2018/6/27 04:03:31)

ハルファス> ふ、わ、ぁ……（お胸を触ってくるって言う事は、そういうことなのかな。ちょっともじもじしてから……）……うん、ナルゼがいいなら……恥ずかしいこと、しても、いい、よ（……うん。私も前にここでこう言う事をしてもらったから……ナルゼがしたいなら、って顔を真っ赤にして、恥ずかしそうに眼を閉じるよ）
  (2018/6/27 04:06:26)

マルガ・ナルゼ> ……あら。くすぐったくするつもりが、へー……したことあるんだ？ハルファス…そっかそっか♪（理解して且つ受け入れる様子に、軽い驚きと多分に面白がってるのとが入り交じった表情で。目を閉じられると少し考え込んでから身を寄せ、そっと唇奪う。重ね合わせるだけの、優しいキスで）是非に！……っていきたいとこだけど、頭が急停止しかけててね……これ以上はまたの機会に、で。けどその分、いっぱい気持ちよくするからね……♥（ぎゅっと抱き締めてからまたキス。そのまま前のめりに倒れて寝ちゃいそうなのをなんとか引き起こして）それじゃまた、ね。おやすみなさい【ちょっと今ガチで寝落ちしかけたんで、悪いけれど失礼するわね。またの機会に楽しみましょ。おやすみなさい……】
  (2018/6/27 04:20:40)

おしらせ> マルガ・ナルゼさんが退室しました。  (2018/6/27 04:21:29)

ハルファス> うん、もう朝だもんね。私のご近所さん、また会ったら、その時は……やさしく、してね（私の方からも、頑張って不器用にキス。お疲れ様ナルゼ、いい夢見てね）   (2018/6/27 04:21:46)

ハルファス> （もう4時半……4時半！　大変、私も眠らないと。ナルゼを見送って、ぱたぱたとグラスと飲み物を片付けて。戸締りをして退室するね）   (2018/6/27 04:23:02)

おしらせ> ハルファスさんが退室しました。  (2018/6/27 04:23:08)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/27 06:08:48)

霍青娥> ふあぁ…おはようございます（すごい寝た感じ、そう思いながら部屋をリビングに選択してソファに座るとゆったりしていて   (2018/6/27 06:09:47)

おしらせ> 十六夜咲夜さんが入室しました♪  (2018/6/27 06:15:53)

十六夜咲夜> (ゆっくりと部屋に入って青娥に見つからない様にこっそりと後ろから近づく   (2018/6/27 06:16:51)

霍青娥> ん…（気づかずにお茶の用意をしながらゆったりとしていて   (2018/6/27 06:19:53)

十六夜咲夜> おはようございます♪(青娥の後ろから話しかける   (2018/6/27 06:21:11)

霍青娥> ひゃんっ！？（いきなり話しかけられるとビクッとして驚きつつ）咲夜ちゃんいきなり後ろからは卑怯よ（相手の方を向くとクスクス微笑みながら言って   (2018/6/27 06:23:04)

十六夜咲夜> ふふふ…楽しいんですよ、驚かしたりするの。(青娥の隣に座って正面をぼーっと見ている   (2018/6/27 06:24:07)

霍青娥> 意外にいたずらっ子なのね（そう言いながら相手が隣に座るとお茶飲む？と聞きつつ   (2018/6/27 06:25:27)

十六夜咲夜> あ、頂きます。(扉を見ている目は何処か寂しそう   (2018/6/27 06:26:14)

霍青娥> どうしたの？（相手が扉を見ているとそう聞きながら相手にお茶を渡してあげて   (2018/6/27 06:27:34)

十六夜咲夜> ありがとうございます…(お茶を受け取って一口飲む)いえ…なんでもないです…(明らかに何処か感情を押し殺している感じいる様にも見える   (2018/6/27 06:29:31)

霍青娥> んん〜？（相手を見つめつつ優しく頬にチュッとキスをして悩みがあるならお姉さんに話してみなさいと微笑みかけて言って   (2018/6/27 06:30:22)

霍青娥> 【一言メッセージ間違えてた（書き直し   (2018/6/27 06:30:54)

十六夜咲夜> 【了解です   (2018/6/27 06:31:16)

十六夜咲夜> んっ…人肌が恋しくて…お嬢様に迷惑をかけたくなくて…それだけです…あまり気にしないでください…(微笑み返すがその笑顔には何処か哀しそうな表情とも見て取れた   (2018/6/27 06:32:57)

霍青娥> お嬢様じゃなくていいならここでお相手探せばいいんじゃない？（そう言いながら相手を見つめながら優しく頬にキスをしつつ相手の腰に手を回して抱きしめて   (2018/6/27 06:34:25)

十六夜咲夜> んっ…誰にも迷惑をかけないなんてわたしには出来ないんでしょうね…(自虐の笑みを浮かべる   (2018/6/27 06:35:42)

霍青娥> よくわからないわねぇ…迷惑に思ってたら話しかけないわよ（そう言いながらむぎゅーっと抱きしめてあげて   (2018/6/27 06:37:08)

十六夜咲夜> っ…(青娥を押し倒して)失礼します…(スカートの中に青娥の手を入れさせる   (2018/6/27 06:38:26)

霍青娥> んふふ…（積極的な相手にゾクゾクしてスカートの中に入った手で優しく相手のお尻を撫で回していき   (2018/6/27 06:39:55)

十六夜咲夜> ふぁっ…ん……ふぁぁ…(青娥に必死にキスをしている   (2018/6/27 06:40:59)

霍青娥> んっ…ちゅ…♡（キスを受け止めつつ相手のお尻を強く揉みしだいていき   (2018/6/27 06:42:58)

十六夜咲夜> あっ…ふぁっ…こっち…もぉっ…(手を秘部の方へ誘う   (2018/6/27 06:44:46)

霍青娥> はぁい♡（誘われるまま相手の秘部に指を這わせてくっちゅくっちゅと刺激しながら見つめていて   (2018/6/27 06:45:46)

十六夜咲夜> ふぁっ…ん…ふぁ…(恍惚とした表情を浮かべている。   (2018/6/27 06:47:00)

霍青娥> 気持ちいい？（そう言いながら指でくちゃくちゃ掻き回しつつもう片方の手でお尻を掴んで刺激していき   (2018/6/27 06:48:45)

十六夜咲夜> はいっ…気持ちいい…です…(体をゾクゾクと震わせる   (2018/6/27 06:49:42)

おしらせ> 田井中律さんが入室しました♪  (2018/6/27 06:51:26)

十六夜咲夜> ふ………あっ…(田井さんに気づいていない   (2018/6/27 06:52:25)

田井中律> おはよう～♪ちょっとだけ遊びに来てみたらピンク展開真っ最中だった(笑)   (2018/6/27 06:52:26)

霍青娥> ふふ、エッチなメイドさん♥（そう言いながら刺激しつつしばらくして手を離すと昨夜のパンツに手を伸ばして、そのまま下ろすと自分の股間から剛直ちんぽをズルンッ！！と生やして股間に擦り付けて   (2018/6/27 06:52:32)

霍青娥> おはよう、律ちゃん…よくあることよ（そう言いながら微笑みつつ律に見せつけるため咲夜のスカートを捲り上げて擦り付けている姿を見せつけて   (2018/6/27 06:53:19)

田井中律> はじめまして～田井中　律だよん♪＞咲夜   (2018/6/27 06:53:59)

十六夜咲夜> ふ…あっ…？(田井さんを見つめる   (2018/6/27 06:54:16)

田井中律> まあ、そうだね～てか、青娥は手が早いね？(感心したように)   (2018/6/27 06:54:55)

霍青娥> 私は押し倒された側だから（そんな言い訳をしつつ咲夜のこかんにちんぽを擦り付けていき   (2018/6/27 06:55:26)

田井中律> 私の事はおきになさらずで良いよん♪＞咲夜   (2018/6/27 06:56:28)

十六夜咲夜> んっ…ふぁっ…(体をピクンと震わせて青娥の方へ振り向く   (2018/6/27 06:56:39)

田井中律> え～押し倒されたにしては青娥が攻め攻めじゃん♪(クスクス)   (2018/6/27 06:57:30)

霍青娥> 誘われたら全力で…受けなきゃねぇ♥（そう言いながら妖艶に律に微笑んだ後一気に咲夜の中にちんぽを奥まで挿入してずぷぅ！！と根元まで挿入すれば咲夜の膣を大きく開いて   (2018/6/27 06:59:31)

十六夜咲夜> ふ…あぁっ！！！(身体がピクンと跳ねる   (2018/6/27 07:00:13)

霍青娥> はぁっ…ああっいい…っ♥（気持ちよさそうにしながら激しく腰を下から打ち付けていき   (2018/6/27 07:02:17)

田井中律> 言葉と行動は逆だけどね(青娥の行動に笑って椅子に座って見学にふける)   (2018/6/27 07:02:46)

十六夜咲夜> あっ！ふぁっ！ん…にゃぁっ！(青娥の胸に手を当てて淫らに感じている   (2018/6/27 07:03:01)

霍青娥> はぁっ…いいわぁ♥すごくいいっ♥（そう言いながら腰を打ち付けて震えつつ淫らに感じている咲夜を堪能していて）ふふ…そんな女は嫌かしら？（律に聞きつつ見せつけるように激しく咲夜の体を揺らして   (2018/6/27 07:04:26)

十六夜咲夜> んんっ…ふぁっ！んぁっ！あんっ！   (2018/6/27 07:05:11)

田井中律> ん～嫌だったら昨日の青娥のお誘い乗ってないよ？(クスクス)   (2018/6/27 07:06:37)
