/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2022年12月20日 06時41分 ～ 2022年12月20日 12時32分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

小春六花> 話は聞かせてもらいました！ヨーグルト食べましょう！（バ　ァ　ン   (2022/12/20 06:41:24)
小春六花> そばと言わずに密着してもどうぞどうぞ？（私は空いてるぜー？って腰を掛けられたらへーいって密着するみたいに抱き寄せようと   (2022/12/20 09:05:01)

秋山
澪> ぃゃ、そう言われてもだな……（というまもなく抱き寄せられ、ぎゅっと　年下にこうされるのも……悪くない、かも……なんて思いつつ　　けど　バンドという共通点が有るからかぼっちちゃんはぼっちゃん呼ばわり、タメ口だけど、この二人には初対面ということもあり、まだ堅苦しさが抜けない）
  (2022/12/20 09:06:46)

フィー> さんにんいっしょですね…（すりすり）   (2022/12/20 09:10:10)

小春六花> そうはいうけど、私もバンドしてるし……設定では。軽音部だからむしろ秋山さんにはより近くない？（私達は３人組だけど、ってふぃーちゃんのおなかさすさすしつつ。秋山さんの腰にも腕を回しつつ。）   (2022/12/20 09:14:17)

おしらせ> 後藤ひとりさんが入室しました♪  (2022/12/20 09:14:26)

秋山 澪> 外は相当冷えていたから、こうしてくれると、嬉しい……（って私は何を言っているんだ？　そうだ、「外」と「相当」をかけた！　ダジャレってことで！）   (2022/12/20 09:14:32)

後藤ひとり> zzz…   (2022/12/20 09:14:46)

秋山 澪> （寝てるぞ？　アレ）　小春さんはデータ見るにバンド活動してると思わなかったよ　済まないね？（いちおうぐぐった）   (2022/12/20 09:16:11)

後藤ひとり> 学校着いたけど眠くて……   (2022/12/20 09:16:45)

小春六花> お…後藤さぼりちゃんかー…？（なんて、だじゃれを言ってくる大学生にはしっかりと密着して温まりましょうねー。ってもーっふもーっふ）   (2022/12/20 09:16:47)

フィー> 軽音部だったと思うしお仲間ですか？   (2022/12/20 09:16:55)

後藤ひとり> いや始まるのは10時からです……   (2022/12/20 09:17:21)

小春六花> 公式二次創作でバンドしてる設定があるよ、部内で。私がギターで千冬ちゃんがドラムで花梨先輩がベースボーカル！   (2022/12/20 09:18:02)

秋山 澪> ググっただけじゃすべてが分かるわけじゃないから　済まない　バンドしてるなら、そうだな　六花と名前で呼ばせてもらっていいか？　一応先輩として（もう諦めたし、そもそも大した腕でもなかったのにな、私）   (2022/12/20 09:18:43)

秋山 澪> さぼっちか……（またもダジャレでごまかす姿勢）   (2022/12/20 09:20:05)

後藤ひとり> さぼっち……私は好きです…   (2022/12/20 09:20:19)

秋山 澪> よし、さぼっちてしまえ　小春さんもそう言ってるし、フィーさんもきっとそう願ってる（はずだ）   (2022/12/20 09:21:04)

小春六花> 別に好きによんでもらっていいのよ？（うんうん。ってもっこもっこ）   (2022/12/20 09:21:43)

フィー> ぼちぼちやっていきましょう（ダジャレをかぶせてく   (2022/12/20 09:22:49)

秋山 澪> じゃ、六花……ぅん　（腰を引き寄せられ、益々密着　ただ外出したせいで体温は下がってる　六花が凍えないと良いのだけれど……）   (2022/12/20 09:23:01)

秋山 澪> ふぃーっと息を吐いて、自分のペースで行くといいさ、ぼっちちゃん（更にダジャレを）   (2022/12/20 09:24:12)

後藤ひとり> とりあえず少し眠気は取れました……   (2022/12/20 09:24:22)

小春六花> へいきへいき、ふぃーちゃん基本的に排熱すごいから。（ね。って頷きつつ。）秋山さんはかわいいのぅ？（にまりにまり）   (2022/12/20 09:24:54)

フィー> すきなだけだきついたりしていいんですよー？   (2022/12/20 09:25:35)

秋山 澪> アンドロイドだけに兵器か？　駄洒落にも程があるぞ？　もう少し六花に（立派に）　人間っぽくすべきではないか？　（程がないのは誰だってレベルで　もうツッコミ待ち？）   (2022/12/20 09:26:49)

後藤ひとり> 私は人間では無いらしいです……   (2022/12/20 09:27:45)

秋山 澪> ボッチちゃんさっきダンボールって言ってなかったっけ？   (2022/12/20 09:28:37)

後藤ひとり> ダンボールに隠れてるだけですよ   (2022/12/20 09:30:21)

フィー> GANDAMって書いておきましょうか？   (2022/12/20 09:31:17)

後藤ひとり> ガンダムでは無いです！   (2022/12/20 09:32:29)

秋山 澪> スペル　「GUNDAM」　ナンだよね、あれ   (2022/12/20 09:36:13)

後藤ひとり> ほんとだ……   (2022/12/20 09:37:45)

秋山 澪> 有名だから私も画像見たことが有るんだ　そもそも「ガン」　って銃の意味だろうから　「GUN」　が正しいとね   (2022/12/20 09:38:36)

後藤ひとり> DAMは……カラオケ？   (2022/12/20 09:39:00)

秋山 澪> ぃゃ、ふくらはぎを刺すらしい（諸説あり）   (2022/12/20 09:39:27)

フィー> 気付かれちゃいましたか…（パチモンつくるつもりだったのに）   (2022/12/20 09:39:49)

小春六花> バスケットボールのドリブル音かもしれない   (2022/12/20 09:39:56)

フィー> 銃にダムダム弾ってありませんでしたっけ？   (2022/12/20 09:40:24)

後藤ひとり> 銃ふくらはぎ？   (2022/12/20 09:40:33)

秋山 澪> で、六花……くっついてて冷たくない？　さっきまで外に出てたものでさ…フィーが温めてくれてるけど此方川は冷たいんじゃないかって   (2022/12/20 09:41:10)

秋山 澪> ダムダム弾は国際法で禁止されてるよ……（米軍は批准していないけど）　弾丸の先っぽに切れ込みを入れて殺傷力を高めるやつだ   (2022/12/20 09:42:20)

小春六花> へ？寒くないよー？フィーちゃんもいるし、秋山さんもいるし、ひとりちゃんは面白いし。   (2022/12/20 09:43:43)

秋山 澪> ガンダムは詳しくないけど（というかほぼ知らない　水星の魔女は見てる　百合だから）　なんかふくらはぎがでかいのが強いらしいんだよね？　   (2022/12/20 09:44:22)

後藤ひとり> 私も水星の魔女だけは見てます……   (2022/12/20 09:44:40)

秋山 澪> ぼっちちゃんが面白いのには同意　レスも早いし　愛したい（だから最後何言ってんだ私！！！！）   (2022/12/20 09:45:33)

後藤ひとり> 面白くないですよ！？愛されてる！？   (2022/12/20 09:46:20)

秋山 澪> （でも、六花やフィーさんに愛され甘えたいのも事実……　何だ私　度し難いにもほどがあるだろう……）   (2022/12/20 09:47:02)

フィー> ぼっちさんは愛したいというより愛でたいかも？   (2022/12/20 09:48:07)

秋山 澪> 解る（解る）   (2022/12/20 09:48:20)

小春六花> 愛され系ピンク、淫乱系ぴんく、へんたいけいピンク、いろんなピンクがいるんだなぁ   (2022/12/20 09:48:37)

後藤ひとり> で、ですね……   (2022/12/20 09:50:39)

秋山 澪> 私の場合は勝手な独自設定で絡みたいと言うのもあるんだけどね……   (2022/12/20 09:51:42)

後藤ひとり> それはそれでありなのかも……   (2022/12/20 09:53:02)

秋山 澪> 【真面目な話、いくら架空の世界のアニメだと言ってもあそこまでレベル高いと……現実でベース弾いてる身としては……』   (2022/12/20 09:53:44)

後藤ひとり> 【いやそ、そんなに………あ、リアルでも引いてるんですね】   (2022/12/20 09:54:30)

秋山 澪> 【なのでバンドを諦めた設定に』   (2022/12/20 09:54:30)

小春六花> がっきやってるのかっちょいー。   (2022/12/20 09:55:19)

秋山 澪> 【一応ベース屋なので　ライブに出たことも有るよ―　観客１０人程度だったけど』   (2022/12/20 09:55:23)

後藤ひとり> 【それでもすごいです…】   (2022/12/20 09:55:54)

秋山 澪> 【前座なんかそんなものだよ　メインが来るまで殆人こないから　メインの時は１００人以上居たけど……　ぁ、いいことは一つ　これは内緒だけど　未成年でもお酒出してくれます　演奏者なら』   (2022/12/20 09:57:20)

秋山 澪> 【閑話休題』　ピンクってだけでもう決まったような物だものね……   (2022/12/20 09:59:01)

小春六花> 【ばちこりログが残る場所で、ダーティーな話をするのは……やめようね！！！】   (2022/12/20 09:59:11)

後藤ひとり> 【今のは聞かなかったことに……】   (2022/12/20 09:59:49)

秋山 澪> 【ぁ、そうだった　なかったことに！』   (2022/12/20 09:59:57)

フィー> ないない、ですね！   (2022/12/20 10:01:41)

後藤ひとり> 知らないですね……   (2022/12/20 10:02:49)

秋山 澪> 【ぼっちざろっくでも語られてたと思うけど、ライブハウス（通称「箱」は飲食店扱い　調理師免許無くても酒は出せるのでそれだけで飲食店許可が出るんだ　演奏上の許可は大変だからね』   (2022/12/20 10:02:55)

後藤ひとり> 【言われてましたね……なるほど……】   (2022/12/20 10:03:53)

秋山 澪> ふぃーさん……排気……？　こっちにもお願いしていいかな？　済まない、まだ少し体が冷えてて   (2022/12/20 10:04:21)

フィー> はい、いいですよ（むぎゅー   (2022/12/20 10:07:34)

秋山 澪> ありがとう…温まる……（瞳を閉じ、六花に抱きつき　３人だとどうしても偏る……）　　そう言えばぼっちちゃんはさぼっちらないのかな…？   (2022/12/20 10:10:40)

後藤ひとり> あ、そろそろ授業……   (2022/12/20 10:11:59)

小春六花> あたまってけー。わたしらみたいなCevioは多分ちょっと珍しいんだ。   (2022/12/20 10:12:27)

小春六花> 後藤さぼりになる…！？   (2022/12/20 10:13:11)

おしらせ> クレーさんが入室しました♪  (2022/12/20 10:13:36)

秋山 澪> さっぼち   (2022/12/20 10:13:40)

フィー> サボっちゃえばいいんです、授業なんて   (2022/12/20 10:13:58)

クレー> おはようっ♪   (2022/12/20 10:14:00)

秋山 澪> Cevioって単語を始めてみたよ、私は　【始めまして　こんばんわクレーさん』   (2022/12/20 10:14:37)

後藤ひとり> ならもう少し居ます……あ、こんばんは……   (2022/12/20 10:15:14)

秋山 澪> 命名、後藤さぼっち　いいね？   (2022/12/20 10:15:37)

クレー> みんな、朝なのにこんばんは…って、しゃきっとしてー！   (2022/12/20 10:15:45)

フィー> 合成音声ソフト自体が知名度ががが…（めそらし   (2022/12/20 10:16:11)

クレー> あっ、初めまして！クレーはクレーだよ♪よろしくね(おててふりふり♪)>澪お姉ちゃん   (2022/12/20 10:16:25)

後藤ひとり> さぼっちで……あ、はいしゃきっと……   (2022/12/20 10:17:10)

秋山 澪> こちらこそはじめまして　クレーさん（六花に抱きつくのを辞め立ち上がり丁寧ねお辞儀を）   (2022/12/20 10:17:35)

フィー> おはようですよー   (2022/12/20 10:18:09)

フィー> ひとりさんの言ってるのが歯医者にみえた   (2022/12/20 10:18:26)

後藤ひとり> ほんとだ……   (2022/12/20 10:18:41)

秋山 澪> 歯医者キット……   (2022/12/20 10:18:48)

秋山 澪> 歯医者：「麻酔をウチますね―」　　麻酔自体が有り得ないレベルで痛い件   (2022/12/20 10:20:09)

クレー> 歯医者さんこわいけど……歯は大事にしなきゃだもんね   (2022/12/20 10:20:41)

小春六花> いらっしゃーい。（おててぶんぶん   (2022/12/20 10:20:59)

後藤ひとり> そうですね……   (2022/12/20 10:20:59)

小春六花> もう認知の低さに悲しくてフィーちゃんを犯すね……（？）   (2022/12/20 10:21:26)

秋山 澪> 歯医者は地上の神罰代行者……   (2022/12/20 10:21:26)

クレー> みんなって占いとか見る？   (2022/12/20 10:21:36)

フィー> きゃー六花さんにおかされるー   (2022/12/20 10:22:02)

秋山 澪> （フィーさんが羨ましい……だなんて言えない　私に魅力がない　それだけだし）   (2022/12/20 10:22:19)

後藤ひとり> あんまり見ないですね………   (2022/12/20 10:22:32)

クレー> バンドマンは自ら運命を切り拓くものさ…ってね(違う)   (2022/12/20 10:23:43)

後藤ひとり> そ、そういうものなんでしょうか……   (2022/12/20 10:24:54)

秋山 澪> 違うよ……   (2022/12/20 10:25:04)

クレー> いや、占いみないっていうからそういうものなのかなって……、クレーは最近見ちゃってるというか…ラッキーカラーとか   (2022/12/20 10:25:58)

後藤ひとり> 特に占いに興味がなくて……   (2022/12/20 10:26:38)

クレー> ふむふむ…   (2022/12/20 10:27:27)

小春六花> いやぁ、秋山さんなんか今拉致られたくなさそうだし……（？）   (2022/12/20 10:28:55)

秋山 澪> そ、そりゃな　いくら何でも年下の、しかも同性とかありえないだろっ　（だからいつも誰でも拒んで……結局一人ぼっちなんだ私……　素直になれない　度し難すぎる　今日もそうなんだろうな……　フィーさんのほうがよっぽど可愛いもの……）  
(2022/12/20 10:31:37)

後藤ひとり> え！？この部屋で同性がありえないって……   (2022/12/20 10:32:09)

秋山 澪> ぇ？（ぇ？）   (2022/12/20 10:32:25)

後藤ひとり> 百合部屋ですからねここ   (2022/12/20 10:32:59)

フィー> ですねぇ   (2022/12/20 10:33:56)

小春六花> まぁ、百合部屋だからね。   (2022/12/20 10:34:03)

秋山 澪> 【まだ処女、未経験なので　一応そう云うナリでって事で、はい　ウブな奴を手籠にしたい人も万が一居るかなと』   (2022/12/20 10:34:05)

後藤ひとり> 【あ、なるほど…】   (2022/12/20 10:34:21)

秋山 澪> 【そう云うプレイがしたくてってのもあって　分かりづらかったよね、ごめんね』   (2022/12/20 10:35:02)

後藤ひとり> 【大丈夫ですよ……】   (2022/12/20 10:35:39)

秋山 澪> 【百合に興味はあるけど未経験　で、染められちゃう　そう云うのができたらなと』   (2022/12/20 10:36:19)

クレー> それわかる……♡   (2022/12/20 10:36:57)

秋山 澪> 【自分で行っておいてなんだけど何この面倒くさいの！』   (2022/12/20 10:37:03)

後藤ひとり> 【わかりました……！】   (2022/12/20 10:37:10)

クレー> 澪お姉ちゃんはぐいぐいきてほしいんだもんね…？(にやにやと澪お姉ちゃんをじーっ♡と見てあげて)   (2022/12/20 10:38:17)

秋山 澪> 【しかも説明もしてないし勝手に話や設定作るし！　そりゃ誘われないよね……』   (2022/12/20 10:38:25)

小春六花> 【ばちこり厳しいこと言っていいなら】   (2022/12/20 10:39:12)

秋山 澪> 【言って欲しいな』   (2022/12/20 10:39:28)

後藤ひとり> 【わ、私は誘おうにもあと2時間もいられないので……】   (2022/12/20 10:39:43)

小春六花> 【設定を作るのは自由だし、下地があるのは大変いいことだけど、相手にそれを押し付けるのはとてもよくないよ。】   (2022/12/20 10:39:46)

秋山 澪> 【思い当たるフシが多すぎて返答できないわ　でもさ　　　　文章量的に何もかも説明も相手の認証も出来ないのは　解って貰える？』   (2022/12/20 10:41:45)

フィー> おなかすきましたね…でも家にたべられるものがないです   (2022/12/20 10:42:38)

クレー> (リビングの時計を見て…)はわわ、ちょっと奥の洗面所かりるね！…まだ準備終わってないのっ！   (2022/12/20 10:43:24)

秋山 澪> ……材料さえ有れば適当に作れるけど……無いんじゃあ仕方ないわね……＞フィーさん   (2022/12/20 10:43:45)

後藤ひとり> あ、はい……   (2022/12/20 10:43:47)

クレー> (タオルと歯磨きセット持って洗面所にたったった)   (2022/12/20 10:43:57)

おしらせ> クレーさんが退室しました。  (2022/12/20 10:44:01)

小春六花> 【誘われたいならノるべきだし、誘われたくないなら断ったあとにあんまりこういう設定だからってわちゃわちゃ言い訳するのがちょっとかっこよくないかなーって。もっと誘って誘ってなら、描写に心が揺れ動いてもじもじしたりするところくっさいくらい匂わせて駆け引きがしたいアピールしたらいいんじゃないかなーって。】
  (2022/12/20 10:44:03)

小春六花> 【そして私はこんな急にマジレスばっかりしてるから近寄ってもらえなくなるんですね！（えくすとりーむぶめらーん）】   (2022/12/20 10:45:17)

フィー> …フィーが慰めてあげましょうか？（と言いながら六花さんにメロンパン強請るつもり）   (2022/12/20 10:45:54)

秋山 澪> 【その　「駆け引き」　が出来ないんだよね……　正直ロールが下手すぎて　一応さっきもこっそり抱きついたりしたんだけどアレが精一杯　フィーさんにも排気をお願いしたりとか……　上手く伝わらない……』   (2022/12/20 10:46:11)

後藤ひとり> 【甘えるの苦手なのは分かります……おいでとか言われないと行けなくて……】   (2022/12/20 10:46:39)

秋山 澪> 【初期ツンデレキャラなので、だだ甘は出来ないし……　けど甘えたい　そこを表現するのが難しすぎて』   (2022/12/20 10:47:36)

小春六花> なんか、このエロボットがそこはかとない邪気が……（つんつん）   (2022/12/20 10:48:03)

フィー> ほら、ちっすメロンパンちっすって言ってください？？（むぎゅぅぅ   (2022/12/20 10:48:35)

秋山 澪> 【ベースやってるってだけでこのキャラ選んだけど…（原作も全部読まされたし）　キャラ変更スべきかも敵がしてきた』   (2022/12/20 10:49:46)

小春六花> おー？フィーちゃんのほうがパケ版後輩の下っ端のちょんちょんだよなー？（むぎゅむー）   (2022/12/20 10:50:58)

フィー> 何か問題でも？性能はフィーのほうが上ですし。（むぎゅむぎゅ   (2022/12/20 10:51:40)

後藤ひとり> 【リョウさんとか…？】   (2022/12/20 10:51:43)

小春六花> 【（私は分かっててやってるからたち悪いけど）他の人が誘われたときにどうせ私は誘われないむーぶすると胸が痛むのでやめてあげようね！】   (2022/12/20 10:51:44)

後藤ひとり> AIがマウント取り合ってる……   (2022/12/20 10:52:15)

小春六花> おなじシンセVでしょ何いってんの。（ほっぺたのばしー）　　　   (2022/12/20 10:52:27)

フィー> うみゃぁぁぁ…（悲鳴）   (2022/12/20 10:52:50)

小春六花> 【あと別にそんなに難しく考えなくて素直に袖とかちょん、って握ってあげるだけとか、顔真っ赤にして内心嬉しいとか、チョロツンデレしとけばみんな勝手に心読んでくれる】   (2022/12/20 10:53:58)

小春六花> ほらほらー？先輩にはなんていうんだっけー？ユーステラァ？（ほっぺのばしのばし）   (2022/12/20 10:54:38)

フィー> 【ツンデレとクール系はきちんとロールするにはちゃんとしたヘイト管理が必要なイメージ…】   (2022/12/20 10:57:07)

フィー> ちっすヨーグルトちっす…（むにょーん）   (2022/12/20 10:57:51)

小春六花> よーし、おまえかわいいなよしよーし（かみのけわしゃり   (2022/12/20 10:59:31)

フィー> わーい（えへへ♡）   (2022/12/20 10:59:51)

小春六花> （ふたりとも大丈夫かなー。って顔しつつ、お顔をワシャワシャ愛でてたり）   (2022/12/20 11:03:34)

フィー> にゃふ…（満足げな顔）   (2022/12/20 11:03:55)

後藤ひとり> あ、いえ特に言うことも無くて……   (2022/12/20 11:04:19)

小春六花> 満足されてる。   (2022/12/20 11:04:21)

フィー> りっかさんすきぃ（溶けカチュア）   (2022/12/20 11:05:01)

小春六花> あーあー。やっぱゆーすてらって……（とけとけカチュアのお腹をさすさすり）   (2022/12/20 11:06:07)

秋山 澪> （同じく口を挟む空間でもなく）   (2022/12/20 11:07:38)

小春六花> なによー。ふたりともおいでよー。   (2022/12/20 11:07:51)

フィー> ふにゃぁ…（さらにとろけ）   (2022/12/20 11:08:14)

後藤ひとり> は、はい……(とりあえず傍に)   (2022/12/20 11:08:47)

秋山 澪> （先程立ち上がった後、少し離れた場所に座り　ただ眺め）   (2022/12/20 11:09:38)

小春六花> まぁほらね、ひとりちゃんもやっぱりみんなのために一旦ジャージをね？（脱いでもらってってジッパー下げつつ。離れると寂しいなー……って澪さんをぢぃ……と見つめつつ。ふぃーちゃんのお腹をわっしりわっしり   (2022/12/20 11:10:34)

フィー> きてもいいですよー（ふんにゃりフィーちゃん）   (2022/12/20 11:11:25)

後藤ひとり> なぜ私だけ脱がないと行けなんですか……！？(ジャージを脱がされて……)   (2022/12/20 11:11:42)

小春六花> いや……混ざってくれないならとりあえず……脱がしておくことで視界のムラ味を稼ごうかと……？（うんうんって頷きつつ。）   (2022/12/20 11:13:00)

後藤ひとり> な、なるほど………(よく分からない理論で脱がされてしまい)   (2022/12/20 11:13:36)

秋山 澪> （視線を感じつつ）　だったら……私も脱げば良いのか？　（と、立ち上がり　いきなり意味不明な言葉を紡ぐ）   (2022/12/20 11:14:32)

小春六花> おおー？脱いでくれるー？それはそれで大歓迎よ？（なんて、ぱちぱちと拍手しながら。あとには引けないようにちょっと盛り上げようとしてみたり。　ふんにゃり、ふぃーちゃんも脱がしておこう。ついでに）   (2022/12/20 11:15:49)

フィー> ふわぁぁ…（脱がされてしまう…）   (2022/12/20 11:16:11)

小春六花> ひとりちゃんはいそがしそうだし……（これ以上の手出しはまずいよねぇ……？っていいつつ、こっちに来ればやわはだいっぱいよー？って。   (2022/12/20 11:17:38)

秋山 澪> ……だが、だけど絶対見るなよっ！　私を見るなっ！　（やはり意味不明なことをクリバ知りつつ、私服の和ワンピースをするりと落とし下着姿に　　　真っ赤な顔を露見し、それでも身体を隠しながら全員から瞳をそらす）   (2022/12/20
11:17:56)

後藤ひとり> あと1時間ですからね……(こくんと頷きながらも近くには寄って)   (2022/12/20 11:19:00)

秋山 澪> 順番的にぼっちがもっと脱ぐべきだろう！　後輩なんだから！　一応！   (2022/12/20 11:19:05)

後藤ひとり> なんでぇ……！   (2022/12/20 11:19:44)

小春六花> マ？秋山さんかわいいんだし、あれでしょ、見ないのは無理じゃねー？（なんて、JK特有の   (2022/12/20 11:20:28)

秋山 澪> それはその……後輩だから、としか……（実績でも実力でも負けてる相手にあまりうまく言えず）   (2022/12/20 11:20:38)

後藤ひとり> わ、分かりました…………(オドオドしながらも下も脱いで下着だけに)   (2022/12/20 11:20:58)

小春六花> （圧縮言語でかわいー！って。ふたなりちょっとむくりとさせつつ。あなたと仲良くなりたいなーって。   (2022/12/20 11:21:07)

秋山 澪> 見るなって言ったじゃないかっ！　私なんかよりもぼっちを見ろ！　そしてボッチはもっと脱げ！！   (2022/12/20 11:21:31)

フィー> ぬげー！ふたりとぬげー！（やんやと合いの手いれ）   (2022/12/20 11:22:31)

後藤ひとり> な、なんでっ………////(ブラを外して……)   (2022/12/20 11:22:57)

秋山 澪> お　前　も　脱　げ　（フィーさんに物凄くどす黒い声で）   (2022/12/20 11:23:14)

小春六花> でも正直、澪さんのほうみたいよね。（はーだかっ、はーだかって。手招きしながら、脱がせてほしい？なんてそれとも、って）   (2022/12/20 11:23:39)

秋山 澪> 何で私なんだ…　そりゃ確かに胸はなくもない、この二人に比べても自慢じゃないが体型は整ってると思う……けど　若さは最も勝ちがあるんじゃないか…？＞六花   (2022/12/20 11:25:17)

フィー> ふぃーはもうはだかんぼですよ？（ぜんらー   (2022/12/20 11:25:39)

小春六花> え、私年上好きだし。黒髪きれいだし。お胸もあるし。（私やフィーちゃんより）とてもいいと思うよね？（なんてピンク二人衆にご意見求めた）   (2022/12/20 11:26:56)

後藤ひとり> ですよねスタイルいいですよね……   (2022/12/20 11:27:24)

秋山 澪> 【原作知ってたら解るけど、策内でファンクラブ出来るくらいにもててる　なお会員No１は生徒会長』   (2022/12/20 11:28:46)

フィー> いいとおもいますよ？   (2022/12/20 11:29:23)

秋山 澪> ……フィーさんはもう全裸だし　ぼっちちゃんが全裸になったら……考える……（まだ上下下着姿）   (2022/12/20 11:30:25)

小春六花> （ひとりちゃんをじいい……と   (2022/12/20 11:30:55)

後藤ひとり> えっ……じゃあ………(圧怖！？となりながらも全て脱いで)   (2022/12/20 11:31:11)

秋山 澪> （まじで脱いだっ！？　嘘でしょっ！？　あり得ない！　っていうかもう逃げ道なくなっちゃったじゃん私！！！！）   (2022/12/20 11:32:19)

小春六花> ね、秋山さんの番、だよ？（とりあえず二人が寒くないようにむぎゅー、と抱きしめるように密着しつつ。目をすぅ……と細めてみせて   (2022/12/20 11:33:25)

フィー> はだかんぼですねー。（ぼっちにもむぎゅー   (2022/12/20 11:33:26)

秋山 澪> ………【ちょっと返答待って　ロールしてて　この状況わからない』   (2022/12/20 11:34:21)

後藤ひとり> ですね……(フィーさんむぎゅ)   (2022/12/20 11:34:35)

小春六花> 【ゆっくりゆっくり落ち着いてー。】   (2022/12/20 11:37:42)

後藤ひとり> なんか色々脱がされましたね……(抱き合いながら)   (2022/12/20 11:38:41)

フィー> フィー、もうすこしでおでかけのはずなんですけどね・・・   (2022/12/20 11:39:03)

秋山
澪> ……解った　でも脱ぐのは嫌　ブラはフィーさんが…脱がせて……　　下は……その……ぼっちちゃんに、お願いする…　自分で脱ぐとか……いくら何でも…（最後はごにょごにょと小声になりつつ、もう完全に真っ赤　耳まで染まって　/////////////　ってレベルに）
  (2022/12/20 11:39:04)

後藤ひとり> なぜ私が………！？(私が澪さんを脱がせろと！？となりつつもとりあえず澪さんの下着を手で持ちずり下げて)   (2022/12/20 11:40:34)

小春六花> 私がスルーされた……（なんでやろなぁ……って思いつつ。何となくみんなを巻き込んで脱いだり着たり。楽しいね。）   (2022/12/20 11:41:34)

秋山 澪> や……みないで……（そしてあらわになる下半身はほんの少しだけ……でも確実に愛液が…それは二人の裸身を見て、何かを期待しての事　薄い産毛だけが生えたそこが全員に目の当たりにされ、益々とろりと液が……）   (2022/12/20 11:43:44)

後藤ひとり> あ、エッチですね………////(じーっと)   (2022/12/20 11:44:22)

小春六花> とってもきれいじゃん？ぷるんとしてて、ふさ、ってしてて。（私は好みだなーってにこにこ、にこにこ）   (2022/12/20 11:44:59)

おしらせ> クレーさんが入室しました♪  (2022/12/20 11:45:29)

後藤ひとり> あ、おかえりなさい……   (2022/12/20 11:45:55)

クレー> (洗面所から帰ってくると何やら1階・2階であまーい雰囲気が立ち込めてて…気になって戻ってみると…)……はわわ……///み…みんな……//   (2022/12/20 11:46:40)

秋山 澪> （膝まで降ろされた下着にぽたりといやらしい液体が溢れ…）　え、えっちじゃ、ない……（そう返答するのが精一杯で　けども身体は既に震え始め）   (2022/12/20 11:47:14)

後藤ひとり> あ、えっと……////(は、恥ずかしい！)   (2022/12/20 11:47:28)

小春六花> おかえりー？クレーちゃんも脱いでく？（って、とりあえず秋やまさんをおいで～って手招きしつつ。入ってきたクレーちゃんに裸の交流中ーって）   (2022/12/20 11:49:01)

クレー> (みんなブラジャーにパンツ…はたまた見えちゃってる人もいて……ドキドキ♡)…クレーもぬぐ……？♡   (2022/12/20 11:49:18)

小春六花> 　みんなもうすっぽんぽんだよー？秋山ちゃんだけ濡れちゃってる感じ？（なんて、気づけばさんからちゃんにしれっと差し替えてみたり   (2022/12/20 11:50:24)

秋山 澪> （まだぶらぬがさrてない……）   (2022/12/20 11:52:48)

クレー> (せっかくおでかけの準備したけど…服脱ぐだけならいいよね…？なんて変な発想しちゃって…)…うん…♡クレーもぬぐ……♡…(するする…と服脱いじゃえば…今日はクローバー柄のシャツにパンツ♡で……♡)えへへ……みんなかわいいね…//  
(2022/12/20 11:52:49)

後藤ひとり> は、はい………///   (2022/12/20 11:53:15)

小春六花> （フィーちゃん！お客様の中に脱がすフィーちゃんはいませんかー！）   (2022/12/20 11:54:43)

秋山 澪> 【っていうか、ぼっちちゃん　個室行ける？　できれば鍵付きで　私ね、もうそろそろ時間なんだよ　ぼっちちゃんと同じく　だから少し話がしたいなって』   (2022/12/20 11:54:51)

後藤ひとり> 【え！？わ、私ですか？一応行けますけど……】   (2022/12/20 11:55:09)

秋山 澪> 【部屋作ってくれると嬉しいな　できれば鍵付きで』   (2022/12/20 11:55:52)

秋山 澪> 【皆さんごめんなさい　時間が迫ってるのでどうせ抜けるのならさくっと抜けようかと』   (2022/12/20 11:56:49)

後藤ひとり> 【つ、作りました……他の人はすいません。また時間のある時に……】   (2022/12/20 11:57:17)

秋山 澪> 【またお話で居たら嬉しい』   (2022/12/20 11:57:19)

秋山 澪> 【でわ、また機会があったら……おやすみなさい』   (2022/12/20 11:58:48)

おしらせ> 秋山 澪さんが退室しました。  (2022/12/20 11:58:53)

後藤ひとり> 【ではまた……！】   (2022/12/20 11:59:04)

おしらせ> 後藤ひとりさんが退室しました。  (2022/12/20 11:59:06)

フィー> おっと、少々離席してる間に行っちゃいましたか…   (2022/12/20 11:59:08)

クレー> クレーせっかく脱いだのに…(シクシク)……うそ♪いってらっしゃいー！   (2022/12/20 11:59:15)

小春六花> ふ、ふられちゃったよ！（とりあえず半脱ぎクレーちゃんにあまえとこ   (2022/12/20 11:59:15)

