/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2018年06月05日 23時19分 ～ 2018年06月06日 18時38分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

白金燐子 ◆> 私も・・・あと少しだけ・・・   (2018/6/5 23:19:20)
マシュ・キリエライト> それでは、おやすみなさい。（一礼して退出します）   (2018/6/6 03:23:55)

泉 こなた> ゲームは昔から家にあったけど、あの手の弾幕ゲームは子供だった私には歯が立たなかった思い出   (2018/6/6 03:23:59)

渋谷凛> おやすみだだねマシュ   (2018/6/6 03:24:02)

泉 こなた> うん、おやすみぃ～   (2018/6/6 03:24:11)

おしらせ> マシュ・キリエライトさんが退室しました。  (2018/6/6 03:24:15)

リグル・ナイトバグ> あの手のって大体やられて覚えて繰り返す感じだから大変だと思う……うん。(慣れて、どう動けばいいかは判れば違うんだろうけれどって)   (2018/6/6 03:24:58)

リグル・ナイトバグ> あたふたしているマキさんが見れて結構満足な私でもあったり。(きゅんきゅんもぎゅんぎゅーん！もまた今度だね！ってしとこう。やり過ぎちゃうとマキさんが茹蛸になりそう】   (2018/6/6 03:27:32)

弦巻マキ＠リボン> いや、まー、その、ヤじゃないけど、今からだとね、ね？　みんなの時間もあぶないでしょ？（もじもじ、もぞもぞ）   (2018/6/6 03:28:05)

泉 こなた> だよねー、だから私には無理だった。シューティングは、おとなしくセガサターンの戦国ブレードやってたよ。今思うとこれもドマイナー（笑   (2018/6/6 03:28:52)

リグル・ナイトバグ> 寧ろマキさんの時間の危うさもあると思うけど(ほっぺつんつん。…え、されたいのかなってぽつり)   (2018/6/6 03:29:20)

渋谷凛> むしろその辺はマキさんが危ないかどうかを決めればみんなの行動が変わるんじゃないかな（リグルの反対からつんつんと）   (2018/6/6 03:30:05)

リグル・ナイトバグ> (セガサターン自体がものすごい懐かしさを感じさせる気がするねってちょっぴり遠い目)   (2018/6/6 03:30:38)

弦巻マキ＠リボン> （せがさたーんって、有野課長が最近はそこそこやってるやつだよね？）　い、いちぢかんくらいなら……（ごにょごにょ）   (2018/6/6 03:31:44)

泉 こなた> 私は眠くなるまで…って言いながら結構眠くなんないね。みんながマキちゃんを突っつくので、私も便乗しよう。（うなじつつー）   (2018/6/6 03:31:52)

弦巻マキ＠リボン> ひゃわ、ひゃっ、もー、皆してつついて、ちょ、くすぐった、ひんっ（もじもじ、もそもそ、やわい体をくねらせて   (2018/6/6 03:33:07)

リグル・ナイトバグ> 皆から突っつかれちゃうマキさん状態に――(クスっと笑い。一時間経った時に凄い事になってるのかなとマキさんの衣装越しから子宮のある所。外側から指でとんとんマッサージ)   (2018/6/6 03:33:59)

泉 こなた> そりゃまあ私（の背後）が小学生のころやってたくらいだから、年期も違うねぇ。でも、なんか結構面白いのあった気がする   (2018/6/6 03:34:32)

渋谷凛> まぁマキさんをきゅんきゅんさせるなら持ち帰ってたっぷり時間を掛けた方が良いしね（さらっと）   (2018/6/6 03:34:51)

泉 こなた> かわいい反応じゃのう。おぢさんドキドキだよ。（うなじから背中に指を滑らせる。うーん、すべすべ）   (2018/6/6 03:36:07)

弦巻マキ＠リボン> りぐるちゃん、そこは、わりとまず……っ……♪（きゅーって腹筋波打たせながら、とろんってしたまま。指が這うたびに体が時々跳ねて）　な、なんか結構思ってたよりスゴい、かも……っ、じ、時間、そんなにかけられたらすごいコトなりそ、なん、だけどっ！？＞凛ちゃん
  (2018/6/6 03:37:36)

渋谷凛> うん、凄い事はマキさんと都合を合わせてだね？（くすっと見ながら小首傾げて）   (2018/6/6 03:39:12)

リグル・ナイトバグ> 凛さんの言葉には頷いたりしちゃう私でもある…(凜さんの言葉に同意してる事多いなぁ、私と)…ん、…んー、けど。(…なるべく、早く気持ち良くなってほしいかなぁって。とんとん、としてから指で子宮を外側からすりすりと撫でて。もう片方の手もあるけど太腿マッサージしとこう)
  (2018/6/6 03:39:50)

弦巻マキ＠リボン> ひぃう……っ……♥　そ、それじゃぁ、そのときはそのとき、で……＞都合あわせて　　えぅう……ちょ、そっちも、そっちもっ！？（お腹のあたりと額は汗浮いてきて、腿もやわく震えて。息もあがってきて、くったり）　はふ、ふ、ぅ……  
(2018/6/6 03:44:01)

渋谷凛> うん、味見しちゃうよりはその方がね？　リグルさんは味見する方みたいだけれど（横で見つめながらどうなるのかなぁと首を傾げて）   (2018/6/6 03:45:44)

弦巻マキ＠リボン> そしてあの、ふたりがかりってわりとすごいコトにぃ、なりそうなんですけ、っどっ（こなたちゃんの手が背中にまわってると、落ち着く余裕もなくて、体温まって胸が上下し、全身ぽかぽかにあったまり）   (2018/6/6 03:46:27)

リグル・ナイトバグ> あ、けど。……キュンキュンさせるだけにはなるのかな。(最初のお話し的に。…味は知ってるから味見というよりはマキさんを気持ち良くする方向に重きが置かれてる様子。子宮とんとんはそのまま続けつつ…もう片方は太もも、付け根辺りで指を置いておくだけで刺激はしないようにしておこう)
  (2018/6/6 03:47:48)

泉 こなた> （生唾ｺﾞｸﾘ。）うーん、淫靡。エロい。萌える。でも、これ以上は私の精神衛生上よろしくないので、今日は寝るねー。よかったらまたつっつかせて…じゃなかった。お話してね～。   (2018/6/6 03:48:00)

リグル・ナイトバグ> こなたさんはお疲れ様だよっ、おやすみなさい。(触角ぴこぴこして見送っておこう)   (2018/6/6 03:48:33)

弦巻マキ＠リボン> えへへ、おそわれちゃいそ、だもん、ね。また、またね、ぇっ♥（軽く手を振ってお見送り。真っ赤な顔、しながら）   (2018/6/6 03:48:40)

泉 こなた> おやすみぃ～♪（手振りブンブン）   (2018/6/6 03:48:41)

おしらせ> 泉 こなたさんが退室しました。  (2018/6/6 03:49:15)

渋谷凛> うんおつかれさまおやすみなさい……（手を振り見送り）   (2018/6/6 03:51:34)

弦巻マキ＠リボン> 焦らされるのも、ま、やじゃない、よ？　なんとなく、一緒にいてあったかくなってるみたい、っでっ……っ、あ、あっふ、ふぅ……っ♥（ぴくぴく、温まった身体で時々身体がひきつって、目をぎゅっと閉じてから、開いて、とろっと溶けたようになって。そのまま、イクみたいに身体をぴくぴく跳ねさせはじめ）
  (2018/6/6 03:52:24)

リグル・ナイトバグ> 焦らしすぎちゃったら意地悪になりすぎちゃうけれど、ね。(温かくなる見たいっていうのは判るかもって頷いて…目を閉じては開く様子を見て…子宮のある部分を指先で押しては。そっと太ももの付け根に指を這わせて…膣口を撫であげそこを刺激…じゃなくてその少し上にある突起を下着越しに軽く、擦りっとだけ触れるだけの愛撫――)
  (2018/6/6 03:54:51)

渋谷凛> マキがこのままあっさりとイカされちゃいそうだよね……（口元で零れてる唾液を拭って耳元で音をわざと立てて舐め取って）   (2018/6/6 03:56:48)

弦巻マキ＠リボン> 味見じゃなくて、実際食べられちゃう時に、とか、それはそれでスゴいコトになりそー、なんだけどっ……（期待とか想像とかしちゃう、って、いぢられながら、見られながら、息熱くして）＞凛ちゃん　　それは、そぉ、だけど、っ、あ、っ～♥（リグルちゃんの手２つで、それから、凛ちゃんに舐められて、ささやかれて、そのままお尻浮かせながらお腹波打たせてきゅぅっと全身をよじって……膝ガクガクさせながら、そのまま、くたぁって身体を横たわらせるかっこうに）
  (2018/6/6 03:58:37)

リグル・ナイトバグ> ――想像とかさせちゃって悶々させたままにならないように、ね。(とん、とんっともう一度だけ指先で叩いてから。本格的に弄ったり色々しちゃうのはまた今度にねって横たわるマキさんに囁いて。耳たぶにちゅっとキスをしてから顔を離し)  
(2018/6/6 04:00:29)

渋谷凛> うんその期待を何時実現しちゃおうかってことだね……マキがたっぷりと融けちゃいたいときにでもと……その都合をきちんときいたって構わないんだし（濡らした指ですっと唇をなぞって）あっさり力が抜けちゃったね   (2018/6/6 04:03:13)

弦巻マキ＠リボン> ふにゅぅう……もー、もー……ほんとにつついて撫でられてる、だけで、ぅうう……（顔も覆えないけど、真っ赤な顔をしながらイった余韻で息を荒くつき）　まずい、いろんな人にされちゃうの、くせになりそうかも……（うー、ってうなってる）  
(2018/6/6 04:03:17)

リグル・ナイトバグ> (よしよしってマキさんの頭を撫でてちょっとずつ落ち着かせようそうしよう)…癖になっちゃった時は皆にお願いしちゃったりするマキさんが…マキさんマキさん、想像しちゃうとまた危ないんじゃあ？   (2018/6/6 04:04:46)

弦巻マキ＠リボン> ふたりどーじは、むりです、耐えれないでふ……しかも、気分上げられてる時にとか、さ、ぁっ……（でもそのときはおねがいします、って素直にお返事。なぞってくれた指先に、ほんの少しだけ吸う仕草で）　だ、だいじょ、ぶ、たぶん……い、今はへいき……身体は暖かいけど、ね？（ふへ）
  (2018/6/6 04:06:16)

リグル・ナイトバグ> またちょっぴり新たな快感に目覚めちゃったマキさんなのでした――(みたいなことを言っておくのかもしれない。)…ぽかぽかしてるもんね。(抱きマキ枕さんみたいな温かさになってる。自らの眠気を呼び起こすためにむぎゅっと軽く抱き着いとこう)  
(2018/6/6 04:09:05)

渋谷凛> それじゃあマキと一緒になったら二人きりになって気分をあげていくところから始めてあげよう、ね（指先くわえられてくちゅと歯をなぞっていき）   (2018/6/6 04:09:31)

弦巻マキ＠リボン> お返事するのちょっと大変だけど……（ごにょごにょ。でも、二人までなら結構なんとかなるかもなって）　ん……リグルちゃん、も、ちゃんと寝なきゃだめ、だよ？（ちら、と見上げながら）　……うん、あと、凛ちゃんもよろしく、ね？（そゆ時になったら、多分そんなに我慢できないかもしれないけど、って。来た時からどきどきしてることもないではないもので。はむはむ、ちゅっ）
  (2018/6/6 04:11:41)

リグル・ナイトバグ> ンッ、大丈夫…もう少し温まったら眠るから……(んーっと体温を感じて……ふう、っと。よし、温まった――)――ん、それじゃあ私はそろそろ。(元々此処までは長居するつもりは無かったしね、って頬を掻いて。弄ってた指をペロッと舐めてから。二人におやすみって告げて帰っとこう)
  (2018/6/6 04:13:20)

おしらせ> リグル・ナイトバグさんが退室しました。  (2018/6/6 04:13:26)

渋谷凛> まぁ私は今は変に追加で色々しなかったしね？（１．５人くらいじゃないかなぁと首傾げて）ちゃぁんと楽しみにしてるから大丈夫だよ（ちゅっとキスをして）　うんリグルはお休みかな   (2018/6/6 04:13:56)

弦巻マキ＠リボン> ん、おやすみ、ぃ……（にへ、って蕩けた顔のままお見送り）　ん、そのときはよろしく、ね。流石に、二人霧とはいえ今からだとご相談もたいへんだろし（ぎこちなく追いかけて、ほっぺたにキスのおかえし）   (2018/6/6 04:15:34)

渋谷凛> まぁ何もなしで寝るまでの少しのマキを持っていってもいいんだけれどね。寝かせて子守歌みたいな感じで   (2018/6/6 04:15:47)

弦巻マキ＠リボン> それでもよさそぉなら……（いく？　って小さく首かしげ）   (2018/6/6 04:16:14)

渋谷凛> うん、マキのお部屋におじゃましようかな（こくとどんな部屋でもいいよと）   (2018/6/6 04:16:43)

弦巻マキ＠リボン> じゃー私のお部屋、こっち、こっち（ちょっと足どりふらふらしながら、せっかくだし２ショットのほーに、って）   (2018/6/6 04:17:31)

渋谷凛> それじゃあおじゃまするね（ふらっと連れて行かれて）   (2018/6/6 04:19:29)

おしらせ> 渋谷凛さんが退室しました。  (2018/6/6 04:19:32)

弦巻マキ＠リボン> （あ。気づいたら凛ちゃんの線が、また丸めになってる） ん、いこ、いこ。   (2018/6/6 04:19:37)

おしらせ> 弦巻マキ＠リボンさんが退室しました。  (2018/6/6 04:19:41)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/6 04:52:25)

霍青娥> おはようございます…今日はお休みだからゆったりしましょう（そう言いながらソファに座りつつゆっくりとお茶を用意していて   (2018/6/6 04:52:54)

霍青娥> ゆったりねぇ（そう言いながらお茶を飲みつつ暇そうにしていて   (2018/6/6 05:00:00)

霍青娥> はふん【そのまま外に出ていき   (2018/6/6 05:14:39)

おしらせ> 霍青娥さんが退室しました。  (2018/6/6 05:14:41)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/6 06:48:19)

霍青娥> ただいま〜（そう言いながら部屋の中に入るとまた、部屋を温泉にして脱衣所でゆっくりと服を脱いでいき   (2018/6/6 06:48:54)

霍青娥> さて（そのままタオルで体を隠しつつお風呂場に来るとゆったりと親に浸かり   (2018/6/6 07:04:51)

おしらせ> 無言時間が20分を超えたため、霍青娥さんが自動退室しました。  (2018/6/6 07:24:55)

おしらせ> アンヘルさんが入室しました♪  (2018/6/6 08:36:42)

アンヘル> 今日から梅雨入りらしい。じめじめ～(持ち物に傘が欠かせなくなりそう。めんどい)   (2018/6/6 08:37:34)

おしらせ> リグル・ナイトバグさんが入室しました♪  (2018/6/6 08:46:33)

リグル・ナイトバグ> じめじめするのは確かに面倒ではあるよね…(夏場はまだ余裕はあるけれど雨に濡れたりじめじめしたりするのはあんまり慣れない私だった。おはよって手をふりふり)   (2018/6/6 08:47:17)

アンヘル> 寝ろ！(第一声)湿気で肌がべとついたり、急な雨にやられる可能性があるからね(はい、おはよって手を振り返す)   (2018/6/6 08:49:03)

リグル・ナイトバグ> 寝てるから！　湿気はまだ何とかしようと思えばなるかもしれないけど急な土砂降りに関しては対処しきれない…傘があってもね。(ソファにぽすんっと)   (2018/6/6 08:50:47)

アンヘル> ここに今日の朝4時までｷｬｯｷｬｳﾌﾌしてましたという確かな記録が(ログと言う名の記録帳とりだして、目の前でピラピラと扇ぐ)横殴りの雨だと傘なんか何も意味ないからね。だからと言って手放して装備なしで雨の中を突っ切る勇気もないけど  
(2018/6/6 08:56:37)

リグル・ナイトバグ> 昨日はお休みだったから十分おやすみは取れてるもん(唇尖らせてぶーぶー、扇がれながらアンヘルさんを見て。心配してくれてるのは嬉しいけど！)　せめて他の荷物を極力濡らさない位な感じかなぁ。(うーん。と首を傾げて。まあ、そういう時は大抵無事じゃない)
  (2018/6/6 08:59:07)

アンヘル> 朝10時間寝たから夜の睡眠時間は4時間でいいですって理屈はないぞー(尖らせた唇を摘まみ、むにっと引っ張る)紙と機械はとりあえずアウト。財布の中身は小銭だけって状態なら何とか…。風邪ひきそうだけどね   (2018/6/6 09:02:40)

リグル・ナイトバグ> んんぅ……(抓まれて引っ張られれば手をばたばた)…とりあえずそういう濡れちゃったら危ない物がある場合って袋に入れてきつめに縛っておいた方が良いかもね、対策…(本当に濡れたら危ないのはそれ位しなきゃだ、と)   (2018/6/6
09:05:30)

アンヘル> (摘まんだ指をパッと離す)きつく縛るとか、濡れたら危ないとか、朝から何言ってんのこの人(うわぁ、うわぁみたいな顔しながら)   (2018/6/6 09:07:55)

リグル・ナイトバグ> アンヘルさんこそ何を言っているのか私には判らない……(お返しに私からも唇むにって引っ張っとこう)   (2018/6/6 09:08:51)

おしらせ> 紅守黒湖さんが入室しました♪  (2018/6/6 09:10:35)

アンヘル> あ、ずるいぞ！己の罪を他人になすりつけるとは……むい、むいぃ…(高度な情報操作によって加害者にされるあたし。今度はこっちが手をパタパタする番に)   (2018/6/6 09:11:14)

紅守黒湖> オハヨ。濡れたとか縛るとか、朝からお盛んねェ？（ひょっこり現れた長身の女性。しっとり濡れたジャケット脱ぎつつにまにまと。今日はリビングでいいのかしら？）   (2018/6/6 09:12:06)

リグル・ナイトバグ> 私は濡れちゃいけない物は袋に入れなきゃ的な感じで言ったからアンヘルさんの罪の方が重い……(唇抓むのは止めてふにふにつっついて)　おはよ、紅守さん。朝からお盛んなのはアンヘルさんだったかもしれない…(けど朝だからきっと仕方ない位の感覚。リビングだと思っていた私！)
  (2018/6/6 09:13:31)

アンヘル> あたしはそう聞こえなかったので(曲解したとも言う)すべての罪はリグルにあると言っていいね(唇ふにられながらリビングで談話するあたし達)はい、おはよう。という訳で朝から盛ってるのはこの妖怪です。さすが夏場に活躍する妖怪だ   (2018/6/6
09:17:26)

リグル・ナイトバグ> 本当に盛ってたら今頃アンヘルさんがあられもない姿になってると思うきっと。(じぃっと見ながら罪をなすりつけられ返されてる。唇小突き続けよう、ふにふに。夏場に活躍はするけど凄い風評被害に聞こえる！)   (2018/6/6 09:19:27)

紅守黒湖> ふむふむ、要約すると、朝4時まで盛ってた子がなお元気…？（曲解に曲解重ねていきながら、どっかから取り出したタオルで濡れた髪ぽんぽん）   (2018/6/6 09:19:45)

アンヘル> うーん、否定できない。確かに具体的に行動に移されてるような気がする(小突かれながら納得。そう言われると確かに。座ってるソファーなりなんなりに押し倒されていてもおかしくはないかもしれない)   (2018/6/6 09:23:02)

紅守黒湖> アンヘルちゃん普段からあんな格好なのに、あられもない姿なんて想像も……つくというか見たわねェ。前に（聖女様に吊られて空中アクメキめてるの見たというか現場で撮影してたの思い出してニヘラと変な笑い浮かべ）   (2018/6/6 09:23:31)

リグル・ナイトバグ> 何だか着実に私がお元気なのが植え付けられ…(最早これは盛れって言われてる気がしなくもない、それは無いけど。手を唇から離したら、アンヘルさんの肩に手をかけて、えいっと押しとこう。曲解が事実になるのかどうかは判らない)   (2018/6/6
09:26:14)

アンヘル> そして、その脳内光景が最新化されようと…やぁん！(ぐっと肩を押されて、ソファーに仰向けに寝転がらされる。まぁ、少なくとも濃厚なのは時間がなさげ。ソフトなら？何をもってソフトと言うかは知らない)   (2018/6/6 09:30:21)

おしらせ> 霍青娥さんが入室しました♪  (2018/6/6 09:30:53)

霍青娥> おはようございます（ご挨拶しながら部屋の中に入りつつ、現世のゲームは楽しいですねとそんなことを言いながらゆったりとソファに座って3人にご挨拶   (2018/6/6 09:31:37)

リグル・ナイトバグ> 最新化された結果、アンヘルさんのあられもない姿も最新化に…(私も言うて濃厚なのを出来るかと言われたら時間的な意味では難しい、大体は勢いだった…。とりあえず、アンヘルさんのほっぺにキスをしながらお腹を撫でつつ手を下腹部へ。衣服越しに秘部を数度撫でてから手を潜らせ直接触れようと)
  (2018/6/6 09:34:58)

紅守黒湖> お元気なので植え付けると…なるほどなるほど（押し倒す子押し倒される子にガッテンした様子で頷きつつ、三脚設置してごつい撮影機器固定。今回も撮る気満々の様子）それじゃあたしは濡れた体あっためて来ましょ。それじゃね♥【背後でお風呂の準備できたので失礼するわねェ】
  (2018/6/6 09:35:08)

おしらせ> 紅守黒湖さんが退室しました。  (2018/6/6 09:35:16)

アンヘル> はい、おはよー(ソファーの上に仰向けに倒されながら手足をぱたぱたと振って挨拶)   (2018/6/6 09:35:28)

リグル・ナイトバグ> (青娥さんはおはよって触角ゆらしとこう、手が振れない！、紅守さんは温まって来てねな感じで見送るのかもしれない)   (2018/6/6 09:35:43)

霍青娥> 黒湖さま、おつかれさまです（そう言いながら見送りつつ）おはようございます（お二人にご挨拶しながら微笑みかけて   (2018/6/6 09:36:32)

アンヘル> 何が最新になるのやら(頬にキスを受け、お腹を撫でられてくすぐったそうにする)へっ？は、わわ、ちょ、ちょい待ち…や、ああん…！(秘部を衣服の上から撫でられて驚き、あれ、ソフトってじゃれあいくらいじゃ？そうこうし考えてる内に直接触れられて身体を跳ねさせる)
  (2018/6/6 09:40:15)

霍青娥> あらあら（押し倒されて刺激されているアンヘルを見つつ楽しそうにしながらゆっくりとお茶の用意をして鑑賞する用意をしていて   (2018/6/6 09:41:53)

リグル・ナイトバグ> それは私にも良くわからない……。――…これ以上やっちゃったらソフトにはならないかもしれないけど…(…いや、現時点でソフトじゃないかもしれない。指で直接膣口を撫でては浅く指を嵌め、淡い刺激だけゆったりと送っとこう…ソフトとは一体)  
(2018/6/6 09:44:01)

おしらせ> フカ次郎さんが入室しました♪  (2018/6/6 09:46:59)

アンヘル> 普通ソフトってそこ触らないんじゃない！？……あ……はあぁ…♥あ、なんか、ちょっとウズウズするぅ……ん(浅くゆったりとした指の刺激にもどかしさを感じつつも、これはこれでなんか焦らされてるみたいでたまらないかも……)   (2018/6/6
09:47:09)

霍青娥> ふふ…（そのまま二人の刺激されている姿を堪能しつつソファの上で足を組んでゆったりと入れた紅茶を飲みつつゆったりしていて   (2018/6/6 09:48:44)

リグル・ナイトバグ> …普段している事に比べればきっとソフト(私も触ってからコレ、ソフトじゃないなぁって思ったのは秘密)…どうしよう、このままこれを続けちゃったらアンヘルさんが悶々しちゃうかもしれないけれど。(ゆったりと、くちゅ、くちゅっと浅い部分を指で掻いては刺激を送り。けど、それはそれで悶々したアンヘルさんが見れるという)
  (2018/6/6 09:49:39)

フカ次郎> 今度こs………………（扉の開く音、そして威勢のいい声……が急に萎む。扉を開け入ろうとしてきた人物はあまりにも珍妙な格好。金髪のチビが何故かアーミーヘルメットを被り、おまけにマルチカムの迷彩服。両肩に担ぐは6連発のグレラン。どこの戦場帰りだお前、と突っ込みたく成る格好の少女は)……(右を見る)……(左を見る)………………(そのまま静かに扉を閉じた。何事もなかったかの如く)
  (2018/6/6 09:50:29)

霍青娥> ん…（誰かが見ているのに気づいて静かに扉を閉じる相手の後ろから壁抜けしてフカ次郎に後ろからこんにちはぁ…と甘い声でご挨拶して   (2018/6/6 09:52:42)

フカ次郎> おちつけー、落ち着け篠原美優。まず深呼吸だ、すー、はー……どうなってる？あの部屋で最後だけどやっぱりグロッケンじゃないよなここ。どう言う事だーちゃんとGGOにログインしたはずだぞー？て言うかこんなゲーム記憶にないぞー？あ、わかった夢だ。はっはっは私としたことがアミュスフィア被って寝っ転がった途端寝ちゃうなんてバカダナーHAHAHAHA(ブツブツブツブツ。よし頬をつねろうそうすれば夢からはさm)うわうわうわ待って待ってステイステイ今出てこないで出て来られると夢だと思い込めなくなる！（壁抜けしてきた姿にびっくぅ。腰から拳銃抜いてそっちに向けつつめちゃめちゃ焦ってる動き)
  (2018/6/6 09:54:26)

霍青娥> 落ち着きましょう、ほら（相手が大慌てしていると優しく微笑みながらそのまま優しくむぎゅっと抱きしめてあげて相手の顔を大きな柔らかいマシュマロのようなお胸で包んであげて甘い匂いと柔らかな感触の母性を与えてあげて相手が落ち着くまで頭をポンポンと撫でてあげて
  (2018/6/6 09:56:36)

アンヘル> 確かにソフトだね普段に比べたら…！(具体的には味とか匂いとか)あ、あぁ…♥でも、なんか……これって、ん…♥いいかも？(くちくちと秘部を掻く指の動き、決定的な刺激はなくて指を動かすたびに身体をわずかに反応させて、たまらなそうに深く息をつく)  
(2018/6/6 09:57:16)

フカ次郎> うゎ、や、う、撃つぞこの……へっ（やーらかいなにか。一瞬何が起きたのか理解できずフリーズ。ま、目の前見えない……ていうかなんか甘酸っぱい匂いが、ふ、ふわふわして……ぁう。筋力ステ自体は押しのけられるくらいにあるものの、淫気に充てられクラクラと。そのままぐったりと身体を預けてしまう自分が居た)
  (2018/6/6 09:59:40)

リグル・ナイトバグ> むしろ何時ものような事をしてたら確実に時間が…足りないのは判ってた！(色んな意味で濃厚になる)　ココから一気に…時間があったら濃くはなりそうだけれど――。(ね？って。少しずつ昂らせていく触り方になるのかもしれない、時折…浅い部分から中指が半分ほど入る位まで差し込み襞を掻いて。吐息を漏らすアンヘルさんの唇を啄み)
  (2018/6/6 10:00:07)

霍青娥> よしよし、落ち着いたかしら？（相手が体を預けてくると優しく微笑みつつ甘く囁くように聞いてみて首を傾げていて相手の顔よりも大きな胸で優しく包み込みつつなでなでと頭を撫でながら相手が落ち着くのを待っていて   (2018/6/6 10:01:47)

フカ次郎> う……なにが、どうなってんだー……（落ち着きはしたけれど落ち着かない。矛盾が生じてるけど、実際そんな感じなのだから仕方ない。耳元で囁かれる声にくすぐったさを感じつつ、とりあえずぱっと離れ)ぇー、と。ここどこよ。取り敢えず貴女が敵じゃないっぽいのはわかったけどさ(ひとまず状況理解に努めることにした。
  (2018/6/6 10:04:43)

霍青娥> ここ？なんかいろんな人が集まって雑談したりとか、こういうことするところ？（ここはどこって聞かれると首を傾げつつ自分でもよくわかってないのでそう伝えて相手を離すとゆっくりと閉められたドアを開くと二人の邪魔にならないように覗くように二人の情事を見せてあげて
  (2018/6/6 10:06:14)

アンヘル> 最初の一回で普通の行為ぐらいの時間使うからしょうがない…(きっと飲ませなければソフト)さすがにそれは半端になるからリグルに悪い気がするぅ……ん、はぁ♥(最近やらかした前科があるから、あまり積極的にいけない。指の緩慢な動きにぴく、ぴくと震えて、唇を啄まれると自分からも吸い上げる)
  (2018/6/6 10:07:37)

フカ次郎> あ、あやふやな解説だなー……えーっと、じゃあGGOのどこ……か…………(再度開く扉、夢だと思い込もうとしてた一番の要因がそこに。気のせいじゃなかった。アレ思いっきり女の子同士でアレしてない！？いや、私だって彼氏に振られて「もう百合に生きる」なんで宣言したこともあったけど、いや、えー、あの。あの………………うぅ)……ロ、ログアウトしよう。そうしよう（目を逸らしながらまたもぶつくさ
  (2018/6/6 10:09:20)

霍青娥> ログアウト？（ゲーム用語なのはわかるが、現実よここと言いながらゆっくりと後ろから抱きしめてあげつつ優しく頭をなでなでして   (2018/6/6 10:10:14)

リグル・ナイトバグ> 結構時間はつかっちゃうからね、本当…(段々ソフトの境界が曖昧になってるのは気のせい)　私は半端になっちゃっても――…あ、けど。(アンヘルさんには気持ち良くはなって欲しいから。って吸い上げられる唇…ちゅっと啄み、食みながらもう一本指を増やしては浅く挿入していた指を…中指と薬指の2本で膣奥を撫で摩り。親指はクリトリスへと押し当てれば軽く押し潰すようにと急に刺激を増やしてみせ)
  (2018/6/6 10:11:43)

リグル・ナイトバグ> (ちらっと視線が新しい入室者に向けられたけれど、小さく頭を下げる事しか今出来なかったっ！】   (2018/6/6 10:12:22)

フカ次郎> ぃ、いや現実ってそんな馬鹿な。だって私今GGOのアバターだよ？こうやればステータスだって（左腕を、すっと空に滑らせて)……はれ？（ウインドウが、出ない。もう一回。出ない。何回やっても出ない。ハッとして、後ろから抱きしめてくる彼女を見る。……ステータスバーが無い？なんで？）え、い、いや。いやいやいや。何これ、嘘（SAO事件が頭をよぎる。違う。だって、サバイバーの話では「メニューからログアウトが消えてた」って言ってた。こんな、メニューもステータスも出ないような状況には陥ってなかった。ぇ、な、なんで……！？と本気で動転しはじめて)
  (2018/6/6 10:15:57)

霍青娥> ？（よくわかってないので相手の頭を優しく撫でながら慌てちゃダメよと言いながら落ち着くように頭を撫でつつ相手に胸を後ろから押し付けて、リアルでしか味わえない柔らかな胸の感触を伝えて現実だと分からせてあげて   (2018/6/6 10:18:05)

フカ次郎> ふぁ、お。おしつけないでぇっ（焦りがまた別のものに塗りつぶされて行く。さ、さっきからなんでこんなにアプローチがダイレクトな上に激しいのか……！変な気分になってくる……ぁう   (2018/6/6 10:20:36)

アンヘル> 使わせてる気もするからお互いさま…？(それを望んでると言うのもあるから)……ん…ぁ…ぁ…♥(口づけに応じながら浅く動く指の動きを感じて、もどかしいけれどゾクゾクする)……んあ、あぁ…！ちょ、ま、やぁ、そこ……♥急に…あぁン…♥(緩慢な刺激から急に強い刺激に変わり激しく身体を揺する。一層甘い声が出てしまい、思わずリグルの背中をプロレスでギブアップを伝えるようにパンパンと叩いて)
  (2018/6/6 10:21:09)

霍青娥> ふふ、あんまり難しく考えちゃダメよ…夢だと思えばいいわ、リアルのある甘い夢…（相手の耳元で優しく囁きながら後ろから胸を押し付けつつ相手に伝えていてそのままお名前は？と聞きながら首筋に舌を這わせていき   (2018/6/6 10:22:35)

リグル・ナイトバグ> そういう時に関しては、うん。(お互いに望んで、したいと思うからかかっちゃうもんね、と)…ふ、んん♪(あむ、はむっと啄んでは応じてくれる口づけにほほを緩め)…ギブアップしちゃうの？アンヘルさん…♥(クスっと笑い。タップされるとそのまま指を止め……はせずに二本の指をフック上に。ざらついた部分をかりっと擦りながらそこから一気に指を引き抜いて――蜜を掻き出しながら一緒に指を引き抜いては深く重ねる唇。濡れた中指でクリトリスを撫であげて――)
  (2018/6/6 10:25:02)

