/


「版権百合部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=188291]
過去ログ一覧 [/PastLogList?room_id=188291]

タグ レズ [/?tag_id=146#freerooms]  クロスオーバー [/?tag_id=20039#freerooms]  百合 [/?tag_id=4909#freerooms]  版権 [/?tag_id=662#freerooms]

2023年06月19日 23時57分 ～ 2023年06月22日 23時44分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

零余子> 途中までは見てたけど、ついてけなくなっちゃった(汗)ひとりちゃん   (2023/6/19 23:57:20)
◆> あもっ！？……んっ♡ふぅっ♡ちろ…♡ちろっ…♡（セイカちゃんの手で顔を股間に押し付けられていくと驚いて声を出しちゃうけど、積極的なセイカちゃんの気持ちに応えるように唇を小さく開いて舌を出すと、舌先で入り口をツン♡ツン♡とノックして開かせようとして）  
(2023/6/20 23:56:55)

京町セイカ> ふっ♡う、うぅ〜〜っ♡(生暖かい舌にツンツンされると散々解された股間は簡単に入口を緩めてしまう…つぷ…と舌の先が入り込むとふむうううっとまた一段と声が大きく…)   (2023/6/20 23:59:14)

廣井きくり ◆> セイカちゃん♡ふきっ♡ふきぃっ♡んんっ♡わたひれ…ひもちよくなっれぇ…？//ん…♡んっ♡（温かい膣内に入り込んだ舌は潮を集めるように浅い部分をクルクルと動いて、お酒と唾液で滑りを良くしながら段々奥へと向かって）   (2023/6/21
00:05:31)

京町セイカ> んきゅうっ♡おくっ♡おくにきれ……♡きくりちゃんやらぁっ♡わらひっ、こえっ大きいからぁ…♡恥ずかし…きらわれひゃう…♡   (2023/6/21 00:09:13)

京町セイカ> (中をうねうねと蠢く舌にビクンッビクンッと身体を跳ねさせながら涙でぐちゃぐちゃになった顔で懇願するように声をだして)   (2023/6/21 00:09:59)

廣井きくり
◆> ………♡///あー、残念…♡セイカちゃんの嫌がる事はできないし、今日はここまでにしとこっかな♪……私はえっちなセイカちゃんが大好きだから嫌ったりしないのに〜…♡（ウネウネ♡ニュルニュル♡イヤラシく動かしていた舌の動きを良いところで止めるとセイカちゃんを絶頂できない生殺しの状態にして）
  (2023/6/21 00:14:46)

廣井きくり ◆> 【ごめん、いいところだけどそろそろ寝ないと明日のリハ寝坊しちゃいそうかも//】   (2023/6/21 00:15:44)

京町セイカ> ん、んえ……？(切なそうな顔をきくりちゃんに向けるとまるでむずがる子どものようにんー…とうなって)……き、くりちゃん…やだよう…もっとしたいよう…(泣きそうな声を出しつつ自分で股間を慰めはじめて)   (2023/6/21 00:16:16)

京町セイカ> 【そっかー、仕方ないねー】   (2023/6/21 00:16:24)

廣井きくり ◆> 【うー//もうちょっと頑張る…//】   (2023/6/21 00:17:39)

京町セイカ> 【いやいや、無理しなくていいからね！？】   (2023/6/21 00:17:56)

廣井きくり ◆> 【うぅ〜…でもひとりでしてるセイカちゃんがエッチ過ぎてほっとけないし…//じゃあまた今度この続きからしよっか？】   (2023/6/21 00:19:09)

京町セイカ> 【そうだね…ふふふ、生殺しなのはお互い様だったりして】   (2023/6/21 00:19:59)

廣井きくり ◆> 【そうだよ〜//私だって本当はもうヌルヌルになっちゃってて…時間があればもっとセイカちゃんと…♡】   (2023/6/21 00:21:15)

京町セイカ> 【えへへ、やっぱり♡じゃあおあずけってことで♡】   (2023/6/21 00:22:04)

廣井きくり ◆> 【恥ずかしいなぁ…//セイカちゃん…ひとりでするの禁止だからね…？だって私で気持ちよくなってほしいからぁっ♡】   (2023/6/21 00:24:13)

京町セイカ> 【じゃあきくりちゃんもだからね？…あと、ここに来てまだ経験ないならきくりちゃんのはじめてもほしいな？】   (2023/6/21 00:25:06)

廣井きくり ◆> 【えへへ、予約ってこと？//仕方ないなぁ…私のはじめてはセイカちゃんにあげるよ…♡】   (2023/6/21 00:26:22)

京町セイカ> 【ありがとう、こういうとこだからお互い違う人とえっちするかもしれないけどせめて、特別なものが欲しかったから♡】   (2023/6/21 00:27:01)

廣井きくり ◆> 【うん…♪じゃあ私の特別はセイカちゃんにあげる……その代わりお酒じゃなれないくらい気持ちよくしてね？//】   (2023/6/21 00:29:41)

京町セイカ> 【がんばるね♡じゃあ名残惜しいけどそろそろ】   (2023/6/21 00:30:17)

廣井きくり ◆> 【うん、おやすみぃ〜♪またくるね…//】   (2023/6/21 00:31:21)

おしらせ> 廣井きくり ◆Vd27lRtH6HXIさんが退室しました。  (2023/6/21 00:31:26)

おしらせ> 京町セイカさんが退室しました。  (2023/6/21 00:31:33)

おしらせ> クルミ ◆Vd27lRtH6HXIさんが入室しました♪  (2023/6/21 21:46:13)

クルミ ◆> よ…っと…！暑くなってきたし、そろそろ押入れに空調設備をいれなきゃだなー。PCがオーバーヒートしたら被害額が計り知れん…。（押し入れの引き戸を開けて下りると服の中に籠もった熱を逃がすためにパーカーの裾を掴んでパタパタさせて）  
(2023/6/21 21:50:43)

おしらせ> 渋谷凜 ◆346.Rf.llEさんが入室しました♪  (2023/6/21 22:00:19)

渋谷凜 ◆> （少し熱くなってきたかな？　なんてシャツをはためかせてくれば部屋に入って）……？　こんばんわ（先客の姿に目を留めては頭を下げて）   (2023/6/21 22:02:10)

クルミ ◆> んぉー？こんばんは〜？（下着がギリギリ見えないくらいのところでパーカーを捲ったり下ろしたりしてると知らない相手が入ってきて、余っている袖をヒラヒラさせながら手を振って挨拶し）   (2023/6/21 22:06:05)

渋谷凜 ◆> こんばんわ、何かパタパタしてるね？（そんな熱が籠るんだと…奥を覗き込んで…籠りそうだねなんて見直して）   (2023/6/21 22:07:51)

クルミ ◆> まぁねー、ボクが勝手に作ったんだし文句は言えないけどな。（PCの熱でサウナになりかけてる押し入れからは熱風が吹き出してきて）ボクはクルミ……よかったら君の名前も教えてくれ。知らないことがあるのは我慢できない性分なんだ。   (2023/6/21
22:12:17)

渋谷凜 ◆> こんなところで勝手に作っちゃったんだ？（熱いねと…出てくる熱風を軽く浴びては戻ってきて）……渋谷凛だよ、よろしくねクルミ（手を差し出してはぎゅっと軽く取って）   (2023/6/21 22:13:35)

クルミ
◆> うっ……仕方ないんだ、ボクには安全に潜伏できる場所が必要なんだよ。もちろん権利者がいればすぐにでも家賃を払うぞー？うん、よろしくー。あぁ、どこかで見かけた顔だと思ったらアイドルだったのか…。（名前を聞いて握手をしながら片手ではパパッと端末を操作して情報を集めて）
  (2023/6/21 22:23:14)

渋谷凜 ◆> 勝手にみんな遊びに来てはいるみたいだけどね？　でも潜伏とかは違うとは思うかな（みんな来ちゃうよなんて）うんまぁ、ここに来ている分には色々とプライベートだから気にしなくてもいいけれどね（片手で結構器用だねなんて、手元を覗いて）  
(2023/6/21 22:24:48)

おしらせ> 朝倉可憐さんが入室しました♪  (2023/6/21 22:28:14)

朝倉可憐> こんばんは…♪お邪魔させてもらうわね…？（ひょこ   (2023/6/21 22:28:42)

渋谷凜 ◆> いらっしゃい（入って来た子に手を振り見つめて）   (2023/6/21 22:32:01)

クルミ
◆> うーん、たしかに色んなのが来てるみたいだけど、ここにはボクの事を狙ってくるやつはいないだろうからそれでいいんだ…♪（なぜか胸を張りながらドヤ顔でそう言う。命を狙ってくる者はという事を伝えたかったけど、もしかしたら体を狙って来る者はいないだろうというニュアンスで伝わったかもしれない）お忍びってことか……まあボクは情報をリークしたりするつもりはないからな。
  (2023/6/21 22:35:23)

クルミ ◆> こんばんはー。おっ、たしか前にも会ったな？ゲームはやってるかー？（萌え袖を振りながらゆるーく挨拶して）   (2023/6/21 22:36:56)

渋谷凜 ◆> 狙うというか、面白おかしい事はありそうかな？（命なんてことは思わないから性的なら普通に狙われるよねーなんてクスリと笑い）気づかれないなら気づかれないままでいいしね？＞クルミ   (2023/6/21 22:37:49)

朝倉可憐> あったかも…？　うん、ゲームは程々に…？（こく   (2023/6/21 22:39:26)

クルミ ◆> 面白おかしい？ぼ…ボクはアイドルを引き立てるための芸人じゃないぞ…？裏方ならやるけどな…。（アイドルの綺麗な顔で笑われると本当に何かトラブルが起きそうな気がしてたじろぎながら）   (2023/6/21 22:46:54)

渋谷凜 ◆> ゲームをしに来てるお仲間とかそういう感じかな？（どうなんだろうねと）　引き立て役と言うかここではみんな主役になるんじゃないかな……？   (2023/6/21 22:49:49)

クルミ ◆> なるほど、ぼちぼちでんなってわけか〜。ボクは楽しいのがあったら一日中でもしちゃうけどなー？   (2023/6/21 22:50:23)

クルミ ◆> おー、良いこと言うな？たしかにここでは誰もが主役だし、誰かを引き立てるとか考えずに自由に動いてもいいのかもしれないな…。（話を聞きながらうんうんと首を縦に振って）   (2023/6/21 22:57:47)

朝倉可憐> ふふ……任務で疲れちゃうからそれどころじゃないことも多くて。　主役同士のカップリング、素敵ね。（うんうん）   (2023/6/21 22:58:27)

渋谷凜 ◆> カップリングとなると色々と遊んじゃいそうかなぁ？（違うのかななんて可憐の方も）というか普通の日常に主役も脇役もないからね…？   (2023/6/21 23:00:31)

クルミ ◆> どこかに所属してるのも楽じゃないんだな…まあちょっとずつやりなよー？主役同士のカップリング…つまりはちさたき…もしくはスレミオか…。（何気ない会話の中でハッと何か気づいたような顔をして）   (2023/6/21 23:04:04)

朝倉可憐> まぁ…しないといけない身だから文句は言えないけれど。（はふ）   (2023/6/21 23:11:44)

クルミ ◆> うーん…ストレスだけは溜めないようにな…。   (2023/6/21 23:12:55)

渋谷凜 ◆> 色々無理はしないようにね……何かありそうだけれど、さ   (2023/6/21 23:13:34)

クルミ ◆> そろそろ良い時間だな……それじゃあボクはそろそろ寝とくよー？二人共おやすみ。   (2023/6/21 23:14:55)

渋谷凜 ◆> ん、おやすみクルミまたゆっくりお話ししようか（見送って）   (2023/6/21 23:15:22)

朝倉可憐> うん、お疲れ様。   (2023/6/21 23:16:31)

クルミ ◆> うん、また話そっか。おやすみ〜。（眠そうに欠伸をひとつしたあと、押し入れを開けると手を挙げてからよじ登って）   (2023/6/21 23:17:01)

おしらせ> クルミ ◆Vd27lRtH6HXIさんが退室しました。  (2023/6/21 23:17:07)

渋谷凜 ◆> 任務ってことだから大変な事をしているようには思うけど……   (2023/6/21 23:17:51)

朝倉可憐> あ、私のコト……？うん、少し大変かも。   (2023/6/21 23:29:35)

おしらせ> 無言時間が25分を超えたため、渋谷凜 ◆346.Rf.llEさんが自動退室しました。  (2023/6/21 23:42:54)

朝倉可憐> ふふ…おつかれさま。   (2023/6/21 23:43:25)

おしらせ> 朝倉可憐さんが退室しました。  (2023/6/21 23:43:26)

おしらせ> 小春六花さんが入室しました♪  (2023/6/22 09:02:32)

小春六花> はい、というわけでね。ついに、Googleをトド岩に送り込んだ小春六花です   (2023/6/22 09:03:29)

おしらせ> 無言時間が25分を超えたため、小春六花さんが自動退室しました。  (2023/6/22 09:28:49)

おしらせ> グリムアロエさんが入室しました♪  (2023/6/22 19:55:51)

グリムアロエ> ばぁ…♪だめだめなお姉ちゃんがいそうな匂いにつられて来ちゃったぁ〜♡（小さな体の子供なのに独特な色香を持った少女が扉を開けて入ってきて）   (2023/6/22 19:58:35)

グリムアロエ> うーん……これから始まるアニメは女の子同士で仲良くなってくれそうなのが少なくてつまんななぁ…。まあ今期がたくさんあったから、一先ずのお休み期間って考えておこっと…♡（魔法のタブレットをポチポチしながら情報収集中）   (2023/6/22
20:04:49)

おしらせ> 後藤ひとりさんが入室しました♪  (2023/6/22 20:11:11)

後藤ひとり> おっ……お邪魔します……(コソコソと中に入り……あんまり見たことの無い人に挨拶をして)   (2023/6/22 20:12:31)

グリムアロエ> あ〜♪見るからにダメダメなお姉ちゃんみーつけたっ♡こんばんはお姉ちゃん…♪（見ていたタブレットを画面のついたままテーブルに置くとピンク色のお姉ちゃんに近づいて思いっきり至近距離で話しちゃう♡）   (2023/6/22 20:14:20)

後藤ひとり> ひ、ひどい……∑まあ確かにダメダメなんですよね……根暗で承認欲求モンスターで陰キャだからそうなんですけどね……(初対面なロリサキュバスぽい見た目の少女の容赦ない罵倒にも頷くことしか出来ず)   (2023/6/22 20:17:40)

グリムアロエ> あ…ごめんね…？落ち込んじゃだめだよ〜？誰だって人に認められたかったり暗くなる時はあるんだからぁ…。（落ち込んだお姉ちゃんを見るとアロエちゃん譲りのいい子な部分が出ちゃって、背伸びしてお姉ちゃんの頭をよしよししながら）   (2023/6/22
20:20:54)

後藤ひとり> え？いやはい……あり…がとうございます……あ、私は後藤ひとりです……よろしくお願いします……(さっきはバカにされたのに今度は慰めたことに若干困惑しながらも撫でられると顔を緩ませて)   (2023/6/22 20:23:39)

グリムアロエ> うん、よろしくねぇ…♪ひとりお姉ちゃんかぁ…。あたしはグリムアロエ…世界一可愛いアロエちゃんのわる〜い部分だよ♡（緩んだ顔を見て立ち直ったのを確認すると元のにやついた表情に戻り、短いスカートをギリギリまで持ち上げてご挨拶♡）  
(2023/6/22 20:27:38)

おしらせ> 雷電将軍さんが入室しました♪  (2023/6/22 20:28:38)

雷電将軍> …しばしの間、休憩がてら失礼しますね(扉を開けてやってきた将軍様、お馴染みのピンクガールと見慣れぬ少女を見つけては会釈を。)   (2023/6/22 20:29:20)

後藤ひとり> クロエさんですね……悪い部分ということは良い部分も居るんですか？………(さっきは優しい雰囲気だけど今度は1番最初の意地悪な性格に……ただでさえ短いスカートを捲られるとそこに目がついついうつり)   (2023/6/22 20:30:21)

後藤ひとり> あ、こんばんはです……(ぺこり)   (2023/6/22 20:30:31)

グリムアロエ> こんばんは〜♪やだぁ♡強そうなお姉ちゃん……悪戯したらお仕置きされちゃいそう…♡（扉が開けばひとりお姉ちゃんにした挨拶をそのままもう一人のお姉ちゃんに向けてして）   (2023/6/22 20:33:16)

雷電将軍> ……悪戯のレベルにもよりますがそこまできついお仕置きはしませんので…(ひとりに手を振っては此方を見て何か言ってる…おそらく初対面であろう少女をじ、と観察…)   (2023/6/22 20:34:59)

グリムアロエ> そうだよ…♪あたしのオリジナルのアロエちゃんはとってもいい子でとんでもなく可愛いんだから♡……あ〜♪お姉ちゃんたら大人しそうなのにヘンタイさんだね…♡（思わせぶりにスカートをヒラヒラさせた後に手でおさえてから舌をべーって出して）  
(2023/6/22 20:37:21)

後藤ひとり> なるほどこちらのクロエさんは小悪魔……というか意地悪な子です……え私ですか！？……///クロエちゃんが見せてきたのに……///(わかりやすい生意気な子にこちらも少しだけ頬をふくらませて)   (2023/6/22 20:39:52)

グリムアロエ> ふーん…優しいんだぁ…♪……あっ…！ちょっと待ってね…！帰りにするお買い物の連絡がきたからお返事しないと…。（小馬鹿にしたようなニヤついた顔で強そうなお姉ちゃんを見返した後、タブレットが鳴ると慌ててお返事を打って）   (2023/6/22
20:41:50)

雷電将軍> …ひとりが揶揄われています(平和？な光景にホッコリ、ソファに座って…)   (2023/6/22 20:42:08)

後藤ひとり> からかわれてますね…   (2023/6/22 20:42:20)

雷電将軍> 悪い子の部分、と言ってましたが普通にいい子なのでは……(お買い物の連絡、と小耳に挟んではそう解釈した。きっとお買い物をして帰るのだろう…！)   (2023/6/22 20:43:06)

グリムアロエ> 見せたら見てもいいの？違うよね…見たらみーんなヘンタイさんなんだよ…♡（ひとりお姉ちゃんを見てクスクス、面白そうに微笑めばそんなに見たいの？ってもう一度スカートを上げて）   (2023/6/22 20:45:18)

グリムアロエ> むー、しょうがないじゃない…。訳あって今は教会にお世話になってるんだから、あたしの分のお仕事はちゃんとやらないと…//お姉ちゃん…それよりあたし、お姉ちゃんのお名前を聞きたいなぁ…♡あたしはグリムアロエだよ…♪（このままではいい子認定されると思って話題を変えるためにお姉ちゃんの名前を聞きながら自己紹介して）
  (2023/6/22 20:48:33)

後藤ひとり> うう………///じゃ、じゃあ少しだけお願いします……///(めくって誘惑する彼女に負けてしまいお願いしてみて)   (2023/6/22 20:50:23)

雷電将軍> ……やっぱり良い子なのでは！？(訳あってとはいえキッチリと役割をこなしてるのは普通に褒めるべき事だ…)あ、ええと…そうですね、私の名前は雷電将軍と申します。よろしくお願いしますね(こちらもキチッと名乗り返しては頭を下げて)   (2023/6/22
20:50:38)

グリムアロエ> ……え？………えーっ//もう、本当にエッチなんだから……じゃあちょっとだけだよ…？//（本当に見たいって言って来るとは思ってなかったからタジタジになりながらも、戸惑いがちにスカートを上げると鼠径部がくっきり見えちゃうくらいの際どい下着をお姉ちゃんに見せて）
  (2023/6/22 20:56:18)

雷電将軍> (ひとりとグリムアロエのやり取りを見ては…ほんのり頰を染めて目を逸らしたり…)   (2023/6/22 20:57:07)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが入室しました♪  (2023/6/22 21:00:33)

グリムアロエ> そんなことないってばぁ…//ふーん…変わった名前だね…♪雷電が名字で将軍が名前なの…？（お辞儀にちゃんとお辞儀を仕返したあと、視線をそらしてたお姉ちゃんの目に映るようにスカートを上げたまま場所を変えて話して）   (2023/6/22
21:00:37)

後藤ひとり> 誘惑してたから見せたいのかと……///しかもそんなド派手な下着つけちゃって……(恥ずかしがってクロエさんにこちらも顔を赤くさせながらも彼女のセクシーな下着に釘付け)   (2023/6/22 21:00:40)

中野三玖 ◆> ふぁぁ…くぁ…   (2023/6/22 21:00:43)

後藤ひとり> あ、三玖さんもこんばんはです   (2023/6/22 21:00:49)

雷電将軍> ええと…そうですね、将軍は役職名といった感じで……(お辞儀をちゃんと返したくれた相手を見ては少し嬉しくなります、名前については本名はちゃんとあるけど話すと長くなるのだ。…視界に映る上げられたスカートをみては咳払い)   (2023/6/22
21:02:51)

グリムアロエ> 新しいお姉ちゃんもこんばんは…♪眠そうだね…？ちゃんと一日七時間以上睡眠をとらなきゃだめだよ…？   (2023/6/22 21:02:51)

雷電将軍> こんばんは…眠そう、です。   (2023/6/22 21:03:01)

後藤ひとり> いつもの事ですね……   (2023/6/22 21:03:23)

中野三玖 ◆> うん…いつもの   (2023/6/22 21:08:26)

グリムアロエ> あたしはヘンタイじゃないんだから、見たそうなお姉ちゃんに見せてあげてるだけだよ…？//フフッ♪ひとりお姉ちゃんはこーゆう下着が好みなの？♡（釘付けになって見てる事に気分を良くして、もっと見やすいようにひとりお姉ちゃんに近づいてからもう一度スカートをあげて♡）
  (2023/6/22 21:09:22)

後藤ひとり> 認めちゃった…   (2023/6/22 21:09:29)

雷電将軍> (これが巷で人気の「めすがき」なのでは、というハッとしたお顔！)   (2023/6/22 21:10:20)

グリムアロエ> じゃあ雷電お姉ちゃんだね…♪クスクス♪お硬そうに見えて実はむっつりさんなんだ〜？♡（初心な反応を見てからかいがいのある相手だと認識すると、やだぁ♡って大げさにスカートをおさえて反応を待ってみて）   (2023/6/22 21:12:01)

後藤ひとり> それでも断らないで見せるあたり……////はい、私にはそんなの恥ずかしくて着れないですね……////(アロエちゃんの下着を眺めながらモジモジとしており)   (2023/6/22 21:13:52)

中野三玖 ◆> （アレくらいなら一花が着てる…）   (2023/6/22 21:15:26)

雷電将軍> 【わわ、すこしりせき…！】   (2023/6/22 21:17:46)

後藤ひとり> 【あ、はい…】   (2023/6/22 21:18:19)

グリムアロエ> も〜、見せるのおしまいっ…///（思ったよりもガッツリ下着を眺められて顔を赤くしながらスカートを戻して）恥ずかしいんだ…？お姉ちゃんだって素材はいいんだから、可愛い服や下着を着た方がいいと思うんだけどな〜…♡   (2023/6/22
21:18:26)

グリムアロエ> 【行ってらっしゃ〜い…♡】   (2023/6/22 21:18:54)

後藤ひとり> あ……え！？私なんか全然大したことないですよ……///(首をフリフリ)   (2023/6/22 21:23:33)

中野三玖 ◆> （すぴやすぴや.）   (2023/6/22 21:27:01)

グリムアロエ> そんなこと無いのににゃぁ♡ほら、そっちのお姉ちゃんもひとりお姉ちゃんって美形だって思うでしょ〜？♡（悪戯好きの顔になるとひとりお姉ちゃんの後ろに回って背伸びをしてから前髪を上げようとして、それから眠そうなお姉ちゃんにそれを見せようとして）  
(2023/6/22 21:27:46)

後藤ひとり> あ、前髪あげられると大変なことに……///(助けてーって)   (2023/6/22 21:29:52)

雷電将軍> な、むっつりって訳ではありませんが……(彼女にそんなことを言われると首を横に振って即否定、オーバーリアクションをする彼女を見ては「私は何もしてないです…っ」って少しあわあわ)…ここには色んな人が来ますが見せてくる子は…希少…？  
(2023/6/22 21:34:40)

中野三玖 ◆> むっ…つり   (2023/6/22 21:35:46)

雷電将軍> 違いますからね…！   (2023/6/22 21:37:10)

中野三玖 ◆> …むっつりかガッツリなら…どっち？   (2023/6/22 21:38:57)

後藤ひとり> むっつりそうです   (2023/6/22 21:39:26)

雷電将軍> ……むっつり寄り…？   (2023/6/22 21:39:28)

グリムアロエ> むっつりぽーい♡他のお姉ちゃん達はガッツリなの…？   (2023/6/22 21:40:42)

中野三玖 ◆> …わたしは…   (2023/6/22 21:40:43)

後藤ひとり> 三玖さんもむっつりです……   (2023/6/22 21:41:18)

おしらせ> 桜衣乃さんが入室しました♪  (2023/6/22 21:41:18)

雷電将軍> (みんなにむっつりって思われてる…)   (2023/6/22 21:42:02)

雷電将軍> こんばんは…！   (2023/6/22 21:42:06)

後藤ひとり> こんばんは……   (2023/6/22 21:43:03)

中野三玖 ◆> ……がっつり   (2023/6/22 21:43:22)

桜衣乃> あら、あらあらあら♪奥ゆかしいけどむっつりすけべなみなさんと、はじめましての子がいらっしゃるじゃありませんか♡こんばんは！新人アイドル桜衣乃です♡私はがっつりを体現化したような人間ですよ〜♪（半袖セーラー服で入ってきては、みなさんにおててふりふり♪）
  (2023/6/22 21:43:46)

雷電将軍> 一番の…がっつり…   (2023/6/22 21:44:44)

グリムアロエ> こんばんは♪あー、お姉ちゃんってアイドルなのにガッツリスケベなの？♡そんなんじゃ…ファンの人にエッチな目でみられちゃいそう…♡（クスクス）   (2023/6/22 21:45:37)

グリムアロエ> 自己紹介忘れちゃったぁ…♪あたしはグリムアロエだよ…よろしくね、お姉ちゃん…♪   (2023/6/22 21:46:17)

後藤ひとり> がつがつですね   (2023/6/22 21:46:44)

中野三玖 ◆> がっつりよりも…どっぷり？   (2023/6/22 21:46:52)

後藤ひとり> ぬまぬま…   (2023/6/22 21:48:20)

グリムアロエ> 大変なことって…？ねえねえ、どうなっちゃうの…？//（面白そうな事が起きると思ってワクワクしながら前髪を全部上げようとして）   (2023/6/22 21:48:27)

中野三玖 ◆> …ひとりちゃん溶けるんじゃ…   (2023/6/22 21:48:56)

桜衣乃> ふふー♡私達のアイドルグループ、「フルーツタルト」のファン層は健全な方が多いですよ♪むしろメンバーのほうが………　あなたはグリムアロエちゃんって言うんですね♪はい、これからよろしくお願いします♡アロエちゃん♡（軽い足取りで近づいては、アロエちゃんのおててをとって優しく握手します…♪）
  (2023/6/22 21:50:18)

グリムアロエ> ふーん♡じゃあこれから何かしてくれるの…？♡（反応の面白い雷電お姉ちゃんにニヤニヤしながら詰め寄ってみて）そうなの？ここってあたしみたいな子が集まる部屋だと思ってたのになぁ…♡   (2023/6/22 21:50:57)

桜衣乃> あ、ひとりちゃんとアロエちゃんなんだか面白そうなことしてますね〜♡な〜にしてるんですか〜……♪   (2023/6/22 21:51:07)

中野三玖 ◆> …ねむいし…そろそろ落ちようかな   (2023/6/22 21:52:11)

後藤ひとり> 早いですね……え！？あ、いやこれは……///   (2023/6/22 21:52:37)

雷電将軍> 何かするというわけでも……強いていうなら頭を撫でたり…とか？？(子供、として認識している様子。詰め寄られながらアウアウ…)…衣乃はきっとあなたみたいなタイプかと…！   (2023/6/22 21:53:30)

グリムアロエ> よろしくねー♡でもぉ…アロエちゃんだとあたしのオリジナルの方になっちゃうよー？名前が長いならグリアロって呼んでね…衣乃お姉ちゃん…♡（握手をしながら距離を詰めると、つま先立ちになりながらお耳の近くで囁いて）   (2023/6/22
21:55:33)

グリムアロエ> へー♡でもぉ…撫でたいのは頭だけなのかにゃぁ？ねえ…むっつりのお姉ちゃん…♡（撫でやすいように近寄って雷電お姉ちゃんを見上げるように見つめながら）   (2023/6/22 21:57:59)

中野三玖 ◆> …おやすみ   (2023/6/22 21:59:28)

おしらせ> 中野三玖 ◆WY5HuZnICQさんが退室しました。  (2023/6/22 21:59:32)

雷電将軍> あまり揶揄わないでください……(彼女のペースに乗せられてちょっとアワアワって。取り敢えず落ち着くように呼吸を整えつつ彼女の頭をなでなで…)   (2023/6/22 22:00:02)

桜衣乃> ふむぅ？じゃあ、グリアロちゃんにしますね♪……ふぉおお……♡グリアロちゃんってば、格好も際どいですし、やることも大胆……♪ちょっと生意気な性格なのも癖（へき）、ですね……♡（ささやくグリアロちゃん…♡ぞくぞくっとしちゃっては、おかえしとばかりに首元に人差し指でこちょこちょしちゃいます……♪）
  (2023/6/22 22:00:04)

雷電将軍> おやすみなさい…   (2023/6/22 22:00:08)

後藤ひとり> おやすみなさいです   (2023/6/22 22:00:30)

桜衣乃> あ、三玖ちゃんはおゆすみなさいませ〜♪またお話しましょうね〜♪　あ、メンダコちゃん今日実装されてますよ〜♪   (2023/6/22 22:00:34)

グリムアロエ> おやすみ…ねむねむなお姉ちゃん♡   (2023/6/22 22:00:36)

グリムアロエ> からかってなんかないのになぁ♪きゃっ♡…ん♡…あぁぅっ♡（頭を撫でられただけでわざとらしく艶めかしい声を出して）   (2023/6/22 22:04:53)

雷電将軍> …！？、ぁ、え…大丈夫ですか…？(頭を撫でただけなのに…ちょっとえっちな声を出した相手に目を丸くしちゃいます。手を離してはオロオロしつつも心配そうに顔を見て)   (2023/6/22 22:09:15)

グリムアロエ> 癖なんだぁ？あたしで興奮するとか…ほとんど大人なのになさけなぁい♡……やぁん…♡あ…ぁっ♡お姉ちゃんったら、へんなとこ触っちゃだめだよ〜？//（首元をくすぐられていけない悪戯をされたような気分になれば触られていないはずのお胸をおさえながら息を乱してみせて）
  (2023/6/22 22:10:44)

グリムアロエ> もう…お姉ちゃんの触り方がやらしいからだよ…？//あたしの体がヘンになっちゃったらどうするのぉ〜？♡（思惑通り慌ててるお姉ちゃんをチラッと見てからクスクスって笑ってみせて）   (2023/6/22 22:13:54)

桜衣乃> あら〜♪私はこれでもまだ16……♪未成年のまだ子供ですよ〜？（やたらえっちな反応を返されてしまっては、にっこり♪）だからグリアロちゃんみたいな子もストライクゾーンですし……♡こ〜んなことだってしちゃいます……♡（変なトコロってどこですか〜…♡ってグリアロちゃんのお耳に囁き返しつつ…♡つー……♡と、首を伝って……鎖骨に降りて……♡…おててに隠されたお胸に、指を押し付けにいきます……♡）
  (2023/6/22 22:15:52)

雷電将軍> そんなはずは…普通に撫でただけなのに…！(こちらを揶揄っていると理解してるようでクスクスと生意気な態度を崩さない彼女にムッとした顔、怒っているわけではなさそうだ)もし体が変になってしまったのなら…責任は取ろうかと…今夜はそろそろ寝てしまいますが…(こほん)
  (2023/6/22 22:16:32)

雷電将軍> むむ…そろそろお休みするとします、みなさんおやすみなさい…！   (2023/6/22 22:22:21)

おしらせ> 雷電将軍さんが退室しました。  (2023/6/22 22:22:25)

グリムアロエ> やだぁ…お姉ちゃんったら、合法的にあたしに手を出したいからって必死に論破しようとしちゃって…♡あんっ♡だめぇ…♡お姉ちゃん…あたしのお胸は敏感なんだよ…？//これ以上したら…こわれちゃうかも…？♡（まだ小さなお胸をふにふに♡指で味見されるみたいに触られると、エッチなお手々を止めようとしてるのかもっと押し付けようとしてるのか腕に手を触れていって）
  (2023/6/22 22:22:38)

桜衣乃> あら……将軍ちゃんもお疲れ様でした〜♪ごゆっくり……♪   (2023/6/22 22:22:50)

後藤ひとり> おやすみなさいです～   (2023/6/22 22:23:10)

桜衣乃> 【ひとりちゃん、グリアロちゃんの前髪のロル返してあげてくださいな〜？】   (2023/6/22 22:24:54)

